[2025-12-12 09:14:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-11
正在获取论文...
[arXiv] 2025-12-11 | Improved Identification of Strongly Lensed Gravitational Waves with Host Galaxy Locations
[IEEE] 2025-12-11 | Research on Application of Controllable Line-Commutated Converters for UHVDC System
[IEEE] 2025-12-11 | Transformer-Gather, Fuzzy-Reconsider: A Scalable Hybrid Framework for Entity Resolution
[IEEE] 2025-12-11 | Optimized Design of Hybrid Porcelain Post Insulator Spout Based on Finite Element Simulation
[IEEE] 2025-12-11 | Analysis of Electrode and Semiconductor Materials in Organic Field-Effect Transistors for Electronic Applications
[IEEE] 2025-12-11 | Enhancing Software Defect Prediction Accuracy through Feature Selection-Driven Hybrid Intelligence
[IEEE] 2025-12-11 | Variable Load Study of a 600MW Swirl Opposed Firing Boiler based on CFD Numerical Simulation
[IEEE] 2025-12-11 | A Generation Method for Diffuse Reflective Random Mesh and Its Potential in RCS Reduction
[IEEE] 2025-12-11 | Machine Learning-Based Early Prediction and Classification of Obesity Levels Using Ensemble Models
[IEEE] 2025-12-11 | Self-Supervised Learning for Hyperspectral Image Classification: An overview
[IEEE] 2025-12-11 | ICPRE 2025 Cover Page
[IEEE] 2025-12-11 | RAMS-Europe 2025 Cover Page
[IEEE] 2025-12-11 | Design of low-orbit navigation signals Based on Linear frequency modulation
[IEEE] 2025-12-11 | Multi-time Scale Scheduling Strategy for Microgrid Considering Component Faults
[IEEE] 2025-12-11 | Profit Sharing Mechanism Design for Renewable and Storage Collaboration Across Multi-voltage Channels
[IEEE] 2025-12-11 | Enhancing Smart Microgrid Sustainability with Lyrebird-Based EV Charging Optimization
[IEEE] 2025-12-11 | Zero-Trust Architectures for SecOps in ServiceNow: Enabling Scalable Security in Enterprise Platforms
[IEEE] 2025-12-11 | Blended Control Latent Diffusion Model for Text-Guided Image Inpainting
[IEEE] 2025-12-11 | Optimized Neural Network Compression for Efficient Corrosion Detection in Metal Surfaces
[IEEE] 2025-12-11 | Comparative CFD Study of LNG and Ammonia Vapor Cloud Hazards for Marine Alternative Fuel Safety
[IEEE] 2025-12-11 | Harnessing Machine Learning for Intelligent Control of Shape Memory Alloy Actuators in Versatile Environments_supp1-3640241.docx
[IEEE] 2025-12-11 | DFA-Net: A Domain Flow Adaptation Network for Diverse Hazy-Image Generation
[IEEE] 2025-12-11 | Photothermal Detection of Trace Acetylene for Transformer DGA Monitoring Using an Adiabatically Tapered Optical Fiber
[IEEE] 2025-12-11 | IEEE Transactions on Wireless Communications Society Information
[IEEE] 2025-12-11 | Bridging Theory and Practice in Reconfigurable Fluid Antenna Systems
[IEEE] 2025-12-11 | The Internet of Nature Things (IoNT): Pioneering a New Frontier in Environmental Monitoring and Sustainable Ecosystem Management
[IEEE] 2025-12-11 | Calculation of Photocarrier Generation from Optical Absorption for Time-domain Simulation of Optoelectronic Devices
[IEEE] 2025-12-11 | Energy-based Kinematic Analysis on Magnetic Soft Continuum Robot with Asymmetric Magnetization
[ACM] 2025-12-11 | Suspended Views: Materiality and the poetics of projection
[ACM] 2025-12-11 | A Study on the Influencing Factors of Professional Identity of Teachers in Private Higher Learning Institution Based on SEM-AI
[ACM] 2025-12-11 | Design and Implementation of Teaching Resources Cloud Platform for the Integration of Industry and Education in Higher Vocational Colleges and Universities
[ACM] 2025-12-11 | Impact of AIGC on Learning Strategies in Design Education
[ACM] 2025-12-11 | Emergent Intelligence: Designing an AI-Empowered, Data-Driven Operational Framework for Innovation Spaces in Higher Education
[ACM] 2025-12-11 | Lobster: A GPU-Accelerated Framework for Neurosymbolic Programming
[ACM] 2025-12-11 | TiNA: Tiered Network Buffer Architecture for Fast Networking in Chiplet-based CPUs
[IEEE] 2025-12-11 | Adaptive Voice Communication in Emotion-Aware Digital Companions
[IEEE] 2025-12-11 | AI-assisted JSON Schema Creation and Mapping
[IEEE] 2025-12-11 | Increasing Scalability of E-voting System Based on Public Blockchain Using AVS
[IEEE] 2025-12-11 | MCPNET: A 3D Coronary Artery Segmentation Network with Parallel Fusion of Mamba and CNN
[IEEE] 2025-12-11 | Personalized Threshold-Based HRV Stress Detection from PPG Data: Preliminary Evaluation with a Biofeedback Serious Game
[IEEE] 2025-12-11 | Engineering Digital Twins with Statecharts: A Smart Home Application
[IEEE] 2025-12-11 | Evaluation of A Hybrid Approach Combining Random Forest and XGBoost for Type 2 Diabetes Prediction Using the PIMA Dataset
[IEEE] 2025-12-11 | Finger Dimensions and Their Association with Stature: A Machine Learning-Based Anthropometric Study
[IEEE] 2025-12-11 | Toward a Community-Curated Golden Dataset of UML Models
[IEEE] 2025-12-11 | Subtyping Parkinson's Disease Via Probabilistic Neuroimaging Data Clustering
[IEEE] 2025-12-11 | Classifying Pre-Malignant Colon Polyps Using Hybrid Deep Learning on Ex Vivo Optical Coherence Tomography Images
[IEEE] 2025-12-11 | PPG-Based Respiration Rate Estimation with Beat Detection and Method Fusion
[IEEE] 2025-12-11 | VarOmeter: A Platform for Deep Functional Annotation and Intelligent Network Mining of Genome-Wide Variation Data
[IEEE] 2025-12-11 | What can we learn from other Domains – Towards an Exploratory Process for the Extension of a Language based on Cross-Domain Knowledge Transfer
[IEEE] 2025-12-11 | Retrieving Nocturnal Aerosol Optical Depth Using Lunar Photometry: Algorithm Improvements and Evaluation
[IEEE] 2025-12-11 | Wearable Gait Analysis Using IMU Sensors and Deep Learning for Parkinson’s Disease Detection
[IEEE] 2025-12-11 | Fluid Antenna System For Anti-jamming Communication via Fast Port Switching
[IEEE] 2025-12-11 | Both Efficiency and Safety in V2V Broadcast Communications: A Communications Scheme Based on Multilevel-$\mu$TESLA and Evolutionary Game Theory
[IEEE] 2025-12-11 | Resolving Ambiguity in Permittivity Extraction by Noniterative Method With Less Dependence on Calibration
[IEEE] 2025-12-11 | Microgrids and Resilience: A Comprehensive Review of Research Approaches and Optimization Strategies
[IEEE] 2025-12-11 | BondMatcher: H-Bond Stability Analysis in Molecular Systems
[IEEE] 2025-12-11 | Experiments of a Novel Dual Path LDMOS With Asymmetric-SJ Incorporating Polysilicon Protection Implantation Techniques
[IEEE] 2025-12-11 | Adaptive Defense Mechanisms for IoT Ecosystems: A Response to Adversarial Tactics
[IEEE] 2025-12-11 | Smart Intruder Detection Systems for Medical Routers
[IEEE] 2025-12-11 | Multi-Modal Attention Iterative Network for Incisor Median Sagittal Plane Localization
[IEEE] 2025-12-11 | GIS-Based Predictive Maintenance for Electrical Insulators
[IEEE] 2025-12-11 | Hybrid SIFT-SNN for Efficient Anomaly Detection of Traffic Flow-Control Infrastructure
[IEEE] 2025-12-11 | Multi-Agent Multi-Objective based Operation of Smart Distribution Network
[IEEE] 2025-12-11 | Performance Evaluation of Temporomandibular Joint Prosthesis Design
[IEEE] 2025-12-11 | IoT-Based Smart Water Management System for Efficient Consumption and Conservation
[IEEE] 2025-12-11 | Program Committee
[IEEE] 2025-12-11 | Learning based Mobility Management in UAV Connected Software-Defined Heterogeneous Network
[IEEE] 2025-12-11 | A 1.12 TOPS/W 180 nm Stochastic Computing-Based Neuromorphic Circuit
[IEEE] 2025-12-11 | Optimal Transport Framework for ISAC in Low-Altitude Networks: Joint Resource Allocation for Cooperative Communication and Non-Cooperative Localization
[ACM] 2025-12-11 | Demo: Smart Grid Cyber Twin for Cybersecurity Exercise
[ACM] 2025-12-12 | Enhancing Text-based Image Captioning through Text-aware Self-critical Training
[IEEE] 2025-12-11 | Multimodal Carotid Risk Stratification with Large Vision-Language Models: Benchmarking, Fine-Tuning, and Clinical Insights
[IEEE] 2025-12-11 | Optimizing UAV Station Placement for Pharmaceutical Transfers between Hospitals
[IEEE] 2025-12-11 | Control Strategy for Photovoltaic Output Based on Grey Wolf Guided Incremental Method
[IEEE] 2025-12-11 | Development and Design of Energy Management and Control Platform for Enterprise Microgrid
[IEEE] 2025-12-11 | Research on Multi-Energy Coupling Collection Based on Fully Covered Piezoelectric Structure
[IEEE] 2025-12-11 | zkConsensus: A Zero Knowledge Proof Implementation for Consensus Sequence Generation
[IEEE] 2025-12-11 | From Detection to Evidence: A Unified System for Automated Email Phishing Analysis and Forensic Logging
[IEEE] 2025-12-11 | Tool-Assisted Annotation of Seafloor Sediment-Linked Features Using Weakly Supervised Semantic Segmentation
[IEEE] 2025-12-11 | Design of a CMOS Transmitter Chain for Satellite on the Move Communications
[IEEE] 2025-12-11 | An Impedance-Based Method for Online Preventive Control Generation Against Wide-Band Oscillation
[IEEE] 2025-12-11 | Adaptive Federated Meta-Reinforcement Learning for Personalized Multi-Agent Systems
[IEEE] 2025-12-11 | Dynamic Obstacle Avoidance Planning for Unmanned Systems via Deep Reinforcement Learning
[IEEE] 2025-12-11 | Simulation Calculation of Positive-Sequence Parameters for High-Voltage Single-Core Cables Based on Detection of Power-Frequency and Different-Frequency Methods
[IEEE] 2025-12-11 | Optimized Cyber-Attack Detection and Localization in Smart Grids via Autoencoder-Based Deep Transfer Learning
[IEEE] 2025-12-11 | Comparative Study of DINOv2, I-JEPA, and ViT Embeddings for Unsupervised Anomaly Detection
[IEEE] 2025-12-11 | DanceAgent: Dance Movement Refinement with LLM Agent
[IEEE] 2025-12-11 | IEEE Data Descriptions
[IEEE] 2025-12-11 | IEEE Conversation
[IEEE] 2025-12-11 | IEEE Moving
[IEEE] 2025-12-11 | Face De-Identification: State-of-the-Art Methods and Comparative Studies
[IEEE] 2025-12-11 | Fine-Tuning and Deploying Large Language Models Over Edges: Issues and Approaches
[IEEE] 2025-12-11 | Multilevel joint regularizations meet dual self-representations: An innovative deep subspace clustering framework for Hyperspectral Images
[IEEE] 2025-12-11 | AI-Based Pest Detection and Monitoring in Paddy Fields for Optimized Pesticide Management and Yield Enhancement
[IEEE] 2025-12-11 | Embedded Flexible Circumferential Sensing for Real-Time Intraoperative Environmental Perception in Continuum Robots
[IEEE] 2025-12-11 | STMixer: Spatial-Temporal Mixer for Continuous Sign Language Recognition
[IEEE] 2025-12-11 | Efficient Medical Image Classification in Model-Heterogeneous Federated Learning
[IEEE] 2025-12-11 | Secure and Efficient E-Voting Using Parallelized RSA-Based Digital Signatures
[IEEE] 2025-12-11 | Good Practices in Information Technology Auditing
[IEEE] 2025-12-11 | Ecovoyage: An AI-Based System for Personalized and Sustainable Travel Planning
[IEEE] 2025-12-11 | Research on UAV swarm effectiveness evaluation method based on deep learning
[IEEE] 2025-12-11 | Research on the Interactive Influence of Multi-Layer Nested Sections on the Power Delivery Capability of New Energy Aggregation Systems
[IEEE] 2025-12-11 | Electro-Thermo-Mechanical Design and Development of a Reusable Spring-Actuated Separation Mechanism for ORUs
[IEEE] 2025-12-11 | Improved HVRT Control of PMSG-based Wind Turbine Considering Current Operation Region
[IEEE] 2025-12-11 | Comparative Study of Hedonic Motivation, Shopping Lifestyle, and Trust on Impulse Buying in Social Commerce Platforms
[IEEE] 2025-12-11 | A Fitting-Based Modeling Method of TCLs for Power System Demand Response
[IEEE] 2025-12-11 | Carbon-Based 2D Composites as Thermal Interface Materials for Thermal Management of Power Devices
[IEEE] 2025-12-11 | Predefined-Time Cooperative Guidance Law for Multiple Missiles with Terminal Angle Constraint
[IEEE] 2025-12-11 | LiteXGNN: A Lightweight Explainable Graph Neural Network for Malware Detection with Control Flow Graph Explainability
[IEEE] 2025-12-11 | Weakness Identification in Integrated Energy Systems Based on Volume Scaling Ratio Factor
[IEEE] 2025-12-11 | Enhancing Thai Text Clustering for Performing Arts Through Domain-Specific NLP and Clustering Algorithms
[IEEE] 2025-12-11 | Effects of Primary’s Oblateness on Satellite’s Relative Motion
[IEEE] 2025-12-11 | Keynote Speaker
[IEEE] 2025-12-11 | Research on Green Hydrogen Capacity Planning Considering Grid-Side Voltage Security Margin Based on Artificial Intelligence Algorithms
[IEEE] 2025-12-11 | A Deadbeat Model Predictive Current Control for Phase-Shifted Full-Bridge Converters with Fast Dynamic Response
[IEEE] 2025-12-11 | Width-Dependent Quantum Conductance and Transmission in AA-Stacked Armchair Bilayer Graphene Nanoribbons
[IEEE] 2025-12-11 | Automated Grade Classification of Ankle Osteoarthritis Using Advanced Neural Network Classifier
[IEEE] 2025-12-11 | Automated Activity Monitoring of Cryptic Species in a Zoo Environment
[IEEE] 2025-12-11 | CMOS SPDT Switch Topologies in the Frequency Range of 6 to 20 GHz
[IEEE] 2025-12-11 | Engineering Fit-for-Implementation Digital Twins Across the Total Product Lifecycle of Next-Generation Dental Restorative Materials: A Translational Intelligence Strategy for Real-World Impact
[IEEE] 2025-12-11 | Color Space Channel Evaluation for Clahe-Enhanced Retinal Vessel Segmentation With Attention U-Net
[IEEE] 2025-12-11 | DTChecker: A Real-Time Signal Monitoring and Property Specification Tool for Digital Twins
[IEEE] 2025-12-11 | Comparing High- and Low-Level Model Representations for Evolutionary Algorithms
[IEEE] 2025-12-11 | ICITES 2025 Author Index
[IEEE] 2025-12-11 | Modeling the Full Stack: Frontend and Backend Generation with Extended Domain Models
[IEEE] 2025-12-11 | Consistent Modeling of Agility: Applications of Flexible Multi-Level Modeling
[IEEE] 2025-12-11 | Bridging Expertise Gaps in the WEF Nexus through Participatory Modeling: Insights from Oyo State, Southwest Nigeria
[IEEE] 2025-12-11 | Control and Coordination of DC Collection Systems for Large-Scale Offshore Wind Integration
[IEEE] 2025-12-11 | On-Demand Cardiac Digital Twins: A Case Study on DevOps workflows for Digital Twin Platforms
[IEEE] 2025-12-11 | Optimizing Magnetic Sensory Configuration for Gesture Recognition in Bionic Hands
[IEEE] 2025-12-11 | Brain Tumor Classifiers Under Attack: Robustness of ResNet Variants Against Transferable FGSM and PGD Attacks
[IEEE] 2025-12-11 | Message from the Program Chairs
[IEEE] 2025-12-11 | Parameter Identification of a Perturbed Servo System via ESO-PSO and RoLS-VFF algorithms
[IEEE] 2025-12-11 | Decision–Feedback Equalization Over Doubly Selective Channels via Adaptive Hard-Thresholding Delay–Doppler Estimation
[IEEE] 2025-12-11 | LoRA Patching: Exposing the Fragility of Proactive Defenses against Deepfakes
[IEEE] 2025-12-11 | Real-time Velocity Profile Optimization for Time-Optimal Maneuvering with Generic Acceleration Constraints
[IEEE] 2025-12-11 | Patch-wise Analysis and Reconstruction of Large-scale Floorplan for Digital Twin Modeling
[IEEE] 2025-12-11 | Modeling, Analysis, and Optimization of Omega-shaped Magnetic Field Energy Harvester for Self-Powered Three-Core Cable Sensors
[IEEE] 2025-12-11 | Variable Mode Bidirectional LLC Resonant Converter With Dual Resonant Branches
[IEEE] 2025-12-11 | Bidirectional Isolated DC-DC Converter with Power Active Allocation Strategy for Single-cell BESS
[IEEE] 2025-12-11 | A Deep Dive into MediaPipe Pose for Postural Assessment: A Comparative Investigation
[IEEE] 2025-12-11 | Multimodal Knowledge-Infused VLM for Respiratory Disease Prediction and Clinical Report Generation
[IEEE] 2025-12-11 | Call for Papers: Special issue on Inverse Design of Photonic Applications Using Quantum and Classical Computing
[ACM] 2025-12-11 | Initial Reflections on GenAI-Based Game Remixing as an Explorative Practice
[ACM] 2025-12-11 | The Configuration Wall: Characterization and Elimination of Accelerator Configuration Overhead
[ACM] 2025-12-11 | Evaluating the Effectiveness of Adaptive Learning Systems in College-Level English Vocabulary and Grammar Acquisition
[ACM] 2025-12-11 | ReefPaperAgent: Empowering Teaching Case Generation with Large Language Models
[ACM] 2025-12-11 | Feature Extraction and Semantic Analysis of University Party Building Texts Based on the LDA Topic Model
[ACM] 2025-12-11 | Towards Behavior Grammar-Driven IoT Network Traffic Generation using MUD Specifications
[IEEE] 2025-12-11 | Review for "Descriptor: Elderly Human Activity Recognition Dataset (ElderHAR)"
[IEEE] 2025-12-11 | Towards Defect Detection of Transmission Line Insulator: A Dataset, Benchmarks and Challenges
[IEEE] 2025-12-11 | Smart Distribution Grid Operation Simulation for Efficient Accommodation of Distributed Renewable Energy
[ACM] 2025-12-12 | A Hybrid Scheme for Face Video Compression
[IEEE] 2025-12-11 | Development and Evaluation of Reflection Promoting System Using Knowledge Maps
[IEEE] 2025-12-11 | Smart Waste Management System in Cities Using LoRa Technology
[IEEE] 2025-12-11 | Performance Analysis of Convolution Function for IA Edge Computing Acceleration Using a 32-bit RISC-V CPU Implementation
[ACM] 2025-12-11 | Random Forest-Based Innovation and Practice of Generative AI-Empowered Teaching in Digital Economics: A Case Study of Economics and Management Majors in Application-Oriented Universities
[ACM] 2025-12-11 | Researches on Constructing Chinese-to-English Machine Translation Methods Based on Transformers
[ACM] 2025-12-11 | CrossGuard: A Cross-Modal Deep Learning Framework for Semantic-Structural Threat Detection utilizing Provenance Graph
[IEEE] 2025-12-11 | Large Language Models-based Software Test Input Generation
[IEEE] 2025-12-11 | Real-World Evaluation of Driver Cognitive Load Across Traffic Conditions Using Biometric Signals
[IEEE] 2025-12-11 | Genetic Projective Discriminant Analysis
[IEEE] 2025-12-11 | Research on the Central Measurement Device of Programmable High-precision Hydraulic Turbine Generator Sets
[IEEE] 2025-12-11 | Congestion Management Mechanism for Inter-Regional Multi-Channel Transactions among Electricity Markets
[IEEE] 2025-12-11 | Study on Pilot-Stage Hydraulic Bridge with Piezoelectrically-Driven Restrictor of Spool Valve
[IEEE] 2025-12-11 | Improving Pedestrian Detection in Infrared Images Using CBAM and Faster R-CNN for Autonomous Vehicle Application
[IEEE] 2025-12-11 | A 300 mA Fully-Integrated Inverter-Based LDO with Enhanced Supply Insensitivity for Smart Edge AI Applications
[IEEE] 2025-12-11 | Character Recognition Application of a Neural Circuit Including Lateral Inhibitory Mechanisms
[IEEE] 2025-12-11 | A LightGBM-Augmented Convolutional Transformer with Adaptive Feature Recalibration for EEG Motor Imagery Classification
[IEEE] 2025-12-11 | Traffic Sign Classification Across Borders: Evaluating DenseNet201 on Belgium and Bangladesh Signs
[IEEE] 2025-12-11 | Benchmarking Few-Shot Anomaly Detection in Image Classification With Low-Rank Adaptation
[IEEE] 2025-12-11 | An Underactuated Gripper with Grasshopper-Inspired Linkages and Delay Triggering for Pinching and Adaptive Grasping*
[IEEE] 2025-12-11 | Water Quality Assessment Via Ensemble Machine Learning
[IEEE] 2025-12-11 | ICMAE 2025 Author Index
[IEEE] 2025-12-11 | Resistive Switching of Stencil-Printed Graphene Electrode on Oxidized Copper Clad Substrate
[IEEE] 2025-12-11 | Inconsistency Detection in Requirement Boilerplates Ontology Using Reasoner and SPARQL
[IEEE] 2025-12-11 | HSWTech 2025 List Reviewer Page
[IEEE] 2025-12-11 | High-Purity Molybdenum Powder for High-End Electrical Applications: Trace Detection and Evaluation of Twenty-Four Crucial Impurities
[IEEE] 2025-12-11 | A Novel Transformerless Single-Stage Single-Inductor Buck-Boost Inverter with Leakage Current Suppression Capability
[IEEE] 2025-12-11 | A Classification Algorithm for Epithelial Carcinoma Based on an Attention-Mechanism Convolutional Neural Network
[IEEE] 2025-12-11 | Recent Progress of Capacitor-less IGZO DRAM technology
[IEEE] 2025-12-11 | Generative AI-Driven Healthcare: Bridging Technology and Patient-Centric Care
[IEEE] 2025-12-11 | DWT-based Image Steganography using CNN-Generated Heatmaps
[IEEE] 2025-12-11 | Text-to-Image Generation for Consumer Electronics via Region-Aware Diffusion Transformer
[IEEE] 2025-12-11 | A Rapid Linear Localization Method for Multiple Magnetic Dipole Sources
[IEEE] 2025-12-11 | 2025 Reviewers List
                    <sup>*</sup>
[IEEE] 2025-12-11 | Journal of Lightwave Technology Publication Information
共写入 1789 条记录，保存到 papers/paper2025-12-11.json。
论文获取成功，文件路径: papers/paper2025-12-11.json
正在筛选、翻译并发送邮件...
[NO] 1/1789 | Improved Identification of Strongly Lensed Gravitational Waves with Host Galaxy Locations
[NO] 2/1789 | A Privacy-Preserving Cloud Architecture for Distributed Machine Learning at Scale
[NO] 3/1789 | Refined M-type Star Catalog from LAMOST DR10: Measurements of Radial Velocities, $T_\text{eff}$, log $g$, [M/H] and [$α$/M]
[NO] 4/1789 | Multilingual VLM Training: Adapting an English-Trained VLM to French
[NO] 5/1789 | Matrix approach to the fractional calculus
[NO] 6/1789 | Balancing Turnover and Promotion Outcomes: Evidence on the Optimal Hybrid-Work Frequency
[NO] 7/1789 | EchoingPixels: Cross-Modal Adaptive Token Reduction for Efficient Audio-Visual LLMs
[NO] 8/1789 | User-Feedback-Driven Continual Adaptation for Vision-and-Language Navigation
[NO] 9/1789 | Infusing Experimental Reality into Complex Many-Body Hamiltonians: The Observable-Constrained Variational Framework (OCVF)
[NO] 10/1789 | EpiPlanAgent: Agentic Automated Epidemic Response Planning
[NO] 11/1789 | High-Dimensional Data Processing: Benchmarking Machine Learning and Deep Learning Architectures in Local and Distributed Environments
[NO] 12/1789 | Large deviation principles for fully coupled multiscale multivalued stochastic systems
[NO] 13/1789 | Investigating The Functional Roles of Attention Heads in Vision Language Models: Evidence for Reasoning Modules
[NO] 14/1789 | MotionEdit: Benchmarking and Learning Motion-Centric Image Editing
[NO] 15/1789 | MorphZ: Enhancing evidence estimation through the Morph approximation
[NO] 16/1789 | Graph Neural Network Based Adaptive Threat Detection for Cloud Identity and Access Management Logs
[NO] 17/1789 | Single-molecule Scale Nuclear Magnetic Resonance Spectroscopy using a Robust Near-Infrared Spin Sensor
[NO] 18/1789 | Quantum relaxometry for detecting biomolecular interactions with single NV centers
[NO] 19/1789 | VLM-NCD:Novel Class Discovery with Vision-Based Large Language Models
[NO] 20/1789 | Time-Averaged Drift Approximations are Inconsistent for Inference in Drift Diffusion Models
[NO] 21/1789 | Catalytic Tomography of Ground States
[NO] 22/1789 | Stable skyrmion bundles at room temperature and zero magnetic field in a chiral magnet
[NO] 23/1789 | The Circulate and Recapture Dynamic of Fan Mobility in Agency-Affiliated VTuber Networks
[NO] 24/1789 | EP250827b/SN 2025wkm: An X-ray Flash-Supernova Powered by a Central Engine and Circumstellar Interaction
[NO] 25/1789 | Design Space Exploration of DMA based Finer-Grain Compute Communication Overlap
[NO] 26/1789 | Permutation-Equivariant Learning for Dynamic Security Assessment of Power System Frequency Response
[NO] 27/1789 | Adaptive Information Routing for Multimodal Time Series Forecasting
[NO] 28/1789 | FEADME: Fast Elliptical Accretion Disk Modeling Engine
[NO] 29/1789 | Federated Domain Generalization with Latent Space Inversion
[YES] 30/1789 | Does SWE-Bench-Verified Test Agent Ability or Model Memory?
[NO] 31/1789 | Active Optics for Hyperspectral Imaging of Reflective Agricultural Leaf Sensors
[NO] 32/1789 | ID-PaS : Identity-Aware Predict-and-Search for General Mixed-Integer Linear Programs
[NO] 33/1789 | Switching of topological phase transition from semiconductor to ideal Weyl states in Cu$_2$SnSe$_3$ family of materials
[NO] 34/1789 | Heteronuclear and Homonuclear Vector Solitons in Lasers
[NO] 35/1789 | Andr{á}sfai--Erdős--Sós theorem under max-degree constraints
[NO] 36/1789 | Uniform Lefschetz fixed-point theory
[NO] 37/1789 | Quantum Internet in the Sky: Vision, Challenges, Solutions, and Future Directions
[NO] 38/1789 | Bell coloring graphs: realizability and reconstruction
[YES] 39/1789 | Offscript: Automated Auditing of Instruction Adherence in LLMs
[NO] 40/1789 | Authority Backdoor: A Certifiable Backdoor Mechanism for Authoring DNNs
[NO] 41/1789 | Beyond Pixels: A Training-Free, Text-to-Text Framework for Remote Sensing Image Retrieval
[NO] 42/1789 | Motion Planning for Safe Landing of a Human-Piloted Parafoil
[NO] 43/1789 | The Distributional Consequences of Paid-Priority Queues
[NO] 44/1789 | THeGAU: Type-Aware Heterogeneous Graph Autoencoder and Augmentation
[NO] 45/1789 | Why a chloroplast needs its own genome tethered to the thylakoid membrane - Co-location for Redox Regulation
[NO] 46/1789 | Is Dark Energy Dynamical in the DESI Era? A Critical Review
[YES] 47/1789 | Structural Methods for handling mode changes in multimode DAE systems
[NO] 48/1789 | Janus Percolation in Anisotropic Limited-Degree Networks
[NO] 49/1789 | Wind-mediated Eddington-limited emission in a 1e4 Black Hole Tidal Disruption Event
[YES] 50/1789 | NormCode: A Semi-Formal Language for Context-Isolated AI Planning
[NO] 51/1789 | A note on modular properties of non-principal and non-coprincipal admissible $C^{(1)}_2$-modules of integer level
[NO] 52/1789 | Sensitivity threshold defines the optimal spin subset for ensemble quantum sensing
[NO] 53/1789 | Bootstrapping not under the null?
[NO] 54/1789 | Encoding parameters by measurement: Forgetting can be better in quantum metrology
[NO] 55/1789 | Near Ultraviolet Transient Explorer (NUTEx): A CubeSat-Based NUV Imaging Payload for Transient Sky Surveys
[NO] 56/1789 | Semi-Robust Communication Complexity of Maximum Matching
[NO] 57/1789 | Nonlinear evolution of the ergoregion instability: Turbulence, bursts of radiation, and black hole formation
[NO] 58/1789 | Disentangled and Distilled Encoder for Out-of-Distribution Reasoning with Rademacher Guarantees
[NO] 59/1789 | Take a Peek: Efficient Encoder Adaptation for Few-Shot Semantic Segmentation via LoRA
[NO] 60/1789 | Isotopomer-Specific Carbon Isotope Ratio of Complex Organic Molecules in Star-Forming Cores
[NO] 61/1789 | A Nonlocal Realization of MOND that Interpolates from Cosmology to Gravitationally Bound Systems
[NO] 62/1789 | Thermally-controlled interlayer exchange and field-induced anisotropy in synthetic antiferromagnets
[NO] 63/1789 | Flat groups of automorphisms of totally disconnected, locally compact groups
[NO] 64/1789 | Objective Coefficient Rounding and Almost Symmetries in Binary Programs
[NO] 65/1789 | Measures of inaccuracy based on Varextropy
[NO] 66/1789 | Reconstructing Transportation Cost Planning Theory: A Multi-Layered Framework Integrating Stepwise Functions, AI-Driven Dynamic Pricing, and Sustainable Autonomy
[NO] 67/1789 | Chaos, Entanglement and Measurement: Field-Theoretic Perspectives on Quantum Information Dynamics
[NO] 68/1789 | Nanoscale magnetometry of a synthetic three-dimensional spin texture
[NO] 69/1789 | Learning Time-Varying Correlation Networks with FDR Control via Time-Varying P-values
[NO] 70/1789 | Geometric quantization on big line bundles
[NO] 71/1789 | HypeR Adaptivity: Joint $hr$-Adaptive Meshing via Hypergraph Multi-Agent Deep Reinforcement Learning
[NO] 72/1789 | Engineering Multifunctional Response in Monolayer Fe3O4 via Zr Adsorption: From Half-Metallicity to Enhanced Piezoelectricity
[NO] 73/1789 | A Sampling Strategy Benchmark for Machine-Learning-Based Seismic Liquefaction Prediction
[NO] 74/1789 | Design and Implementation of a High-Precision Wind-Estimation UAV with Onboard Sensors
[NO] 75/1789 | Differential Privacy for Secure Machine Learning in Healthcare IoT-Cloud Systems
[NO] 76/1789 | Making Wide Stripes Practical: Cascaded Parity LRCs for Efficient Repair and High Reliability
[NO] 77/1789 | Neural Hamiltonian Deformation Fields for Dynamic Scene Rendering
[NO] 78/1789 | Rotational Weingarten surfaces in Lorentz-Minkowski space
[NO] 79/1789 | Cooperative Retrieval-Augmented Generation for Question Answering: Mutual Information Exchange and Ranking by Contrasting Layers
[NO] 80/1789 | Applying an axiomatic approach to revenue allocation in airlines problems
[NO] 81/1789 | MultiHateLoc: Towards Temporal Localisation of Multimodal Hate Content in Online Videos
[YES] 82/1789 | Confucius Code Agent: An Open-sourced AI Software Engineer at Industrial Scale
[NO] 83/1789 | Robust Crop Planning under Uncertainty: Aligning Economic Optimality with Agronomic Sustainability
[YES] 84/1789 | RoboNeuron: A Modular Framework Linking Foundation Models and ROS for Embodied AI
[YES] 85/1789 | Cross-modal Retrieval Models for Stripped Binary Analysis
[NO] 86/1789 | Fitting magnetization data using continued fraction of straight lines
[NO] 87/1789 | The LEGA-C galaxy survey: multiple quenching channels for quiescent galaxies at $z\sim1$
[NO] 88/1789 | Quantum Separability Criteria Based on Symmetric Measurements
[NO] 89/1789 | KRAS G12D protein screening for pancreatic cancer clinical trials using an AlGaN/GaN high electron mobility transistor biosensor
[NO] 90/1789 | Neural personal sound zones with flexible bright zone control
[NO] 91/1789 | Structural Sign Herdability in Temporally Switching Networks with Fixed Topology
[NO] 92/1789 | GPG: Generalized Policy Gradient Theorem for Transformer-based Policies
