[2026-06-02 23:45:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-01
正在获取论文...
[arXiv] 2026-06-01 | FocusDiT: Masking Queries in Diffusion Transformers for Fine-grained Image Generation
[NO] 255/2000 | MMG2Skill: Can Agents Distill In-the-Wild Guides into Self-Evolving Skills?
[NO] 256/2000 | Polarized lines of the second solar spectrum (SrI, SrII, CaI, BaII) observed at the Pic du Midi Turret Dome spectropolarimeter with the slit orthogonal to the limb
[NO] 257/2000 | MT-EditFlow: Reinforcement Learning for Multi-Turn Image Editing with Flow Matching
[NO] 258/2000 | Toka: A Systems Programming Language with Explicit Resource Semantics
[NO] 259/2000 | Improved Amenability Bounds for Local Coordination Games
[NO] 260/2000 | Anti-Windup in PID Control: Review, Analysis, and New Tuning Directions
[NO] 261/2000 | Are Economists Open to AI? Text as Data as Survey on Professional Sentiment and Academic Research Trends
[NO] 262/2000 | Flow-Transformed Implicit Processes for Function-Space Variational Inference
[NO] 263/2000 | Closed-Form Pose Estimation of Endoluminal Medical Devices via Gradiometer-Based Electromagnetic Localization System
[NO] 264/2000 | A model for pulsation in high-speed double cone flow
[NO] 265/2000 | SCAPO: Self-Supervised Category-Level Articulated Pose Estimation from a Single 3D Observation
[NO] 266/2000 | What to Format and How: A Benchmark and Workflow Approach for Document Formatting
[NO] 267/2000 | 3rd Place at CVPR 2026 CASTLE Challenge: Agentic Multi-View Long-Context Video Understanding via Hierarchical Knowledge Graph Retrieval
[NO] 268/2000 | Half the Interference, Most of the Answer: Approximate Quantum Simulation via Path-Sum Pruning
[NO] 269/2000 | Bayesian Spectral Emotion Transition Discovery from Multi-Annotator Disagreement
[NO] 270/2000 | KliniskVestBERT: BERT Model Specialised to Norwegian Clinical Texts
[NO] 271/2000 | Train, Test, Re-evaluate: Schedule-Sensitive Evaluation of Generative Data for Hand Detection
[NO] 272/2000 | Collaborative Space Object Detection with Multi-Satellite Viewpoints in LEO Constellations
[NO] 273/2000 | MidSurfNet: Learnable Face Pairing and Interference Implicit Fields for Generalized Mid-surface Abstraction
[NO] 274/2000 | Beyond the Simplex: Balanced Prototype Geometry for Scorer-Agnostic Open-Set Recognition
[NO] 275/2000 | CultureForest: Understanding and Evaluating Cultural Norm Grounded Reasoning in LLMs
[YES] 276/2000 | Improving LLM-Based Go Code Review through Issue-List Generation and Context Augmentation
[NO] 277/2000 | Parallelizing Large-Scale Tensor Network Contraction on Multiple GPUs
[NO] 278/2000 | Does Compression Preserve Uncertainty? A Unified Benchmark for Quantized and Sparse LLMs via Conformal Prediction
[NO] 279/2000 | Unveiling the Limits of Large Language Models in Inferring Pragmatic Meaning from Non-Verbal Responses
[NO] 280/2000 | Mitigating Perceptual Judgment Bias in Multimodal LLM-as-a-Judge via Perceptual Perturbation and Reward Modeling
[NO] 281/2000 | Quantum Simulation of Nucleon-Antinucleon Interaction in Large-$N$ QCD$_2$ on an IBM Quantum Nighthawk Processor
[NO] 282/2000 | HumanNOVA: Photorealistic, Universal and Rapid 3D Human Avatar Modeling from a Single Image
[NO] 283/2000 | A Mid-Infrared Platform Based on Strontium Tweezer Arrays
[NO] 284/2000 | Strong-to-Weak Spontaneous Symmetry Breaking
[NO] 285/2000 | Modeling Torque Induced Alignment in a Dusty Plasma System
[NO] 286/2000 | Modeling Depth Ambiguity: A Mixture-Density Representation for Flying-Point-Free Depth Estimation
[NO] 287/2000 | Three-color van der Waerden numbers grow super-exponentially
[NO] 288/2000 | Comment on "QCD-factorization amplitudes from flavour symmetries: beyond the $SU(3)$ symmetric case''
[NO] 289/2000 | SafeSteer: Localized On-Policy Distillation for Efficient Safety Alignment
[NO] 290/2000 | Compact convex sets and bases--classical and noncommutative
[NO] 291/2000 | Pay Beliefs and the Amenity-Pay Tradeoff
[NO] 292/2000 | Creating and Probing Spin-Squeezed States of Molecules
[NO] 293/2000 | MORPHOS: Autoregressive 4D Generation with Temporal Structured Latents
[NO] 294/2000 | Intercepting the Future: Latent-Space Predictive World Model for Dynamic VLA Manipulation
[NO] 295/2000 | Iteris: Agentic Research Loops for Computational Mathematics
[NO] 296/2000 | Regular clock map and trace space
[NO] 297/2000 | There Are No Dirac Mass Terms with de Sitter Symmetry
[NO] 298/2000 | AGENTCL: Toward Rigorous Evaluation of Continual Learning in Language Agents
[NO] 299/2000 | Active Exploring like a Pigeon: Reinforcing Spatial Reasoning via Agentic Vision-Language Models
[NO] 300/2000 | Beyond One-shot: AI Agents for Learning in Field Experiments
[NO] 301/2000 | Electron injection and acceleration into laser-driven wakefield from a solid overdense plasma target
[NO] 302/2000 | HLL: Can Agents Cross Humanity's Last Line of Verification?
[NO] 303/2000 | Poking Around in the Dark: Why a Shared Understanding of Components Matters
[NO] 304/2000 | ODTQA-FoRe: An Open-Domain Tabular Question Answering Dataset for Future Data Forecasting and Reasoning
[NO] 305/2000 | NDPP-Grasp: Non-Differentiable Physical Plausibility Constraint-Guided Task-Oriented Dexterous Grasp Generation
[NO] 306/2000 | Spectral Audit of In-Context Operator Networks
[NO] 307/2000 | On rational representations and rational group algebra of $\operatorname{GL}_2(q)$
[NO] 308/2000 | Probing Pair Correlations in QCD Matter with Photon Spectra
[NO] 309/2000 | AutoForest: Automatically Generating Forest Plots from Biomedical Studies with End-to-End Evidence Extraction and Synthesis
[NO] 310/2000 | Optical Stability and Photophysics of NV Centers in Diamond up to 120 GPa
[NO] 311/2000 | From Time to Space: The Impact of Linearity in Higher-Order Datalog
[NO] 312/2000 | Policy and World Modeling Co-Training for Language Agents
[NO] 313/2000 | A Game-Theoretic Decision Framework for Optimal Selection of Coordination Detection Methods in Multi-UAV Fleet Operations
[NO] 314/2000 | Attention Dynamics and Adaptive Decision Support in C5ISR: A Recurrence Quantification Analysis of Visual and Multimodal Attention Guidance Effects on Mission Performance
[NO] 315/2000 | When Do Attention Circuits Form? Developmental Trajectories of Capability and Attention-Sink Emergence Across Three 1B-ClassArchitectures
[NO] 316/2000 | Layered Ego Networks in Email Communication: From Enron to the Jmail Archive
[NO] 317/2000 | WAXAL-NET: Finetuned Edge ASR Across 19 African Languages
[NO] 318/2000 | Phonon-driven nodal surface superconductivity of Fermi arcs
[NO] 319/2000 | Lossy Microwave Linear Analog Computer (MiLAC) for Future MIMO: Learning-based Architecture Designs for Spectral and Energy Efficiency Maximization
[NO] 320/2000 | Certified Closed-Loop Control for Packet Networks: A Compositional Certification Framework
[NO] 321/2000 | CHIMERA: A Flexible and Scalable 3.1 TOPS/W AI-MCU with Transformer Accelerator and 563 Gb/s Shared-L2 Memory Subsystem with QoS Guarantees
[NO] 322/2000 | Do Multimodal Agents Really Benefit from Tool Use? A Systematic Study of Capability Gains
[NO] 323/2000 | TROPHIES: Temporal Reconstruction of Places, Humans, and Cameras from Multi-view Videos
[NO] 324/2000 | Are Algorithm Registers Transparent? Perspectives from Germany
[NO] 325/2000 | Defect Holonomy Near Rank-Deficient Mixed States
[NO] 326/2000 | Entropy Minimization without Model Collapse: Mitigating Prediction Bias in Medical Imaging
[NO] 327/2000 | Neural Spectral Element Methods for stiff multiphysics PDEs with electrochemical transport benchmarks
[NO] 328/2000 | Delusions of Grandeur and Their Benefits (and Hazards)
[NO] 329/2000 | Mapping Whisper Representations to Human ECoG Responses with Interpretable Time-Resolved Neural Encoding
[NO] 330/2000 | Cross-Domain Dead Tree Detection via Knowledge Distillation in Aerial Imagery
[NO] 331/2000 | Bandwidth selection with a frequency-domain version of the AIC
[NO] 332/2000 | Counting Hamiltonian paths between prescribed vertices in traceable graphs with a forbidden induced subgraph
[NO] 333/2000 | Cross-modal linkage risk in clinical vision-language models
[NO] 334/2000 | Guided Sensemaking: Agents in Collaborative Deliberation
[NO] 335/2000 | EES-CND: Collaborative Neural Decision-Making for Drift-Aware Fault-Tolerant Edge-Cloud Service Placement
[NO] 336/2000 | On periods of Elliptic curves
[NO] 337/2000 | Bifurcation Analysis of a Reaction-Diffusion System with a Cognitive Map Memory Kernel
[NO] 338/2000 | The Diocotron Instability in the Trapped Electrons Experiment T-REX and its Relevance to Electron Clouds in Gyrotron Guns
[NO] 339/2000 | Do Gender Cues Affect LLM Value Trade-offs? Evidence from a Controlled Decision Benchmark
[NO] 340/2000 | A New Method for Finding the Schulze Winner Set
[NO] 341/2000 | Information scrambling in all-to-all interacting models
[NO] 342/2000 | Moiré Strain Skyrmions in Sliding Twisted Bilayers
[NO] 343/2000 | Quantum groups of Lie colour algebras fulfilling Cartan-Weyl paradigm
[NO] 344/2000 | Quantum-inspired Topographic Stereovision
[NO] 345/2000 | Breaking the Pair: Evaluating Dyadic Interaction via Speaker Switching
[NO] 346/2000 | Semi-analytical two-loop QCD corrections to $e^+e^-\to J/ψ+χ_{cJ}$ at B factories
[NO] 347/2000 | Order within Chaos: Capturing Intrinsic Energy Anomalies for AI-Manipulated Image Forgery Localization
[NO] 348/2000 | Low-Pass Flow Matching
[NO] 349/2000 | Relax and Follow: L0-Path Computation with L0-Bregman Relaxations
[NO] 350/2000 | InfoMerge: Information-aware Token Compression for Efficient Video Large Language Models
[NO] 351/2000 | Vibrational resonance in a one-dimensional dissipative Bose-Josephson junction
[NO] 352/2000 | Information Hierarchy in Many-Body Berry Phase
[NO] 353/2000 | Development and integration of the NA64-DTC automation controller for the CERN "DESY Table'' motorized platform
[NO] 354/2000 | Spectral suppression of black hole ringdown tails
[NO] 355/2000 | Sharp Support Thresholds for Smeariness of Absolutely Continuous Measures on Spheres
[NO] 356/2000 | Phase-dependent parametric amplification of propagating spin waves in YIG nanostructures enabled by local inhomogeneities
[NO] 357/2000 | VLBM: Variational Latent Basis Modeling for OOD Robust Multivariate Time Series Forecasting
[NO] 358/2000 | Edge-aware Decoding for Neural Asymmetric Routing
[NO] 359/2000 | Variational Learning for Insertion-based Generation
[NO] 360/2000 | How Hard Can It Be? Hardness-Aware Multi-Objective Unlearning
[NO] 361/2000 | Penalty-free quantum optimization applied to lattice protein folding
[NO] 362/2000 | Attention-Like Hebbian Learning from Quantum Probability Flow and Quantum-Annealer Tests
[NO] 363/2000 | Site4Drug: Predicting Drug-Binding Target Sites with an AI Agent
[NO] 364/2000 | Resonant Coupling and the Non-Phononic Flat Band in Amorphous Solids
[NO] 365/2000 | TLG: Temporal-Logic Grounding for Video Question Answering via Source-Annotation Reconstruction and Category-Targeted Reasoning
[NO] 366/2000 | Morphology of Optical Changing-Look AGN-host Galaxies: Evidence for an Important Role of Mergers
[NO] 367/2000 | Asymptotic stability of strong rarefaction waves to a parabolic-hyperbolic system arising from chemotaxis
[NO] 368/2000 | Everywhere Learning: Artificial Intelligence with Pointwise Constraints
[NO] 369/2000 | Smooth velocity shuttling for suppressing valley excitations in disordered Si/SiGe quantum dots
[NO] 370/2000 | Spatio-Temporal Reconnection for Multi-Robot Networks using Adaptive Prescribed-Time CBFs
[YES] 371/2000 | Type-Error Ablation and AI Coding Agents
[NO] 372/2000 | TERRA: Task-Embedded Reasoning and Representation Architecture for Cross-Domain Applications
[NO] 373/2000 | Real Matrices as Linear Combinations of Three Orthogonal Matrices
[NO] 374/2000 | Relativity from the Perspectives of Observers
[NO] 375/2000 | An arc-search BFGS algorithm for unconstrained nonlinear optimization problems
[NO] 376/2000 | Inexactly Smooth Performance Estimation and New Optimized Gradient Methods
[NO] 377/2000 | Spatial Representation Learning Beyond Pixels: Unifying Raster Data and Vector Semantics for Human-Centric Geospatial Foundation Models
[NO] 378/2000 | Stochastic completeness for landmark space
[NO] 379/2000 | Identifying sensitivity-dominant parameters via active subspaces in reduced-order modeling of fluid dynamics
[NO] 380/2000 | Network Learning with Semi-relaxed Gromov-Wasserstein
[NO] 381/2000 | Statistical properties of type-II bursts in Rapid Burster observed with Insight-HXMT
[NO] 382/2000 | Generalised eigenvector expansion of infinite Toeplitz matrices with absolutely/completely monotone entries
[NO] 383/2000 | Probing the dark axion portal via $J/ψ$ decays at BESIII and STCF
[NO] 384/2000 | Coxeter Condorcet domains
[NO] 385/2000 | Ferroelectric hysteresis in singly aligned graphene-hBN moiré superlattices
[NO] 386/2000 | Equivalence Principle violation in metric-affine gravity and finite-temperature effects
[NO] 387/2000 | Benchmarking Realistic Synthetic Instances Against a Large-Scale District Heating Network: A Multi-Objective Optimization Study for Berlin
[NO] 388/2000 | Variational Free Energy Pivot Selection for Pivoted Cholesky
[NO] 389/2000 | New Windows on Heavy Dark Matter: Mineral Melt Modelling and X-Ray Readout for Muscovite Mica
[NO] 390/2000 | Photon thermalization in a disordered scattering medium
[NO] 391/2000 | SkillHarm: Lifecycle-Aware Skill-Based Attacks via Automated Construction
[NO] 392/2000 | Symmetric-Tensor Distributional Mixed Method for Fourth-Order Elliptic Singular Perturbation Problem
[NO] 393/2000 | Strong Localization of the Kobayashi-Eisenman Volume Element and Its Boundary Asymptotics
[NO] 394/2000 | Two-Fidelity Best-Action Identification for Stochastic Minimax Tree
[NO] 395/2000 | The Murchison Widefield Array Phase III upgrade: Sensitivity Doubled, Number of Baselines Quadrupled, Flexibility Enhanced, and EoR Observations Optimised
[NO] 396/2000 | Rethinking Evaluation Paradigms in IBP-based Certified Training
[NO] 397/2000 | Query-Limited Community Recovery in Stochastic Block Models
[NO] 398/2000 | From Layers to Submodules: Rethinking Granularity in Replacement-Based LLM Compression
[NO] 399/2000 | On gapped repeats in a cyclic Fibonacci word
[NO] 400/2000 | Convex Distance Operator Transport: A Convex and Geometry-Preserving Formulation
[NO] 401/2000 | Presentations for categories of crystals
[NO] 402/2000 | CARTE: A Benchmark for Mapping Language Model Knowledge Across France
[NO] 403/2000 | ContinuousBench: Can Differentially Private Synthetic Text Improve Capabilities?
[NO] 404/2000 | Consistency Training while Mitigating Obfuscation via Rate Matching
[NO] 405/2000 | The Ghost Couple: Correlated LLM Name Priors and Their Haunting of the Web and Academic Publishing
[NO] 406/2000 | On the Generalization in Topology Optimization via Sensitivity-Conditioned Bernoulli Flow Matching
[NO] 407/2000 | Waiting at the front door: Continuous monitoring of latency in the host network stack
[NO] 408/2000 | Not What, But How: A Communicative Audit of LLM Response Framing
[NO] 409/2000 | Approximating Hartree-Fock theory via an efficiently local reformulation
[NO] 410/2000 | Construction of Lyapunov Functions for Switched Systems using Meshfree Collocation
[NO] 411/2000 | Hydrodynamics without a relaxation gap: memory effects, nonlocality, and superdiffusion
[NO] 412/2000 | On the Relationship between Solar Spicules and Propagating Coronal Disturbances: The Role of Shocks
[NO] 413/2000 | Photon spheres in dynamical space-times
[NO] 414/2000 | Quantum dominance of coherent bremsstrahlung in $^{124}$Sn + $^{124}$Sn scattering at 25 MeV/u
[NO] 415/2000 | World-Task Factorization for Robot Learning
[NO] 416/2000 | Auteur: Language-Driven Cinematographic Framing for Human-Centric Video Generation
[NO] 417/2000 | GC-MoE: Genomics-Guided Cell-Type-Specific Mixture of Experts for Histology-Based Single-Cell Spatial Transcriptomics
[NO] 418/2000 | AI-Based KPI Prediction Methods in Future 6G Networks: A Survey
[NO] 419/2000 | RoboDream: Compositional World Models for Scalable Robot Data Synthesis
[NO] 420/2000 | Pure UCP Maps on Finite Toeplitz Systems and Quantum Gromov--Hausdorff Convergence
[NO] 421/2000 | SN-WER: Script-Normalized WER for Multi-Script Indic ASR Evaluation
[NO] 422/2000 | Reduce dimensional quantum criticality for Non-Fermi liquids
[NO] 423/2000 | How geometry of subduction zones correlates with earthquake dynamics
[NO] 424/2000 | A Biconvex Formulation for Stable Transport of Mixture Models with a Unique Solution
[NO] 425/2000 | Neighborly Murai spheres and the Simplicial Steinitz Problem
[NO] 426/2000 | Spatial and particle-particle entanglement in 1D quantum walks of two distinguishable or indistinguishable bosonic particles
[NO] 427/2000 | Retrieve What's Missing: Coverage-Maximizing Retrieval for Consistent Long Video Generation
[NO] 428/2000 | A novel L-shaped refinement chain cuts method for two-stage stochastic programs
[NO] 429/2000 | Learning When to Translate for Multilingual Reasoning
[NO] 430/2000 | APLSuite: An Integrated Suite for CD4+ T Cell Epitope Prediction via Antigen Processing Likelihood
[NO] 431/2000 | Food Noise & False Safety: A Systematic Evaluation of How LLMs Fail to Adapt to Eating Disorder Queries with Clinician Feedback
[NO] 432/2000 | PaSBench-Video: A Streaming Video Benchmark for Proactive Safety Warning
[NO] 433/2000 | On the Scaling of PEFT: Towards Million Personal Models of Trillion Parameters
[NO] 434/2000 | Regression on Regression: Mapping Data-Driven Binary Black Hole Merger Rate Fits to Progenitor Histories
[YES] 435/2000 | Not All Errors Are Equal: A Systematic Study of Error Propagation in Large Language Model Inference
[NO] 436/2000 | Suppression of p-Wave Altermagnetism by Localized 4f Electrons in CeNiAsO
[NO] 437/2000 | Evolutionary Discovery of Bivariate Bicycle Codes with LLM-Guided Search
[NO] 438/2000 | Quantum Symmetry Restoration and Emergent Effective Deformation in Relativistic Heavy-Ion Collisions
[NO] 439/2000 | Framed bordism of Lagrangian homotopy spheres via generating functions
[NO] 440/2000 | Analogues of the Lindelöf Hypothesis for the Barnes multiple zeta function and related problems
[NO] 441/2000 | K-BrowseComp: A Web Browsing Agent Benchmark Grounded in Korean Contexts
[NO] 442/2000 | Stable Degeneration, Non-degenerate Forms, and Kaledin's Conjecture
[NO] 443/2000 | AgentPLM: Agentic Protein Language Models with Reasoning-Augmented Decoding for Protein Sequence Design
[NO] 444/2000 | SPADE-Bench: Evaluating Spontaneous Strategic Deception in Agents via Plan-Action Divergence
[NO] 445/2000 | A Simulation Platform for Flapping-Wing Vehicles
[NO] 446/2000 | A Computational Toolkit for Engagement and Scalable Assessment in a Large Logic Course
[NO] 447/2000 | Spin Correlations in Two-Particle Systems: A Pedagogically Motivated Comparison of Computational Approaches
[NO] 448/2000 | Layer-Resolved Nonlinear Optics in Finite-Thickness Two-Dimensional Systems
[NO] 449/2000 | Revisiting ram pressure stripping in Wolf-Lundmark-Melotte: No evidence for stripped HI with LGLBS
[NO] 450/2000 | Local Preferential Bayesian Optimization
[NO] 451/2000 | Privacy-preserving Information Sharing in Oligopoly Competitions
[NO] 452/2000 | Doing well with less! On Sampling Techniques for Empirical Pairwise Loss Estimation/Minimization
[NO] 453/2000 | Coordination Graphs for Constrained Multi-Agent Reinforcement Learning
[NO] 454/2000 | Less Is More? When Dataset Context Hurts LLM-Generated Dataset Descriptions
[NO] 455/2000 | Isoperiodic forms and invariant subvarieties of connected strata
[NO] 456/2000 | Universal Right-Hand Chirality of Evanescent Vector Fields
[NO] 457/2000 | Study of Massive OBA Stars with X-ray Emission
[NO] 458/2000 | Primordial black holes spin from cosmological first-order phase transitions
[NO] 459/2000 | Gradient estimates and Liouville theorems for the \(Φ\)-Laplacian equations on Riemannian manifolds
[NO] 460/2000 | A Hybrid Near-field Indoor Channel Model for THz Bands Based on Surface Scattering Characteristics
[NO] 461/2000 | Attention-guided Fine-tuning of Multimodal Large Language Models Improves Chain-of-Thought Reasoning
[NO] 462/2000 | TwinQuant: Learnable Subspace Decomposition for 4-Bit LLM Quantization
[NO] 463/2000 | TN-SHAP-G: Graph-Structured Tensor Network Surrogates for Shapley Values and Interactions
[NO] 464/2000 | Gravitational-wave astronomy with a space-based optical clock network
[NO] 465/2000 | A Branch Set Stratification for Stationary Varifolds with Epsilon-Regularity
[NO] 466/2000 | ProbMoE: Differentiable Probabilistic Routing for Mixture-of-Experts
[NO] 467/2000 | Infinite Moments of Class Groups for Solvable Fields with a Normal Abelian Subgroup
[NO] 468/2000 | Dynamic Trust-Aware Sparse Communication Topology for LLM-Based Multi-Agent Consensus
[NO] 469/2000 | DisFlow: Scene Flow from Distance Field for Object Pose, Velocity Tracking, and Dynamic Object Reconstruction
[NO] 470/2000 | TalkTag: Fine-Grained Morphosyntactic Error Annotation for Transcribed Speech
[NO] 471/2000 | CRAB-Bench: Evaluating LLM Agents under Complex Task Dependencies and Human-aligned User Simulation
[NO] 472/2000 | Uniqueness of an Inverse Coefficient Problem for a Time-Fractional Damped Wave Equation from Boundary Measurements
[NO] 473/2000 | ProbeScale: Probing Analysis to Optimize Neural Scaling Laws for Efficient Small Language Model Inference
[NO] 474/2000 | Tree-Guided Identify-Then-Exploit: A Unified Framework of Best Arm Identification and Regret Minimization for Dueling Bandits
[NO] 475/2000 | Color Confinement and Massive Gluon in Superfield Formalism
[NO] 476/2000 | Evolution of the intertwining correlated topological phases in iron-based superconductor Fe(Te,Se)
[NO] 477/2000 | MoRE: A Mixture-of-Experts-Based Task-Adaptive End-to-End Network for Multimodal MRI Reconstruction
[NO] 478/2000 | Whole-Pool Setwise Reranking with Long-Context Language Models
[NO] 479/2000 | Trans2Occ: Voxel Occupancy Estimation and Grasp for Transparent Objects from Simulation to Reality
[NO] 480/2000 | PillarDETR: YOLO-Backbone and RT-DETR Head for Real-Time 3D Object Detection
[NO] 481/2000 | EvoCut: Multi-Layer Evolution-Aware Visual Token Compression for Efficient Large Vision-Language Models
[NO] 482/2000 | An Improved Lower Bound for the Three-Dimensional Blaschke--Lebesgue Problem from Spectral and Dual Perspectives
[NO] 483/2000 | Hydrogen trapping and interfacial decohesion at the α-Al2O3(0001)/Fe(110) interface
[NO] 484/2000 | Integer quantum Hall effect
[NO] 485/2000 | THRD: A Training-Free Multi-Turn Defense Framework for Jailbreak Attacks on Large Language Models
[NO] 486/2000 | Argument Collapse: LLMs Flatten Long-Form Public Debate
[NO] 487/2000 | In-situ Silicon Doped hBN by High-Temperature Molecular Beam Epitaxy Enables Single Photon Emission
[NO] 488/2000 | Asymptotic Recovery in Fourier Spectral Methods for the Schrödinger Equation with Point Singularities
[NO] 489/2000 | Spatio-Temporal Correlation Guided Geometric Partitioning for Versatile Video Coding
[NO] 490/2000 | MixerSENet: A Lightweight Framework for Efficient Hyperspectral Image Classification
[NO] 491/2000 | Learning Label-Efficient Interpretable Medical Image Diagnosis via Semi-supervised Hypergraph Concept Bottleneck Model
[NO] 492/2000 | IstGPT: LLM-based Anomaly Detection for Spatial-Temporal Graph in Industrial Systems
[NO] 493/2000 | The Numerical Index of Two-Dimensional Real $\ell_p$ Spaces
[NO] 494/2000 | Correlated Quantum Sensing at the Seemingly Classical Limit
[NO] 495/2000 | mmAlert: A Simultaneous Device Localization and Target Tracking System via Cooperative Passive Sensing
[NO] 496/2000 | MobEvolve: An Agentic Self-Evolving Heuristic System for Interpretable Human Mobility Generation
[NO] 497/2000 | CanonCGT: Reference-Based Color Grading via Canonical Pivot Representation
[NO] 498/2000 | On a problem on a generalization of Euler's totient function
[NO] 499/2000 | The geometry of the giant component of random geometric graphs
[NO] 500/2000 | Goal2Pixel: Grounding Goals to Pixels for Vision-Language Navigation
[NO] 501/2000 | ReSkill: Reconciling Skill Creation with Policy Optimization in Agentic RL
[NO] 502/2000 | Turing Patterns for Multimedia: Reaction-Diffusion Multi-Modal Fusion for Language-Guided Video Moment Retrieval
[NO] 503/2000 | Revisiting Ripple Effects in Knowledge Editing through Pressure-Aware Joint Neighborhood Optimization
[NO] 504/2000 | EIVE: End-to-End Instance-Specific Visual Explanations for Detection Transformers
[NO] 505/2000 | RoboTrustBench: Benchmarking the Trustworthiness of Video World Models for Robotic Manipulation
[NO] 506/2000 | Uncertainty-Calibrated Diffusion for Reliable 3D Molecular Graph Generation
[NO] 507/2000 | Timelike ideal boundary of non-positively curved Lorentzian spaces
[NO] 508/2000 | Ultrafast internal dynamics of chiral domain walls probed by time-resolved XRMS
[NO] 509/2000 | Who Annotates in NLP? A Large-scale Assessment of Human Annotation Reporting between 2018 and 2025
[NO] 510/2000 | Minimal intersection radius for $n$ growing, non-homogeneous ellipsoids in $\mathbb{R}^d$
[NO] 511/2000 | A Kinetic Theory of Encounter-Based Information Propagation in Multi-Robot Systems
[NO] 512/2000 | Mehler formula for Wronskians of Hermite polynomials
[NO] 513/2000 | Modified scattering type asymptotic behavior for a quadratic nonlinear Schrödinger system under the mass-resonance condition in two dimensions
[NO] 514/2000 | Charge dynamics in the Weyl semimetals NbIrTe$_4$ and TaIrTe$_4$ under pressure: Signatures of an electronic phase transition
[YES] 515/2000 | Agentic-J: An AI Agent for Biological Microscopy Image Analysis
[NO] 516/2000 | Beyond $\ell_2$-norm and $\ell_\infty$-norm: A Curvature-Inspired $\ell_p$-Norm Scheme for Deep Neural Networks
[NO] 517/2000 | Integrated Sensing and Covert Communication In Low-Altitude Networks: A Smart Radio Environment Perspective
[NO] 518/2000 | Hierarchical assembly in action: a galaxy tail from a disrupting group in the Virgo cluster outskirts
[NO] 519/2000 | Evaluating the role of correlation among markers in prediction models
[NO] 520/2000 | TIDES: Time-Derivative Event Simulation via Deformable Reconstruction
[NO] 521/2000 | Special Dirichlet Processes: Structure, Uniqueness and Stability
[NO] 522/2000 | eMoT: evolving Memory-of-Thought via Symbolic Anchoring and Memory Corrosion
[NO] 523/2000 | Private Learning in Bilateral Trade
[NO] 524/2000 | Explainable Data-driven Deep Reinforcement Learning Methods for Optimal Energy Management in Buildings
[NO] 525/2000 | Realistic noise synthesis reduces bias and improves tissue microstructure estimation with supervised machine learning
[NO] 526/2000 | SentGuard: Sentence-Level Streaming Guardrails for Large Language Models
[NO] 527/2000 | A study of the Physical Properties and Star Formation Activity of a Large Sample of Molecular Clouds: I Distances
[NO] 528/2000 | Variants of Coxeter quandles associated with Pin groups
[YES] 529/2000 | Federated Formal Verification: Cross-Backend Citation, Cross-Axis Convergence, and AI-Orchestrated Proof Dispatch for Production Systems
[NO] 530/2000 | Lie Algebra-Based Quantum Optimal Controls Interpolation
[NO] 531/2000 | TAPAAL SMC: Statistical Model Checking of Stochastic Timed-Arc Petri Nets
[NO] 532/2000 | Distortion-Aware Fusion of Statistical and Vision-Language Features for Blind Image Quality Assessment
[NO] 533/2000 | Scaling Agentic Capabilities via Grounded Interaction Synthesis
[NO] 534/2000 | On the threshold Ramsey multiplicity conjectures for paths and even cycles
[NO] 535/2000 | Testing for Single-Population Ancestry in the Admixture Model
[NO] 536/2000 | Graph Edit Distance Formulation for the Vehicle Routing Problem: Theory and Analysis
[NO] 537/2000 | Spin Dynamics from Niu-Kleinman Adiabatic Approach and Slave Boson Mean Field Theory
[NO] 538/2000 | An NLP-Driven Framework for Curriculum-Labor Market Alignment: Schema-Constrained LLM Extraction, ESCO-Anchored Semantic Matching, and Multi-Dimensional Gap Quantification
[NO] 539/2000 | A Simple Hierarchical Causality Primer
[NO] 540/2000 | Painlevé XXXIV Asymptotics for the Focusing mKdV Equation with Finite-Genus Background and Discrete Spectrum
[NO] 541/2000 | AutoBG: A Board Game Design Assistant with Interactive Ideation, Iterative Rulebook Generation, and Individualized Feedback
[NO] 542/2000 | Market-Based Replanning for Safety-Critical UAV Swarms in Search and Rescue Missions
[NO] 543/2000 | Training Prompt Matters: State-Adaptive Optimization for Robust Fine-Tuning
[NO] 544/2000 | Eyettention II: A Dual-Sequence Architecture for Modeling Fixation Location, Within-Word Landing Position, and Fixation Duration in Reading
[NO] 545/2000 | Return-to-Baseline Testing via Empirically Calibrated e-processes
[NO] 546/2000 | WALL-WM: Carving World Action Modeling at the Event Joints
[NO] 547/2000 | Rank-Constrained Deep Matrix Completion for Group Recommendation
[NO] 548/2000 | An Explicit Scott-Type Bound for Absolutely Maximally Entangled States with Arbitrary Defect
[NO] 549/2000 | Magnetic control of electron scattering in silicene quantum dots
[NO] 550/2000 | Unified Driving Tokens: Representation- and Geometry-Guided Discrete Tokenizer for Driving World Models and Planning
[NO] 551/2000 | A Unified E2E Energy Efficiency Testing Framework for Open RAN
[NO] 552/2000 | Effective dynamics of a homogeneous and isotropic universe with quantum curvature
[YES] 553/2000 | Mitigating Bias in Locally Constrained Decoding via Tractable Proposals
[NO] 554/2000 | Astrophysical Applications of the Physics presented in the Film Interstellar
[NO] 555/2000 | Echo: A Joint-Embedding Predictive Architecture for Speaker Diarization and Speech Recognition in a Shared Latent Space
