[2026-08-15 22:20:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[IEEE] 2026-8-14 | Dynamic Forecasting Model for Macroeconomic Indicators based on Time Series Algorithms
[IEEE] 2026-8-14 | Coordinated Planning and Life Cycle Economic Assessment of Generation-Side Data Centers under Source-Grid-Load-Storage Integration
[IEEE] 2026-8-14 | Causal Prototype-Guided Multi-Instance Learning for Explainable Breast Cancer Diagnosis in Mammogram Images
[IEEE] 2026-8-14 | Weakly Supervised PE Detection with 2.5D Optimization
[IEEE] 2026-8-14 | YOLOv8-WIoU: Robust and Efficient Object Detection for Occluded and Non-Standard Vehicles in Unstructured Driving Environments
[IEEE] 2026-8-14 | A Modified EfficientNet-B7 based Deep Learning Framework for Diabetic Retinopathy Severity Classification
[IEEE] 2026-8-14 | A Curated List of Open-Source Software-Only Energy Efficiency Measurement Tools: A Github Mining Study
[IEEE] 2026-8-14 | Smart Predictive Monitoring of Foot Pain with Machine Learning Algorithms
[IEEE] 2026-8-14 | Performance Evaluation of YOLO-NAS, YOLOv11, and YOLOv12 Small Variants for Cacao Pod Disease Detection
[IEEE] 2026-8-14 | Wind Power Prediction Method Based on EEMDWOA-KAN-BiGRU
[IEEE] 2026-8-14 | U-Net Architecture Optimization for Subsurface Temperature Reconstruction in the Offshore Areas of China
[IEEE] 2026-8-14 | A Carbon-Optimal and Security-Compliant Scheduler for Cloud Workloads using Region-Specific ML Models
[IEEE] 2026-8-14 | Real-Time UAV Battery Condition Monitoring using TCN with Dilated Causal Convolutions and Multi-Task Reinforcement Learning
[IEEE] 2026-8-14 | A Spatial-Temporal Traffic Surveillance System in IoT Environments through MCEL-YDFNet Framework based on YOLOv10 and Dilated TCN Network
[IEEE] 2026-8-14 | Deep Learning based Computational Intelligence for Real-Time Predictive Maintenance in Industrial IoT Systems
[IEEE] 2026-8-14 | Optimization of Scalable and Low-Cost Priority Encoders using Quaternary Reversible Logic
[IEEE] 2026-8-14 | Adaptive Program Governance Platform using Reinforcement Learning and Policy Optimization
[IEEE] 2026-8-14 | YOLOv11-MSTATN Framework for Video-Based Underground Mining Safety Monitoring
[IEEE] 2026-8-14 | EUCAS 2025 Conference Co-Chairs’ Introduction
[IEEE] 2026-8-14 | Noise Suppression in an NPR-based Stretched Pulse Fiber Laser by Pump Feedback Polarization Control
[IEEE] 2026-8-14 | Distributed Open-Set Human Activity Recognition for IoMT via Federated Data Stream Mining with Lightweight Auxiliary Novelty Detection on Wi-Fi CSI Edge Devices
[IEEE] 2026-8-14 | FINER++: Building a Family of Variable-periodic Functions for Activating Implicit Neural Representation_supp1-3722883.pdf
[IEEE] 2026-8-14 | Integrating Chaos Game Representation with Convolutional Neural Networks for Accurate Classification of SARS-CoV-2 Variants
[IEEE] 2026-8-14 | A Data driven framework for operational stress level classification and DSTATCOM Control for Enhancing Power Quality in Distribution Networks Hosting Hybrid EV Charging Stations
[IEEE] 2026-8-14 | SAR Multi-Interference Joint Detection and Low-loss Suppression via Complex-valued Self-supervised Learning
[IEEE] 2026-8-14 | S
                    <sup>2</sup>
                    CLNet: Structure-Constrained Semantic Contrastive Learning for Referring Remote Sensing Image Segmentation
[ACM] 2026-8-14 | The Bulk-Synchronous Parallel Model
[ACM] 2026-8-14 | Completeness Classes in Algebra
[IEEE] 2026-8-14 | Ops Patterns for Education: Aligning Software Engineering Curricula with Emerging xOps Architectures
[IEEE] 2026-8-14 | Smart Food Quality and Freshness Monitoring by using Adaptive Sensor Reliability, Cross-Modal Fusion and Adaptive Freshness Learning
[IEEE] 2026-8-14 | Visualizing the Runtime Behavior of Microservices
[IEEE] 2026-8-14 | Evaluation of Physical Education Teaching Quality in Colleges and Universities based on Adaptive Feature Attention–Bayesian Optimized Backpropagation Neural Network
[IEEE] 2026-8-14 | VLSI Implementation of a Low-Power RISC-V Memory Management Accelerator for Sustainable Smart Systems
[IEEE] 2026-8-14 | Optimal Operation of Active Distribution Networks with Flexible Network Reconfiguration and Multi-Energy Integration
[IEEE] 2026-8-14 | Durability Test of a Tough-PLA-Based Mirror Scanner
[IEEE] 2026-8-14 | A Reduced Switch Structure of Multilevel Inverter for Induction Motor with Open End Windings
[IEEE] 2026-8-14 | A Cloud-Centric IoT Framework for Healthcare Accessibility and Medical Education
[IEEE] 2026-8-14 | Comprehensive Analysis of Face Recognition using Machine Learning and Deep Learning Models
[IEEE] 2026-8-14 | Identifying Confounders in Cloud-Native Technology Adoption: Evidence from Kubernetes
[IEEE] 2026-8-14 | PF-BiLSTM: A Propagation-Aware Temporal Learning Framework for Forest Fire Prediction and Wildlife Protection
[IEEE] 2026-8-14 | Performance Characterization of Dynamic Multi-GNSS Positioning using Android Smartphone Raw Measurements
[IEEE] 2026-8-14 | A Comparative Framework for Energy and Carbon Footprint Analysis in Classical and Quantum Machine Learning
[IEEE] 2026-8-14 | A Silhouette-Optimized Density Clustering Framework for Paddy Yield Profiling Across Heterogeneous Environmental and Operational Embeddings
[IEEE] 2026-8-14 | StripFusion-Net: Adaptive Spatial Feature Learning for Real-Time VR/AR Scene Analysis
[IEEE] 2026-8-14 | Optimized CNN Accelerator for High-Performance MAC Architecture
[IEEE] 2026-8-14 | Equivalent Circuit Modeling of PEM Electrolyzer Incorporating Polarization Characteristics for Power Electronics Simulation
[IEEE] 2026-8-14 | Forecasting Models for Long-Term Solar Energy Trends: A Weather-Driven Study in Rural India
[IEEE] 2026-8-14 | An Innovative Real-Time Object Detection Framework for Satellite-based Infrastructure Monitoring
[IEEE] 2026-8-14 | Retail Context-Gated LSTM for Adaptive Demand Forecasting and Inventory Optimization in Smart Retail Applications
[IEEE] 2026-8-14 | A Comprehensive Review of Human Activity Recognition Methods: Trends, Challenges, and Future Directions
[IEEE] 2026-8-14 | Real-Time Sign Language Translator using Vision Transformer for Gesture-to-Speech Conversion
[IEEE] 2026-8-14 | Federated Imbalance-Aware Learning for Renewable Energy Adoption and Environmental Restoration Potential
[IEEE] 2026-8-14 | IoT-Based Smart Fish Farming and Aquaculture Monitoring Framework through Mamba and Temporal Convolutional Network
[IEEE] 2026-8-14 | An Intelligent Behavior Modeling Framework for Adaptive User Interface Optimization using Deep Sequential Learning
共写入 1000 条记录，保存到 papers/paper2026-08-14.json。
论文获取成功，文件路径: papers/paper2026-08-14.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Tools for Enhancing Active Learning Experience in an Online Environment
[NO] 2/1000 | Conference Calendar
[NO] 3/1000 | A Unified Framework for Distributed Nonconvex Composite Optimization With Refined Convergence Analysis
[NO] 4/1000 | Quickest Change Detection with Cost-Constrained Experiment Design
[NO] 5/1000 | Bridging Training–Deployment Gap in Intrusion Detection with Source-Free Domain Adaptation
[NO] 6/1000 | A RankNet-Inspired Surrogate-Assisted Hybrid Metaheuristic for Expensive Coverage Optimization_supp1-3716527.pdf
[NO] 7/1000 | Message from the Program Chairs ICSA-C 2026
[NO] 8/1000 | Integrated DNN-SMC Control with CLF-QP Stability Monitoring for Lunar Landing
[NO] 9/1000 | Recent Advances in Millimeter-Wave 4-D Imaging Radars: A Leap Toward Massive MIMO in Sensing_supp1-3719796.pdf
[NO] 10/1000 | MetaSpongeDetect: A Meta-Learning Approach to Securing AI Systems Against Sponge Attacks in Social Applications
[NO] 11/1000 | A Survey of Typical-Cell Volume Distributions in Poisson–Voronoi and Poisson–Delaunay Tessellations: Analytical Theory, High-Dimensional Limits, and Wireless Applications
[NO] 12/1000 | Table of Contents
[NO] 13/1000 | Cryptographic Limitations on Learning Boolean Formulae and Finite Automata
[NO] 14/1000 | A. M. Turing Award Oral History Interview with Leslie Gabriel Valiant
[NO] 15/1000 | Fabrication of Thermal Microactuators via Post-3D-Printing Femtosecond Laser Modification
[YES] 16/1000 | Bridging Formal Syntax and LLM Semantics: Extracting Knowledge Graphs for Legacy Code Understanding
[NO] 17/1000 | Dynamic Retrieval Augmented Generation for Enterprise Knowledge Intelligence Systems using Large Language Models
[NO] 18/1000 | A Hybrid FinBERT–BiLSTM Framework for Financial News Sentiment-based Stock Market Trend Prediction
[NO] 19/1000 | Accurate Prediction of Leukemia by EfficientNetB3 and ResNet50 Transfer Learning Models
[NO] 20/1000 | An Intent-based Text Mining Analysis of Graduate IT Students’ Perspectives on AI Use: An Exploratory Study
[NO] 21/1000 | Design of Autonomous Classification System for Digital Painting Images based on Machine Learning Algorithms
[NO] 22/1000 | Deep Learning-Driven Skin Cancer Diagnosis: Advanced Neural Network Architectures for Automated Detection and Classification in Dermatology
[NO] 23/1000 | RIDR-FRR: An AutoML Framework for Regime-Robust Multi-Condition Aircraft Engine RUL Prediction
[NO] 24/1000 | Blockchain-based Distributed Fractional Hawk Optimized Cluster Head Selection for Secure Routing in Wireless Sensor Networks
[NO] 25/1000 | Fine-Grained Dynamic Attack Tree Modeling for Multi-Stage Cyber Attack Risk Assessment in Cyber-Physical Power Systems
[NO] 26/1000 | Machine Learning-based Real Estate Valuation System
[NO] 27/1000 | Explainable AI-based Hybrid EfficientNetV2-YOLOv11 with Grad-CAM for Ultrasound Image-based PCOS Detection
[NO] 28/1000 | Calibration of Variational Quantum Classifiers Under Depolarizing Noise: Expected Calibration Error, Ansatz Expressibility, and Post-Hoc Temperature Scaling
[NO] 29/1000 | Monoliths to Microservices: Evidence from Cloud Computing Pedagogy
[NO] 30/1000 | A Hybrid Framework for Effective Chronic Diabetes Disease Management
[NO] 31/1000 | Oscillation Prevention for Plant-Grids Based on Bidirectional Dynamic Reactive Power Reserve Measurement and Control
[NO] 32/1000 | A Hybrid KF-LSSVM Clock Holdover Framework for NTN IoT Synchronization Under Weak-GNSS Conditions
[NO] 33/1000 | Manifold-Contrastive Few-Shot Detection for AI-Generated Images
[YES] 34/1000 | UMLCoder: A Novel Multi-Agent Framework for Generating Code with the Help of uml Diagrams
[NO] 35/1000 | BreathBand: A Smart Wearable Companion for Real-Time Respiratory Monitoring and Emergency Asthma Management
[NO] 36/1000 | Digital Twin-Driven Predictive Power Quality Control in EV-Dominated Renewable Distribution Networks
[NO] 37/1000 | Design and Comparative Analysis of Processor based and Reconfigurable Controllers
[NO] 38/1000 | Supplementary Materials for Human–AI Collaboration to Empower People Seeking Support
[NO] 39/1000 | Introduction
[NO] 40/1000 | Identifying Complementary Therapeutic Relationships for Drug Repurposing via Spectral–Spatial Graph Contrastive Learning_supp1-3723303.pdf
[NO] 41/1000 | Table of Contents
[NO] 42/1000 | Streamlined Butler Matrix Architecture for RF Front-End Beam Steering Systems_supp1-3723650.pdf
[NO] 43/1000 | A Motion Planning Control Strategy for Autonomous Vehicles Considering Driving Style Personalization and Optimal Energy Consumption
[NO] 44/1000 | A Label-Free and Transferable NILM Framework for Smart Home Energy Services
[NO] 45/1000 | Text-Guided Dual Refinement for Domain Generalized Semantic Segmentation in Remote Sensing
[NO] 46/1000 | Learn Faster and Remember More: Balancing Exploration and Exploitation for Continual Test-time Adaptation
[NO] 47/1000 | Uncertainty-Aware Transition Interval Identification for Bearing Remaining Useful Life Prediction
[NO] 48/1000 | Zero-Trust Privacy Enforcement and Threat-Aware Monitoring in Consumer Healthcare Systems
[NO] 49/1000 | Design and Implementation of Computer Technology Scheduling Engine in Experiment Process Management Decision System
[NO] 50/1000 | A Review of First and Second Order Ionospheric Effects in GNSS with Experimental Assessment using Dual-Frequency NavIC Observations over Dehradun, India
[NO] 51/1000 | Understanding and Managing Architecture Technical Debt Through Cross-Artifact Integration
[NO] 52/1000 | Design of a Low Power Static Random Access Memory (SRAM) with Integration of Clock Gating Technique using 22nm of CMOS Technology
[NO] 53/1000 | Beyond Rules-based Fraud Detection: Explainable Graph AI for Streaming Retail Transactions
[NO] 54/1000 | Gold Electrode Cleaning of Self-Biasing Microparticles via Cyclic Voltammetry
[NO] 55/1000 | Generative AI in Safety Engineering: Transforming HARA Artifacts into DDI Models
[YES] 56/1000 | Automating Domain-Driven Design: Experience with a Prompting Framework
[NO] 57/1000 | An IoT-based Real-Time Health Monitoring System for Industrial Machines using ESP32 and Cloud-based Automated Shutdown
[NO] 58/1000 | IoT-Enabled Smart Wearables for Early Detection of Dehydration in Elderly Care Facilities
[NO] 59/1000 | A Machine Learning Approach for Accurate Corrosion Level Estimation and Model Interoperability
[NO] 60/1000 | Knowledge-based Targeted Water Sprinkler System for Adaptive Irrigation using Arduino
[NO] 61/1000 | Prototype-Guided Hybrid Layer-Wise Explainability for CNN-based Surveillance Image Event Detection
[NO] 62/1000 | Development of Diamond Metalenses for Quantum Sensing Applications
[NO] 63/1000 | Hybrid Battery Thermal Management: Architectures, Optimization, and Emerging Technologies
[NO] 64/1000 | Autonomous Digital Twin Ecosystems for Precision Healthcare Forecasting
[NO] 65/1000 | A Microservices-Based Architecture for Machine Learning Systems Dedicated to Predictive Maintenance
[NO] 66/1000 | A Fuzzy-Enhanced Multi-Model Fusion Framework for E-Commerce Customer Churn Prediction
[NO] 67/1000 | A Risk-Aware Network Intrusion Detection System using Rule-based Detection and EPSS-based Alert Prioritization
[NO] 68/1000 | Architecting Human Oversight in AI-Enabled Software Systems: From Principles to Implementation
[NO] 69/1000 | A Comprehensive Deep Learning Framework for Summarizing Statutory Text
[NO] 70/1000 | Comparative Analysis of Pretraining Paradigms for Label-Efficient Chest X-Ray Classification
[NO] 71/1000 | FishFresh: A Mobile-based Computer Vision System for Real-Time Fish Freshness Assessment and Enhanced Post-Harvest Quality
[NO] 72/1000 | ShadowNet: A Multi-Protocol IoT Honeypot for Attack Detection and Behavior Analysis
[NO] 73/1000 | Explainable Deep Learning Framework using Swin Transformer for Gangrene and Ulcer Classification
[NO] 74/1000 | Optimizing Control Performance and Reliability of Hybrid Renewable Systems with Fuzzy Logic Controller
[NO] 75/1000 | Adventures in Agile Architecture Governance: Lessons Learned from a Risk- and Cost-Driven Architecture Perspective
[NO] 76/1000 | Communication-Aware Explainable Multimodal Attention Network for AI-Based Smart Assisted Living and Elderly Care Systems
[NO] 77/1000 | IoMT-HealNet: Explainable Machine Learning Architecture with MLOps and AgentOps for Smart Patient Recovery Prediction
[NO] 78/1000 | Domain-Specific ReAct for Physics-Integrated Iterative Modeling: A Case Study of LLM Agents for Gas Path Analysis of Gas Turbines
[NO] 79/1000 | Leveraging Fine-Tuned LLAMA for Mental Health Support
[NO] 80/1000 | FOOD-GUARD: A Blockchain-Enabled Multi-Layer Detection Framework for Hybrid Attacks in Food Supply Chain Security
[NO] 81/1000 | Software Engineering Practices for Advanced Therapy Medicinal Products
[NO] 82/1000 | AI-Enabled Threat Detection using Deep Learning
[NO] 83/1000 | Development of an Intelligent DDoS Detection and Mitigation System using Router Log and Flow-based Traffic Analysis with Ensemble Machine Learning
[NO] 84/1000 | Skeleton-Guided WPT Coil Alignment for Autonomous Robots
[NO] 85/1000 | Hyperspectral Remote Sensing Image Classification using AI-Driven Approaches
[NO] 86/1000 | Reconfigurable Graphene-Metasurface Analysis via an Eigenmode-Free Method-of-Lines Formulation
[NO] 87/1000 | Mixture of Experts Learning-based Accurate Surrogate for Evolutionary Expensive Optimization_supp1-3723213.pdf
[NO] 88/1000 | Adaptive Multi-interpolation and Multi-dimensional Feature Weighting for Binocular 3-D Visible Surface Reconstruction
[NO] 89/1000 | Synchronization of Directed Multi-Level Complex Networks With Multiple Delays
[NO] 90/1000 | Current Rating and Sheath Loss Assessment of Underground Power Cables Using Electro-Thermal Finite Element Modeling
[NO] 91/1000 | Switch Open-Circuit Fault Detection and Compensation System for LLC Resonant Converters in LDC Applications of Electric Vehicles
[NO] 92/1000 | Inversion of Particle Size Distribution and Abundance of Phytoplankton Species from Their Backscattering Coefficients in Visible Light
[NO] 93/1000 | A Theory of the Learnable
[NO] 94/1000 | EGA-DTA: An Energetic-Geometric Augmented Graph Neural Network With Target-Conditional Gating for DTA Prediction
[NO] 95/1000 | Locally Distributed Estimation With Binary Sensors: A Dissipativity-Based Approach
[NO] 96/1000 | Machine-Readable Compliance Evidence: NIST SSDF and Patch Controls as Code for Federal Cloud Authorization
[NO] 97/1000 | Self Explaining Vision Transformer using Large Language Models for Trustworthy Image Classification
[NO] 98/1000 | Machine Learning-based Fraud Detection in Electric Vehicle Charging Networks
[NO] 99/1000 | Modeling and Simulation of PV-Energy Storage Grid-Connected Generation System Based on VSG
[NO] 100/1000 | Dynamic Synergistic Enterprise Marketing Strategy Selection Framework using Adaptive Optimization and Intelligence-Driven Decision Analytics
[NO] 101/1000 | AI-Driven Optimization of Smart Urban Infrastructure for Sustainable Cities
[NO] 102/1000 | A Study on the Selection of AGPS DC Filter Parameters Based on the NSGA-II Algorithm
[NO] 103/1000 | Design and Implementation of an Auxiliary Teaching System for College Chemistry based on DFN-Net
[NO] 104/1000 | Adaptive Semantic Path Planning for Safe Human Robot Interaction (HRI)
[NO] 105/1000 | Optimized Design of Electrode using Multi-Frequency Bioelectrical Impedance Analyser for Glucose Monitoring in Healthcare Applications
[NO] 106/1000 | Corrections to “BERT2D: Two Dimensional Positional Embeddings for Efficient Turkish NLP”
[NO] 107/1000 | Towards Collecting Large-Scale Vehicular Sensor Data for Open Access
[NO] 108/1000 | AdaptiReason: Adaptive Chain-of-Thought Compression for Efficient Large Language Model Inference
[NO] 109/1000 | RAD-AI: Rethinking Architecture Documentation for AI-Augmented Ecosystems
[NO] 110/1000 | Artificial Intelligence in Broadband Oscillation Modeling: A Review
[NO] 111/1000 | Perception of Safety Risks in Construction based on Dynamic Safety Perception Index-Artificial Neural Network
[NO] 112/1000 | Improvement of Adaptive Resistance Design for Metal Clamping Points in Common Grounding Electrode
[NO] 113/1000 | Sustainability-Aware Learning-Analytics-Enhanced Retrieval-Augmented AI Tutor for Inclusive Higher Education in Resource-Constrained Settings
[NO] 114/1000 | A Trust Governance Architecture for Ethical-Aware Autonomous Systems in Smart Ecosystems
[NO] 115/1000 | Mack-Unet: a Topology-Preserving Hybrid Mamba-Kan Architecture for Fine-Grained Crack Segmentation
[NO] 116/1000 | Intelligent Data Analytics Framework for Climate Change Monitoring Systems
[NO] 117/1000 | A Hybrid Localization Algorithm with Trajectory Prediction for Underwater Mobile Nodes
[NO] 118/1000 | Feature Selection and Performance Analysis for Heart Rate Estimation from Smartphone Photoplethysmography
[NO] 119/1000 | Scaling Sustainability: A Carbon-Aware Reasoning Framework for Multi-Tenant Software-as-a-Service
[NO] 120/1000 | Comprehensive Analysis of ChatGPT Performance Across Multiple Academic Subjects: Mathematics, Physics, Economics, Fiqh and English
[YES] 121/1000 | A Survey on Autonomous Compliance Enforcement using Agentic AI
[NO] 122/1000 | Gauge Equivariant Capsule Networks
[NO] 123/1000 | Mitigation of short-channel effects in ultra-scaled β- high electron mobility transistors_supp1-3723461.docx
[NO] 124/1000 | Robust Information Bottleneck for Satellite Edge Inference over MIMO Channel
[NO] 125/1000 | 2026 IEEE 4th International Conference on Power Science and Technology (ICPST)
[NO] 126/1000 | Hybrid Adaptive ESO Network With Noise-Robust Fusion for Wideband Disturbance Rejection: Application to Pneumatic Precision Machining
[NO] 127/1000 | Learning Time-Varying Graphs from Incomplete Graph Signals
[NO] 128/1000 | Robust UAV Landing via Uncertainty-Aware Vision–LiDAR Sensor Fusion
[NO] 129/1000 | EUCAS 2025 Conference Organization
[NO] 130/1000 | The Potential for "Needy" Socially Assistive Robots in Assisted Living: Support Workers' Perspectives
[NO] 131/1000 | Introduction to the Special Issue on Hypermedia Systems
[NO] 132/1000 | Transmit and Reflect Beamforming for RIS-Aided Multi-Target ISAC Wireless Networks: RSMA or NOMA?
[NO] 133/1000 | A Spike-Driven Neuromorphic Framework for Asynchronous Population-Based Optimisation_supp1-3723682.pdf
[NO] 134/1000 | An Eight-Channel, 42-Gb/s/Channel Single-Ended PAM-4 Transmitter With a ZQ-Based FFE and PAM-4 LSB DBI Encoding for Memory Interfaces
[NO] 135/1000 | Mitigating False Positives in Complex Spectral Scenarios: A Mutual Information Guided Wavelet Disentanglement Framework for Remote Sensing Change Detection
[NO] 136/1000 | Traceable and Revocable Bilateral Access Control with Constant-Length Ciphertexts for Cloud Sharing
[YES] 137/1000 | Enhancing Power Grid Model Generation with Large Language Models via Progressive Fine-Tuning
[NO] 138/1000 | Proceedings
[NO] 139/1000 | ICDCECE 2026 Copyright Page
[NO] 140/1000 | A Gravity-Feature-Driven Path Planning Framework for Matching Performance Enhancement in UUV Gravity-Aided Navigation
[NO] 141/1000 | Analysis on the Law of Marine Organism Outbreak Caused in Nuclear Power Plant Based on Salvage Quantity
[NO] 142/1000 | From Agent-First to Deterministic-First: Architectural Design Decisions for Engineering Data Extraction
[NO] 143/1000 | A Practical QR Code-based Attendance System with Proxy Mitigation Measures for Academic Institutions
[NO] 144/1000 | An IoT-based Water Quality Monitoring System using a Hybrid 1D-CNN–BiLSTM Model with Attention Mechanism
[NO] 145/1000 | A Hierarchical Deep Reinforcement Learning Framework for Dynamic Database Load Balancing in Power Grid Data Centers
[NO] 146/1000 | AI-Driven Personalized Career Roadmap and Progress Tracking System using Machine Learning and Learning Analytics
[NO] 147/1000 | Virtual Storage-Based Frequency Response Modeling for Heterogeneous Distribution Energy Resources of Integrated Energy System in Multiple Frequency Regulation
[NO] 148/1000 | Multi-Seed Reliability and Trajectory Analysis of Direction-Alignment Backdoor Defenses in Non-IID Federated Learning
[NO] 149/1000 | High-Gain Compact Dual-Band (28/38 GHz) mmWave MIMO Antenna for 5G: Design and Analysis
[NO] 150/1000 | Hybrid CNN–BiLSTM–Attention Framework for Real-Time Arrhythmia Classification using Continuous ECG Monitoring
[NO] 151/1000 | Shifted Feasible Set Robust Least Squares for TDOA Localization Under NLOS Conditions
[NO] 152/1000 | IoT-based Waste Bin Monitoring System using the Message Queuing Telemetry Transport Method
[NO] 153/1000 | Conversational AI for Secure Personal Problem Disclosure and Secure Decision Making
[NO] 154/1000 | Quantum-Secure Data Pseudonymization Framework with QKD-based Key Management and ML-Driven Re-Identification Risk Analysis
[NO] 155/1000 | Energy Efficient CNN Accelerator using Statistical Byte-Level Decomposition and Hybrid Kernel Architecture
[NO] 156/1000 | Blockchain-based Notarization System: A Decentralized Approach to Document Authentication using Smart Contracts and Public Key Infrastructure
[NO] 157/1000 | Comparative Evaluation of Machine Learning Algorithms for Water Use Efficiency Classification in Ecological Systems
[NO] 158/1000 | IoT-Enabled Smart Remote for Intelligent Air Conditioner with Adaptive Energy Management
[NO] 159/1000 | Team-Driven Architecture Evaluation with LASR
[NO] 160/1000 | Real-Time Crop Disease Detection using Lightweight Vision Transformers (ViTs) on Drones
[NO] 161/1000 | Applied Principal Component Analysis for Reducing Dimensionality in Partition-based Clustering of Gas-Turbine Operating Data
[NO] 162/1000 | Radar HRRP Target Recognition Method Based on Residual Convolutional Networks
[NO] 163/1000 | Park Track: Computer Vision-based Smart Parking Management System with Real-Time Monitoring using YOLOv8 for Object Detection
[NO] 164/1000 | Prescribed-Time Adaptive Control for Stand-Alone Three-Phase Inverters with Current Constraints
[NO] 165/1000 | Icsa 2026 Working Sessions
[NO] 166/1000 | An Attention-based Transformer Encoder for Efficient Intrusion Detection in High-Volume Network Traffic
[NO] 167/1000 | Critical Review of Improved Artificial Intelligence- Based State of Health Evaluation and Safety Status Detection for Multiple Types of Large-Scale Energy Storage Systems
[NO] 168/1000 | Adaptive Vision Language Prompt Optimization for Explainable Plant Disease Diagnosis
[NO] 169/1000 | A Secure Mobile Financial Authentication Framework using Multi-Factor Hashing and Encrypted OTP Validation
[NO] 170/1000 | Hybrid AI Framework for Multi-Omics-based Kidney Tumor Subtype Classification and Precision Oncology
[NO] 171/1000 | Entanglement as a Structural Prior: Comparative Analysis of Separable and Entangled Quantum Physics-Informed Neural Networks for Coupled Power System Dynamics
[NO] 172/1000 | Design of High-Speed Permanent Magnet Synchronous Motor for Molecular Pump Applications
[NO] 173/1000 | HDLGNet: Heterogeneous Dual-Stream Layer-wise Gated Fusion Network for Automatic Modulation Classification
[NO] 174/1000 | Deep Learning for Hybrid Graph Isomorphism and Edge-Gated Attention for Alzheimer’s Diagnosis in Multi-Class Classification
[NO] 175/1000 | A Scalable LLM-as-Judge Framework for Automated Evaluation of Generative AI Systems with Domain-Adaptive Calibration
[NO] 176/1000 | Metasurface-Based Wide-Band High-Efficiency Blazed Grating by 3D Topology Optimization
[NO] 177/1000 | Intelligent Sensor Systems for Biomedical and Healthcare Applications using an Adaptive Feature Attention Transformer
[NO] 178/1000 | AI-based Clinical Decision Support for Heart Disease Prediction
[NO] 179/1000 | AI-Driven Cloud-Native Banking Platforms: A Scalable Architecture for Real-Time Financial Services
[NO] 180/1000 | Power System Planning Under Extreme Heat and Drought Scenarios Using Generalized Support Capability Metrics
[NO] 181/1000 | MEDEA: A Design-Time Multi-Objective Manager for Energy-Efficient DNN Inference on Heterogeneous Ultra-Low Power Platforms
[NO] 182/1000 | Reverb: Ex-Vivo Rewinding IoT Device Faulty Execution Trace with Edge-Side Recording
[NO] 183/1000 | Physics-Guided Machine Learning for Path Loss Prediction: A Review
[NO] 184/1000 | Finite-Time Cooperative Auto-Berthing Control of Autonomous Surface Vehicle Fleets With Collision Avoidance
[NO] 185/1000 | A Hybrid Stochastic Gradient Tracking Method for Distributed Online Optimization Over Time-Varying Directed Networks_supp1-3714189.pdf
[NO] 186/1000 | 2026 4th International Conference on Sustainable Computing and Smart Systems (ICSCSS)
[NO] 187/1000 | Robust Deep Video Watermarking Against Camera Recording Attacks via Temporal Distortion Modeling and Synchronization
[NO] 188/1000 | Circular Cross-Shaped Metamaterial Absorber with Near-Unity Absorption for Biomedical Microwave Sensing
[NO] 189/1000 | ICSCSS 2026 Committees
[NO] 190/1000 | Thermally Tunable Microstructure Based on CTE-Engineered Composite Resins
[NO] 191/1000 | Intelligent Visualization of Book Narratives using Natural Language Processing
[NO] 192/1000 | Adaptive Gaussian Long Short-Term Memory with Multi-Head Attention (AGLSTM-MHA) based Framework for Heart Failure Prediction in ST-Segment Elevation Myocardial Infarction (STEMI)
[NO] 193/1000 | A Review of Digital Signal Processing Applications in 5G Channel Estimation
[NO] 194/1000 | Enhancing Social Media Content Authenticity through CNN-based DeepFake Face Detection
[NO] 195/1000 | Five Years of Microfrontends at Kiavi
[NO] 196/1000 | An Intelligent Insect Bite Identification and BiteCare Recommendation System using MultiObjective Safe Deep Q-Network
[NO] 197/1000 | Free-Space Reconfigurable Optical Interconnects for the Next Generation Datacenters
[NO] 198/1000 | Image Processing Method of Multimedia Artistic Creation based on Multi-Modal Data Fusion
[NO] 199/1000 | DeepAnom: A Hybrid Time GAN and LSTM Autoencoder Framework for Time-Series Anomaly Detection in IIoT Systems
[NO] 200/1000 | Intelligent Optimization of Semantic Understanding in Machine Translation under the Big Data Context
[NO] 201/1000 | YOLOv8-Powered Intelligent Surveillance: An Integrated Real-Time Framework for Crowd Management, Crime Prevention, and Workplace Safety Monitoring using AI and ML
[NO] 202/1000 | Shuffle Head Self Attention Enhanced YOLO for PCB Defect Detection
[NO] 203/1000 | Intelligent Recognition of Human Motion Posture based on CNN Deep Learning Algorithm
[YES] 204/1000 | Efficient Input Minimization for Kernel Fuzzing via Relation- and Type-Guided Optimization
[NO] 205/1000 | AI Adoption for Academic Performance: A UTAUT-based Analysis Among Gen Z
[NO] 206/1000 | Evaluation of Youth Basketball Training Effect based on Adaptive Weighted Temporal Fusion Deep Q Network and Multi-Modal Data Fusion
[NO] 207/1000 | An Insight-Driven Comparative Analysis of Deep Learning Models for Breast Ultrasound Image Classification
[NO] 208/1000 | Intelligent Fake Employer Detection System using Hybrid Ensemble Learning and Behavioral Pattern Analysis
[NO] 209/1000 | Navi Bus: A Smart Urban Mobility and Passenger Intent Prediction Platform
