[2026-09-04 23:45:21] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-03
正在获取论文...
[arXiv] 2026-09-03 | ToPO: Token-Conditioned Preference Routing for Attention-Based Latent Diffusion Models
[IEEE] 2026-9-3 | Evaluating PDPL Compliance in E-Commerce Websites: Insights and Lessons Learned from Human and LLM Analyses_supp1-3730247.pdf
[IEEE] 2026-9-3 | A Zero-Bias Single-Pixel Sensor for IoT Edge Spectral Material Identification
[ACM] 2026-9-4 | Bridging policy and practice: a digital-enabled strategic framework for craft-design collaboration to promote cultural sustainability
[ACM] 2026-9-4 | Application of Virtual Reality Technology in Physical Education
[ACM] 2026-9-4 | Painting Technique Knowledge Association Mining and Teaching Resource Recommendation Integrating LightGCN with Knowledge Graph
[ACM] 2026-9-4 | Chinese Landscape Painting Composition Generation and Spatial Layout Optimization Using Transformer-Diffusion Hybrid Model
[ACM] 2026-9-4 | A Study on the Transformation and Application of Traditional Culture in the Multi-modal Interactive System Design from the Perspective of Moral and Aesthetic Education: A Case Study of Mortise-and-Tenon Joints and Chinese Characters
[ACM] 2026-9-4 | Artificial Intelligence Interaction Design Model Reduces Learning Burnout among Secondary Vocational Students: Based on the Basic Psychological Needs’ Theory of SDT
[ACM] 2026-9-4 | Research on the Differentiated Communication Paradigm of Film and Television Content Driven by Intelligent Image Generation and Multimodal Interaction
[ACM] 2026-9-4 | Establishment and Application of a Virtual Reality-Assisted Design Environment for Historic Buildings
[ACM] 2026-9-4 | From Dialogue to Atmosphere: Ambient Embodiment as an Alternative AI Interaction Paradigm for VR Emotional Support
[ACM] 2026-9-4 | Research on the Influence Mechanism of AI Recommendation System Based on Nonaka's Knowledge Creation Spiral on User Knowledge Conversion and Purchase Decision in Cross-border E-commerce
[ACM] 2026-9-4 | AI Empowerment, User Experience, and Cultural Translation: Design and Evaluation of a Cross-border E-commerce Platform for Cultural and Creative Products Targeting the Northeast Asian Market
[ACM] 2026-9-4 | Computational Emotional Design Strategies for Yangliuqing New Year Painting Cultural and Creative Products Based on MBTI-Kano Model Integration and User Data Mining
[ACM] 2026-9-3 | Machine Learning Enhanced Post-selection in Quantum Networks
[ACM] 2026-9-3 | Evaluating Prompt Robustness in Text-to-Audio Systems for Adaptive Virtual Agents and Game Soundtracks
[ACM] 2026-9-3 | Back to the museum: Investigation of the acceptance of Android Andrea with and without emotion simulation in a museum
[ACM] 2026-9-3 | Experiential Knowledge in Multi-Agent Virtual Health Systems: The Value of an Expert Patient Agent
[IEEE] 2026-9-3 | Application of Whale Optimization Algorithm for SCOPF in a 20 kV Isolated System
[IEEE] 2026-9-3 | Reliability Centered Maintenance Approach for a New Maintenance Method of High Voltage Circuit Breaker
[IEEE] 2026-9-3 | Design of a High-Voltage, High-Frequency Solid-State Switch Using Series-Connected SiC MOSFETs and a GaN HEMT-Based Transformer-Coupled Gate Driver for Dielectric Insulation Testing of a Renewables-Rich Future Energy Grid
[IEEE] 2026-9-3 | Influence of Moisture on Space Charge Characteristics in Water-Tree-Resistant XLPE
[IEEE] 2026-9-3 | Effects of Interfacial Roughness and Thickness Ratio on XLPE/EPDM Interfacial Charge Characteristics
[IEEE] 2026-9-3 | Electrical and Chemical Characterization of PVC Insulation Aged Under Radiation and Radiation Thermal Stress
[IEEE] 2026-9-3 | Numerical Investigation of Semiconducting Layer Protrusions on Electric Field Enhancement in HVDC Cable
[IEEE] 2026-9-3 | Design and Additive Manufacturing of Functionally Graded Dielectrics for Electric Field Regulation and Particle Motion Control
[IEEE] 2026-9-3 | Accuracy Evaluation of Deep Convolutional Neural Networks for N-and B-Doped Graphene Electronic Wavefunctions Prediction at Variable Doping Sites
[IEEE] 2026-9-3 | Fiber-Reinforced Cyanate Ester Composites with Dielectric Gradients for Enhanced Broadband Wave Absorption and Structural Performance
[IEEE] 2026-9-3 | Feasibility Study of EV Charging Station Integration in Low Voltage Distribution Networks to Optimize Substation Loading and Corporate Revenue: A Case Study in PT PLN (Persero) ULP Mustika Jaya
[IEEE] 2026-9-3 | Design and Analysis of Internal Lightning Protection Systems and Grounding for Light Rail Transit (LRT) Rolling Stock
[ACM] 2026-9-4 | Risk-Adaptive Fine-Grained Authorization via Lightweight-LLM Collaboration
[ACM] 2026-9-4 | Construction method of knowledge enhanced industrial-LLM for intelligent manufacturing operation and maintenance
[ACM] 2026-9-4 | SGD-Det: Detailed-Enhanced Gated Modeling for Sonar Small Object Detection
[ACM] 2026-9-4 | Research on an Intelligent Assessment Model for Training Management Systems Based on Adaptive Knowledge Diagnosis
[ACM] 2026-9-4 | Construction of an English Speech Interaction Teaching System Based on Transformers
[ACM] 2026-9-4 | Tree Structure LSTM for Chinese Named Entity Recognition
[ACM] 2026-9-4 | Research on Personalized Digital Jewelry Design Generation Based on Diffusion Models
[ACM] 2026-9-4 | Construction of a Blended Teaching Model for Modern Control Theory Fundamentals Based on Deep Learning Optimization and OBE Principles
[ACM] 2026-9-4 | Design of International Teaching Voice Interaction in Higher Vocational Education by Integrating Improved Dynamic Matching Algorithm and VR Technology
[ACM] 2026-9-4 | Trustworthy Tax Data Integration and Risk Identification Model in IIoT-Driven Industrial Chain Finance
[ACM] 2026-9-4 | University Tax Risk Monitoring Based on Graph Neural Network and Time Series
[ACM] 2026-9-4 | A Posture Quality Evaluation Method for Aerobics Movements Based on Spatio-Temporal Graph Attention Networks
[ACM] 2026-9-4 | Internal risk assessment model for software project development phase based on improved BP
[ACM] 2026-9-4 | Automated Provenance Graph Construction for AI Supply Chains via Model Card Mining
[ACM] 2026-9-4 | A Transformer-Based Method for Capturing Long-Range Dependencies in Tennis Joint Movements
[ACM] 2026-9-4 | 2BRobust - Mitigating TCP BBR Performance Degradation in Virtual Machines under CPU Contention
[IEEE] 2026-9-4 | StableFlow: Real-Time 4K Video Super-Resolution with Robust Feature Propagation
[IEEE] 2026-9-3 | Fairness-Aware DRL-Based Power Allocation for Parallel FSO/RF-NOMA in HAP-Assisted Networks
[IEEE] 2026-9-4 | Table of Contents
[IEEE] 2026-9-4 | Coefficient-Sensitive Approximate FIR Design for FPGA-Based Radar Receivers
[IEEE] 2026-9-4 | Gen-lyph: A Human-AI Collaboration System for Creating Figurative Glyph-Based Visualizations_supp3-3730177.pdf
[IEEE] 2026-9-3 | Multi-Scale Pyramid Transformer for Robust Heart Rate Estimation from Ballistocardiography in Real-World Sleep
[IEEE] 2026-9-3 | Maritime IoT-Oriented Tube-Based Distributed Model Predictive Formation Control for Unmanned Electric Sailboats Using Koopman Operators
[IEEE] 2026-9-4 | A Digital RFSoC SDR Architecture for GPS-like High-Accuracy Time-of-Flight Measurements
[IEEE] 2026-9-4 | Two-Stage Model Compression with Global Pruning and Low-Rank Adaptation
[IEEE] 2026-9-4 | Target Detection via Multi-Matched Filtering in RIS-Aided Radar under Asynchronous Propagation
[IEEE] 2026-9-4 | Blank Page
[IEEE] 2026-9-4 | IEEE Pervasive Computing
[IEEE] 2026-9-3 | ChatZoom: Unveiling Latent Generation Patterns for Forensic Analysis of AI-Generated Text
[IEEE] 2026-9-4 | MIMO Radar: An Overview
[IEEE] 2026-9-4 | Emerging Designs and Applications of Omni-Directional Treadmill: A Review
[IEEE] 2026-9-4 | Squeezing Edge Performance: A Sensitivity-Aware Container Management for Heterogeneous Tasks
[IEEE] 2026-9-4 | From Fixed to Arbitrary Frequency: A Scalable LLM-Enhanced Framework for Electromagnetic Device Design
[IEEE] 2026-9-4 | Key Recovery of the Edge-Based Quantum-Secure Fully Homomorphic Encryption Scheme
[IEEE] 2026-9-4 | DynamiCtrl: Rethinking the Basic Structure and the Role of Text for High-Quality Human Image Animation
[IEEE] 2026-9-4 | Mining Audio Cues for Generative Talking Heads
[IEEE] 2026-9-4 | Bandwidth and Carrier Frequency Allocation for Distributed Radar Network with TD-DDPG based Reinforcement Learning
[IEEE] 2026-9-4 | Detection and Tracking of Space Debris with a Ground-Based Phased Array Weather Radar
[IEEE] 2026-9-4 | Enhancing LLMs for Expert Question Answering by Synergizing With Knowledge Graphs
[IEEE] 2026-9-4 | CPD-PatchCore: Anomaly Detection on Piston Rod Surfaces Using Cross-Scale Feature Pyramids and Density Sampling
[IEEE] 2026-9-4 | Evidential Graph Convolutional Network for Quantifying Classification Uncertainty
[ACM] 2026-9-3 | SATLOCK: Handover-Coupled Scheduling for Weather-Resilient Quantum Key Distribution over LEO Constellations
[ACM] 2026-9-3 | ATLAS: An Agent-based Training and Learning Analytics System for Rapid Deployment of Virtual Agent Studies
[ACM] 2026-9-3 | Personality-Profiled Virtual Agents Are More Predictable: The Constraint-Entropy Tradeoff for Trustworthy Agent Design
[ACM] 2026-9-3 | Consistent Conversational State for Virtual Agents: Slot-Based Memory for Accurate Fact Retrieval
[IEEE] 2026-9-3 | A NUV-Based Adaptive Robust Unscented Kalman Filter for Nonlinear State Estimation Under Cyberattacks
[IEEE] 2026-9-3 | A Synonymous Variational Perspective on the Rate-Distortion-Perception Tradeoff_supp1-3730187.pdf
[IEEE] 2026-9-3 | Bringing Attention to the Growing Social Impact of Biomedical Devices_supp2-3717156.pdf
[IEEE] 2026-9-3 | Adaptive Parallax-Based Contrast Enhancement for Power-Efficient Stereoscopic OLED Displays
[IEEE] 2026-9-3 | Vector-Magnetic-Circuit-Theory-Based Active Flux Observer for Accurate Sensorless PMSM Control
[ACM] 2026-9-4 | Research on the Application of Artificial Intelligence Technology Empowering University Library Practices
[ACM] 2026-9-4 | A Study on Passenger Acceptance Intention and Influencing Factors of In-Flight Virtual Window Systems Based on Machine Learning
[ACM] 2026-9-4 | AI Psychosis is a Measured Risk of Capitalist Technology
[IEEE] 2026-9-4 | On the Distribution of Age of Information in Time-varying Updating Systems_supp1-3730298.pdf
[IEEE] 2026-9-3 | EPRBench: A High-Quality Benchmark Dataset for Event Stream Based Visual Place Recognition
[IEEE] 2026-9-3 | Characterization of motion blur in quadcopter unmanned aerial vehicles
[IEEE] 2026-9-3 | Multiplication of compound signals in neural array signal processing improves signal quality and detectability of action potentials
[IEEE] 2026-9-4 | Dynamic Propagation Delay Adaptation Transformer Network for Traffic Flow Prediction
[IEEE] 2026-9-4 | Large-Angle-Coverage 2D Optical Wireless Communications via Optical Phased Arrays
[IEEE] 2026-9-4 | Complex-Vector Power and Cross-Phase Unbalance in Three-Phase Systems
[IEEE] 2026-9-4 | Beyond Diagonal Reconfigurable Intelligent Surface Aided MIMO Radar
[IEEE] 2026-9-4 | Design and Verification of Precipitation Scanning Strategies for One-Dimensional Phased Array Weather Radar
[IEEE] 2026-9-4 | RadarConf'26 2026 Copyright
[IEEE] 2026-9-4 | Radar Network Fusion for Extended Alias-Free FoV in Sub-Nyquist Sampled FL-SAR
[IEEE] 2026-9-4 | LFM: Leveraging Foundation Models for Source-Free Universal Domain Adaptation
[IEEE] 2026-9-3 | Uncertainty-Driven 3D Gaussian Splatting for Robust Real-Time RGB-D SLAM
[IEEE] 2026-9-4 | MIMO-ISAR Near Field Imaging With Inherent 3-D Translational Motion Compensation
[IEEE] 2026-9-4 | In-Cabin Passenger State and Localization Based on Radar Data Cube During Vehicle Entry and Exit
[IEEE] 2026-9-3 | Thermal-Electric Efficiency Analysis of Photovoltaic Module Using Integrated Thermoelectric Generators: Based Active Cooling System
[IEEE] 2026-9-3 | Electrical Conductivity of the Oil Paper Interface Layer
[IEEE] 2026-9-3 | Numerical Investigation of the Response of a Pulsed Electro-Acoustic Measurement System Applied to the Electrical Double Layer
[IEEE] 2026-9-3 | Partial Discharge Behavior of Technical Air, CO
                    <sub>2</sub>
                    , and CO
                    <sub>2</sub>
                    /O
                    <sub>2</sub>
                    Mixtures Under Varying Pressures with Metallic Protrusion
[IEEE] 2026-9-3 | Non-Destructive Evaluation and 3D Stress Field Reconstruction in Epoxy-Based Insulation Materials
[IEEE] 2026-9-3 | A Newly Identified Degradation Mechanism in Metallized Film Capacitors: Electrode Fracture between Self-Healing Points
[IEEE] 2026-9-3 | Preliminary Evaluation of the Challenge Set to HVDC Extruded Cables by Switching Overvoltages Due to the Operation of Direct Current Circuit Breakers
[IEEE] 2026-9-3 | Thermal Stability of Piezoelectricity in Melt-Blown Polypropylene Ferroelectrets
[IEEE] 2026-9-3 | Partial Discharge Localisation by Artificial Intelligence Classification
[IEEE] 2026-9-3 | Effect of Hot-Pressing Remolding on Dielectric and Mechanical Properties of Epoxy Vitrimer with Disulfide Bonds
[IEEE] 2026-9-3 | Entanglement-Enhanced Multi-Objective Quantum-Inspired Computing with Adaptive Density-Based Segmentation
[IEEE] 2026-9-3 | A Novel Approach to Secure Execution in Embedded Systems: Custom ISA and Compiler Binding
[IEEE] 2026-9-3 | Spin-Orbit Torque Switching of Synthetic Antiferromagnets: Micromagnetic Analysis of RKKY Coupling Effects
[IEEE] 2026-9-3 | Optimization of Time-Multiplexed Constant Multiplication via Ising Model
[ACM] 2026-9-4 | NLCC: A Node-Level Congestion Control Framework for CDN Services
[ACM] 2026-9-4 | Research on Financial Risk Early Warning for Cross-Border E-Commerce in Free Trade Zones Based on Big Data and Machine Learning
[ACM] 2026-9-4 | Research on the Prediction of Synergistic Effects of Microbial Drugs Based on Network Propagation Algorithm
[ACM] 2026-9-4 | Research on Color Harmony Model for Chinese Painting Based on Improved Convolutional Neural Network Algorithm
[ACM] 2026-9-4 | A Convolutional Neural Network-Based Prediction Method for Indoor Daylight Distribution in Buildings
[ACM] 2026-9-4 | Multilingual Converged Media Data Processing for Brand Influence Evaluation of Multinational Enterprises
[ACM] 2026-9-4 | Big Data-Driven Cognitive Bias Modeling in College Health Education via Transformer-GNN Networks
[ACM] 2026-9-4 | A Self-attention Model for higher continuing education under new productivity
[ACM] 2026-9-4 | Research on Digital Interface Interaction Optimization of Children's English Learning Apps Based on the Correlation Analysis of Usability and Cognitive Load
[ACM] 2026-9-4 | Fault Tree Analysis of Risk Factors in Cost Control for Campus Maintenance Projects
[ACM] 2026-9-4 | A Data-Driven Multisensory Design Framework for IP-Derived Products Based on Emotional Experience: A Case Study of Aromatherapy Systems
[ACM] 2026-9-4 | AI-Assisted versus Manual Memoir Compilation for High-Net-Worth Active Elderly: A Controlled Comparative Experiment and Optimized Service Strategy--AI-Assisted Memoir Creation for High-Net-Worth Elderly--A Comparative Study and Practical Optimization Path of Elderly Spiritual and Cultural Service Model
[ACM] 2026-9-4 | Exploring Higher Vocational Physical Education Practices for Enhancing Health Literacy: Implementation Pathways and Effectiveness Evaluation in Diverse Student Populations
[ACM] 2026-9-4 | Impact of Data Factor Marketization on Corporate Data Assetization: A Quasi-Natural Experiment Based on Data Trading Platforms
[ACM] 2026-9-4 | Research on Constructing a Machine Learning-Based Early Warning Model for Irregular Financial Behavior Risks
[IEEE] 2026-9-4 | When are Spiking Neural Networks Sustainable? A Hardware-Aware Carbon Analysis of Convolutional and Spiking Neural Models
[IEEE] 2026-9-3 | Current Harmonic Suppression Using Integrated Zero-Sequence Filter in Open-End Winding Motors
[IEEE] 2026-9-4 | Simultaneous Multi-Target Vital Sign Monitoring Leveraging Space-Time Coding Phased Array Radar
[IEEE] 2026-9-4 | Risk Assessment and Coordinated Frequency Support for Hydro-Renewable Dominant Sending-End Grids Considering Seasonal Inertia Variability
[IEEE] 2026-9-4 | Spiking Neural Networks-Guided Intelligent Cybernetics for State Estimation in LFP Batteries
[IEEE] 2026-9-3 | When Next-Gen Sensing Meets Legacy Wi-Fi: Performance Analyses of IEEE 802.11bf and IEEE 802.11ax Coexistence
[ACM] 2026-9-3 | ε-DQML: A Framework for Distributed Quantum Machine Learning over Noises and Link Failures
[IEEE] 2026-9-3 | Performance Enhancement of RTV Silicone Rubber Coating Materials using SiO
                    <sub>2</sub>
                    –Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    –BN Nano Fillers
[IEEE] 2026-9-3 | High-Density in-Memory Ising Computing Enabled by VGSOT-MTJ Based Spin Model
[IEEE] 2026-9-3 | Mutual Shading Mitigation for a 100 MWp Solar Farm on Hilly Terrain
[IEEE] 2026-9-3 | Hybrid Automaton-Based Predictive Control with Adaptive Switching Priority for a Grid-Connected T-Type Inverter
[IEEE] 2026-9-3 | Configuration of Cycle Duration in Cyclic Queuing and Forwarding
[IEEE] 2026-9-3 | A 410-MHz Bandwidth and 22.7-dBm OIP3 dB-Linear Variable Gain Active-RC Feedback Amplifier With High Frequency Feedforward Compensated OTA and Ramp-Based Control
[IEEE] 2026-9-3 | SignNav: Directional Signage-Cue Guided Visual Navigation in Large-Scale Indoor Environments_supp1-3730302.mp4
[IEEE] 2026-9-3 | DSPE: Profit Maximization in Edge-Cloud Storage Systems Using
                    <u>D</u>
                    ynamic
                    <u>S</u>
                    pace
                    <u>P</u>
                    artitioning With
                    <u>E</u>
                    rasure Code
[IEEE] 2026-9-3 | A Minimal EEG Montage for Adult ADHD Detection: Discovering the Frontoparietal Beta-Theta Framework via Explainable AI
[IEEE] 2026-9-3 | Robust Beamforming and Time Allocation for Time-Division Cell-Free Near-Field ISAC
[IEEE] 2026-9-3 | Text-ADBench: Text Anomaly Detection Benchmark Based on LLM Embeddings_supp1-3727304.pdf
[IEEE] 2026-9-3 | Information-Optimal Formation Geometry Design for Multimodal UAV Cooperative Perception
[IEEE] 2026-9-3 | Hybrid Frequency Estimator of Weak Signals Using Robust Frequency Estimator with SNR Estimation Network-based Selector
[IEEE] 2026-9-3 | DevGRU: Depth-Guided Visual Navigation Using a Collision-Aware Recurrent Model_supp1-3730213.mp4
[ACM] 2026-9-4 | A Context-Aware Adaptive Data Interaction Framework for Intelligent Wearable Devices
[ACM] 2026-9-4 | Proceedings of the 2nd International Conference on Artificial Intelligence, Virtual Reality and Interaction Design
[ACM] 2026-9-4 | Multi-Terminal Control and Intelligent Triggering: Design of the Bubble Separation Anxiety Soothing Vest for Urban Pet Dogs
[ACM] 2026-9-4 | Multilingual Academic Resource Retrieval Method for Engineering Disciplines in Digital Libraries
[ACM] 2026-9-4 | The Page Turn: Adapting Physical Narrative Boundary to Digital Scroll-Based Interaction for Enhancing User Engagement--Computational Analysis of User Experience
[IEEE] 2026-9-3 | Diagnosis of Deterioration Characteristic of Silicone Rubber without Aluminum Hydroxide
[IEEE] 2026-9-3 | Effect of Mechanical Tensile Stress on the Dielectric Properties of BOPP Films Under Pulsed Electrical Conditions
[IEEE] 2026-9-3 | A Comparative Study on the Processing and Thermal Properties of Commercial Silicone Rubber Insulation Materials for High-Voltage Cable Accessories
[IEEE] 2026-9-3 | Metal Particle Induced Surface Charge Accumulation on GIS Insulator Under AC Voltage in C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N/CO
                    <sub>2</sub>
                    Mixtures
[IEEE] 2026-9-3 | Identification of the Gamma and Beta Relaxations in DGEBA Using Broadband Dielectric Spectroscopy at Cryogenic Temperatures
共写入 1979 条记录，保存到 papers/paper2026-09-03.json。
论文获取成功，文件路径: papers/paper2026-09-03.json
正在筛选、翻译并发送邮件...
[NO] 1/1979 | ToPO: Token-Conditioned Preference Routing for Attention-Based Latent Diffusion Models
[NO] 2/1979 | Hidden Magnetic Octupolar Order driven by Spin-Orbit coupling in KFeF$_3$
[NO] 3/1979 | PlanePivoting: Exploration and Optimization of Gaze-Mouse Cursor Alignment for Spatial Object Translation
[NO] 4/1979 | Cross-Dataset Transfer and Reliability of Explainable Artificial Intelligence for RhythmFormer Remote Photoplethysmography
[NO] 5/1979 | Local Updates, Global Learning (LUGL): Playing Games with non-incremental Learners
[NO] 6/1979 | PL-SCEA: Reconfiguring Pretrained Attention for Few-Shot Industrial Anomaly Detection
[NO] 7/1979 | The Impact of Synthetic Data Augmentation on Discourse-Pragmatic Function Classification
[NO] 8/1979 | Prospects for probing dark matter with filamentary 21cm emission
[NO] 9/1979 | Relative Prime Factorization and Finite-State Presentations under Fixed Finite-Monoid Observation
[NO] 10/1979 | Local Path Planning and Obstacle Avoidance for an Omnicopter Platform
[NO] 11/1979 | ToolDF: Tool-Integrated Reasoning for Mixed-Authenticity Audio Deepfake Detection
[NO] 12/1979 | Remember and Reweight: Enhancing Multi-Agent Debate with Experience Memory and Confidence Estimation
[NO] 13/1979 | Change-point analysis: a new perspective for unstable financial markets
[NO] 14/1979 | Dynamical (non-)recurrence of escaping exponential maps
[NO] 15/1979 | ReRoom: Blending Virtual and Physical Contexts for In Situ Room Planning in Mixed Reality
[YES] 16/1979 | Code Transformation Rule Synthesis using LLMs: Potential and Limits
[NO] 17/1979 | Scaling Bimanual Household Manipulation from 1,500 hours of Demonstrations to On-Policy Corrections
[NO] 18/1979 | From Prior-Guided Heuristics to Deployable Agents: Accelerating Demonstration-Driven Reinforcement Learning for Deadline-Constrained Network Control
[NO] 19/1979 | The Greedy Bump Bias: Local Profiling Geometry and the Look-Elsewhere Effect
[NO] 20/1979 | Improved algorithm for counting spanning trees by $\ell_1$-regularized resistance
[NO] 21/1979 | Diffeomorphism Group Actions on Para-Kähler Structures: Lifts and Induced Dynamics on 3-Webs
[NO] 22/1979 | Combinatorial Search for Strong Shift Equivalence
[NO] 23/1979 | Spectral Function Method and Janus Quantum Numbers in Quasiperiodic Systems
[NO] 24/1979 | GPS-Bench: A Governance Policy Benchmark for Automating Policy Analysis
[NO] 25/1979 | Dalek: A Constructive Agent Machine
[NO] 26/1979 | Airy limit for the Jack process and topological expansion
[NO] 27/1979 | Topics in Kadyshevsky Field Theory
[NO] 28/1979 | Center-twisted Gribov spectra and the finite-volume Gaussian response in the refined Gribov--Zwanziger framework
[NO] 29/1979 | The Identification of Biological Stains at Crime Scenes: A Promising Role for Proteomics and Machine Learning
[NO] 30/1979 | Stratification of Artin motives over local fields
[NO] 31/1979 | On graphs with equal domination and total domination numbers
[NO] 32/1979 | Interplay of B-Site Off-Centering and Molecular Orientations in the Mixed Hybrid Perovskite MAGe1xSnxI3
[NO] 33/1979 | LongCounsel-8: A Benchmark Suite for Longitudinal Depression Tracking from Multi-Session Counseling Dialogues
[NO] 34/1979 | Restricted Eigenvalues Beyond Gaussian Width: Threshold Occupancy under Heavy Tails
[NO] 35/1979 | BRIDGE: An Open-Source Humanoid Platform via Morphology-Control Co-Design for Physical AI
[NO] 36/1979 | Spectral characteristics of autoencoder parameters as a vector representation of data
[NO] 37/1979 | Weakly Driven and Finite Detuning Boundary Time Crystals Enabled by Low-Dissipation Dynamical Channels
[NO] 38/1979 | Pattern Over-Generalization of Knowledge Graph Embedding
[NO] 39/1979 | Air-Ground Collaborative Vision-and-Language Navigation via Shared Bird's-Eye Maps
[NO] 40/1979 | Dynamical Selection of Horizon-BMS Goldstone Modes in Evaporating Black Holes
[NO] 41/1979 | Granular Rods Fall Faster in Denser Obstacle Fields
[NO] 42/1979 | Override and Update in Restriction Categories
[NO] 43/1979 | FlowTT: Exploiting Computation Flow Reuse in Irregular Tensor-Train Embedding
[NO] 44/1979 | OCR-EDR: Rendering-Aware Diagnosis and Repair for Closed-Loop OCR Improvement
[NO] 45/1979 | High-Dimensional Learning Dynamics of Attention-Indexed Models
[NO] 46/1979 | Non-local Magic: closed-form solution and equivalence with magic of purification
[NO] 47/1979 | Turbulent gas-rich discs at high redshift: the origin of early massive stellar bars
[NO] 48/1979 | Stronger Lower Bounds for (Non-)Anytime Acceleration of Gradient Descent
[NO] 49/1979 | Three-observable measurement of the critical velocity in a paraxial superfluid of light flowing past a mobile impurity
[NO] 50/1979 | On the abstract approach to spectral constants: a proof of the Clouâtre--Ostermann--Ransford conjecture
[NO] 51/1979 | Global Multi-Maturity SPX-VIX Calibration Beyond Markovian Stitching
[NO] 52/1979 | Multi-step Proximal Policy Improvement in Offline Reinforcement Learning
[NO] 53/1979 | NGC 1901: A new benchmark cluster for gyrochronology in the TESS Southern continuous viewing zone
[NO] 54/1979 | The Traveling Tournament Problem: An Overview
[NO] 55/1979 | Khovanov monodromy groups via motions
[NO] 56/1979 | Unravelling the Li-Haldane Conjecture with the Projected Ensemble
[YES] 57/1979 | SWE-Gate: Passing Functional Tests Is Not Enough for Software Engineering Agents
[NO] 58/1979 | A note on bounded ratios
[NO] 59/1979 | Lost in Reordering: Structural Sensitivity of Multilingual LLMs under Semantics-Preserving Perturbations
[NO] 60/1979 | The Jet Properties and Accretion Regime for the Blazar Sequence
[NO] 61/1979 | Decoupled Analysis-Judging: An Automated Creativity Evaluator Using LLMs in Complex Multi-step Creativity Tasks
[NO] 62/1979 | Random Attention: Rethinking KV Cache Eviction for Efficient Reasoning
[NO] 63/1979 | Reconstruction of Shower-like Events in NEON Using Likelihood and Graph Neural Network Methods
[NO] 64/1979 | Caught in the Story: Narrative Captivity in Multi-turn LLMs Conversation
[NO] 65/1979 | Hyperpositive functions, sector bounded functions and a trace formula
[NO] 66/1979 | A thickness boundary and modular obstructions for two-set radial projections
[NO] 67/1979 | Exploring millicharged particles in laboratory and astrophysical strong-field regimes
[NO] 68/1979 | TIGPO: Temporal Instance-Graph Policy Optimization for Long-Horizon LLM Agents
[NO] 69/1979 | Evolution of Virial Clouds - II: From the Formation of First Stars up to their Explosion
[NO] 70/1979 | Singular equivalences of $n$-adjoint type and standard eventually homological isomorphisms
[NO] 71/1979 | ARTiS: An Adaptive Robotic Gripper for Enhanced Tool Manipulation in Disassembly Applications
[NO] 72/1979 | Epidemics with avoidance and isolation on $\mathbb{Z}^d$
[NO] 73/1979 | Neural Music Enhancement with Dual Time-Frequency Spectral Representations for Prediction and Discrimination
[NO] 74/1979 | Minute-Scale High-Fidelity Gyrokinetic Simulations with Portability from Laptop to Supercomputer
[NO] 75/1979 | Resolving a conjecture on permutation polynomials over $\mathbb{F}_{2^n}$
[NO] 76/1979 | Taylor-Informed Predictive Cost Adaptive Control for Quadrotors with Online Gravity-Trim Adaptation
[NO] 77/1979 | From Zero to Hero: An Open LLM Ecosystem for Armenian
[NO] 78/1979 | Conical Defects in JT Gravity from BF Theory: Quantization, Fusion, and Weighted Moduli Spaces
[NO] 79/1979 | Redesigning quantum theory
[NO] 80/1979 | Variable-Cliff Nielsen Geometry and an Exponent -4/3 Lower Bound for the Infinite-Cliff Diameter
[NO] 81/1979 | How Perturbations Propagate: A Multi-Level Analysis of Robustness in Large Language Models
[NO] 82/1979 | Quantum Vacuum Nonlinearities in Laser Interferometers
[YES] 83/1979 | TIPCODER: Reinforcement Learning Boosted Test-time Instruction Proposer for Code Generation
[NO] 84/1979 | Risk and Anomaly Identification for Distribution Network Optimal Operation Based on Reinforcement Learning and Uncertainty Quantification
[NO] 85/1979 | Geometry-Aware Graph Construction via Adaptive Spectral Bandwidth Control
[NO] 86/1979 | Bifurcations in the Heliosphere: Global-scale Coronal Pseudostreamer Evolution and the Creation of Secondary Heliospheric Current Sheets
[NO] 87/1979 | A Technique for Load Shifting Low-latency Applications in Multi-Region Renewables Harvesting via SMT Core Pooling
[NO] 88/1979 | Nonuniqueness of Model Potentials and Weak Geodesic Rays
[NO] 89/1979 | Constructing the Field of Philanthropic and Nonprofit Studies: Evidence from Citation Networks
[NO] 90/1979 | Symmetry-breaking line defects embedded to a 3D $O(N)$ critical bulk
[NO] 91/1979 | Isomorphisms of graded semiconnected algebras
[NO] 92/1979 | A Silicon-Compatible Uncooled Compact Broadband Infrared Spectrometer
[NO] 93/1979 | Is Semantics Enough for Speech Mean Opinion Score Prediction?
[YES] 94/1979 | Long-Range Indirect Control-Flow Prediction in Stripped Binaries via Dual Virtual Hubs and Multi-Task Graph Learning
[NO] 95/1979 | R2S-Eval: Robot Evaluation with Real-to-Sim Calibration via Vision-Language Models
[NO] 96/1979 | Moiré-induced altermagnetism from nonmagnetic constituents
[NO] 97/1979 | Symbol-Domain Chase Combining on Fourier-Curve Constellations: Exact Penalties of Per-Round Bit Reduction
[NO] 98/1979 | What Else Needs Fixing? Exploring Cost-Effective Test-Time Compute for Revision Propagation in Artifacts Generated Through Conversation
