[2026-03-12 09:31:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-11
正在获取论文...
[arXiv] 2026-03-11 | Effective Dataset Distillation for Spatio-Temporal Forecasting with Bi-dimensional Compression
[arXiv] 2026-03-11 | Magnetic criticality and magnetocaloric response in MnBi$_2$Te$_4$ and MnBi$_4$Te$_7$
[arXiv] 2026-03-11 | Combinatorial perspectives on identities for partitions with distinct even parts
[arXiv] 2026-03-11 | HanMoVLM: Large Vision-Language Models for Professional Artistic Painting Evaluation
[arXiv] 2026-03-11 | Electronic Structure and Resonant Circular Dichroism of La$_{0.7}$Sr$_{0.3}$MnO$_3$ from Soft X-ray Angle-Resolved Photoemission
[arXiv] 2026-03-11 | Semantic Satellite Communications for Synchronized Audiovisual Reconstruction
[arXiv] 2026-03-11 | Identifying and Measuring Satellite Streaks in DECam Images
[arXiv] 2026-03-11 | Interpretable Chinese Metaphor Identification via LLM-Assisted MIPVU Rule Script Generation: A Comparative Protocol Study
[arXiv] 2026-03-11 | Radiative corrections to elastic electron-carbon scattering cross sections in comparison with experiment
[arXiv] 2026-03-11 | A Control-Theoretic Foundation for Agentic Systems
[arXiv] 2026-03-11 | CUPID: A Plug-in Framework for Joint Aleatoric and Epistemic Uncertainty Estimation with a Single Model
[arXiv] 2026-03-11 | Efficient design of continuation methods for hyperbolic transport problems in porous media
[arXiv] 2026-03-11 | Sublinear-Time Reconfiguration of Programmable Matter with Joint Movements
[arXiv] 2026-03-11 | Riemannian MeanFlow for One-Step Generation on Manifolds
[arXiv] 2026-03-11 | FutureVLA: Joint Visuomotor Prediction for Vision-Language-Action Model
[arXiv] 2026-03-11 | Early-Stage Cancer Biomarker Detection via Intravascular Nanomachines: Modeling and Analysis
[arXiv] 2026-03-11 | Prism-$Δ$: Differential Subspace Steering for Prompt Highlighting in Large Language Models
[arXiv] 2026-03-11 | Structured Linked Data as a Memory Layer for Agent-Orchestrated Retrieval
[arXiv] 2026-03-11 | Dielectric Tensor of CrSBr from Spectroscopic Imaging Ellipsometry
[arXiv] 2026-03-11 | RandMark: On Random Watermarking of Visual Foundation Models
[arXiv] 2026-03-11 | Two-Layer Stacked Intelligent Metasurfaces: Balancing Performance and Complexity
[arXiv] 2026-03-11 | When David becomes Goliath: Repo dealer-driven bond mispricing
[arXiv] 2026-03-11 | Spatio-Temporal Attention Graph Neural Network: Explaining Causalities With Attention
[arXiv] 2026-03-11 | Cybo-Waiter: A Physical Agentic Framework for Humanoid Whole-Body Locomotion-Manipulation
[arXiv] 2026-03-11 | LiTo: Surface Light Field Tokenization
[arXiv] 2026-03-11 | Agentar-Fin-OCR
[arXiv] 2026-03-11 | An asymptotically optimal bound for the concentration function of a sum of independent integer random variables
[arXiv] 2026-03-11 | Schur complements for tensors and multilinear commutative rank
[arXiv] 2026-03-11 | Conformal symmetries in geometry and harmonic analysis
[arXiv] 2026-03-11 | Chasing RATs: Tracing Reading for and as Creative Activity
[arXiv] 2026-03-11 | Does AI See like Art Historians? Interpreting How Vision Language Models Recognize Artistic Style
[arXiv] 2026-03-11 | Measurement-Driven O-RAN Diagnostics with Tail Latency and Scheduler Indicators
[arXiv] 2026-03-11 | Mitigating crosstalk errors for simultaneous single-qubit gates on a superconducting quantum processor
[arXiv] 2026-03-11 | A Semi-Structural Model with Household Debt for Israel
[arXiv] 2026-03-11 | A Systematic Study of Pseudo-Relevance Feedback with LLMs
[arXiv] 2026-03-11 | Two-Body Solution and Instabilities along Streda Lines in Moire Flat Bands
[arXiv] 2026-03-11 | Cores and localizations of $(\infty,\infty)$-categories
[arXiv] 2026-03-11 | Federated Learning-driven Beam Management in LEO 6G Non-Terrestrial Networks
[arXiv] 2026-03-11 | Reference Architecture of a Quantum-Centric Supercomputer
[arXiv] 2026-03-11 | Microscopic screening theory for excitons in two-dimensional materials: A bridge between effective models and ab initio descriptions
[arXiv] 2026-03-11 | Convergence Analysis of a Fully Discrete Observer For Data Assimilation of the Barotropic Euler Equations
[arXiv] 2026-03-11 | Ranking Reasoning LLMs under Test-Time Scaling
[arXiv] 2026-03-11 | Extremal Laplacian energy of $\overrightarrow{C_{k+1}}$-free digraphs
[arXiv] 2026-03-11 | Semidegree threshold for spanning trees in oriented graphs
[arXiv] 2026-03-11 | Simple minimally unsatisfiable subsets of 2-CNFs
[arXiv] 2026-03-11 | Spectral methods for wedge and corner flows: The Fourier-Kontorovich-Lebedev integral transform
[arXiv] 2026-03-11 | Nuclear Quantum Effects in Multi-Step Condensed Matter Chemistry: A Path Integral Molecular Dynamics Study of Thermal Decomposition
[arXiv] 2026-03-11 | Safe RLHF Beyond Expectation: Stochastic Dominance for Universal Spectral Risk Control
[arXiv] 2026-03-11 | Quantifying Membership Disclosure Risk for Tabular Synthetic Data Using Kernel Density Estimators
[arXiv] 2026-03-11 | Redefining shared information: a heterogeneity-adaptive framework for meta-analysis
[arXiv] 2026-03-11 | MAVEN: A Meta-Reinforcement Learning Framework for Varying-Dynamics Expertise in Agile Quadrotor Maneuvers
[arXiv] 2026-03-11 | Ab initio quantum embedding description of magic angle twisted bilayer graphene at even-integer fillings
[arXiv] 2026-03-11 | Extended Radio Galaxies in EMU: A Comparative Look at Source-Finding Techniques
[arXiv] 2026-03-11 | Q-StaR: A Quasi-Static Routing Scheme for NoCs
[arXiv] 2026-03-11 | Long-time dynamics of a bulk-surface convective Cahn--Hilliard system: Pullback attractors and convergence to equilibrium
[arXiv] 2026-03-11 | A gripper for flap separation and opening of sealed bags
[arXiv] 2026-03-11 | An Extreme Multi-label Text Classification (XMTC) Library Dataset: What if we took "Use of Practical AI in Digital Libraries" seriously?
[arXiv] 2026-03-11 | How To Embed Matters: Evaluation of EO Embedding Design Choices
[arXiv] 2026-03-11 | Propagation and Rate-Aware Cell Switching Optimization in HAPS-Assisted Wireless Networks
[arXiv] 2026-03-11 | NCAA Bracket Prediction Using Machine Learning and Combinatorial Fusion Analysis
[arXiv] 2026-03-11 | When Fine-Tuning Fails and when it Generalises: Role of Data Diversity and Mixed Training in LLM-based TTS
[arXiv] 2026-03-11 | Catalogue and statistics of greater than 100 MeV solar proton events during solar cycles 23-25 from SOHO-ERNE observations
[arXiv] 2026-03-11 | Calibration of electric fields in low-frequency off-resonant Rydberg receivers
[arXiv] 2026-03-11 | Kernel Tests of Equivalence
[arXiv] 2026-03-11 | From Images to Words: Efficient Cross-Modal Knowledge Distillation to Language Models from Black-box Teachers
[arXiv] 2026-03-11 | Beyond Sequential Distance: Inter-Modal Distance Invariant Position Encoding
[arXiv] 2026-03-11 | Numerical analysis for leaky-integrate-fire networks under Euler--Maruyama
[arXiv] 2026-03-11 | Topological Analysis for Identifying Anomalies in Serverless Platforms
[arXiv] 2026-03-11 | Semantic Landmark Particle Filter for Robot Localisation in Vineyards
[arXiv] 2026-03-11 | Human Presence Detection via Wi-Fi Range-Filtered Doppler Spectrum on Commodity Laptops
[arXiv] 2026-03-11 | Modeling anisotropic energy dissipation of light ions at the atomistic scale
[arXiv] 2026-03-11 | Some link homologies in $ \mathbb{RP}^3 $
[arXiv] 2026-03-11 | Offset Pointing for Energy-efficient Reception in Underwater Optical Wireless Communication: Modeling and Performance Analysi
[arXiv] 2026-03-11 | Strong Regularity and Microsupport Estimates for Multi-Microlocalizations of Subanalytic Sheaves
[arXiv] 2026-03-11 | Distributed Stability Certification and Control from Local Data
[arXiv] 2026-03-11 | On the ubiquity of uniformly dominant local rings
[arXiv] 2026-03-11 | Beyond Standard Datacubes: Extracting Features from Irregular and Branching Earth System Data
[arXiv] 2026-03-11 | Towards Intelligent Spectrum Management: Spectrum Demand Estimation Using Graph Neural Networks
[arXiv] 2026-03-11 | Multilingual Reasoning Gym: Multilingual Scaling of Procedural Reasoning Environments
[arXiv] 2026-03-11 | Mass measurements of the double neutron star system PSR J0641+0448
[arXiv] 2026-03-11 | Phase-Interface Instance Segmentation as a Visual Sensor for Laboratory Process Monitoring
[arXiv] 2026-03-11 | Taking Shortcuts for Categorical VQA Using Super Neurons
[arXiv] 2026-03-11 | Incremental Federated Learning for Intrusion Detection in IoT Networks under Evolving Threat Landscape
[arXiv] 2026-03-11 | Word Recovery in Large Language Models Enables Character-Level Tokenization Robustness
[arXiv] 2026-03-11 | Auroral Acceleration Generates Electron Beams in Jupiter's Middle Magnetosphere
[arXiv] 2026-03-11 | An antichain condition for infinite groups
[arXiv] 2026-03-11 | Deep Randomized Distributed Function Computation (DeepRDFC): Neural Distributed Channel Simulation
[arXiv] 2026-03-11 | AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations
[arXiv] 2026-03-11 | Zero crossings of the differential scalar polarizability of Ba$^+$ clock transition
[arXiv] 2026-03-11 | Pairwise Negative Correlation for Uniform Spanning Subgraphs of the Complete Graph
[arXiv] 2026-03-11 | Computing and Optimizing the $H^2$-norm of Delay Differential Algebraic Systems
[arXiv] 2026-03-11 | The complexity of finite smooth words over binary alphabets
[arXiv] 2026-03-11 | An invitation to dimension interpolation
[arXiv] 2026-03-11 | On the leading and penultimate leading coefficients for NRS(2) applied to a cubic polynomial
[arXiv] 2026-03-11 | UAV traffic scene understanding: A cross-spectral guided approach and a unified benchmark
[arXiv] 2026-03-11 | On the Product of Coninvolutory Affine Transformations
[arXiv] 2026-03-11 | Parallel-in-Time Nonlinear Optimal Control via GPU-native Sequential Convex Programming
[arXiv] 2026-03-11 | Thermodynamic Non-Uniformities Behind Incident and Reflected Shocks in a Single-Diaphragm Shock Tube
[arXiv] 2026-03-11 | AlphaFlowTSE: One-Step Generative Target Speaker Extraction via Conditional AlphaFlow
[arXiv] 2026-03-11 | OnFly: Onboard Zero-Shot Aerial Vision-Language Navigation toward Safety and Efficiency
[arXiv] 2026-03-11 | A Platform-Agnostic Multimodal Digital Human Modelling Framework: Neurophysiological Sensing in Game-Based Interaction
[arXiv] 2026-03-11 | Conformal prediction for high-dimensional functional time series: Applications to subnational mortality
[arXiv] 2026-03-11 | An FPGA Implementation of Displacement Vector Search for Intra Pattern Copy in JPEG XS
[arXiv] 2026-03-11 | ATP Level and Phosphorylation Free Energy Regulate Trigger-Wave Speed and Critical Nucleus Size in Cellular Biochemical Systems
[arXiv] 2026-03-11 | Low-loss phase-change material based programmable mode converter for photonic computing
[arXiv] 2026-03-11 | Real Line Congruences of Trilinear Birational Maps
[arXiv] 2026-03-11 | Self-testing with untrusted random number generators
[arXiv] 2026-03-11 | FAME: Formal Abstract Minimal Explanation for Neural Networks
[arXiv] 2026-03-11 | Interleaving Scheduling and Motion Planning with Incremental Learning of Symbolic Space-Time Motion Abstractions
[arXiv] 2026-03-11 | Density-Dependent Graph Orientation and Coloring in Scalable MPC
[arXiv] 2026-03-11 | Flexible Multi-Target Angular Emulation for Over-the-Air Testing of Large-Scale ISAC Base Stations: Principle and Experimental Verification
[arXiv] 2026-03-11 | $RO(C_p \times C_p)$-graded cohomology of universal spaces and the coefficient ring
[arXiv] 2026-03-11 | AdaClearGrasp: Learning Adaptive Clearing for Zero-Shot Robust Dexterous Grasping in Densely Cluttered Environments
[arXiv] 2026-03-11 | An Approach for Safe and Secure Software Protection Supported by Symbolic Execution
[arXiv] 2026-03-11 | QR-Recursive Compression of Volume Integral Equations for Electromagnetic Scattering by Large Metasurfaces
[arXiv] 2026-03-11 | Path Planning for Sound Speed Profile Estimation
[arXiv] 2026-03-11 | CUAAudit: Meta-Evaluation of Vision-Language Models as Auditors of Autonomous Computer-Use Agents
[arXiv] 2026-03-11 | A Bipartite Graph Approach to U.S.-China Cross-Market Return Forecasting
[arXiv] 2026-03-11 | Towards Cognitive Defect Analysis in Active Infrared Thermography with Vision-Text Cues
[arXiv] 2026-03-11 | Towards Quantitative Reaction Dynamics of O3
[arXiv] 2026-03-11 | Kinematics and Untwisting Motion of an Intriguing Jet-like Prominence Eruption
[arXiv] 2026-03-11 | Graphing Inline: Understanding Word-scale Graphics Use in Scientific Papers
[arXiv] 2026-03-11 | World Model for Battery Degradation Prediction Under Non-Stationary Aging
[arXiv] 2026-03-11 | Sparse Task Vector Mixup with Hypernetworks for Efficient Knowledge Transfer in Whole-Slide Image Prognosis
[arXiv] 2026-03-11 | A rate-induced tipping in the Pearson diffusion
[arXiv] 2026-03-11 | Visually-Guided Controllable Medical Image Generation via Fine-Grained Semantic Disentanglement
[arXiv] 2026-03-11 | UHD Image Deblurring via Autoregressive Flow with Ill-conditioned Constraints
[arXiv] 2026-03-11 | A Harmony Composition-Inspired Tensor Modalization Method for Near-Field IRS Channel Estimation
[arXiv] 2026-03-11 | On Third-Order Determinant Bounds for the class $\mathcal{S}^*_{B}$
[arXiv] 2026-03-11 | A note on Ramsey numbers for minors
[arXiv] 2026-03-11 | Dynamics-induced activity patterns of active-inactive clusters in complex networks
[arXiv] 2026-03-11 | Transverse and Longitudinal Magnetothermopower Promoted by Ambipolar Effect in Half-Heusler Topological Materials
[arXiv] 2026-03-11 | JEDI: Jointly Embedded Inference of Neural Dynamics
[arXiv] 2026-03-11 | Spatial self-supervised Peak Learning and correlation-based Evaluation of peak picking in Mass Spectrometry Imaging
[arXiv] 2026-03-11 | Symmetry-directed electronic and optical properties in a two-dimensional square-lattice ZnPc-MOF
[arXiv] 2026-03-11 | Microstructural Characterization of Nb3Sn Thin Films Using FIB Tomography
[arXiv] 2026-03-11 | Gauss-Bonnet scalarization of charged qOS-black holes
[arXiv] 2026-03-11 | LCAMV: High-Accuracy 3D Reconstruction of Color-Varying Objects Using LCA Correction and Minimum-Variance Fusion in Structured Light
[arXiv] 2026-03-11 | KnowDiffuser: A Knowledge-Guided Diffusion Planner with LM Reasoning and Prior-Informed Trajectory Initialization
[arXiv] 2026-03-11 | Three-gluon decays of radially excited quarkonia $ψ(2S)$ and $Υ(2S)$ with both relativistic and QCD radiative corrections
[arXiv] 2026-03-11 | A Secure Splitting and Acceleration Strategy for TCP/QUIC in Interplanetary Networks
[arXiv] 2026-03-11 | Domain-Adaptive Health Indicator Learning with Degradation-Stage Synchronized Sampling and Cross-Domain Autoencoder
[arXiv] 2026-03-11 | Quark spin correlation inside hyperons
[arXiv] 2026-03-11 | 3-D Trajectory Optimization for Robust Direction Sensing in Movable Antenna Systems
[arXiv] 2026-03-11 | World2Act: Latent Action Post-Training via Skill-Compositional World Models
[arXiv] 2026-03-11 | TractoRC: A Unified Probabilistic Learning Framework for Joint Tractography Registration and Clustering
[arXiv] 2026-03-11 | Supersonic flow of a Chaplygin gas past a conical wing with $Λ$-shaped cross sections
[arXiv] 2026-03-11 | Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control
[arXiv] 2026-03-11 | The moduli space of dynamical spherically symmetric black hole spacetimes and the extremal threshold
[arXiv] 2026-03-11 | The phenomenon of the axion kinetic misalignment with a generic PQ-breaking operator
[arXiv] 2026-03-11 | Speech Codec Probing from Semantic and Phonetic Perspectives
[arXiv] 2026-03-11 | One Token, Two Fates: A Unified Framework via Vision Token Manipulation Against MLLMs Hallucination
[arXiv] 2026-03-11 | Single-shot in situ pulse-duration measurement using plasma grating
[arXiv] 2026-03-11 | Utility Function is All You Need: LLM-based Congestion Control
[arXiv] 2026-03-11 | Evaluating the spatial intra-pixel sensitivity variations and influence based on space observation
[arXiv] 2026-03-11 | EmoStory: Emotion-Aware Story Generation
[arXiv] 2026-03-11 | Group evolving dynamics in biased condition: modeling and analysis
[arXiv] 2026-03-11 | The FAST Discovery of a binary millisecond pulsar PSR~J1647-0156B (M12B) with a candidate cross matching algorithm
[arXiv] 2026-03-11 | Optimising two-block averaging kernels to speed up Markov chains
[arXiv] 2026-03-11 | The Kobayashi-Hitchin correspondence for nef and big classes
[arXiv] 2026-03-11 | Spin Inertia as a Driver of Chaotic and High-Speed Ferromagnetic Domain Walls
[arXiv] 2026-03-11 | Towards Modeling Situational Awareness Through Visual Attention in Clinical Simulations
[arXiv] 2026-03-11 | Is this Idea Novel? An Automated Benchmark for Judgment of Research Ideas
[arXiv] 2026-03-11 | GaLoRA: Parameter-Efficient Graph-Aware LLMs for Node Classification
[arXiv] 2026-03-11 | Hybrid Self-evolving Structured Memory for GUI Agents
[arXiv] 2026-03-11 | Quantum entanglement provides a competitive advantage in adversarial games
[arXiv] 2026-03-11 | Frozen mode in coupled single-mode waveguides with gratings
[arXiv] 2026-03-11 | On Utility Maximization under Multivariate Fake Stationary Affine Volterra Models
[arXiv] 2026-03-11 | Realizing the Emery Model in Optical Lattices for Quantum Simulation of Cuprates and Nickelates
[arXiv] 2026-03-11 | XMM-Newton Observation and Optical Monitoring of the Candidate Redback Millisecond Pulsar 1FGL J0523.5$-$2529
[arXiv] 2026-03-11 | Blind mitigation of foreground-induced biases on primordial $B$ modes for ground-based CMB experiments
[arXiv] 2026-03-11 | A Model-Based Restricted Shapley Value to Measure the Players' Contribution to Shot Actions in Football
[arXiv] 2026-03-11 | Universality of Classically Trainable, Quantum-Deployed Boson-Sampling Generative Models
[arXiv] 2026-03-11 | Bouncing singularities and thermal correlators on line defects
[arXiv] 2026-03-11 | RCTs & Human Uplift Studies: Methodological Challenges and Practical Solutions for Frontier AI Evaluation
[arXiv] 2026-03-11 | Too Vivid to Be Real? Benchmarking and Calibrating Generative Color Fidelity
[arXiv] 2026-03-11 | Theory of Cell Body Lensing and Phototaxis Sign Reversal in "Eyeless" Mutants of $Chlamydomonas$
[arXiv] 2026-03-11 | GroundCount: Grounding Vision-Language Models with Object Detection for Mitigating Counting Hallucinations
[arXiv] 2026-03-11 | Violating the All-or-Nothing Picture of Local Charges in Non-Hermitian Bosonic Chains
[arXiv] 2026-03-11 | Distortion Is Not Noise: On the Limits of the Kappa Model for Monostatic ISAC
[arXiv] 2026-03-11 | Linear Readout of Neural Manifolds with Continuous Variables
[arXiv] 2026-03-11 | Importance of nonlinear long-range electron-phonon interaction on the carrier mobility of anharmonic halide perovskites
[arXiv] 2026-03-11 | When should we trust the annotation? Selective prediction for molecular structure retrieval from mass spectra
[arXiv] 2026-03-11 | Hamiltonian formulation and matrix discretization for axisymmetric magnetohydrodynamics
[arXiv] 2026-03-11 | Efficient construction of $\mathbb{Z}_2$ gauge-invariant bases for the Quantum Minimally Entangled Typical Thermal States algorithm
[arXiv] 2026-03-11 | Lifelong Imitation Learning with Multimodal Latent Replay and Incremental Adjustment
[arXiv] 2026-03-11 | Novel Architecture of RPA In Oral Cancer Lesion Detection
[arXiv] 2026-03-11 | Preservation of F-convexity under the heat flow
[arXiv] 2026-03-11 | Newly discovered Luminous blue variable candidates in M31 & M33
[arXiv] 2026-03-11 | Algebra Structures of Multiple Eisenstein Series in Positive Characteristic
[arXiv] 2026-03-11 | First Axion Search Results of the SUPAX Prototype Experiment
[arXiv] 2026-03-11 | Packaging Jupyter notebooks as installable desktop apps using LabConstrictor
[arXiv] 2026-03-11 | Need for Speed: Zero-Shot Depth Completion with Single-Step Diffusion
[arXiv] 2026-03-11 | Long-range magnetic order with disordered spin orientations in a high-entropy antiferromagnet
[arXiv] 2026-03-11 | Motion Forcing: A Decoupled Framework for Robust Video Generation in Motion Dynamics
[arXiv] 2026-03-11 | Hybridlane: A Software Development Kit for Hybrid Continuous-Discrete Variable Quantum Computing
[arXiv] 2026-03-11 | Polarization transfer force on ferroelectric domain walls
[arXiv] 2026-03-11 | Geo-ADAPT-VQE: Quantum Information Metric-Aware Circuit Optimization for Quantum Chemistry
[arXiv] 2026-03-11 | Ribbon concordance of fibered knots and compressions of surface homeomorphisms
[arXiv] 2026-03-11 | Polymerized spacetime dynamics with multi-field source: unraveling the pre-inflationary Universe
共写入 763 条记录，保存到 papers/paper2026-03-11.json。
论文获取成功，文件路径: papers/paper2026-03-11.json
正在筛选、翻译并发送邮件...
[NO] 1/763 | Effective Dataset Distillation for Spatio-Temporal Forecasting with Bi-dimensional Compression
[YES] 2/763 | Designing Service Systems from Textual Evidence
[NO] 3/763 | Multi-Person Pose Estimation Evaluation Using Optimal Transportation and Improved Pose Matching
[NO] 4/763 | Graph-GRPO: Training Graph Flow Models with Reinforcement Learning
[NO] 5/763 | Magnetic field strength constraints on $γ$-ray flaring regions in the flat spectrum radio quasar PKS 1222+216
[NO] 6/763 | Variance-Aware Adaptive Weighting for Diffusion Model Training
[NO] 7/763 | Optimal Movable Antenna Placement for Near-Field Wireless Sensing
[NO] 8/763 | Dynamic Knowledge Fusion for Multi-Domain Dialogue State Tracking
[NO] 9/763 | Geometric Autoencoder for Diffusion Models
[YES] 10/763 | HEAL: Hindsight Entropy-Assisted Learning for Reasoning Distillation
[NO] 11/763 | Interstellar Object 3I/ATLAS Observed from Mars by China's Tianwen-1 Spacecraft
[NO] 12/763 | On The Complexity of Best-Arm Identification in Non-Stationary Linear Bandits
[NO] 13/763 | Landmark Guided 4D Facial Expression Generation
[NO] 14/763 | Fuel Gauge: Estimating Chain-of-Thought Length Ahead of Time in Large Multimodal Models
[NO] 15/763 | A candidate proton cyclotron feature in the ultraluminous X-ray source NGC 4656 ULX-1
[NO] 16/763 | On the dual nature of atmospheric escape
[NO] 17/763 | Weighted Generalized Risk Measure and Risk Quandrangle: Characterization, Optimization and Application
[NO] 18/763 | Linear complementarity properties of some classes of banded matrices
[NO] 19/763 | On Bipartite-Almost Bipartite Graphs and the Determinantal Factorization
[NO] 20/763 | PRoADS: Provably Secure and Robust Audio Diffusion Steganography with latent optimization and backward Euler Inversion
[NO] 21/763 | How to make the most of your masked language model for protein engineering
[NO] 22/763 | Regime-aware financial volatility forecasting via in-context learning
[NO] 23/763 | Electron-phonon physics at the exascale: A hybrid MPI-GPU-OpenMP framework for scalable Wannier interpolation
[NO] 24/763 | Binomial Random Matroids
[NO] 25/763 | Methods for Identifying Minimal Sufficient Statistics
[NO] 26/763 | Copula-ResLogit: A Deep-Copula Framework for Unobserved Confounding Effects
[NO] 27/763 | Gauge transformation for pulse propagation and time ordered integrals
[NO] 28/763 | Rigidity of Critical Point Metrics under some Ricci curvature constraints
[NO] 29/763 | Hinode EIS Observations of Plasma Composition Evolution and Radiative Cooling of Solar Flare Loops
[NO] 30/763 | Making Bielik LLM Reason (Better): A Field Report
[NO] 31/763 | Motives, cohomological invariants and Freudenthal magic square
[NO] 32/763 | MUNIChus: Multilingual News Image Captioning Benchmark
[NO] 33/763 | Anti-Ramsey forbidden poset problems
[NO] 34/763 | Learning Bimanual Cloth Manipulation with Vision-based Tactile Sensing via Single Robotic Arm
[NO] 35/763 | M-Polynomial of Product Graphs
[NO] 36/763 | The Asteroid Framing Cameras on ESA's Hera mission
[NO] 37/763 | Gradient Flow Drifting: Generative Modeling via Wasserstein Gradient Flows of KDE-Approximated Divergences
[NO] 38/763 | Optical quantum teleportation with known amplitude distorting factors of teleported qubits
[NO] 39/763 | Shadowing phenomenon for composition operators on the Hardy space $H^2(\mathbb{D})$
[NO] 40/763 | Safety-critical Control Under Partial Observability: Reach-Avoid POMDP meets Belief Space Control
[NO] 41/763 | Entanglement distribution among distinct mechanical nodes in a quantum network
[NO] 42/763 | UniStitch: Unifying Semantic and Geometric Features for Image Stitching
[NO] 43/763 | Transcendence of $p$-adic continued fractions and a quantitative $p$-adic Roth theorem
[NO] 44/763 | PET-F2I: A Comprehensive Benchmark and Parameter-Efficient Fine-Tuning of LLMs for PET/CT Report Impression Generation
[NO] 45/763 | Observation of Kondo hybridization wave in UTe2
[NO] 46/763 | P-GSVC: Layered Progressive 2D Gaussian Splatting for Scalable Image and Video
[NO] 47/763 | Chromospheric and photospheric properties of sunspots as inferred from Stokes inversions under magneto-hydrostatic and non-local-thermodynamic equilibrium
[NO] 48/763 | In-Memory ADC-Based Nonlinear Activation Quantization for Efficient In-Memory Computing
[NO] 49/763 | An Event-Driven E-Skin System with Dynamic Binary Scanning and real time SNN Classification
[NO] 50/763 | Multi-wavelength emission modelling of PSR~J0437$-$4715
[NO] 51/763 | Convexity of the Potential Function of the Einstein-Kähler Metric on a Convex Domain
[NO] 52/763 | Safe and Scalable Web Agent Learning via Recreated Websites
[NO] 53/763 | Discontinuous Wealth-Gradient Transition Driving Cooperation
[NO] 54/763 | StructDamage:A Large Scale Unified Crack and Surface Defect Dataset for Robust Structural Damage Detection
[NO] 55/763 | White Dwarfs with Infrared Excess from LAMOST Data Release 11
[NO] 56/763 | The Ricci flow with prescribed curvature on graphs
[YES] 57/763 | From Verification to Herding: Exploiting Software's Sparsity of Influence
[NO] 58/763 | Muscle Synergy Priors Enhance Biomechanical Fidelity in Predictive Musculoskeletal Locomotion Simulation
[NO] 59/763 | DepthCache: Depth-Guided Training-Free Visual Token Merging for Vision-Language-Action Model Inference
[NO] 60/763 | G-STAR: End-to-End Global Speaker-Tracking Attributed Recognition
[NO] 61/763 | UniPINN: A Unified PINN Framework for Multi-task Learning of Diverse Navier-Stokes Equations
[NO] 62/763 | On Partial Trace Ideals
[NO] 63/763 | Brenier Isotonic Regression
[NO] 64/763 | FAR-Dex: Few-shot Data Augmentation and Adaptive Residual Policy Refinement for Dexterous Manipulation
[NO] 65/763 | Discriminating Dark Matter Origins with Directional Detection
[NO] 66/763 | CSST-PSFNet: A Point Spread Function Reconstruction Model for the CSST Based on Deep Learning
[NO] 67/763 | Naturally Light Distortion
[NO] 68/763 | Forcing with random variables in bounded arithmetics and set theory
[NO] 69/763 | Phase Selection and Analysis for Multi-frequency Multi-user RIS Systems Employing Subsurfaces
[NO] 70/763 | Expressive Boundedness of Authoritative DNS Response Selection
[NO] 71/763 | A Hybrid Knowledge-Grounded Framework for Safety and Traceability in Prescription Verification
[NO] 72/763 | The Berezin liminf criterion fails for radial Toeplitz operators
[NO] 73/763 | FG-CLTP: Fine-Grained Contrastive Language Tactile Pretraining for Robotic Manipulation
[NO] 74/763 | Risk time splitting for improved estimation of screening programs effect on later mortality
[NO] 75/763 | Exploring Indicators of Developers' Sentiment Perceptions in Student Software Projects
[NO] 76/763 | OSUM-Pangu: An Open-Source Multidimension Speech Understanding Foundation Model Built upon OpenPangu on Ascend NPUs
[NO] 77/763 | Direct observation of three-neutron emission from $^7$He$^*$ and the search for the trineutron
[NO] 78/763 | SPX-VIX Risk Computations Via Perturbed Optimal Transport
[NO] 79/763 | 6ABOS: An Open-Source Atmospheric Correction Framework for the EnMAP Hyperspectral Mission Based on 6S
[NO] 80/763 | Star Topology Optimizes the Charging Power of Quantum Batteries
[YES] 81/763 | Towards Cold-Start Drafting and Continual Refining: A Value-Driven Memory Approach with Application to NPU Kernel Synthesis
[NO] 82/763 | Entanglement distillation based on Hamiltonian dynamics
[NO] 83/763 | PivotAttack: Rethinking the Search Trajectory in Hard-Label Text Attacks via Pivot Words
[NO] 84/763 | Open quantum systems beyond equilibrium: Lindblad equation and path integral molecular dynamics
[NO] 85/763 | Distributed Safety Critical Control among Uncontrollable Agents using Reconstructed Control Barrier Functions
[NO] 86/763 | Experiments at the CERN SPS: first signals of deconfinement
[NO] 87/763 | On the Reliability of Cue Conflict and Beyond
[NO] 88/763 | Evaluating Few-Shot Pill Recognition Under Visual Domain Shift
[NO] 89/763 | ReTabSyn: Realistic Tabular Data Synthesis via Reinforcement Learning
[NO] 90/763 | Generalised Complex and Spinor Relations
[NO] 91/763 | Backdoor Directions in Vision Transformers
[NO] 92/763 | On Integral Domains with Prime Divisor Finite Property
[NO] 93/763 | AI-Enhanced Spatial Cellular Traffic Demand Prediction with Contextual Clustering and Error Correction for 5G/6G Planning
[NO] 94/763 | Large Language Models as Annotators for Machine Translation Quality Estimation
[NO] 95/763 | Analysis of the hidden-charm pentaquark candidates in the $J/ψΣ$ mass spectrum via the QCD sum rules
[NO] 96/763 | AI-Generated Rubric Interfaces: K-12 Teachers' Perceptions and Practices
[NO] 97/763 | A Disguise-and-Squeeze PIR Scheme for the MDS-TPIR Setting and Beyond
