[2026-03-24 09:42:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[IEEE] 2026-3-23 | Hybrid CNN With Transfer Learning for Advanced Dermatological Analysis
[IEEE] 2026-3-23 | High-Voltage Cable Main Insulation Surface Defect Detection Based on RANSAC and AABB
[IEEE] 2026-3-23 | Vision-Driven Dynamic Traffic Light System for Smart Cities using Edge AI
[IEEE] 2026-3-23 | Random Forest Classifier for Resume Parsing and Job Categorization
[IEEE] 2026-3-23 | Human-systems integration through the lenses of human factors ergonomics and systems engineering: from cooperation to collaboration
[IEEE] 2026-3-23 | ReguQuery: An Agentic Framework For Automated Regulatory Compliance Analysis Using Retrieval-Augmented Generation
[IEEE] 2026-3-23 | Efficient Task scheduling and resource allocation using an AI-based Sugeno fuzzy inference scheme for a Video Conferencing system
[IEEE] 2026-3-23 | Attention-Based Transfer Learning for Non-IID Federated Human Activity Recognition Using Inertial Sensors
[IEEE] 2026-3-23 | A Hybrid CNN With Bagging- Hard Voting Ensemble Technique for Diabetic Retinopathy Diagnosis
[IEEE] 2026-3-23 | Image Super-Resolution Using ESRGAN Model
[IEEE] 2026-3-23 | MPA-DNN: Projection-Aware Unsupervised Learning for Multi-period DC-OPF
[IEEE] 2026-3-23 | Efficient Implementation of Convolutional Neural Networks in FPGA Using approximate ripple carry adders
[IEEE] 2026-3-23 | AI-Powered Intelligent Writing Assistants for Enhancing ESL Composition Skills through Novel Deep Learning Frameworks
[IEEE] 2026-3-23 | A Comparative Study on Different Methods of Helmet Detection to Improve ATM Security
[IEEE] 2026-3-23 | Fusion of Multi-Scale Wavelet, LBP, GLCM Features for SEM Image Classification using Machine Learning Techniques
[IEEE] 2026-3-23 | Research on Incremental Self-Evolution Architecture of Time-Series Large Models in Complex Power Operation and Maintena Scenarios
[IEEE] 2026-3-23 | Coordinated tuning of multiple power oscillation damping controllers of HVDC links: Application to a large-scale power system
[IEEE] 2026-3-23 | Design and Development of a Modular Bucket Drum Excavator for Lunar ISRU
[IEEE] 2026-3-23 | DAIR-FedMoE: Hierarchical MoE for Federated Encrypted Traffic Classification under Compound Drift
[IEEE] 2026-3-23 | 2025 International Conference on Space Robotics (iSpaRo)
[IEEE] 2026-3-23 | Capacity-Latency Tradeoffs in CXL Memory Expander at Hyperscale
[IEEE] 2026-3-23 | A Strategic Framework for Supplier Performance Assessment and Anomaly Detection in High-Tech Supply Chains: Integrating Shared-Resource DEA with Machine Learning_supp1-3675293.docx
[IEEE] 2026-3-23 | Learnable Residual Denoiser Enhanced Deep Sensor Fusion for Smartphone Navigation under GNSS Outages
[IEEE] 2026-3-23 | A novel control strategy to maintain ZVS under component variability in resonant Modular Multi-Active Bridge converters
[IEEE] 2026-3-23 | A Combined Aliasing-Free Outphasing Transmitter
[IEEE] 2026-3-23 | Deep Domain Adaptation with Channel Attention for Open-Circuit Fault Diagnosis of Charging Piles Operating under Dynamic Working Conditions
[IEEE] 2026-3-23 | Spatial-Temporal Generative AI for Traffic Flow Estimation With Sparse Data of Connected Vehicles
[IEEE] 2026-3-23 | Design and Evaluation of an AI-Based Conversational Agent for Adaptive Feedback in Educational Robotics
[IEEE] 2026-3-23 | Shortened Current Injection for Sensorless Switched Reluctance Motor Drives Based on High-Sensitivity-Region-Optimized Position Observer
[IEEE] 2026-3-23 | Zero-sum Game Optimized Control With Augmented Time-synchronized Property
[IEEE] 2026-3-23 | TSFA: A Two-Stage Feature Alignment Method for Unsupervised Open-Set Domain Adaptation in Time-Series Classification
[IEEE] 2026-3-23 | Architecture-Dependent Radiation Response and Hardening of Bandgap References
[IEEE] 2026-3-23 | Proton-Induced Displacement Damage in AlGaInAs on InP Multi-Quantum-Well Continuous-Wave Laser Diodes
[IEEE] 2026-3-23 | A Novel Trans-Inverse Ultra-High Step-Up Quadratic DC-DC Converter Based on Three-Winding Coupled-Inductor
[IEEE] 2026-3-23 | Small Signal Stability Analysis of More Electric Aircraft Based on Prony Method
[IEEE] 2026-3-23 | F2-YOLO: A Lightweight YOLO Framework for Forest Fire and Smoke Detection
[IEEE] 2026-3-23 | AI-Native Observability and Self-Evolving Diagnostics: Generative Troubleshooting, Semantic Correlation, and Embedded Guidance for Large-Scale Cloud Systems
[IEEE] 2026-3-23 | Bridging Knowledge Gaps in Internal Auditing and Cybersecurity: Transitioning from CAATTs to AI-Driven Solutions
[IEEE] 2026-3-23 | Research on Dynamic Matching of Energy Supply and Demand in Phase Change Material-Thermoelectric Power Generation Coupling System for Long-Endurance Marine Monitoring Buoys
[IEEE] 2026-3-23 | SegFormer-SAC Framework for Safe Landing and Adaptive Exploration in Hazardous Terrains
[IEEE] 2026-3-23 | Energy Consumption Prediction using Ensemble Learning and Streamlit Application
[IEEE] 2026-3-23 | Multiclass Intrusion Detection in IIoT Environments Using Attention Mechanisms and Optimized LSTM Networks
[IEEE] 2026-3-23 | Geometric Approaches to 6-DoF Pose Estimation for Autonomous Spacecraft Docking
[IEEE] 2026-3-23 | FinFlow: Enhancing Portfolio Performance Through Risk Optimization
[IEEE] 2026-3-23 | Does Trade sail in tandem with Blockchain technology: cognizance from global pilot programs
[IEEE] 2026-3-23 | Evaluating Robustness and Adaptability in Learning-Based Mission Planning for Active Debris Removal
[IEEE] 2026-3-23 | Novel UVM-Based Verification of a Short BCH Encoder and Decoder for Radiation-Tolerant Memory Arrays
[IEEE] 2026-3-23 | DGFS – Deep Neural Network and Gated Recurrent Unit Based Feature Stacking for Attack Detection on User Behavior
[IEEE] 2026-3-23 | Novel Prediction Model for Air Quality And Health Risk Prediction
[IEEE] 2026-3-23 | A Data-Driven Resilience Assessment for Integrated Energy Systems
[IEEE] 2026-3-23 | Optimizing Sustainability in Deep Learning for Real-Time Banana Leaf Disease Detection using Densenet-201 and Alexnet Inception Network
[IEEE] 2026-3-23 | On Scaling Artifacts in Embedding Post-Processing: A Case Study of the Context Isolation Framework
[IEEE] 2026-3-23 | Voice-Signal based Prediction of Parkinson’s Disease with Machine Learning Models
[IEEE] 2026-3-23 | How Online-Offline Integration Drives Adoption of Fashion Commerce Among Gen Z
[IEEE] 2026-3-23 | Implementation of a Zero Trust Edge Blockchain Framework for IoT Security: Integrating 6G Connectivity and LoRaWAN
[IEEE] 2026-3-23 | Strategic Bidding and Robust Pricing for Load Aggregators in Joint Electricity-Reserve Markets
[IEEE] 2026-3-23 | A Mental Health Chatbot with Bitmoji-based Emotional Avatars for Enhanced Empathetic Communication
[IEEE] 2026-3-23 | A New Era in Mobile User Prediction: Federated Synthetic Data Meets Transformer-GNNs
[IEEE] 2026-3-23 | Smart Care Scheduler : AI driven healthcare appointment system with disease prediction
[IEEE] 2026-3-23 | Assessment of Critical Clearing Time for GFM-based Converters Considering Current Saturation
[IEEE] 2026-3-23 | Real-Time Pricing and Adaptive Optimization for EV Charging Demand Response
[IEEE] 2026-3-23 | Exploration of T-Type D-STATCOM using Cuttlefish Optimization
[IEEE] 2026-3-23 | Ensemble-Based Lung Cancer Risk Prediction with SHAP Explainability
[IEEE] 2026-3-23 | Deep Learning-Based American Sign Language Recognition System with Multi-Scale CNN and LSTM Architecture
[IEEE] 2026-3-23 | Recurrent Augmented Lagrangian Neural Network for Security-Constrained Economic Dispatch
[IEEE] 2026-3-23 | A Lightweight Hybrid Vision Transformer and CNN Approach for Image Inpainting
[IEEE] 2026-3-23 | Design and Analysis of 16-bit Vedic Multiplier using Peres Reversible Logic Gate
[IEEE] 2026-3-23 | Analysis of Transient Voltage Oscillation Mechanism and Instability Characteristics Incorporating Renewable Energy Control-Switching Dynamics
[IEEE] 2026-3-23 | Battery Sorting of Liquid Metal Batteries based on the Phase Transition Feature and Autoencoder framework
[IEEE] 2026-3-23 | Dynamic Q-Learning Optimization for Anomaly-Aware Intelligent Healthcare Access Security Framework
[IEEE] 2026-3-23 | A Two-Stage Scenario Clustering Method for Power System Operation Risk
[IEEE] 2026-3-23 | Explainable Vision Transformer–CNN Fusion Network for Brain Tumor Detection and Classification using MRI with Grad-CAM Visualization
[IEEE] 2026-3-23 | Prediction of Osteoporosis using Traditional and Deep Learning Feature Extraction and Feature Fusion and ML Classification
[IEEE] 2026-3-23 | Feature Evaluation of Nvidia R555-R560 Open-Source GPU Driver Transition
[IEEE] 2026-3-23 | Study on the Layout of Charging Facilities in Airport Movement Area Based on Standard Particle Swarm Optimization Algorithm
[IEEE] 2026-3-23 | Automated Preprocessing and Semi-Supervised Deep Learning Segmentation Framework With Dynamic Patching for High-Resolution Satellite Imagery
[IEEE] 2026-3-23 | Symmetric Image-Text Tuning with Entropy-Guided Fusion for Online Continual Learning in Non-Stationary Visual Streams
[IEEE] 2026-3-23 | Highly Noise-Robust Customization of SSB Format and Reception Scheme for 5G NR Sidelink-Based 60 GHz WPAN Systems
[IEEE] 2026-3-23 | Adaptive BPSK/QPSK Switching for FSO Links by Real-Time Scintillation Index Monitoring
[IEEE] 2026-3-23 | High-Performance Cross-Subject Decoding of Multiclass Rhythmic Motor Imagery Using EEG Data from 100 Subjects
[IEEE] 2026-3-23 | A Scalable Semi-Grant-Free Access Scheme in Cell-Free Massive MIMO System
[IEEE] 2026-3-23 | Federated Split Learning with Non-IID Data: Convergence Analysis and Resource Allocation
[IEEE] 2026-3-23 | A Robust MPCC Strategy With Improved Super-Twisting Observer-Based Non-Singular Integral Terminal Sliding-Mode Speed Controller for IPMSM
[IEEE] 2026-3-23 | KICGPTv2: Large Language Model with Knowledge in Context for Knowledge Graph Completion
[IEEE] 2026-3-23 | A Technique for the Characterization of the X-Ray-Induced Leakage Path in a Linear Voltage Regulator
[IEEE] 2026-3-23 | ATF-MUSE: A Lightweight U-Net-Based Model with Adaptive Time-Frequency Transformer for Speech Enhancement
[IEEE] 2026-3-23 | Multi Layer Jamming Detection and Classification in 6G-Enabled Satellite-Air-Ground Integrated Networks Using Machine Learning
[IEEE] 2026-3-23 | AI-Powered Vision Sensing System for Real-Time Inspection of Particles in Intravenous Bags Through Multi-Object Detection-Tracking Configurations
[IEEE] 2026-3-23 | IConSCEPT 2025 Author Index
[IEEE] 2026-3-23 | Visual SLAM based Autonomous Lawn Mower
[IEEE] 2026-3-23 | DiffTile: High-Resolution Periodic Pattern Generation Via Splice, Focus and Enhance
[IEEE] 2026-3-23 | Integration of a Human Controller Into a Digital Twin Prototype of a Chainsaw
[IEEE] 2026-3-23 | Design and FPGA Verification of a High-Speed Configurable 3D NAND Flash Controller
[IEEE] 2026-3-23 | QoS-Aware Deep Reinforcement Learning for Dynamic CPU Pinning of Co-located Cloud Workloads
[IEEE] 2026-3-23 | NPC-VMD: Noise-Power Constrained Variational Mode Decomposition for Robust Vision-Based Vibration Measurement
[IEEE] 2026-3-23 | Temperature Characteristics of High Frequency Transformers with Different Nanocrystalline Core Shapes Under Full-Load Condition
[ACM] 2026-3-23 | CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion
[IEEE] 2026-3-23 | ICAIQSA 2025 Copyright Page
[IEEE] 2026-3-23 | Autonomous Planning In-space Assembly Reinforcement-learning free-flYer (APIARY) International Space Station Astrobee Testing
[IEEE] 2026-3-23 | Cooperative Operations Between the Kalman Planetary Rover and an Unmanned Aerial Vehicle for Planetary Exploration
[IEEE] 2026-3-23 | AI-Powered Diagnosis of Pomegranate Diseases in Maharashtra: A Comprehensive Review of Machine and Deep Learning Techniques
[IEEE] 2026-3-23 | Automated Detection and Classification of Chronic Eye Diseases Using Deep Learning
[IEEE] 2026-3-23 | An Analysis of Deep Learning and Multimodal Deep Learning Methods for Crime Prediction from Social Media Data
[IEEE] 2026-3-23 | Efficient Ads Ranking Using Distilled Large Language Models and Transformer Architectures
[IEEE] 2026-3-23 | Small-Signal Stability Analysis of Grid-Tied VSC With Two Typical Negative-Sequence Control Under Unbalanced Grid Conditions
[IEEE] 2026-3-23 | Artificial General Intelligence: Current Progress, Safety Considerations, and Ethical Imperatives
[IEEE] 2026-3-23 | Dynamic Risk-Economic Equilibrium Strategy for Virtual Power Plant Operation via Probabilistic Feasible Regions
[IEEE] 2026-3-23 | Distribution Network Reconfiguration with Time Period Partitioning Based on Fused Information Entropy
[IEEE] 2026-3-23 | Frequency-Constrained Planning of Energy Storage with Adaptive Frequency Control Strategy
[IEEE] 2026-3-23 | Plant Disease Classification using YOLOv8 Algorithm
[IEEE] 2026-3-23 | Machine Vision based Chili Species Recognition
[IEEE] 2026-3-23 | Serverless Cloud Cost Optimizer
[IEEE] 2026-3-23 | AI-Enabled Zero-Trust Security for Omnichannel CRM Platforms
[IEEE] 2026-3-23 | Designing Adaptive Lightweight Encryption Protocols for Secure Multi-Device Communication in Resource-Constrained IoT Architectures
[IEEE] 2026-3-23 | Inertia Estimation for Stability-Constrained Economic Dispatch of IBR Penetrated Grid
[IEEE] 2026-3-23 | AI-Based Pollen Detection for Montenegrin Honey Authenticity Verification
[IEEE] 2026-3-23 | Gabor-ViT: A Parameter-Efficient Multi-Stream Vision Transformer for Remote Sensing Scene Classification
[IEEE] 2026-3-23 | A Unified RF-DETR Framework Integrating Super Resolution and Temporal Fusion for Small Object Recognition in Traffic Scenes
[IEEE] 2026-3-23 | Automated IoT-Based Pill Dispenser with Real-Time Remote Monitoring for Dementia patients
[IEEE] 2026-3-23 | A Game-Theoretic Approach for Users of Edge Computing: QoS-Aware and Cost-Efficient
[IEEE] 2026-3-23 | Graftiee: Machine Learning-Based Prediction System for Optimized Plant Grafting
[IEEE] 2026-3-23 | Automated Inspection of Photovoltaic cells using Deep Learning Algorithm
[IEEE] 2026-3-23 | Ensemble Learning for Financial Crisis Prediction: An AI Framework for Industry Application
[IEEE] 2026-3-23 | Development of Bucket Drum Excavation System with Reaction Force Control for In-Situ Resource Utilization
[IEEE] 2026-3-23 | Sign Language Recognition Using Computer Vision and Machine Learning
[IEEE] 2026-3-23 | Research on an Iterative Algorithm for Power System Carbon Emission Flow Based on Node-Neighborhood Characteristics and Green Electricity Traceability
[IEEE] 2026-3-23 | Deep Physics-Informed Extreme Learning Machines for Orbit Determination
[IEEE] 2026-3-23 | Sensitivity Analysis for Parameterization of Generic Wind Generator Models in Power Systems with High Renewable Penetration
[IEEE] 2026-3-23 | A Comparative Analysis of Various Mppt Techniques Coupled With DC-DC Converters Feed With BLDC Motor in Photovoltaic Systems
[IEEE] 2026-3-23 | Accurate Detection of Fetal and Maternal Heartbeats from Abdominal ECG for Clinical Monitoring
[IEEE] 2026-3-23 | Gamified IoT-based STEM Education for Girls: A Machine Learning Approach to Enhancing Engagement and Retention through Data-Driven Insights
[IEEE] 2026-3-23 | Energy Storage Optimal Configuration Strategy to Enhance the Renewable Energy Hosting Capacity of Distribution Network
[IEEE] 2026-3-23 | AI Legal Argument Generator
[IEEE] 2026-3-23 | A comprehensive analysis of YOLO models for pomegranate (Punica granatum) fruit disease detection and classification
[IEEE] 2026-3-23 | Traditional Image Classification Using Handcrafted Features and SVM
[IEEE] 2026-3-23 | Weld Defect Detection using Image Processing and Ensemble Learning
[IEEE] 2026-3-23 | Golden Jackal Optimization-Driven SHE Control on 13-Level SCMLI for Renewable Applications
[IEEE] 2026-3-23 | A Novel Telugu Dataset for Mental Health Sentiment Analysis Using Transformer Models and Explainable AI
[IEEE] 2026-3-23 | Machine Learning-Based Obesity Detection Using WBANs for Continuous Health Monitoring
[IEEE] 2026-3-23 | Research on Frequency Support Control Strategy of Distributed Energy Storage Units in Microgrids
[IEEE] 2026-3-23 | AI for Applications in Public Safety: A Comprehensive Review of Models, Risks and Validation Techniques
[IEEE] 2026-3-23 | A Fast Calculation Method for Assessing Line Fault Outage Factor in Cascading Failures
[IEEE] 2026-3-23 | Exploring the Feasible Regulation Region of Building HVAC Systems within Hygro-Thermal Comfort
[IEEE] 2026-3-23 | Effective IMU Sensing and Servo Actuation Delay Estimation for Inertially Stabilized Platform
[IEEE] 2026-3-23 | Exploiting Beam-Split Effect in IRS-Aided Systems via Opportunistic OFDMA: Design and Analysis
[IEEE] 2026-3-23 | Development of an All-solid-state Silver Ion-selective Electrode based on the Polypyrrole/Multi-walled Carbon Nanotubes for Thrombin Detection
[IEEE] 2026-3-23 | Miniaturized Carbon-Cloth/TiO Nanofiber-Based Electrochemical Sensor for Simultaneous Detection of Dopamine and Insulin_supp1-3673354.docx
[IEEE] 2026-3-23 | Game-based LLM Inference Task Offloading for Edge Computing System
[IEEE] 2026-3-23 | Fault Detection and Diagnosis in Cyber Physical Systems using Hybrid Deep Learning Approach
[IEEE] 2026-3-23 | Adaptive Rotor Position Error Compensation Scheme for PMSM Sensorless Drives Based on Low-Frequency Sinusoidal Signal Injection
[IEEE] 2026-3-23 | Front Cover
[IEEE] 2026-3-23 | Blind detection scheme for pilot-free short packets: joint capture, synchronization and demodulation
[IEEE] 2026-3-23 | Runtime Feature Compression for Adaptive Keyword Spotting on Embedded Systems
[IEEE] 2026-3-23 | STABLE: Efficient Hybrid Nearest Neighbor Search via Magnitude-Uniformity and Cardinality-Robustness
[IEEE] 2026-3-23 | PCIP: Toward Real-Time Pedestrian Crossing Intention Prediction With Adaptive Fusion and Temporal Dynamics Encoding
[IEEE] 2026-3-23 | Out-of-Sight Embodied Agents: Multimodal Tracking, Sensor Fusion, and Trajectory Forecasting
[IEEE] 2026-3-23 | SM-HAD: Spectrum Mamba for Hyperspectral Anomaly Detection
[IEEE] 2026-3-23 | Online and Safe Multi-Agent RL for Massive Random Access in Tactical Flying Ad-Hoc Networks
[IEEE] 2026-3-23 | IEEE Open Journal of the Industrial Electronics Society Publication Information
[IEEE] 2026-3-23 | DVFL-CPN: A Decentralized and Verifiable Federated Learning Approach for Computing Power Network
[IEEE] 2026-3-23 | Compound Permanent Magnet Machine: Opportunity and Challenge to be Next-generation Powerful Electric Drive
[IEEE] 2026-3-23 | EBFT: Simplifying BFT Consensus Through Egalitarianism_supp1-3673924.pdf
[IEEE] 2026-3-23 | An Optimized Deep Learning Approach for Intrusion Detection: AE-DBN Hybrid Model with Dingo Feature Selection on CSE-CIC- IDS2018
[IEEE] 2026-3-23 | Comparative Analysis of Adaptive ICI Cancellation in Backscattered OFDM Using Unused Subcarriers
[IEEE] 2026-3-23 | The Identification of Load Model Parameters with Photovoltaic Generation Considering LVRT Control
[IEEE] 2026-3-23 | Data Trustee Framework in Logistics
[IEEE] 2026-3-23 | A Comprehensive Review of the BCI Techniques
[IEEE] 2026-3-23 | Designing for Accessibility: A Systematic Literature Review on User Experience Research for Visually Impaired Users
[IEEE] 2026-3-23 | Research on Difference Analysis and Construction of International Standard System for Smart Metering
[IEEE] 2026-3-23 | FedRS: Federated Learning-based Remote Sensing Image Classification in Telecommunication Nodes
[IEEE] 2026-3-23 | Artificial Intelligence as the Shield of Cybersecurity
[IEEE] 2026-3-23 | A Comprehensive Survey of Deepfake Identification &amp; Localization Methods in Images and Videos
[IEEE] 2026-3-23 | Free-Flying Crew Cooperative Robots on the ISS: A Joint Review of Astrobee, CIMON, and Int-Ball Operations
[IEEE] 2026-3-23 | ScanDroidX: A Mobile-Native Security Tool with MITRE ATT&amp;CK Mobile Integration for Pre-Deployment Web Application Assessment
[IEEE] 2026-3-23 | Waveform Matching Based Single-Ended Protection Scheme for Multi-Terminal MMC-HVDC System
[IEEE] 2026-3-23 | High-impedance faults simulation and location method of distribution cable based on self generated wavelet and arc model
[IEEE] 2026-3-23 | Research on Multi time Scale Balancing Capability of New Energy Storage in High Proportion New Energy Grid
[IEEE] 2026-3-23 | Research on Anti-Mechanical Vibration Performance of Rydberg Atom Electric Field Sensing System
[IEEE] 2026-3-23 | LIME Explanation Integration for Real-Time Collision Detection using Deep Learning
[IEEE] 2026-3-23 | Artificial Intelligence-Driven Solutions for QoS Enhancement in 6G Networks with LCR in Complex Fading and Interference Scenarios
[IEEE] 2026-3-23 | Computer Vision Based Damage Detection and Prognosis for Concrete Infrastructure
[IEEE] 2026-3-23 | Multi-level Collaborative Business Analysis and Interaction Scheme Design for Digital Converter Station Equipment Operation and Maintenance
[IEEE] 2026-3-23 | A Data-Driven Framework for Career Alignment Based on Personality Attributes and Market Trends Using Expert-Weighted Supervised Learning and Generative AI
[IEEE] 2026-3-23 | Robust Face Recognition for Smart Surveillance Using MRFE–GLCM and LTP Variants
[IEEE] 2026-3-23 | Fault Classification and Location in Transmission Lines using Attention Driven Dual-Stage Deep Architecture Network (ADDA-Net)
[IEEE] 2026-3-23 | AI-Driven Tutorial Code Learning System: Personalized Programming Education Through Adaptive Instruction and Gamification
[IEEE] 2026-3-23 | Enhanced Sensitivity and Specificity in Early Cancer Detection using Photonic Crystal Biosensors and GAN-Optimized Signal Processing
[IEEE] 2026-3-23 | A Multi-Stage and Multi-Type Holomorphic Embedding Method Framework for Identifying Convergence Issues in Power Flow Problems
[IEEE] 2026-3-23 | A Deep Learning Paradigm for Automated Disease Detection in Smart Healthcare Systems
[IEEE] 2026-3-23 | Integrating Reinforcement Learning and Cognitive AI for Low-Latency and Resilient High-Speed Network Optimization
[IEEE] 2026-3-23 | Intelligent Coordinated Diagnosis of Primary and Secondary Systems in Market Oriented Distribution Networks
[IEEE] 2026-3-23 | Enhancing Cryptocurrency Price Prediction Using Hybrid LSTM-Attention Mechanism and Reinforcement Learning for Trading Optimization
[IEEE] 2026-3-23 | Autonomous AI Agents in Scientific Discovery – How Agentic AI Accelerates Research in Drug Design, Materials Science, or Climate Modeling
[IEEE] 2026-3-23 | Concepts of a Robotic Arm System for Lunar Pressurized Rover and its Dust Mitigation Challenges
[IEEE] 2026-3-23 | Adaptive Science Operations in Deep Space Missions Using Offline Belief State Planning
[IEEE] 2026-3-23 | Design and Implementation of a Deep Learning–Driven ECG Signal Classification System for Cardiac Arrhythmia Detection
[IEEE] 2026-3-23 | AIMock: An AI-Powered Mock Interview Platform
[IEEE] 2026-3-23 | AI-Driven Dynamic Microsegmentation for East-West Traffic in Cloud and Data Center Networks
[IEEE] 2026-3-23 | QR Based Smart Parking Navigation System for Vehicle Localization and Route Guidance
[IEEE] 2026-3-23 | Exploring SysML v2 for Variability Modeling and Digital Continuity in Model-Based Systems Engineering
[IEEE] 2026-3-23 | Electric Vehicle Charging Behavior Prediction Using Deep Learning Methods
[IEEE] 2026-3-23 | A Transformer-Based Sentiment and Topic Analysis of Public Perception on Pertamina Gas Station Services
[IEEE] 2026-3-23 | Elevating Recruitment Efficiency: The Role of MERN in Creating Career Bridge's Intuitive Job Platform
[IEEE] 2026-3-23 | Spatio-Temporal Coupled Discrete-Continuous Flexibility Region for Distribution Systems Considering Multiple Grid-Side Resources
[IEEE] 2026-3-23 | AI-Powered Allergen Prediction Using Protein Language Model
[IEEE] 2026-3-23 | A Blockchain-Based Interoperable Framework for Secure, Seamless, and Optimized Healthcare Data Management in 6G-Ready Edge Healthcare Networks
[IEEE] 2026-3-23 | Smart Contracts- Cloud Storage-Assisted Medical Image Encryption and Sharing Solution
[IEEE] 2026-3-23 | An Instance Segmentation and Feature Visualization Method for Multi-source Partial Discharge Diagnosis
[IEEE] 2026-3-23 | ADA-Net: Avalanche Differential Attention Network with Covariance Correlation Differential Transformer for Multimodal Snow Avalanche Susceptibility Mapping
[IEEE] 2026-3-23 | ICAIQSA 2025 Committees
[IEEE] 2026-3-23 | Quantum-Enhanced Strain and Temperature Sensing Based on Self-Imaging Principle in a Single-Multi-Single-Mode Fiber Structure
[IEEE] 2026-3-23 | Priority-Aware DDPG Empowered Multi-Active-RIS Beamforming Framework for Energy-Efficient ISAC
[IEEE] 2026-3-23 | Neuroimaging Diagnosis of Autism Spectrum Disorder Using Machine Learning and Deep Learning: A Comprehensive Review
[IEEE] 2026-3-23 | LES-Talker: Fine-Grained Emotion Editing for Talking Head Generation in Linear Emotion Space
[IEEE] 2026-3-23 | Progress in Fine-Line Front-Side Printing for TOPCon Solar Cells
[IEEE] 2026-3-23 | Generation of 12.8-fs pulses with 1.3-MW peak power at 1550 nm in conventional single-mode fiber
[IEEE] 2026-3-23 | Communication-Efficient and Robust Multi-Modal Federated Learning via Latent-Space Consensus
[IEEE] 2026-3-23 | Co-Channel Coexistence of Satellite Direct-to-Device and Terrestrial IMT in Cross-Border Scenarios: Deterministic PFD/EPFD Masks, Dynamic Validation, and Multi-System Aggregation
[IEEE] 2026-3-23 | NeuDFL: Efficient Neuron-based Defense Against Label Flipping Attacks on Non-IID Data
[IEEE] 2026-3-23 | Plog: An Efficient and Privacy-Preserving Collaborative Learning Framework on Vertically Partitioned Graph Data
[IEEE] 2026-3-23 | A Portable Microbial Growth Curve Analyzer for High-Throughput Monitoring of Yeast Fermentation Dynamics
[IEEE] 2026-3-23 | Non-Cooperative Localization via WiFi Traffic Sniffing
[IEEE] 2026-3-23 | Weather-Resilient Road Safety Vision System
[IEEE] 2026-3-23 | Flood Prediction using Machine Learning
[IEEE] 2026-3-23 | Research on Critical Node Identification in Cyber-Physical Power Systems Based on GCN-IDDA*
[IEEE] 2026-3-23 | On Low-Carbon Economic Dispatch of CHP: An Economy-Carbon Operation Region Model
[IEEE] 2026-3-23 | Symbolic Regression Driven Path Loss Modeling with Kalman and Markov Features
[IEEE] 2026-3-23 | Stacked Intelligence: EEG-Based Early Schizophrenia Detection with Hybrid Models
[IEEE] 2026-3-23 | Knowledge-Driven and Reinforcement Learning-Based Hybrid Resilient Dispatch for Process-Based Industrial Park Microgrids
[IEEE] 2026-3-23 | A Probabilistic Block-based Medium-Long Term Transaction Method for Renewable Energy Participation
[IEEE] 2026-3-23 | OIRL: Real-time Optimization of Peak Shaving and Energy Arbitrage in Industrial Microgrids with Offline Inverse Reinforcement Learning Framework
共写入 1834 条记录，保存到 papers/paper2026-03-23.json。
论文获取成功，文件路径: papers/paper2026-03-23.json
正在筛选、翻译并发送邮件...
[NO] 1/1834 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[NO] 2/1834 | The fragility of the Uranian moons during the giant planet instability
[NO] 3/1834 | Nonlinear Control Synchronization Method for Fractional-order Time Derivatives Chaotic Systems
[NO] 4/1834 | Prophets Inequalities with Uncertain Acceptance
[NO] 5/1834 | Temporal analysis and control of Raman scattering dynamics
[NO] 6/1834 | Hausdorff Dimension of Union of Lines that Cover a Function Graph: Applications to PDEs
[NO] 7/1834 | LSAI: A Large Small AI Model Codesign Framework for Agentic Robot Scenarios
[NO] 8/1834 | Characteristic Operators and Spectral Properties of Periodic Evolutionary Systems
[NO] 9/1834 | Exploring self-driving labs for optoelectronic materials
[NO] 10/1834 | MIND: Multi-agent inference for negotiation dialogue in travel planning
[NO] 11/1834 | RefracGS: Novel View Synthesis Through Refractive Water Surfaces with 3D Gaussian Ray Tracing
[NO] 12/1834 | Reasoning Provenance for Autonomous AI Agents: Structured Behavioral Analytics Beyond State Checkpoints and Execution Traces
[NO] 13/1834 | Strategic Infrastructure Design via Multi-Agent Congestion Games with Joint Placement and Pricing
[NO] 14/1834 | AI Token Futures Market: Commoditization of Compute and Derivatives Contract Design
[NO] 15/1834 | CoNBONet: Conformalized Neuroscience-inspired Bayesian Operator Network for Reliability Analysis
[NO] 16/1834 | Optimizing Multi-Agent Weather Captioning via Text Gradient Descent: A Training-Free Approach with Consensus-Aware Gradient Fusion
[NO] 17/1834 | Convex function through Doob-Meyer decomposition
[NO] 18/1834 | HumanOmni-Speaker: Identifying Who said What and When
[NO] 19/1834 | TAMTRL: Teacher-Aligned Reward Reshaping for Multi-Turn Reinforcement Learning in Long-Context Compression
[NO] 20/1834 | A Comparative Analysis of LLM Memorization at Statistical and Internal Levels: Cross-Model Commonalities and Model-Specific Signatures
[NO] 21/1834 | TrustFed: Enabling Trustworthy Medical AI under Data Privacy Constraints
