[2026-03-13 09:27:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-12
正在获取论文...
[arXiv] 2026-03-12 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[IEEE] 2026-3-12 | A Multi-Semantic Multi-Partition Dual-Layer Alternating Joint Update Markov Random Field Method for Remote Sensing Image Semantic Segmentation
[IEEE] 2026-3-12 | Demonstration of a 270-W G-Band Prototype TWT With −3 dB Bandwidth Over 18 GHz
[IEEE] 2026-3-12 | Few-shot Strip Steel Surface Defect Segmentation via Pre-trained Variational Auto-Encoder based Latent Gaussian Process Regression
[IEEE] 2026-3-12 | Enhancing PLS of Indoor IRS-VLC Systems for Colluding and Non-Colluding Eavesdroppers
[IEEE] 2026-3-12 | Predicting Cognitive Performance from Three-Electrode Auditory Brainstem Responses Using Convolutional Neural Networks
[IEEE] 2026-3-12 | Crosstalk-Resistant Multifunctional Sensor Based on APTES-Treated Polyaniline/rGO Composite for the Independent Detection of Swelling, Temperature, and CO_supp1-3670850.docx
[IEEE] 2026-3-12 | Unifying Modality and Scale: Visual Mamba for Feature Fusion in RGB-X Crowd Counting
[IEEE] 2026-3-12 | Boosting Tool Calling Capabilities of Large Language Models via a Novel In-context Learning Approach
[IEEE] 2026-3-12 | Analysis of Single Event Transient in SOI GaN-based FinFET due to Heavy-Ion Irradiation
[IEEE] 2026-3-12 | Resilient Initial-Dependent Coordination via Transformed Consensus and Distributed Compensation
[IEEE] 2026-3-12 | xDLG: Cross Domain Label-Guided Learning for Cross-Modal Unsupervised Domain Adaptation in 3D Semantic Segmentation_supp1-3668619.mp4
[IEEE] 2026-3-12 | UBATrack: Spatio-Temporal State Space Model for General Multi-Modal Tracking
[IEEE] 2026-3-12 | Provable Filter for Real-World Graph Clustering
[IEEE] 2026-3-12 | Contrastive Learning and Adversarial Disentanglement for Privacy-Aware Task-Oriented Semantic Communication
[IEEE] 2026-3-12 | Broadband Near-Infrared Compressive Spectral Imaging System with Reflective Structure
[ACM] 2026-3-12 | Investigating Human Trust and Confidence in Robot-Assisted Recycling Tasks
[ACM] 2026-3-12 | Robot Design at the Margins: The Lived Experience as a Participatory Approach to Co-designing with Disabled Adults
[ACM] 2026-3-12 | Investigating Cross-Agent Trust Transfer: Effects of Informational and Operational Errors in Human-Robot Collaboration
[IEEE] 2026-3-12 | CAIT 2025 Contributor Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | Toward Climate-Adaptive Low-Carbon Power System Planning: A Multistage Stochastic Framework Considering Climate Uncertainties
[ACM] 2026-3-12 | Crypto-Assisted Graph Degree Sequence Release under Local Differential Privacy
[IEEE] 2026-3-12 | Energy-Efficient Spiking Attention YOLO Network for SAR Ship Detection
[IEEE] 2026-3-12 | The Effect of the COVID-19 Pandemic on Stock Return in Technology Sector Companies on the Indonesian Stock Exchange
[IEEE] 2026-3-12 | Active–Subspace Particle Filtering for Efficient Inference in High-Dimensional State-Space Models
[IEEE] 2026-3-12 | Bat-Grid SLAM: Bio-Inspired Active SLAM Approach Using Neural Grid Cells for Autonomous Navigation
[IEEE] 2026-3-12 | Performance Dynamics in Big Data Cloud Streaming Systems
[IEEE] 2026-3-12 | Modeling, Sizing and Simulation of a Water Pumping System Based on an Induction Motor and a Centrifugal Pump
[IEEE] 2026-3-13 | Editorial Interview: Proliferating Free-Space Laser Communications for Space-Based Networks and Scientific Exploration
[IEEE] 2026-3-12 | Retrospective motion correction in MRI using disentangled embeddings
[IEEE] 2026-3-12 | Coherent Signal DOA Estimation for Coprime EMVS Array via TNN Minimization
[IEEE] 2026-3-12 | Digitalization of MSME Financial Records: The Foundation of Innovation and Sustainable Industrialization in Indonesia
[IEEE] 2026-3-12 | The Role of Word of Mouth and Social Media in Indonesian MSMEs Recruitment Through the Lens of Social Capital
[IEEE] 2026-3-12 | Design and Implementation of a Multi-Agent Testing Platform for Autonomous Driving Simulation
[IEEE] 2026-3-12 | Adaptive Underactuated Robotic Gripper with Gear-Multi-Link Mechanism for Composite Grasping*
[IEEE] 2026-3-12 | Optimizing User Experience at Bfresh Dental Care Clinic: Usability Testing Analysis and Efficiency Improvement
[IEEE] 2026-3-12 | Real-Time Robot Perception and Response for Luggage Carrying Service
[IEEE] 2026-3-12 | Enhancing Student Well-being Through Generative AI: A Design Science Approach to Creative Learning
[IEEE] 2026-3-12 | Diffusion Models Learn Low-Dimensional Distributions VIA Subspace Clustering
[IEEE] 2026-3-12 | Deep Reinforcement Learning for Integrated Order Picking and Inventory Control
[IEEE] 2026-3-12 | Implementing Real-Time Retail Shelf Monitoring via YOLOv8 on a ROS-Based Mobile Robot
[IEEE] 2026-3-12 | Multi-turn Planar Magnetic Loop Antenna for Surface Partial Discharge Detection
[IEEE] 2026-3-12 | The Influence of Corporate Culture on Employees’ Organizational Identification in The St. Regis Shanghai Jingan
[IEEE] 2026-3-12 | Molecular-driven Multi-view Hypergraph Contrastive Learning for Drug-Drug Interaction Prediction
[IEEE] 2026-3-12 | Towards Generalizable Deepfake Detection via Forgery-aware Audio-Visual Adaptation: A Variational Bayesian Approach
[IEEE] 2026-3-12 | Passivation-Free Ga-Polar AlGaN/GaN Recessed-Gate HEMTs on Sapphire With 2.8W/mm P
                    <sub>OUT</sub>
                    and 26.8% PAE at 94 GHz
[IEEE] 2026-3-12 | BD-YOLO: Boosting Small Bridge Detection via Edge-Aware Super-Resolution and Gabor-Laplacian Convolutions
[ACM] 2026-3-12 | “What’s the Robot Doing Now?”: Towards Accessible Social Robotic Demos for People with Sight Loss
[ACM] 2026-3-12 | Informing Robot Wellbeing Coach Design through Longitudinal Analysis of Human–AI Dialogue
[ACM] 2026-3-12 | Meet IRIS: An Interactive Robotic Experience for Exploring Life Purpose
[ACM] 2026-3-12 | Suzume-chan: A Pet-as-a-Friend Plush Agent for Bedside Guidance and Nursing-Relevant Logging
[ACM] 2026-3-12 | Learning from Human-Dog Collaboration: Towards the Design of Search and Rescue Robots
[ACM] 2026-3-12 | SEMIAC: A Two-Site Human-Robot Collaboration Dataset for Exploring Socially-Enriched Models for Implicit Action Coordination
[ACM] 2026-3-12 | Designing a Robotic Guide Dog for Trustworthy Human-Robot Coexistence
[ACM] 2026-3-12 | Before Robots Learn, Students Must: Trade-Offs in Educating Future Roboticists
[ACM] 2026-3-12 | BPM-HRI: Best Practices and Methods in HRI Research
[ACM] 2026-3-12 | More Than Human-Robot Interaction (Keynote)
[ACM] 2026-3-12 | MIRAbot: A Robotic Rearview-Mirror Assistant for Conditional Automated Driving
[IEEE] 2026-3-12 | An Underactuated Variable Stiffness Continuum Robot with Multi-Layer Jamming Spherical Joints
[IEEE] 2026-3-12 | IEEE Transactions on Emerging Topics in Computing Publication Information
[IEEE] 2026-3-12 | Development of An Edge Computing System for Estimating Root Mean Square and Median Frequency of Surface Electromyogram with Mechanomyograms
[IEEE] 2026-3-12 | An Integrated Auxiliary Power System for High-Speed Electromagnetic Suspension Maglev Trains
[IEEE] 2026-3-12 | CNN-based vessel tracking in infrared images with an unmanned wing-in-ground vehicle
[IEEE] 2026-3-12 | Learning Prompt Adapters for Forgetting-Free Continual Image Super-resolution
[IEEE] 2026-3-12 | Observer-Based Adaptive Prescribed Performance Control for Vehicular Platoons With Actuator Faults and Mixed Dead Zone–Saturation Constraints
[IEEE] 2026-3-12 | Breaking the Bottleneck of Heterogeneity in Federated Learning Through GBG: Grouping, Block Training, and Global Distillation
[IEEE] 2026-3-12 | Edge ML and IoT-Based Real-Time Detection of Unauthorized Connections in Low Voltage Power Distribution
[IEEE] 2026-3-12 | A Subnanosecond Rising Edge High-Voltage Ultrashort Pulse Generator Based on Diode Opening Switch and Avalanche Transistor Module
[IEEE] 2026-3-12 | Spatiotemporal Dynamic Hypergraph Neural Network for Large-scale Long-term Online Precipitation Forecasting
[IEEE] 2026-3-12 | OFDM-Based Underwater Visible Light Communication
[IEEE] 2026-3-12 | CALIPSO-Guided Dual-branch Network with Spectral-Spatial Attention for Himawari-8 Sea Fog Detection
[IEEE] 2026-3-12 | Bilateral Sharpness-Aware Minimization for Flatter Minima
[IEEE] 2026-3-12 | Early Warning of Extreme Weather-Induced N-$k$ Contingencies Leveraging Spatio-Temporal Analysis of Historical Event Sequences
[IEEE] 2026-3-12 | Emergency-Aware and Frequency-Constrained HVDC Planning for a Multi-Area Asynchronously Interconnected Grid
[IEEE] 2026-3-12 | Hybrid Lightweight Soft Error Mitigation Techniques for Edge Devices
[IEEE] 2026-3-12 | Decentralized Model-Based Policy Optimization for Cooperative Intersection Management
[IEEE] 2026-3-12 | Exploring Enhancements to 1T1C FeMFET Bitcells with a Versatile DTCO Methodology
[IEEE] 2026-3-12 | Towards an Optimization-Driven Deep Learning Framework for Multi-Class Brain Tumor Detection in MRI Imaging
[IEEE] 2026-3-12 | Human–Machine Interface in Orange Technology: A Care-Oriented Framework for Trust in International Medical Tourism
[IEEE] 2026-3-13 | Benchmarking electrical, thermal, and mechanical performance of various industrial REBCO coated conductors for magnet applications
[IEEE] 2026-3-12 | Mastering Software Technology: The Journey Ahead
[IEEE] 2026-3-12 | Cascade Computation of Second Order Information for Efficient Optimization of Multi-Argument Objective Functionals
[IEEE] 2026-3-12 | Machine Learning for Intelligent Data Integration in Cloud-Native Architectures: Techniques and Applications for the Retail Domain
[IEEE] 2026-3-12 | The Influence of Big Five Personality Traits on Compulsive Buying Behavior: The Mediating Role of Hedonistic Shopping Motivation Among Indonesian Fashion Consumers
[IEEE] 2026-3-12 | Research on DeepEEG Model for Classifying EEG Relaxation States Based on CNN-BiLSTM and Multi-Head Attention
[IEEE] 2026-3-12 | CG-UIE: A Category-Guided Universal Information Extraction Framework for Event Extraction
[IEEE] 2026-3-12 | Effect of Process Parameters on the Performance of Deep-sea Fiber-optic Hydrophone
[IEEE] 2026-3-12 | Frequency Selective Absorber-Enhanced Flexible CP MIMO Antenna for mmWave Wearable IoT
[IEEE] 2026-3-12 | Hybridised Stator Characterisation Technique to Accurately Estimate the Peak Performance of Automotive Electric Machines
[IEEE] 2026-3-12 | An Input-Driving-Relaxed Noise-Shaping SAR ADC with Amplifier-Reused In-Loop Buffering and NTF Leakage Reshaping
[IEEE] 2026-3-12 | Robust Federated Learning With Double Denoising
[IEEE] 2026-3-12 | Radar Cross Section Gradient Calculation of Coated Aircraft Based on the Adjoint Method and Improved Self-Dual Integral Equations
[IEEE] 2026-3-12 | A Self-Decoupled Microstrip Antenna via Inhomogeneous Substrate Manipulation
[IEEE] 2026-3-12 | Approximate Inverse Model Explanations as a Model-Agnostic Framework for Linking Musical Scores and Performance
[ACM] 2026-3-12 | When to Explain: Field Study Insights on Robot Failure Explanations for Older Adults
[ACM] 2026-3-12 | DiffusionCinema: Text-to-Aerial Cinematography
[ACM] 2026-3-12 | Episodic Social Memory via Per-Episode LoRA Adapters for Social Robots
[IEEE] 2026-3-12 | A Joint Graph-Cut Channel Estimation Method for Multi-user Holographic MIMO
[IEEE] 2026-3-12 | An Integrated 0.3–145-GHz Dual-Directional Coupler and Its Packaging and Application in VNA Systems
[ACM] 2026-3-12 | Bridging Psychological Safety and Skill Guidance: An Adaptive Robotic Interview Coach
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[ACM] 2026-3-12 | Bickering Benches: Exploring Playful Interaction in Post-Anthropocentric HRI
[IEEE] 2026-3-12 | Table of Contents
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | CAIT 2025 TOC
[ACM] 2026-3-12 | Roboticist’s Guide to Working with Children: A Playful by Design Workshop
[IEEE] 2026-3-12 | Building Resilient ISAC in Maritime IoT: Dynamic Attack Detection and Energy-Efficient Scheduling Under DoS Jamming
[IEEE] 2026-3-12 | Anonymous Messaging Made More Flexible with PingPong
[IEEE] 2026-3-12 | VLSI-SoC 2025 List Reviewer Page
[IEEE] 2026-3-12 | A Federated Multi-Task, Multi-View Metatransformer with Causal-Acoustic Attention for Infant Cry Classification
[IEEE] 2026-3-12 | Deepfake Video Detection Using Swin Transformer and LSTM: A Hybrid Approach for Facial Feature Analysis
[IEEE] 2026-3-12 | Augmented Reality and Mixed Reality in the Factory of the Future: A Bibliometric Analysis
[IEEE] 2026-3-12 | Surface Type Classification Using AIEM-Simulated Radar Scattering and Supervised Machine Learning: A Physics-Aware Approach
[IEEE] 2026-3-12 | REE-ML: A Renewable-Aware and Energy-Efficient Machine Learning Framework for Cloud Environments
[IEEE] 2026-3-12 | Feedback-Driven AI Workload Emulation for Big Data Cloud Systems
[IEEE] 2026-3-12 | Cultivating Security: Debug Authentication for Ensuring the Security of SoC’s Root of Trust
[IEEE] 2026-3-12 | C-EQ-ALINEA: Distributed, Coordinated, and Equitable Ramp Metering Strategy for Sustainable Freeway Operations
[IEEE] 2026-3-12 | Fairness Evaluation of Client Selection Methods in Federated Learning: A Comparative Study
[IEEE] 2026-3-12 | Broadening Participation in Engineering: A Workshop on Developing Context-Relevant Printed Circuit Board Badges
[IEEE] 2026-3-12 | Comparative Evaluation of State-of-the-art Generative AI Models Using QCA: Performance, Adaptability, and Precision
[IEEE] 2026-3-12 | A Case Study on the Migration of a High-Level PI Controller to ASIC-Compatible HDL Representation
[IEEE] 2026-3-12 | Evaluating Information System Governance in Primary Schools Using COBIT 5 Framework
[IEEE] 2026-3-12 | A Hybrid CNN-Machine Learning Framework for Deception Detection Using Facial Landmark Analysis
[IEEE] 2026-3-12 | Industrial Process Root Cause Analysis Method Based on Graph Neural Networks and Knowledge Graphs
[IEEE] 2026-3-12 | Adaptive Neural Controller Based on PSO Algorithm Applied To Transesterification Reactor
[IEEE] 2026-3-12 | Beyond Fair Predictions: Auditing and Mitigating Disparity in Post-Hoc Model Explanations
[IEEE] 2026-3-12 | U-CMG: U-Shaped Cross-Domain Control Moment Gyroscope Bearing Fault Diagnosis Method
[IEEE] 2026-3-12 | Vehicle Lateral Control for Intelligent Driving Based on Dynamic Compensation of Stanley Algorithm
[IEEE] 2026-3-12 | How Generative AI Enhances Student Happiness: The Mediating Role of Self-Efficacy in Higher Education
[IEEE] 2026-3-12 | Adaptive Learning System for Personalizing Secondary Education using Content-Based Filtering and Matrix Factorization
[IEEE] 2026-3-12 | Generative AI for Technical Writing: Using Google Gemini in Vocational Electrical Engineering Education
[IEEE] 2026-3-12 | A Torque Synthesis Method Based on Cadence Synchronization Rate for Electric Bikes
[IEEE] 2026-3-12 | On Learning the Arithmetic Mean in 4th-Year Secondary Education using Eye-Tracking: A Pilot Study_supp1-3673125.pdf
[IEEE] 2026-3-12 | Service Placement in Small Cell Networks Using Distributed Best Arm Identification in Linear Bandits_supp1-3670034.pdf
[IEEE] 2026-3-12 | Error-Resilient Semantic Communication for Speech Transmission over Packet-Loss Networks
[IEEE] 2026-3-12 | Perception-Failure-Induced Test Scenario Searching via Online Causal Reinforcement Learning
[IEEE] 2026-3-12 | Efficient UAV Swarm-Based Multi-Task Federated Learning with Dynamic Task Knowledge Sharing
[IEEE] 2026-3-12 | FPGA-based Sensorless PMSM Drive with Sliding Mode Observer for Velocity Tracking
[IEEE] 2026-3-12 | PrivGITD: A High Accuracy and Privacy-preserving Graph Convolutional Network for Insider Threat Detection
[IEEE] 2026-3-12 | CAMSAP 2025 Committees
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | Noise-resistant Land Cover Classification of SAR Images Based on Automatic Sample Extraction
[IEEE] 2026-3-12 | Distributed Predefined-Time Leader-Follower Formation Control for Heterogeneous Wheeled Mobile Robots
[IEEE] 2026-3-12 | Rapid Dispersion Compensation and Dispersion Measurement in Optical Coherence Tomography
[IEEE] 2026-3-12 | Single-Phase Isolated Bidirectional Bipolar Output Buck-Boost AC–AC Converter With Safe-Commutation
[IEEE] 2026-3-12 | Resource Allocation for Time-Sensitive Services in Centralized Optical and Wi-Fi Access Networks
[IEEE] 2026-3-12 | A 23.4–42.1-GHz Fractional-N Synthesizer With ADC-Based Direct Phase Digitization
[IEEE] 2026-3-12 | Algal Blooms in Inland Waters: A Comprehensive Review of Monitoring Techniques, Dataset, Challenges, and Prospects
[ACM] 2026-3-12 | Perception–Awareness–Decision: Socially‑Aware Robot Navigation and Interaction
[ACM] 2026-3-12 | Making Space for Research: A Methodology for Studying Proxemics and Bonding in Real-World Group-Agent Interactions
[ACM] 2026-3-12 | Giving Robots a Hard Time: A Field Experiment on the Role of Robot Politeness and Social Norms for Robot Bullying
[ACM] 2026-3-12 | Designing Social Robots with Ethical, User-Adaptive Explainability in the Era of Foundation Models
[ACM] 2026-3-12 | Evaluating Tactile Perception of Robot-Controlled HIFU Embossing
[ACM] 2026-3-12 | Fluid-Xpress: Emotion-Aware Dual-Loop Framework for Empathic Facial Reaction in HRI
[ACM] 2026-3-12 | Who’s the Boss? Attributions of Control Influence Blame toward Robot Decision-Makers
[ACM] 2026-3-12 | Task-Based Analysis of Augmented Reality in Collaborative Robotic Programming for Manufacturing Assembly
[ACM] 2026-3-12 | Developing an Integrated Behavioral Framework for Social Robots Promoting Children’s Soft Skills
[IEEE] 2026-3-12 | Employee’s Work Motivation in The Portman Ritz-Carlton Shanghai from Herzberg’s Two-Factor Theory
[IEEE] 2026-3-12 | Respiratory Disease Classification Using Audio Data: A Multi-Model Machine Learning Approach
[IEEE] 2026-3-12 | Codebook-Based Port Selection and Combining for CSI-Free Uplink Fluid Antenna Multiple Access
[IEEE] 2026-3-12 | Towards Enhanced QoS in MEC Network Slicing: A Hierarchical Closed-loop Approach to Efficient Resource Allocation
[IEEE] 2026-3-12 | A System for UAV Obstacle Avoidance Control via Haptic Interface and Optical Tracking
[IEEE] 2026-3-12 | A Novel Hybrid Framework for Image Denoising under Mixed Impulsive and Gaussian Noise
[IEEE] 2026-3-12 | A Multiscale Geometric Method for Capturing Relational Topic Alignment
[IEEE] 2026-3-12 | Poles of Green Function for Newtonian Particle in an Infinite Plane Wave
[IEEE] 2026-3-12 | AI for a Greener Planet: Revolutionizing Energy Systems for Climate Resilience
[IEEE] 2026-3-12 | Feasibility of Robotic-Assisted Echocardiography in Patients: Reducing Sonographer Strain without Compromising Image Quality
[IEEE] 2026-3-12 | Exploring the Drivers of Smartphone Purchase Intentions in China’s Online Retail Market: Insights from JD.com
[IEEE] 2026-3-12 | Comparative Evaluation of Machine Learning Algorithms for Predictive Modeling of Truck Cycle Time in Open-Pit Mining Operations
[IEEE] 2026-3-12 | A New Algebraic Criterion for Robust Stability and Control design of Switched TS Fuzzy Systems with Neutral Delays
[IEEE] 2026-3-12 | Robust Two-Stage Deep Reinforcement Learning-based Connected Eco-Driving Strategy along Adaptive Signalized Corridors
[IEEE] 2026-3-12 | Robotic Vision on Unethical Behavior and Speech Recognition
[IEEE] 2026-3-12 | A Collaborative Edge-Cloud Architecture for Low-Latency Multimodal Emotion Recognition in Human-Robot Interaction
[IEEE] 2026-3-12 | MULIC: Implicit Neural Coding Framework for Multi-Scene Light-Field
[IEEE] 2026-3-12 | A Smooth Time-Optimal Motion Control Strategy of Industrial Manipulator Subject to Hybrid Joint Constraints Synthesized by Low-Computational-Complexity Zeroing Neural Network
[IEEE] 2026-3-12 | Surviving Disruptions: Exploitation or Exploration for Data Value Creation
[IEEE] 2026-3-12 | Ultra-Wide-Bandwidth Edge Coupler with Large Mode Spot Size on Thin-Film LiTaO
                    <sub>3</sub>
[IEEE] 2026-3-12 | Evolving Task-Agnostic Features from Task-Specific Priors for Multi-Task Dense Prediction
[IEEE] 2026-3-12 | Sparrow: Data-Efficient Video-LLM with Text-to-Image Augmentation
[IEEE] 2026-3-12 | Distributed Time-Varying Nash Equilibrium Searching for Nonlinear Placement of Multi-cluster Autonomous Aerial Vehicle Formations
[IEEE] 2026-3-12 | Impact of 5G Latency and Jitter on TAS Scheduling in a 5G-TSN Network: An Empirical Study
[IEEE] 2026-3-12 | Investigation of Electrocatalysis for Electrical Field Based Anti-Interference Histamine Biosensor with Readout Circuit
[IEEE] 2026-3-12 | A Digital Twin Approach for Last-Mile Delivery
[IEEE] 2026-3-12 | Nonlinear Shape Control of Flexible Continuum Robots Using Offline-Online Learning with Neurodynamic Optimization
[IEEE] 2026-3-12 | Real-time Monocular 2D and 3D Perception of Endoluminal Scenes for Controlling Flexible Robotic Endoscopic Instruments
[IEEE] 2026-3-12 | Self-adaptive Retroaction-aware Representation Learning for
                    <i>I</i>
                    nductive-
                    <i>T</i>
                    ransductive Knowledge Graph Completion
[IEEE] 2026-3-12 | A Hybrid CNN-BiLSTM Based Cyberattack Detection Framework for IoMT and 6G Healthcare Environments
[IEEE] 2026-3-12 | Channel Knowledge Map Construction: Recent Advances and Open Challenges
[IEEE] 2026-3-12 | Active Domain Adaptation for Mmwave-Based HAR Via Rényi Entropy-Based Uncertainty Estimation
[IEEE] 2026-3-12 | 2025 13th International Conference on Orange Technology (ICOT)
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | Preface
[IEEE] 2026-3-12 | ICEET 2025 First Page
[ACM] 2026-3-12 | Towards Falsifiable Grammars of Human-Robot Interaction
[ACM] 2026-3-12 | Data Chase: A Robot-Supported Collaborative Museum Experience
[ACM] 2026-3-12 | It Takes a Village to Raise a Robot: Evolving Autonomous Lawnmower Behaviors through Human Selection
[ACM] 2026-3-12 | Designing for Public HRI: Reflections on an Iterative Robot Sound and Motion Design Process
[ACM] 2026-3-12 | CareEval: Evaluating Large Language Models for Decision-Making in Physical Robot Caregiving
共写入 1881 条记录，保存到 papers/paper2026-03-12.json。
论文获取成功，文件路径: papers/paper2026-03-12.json
正在筛选、翻译并发送邮件...
[NO] 1/1881 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[YES] 2/1881 | Cross-Context Review: Improving LLM Output Quality by Separating Production and Review Sessions
[NO] 3/1881 | Comparison of Bar Formation Mechanisms. IIIA. The role of classical bulges in spontaneous bar formation
[NO] 4/1881 | Cornserve: A Distributed Serving System for Any-to-Any Multimodal Models
[NO] 5/1881 | Measurement-Induced State transitions in Inductively-Shunted Transmons
[NO] 6/1881 | On Information Self-Locking in Reinforcement Learning for Active Reasoning of LLM agents
[NO] 7/1881 | Human-Centred LLM Privacy Audits: Findings and Frictions
[NO] 8/1881 | Spatiotemporal crystallization of an active fluid
[NO] 9/1881 | Critical Unstable Qubits in Particle Physics
[NO] 10/1881 | A Cloudy Fit to the Atmosphere of WASP-107 b
[NO] 11/1881 | Dr. SHAP-AV: Decoding Relative Modality Contributions via Shapley Attribution in Audio-Visual Speech Recognition
[NO] 12/1881 | HPC Containers for EBRAINS: Towards Portable Cross-Domain Software Environment
[NO] 13/1881 | Frequentist Consistency of Prior-Data Fitted Networks for Causal Inference
[NO] 14/1881 | Return of the technicolour
[NO] 15/1881 | Assessing the robustness of amortized simulation-based inference to transient noise in gravitational-wave ringdowns
[NO] 16/1881 | A Joint JSCC-Resource Allocation Framework for QoS-Aware Semantic Communication in LEO Satellite-based EO Missions
[NO] 17/1881 | Efficient Generative Modeling with Unitary Matrix Product States Using Riemannian Optimization
[NO] 18/1881 | Geometric inequalities and the Alexandrov-Bakelman-Pucci technique
[NO] 19/1881 | Thermodynamic Descriptors from Molecular Dynamics as Machine Learning Features for Extrapolable Property Prediction
[NO] 20/1881 | Deep Learning-Based Metamodeling of Nonlinear Stochastic Dynamic Systems under Parametric and Predictive Uncertainty
[NO] 21/1881 | Sensitivity to Axion-like Particle dark matter with very-high-energy gamma-ray observations of Active Galactic Nuclei located behind Galaxy Clusters
[NO] 22/1881 | Propagation of Two-Photon Zernike States in Atmospheric Turbulence
[NO] 23/1881 | The twin-jet system in the FRII radio galaxy 3C 452: A sub-parsec scale VLBI study
[NO] 24/1881 | Quantum simulation of Liouville equation in geometrical optics with partial transmission and reflection via Schrödingerization
[NO] 25/1881 | LABSHIELD: A Multimodal Benchmark for Safety-Critical Reasoning and Planning in Scientific Laboratories
[NO] 26/1881 | HomeSafe-Bench: Evaluating Vision-Language Models on Unsafe Action Detection for Embodied Agents in Household Scenarios
[NO] 27/1881 | Multimodal Emotion Recognition via Bi-directional Cross-Attention and Temporal Modeling
[NO] 28/1881 | Energy Prediction on Sloping Ground for Quadruped Robots
[NO] 29/1881 | CHiL(L)Grader: Calibrated Human-in-the-Loop Short-Answer Grading
[NO] 30/1881 | Resurfacing Paralinguistic Awareness in Large Audio Language Models
[NO] 31/1881 | Exhaustive Circuit Mapping of a Single-Cell Foundation Model Reveals Massive Redundancy, Heavy-Tailed Hub Architecture, and Layer-Dependent Differentiation Control
[NO] 32/1881 | SNAP-V: A RISC-V SoC with Configurable Neuromorphic Acceleration for Small-Scale Spiking Neural Networks
[NO] 33/1881 | Fair Learning for Bias Mitigation and Quality Optimization in Paper Recommendation
[NO] 34/1881 | Spin Model for Quantum Annealing with Kerr Parametric Oscillators
[NO] 35/1881 | Overdamping of Neutron-Mirror-Neutron Transitions in Neutron Stars
[NO] 36/1881 | Removable singularities of Yang-Mills-Higgs fields in higher dimensions
[NO] 37/1881 | Indirect and Direct Multiuser Hybrid Beamforming for Far-Field and Near-Field Communications: A Deep Learning Approach
[NO] 38/1881 | PicoSAM3: Real-Time In-Sensor Region-of-Interest Segmentation
[NO] 39/1881 | EnTransformer: A Deep Generative Transformer for Multivariate Probabilistic Forecasting
[NO] 40/1881 | Think While Watching: Online Streaming Segment-Level Memory for Multi-Turn Video Reasoning in Multimodal Large Language Models
[NO] 41/1881 | Multi-branch Shell Models of Two-Dimensional Turbulence exhibit Dual Energy-Enstrophy Cascades
[NO] 42/1881 | Beyond the Limits of Rigid Arrays: Flexible Intelligent Metasurfaces for Next-Generation Wireless Networks
[NO] 43/1881 | Weak Solutions to the complex Monge-Ampère flows on compact Kähler manifolds : general measures on the right-hand side
[NO] 44/1881 | ELISA: An Interpretable Hybrid Generative AI Agent for Expression-Grounded Discovery in Single-Cell Genomics
[YES] 45/1881 | CreativeBench: Benchmarking and Enhancing Machine Creativity via Self-Evolving Challenges
[NO] 46/1881 | You Told Me to Do It: Measuring Instructional Text-induced Private Data Leakage in LLM Agents
[NO] 47/1881 | Multi-Station WiFi CSI Sensing Framework Robust to Station-wise Feature Missingness and Limited Labeled Data
[NO] 48/1881 | Direct-to-Device Connectivity for Integrated Communication, Navigation and Surveillance
[NO] 49/1881 | Origin and Propagation of Spin-orbit Torques in Pt/Co/Cu/NiFe/Capping Multilayers
[NO] 50/1881 | Strong optical nonreciprocity in a photonic crystal composed of spinning cylinders
[NO] 51/1881 | A Decade of Generative Adversarial Networks for Porous Material Reconstruction
[NO] 52/1881 | Phase Retrieval using Nonlinear Curvature Sensing within Convergent Beams
[YES] 53/1881 | Towards High-Fidelity CAD Generation via LLM-Driven Program Generation and Text-Based B-Rep Primitive Grounding
[NO] 54/1881 | Large language models for optical network O&M: Agent-embedded workflow for automation
[NO] 55/1881 | Energy dependence of the X-ray power spectrum in NGC4051 and NGC4395
[NO] 56/1881 | Automated Detection of Malignant Lesions in the Ovary Using Deep Learning Models and XAI
[NO] 57/1881 | Temperature-insensitive tunable and stable Fabry-Perot cavity for atomic physics
[NO] 58/1881 | The impact of baryons on weak lensing statistics as a function of halo mass and radius
[NO] 59/1881 | Uniqueness of imaginarity-assisted transformation from computationally universal to strictly universal quantum computation
[NO] 60/1881 | RADAR: Closed-Loop Robotic Data Generation via Semantic Planning and Autonomous Causal Environment Reset
[NO] 61/1881 | HiSync: Spatio-Temporally Aligning Hand Motion from Wearable IMU and On-Robot Camera for Command Source Identification in Long-Range HRI
[NO] 62/1881 | Partitioning Israeli Municipalities into Politically Homogeneous Cantons: A Constrained Spatial Clustering Approach
