[2026-05-18 23:01:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-17
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605170000+TO+202605172359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 503 error responses'))
[ACM] 2026-5-18 | Measuring the Compliance Costs of Exchanging Part 2 Healthcare Claims Data Through Blockchain
[NO] 29/1000 | Radar-Communication Physical Layer Security via Fast and Accurate Array Response Control
[NO] 30/1000 | Autonomous Multimodal Grievance Redressal System using Generative AI
[NO] 31/1000 | Are Learned DBMS Components Robust to Workload Drift?: [Experiments &amp; Analysis]
[NO] 32/1000 | Decision letter for "A Random Forest-based Approach for Estimating Full-band Solar-induced Chlorophyll Fluorescence from Photosystem II in Crops"
[NO] 33/1000 | O
                    <scp>cto</scp>
                    S
                    <scp>elector</scp>
                    : Efficient and Effective Batch-Aware Model Selection for Large Language Models
[NO] 34/1000 | Kangaroo: Efficient Lossless Floating-Point Compression via Dynamic Reference Selection
[NO] 35/1000 | IEEE Standard for Low-Rate Wireless Networks--Amendment 1: Ascon Cryptographic Algorithms
[NO] 36/1000 | A Robust and Explainable Machine Learning Framework for Early Lung Cancer Risk Prediction using Synthetic Data Augmentation and Cross-Dataset Validation
[NO] 37/1000 | IoT based Groundnut Storage &amp; Drying Automation System with Rotating Tray
[NO] 38/1000 | MOH-Transformer: track association with hierarchical attention
[NO] 39/1000 | An Efficient and Secure Encrypted Multi-Keyword Search Scheme
[NO] 40/1000 | Practical and Efficient Non-Interactive Multi-Client Searchable Encryption for e-Healthcare Systems
[NO] 41/1000 | LSE-FRGCN: A Logical Schema-Enhanced Fuzzy Relational Graph Convolutional Network for Stance Detection
[NO] 42/1000 | A Lightweight Artificial Intelligence Method for Official Document Process Automation
[NO] 43/1000 | Rethinking Load Balancing for Inter-Datacenter Networks
[NO] 44/1000 | Adaptive Image Batching and Slicing in Edge Networks for Delay-Critical Small Object Detection
[NO] 45/1000 | Universal Approach to Measuring Focused Beam Size for Pulsed-Laser SEE Testing
[NO] 46/1000 | A Parallel Meshless Voronoi Method for Generalized SurfaceNets
[NO] 47/1000 | Passive Electrostatic Elimination of Loading Powder Using Needle Electrode-integrated Pipe-endcap
[NO] 48/1000 | Stochastic Dynamics of Human-Bot Interactions on Social Platforms: A Three-Population SDE Model
[NO] 49/1000 | Construction of Detailed Equivalent Circuits for Turbogenerators Based on Standstill Frequency Response Analysis
[NO] 50/1000 | 1:2 Efficient Demultiplexer Design using QCA Technology
[NO] 51/1000 | An Efficient Encrypted Graph Query Scheme Based on Bloom Filters
[NO] 52/1000 | Thermodynamically Constrained Variational Quantum Graph Learning for Near-Term Noisy Quantum Processors
[NO] 53/1000 | A Deep Learning–based Predictive GPS Safety Monitoring System With Minimal Network Dependence
[NO] 54/1000 | A Multimodal Emotion Recommendation System using Text and Facial Expression Analysis
[NO] 55/1000 | Intensity Discrimination of Electrocutaneous Haptic Feedback Is Enhanced at Low Frequencies and with Repeated Exposure
[NO] 56/1000 | MR2-ByteTrack: CNN and Transformer-based Video Object Detection for AI-augmented Embedded Vision Sensor Nodes
[NO] 57/1000 | Explicit Spatial-Angular Pattern Embedding for Heterogeneous Imaging-Oriented Light Field Spatial Super-Resolution
[NO] 58/1000 | MIST: A Multilingual Dataset and Benchmark for Fine-Grained Audio Inpainting Tampering Localization
[NO] 59/1000 | Adaptive Prompt Generation Agent: A Dynamic Prompt Engineering Framework for Chinese Text Generation
[NO] 60/1000 | BurnDC: A Progressive Propagation Framework for Low Coverage Depth Completion_supp2-3693984.mp4
[NO] 61/1000 | Magnetoelectric Sensor with Sensitive Unit Based on Composite Structure of Magneto-sensitive Elastomer and Polyvinylidene Fluoride for Rotational Speed Detection
[NO] 62/1000 | Deep Reinforcement Learning-Driven Energy-Efficient Routing Protocol with Dynamic Power Control and Load-Aware Multipath Optimization for MANET
[NO] 63/1000 | Tunicate Swarm Optimization for High-Dimensional Parameter Tuning of an 8-DOF Electric Vehicle Model
[NO] 64/1000 | Bidirectional Prototype-Reward co-Evolution for Test-Time Adaptation of Vision-Language Models
[NO] 65/1000 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[NO] 66/1000 | VGG16-based Transfer Learning for Multi-Class Kidney CT Image Classification
[NO] 67/1000 | AI-Driven Predictive Healthcare Analytics for Early Disease Detection and Clinical Decision Support
[NO] 68/1000 | Token-Anchored Semantic Drift: Untargeted Transferable Attacks Against Commercial MLLMs
[NO] 69/1000 | Dual-Path Reactance Cell Theory and Its Application to a 6-bit K-Band True-Time-Delay Circuit
[NO] 70/1000 | Thermal Management of EV Battery Pack by Detection of Thermal Runaway using Deep Neural Network
[NO] 71/1000 | An Ensemble Machine Learning Approach for Heart Diseases Prediction
[NO] 72/1000 | An Area and Power-Optimised Multiplier-Less MAC Unit for Artix-7 FPGA-based Signal Processing
[NO] 73/1000 | Activity-Aware Power Management Architecture For FPGA-Based Edge System using On-Die Thermal Feedback
[NO] 74/1000 | Enhanced AI-based Biometric Authentication using Recurrent Neural Network
[NO] 75/1000 | A Cost-Effective Portable Ventilator with AMBU Bag Mechanism and Real-Time Leakage Detection using LCD Display
[NO] 76/1000 | Performance Optimization of Intel Multi-Core CPUs using Memory-Aware Data Parallelism
[NO] 77/1000 | Hybrid CNN-LSTM Edge Computing Framework for Intelligent Aquarium Health Management
[NO] 78/1000 | Towards Zero Backflow: A Low-Power Device for Automated IV Infusion Monitoring and Auto-Stop Mechanism
[NO] 79/1000 | Beamforming Reflective Metasurfaces Supporting Polarization Control
[NO] 80/1000 | Sensitivity Analysis for Antenna Devices through Interval Arithmetic - A Generalized Approach
[NO] 81/1000 | Detecting Data Poisoning Attack in Federated Learning Healthcare System
[NO] 82/1000 | Measuring Linear Array Mutual Coupling Terms and Element Positions from Embedded Element Patterns
[NO] 83/1000 | Deep Learning-Based Signal Disentanglement for Surface Acoustic Wave Passive Wireless Sensing Under Strong Interference
[NO] 84/1000 | Adaptive Frequency-Guided Fusion Mamba with Dynamic Cross-Modal Attention for Robust Infrared-Visible Object Detection
[NO] 85/1000 | Manufacturing and testing of electrospun nanofiber-enhanced mask textiles
[NO] 86/1000 | Enhancing Fetal Health Prediction Through Feature Reduction and Ensemble Learning
[NO] 87/1000 | RUBCA: Detecting Anxiety Levels in Arabic Tweets Using a Rule Based Classification Approach
[NO] 88/1000 | DriveAware: Multimodal Wearable Sensing–Based Machine Learning Approaches to Detect Driver Distraction
[NO] 89/1000 | Enhancing Multimodal Recommender System Performance Using Large Language Models
[NO] 90/1000 | Simulation-Based Evaluation of Underwater Sensor Network Performance Using DBR and Broadcast MAC in Shallow and Deep Sea Scenarios
[NO] 91/1000 | Graph Neural Network-Based Regional Analysis of EEG During Imagined Swallowing: Identifying Cortical Contributions
[NO] 92/1000 | Mapping Forest Fire Risks Using Deep Learning: A Case Study in An Giang Province, Vietnam
[NO] 93/1000 | Edge-Enabled Autonomous Drone Navigation for IoT Data Gathering: A Hybrid Deep RL-GNN Framework with Energy-Aware Path Planning
[NO] 94/1000 | Dynamic Energy-Aware Power Allocation for Life-time Maximization in UAV Networks
[NO] 95/1000 | Adaptive Outlier Detection over Data Stream
[NO] 96/1000 | Concurrent Path-Copying Update to Tree Structures
[NO] 97/1000 | SPALM: A Sparsity-Pattern-Adaptive Library for Matrices
[NO] 98/1000 | Cyclic Interference Alignment with Equal-Length Messages for Two-User X Channels with Non-Integer Propagation Delays
[NO] 99/1000 | FastGNAS: Accelerating and Scaling Graph Neural Architecture Search on Multi-GPUs via Ring-Based Model Migration
[NO] 100/1000 | Differentially Oblivious Multi-way Join
[NO] 101/1000 | Beyond Maximum Common Subgraph: A Framework Maximizing Shared Computation for Multi-Query Subgraph Matching
[NO] 102/1000 | O3-LSM: Maximizing Disaggregated LSM Write Performance via Three-Layer Offloading
[NO] 103/1000 | Energy-Entropy Based Intelligence Factor for Artificial Neural Networks
[NO] 104/1000 | Volume Encoding Gaussians: Transfer Function-Agnostic 3D Gaussians for Volume Rendering
[NO] 105/1000 | ENAS-CoAtNet: Neural Architecture Search for sEMG-Based Fatigue Detection with Convolution Attention Networks
[NO] 106/1000 | PVAdoptAgent: Simulating Residential Photovoltaic Adoption via an LLM Framework with Dynamic Decision Intervals
[NO] 107/1000 | Integrating Large Models with RAG Technology: An Applied Research on Enterprise Intelligent Q&amp;A Assistants
[NO] 108/1000 | Benchmarking Open-Loop Central Pattern Generator Controllers for Lower-Limb Exoskeleton Walking Trajectories
[YES] 109/1000 | Automated Binary Code Analysis Technology Enhanced by Variable Knowledge Graph
[NO] 110/1000 | Agent Evolution: Capability-Mechanism Co-evolution
[NO] 111/1000 | Random Forest Driven Dietary Habit Analysis and Preventive Health Prediction for Intelligent Nutrition Management
[NO] 112/1000 | TechRxiv: Share Your Preprint Research With the World!
[NO] 113/1000 | Lightweight Encryption and Cross-Domain Collaborative Security Management Technologies for Low-Altitude Intelligent Networks
[NO] 114/1000 | A Unified Semantic Space-Based Backend Frame-work for Speech Spoofing Detection
[NO] 115/1000 | End-To-End Imitation Learning for Socially Aware Navigation using Memory-based Trajectory and Action Planning
[NO] 116/1000 | FORM-IDS: A Lightweight yet High-Fidelity Intrusion Detection Framework via Formal Verification and Knowledge Distillation
[NO] 117/1000 | Imitation-Pretrained Q-Guided Diffusion Policy for Sample-Efficient Autonomous Driving
[NO] 118/1000 | High-density, Identified Cell Recordings from Motor Cortex of Awake Behaving Macaques using Multiple 1024-channel CMOS Probes
[NO] 119/1000 | Semi Circular Crown Shaped UWB Antenna
[NO] 120/1000 | Dynamic Grounding Coordination for Sim-to-Real Transfer in Multi-Agent Traffic Control
[NO] 121/1000 | A Resilient Machine Learning Framework for Adversarially Robust Intrusion Detection in IoT Environments
[NO] 122/1000 | Plant Disease and Pest Detection: A Lightweight Deep Learning Framework for Agricultural Diagnostics
[NO] 123/1000 | Probabilistic Modeling of Human Driver’s Natural Behavior Distribution: An Ensemble Learning and GMM Framework for Car-Following Model
[NO] 124/1000 | Attenuation Correction for Flexible MR Hardware in PET/MR Using MLAA-Guided Template Registration
[NO] 125/1000 | TES Bolometer Design and Testing for the Tomographic Ionized-carbon Mapping Experiment Millimeter Array
[NO] 126/1000 | Hybrid Adversarial Retraining Approach For A Proactive Network Intrusion Detection System
[YES] 127/1000 | Proceedings of the 2026 IEEE/ACM 2nd International Workshop on Neuro-Symbolic Software Engineering
[NO] 128/1000 | HeteroFedSyn: Differentially Private Tabular Data Synthesis for Heterogeneous Federated Settings
[NO] 129/1000 | LINE: A Learned Index with Group-Enhanced Leaves and Cache-Optimized Inner Tree
[NO] 130/1000 | 100x Cost &amp; Latency Reduction: Performance Analysis of AI Query Approximation using Lightweight Proxy Models: [Experiments &amp; Analysis]
[NO] 131/1000 | Loom: Weaving PCS-Preserving and Searchable Cloud Backups for Secure Messaging
[NO] 132/1000 | Generalized Entity Matching with Adaptivity via Large Language Models
[NO] 133/1000 | Constrained Shortest Path Finding on Terrain Surfaces
[NO] 134/1000 | AlignedServe: Orchestrating Prefix-aware Batching to Build a High-throughput and Computing-efficient LLM Serving System
[NO] 135/1000 | Introducing IEEE Collabratec
[NO] 136/1000 | A Random PWM Technique to Reduce Switching Frequency Harmonics for Induction Motor Drives
[NO] 137/1000 | Multi-Objective Neural Architecture Search for Cognitive Diagnosis: Balancing Accuracy and Interpretability With Probabilistic Models
[NO] 138/1000 | GNSS Induced Spoofing Detection Based on the Sum of Carrier Phases of Early and Late Branches
[NO] 139/1000 | DRL-Driven Robust Topology Control and Flow Scheduling for SDN-Enabled Underwater Acoustic Sensor Networks
[NO] 140/1000 | Multi-Port Segmented Event-Triggered Control for USV-UAV Cooperative System: A VO-driven Dynamic Cross-Bridge Strategy
[NO] 141/1000 | An FPGA-Calibrated Modulo ADC for High-Dynamic-Range Signal Acquisition
[NO] 142/1000 | Ferroelectric/Dielectric Spacer Engineering in Negative capacitance MoS
                    <sub>2</sub>
                    FinFETs: An Insight into Digital, Analog/RF and Circuit Applications
[NO] 143/1000 | Discrete Fuzzy Approximation-Based Sliding Mode Current Control for Torque Ripple Suppression in Switched Reluctance Motors
[NO] 144/1000 | Diverse Style Prompt Assistant for Generalized Remote Sensing Object Classification_supp1-3693680.pdf
[NO] 145/1000 | TechRxiv: Share Your Preprint Research With the World!
[NO] 146/1000 | A Neuromorphic Approach to DDoS Detection: Hardware Accelerator for Integer-Quantized Spiking Neural Networks
[NO] 147/1000 | Evolution of Layer1/Layer2-Triggered Mobility in 5G-Advanced: From Release 18 Foundation to Release 19 Enhancements and Beyond
[NO] 148/1000 | A Stochastic Game-Theoretic Framework for Robust Ventilator Safety: The Trust Gate Mechanism and Life Confidence Score (RLCS)
[NO] 149/1000 | Optimizing Electric Vehicle Charging Load Forecasting via Ensemble of Diffusion Models
[NO] 150/1000 | Empirical Study of Polycystic Ovary Syndrome Detection based on Ultrasound Images using Deep Learning
[YES] 151/1000 | Timing Yield-Driven Clock Skew Scheduling Based on Hybrid Distributions
[NO] 152/1000 | FPGA-Accelerated Spatiotemporal Graph Neural Networks for Dynamic Terahertz Beam Steering
[NO] 153/1000 | Electricity Theft Detection using GA-Optimized Random Forest
[NO] 154/1000 | STAR-RIS–Assisted UAV Communications for Dynamic Spectrum Sharing in NOMA Under Imperfect SIC: Enabling Cognitive Radio Networks
[NO] 155/1000 | An Efficient and Verifiable Multi-Keyword Search Scheme with Forward Security
[NO] 156/1000 | EAG-SR: Entity Association-Guided Self-Reflection for Document-Level Enterprise Relation Extraction
[NO] 157/1000 | Smart Indicator Turn Off System for Forgotten Appliances
[NO] 158/1000 | Table of Content
[NO] 159/1000 | DiffTKGR: Dual-Branch Conditional Diffusion for Temporal Knowledge Graph Reasoning
[NO] 160/1000 | Smart Agricultural Hub: Intelligent Decision Supporting AI Multilingual Farmer Interface
[YES] 161/1000 | A Novel Surrogate Modeling Framework Based on Fast Time-Domain Simulation and Transfer Learning for Signal Integrity Analysis
[NO] 162/1000 | From Activation to Semantics: Explaining Neurons through Their Contributions to Model Outputs
[NO] 163/1000 | Robust Pitch Control for Floating Offshore Wind Turbines Using LLF-Based Aerodynamic Modeling and Nonsingular Terminal Sliding Mode With Prescribed Performance
[NO] 164/1000 | A Microcontroller-based Intelligent Shopping Cart with Automated Navigation and Real-Time Billing
[NO] 165/1000 | Maximal Biclique Enumeration with Improved Worst-Case Time Complexity Guarantee: A Partition-Oriented Strategy
[NO] 166/1000 | PACMMOD V4, N3 (SIGMOD), June 2026 Editorial
[NO] 167/1000 | Efficient Index Layout and Search Strategy for Large-scale High-dimensional Vector Similarity Search
[NO] 168/1000 | ICSEDIS 2026 Author Index
[NO] 169/1000 | LightARM-Net: Accelerating Sparse-Attention Tabular Model for Android Malware Detection
[NO] 170/1000 | Enhanced Iris Recognition Framework using Hybrid Cosine and Hamming Similarity Measures
[NO] 171/1000 | FSM based I2C Communication Protocol for Reducing CPU Overhead
[YES] 172/1000 | Responsible Integration of Generative AI in Software Engineering Education
[NO] 173/1000 | GAIIS 2026 Author Information Page
[NO] 174/1000 | Theory-Guided Modeling for Network Performance Prediction
[NO] 175/1000 | Performance and Efficiency Trade-Off Analysis of Modern CNN Architectures for Automated Stem Cell Colony Quality Assessment_supp1-3692455.pdf
[NO] 176/1000 | Federated Learning with Enhanced Privacy via Model Splitting and Random Client Participation
[NO] 177/1000 | End-to-End Vectorized HD Map Construction Based on Graph Structure Modeling and Graph Transformer Optimization
[NO] 178/1000 | Cooperative Edge Caching with Large Language Model in Wireless Networks_supp1-3687739.pdf
[NO] 179/1000 | High-Gain End-Fire Antenna Based on Slow-Wave Substrate-Integrated Waveguide Loading
[NO] 180/1000 | Reinforcement Learning based Energy Management Strategy for Hybrid Renewable Micro Grid with EV Integration
[NO] 181/1000 | An Intelligent Machine Learning Approach for Wind Turbine Fault Detection
[NO] 182/1000 | An Intelligent Distributed Base Station Deployment Strategy for Low-Altitude UAV Sensing
[NO] 183/1000 | Distributed CPS-Based Predefined-Time Control of Large-Scale Plug-and-Play Inverter Air Conditioner Clusters for Demand Response
[NO] 184/1000 | HFAVL: Hard-label Fusion Attack toward Vision-language Model
[NO] 185/1000 | P-Channel Tri-gate Nanowire InGaN/GaN/AlN/InAlGaN MOS-HFET for Power Switching Applications
[NO] 186/1000 | Megahertz Soft-Switching Wireless Power Transfer for Capsule Robots Under Dynamic Position and Orientation Variations_supp2-3693630.avi
[NO] 187/1000 | 3D-Printed Folded Transmitarray with Gain-Filtering Response and Low Cross-Polarization
[NO] 188/1000 | Path Loss Prediction for Maritime Tropospheric Scatter Based on CNN-MLP
[NO] 189/1000 | Enhanced Encrypted IoT Malicious Traffic Detection via Adaptive Fusion and Focal Loss: An Improved Heterogeneous Graph Approach
[NO] 190/1000 | A Single-Tail CMOS Comparator for High-Speed and Low-Power Data Conversion
[NO] 191/1000 | Controllable Echocardiography Video Generation for Safe Medical Data Sharing
[NO] 192/1000 | Improving Fairness in Airline Integrated Crew Scheduling - Colleague Familiarity and Team Experience Distribution Considerations
[NO] 193/1000 | Proactive Traffic Surge Forecasting for Student Result Portals using LSTM Networks
[NO] 194/1000 | AI-Powered Multimodal Human Detection System Combining YOLOv11 and Terrain Data in Search and Rescue Operations
[NO] 195/1000 | SPCL: Semantic Prototype Contrastive Learning for Incomplete Multimodal Sentiment Analysis
[NO] 196/1000 | MA-STGNN: Monsoon-Aware Spatiotemporal Graph Neural Networks with Hybrid Attention for Groundwater Forecasting in India
[NO] 197/1000 | Energy Efficiency and Carbon Reduction Potential of HTTP Caching in ICT-enabled Critical Infrastructure
[NO] 198/1000 | An analytical model for flexible capacitive pressure sensors with hemispherical microstructure-based dielectric layer of high sensing performance_supp1-3691819.docx
[NO] 199/1000 | Communication-Free CC/CV Phase Shift Control for SS-Compensated WPT System under Misalignment via Reflected Impedance Decoupling
[NO] 200/1000 | TSGNAS: A Topology- and Semantic-Guided Graph Neural Network Architecture Searcher_supp1-3692360.pdf
[NO] 201/1000 | A Two-Tier Stacking Ensemble Approach for Noise-Resilient Fitness Classification
[NO] 202/1000 | Cross-Scenario Multi-Type Fault Diagnosis for Lithium-Ion Batteries via Deep Transfer Learning
[NO] 203/1000 | KEditVis: A Visual Analytics System for Knowledge Editing of Large Language Models
[NO] 204/1000 | Upper and Lower-Limb Motor Decoding for Adaptive and Generalized Neural Rehabilitation_supp1-3694007.pdf
[NO] 205/1000 | A Dual-Modal Dual-Fusion Framework for UAV Classification Using Multistatic RCS Sequences
[NO] 206/1000 | Data-efficient Cross-domain Few-shot Website Fingerprinting with Unsupervised Domain Adaptation
[NO] 207/1000 | Protecting Solid-State Transformers: Insights Into Mechanisms in Smart and Future Electrified Grids
[NO] 208/1000 | Generalized Discrete-Time Equivalent Circuit Modeling of Mutual Inductance
[NO] 209/1000 | FocusED: An NLP-Driven Personalized and Affective-Aware Learning Framework for Neurodivergent Students
[NO] 210/1000 | AocSeg: Adaptive Obfuscated Contrast for Semi-supervised Semantic Segmentation Method for Unmanned Vehicles
[NO] 211/1000 | Context-Aware Filtering of PolSAR Data Based on Quaternion Wavelet Shrinkage
[NO] 212/1000 | An IoT-Driven Intelligent Drainage Safety System using Federated Machine Learning for Real-Time Gas and Blockage Prediction
[NO] 213/1000 | Auditing Hallucination in Lightweight Vision-Language Models for Radiology Captioning
[NO] 214/1000 | Applications of Intelligent Image Recognition Technology in Modern Security Inspection and the Evolution of Screening Equipment
[NO] 215/1000 | A Dual-Stage Convolutional Framework for Pancreatic Tumor Detection and Classification on Pancreas CT Images
[NO] 216/1000 | EnsembleShield-DM: Interpretable, Shift-Robust Ensemble Learning for Type 2 Diabetes Prediction Across Multi-Regional Cohorts
[NO] 217/1000 | Zeno Filter: To Infinity in Tiny Steps
[NO] 218/1000 | Review for "A Random Forest-based Approach for Estimating Full-band Solar-induced Chlorophyll Fluorescence from Photosystem II in Crops"
[NO] 219/1000 | Fiber-level Woven Fabric Capture from a Single Microscopic Image
[NO] 220/1000 | FaaSBoard: Efficient Graph Processing with a Disaggregated Architecture on Serverless Services
[NO] 221/1000 | Application and Evaluation of a Multi-Model Assisted Human-Review Workflow for Disaster Image Annotation
[NO] 222/1000 | Blockchain-Enabled Secure Transaction Architecture for Fraud Detection and Risk Management in Financial Institutions
[NO] 223/1000 | A New Approach for Coupling Absorbers to Magnetic Microcalorimeters
[NO] 224/1000 | DiCLIP: Diffusion Model Enhances CLIP&amp;#x2019;s Dense Knowledge for Weakly Supervised Semantic Segmentation_supp1-3692055.pdf
[NO] 225/1000 | A Novel Deep Learning Approaches for Brain Stroke Detection System on CT Images
[NO] 226/1000 | Transient Detection on EAF Current Signals Sampled at Low Rates via Statistical Analysis
[NO] 227/1000 | 2025 IEEE Ocean Engineering Technology and Innovation Conference: Management and Conservation for Sustainable and Resilient Marine and Coastal Resources (OETIC)
[NO] 228/1000 | Residual Deformable Attention Framework with Detection Transformer for Early and Accurate Skin Cancer Detection from Dermoscopic Images
[NO] 229/1000 | Enhancing Network Security with Software-Defined Networking
[NO] 230/1000 | TcNc: Token comparison and noise correction for Weakly-Supervised Semantic Segmentation
[NO] 231/1000 | Real-Time Navigation Assistant for Visually Impaired People using YOLOv8 and Voice Alerts
[NO] 232/1000 | Edge-Aware Unified Retinex Architecture for Adaptive Low-Light Enhancement of Images and Videos Across Diverse Domains in Real-Time
[YES] 233/1000 | NAVIGATE: Multi-Agent Graph-Based Vulnerability Detection with Adversarial Severity Assessment
[NO] 234/1000 | PDO-SFCM: Prediction-Driven Orchestration for SFC Migration in SAGIN via Fine-Tuned Large Time-Series Model and DRL
[NO] 235/1000 | Magnetic Field Reconstruction and Internal Current Inversion of GIS via Physics-Informed Deep Operator Network
[YES] 236/1000 | How Software Engineers Engage with AI: A Pragmatic Workflow
[NO] 237/1000 | RAG-Augmented Explainable Early Warning System for Acute Kidney Injury in the ICU: A KDIGO-Aligned XGBoost Pipeline with SHAP-Driven Evidence Retrieval on MIMIC-IV
[NO] 238/1000 | Priority Aware Q-Learning for Multi Objective Task Scheduling in Cloud Computing
[NO] 239/1000 | U-Sleep-RBD-KAN: Joint Sleep Staging and REM Behavior Disorder Detection with Interpretable Nonlinear Learning
[NO] 240/1000 | Brain-Controlled Target Speech Extraction Based on Disentanglement and Progressive Dual-Modal Fusion
[NO] 241/1000 | Federated Transformer–CNN Hybrid Framework for Privacy-Aware Multi-Hospital Disease Risk Prediction
[NO] 242/1000 | Quantum Gantt Charts for Spatial Data Engineering: Visualizing Hyperslab Bottlenecks, Pipeline Multiplication, and Quantum Candidate Stages
[NO] 243/1000 | From Pose to Verifiable Constraints: Robust Video Assessment of Early Post-THA Sit-to-Stand
[NO] 244/1000 | An Integrated Machine Learning Model for Accurate Stroke Diagnosis using CT Neuro Images
[NO] 245/1000 | A 50–110 GHz UltraWideband Waveguide Diplexer Based on Novel Branch-Guide Coupler Utilizing Waveguide Cutoff Characteristics
[NO] 246/1000 | A Reference-Free Framework for Stereoscopic Image Quality Evaluation Using Wavelet and Sharpness Features of Scene Components_supp1-3693751.pdf
[NO] 247/1000 | Tony Hoare: his path to the ACM Turing Award
[NO] 248/1000 | ANTEATER: A Filter-then-Scrutinize Architecture for End-to-End Attack Investigation
[NO] 249/1000 | LineRides: Line-Guided Reinforcement Learning for Bicycle Robot Stunts_supp1-3693936.mp4
[NO] 250/1000 | A Robust Hybrid Deep Learning Approach for Lung Tumor Classification using Taguchi Optimization and Fuzzy Inference
[NO] 251/1000 | PACE - Plantard Accelerated CRYSTALS Extensions
[NO] 252/1000 | Data-Driven Probabilistic Evaluation of Admissible Heat-Source Fluctuation Ranges in District Heating Networks Using Measured Grid-Frequency Data
[NO] 253/1000 | Boundary Constraint and Dynamic Graph Feature Decoupling for Weakly Supervised Semantic Segmentation
[NO] 254/1000 | Hierarchical Event-Triggered Cooperative Control of Heterogeneous Vehicle Platoons Under Switching Topologies
[NO] 255/1000 | FPGA-Based Real-Time Embedded Vision System with Gigabit Ethernet Communication
[NO] 256/1000 | IEEE Standard for Energy Efficient Dynamic Line Rate Transmission System
[NO] 257/1000 | Asymptotic Boundedness of Distributed Set-Membership Filtering
[NO] 258/1000 | Role-based Adaptive Coordination for Resilient Signal Coverage in Stratospheric Balloons
[NO] 259/1000 | Multi Person Localization and Breathing Rate Estimation using Translational and Rotational Synthetic Aperture Radar
[NO] 260/1000 | High Selectivity Superconducting Dual-Band Bandpass Filter Using Degenerate Modes of Capacitively Loaded Double Ring Resonators
[NO] 261/1000 | Blockchain based Electronic Health Record (EHR) Management
[NO] 262/1000 | Approximating local properties by tensor network states with constant bond dimension
[NO] 263/1000 | Research on Genetic Algorithm Optimization for Job-shop Scheduling Problem
[NO] 264/1000 | Synthetic Aperture Radar Image Change Detection Based on Global Dynamic Context-Aware Network
[NO] 265/1000 | SAR Image Change Detection Based on Saliency Guidance and Edge Enhancement
[NO] 266/1000 | Viscoelastic modeling of the magnetic losses in punch-degraded non-oriented electrical steel
[NO] 267/1000 | Unified Metric Learning for Personalized Fashion Recommendations with Fast User Adaptation
[NO] 268/1000 | AI-Powered Skill Assessment: Personalized Feedback Through Video and Emotion Analysis
[NO] 269/1000 | ICSEDIS 2026 Committees
[NO] 270/1000 | Physics-based self-supervised learning of a deep network for single-shot in-line hologram reconstruction
[NO] 271/1000 | DCHPC 2026 Cover Page
[NO] 272/1000 | Evolving Diverse Red-team Language Models in Multi-round Multi-agent Games
[NO] 273/1000 | Shielded Med-AI: Privacy-Centric Federated Deep Learning for Healthcare Imaging
[NO] 274/1000 | Performance Evaluation of Approximate Multipliers for Energy-Efficient Computing Systems
[NO] 275/1000 | GAIIS 2026 Copyright Page
[NO] 276/1000 | Fast Parameter Extraction of an Extended Jiles–Atherton Model Using a Physics–Constrained CNN–KAN Framework
[NO] 277/1000 | Realtime Wildlife Detection and Alert System using IoT Enabled Drone with Machine Learning for Anti-Poaching
[NO] 278/1000 | CNN-Alex Net Framework for Gallbladder Disease Detection using Ultrasound Imaging
[NO] 279/1000 | Battery Management System with IoT based Monitoring and Data Logging
[NO] 280/1000 | A Multimodal Embedded System for Real-Time UAV Detection using Vision and Acoustic Signals
[NO] 281/1000 | Large-Scale Seabed Sediment Classification Using Sentinel-2 Imagery and Efficient Machine Learning Pipelines
[NO] 282/1000 | Sinusoidal Magnet Air Gap Flux Density Emulation Based on Surface-Mounted Segmented Hybrid-Remanence PMs
[NO] 283/1000 | A Novel High-Power, Wide-range PT Symmetric Wireless Power Transfer Systems with Reconfiguration-Free Arbitrary Current Ratio Adjustment
[NO] 284/1000 | A Mixed-Language Transformer Encoder Architecture for Social Media Phishing: Vietnamese-English Case Study
[NO] 285/1000 | Long&amp;short Exposures Guided Diffusion Model for Realistic Local Motion Deblurring
[NO] 286/1000 | Corner Case Detection and Generation for Autonomous Driving: An Overview
[NO] 287/1000 | Open-Vocabulary Semantic Segmentation for Dynamic 3D Scenes Using Scene Flow Estimation_supp1-3693993.mp4
[NO] 288/1000 | Intelligent Cyberattack Mitigation using Q-Learning-based Dynamic Security Policy Optimization
[NO] 289/1000 | Unveiling the Segmented Patterns of Energy Storage via Parametric Grid-resilience Value Curve
[NO] 290/1000 | From
                    <i>Telettrofono</i>
                    to Smartphone: Social Innovation and the Ethics of Recognition
[NO] 291/1000 | Hybrid Behavior Analytics and ML System for Cloud User Authentication and Security Monitoring
[NO] 292/1000 | A Hardware Trojan Detection Method Based on Recognizing the Waveform Similarity of Oscillating Circuit
[NO] 293/1000 | Cognitive Small World LPWAN For Health Monitoring
[YES] 294/1000 | Analysis of Information Security Risks and Countermeasures in the Era of Big Data
