[2026-04-14 22:46:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-13
正在获取论文...
[arXiv] 2026-04-13 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[IEEE] 2026-4-13 | Machine Learning Enhanced Hybrid Microwave Biosensor for High-Sensitivity Glucose Detection in Fruit Juices
[IEEE] 2026-4-13 | Lumped-Parameter Transmission-Line Modeling Via Kron Reduction
[IEEE] 2026-4-13 | Vision-Aided Multi-Stream Hybrid Beamforming for Millimeter Wave MIMO Systems
[IEEE] 2026-4-13 | MAFNet-DETR: Multi-branch Adaptive Fusion Network for Small Object Detection in UAV Aerial Images
[IEEE] 2026-4-13 | Depth from Focus via Test-time Optimization of Monocular Depth Estimation Models
[IEEE] 2026-4-13 | Angle-Insensitive Dual-Layer Metasurface Color Filters for Imaging Device
[IEEE] 2026-4-13 | Unsupervised Author Name Disambiguation Method Based on Hybrid Embedding
[IEEE] 2026-4-13 | Performance Evaluation of Partial Shading Detection for Photovoltaic Generation Systems: A Comparative Study of Array Configurations
[ACM] 2026-4-13 | Who You Explain To Matters: Learning by Explaining to Conversational Agents with Different Pedagogical Roles
[ACM] 2026-4-13 | Designing for Upstream Work: Learnings from Co-Design for Preventative Solutions with Urban Fire Departments
[ACM] 2026-4-13 | HaptEx: Investigating Haptic Notification Channels for Exoskeletons Across Different Levels of Actuation
[ACM] 2026-4-13 | Thinking in Graphs with CoMAP: A Shared Visual Workspace for Designing Project--Based Learning
[ACM] 2026-4-13 | Stop Fiddling With Your Phone and Go Offline: People Experiencing High Information Overload Have Sparse Online Sessions
[ACM] 2026-4-13 | Toward Enhancing Subtitle Features in Mobile Apps: Analyzing User Reviews for Accessibility and Usability Insights
[ACM] 2026-4-13 | When Your Therapist Is an Algorithm: Understanding the Role of AI in Mental Health Mobile Applications
共写入 1948 条记录，保存到 papers/paper2026-04-13.json。
论文获取成功，文件路径: papers/paper2026-04-13.json
正在筛选、翻译并发送邮件...
[NO] 1/1948 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[NO] 2/1948 | Quantitative propagation of chaos for particle systems with bounded kernels and multiplicative noise
[NO] 3/1948 | FlowCoMotion: Text-to-Motion Generation via Token-Latent Flow Modeling
[NO] 4/1948 | Evolution of effective magnetic exchange interaction under spin dilution in SrIr$_{1-x}$Sn$_x$O$_3$
[NO] 5/1948 | PRISM Risk Signal Framework: Hierarchy-Based Red Lines for AI Behavioral Risk
[NO] 6/1948 | Exact Outage Probability and Ergodic Capacity Analysis of NOMA in Rayleigh Fading Channels
[NO] 7/1948 | Contexty: Capturing and Organizing In-situ Thoughts for Context-Aware AI Support
[NO] 8/1948 | Topological charge of fermions and Landau theory of Fermi liquid
[NO] 9/1948 | Intelligent Approval of Access Control Flow in Office Automation Systems via Relational Modeling
[YES] 10/1948 | RTMC: Step-Level Credit Assignment via Rollout Trees
[NO] 11/1948 | Uncertainty-Aware Web-Conditioned Scientific Fact-Checking
[NO] 12/1948 | A Spectral-based ISS small-gain theorem for boundary control systems with infinite couplings
[NO] 13/1948 | On two conjectures for generalized off-diagonal Schur numbers
[NO] 14/1948 | Parameterized Algorithms and Complexity for Function Merging with Branch Reordering
[NO] 15/1948 | Test-time Scaling over Perception: Resolving the Grounding Paradox in Thinking with Images
[NO] 16/1948 | Geometrization of the Schrödinger Model for the Minimal Representation of an Even Orthogonal Group: The de Rham Setting
[NO] 17/1948 | Emulation-Completeness of Programming Languages
[NO] 18/1948 | Inferring World Belief States in Dynamic Real-World Environments
[NO] 19/1948 | Data-Efficient Semantic Segmentation of 3D Point Clouds via Open-Vocabulary Image Segmentation-based Pseudo-Labeling
[NO] 20/1948 | Resonant Leptogenesis in a Two-Triplet Type-II Seesaw: A Dynamical Origin of Suppressed Lepton Flavor Violation
[NO] 21/1948 | Compiler Framework for Directional Transport in Zoned Neutral Atom Systems with AOD Assistance: A Hybrid Remote CZ Approach
[NO] 22/1948 | TraversalBench: Challenging Paths to Follow for Vision Language Models
[NO] 23/1948 | LumiMotion: Improving Gaussian Relighting with Scene Dynamics
[NO] 24/1948 | On Switched Event-triggered Full State-constrained Formation Control for Multi-vehicle Systems
[YES] 25/1948 | ArtiCAD: Articulated CAD Assembly Design via Multi-Agent Code Generation
[NO] 26/1948 | WebForge: Breaking the Realism-Reproducibility-Scalability Trilemma in Browser Agent Benchmark
[NO] 27/1948 | Back to the Barn with LLAMAs: Evolving Pretrained LLM Backbones in Finetuning Vision Language Models
[NO] 28/1948 | Ozone: A Unified Platform for Transportation Research
[NO] 29/1948 | Fast-SegSim: Real-Time Open-Vocabulary Segmentation for Robotics in Simulation
[NO] 30/1948 | Bootstrapping Video Semantic Segmentation Model via Distillation-assisted Test-Time Adaptation
[NO] 31/1948 | Progressive Deep Learning for Automated Spheno-Occipital Synchondrosis Maturation Assessment
[NO] 32/1948 | On sections of Lefschetz fibrations and bundles over 2-complexes
[NO] 33/1948 | CMedTEB & CARE: Benchmarking and Enabling Efficient Chinese Medical Retrieval via Asymmetric Encoders
[NO] 34/1948 | Neural-Network Inversion for the Temporal CT Multi-Source Bundle Problem: Per-Bundle Statistical Limits and Near-Optimal Performance
[NO] 35/1948 | LiveGesture Streamable Co-Speech Gesture Generation Model
[NO] 36/1948 | Non-Monotonic Marangoni Suppression of Hydrodynamic Coarsening in Bicontinuous Liquid-Liquid Phase Separation
[YES] 37/1948 | HTAA: Enhancing LLM Planning via Hybrid Toolset Agentization & Adaptation
[NO] 38/1948 | ReXSonoVQA: A Video QA Benchmark for Procedure-Centric Ultrasound Understanding
[NO] 39/1948 | TAMISeg: Text-Aligned Multi-scale Medical Image Segmentation with Semantic Encoder Distillation
[NO] 40/1948 | EvoNash-MARL: A Closed-Loop Multi-Agent Reinforcement Learning Framework for Medium-Horizon Equity Allocation
[NO] 41/1948 | Long-range phase coexistence models with degenerate potentials
[NO] 42/1948 | ZoomR: Memory Efficient Reasoning through Multi-Granularity Key Value Retrieval
[NO] 43/1948 | Quantum Measurement Statistics as Bayesian Uncertainty Estimators for Physics-Constrained Learning
[NO] 44/1948 | The Gated-Service M/GI/1 Queue with Single Vacations and Its Application to Batch-Service Queues
[NO] 45/1948 | Forecasting Return Time of Extreme Precipitation by Large Deviation Theory
[NO] 46/1948 | Compliant But Unsatisfactory: The Gap Between Auditing Standards and Practices for Probabilistic Genotyping Software
[NO] 47/1948 | AOP-Smart: A RAG-Enhanced Large Language Model Framework for Adverse Outcome Pathway Analysis
[NO] 48/1948 | Putting the Brauer back in Brauer-Picard
[NO] 49/1948 | On periodic homotopy and homology equivalences of spaces
[NO] 50/1948 | Sharp Interface Limit for a Mass-Conserving Navier-Stokes/Allen-Cahn System with Different Viscosities
[NO] 51/1948 | Optimal Kinodynamic Motion Planning Through Anytime Bidirectional Heuristic Search with Tight Termination Condition
[NO] 52/1948 | Berry curvature and field-induced intrinsic anomalous Hall effect in an antiferromagnet FeTe
[NO] 53/1948 | Wideband Sensing with Dynamic Metasurface Antennas under Realistic Phase Response Modeling
[NO] 54/1948 | Finetune Like You Pretrain: Boosting Zero-shot Adversarial Robustness in Vision-language Models
[NO] 55/1948 | The magnetic sensitivity of the Ca II H and K lines
[NO] 56/1948 | Phonological distances for linguistic typology and the origin of Indo-European languages
[NO] 57/1948 | Will a Large Complex System be Stable? Revisited
[NO] 58/1948 | Relax: An Asynchronous Reinforcement Learning Engine for Omni-Modal Post-Training at Scale
[NO] 59/1948 | RLSpoofer: A Lightweight Evaluator for LLM Watermark Spoofing Resilience
[NO] 60/1948 | Decision-Aware Predictions for Right-Hand Side Parameters in Linear Programs
[NO] 61/1948 | The number of induced paths in outerplanar graphs
[NO] 62/1948 | Machine-learning modeling of magnetization dynamics in quasi-equilibrium and driven metallic spin systems
[NO] 63/1948 | EdgeCIM: A Hardware-Software Co-Design for CIM-Based Acceleration of Small Language Models
[NO] 64/1948 | Deep Learning for Sequential Decision Making under Uncertainty: Foundations, Frameworks, and Frontiers
[NO] 65/1948 | Lectures on AI for Mathematics
[NO] 66/1948 | METER: Evaluating Multi-Level Contextual Causal Reasoning in Large Language Models
[NO] 67/1948 | Quantization Dominates Rank Reduction for KV-Cache Compression
[NO] 68/1948 | Reparametrizing the relativistic Kepler equation: a bridge to Levi-Civita-type models
[NO] 69/1948 | TAG-Head: Time-Aligned Graph Head for Plug-and-Play Fine-grained Action Recognition
[NO] 70/1948 | Anthropogenic Regional Adaptation in Multimodal Vision-Language Model
[NO] 71/1948 | On the Complexity of the Discussion-based Semantics in Abstraction Argumentation
[NO] 72/1948 | Strong persistence index and fluctuations in colon powers of monomial ideals
[NO] 73/1948 | Helicity-supported stationary spacetimes: A class of finite-energy, horizonless, axisymmetric solutions
[NO] 74/1948 | $p$-variational capacity of interior condensers and geometric reduction by a fixed phase
[NO] 75/1948 | Optimization of cooling power of a thermoelectric refrigerator: A unified approach
[NO] 76/1948 | Characterizing the Impact of Congestion in Modern HPC Interconnects
[NO] 77/1948 | Exact Certification of Neural Networks and Partition Aggregation Ensembles against Label Poisoning
[NO] 78/1948 | From Dust to Planets -- A Chemical Perspective
[NO] 79/1948 | GS4City: Hierarchical Semantic Gaussian Splatting via City-Model Priors
[NO] 80/1948 | Asymptotic Throat: The Geometric Inevitability of Regular Black Holes
[NO] 81/1948 | Beyond Reconstruction: Reconstruction-to-Vector Diffusion for Hyperspectral Anomaly Detection
[NO] 82/1948 | Ru Alloying in Ni/Al Reactive Multilayers: Experimental Observations and Molecular Dynamics Simulations
[NO] 83/1948 | Extragalactic microlensing through Ultra Diffuse Galaxies
[NO] 84/1948 | Strain-Induced Curvature in Monolayer Graphene: Effects on Electronic Structure, Phonon Dynamics, and Lattice Thermal Conductivity
[NO] 85/1948 | The Turán number of the Cartesian product of a star and an edge
[NO] 86/1948 | Numerical analysis for the Stokes problem with non-homogeneous Dirichlet boundary condition
[NO] 87/1948 | Signal-Aware Conditional Diffusion Surrogates for Transonic Wing Pressure Prediction
[NO] 88/1948 | Invertible Diffusion for Low-Memory Channel Gain Map Construction in Wireless Communication Networks
[NO] 89/1948 | Sub-Riemannian Snakes on the Projective Line Bundle with Applications to Segmentation of SEM Images
[NO] 90/1948 | Variational Latent Entropy Estimation Disentanglement: Controlled Attribute Leakage for Face Recognition
[NO] 91/1948 | Observations of highly inclined disks with ALMA. Results from 12CO gas and continuum observations
[NO] 92/1948 | Knowledge on a Budget
[NO] 93/1948 | Magnetic Order of Dresselhaus-type Antiferromagnet EuIr$_4$In$_2$Ge$_4$ Studied by Single Crystal Neutron Diffraction
[NO] 94/1948 | RECIPER: A Dual-View Retrieval Pipeline for Procedure-Oriented Materials Question Answering
[NO] 95/1948 | Inclusive breakup reactions with non-spectator fragments: Generalization of the IAV sum rules
[NO] 96/1948 | Quality-Sensitive Matrix Factorization for Community Notes: Towards Sample Efficiency and Manipulation Resistance
[NO] 97/1948 | Measuring the Authority Stack of AI Systems: Empirical Analysis of 366,120 Forced-Choice Responses Across 8 AI Models
[NO] 98/1948 | LoViF 2026 Challenge on Human-oriented Semantic Image Quality Assessment: Methods and Results
[NO] 99/1948 | Semantic Rate-Distortion Theory: Deductive Compression and Closure Fidelity
[NO] 100/1948 | Towards Situation-aware State Modeling for Air Traffic Flow Prediction
[NO] 101/1948 | Fundamental properties of two rapidly rotating stars: Rasalhague and Alkaid
[NO] 102/1948 | Isotropic Positive Definite Functions on Spheres
[NO] 103/1948 | Extended Variable Phase Method for Spin-1/2 Correlation Functions
[NO] 104/1948 | Probing Yukawa Gravity with Modulated Newtonian Cancellation in the CHRONOS Detector
[NO] 105/1948 | RADA: Region-Aware Dual-encoder Auxiliary learning for Barely-supervised Medical Image Segmentation
[NO] 106/1948 | Entanglement inequalities for timelike intervals within dynamical holography
[NO] 107/1948 | Proximal Nonlinear Conjugate Gradient Methods for Composite Optimization
[NO] 108/1948 | Band Tail State Broadening in IGZO TFTs After pBTI-Induced Negative VT Shift Revealed via DC and 1/f Noise Measurements
[NO] 109/1948 | Autonomous Quantum Error Correction of Spin-Oscillator Hybrid Qubits
[NO] 110/1948 | Lunar nutation effect defines the sign of the Earth rotation rate for now, but this may change soon
[NO] 111/1948 | A Proposed Biomedical Data Policy Framework to Reduce Fragmentation, Improve Quality, and Incentivize Sharing in Indian Healthcare in the era of Artificial Intelligence and Digital Health
[NO] 112/1948 | DDO-RM for LLM Preference Optimization: A Minimal Held-Out Benchmark against DPO
[NO] 113/1948 | Extraction of Pion Unpolarized Quark Generalized Parton Distribution from Charge Form Factors
[NO] 114/1948 | Use of AI Tools: Guidelines to Maintain Academic Integrity in Computing Colleges
[NO] 115/1948 | Nesterov Acceleration with Operator Decomposition
[NO] 116/1948 | Generating Hadamard matrices with transformers
[NO] 117/1948 | Learning Racket-Ball Bounce Dynamics Across Diverse Rubbers for Robotic Table Tennis
[NO] 118/1948 | ALD W-Doped SnO$_2$ TFTs for Indium-Free BEOL Electronics
[NO] 119/1948 | A Compact and Efficient 1.251 Million Parameter Machine Learning CNN Model PD36-C for Plant Disease Detection: A Case Study
[NO] 120/1948 | Any 3D Scene is Worth 1K Tokens: 3D-Grounded Representation for Scene Generation at Scale
[NO] 121/1948 | A Falsifiable Timing Test for the Double-White-Dwarf Model of Long-Period Transients
[NO] 122/1948 | Engineered non-Gaussian Coherence as a Thermodynamic Resource for Quantum Batteries
[NO] 123/1948 | Generating anisotropic models for relativistic stellar objects
[NO] 124/1948 | GeV gamma-ray emission in the field of the shell-type supernova remnant Vela Jr revisited
[NO] 125/1948 | Compact CO emission and no evidence of radial drift. ALMA observations of the faintest planet-forming disks in Lupus
[YES] 126/1948 | Polyglot Teachers: Evaluating Language Models for Multilingual Synthetic Data Generation
[NO] 127/1948 | Transactional Attention: Semantic Sponsorship for KV-Cache Retention
[NO] 128/1948 | Empowering Video Translation using Multimodal Large Language Models
[NO] 129/1948 | Multiplexed cryo-CMOS control of an isolated double quantum dot
[YES] 130/1948 | CodeTracer: Towards Traceable Agent States
[NO] 131/1948 | Time is Not a Label: Continuous Phase Rotation for Temporal Knowledge Graphs and Agentic Memory
[NO] 132/1948 | From Fragments to Flares: Migration, Tidal Disruption, and Observable Bursts in Massive Protostellar Disks
[NO] 133/1948 | Detecting Safety Violations Across Many Agent Traces
[NO] 134/1948 | Emulator-Assisted Nuclear DFT Inference and Its Consequences for the Structure of Neutron Stars
[NO] 135/1948 | Stochastically perturbed model of cell electropermeabilization
[NO] 136/1948 | NimbusGuard: A Novel Framework for Proactive Kubernetes Autoscaling Using Deep Q-Networks
[NO] 137/1948 | Prediction of chaotic dynamics from data: An introduction
[NO] 138/1948 | The Widom line in the Ising model on a decorated bilayer lattice
[NO] 139/1948 | Statistical Study of Balmer Continuum Enhancement in Solar Flares
[NO] 140/1948 | Character values and conductors of low-rank groups of Lie type
[NO] 141/1948 | A twosided linear estimate and a dyadic reduction of the UMD Conjecture
[NO] 142/1948 | Tackling instabilities of quantum Krylov subspace methods: an analysis of the numerical and statistical errors
[NO] 143/1948 | From Attribution to Action: A Human-Centered Application of Activation Steering
[NO] 144/1948 | Robust quantum metrology using disordered probes
[NO] 145/1948 | Quantum Sensing with Joint Emitter-Fluorescence Measurements
[NO] 146/1948 | Ringing of rapidly rotating black holes in effective field theory
[NO] 147/1948 | Min-$k$ Sampling: Decoupling Truncation from Temperature Scaling via Relative Logit Dynamics
[NO] 148/1948 | Effect of Pre-Shear and Dispersity on Crystallization of a Model Polymer with Soft Pair Interactions using Molecular Dynamics Simulations
[NO] 149/1948 | Think Before you Write: QA-Guided Reasoning for Character Descriptions in Books
[NO] 150/1948 | A new helical InSeI polymorph: crystal structure and polarized Raman spectroscopy study
[NO] 151/1948 | C-ReD: A Comprehensive Chinese Benchmark for AI-Generated Text Detection Derived from Real-World Prompts
[NO] 152/1948 | A Mechanistic Analysis of Looped Reasoning Language Models
[NO] 153/1948 | ClawGuard: A Runtime Security Framework for Tool-Augmented LLM Agents Against Indirect Prompt Injection
[NO] 154/1948 | ClawGUI: A Unified Framework for Training, Evaluating, and Deploying GUI Agents
[NO] 155/1948 | Ordinal Sums with Substitution of Impartial Games
[NO] 156/1948 | Self-Configuring Universal Multichannel and Multidimensional Integrated Photonic Processing Engine
[NO] 157/1948 | StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems
[NO] 158/1948 | A Synthetic Conversational Smishing Dataset for Social Engineering Detection
[NO] 159/1948 | LangFlow: Continuous Diffusion Rivals Discrete in Language Modeling
[NO] 160/1948 | Collaborative Multi-Agent Scripts Generation for Enhancing Imperfect-Information Reasoning in Murder Mystery Games
[NO] 161/1948 | Nested Atoms Model with Application to Clustering Big Population-Scale Single-Cell Data
[NO] 162/1948 | Geometry of the Donaldson--Friedman Pushout
[YES] 163/1948 | SWE-AGILE: A Software Agent Framework for Efficiently Managing Dynamic Reasoning Context
[NO] 164/1948 | Thermodynamic fluctuations in freely jointed chains under force
[NO] 165/1948 | Seeing Through the Tool: A Controlled Benchmark for Occlusion Robustness in Foundation Segmentation Models
[NO] 166/1948 | A bright flare in the obscured state of GRS 1915+105 as seen by NICER and Swift
[NO] 167/1948 | A Mamba-Based Multimodal Network for Multiscale Blast-Induced Rapid Structural Damage Assessment
[NO] 168/1948 | ACT: Automated CPS Testing for Open-Source Robotic Platforms
[NO] 169/1948 | Fairness is Not Flat: Geometric Phase Transitions Against Shortcut Learning
[NO] 170/1948 | Strongly nilpotent automorphisms are Pascal finite
[NO] 171/1948 | Please Make it Sound like Human: Encoder-Decoder vs. Decoder-Only Transformers for AI-to-Human Text Style Transfer
[NO] 172/1948 | EA-Agent: A Structured Multi-Step Reasoning Agent for Entity Alignment
[NO] 173/1948 | Gyrokinetic equilibria of high temperature superconducting magnetic mirrors
[NO] 174/1948 | Semilocalization for inhomogeneous random graphs
[NO] 175/1948 | Implementation and commissioning of an experimental system towards sub-eV axion-like particle searches with 0.1 PW laser at ELI-NP
[NO] 176/1948 | Paths of length five with equal-degree endpoints
[NO] 177/1948 | Hidden Failures in Robustness: Why Supervised Uncertainty Quantification Needs Better Evaluation
[NO] 178/1948 | POINTS-Long: Adaptive Dual-Mode Visual Reasoning in MLLMs
[NO] 179/1948 | RationalRewards: Reasoning Rewards Scale Visual Generation Both Training and Test Time
[NO] 180/1948 | Dynamic Functional Connectivity Resolves Brain Integration-Segregation Trade-off Under Costly Links
[NO] 181/1948 | Geoparsing: Diagram Parsing for Plane and Solid Geometry with a Unified Formal Language
[NO] 182/1948 | Patchy Polymeric Scalar Turbulence
[NO] 183/1948 | Inferring Change Points in Regression via Sample Weighting
[NO] 184/1948 | EgoFun3D: Modeling Interactive Objects from Egocentric Videos using Function Templates
[NO] 185/1948 | Geometry-Aware Localized Watermarking for Copyright Protection in Embedding-as-a-Service
[NO] 186/1948 | Governance by Design: A Parsonian Institutional Architecture for Internet-Wide Agent Societies
[YES] 187/1948 | Select Smarter, Not More: Prompt-Aware Evaluation Scheduling with Submodular Guarantees
[NO] 188/1948 | NCCRs of cones over del Pezzo surfaces
[NO] 189/1948 | Learning to Forget -- Hierarchical Episodic Memory for Lifelong Robot Deployment
[NO] 190/1948 | Modeling, Analysis and Activation of Planar Viscoelastically-combined Rimless Wheels
[NO] 191/1948 | Epistemic Trust as a Mechanism for Ethics Integration: Failure Modes and Design Principles from 70 Moral Imagination Workshops
[NO] 192/1948 | Updating the holomorphic modular bootstrap
[YES] 193/1948 | Evaluating LLM Agents on Automated Software Analysis Tasks
[NO] 194/1948 | Speaker Attributed Automatic Speech Recognition Using Speech Aware LLMS
[NO] 195/1948 | Data-driven balanced truncation of K-power bilinear systems
[NO] 196/1948 | First observational constraints on cosmic backreaction over an extended redshift range
[NO] 197/1948 | Evolving Many Worlds: Towards Open-Ended Discovery in Petri Dish NCA via Population-Based Training
[YES] 198/1948 | Judge Like Human Examiners: A Weighted Importance Multi-Point Evaluation Framework for Generative Tasks with Long-form Answers
[NO] 199/1948 | Decoupled Similarity for Task-Aware Token Pruning in Large Vision-Language Models
[NO] 200/1948 | Bridging the RGB-IR Gap: Consensus and Discrepancy Modeling for Text-Guided Multispectral Detection
[NO] 201/1948 | Seg2Change: Adapting Open-Vocabulary Semantic Segmentation Model for Remote Sensing Change Detection
[NO] 202/1948 | A Fixed Point Theorem for Random Asymptotically Pointwise Contractions
[NO] 203/1948 | H-SPAM: Hierarchical Superpixel Anything Model
[NO] 204/1948 | Sofic measures
[NO] 205/1948 | The Neurobiological Craving Signature (NCS) predicts social craving and responds to social isolation
[NO] 206/1948 | Direction-Preserving MIMO Speech Enhancement Using a Neural Covariance Estimator
[NO] 207/1948 | Precision Synthesis of Multi-Tracer PET via VLM-Modulated Rectified Flow for Stratifying Mild Cognitive Impairment
[NO] 208/1948 | NeuVolEx: Implicit Neural Features for Volume Exploration
[NO] 209/1948 | Development and evaluation of CADe systems in low-prevalence setting: The RARE25 challenge for early detection of Barrett's neoplasia
[NO] 210/1948 | Emergence of the unexpected charge-density-wave phase driven by artificial gauge field in three-leg Bose-Hubbard ladder
[NO] 211/1948 | Ladder-like Structural Architecture of Layered Magnetic $A_{2.4}$Cr$_8$Te$_{14}$ ($A$ = Rb, Cs) Compounds by Self-flux Synthesis
[YES] 212/1948 | Hardware-Efficient Compound IC Protection with Lightweight Cryptography
[NO] 213/1948 | Faces of invariant convex sets in representations of nontrivial copolarity
[NO] 214/1948 | A Full Compression Pipeline for Green Federated Learning in Communication-Constrained Environments
[NO] 215/1948 | From Answers to Arguments: Toward Trustworthy Clinical Diagnostic Reasoning with Toulmin-Guided Curriculum Goal-Conditioned Learning
[NO] 216/1948 | MADQRL: Distributed Quantum Reinforcement Learning Framework for Multi-Agent Environments
[YES] 217/1948 | DeCoVec: Building Decoding Space based Task Vector for Large Language Models via In-Context Learning
[NO] 218/1948 | Distributionally Robust K-Means Clustering
[YES] 219/1948 | Record-Remix-Replay: Hierarchical GPU Kernel Optimization using Evolutionary Search
[NO] 220/1948 | Block Diagram Analysis of a Design Principle for Amplitude-Frequency Profiles in Biological Oscillations
[YES] 221/1948 | AnomalyGen: Enhancing Log-Based Anomaly Detection with Code-Guided Data Augmentation
[NO] 222/1948 | ActorMind: Emulating Human Actor Reasoning for Speech Role-Playing
[NO] 223/1948 | Mechanism Design for Investment Regulation under Herding
[NO] 224/1948 | Efficient Training for Cross-lingual Speech Language Models
[NO] 225/1948 | Structured State-Space Regularization for Compact and Generation-Friendly Image Tokenization
[NO] 226/1948 | Protecting Quantum Simulations of Lattice Gauge Theories through Engineered Emergent Hierarchical Symmetries
[NO] 227/1948 | ReSpinQuant: Efficient Layer-Wise LLM Quantization via Subspace Residual Rotation Approximation
[YES] 228/1948 | From Context to Rules: Toward Unified Detection Rule Generation
[NO] 229/1948 | Optimizing Riesz means of Robin Laplace operators on cuboids in a semiclassical limit
[NO] 230/1948 | An Argument-Principle Based Stability Assessment Method for Grey-Box DFIG Systems
[NO] 231/1948 | Hodoscope: Unsupervised Monitoring for AI Misbehaviors
[NO] 232/1948 | TOIB: Task-Oriented Orthogonalised Information Bottleneck for Distributed Semantic Communication
[NO] 233/1948 | LaDA-Band: Language Diffusion Models for Vocal-to-Accompaniment Generation
[NO] 234/1948 | A Systematic Analysis of the Impact of Persona Steering on LLM Capabilities
[YES] 235/1948 | Sema Code: Decoupling AI Coding Agents into Programmable, Embeddable Infrastructure
[NO] 236/1948 | EmergentBridge: Improving Zero-Shot Cross-Modal Transfer in Unified Multimodal Embedding Models
[NO] 237/1948 | Contouring Error Bounded Control for Biaxial Systems with Structural Flexibility and Input Delay
[NO] 238/1948 | Learning an Opponent-aware Anti-jamming Strategy via Online Convex Optimization
[NO] 239/1948 | LCS.jl: A High-Performance, Multi-Platform Computational Model in Julia for Turbulent Particle-Laden Flows
[NO] 240/1948 | Towards Realistic 3D Emission Materials: Dataset, Baseline, and Evaluation for Emission Texture Generation
[YES] 241/1948 | Sanity Checks for Agentic Data Science
[NO] 242/1948 | Microscopic mechanism for resonant light-enhanced pair correlations in K$_3$C$_{60}$
[NO] 243/1948 | Energy-oriented Diffusion Bridge for Image Restoration with Foundational Diffusion Models
[NO] 244/1948 | Enabling and Inhibitory Pathways of Students' AI Use Concealment Intention in Higher Education: Evidence from SEM and fsQCA
[NO] 245/1948 | Open-Channel Operator Closure of the Finite-Cutoff JT Gravity Disk Amplitude
[NO] 246/1948 | Neural Generalized Mixed-Effects Models
[NO] 247/1948 | Microscopic investigation of $E2$ matrix elements in atomic nuclei -- II
[NO] 248/1948 | Towards Automated Solar Panel Integrity: Hybrid Deep Feature Extraction for Advanced Surface Defect Identification
[NO] 249/1948 | Delving Aleatoric Uncertainty in Medical Image Segmentation via Vision Foundation Models
[NO] 250/1948 | ScoRe-Flow: Complete Distributional Control via Score-Based Reinforcement Learning for Flow Matching
[NO] 251/1948 | RAG-KT: Cross-platform Explainable Knowledge Tracing with Multi-view Fusion Retrieval Generation
[NO] 252/1948 | FineEdit: Fine-Grained Image Edit with Bounding Box Guidance
[YES] 253/1948 | Visible, Trackable, Forkable: Opening the Process of Science
[NO] 254/1948 | Bayesian Cramér-Rao Bound for Sensing Performance in Meta-Backscatter Systems
[NO] 255/1948 | Evaluating the Impact of Medical Image Reconstruction on Downstream AI Fairness and Performance
[NO] 256/1948 | On the Sum of Squares of Irreducible Brauer Character Degrees in Blocks
[NO] 257/1948 | Entropic independence via sparse localization
[NO] 258/1948 | FAS-aided Robust Anti-Jamming Communications: Continuous and Discrete Positioning Designs
[NO] 259/1948 | Heavy-quark transport across the QCD crossover driven by a lattice-constrained in-medium potential
[NO] 260/1948 | A Lightweight Universal Machine-Learning Interatomic Potential via Knowledge Distillation for Scalable Atomistic Simulations
[YES] 261/1948 | Ambiguity Detection and Elimination in Automated Executable Process Modeling
[NO] 262/1948 | Power law scalar potential in the Saez-Ballester like theory: Exact solutions in the Bianchi type I case
[NO] 263/1948 | Discussion on the equivalence of two relativistic point-particle Lagrangians
[NO] 264/1948 | LRD-Net: A Lightweight Real-Centered Detection Network for Cross-Domain Face Forgery Detection
[NO] 265/1948 | Mortality of ultra-thin LGADs and PiN diodes from high energy deposition
[YES] 266/1948 | FM-Agent: Scaling Formal Methods to Large Systems via LLM-Based Hoare-Style Reasoning
[NO] 267/1948 | Electron localization, charge redistribution, and emergence of topological states at graphite junctions
[NO] 268/1948 | Arbitrary-Velocity Volkov Wavepackets
[NO] 269/1948 | Observation of Discrete 1D Solitons in an Optically Induced Lattice in Rubidium Atomic Vapor
[NO] 270/1948 | Inverse engineering of cooling protocols: from normal behavior to Mpemba effects
[NO] 271/1948 | CAGenMol: Condition-Aware Diffusion Language Model for Goal-Directed Molecular Generation
[NO] 272/1948 | Structural Consequences of Policy-Based Interventions on the Global Supply Chain Network
[NO] 273/1948 | Resonances extracted in truncated partial-wave analysis are effective mixtures of angular momenta
[NO] 274/1948 | Symmetric operads of GK-dimension one
[NO] 275/1948 | Beyond Model Design: Data-Centric Training and Self-Ensemble for Gaussian Color Image Denoising
[NO] 276/1948 | SLALOM: Simulation Lifecycle Analysis via Longitudinal Observation Metrics for Social Simulation
[YES] 277/1948 | Low-rank Optimization Trajectories Modeling for LLM RLVR Acceleration
[NO] 278/1948 | HuiYanEarth-SAR: A Foundation Model for High-Fidelity and Low-Cost Global Remote Sensing Imagery Generation
[NO] 279/1948 | Hardening x402: PII-Safe Agentic Payments via Pre-Execution Metadata Filtering
[NO] 280/1948 | Short Message Service (SMS) Phishing Attacks and Defenses: A Systematic Review
[NO] 281/1948 | Spectral Turán problem for $t\mathcal{K}_{4}^{-}$-free unbalanced signed graphs
[NO] 282/1948 | Data-driven augmentation of first-principles models under constraint-free well-posedness and stability guarantees
