[2026-05-15 22:54:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-14
正在获取论文...
[arXiv] 2026-05-14 | Aligning Latent Geometry for Spherical Flow Matching in Image Generation
[NO] 155/1997 | The Smarr Formula is Gauss's Law: A Kerr-Schild Single-Copy Perspective
[NO] 156/1997 | Weakly nonlinear analysis of Hopf bifurcations in the elastohydrodynamics of Cosserat rods
[NO] 157/1997 | SR-Platform: An Agentic Pipeline for Natural Language-Driven Robot Simulation Environment Synthesis
[NO] 158/1997 | A Tale of Two Orbits: Non-Simply Laced Mirror
[NO] 159/1997 | Are Candidate Models Really Needed for Active Learning?
[NO] 160/1997 | An Attention-Enhanced Network with Joint Dehazing and Retinex-Based Enhancement for Underwater Images
[NO] 161/1997 | AQKA: Active Quantum Kernel Acquisition Under a Shot Budget
[NO] 162/1997 | Monitoring Data-aware Temporal Properties (Extended Version)
[NO] 163/1997 | Static spherically symmetric Kundt vacuum solutions of higher-derivative gravities
[NO] 164/1997 | Malleable Molecular Dynamics Simulations with GROMACS and DMR
[NO] 165/1997 | Beyond Instance-Level Self-Supervision in 3D Multi-Modal Medical Imaging
[NO] 166/1997 | Multimodal Learning for MIMO Beam Prediction Based on Variational Inference
[NO] 167/1997 | How to Evaluate and Refine your CAM
[NO] 168/1997 | Adaptive Window Decoding based on Spatiotemporal Complementary Gap
[NO] 169/1997 | Topics in Gaussian Wiener chaos expansion
[NO] 170/1997 | Efficient Dense Matching for Enhanced Gaussian Splatting Using AV1 Motion Vectors
[NO] 171/1997 | GeV emission around SS 433 with 17 years Fermi-LAT observation
[NO] 172/1997 | Do We Really Need External Tools to Mitigate Hallucinations? SIRA: Shared-Prefix Internal Reconstruction of Attribution
[NO] 173/1997 | Landscape-Aware Bandit Hyper-Heuristics for Online Operator Selection in UAV Inspection Routing
[NO] 174/1997 | Full-Dimensional Reactive Potential Energy Surfaces for OCS$^+$ $\rightarrow$ CO+S$^+$ Dissociation: Ground and Excited States
[NO] 175/1997 | TeachAnything: A Multimodal Crowdsourcing Platform for Training Embodied AI Agents in Symmetrical Reality
[YES] 176/1997 | Natural Synthesis: Outperforming Reactive Synthesis Tools with Large Reasoning Models
[NO] 177/1997 | Compositional Sparsity as an Inductive Bias for Neural Architecture Design
[NO] 178/1997 | Efficient ultrafast homodyne detection of quantum light
[NO] 179/1997 | Toward Securing AI Agents Like Operating Systems
[NO] 180/1997 | Slower Generalization, Faster Memorization: A Sweet Spot in Algorithmic Learning
[NO] 181/1997 | String Solving with Stabilization and Transducers (Technical Report)
[NO] 182/1997 | Eradicating Negative Transfer in Multi-Physics Foundation Models via Sparse Mixture-of-Experts Routing
[NO] 183/1997 | Sphericalization and the Universal Spherical Adjunction
[NO] 184/1997 | Action-Inspired Generative Models
[NO] 185/1997 | Self-Regulated Learning in Essay Writing: Consistency of Strategies and Impact on Outcomes
[NO] 186/1997 | Branch-width of represented matroids in matrix multiplication time
[NO] 187/1997 | DriveCtrl: Conditioned Sim-to-Real Driving Video Generation
[NO] 188/1997 | Extending CDCL to disjunctions of parity equations
[NO] 189/1997 | Scaling Laws from Sequential Feature Recovery: A Solvable Hierarchical Model
[NO] 190/1997 | Active Learners as Efficient PRP Rerankers
[NO] 191/1997 | Consistency in the Quantum-Improved Charged Black Holes
[NO] 192/1997 | Real-time virtual circuits for plasma shape control via neural network emulators
[NO] 193/1997 | Improved Ramsey bounds for generalized Schur equations
[NO] 194/1997 | HeatKV: Head-tuned KV-cache Compression for Visual Autoregressive Modeling
[NO] 195/1997 | Where Should Diffusion Enter a Language Model? Geometry-Guided Hidden-State Replacement
[NO] 196/1997 | Compositional and Magnetic Characterisation of Oblique Co and Fe Nanowire Structures Fabricated Using Focused Electron Beam Induced Deposition
[NO] 197/1997 | Automated Curriculum Design for High-dimensional Human Motor Learning
[NO] 198/1997 | A Formative Study of Brief Affective Text as a Complement to Wearable Sensing for Longitudinal Student Health Monitoring
[NO] 199/1997 | Learning with Semantic Priors: Stabilizing Point-Supervised Infrared Small Target Detection via Hierarchical Knowledge Distillation
[NO] 200/1997 | Fibonomial determinants
[NO] 201/1997 | Stopping Reliability in Adaptive Krylov-Shadow Quantum Fisher Information Estimation
[NO] 202/1997 | Computational Thinking Development in AI Agent Creation_A Mixed-Methods Study
[NO] 203/1997 | Toward Covert Quantum Computing
[NO] 204/1997 | Dynamic Latent Routing
[NO] 205/1997 | Are Agents Ready to Teach? A Multi-Stage Benchmark for Real-World Teaching Workflows
[NO] 206/1997 | Approximate Macroscopic Dynamics of Spiking Neural Networks Based on Solutions to the Transport Equation
[NO] 207/1997 | Semantic Feature Segmentation for Interpretable Predictive Maintenance in Complex Systems
[NO] 208/1997 | Guided Diffusion Sampling for Precipitation Forecast Interventions
[YES] 209/1997 | Factorization-Error-Free Discrete Diffusion Language Model via Speculative Decoding
[NO] 210/1997 | How Twist Class Redundancy Drives the Prediction of Traces of Frobenius of Elliptic Curves
[NO] 211/1997 | Smooth Multi-Policy Causal Effect Estimation in Longitudinal Settings
[NO] 212/1997 | TILT: Target-induced loss tilting under covariate shift
[NO] 213/1997 | Diagnosing and Correcting Concept Omission in Multimodal Diffusion Transformers
[NO] 214/1997 | Image Restoration via Diffusion Models with Dynamic Resolution
[NO] 215/1997 | Heuristic Pathologies and Further Variance Reduction via Uncertainty Propagation in the AIVAT Family of Techniques
[NO] 216/1997 | Worst-Case Sample Complexity Bounds for Distributed Inner Product Estimation with Local Randomized Measurements
[NO] 217/1997 | Towards Real-Time Autonomous Navigation: Transformer-Based Catheter Tip Tracking in Fluoroscopy
[NO] 218/1997 | Not All Timesteps Matter Equally: Selective Alignment Knowledge Distillation for Spiking Neural Networks
[NO] 219/1997 | Monomial bases and canonical bases for quantum affine algebras
[NO] 220/1997 | Constraints on anomalous Higgs boson couplings to vector bosons and fermions using the $γγ$ final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[NO] 221/1997 | Paraphrasing Attack Resilience of Various AI-Generated Text Detection Methods
[NO] 222/1997 | Good to Go: The LOOP Skill Engine That Hits 99% Success and Slashes Token Usage by 99% via One-Shot Recording and Deterministic Replay
[NO] 223/1997 | Group Theory of the Kolakoski Sequence
[NO] 224/1997 | PreFT: Prefill-only finetuning for efficient inference
[NO] 225/1997 | ASH: Agents that Self-Hone via Embodied Learning
[NO] 226/1997 | The Close Binary V486 Carinae
[YES] 227/1997 | Do Coding Agents Understand Least-Privilege Authorization?
[NO] 228/1997 | FactorizedHMR: A Hybrid Framework for Video Human Mesh Recovery
[NO] 229/1997 | Discrimination Is Generation: Unifying Ranking and Retrieval from a Tokenizer Perspective
[NO] 230/1997 | An integration-free approach for particle flow filtering
[NO] 231/1997 | IFPV: An Integrated Multi-Agent Framework for Generative Operational Planning and High-Fidelity Plan Verification
[NO] 232/1997 | The Complexity of Nested Reset Counter Systems
[NO] 233/1997 | MechVerse: Evaluating Physical Motion Consistency in Video Generation Models
[NO] 234/1997 | Multi-proposal Collaboration and Multi-task Training for Weakly-supervised Video Moment Retrieval
[NO] 235/1997 | Agentic AI and Human-in-the-Loop Interventions: Field Experimental Evidence from Alibaba's Customer Service Operations
[NO] 236/1997 | The Heisenberg-Weyl-parity group its coherent states and a unified Wigner-Weyl function
[NO] 237/1997 | Probing into Camera Control of Video Models
[NO] 238/1997 | Beyond AI as Assistants: Toward Autonomous Discovery in Cosmology
[NO] 239/1997 | AI-Driven Discovery of Information-Efficient Collider Observables for Interference Measurements
[NO] 240/1997 | MonoPRIO: Adaptive Prior Conditioning for Unified Monocular 3D Object Detection
[NO] 241/1997 | Peng's Q($λ$) for Conservative Value Estimation in Offline Reinforcement Learning
[NO] 242/1997 | On Numerical Semigroups with Fixed Quotient
[NO] 243/1997 | MediaClaw: Multimodal Intelligent-Agent Platform Technical Report
[NO] 244/1997 | Differentially private inference framework of Riemannian manifold data
[NO] 245/1997 | Selective Safety Steering via Value-Filtered Decoding
[NO] 246/1997 | Mechanical Enforcement for LLM Governance:Evidence of Governance-Task Decoupling in Financial Decision Systems
[NO] 247/1997 | Mostow rigidity for skew solenoidal manifolds
[NO] 248/1997 | UMo: Unified Sparse Motion Modeling for Real-Time Co-Speech Avatars
[NO] 249/1997 | Boundary-supported radial layering in Hoag-like ring galaxies
[NO] 250/1997 | IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation
[NO] 251/1997 | Generating HDR Video from SDR Video
[NO] 252/1997 | The Rate-Distortion-Polysemanticity Tradeoff in SAEs
[NO] 253/1997 | Decoherence of $q-$Deformed Photon Added Coherent State
[NO] 254/1997 | $π$-Bench: Evaluating Proactive Personal Assistant Agents in Long-Horizon Workflows
[NO] 255/1997 | Optimal Asymptotic Rates for (Stochastic) Gradient Descent under the Local PL-Condition: A Geometric Approach
[NO] 256/1997 | Scalable Solution of the Stochastic Multi-path Traveling Salesman Problem via Neural Networks
[NO] 257/1997 | Parametrization of the primordial power spectrum in loop quantum cosmology
[NO] 258/1997 | TERRA-CD: Multi-Temporal Framework for Multi-class and Semantic Change Detection
[NO] 259/1997 | Multiscale Topological Inference for Marked Point Processes via Euler Characteristic Envelopes
[NO] 260/1997 | Perfect transmission and parallel composition for quantum walks on graphs with two leads
[NO] 261/1997 | Teaching Large Language Models When Not to Know: Learning Temporal Critique for Ex-Ante Reasoning
[YES] 262/1997 | Documentation-Guided Agentic Codebase Migration from C to Rust
[NO] 263/1997 | SmartWalkCoach: An AI Companion for End-to-End Walking Guidance, Motivation, and Reflection
[NO] 264/1997 | Spectral extremal results for triangle-free graphs with chromatic number at least four
[NO] 265/1997 | Digital Twin Synchronization Over Mobile Embodied AI Network With Agentic Intelligence
[NO] 266/1997 | SliceGraph: Mapping Process Isomers in Multi-Run Chain-of-Thought Reasoning
[NO] 267/1997 | Development of an electrodynamic balance to study single levitated particles exposed to alkali-metal vapor
[NO] 268/1997 | A tree-free approach to 3D Yang-Mills Langevin dynamic. Analytic estimates and the existence of a model for a regularity structure
[NO] 269/1997 | In-IDE Toolkit for Developers of AI-Based Features
[NO] 270/1997 | NeuroTrain: Surveying Local Learning Rules for Spiking Neural Networks with an Open Benchmarking Framework
[NO] 271/1997 | FKPP fronts in quenched random media
[NO] 272/1997 | Synthesizing POMDP Policies: Sampling Meets Model-checking via Learning
[NO] 273/1997 | Semi-Streaming Algorithms for Submodular Maximization under Random Arrival Order
[NO] 274/1997 | Imaging without visibilities: FAST-Effelsberg scintillometry of PSR B1508+55
[NO] 275/1997 | DRL-STAF: A Deep Reinforcement Learning Framework for State-Aware Forecasting of Complex Multivariate Hidden Markov Processes
[NO] 276/1997 | Intelligence Impact Quotient (IIQ): A Framework for Measuring Organizational AI Impact
[NO] 277/1997 | Quasi-Polish spaces and spaces of filters in second-order arithmetic
[NO] 278/1997 | New Bounds for Integer Flows and Verma Modules, via Denormalized Lorentzian Laurent Series
[NO] 279/1997 | Nearest-Neighbor Radii under Dependent Sampling
[NO] 280/1997 | Quantifying and Mitigating Premature Closure in Frontier LLMs
[NO] 281/1997 | Hardness of Burning Number Problem on Regular Graphs
[YES] 282/1997 | Articraft: An Agentic System for Scalable Articulated 3D Asset Generation
[NO] 283/1997 | Quantitative Video World Model Evaluation for Geometric-Consistency
[NO] 284/1997 | Wormholes and Averaging over N
[NO] 285/1997 | SANA-WM: Efficient Minute-Scale World Modeling with Hybrid Linear Diffusion Transformer
[NO] 286/1997 | Modal group theory: homomorphisms
[NO] 287/1997 | RoSHAP: A Distributional Framework and Robust Metric for Stable Feature Attribution
[NO] 288/1997 | Causal Forcing++: Scalable Few-Step Autoregressive Diffusion Distillation for Real-Time Interactive Video Generation
[NO] 289/1997 | Limitations of Debye-Waller lattice temperature extraction under electronic excitation
[NO] 290/1997 | APWA: A Distributed Architecture for Parallelizable Agentic Workflows
[NO] 291/1997 | Downlink Performance Analysis of Pinching Antenna Systems: WDMA or NOMA?
[NO] 292/1997 | MemEye: A Visual-Centric Evaluation Framework for Multimodal Agent Memory
[NO] 293/1997 | Understanding How International Students in the U.S. Are Using Conversational AI to Support Cross-Cultural Adaptation
[NO] 294/1997 | Mid-infrared Assisted THz Phonon Amplification in a 2D Semiconductor for Room Temperature Detection
[NO] 295/1997 | CLOVER: Closed-Loop Value Estimation \& Ranking for End-to-End Autonomous Driving Planning
[NO] 296/1997 | Proposal and study of statistical features for string similarity computation and classification
[NO] 297/1997 | Why Neighborhoods Matter: Traversal Context and Provenance in Agentic GraphRAG
[NO] 298/1997 | Loop Termination and Generalized Collatz Sequences
[NO] 299/1997 | ML-Embed: Inclusive and Efficient Embeddings for a Multilingual World
[NO] 300/1997 | Fast contracted Clebsch--Gordan tensor products for equivariant graph neural networks
[NO] 301/1997 | Computational Imaging Priors for Wireless Capsule Endoscopy: Monte Carlo-Guided Hemoglobin Mapping for Rare-Anomaly Detection
[NO] 302/1997 | Numerical simulations of waves and turbulence in coronal loops: observables and spectra
[NO] 303/1997 | HiSem: Hierarchical Semantic Disentangling for Remote Sensing Image Change Captioning
[NO] 304/1997 | 3D Skew-Normal Splatting
[NO] 305/1997 | JWST COMPASS Program: The 3--5$μ$m transmission spectrum of LTT 1445 A b
[NO] 306/1997 | Learning Developmental Scaffoldings to Guide Self-Organisation
[NO] 307/1997 | A Climate-Constrained Bayesian Inverse Method for JWST Rocky Exoplanet Eclipse Spectra: A Case Study of LTT 1445A b
[NO] 308/1997 | Miyazawa's Invariant, Lefschetz Numbers, and Seifert Solids
[NO] 309/1997 | Explainable Detection of Depression Status Shifts from User Digital Traces
[NO] 310/1997 | Sat3DGen: Comprehensive Street-Level 3D Scene Generation from Single Satellite Image
[NO] 311/1997 | Agreement, Diversity, and Polarization Indices for Approval Elections
[NO] 312/1997 | Multi-regime Markov-switching models with time-varying transition probabilities: An application to U.S. Treasury yields
[NO] 313/1997 | Categorification of Chemical Reactions: a bottom-up tower from stoichiometry to quantum structure
[NO] 314/1997 | Exploring the CMB in Anisotropic Universes
[NO] 315/1997 | On the Symmetries of Anisotropic Spin Interaction Models
[NO] 316/1997 | Image Force Effects on Tunneling Currents in an STM -- I `Point charge in the Barrier Region' - Model
[NO] 317/1997 | H-OmniStereo: Zero-Shot Omnidirectional Stereo Matching with Heading-Aligned Normal Priors
[NO] 318/1997 | Quantum-Secure Physical Unclonable Function enabled by Silicon Photonics Integrated Circuits
[NO] 319/1997 | Efficient Online Conformal Selection with Limited Feedback
[NO] 320/1997 | Parametrically Adaptive Transition Polynomial: a Signed-Parity Continuous-alpha Extension of Kunchenko Stochastic Polynomials
[NO] 321/1997 | On the effective rank of canonical polyadic decomposition of electron repulsion integrals
[NO] 322/1997 | Sycophancy is an Educational Safety Risk: Why LLM Tutors Need Sycophancy Benchmarks
[NO] 323/1997 | Angel or Demon: Investigating the Plasticity Interventions' Impact on Backdoor Threats in Deep Reinforcement Learning
[NO] 324/1997 | Quantum battery optimized by parametric amplification
[NO] 325/1997 | A Picture is Worth a Thousand Words? An Empirical Study of Aggregation Strategies for Visual Financial Document Retrieval
[NO] 326/1997 | Woodelf++: A Fast and Unified Partial Dependence Plot Algorithm for Decision Tree Ensembles
[NO] 327/1997 | Verification of reciprocity in anisotropic poroelastic wave simulation using symmetric Strang splitting
[NO] 328/1997 | The Asset Price Channel of Monetary Policy: Evidence from Regional Stock-Market Developments in the Successor States of Former Yugoslavia
[NO] 329/1997 | Remember Your Trace: Memory-Guided Long-Horizon Agentic Framework for Consistent and Hierarchical Repository-Level Code Documentation
[NO] 330/1997 | Autonomous Reshaping of Expression Landscapes by DNA Methylation
[NO] 331/1997 | Resolving Action Bottleneck: Agentic Reinforcement Learning Informed by Token-Level Energy
[NO] 332/1997 | CSLibPremiseBench: Structure-Guided Premise Retrieval and Label Robustness for Lean 4 Computer-Science Theorems
[NO] 333/1997 | RxEval: A Prescription-Level Benchmark for Evaluating LLM Medication Recommendation
[YES] 334/1997 | Learning from Failures: Correction-Oriented Policy Optimization with Verifiable Rewards
[NO] 335/1997 | From Sparse to Dense: Spatio-Temporal Fusion for Multi-View 3D Human Pose Estimation with DenseWarper
[NO] 336/1997 | Matrix-Product Belief Propagation for continuous-state-space variables
[NO] 337/1997 | Defenses at Odds: Measuring and Explaining Defense Conflicts in Large Language Models
[NO] 338/1997 | Contestable Multi-Agent Debate with Arena-based Argumentative Computation for Multimedia Verification
[NO] 339/1997 | Deep Learning for Solving and Estimating Dynamic Models in Economics and Finance
[NO] 340/1997 | High-Pressure Crystal Structure Database
[NO] 341/1997 | The Localization Theorem for the Motivic Homotopy Theory of Complex Analytic Stacks and other Geometric Settings
[NO] 342/1997 | Geodesic currents of coarse negative curvature
[NO] 343/1997 | Determination of Poynting Vector Characteristics
[YES] 344/1997 | Exploiting LLM Agent Supply Chains via Payload-less Skills
[NO] 345/1997 | Neural Networks for Singular Perturbations -- Finite Regularity
[NO] 346/1997 | Estimating Precision Matrices for High-Dimensional Interval-Valued Data
[NO] 347/1997 | When Answers Stray from Questions: Hallucination Detection via Question-Answer Orthogonal Decomposition
[NO] 348/1997 | Bayesian analysis of density profile of light dark matter elucidating the properties of dark matter admixed neutron stars in the presence of hyperons
[NO] 349/1997 | Integer points in a simplex and related Diophantine problems: Hardy--Littlewood asymptotics in higher dimensions
[NO] 350/1997 | Prompting Policies for Multi-step Reasoning and Tool-Use in Black-box LLMs with Iterative Distillation of Experience
[NO] 351/1997 | Observation of spontaneous N-bearing PAH formation using ion trap: a new formation pathway in the interstellar medium
[NO] 352/1997 | A Unified Knowledge Embedded Reinforcement Learning-based Framework for Generalized Capacitated Vehicle Routing Problems
[NO] 353/1997 | Energy-Efficient Quadruped Locomotion with Compliant Feet
[NO] 354/1997 | GeoViSTA: Geospatial Vision-Tabular Transformer for Multimodal Environment Representation
[NO] 355/1997 | Watch your neighbors: Training statistically accurate chaotic systems with local phase space information
[NO] 356/1997 | Agentic Recommender System with Hierarchical Belief-State Memory
[NO] 357/1997 | SceneForge: Structured World Supervision from 3D Interventions
[NO] 358/1997 | Three dimensional simulation of fluid-driven frictional and tensile ruptures on existing discontinuities
[NO] 359/1997 | Multiple mechanisms of rhythm switching in recurrent neural networks with adaptive time constants
[NO] 360/1997 | The inverse curve shortening flow on the hyperbolic plane
[NO] 361/1997 | Classification of the ruled surfaces that are critical points of the Dirichlet energy
[NO] 362/1997 | Delta Forcing: Trust Region Steering for Interactive Autoregressive Video Generation
[NO] 363/1997 | Decision-Level Fusion for Robust Wearable Affect Recognition
[NO] 364/1997 | The Euler obstruction of a $1$-form on a determinantal singularity
[NO] 365/1997 | Your CLIP has 164 dimensions of noise: Exploring the embeddings covariance eigenspectrum of contrastively pretrained vision-language transformers
[NO] 366/1997 | TOPOS: High-Fidelity and Efficient Industry-Grade 3D Head Generation
[NO] 367/1997 | Polarization Signatures from GRMHD Simulations of Black Hole Accretion
[NO] 368/1997 | Fast Gossip-based Rumor Spreading using Small Messages
[NO] 369/1997 | A Template-Driven Platform for Contextualised Researcher Profiles
[NO] 370/1997 | Effect of startup modes on cold start performance of PEM fuel cells with different cathode flow fields
[NO] 371/1997 | Evo-Depth: A Lightweight Depth-Enhanced Vision-Language-Action Model
[NO] 372/1997 | A CUBS-Compatible Ultrasound Morphology and Uncertainty-Aware Baseline for Carotid Intima-Media Segmentation and Preliminary Risk Prediction
[NO] 373/1997 | From Particles to Policy: Technical Building Blocks for Multi-State SAI Coordination
[NO] 374/1997 | Behavioral Data-Driven Optimal Trajectory Generation for Rotary Cranes
[NO] 375/1997 | Octopus: History-Free Gradient Orthogonalization for Continual Learning in Multimodal Large Language Models
[NO] 376/1997 | Multi-scale Coarse-to-fine Modeling for Test-time Human Motion Control
[NO] 377/1997 | Identifying group galaxies merging with massive clusters using machine learning
[NO] 378/1997 | Chain-of-Procedure: Hierarchical Visual-Language Reasoning for Procedural QA
[NO] 379/1997 | Anchored Dyck Paths
[NO] 380/1997 | From Sycophantic Consensus to Pluralistic Repair: Why AI Alignment Must Surface Disagreement
[NO] 381/1997 | Chrono-Gymnasium: An Open-Source, Gymnasium-Compatible Distributed Simulation Framework
[NO] 382/1997 | KGPFN: Unlocking the Potential of Knowledge Graph Foundation Model via In-Context Learning
[NO] 383/1997 | $κ$-solutions with the round cylinder as an asymptotic shrinker
[NO] 384/1997 | Twins and Co-Twins in Circulant graphs
[NO] 385/1997 | Non--exchangeable mean field games with moderate interactions and common noise
[NO] 386/1997 | Generative reconstruction of 2D and 3D polycrystalline microstructures using symmetrized hyperspherical harmonics
[NO] 387/1997 | Text-Dependent Speaker Verification (TdSV) Challenge 2024: Team Naive System Report
[NO] 388/1997 | Denoising-GS: Gaussian Splatting with Spatial-aware Denoising
[NO] 389/1997 | Unlocking Complex Visual Generation via Closed-Loop Verified Reasoning
[NO] 390/1997 | On Maximal Prime Gaps
[NO] 391/1997 | Fast Adversarial Attacks with Gradient Prediction
[NO] 392/1997 | REALM: Retrospective Encoder Alignment for LFP Modeling
[NO] 393/1997 | Causal Foundation Models with Continuous Treatments
[NO] 394/1997 | In-Context Learning for Data-Driven Censored Inventory Control
[NO] 395/1997 | Automatic Landmark-Based Segmentation of Human Subcortical Structures in MRI
[NO] 396/1997 | A Qutrit Time Crystal Stabilized with Native Chiral Interactions
[NO] 397/1997 | Accurate Modeling of Rydberg Atoms and Their Interactions: Theory and Implementation in PairInteraction
[NO] 398/1997 | Meschers: Geometry Processing of Impossible Objects
[NO] 399/1997 | Equilibrium for Time-inconsistent Mean Field Games: A Systematic Analysis by Entropy Regularization
[NO] 400/1997 | Towards Accurate Single Panoramic 3D Detection: A Semantic Gaussian Centric Approach
[NO] 401/1997 | Fast Rates for Inverse Reinforcement Learning
[NO] 402/1997 | VMU-Diff: A Coarse-to-fine Multi-source Data Fusion Framework for Precipitation Nowcasting
[NO] 403/1997 | Sagnac-Loop-Reflector Fabry-Perot Lattices for Modular 1D Topological Photonics
[NO] 404/1997 | All-atomistic Transferable Neural Potentials for Protein Solvation
[NO] 405/1997 | Weierstrass semigroups at totally ramified places of degree one on Kummer extensions
[NO] 406/1997 | Scattering off Chamblin-Reall Branes
[NO] 407/1997 | Uncertainty Quantification for Large Language Diffusion Models
[NO] 408/1997 | SpectraFlow: Unifying Structural Pretraining and Frequency Adaptation for Medical Image Segmentation
[NO] 409/1997 | Roughness and entropy measures of a soft set
[NO] 410/1997 | Multi-Dimensional Model Integrity and Responsibility Assessment Index and Scoring Framework
[NO] 411/1997 | Local Spatiotemporal Convolutional Network for Robust Gait Recognition
[NO] 412/1997 | Discovering Physical Directions in Weight Space: Composing Neural PDE Experts
[NO] 413/1997 | Exploring Geographic Relative Space in Large Language Models through Activation Patching
[NO] 414/1997 | PROVE: A Perceptual RemOVal cohErence Benchmark for Visual Media
[NO] 415/1997 | Large Dimensional Kernel Ridge Regression: Extending to Product Kernels
[NO] 416/1997 | ArcGate: Adaptive Arctangent Gated Activation
[NO] 417/1997 | Spin chirality across quantum state copies detects hidden entanglement
[NO] 418/1997 | Physics-Based iOCT Sonification for Real-time Interaction Awareness in Subretinal Injection
[NO] 419/1997 | GroupMemBench: Benchmarking LLM Agent Memory in Multi-Party Conversations
[NO] 420/1997 | Detection of residual native state entropy changes upon mutation in Fyn SH3
[NO] 421/1997 | Reduce the Artifacts Bias for More Generalizable AI-Generated Image Detection
[NO] 422/1997 | Efficient liability assignment under shock propagation
[NO] 423/1997 | Discrete-phase-randomized mode-pairing quantum key distribution
[YES] 424/1997 | LEMON: Learning Executable Multi-Agent Orchestration via Counterfactual Reinforcement Learning
[NO] 425/1997 | Cross-Linguistic Transcription and Phonological Representation in the Huìtóngguǎnxì Huáyíyìyǔ
[NO] 426/1997 | Energy conditions in consistent perfect fluid cosmology
[NO] 427/1997 | Complex wavefront engineering via decoupled space-time modulation
[NO] 428/1997 | From Schema to Signal: Retrieval-Augmented Modeling for Relational Data Analytics
[NO] 429/1997 | Real2Sim in HOI: Toward Physically Plausible HOI Reconstruction from Monocular Videos
[NO] 430/1997 | CP-OFDM Achieves Lower Ranging CRB Than Frequency-Spread Waveforms in the Large-Sample Regime
[NO] 431/1997 | Stop Overthinking: Unlocking Efficient Listwise Reranking with Minimal Reasoning
[NO] 432/1997 | Periodic Behavior of Topology in Graphene with Nanohole Array
[NO] 433/1997 | OPTIMUS: Optimization Productivity Tool for Intelligent Management of Utilizable Space
[NO] 434/1997 | On some properties of bi-univalent functions in the unit disc
[NO] 435/1997 | A Calculus-Based Framework for Determining Vocabulary Size in End-to-End ASR
[NO] 436/1997 | A plug-and-play generative framework for multi-satellite precipitation estimation
[NO] 437/1997 | DVMap: Fine-Grained Pluralistic Value Alignment via High-Consensus Demographic-Value Mapping
[NO] 438/1997 | Knowledge Beyond Language: Bridging the Gap in Multilingual Machine Unlearning Evaluation
[NO] 439/1997 | Nonreciprocal magnon-magnon entanglement in a spinning cavity-magnon system
[NO] 440/1997 | Dual-Latent Collaborative Decoding for Fidelity-Perception Balanced Image Compression
[NO] 441/1997 | Model-theoretic Tameness in finite extensions of groups
[NO] 442/1997 | Model Forensics in AI-Native Wireless Networks: Taxonomy, Applications, and Case Study
[NO] 443/1997 | Darwin Family: MRI-Trust-Weighted Evolutionary Merging for Training-Free Scaling of Language-Model Reasoning
[NO] 444/1997 | Mitigating Data Scarcity in Psychological Defense Classification with Context-Aware Synthetic Augmentation
[NO] 445/1997 | Data-Augmented Game Starts for Accelerating Self-Play Exploration in Imperfect Information Games
[NO] 446/1997 | Optimizing the preparation of Dicke states using counterdiabatic driving methods
[NO] 447/1997 | Turning Stale Gradients into Stable Gradients: Coherent Coordinate Descent with Implicit Landscape Smoothing for Lightweight Zeroth-Order Optimization
[NO] 448/1997 | Complete one-loop self-energies of the linear sigma model coupled to quarks at finite temperature and in a magnetic field
[NO] 449/1997 | Boundary null-controllability for the beam equation with classical structural damping
[NO] 450/1997 | Lévy-like flights and fractal geometry of finite point sets
[NO] 451/1997 | A Deterministic Agentic Workflow for HS Tariff Classification: Multi-Dimensional Rule Reasoning with Interpretable Decisions
[NO] 452/1997 | Construction of Minimal Ternary Linear Codes with Dimension $n+2$
[NO] 453/1997 | SR-Prominence: A Crowdsourced Protocol and Dataset Suite for Perceptually-Weighted Super-Resolution Artifact Evaluation
[NO] 454/1997 | Successive convex optimization for transformer encoder model predictive control
[NO] 455/1997 | Exploring Vision-Language Models for Online Signature Verification: A Zero-Shot Capability Study
[NO] 456/1997 | XFP: Quality-Targeted Adaptive Codebook Quantization with Sparse Outlier Separation for LLM Inference
[NO] 457/1997 | The Racial Character of Computer Graphics Research
[NO] 458/1997 | Min-1-Planarity is NP-Hard
[NO] 459/1997 | Superconducting single-photon detectors for integrated quantum photonics
[NO] 460/1997 | Transient superionic state in ultrafast-irradiated post-transition metal oxides
[NO] 461/1997 | Nonlinear Hamiltonians and Boolean satisfiability
[NO] 462/1997 | HDRFace: Rethinking Face Restoration with High-Dimensional Representation
[NO] 463/1997 | T-E formulation-based modeling of thin HTS shell magnetization
[NO] 464/1997 | A Heterogeneous Temporal Memory Governance Framework for Long-Term LLM Persona Consistency
[NO] 465/1997 | The sufficiently trapped surface
[NO] 466/1997 | Understanding Imbalanced Forgetting in Rehearsal-Based Class-Incremental Learning
[NO] 467/1997 | Beyond What to Select: A Plug-and-play Oscillatory Data-Volume Scheduling for Efficient Model Training
[NO] 468/1997 | Persian MusicGen: A Large-Scale Dataset and Culturally-Aware Generative Model for Persian Music
[NO] 469/1997 | Kuznetsov components ans transcendental motives of cubic fourfolds
[NO] 470/1997 | ChannelAgent-Empowered Electromagnetic Space World Model: A Case Study on Agent-Driven Channel Generation for 6G AI-Native Air Interface
[NO] 471/1997 | XDomainBench: Diagnosing Reasoning Collapse in High-Dimensional Scientific Knowledge Composition
