[2026-05-27 23:17:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-26
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605260000+TO+202605262359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-5-26 | Nash Equilibria in Uniform Price Auctions: Theory, Computation, and Market Insights
[NO] 40/1000 | Quantum Assisted Drug Discovery in Human Beings
[NO] 41/1000 | AI-Based Intrusion Detection System
[NO] 42/1000 | A Novel Torque Distribution Strategy Balancing Energy Consumption and Stability for Four-Wheel Independent Drive Electric Vehicles
[NO] 43/1000 | AI-Powered Movie Recommendation System
[NO] 44/1000 | A Use Case Development for Teaching Robots New Tasks with Edge AI Perception
[NO] 45/1000 | Single-Event Effects in Commecrical Photonic Transceivers
[NO] 46/1000 | Adaptive AI Financial Ecosystem: Proactive Crisis Prediction and Policy Simulation Using GNN and Reinforcement Learning
[NO] 47/1000 | A 28 nm 16 Mb Embedded RRAM IP with Hybrid Array Structure for OTA Update Application
[NO] 48/1000 | A Modified Approach for Multi-EV Vehicle-to-Grid Control to Enhance Grid Stability
[NO] 49/1000 | A Multi-Agent Reinforcement Learning Framework for Serendipitous Recommendation and Personalized Information Retrieval
[NO] 50/1000 | A Hybrid Physics-AI Framework for real-world Energy Consumption Prediction and Range Estimation in Electric Vehicles
[NO] 51/1000 | Performance Study of Artificial Neural Network Based Control for Electric Vehicle to Vehicle Energy Transfer
[NO] 52/1000 | Log What Matters: Safety-Aware Adaptive Logging for CAVs in Dynamic Conditions
[NO] 53/1000 | FYI: A Foundational Counter Architecture for Building CPI Stacks on Out-of-Order Processors
[NO] 54/1000 | Exploring the Energy Storage and Voltage Control Unit Design Space in Battery-Less IoT
[NO] 55/1000 | Fcdnets: Surface-Graph Neural Networks for Automated Detection of Focal Cortical Dysplasia on Multi-Contrast Mri Surface Maps
[NO] 56/1000 | Underrepresented in Foundation Model Pretraining Data? A One-Shot Probe
[NO] 57/1000 | A Multi-Threshold Based Framework for Urban Green Cover Assessment Using Satellite Imagery
[NO] 58/1000 | Security Analysis of Federated Learning in Healthcare
[NO] 59/1000 | Prompt-Based Emotion Detection and Story Generation
[NO] 60/1000 | Optimized Random Forest–Based Soft Computing Pipeline for Multi-Class DDoS Detection in Cloud Environments
[NO] 61/1000 | Enhancing Fraud Detection in Financial Transactions through a Hybrid Machine Learning Model
[NO] 62/1000 | Bi-Level Optimization-Based Intelligent Clinical Decision Support for Pharmacogenomic-Guided Antimicrobial Therapy
[NO] 63/1000 | A Deep Learning Framework for Multi-Class Lung Diseases Classification
[NO] 64/1000 | STCO Evaluation of High Bandwidth Storage for Cost-Efficient LLM Training
[NO] 65/1000 | Comparative Analysis of Single-Tuned Passive Filters for Harmonic Mitigation Under Inductive and Capacitive Nonlinear Loads
[NO] 66/1000 | Control of Electro-Mechanical Systems with Assistive Technology Devices — Advancing from Proof-of-Concept to Integration
[NO] 67/1000 | Novel EEG Autoencoding Framework using HSDBN with Adaptive Feature Learning for Health
[NO] 68/1000 | Integrating High-Cardinality Categorical Features and Graph Neural Networks for Customs Fraud Detection with Label Scarcity
[NO] 69/1000 | Scalable multiband-tunable laser enabled by heterogeneously-integrated InP gain regions on a single silicon photonic chip
[NO] 70/1000 | Pixel-Accurate Epipolar Guided Matching
[NO] 71/1000 | Finite-time optimal policy identification for the stochastic shortest path problem
[NO] 72/1000 | Computational Investigation of Magnetophoretic Separation of Blood-Cell-Inspired Particles in Serpentine Microchannels_supp1-3695600.mp4
[NO] 73/1000 | Africa and Tunisia [President’s Message]
[NO] 74/1000 | Surviving (and Thriving) as Organizational Newcomers: Technical Communicators and Proactive Socialization
[NO] 75/1000 | A Physically Interpretable Neural Optimization Solver for InSAR Phase Unwrapping
[NO] 76/1000 | Toward Low-Viscosity Transformer Oil: Transesterification of Natural Esters with Short-Chain Alcohol
[NO] 77/1000 | Distributed Optimal Control Using Interval-Excited Relative-Output Reinforcement Learning Algorithm
[NO] 78/1000 | Transient Modulation of the Nucleus Accumbens by Transcranial Temporal Interference Stimulation: An fMRI Study in Healthy Adults_supp1-3696618.docx
[NO] 79/1000 | MC-DiffNet: Mask-Constrained and Cycle-Consistent Diffusion Network for Unpaired Ultrasound Image Enhancement
[NO] 80/1000 | Tessellation GS: Neural Mesh Gaussians for Robust Monocular Reconstruction of Dynamic Objects
[NO] 81/1000 | Towards Single-Channel &amp; Single-Cycle EOG Based Multi-Directional Eye Tracking in Wearable System
[NO] 82/1000 | WIP: AI-Based Dynamic 5G Channel Optimization for TSN Over 5G Using MPNN-TD3
[NO] 83/1000 | Robust Frequency Regulation in Hybrid Power Systems Under False Data Injection Attacks Using Adaptive Event-Triggered Virtual Inertia Control
[NO] 84/1000 | Cloud-Native, AI-Augmented Fault Correlation and Root Cause Analysis for Multi-Vendor Networks
[NO] 85/1000 | Visibility-Aware Language Aggregation for Open-Vocabulary Segmentation in 3D Gaussian Splatting
[NO] 86/1000 | PASSNet: Perception-Aware Semantic Strengthening Network for Infrared Small Target Detection
[NO] 87/1000 | Fuzzy DES for accurate quantitative amplitude fluctuations in biomedical signals
[NO] 88/1000 | Optimizing Query-by-Example Spoken Term Detection with Audio-to-Token Sequence Clustering and Query-Guided Retrieval
[YES] 89/1000 | A Retrieval-Augmented Framework for Executable Context-Aware Data Quality Assessment
[NO] 90/1000 | ConTiCoM-3D: A Continuous-Time Consistency Model for 3D Point Cloud Generation
[NO] 91/1000 | Advertisements
[NO] 92/1000 | Uncertainty-Aware Hierarchical MHE–EKF for Joint Estimation of Vehicle Lateral Velocity and Road Friction
[NO] 93/1000 | CFR-Net: A Coarse-to-Fine Concatenated Dual Decoder Based on Frequency-Space-Structure Fusion for Robust Remote Sensing Change Detection
[NO] 94/1000 | CaricatureGS: Exaggerating 3D Gaussian Splatting Faces with Gaussian Curvature
[NO] 95/1000 | MAIR: A Modular AI-Ready Framework for Scalable Incident Response and Autonomous Governance in Next-Decade Cybersecurity
[NO] 96/1000 | Development of the Saponification System Using Recycled Oil Implementing Temperature and pH Fuzzy Control
[NO] 97/1000 | Harnessing Explainable AI and Biomarker Insights for Robust Breast Cancer Detection
[NO] 98/1000 | Personalizing Federated Learning for Hierarchical Edge Networks with Non-IID Data
[NO] 99/1000 | MO-Enstune++: Multi-Objective End-to-End Ensemble Optimization for Coastal Waste Risk Prediction
[NO] 100/1000 | 3D Scene Change Modeling With Consistent Multi-View Aggregation
[NO] 101/1000 | Impact of Motion Strategies on the Net Energy Gain of Solar Energy System
[NO] 102/1000 | A design of five-valued spectra (vectorial) Boolean functions and their use in constructing bent functions outside
                    <i>M</i>
                    <sup>#</sup>
[NO] 103/1000 | GNSS-Independent and Obstacle Avoidance for UAVs Using a Compact 360° Scanning Head
[NO] 104/1000 | EEG-to-Image Synthesis Using Swin Transformer Enhanced with Conditional GANs
[NO] 105/1000 | Energy-Economic-Environmental (3E) Analysis of Rooftop PV Systems for Tropical Universities
[NO] 106/1000 | Low-Complexity Snapshot Radio SLAM for UAV-RIS-Assisted ISAC Systems via Tensor Analysis
[NO] 107/1000 | The Bearing of Planetary Roller Screw Based on Pitch Error and Roller Deviation Specificity Analysis
[NO] 108/1000 | PI3DETR: Parametric Instance Detection of 3D Point Cloud Edges with a Geometry-Aware 3DETR
[NO] 109/1000 | An Intention-Driven Lane Change Framework Considering Heterogeneous Dynamic Cooperation in Mixed-Traffic Environments
[NO] 110/1000 | Leveraging Feature Alignment in Grassmannian Manifold for Multi-output Regression Tasks
[NO] 111/1000 | Transformer-Based NILM with Embedded Convolutional Layers for Sequence-to-Point Energy Disaggregation
[NO] 112/1000 | Development of a Secure Hybrid Deep Learning Model for Honeypot Security and Monitoring System Using Quantum Dilated Convolutional–Fuzzy–Maxout Network
[NO] 113/1000 | Transmission Performance on Digital Communication Signals of Low-Frequency Electromagnetic Waves Under Dynamic Plasma Channel
[NO] 114/1000 | A Method Of Damping Waveguide Eigenmodes For Solving Axisymmetric Difraction Problems
[NO] 115/1000 | Computational Complexity Analysis of the Holomorphic Embedding Method and Parallel Optimization Strategies for Improving Efficiency
[NO] 116/1000 | Orchestrating the Schema
[NO] 117/1000 | Decision letter for "A Physics-Informed Convolutional Neural Network for Global Ocean PAR Reconstruction from Satellite Observations"
[NO] 118/1000 | CyberChain: Enhancing Document Security with Blockchain and AI
[NO] 119/1000 | Thermal Drift Correction of NV Current Sensors via Marine Predators Algorithm
[NO] 120/1000 | Implications of Higher Voltage Levels for Electric Vehicle Traction
[NO] 121/1000 | Transformer-Patch Networks for Accurate Remaining Useful Life Prediction in Electromechanical Systems
[NO] 122/1000 | Infrared Small Target Detection Method Based on Progressive Active Learning and Dynamic Negative Augmentation
[NO] 123/1000 | BFA-YOLO: Steel Surface Defect Detection with Bi-Level Routing Attention and Frequency-Aware Feature Fusion
[NO] 124/1000 | AnoDoc: Robust Anomaly-Based Document Forgery Detection
[NO] 125/1000 | Robotic Scanning Path Planning Based on K-Means Clustering and PSO
[NO] 126/1000 | Breast Cancer Classification from Medical Images Using AI Models: A Comprehensive Review
[NO] 127/1000 | Research on Dynamic Modeling and Control Strategy of a Novel Planar 2-DOF Parallel Robot
[NO] 128/1000 | Decentralized Trust Establishment for Digital Credentials using Blockchain Technology
[NO] 129/1000 | Robust Force Control for Omnidirectional Mobile Robots in Wall Grinding Tasks
[NO] 130/1000 | Comparison of HT and MT Intermittent Gait Patterns for a Self-Propelled Undulatory Hydrofoil
[NO] 131/1000 | Design Architecture Trade-Offs for Hybrid Bonded Array-Periphery VBL 3D-DRAM
[NO] 132/1000 | Beyond Latency: A System-Level Characterization of MPC and FHE for PPML
[NO] 133/1000 | A Reasoning-Based Robotic Bolt Fastening System with a Dexterous Hand
[NO] 134/1000 | Experimental Validation of a Novel Smart ASIC for X-Ray Spectroscopy
[NO] 135/1000 | Nimbusort: Advanced Detection of Ionospheric Disturbances Using EM Signatures
[NO] 136/1000 | Explainable Brain Tumor Classification in MRI Using VGG19 Transfer Learning and Grad-CAM Visualization
[NO] 137/1000 | Detecting Attribute Changes in Entity Records Using Cross-Attention Mechanisms
[NO] 138/1000 | RACER: A Caching Layer based Optimization for Accelerating Reinforcement Learning Workloads
[NO] 139/1000 | Optimizing Data-Driven Solutions for Power Quality Management in Africa: Addressing Unbalanced Datasets with Machine Learning
[NO] 140/1000 | Queue Monitoring and Occupancy Estimation Using Image Processing
[NO] 141/1000 | Noisy Pixels, Credible Decisions – A Robust, Edge-Ready Neuro-Symbolic Architecture for Rural (African) Clinics
[NO] 142/1000 | Design of an AI-Assisted Robotic Arm Workstation for Elderly Care
[NO] 143/1000 | Torque Reallocation Strategy Considering Thermal Derating Constraints for in-Wheel Motor EVs Under Extreme Conditions
[NO] 144/1000 | Evaluation of Sidewalls Properties in HZO-Based 3D Ferroelectric Capacitors
[NO] 145/1000 | Design of a Triple Band-Notched UWB MIMO Antenna with Mutual Coupling Reduction Using H-Shaped DGS
[NO] 146/1000 | Explainable Deep Reinforcement Learning for Scalable and Trustworthy Autonomous Decision Systems
[NO] 147/1000 | Incorporating Meteorological Data and Pesticide Usage for Crop Yield Prediction Using Machine Learning
[NO] 148/1000 | Deep Learning Model for Early Lung Nodule Classification
[NO] 149/1000 | California PM
                    <sub>2.5</sub>
                    : A Ground- and Satellite-Based Data Analysis and Policy Investigation
[YES] 150/1000 | SPHINX: An Agentic AI System for Automated Scientific Discovery in Computational Biology
[NO] 151/1000 | Emotion-Aware Multilingual Sign Language Interpretation Using Deep Learning
[NO] 152/1000 | IoT Enabled QR Code System for Automated Patient Health Monitoring
[NO] 153/1000 | The Ethics of Generative AI in Anonymous Spaces: A Case Study of 4chan's /pol/ Board
[NO] 154/1000 | Modeling and Measuring Redundancy in Multisource Multimodal Data for Autonomous Driving
[NO] 155/1000 | A Hybrid QGWO–PSO Based LET-Bounded RSU-Assisted QoS Routing Scheme for VANETs
[NO] 156/1000 | Research on Object Detection Using YOLOv5 in Haze Conditions
[NO] 157/1000 | Probing English and Spanish Syntax in Language Models
[YES] 158/1000 | Prompt Engineering for Competitive Programming: Improving o4-mini's Accuracy on Codeforces Tasks
[NO] 159/1000 | RL-Enabled LoS Blockage Avoidance for Visible Light Robot Localization
[NO] 160/1000 | An Experimental Analysis of Data Augmentation and Pretraining for Mammogram Image Classification
[NO] 161/1000 | A Decentralized Proof Framework for Digital Authorship and Ownership
[NO] 162/1000 | Archaeology Meets Materials Science, Chemistry, and Statistics: A Multidisciplinary Analysis of Ecuadorian Greenstone Beads
[NO] 163/1000 | Logical Scaling Beyond 4 Bit/Cell: Opportunities and Challenges
[NO] 164/1000 | A Unified Adsorption Performance Framework for Selecting Biochar-Nanoparticle Systems in Heavy Metal Water Filtration
[NO] 165/1000 | Automatic Detection of Cervical Cancer Cells via Residual Network
[NO] 166/1000 | Research on Laser Charging Technology for Aerial Networking of UAV Swarms
[NO] 167/1000 | Optimal Recloser Placement in Radial Distribution Networks Using LSTM-Based Fault Risk Pattern and Artificial Bee Colony Algorithm
[NO] 168/1000 | A Morphology-Aware Spatial-Frequency Network for High-Precision Bearing Defect Detection
[NO] 169/1000 | Compliant, High-Strain Capacitive Stretch Sensors for Soft Robotics and Wearable Electronics
[NO] 170/1000 | An Accessible Framework for Real-Time PM
                    <sub>2.5</sub>
                    Forecasting Using Neural Networks and Gaussian Plume Modeling
[NO] 171/1000 | Challenges in 2D Hybrid Non-Quasineutral Hall Thruster Simulation
[NO] 172/1000 | Zero-Shot Image Classification in Low-Resource Medical Image Diagnosis Using Fine-Tuning Transformer Models
[NO] 173/1000 | Pneumonia Detection Using a Hybrid CNN and Swin Transformer Architecture
[NO] 174/1000 | Firefighter Floor Positioning Algorithm Integrating Constrained EKF and Asymmetric Discrimination
[NO] 175/1000 | Liv-AR: A Web-Based Augmented Reality Platform for Immersive NCERT History Education
[NO] 176/1000 | Monolithic Integration of SiC Gate Driver and VDMOS with P-Bottom Isolation and Recess Contact
[NO] 177/1000 | Uncertainty Estimation and Risk Analysis in Hybrid Self-Attention LSTM Models for Insider Threat Detection towards Cyber Risk Management
[NO] 178/1000 | Autonomous Vision-Based Smart Ramp in Urban Infrastructure
[NO] 179/1000 | LindormVector: A Distributed Vector Engine on a Cloud-Native Multi-Model NoSQL Database
[NO] 180/1000 | Adda: An Agent-Driven in-Database Feature Generation System
[NO] 181/1000 | Tenth Workshop on Human-In-the-Loop Data Analytics (HILDA)
[NO] 182/1000 | Imw 2026 Committees
[NO] 183/1000 | Table of Contents
[NO] 184/1000 | Geographical Centralization Resilience in Ethereum's Block-Building Paradigms
[NO] 185/1000 | On Abnormal Execution Timing of Conditional Jump Instructions
[NO] 186/1000 | An Edge-Guided Structural Transformer Network for SAR Time Series Land Cover Mapping
[NO] 187/1000 | Open-Source Client Modules Supporting Time Transfer with Satellite- and Decrypted Network-Based Precise Point Positioning [Roadmap for Measurement and Applications]
[NO] 188/1000 | Polarization-Insensitive Silicon-on-Insulator Arrayed Waveguide Grating Router with Bidirectional I/O
[NO] 189/1000 | Multistatic Radar Joint Range-Velocity Anti-Deceptive Jamming Methods Based on Information Geometry
[NO] 190/1000 | SINdex: Semantic INconsistency Index for Hallucination Detection in LLMs
[NO] 191/1000 | Implicit Preference Learning for Adaptive Human-Robot Collaboration Using Task Graphs
[NO] 192/1000 | Optimized Digital Filtering of EEG Signals for ERP Preservation and Noise Suppression
[NO] 193/1000 | A 3-bit Digitally-Reconfigurable Driving-Capability nW-Powered Three-Stage Fully-Synthesizable Inverter-Based OTA for Multi-Load/Applications
[NO] 194/1000 | Coherent Radar Networks: Terminology, Synchronization, and Applications
[NO] 195/1000 | Fabrication Defect Detection and Characterization of Semiconductor Devices from SEM Images Using Morphological Image Processing
[NO] 196/1000 | Enhancing Bangla Spam SMS Detection with BERT: A Deep Learning Perspective
[NO] 197/1000 | Fundamental-Frequency Switching Strategy for a Five-Level Cascaded H-Bridge Inverter Using Selective Harmonic Elimination
[NO] 198/1000 | Are Pose Estimators Ready for the Open World? STAGE: A GenAI Toolkit for Auditing 3D Human Pose Estimators
[NO] 199/1000 | A Deep Learning and Explainable Ai Framework to Rank Solar Irradiance Zones in Southern Bangladesh
[NO] 200/1000 | Noninvasive Assessment of Lung Fluid Accumulation Using Tetrapolar Impedance Measurement
[NO] 201/1000 | CAOA - Completion-Assisted Object-CAD Alignment
[NO] 202/1000 | RXV: Interpretable RF-Stacked CNNs for Brain Tumor MRI Classification
[NO] 203/1000 | Corrections to “Semi-Classical Monte Carlo Simulation of Quantum Confinement Effects in Si Nanosheet and Fin FETs in Industry Standard Orientation”
[NO] 204/1000 | Temperature-Based Hybrid Modeling for Heating Power Prediction and Fault Detection in Power Transformers
[NO] 205/1000 | Secrecy Analysis of Pinching-Antenna Systems
[NO] 206/1000 | Voltage-Dependent Dark Current Modeling in Thin-Film Solar Cells: Effects of Surface Recombination and Device Parameters
[NO] 207/1000 | Intelligent Heat Stress Management: Economic Impacts and Policy Strategies for Informal Women Workers
[NO] 208/1000 | PASTA: Controllable Part-Aware Shape Generation with Autoregressive Transformers
[NO] 209/1000 | Key-Driven Identity Protection and Secure Traceability for Face-Swapping
[NO] 210/1000 | Comprehensive Analysis and Noise Suppression of Real-World Mud Pulse Telemetry Using an Adaptive Signal Decomposition Method for Downhole Sensing
[NO] 211/1000 | Learning High-Fidelity Garment Deformation via Skinning-Free Image Transfer
[NO] 212/1000 | Masthead
[NO] 213/1000 | Knowledge-Driven Memetic Algorithm with Forgetting Mechanism for the Energy-Aware Flexible Job-Shop Scheduling Problem with Variable Machining Speeds
[NO] 214/1000 | Towards Real-Time Tea Leaf Disease Management: A Deep Learning Solution for Resource-Constrained Environments
[NO] 215/1000 | ClustRecNet: A Novel End-to-End Deep Learning Framework for Clustering Algorithm Recommendation
[NO] 216/1000 | Simulation-Based Modeling and Standing Stabilization of a Bird-Inspired Bipedal Robot with Multi-Joint Dynamics with Contact
[NO] 217/1000 | Integrating HTS Technology in Wind Energy Systems: A Case for Sustainable Power in Bangladesh
[NO] 218/1000 | Blood Cancer Classification from Microscopic Images via ViTResNetEnsemble with XAI
[NO] 219/1000 | Bengali Fake Shield: Developing an Efficient Transformer-based Fake News Detection System for Bengali Language
[NO] 220/1000 | Influence of geometry and polarization parameters on piezoelectric response of polypropylene piezoelectrets with an arch structure
[NO] 221/1000 | Joint Channel and AoA Estimation in OTFS System with Fractional Doppler Channels
[NO] 222/1000 | A Variegated Look at Direct-to-Cell Satellites in the Wild
[NO] 223/1000 | PPFedIT: Towards Privacy-Preserving Federated Instruction Tuning with Few-shot Local Examples
[NO] 224/1000 | Demonstration of MultiVis-Agent: Interactively Generating Reliable Visualizations via Logic-Rule Agents
[NO] 225/1000 | Do Not Forget the Role of Address Mapping Policy in Achieving DRAM-Less SSD Performance
[NO] 226/1000 | Message from Program Chairs
[NO] 227/1000 | PLL-XO Codesign for Energy-Efficient and Ultra-Low Noise Frequency Synthesis
[YES] 228/1000 | AI-Assisted RFIC Design —State-of-the-Art and Challenges
[NO] 229/1000 | IoT-Enabled Smart Helmet for Real Time Rider Safety Monitoring and Automated Emergency Response System Technology
[NO] 230/1000 | Total Ionizing Dose Effects on Clock Systems and Peripheral Modules of the MSP430FR6989
[NO] 231/1000 | Rolling Bearing Domain Generalization Fault Diagnosis Method Based on CWT-MTNet
[NO] 232/1000 | Modeling and Experiment of Horizontal Vibration Isolation for Series-Connected Inverted Pendulum and Single-Chamber Pneumatic Spring
[NO] 233/1000 | Novel “S-Cut” Flows for Highly Uniform Multi-Tier Integrated Oxide Semiconductor DRAM
[NO] 234/1000 | Ensemble based Driver Behaviour Analysis and Accident Mitigation using CNN and LSTM
[NO] 235/1000 | An EfficientNetV2B3-Based Deep Learning Model for Accurate Diagnosis and Classification of Liver Tumors
[NO] 236/1000 | Design, Modeling and High-Performance MTPA Control of an Oil-Submersible PMSM
[NO] 237/1000 | An Intelligent Home Interior Design Suggestion System Using Deep Learning
[NO] 238/1000 | Detection of the Upper Surface Pose of Yarn Cones for Robot Gripping
[NO] 239/1000 | Section-Weighted Hybrid Approach for Legal Case Retrieval
[NO] 240/1000 | Best First Search based Control of Residential Appliance Load Demand
[NO] 241/1000 | Mitigating Context Loss in Legal RAG: A Metadata-Aware Chunking Strategy for Hierarchical Indian Statutes
[NO] 242/1000 | EnViD: A Predictive Vision Framework with Temporal Contrast for Efficient and Robust Video Analysis in Dynamic Visual Fields
[NO] 243/1000 | Personal Healthcare Assistant Using AI
[NO] 244/1000 | FPGA Realization of an Operand-Aware Dual-Mode Hybrid Arithmetic Unit for 64-Bit Embedded Systems
[NO] 245/1000 | Mechatronics-AI Collaboration: A Flexible Automated Testing Framework for Smart Home Devices Based on Multimodal Large Language Models
[NO] 246/1000 | An Explainable ML Framework for Predicting Booking Cancellations in the Hospitality Sector
[NO] 247/1000 | Light Weight MAMBA Based Deepfake Detection Model
[NO] 248/1000 | Vehicle Speed Estimation and Classification Using a Low-Cost Continuous-Wave Doppler Radar
[NO] 249/1000 | Comparison of Multi-Modal Sentiment and Behavior Analysis of Chat Applications Using Text and Emoji-Based Features
[NO] 250/1000 | A Geo-enabled Employment Platform for Connecting Rural Workforce to Rural Employers
[NO] 251/1000 | Data-Driven Predictive Maintenance Using Fuzzy Clustering Approaches for Oil Temperature Forecasting in 8E Electrical Locomotives
[NO] 252/1000 | Unified AI-Driven Multimodel Framework for Real-Time Lecture Understanding and Study Support
[NO] 253/1000 | IoT enabled Smart Classroom Management System using Raspberry Pi
[NO] 254/1000 | Toward Robust Autonomous Driving in Rural and Off-Road Environments: A Perception Based Approach
[NO] 255/1000 | AI-Enabled Voice Replication for Scalable and Personalized Education
[NO] 256/1000 | A Comprehensive Review on Applications for Emotion AI and Affective Computing Across Various Fields
[NO] 257/1000 | A Toxicological Assessment of Solar Panels Via a Soil Microbiome Analysis Across the Northeast US
[NO] 258/1000 | Evaluating Logical Reasoning Ability of Large Language Models
[NO] 259/1000 | Transformer-Enhanced ShuffleLinkNet with Adaptive Feature Fusion for Cyber-Attack Detection in Big Data Environments
[NO] 260/1000 | Emotion Detection from Text Using TF-IDF and Logistic Regression: A Hybrid NLP Framework with Real-Time Deployment
[NO] 261/1000 | Contact-Length Scaling and Carrier Injection in ML MoS
                    <sub>2</sub>
                    FETs with Hybrid Sb S/D Contacts
[NO] 262/1000 | Hybrid Transformer-Statistical Framework for Explainable Anomaly Detection in Time-Series Data: Enhancing Operational Monitoring and Security
[NO] 263/1000 | Design and Performance Analysis of an Axial-Flux Permanent Magnet Motor Based on Halbach Array
[NO] 264/1000 | A Compact 3T1F FeRAM Compute Cell for In-Memory MAC Using Partial Polarization Switching
[NO] 265/1000 | Optimization and Simulation of a Broadband Vibration Energy Harvester for Self-Powered Transmission Line Applications
[NO] 266/1000 | An Intelligent ML-Based Decision Support System for Waste Trade and Recycling
[NO] 267/1000 | Deep Learning-Based Sign Language Classification with IoT-Enabled Emergency Alert Support
[NO] 268/1000 | eBeeMetrics: An eBPF-based Library Framework for Feedback-free Observability of QoS Metrics
[NO] 269/1000 | A Survey on Multilingual Fact-Checking
[NO] 270/1000 | VisionLearn: An Intelligent Educational Platform for Touchless Interaction
[NO] 271/1000 | Heart Disease Prediction with Personalized Diet and Exercise Recommendation using Machine Learning
[NO] 272/1000 | Climate-Driven Disease Dynamics: A Scoping Review of Machine Learning Applications in Predicting Vector-Borne, Tick-Borne, Airborne, and Waterborne Diseases
[NO] 273/1000 | Comprehensive Evaluation of Techniques for Autism Spectrum Disorder Detection: A Deep Analysis
[NO] 274/1000 | Machine Learning-Based Analysis of Lithium-Ion Battery Ageing in Electric Vehicles Under Dynamic Conditions
[NO] 275/1000 | Study on Classroom Temperature Distribution in Hybrid Cooling System at Different Air Conditioner Setpoints
[NO] 276/1000 | End-to-End Warehouse Automation: A System-Level Review of Robotics, Order Fulfillment, and Intelligent Software System
[NO] 277/1000 | SEE Evaluation of a Serverless Computing Architecture Under 14-MeV Neutrons
[NO] 278/1000 | Self-Supervised Representation Learning for Data-Efficient Crop Yield Estimation from Multi-Temporal Remote Sensing Data
[NO] 279/1000 | Leaf-Based Health Assessment using CNN for NPK Deficiency Detection and IoT for Soil Analysis
[NO] 280/1000 | Fail-Operational Architecture for ADAS-Integrated Lighting ECUs: Achieving ASIL-B with Triple Modular Redundancy
[NO] 281/1000 | Exploring the Effectiveness of ViT_B16 for Early Breast Cancer Diagnosis in Mammogram Mastery
[NO] 282/1000 | Multi-source Fusion Positioning Revisited by Drawing on Human Thinking Process
[NO] 283/1000 | RGB-D and Wrist-Mounted IMU Sensor Integration for a Robust Human‒Robot Handover System in Surgical Environments
[NO] 284/1000 | Interpretable Plant Leaf Recognition: Calibration and Domain Shift Analysis With Occlusion Sensitivity and Grad-Cam
[NO] 285/1000 | Estimating Rotation in $\mathbb{S O}(3)$ by Torus on $\mathbb{S}^{3}$
[NO] 286/1000 | SCENIC: Scene-Aware Semantic Navigation with Instruction-Guided Control
[NO] 287/1000 | Multi-Module Cooperative Triggering Strategy for Pulse Power Supply Based on Online Prediction
[NO] 288/1000 | Large-Scale and High-Sensitivity Quasi-Distributed Vibration Sensing Based on Time-Division Multiplexed Dual CFBGs
[NO] 289/1000 | Variable Step-Size General Bias-Compensated M-estimate Adaptive Filtering for Robust DOA Estimation
[NO] 290/1000 | Modeling of a Vibration Isolation System for Precision Manufacturing
[NO] 291/1000 | Design of an Iot-Based Smart Water Quality Monitoring System with Artificial Intelligence
[NO] 292/1000 | NeuSEditor: From Multi-View Images to Text-Guided Neural Surface Edits
[NO] 293/1000 | Synthesis and Characterization of Ni-Doped $\text{SnO}_{2}$ Nanoparticles Prepared by Sol-Gel Method for Photocatalytic Treatment of Textile Wastewater
[NO] 294/1000 | SafeBirth AI: Tuned Explainable Ensembles for Maternal and Fetal Health Classification
[NO] 295/1000 | FASTMESH: Efficient Artistic Mesh Generation Via Component Decoupling
[NO] 296/1000 | Hybrid Transfer Learning with Dual-Stage Metaheuristic Optimization: A Comparative Study on Regional Energy Forecasting
[NO] 297/1000 | Towards High-Performance Tandem Silicon Perovskite Photovoltaic Cell: OghmaNano Simulation
[NO] 298/1000 | Automatic Stress Detection From Code-Mixed Tamil-English Social Media Posts Using Deep Learning Models
[NO] 299/1000 | Rank-Based Ensemble Learning for Early Detection of Mental Health Disorders in Private University Students
[NO] 300/1000 | Front Cover
[NO] 301/1000 | Structure-Aware Mask and Detail-Augmented Transformer Network for Remote Hyperspectral Image Classification
[NO] 302/1000 | High-Isolation Free-Space Optical Circulator for High-Capacity Bidirectional Satellite Links
[NO] 303/1000 | 5GLoc: Graph-Based Learning for Robust 5G Indoor Localization under Dynamic Anchor Visibility
[NO] 304/1000 | Koopman Operator based Integral Reinforcement Learning for
                    <i>H</i>
                    <sub>∞</sub>
                    Tracking Control of Nonlinear Systems
[NO] 305/1000 | Virtually Supervised Depth-Aware Registration for Monocular Endoscopic Navigation
[NO] 306/1000 | An Analytical Framework for Integrating Artificial Intelligence Into Cybersecurity Decision-Making
[NO] 307/1000 | State of Charge Estimation for Electric Vehicle Batteries Using Temporal Convolutional Networks
[NO] 308/1000 | DefectSynth: Few-Shot Defective Image Generation by Modeling Shape and Appearance
[NO] 309/1000 | Cinematic Memories: EEG-Based Decoding of Recall Using Naturalistic Stimuli
[NO] 310/1000 | Edge AI with on-Device Learning Capabilities for Precision Agriculture
[NO] 311/1000 | LaMP: Learning Robust Latent Motion Prior for Optimization-Based Human Motion Generation
[NO] 312/1000 | Consumer Electronics in Healthcare and Medicine: a report from the EMBS Young Professional Roundtable
