[2025-12-23 09:14:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-22
正在获取论文...
[arXiv] 2025-12-22 | Fourier dimension of imaginary Gaussian multiplicative chaos
[NO] 286/1768 | Randomized time stepping of nonlinearly parametrized solutions of evolution problems
[NO] 287/1768 | The 6th International Verification of Neural Networks Competition (VNN-COMP 2025): Summary and Results
[NO] 288/1768 | Evaluating the Challenges of LLMs in Real-world Medical Follow-up: A Comparative Study and An Optimized Framework
[NO] 289/1768 | Global well-posedness for the generalized intermediate NLS with a nonvanishing condition at infinity
[NO] 290/1768 | Stoichiometry-Controlled Structural Order and Tunable Antiferromagnetism in $\mathrm{Fe}_{x}\mathrm{NbSe_2}$ ($0.05 \le x \le 0.38$)
[NO] 291/1768 | Hybrid Stochastic Functional Differential Equations with Infinite Delay: Approximations and Numerics
[NO] 292/1768 | R-GenIMA: Integrating Neuroimaging and Genetics with Interpretable Multimodal AI for Alzheimer's Disease Progression
[NO] 293/1768 | On-Orbit Servicing-Integrated Maintenance Strategy for Satellite Constellation
[NO] 294/1768 | Bi-Level Optimal Control Framework For Missed-Thrust-Design With First-Order Bounds On Maximum Missed-Thrust-Duration
[NO] 295/1768 | OPBO: Order-Preserving Bayesian Optimization
[NO] 296/1768 | Outlier detection in mixed-attribute data: a semi-supervised approach with fuzzy approximations and relative entropy
[NO] 297/1768 | Scalar-Mediated Inelastic Dark Matter as a Solution to Small-Scale Structure Anomalies
[NO] 298/1768 | Scaling Online Distributionally Robust Reinforcement Learning: Sample-Efficient Guarantees with General Function Approximation
[NO] 299/1768 | Learning Through Little Eyes: Attribute Discrimination Beyond Objects
[NO] 300/1768 | A Mathematical Framework for Misinformation Propagation in Complex Networks: Topology-Dependent Distortion and Control
[NO] 301/1768 | Dynamically close galaxy pairs from the unWISE survey: Testing the merger-AGN-star formation connection
[NO] 302/1768 | The stability of log-supermodularity under convolution
[NO] 303/1768 | Kinetic theory of pattern formation in a generalized multi-species Vicsek model
[NO] 304/1768 | Newton's method in adaptive iteratively linearized FEM
[NO] 305/1768 | An analogue of Rognes' connectivity conjecture for free groups
[NO] 306/1768 | The EU Quantum Flagship's Key Performance Indicators for Quantum Computing
[NO] 307/1768 | Clifford Volume and Free Fermion Volume: Complementary Scalable Benchmarks for Quantum Computers
[NO] 308/1768 | Quantum and classical algorithms for daily railway rolling stock circulation plans
[NO] 309/1768 | A Framework for Deploying Learning-based Quadruped Loco-Manipulation
[NO] 310/1768 | Weak Lensing Mass Calibration of the ACT DR5 Galaxy Clusters with the DES Year 3 Weak Lensing Data
[NO] 311/1768 | Scalably Enhancing the Clinical Validity of a Task Benchmark with Physician Oversight
[NO] 312/1768 | Supersymmetric Holomorphic Masses in AdS/CFT with Flavour
[NO] 313/1768 | Pushing the Frontier of Audiovisual Perception with Large-Scale Multimodal Correspondence Learning
[NO] 314/1768 | Visual-Aware CoT: Achieving High-Fidelity Visual Consistency in Unified Models
[NO] 315/1768 | Detecting Coordinated Activities Through Temporal, Multiplex, and Collaborative Analysis
[NO] 316/1768 | Kitaev interactions of the spin-orbit coupled magnet UO2
[NO] 317/1768 | One-Loop Renormalization of Anisotropic Two-Scalar Quantum Field Theories
[NO] 318/1768 | Pivotal Module Categories, Factorization Homology and Modular Invariant Modified Traces
[NO] 319/1768 | Are Primordial Black Holes Truly Fine-Tuned?
[NO] 320/1768 | Beyond CLIP: Knowledge-Enhanced Multimodal Transformers for Cross-Modal Alignment in Diabetic Retinopathy Diagnosis
[NO] 321/1768 | A High-Resolution NUV Transmission Spectrum of KELT-9b: Mg II and Fe II Escaping from the Hottest Known Giant Planet
[NO] 322/1768 | Clustering with Label Consistency
[NO] 323/1768 | A Composite Theory of Higgs and Flavour
[YES] 324/1768 | More code, less validation: Risk factors for over-reliance on AI coding tools among scientists
[NO] 325/1768 | Generative diffusion models for agricultural AI: plant image generation, indoor-to-outdoor translation, and expert preference alignment
[NO] 326/1768 | Quantization of Random Homogeneous Self-Similar Measures
[NO] 327/1768 | Energy bounds and ergoregion instability in Einstein-Maxwell-Scalar field models
[NO] 328/1768 | Quark-mass effects in gradient-flow observables through next-to-next-to-leading order in QCD
[NO] 329/1768 | MapTrace: Scalable Data Generation for Route Tracing on Maps
[NO] 330/1768 | Nonequilibrium quantum thermometry with noncommutative system-bath couplings
[NO] 331/1768 | The Lorentzian Calderón problem on vector bundles
[NO] 332/1768 | Chromatic Polynomial Evaluation Spectra
[NO] 333/1768 | Possibilistic Inferential Models for Post-Selection Inference in High-Dimensional Linear Regression
[YES] 334/1768 | Increasing the Thinking Budget is Not All You Need
[NO] 335/1768 | Non-local-in-time structure formation and sixth-order galaxy bias
[NO] 336/1768 | Deep Learning for Primordial $B$-mode Extraction
[NO] 337/1768 | Owning the Intelligence: Global AI Patents Landscape and Europe's Quest for Technological Sovereignty
[NO] 338/1768 | Do low-redshift observations open the doors to an open universe?
[NO] 339/1768 | On Network-Aware Semantic Communication and Edge-Cloud Collaborative Intelligence Systems
[NO] 340/1768 | CARE What Fails: Contrastive Anchored-REflection for Verifiable Multimodal
[NO] 341/1768 | ActAvatar: Temporally-Aware Precise Action Control for Talking Avatars
[NO] 342/1768 | Algerian Dialect
[NO] 343/1768 | On the basic sequence structure of variable exponent Lebesgue spaces
[NO] 344/1768 | Probability Conservation, Liouville Measure, and the Symplectic Origin of Hamiltonian Dynamics
[NO] 345/1768 | A perturbed preconditioned gradient descent method for the unconstrained minimization of composite objectives
[NO] 346/1768 | Computational Design of Metal-Free Porphyrin Dyes for Sustainable Dye-Sensitized Solar Cells Informing Energy Informatics and Decision Support
[NO] 347/1768 | Deep Learning for Unrelated-Machines Scheduling: Handling Variable Dimensions
[NO] 348/1768 | Spiking and Resetting
[NO] 349/1768 | Spin Response of a Magnetic Monopole and Quantum Hall Response in Topological Lattice Models through Local Invariants and Light
[NO] 350/1768 | Six-loop gravitational interactions at the sixth post-Newtonian order
[NO] 351/1768 | Time-domain anode-decoupling co-design for a floating MCP TOF-MS readout
[NO] 352/1768 | Fare Zone Assignment
[NO] 353/1768 | Predicting coronal mass ejection travel times using enhanced model-guided machine learning
[YES] 354/1768 | A Dataset and Preliminary Study of Using GPT-5 for Code-change Impact Analysis
[NO] 355/1768 | Quantum critical theories in a periodic potential: strange metallic thermoelectric and magneto-transport
[NO] 356/1768 | GLUE: Generative Latent Unification of Expertise-Informed Engineering Models
[NO] 357/1768 | Ferro-hydrodynamics of droplet necking filaments
[NO] 358/1768 | D2Pruner: Debiased Importance and Structural Diversity for MLLM Token Pruning
[NO] 359/1768 | Binary Kernel Logistic Regression: a sparsity-inducing formulation and a convergent decomposition training algorithm
[NO] 360/1768 | An Inverse Scattering Inspired Fourier Neural Operator for Time-Dependent PDE Learning
[NO] 361/1768 | A Computationally Efficient Framework for Overlapping Community Detection in Large Bipartite Graphs
[NO] 362/1768 | Arithmetic Bohr radius and Local Banach space theory
[NO] 363/1768 | Brain-Grounded Axes for Reading and Steering LLM States
[NO] 364/1768 | Holographic correlators from multi-mode AdS$_5$ bubbling geometries
[NO] 365/1768 | A Critical Assessment of Pattern Comparisons Between POD and Autoencoders in Intraventricular Flows
[NO] 366/1768 | A deterministic approach for integrating an emitter in a nanocavity with subwavelength light confinement
[NO] 367/1768 | Reentrant Localization in Quasiperiodic Thue-Morse Chain
[NO] 368/1768 | Learning General Policies with Policy Gradient Methods
[NO] 369/1768 | Left invariant complex Finsler metrics on a complex Lie group
[NO] 370/1768 | PENDULUM: A Benchmark for Assessing Sycophancy in Multimodal Large Language Models
[NO] 371/1768 | Generation of near GeV protons by tightly focused laser interacting with down-ramp density plasma
[NO] 372/1768 | A hybrid-Hill estimator enabled by heavy-tailed block maxima
[NO] 373/1768 | Real-time propagators resummed with nontrivial boundary wavefunctions in a constant electric field
[NO] 374/1768 | Orthogonal Approximate Message Passing with Optimal Spectral Initializations for Rectangular Spiked Matrix Models
[NO] 375/1768 | A Logical View of GNN-Style Computation and the Role of Activation Functions
[NO] 376/1768 | Stochastic assignment games for Mobility-as-a-Service markets
[NO] 377/1768 | A New Approach to Defining Cochain Complexes for dual Leibniz algebra
[NO] 378/1768 | Quantum Altermagnetic Instability in Disordered Metals
[NO] 379/1768 | Optical Follow-Up Strategies for the Next Neutrino-Detected Galactic Core-Collapse Supernova
[NO] 380/1768 | Comparison and Evaluation of Different Simulation Environments for Rigid Body Systems
[NO] 381/1768 | Locally constrained inverse curvature flow and Alexandrov-Fenchel type inequalities in de Sitter space
[NO] 382/1768 | Hand-Aware Egocentric Motion Reconstruction with Sequence-Level Context
[NO] 383/1768 | Active diffusing crystals in a 2D non-equilibrium system
[NO] 384/1768 | Sonified Quantum Seizures. Sonification of time series in epileptic seizures and simulation of seizures via quantum modelling
[NO] 385/1768 | Are All Data Necessary? Efficient Data Pruning for Large-scale Autonomous Driving Dataset via Trajectory Entropy Maximization
[NO] 386/1768 | Observations of the 21 cm HI Line from the Milky Way galaxy using Pyramidal Horn Radio Telescope
[NO] 387/1768 | A classification of four-tuples of spinors of a ten dimensional space
[NO] 388/1768 | The number of rooted spanning forests of bicirculant graphs
[YES] 389/1768 | Small Language Models as Compiler Experts: Auto-Parallelization for Heterogeneous Systems
[NO] 390/1768 | Towards DM-free search for Fast Radio Bursts with Machine Learning -- I. An implementation on multibeam data
[NO] 391/1768 | A Reverse Reachable Set Based Approach for Motif Oriented Profit maximization in Social Networks
[NO] 392/1768 | DeliveryBench: Can Agents Earn Profit in Real World?
[NO] 393/1768 | 3-path-connectivity of Cayley graphs generated by wheel graphs
[NO] 394/1768 | Towards Minimal Fine-Tuning of VLMs
[NO] 395/1768 | Static plane symmetric solutions in $f(Q)$ gravity
[NO] 396/1768 | Highly efficient multi-chromatic Raman microlasers from cavity polygon modes on thin-film lithium niobate platform
[NO] 397/1768 | Modular Landfill Remediation for AI Grid Resilience
[NO] 398/1768 | Parallelization of Welded Links
[NO] 399/1768 | Activations as Features: Probing LLMs for Generalizable Essay Scoring Representations
[NO] 400/1768 | Confining nonlinear electrodynamics black holes: from thermodynamic phases to high-frequency phenomena with accretion process
[NO] 401/1768 | A Gauss-Newton-Induced Structure-Exploiting Algorithm for Differentiable Optimal Control
[NO] 402/1768 | The IXPE and multifrequency polarimetric view of the extreme blazars 1ES 1101-232 and RGB J0710+591
[NO] 403/1768 | PEDESTRIAN: An Egocentric Vision Dataset for Obstacle Detection on Pavements
[NO] 404/1768 | Deformation and Stress Evolution during Laser Powder Bed Fusion of Semi-Crystalline Polyamide-12
[NO] 405/1768 | Towards a collaborative digital platform for railway infrastructure projects
[NO] 406/1768 | Optical design and characterization of a multi-depth vision simulator
[NO] 407/1768 | Investigations on heavy quarkonium hybrid mesons with exotic quantum numbers $J^{PC}=2^{+-}$
[NO] 408/1768 | Kirwan polytopes in the real setting
[NO] 409/1768 | AMap: Distilling Future Priors for Ahead-Aware Online HD Map Construction
[NO] 410/1768 | A Smoluchowski equation for a sheared suspension of frictionally interacting rods
[NO] 411/1768 | Assessing the impact of the electron ion collider in China on Deeply Virtual Compton Scattering
[NO] 412/1768 | Height and Energy Evolution of X-ray Double Sources in a Solar Flare
[NO] 413/1768 | Quiver braid group action for a 3-fold crepant resolution
[NO] 414/1768 | Minimizing movements for quasilinear Keller--Segel systems with nonlinear mobility in weighted Wasserstein metrics
[NO] 415/1768 | Evidential Trust-Aware Model Personalization in Decentralized Federated Learning for Wearable IoT
[NO] 416/1768 | ShadowBlock: Efficient Dynamic Anonymous Blocklisting and Its Cross-chain Application
[NO] 417/1768 | On the logarithmic Love number of black holes beyond general relativity
[NO] 418/1768 | The Simons Observatory: Detector Polarization Angle Calibration using Sparse Wire Grid with Initial Data Sets of the Small Aperture Telescope
[NO] 419/1768 | Dual Model Deep Learning for Alzheimer Prognostication
[NO] 420/1768 | Mamba-Based Modality Disentanglement Network for Multi-Contrast MRI Reconstruction
[NO] 421/1768 | A Large Language Model Based Method for Complex Logical Reasoning over Knowledge Graphs
[NO] 422/1768 | JoyVoice: Long-Context Conditioning for Anthropomorphic Multi-Speaker Conversational Synthesis
[NO] 423/1768 | Retrieving Objects from 3D Scenes with Box-Guided Open-Vocabulary Instance Segmentation
[NO] 424/1768 | Spin density matrix of baryon-antibaryon pairs in electron-positron annihilation with $P$ and $CP$ violation including electron mass
[NO] 425/1768 | Chromatic numbers for contact graphs of congruent cuboids
[NO] 426/1768 | Watch Closely: Mitigating Object Hallucinations in Large Vision-Language Models with Disentangled Decoding
[YES] 427/1768 | Can abstract concepts from LLM improve SLM performance?
[NO] 428/1768 | On the complexity of computing Strahler numbers
[NO] 429/1768 | On the Diversity of Pulsar's Frequency-Dependent Circular Polarization
[NO] 430/1768 | The energy-speed relationship of quantum particles challenges Bohmian mechanics?
[NO] 431/1768 | WaTeRFlow: Watermark Temporal Robustness via Flow Consistency
[NO] 432/1768 | Brion atoms for classical types
[NO] 433/1768 | Interfacial Polarons Driven by Charge Transfer In WSe2/Cuprate Superconductor Systems
[NO] 434/1768 | Automatic Neuronal Activity Segmentation in Fast Four Dimensional Spatio-Temporal Fluorescence Imaging using Bayesian Approach
[NO] 435/1768 | Backward Growth Accounting: An Economic Tool for Strategic Planning of Business Growth
[NO] 436/1768 | Optimizer Dynamics at the Edge of Stability with Differential Privacy
[NO] 437/1768 | Enhanced superconducting diode effect in hybrid Josephson junctions
[NO] 438/1768 | Context-Aware Initialization for Reducing Generative Path Length in Diffusion Language Models
[NO] 439/1768 | Towards AI-Guided Open-World Ecological Taxonomic Classification
[NO] 440/1768 | Considering the Difference in Utility Functions of Team Players in Adversarial Team Games
[NO] 441/1768 | DTCCL: Disengagement-Triggered Contrastive Continual Learning for Autonomous Bus Planners
[NO] 442/1768 | Affordance RAG: Hierarchical Multimodal Retrieval with Affordance-Aware Embodied Memory for Mobile Manipulation
[NO] 443/1768 | Quantized Frequency-locking and Extreme Transitions in a Ring of Phase Oscillators with Three-Body Interactions
[NO] 444/1768 | Reimagining Wireless Connectivity: The FAS-RIS Synergy for 6G Smart Cities
[NO] 445/1768 | An Fluid Antenna Array-Enabled DOA Estimation Method: End-Fire Effect Suppression
[NO] 446/1768 | Self-Attention with State-Object Weighted Combination for Compositional Zero Shot Learning
[NO] 447/1768 | Enhancing Fully Formatted End-to-End Speech Recognition with Knowledge Distillation via Multi-Codebook Vector Quantization
[NO] 448/1768 | Scrum Sprint Planning: LLM-based and algorithmic solutions
[NO] 449/1768 | Lag Operator SSMs: A Geometric Framework for Structured State Space Modeling
[NO] 450/1768 | Replica thermodynamic trade-off relations: Entropic bounds on network diffusion and trajectory observables
[NO] 451/1768 | Correlation functions of harmonic lattices in d-dimensional space
[NO] 452/1768 | Symmetrization of 3D Generative Models
[YES] 453/1768 | Learning Hierarchical Procedural Memory for LLM Agents through Bayesian Selection and Contrastive Refinement
[NO] 454/1768 | Boundary Criticality at the Nishimori Multicritical Point
[NO] 455/1768 | On Factoring and Power Divisor Problems via Rank-3 Lattices and the Second Vector
[NO] 456/1768 | Classical and Quantum Algorithms for Topological Invariants of Torus Bundles
[NO] 457/1768 | A fast, large-scale optimal transport algorithm for holographic beam shaping
[NO] 458/1768 | Deep Hα survey of the Coma cluster: The Catalog
[NO] 459/1768 | Wage-Setting Constraints and Firm Responses to Demand Shocks
[NO] 460/1768 | Fair Team Contracts
[NO] 461/1768 | Direct Fabrication of a Superconducting Two-Dimensional Electron Gas on KTaO3(111) via Mg-Induced Surface Reduction
[NO] 462/1768 | Fake Mobius-type Functions on the Unit Circle
[NO] 463/1768 | Visualizing and Optimizing Phase Matching in Nonlinear Guided-mode Resonators with the Green's Function Integral Method
[NO] 464/1768 | Ionizing Photon Production Efficiencies and Chemical Abundances at Cosmic Dawn Revealed by Ultra-Deep Rest-Frame Optical Spectroscopy of JADES-GS-z14-0
[NO] 465/1768 | Linear response beyond hydrodynamic poles
[YES] 466/1768 | GenEnv: Difficulty-Aligned Co-Evolution Between LLM Agents and Environment Simulators
[YES] 467/1768 | Bottom-up Policy Optimization: Your Language Model Policy Secretly Contains Internal Policies
[NO] 468/1768 | Critical percolation on the discrete torus in high dimensions
[NO] 469/1768 | CORE: Compensable Reward as a Catalyst for Improving Offline RL in Wireless Networks
[NO] 470/1768 | Picosecond laser test unit for photosensor characterization at ambient and low temperatures
[NO] 471/1768 | Quantum upper triangular matrix algebras
[NO] 472/1768 | Over++: Generative Video Compositing for Layer Interaction Effects
[NO] 473/1768 | Exploring Zero-Shot ACSA with Unified Meaning Representation in Chain-of-Thought Prompting
[NO] 474/1768 | Deep Legendre Transform
[NO] 475/1768 | Quantum Imaging of Birefringent Samples using Hong-Ou-Mandel Interference
[NO] 476/1768 | Heavy neutral bosons and dark matter in the 3-3-1 model with axionlike particle
[NO] 477/1768 | Diacritic Restoration for Low-Resource Indigenous Languages: Case Study with Bribri and Cook Islands Māori
[NO] 478/1768 | LoGoPlanner: Localization Grounded Navigation Policy with Metric-aware Visual Geometry
[NO] 479/1768 | Heston vol-of-vol and the VVIX
[NO] 480/1768 | Tensor products of Lie nilpotent associative algebras and applications to codimension sequences
[NO] 481/1768 | Probing Dark Sectors with Exploding Black Holes: Gamma Rays
[NO] 482/1768 | Topological Flux on a Context Manifold Generates Nonreciprocal Collective Dynamics
[NO] 483/1768 | Boson Stars in Bumblebee Gravity and Their Gravitational Waveforms from Extreme-Mass-Ratio Inspirals
[NO] 484/1768 | LeLaR: The First In-Orbit Demonstration of an AI-Based Satellite Attitude Controller
[NO] 485/1768 | Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems
[NO] 486/1768 | Results of the 2024 CommonRoad Motion Planning Competition for Autonomous Vehicles
[NO] 487/1768 | A Spin-Photon Interface in the Telecom C-Band with Long Hole Spin Dephasing Time
[NO] 488/1768 | BabyFlow: 3D modeling of realistic and expressive infant faces
[NO] 489/1768 | Schr{ö}dinger maps to a K{ä}hler manifold in two dimensions
[NO] 490/1768 | Augmenting Intelligence: A Hybrid Framework for Scalable and Stable Explanations
[NO] 491/1768 | Structure Functions for small DIS $x$
[NO] 492/1768 | DFORD: Directional Feedback based Online Ordinal Regression Learning
[NO] 493/1768 | Shock-induced magnetic reconnection driving Ellerman bomb emission and a spicule
[NO] 494/1768 | $W$- and Dicke-state engineering using optimal global control in nearest-neighbor coupled ring-shaped qubit arrays
[NO] 495/1768 | Primordial axisymmetric compact objects in General Relativity
[NO] 496/1768 | Event Extraction in Large Language Model
[NO] 497/1768 | CASA: Cross-Attention via Self-Attention for Efficient Vision-Language Fusion
[NO] 498/1768 | SlicerOrbitSurgerySim: An Open-Source Platform for Virtual Registration and Quantitative Comparison of Preformed Orbital Plates
[NO] 499/1768 | QuantiPhy: A Quantitative Benchmark Evaluating Physical Reasoning Abilities of Vision-Language Models
[NO] 500/1768 | Initialization of a Polyharmonic Cascade, Launch and Testing
[NO] 501/1768 | A Convolutional Neural Deferred Shader for Physics Based Rendering
[NO] 502/1768 | Near-optimal streaming approximation for Max-DICUT in sublinear space using two passes
[NO] 503/1768 | Compressive Strain Turns $s^{\pm}$ into $d$-Wave Pairing in One-unit-cell La$_3$Ni$_2$O$_7$ Thin Film Via Substrate-Induced Hole Doping
[NO] 504/1768 | The tidal gap: causality bound on exotic compact objects with applications in the solar and sub-solar mass range
[NO] 505/1768 | FusionNet: Physics-Aware Representation Learning for Multi-Spectral and Thermal Data via Trainable Signal-Processing Priors
[NO] 506/1768 | Computing multiple solutions from knowledge of the critical set
[NO] 507/1768 | $\text{Spin}^h$ Structure, Scalar and Charged Spinor Eigenfunctions on the $SU(3)/SO(3)$ Wu Manifold
[NO] 508/1768 | Kolmogorov-Arnold Graph Neural Networks Applied to Inorganic Nanomaterials Dataset
[NO] 509/1768 | Enabling Evolutionary Therapy in Metastatic Cancer Lacking Serum Biomarkers
[NO] 510/1768 | Quenching the Non-Collinear Spin Order in High-Tc Layered Ferromagnet Fe5GeTe2
[NO] 511/1768 | Exact Recourse Functions for Aggregations of EVs Operating in Imbalance Markets
[NO] 512/1768 | Multi-Layer Confidence Scoring for Detection of Out-of-Distribution Samples, Adversarial Attacks, and In-Distribution Misclassifications
[NO] 513/1768 | Double Resonance Strategy for Interferometric Detection of Axions
[NO] 514/1768 | Gap-free Information Transfer in 4D-STEM via Fusion of Complementary Scattering Channels
[NO] 515/1768 | An Agentic Framework for Autonomous Materials Computation
[NO] 516/1768 | MaP-AVR: A Meta-Action Planner for Agents Leveraging Vision Language Models and Retrieval-Augmented Generation
[NO] 517/1768 | Tuning Separator Chemistry: Improving Zn Anode Compatibility via Functionalized Chitin Nanofibers
[NO] 518/1768 | Enhanced Non-Thermal Line Broadening inside Coronal Cavities above Solar Prominences revealed by Spectral Imaging CoronaGraph
[NO] 519/1768 | Localization Properties of a Disordered Helical Chain
[NO] 520/1768 | Energy Optimization for Time-of-Arrival Based Tracking
[NO] 521/1768 | From Speech to Subtitles: Evaluating ASR Models in Subtitling Italian Television Programs
[NO] 522/1768 | Rapid stabilization of the heat equation with localized disturbance
[NO] 523/1768 | Flexible Framework for Surface Hopping: From Hybrid Schemes for Machine Learning to Benchmarkable Nonadiabatic Dynamics
[NO] 524/1768 | Classical and relativistic balance of configurational forces
[NO] 525/1768 | The Standard Model Prediction for the Rare Decay $B \to X_s ν\bar ν$
[NO] 526/1768 | QuCo-RAG: Quantifying Uncertainty from the Pre-training Corpus for Dynamic Retrieval-Augmented Generation
[NO] 527/1768 | The Kontsevich invariant and the action of the Grothendieck--Teichmüller group on $2$-component string links
[NO] 528/1768 | A Composable Channel-Adaptive Architecture for Seizure Classification
[NO] 529/1768 | Brittle-to-ductile transition and strain relaxation in Si$_{1-x}$Ge$_x$ linearly graded buffers
[NO] 530/1768 | Design, simulation and performance of the resistive-anode PICOSEC Micromegas detector
[NO] 531/1768 | HyperLoad: A Cross-Modality Enhanced Large Language Model-Based Framework for Green Data Center Cooling Load Prediction
[NO] 532/1768 | Explicit and Non-asymptotic Query Complexities of Rank-Based Zeroth-order Algorithm on Stochastic Smooth Functions
[NO] 533/1768 | Tool-Augmented Hybrid Ensemble Reasoning with Distillation for Bilingual Mathematical Problem Solving
[NO] 534/1768 | Auditing Significance, Metric Choice, and Demographic Fairness in Medical AI Challenges
[NO] 535/1768 | Wireless sEMG-IMU Wearable for Real-Time Squat Kinematics and Muscle Activation
[NO] 536/1768 | Renormalization-Group Geometry of Homeostatically Regulated Reentry Networks
[NO] 537/1768 | On Cost-Aware Sequential Hypothesis Testing with Random Costs and Action Cancellation
[NO] 538/1768 | Efficient Personalization of Generative Models via Optimal Experimental Design
[NO] 539/1768 | Enhanced Vascularity in Gelatin Scaffolds via Copper-Doped Magnesium-Calcium Silicates Incorporation: In-Vitro and Ex-Ovo Insights
[NO] 540/1768 | Gate-imprinted memory and light-induced erasure of superconductivity at KTaO_3-based interfaces
[NO] 541/1768 | The global structure of locally chordal graphs
[NO] 542/1768 | EGM: Efficiently Learning General Motion Tracking Policy for High Dynamic Humanoid Whole-Body Control
[NO] 543/1768 | Distinguishing Visually Similar Actions: Prompt-Guided Semantic Prototype Modulation for Few-Shot Action Recognition
[NO] 544/1768 | Various Vicsek Models with Underlying Network Characteristics
[NO] 545/1768 | Steering Vision-Language Pre-trained Models for Incremental Face Presentation Attack Detection
[NO] 546/1768 | VLNVerse: A Benchmark for Vision-Language Navigation with Versatile, Embodied, Realistic Simulation and Evaluation
[NO] 547/1768 | The MIMO-ME-MS Channel: Analysis and Algorithm for Secure MIMO Integrated Sensing and Communications
[NO] 548/1768 | PalpAid: Multimodal Pneumatic Tactile Sensor for Tissue Palpation
[NO] 549/1768 | Quantum-Resistant Cryptographic Models for Next-Gen Cybersecurity
[NO] 550/1768 | DeepQuantum: A PyTorch-based Software Platform for Quantum Machine Learning and Photonic Quantum Computing
[NO] 551/1768 | ICP-4D: Bridging Iterative Closest Point and LiDAR Panoptic Segmentation
[NO] 552/1768 | Research on Novelty Measurement Indicator of Academic Papers Based on the Atypical Recombination of Knowledge
[NO] 553/1768 | Consistency-guided semi-supervised outlier detection in heterogeneous data using fuzzy rough sets
[NO] 554/1768 | Total Curvature Regularization and its_Minimization for Surface and Image Smoothing
[NO] 555/1768 | Searching for Ultralight Dark Matter with M{ö}ssbauer Resonance
[NO] 556/1768 | A Spectral Low-Mode Reduced Method for Elliptic Problems
[NO] 557/1768 | A TraceFEM $C^0$ Interior Penalty Method for the Surface Biharmonic Equation
[NO] 558/1768 | Clustering-based Transfer Learning for Dynamic Multimodal MultiObjective Evolutionary Algorithm
[NO] 559/1768 | Integrating Prioritized and Non-Prioritized Structures in Win Statistics
[NO] 560/1768 | MT-Mark: Rethinking Image Watermarking via Mutual-Teacher Collaboration with Adaptive Feature Modulation
[NO] 561/1768 | MobileWorld: Benchmarking Autonomous Mobile Agents in Agent-User Interactive, and MCP-Augmented Environments
[NO] 562/1768 | Attention Is Not What You Need
[NO] 563/1768 | Measuring the Hall effect in hysteretic materials
[YES] 564/1768 | CodeSimpleQA: Scaling Factuality in Code Large Language Models
[NO] 565/1768 | Hair-thin confocal fluorescence endo-microscopy for deep-brain in-vivo imaging
[NO] 566/1768 | Colloquium: A critique on van der Waals and two-dimensional magnets
[NO] 567/1768 | Non-Contrast CT Esophageal Varices Grading through Clinical Prior-Enhanced Multi-Organ Analysis
[NO] 568/1768 | Research Program: Theory of Learning in Dynamical Systems
[NO] 569/1768 | Shadow of regularized compact objects without a photon sphere
[NO] 570/1768 | On Spectral Properties of Lanzhou Matrix of Graphs
[NO] 571/1768 | Ab initio prediction of strain-tunable spin defects in quasi-1D TiS3 and NbS3 nanowires
[NO] 572/1768 | TwinAligner: Visual-Dynamic Alignment Empowers Physics-aware Real2Sim2Real for Robotic Manipulation
[NO] 573/1768 | Superconductivity in Electron Liquids: Precision Many-Body Treatment of Coulomb Interaction
[NO] 574/1768 | DeepGESI: A Non-Intrusive Objective Evaluation Model for Predicting Speech Intelligibility in Hearing-Impaired Listeners
[NO] 575/1768 | Cluster-Based Generalized Additive Models Informed by Random Fourier Features
[NO] 576/1768 | Regular Cyclic $(q+1)$-Arcs in $\PG(3,2^m)$: Spectral Rigidity, Descent, and an MDS Criterion
[NO] 577/1768 | Efficient Spike-driven Transformer for High-performance Drone-View Geo-Localization
[NO] 578/1768 | From Points to Coalitions: Hierarchical Contrastive Shapley Values for Prioritizing Data Samples
[NO] 579/1768 | Talking with a ghost: semi-virtual coupled levitated oscillators
[NO] 580/1768 | On the number of maximal independent sets and maximal induced bipartite subgraphs in $K_4$-free graphs
[NO] 581/1768 | De Rham affineness of the Nygaard filtered prismatization in positive characteristic
[NO] 582/1768 | An Almost Flat Spin$^c$ Manifold Bounds
[NO] 583/1768 | Alternative positional encoding functions for neural transformers
[NO] 584/1768 | Learning-Assisted Multi-Operator Variable Neighborhood Search for Urban Cable Routing
[NO] 585/1768 | MAGIC: Achieving Superior Model Merging via Magnitude Calibration
[NO] 586/1768 | SafeMed-R1: Adversarial Reinforcement Learning for Generalizable and Robust Medical Reasoning in Vision-Language Models
[NO] 587/1768 | A pathway to non-perturbative Quantum Affine Gravity
[NO] 588/1768 | On induced subgraphs with degree parity conditions in Paley graphs and Paley tournaments
[NO] 589/1768 | MixFlow Training: Alleviating Exposure Bias with Slowed Interpolation Mixture
[NO] 590/1768 | The Profinite Rigidity of Torsion-Free Lamplighter Groups
[NO] 591/1768 | Stability Analysis of a B-Spline Deep Neural Operator for Nonlinear Systems
[NO] 592/1768 | Holomorphic Deformations of Hyperbolicity Notions on Compact Complex Manifolds
[NO] 593/1768 | Open XOR-magic odd graphs and closed XOR-magic even graphs
[NO] 594/1768 | Is Visual Realism Enough? Evaluating Gait Biometric Fidelity in Generative AI Human Animation
