[2026-05-26 23:10:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-25
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605250000+TO+202605252359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2026-5-25 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization
[IEEE] 2026-5-26 | Scalable Short-Term Solar PV Forecasting Using Hybrid Transformer-ELM Models under Heterogeneous Data Conditions
[IEEE] 2026-5-26 | Leveraging Large Language Models to Predict Long-Term Language Outcomes in Late Talkers
[IEEE] 2026-5-26 | A Table of Contents-Based Novel Architecture for Compute-Aware Retrieval-Augmented Generation
[IEEE] 2026-5-26 | Experimental Benchmarking: CAN and I2C Protocols for EV BMS Communication
[IEEE] 2026-5-26 | Discrete-Time Sliding Mode Control for Constrained Mechatronic Systems via an $r$-Order Difference Observer
[IEEE] 2026-5-26 | Weak Magnetic Detection Method of Steel Wire Rope Based on the Principle of Spatial Magnetic Field Vector Synthesis
[IEEE] 2026-5-26 | A Global Vision-Based Mobile Obstacle Perception and Global Path Optimization Method for Unmanned Vehicles
[IEEE] 2026-5-25 | Interference-resistant Radar Reception with Microwave Photonic Time-frequency Matched Signal Selection and Amplification
[IEEE] 2026-5-25 | Flexible Floating-Gate Optoelectronic Synaptic Transistor for Neuromorphic Visual Processing
[IEEE] 2026-5-25 | Supervised Feature Selection Guided by Granular-Ball Computing: A Two-Stage Geometry-Driven Framework_supp1-3695768.pdf
[IEEE] 2026-5-25 | A High-Precision Dual-Domain Signal Denoising and Lightweight Phase Picking Method for Seismic Edge Devices
[IEEE] 2026-5-25 | Transient Modulation of the Nucleus Accumbens by Transcranial Temporal Interference Stimulation: An fMRI Study in Healthy Adults
[IEEE] 2026-5-25 | Arrayed triaxial force plate system using high-speed line-scan camera and sampling moiré method for jumping spider measurement
[IEEE] 2026-5-25 | Bayesian Learning-Based Spectrum Mapping with UAV Path Dynamic Optimization Under Three-dimensional Unknown Environments
[IEEE] 2026-5-25 | Photovoltaic Power Forecasting Method Based on Similar-Day Clustering and Attention-Based Multi-Scale Transformer
[IEEE] 2026-5-25 | A Method for Short-Term Wind Power Forecasting Based on Multi-Scenario Segmentation and Error Correction
[ACM] 2026-5-26 | Empowering Community-Based Heritage through Gaming: A Developer's Perspective
[ACM] 2026-5-26 | Perceiving the tactile properties of the fabrics using fabric images, fabric videos, and real fabrics
[ACM] 2026-5-26 | Optimal Scheduling Algorithms for LLM Inference: Theory and Practice
[ACM] 2026-5-26 | Information Design for Prosocial Behavior
[ACM] 2026-5-26 | Use of What-if Scenarios to Help Explain Artificial Intelligence Models for Neonatal Health
[ACM] 2026-5-26 | Investigating a synergized game design teaching framework for student engagement and reflective design
[IEEE] 2026-5-26 | Bridging Extreme Data Gaps: SAR-Optical Fusion Guided by Dual-Temporal SAR Differences
[IEEE] 2026-5-26 | An Adaptive and Lightweight Hybrid Beamforming Design for Massive MIMO
[IEEE] 2026-5-26 | Reduced-scale test method for dynamic responses of bundle conductor line following ice-shedding
[IEEE] 2026-5-26 | CleanAll: Efficient Object Collection Route Planning from LiDAR Point Clouds Transmission in Cleaning Scenarios
[IEEE] 2026-5-25 | Collaborative Charging Optimization for Wireless Rechargeable Sensor Networks via Heterogeneous Mobile Chargers
[IEEE] 2026-5-25 | Decentralized Adaptive Delayed Control of Large-Scale Nonlinear Systems with Random Couplings and Biased Measurements
[IEEE] 2026-5-26 | Global Token-Driven Multi-Scale Forecasting with Dual-Attention Fusion for Multivariate Time Series
[IEEE] 2026-5-26 | Inter-class Enhanced Feature Correlation for Adaptive Online Knowledge Distillation
[IEEE] 2026-5-25 | Anti-Interference Coverage Optimization for UWSNs in Time-Varying Underwater Acoustic Environments Based on the DynCov-BiS Algorithm
[IEEE] 2026-5-26 | The Application of Robotics and Automation in Smart Agricultural Manufacturing: Achieving Precision Operations and Maximizing Yield
[IEEE] 2026-5-26 | DetO-RAN: Dual-Timescale Resource Allocation for Flows in Deterministic Open RAN
[IEEE] 2026-5-26 | Three-Dimensional Geometric Information Based Grasping Points Computation and Trajectory Planning for Human-Mimic Robotic Arm
[IEEE] 2026-5-26 | Terahertz Band for High-Altitude Platform Station Communications: Performance Analysis, Potential, and Challenges
[ACM] 2026-5-25 | Reframing Participation: Inclusion and Democracy in Participatory Design
[IEEE] 2026-5-25 | LPGNet: Learnable Prompt-Guided Network for Low-dose Contrast Computed Tomography Angiography Imaging
[IEEE] 2026-5-25 | Green Synthesis of Multiphase Gd/Gd₂O₃ Nanoparticles Using Hazelnut Husk
                    <i>(Corylus colurna)</i>
                    Extract for Biomedical Applications CR-16
[IEEE] 2026-5-25 | Bilayer Stator BLDC Motor With Auxiliary Stator Driven by One Electronic Speed Controller for Torque Ripple and Vibration Reduction
[IEEE] 2026-5-25 | MMFormer: Macro-Micro Transformer for Small-Sample Classification of Mars Hyperspectral Image
[IEEE] 2026-5-25 | A Systolic Random Increment Memory Architecture for Unary Computing
[IEEE] 2026-5-25 | Hierarchical PatchMatch Depth Estimation with Double-Layer MST Propagation for Urban 3D Reconstruction from Satellite Imagery
[IEEE] 2026-5-25 | Biogeographical Trends of Benthic Habitats in Guam from WorldView-2/3 Observations Using Advanced Deep Learning
[IEEE] 2026-5-25 | Distributed Quantum Learning over Near-term Devices: Convergence Analysis and Security Design
[IEEE] 2026-5-25 | Analytical Framework for Power System Strength
[IEEE] 2026-5-25 | Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors
[IEEE] 2026-5-25 | Optimizing Server Allocation for Multi-Tenant GPU Inference with Dynamic Batching: A Queueing Theoretic Approach
[IEEE] 2026-5-25 | Real Mine Data-Driven Multi-Agent Reinforcement Learning for Coordinated Ventilation Fan Operational Scheduling
[IEEE] 2026-5-25 | Dual Time-Scale Framework for Joint Optimization of Service Caching and UAV Trajectory based on Self Attention Deep Reinforcement Learning
[IEEE] 2026-5-25 | PhishLumos: From a Single URL to Campaign-Level Phishing Mitigation
[IEEE] 2026-5-25 | Wheelchair Navigation Assistance via Braille Block Detection with a Single Omnidirectional Camera
[IEEE] 2026-5-25 | Research on the Integration of DCS and Test Data Acquisition System in Nuclear Power Plants
[IEEE] 2026-5-25 | Ambient Wind Impact on Air-Cooling Island Thermal-Flow Characteristics and Resultant Thermal Economy of Adjacent Dual Direct Air-Cooling Units Under Unequal Load
[IEEE] 2026-5-25 | TMR Anti-Interference Method Based on Spatial Filtering for Multiple Unknown Quantities
[IEEE] 2026-5-25 | Optimal Dispatch of AA-CAES Considering State-of-Charge Dependency
[IEEE] 2026-5-25 | A Field Diagnosis and Repair Case of Ultra-High Voltage Converter Transformer High-Temperature Overheating Fault
[IEEE] 2026-5-25 | Carbon Pricing, Green Certificates, and Capacity Compensation: Synergistic Effects on Absorption
[IEEE] 2026-5-25 | Optimization of Low-Carbon Transition Pathways for Power Systems Considering Renewable Energy Output Uncertainty
[IEEE] 2026-5-25 | Expert Representation-Driven LightGBM for Photovoltaic Power Forecasting
[IEEE] 2026-5-25 | Carbon Intensity Sensitivity Analysis Method for Distribution Networks Based on the ABCD Model
[IEEE] 2026-5-25 | Design and Application of a Web-Based Real-Time Management System for Massive Vector Data in Power Grid Engineering Feasibility Study and Design
[ACM] 2026-5-26 | Prediction-Specific Design of Learning-Augmented Algorithms
[ACM] 2026-5-26 | Artificial Intelligence for Software Engineering: From Probable to Provable
[ACM] 2026-5-26 | EdgeNav-QE: QLoRA Quantization and Dynamic Early Exit for LAM-based Navigation on Edge Devices
[ACM] 2026-5-26 | Towards Multi-Behavior Multi-Task Recommendation via Behavior-informed Graph Embedding Learning
[ACM] 2026-5-26 | Exploring Code Analysis: Zero-Shot Insights on Syntax and Semantics with LLMs
[ACM] 2026-5-26 | Horizon: Understanding and Predicting Global Starlink Performance
[ACM] 2026-5-26 | ConDABench: Interactive Evaluation of Language Models for Data Analysis
共写入 1000 条记录，保存到 papers/paper2026-05-25.json。
论文获取成功，文件路径: papers/paper2026-05-25.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization
[NO] 2/1000 | RIHP-Net: Rotation-Invariant Hyperspectral Image Classification Via Harmonic Fiber Pooling and Rotation-Conditioned Spectral Fusion
[NO] 3/1000 | Society Officers
[NO] 4/1000 | Real-Time Streamable Generative Speech Restoration with Flow Matching_supp1-3696215.pdf
[NO] 5/1000 | Study on Structural and Magnetic Properties of Cobalt Substituted Permalloy Amorphous Nanocrystalline Ribbons
[NO] 6/1000 | Moment-Reenacting: Inverse Motion Degradation With Cross-Shutter Guidance
[NO] 7/1000 | Reactive and Decoupled Control of Mobile Manipulators via Spatially Modulated Velocity Fields
[NO] 8/1000 | VAPE-Net: An Extrinsic-Pose-Agnostic Viewpoint-Aware Progressive Enhancement Framework for Pure-Visual Vehicle-Infrastructure Cooperative Perception
[NO] 9/1000 | A Time-Space Fusion Early Diagnostic Framework for PEM Fuel Cell Faults with Deep Learning
[NO] 10/1000 | Gait adaptation to asymmetric foot-ground compliance applied by robotic footwear
[NO] 11/1000 | Momentum Gradient Descent with Kinematic Prediction-based Initialization for High-Accuracy Star Sensor Attitude Estimation
[NO] 12/1000 | Field-agnostic Beam Focusing and Tracking for ISAC
[NO] 13/1000 | Curvilinear Particle-in-Cell Simulations of Plasma Sheath Effects on Impedance of VLF Antenna in the Magnetosphere
[NO] 14/1000 | Uncovering Hidden Inequalities through Participatory Service Design: Institutional Service Failure in Public Employment Services
[NO] 15/1000 | Advisory Today, Co-decisive Tomorrow? Complementing the Participation Ladder in Smart City Innovation with Institutional Learning Perspectives
[NO] 16/1000 | Investigating Key Meteorological Factors That Affect Atmospheric Transmittance via Simulation
[NO] 17/1000 | Online Damage-Updated Lifetime Equalization for a Si IGBT/SiC MOSFET Hybrid Parallel Inverter
[NO] 18/1000 | Research on Underwater Construction Monitoring Device for Submarine Cable Repair in High-Turbidity Water Bodies
[NO] 19/1000 | A Study on Dynamic and Reliable Assessment of Dispatchable Capacity from Electric Vehicles and Risk Early Warning for High-Penetration Renewable Energy Integration
[NO] 20/1000 | Higher-Order Approximations of Sojourn Times in M/G/1 Queues via Stein's Method
[NO] 21/1000 | Cache Your Prompt When It's Green - Carbon-aware Caching for Large Language Model Serving
[NO] 22/1000 | A Comprehensive Study of Satellite Network Performance During Severe or Extreme Geomagnetic Storms over 1.5 Years (May 2024 – Oct 2025)
[NO] 23/1000 | Demo: Deploying Maneuver Coordination System in Real-Life Autonomous Driving Scenarios
[NO] 24/1000 | MINISA: Minimal Instruction Set Architecture for Next-gen Reconfigurable Inference Accelerator
[NO] 25/1000 | Development of Transient Electromagnetic Field Transmitter with No-Load Shutdown
[NO] 26/1000 | A Novel Torque Distribution Strategy Balancing Energy Consumption and Stability for Four-Wheel Independent Drive Electric Vehicles
[NO] 27/1000 | Title Page i
[NO] 28/1000 | Log What Matters: Safety-Aware Adaptive Logging for CAVs in Dynamic Conditions
[NO] 29/1000 | Hybrid CART Model for Adaptive Earthquake Risk Forecasting Under Uncertainty
[NO] 30/1000 | Architectural Design of Low-latency and Highbandwidth 3D NAND with Split-Stacked Row Decoder for LLM Inference
[NO] 31/1000 | TeethSMOTE: A Feature Neighborhood Fusion and Enhancement method for Dental Image Analysis
[NO] 32/1000 | STCO Evaluation of High Bandwidth Storage for Cost-Efficient LLM Training
[NO] 33/1000 | Novel EEG Autoencoding Framework using HSDBN with Adaptive Feature Learning for Health
[YES] 34/1000 | ASIC Design for GenAI Inference
[NO] 35/1000 | LSTM - XGBoost Based Intelligent Handover Optimization Framework for 5G Networks Using Real-World Mobility Data
[NO] 36/1000 | A Gate-All-Around Back-Gated Junctionless 3D NAND Structure for Improved Switching Efficiency and Variability Suppression
[NO] 37/1000 | Overcoming Erase Limitations of Amorphous Oxide Semiconductor Channels Through Dual Source/Drain Structures for Flash Memory
[NO] 38/1000 | MAPLE: Multi-session Anchor-based Point cloud Loop-closure for Efficient Merging
[NO] 39/1000 | Research on High-Precision Indoor Navigation System Based on Improved Federated Filtering and Tightly-Coupled Fusion
[NO] 40/1000 | A 0.01-mm
                    <sup>2</sup>
                    10-bit 5-GS/s Current-Steering DAC Using Replica Current Generator for Cryogenic Applications
[NO] 41/1000 | Exploring the Energy Storage and Voltage Control Unit Design Space in Battery-Less IoT
[NO] 42/1000 | FYI: A Foundational Counter Architecture for Building CPI Stacks on Out-of-Order Processors
[NO] 43/1000 | A 28 nm 16 Mb Embedded RRAM IP with Hybrid Array Structure for OTA Update Application
[NO] 44/1000 | Implicit Chinese Compound Sentence Relation Classification Based on BSGGT Hybrid Model
[NO] 45/1000 | Ferroelectric Memories for Storage and Computing
[NO] 46/1000 | Research on a Text Classification Model Based on Multi-Level Feature Fusion
[NO] 47/1000 | Flood Mod: A Flood Based Emergency Response System with Multi Model LLM Pipeline for Emergency Call Triage &amp; Resource Allocation
[NO] 48/1000 | A Deep Learning Framework for Multi-Class Lung Diseases Classification
[NO] 49/1000 | Bi-Level Optimization-Based Intelligent Clinical Decision Support for Pharmacogenomic-Guided Antimicrobial Therapy
[NO] 50/1000 | Cocktail Security Scheme for Patching the Bus Vulnerability of Chiplet ICs
[NO] 51/1000 | Vertical aligned Hexagonal Boron Nitride with Ballistic Thermal Conductivity
[NO] 52/1000 | Adaptive AI Financial Ecosystem: Proactive Crisis Prediction and Policy Simulation Using GNN and Reinforcement Learning
[NO] 53/1000 | Optimized Random Forest–Based Soft Computing Pipeline for Multi-Class DDoS Detection in Cloud Environments
[NO] 54/1000 | A Multi-Model Deep Learning Framework for Hate Speech Detection in Code-Mixed Low-Resource Languages
[NO] 55/1000 | 2025 CERN Compendium of Radiation Effects in Candidate Electronics for High-Energy Particle Accelerator Systems
[NO] 56/1000 | Performance Study of Artificial Neural Network Based Control for Electric Vehicle to Vehicle Energy Transfer
[NO] 57/1000 | Optimizing Photovoltaic Efficiency Through Underground Cooling: A Comparative Review of Water and Air-Based Systems
[NO] 58/1000 | Single-Event Effects in Commecrical Photonic Transceivers
[NO] 59/1000 | Design and Analysis of a Low-Cost Gripper with Compliant, Tendon-Driven Continuum Fingers
[NO] 60/1000 | Wind Energy Prediction Using Machine Learning Techniques
[NO] 61/1000 | A Use Case Development for Teaching Robots New Tasks with Edge AI Perception
[NO] 62/1000 | Direct Cardiac T1 Mapping with Subspace Modeling and Free-breathing Data Acquisition
[NO] 63/1000 | A Multi-Agent Reinforcement Learning Framework for Serendipitous Recommendation and Personalized Information Retrieval
[NO] 64/1000 | Quantum Assisted Drug Discovery in Human Beings
[NO] 65/1000 | Prompt-Based Emotion Detection and Story Generation
[NO] 66/1000 | A design of five-valued spectra (vectorial) Boolean functions and their use in constructing bent functions outside
                    <i>M</i>
                    <sup>#</sup>
[NO] 67/1000 | Low-Complexity Snapshot Radio SLAM for UAV-RIS-Assisted ISAC Systems via Tensor Analysis
[NO] 68/1000 | A Hybrid Physics-AI Framework for real-world Energy Consumption Prediction and Range Estimation in Electric Vehicles
[NO] 69/1000 | AI-Based Intrusion Detection System
[NO] 70/1000 | AI-Powered Movie Recommendation System
[NO] 71/1000 | Smart Resume Analyzer Using LLM Embeddings (Sentence-BERT) for Automated Skill Gap Detection
[NO] 72/1000 | A Physically Interpretable Neural Optimization Solver for InSAR Phase Unwrapping
[NO] 73/1000 | Battery-less Meat Freshness Detection via Far-Field RF Energy Harvesting and BiLSTM Attention Networks
[NO] 74/1000 | EmbedCheck Algorithm: A Computational Framework for Multi-Document Semantic Text Similarity Analysis and Academic Assignment Evaluation
[NO] 75/1000 | Spotlight on I&amp;MER: 2024 J. Barry Oakes Award
[NO] 76/1000 | Force Perception in Smart Robotic Grippers Based on Fiber Bragg Grating [Instrumentation and Measurement Systems]
[NO] 77/1000 | Personalizing Federated Learning for Hierarchical Edge Networks with Non-IID Data
[NO] 78/1000 | Finite-time optimal policy identification for the stochastic shortest path problem
[NO] 79/1000 | PASSNet: Perception-Aware Semantic Strengthening Network for Infrared Small Target Detection
[NO] 80/1000 | A Method Of Damping Waveguide Eigenmodes For Solving Axisymmetric Difraction Problems
[NO] 81/1000 | Nash Equilibria in Uniform Price Auctions: Theory, Computation, and Market Insights
[NO] 82/1000 | PEMI: Transparent Performance Enhancements for QUIC
[NO] 83/1000 | Computational Complexity Analysis of the Holomorphic Embedding Method and Parallel Optimization Strategies for Improving Efficiency
[NO] 84/1000 | Toward Low-Viscosity Transformer Oil: Transesterification of Natural Esters with Short-Chain Alcohol
[NO] 85/1000 | Transformer-Based NILM with Embedded Convolutional Layers for Sequence-to-Point Energy Disaggregation
[NO] 86/1000 | Fuzzy DES for accurate quantitative amplitude fluctuations in biomedical signals
[NO] 87/1000 | Comparative Analysis of Single-Tuned Passive Filters for Harmonic Mitigation Under Inductive and Capacitive Nonlinear Loads
[NO] 88/1000 | A Modified Approach for Multi-EV Vehicle-to-Grid Control to Enhance Grid Stability
[NO] 89/1000 | A Multi-Threshold Based Framework for Urban Green Cover Assessment Using Satellite Imagery
[NO] 90/1000 | Smart Subsafe Passage Sentinel
[NO] 91/1000 | Lightweight Human Pose Estimation From Wifi Channel State Information Using Deep Neural Networks
[NO] 92/1000 | Underrepresented in Foundation Model Pretraining Data? A One-Shot Probe
[NO] 93/1000 | Security Analysis of Federated Learning in Healthcare
[NO] 94/1000 | Control of Electro-Mechanical Systems with Assistive Technology Devices — Advancing from Proof-of-Concept to Integration
[NO] 95/1000 | Reusing Demolished Concrete Waste in Pressed Concrete Brick Production
[NO] 96/1000 | Integrating High-Cardinality Categorical Features and Graph Neural Networks for Customs Fraud Detection with Label Scarcity
[NO] 97/1000 | Fcdnets: Surface-Graph Neural Networks for Automated Detection of Focal Cortical Dysplasia on Multi-Contrast Mri Surface Maps
[NO] 98/1000 | Enhancing Fraud Detection in Financial Transactions through a Hybrid Machine Learning Model
[NO] 99/1000 | RIOT: Replicated Independently-Ordered Transactions
[NO] 100/1000 | Building, Serving, and Growing a Conversational AI Assistant for Enterprise
[NO] 101/1000 | 22
                    <i>
                      <sup>nd</sup>
                    </i>
                    International Workshop on Data Management on New Hardware (DaMoN)
[NO] 102/1000 | LindormVector: A Distributed Vector Engine on a Cloud-Native Multi-Model NoSQL Database
[NO] 103/1000 | Adda: An Agent-Driven in-Database Feature Generation System
[NO] 104/1000 | Tenth Workshop on Human-In-the-Loop Data Analytics (HILDA)
[NO] 105/1000 | UAV Swarm-Based Dynamic Differential GNSS with Collaborative Multipath Mitigation: Low-Altitude Augmentation System for Emergency Positioning
[NO] 106/1000 | Enhancing Cell-Free SWIPT IoT Networks By Active RIS
[NO] 107/1000 | Tactile-Sensor-Embedded Treadmill for Deep Learning-Based Step-Length Measurement
[NO] 108/1000 | DB-CoGNN: A Dual-Branch Synergistic Contrastive Graph Neural Network for Robust Small-Signal Stability Assessment
[NO] 109/1000 | Compact High-Linearity and Wide-Range Permittivity Measurement Phase-Variation Sensor Based on Electronically Tunable Structure
[NO] 110/1000 | Digital Twin-Empowered Vehicle–Road Cooperation: A Perception and Virtualization Paradigm for Connected and Automated Vehicles
[NO] 111/1000 | Pathwise guessing in categorical time series with unbounded alphabets
[NO] 112/1000 | On the role of stubbornness in Nash equilibrium problems
[NO] 113/1000 | Feature Map Compression for Split Learning in Mobile Wireless Environment: Theory and Practice
[NO] 114/1000 | Stability and Performance Enhancement of IoT-Enabled Dual-Axis Solar Tracker Using Red Colobuses Monkey Optimization Algorithm
[NO] 115/1000 | Adaptive Feature Enhancement for SAR-based Ship Detection
[NO] 116/1000 | Scanpath Prediction in Panoramic Videos Via Expected Code Length Minimization
[NO] 117/1000 | IEEE CS Career Center
[NO] 118/1000 | Participatory Design Back to its Political Roots : Insights from the Full Papers
[NO] 119/1000 | Improved YOLOv8-Based Small Target Defect Identification in Substations
[NO] 120/1000 | PQV Modeling and Voltage Regulation Strategy for Distributed Photovoltaic Systems Under Reverse Power Flow Conditions
[NO] 121/1000 | Novel Structure and Control Strategy for Electrolysis Hydrogen Powered by Offshore Wind Power
[NO] 122/1000 | Horizontal Transfer Strategy Based Collaborative Optimization for Power Grid Emergency Resource Scheduling
[NO] 123/1000 | Decision letter for "A Physics-Informed Convolutional Neural Network for Global Ocean PAR Reconstruction from Satellite Observations"
[NO] 124/1000 | Orchestrating the Schema
[NO] 125/1000 | Geographical Centralization Resilience in Ethereum's Block-Building Paradigms
[NO] 126/1000 | On Abnormal Execution Timing of Conditional Jump Instructions
[NO] 127/1000 | RL-Enabled LoS Blockage Avoidance for Visible Light Robot Localization
[NO] 128/1000 | Thermal Drift Correction of NV Current Sensors via Marine Predators Algorithm
[NO] 129/1000 | RACER: A Caching Layer based Optimization for Accelerating Reinforcement Learning Workloads
[NO] 130/1000 | Monolithic Integration of SiC Gate Driver and VDMOS with P-Bottom Isolation and Recess Contact
[NO] 131/1000 | Infrared Small Target Detection Method Based on Progressive Active Learning and Dynamic Negative Augmentation
[NO] 132/1000 | Detecting Attribute Changes in Entity Records Using Cross-Attention Mechanisms
[NO] 133/1000 | A Reasoning-Based Robotic Bolt Fastening System with a Dexterous Hand
[NO] 134/1000 | Pneumonia Detection Using a Hybrid CNN and Swin Transformer Architecture
[NO] 135/1000 | BFA-YOLO: Steel Surface Defect Detection with Bi-Level Routing Attention and Frequency-Aware Feature Fusion
[NO] 136/1000 | Robotic Scanning Path Planning Based on K-Means Clustering and PSO
[NO] 137/1000 | Research on Object Detection Using YOLOv5 in Haze Conditions
[NO] 138/1000 | Optimal Recloser Placement in Radial Distribution Networks Using LSTM-Based Fault Risk Pattern and Artificial Bee Colony Algorithm
[NO] 139/1000 | Research on Laser Charging Technology for Aerial Networking of UAV Swarms
[NO] 140/1000 | Firefighter Floor Positioning Algorithm Integrating Constrained EKF and Asymmetric Discrimination
[NO] 141/1000 | A Morphology-Aware Spatial-Frequency Network for High-Precision Bearing Defect Detection
[NO] 142/1000 | Table of Contents
[NO] 143/1000 | Design of an AI-Assisted Robotic Arm Workstation for Elderly Care
[NO] 144/1000 | Liv-AR: A Web-Based Augmented Reality Platform for Immersive NCERT History Education
[NO] 145/1000 | Decentralized Trust Establishment for Digital Credentials using Blockchain Technology
[NO] 146/1000 | Deep Learning Model for Early Lung Nodule Classification
[NO] 147/1000 | Incorporating Meteorological Data and Pesticide Usage for Crop Yield Prediction Using Machine Learning
[NO] 148/1000 | Compliant, High-Strain Capacitive Stretch Sensors for Soft Robotics and Wearable Electronics
[NO] 149/1000 | An Accessible Framework for Real-Time PM
                    <sub>2.5</sub>
                    Forecasting Using Neural Networks and Gaussian Plume Modeling
[NO] 150/1000 | CyberChain: Enhancing Document Security with Blockchain and AI
[NO] 151/1000 | An Edge-Guided Structural Transformer Network for SAR Time Series Land Cover Mapping
[NO] 152/1000 | Mapping AI Literacy Expectations in Technical and Professional Communication: Evidence From 137 AI-Referenced Job Postings
[NO] 153/1000 | Open-Source Client Modules Supporting Time Transfer with Satellite- and Decrypted Network-Based Precise Point Positioning [Roadmap for Measurement and Applications]
[NO] 154/1000 | TwinRL-Onco: A World Model-Empowered Digital Twin Framework with Hierarchical Reinforcement Learning for Venetoclax Resistance Trajectory Prediction and Adaptive Therapy Optimization in Chronic Lymphocytic Leukemia
[NO] 155/1000 | LGIEA: A Local-Global Information Guided Evolutionary Algorithm for Influence Maximization
[NO] 156/1000 | SINdex: Semantic INconsistency Index for Hallucination Detection in LLMs
[NO] 157/1000 | Key-Driven Identity Protection and Secure Traceability for Face-Swapping
[NO] 158/1000 | Influence of geometry and polarization parameters on piezoelectric response of polypropylene piezoelectrets with an arch structure
[NO] 159/1000 | Beyond Latency: A System-Level Characterization of MPC and FHE for PPML
[NO] 160/1000 | Comparison of HT and MT Intermittent Gait Patterns for a Self-Propelled Undulatory Hydrofoil
[NO] 161/1000 | Robust Force Control for Omnidirectional Mobile Robots in Wall Grinding Tasks
[NO] 162/1000 | Explainable Deep Reinforcement Learning for Scalable and Trustworthy Autonomous Decision Systems
[NO] 163/1000 | Modeling and Measuring Redundancy in Multisource Multimodal Data for Autonomous Driving
[NO] 164/1000 | IoT Enabled QR Code System for Automated Patient Health Monitoring
[NO] 165/1000 | Evaluation of Sidewalls Properties in HZO-Based 3D Ferroelectric Capacitors
[NO] 166/1000 | Design Architecture Trade-Offs for Hybrid Bonded Array-Periphery VBL 3D-DRAM
[NO] 167/1000 | Research on Dynamic Modeling and Control Strategy of a Novel Planar 2-DOF Parallel Robot
[NO] 168/1000 | Automatic Detection of Cervical Cancer Cells via Residual Network
[NO] 169/1000 | Torque Reallocation Strategy Considering Thermal Derating Constraints for in-Wheel Motor EVs Under Extreme Conditions
[NO] 170/1000 | Imw 2026 Committees
[NO] 171/1000 | Logical Scaling Beyond 4 Bit/Cell: Opportunities and Challenges
[NO] 172/1000 | A Unified Adsorption Performance Framework for Selecting Biochar-Nanoparticle Systems in Heavy Metal Water Filtration
[NO] 173/1000 | The Ethics of Generative AI in Anonymous Spaces: A Case Study of 4chan's /pol/ Board
[NO] 174/1000 | Probing English and Spanish Syntax in Language Models
[NO] 175/1000 | Design of a Triple Band-Notched UWB MIMO Antenna with Mutual Coupling Reduction Using H-Shaped DGS
[NO] 176/1000 | Noisy Pixels, Credible Decisions – A Robust, Edge-Ready Neuro-Symbolic Architecture for Rural (African) Clinics
[NO] 177/1000 | A Decentralized Proof Framework for Digital Authorship and Ownership
[NO] 178/1000 | Nimbusort: Advanced Detection of Ionospheric Disturbances Using EM Signatures
[NO] 179/1000 | Archaeology Meets Materials Science, Chemistry, and Statistics: A Multidisciplinary Analysis of Ecuadorian Greenstone Beads
[NO] 180/1000 | Queue Monitoring and Occupancy Estimation Using Image Processing
[NO] 181/1000 | Transformer-Patch Networks for Accurate Remaining Useful Life Prediction in Electromechanical Systems
[NO] 182/1000 | California PM
                    <sub>2.5</sub>
                    : A Ground- and Satellite-Based Data Analysis and Policy Investigation
[NO] 183/1000 | Autonomous Vision-Based Smart Ramp in Urban Infrastructure
[YES] 184/1000 | Prompt Engineering for Competitive Programming: Improving o4-mini's Accuracy on Codeforces Tasks
[NO] 185/1000 | Optimizing Data-Driven Solutions for Power Quality Management in Africa: Addressing Unbalanced Datasets with Machine Learning
[NO] 186/1000 | Challenges in 2D Hybrid Non-Quasineutral Hall Thruster Simulation
[NO] 187/1000 | AnoDoc: Robust Anomaly-Based Document Forgery Detection
[NO] 188/1000 | Implications of Higher Voltage Levels for Electric Vehicle Traction
[NO] 189/1000 | Zero-Shot Image Classification in Low-Resource Medical Image Diagnosis Using Fine-Tuning Transformer Models
[NO] 190/1000 | Experimental Validation of a Novel Smart ASIC for X-Ray Spectroscopy
[NO] 191/1000 | Explainable Brain Tumor Classification in MRI Using VGG19 Transfer Learning and Grad-CAM Visualization
[NO] 192/1000 | SPHINX: An Agentic AI System for Automated Scientific Discovery in Computational Biology
[NO] 193/1000 | An Experimental Analysis of Data Augmentation and Pretraining for Mammogram Image Classification
[NO] 194/1000 | Uncertainty Estimation and Risk Analysis in Hybrid Self-Attention LSTM Models for Insider Threat Detection towards Cyber Risk Management
[NO] 195/1000 | A Hybrid QGWO–PSO Based LET-Bounded RSU-Assisted QoS Routing Scheme for VANETs
[NO] 196/1000 | Broadband and Wide-Angle Conformal Active Metasurface for Continuous and Dynamic RCS Modulation
[NO] 197/1000 | Breast Cancer Classification from Medical Images Using AI Models: A Comprehensive Review
[NO] 198/1000 | Joint Channel and AoA Estimation in OTFS System with Fractional Doppler Channels
[NO] 199/1000 | Emotion-Aware Multilingual Sign Language Interpretation Using Deep Learning
