[2026-02-11 09:40:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-10
正在获取论文...
[arXiv] 2026-02-10 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[IEEE] 2026-2-10 | Table of Contents
[IEEE] 2026-2-10 | A Land-Sea Contamination Suppression Method for Interferometric Microwave Radiometer Based on Nodal Sampling
[IEEE] 2026-2-10 | Age of Actuation and Timeliness: Semantics in a Wireless Power Transfer System
[IEEE] 2026-2-10 | 2025 VGTC Visualization Service Award
[IEEE] 2026-2-10 | VGTC Executive Committee
[IEEE] 2026-2-10 | Design and Analysis of Very High-Gain Expandable DC-DC Step-Up Converter
[IEEE] 2026-2-10 | Unsupervised Disentanglement of Brain Heterogeneity for Identifying Subtypes of Alzheimer's Disease
[IEEE] 2026-2-10 | Parameter-Efficient Federated Adaptive Fine-Tuning for Fault Diagnosis under Heterogeneous Measurement Data
[IEEE] 2026-2-10 | Analysis and Design of Slotline-Balun-Based Tri-Coil Input Matching and Output Power Combining for Broadband Power Amplifiers
[IEEE] 2026-2-10 | Dual Open-Stopband Suppression in a Slotline-Based Dual-Band Leaky-Wave Antenna
[IEEE] 2026-2-10 | A Linearly Convergent Distributed Nash Equilibrium Seeking Algorithm for Aggregative Games Over Time-Varying Unbalanced Graphs
[IEEE] 2026-2-10 | A Simple Compliant Gripper That Reconfigures Between Sensing and Grasping Modes_supp5-3662656.mp4
[IEEE] 2026-2-10 | Uncertainty Evaluation and Validation based on Enhanced Adaptive Bayesian Monte Carlo Dropout Method in TSOM_supp1-3661708.pdf
[IEEE] 2026-2-10 | Beyond Uniform Approximation: Towards Efficient Computing in Logarithmic Number System for Large Language Models
[IEEE] 2026-2-10 | FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp2-3662618.mp4
[IEEE] 2026-2-10 | A Flexible and Tunable Compact Monopole Antenna Based on TiC MXene_supp1-3662391.pdf
[IEEE] 2026-2-10 | Improve the Training Efficiency of DRL for Wireless Communication Resource Allocation: The Role of Generative Diffusion Models
[IEEE] 2026-2-10 | Classification of Seabed Types by OBIA with Recursive Feature Elimination Corrected by Expert Interpretation
[IEEE] 2026-2-10 | Long-Horizon Stable UAV Dynamics Forecasting with Neural Lyapunov Functions and Spatial-Temporal Linear Transformer
[IEEE] 2026-2-10 | HY-3A COCTS2 Near-Real-Time Skin Sea Surface Temperature Retrieval
[ACM] 2026-2-10 | Multi-Interest Recommendation: A Survey
[IEEE] 2026-2-10 | The Future is Fluid: Revolutionizing DOA Estimation with Sparse Fluid Antennas
[IEEE] 2026-2-10 | Light Detection Improvement from Scintillating Crystals for Rare Event Searches
[IEEE] 2026-2-10 | Coherent Fiber-Optic Method for Spatially-Resolved, Time-Dependent, Picometer-Scale Displacement Amplitude Measurements of Surface Acoustic Waves
[IEEE] 2026-2-10 | Multiwavelet Based Multibranch Skip Feature Fusion Network for Remote Sensing Image Super Resolution_supp1-3654465.pdf
[IEEE] 2026-2-10 | Adaptive Fuzzy Control for Nonlinear Multi-Agent Systems Subject to Multiple Constraints under Deception Attacks
[IEEE] 2026-2-10 | Why Not Wait and See: An Effective BDoS Mitigation Strategy from A Two-stage Evolutionary Game Perspective
[IEEE] 2026-2-10 | Modeling Long-Term Emotional Support Through Causal World Modeling With Imitation Learning
[IEEE] 2026-2-10 | Hollow-core anti-resonant fiber sensor for simultaneous measurement of CH₄ and C₂H₂
[IEEE] 2026-2-10 | A “20 T at 20 K” Model Coil for the Muon Collider Target Solenoid and Fusion Applications
[IEEE] 2026-2-10 | Cooperative Tracking Control of VTOL Drones: A Fixed-Time Super-Twisting Approach
[IEEE] 2026-2-10 | Unleashing More Potential from FAS: A Framework of FAS-CoNOMA Systems
[IEEE] 2026-2-10 | Fast Fixed-to-Fixed Distribution Matching via Huffman Coding
[IEEE] 2026-2-10 | An Electromagnetic-Mechanically Co-Designed F-Band Mixer Using Metal-Integrated Suspended Line Technology
[IEEE] 2026-2-10 | Time–Frequency Domain Joint Seismic Inversion for Fractured Porous Media Based on the Exact Graebner Equation
[IEEE] 2026-2-10 | A Deep Learning-Based Fusion Framework for Temperature-Aware Relative Humidity Sensing Using Dual Fiber-Optic Sensors
[IEEE] 2026-2-10 | IEEE Journal of Quantum Electronics Information for Authors
[IEEE] 2026-2-10 | Fuzzy Adaptive Prescribed-Time Output-Feedback Cooperative Control for Nonlinear Vehicle Platoon Systems
[IEEE] 2026-2-10 | Development of an Intelligent Personal Assistant for Academic Advising
[IEEE] 2026-2-10 | 2025 VGTC Visualization Technical Achievement Award
[IEEE] 2026-2-10 | Processing-in-memory for genomics workloads
[IEEE] 2026-2-10 | Online Private Adaptive Ranking with Incentive-Based Crowdsensing Data_supp1-3662430.pdf
[IEEE] 2026-2-10 | A Simple Compliant Gripper That Reconfigures Between Sensing and Grasping Modes_supp3-3662656.mp4
[IEEE] 2026-2-10 | You Only Train Once: A Unified Framework for Both Full-Reference and No-Reference Image Quality Assessment
[IEEE] 2026-2-10 | Efficient Encoding/Decoding Algorithms for Irreducible Polynomial Remainder Codes via Additive FFT
[IEEE] 2026-2-10 | Machine Learning Predictive Modeling and Multi-Objective Optimization of 2.3D Chip-Last Fanout Wafer-Level Packages
[IEEE] 2026-2-10 | Design of Low-RCS Radiation-Scattering Integrated Antenna Based on Spatiotemporal Coding
[IEEE] 2026-2-10 | A Gripper System With Soft Dielectric Elastomer Functional Units for Actuation, Sensing, and Signal Processing_supp1-3662528.mp4
[IEEE] 2026-2-10 | Development of an Experimental Test Stand and Machine Learning Surrogate Models for Capturing Complex Responses in Pulsed Septa
[IEEE] 2026-2-10 | VIS 2025 Full Papers Program Committee
[IEEE] 2026-2-10 | 2025 VGTC Visualization Dissertation Award
[IEEE] 2026-2-10 | Temporal Convolutional Network-Based Time Series Forecasting for Cluster Head Prediction in Energy-Constrained WSN-Based IoT
[IEEE] 2026-2-10 | Holographic OAM: Turbulence-Enhanced Encryption for Secure 6G Communication
[IEEE] 2026-2-10 | Constant Output Voltage Three-Phase Capacitive-Power-Transfer Converters With Phase Expansion and Design Methods
[IEEE] 2026-2-10 | A Wideband and Reconfigurable Near Field Focusing Metasurface for Microwave Wireless Power Transfer Systems
[IEEE] 2026-2-10 | Adaptive Swarm Navigation via Motion Salience in Cluttered Environments_supp1-3656674.mp4
[IEEE] 2026-2-10 | A Practical Multi-Body Model Enabling a Flexible-Wheeled Robot to Learn Blind Stair Climbing_supp1-3662534.mp4
[IEEE] 2026-2-10 | Enhanced Sub-Canopy Topography Retrieval Method Using Dual-Baseline TanDEM-X InSAR Data
[ACM] 2026-2-10 | How To Hire Game Devs: The Vagueness of Talent Import Practices and the Role of Gamer Identity in the Finnish Game Industry
[IEEE] 2026-2-10 | Collision Resolution Capability Analysis and Improved Receiver Design of Resource Hopping Multiple Access for the mMTC system
[IEEE] 2026-2-10 | Uncoupled Unsourced Random Access for Near-Field Spatial Non-Stationary XL-MIMO
[IEEE] 2026-2-10 | Damping Method for Multiple Small-Signal Oscillation Modes in the DC-Link Voltage of GFM VSCs With Matching Control
[IEEE] 2026-2-10 | IEEE Journal of Quantum Electronics Publication Information
[IEEE] 2026-2-10 | Risk Model for Choosing Signature Thresholds for Software Updates
[IEEE] 2026-2-10 | Monitoring Electrostatic Adhesion Forces Via Acoustic Pressure_supp1-3662557.mp4
[IEEE] 2026-2-10 | Implementing an Operational Digital Twin for Optimising Water Motor Operations in Resource-constrained Environments
[IEEE] 2026-2-10 | PriFFT: Privacy-Preserving Federated Fine-Tuning of Large Language Models Via Hybrid Secret Sharing_supp1-3661572.pdf
[IEEE] 2026-2-10 | Guidelines for Developing Sign Language Learning Tools Targeted at Deaf Children
[IEEE] 2026-2-10 | EOT Scaling in Fully Depleted IGZTO TFT With Maintained Near-Ideal Subthreshold Swing and Enhanced Reliability
[ACM] 2026-2-10 | A Highly Cost-Effective Online Error Detection and Mitigation Scheme for CNN Hardware Accelerators Based on Approximate PE
[IEEE] 2026-2-10 | Channel Measurements, Characterization and Performance Analysis for an Aircraft Cabin From Mmwave to sub-THz Communication
[IEEE] 2026-2-10 | An Accurate Full-Speed-Range Control Strategy for PMSM with Improved Virtual Signal Injection MTPA and Smooth Field-Weakening Transition
[IEEE] 2026-2-10 | Piecewise Disturbance-Rejection Control of Systems With Multifrequency Disturbances
[IEEE] 2026-2-10 | A 40-nm Programmable Heterogeneous SoC With 5.625/0.85 MB RRAM/SRAM for Accelerating Neuro-Symbolic AI Models
[IEEE] 2026-2-10 | LRGFormer: A Multiscale Feature Fusion Transformer for Image Restoration
[IEEE] 2026-2-10 | Human-Guided Shading Artifact Suppression in CBCT-to-MDCT Translation via Schrödinger Bridge with Conditional Diffusion
[IEEE] 2026-2-10 | A Learning-Based Incentive Mechanism for Mobile AIGC Service in Vehicular Edge Computing
[IEEE] 2026-2-10 | UEAOD: Underwater Image Enhancement-Assisted Object Detection Guided by Frequency Decomposition and Physical Consistency_supp1-3660296.pdf
[IEEE] 2026-2-10 | Novel SMC for discrete nonhomogeneous semi-Markov switching systems with application to DC-DC buck converter circuit
[IEEE] 2026-2-10 | Contextual Cloud Steganography(CCS): Breaking the Capacity-Security Trade-Off
[IEEE] 2026-2-10 | A QoS-Aware LoRa Protocol for Periodic and Aperiodic Traffic in Industrial Control Networks
[IEEE] 2026-2-10 | Rule-Based Protein Classification through Multi-Phase Feature Extraction Technique
[IEEE] 2026-2-10 | Innovation Incentives under Technology Blockade: Strategic Game Insights from the Semiconductor Industry
[IEEE] 2026-2-10 | Jailbreak and Guard Aligned Language Models with Only Few In-Context Demonstrations_supp1-3660147.pdf
[IEEE] 2026-2-10 | High-
                    <i>T</i>
                    <sub>c</sub>
                    DC SQUID and Its Applications in NDE
[ACM] 2026-2-10 | Future of Algorithmic Organization: Large Scale Analysis of Decentralized Autonomous Organizations (DAOs)
[IEEE] 2026-2-10 | An Impedance Self-Adjustment Method via Variable Inductors in Integrated LCC-LCC-Based IPT System for Efficiency Improvement Versus Air Gap Variation
[IEEE] 2026-2-10 | Calibrated Recommendation Algorithm for Multi-source Heterogeneous Online Learning Resources: A Dual Knowledge Graph Approach
[IEEE] 2026-2-10 | Realistic Quantum Network Simulation for Experimental BBM92 Key Distribution_supp1-3662339.pdf
[IEEE] 2026-2-10 | Vehicle-centric Perception via Multimodal Structured Pre-training
[IEEE] 2026-2-10 | Large Language Models for Task-Oriented Intelligent Large-Scale Satellite Networks: Architectures, Challenges, and Solutions
[IEEE] 2026-2-10 | Denoising with a Compass: Geometry-Guided Diffusion for Robust Low-Quality Image Segmentation
[IEEE] 2026-2-10 | Combinatorial Logistic Online Learning and Its Applications in Nonlinear Networked Systems
[IEEE] 2026-2-10 | Resource-Efficient and Layer Interdependence-Aware CNN Pruning Leveraging Filter Replacement
[ACM] 2026-2-10 | A Systematic Literature Review of Parameter-Efficient Fine-Tuning for Large Code Models
[IEEE] 2026-2-10 | A GaN Clamping Circuit for Mitigating Overvoltage Transients in Inverter-Fed Motors
[IEEE] 2026-2-10 | Theoretical and Experimental Study on Mode Power Ratio Diagnosis of Dual-Mode Relativistic Backward Wave Oscillator
[IEEE] 2026-2-10 | A Model-Based Systems Engineering Framework for Technology Roadmaps (MBSE-TRM): Application to Electronic Warfare Systems
[IEEE] 2026-2-10 | Accurate Calibration and Robust LiDAR-Inertial Odometry for Spinning Actuated LiDAR Systems_supp2-3662643.mp4
[IEEE] 2026-2-10 | Differentiable Weights-Varying Nonlinear MPC via Gradient-based Policy Learning: An Autonomous Vehicle Guidance Example_supp1-3662644.mp4
[IEEE] 2026-2-10 | Online Discrete Event Detection for Sensory Feedback Embedded in a Robotic Hand Prosthesis_supp1-3662640.mp4
[IEEE] 2026-2-10 | Sequential Matching Circuit Design using Negative Impedance Converters for Wideband Power Transfer
[IEEE] 2026-2-10 | Implementing Neural Networks Over-the-Air via Reconfigurable Intelligent Surfaces
[ACM] 2026-2-10 | Visual Adversarial Attacks and Defenses in the Physical World: A Survey
[IEEE] 2026-2-10 | MonoRange: Monocular 3-D Object Detection Based on Object-Centric Range Map in Adverse Weather Conditions_supp2-3652840.pdf
[IEEE] 2026-2-10 | Maturity assessment-based dry matter content in Mon Thong durian pulp using machine learning and near-infrared hyperspectral image analysis
[IEEE] 2026-2-10 | Quantum Machine Learning in Medical Image Analysis: From Diagnostics to Surgery Planning
[IEEE] 2026-2-10 | Improved Successive Cancellation Decoding of Long Polar Codes Through Perturbing
                    <i>A Posteriori</i>
                    LLRs and Its Theoretical Insights
[IEEE] 2026-2-10 | Simulated in Vivo Implantable Antenna Measurements in Gel Phantoms and Human Subjects: Channel gain, directivity, and received signal strength indicator [Bioelectromagnetics]_supp1-3630872.pdf
[IEEE] 2026-2-10 | GeoSynth: Constraint-Aware Automation for Scalable Superconducting Quantum Chip Design
[IEEE] 2026-2-10 | Online Energy Consumption Optimization in Electrolytic Copper Foil Electrodeposition via Incremental Soft Actor-Critic
[IEEE] 2026-2-10 | Characterizing EMS-Induced Haptic Weight Perceptions: Effects of Posture, Augmentation Parameters, and User Variability
[IEEE] 2026-2-10 | Impact of Water Absorption and Gamma Irradiation on Electrical Equivalent Circuit Parameters of Carbon Fiber Reinforced Polymer Composites
[IEEE] 2026-2-10 | DreamBarbie: Text to Barbie-Style 3D Avatars
[IEEE] 2026-2-10 | Self-Adaptive Framework for Deploying Machine Learning Systems without Ground-Truth Data during Operation
[IEEE] 2026-2-10 | Dual-Reliable Contrastive Fusion for Multi-View Clustering
[IEEE] 2026-2-10 | Precision-Driven AI Smartphone-Based Sensor System for Fingernail-Based Non-Invasive Disease Detection
[IEEE] 2026-2-10 | PEGN-PSP:Prediction of General Protein Phosphorylation Sites Using Protein Embeddings and Graph Neural Network_supp1-3659936.pdf
[IEEE] 2026-2-10 | OpenVL: Bridging 2D and 3D Worlds for Open-Vocabulary 3D Scene Understanding_supp1-3659154.pdf
[IEEE] 2026-2-10 | A Lightweight and Forgetting-Resistant Approach for NILM: Incremental Appliance Recognition Using NCM-Forest
[IEEE] 2026-2-10 | Topology Optimization of Thin-Walled Square Tubes under Axial and Oblique Crushing Using Deep Neural Networks
[IEEE] 2026-2-10 | CRB-Rate Tradeoff for Bistatic ISAC with Gaussian Information and Deterministic Sensing Signals
[IEEE] 2026-2-10 | 2025 Index IEEE Transactions on Intelligent Transportation Systems
[IEEE] 2026-2-10 | Compendia: Automated Visual Storytelling Generation from Online Article Collection
[IEEE] 2026-2-10 | Low-temperature 3D printing of conductive hydrogel-based soft sensors for quantitative strain and load monitoring_supp1-3660855.mp4
[IEEE] 2026-2-10 | FD-RAN Empowered Multiple Base Stations Cooperative ISAC for Low-Altitude Networks
[IEEE] 2026-2-10 | Small-signal stability modeling of AC/DC cables based on RLC circuits considering frequency dependent and mutual inductance characteristics
[IEEE] 2026-2-10 | BotSCG: Twitter Bot Detection with Semantic Consistency and Dual-modulated Graph Learning
[IEEE] 2026-2-10 | CDT-RiskNet: A Risk-Aware Copula-Diffusion-Transformer Network for Stochastic EV Charging Station Optimization in Energy Market
[ACM] 2026-2-10 | Commercial Cyber-Physical System Development Tool Chain Bug Detecting via Diversity-Guided Fuzzing Test
[IEEE] 2026-2-10 | ARBoids: Adaptive Residual Reinforcement Learning With Boids Model for Cooperative Multi-USV Target Defense_supp1-3662620.mp4
[IEEE] 2026-2-10 | Realistic UE Antennas for 6G in the 3GPP Channel Model
[IEEE] 2026-2-10 | FeFET-Based Analog In-Memory Computing with Inherent Shift-and-Add Capability
[IEEE] 2026-2-10 | Modeling Real-Time Bicep Muscle Fatigue with IMU Sensors Using LSTM Regression
[IEEE] 2026-2-10 | PestScope: Exclusion-Aware Large Multimodal Model for Fine-Grained Agricultural Pest Segmentation
[IEEE] 2026-2-10 | 2025 International Conference on Graphics and Signal Processing (ICGSP)
[IEEE] 2026-2-10 | Screen Detection from Egocentric Image Streams Leveraging Multi-View Vision Language Model
[IEEE] 2026-2-10 | A Harmonic Self-Control Network for Compact High-Efficiency Rectifiers With Extended Bandwidth
[IEEE] 2026-2-10 | Compact 3-DOF Flexible Milli-Manipulator Driven by Dielectric Elastomer Actuators_supp1-3662636.mp4
[IEEE] 2026-2-10 | Learning Early Warning Guided by Course Objective Achievement via Knowledge State and Learning State Modeling
[IEEE] 2026-2-10 | TPFN: A Text-Guided Progressive Fusion Network for Multimodal Sentiment Analysis
[IEEE] 2026-2-10 | ESD Protection With Sub-3 Ω Dynamic Resistance for Neuromodulation System-on-Chip
[ACM] 2026-2-10 | Alignment of Diffusion Models: Fundamentals, Challenges, and Future
[IEEE] 2026-2-10 | CricShot10k: A Large-Scale Video Dataset for Cricket Shot Classification
[IEEE] 2026-2-10 | Simulation Study of the Pulse Shaping Effects on the Power, Energy, and Programming Time Requirements of Filamentary-Type Memristors
[IEEE] 2026-2-10 | A General 6G Cross-Band Channel Model Towards Standardization Verified by 0.7–39 GHz Channel Measurements
[IEEE] 2026-2-10 | BTCP: A Blockchain-based Trusted Data Sharing Framework with Congestion Control and Proximity Evaluation for Internet of Vehicles
[IEEE] 2026-2-10 | Estimating the Yield of Mature Rice with UAV-based Multimodal Images Fusion and Five-points Sampling
[IEEE] 2026-2-10 | Toward a Trust-Centric Semantic Mobile Core Leveraging Quantum Security
[IEEE] 2026-2-10 | A Simple Compliant Gripper That Reconfigures Between Sensing and Grasping Modes_supp4-3662656.mp4
[IEEE] 2026-2-10 | A Flat-Gain 255–315 GHz Power Amplifier with 15.5 dBm Maximum P$_\rm{sat}$ and 5.5% $\eta _{c}$ in 130-nm Advanced SiGe BiCMOS Technology
[ACM] 2026-2-10 | Visual Self-paced Iterative Learning for Unsupervised Temporal Action Localization
[ACM] 2026-2-10 | CIDER: Collaborative Interactive Dynamic Environments for eXtended Reality
[IEEE] 2026-2-10 | S-shaped Based Power Sharing Control of DC-Coupled EV Charging Station
[IEEE] 2026-2-10 | Accurate Calibration and Robust LiDAR-Inertial Odometry for Spinning Actuated LiDAR Systems_supp1-3662643.pdf
[IEEE] 2026-2-10 | DFT-based Near-field Beam Alignment: Model-based and Data-Driven Hybrid Approach
[IEEE] 2026-2-10 | Reinforcement Learning for Opportunistic Routing in Software-Defined LEO–Terrestrial Systems
[IEEE] 2026-2-10 | 3D-Array SiC X-Ray Detector with High Sensitivity and Ultralow Detection Limit
[IEEE] 2026-2-10 | Rotation Equivariant Convolution-based Network for Semantic Segmentation of High Spatial Resolution Remote Sensing Imagery_supp1-3662255.pdf
[IEEE] 2026-2-10 | Hybrid Embedding SAM-Guided Feedback Network for RGB–Thermal Urban Scene Parsing
[IEEE] 2026-2-10 | Partial Discharge Detection in Oil-Immersed Power Transformers Using Innovative UHF Sensor
[IEEE] 2026-2-10 | Toward a global quantum Internet: A review of challenges facing aerial quantum networks
[IEEE] 2026-2-10 | 2025 Index IEEE Transactions on Engineering Management Vol. 72
[IEEE] 2026-2-10 | IEEE Guide for Condition Evaluation of Electric Vehicle Supply Equipment (EVSE)
[IEEE] 2026-2-10 | Small-sample Partial Discharge Diagnosis for GIS Based on Improved Capsule Generative Adversarial Network and Dual-mode Generator Optimization
[IEEE] 2026-2-10 | In-Process Tool Wear Prediction Enabled by Physics-Informed Liquid Neural Networks Under Varying Cutting Conditions
[IEEE] 2026-2-10 | Table of Contents
[IEEE] 2026-2-10 | A Multiobjective Evolutionary Algorithm Based on Bipopulation With Uniform Sampling for Neural Architecture Search
[IEEE] 2026-2-10 | Common-Mode Voltage Reduction in Three-Level T-Type Converters Using a Quadruple Reference Voltage-Based PWM Technique
[ACM] 2026-2-10 | DBCFuse: Dual-Branch Cross-Scale Feature Decomposition for MRI-PET Fusion
[IEEE] 2026-2-10 | Deep LoRA-Unfolding Networks for Image Restoration
[IEEE] 2026-2-10 | An Analytical Framework for HAPS Downlink Coverage Based on Stochastic Geometry
[IEEE] 2026-2-10 | NOMA-Enhanced Active RIS-aided MISO ISAC System under NTN with Hardware Impairment
[IEEE] 2026-2-10 | Three-Dimensional Relational Learning in Tabular Data: A Dual-Graph Attention Approach
[IEEE] 2026-2-10 | A Zero-Shot Learning Framework for Accurate Appendix Segmentation Based on SAM (AAZ-SAM)
[IEEE] 2026-2-10 | Fully Textile-Based Multifunctional System Incorporating Near/Far-Field SWIPT for Wearable Applications
[IEEE] 2026-2-10 | FS-FlowNet: Frequency-Spatial Dual-Domain Residual Flow Network for Remote Sensing Dehazing
[IEEE] 2026-2-10 | Research on Cooptimal Control Method of Fuel Cell Anode and Cathode Gas for Variable Altitude Reliability Enhancement
[IEEE] 2026-2-10 | Adaptive Soft Sensor Modeling for Coal-Fired Power Plants Based on a Tracking Structured State Space Model
[IEEE] 2026-2-10 | Physically Plausible Data Augmentations for Wearable IMU-based Human Activity Recognition Using Physics Simulation
[IEEE] 2026-2-10 | A Compact Self-Powered WSN Enabled by Miniaturized 3D Wideband Rectenna
[IEEE] 2026-2-10 | Progress and perspectives on
                    <i>p</i>
                    -GaN Cap Layer etching engineering over
                    <i>p</i>
                    -GaN/AlGaN/GaN heterojunctions
[IEEE] 2026-2-10 | TICNN - A Hybrid Light-Weight CNN for Large Imbalanced Multi-Class Datasets on Intrusion Detection System in IoT
[IEEE] 2026-2-10 | Sliding Mode Control Design Using PIR Sliding Surface for Second Order Systems
[IEEE] 2026-2-10 | Electrical Bioimpedance Sensing-based Proximity Distance Estimation for Needle Interventions: Two-Layer Model and Validation_supp1-3660408.pdf
[IEEE] 2026-2-10 | A Meta-Adaptive Framework Combining Gated Attention Mechanisms and Feature-wise Modulation for Multi-Horizon Stock Price Movement Prediction
[IEEE] 2026-2-10 | AD-LIO: Adaptive Voxel LiDAR Inertial Odometry based on Scene Degradation Factor
[ACM] 2026-2-10 | Spatio-Temporal Spectra-Preserving Neural Representation for Video Modeling
[IEEE] 2026-2-10 | Modeling Continuous and Heterogeneous Spatio-Temporal Dependencies for Accurate Traffic Forecasting
[IEEE] 2026-2-10 | LIBS: Instructional Action Quality Assessment via Supervoxel-Based Fine-Grained Attribution
[IEEE] 2026-2-10 | FedGSCA: Medical Federated Learning with Global Sample Selector and Client Adaptive Adjuster under Label Noise
共写入 1428 条记录，保存到 papers/paper2026-02-10.json。
论文获取成功，文件路径: papers/paper2026-02-10.json
正在筛选、翻译并发送邮件...
[NO] 1/1428 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[NO] 2/1428 | Simpler Presentations for Many Fragments of Quantum Circuits
[NO] 3/1428 | Free-GVC: Towards Training-Free Extreme Generative Video Compression with Temporal Coherence
[NO] 4/1428 | Differentiable Tripartite Modularity for Clustering Heterogeneous Graphs
[NO] 5/1428 | Geodesic networks and the disjointness gap in the directed landscape
[YES] 6/1428 | Code2World: A GUI World Model via Renderable Code Generation
[NO] 7/1428 | An Extension and Refinement of the Brouwer-Schauder-Tychonoff Fixed Point Theorem
[NO] 8/1428 | Exciton fine structure in CdSe nanoplatelets using a quasi-2D screened configuration-interaction framework
[NO] 9/1428 | Adaptive Single-Loop Methods for Stochastic Minimax Optimization on Riemannian Manifolds
[NO] 10/1428 | 6G NTN Waveforms: A Comparison of OTFS, AFDM and OCDM in LEO Satellite Channels
[YES] 11/1428 | LLM Reasoning Predicts When Models Are Right: Evidence from Coding Classroom Discourse
[NO] 12/1428 | Well-quasi-orders on finite trees and transfinite sequences
[NO] 13/1428 | Internalizing Multi-Agent Reasoning for Accurate and Efficient LLM-based Recommendation
[NO] 14/1428 | Scaling laws for the cutoff wavenumber of the short-wavelength ion-temperature-gradient mode in a Z-pinch
[NO] 15/1428 | PlugSI: Plug-and-Play Test-Time Graph Adaptation for Spatial Interpolation
[NO] 16/1428 | Text summarization via global structure awareness
[NO] 17/1428 | Estimating Electron Densities in the Middle Solar Corona using White-light and Radio Observations
[NO] 18/1428 | Simple connectedness of the Ran space
[NO] 19/1428 | Instantaneous modes in dispersive laser cavities
[NO] 20/1428 | Efficient Unsupervised Environment Design through Hierarchical Policy Representation Learning
[NO] 21/1428 | An Erdős--Trotter problem on antichains with multiplicity $r$ on each occurring level
[NO] 22/1428 | Study of $B^+ \to μ^+ ν_μ$ decays at Belle and Belle II
[YES] 23/1428 | Flexible Entropy Control in RLVR with Gradient-Preserving Perspective
[NO] 24/1428 | Analysis of Galactic cirrus filaments in HSC-SSP high-resolution deep images using artificial neural networks
[NO] 25/1428 | Phase Transition With Rapini-Papoular Surface Anchoring
[NO] 26/1428 | Self-Supervised Learning as Discrete Communication
[NO] 27/1428 | Wave Particle Turbulent Simulation of Spatially Developing Round Jets Using a Non Equilibrium Transport Model with a Mixing Length Characteristic Time Closure
[NO] 28/1428 | Discrete equations from Bäcklund transformations of the fifth Painlevé equation
[NO] 29/1428 | Exceptional nodal rings emerging in spinful Rice-Mele chains
[NO] 30/1428 | How Geometry Tames Disorder in Lattice Fracture
[NO] 31/1428 | An open-source implementation of a closed-loop electrocorticographic Brain-Computer Interface using Micromed, FieldTrip, and PsychoPy
[NO] 32/1428 | Allure of Craquelure: A Variational-Generative Approach to Crack Detection in Paintings
[NO] 33/1428 | Beyond Free-Stream Preservation: Transport Polynomial Exactness for Moving-Mesh Methods under Arbitrary Mesh Motion
[NO] 34/1428 | ExO-PPO: an Extended Off-policy Proximal Policy Optimization Algorithm
[NO] 35/1428 | Targum -- A Multilingual New Testament Translation Corpus
[NO] 36/1428 | From Lightweight CNNs to SpikeNets: Benchmarking Accuracy-Energy Tradeoffs with Pruned Spiking SqueezeNet
[NO] 37/1428 | TraceMem: Weaving Narrative Memory Schemata from User Conversational Traces
[NO] 38/1428 | Extended Isolation Forest with feature sensitivities
[NO] 39/1428 | Stellar-mass black holes in young massive and open stellar clusters -- VII. Comparisons with gravitational-wave events until LVK-O4a and Gaia compact binaries
[NO] 40/1428 | High Photovoltaic Efficiency in Bulk-Stacked One-Dimensional GeSe$_{2}$ van der Waals Crystal
[NO] 41/1428 | Resilient Class-Incremental Learning: on the Interplay of Drifting, Unlabelled and Imbalanced Data Streams
[NO] 42/1428 | Talking with the Latents -- how to convert your LLM into an astronomer
[NO] 43/1428 | Differentiable Modeling for Low-Inertia Grids: Benchmarking PINNs, NODEs, and DP for Identification and Control of SMIB System
[NO] 44/1428 | Tunable many-body burst in isolated quantum systems
[NO] 45/1428 | Organic Acid Chemistry in ISM: Detection of Formic Acid and its Prebiotic Chemistry in Hot Core G358.93$-$0.03 MM1
[NO] 46/1428 | ClinAlign: Scaling Healthcare Alignment from Clinician Preference
[NO] 47/1428 | Time2General: Learning Spatiotemporal Invariant Representations for Domain-Generalization Video Semantic Segmentation
[NO] 48/1428 | A simple proof of the discreteness of Dirichlet processes
[NO] 49/1428 | Cavity control of multiferroic order in single-layer NiI$_2$
[NO] 50/1428 | Assessment of jet inflow conditions on the development of supersonic jet flows
[NO] 51/1428 | LLM-FS: Zero-Shot Feature Selection for Effective and Interpretable Malware Detection
[NO] 52/1428 | Fully Differentiable Bidirectional Dual-Task Synergistic Learning for Semi-Supervised 3D Medical Image Segmentation
[NO] 53/1428 | Orbital Period Changes of Recurrent Nova T Pyxidis Demonstrate that M_ejecta >> 11.3xM_accreted and Is Not a Type Ia Supernova Progenitor
[NO] 54/1428 | Schrödinger operators with concentric $δ$--shell interactions
[NO] 55/1428 | Latent Poincaré Shaping for Agentic Reinforcement Learning
[NO] 56/1428 | A proof of Dolbeault geometric Langlands for $\GL_2$ with reduced spectral curves
[NO] 57/1428 | Data Sharing with Endogenous Choices over Differential Privacy Levels
[NO] 58/1428 | Quantum Correlation Dynamics Subjected to Quantum Reset-Driven Environment
[NO] 59/1428 | Digital Linguistic Bias in Spanish: Evidence from Lexical Variation in LLMs
[YES] 60/1428 | AgentCgroup: Understanding and Controlling OS Resources of AI Agents
