[2026-04-07 22:38:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-06
正在获取论文...
[arXiv] 2026-04-06 | Strongly Correlated Superconductivity in Twisted Bilayer Graphene: A Gutzwiller Study
[IEEE] 2026-4-7 | Digital Semantic Communication with Channel Adaptation and Vector Quantization
[IEEE] 2026-4-7 | Retinal Disease Classification Using a Multi-Stage Deep Learning Model on OCT C8 Dataset with Grad-CAM Support
[ACM] 2026-4-7 | DIVER: A Robust Text-to-SQL System with Dynamic Interactive Value Linking and Evidence Reasoning
[IEEE] 2026-4-6 | Respiration Rate Estimation Using ECG and PPG Data: Open Source Implementations Focused on Wearables
[IEEE] 2026-4-6 | Invisible Bullet-Magnetism Aim Assistance in VR Dart Throwing: Effects on User Experience and Performance_supp1-3680707.mp4
[IEEE] 2026-4-7 | Data-Driven Energy Optimization of a CPA and Gain-Managed-Nonlinearity Mamyshev Oscillator
[IEEE] 2026-4-7 | Deployment of Attention-based VGG19 with Deep SVM for Soil Moisture and Vegetation Index Prediction in Agriculture Field using Satellite Images
[IEEE] 2026-4-7 | Zero-DiDCE: Dual-Illumination Curve Estimation For Zero-Reference Low-Light Image Enhancement
[IEEE] 2026-4-6 | Point Cloud Video Modeling With Progressive Prior Knowledge Guidance and Adaptive Neighboring Aggregation
[IEEE] 2026-4-7 | Weakly Supervised Lesion Localization Through Classification Based on U-Shaped Backbone
[IEEE] 2026-4-7 | Real-Time Remaining Useful Life Prediction with LSTM Priority Resampling
[IEEE] 2026-4-7 | Integrating BRP and Aggregator Roles for Imbalance Management and Frequency Regulation using Demand-side Flexibility
[IEEE] 2026-4-6 | Spatiotemporal Dynamics of Night-time Light in Sudan during the Ongoing Conflict
[IEEE] 2026-4-7 | Exploring the Potential of Oil Concentration Estimation From Single-Polarization SAR Data
[IEEE] 2026-4-6 | IEEE Awards
[ACM] 2026-4-6 | LMG: Efficient Streaming of Layered Mesh-Gaussian 3D Scenes
[IEEE] 2026-4-6 | The Principle of Matching Patch Elements in Broadband Antenna Array
[IEEE] 2026-4-6 | Explainable One-Class Machine Learning for Anomaly Detection in Hydro-Ecological Monitoring
[IEEE] 2026-4-6 | Adaptive Reinforcement Learning–Based Test Selection for Improving Web Application Testing Accuracy
[IEEE] 2026-4-6 | Deep Learning towards Intrusion Detection in IoT
[IEEE] 2026-4-6 | Enhancing Chinese Listening Proficiency Through an Interactive Learning Approach with Edpuzzle
[IEEE] 2026-4-6 | NTL Detection: Multi-Modal Architecture for Smart Meter Fraud Detection in a Realistic Deployment
[IEEE] 2026-4-6 | Design and Implementation of a Hybrid-Powered Automatic Agricultural Produce Oven System
[IEEE] 2026-4-6 | Advancing Afghanistan Mineral Stone Classification Using Hybrid CNNs with Attention and Texture Learning
[IEEE] 2026-4-6 | Air Quality Forecasting Using a Long Short-Term Memory Neural Network
[IEEE] 2026-4-6 | A Knowledge-Driven Framework for Cross-Border-Logistics Innovation: A Case Study from Southeast Asia
[IEEE] 2026-4-6 | Retraction Notice: Artificial Intelligence based Anxiety Detection in Patients
[IEEE] 2026-4-6 | Retraction Notice: Prediction of Air Pollution by using Machine Learning Algorithm
[IEEE] 2026-4-6 | Retraction Notice: Road Sign Recognition System for Autonomous Vehicle using Raspberry Pi
[IEEE] 2026-4-6 | Retraction Notice: A Review of Machine Learning Techniques for Breast Cancer Diagnosis in Medical Applications
[ACM] 2026-4-7 | Foundation Models for Autonomous Driving Systems: An Initial Roadmap
[IEEE] 2026-4-7 | PhishCrawl and Deeptrace: A Distributed and Explainable Framework for Cyber Threat Detection
[IEEE] 2026-4-7 | Length-Sensitive Summarization: a Stratified Approach to Abstractive Text Generation
[IEEE] 2026-4-7 | Drone-Enabled Lift Zone Surveillance and Hazard Detection
[IEEE] 2026-4-7 | Intelligent UAV-Based Precision Agriculture Using Machine Learning
[IEEE] 2026-4-7 | Modeling and Simulation of a MOSFET Biosensor for Early Stage Oral Cancer Detection
[IEEE] 2026-4-7 | Comparative Analysis of Machine Learning and Deep Learning Models for Mental Health Classification: A Comprehensive Study
[IEEE] 2026-4-7 | ViLT and Customized Classification Block for Remote Sensing Visual Question Answering
[IEEE] 2026-4-7 | IEEE Transactions on Materials for Electron Devices Publication Information
[IEEE] 2026-4-7 | Supervised Contrastive Learning for Uncertainty-Aware Wireless Signal Analysis: A Case Study for Modulation Classification
[IEEE] 2026-4-7 | Research on Fault Diagnosis Algorithm of Liquid Permeability Measurement Equipment Based on CNN-LSTM
[IEEE] 2026-4-7 | Performance Analysis of Boost Converter Under Nonlinear Scenarios
[ACM] 2026-4-7 | Corrigendum: A Comprehensive Benchmark on Spectral GNNs: The Impact on Efficiency, Memory, and Effectiveness: [Experiments &amp; Analysis]
[IEEE] 2026-4-7 | CDNet: Consistency-Driven Semi-Supervised Object Detection for Remote Sensing
[IEEE] 2026-4-6 | All-Optical Microwave Frequency Division by Harmonic Frequency Locking
[IEEE] 2026-4-6 | Gradient Embedding and Modal Complementarity Networks for Audio-Video Depression Level Prediction
[IEEE] 2026-4-6 | OFERA: Blendshape-driven 3D Gaussian Control for Occluded Facial Expression to Realistic Avatars in VR
[ACM] 2026-4-7 | FlashANNS: GPU-Driven Asynchronous I/O Pipelining for Eliminating Storage-Compute Bottlenecks in Billion-Scale Similarity Search
[IEEE] 2026-4-6 | A Pose-only Geometric Constraint for Multi-Camera Pose Adjustment
[IEEE] 2026-4-7 | Counteracting the Active Area Reduction Caused by Explicit Guard Rings in High-Voltage CMOS SPADs
[IEEE] 2026-4-7 | Seems like a Touch? Comparing Emotional Experience and Illusion of Touch of Visual and Haptic Presentations of Mediated Social Touch in VR
[IEEE] 2026-4-6 | A Mixed-Methods Comparative Study of Remote and Traditional SDR Laboratories Via Bloom's Taxonomy, Surveys, and Focus Group
[IEEE] 2026-4-7 | Occlusion-Free Conformal Lensing for Spatiotemporal Visualization in 3D Urban Analytics
[IEEE] 2026-4-7 | Dual-Frequency Category-Guided Recalibration Network for Remote Sensing Image Semantic Segmentation
[IEEE] 2026-4-6 | Interaction Under Whole-Body User Rotations in VR Space
[IEEE] 2026-4-6 | Asymptotic Analysis of Max-Min SINR in Downlink MISO System with Multi-Weighted Power Constraints
[IEEE] 2026-4-7 | ITS-ShipFormer: An Informative Token Selection Former for SAR Ship Recognition_supp1-3661083.pdf
[IEEE] 2026-4-7 | AvatarEdit: Optical Flow-Guided Consistent Talking Head Avatar Editing_supp1-3680003.pdf
[IEEE] 2026-4-6 | Joint Optimization of Computation Offloading and Resource Allocation in Heterogeneous UAV-Assisted Edge Computing: A Game-Theoretical Approach_supp1-3680337.pdf
[IEEE] 2026-4-7 | Power Loss Modeling of SiC/Si Hybrid Switch Considering Commutation
[IEEE] 2026-4-7 | Respiration Rate Estimation Using ECG and PPG Data: Open Source Implementations Focused on Wearables_supp1-3679610.pdf
[ACM] 2026-4-7 | PRISM: Navigating Cost–Accuracy Trade-offs for NL2SQL
[IEEE] 2026-4-6 | Deep Learning-based Segmentation for Assessment of Kidney Tumour Ablation Therapy in CT Images
[IEEE] 2026-4-6 | Modelling Different Penetration Rates of Automated Eco-Driving Electric Vehicles in an Urban Area
[IEEE] 2026-4-6 | Generation Expansion Planning Framework Integrating Battery Energy Storage Systems into the Screening Curve Method
[IEEE] 2026-4-6 | Multi-Modal 3D Semantic Segmentation with Capsule-Weighted Knowledge Distillation
[IEEE] 2026-4-7 | HTSR-Pollen: Handwritten Text Synthesis and Recognition System to Overcome Data Scarcity
[IEEE] 2026-4-7 | Exploring Zero-Shot Text Simplification for Bengali Science Text using Large Language Models
[IEEE] 2026-4-7 | Predicting and Identifying Low Ground Water Level Areas: A Machine Learning Approach
[IEEE] 2026-4-7 | Imbalance-Aware 3D Anomalous Body Semantic Segmentation: A SMOTE-Guided Conditional Generative Data Augmentation Approach
[IEEE] 2026-4-7 | Quantifying Grid Resilience Under Wind Events: A Multi-Utility Analysis of Outage Risk
[IEEE] 2026-4-7 | LLMs as Agentic Cooperative Players in Multiplayer UNO
[IEEE] 2026-4-7 | Personalized Alzheimer's Disease Treatment Planning Through Predictive Modeling and Explainable Artificial Intelligence
[IEEE] 2026-4-7 | NORA: A Nephrology-Oriented Representation Learning Approach Towards Chronic Kidney Disease Classification
[IEEE] 2026-4-7 | A Φ-OTDR Vibration Localization Method based on Differential Adaptive SG-Spectral Subtraction Algorithm
[IEEE] 2026-4-7 | A Dual-Branch Dynamic Fusion Framework for Unified Multi-Domain Topic Modeling
[IEEE] 2026-4-7 | Distribution Phasor Measurement Unit with Edge Computing for Enhanced Distribution Grid Monitoring and Power Quality Applications
[IEEE] 2026-4-7 | Comprehensive Evaluation of CNN Architectures on CIFAR-10 Dataset
[IEEE] 2026-4-7 | Automated Tulsi Leaf Disease Classification Using a Fine-Tuned ResNet50-Based Deep Convolutional Network
[IEEE] 2026-4-7 | Cross-Modal Retrieval and Retrieval-Augmented Inference for IoT-Enabled Clinical Decision Support
[IEEE] 2026-4-7 | Neuro-Symbolic Agents for Explainable Autonomous Reasoning in Complex Environments
[IEEE] 2026-4-7 | ClimateInformer: An AI-Driven Educational Tool for Scenario-Based Climate Change Prediction and Awareness
[IEEE] 2026-4-7 | Analysing the Impact of Paralleling Battery Banks with Different SOH on Performance and Degradation of Banks
[IEEE] 2026-4-7 | Gated Cross-Modal Prototype Stabilization for Text-Driven Domain Generalization
[IEEE] 2026-4-7 | An Intelligent Energy Efficient Dynamic Load Balancing Algorithm Using Machine Learning for Cloud Computing Environment
[IEEE] 2026-4-7 | Enhanced Power Quality in Cuk-Derived Bridgeless PFC Rectifier Using T2-FLC
[IEEE] 2026-4-7 | Smart City Streetlight System using K-Means Clustering and Decision Tree for Dynamic Energy Management
[IEEE] 2026-4-7 | Hybrid energy harvesting study by Solar Cages in natural and artificial conditions
[IEEE] 2026-4-7 | Perception-based multiplicative noise removal with Diffusion models
[IEEE] 2026-4-7 | From Uncertainty to Clarity: Projecting Points onto Classification Boundaries Using Distance Metrics
[IEEE] 2026-4-7 | BEACON: Behavioral Malware Classification with Large Language Model Embeddings and Deep Learning
[IEEE] 2026-4-7 | Model Reference Control for Grid Forming Inverters
[IEEE] 2026-4-7 | TTQA-RS- A break-down prompting approach for Multi-hop Table-Text Question Answering with Reasoning and Summarization
[IEEE] 2026-4-7 | A Novel Method for Neuro Guard – Intelligent Seizure Alert Device
[IEEE] 2026-4-7 | Bee Detection and Behavior Classification Using YOLOv5, YOLOv7 and YOLOv8
[IEEE] 2026-4-7 | Structure-Adapter: Knowledge Graph Path Soft Prompts for Reliable Legal Retrieval-Augmented Generation
[IEEE] 2026-4-7 | Accurate Classification of Soft Tissue Sarcoma using Hybrid Models
[IEEE] 2026-4-7 | Laboratory Evaluation of Federated, Hierarchical Controls for Distribution Power System Management
[IEEE] 2026-4-7 | Centralized and Localized Voltage Control Strategies for Modern Distribution Systems with DERs and EVs
[IEEE] 2026-4-7 | Hybrid SVM and K-Means Clustering Model for Anomaly Detection in Wireless Sensor Network Environments
[IEEE] 2026-4-7 | Assessing Ethical Risks of Data-Driven Prediction Models in Healthcare AI
[IEEE] 2026-4-7 | Lightweight Neural Architecture Search for On-Device Computer Vision Deployment
[IEEE] 2026-4-7 | Quantum Machine Learning based Framework for Green and Sustainable Power Grids
[IEEE] 2026-4-7 | Solving Math Word Problems Using Estimation Verification and Equation Generation
[IEEE] 2026-4-7 | A Multi-User Detection Algorithm for Phased Array Satellite Communication
[IEEE] 2026-4-7 | Street2Air: A Framework for Synthesizing Aerial Vehicle Views from Ground Images
[IEEE] 2026-4-7 | An Approximate Method for Assessing Full-End Availability of Communication Networks
[IEEE] 2026-4-7 | The Digital Habitus of Generation Z as A Factor in the Transformation of Management Models in the Context of Sustainable Development (ESG) and Lean Manufacturing (LEAN)
[IEEE] 2026-4-7 | TLBDNet: A detection network for tea leaf blight in unmanned aerial vehicle remote sensing images
[IEEE] 2026-4-7 | Data-Driven Intelligent Retrieval for Stochastic and Hydrodynamic Traffic Modeling Using Video Analysis
[IEEE] 2026-4-7 | Mathematical Modeling of the Propagation of Decameter Radio Waves in Magnetoactive Cold Plasma Based on the Bicharacteristic System and Spatio-Temporal Geometric Diffraction Theory
[IEEE] 2026-4-7 | Carbon nanotube acoustic wave sensing and information processing system for intelligent perception
[IEEE] 2026-4-7 | A Multimodal Model for Analyzing Publications of Copyrighted Works
[IEEE] 2026-4-7 | Toward Unified Moderation of Cyberbullying Across Social Media and Video Games
[IEEE] 2026-4-7 | Advancing Environmental Disaster Classification using Deep Learning Models
[IEEE] 2026-4-6 | ADODN: A Dropout-Based Occlusion-Aware Deep Network for Facial Landmark Detection
[IEEE] 2026-4-6 | Toward Functional Testing of Autonomous Ships: A Structured Survey With a Hybrid Virtual-Real Implementation Framework
[IEEE] 2026-4-6 | The future of electric mobility between technology, business acceptance and policy making: lessons learned from the INCIT-EV project
[IEEE] 2026-4-6 | Continuous-Space Multi-Agent Path Finding via Enhanced Prioritized Search with Ackermann Kinematic Constraints
[IEEE] 2026-4-6 | A Hybrid Blockchain Approach to Secure and Transparent Casino Betting and Payouts
[IEEE] 2026-4-6 | Personalized Vehicular Health Diagnosis via Large Language Model
[IEEE] 2026-4-6 | Improved Classification Accuracy of Convolutional Neural Networks with Connected Layers for Electroencephalogram Data
[IEEE] 2026-4-7 | LUNA: A Low-SNR Acoustic Localization and Orientation Framework for UAVs
[IEEE] 2026-4-6 | UAV-Assisted Shadow Removal Framework for Accurate Pavement Crack Segmentation under Complex Illumination Conditions
[IEEE] 2026-4-6 | Stabilization of G-Stochastic Complex Networks via Asynchronous Hierarchical-Triggered Intermittent Control
[IEEE] 2026-4-7 | Honeypot-Driven Proactive Detection Network for Attacks in Smart Grids
[IEEE] 2026-4-6 | Hierarchical Gradient Preserved Network for High Resolution Hyperspectral Fusion Imaging_supp1-3680385.pdf
[IEEE] 2026-4-6 | Hybrid GNN-Centric Architectures for AI-Native 6G Wireless Networks: A Comprehensive Survey
[ACM] 2026-4-7 | Improving LZ4 for Effective Compression and Efficient Query
[IEEE] 2026-4-6 | Algorithm Design and Regret Analysis for Aggregative Optimization in Open Multi-Agent Systems
[IEEE] 2026-4-7 | IT Professionals
[ACM] 2026-4-6 | Open Source Knowledge Automated Reviewer (OSKAR)
[IEEE] 2026-4-6 | Retraction Notice: A Reflection of Driver Drowsiness Detection Techniques
[IEEE] 2026-4-6 | Retraction Notice: An Overview of the Challenges and Applications towards Web Mining
[IEEE] 2026-4-6 | Retraction Notice: Advances in Vision based Lane Detection Algorithm Based on Reliable Lane Markings
[IEEE] 2026-4-6 | Retraction Notice: Implication Centered Learning Mechanism for Exploring Analysis of Variance by Means of Linear Regression in Artificial Neural Networks
[IEEE] 2026-4-6 | Retraction Notice: Distinguishing Reviews Through Sentiment Analysis Using Machine Learning Techniques
[ACM] 2026-4-6 | Robust Adaptive Algorithms for High-Fidelity Next-Generation Video Streaming
[IEEE] 2026-4-6 | BFX: An Interpretable Statistical Tool for Anomaly-Oriented Examination of BGP Features
[IEEE] 2026-4-6 | Through a Glass Darkly [Turnstile]
[IEEE] 2026-4-6 | Improving the Dynamics of a Lifting Mechanism Based on Fuzzy Control Approaches
[IEEE] 2026-4-6 | Methodology for Evaluating the Occurrence, Multiplication, and Spread of Errors in Artificial Intelligence Models
[IEEE] 2026-4-6 | Full-Scale 3D Models for Training in Rhinoscopic Interventions
[IEEE] 2026-4-6 | The Impact of Stress on Cognitive Performance in University Students: EEG-Based Study
[IEEE] 2026-4-6 | Comparing Independent and Centralized Multi-Agent Learning for District Energy Systems
[IEEE] 2026-4-7 | SPI Enabled 64x8 SRAM Memory Design for Biomedical Applications
[IEEE] 2026-4-7 | Noise Reduction in High Slope Deformation Data Based on CEEMD-PCA
[IEEE] 2026-4-7 | Adaptive Sigmoid-Parameterized Retrieval-Augmented Generation for Cold-Start Recommendation
[IEEE] 2026-4-7 | AI-Assisted IoT Smart Battery Management System with Peltier-Based Thermal Control
[IEEE] 2026-4-7 | Efficient Ensemble Machine Learning Framework for Early Prediction of Thyroid Cancer Using Clinical Data
[IEEE] 2026-4-7 | A GAN-Driven Framework for High-Quality Image Restoration and Enhancement
[IEEE] 2026-4-7 | Design and Implementation of an Artificial Intelligence—Based System for Stock Market Prediction and Investment Insights
[IEEE] 2026-4-7 | Analysis and Control of Multi-Input Zeta Converter fed from Renewable Sources for Grid-Tied Inverters
[IEEE] 2026-4-7 | Event-Driven IoT Node: A Low-Power Asynchronous Microcontroller Architecture
[IEEE] 2026-4-7 | IoT based Automated Irrigation System for Aquaponics and Land Farming
[IEEE] 2026-4-7 | Predicting and Preventing Fraud in Supply Chain Networks using Deep Neural Networks and Clustering Techniques
[IEEE] 2026-4-7 | Joint Optimization and Leakage-Proof Strategies for Imbalanced Data
[IEEE] 2026-4-7 | Research on Intelligent Matching Algorithm of Red Archives Content Adaptation to Generation Z Cognitive Preference Based on BERT Pre-training Model
[IEEE] 2026-4-7 | Quantum Resilient Cryptography for Secure Ultra Dense 6G Terahertz Networks
[IEEE] 2026-4-7 | Design and Development of Venn Diagram Shaped Microstrip Patch Antenna for Female Breast Tumor Detection
[IEEE] 2026-4-7 | Edge-Scale Coranking: Azure-Ready Dataset Ranking with DevOps Discipline
[IEEE] 2026-4-7 | Energy-Aware LoRa-Based Remote Health Monitoring System with Edge Intelligence for Extended Field Operation
[IEEE] 2026-4-7 | Machine Learning-Based Analysis of Multi-Source Network Packet Captures
[IEEE] 2026-4-7 | MDVP: Fo, Spread2, and PPE Emerge as Reproducible Biomarkers for Early Screening of Parkinson's Disease
[IEEE] 2026-4-7 | Detecting Fake Job Advertisements Using CNN, RNN, DNN, and Multilingual Transformers
[IEEE] 2026-4-7 | Breaking and Securing Vision-Language Models: An Adversarial Robustness Study
[IEEE] 2026-4-7 | Hybrid Deep-Spiking Neural Architectures for EEG-based Brain Signal Analysis
[IEEE] 2026-4-7 | Strategic Agility in Turbulent Markets: Dynamic Capabilities for Rapid Pivoting
[IEEE] 2026-4-7 | Deep Learning for Unrelated-Machines Scheduling: Handling Variable Dimensions
[IEEE] 2026-4-7 | Southwest Power Pool Adoption of IEEE Std 2800-2022 Reactive/Active Power and Consecutive Voltage Ride-Through Standards
[IEEE] 2026-4-6 | Nematic Liquid Crystal-Embedded Optical Fiber Cryogenic Temperature Sensor Amplified by Vernier Effect
[IEEE] 2026-4-7 | Multimodal Sentiment Analysis Based on Dynamic Language Enhancement and Synergistic Cross-Modal Transformer
[ACM] 2026-4-7 | Enhancing Local Differential Privacy Accuracy by Exploiting Inherent Uncertainty
[IEEE] 2026-4-7 | Attention-Enhanced High-Precision Model for Ground Radiation Field Reconstruction from UAV-Acquired Sparse Radiation Data
[IEEE] 2026-4-7 | Research on Forest Fire Detection Algorithm Based on Improved YOLOv8
[IEEE] 2026-4-7 | AgriCloud Framework: Improving Crop Production by Integrating Cloud and Machine Learning
[IEEE] 2026-4-7 | Automated Configuration of Polymorphic Networks Based on Wafer-Scale Chip
[IEEE] 2026-4-7 | FMVT-AH: Federated Multi-View Vision Transformers with Diffusion-Augmented Histopathology for Breast Cancer Diagnosis
[IEEE] 2026-4-6 | Designing an Adaptive Color Morphology Operator for Exudates and Microaneurysms Detection in Color Fundus Images
[IEEE] 2026-4-7 | Temperature-Dependent Modeling and Optimal Design of LLC Resonant Converters Considering High-Voltage Field-Stop IGBTs Turn-Off Transient
[IEEE] 2026-4-7 | Multimodal Population Graph Networks with Self-Attention Mechanisms for Autism Spectrum Disorder Identification
[IEEE] 2026-4-7 | Radargrammetric 3D Reconstruction of Multiple Moving Ship Targets via Multi-angle Spaceborne SAR Imagery
[IEEE] 2026-4-6 | Making Sense of AI Agents Hype: Adoption, Architectures, and Takeaways from Practitioners
[IEEE] 2026-4-7 | Revolutionizing Smart Farming with IoT and AI-Driven Technologies
[IEEE] 2026-4-7 | University in the Age of AI: Vectors of Transformation
[IEEE] 2026-4-7 | Data-Driven Temperature Prediction of Electric Vehicle Brake Discs Using BP Neural Network
[IEEE] 2026-4-7 | MeshCentral-FogHealth: A Hybrid Supervision Architecture for Distributed Telehealth Systems
[IEEE] 2026-4-7 | IEEECONF 2026 Author Index
[IEEE] 2026-4-6 | RISE: Resource-Efficient RFID Security Protocol in IoT with S-Box and Elliptic Curve Cryptography
[IEEE] 2026-4-6 | FAR-RIO: A Fast and Robust Radar-Inertial Odometry with Isotropic Uncertainty Model and Dual-Observation Update Pipeline
[IEEE] 2026-4-6 | Continuous representation of tactile information by an unsupervised liquid state machine_supp1-3680544.pdf
[IEEE] 2026-4-6 | AI-Assisted Semiotic Analysis of the Cultural Absence of the Zulfikar Sword in Chinese Islamic Visual Culture
[IEEE] 2026-4-6 | <i>NaviGate</i>
                    app: a Digital Catalyst Supporting Coordination in a Smart Port Ecosystem
[IEEE] 2026-4-7 | Real-time Balancing Control of Reconfigurable Battery Packs using Reinforcement Learning
[IEEE] 2026-4-6 | A Hybrid Model for Enhancing 3D Medical Image Segmentation with Self-Attention Volumetric Transformer and Convolutional Neural Network
[IEEE] 2026-4-7 | TemporalFED: A Software Module for Detecting Cyberattacks in Industry 4.0 Time-Series Data Using Decentralized Federated Learning
[IEEE] 2026-4-6 | Efficiency-aware Federated Learning for Image Classification via Model Adaptation
[IEEE] 2026-4-6 | Full W-Band HDI Antenna-in-Package Array Based on a Coplanar Magnetoelectric Dipole
[IEEE] 2026-4-7 | Hybrid Hierarchical Federated Learning over 5G/NextG Wireless Networking
[IEEE] 2026-4-7 | JaiLIP: Jailbreaking Vision-Language Models via Loss Guided Image Perturbation
[IEEE] 2026-4-7 | LoRaDoctor: LLM-Driven Diagnosis and Adaptive Policy Optimization for Reducing Packet Error Rate in LoRaWAN Networks
[IEEE] 2026-4-7 | Operational Efficiency Assessment of Wind Power Generation Across Indian States: An SBM-DEA Approach
[IEEE] 2026-4-7 | Task-Aware Facial Micro-Dynamics Modeling for Dementia Detection using Face-Mesh Motion Signatures
[IEEE] 2026-4-7 | CBF-YOLO: A Multi-scale Feature Enhancement Algorithm for Underground Helmet Detection
[IEEE] 2026-4-7 | The Pinnacle of Drone Innovation with Cutting Edge Camera Integration
[IEEE] 2026-4-7 | Machine Learning Based Approaches in the Education Sector to Impart the Quality Among Students
[IEEE] 2026-4-7 | Reduction in Motor and Generator Life due to Buildup of Residue in Water Heat-exchangers
[IEEE] 2026-4-7 | Bounomodes: the grazing ox algorithm for exploration of clustered anomalies
[IEEE] 2026-4-7 | Cascaded 7 Level Inverter with Built-In Fault Tolerance
[IEEE] 2026-4-7 | Polarization Conversion Metasurface for Dynamic Reconfigurable Multi-Beam
[IEEE] 2026-4-7 | BoP-X: A New XAI Approach to Explain Reinforcement Learning for Autonomous Driving
[IEEE] 2026-4-7 | Dual-Band Anisotropic Metasurface for Polarization-Decoupled Feed Separation in K/Ka Bands
[IEEE] 2026-4-6 | Data-Driven Control of Continuous-Time LTI Systems via Non-Minimal Realizations
[IEEE] 2026-4-6 | Characterization of Patterned Self-Assembled Electrets for Vibrational Energy Harvesters
[IEEE] 2026-4-7 | Masthead
[IEEE] 2026-4-6 | Disturbance-Observer-Based Sliding Mode Controller for Physical Human-Robot Interaction in Multi-Joint Exoskeleton Robots
[IEEE] 2026-4-7 | A Practical On-state Resistance Estimation Scheme of SiC MOSFETs in High-frequency Resonant Converters
[IEEE] 2026-4-6 | Quantum compressed sensing tomographic reconstruction algorithm
[IEEE] 2026-4-7 | Dynamic Key Management in Blockchain using AI
[IEEE] 2026-4-7 | The Pandemic Paradigm Shift: Analyzing Pre-and Post-COVID Effects on Life Insurance
[IEEE] 2026-4-7 | Monte Carlo-Type Neural Operator for One-Dimensional Differential Equations
[IEEE] 2026-4-7 | Enhancing Additive Manufacturing Security: A Novel Approach using Zero Trust, Blockchain, and AI-Powered Watermarking
[IEEE] 2026-4-6 | VMD and Gramian Angular Field Empowered CNN for Drone RF Signal Recognition
共写入 1614 条记录，保存到 papers/paper2026-04-06.json。
论文获取成功，文件路径: papers/paper2026-04-06.json
正在筛选、翻译并发送邮件...
[NO] 1/1614 | Strongly Correlated Superconductivity in Twisted Bilayer Graphene: A Gutzwiller Study
[NO] 2/1614 | A universal property for groupoid C*-algebras. II. Fell bundles
[NO] 3/1614 | An algorithmic Polynomial Freiman-Ruzsa theorem
[NO] 4/1614 | LACE-S: Toward Sensitivity-consistent Locational Average Carbon Emissions via Neural Representation
[NO] 5/1614 | Unlikely intersections in families of polynomial skew products
[NO] 6/1614 | Stationary Einstein-vector-Gauss-Bonnet black holes
[NO] 7/1614 | Isotropy subgroups of homogeneous locally nilpotent derivations
[NO] 8/1614 | On split exact sequences and KK-equivalences of amplified graph C*-algebras
[NO] 9/1614 | Matroid analogues of Gal's conjecture
[NO] 10/1614 | Bootstrap percolation of extension hypergraphs
[NO] 11/1614 | Simultaneous Unicast and Multicast Transmissions in Stacked Intelligent Metasurfaces-assisted HAPS Wireless Networks: Performance Analysis and Optimization
[NO] 12/1614 | A Trudinger-Moser inequality under a refined constraint in fractional dimensions and extremal functions
[NO] 13/1614 | Minimaxity and Admissibility of Bayesian Neural Networks
[NO] 14/1614 | Connected components and topological ends of stationary planar forests
[NO] 15/1614 | Design Guidelines for Game-Based Refresher Training of Community Health Workers in Low-Resource Contexts
[NO] 16/1614 | ZeD-MAP: Bundle Adjustment Guided Zero-Shot Depth Maps for Real-Time Aerial Imaging
[NO] 17/1614 | Synthesis4AD: Synthetic Anomalies are All You Need for 3D Anomaly Detection
[NO] 18/1614 | Communication-Efficient Collaborative LLM Inference over LEO Satellite Networks
[YES] 19/1614 | Search, Do not Guess: Teaching Small Language Models to Be Effective Search Agents
[NO] 20/1614 | Dividend ratcheting and capital injection under the Cramér-Lundberg model: Strong solution and optimal strategy
[NO] 21/1614 | Same World, Differently Given: History-Dependent Perceptual Reorganization in Artificial Agents
[NO] 22/1614 | Interpretation of Crystal Energy Landscapes with Kolmogorov-Arnold Networks
[NO] 23/1614 | Multimodal Backdoor Attack on VLMs for Autonomous Driving via Graffiti and Cross-Lingual Triggers
[NO] 24/1614 | On Optimizing Electrode Configuration for Wrist-Worn sEMG-Based Thumb Gesture Recognition
[NO] 25/1614 | Unified geometric formalism for dissipation and its fluctuations in finite-time microscopic heat engines
[NO] 26/1614 | Biologically Inspired Event-Based Perception and Sample-Efficient Learning for High-Speed Table Tennis Robots
[NO] 27/1614 | nascTime: A Full-Stack 5G-TSN Bridge Simulation Framework with SDAP-Based QoS Mapping and IEEE 802.1AS Transparent Clock
[NO] 28/1614 | Borsuk-Ulam Type Theorems and Mountain Climbing Problem
[NO] 29/1614 | A Clinical Point Cloud Paradigm for In-Hospital Mortality Prediction from Multi-Level Incomplete Multimodal EHRs
[NO] 30/1614 | Cardinality Estimation for High Dimensional Similarity Queries with Adaptive Bucket Probing
[NO] 31/1614 | Breaking the Entanglement-Structure Trade-off: Many-Body Localization Protects Emergent Holographic Geometry in Random Tensor Networks
[NO] 32/1614 | $W^{2,1}$ approximation of planar Sobolev homeomorphisms by smooth diffeomorphisms
[NO] 33/1614 | Noisy Nonreciprocal Pairwise Comparisons: Scale Variation, Noise Calibration, and Admissible Ranking Regions
[NO] 34/1614 | Firebolt-VL: Efficient Vision-Language Understanding with Cross-Modality Modulation
[NO] 35/1614 | SAIL: Scene-aware Adaptive Iterative Learning for Long-Tail Trajectory Prediction in Autonomous Vehicles
[NO] 36/1614 | Optimal, Qubit-Efficient Quantum Vehicle Routing via Colored-Permutations
[NO] 37/1614 | Reciprocal binomial sums via Beta integrals
[NO] 38/1614 | On the minimum number of monochromatic solutions to the strict Schur inequality in 2-colored integer intervals with negative left endpoint
[NO] 39/1614 | Beyond Imbalance Ratio: Data Characteristics as Critical Moderators of Oversampling Method Selection
