[2026-04-03 22:34:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Sensitivity analysis for stopping criteria with application to organ transplantations
[IEEE] 2026-4-3 | Miniaturized Multibeam Reflectarray Antenna Based on Mathematical Unit Cell Design
[IEEE] 2026-4-3 | A short-term EV charging load forecast method based on Kolmogorov–Arnold Spatiotemporal Attention Recurrent Network
[IEEE] 2026-4-3 | Lightweight Cluster Matching-based Tracking Method for Fall Detection using a Single-LiDAR
[IEEE] 2026-4-3 | Enhancing Deepfake Detection: Leveraging StyleGAN3 for Robust AI-Generated Forgery Identification
[IEEE] 2026-4-3 | K-Means and Gaussian Mixture Models on Lie Groups: Application to Geometrical Clustering_supp1-3678342.pdf
[IEEE] 2026-4-3 | Differential Privacy on Federated Learning: A Correlated Equilibrium and Simulated Annealing Approach
[IEEE] 2026-4-2 | Security Analysis of RIS-Assisted Physical-Layer Authentication Over Multipath Channels
[IEEE] 2026-4-2 | Pushing Performance: Quantized BRGEMM Convolutions for Efficient Vision Inference on ARM
[IEEE] 2026-4-2 | Differential Effects of Virtual and Augmented Reality on Social Presence and Engagement in Collaborative Gaming for Unfamiliar Users
[IEEE] 2026-4-2 | Graph Coarsening for High-Performance GNN
[IEEE] 2026-4-2 | DarkStream: real-time speech anonymization with low latency
[IEEE] 2026-4-2 | Rapidly Adapting to New Voice Spoofing: Few-Shot Detection of Synthesized Speech Under Distribution Shifts
[IEEE] 2026-4-2 | Iterative Feedback in the Online Active Learning Paradigm
[IEEE] 2026-4-2 | Phoneme Overlapping-Aware Pre-Training with External Text Resources for Multi-Talker ASR
[IEEE] 2026-4-2 | GenAssist: Interactive Prompt-Driven XR Program Generation
[IEEE] 2026-4-2 | KAN-AST: Kolmogorov-Arnold Network based Audio Spectrogram Transformer for Audio Classification
[IEEE] 2026-4-2 | MEAN-RIR: Multi-Modal Environment-Aware Network for Robust Room Impulse Response Estimation
[IEEE] 2026-4-2 | SEF-MK: Speaker-Embedding-Free Voice Anonymization through Multi-k-means Quantization
[IEEE] 2026-4-2 | Graph Connectionist Temporal Classification for Phoneme Recognition
[IEEE] 2026-4-2 | Adaptive Audio-Visual Speech Recognition via Matryoshka-Based Multimodal LLMs
[IEEE] 2026-4-2 | DHL-FLD: A Distributed Hybrid Learning Based on Fisher Linear Discriminant for Data Classification_supp1-3679680.pdf
[IEEE] 2026-4-2 | Improving Machine Translation with PPO and Token-Adaptive Early Exit in Transformer-based Models
[IEEE] 2026-4-2 | FPF-SNNs: Floating-Point-Free Spiking Neural Networks
[IEEE] 2026-4-2 | Robust Phase Error Reconstruction for Airborne Stripmap SAR via Global Optimization
[IEEE] 2026-4-2 | IEEE VR 2026 Keynote Speaker Mar Gonzalez-Franco
[IEEE] 2026-4-2 | A Physics-Guided Spatio-Temporal Feature Cross-Fusion Network for Damage Localization in CFRP
[IEEE] 2026-4-2 | Dynamic Event-Triggered RBFNN-Enabled Resilient Control of Cyber Physical Systems Under Sensor/Actuator Deception and DoS Attacks
[IEEE] 2026-4-2 | Trajectory Prediction and Cooperative Optimization for Intelligent Ground-Based Target Tracking Systems
[IEEE] 2026-4-2 | Can't Nobody Stop Me! Non-Euclidean Portal Reset for Continuous Walking in Virtual Reality_supp1-3679901.mp4
[IEEE] 2026-4-2 | Speech Masking System Based on Spatially Separated Multiple TTS Maskers With A Compact Circular Loudspeaker Array
[IEEE] 2026-4-3 | Drones as a Platform for Integrated STEM Education: Bridging Engineering, Programming, and Real-World Applications
[IEEE] 2026-4-3 | Formal Modeling and Verification of Block Production BABE Protocol in Polkadot
[IEEE] 2026-4-3 | Computational Modeling and Optimization of Large-area Showerhead Configurations in PECVD Reactors
[IEEE] 2026-4-2 | Ensemble Virtual Metrology Models of Semiconductor Processes
[IEEE] 2026-4-3 | Open-Vocabulary SAM3D: Towards Training-free Open-Vocabulary 3D Scene Understanding
[IEEE] 2026-4-2 | Adaptive PID-Incorporated Nonnegative Latent Factor Analysis
[IEEE] 2026-4-2 | Leader–Follower Output Consensus for Heterogeneous Nonlinear Multiagent Systems Under Event-Triggered Communication: A Gain-Based Estimator Method
[IEEE] 2026-4-3 | Hybrid Few-Shot Learning with Attention for Multi-Disease and Out-of-Distribution Detection in Retinal Imaging
[IEEE] 2026-4-3 | Non-Repetitive Scan Correction for LiDAR Odometry via Spatial Analysis in CERN Facilities
[IEEE] 2026-4-3 | Fault-Tolerant Control Framework for Quadcopters With Implementation-Decoupled Fault Diagnosis and Continuum Control Allocation
[IEEE] 2026-4-2 | A Laplacian-regularization Enhanced Reduced-order Variational Mode Decomposition Method for Sea Wave Parameter Inversion
[IEEE] 2026-4-3 | Disturbance Rejection Event-Triggered DMPC with Variable Horizon for Connected Vehicle Platoons Against DoS Attacks
[IEEE] 2026-4-2 | Front cover
[IEEE] 2026-4-3 | Uncrewed Aerial Vehicle Tracking Control Based on Eagle Vision and Evolution Theory
[IEEE] 2026-4-3 | HarassGuard: Detecting Harassment Behaviors in Social Virtual Reality with Vision-Language Models
[IEEE] 2026-4-3 | Setup-Independent Full Projector Compensation
[IEEE] 2026-4-3 | Accessible Soil Moisture Sensor System for Small Farmers of San Joaquin Valley, CA
[IEEE] 2026-4-2 | WeakTr: Exploring Plain Vision Transformer for Weakly-supervised Semantic Segmentation
[IEEE] 2026-4-2 | IEEE Standard for Testing and Performance of Hardware for Optical Phase Conductor (OPPC)
[IEEE] 2026-4-2 | Set-Based State Estimation for Discrete-Time Semi-Markov Jump Linear Systems Using Zonotopes
[IEEE] 2026-4-2 | Front Cover
[IEEE] 2026-4-2 | Dynamic Resource Allocation in IRS-Assisted Hybrid mmWave and THz Networks for eURLLC and FeMBB Services
[IEEE] 2026-4-2 | GTEA: A Game-Theoretic Evolutionary Algorithm for Solving Vehicle Routing Problem With Time Windows Under Uncertain Travel Times_supp1-3678316.pdf
[IEEE] 2026-4-2 | Research on Temperature Drift Compensation Algorithms of Hall Current Sensor
[IEEE] 2026-4-2 | Author Index
[IEEE] 2026-4-2 | Can self-supervised speech models predict the perceived acceptability of prosodic variation?
[IEEE] 2026-4-2 | EmoBiMamba-TTS: Bidirectional State Space Model for Emotion-Intensity Controllable Text-to-Speech
[IEEE] 2026-4-2 | Streaming Endpointer for Spoken Dialogue using Neural Audio Codecs and Label-Delayed Training
[IEEE] 2026-4-2 | CoLMbo: Speaker Language Model for Descriptive Profiling
[IEEE] 2026-4-2 | Enabling Distributed Deep Learning frameworks on Trinetra-A Network
[IEEE] 2026-4-2 | PEEP: A Tool for PErformance Effect Prediction
[IEEE] 2026-4-2 | Obscuring the ‘Who,’ Preserving the ‘What’: Targeted Eye-tracking Feature Obfuscation in Virtual Reality for Privacy-Utility Balance
[IEEE] 2026-4-2 | Towards Understanding Time-Varying Spatial 3D Data Analysis with Animation and Small Multiples in Virtual Reality and Desktop
[IEEE] 2026-4-2 | Spiralformer: Low Latency Encoder for Streaming Speech Recognition with Circular Layer Skipping and Early Exiting
[ACM] 2026-4-2 | A Development Platform for Managed Heterogeneous Accelerated Compute Clusters: A Case Study on ETH Zurich’s AMD HACC
[IEEE] 2026-4-2 | Retrofilling Power Transformers with Ester- and GTL-Based Fluids: A Systematic Review on Performance, Challenges, and Future Research Directions
[IEEE] 2026-4-2 | Vertical Wind Disturbance Response of a Quadrotor with Suspended Payload Using Blade Element Momentum Theory Informed Rotor Models
[IEEE] 2026-4-2 | RSATalker: Realistic Socially-Aware Talking Head Generation for Multi-Turn Conversation_supp1-3679919.mov
[IEEE] 2026-4-2 | GSReuse: Temporally Adaptive Screen-Space Reuse for Accelerating 3D Gaussian Splatting_supp1-3679889.mp4
[IEEE] 2026-4-3 | SigNify: A Camera-Based Device for Interpreting Filipino Sign Language
[IEEE] 2026-4-3 | DGDE-Net: A Lightweight Sensing Network for Marine Mammal Sound Separation
[IEEE] 2026-4-3 | You May Use the Same Channel Knowledge Map for Environment-Aware NLoS Sensing and Communication
[IEEE] 2026-4-3 | Resolving 3D Printing Issues: Insights from Manufacturer Guides, Al Assistance, and Forums
[IEEE] 2026-4-2 | Novel Charge-Ring Vertical NAND Flash Memory for Data Retention Improvement
[IEEE] 2026-4-2 | Carbon Footprint Reduction for Product Returns: Impacts of Return Freight Insurance
[IEEE] 2026-4-3 | HGroupScene: Hierarchical Grouping and Similar Aggregation for 3D Semantic Scene Completion
[IEEE] 2026-4-3 | DPENet: A Dual Prototype-Enhanced Network for Few-Shot Object Detection
[IEEE] 2026-4-2 | A Single-Phase Non-Isolated Buck Boost Integrated on-board Charger with G2V, V2H, V2V, and Minimal Leakage Current
[IEEE] 2026-4-3 | MSAW-Net: Dual-Path Fusion Network with Multi-scale Spatiotemporal Attention Weighting for Human Action Recognition
[IEEE] 2026-4-3 | A Lightweight Transformer-KAN Framework for Fault Diagnosis in Power Conversion Circuits
[IEEE] 2026-4-3 | Design and Analysis of a Novel High-Extension Modular Manipulator for Dexterous and Confined-Space Operations_supp1-3680340.mp4
[IEEE] 2026-4-3 | Exponential Stabilization for Discrete-Time Networked Control Systems With Multisource-Induced Time-Varying Delays
[IEEE] 2026-4-2 | Cover 2
[IEEE] 2026-4-2 | ExGes: Expressive Human Motion Retrieval and Modulation for Audio-Driven Gesture Synthesis_supp1-3679469.mp4
[IEEE] 2026-4-2 | Dynamic Pareto Allocation for Transition Phase of Over-Actuated Hybrid Quadplane
[IEEE] 2026-4-2 | Linear quantum systems: poles, zeros, invertibility and sensitivity
[IEEE] 2026-4-2 | Analysis of Domain Shift across ASR Architectures via TTS-Enabled Separation of Target Domain and Acoustic Conditions
[IEEE] 2026-4-2 | Walking in the Wild: Safe and Natural Redirected Walking in Open Physical Spaces
[IEEE] 2026-4-2 | Identifying and Calibrating Overconfidence in Noisy Speech Recognition
[IEEE] 2026-4-2 | Incorporating Contextual Paralinguistic Understanding in Large Speech-Language Models
[IEEE] 2026-4-2 | EduGenAI: A Framework for Generative AI in Computational Science Education
[IEEE] 2026-4-2 | Agentic AI Meets RAG: A Framework for Domain-Specific Knowledge Evaluation
[IEEE] 2026-4-2 | Covert Waveform Design for Integrated Sensing and Communication System in Clutter Environment
[IEEE] 2026-4-2 | Reviewers
[IEEE] 2026-4-3 | Chaos is a Ladder (and Increases with Storage): Aiding Communications with RSSI-Based Common Randomness
[IEEE] 2026-4-3 | Charting 15 Years of Progress in Deep Learning for Speech Emotion Recognition: a Replication Study
[IEEE] 2026-4-3 | A High-Frequency, High-Q Lamb Wave Resonator for Sensitive Detection of Viscosity-Density Product in Liquids
[IEEE] 2026-4-3 | Integrating MILP and Reinforcement Learning for Optimal Clustering in Energy-Constrained Large-Scale Internet of Things Networks
[IEEE] 2026-4-3 | A novel wind power ramp events prediction model based on vector features forecasting and data transfer learning
[IEEE] 2026-4-3 | Open–Box: Extracting Interpretable Rules From any Classifier
[IEEE] 2026-4-3 | Task-Agentic Resource Scheduling in ISCC Networks via Multi-Agent LLMs
[IEEE] 2026-4-3 | LIMO: Large Language Model-Empowered Intent-Driven Network Management and Orchestration
[IEEE] 2026-4-3 | Microelectronics and VLSI Curriculum Development for Potential Workforce
[IEEE] 2026-4-3 | Characterizing Carbon Cost of Federated Learning
[IEEE] 2026-4-3 | A 4-GHz Ring-VCO-Based Wideband Double-Sampling PLL With −88.2-dBc Reference Spur, 119-fsRMS Jitter and −244.1-dB FOM
[IEEE] 2026-4-2 | A Multi-Criteria Evolutionary Game for Cyber-Physical Microgrids with Adaptive Resilience
[ACM] 2026-4-2 | Teachable Tracking: Supporting Older Adults in Shaping Their Own Activity Recognition Systems
[IEEE] 2026-4-2 | A Pulse-Operated Nonlinear Distortion Characterization Module for Millimeter-Wave Power Amplifiers With On-Chip Delay Alignment
[ACM] 2026-4-2 | Designing Experiential Sport Technology for People With Disabilities
[IEEE] 2026-4-3 | Front Cover
[IEEE] 2026-4-2 | Privacy-Preserving Continuous Authentication of Smartphone Users Via Secret Sharing
[ACM] 2026-4-2 | A Survey of Algorithm Debt in Machine and Deep Learning Systems: Definition, Smells, and Future Work
[ACM] 2026-4-2 | Augmenting Automated Spectrum-Based Multi-Fault Localization via Borderline Confident Learning
[IEEE] 2026-4-2 | Table of Contents
[IEEE] 2026-4-2 | Cloud-based Optimization and Defense in Active Distribution Networks under Compound Attacks
[IEEE] 2026-4-2 | Ultra-low power GNSS L5 band snapshot positioning: A two step approach
[IEEE] 2026-4-2 | A Cross-Language Approach to Recommending Method Names According to Functional Descriptions
[IEEE] 2026-4-2 | Slightly Stretching Your Arm's Reach May Improve VR Interaction: The Optimal Interaction Zone in a Memory Task_supp1-3679873.pdf
[IEEE] 2026-4-2 | 6G Beyond Radio: From Connecting Devices to Sensing the World
[IEEE] 2026-4-2 | <b>SAMURAI:</b>
                    Runtime Attack Detection in AI Accelerators Using AI Performance Counters
[IEEE] 2026-4-2 | IEEE VR 2026 Conference Paper Program Chairs Message
[IEEE] 2026-4-2 | IEEE VR 2026 VGTC Virtual Reality Lifetime Achievement Award
[IEEE] 2026-4-2 | Component Reassignment for Multi-component Systems Subject to Multiple Dependent Competing Failure Processes
[IEEE] 2026-4-2 | Customizing Speech Recognition Model with Large Language Model Feedback
[IEEE] 2026-4-2 | Interpreting the Role of Visemes in Audio-Visual Speech Recognition
[IEEE] 2026-4-2 | Improving Noise Robust Audio-Visual Speech Recognition via Router-Gated Cross-Modal Feature Fusion
[IEEE] 2026-4-2 | All-in-One ASR: Unifying Encoder-Decoder Models of CTC, Attention, and Transducer in Dual-Mode ASR
[IEEE] 2026-4-2 | ZO-ASR: Zeroth-Order Fine-Tuning of Speech Foundation Models without Back-Propagation
[IEEE] 2026-4-2 | Analysis of Streaming Inference Pipeline for Edge Accelerators
[IEEE] 2026-4-2 | Audiovisual Realism in MR: Investigating the Effects of Room Acoustics on Co-Presence with Photorealistic Avatars
[IEEE] 2026-4-2 | A one-stop DSL for all your GNN workloads
[IEEE] 2026-4-2 | Student Challenges in Scientific Computing: Insights from EUMaster4HPC Organization and Execution
[IEEE] 2026-4-2 | Clean Up Your Lab: The Impact of Technology Clutter and Replica Environments on Cognitive Performance
[IEEE] 2026-4-2 | Extend Your Horizon: A Device-Agnostic Surgical Tool Tracking Framework with Multi-View Optimization for Augmented Reality
[IEEE] 2026-4-2 | Elementor: an Embodied Chemistry Learning Game Using Mixed Reality and Generative Artificial Intelligence
[IEEE] 2026-4-3 | Digital literacy and AI in underfunded schools targeting school teachers (Diversity and inclusion)
[IEEE] 2026-4-3 | RL-Based Anti-Jamming Maritime Communications for LLM Inference
[IEEE] 2026-4-2 | Local Node-Driven Distributed Formation Control for USVs: An LMPC-based Safety-Enhanced Mechanism
[IEEE] 2026-4-2 | Trust Aware and Explainable Access Control for Internet of Medical Things: A Lightweight Hybrid Blockchain Approach
[IEEE] 2026-4-3 | Split Learning-Based Channel Prediction for 6G-Enabled LEO Satellite Systems
[IEEE] 2026-4-2 | A Study of the Position-Dependent Response of Thermal Kinetic Inductance Detectors Through the Use of Cryogenic Beam Steering
[IEEE] 2026-4-3 | Reaching Resilient Leader-Follower Consensus in Time-Varying Networks via Multi-Hop Relays
[IEEE] 2026-4-3 | Context-aware TFL: a Universal Context-aware Contrastive Learning Framework for Temporal Forgery Localization
[IEEE] 2026-4-3 | Retrieving Ice Water Path using GMI brightness temperature data based on the new-constructed ARM Database
[IEEE] 2026-4-3 | Impact of Cross-Border Flow Forecast Alignment on Flow-Based Market Coupling Efficiency
[IEEE] 2026-4-3 | Decentralized Trust for Space AI: Blockchain-Based Federated Learning Across Multi-Vendor LEO Satellite Networks
[IEEE] 2026-4-2 | Predictive Reliability Modeling for NSFET Optimization—Part I: Carrier Transport and Heat Generation
[IEEE] 2026-4-3 | Fabrication of Stable SWCNT–Metal Contacts via Adaptive Current Stress
[IEEE] 2026-4-3 | Optimum Design of Asymmetric 4H-SiC Superjunction Devices for Wide Charge Imbalance Tolerance
[IEEE] 2026-4-2 | A Novel FEM with MPGA-Assisted Noise Matching Network and DC-offset Cancellation for Ultrasonic Application
[IEEE] 2026-4-3 | Incremental Micro-Expression Recognition: A Benchmark
[IEEE] 2026-4-2 | A Part-aware Learning Network for Weakly Supervised Semantic Segmentation
[IEEE] 2026-4-3 | RobustRailNet: Architecture-Driven Adversarial Robustness for Safety-Critical Railway Obstacle Perception
[IEEE] 2026-4-3 | A Remaining Useful Life Prediction Framework for IGBT Based on Dynamic Precursor Weighting
[IEEE] 2026-4-2 | Simultaneous Feature and Instance Selection via Evolutionary Auxiliary Optimization
[IEEE] 2026-4-3 | Fast Anchor Graph Regularized Relaxation Linear Regression for Classification of Hyperspectral Images
[IEEE] 2026-4-3 | Failure Localization in Optical Networks: How Much Machine Learning do We Need?
[IEEE] 2026-4-2 | Robust Reinforcement Learning Quadcopter Control System for Offshore Cement Wind Turbine Construction
[IEEE] 2026-4-2 | A Blockchain-Enabled Consumer-Centric Digital Twin Framework with AI-Driven Predictive Analytics for Healthcare 5.0
[IEEE] 2026-4-3 | MCPNet++: Interpretable Classification Models via Multi-Level Concept Prototypes
[IEEE] 2026-4-3 | OTFS with Emerging Technologies for High-Mobility IoT Networks
[IEEE] 2026-4-2 | Post-training for Deepfake Speech Detection
[IEEE] 2026-4-2 | MMMOS: Multi-domain Multi-axis Audio Quality Assessment
[IEEE] 2026-4-2 | Competitive Audio-Language Models with Data-Efficient Single-Stage Training on Public Data
[IEEE] 2026-4-2 | Securing Approximate Communication in NoC-based Systems
共写入 1842 条记录，保存到 papers/paper2026-04-02.json。
论文获取成功，文件路径: papers/paper2026-04-02.json
正在筛选、翻译并发送邮件...
[NO] 1/1842 | Sensitivity analysis for stopping criteria with application to organ transplantations
[NO] 2/1842 | PRO-SPECT: Probabilistically Safe Scalable Planning for Energy-Aware Coordinated UAV-UGV Teams in Stochastic Environments
[NO] 3/1842 | Attention Mechanisms Through the Lens of Numerical Methods: Approximation Methods and Alternative Formulations
[NO] 4/1842 | Quadratic gravity corrections to scalar QNMs of rapidly rotating black holes
[NO] 5/1842 | Bounded Ramsey's theorem for triples in computability theory
[NO] 6/1842 | Answering the Wrong Question: Reasoning Trace Inversion for Abstention in LLMs
[NO] 7/1842 | One-Shot Secret Sharing with Monotone Access Structures over Classical-Quantum Broadcast Channels
[NO] 8/1842 | Blinded Radiologist and LLM-Based Evaluation of LLM-Generated Japanese Translations of Chest CT Reports: Comparative Study
[NO] 9/1842 | Random-Subspace Sequential Quadratic Programming for Constrained Zeroth-Order Optimization
[NO] 10/1842 | Towards Position-Robust Talent Recommendation via Large Language Models
[NO] 11/1842 | A Pragmatist Understanding of Quantum Mechanics
[NO] 12/1842 | What can be computed in average anonymous networks?
[NO] 13/1842 | TRU: Targeted Reverse Update for Efficient Multimodal Recommendation Unlearning
[YES] 14/1842 | Adam's Law: Textual Frequency Law on Large Language Models
[NO] 15/1842 | Simulations of internal kink modes and sawtooth crashes for SPARC baseline-like scenarios using the M3D-C1 code
[NO] 16/1842 | Reflection Generation for Composite Image Using Diffusion Model
[NO] 17/1842 | Data-Driven Tube-Based Zonotopic Predictive Control With Nonconvex Layered Terminal Sets
[NO] 18/1842 | Conservative flux reconstruction for an elliptic interface problem using CutFEM
[NO] 19/1842 | TRACE-Bot: Detecting Emerging LLM-Driven Social Bots via Implicit Semantic Representations and AIGC-Enhanced Behavioral Patterns
[NO] 20/1842 | Application of parametric Shallow Recurrent Decoder Network to magnetohydrodynamic flows in liquid metal blankets of fusion reactors
[NO] 21/1842 | Characteristic numbers of canonical toric manifolds and their applications
[NO] 22/1842 | A forward-angle large-acceptance magnetic spectrometer
[YES] 23/1842 | Semantic Evolution over Populations for LLM-Guided Automated Program Repair
[NO] 24/1842 | Effective Field Theory for Superconducting Phase Transitions
[NO] 25/1842 | Safe Control of Feedback-Interconnected Systems via Singular Perturbations
[NO] 26/1842 | Intelligent Cloud Orchestration: A Hybrid Predictive and Heuristic Framework for Cost Optimization
[NO] 27/1842 | SEAL: An Open, Auditable, and Fair Data Generation Framework for AI-Native 6G Networks
[NO] 28/1842 | AA-SVD : Anchored and Adaptive SVD for Large Language Model Compression
[NO] 29/1842 | FlatAttention: Dataflow and Fabric Collectives Co-Optimization for Large Attention-Based Model Inference on Tile-Based Accelerators
[NO] 30/1842 | HyVGGT-VO: Tightly Coupled Hybrid Dense Visual Odometry with Feed-Forward Models
[YES] 31/1842 | A Case For Host Code Guided GPU Data Race Detector
[NO] 32/1842 | Lithium Droplet Transport in Tokamak Edge Plasmas
[NO] 33/1842 | Chiral-scale effective field theory for dense and thermal systems
[NO] 34/1842 | Importance sampling for Bayesian inference: polynomial-dimension dependent error bounds
[NO] 35/1842 | On Ramsey number of $K_{2,n}$ versus even cycles
[NO] 36/1842 | Gaussian closure and dynamical mean-field theory for self-avoiding heteropolymers
[YES] 37/1842 | Automated Functional Testing for Malleable Mobile Application Driven from User Intent
[NO] 38/1842 | A time grating approach to ultrahigh-Q guided mode resonance
[NO] 39/1842 | Optimal skyrmion stability in antisymmetric ultrathin ferromagnetic bilayers
[NO] 40/1842 | Network Structure in UK Payment Flows: Evidence on Economic Interdependencies and Implications for Real-Time Measurement
[NO] 41/1842 | Tracking the emergence of linguistic structure in self-supervised models learning from speech
[NO] 42/1842 | A Fenchel Theorem for the Gauss maps and uniqueness of minimizers of nonlocal curvature energies
[NO] 43/1842 | Perspectives in and on Quantum Theory
[NO] 44/1842 | The Axion Helical Misalignment Mechanism
[NO] 45/1842 | Tree-independence number and forbidden induced subgraphs: excluding a $6$-vertex path and a $(2,t)$-biclique
[NO] 46/1842 | Systems with discrete singular $φ$-Laplacian and maximal monotone boundary conditions
[NO] 47/1842 | MTLSI-Net: A Linear Semantic Interaction Network for Parameter-Efficient Multi-Task Dense Prediction
[NO] 48/1842 | Curia-2: Scaling Self-Supervised Learning for Radiology Foundation Models
[NO] 49/1842 | ATLAS and CMS measurements of the $t\bar{t}$ cross section, including off-shell and near threshold
[NO] 50/1842 | Equivalence of toral Chern-Simons and Reshetikhin-Turaev theories
[NO] 51/1842 | Exponential Asymptotics for Dark Solitons of the Discrete NLS Model
[NO] 52/1842 | Semi-explicit entropic solution to a generalised Riemann problem in some hydrological context
[NO] 53/1842 | SDesc3D: Towards Layout-Aware 3D Indoor Scene Generation from Short Descriptions
[NO] 54/1842 | Revisiting Conservativeness in Fluid Dynamics: Failure of Non-Conservative PINNs and a Path-Integral Remedy
[NO] 55/1842 | Abnormal Head Movements in Neurological Conditions: A Knowledge-Based Dataset with Application to Cervical Dystonia
[NO] 56/1842 | Output Corridor Impulsive Control of First-order Continuous System with Non-local Attractivity Analysis
[YES] 57/1842 | Learn by Surprise, Commit by Proof
[NO] 58/1842 | annbatch unlocks terabyte-scale training of biological data in anndata
[NO] 59/1842 | Lead-free antiperovskite derivatives Ba$_3$MA$_3$ (M = P, As, Sb, Bi; A = Cl, Br, I): Next-gen materials for optoelectronics
[NO] 60/1842 | ImplicitBBQ: Benchmarking Implicit Bias in Large Language Models through Characteristic Based Cues
[NO] 61/1842 | Enhancing Medical Visual Grounding via Knowledge-guided Spatial Prompts
[NO] 62/1842 | The Rank and Gradient Lost in Non-stationarity: Sample Weight Decay for Mitigating Plasticity Loss in Reinforcement Learning
[NO] 63/1842 | Gaussian Process Inference of Stochastic Magneto-Active Dynamics and Viscosity in Swift J1727.8-1613
[NO] 64/1842 | FTPFusion: Frequency-Aware Infrared and Visible Video Fusion with Temporal Perturbation
[NO] 65/1842 | Atomistic theory of the phonon angular momentum Hall effect
[NO] 66/1842 | Bayesian Elicitation with LLMs: Model Size Helps, Extra "Reasoning" Doesn't Always
[NO] 67/1842 | SHARC: Reference point driven Spherical Harmonic Representation for Complex Shapes
[NO] 68/1842 | ProVG: Progressive Visual Grounding via Language Decoupling for Remote Sensing Imagery
[NO] 69/1842 | GS^2: Graph-based Spatial Distribution Optimization for Compact 3D Gaussian Splatting
[NO] 70/1842 | A3R: Agentic Affordance Reasoning via Cross-Dimensional Evidence in 3D Gaussian Scenes
[NO] 71/1842 | Towards Intrinsically Calibrated Uncertainty Quantification in Industrial Data-Driven Models via Diffusion Sampler
[NO] 72/1842 | MAR-MAER: Metric-Aware and Ambiguity-Adaptive Autoregressive Image Generation
[NO] 73/1842 | Chromatic Noshift
[NO] 74/1842 | Efficient Constraint Generation for Stochastic Shortest Path Problems
[YES] 75/1842 | Can Large Language Models Model Programs Formally?
[NO] 76/1842 | Retrieval-aligned Tabular Foundation Models Enable Robust Clinical Risk Prediction in Electronic Health Records Under Real-world Constraints
[NO] 77/1842 | On the equivalence of the integrability obstructions for transitive Lie algebroids
[NO] 78/1842 | GAP-URGENet: A Generative-Predictive Fusion Framework for Universal Speech Enhancement
[NO] 79/1842 | Physics Informed Reinforcement Learning with Gibbs Priors for Topology Control in Power Grids
[NO] 80/1842 | SafeRoPE: Risk-specific Head-wise Embedding Rotation for Safe Generation in Rectified Flow Transformers
[NO] 81/1842 | Quasi-1D Planar Magnetic Topological Heterostructure
[NO] 82/1842 | A review of compactness methods for cross-diffusion systems seen as Wasserstein gradient flows
[NO] 83/1842 | Hausdorff compactness and regularity for classes of open sets under geometric constraints
[NO] 84/1842 | Stability of the Timoshenko Beam Equation with One Weakly Degenerate Local Kelvin-Voigt Damping
[NO] 85/1842 | The cohesive and stable Ramsey theorems and proof size over a weak base theory
[NO] 86/1842 | SN2024abfl: A Low-Luminosity Type IIP Supernova at the Low-Mass End of Core Collapse
[NO] 87/1842 | A deep learning pipeline for PAM50 subtype classification using histopathology images and multi-objective patch selection
[NO] 88/1842 | Low-Temperature Asymptotics of the Poincaré and the log-Sobolev Constants for Łojasiewicz Potentials
[NO] 89/1842 | Exclusive semileptonic and nonleptonic $J/ψ$ decays
[NO] 90/1842 | Cuspidal endo-support and strong beta extensions
[NO] 91/1842 | Preferential Bayesian Optimization with Crash Feedback
[NO] 92/1842 | Spectroscopic Case Studies of Four Long-duration Transition-region Explosive Events
[NO] 93/1842 | Improving Operational Feasibility in Large-Scale Power System Planning
[NO] 94/1842 | DriveDreamer-Policy: A Geometry-Grounded World-Action Model for Unified Generation and Planning
[NO] 95/1842 | Analysis of Efficient Transmission Methods of Grid Maps for Intelligent Vehicles
[NO] 96/1842 | Functional relations in renormalization group methods for a class of ordinary differential equations
[NO] 97/1842 | Liouville integrable Lotka-Volterra systems
[NO] 98/1842 | Eyes Can't Always Tell: Fusing Eye Tracking and User Priors for User Modeling under AI Advice Conditions
[NO] 99/1842 | DDCL: Deep Dual Competitive Learning: A Differentiable End-to-End Framework for Unsupervised Prototype-Based Representation Learning
[NO] 100/1842 | Setup-Independent Full Projector Compensation
[NO] 101/1842 | From BM25 to Corrective RAG: Benchmarking Retrieval Strategies for Text-and-Table Documents
[NO] 102/1842 | Phase-Shifted Pilot Design for NOMA-Empowered Uplink ISAC Systems
[NO] 103/1842 | On expectations and variances in the hard-core model
[NO] 104/1842 | OpenGo: An OpenClaw-Based Robotic Dog with Real-Time Skill Switching
[NO] 105/1842 | Semiring identities in the semigroup $B_2$
[NO] 106/1842 | Can Video Diffusion Models Predict Past Frames? Bidirectional Cycle Consistency for Reversible Interpolation
[NO] 107/1842 | Bond-density-wave orders induced by geometric frustration in the kagome metal CeRu3Si2
[NO] 108/1842 | The Integral Chow Ring of Smooth Non-strict Toric Stacks
[NO] 109/1842 | GPA: Learning GUI Process Automation from Demonstrations
[NO] 110/1842 | HOT: Harmonic-Constrained Optimal Transport for Remote Photoplethysmography Domain Adaptation
[NO] 111/1842 | Unusually Hot Interiors Could Reconcile the Missing Methane Problem for Warm-to-Hot Exoplanets with Hydrogen Atmospheres
[NO] 112/1842 | PRCCF: A Persona-guided Retrieval and Causal-aware Cognitive Filtering Framework for Emotional Support Conversation
