[2026-06-13 23:04:29] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-12
正在获取论文...
[ACM] 2026-6-12 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[ACM] 2026-6-12 | The Open-Ended Suggestion Trap: What Expert–Non-Expert Interactions in Policy Comment Writing Reveal for AI Assistance Design
[ACM] 2026-6-12 | SOTATE: Visualizing Personal Social Battery Levels and Recharging States in Open-Plan Offices
[ACM] 2026-6-12 | 'It literally feeds on data': Co-designing Privacy Conscious and Trustworthy LLM Dialogues with End Users
[ACM] 2026-6-12 | IdeaBlocks: Expressing and Reusing Divergent Intents for Graphic Design Exploration using Generative AI
[IEEE] 2026-6-12 | ICCSSE 2025 Cover Page
[IEEE] 2026-6-12 | Privilege Level Dynamics and Their Impact on Conditional Branch Prediction Performance in FaaS
[IEEE] 2026-6-12 | Front Cover Page
[IEEE] 2026-6-12 | 100° non-contact retinal imaging in mice using a multimodal vis-OCT and SLO system
[IEEE] 2026-6-12 | Federated Reinforcement Learning for Efficient Mobile Crowdsensing under Incomplete Information
[IEEE] 2026-6-12 | CIRNet: Compact Iterative Refinement Network for Real-time Stereo Matching
共写入 1000 条记录，保存到 papers/paper2026-06-12.json。
论文获取成功，文件路径: papers/paper2026-06-12.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[NO] 2/1000 | How Older Adults Enact Values Through Technology
[NO] 3/1000 | NomadicPerch: More-Than-Human Co-Design of a Shared Perch
[NO] 4/1000 | Human Experience in AI-Mediated Worlds
[NO] 5/1000 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[NO] 6/1000 | Research Throughput of the Free-Spase Optical Communication Systems
[NO] 7/1000 | ICICV 2026 TOC
[NO] 8/1000 | 2026 8th International Conference on Information Technologies in Engineering Education (Inforino)
[NO] 9/1000 | Descriptor:
                    <i>Mapping Road Surface using Crowdsource Data</i>
                    (RoadSense)
[NO] 10/1000 | Inforino 2026 Breaker Page
[NO] 11/1000 | MACA: Multi-Axis Covariance Alignment for Robust Distillation of Self-Supervised Speech Models
[NO] 12/1000 | Remaining Useful Life Prediction Based on Nonlinear Tweedie Exponential Dispersion Process Considering Random Effects, Covariates, and Imperfect Maintenance
[NO] 13/1000 | A Holistic Optimization and Control Framework of Hydrogen and Battery-based Remote-Area Renewable Energy System with Grid Frequency Support
[NO] 14/1000 | A Silent, Low-Heat Pinch Valve Driven by a Single Rolled Dielectric Elastomer Actuator_supp1-3697122.mp4
[NO] 15/1000 | Structurally-Informed 3D Gaussian Splatting for Limited-Angle CBCT
[NO] 16/1000 | Large Scale Crop Mapping in the Sanjiang Plain Using a Deep Spatial-Temporal Fusion Network With Time Series Sentinel-2 Imagery
[NO] 17/1000 | Structured Graph Reasoning for Traffic Anomaly Detection
[NO] 18/1000 | Temporal Relations-Aware Nonnegative Latent Factorization of Tensors for Dynamic Directed Graph Representation_supp1-3700025.pdf
[NO] 19/1000 | Retrieving Delta Permittivity Using Highly Independent Dual-Band Microwave Sensor with Alternately Reference Capabilities
[NO] 20/1000 | Intelligent WSN Sensor Node for Oil Spill Detection and Classification: A TinyML and IoT Approach
[NO] 21/1000 | Table of Contents
[NO] 22/1000 | VRFST: Voiceprint-Based Robust Wear Detection for Diamond Abrasive Tools via Fuzzy-Enhanced Spatiotemporal Features
[NO] 23/1000 | Event-Triggered Finite-Time Tracking Control for Nonlinear Cyber-Physical Systems with Actuator Faults under Deception Attacks
[NO] 24/1000 | $\mathcal {C}^{n}$ Trajectory Generation in 3D under Arbitrary Bounds on Curvature and Higher-Order Curvature Derivatives
[NO] 25/1000 | Dual-Function Radar Communication Signal Processing Based on AFDM and Index Modulation
[NO] 26/1000 | Shaft-integrated Force Sensing with Transformer-based Dynamics Compensation for Telesurgery_supp1-3699214.mp4
[NO] 27/1000 | An Intelligent Security Operations Monitoring and Risk Mitigation Framework for Smart Infrastructures
[NO] 28/1000 | Motion Control of a Quadruped Bionic Robot
[NO] 29/1000 | An Agentic AI for Personalized Investment Advisory: Detecting and Mitigating Cognitive Biases in Financial Decisions
[NO] 30/1000 | Two-Stage Auxiliary Model-Based Iterative Least Squares Parameter Estimation for a Class of Nonlinear Systems with Non-Uniform Sampling
[NO] 31/1000 | Knowledge Management Processes and Their Impact on Organizational Innovation for Enabling Artificial Intelligence Applications
[NO] 32/1000 | Reevaluating CNN Filter Dimensions: Experimental Findings on CIFAR-10 and Fashion-MNIST for Modern Network Architectures
[NO] 33/1000 | Planetary Terrain Modeling and Simulation Based on Interpolation of Low-Resolution Elevation Data
[NO] 34/1000 | Federated Learning for Privacy-Aware and Secure Medical Decision Support Systems
[NO] 35/1000 | A Multilingual Voice-First Generative AI Framework for Financial Literacy in Low-Resource Communities using Lightweight LLMs
[NO] 36/1000 | Deterministic Multi-Channel XPM Scalability in Octagonal-Core Nonlinear PCFs with Geometry Polarization and System-Level BER Limits
[NO] 37/1000 | ECG Multi-Class Diagnostics Using a Hybrid CNN-Transformer with Self-Supervised Pre-Training
[NO] 38/1000 | AI-Enabled Cloud-Edge-IoT Continuum for Hyper-Distributed and Trustworthy Applications
[NO] 39/1000 | Semi-Supervised Masked Autoencoders: Unlocking Vision Transformer Potential with Limited Data
[NO] 40/1000 | Human-in-the-Loop Automation Patterns for Financial Services using Camunda and Modern Java UIs
[NO] 41/1000 | Prescribed-Time Connectivity-Preserving Consensus of Switched Nonlinear MASs
[NO] 42/1000 | A Comparative Study of Intelligent Intrusion Detection Systems in IoT using Deep Learning Approaches
[NO] 43/1000 | Mitigating Latency and Spectral Inefficiency in 5G New Radio via Intelligent Queue-Driven Resource Scheduling
[NO] 44/1000 | Comparative Analysis: Autoregressive Integrated Moving Average with Exogenous Variables and Long Short-Term Memory for Working Capital Forecasting: Container Repair Small and Mid-Size Enterprise
[NO] 45/1000 | HawkCharge: Hybrid Harris Hawk–Deep Reinforcement Learning Optimization for Intelligent Bidirectional EV DC-DC Converter Control
[NO] 46/1000 | Research on Synchronous Detection Method for Narrow-Pulse Lasers Based on Area Array Detectors
[NO] 47/1000 | Artificial Intelligence Applications in Human Resource Management: A Comprehensive Framework, Models, and Future Directions
[NO] 48/1000 | A Study on Using Revit in Architectural Design Studios
[NO] 49/1000 | A Robust Deep Learning Framework for Automated Digital Image Forgery Detection Under Real-World Post-Processing Attacks
[NO] 50/1000 | Multi Modal Visual Question Answering Integrating Hypergraph and K-means Clustering Algorithm
[NO] 51/1000 | Automation of the Formation and Assessment of Educational Assignments Using the GigaChat Neural Network Model in Engineering Education
[NO] 52/1000 | Providing 10-Gigabit Optical Home Using 50G-Passive Optical Network and Fiber-to-the-Room
[NO] 53/1000 | Hybrid Buoy Detection and Real-Time Path Planning for Autonomous Unmanned Surface Vehicles Using YOLOv8 and Contour Analysis
[NO] 54/1000 | The Trials of Designing Communication Aids for Clinical Trials: Challenges and Recommendations from Practicing Co-Design in the Domain of Medical Research
[NO] 55/1000 | Who Sets the Norm?: Designing Communication Scaffolds for ADHD Romantic Relationships
[NO] 56/1000 | Harnessing the Aesthetic Potential of Bio-based eTextiles: An Empirical Study with Artefacts
[NO] 57/1000 | Pacing Our Selves: Towards Everyday Chronic Pain Technology
[NO] 58/1000 | Landscape, Tactile Me: How We Belonged?
[NO] 59/1000 | Beyond Cameras and Microphones: Mitigating Privacy Tensions in 'Simple' Smart Home Sensors
[NO] 60/1000 | Adversarial Attacks on Locally Private Graph Neural Networks
[NO] 61/1000 | Patient Privacy in Differentially Private Diagnostic Models
[NO] 62/1000 | Plant Disease Prediction with the Help of Deep Learning based on the Analysis of Leaf Images
[NO] 63/1000 | Choosing the Best Model to Handle Small Data
[NO] 64/1000 | IEEE Standard for Framework for Reliability Prediction of Hardware
[NO] 65/1000 | An Intelligent Adaptive Access Control Framework using Policy Gradient Reinforcement Learning
[NO] 66/1000 | Modeling the Operation of a TGM-96B Steam Boiler Equipped with a Condensing Heat Utilizer
[NO] 67/1000 | Wrapper Model based Feature Selection On Diversity Dataset
[NO] 68/1000 | Information Technologies in Organizing Group Activities of Students in Engineering Education
[NO] 69/1000 | Design and SAR Analysis of a Compact Polyester-based 2×2 Textile MIMO Antenna for Biomedical Applications
[NO] 70/1000 | Improving Coronary Artery Disease Prediction Accuracy with an Ensemble Approach and Two-Layered Voting Framework
[NO] 71/1000 | Computational Nonsmooth Analysis: Modern applications and recent developments [Special Issue on the Mathematics of Deep Learning]
[NO] 72/1000 | Digital Financial Platforms Enhancing Supply Chain Financing Performance through Inter-Organizational Integration
[NO] 73/1000 | Optimization Of Detection and Calculation of Overlapping Mango Fruits and Illumination Variations Using Yolov11-Seg with Unsharp Masking Algorithm, Gamma Correction
[NO] 74/1000 | Startup-Q: A Hybrid Quantum-Classical Framework for High-Fidelity Venture Capital Forecasting using ZZ-Feature Mapping
[NO] 75/1000 | Optimal Trajectory Generation and Feedback Tension Control of a Robotic Space Tether Launching System
[NO] 76/1000 | A Cooperative Transport System of Vehicle and Drones in Obstacles Areas
[NO] 77/1000 | A Comparative Study of Multi-Horizon Directional Prediction for Cryptocurrency Markets
[NO] 78/1000 | Parameter Identification Method for Double-Sided Lcc Wireless Power Transfer Systems
[NO] 79/1000 | Graph Neural Transformer with Structural Attention Bias for Robust Multi-Disease Soybean Leaf Classification
[NO] 80/1000 | Deep Intelligent Optimized Privacy Preserving in Internet of Things Cloud System
[NO] 81/1000 | Smart Transit: Real-Time Monitoring for Optimized Public Transportation
[NO] 82/1000 | FinFET based Breath Analyzer for Rapid Detection of Respiratory Infections
[NO] 83/1000 | ACVA: An Intelligent Voice-Enabled Agricultural Chatbot Using Deep Learning and NLP for Sustainable Farming Support
[YES] 84/1000 | Researching the Efficiency of Source Code Defect Prediction Using a Modified XGBoost Algorithm
[NO] 85/1000 | Proceedings of the 12th ACM SIGPLAN International Workshop on Libraries, Languages and Compilers for Array Programming
[NO] 86/1000 | Otherness as a Quality in Designing Expressive Robotic Touch
[NO] 87/1000 | Beyond Project Time: Multiple Years of Living with a Slow Technology Research Product
[NO] 88/1000 | Care in Pieces: Unpacking Experiences of Using LLMs for Self-management of Endometriosis and PCOS
[NO] 89/1000 | Conceptualizing How to Design for AI Literacy through Game Artifacts
[NO] 90/1000 | Shifting Narrative Salience: Fine-Tuning LLMs as a Design Intervention in Generative Design Fiction
[NO] 91/1000 | Refined Remora: Constraining Array Shapes
[NO] 92/1000 | An Evolutionary Black-Box Framework for Adversarial Prompt Generation in Large Language Models
[NO] 93/1000 | Homes as Repositories of Alternative Potentials: Designing in, for and alongside Everyday Life
[NO] 94/1000 | Comprehensive Dynamic Modeling and Control of the Flexible Foundation-Active Magnetic Bearings-Rotor System
[NO] 95/1000 | Journal of Lightwave Technology Information for Authors
[NO] 96/1000 | RA-SSU: Towards Fine-Grained Audio-Visual Learning with Region-Aware Sound Source Understanding
[NO] 97/1000 | RD-VTA: Rule-Data Guided Video-to-Audio Generation for Fine-Grained Footstep Sound
[NO] 98/1000 | Deep Learning-Based Classification of Crack Propagation in Asphalt Mixtures Using Cyclic SCB Tests Under Varying Temperature and Notch Depth
[NO] 99/1000 | A novel compact pneumatic turbine-driven transducer for MR Elastography_supp1-3701175.pdf
[NO] 100/1000 | Adsorption Performance and Numerical Simulation of Charged Particle Trajectory of IFD Electrostatic Filter Under Electric-Flow Multi-Physical Coupling Fields
[NO] 101/1000 | An Optimal Design of Time-of-Use Tariff to Mitigate Overloads From Residential Electric Vehicle Charging on Distribution Networks
[NO] 102/1000 | Exosystem-Based Dynamic Input Control Strategy for Load Mitigation in Variable-Speed Wind Turbines Under Above-Rated Wind Conditions
[NO] 103/1000 | Real-to-Sim-to-Real: Learning Agile and Robust Recovery Skills with Terrain Imagination via Adversarial Imitation
[NO] 104/1000 | Table of Contents
[NO] 105/1000 | Reinforcement Learning-Based Clustered Multi-Application Charging Optimization for Underwater Wireless Sensor Networks
[NO] 106/1000 | Cluster-wise Analysis of 3D Gaussian Splatting Point Clouds Using Spherical Harmonics and Attribute Features
[NO] 107/1000 | Performance Estimation of IPFS-based Distributed Storage Using Idle Computing Resources and Secret Sharing
[NO] 108/1000 | Physio-Digital Twin for Human-Centered IoT Mobility: A Proof-of-Concept Implementation on the E-Bike Platform
[NO] 109/1000 | A Processual Model of Artifact-Mediated Controversy in Public Speculative Design
[NO] 110/1000 | The Matter of Making: Designing Embodied Interaction Tools for Visual Creation with Generative AI
[NO] 111/1000 | Wolfborn: Silent Emotional Catharsis and Empathy via Pseudo-Vocalized Embodiment
[NO] 112/1000 | From Guided Tours to BYOD Self-Guides in Living Heritage: A Service Design Framework and Longitudinal Field Deployment
[NO] 113/1000 | When Acceptance Doesn’t Travel: Measurement (Non-)Invariance in Acceptance Models of AI Assistants for Privacy Management
[NO] 114/1000 | Designing Policy with Last-Mile Stakeholders: Connecting Ground-Level Farmer Insights to Indian Agrarian Policymakers with NLP
[NO] 115/1000 | MediMate: Co-Crafting Patient-Centered Medical Explanations Using LLMs as a Rehearsal Partner
[NO] 116/1000 | Gradient Design and Verification of Lightweight High-Temperature Thermal Protection Components
[NO] 117/1000 | An Explainable Hierarchical Reinforcement Learning Approach for Personalized and Health-Constrained Meal Recommendation
[NO] 118/1000 | IoT-Enabled Real-Time Power Quality Anomaly Detection and Disturbance Classification for Ghana/Zambia Distribution Networks
[NO] 119/1000 | Sequence Modeling Architectures: Foundations [Special Issue on the Mathematics of Deep Learning]
[NO] 120/1000 | Comparative Analysis of Detection and Segmentation Architectures using YOLO Variants and Deep Segmentation Models for Gastrointestinal Polyp Detection and Segmentation
[NO] 121/1000 | AI-Transparency and Algorithmic Trust in Smart LMS Adoption: An Explainable-AI Extended TAM Model
[NO] 122/1000 | Creating Empowering Counter-Narratives through Collective Digital Art by Disabled People
[NO] 123/1000 | Exploring Modular Wearable Strategies for Motor Impairments: Insights from Design Probe Workshops with Rehabilitation Clinicians
[NO] 124/1000 | Revealed or Reinforced: How Assistive Technologies Shape the Experience with Dark Patterns for Blind and Low-Vision Users
[NO] 125/1000 | Dynamic Load-Aware Task Scheduling Method for Aerospace Situation Simulation with DMA-LSTM Prediction
[NO] 126/1000 | CSI-RS Overhead Reduction in 6G
[NO] 127/1000 | A Soft Voting Ensemble Approach for Early Prediction of Cardiovascular Disease Risk
[NO] 128/1000 | Technical Advancements and Strategic Frameworks for the Maintenance and Repair of Civil Infrastructure Using Fiber-Reinforced Polymer (FRP) Materials
[NO] 129/1000 | Automated System for Assessing the Degree of Deterioration of Road Markings Based on Deep Learning and Multiparametric Aggregation
[NO] 130/1000 | Numerical Simulations of Particles Fluidization and Transportation in the Asteroid Sample
[NO] 131/1000 | Drag Free and Attitude Control System design for gravitational wave detection satellites
[NO] 132/1000 | Methodology for Studying Noise in Digital Cameras
[NO] 133/1000 | SVGraffiti: Remixing the Web with Vector Illustrations
[NO] 134/1000 | MorphHat: A Humanoid Robot Interpreter for Enhancing Multilingual Collaboration
[NO] 135/1000 | “How do I matter as a heritage building?” Exploring Heritage Building Agency in the Technology Era through a More-than-Human Lens
[NO] 136/1000 | Leaky Apps: Targeted Deanonymization on Mobile Phones
[NO] 137/1000 | Title Page
[NO] 138/1000 | Copyright Page
[NO] 139/1000 | A Current-Driven SSHI for Piezoelectric Vibration Energy Harvesters
[NO] 140/1000 | An Integrated Simulation-Experimental Framework for Prediction of Pollution Flashover on Railway Catenary Insulators_supp1-3702664.mp4
[NO] 141/1000 | PositiveAssist: Energy-Gated Control for Positive Power Assistance of Exoskeleton in Walking, Running, and Stair Climbing
[NO] 142/1000 | Relative Pose Estimation for Nonholonomic Robot Formation With UWB-IO Measurements
[NO] 143/1000 | DDGA: Domain Distance Guided Active Domain Adaptation for Unpaired Super-Resolution
[NO] 144/1000 | STFD-SNN: A Physics-Constrained Spiking Neural Network Framework for Maritime Radio Environment Map Reconstruction
[NO] 145/1000 | Embroidery Actuator Utilizing Embroidery Patterns to Generate Diverse Fabric Deformations
[NO] 146/1000 | A CUDA-Accelerated Iterative Inversion Framework for High-Resolution Brain MRI Reconstruction
[NO] 147/1000 | Development of Software for Calculating Nuclear Reactor Components Using the Finite Element Method
[NO] 148/1000 | Design of a Virtual Testbed for Modeling and Simulating a Small USV Dynamics in Waves
[NO] 149/1000 | A Multi-Segment Logarithmic Spiral Continuum Robot With a Stretchable Central Backbone: Design and Coupled Kinematic Modeling
[NO] 150/1000 | RIS Element Phase-Offset Calibration based on RSRP Reports
[NO] 151/1000 | Design of a Spaceborne Phased Array Antenna for Ultra-Low Orbit
[NO] 152/1000 | A Privacy-Preserving Federated Learning Framework for Intrusion Detection
[NO] 153/1000 | Enhancing ACO Stability and Performance for Urban VRP via Clustering and Intersection Penalty
[NO] 154/1000 | Analysis and Optimization of Leakage Magnetic Field Shielding for Wireless Charging of Electronic Gadgets
[NO] 155/1000 | Artificial Intelligence (AI) Adoption in Higher Education: A New Perspective, AI Adoption Concern, and Influences of AI Characteristics
[NO] 156/1000 | Work-in-Progress: Experimentation with Clustering Analysis on Industrial Control Systems
[NO] 157/1000 | Personal 3D Printing without Visual Dependency in the Generative AI Era: Opportunities and Challenges
[NO] 158/1000 | Fovy: Spatializing the "Work-to-Learn" Ecology through Interactive Skill Topologies
[NO] 159/1000 | Empathy Illusion: Behavioral Contingency and the Feeling of Being Understood in AI-Responsive Spaces
[NO] 160/1000 | Can Robots Be Azatoi?: Designing Calculatedly Cute Social Robot Behaviors through Cross-Cultural Participatory Visualization
[NO] 161/1000 | Mixed-Integer Programming for Multi-Agent Motion Planning and Encirclement of Moving Targets in 3D Space
[NO] 162/1000 | Business Intelligence Systems as a Strategic Driver of Digital Innovation
[NO] 163/1000 | Evaluating the Performance of Machine Learning Frameworks for Operating in Secure Enclaves
[NO] 164/1000 | Fuzzy Logic-Based Congestion Estimation in Network-on-Chip Routers Under Video Object Plane Decoder Traffic
[NO] 165/1000 | A Comparative Study of Modern Object Detectors for Robust Apple Detection in Orchard Imagery
[NO] 166/1000 | Digital Twin-based Out-of-Distribution Detection in Autonomous Vessels
[NO] 167/1000 | Sentiment Forecasting By Data-Driven Models
[NO] 168/1000 | Physics–Learning Hybrid Adaptive Control for Soft Continuum Robots via ANCF Model and Sparse Online Learning Methods
[NO] 169/1000 | Super-Resolution Assisted Mask-Aware Face Recognition for Low-Quality CCTV Surveillance
[NO] 170/1000 | DepthScape: Authoring 2.5D Designs via Depth Estimation, Semantic Understanding, and Geometry Extraction
