[2026-09-12 23:46:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609110000+TO+202609112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-11 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[IEEE] 2026-9-11 | Who is a Better Masker: Subjective and Objective Quality Assessment of Face Swap Videos
[IEEE] 2026-9-11 | TransDex: Interaction Geometry Enables Robust Visuo-Tactile Dexterous Manipulation of Transparent Objects_supp1-3732837.mp4
[IEEE] 2026-9-11 | Empathy-R1: A Chain-of-Empathy and Reinforcement Learning Framework for Long-Form Mental Health Support_supp1-3732970.pdf
[IEEE] 2026-9-11 | Cover Page
[IEEE] 2026-9-11 | DidSee: Diffusion-Based Depth Completion for Material-Agnostic Robotic Perception and Manipulation
共写入 1000 条记录，保存到 papers/paper2026-09-11.json。
论文获取成功，文件路径: papers/paper2026-09-11.json
正在筛选、翻译并发送邮件...
[YES] 1/1000 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[NO] 2/1000 | SustainDiffusion: Optimising the Social and Environmental Sustainability of Stable Diffusion Models
[NO] 3/1000 | Energy-Efficient Software Development: A Multi-dimensional Empirical Analysis of Stack Overflow
[NO] 4/1000 | Demystifying the CVE Ecosystem: Community-Perceived Impacts and Problems
[NO] 5/1000 | RealityCraft: Automated Synthesis of Extended Reality Device Interaction Scripts from Natural Language Instructions
[YES] 6/1000 | From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging
[NO] 7/1000 | Remediating Superfluous Re-Rendering in React Applications
[NO] 8/1000 | Introduction to the Special Issue on “Blockchain Research and Applications for Innovative Networks and Services (BRAINS 2024)”
[NO] 9/1000 | Distributed Safety-Aware Motion Planning for Dual-Arm Systems Via Gaussian Belief Propagation With Application to Catenary Dropper Assembly_supp1-3732969.mp4
[NO] 10/1000 | ISSET 2026 TOC
[NO] 11/1000 | Table of Contents
[NO] 12/1000 | Compensation of Platform Magnetic Interference via Coil-Calibrated Physical Model and Attention Network
[NO] 13/1000 | 2026 International Conference on Unmanned System and Intelligent Technology (USIT)
[NO] 14/1000 | A Synchronized Phase-Shifted Time-Multiplexed Uplink Wireless Power and Data Transfer System for Implantable Voltammetry
[NO] 15/1000 | Terramechanics-Aware Adaptive Quadrupedal Locomotion Via Foot-Terrain Interaction Model_supp1-3732903.mp4
[NO] 16/1000 | Gradient-Based PSLL Minimization for Uniformly Excited Sparse Linear Arrays
[NO] 17/1000 | Computing Without Learning: An Information-Theoretically Secure Multiparty Evaluation of Deterministic Pushdown Automata
[NO] 18/1000 | Scaling LLMs Via Collaboration: Efficient LLM Inference Across Resource-Constrained Devices
[NO] 19/1000 | Json-SysML: A Bidirectional JSON-Based Representation for SysML Models Enabling LLM-Augmented Model-Based Systems Engineering
[NO] 20/1000 | Not All Differences Matter: Variability Exploration of Domain Models via Agentic AI
[NO] 21/1000 | Intrinsic Cylindrical Lensing: Turning Curvature Into Gain in Flexible Antipodal Vivaldi Antennas
[NO] 22/1000 | Physics-Anchored Unsupervised Domain Adaptation for Radio Environment Mapping in Indoor Industrial Environments
[NO] 23/1000 | High-Gain Beamforming-Capable Bi-Directional D-Band Transmitarray for FMCW Radar via Integrated Packaging-Aware Multi-Channel AoP
[NO] 24/1000 | Resilient Dynamic Event-Triggered Containment Control for Second-Order Nonlinear Multi-Agent Systems Under Hybrid Cyber-Attacks
[NO] 25/1000 | Design of a Circularly Polarized Crossed-Dipole Antenna with Polarization Agility
[NO] 26/1000 | Simple Frequency- and Pattern-Reconfigurable Liquid-Metal Antenna with Zero Static Power
[NO] 27/1000 | Performance Comparison of Planar, Cylindrical, and Spherical Fabry-PéRot Cavity Antennas for mmWave Applications
[NO] 28/1000 | Efficient Reconstruction of Homogeneous Penetrable Objects Based on Augmented Surface Integral Equations
[NO] 29/1000 | ADC-Free Compute-in-Memory for Error-Resilient and Energy-Efficient AI Accelerators
[NO] 30/1000 | Multi-Bit Based RCS Reduction for Circularly Polarized Phased Array
[NO] 31/1000 | Sstdr-Based Microwave Imaging for Inflammatory Veterinary Disease Detection: a Staged Path Toward Breast Cancer Screening
[NO] 32/1000 | A Study on the Prediction of Deformation in Steep Slopes Using an ARIMA-LSTM Hybrid Model with Residual Correction
[NO] 33/1000 | Additively Manufactured Multilayer Fan-Out Interposer
[NO] 34/1000 | A GNSS Record-and-Replay Channel Emulator Using an AMD $4 \times 2$ RFSoC
[NO] 35/1000 | Deep Learning Surrogate Modeling of Body-Area Networks via Equivalent Electromagnetic Sources
[NO] 36/1000 | Impact of Feed Location on Reflector Integrated Wideband Metasurface Antenna
[NO] 37/1000 | Genetic Algorithm-Based Optimization of Sparse Phased Array Antennas for Direct-To-Vehicle Satellite Communication
[NO] 38/1000 | An Improved YOLOv8 Object Detection Method With Dual Attention and Adaptive Weighting
[NO] 39/1000 | Experimental Verification of an X-band Data Downlink Phased Array Antenna Using Infrared Thermography
[NO] 40/1000 | Spatial-Only Representations for Multi-Channel Speaker Diarization
[NO] 41/1000 | Orbital-Aware S-Band Payload-Data Downlink and Antenna Integration Assessment for USMSpace-1
[NO] 42/1000 | Investigating OAM Scattered Fields Using a Scaled Terahertz Time-Domain Spectroscopy Radar System
[NO] 43/1000 | Chirp Signal Controlled Reconfigurable Leaky Wave Antennas Array by Adding Varactors
[NO] 44/1000 | Improved Active Power Tracking Scheme of Hybrid-Synchronization-Controlled Energy Storage Converters
[NO] 45/1000 | Localization of Distributed Phased Array Antennas in Partially Connected Networks Using Matrix Completion
[NO] 46/1000 | A Practical ULF/VLF Transmitter Based on Earth's Magnetic Field Modulation
[NO] 47/1000 | Source-Free Few-Shot Soil Recognition via Vision-Language Token Recalibration
[NO] 48/1000 | Surface Integral Equation Simulation of Acoustic Metasurfaces with Willis Impedance Boundary Conditions
[NO] 49/1000 | A Compact SDR Approach for RF Near-Field Wearable Vital Sign Sensing in Non-Contact Healthcare Applications
[NO] 50/1000 | Multi-Source Feature Integration for Short-Term Load Forecasting in Off-Grid Residential Microgrids Using Stacked LSTM Networks
[NO] 51/1000 | Efficient Wideband Beamforming for Full-Duplex Fixed-Subarray Massive MIMO Systems
[NO] 52/1000 | HATFI-Net: A Hybrid Attention Time-Frequency Interpolation Network for Channel Estimation
[NO] 53/1000 | Motion-Aware Kalman Filtering Based Adaptive Beam Tracking for Mmwave Communications in High-Speed Moving Scenarios
[NO] 54/1000 | A Time-domain Computing-in-memory with twin Bit-cell Array for Efficient Multi-bit Analog MAC Operation
[NO] 55/1000 | Integrating Live Sensor Data and Machine Learning in Digital Twin Simulations
[NO] 56/1000 | HVDC-Enabled Smart Grid Architecture for Long-Distance Renewable Power Transfer and Wide-Area Grid Interconnection
[NO] 57/1000 | Transient Modeling of Electromagnetic Interactions with Homogeneous Penetrable Bodies of Revolution Based on Temporal-Domain Electric Field Integral Equations
[NO] 58/1000 | The Effect of Oxygen Exchange Layer on the Switching Properties of Tantalum Oxide RRAMs for In-Memory Computing
[NO] 59/1000 | An 80-Year Trajectory of Stuart A. Long - His Mentors, Colleagues, Students, Friends, and Family
[NO] 60/1000 | A 500-MHz BW Beamforming Chiplet Pair with Analog Approximate-DFT and Dual 10-Gb/s Links
[NO] 61/1000 | Spatiotemporal Prediction of Strong Earthquake Risk in the Sichuan-Yunnan Region Using a GAN-RNN Fusion Model
[NO] 62/1000 | Recent AI-Driven Design Advancements in EM Components and Systems of Smart EM Environments
[NO] 63/1000 | Compact Dual-Port Self-Duplexing Antenna for Head-Implantable Wireless Medical Devices
[NO] 64/1000 | Investigation of the Effects of Photovoltaic Panel Cooling Using Hydroelectric Power Plant Discharge Water on Energy Production and System Efficiency
[NO] 65/1000 | A Hardware-Efficient TinyML-Based Fault Detection Framework for Reliable AI Accelerators
[YES] 66/1000 | Write Your Own Code Checker: An Automated Test-Driven Checker Development Approach with LLMs
[NO] 67/1000 | FM4MC: Improving Feature Models for Microservice Chains—Towards More Efficient Configuration and Validation
[YES] 68/1000 | SymRadar: PoC-Centered Bounded Verification for Vulnerability Repair
[NO] 69/1000 | FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking
[YES] 70/1000 | TypeCare: Boosting Python Type Inference Models via Context-Aware Re-Ranking and Augmentation
[NO] 71/1000 | Argus: A Multi-agent Sensitive Information Leakage Detection Framework Based on Hierarchical Reference Relationships
[NO] 72/1000 | Towards Understanding and Characterizing Vulnerabilities in Intelligent Connected Vehicles through Real-World Exploits
[NO] 73/1000 | Six Million (Suspected) Fake Stars on GitHub: A Growing Spiral of Popularity Contests, Spams, and Malware
[NO] 74/1000 | Uniform Field Coil Design in a Magnetically Shielded Cylinder With Ferromagnetic Coupling Suppression and Coil Constant Constraints
[NO] 75/1000 | NLOS-Aided Joint OTA Synchronization and Off-Grid Imaging for Distributed MIMO Systems
[NO] 76/1000 | ConfuGuard: Using Metadata to Detect Active and Stealthy Package Confusion Attacks Accurately and at Scale
[NO] 77/1000 | Model Migration by Example (MbEx): Understanding Model Co-Evolution from User Adaptations
[NO] 78/1000 | Air-gap Field Modulation-Based EMN Model Applied for LNG Pump Cryogenic PMSM
[NO] 79/1000 | TEXMET: A Deep Learning Benchmark for Archaeological Textile Reconstruction
[NO] 80/1000 | The Promise and Pitfalls of GenAI-Powered Mobile Apps: Perspectives from User Reviews
[NO] 81/1000 | Unified Small-Signal Modeling and Stability Analysis of a Current-Mode Controlled Three-Level Bidirectional Flying Capacitor Converter
[NO] 82/1000 | A Cross-Domain Survey of Medical and Remote Sensing Image Registration Methods_supp1-3732595.pdf
[NO] 83/1000 | Optimized Ensemble Deep Learning for User Load Forecasting and Residual-Based Anomaly Detection
[NO] 84/1000 | Personalized Blood Pressure Estimation with a Topological Prior Vector from Minimal Per-Subject Data
[NO] 85/1000 | Title Page
[NO] 86/1000 | Flexible Performance Function Based Time-Varying Formation Control for Second-Order Systems under Safety Constraints
[NO] 87/1000 | Tree-Based Ensemble Forecasting of PV Generation, Load Demand, and Battery SOC in Tropical Island Microgrids: A Multi-Horizon Cross-Season Evaluation
[NO] 88/1000 | On the Performance Advantages of Magneto-Dielectric Absorbers
[NO] 89/1000 | Reducing RF Front-End Capacitance Effects on Antenna-Integrated SAR Proximity Sensing
[NO] 90/1000 | A Novel Compact Spherical Phased Array with Omnidirectional Radiation and Beam Scanning for 5G Micro Base Stations
[NO] 91/1000 | A PAPR Reduction Method for OFDM Systems Based on CNN and Enhanced Residual Connections
[NO] 92/1000 | Evaluating Decision Tree Regression and Light-GBM Models for Short-Term Solar Irradiance Forecasting
[NO] 93/1000 | Programmable Notch Synthesis in Multichannel Non-Uniform DT FIR Receivers Using Harmonic Transfer Function Diversity
[NO] 94/1000 | Fundamental Limits, Radiation Resistance, and Throughput in Electrically Small Antennas
[NO] 95/1000 | Deep Learning-Based Fault Detection for Chiplet Interconnect Signals
[NO] 96/1000 | Computationally-Tractable Synthesis of an MXene Metamaterial Absorber with a 3D-Printable Spatially Variable Substrate by a Local Approach
[NO] 97/1000 | Per-Simon Kildal: Scientific Vision, Innovation, and Lasting Impact in Antenna Engineering
[NO] 98/1000 | Bandwidth Enhancement of Connected Array Antennas Using Controlled Reflection
[NO] 99/1000 | MOSAIC-1M: A Large-Scale Multi-Modal Dataset with Automated Semantic Annotations for Visual Content Understanding
[NO] 100/1000 | End-to-End GNSS Interference Classification Using CNNs with Neural Engine Acceleration
[NO] 101/1000 | Women in Antennas and Propagation: A European Perspective
[NO] 102/1000 | A Compact Dual-Polarized Aperture-in-Aperture Antenna for Concurrent GPS L1 and Ka-Band UAV Application
[NO] 103/1000 | CITPT: A Concurrency-Induced Throughput Phase Transition in Blocking Client–Server Architectures under Extreme Concurrency: An A-MAPSS Based Experimental Study
[NO] 104/1000 | Co-identification of Vibration, Structural Looseness, and Surface Damage in Industrial Equipment Operation Videos
[NO] 105/1000 | A Noise-Free Method for Generating Speech Adversarial Examples Against ASR Systems
[NO] 106/1000 | A Formal Approach to LLM Hallucination Detection and Mitigation
[NO] 107/1000 | A High-Throughput and Low-Overhead FPGA Design and Implementation of a Quasi-Cyclic LT Concatenated Decoder
[NO] 108/1000 | Integrated Machine Learning–Based SOC Prediction, Regenerative Energy Optimization, and Battery Health Assessment for Urban Logistics Electric Vehicles
[NO] 109/1000 | Comparative Study on PSO and Improved Cuckoo-Incremental Conductance for Multi-Peak PV MPPT
[NO] 110/1000 | Research on Low Probability of Intercept Technology for Netted LPI Radar System Based on Deep Learning
[NO] 111/1000 | Sequential Pattern Mining of Fire Incident Escalation and High-Damage Precursors in Central Luzon: a Provincial and Municipal Scale Analysis
[NO] 112/1000 | A Technology Difference Identification Method Based on BERTopic and Cosine Similarity
[NO] 113/1000 | Smart Integration of Electric Vehicle Charging Infrastructure within Hybrid Renewable Microgrids
[NO] 114/1000 | Experimental Validation of FR2 RIS-Assisted Dual-Stream Multi-User OFDMA Communication Testbed
[NO] 115/1000 | Quantifying Trapped-Charge Evolution in High-Temperature β-Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    MOSFETs Using the Charge-Neutrality Point
[NO] 116/1000 | Small Object Detection Using Improved YOLOv11n
[NO] 117/1000 | Beyond UHF RFID: Broadband Characterization of Passive RFID ICs for Application in Reconfigurable Electromagnetic Systems
[NO] 118/1000 | A Physics-Grounded Hybrid Framework for Statistical Prediction of Cavity Scattering Under Interior Uncertainty
[NO] 119/1000 | An Adaptive Dispatching Method for Call-Handling Intelligent Agents Based on Multidimensional Features
[NO] 120/1000 | Joint Prediction of SOC and Traction Load for Hybrid Locomotives Based on Multi-task BiLSTM-Attention
[NO] 121/1000 | Disentanglement Multi-Task Learning Based on Hyperbolic Space for Multimodal Sentiment Analysis
[NO] 122/1000 | Design and Analysis of an Ultrawideband Probe-Fed Conformal Array Antenna for High-Power RF Applications
[NO] 123/1000 | Ultrawideband Electromagnetic Interference Shielding Using a Frequency Selective Surface
[NO] 124/1000 | A Novel Dual-Polarization, Ultra-Thin, Air-Gap-Free Energy-Selective Surface
[NO] 125/1000 | DeFT: Maintaining Determinism and Extracting Unit Tests for Autonomous Driving Planning
[NO] 126/1000 | Reliable 7-DOF Manipulator Execution Via Arm-Angle Selection and Trajectory Retiming_supp1-3732902.mp4
[NO] 127/1000 | Hierarchical Bilinear Scattering Transformer for Remote-Sensing Image Scene Classification
[NO] 128/1000 | Title Page
[NO] 129/1000 | Copyright Page
[NO] 130/1000 | Front Matter
[NO] 131/1000 | RELOAD: Robust Elliptic Localization via low-rank structure of Observation and Adjoint Distance matrices
[NO] 132/1000 | Enhancing Practical Domain Generalization via Partially Shared Features
[NO] 133/1000 | Data-Physics Fusion-Driven Engineering-Constraint-Aware Inverse Design of FSS
[NO] 134/1000 | Learning burr-related temporal patterns from cutting force sensor signals for burr severity classification
[NO] 135/1000 | FlowScope: Non-Intrusive Distributed Tracing with Method-Level Delay Estimation for Microservices Troubleshooting
[NO] 136/1000 | Is My RPC Response Reliable? Detecting RPC Bugs in Blockchain Client under Context
[NO] 137/1000 | XRFix: Exploring Performance Bug Repair of Extended Reality Applications with Large Language Models
[YES] 138/1000 | HarnessLLM: Rust Verification Harness Generation with Large Language Models
[NO] 139/1000 | Fine-Grained Analyses for Evolution-Aware Runtime Verification
[NO] 140/1000 | Agent-Based Ensemble Reasoning for Repository-Level Issue Resolution
[NO] 141/1000 | Algorithm-Assisted Propagation-Domain Decoupling Scheme for MIMO Arrays in 5 G V2X Full-Duplex Links
[NO] 142/1000 | Palm and Coir Fiber Composite Mat for Wide-Linear-Range Flexible Piezoresistive Pressure Sensing
[NO] 143/1000 | Reinforcement Learning-Based Graph Neural Network for Cyber Risk Mitigation in Edge Networks
[NO] 144/1000 | A Digital-Intelligent Evaluation System for College Entrance Examination Scoring Based on Cloud Computing and Big Data Analysis - Empowering Secondary School Teaching Practice
[NO] 145/1000 | Metasurface-Enhanced Wideband Patch Antenna Phased Array with Reconfigurable Polarization
[NO] 146/1000 | Memristor Array-Level DCT Feature Extraction Architecture for Compressed Domain Image Classification
[NO] 147/1000 | Systematic and Fast Synthesis of Multi-Row Standard Cells for Advanced Technology Nodes
[NO] 148/1000 | Simulations of Implant Epitaxy 4H-SiC MOSFET Designs for 1.5-1.9kV Power Electronics Applications
[NO] 149/1000 | Intelligent Interaction at a Glance: The Future of Gaze-Aware Systems
[NO] 150/1000 | Cloud Application Deployment and Automation
[NO] 151/1000 | Additive Manufacturing of Millimeter-Wave TT&amp;C Components for LEO Constellations
[NO] 152/1000 | Efficiency and Error Optimizations in ADI-FDTD-Particle-In-Cell Model for Wave-Particle Interactions and Slow-Wave Effects in THz Gap
[NO] 153/1000 | Stack Selection for Multilayer Huygens' Meta-Atoms and Accurate Inverse Design with a Hybrid Semianalytical and Deep Learning Framework
[NO] 154/1000 | A Gate Driver Design Method for Crosstalk Suppression and Power Stage Loss Reduction
[NO] 155/1000 | Near-Field Amplitude Manipulation of Dual-Polarized Antenna Using Parasitic Elements
[NO] 156/1000 | X-band Angular Filter with Linear-to-Circular Polarization Conversion Capability
[NO] 157/1000 | Aspect-Based Sentiment Analysis of Student Evaluation of Teaching Texts: A Big Data-Driven Empirical Study
[NO] 158/1000 | A Single-Input Dual-Output Time-Interleaving Multi-Step Switched-Capacitor DC-DC Boost Converter for Energy Harvesting Applications
[NO] 159/1000 | A 200-GHz BiCMOS Traveling-Wave Planar Beamforming Array
[NO] 160/1000 | Technical Debt Principal Prediction by Deep Learning
[NO] 161/1000 | Dual-Band Polarisation-Selective RIS for 5G NR N77 and 5 GHz Wi-Fi Applications
[NO] 162/1000 | A Dual-Polarized Phased Array for Harmonic and Non-Harmonic Triple-Band Operation Using Mode-Adaptive Current Element
[NO] 163/1000 | All-Metal Circular Corrugated Waveguide Leaky-Wave Antenna
[NO] 164/1000 | GS-SBL: Bridging Greedy Pursuit and Sparse Bayesian Learning for Efficient 3D Wireless Channel Modeling
[NO] 165/1000 | Research on the Dual Residual Alternating Projection Algorithm for Array Synthesis Applications
[NO] 166/1000 | Comparative Evaluation of Immersive Virtual Reality and Document-Based Training for Industrial Gas Leak Response
[NO] 167/1000 | Reliable Loss Tangent Extraction of Low-Loss Materials in WR15 and WR10 Bands Using MCK Setup
[NO] 168/1000 | An FPGA-Accelerated Audio CNN for Alzheimer’s Disease Detection Using Hardware–Software Co-Design
[NO] 169/1000 | Leveraging Physics-Guided Decoupled Neural Networks for Cryo-CMOS Device Modeling
[NO] 170/1000 | Design and Implementation of an IoT-Based Intelligent Terrarium Environmental Control System Using Dual-MCU Architecture
[NO] 171/1000 | Designing Sensory Metaphors in Virtual Reality for Understanding Building Acoustic
[NO] 172/1000 | A MIPI Transmitter with Adaptive Image Pre-Processing for CMOS Image Sensors
[NO] 173/1000 | Autonomous Vehicle Acceptance and Construct-Level Fragmentation: Mapping Measurement Architecture in TAM- and UTAUT-Based Studies
[NO] 174/1000 | A Novel QCA Circuit Placement Method: PCS-Aware Genetic Algorithm
[NO] 175/1000 | Transient Maxwell-Quantum Transport Simulation of Nanoscale Devices in the THz Regime
[NO] 176/1000 | Towards Explainable Model Fingerprints: A Saliency-Bound Multi-Bit Watermarking Framework
[NO] 177/1000 | SRD-YOLO: Self-Referential Deviation Learning for Tiny Defect Detection on Printed Circuit Boards
[NO] 178/1000 | Analog Front-End Design for AC Magnetic Field Measurement Using Hall-Effect Sensor
[NO] 179/1000 | A Compact 2F1T FeFET CIM Array for Energy-Efffcient Binary Neural Network Inference
[NO] 180/1000 | Layered-Recording Time-Reversal Holography for Dual-Depth Near-Field Communication
[NO] 181/1000 | Heal Sole: A Smart Insole Platform for Physiological Monitoring and Active Ankle Rehabilitation
[NO] 182/1000 | Wearable System for Knee Rehabilitation Monitoring with Near Real-time Feedback
[NO] 183/1000 | Technical Analysis of Customer-Based and Grid-Topology-Aware Load Shifting in an Industrial Zone
[NO] 184/1000 | Maximizing Electromagnetic Degrees of Freedom in Scattering Channels via Topology-Engineered Scatterers and Domain Decomposition
[NO] 185/1000 | Multi-Agent Deep Reinforcement Learning for Distributed Energy Management and Demand Response in Residential Microgrids
[NO] 186/1000 | Electric Vehicle Charging Infrastructure in Türkiye: An Integrated Socio-Technical Framework for Network Readiness, Standards and Energy Justice
[NO] 187/1000 | Planar Ultra-wideband Modular Antenna (PUMA) based Phased Array with WAIM Sheets Embedded with Metasurface for Improved Performance
[NO] 188/1000 | Fast Analysis of Metastructures Using Multimodal Circuit-Based Surrogate Models
[NO] 189/1000 | Development and Evaluation of VR-based Therapy for Public Speaking Anxiety
[NO] 190/1000 | Efficient Parallel Fast Direct Solver for Large-Scale Phased Array Analysis
[NO] 191/1000 | Electrically Small Frequency-Agile Antenna with Enhanced Radiation Efficiency
[NO] 192/1000 | Research on Ethical Risks and Governance Strategies in the Transformation of Scientific Data into New Quality Productive Forces
[NO] 193/1000 | SWE-Debate: Competitive Multi-Agent Debate for Software Issue Resolution
[NO] 194/1000 | Towards Scalable and Interpretable Mobile App Risk Analysis via Large Language Models
[NO] 195/1000 | One Size Does Fit All: Kernel-Assisted Fine-Grained Debloating and Layout Randomization for Shared Libraries
[NO] 196/1000 | BTreeFuzz: Enhanced Feedback Mechanism for ROS Program Fuzzer Based on Behavior Tree
[NO] 197/1000 | Views on Internal and External Validity in Empirical Software Engineering: 10 Years Later and Beyond
[NO] 198/1000 | MioHint: LLM-Assisted Request Mutation for Whitebox REST API Testing
[YES] 199/1000 | From Code Changes to Quality Gains: An Empirical Study in Python ML Systems with PyQu
[NO] 200/1000 | Optimizing Distributed Transaction Performance through Adaptive Replica Provision
[NO] 201/1000 | Few-MIA: Few-Shot Membership Inference Attacks on Retrieval-Augmented Generation
[NO] 202/1000 | Probabilistic Learning-Based Attitude Controller with Histogram-Valued Data (PLAC-HVD) for Spacecraft Control
[NO] 203/1000 | The Landscape of Cyber-Physical Systems Education
[NO] 204/1000 | Federated Prototype Learning for Cardiovascular Diseases Recognition Under Non-Independent and Non-Identically Distributed Heart Sounds
[NO] 205/1000 | Barrier Function-Based Adaptive Sliding Mode Control for Wireless Motor Systems with WPT-Motor Coupling
[NO] 206/1000 | High-Sensitivity Zero-Crosstalk Three-Sided Polished Coreless Fiber Gas Sensor Based on Surface Plasmon Resonance (SPR) for Simultaneous Detection of Methane, Hydrogen and Hydrogen Sulfide
[NO] 207/1000 | ScaRF-SLAM: Scale-Consistent Reconstruction with Feed-Forward Models and Classical Visual SLAM_supp1-3732836.mp4
[NO] 208/1000 | IEEE Transactions on Intelligent Transportation Systems Publication Information
[NO] 209/1000 | Notes
[YES] 210/1000 | Understanding Cross-Language Bug Fixing: An Empirical Study with CodeLMs and LLMs
[NO] 211/1000 | Algebraic Non-CORDIC Systolic Arrays for Jacobi-Based Singular Value Decomposition
[NO] 212/1000 | Air-Coupled Ultrasonic Image Enhancement for Metal–Rubber Debonding Defect Detection
[NO] 213/1000 | Wireless Power Transfer Using a Cavity-Enclosed Impedance Metawire Structure
[NO] 214/1000 | ZKBrainScape: A Deployment-Oriented Framework for Multimodal EEG Foundation Models
[NO] 215/1000 | Benchmarking Deep Learning Models for Anomaly Detection in Real-World Cloud Telemetry
[NO] 216/1000 | Efficient Pauli Operator Generation via Hierarchical Matrix Compression for Quantum-Ready Electromagnetic Solvers
[NO] 217/1000 | Environmental Reconnaissance Method in the Context of Multi-Mission Areas
[NO] 218/1000 | Prediction of Tea Quality Based on Data Mining
[NO] 219/1000 | Shadow-Resilient Gravel Road Segmentation with Chromatic and Texture Features for Unmarked Rural Environments
[NO] 220/1000 | A Compact 2.45-GHz High-Efficiency Rectifier with Wide Input-Power Range for Wearable WPT
[NO] 221/1000 | Design and Fabrication of Alumina Gradient-Refractive INdex Lenses for High-Power Applications
[NO] 222/1000 | Dynamic Dataset Augmentation and Intelligent Computing for Nanyang Rock Art Image Recognition
[NO] 223/1000 | A Distributed Photovoltaic Cluster Partition Method Based on Nonnegative Matrix Factorization
[NO] 224/1000 | Impact of Vehicle Modeling Fidelity on Deterministic Electromagnetic Propagation in Underground Tunnels Using Digital Twins
[NO] 225/1000 | Leakage-Aware Optimization of Integrated Charge Pumps for Ultra-Low-Power Applications
[NO] 226/1000 | High-Fidelity Dynamic 3D Scene Spatiotemporal Prediction Fusing Implicit Neural Fields and Controllable Deformation Fields
[NO] 227/1000 | Design of a RF CMOS Switch-Based Dual-Linearly Polarized Reconfigurable Reflectarray
[NO] 228/1000 | A Low-Cost Dielectric Grating Planar Array Antenna for Broadband Sub-THz Systems
[NO] 229/1000 | G1DMULT and G2DMULT Algorithms: An Approach for Calculating Green's Functions of Multilayer Structures
[NO] 230/1000 | Graph Topology-Driven Adaptive Optimization Stitching Method for Multi-Strip UAV Imagery
[NO] 231/1000 | A Reconfigurable MAFSS with Angular and Polarization Stability for Radiation Jamming
[NO] 232/1000 | Flexible F-Shaped Patch Antenna on Rubber Substrates for Wearable Applications
[NO] 233/1000 | Post-Quantum Safe and Side Channel Attack Resilient ARM Cortex M4 Satellite Uplink
[NO] 234/1000 | Tunable Active Resistor for Emerging Applications
[NO] 235/1000 | Multimodal Behavioral Analysis Guided by Marxist Values: A Framework for Assessing Adolescents' Moral Literacy Through Video and Speech Signal Fusion
[NO] 236/1000 | AI-Accelerated Robust Chamber-Reflection-Aware Position Selection for MIMO RTS OTA Measurements
[NO] 237/1000 | Flexible Hf
                    <sub>0.5</sub>
                    Zr
                    <sub>0.5</sub>
                    O
                    <sub>2</sub>
                    Ferroelectric Synaptic Devices with Multilevel States for Neuromorphic Computing
[NO] 238/1000 | CP Performance of Radiation from Meta Currents
[NO] 239/1000 | Experimental Demonstration of Generating a Structured RF Beam from a Dual Ring Antenna Array
[NO] 240/1000 | Conditional Diffusion Model for Microwave Imaging: Reconstructing Permittivity from Low-Resolution Difraction Tomography Profiles
[NO] 241/1000 | A Programmable Graphene Millimeter-Wave Metasurface with Triple Square Split-Ring Resonators
[NO] 242/1000 | A Multi-Scale Transformer-LSTM Framework for Automatic Modulation Recognition in Turbulent Free-Space Optical Channels
[NO] 243/1000 | Optimizing Resource Scheduling for Intelligent Cockpit SoCs Using Deep Reinforcement Learning
[NO] 244/1000 | A Scalable RFID-Controlled Reconfigurable Intelligent Surface for 2.4 GHz Wi-Fi
[NO] 245/1000 | A Spectral Collocation Method based analysis for Sezawa-mode Surface Acoustic Waves on ZnO/SiO
                    <sub>2</sub>
                    /SiC Layered Composite Structures
[NO] 246/1000 | Method for Function Partitioning of Distributed Resource Clusters in Distribution Networks
[NO] 247/1000 | Unbalanced Two-Arm Equiangular Spiral Antenna Using Artificial Magnetic Conductor Backing
[NO] 248/1000 | Pupil Size and Movement Tracking Through Closed Eyelids During Sleep
[NO] 249/1000 | A Cross-Generational Value Co-Creation Framework Based on Artificial Intelligence: Strategic Transformation of Knowledge Assets
[NO] 250/1000 | Crowd Density and Occupancy Monitoring for Emergency Management Using Passive RF Sensing
[NO] 251/1000 | Local Obstacle Avoidance for Low Altitude Urban Unmanned Aerial Vehicles Using Frenet MPPI
[NO] 252/1000 | TaintP2X: Detecting Taint-Style Prompt-to-Anything Injection Vulnerabilities in LLM-Integrated Applications
[YES] 253/1000 | SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents
[YES] 254/1000 | TraceCoder: A Trace-Driven Multi-Agent Framework for Automated Debugging of LLM-Generated Code
[NO] 255/1000 | The Hidden Cost of Readability: How Code Formatting Silently Consumes Your LLM Budget
[NO] 256/1000 | ICVARS 2026 Contributor Page
