[2026-03-03 09:29:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-02
正在获取论文...
[arXiv] 2026-03-02 | Bimanual XR Specification of Relative and Absolute Assembly Hierarchies for Teleoperation
[NO] 274/1882 | Obstacles to Continuous Quantum Error Correction via Parity Measurements
[NO] 275/1882 | ACDC: Adaptive Curriculum Planning with Dynamic Contrastive Control for Goal-Conditioned Reinforcement Learning in Robotic Manipulation
[YES] 276/1882 | Recursive Think-Answer Process for LLMs and VLMs
[NO] 277/1882 | FluxMem: Adaptive Hierarchical Memory for Streaming Video Understanding
[NO] 278/1882 | The statistical properties of the cross spectrum
[NO] 279/1882 | Effective degrees of freedom, trace anomaly and c-theorem like condition in the hadron resonance gas model
[NO] 280/1882 | Modeling Grammatical Hypothesis Testing in Young Learners: A Sequence-Based Learning Analytics Study of Morphosyntactic Reasoning in an Interactive Game
[NO] 281/1882 | From Pixels to Patches: Pooling Strategies for Earth Embeddings
[NO] 282/1882 | When an AI Judges Your Work: The Hidden Costs of Algorithmic Assessment
[NO] 283/1882 | Explainability and justification of automatic-decision making: A conceptual framework and a practical application
[NO] 284/1882 | Exploring Plan Space through Conversation: An Agentic Framework for LLM-Mediated Explanations in Planning
[NO] 285/1882 | SINR Estimation under Limited Feedback via Online Convex Optimization
[NO] 286/1882 | Spinodal instability in nuclear matter with light cluster degrees of freedom
[NO] 287/1882 | TRAKNN: Efficient Trajectory Aware Spatiotemporal kNN for Rare Meteorological Trajectory Detection
[NO] 288/1882 | Boundary driven weakly asymmetric Blume-Capel model: Large deviations for mixed Dirichlet-Neumann boundary conditions
[NO] 289/1882 | Anisotropic two-dimensional magnetoexciton with exact center-of-mass separation
[YES] 290/1882 | "When to Hand Off, When to Work Together": Expanding Human-Agent Co-Creative Collaboration through Concurrent Interaction
[NO] 291/1882 | WorldStereo: Bridging Camera-Guided Video Generation and Scene Reconstruction via 3D Geometric Memories
[NO] 292/1882 | Leave-One-Out Prediction for General Hypothesis Classes
[NO] 293/1882 | Ionic Liquid-Driven Modulation of DNA Brush Morphology on Nanoparticle Surfaces
[NO] 294/1882 | LAD-Drive: Bridging Language and Trajectory with Action-Aware Diffusion Transformers
[NO] 295/1882 | CodecFlow: Efficient Bandwidth Extension via Conditional Flow Matching in Neural Codec Latent Space
[NO] 296/1882 | MatRIS: Toward Reliable and Efficient Pretrained Machine Learning Interaction Potentials
[NO] 297/1882 | On the upper critical dimension of the KPZ universality class: KPZ and related equations on a fully connected graph
[NO] 298/1882 | Harmonic morphisms and minimal submanifolds
[NO] 299/1882 | Process Over Outcome: Cultivating Forensic Reasoning for Generalizable Multimodal Manipulation Detection
[NO] 300/1882 | Analysis of the steady solutions of the Fisher's infinitesimal model; a Hilbertian approach
[NO] 301/1882 | From Transportation to Manipulation: Transforming Magnetic Levitation to Magnetic Robotics
[NO] 302/1882 | Quantifying Uncertainty in Void Swelling Prediction: A Conformal Prediction Framework for Reactor Safety Margins
[NO] 303/1882 | Quantitative Convergence of Wasserstein Gradient Flows of Kernel Mean Discrepancies
[NO] 304/1882 | Cancellation of loop corrections to soft scalar power spectrum
[NO] 305/1882 | PreSight: Preoperative Outcome Prediction for Parkinson's Disease via Region-Prior Morphometry and Patient-Specific Weighting
[NO] 306/1882 | BAED: a New Paradigm for Few-shot Graph Learning with Explanation in the Loop
[NO] 307/1882 | Sector Theory of Levin-Wen Models II : Fusion and Braiding
[NO] 308/1882 | Dream2Learn: Structured Generative Dreaming for Continual Learning
[NO] 309/1882 | Radiation safety challenges in plasma accelerators
[NO] 310/1882 | ScreenAnt: Transparent On-Screen Antennas for 6G
[NO] 311/1882 | The permutation automorphism groups of irreducible cyclic codes
[NO] 312/1882 | Dynamic Connectivity and Local Frequency Strength under Stochastic Variations
[NO] 313/1882 | Configurational control of photon emission from a molecular dimer
[NO] 314/1882 | Open $3$-manifolds with non negative Ricci curvature in a spectral or integral sense
[NO] 315/1882 | Geomagnetic signatures of the slurry F-layer inferred from dynamo simulations
[NO] 316/1882 | KDFlow: A User-Friendly and Efficient Knowledge Distillation Framework for Large Language Models
[NO] 317/1882 | Bi-TEAM: A Unified Cross-Scale Representation Learning Framework for Chemically Modified Biomolecules
[NO] 318/1882 | Transfer of generalized amalgamation in simple theories
[NO] 319/1882 | Streaming Real-Time Trajectory Prediction Using Endpoint-Aware Modeling
[NO] 320/1882 | Existence, properties, and parametric inference for possibly hyperuniform Gibbs perturbed lattices
[NO] 321/1882 | An Embedded Mesh Approach for Isogeometric Boundary Layers in Contact Mechanics
[NO] 322/1882 | Information-fluctuation inequalities for collective response
[NO] 323/1882 | Defect dependent dynamic nanoindentation hardness of copper up to 25 000 s-1
[NO] 324/1882 | Mapping g-factors and complex intervalley coupling in Si/SiGe by conveyor-mode shuttling
[NO] 325/1882 | Uncertainty Quantification of Click and Conversion Estimates for the Autobidding
[NO] 326/1882 | Quantification of Tides in Giant Planets from Observations
[NO] 327/1882 | PleaSQLarify: Visual Pragmatic Repair for Natural Language Database Querying
[NO] 328/1882 | Information and communications technologies for carbon sinks from economics and engineering perspectives
[NO] 329/1882 | LLM-as-an-Annotator: Training Lightweight Models with LLM-Annotated Examples for Aspect Sentiment Tuple Prediction
[NO] 330/1882 | FreeAct: Freeing Activations for LLM Quantization
[NO] 331/1882 | Testing the isothermal Jeans model for self-interacting dark matter halos in the collapse phase
[NO] 332/1882 | ImpCresst -- A versatile simulation tool focusing on solid-state detectors at keV energies
[NO] 333/1882 | Downstream Task Inspired Underwater Image Enhancement: A Perception-Aware Study from Dataset Construction to Network Design
[NO] 334/1882 | Experimental engineering of Floquet topological phases in a one-dimensional optical lattice
[NO] 335/1882 | NeuroSymb-MRG: Differentiable Abductive Reasoning with Active Uncertainty Minimization for Radiology Report Generation
[NO] 336/1882 | Strategic Advice in the Age of Personal AI
[NO] 337/1882 | Exact bounds on quantum partial search algorithm and improving the parallel search
[NO] 338/1882 | Construction of infinite time bubble tower solutions to critical wave maps equation
[NO] 339/1882 | Asymptotic Analysis of Shallow Water Moment Equations
[YES] 340/1882 | Surgical Post-Training: Cutting Errors, Keeping Knowledge
[NO] 341/1882 | Jailbreaking Embodied LLMs via Action-level Manipulation
[NO] 342/1882 | On the Rate of Convergence of GD in Non-linear Neural Networks: An Adversarial Robustness Perspective
[NO] 343/1882 | Future stability of large-data wave maps in energy-supercritical dimensions
[NO] 344/1882 | Tiny-DroNeRF: Tiny Neural Radiance Fields aboard Federated Learning-enabled Nano-drones
[NO] 345/1882 | Valleytronics in 2D Materials Roadmap
[NO] 346/1882 | Tri-path DINO: Feature Complementary Learning for Remote Sensing Multi-Class Change Detection
[YES] 347/1882 | Inference-Time Safety For Code LLMs Via Retrieval-Augmented Revision
[NO] 348/1882 | Identification and Estimation of Production Function and Consumer Demand Function under Monopolistic Competition from Revenue Data
[NO] 349/1882 | Agentic Multi-Source Grounding for Enhanced Query Intent Understanding: A DoorDash Case Study
[NO] 350/1882 | Towards Robot Skill Learning and Adaptation with Gaussian Processes
[NO] 351/1882 | Multimodal Adversarial Quality Policy for Safe Grasping
[NO] 352/1882 | Non-Markovian Long-Horizon Robot Manipulation via Keyframe Chaining
[NO] 353/1882 | UltraStar: Semantic-Aware Star Graph Modeling for Echocardiography Navigation
[NO] 354/1882 | From Verbatim to Gist: Distilling Pyramidal Multimodal Memory via Semantic Information Bottleneck for Long-Horizon Video Agents
[NO] 355/1882 | Applicability and Limitations of Quantum Circuit Cutting in Classical State-Vector Simulation
[NO] 356/1882 | Plasmonic- and Electronic-Enhancement-Free Coherent Raman Detection of Ångström-Scale Molecular Layers at Metal Interfaces
[NO] 357/1882 | Enhancing Persona Following at Decoding Time via Dynamic Importance Estimation for Role-Playing Agents
[NO] 358/1882 | Color symmetry in the Potts spin glass at high temperature
[NO] 359/1882 | Bounded frequency lattices in integrated lithium niobate coupled ring cavities
[NO] 360/1882 | UniTalking: A Unified Audio-Video Framework for Talking Portrait Generation
[NO] 361/1882 | Securing the Floor and Raising the Ceiling: A Merging-based Paradigm for Multi-modal Search Agents
[NO] 362/1882 | When Humans Don't Feel Like an Option: Contextual Factors That Shape When Older Adults Turn to Conversational AI for Emotional Support
[NO] 363/1882 | Naturalness and Fisher Information
[YES] 364/1882 | GraphScout: Empowering Large Language Models with Intrinsic Exploration Ability for Agentic Graph Reasoning
[YES] 365/1882 | MIST-RL: Mutation-based Incremental Suite Testing via Reinforcement Learning
[NO] 366/1882 | One Operator to Rule Them All? On Boundary-Indexed Operator Families in Neural PDE Solvers
[NO] 367/1882 | Message Passing Without Temporal Direction: Constraint Semantics and the FITO Category Mistake
[NO] 368/1882 | D-GVIO: A Buffer-Driven and Efficient Decentralized GNSS-Visual-Inertial State Estimator for Multi-Agent Systems
[NO] 369/1882 | An Information-Theoretic Framework For Optimizing Experimental Design To Distinguish Probabilistic Neural Codes
[NO] 370/1882 | Topological Diagnosis of Optical Composites via Inversion of Nonlinear Dielectric Mixing Rules
[NO] 371/1882 | Integration of Individual Participant and Aggregate Data Under Dataset Shift: Summary Statistic Comparison and Scalable Computation
[NO] 372/1882 | 3BASiL: An Algorithmic Framework for Sparse plus Low-Rank Compression of LLMs
[YES] 373/1882 | Words & Weights: Streamlining Multi-Turn Interactions via Co-Adaptation
[NO] 374/1882 | Fed-GAME: Personalized Federated Learning with Graph Attention Mixture-of-Experts For Time-Series Forecasting
[NO] 375/1882 | Quantum framework for parameterizing partial differential equations via diagonal block-encoding
[NO] 376/1882 | Beta Ensembles in the Freezing Regime and Finite Free Convolutions
[NO] 377/1882 | Protostellar Outflows Shed Light on the Dominant Close Companion Star Formation Pathways
[NO] 378/1882 | Scattering problem for Zakharov-Kuznetsov equation in three space dimensions
[NO] 379/1882 | Testing Gravitational-Wave Signal From Verification Binaries with Space-Based Gravitational-Wave Detectors
[NO] 380/1882 | Reconciling 3D Models for the Central 10 parsecs of the Milky Way
[NO] 381/1882 | Novel technique based on Léja Points Approximation for Log-determinant Estimation of Large matrices
[NO] 382/1882 | Frontier Models Can Take Actions at Low Probabilities
[NO] 383/1882 | A Matrix Theory Construction of the IIA/IIB Wall
[YES] 384/1882 | Conformal Policy Control
[NO] 385/1882 | Algebraic statistics of Hüsler-Reiss graphical models in multivariate extremes
[NO] 386/1882 | MAC: A Conversion Rate Prediction Benchmark Featuring Labels Under Multiple Attribution Mechanisms
[NO] 387/1882 | Universal Behavior on the Relaxation Dynamics of Far-From-Equilibrium Quantum Fluids
[NO] 388/1882 | Interpreting map-based $E$/$B$ spectral properties of CMB foregrounds
[NO] 389/1882 | GeoDiT: Point-Conditioned Diffusion Transformer for Satellite Image Synthesis
[NO] 390/1882 | Commutators, mean-field, and supercritical mean-field limits for Coulomb/Riesz gases
[NO] 391/1882 | Boosting Device Utilization in Control Flow Auditing
[NO] 392/1882 | Instrumental and Proximal Causal Inference with Gaussian Processes
[NO] 393/1882 | Crossover from generalized to conventional hydrodynamics in nearly integrable systems under relaxation time approximation
[NO] 394/1882 | Constant-Time Surgery on 2D Hypergraph Product Codes with Near-Constant Space Overhead
[NO] 395/1882 | Degree Sequences vs. Forests in Bipartite Graphs
[NO] 396/1882 | Zero- and Few-Shot Named-Entity Recognition: Case Study and Dataset in the Crime Domain (CrimeNER)
[NO] 397/1882 | Effective potentials for de Sitter and anti de Sitter quantum fields
[NO] 398/1882 | Basin Riddling in Coupled Phase Oscillators
[NO] 399/1882 | Deep Unfolding for SIM-Assisted Multiband MU-MISO Downlink Systems
[NO] 400/1882 | Solving Convex Quadratic Optimization with Indicators Over Structured Graphs
[NO] 401/1882 | OmniRet: Efficient and High-Fidelity Omni Modality Retrieval
[NO] 402/1882 | Detection-Gated Glottal Segmentation with Zero-Shot Cross-Dataset Transfer and Clinical Feature Extraction
[NO] 403/1882 | Reinforcement Learning-Based Filters for Convection-Dominated Flows: Reference-Free and Reference-Guided Training
[YES] 404/1882 | GenDB: The Next Generation of Query Processing -- Synthesized, Not Engineered
[NO] 405/1882 | Accelerating PDE Surrogates via RL-Guided Mesh Optimization
[NO] 406/1882 | ORGAN: Object-Centric Representation Learning using Cycle Consistent Generative Adversarial Networks
[NO] 407/1882 | Teen Vigilance: Navigating Risky Social Interactions on Discord
[NO] 408/1882 | EstLLM: Enhancing Estonian Capabilities in Multilingual LLMs via Continued Pretraining and Post-Training
[NO] 409/1882 | Graph neural network force fields for adiabatic dynamics of lattice Hamiltonians
[NO] 410/1882 | Positivity of vector bundles and Dominance
[NO] 411/1882 | Decoherence and entropy production due to quantum fluctuations of spacetime
[NO] 412/1882 | MMR-Life: Piecing Together Real-life Scenes for Multimodal Multi-image Reasoning
[NO] 413/1882 | $\ell^1$ mapping properties, smoothness and decay for $SU(2)$-valued nonlinear Fourier transform
[NO] 414/1882 | Partial weight one modularity for Galois representations associated to mod $p$ Hilbert modular forms
[NO] 415/1882 | CHOP: Counterfactual Human Preference Labels Improve Obstacle Avoidance in Visuomotor Navigation Policies
[YES] 416/1882 | Bespoke OLAP: Synthesizing Workload-Specific One-size-fits-one Database Engines
[NO] 417/1882 | Event-Only Drone Trajectory Forecasting with RPM-Modulated Kalman Filtering
[NO] 418/1882 | Groups of generalized Moufang type and $\mathbb Z_2$-graded algebras
[NO] 419/1882 | ViTex: Visual Texture Control for Multi-Track Symbolic Music Generation via Discrete Diffusion Models
[NO] 420/1882 | An Analysis of Multi-Task Architectures for the Hierarchic Multi-Label Problem of Vehicle Model and Make Classification
[NO] 421/1882 | Higgs Branch and VOA of 4d $\mathcal{N}=2$ SCFTs from IIB
[NO] 422/1882 | Detection of weak signals under arbitrary noise distributions
[NO] 423/1882 | Block-coordinate Plug-And-Play Methods with Armijo-like line-search for Image Restoration
[NO] 424/1882 | Ultraviolet completion of the inflationary paradigm
[NO] 425/1882 | A spatial scan statistical for categorical, functional data
[NO] 426/1882 | TopoCurate:Modeling Interaction Topology for Tool-Use Agent Training
[NO] 427/1882 | Lower bounds for the large deviations and moments of the Riemann zeta function on the critical line
[NO] 428/1882 | Legal RAG Bench: an end-to-end benchmark for legal RAG
[NO] 429/1882 | Chemical effects on nuclear decay of ^{235}U isomer in the uranyl form
[NO] 430/1882 | MVR: Multi-view Video Reward Shaping for Reinforcement Learning
[YES] 431/1882 | Reasoning as Gradient: Scaling MLE Agents Beyond Tree Search
[NO] 432/1882 | Building a Strong Instruction Language Model for a Less-Resourced Language
[NO] 433/1882 | Modeling and Analysis of Fish Interaction Networks under Projected Visual Stimuli
[NO] 434/1882 | A Practical Guide to Streaming Continual Learning
[NO] 435/1882 | Completing the Complexity Classification of 2-Solo Chess: Knights and Kings are Hard
[NO] 436/1882 | Chain-of-Context Learning: Dynamic Constraint Understanding for Multi-Task VRPs
[NO] 437/1882 | Beyond the Grid: Layout-Informed Multi-Vector Retrieval with Parsed Visual Document Representations
[NO] 438/1882 | Contract-based Agentic Intent Framework for Network Slicing in O-RAN
[NO] 439/1882 | Cramer-Rao Bounds for Target Parameter Estimation in a Bi-Static IRS-Assisted Radar Configuration
[NO] 440/1882 | A Diffusion-Driven Fine-Grained Nodule Synthesis Framework for Enhanced Lung Nodule Detection from Chest Radiographs
[NO] 441/1882 | Probabilistic forecasting of weather-driven faults in electricity networks: a flexible approach for extreme and non-extreme events
[NO] 442/1882 | Magnetization plateaus, spin-canted orders and field-induced transitions in a spin-1/2 Heisenberg antiferromagnet on a distorted diamond-decorated honeycomb lattice
[NO] 443/1882 | The Invisibility Hypothesis: Promises of AGI and the Future of the Global South
[NO] 444/1882 | Closing the Gap Between Float and Posit Hardware Efficiency
[NO] 445/1882 | Predictive Lane-Change and Routing Coordination in Bus-Priority Mixed Traffic Corridors
[NO] 446/1882 | Boosting Entropy with Bell Box Quantization
[NO] 447/1882 | Graph-centric Cross-model Data Integration and Analytics in a Unified Multi-model Database
[NO] 448/1882 | MR-Compass: Inertial Navigation-Driven Motion Correction for Brain MRI
[NO] 449/1882 | Intersubjectivity as a principle determining physical observables and non-classicality
[NO] 450/1882 | Auxiliary counterterms and their role in effective field theory
[NO] 451/1882 | TopoMaskV3: 3D Mask Head with Dense Offset and Height Predictions for Road Topology Understanding
[NO] 452/1882 | Piecewise linear interpolation via kernels
[NO] 453/1882 | Extracting Training Dialogue Data from Large Language Model based Task Bots
[NO] 454/1882 | Benchmarking Semantic Segmentation Models via Appearance and Geometry Attribute Editing
[NO] 455/1882 | Role of Domain Walls in the Early Universe in the Context of Mode Matching
[YES] 456/1882 | Compliance as Code: A Study of Linux Distributions and Beyond
[NO] 457/1882 | Multimodal Mixture-of-Experts with Retrieval Augmentation for Protein Active Site Identification
[NO] 458/1882 | OMG-Avatar: One-shot Multi-LOD Gaussian Head Avatar
[NO] 459/1882 | TiledAttention: a CUDA Tile SDPA Kernel for PyTorch
[NO] 460/1882 | Large scale mapping of [CI] and the [CI]-to-CO transition in $ρ$ Ophiuchus molecular cloud
[NO] 461/1882 | Accelerating Single-Pass SGD for Generalized Linear Prediction
[NO] 462/1882 | Probabilistic Retrofitting of Learned Simulators
[NO] 463/1882 | physfusion: A Transformer-based Dual-Stream Radar and Vision Fusion Framework for Open Water Surface Object Detection
[NO] 464/1882 | Intersection theory on singular moduli spaces of vector bundles: a parabolic approach
[YES] 465/1882 | CoVe: Training Interactive Tool-Use Agents via Constraint-Guided Verification
[NO] 466/1882 | Current and future constraints on the expansion history of the GREA model
[NO] 467/1882 | LaST-VLA: Thinking in Latent Spatio-Temporal Space for Vision-Language-Action in Autonomous Driving
[NO] 468/1882 | MealRec: Multi-granularity Sequential Modeling via Hierarchical Diffusion Models for Micro-Video Recommendation
[NO] 469/1882 | A Vibrated Compacting Granular System: A DEM Light Scattering Comparison
[YES] 470/1882 | AdaPonderLM: Gated Pondering Language Models with Token-Wise Adaptive Depth
[NO] 471/1882 | Exploring $\widetilde{R}_2$ Leptoquarks and Majorana Neutrinos via same-sign dimuons at the HL-LHC
[NO] 472/1882 | Singularities in the RG flow
[NO] 473/1882 | SaferPath: Hierarchical Visual Navigation with Learned Guidance and Safety-Constrained Control
[YES] 474/1882 | Agentic Code Reasoning
[NO] 475/1882 | Resolving Blind Inverse Problems under Dynamic Range Compression via Structured Forward Operator Modeling
[NO] 476/1882 | THz RHS Transceiver for Low-Latency Multi-User VR Transmission with MEC
[NO] 477/1882 | Predicting the Peak Energy of Swift Gamma-Ray Bursts Using Supervised Machine Learning
[NO] 478/1882 | Diagnosing Generalization Failures from Representational Geometry Markers
[NO] 479/1882 | Berkovich $2$-motives and normed ring stacks
[NO] 480/1882 | Phishing the Phishers with SpecularNet: Hierarchical Graph Autoencoding for Reference-Free Web Phishing Detection
[NO] 481/1882 | Generalizing Logic-based Explanations for Machine Learning Classifiers via Optimization
[NO] 482/1882 | Plug-and-play forward backward algorithm to restore Landsat images: A preliminary step to uncover the history of surface waters
[NO] 483/1882 | CyclicJudge: Mitigating Judge Bias Efficiently in LLM-based Evaluation
[NO] 484/1882 | Mid-infrared germanium-on-silicon waveguide sensor for therapeutic drug monitoring of phenytoin
[NO] 485/1882 | Quantum-PROBE: Rydberg Atomic Receiver-Based Multi-AoA Estimation with RF Lens
[NO] 486/1882 | GroupEnsemble: Efficient Uncertainty Estimation for DETR-based Object Detection
[NO] 487/1882 | Constrained Particle Seeking: Solving Diffusion Inverse Problems with Just Forward Passes
[NO] 488/1882 | Critical Clearing Time Enhancement of Droop-Controlled Grid-Forming Inverters with Adaptive Function-Based Parameters
[NO] 489/1882 | Emerging Human-like Strategies for Semantic Memory Foraging in Large Language Models
[NO] 490/1882 | Voices, Faces, and Feelings: Multi-modal Emotion-Cognition Captioning for Mental Health Understanding
[YES] 491/1882 | Architecture-Aware Multi-Design Generation for Repository-Level Feature Addition
[NO] 492/1882 | SSMG-Nav: Enhancing Lifelong Object Navigation with Semantic Skeleton Memory Graph
[NO] 493/1882 | Finite-Depth, Finite-Shot Guarantees for Constrained Quantum Optimization via Fejér Filtering
[NO] 494/1882 | Experimental realization and self-testing of semisymmetric informationally complete measurements via a one-dimensional photonic quantum walk
[YES] 495/1882 | What Papers Don't Tell You: Recovering Tacit Knowledge for Automated Paper Reproduction
[NO] 496/1882 | Hilbert entropy for measuring the complexity of high-dimensional systems
[YES] 497/1882 | Can LLMs Hack Enterprise Networks? -- Replicated Computational Results (RCR) Report
[NO] 498/1882 | Search for the charmonium weak decay $ψ(2S)\to D_s^-π^+ + c.c.$ and $ψ(2S)\to D_s^-ρ^+ + c.c.$
[NO] 499/1882 | Approximate message passing for block-structured ecological systems
[NO] 500/1882 | Neural Implicit Action Fields: From Discrete Waypoints to Continuous Functions for Vision-Language-Action Models
[NO] 501/1882 | Efficient Test-Time Optimization for Depth Completion via Low-Rank Decoder Adaptation
[NO] 502/1882 | Causal Circuit Tracing Reveals Distinct Computational Architectures in Single-Cell Foundation Models: Inhibitory Dominance, Biological Coherence, and Cross-Model Convergence
[NO] 503/1882 | Periodic KPZ fixed point with general initial conditions
[NO] 504/1882 | Catapults to the Rescue: Accelerating Vector Search by Exploiting Query Locality
[NO] 505/1882 | Beyond Microservices: Testing Web-Scale RCA Methods on GPU-Driven LLM Workloads
[NO] 506/1882 | The infinite block spin Ising model
[NO] 507/1882 | CA-AFP: Cluster-Aware Adaptive Federated Pruning
[NO] 508/1882 | Co-optimization for Adaptive Conformal Prediction
[NO] 509/1882 | Power and Sample Size Calculations for Bayes Factors in two-arm clinical Phase II Trials with binary Endpoints
[NO] 510/1882 | Search Multilayer Perceptron-Based Fusion for Efficient and Accurate Siamese Tracking
[NO] 511/1882 | Security Risks in Machining Process Monitoring: Sequence-to-Sequence Learning for Reconstruction of CNC Axis Positions
[NO] 512/1882 | DiffusionXRay: A Diffusion and GAN-Based Approach for Enhancing Digitally Reconstructed Chest Radiographs
[NO] 513/1882 | Flux Estimates and Detection Prospects for Lunar Geoneutrinos
[NO] 514/1882 | 4-Pixel NbN Hot-Electron Bolometer Integrated in a Si$_3$N$_4$ Planar Optical Waveguide with On-Chip Fiber-Alignment Trench
[NO] 515/1882 | Analogue black hole merger in a polariton condensate
[NO] 516/1882 | HeRo: Adaptive Orchestration of Agentic RAG on Heterogeneous Mobile SoC
[NO] 517/1882 | LexChronos: An Agentic Framework for Structured Event Timeline Extraction in Indian Jurisprudence
[NO] 518/1882 | PromptStereo: Zero-Shot Stereo Matching via Structure and Motion Prompts
[NO] 519/1882 | QCAgent: An agentic framework for quality-controllable pathology report generation from whole slide image
[NO] 520/1882 | Pointwise Convergence Analysis for Approximations of Optimal Transport Problems with a Target Measure that Has Unbounded Support
[YES] 521/1882 | Learning Structured Reasoning via Tractable Trajectory Control
[NO] 522/1882 | DriveCombo: Benchmarking Compositional Traffic Rule Reasoning in Autonomous Driving
[NO] 523/1882 | SEED-SET: Scalable Evolving Experimental Design for System-level Ethical Testing
[NO] 524/1882 | Measuring What VLMs Don't Say: Validation Metrics Hide Clinical Terminology Erasure in Radiology Report Generation
[YES] 525/1882 | ToolRLA: Fine-Grained Reward Decomposition for Tool-Integrated Reinforcement Learning Alignment in Domain-Specific Agents
[YES] 526/1882 | SPACE-Timers -- A Stack-Based Hierarchical Timing System for C++
[NO] 527/1882 | Coarse-to-Fine Monocular Re-Localization in OpenStreetMap via Semantic Alignment
[NO] 528/1882 | Sustaining high-fidelity quantum logic in neutral-atom circuits via mid-circuit operations
[NO] 529/1882 | YCDa: YCbCr Decoupled Attention for Real-time Realistic Camouflaged Object Detection
[NO] 530/1882 | PPEDCRF: Privacy-Preserving Enhanced Dynamic CRF for Location-Privacy Protection for Sequence Videos with Minimal Detection Degradation
[NO] 531/1882 | Single-ion phonon laser in the quantum regime
[NO] 532/1882 | Benchmarking LLM Summaries of Multimodal Clinical Time Series for Remote Monitoring
[NO] 533/1882 | Hermes: A Unified High-Performance NTT Architecture with Hybrid Dataflow
[NO] 534/1882 | State-Action Inpainting Diffuser for Continuous Control with Delay
[NO] 535/1882 | Align-cDAE: Alzheimer's Disease Progression Modeling with Attention-Aligned Conditional Diffusion Auto-Encoder
[YES] 536/1882 | Graph-Based Self-Healing Tool Routing for Cost-Efficient LLM Agents
[NO] 537/1882 | PathMoE: Interpretable Multimodal Interaction Experts for Pediatric Brain Tumor Classification
[NO] 538/1882 | RA-Det: Towards Universal Detection of AI-Generated Images via Robustness Asymmetry
[NO] 539/1882 | Mass-type invariants in the presence of a cosmological constant
[NO] 540/1882 | Equisingular Deformations of Curves and Surfaces in Threefolds
[NO] 541/1882 | Pharmacology Knowledge Graphs: Do We Need Chemical Structure for Drug Repurposing?
[NO] 542/1882 | CueNet: Robust Audio-Visual Speaker Extraction through Cross-Modal Cue Mining and Interaction
[NO] 543/1882 | Boosting AI Reliability with an FSM-Driven Streaming Inference Pipeline: An Industrial Case
[NO] 544/1882 | VectorMaton: Efficient Vector Search with Pattern Constraints via an Enhanced Suffix Automaton
[NO] 545/1882 | Insulating Electronic States Near the Dirac Point Arising from Twisted Stacking and Curvature in 3D Nanoporous Graphene
[NO] 546/1882 | Efficient Learning Algorithms for Noisy Quantum State and Process Tomography
[NO] 547/1882 | Pressure-induced lattice instabilities and phonon softening in the orthorhombically distorted ferrimagnet Ni4Nb2O9
[NO] 548/1882 | FACE: A Face-based Autoregressive Representation for High-Fidelity and Efficient Mesh Generation
[NO] 549/1882 | Retrieval, Refinement, and Ranking for Text-to-Video Generation via Prompt Optimization and Test-Time Scaling
[NO] 550/1882 | FATE: Closed-Loop Feasibility-Aware Task Generation with Active Repair for Physically Grounded Robotic Curricula
[NO] 551/1882 | Anatomy of the Modality Gap: Dissecting the Internal States of End-to-End Speech LLMs
[NO] 552/1882 | GAC: Stabilizing Asynchronous RL Training for LLMs via Gradient Alignment Control
[NO] 553/1882 | Towards Privacy-Preserving LLM Inference via Collaborative Obfuscation (Technical Report)
[NO] 554/1882 | LHEReader: Simplified Conversion from Les Houches Event Files to ROOT Format
[NO] 555/1882 | LLM-assisted Semantic Option Discovery for Facilitating Adaptive Deep Reinforcement Learning
[NO] 556/1882 | A Unified Fractional Spectral Framework for Spatiotemporal Graph Signals: Bi-Fractional Transform and Geodesic Coupling
[NO] 557/1882 | Entropy-Guided GRVQ for Ultra-Low Bitrate Neural Speech Codec
[NO] 558/1882 | Two Lyman Continuum Escape Mechanisms at Play in $z\sim0.3$ galaxies Revealed by Infrared Observations
[NO] 559/1882 | Randomized Kiring Believer for Parallel Bayesian Optimization with Regret Bounds
[NO] 560/1882 | Mean-Flow based One-Step Vision-Language-Action
[NO] 561/1882 | VidDoS: Universal Denial-of-Service Attack on Video-based Large Language Models
[NO] 562/1882 | Identifying Compton-thick AGNs in the COSMOS II. Among mid-infrared selected AGNs
[NO] 563/1882 | Revisiting Global Token Mixing in Task-Dependent MRI Restoration: Insights from Minimal Gated CNN Baselines
[NO] 564/1882 | Unifying Language-Action Understanding and Generation for Autonomous Driving
[NO] 565/1882 | Finite subset spaces of spheres
[NO] 566/1882 | Nearly-symmetric matrices in the Cohen-Lenstra universality class
[NO] 567/1882 | Designing a family of 2D kagome monolayer B<sub>18<sub>S<sub>8<sub>, B<sub>18<sub>S<sub>8<sub>H<sub>2<sub>, B<sub>18<sub>S<sub>6<sub>X<sub>2<sub> (X=Cl,Br,I) with tunable Dirac cones and high Fermi velocity
[NO] 568/1882 | Nonreciprocal entanglement in exciton optomechanics with an optical parametric amplifier
[NO] 569/1882 | HarmonyCell: Automating Single-Cell Perturbation Modeling under Semantic and Distribution Shifts
[NO] 570/1882 | NP-Completeness and Physical Zero-Knowledge Proof of Hotaru Beam
[NO] 571/1882 | Unix Tools and the FITO Category Mistake: Crash Consistency and the Protocol Nature of Persistence
[NO] 572/1882 | From Sustainable Materials to User-Centered Sustainability: Material Experience in Art Healing
