[2026-06-26 23:06:21] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-25
正在获取论文...
[arXiv] 2026-06-25 | CLIR: Liveness-Driven and Structure-Aware Fuzzing for the Cranelift Compiler
[NO] 79/1913 | Inequalities among higher-order difference sets, or, remarks on a construction of Ruzsa
[NO] 80/1913 | Efficient Proton Relay Orchestrated by Covalent Bond Switching of Active Amino Acids in Protein Channels
[NO] 81/1913 | ATGBuilder: Feature-Assisted Graph Learning for Activity Transition Graph Construction with Seed Supervision
[NO] 82/1913 | Urban Context and Travel Experience Events: An Exploratory Comparison of Two German Cities
[NO] 83/1913 | Performance of Low Mode Averaging on Twisted-Mass Fermion Ensembles at the physical pion mass point
[NO] 84/1913 | Floor Raiser or Ceiling Limiter? Differential Storytelling Outcomes with a Child-Centric GenAI System Across Individual Differences
[NO] 85/1913 | Non-topological solitons in biadjoint scalar field theory
[NO] 86/1913 | An infinite family of counterexamples to a question of Camina
[NO] 87/1913 | Quintom Model Perturbations
[NO] 88/1913 | Optical observations of candidate host galaxies of eight fast X-ray transients
[NO] 89/1913 | Physical Layer Authentication With Channel Knowledge Maps in Indoor Environments
[NO] 90/1913 | RelAfford6D: Relational 6D Affordance Graphs for Constraint-Driven Robotic Manipulation
[NO] 91/1913 | In-plane vector-field imaging of propagating surface phonon polaritons
[NO] 92/1913 | Symplectic Neural Networks for learning Generalized Hamiltonians
[NO] 93/1913 | Cohen, Levitzki, Hilbert Basis, and Lasker-Noether Theorems for Nil-S-Noetherian Rings
[NO] 94/1913 | MinGram: A Minimalist Unigram Tokenizer with High Compression and Competitive Morphological Alignment
[NO] 95/1913 | RolloutPipe: Overlapping Pipelined Rollout and Training in Disaggregated On-Policy LLM Reinforcement Learning
[NO] 96/1913 | Modeling Adaptive Visual Search in Semantically Hierarchical Layouts
[NO] 97/1913 | Socratic agents for autonomous scientific discovery in high-dimensional physical systems
[NO] 98/1913 | MLFFM-SegDiff: A Multi-Level Feature Fusion Diffusion Model for Skin Lesion Segmentation
[NO] 99/1913 | Mask to Concept: Auto-Promptable SAM3 via Efficient Test-Time Concept Embedding Search for Few-Shot Annotation
[NO] 100/1913 | Kalman Prototypical Networks for Few-shot Fault Detection in Combined Cycle Gas Turbines
[NO] 101/1913 | Beyond Logical Forms: LLM-Extracted Patterns for Fallacy Classification
[NO] 102/1913 | Thermal Rectification from Size-Dependent Phonon Confinement in Nanoparticle Assemblies
[NO] 103/1913 | Search for Seeds of The Cradle of Stars: Study of The Evolution From Atomic to Molecular Hydrogen Clouds with 1000 AU Scale Resolution
[NO] 104/1913 | Attributed, But Not Incremental: Cannibalization-Corrected Attribution for Large-Scale Advertising
[NO] 105/1913 | How Can Size and Ceiling Bounds Affect the Complexity of Nonuniform Automata Families?
[NO] 106/1913 | Testing Equivalence to the Hamiltonian Cycle Polynomial
[NO] 107/1913 | LayersReg: A Layer-by-Layer Progressive Regressor for Reliable Intraoperative 3D/2D Registration
[NO] 108/1913 | An Evaluation of Decentralized Group Formation Techniques for Flying Light Specks
[NO] 109/1913 | Position Rebinding Cache Reuse: Replay-Free Visual Revisiting for Interleaved Multimodal Reasoning
[NO] 110/1913 | Reviving Reflection-in-Action: Instilling Designerly Thinking in AI-Supported Ideation through Multimodal Prompting
[NO] 111/1913 | $λ$-PSD: Scalable Approximate SNR-Optimised Polynomial Stein Discrepancies
[NO] 112/1913 | Discovering Millions of Interpretable Features with Sparse Autoencoders
[NO] 113/1913 | A Closed-Form 4-DoF Inter-Robot Pose Estimator using Bearing-only Measurements
[NO] 114/1913 | Moebius: Serving Mixture-of-Expert Models with Seamless Runtime Parallelism Switch
[NO] 115/1913 | Fast Computation and Optimization for Opinion-Based Quantities of Friedkin-Johnsen Model
[NO] 116/1913 | Holographic light-quark energy loss in a spinning plasma
[NO] 117/1913 | Unified study of hyperon semileptonic decays in a relativistic three-quark model
[NO] 118/1913 | LLM-based Models for Detecting Emerging Topics in Service Feedback
[NO] 119/1913 | Content-Based Smart E-Mail Dispatcher Using Large Language Models
[NO] 120/1913 | Three-Objective Integral R2 Subset Selection: NP-Hardness and Submodular Approximation
[NO] 121/1913 | Preference Optimization Drives Monoculture in LLM Prediction Markets
[NO] 122/1913 | Co-Designing Community-Centered AI Education for Adults: A Midwestern Case Study
[NO] 123/1913 | SpaceRipple: Lightweight Semantic Delivery for Mission-Oriented LEO Earth Observation Satellite Networks
[NO] 124/1913 | Coarse-to-Fine: A Hybrid Self-Supervised Method for Non-rigid 3D Shape Matching
[NO] 125/1913 | Topological phase transition driven by in-plane spin rotation
[NO] 126/1913 | VoiceTTA: Enhancing Zero-Shot Text-to-Speech via Reinforcement Learning-Based Test-Time Adaptation
[NO] 127/1913 | Integrable pentagram-type maps on polyhedra via partial difference operators
[NO] 128/1913 | VIGIL: Runtime Enforcement of Behavioral Specifications in AI Agent Skills
[NO] 129/1913 | Regularity of global attractors for beam equations with fractional damping and memory
[NO] 130/1913 | Duality-covariant particles and exotic branes
[NO] 131/1913 | Order-2 bygone-state opacity of labeled finite-state automata
[NO] 132/1913 | A semi-analytic model of the bouncing barrier for protoplanetary dust aggregates
[NO] 133/1913 | Soft Token Alignment for Cross-Lingual Reasoning
[NO] 134/1913 | Weak-Flow Induced Dielectric Axes Rotation in Dipolar Suspensions
[NO] 135/1913 | BOWConnect: Parallel Bayesian Optimization over Windows with Learned Local Cost Maps for Sample-Efficient Kinodynamic Motion Planning
[NO] 136/1913 | Recovering Governing Equations from Solution Data: Identifiability Bounds for Linear and Nonlinear ODEs
[NO] 137/1913 | Resource-Aware Neuro-Symbolic Reasoning for Local Small Language Models
[NO] 138/1913 | MLC for parabolically bounded primitive renormalization
[NO] 139/1913 | Ribbon: Scalable Approximation and Robust Uncertainty Quantification
[NO] 140/1913 | Revised orbital parameters of the gamma2 Velorum system
[NO] 141/1913 | Adaptive Iterative Numerical Homogenization for Quasilinear Nonmonotone Elliptic PDE
[NO] 142/1913 | Advancing Omnimodal Embodied Agents from Isolated Skills to Everyday Physical Autonomy
[NO] 143/1913 | HumanoidUMI: Bridging Robot-Free Demonstrations and Humanoid Whole-Body Manipulation
[NO] 144/1913 | LMs as Task-Specific Knowledge Bases: An Interpretability Analysis
[NO] 145/1913 | Bridging Talk and Thought: Understanding Dialogue Dynamics Across Collaborative Problem-Solving Contexts
[NO] 146/1913 | Quasi-Feynman formulas that provide fast converging Chernoff approximations to solution of parabolic differential equation on the real line
[NO] 147/1913 | On some $p$-approximation properties of exact discrete groups and $\ell^p$ uniform Roe algebras
[NO] 148/1913 | Non-Hermitian Bloch Oscillations
[NO] 149/1913 | Don't Settle at the Mode! Mitigating Diversity Collapse in Pretrained Flow Models via Feature Self-Guidance
[NO] 150/1913 | Hidden-ordered Dirac fermions
[NO] 151/1913 | Accessing both electrochemical SEIRA and SERS with ultrasensitive metamaterials for enhanced molecular identification
[NO] 152/1913 | $\mathrm{W}^*$-algebraic Integration Theory
[NO] 153/1913 | PhysiFormer: Learning to Simulate Mechanics in World Space
[NO] 154/1913 | Beyond the equation of state: a second-order diagnostic for dynamical dark energy
[NO] 155/1913 | Continual Robot Policy Learning via Variational Neural Dynamics
[NO] 156/1913 | Bridging Performance and Generalization in Reinforcement Learning for Agile Flight
[NO] 157/1913 | Coquasi-bialgebroids and cocycle twisting
[NO] 158/1913 | Jet impingement cooling with multi-stage ducted electroaerodynamic actuators
[NO] 159/1913 | Empowering GUI Agents via Autonomous Experience Exploration and Hindsight Experience Utilization for Task Planning
[NO] 160/1913 | Hallucination in World Models is Predictable and Preventable
[NO] 161/1913 | Kolmogorov equations for stochastic convective Brinkman-Forchheimer equations forced by Lévy Noise and its application to infinite horizon problems
[NO] 162/1913 | An Instruction Set Architecture for IMPLY-based Memristive Processing-in-Array
[NO] 163/1913 | Automated Galerkin time stepping in Irksome
[NO] 164/1913 | Multilingual Reasoning Cascades Need More Context
[NO] 165/1913 | The $^{229}$Th Isomer: Nuclear Structure, Clocks, and Tests of Fundamental Physics
[NO] 166/1913 | On Fourier Phase Retrieval from Differential Intensity Measurements with Applications to Wavefront Sensing
[NO] 167/1913 | Local stability for a class of Saint-Venant type inequalities
[NO] 168/1913 | Calibration and Performance of proANUBIS: A proof-of-concept detector for the ANUBIS experiment
[NO] 169/1913 | Quantitative uniform resolvent estimates
[NO] 170/1913 | Field theories for Laplacian Growth
[NO] 171/1913 | Chemical Complexity in the Early Stages of Star Formation in the SKAO Era
[NO] 172/1913 | TraMP-LLaMA: Generative Interpretability with Decoupled Instruction Tuning for Facial Expression Quality Assessment
[NO] 173/1913 | Numerical analysis of first-order mean field games under displacement monotonicity
[NO] 174/1913 | Light-driven active phase separation and droplet division
[NO] 175/1913 | High temperature transitions in Ruddlesden-Popper nickelates La$_{n+1}$Ni$_{n}$O$_{3n+1}$
[NO] 176/1913 | Target-Aware Bandit Allocation for Scalable Surrogate Optimization in Chemical Space
[NO] 177/1913 | Scalable Message-Passing Quantum Graph Neural Networks in the Weisfeiler-Leman Hierarchy
[NO] 178/1913 | Theoretical determination of the binding energies of methanol and related species onto amorphous solid water ice
[NO] 179/1913 | Low-energy model for doped graphene nanoribbons
[NO] 180/1913 | High order harmonic Optical Reconstruction by delayed time-depeNdent Ellipticity perturbaTion: HORNET
[NO] 181/1913 | The gauge invariance of non-perturbative vertex prescriptions
[NO] 182/1913 | A Precompactness theorem for Einstein metrics on homogeneous torus bundles
[NO] 183/1913 | Laplace Space for Cosmological Correlators
[NO] 184/1913 | A 0.651-approximation to quantum Max Cut via Rydberg atoms
[NO] 185/1913 | Results on Cartesian $1$-capacity of graphs
[NO] 186/1913 | Origins of Cosmic Rays in the Galactic-extragalactic Transition Energy Range
[NO] 187/1913 | DroidBreaker: Practical and Functional Problem-Space Attacks on Machine-Learning Android Malware Detectors
[NO] 188/1913 | Forecasting With LLMs: Improved Generalization Through Feature Steering
[NO] 189/1913 | Can Large Language Models Reliably Code Qualitative Humanitarian Data? A Benchmark Study Against Human Expert Adjudication
[NO] 190/1913 | Hypercups: Flipping Cups With More Than Two Sides
[NO] 191/1913 | Congruent copies of finite patterns in planar point sets
[NO] 192/1913 | From Holst to Carroll Gravity, a Hamiltonian point of view
[NO] 193/1913 | Regularization of the metric generalized inverse in Banach spaces and the dichotomy phenomenon
[NO] 194/1913 | Physical Neural Networks Need Nonlinearity, Amplification, and Suppression for Learning
[YES] 195/1913 | Mostly Automatic Translation of Language Interpreters from C to Safe Rust
[NO] 196/1913 | Vis4GS: A Visual Analytic Tool for 3D Gaussian Splatting Reconstruction
[NO] 197/1913 | RoPEMover: Depth-Aware Object Relocation via Positional Embeddings
[NO] 198/1913 | On automorphisms of $\mathscr{B}$-admissible and related subshifts
[NO] 199/1913 | SKA VLBI survey of the Southern sky for astrometry, geodesy, and astrophysics
[NO] 200/1913 | Paved with True Intents: Intent-Aware Training Improves LLM Safety Classification Across Training Regimes
[NO] 201/1913 | Counting equitable $k$-colorings in graphs of bounded clique-width
[NO] 202/1913 | Effective Covariance Dynamics in Solvable High-Dimensional GANs
[NO] 203/1913 | Isoregular theories, accessible 2-categories, and free constructions
[NO] 204/1913 | Ask, Solve, Generate: Self-Evolving Unified Multimodal Understanding and Generation via Self-Consistency Rewards
[NO] 205/1913 | Scalable Behavior Cloning with Open Data, Training, and Evaluation
[NO] 206/1913 | Paying More Attention to Visual Tokens in Self-Evolving Large Multimodal Models
[NO] 207/1913 | Dirac fermions in non-Hermitian magnetic fields: Zero modes and index theorem
[YES] 208/1913 | Reinforcement Learning without Ground-Truth Solutions can Improve LLMs
[NO] 209/1913 | The Effect of Topological Defects and Magnetic Flux on Fully-Heavy Tetraquarks and Mass Spectra of Heavy Quarkonia Using the Analytical Exact Iteration Method
[NO] 210/1913 | Hall Geometry and Auslander-Reiten Quiver
[NO] 211/1913 | Autoregressive Boltzmann Generators
[NO] 212/1913 | Error-Conditioned Neural Solvers
[NO] 213/1913 | All you need is log
[NO] 214/1913 | On the deformation theory of chiral quantizations
[NO] 215/1913 | SAM2Matting: Generalized Image and Video Matting
[NO] 216/1913 | The IKKT renormalization group flow is IIB: toward zero-d holography
[NO] 217/1913 | Weighted Fruit Diophantine Equations and Hyperelliptic Curves
[NO] 218/1913 | Beyond the Hard Budget: Sparsity Regularizers for More Interpretable Top-k Sparse Autoencoders
[NO] 219/1913 | Elastic Time: Dynamic Frame Rate Bottlenecks for Neural Audio Coding
[NO] 220/1913 | A Verification Theorem for an Optimal Control Problem Governed by the Convective Brinkman--Forchheimer Equations
[NO] 221/1913 | Universal Lichnerowicz Lifting of Near-Horizon Soft Modes
[NO] 222/1913 | A Multi-Fidelity Convolutional Autoencoder-Transfer Learning Framework for Guided-Wave-Based Damage Diagnosis Using Large Simulated and Limited Experimental Datasets
[NO] 223/1913 | Designing Reward Signals for Portable Query Generation: A Case Study in Industrial Semantic Job Search
[NO] 224/1913 | When Does Combining Language Models Help? A Co-Failure Ceiling on Routing, Voting, and Mixture-of-Agents Across 67 Frontier Models
[NO] 225/1913 | Simulation-based inference for rapid Bayesian parameter estimation in epidemiological models: a comparison with MCMC
[NO] 226/1913 | "Everyone Says Them": Deception Typologies, Probabilistic Trust, and Grassroots Safety Knowledge Among Gay Dating App Users in China
[NO] 227/1913 | Exact and Deterministic Patch Descriptor Retrieval via Hierarchical Normalization
[NO] 228/1913 | Linear Spaces over Perfect Idylls
[NO] 229/1913 | Codex Mutabilis: Preserving The Reasons For Changes In Scientific Names
[NO] 230/1913 | E-TTS: A New Embodied Test-Time Scaling Framework for Robotic Manipulation
[NO] 231/1913 | A modified Euler-Maruyama method to simulate a one-dimensional sticky diffusion
[NO] 232/1913 | A Shortest-Path Anisotropy Diagnostic for Black-Hole Graph Geometries
[NO] 233/1913 | Characteristic Lightcone Sources in SO(1,3) Yang-Mills Theory
[NO] 234/1913 | Evaluating Architectural Trade-offs in CGRAs: The Impact of Scratchpad Memory and Heterogeneity on Compute-Intensive Kernels
[NO] 235/1913 | Endpoint Control of Thermodynamic Topological Classes for Fixed Charge \texorpdfstring{$d$}{d}-dimensional Reissner--Nordström Black Holes in a Cavity
[NO] 236/1913 | From Celebrities to Anyone: Characterizing AI Nudification Content, Technology, and Community Dynamics on 4chan
[NO] 237/1913 | Spin-orbit coupling driven topological superconductivity in twisted bilayer graphene-WSe$_2$ heterostructures
[NO] 238/1913 | Hyperiax and Phylogenetic Inference from Shape Data
[NO] 239/1913 | Reproducibility Study of "AlphaEdit: Null-Space Constrained Knowledge Editing for Language Models"
[NO] 240/1913 | Anatomy-Guided Residual Motion Diffusion for Controllable 4D Cardiac MRI Synthesis
[NO] 241/1913 | Fast Robust Regression via Orthogonal Block Updates
[NO] 242/1913 | RouterVLA: Turning Smoke Tests into Supervision for Heterogeneous VLA Selection
[NO] 243/1913 | Hunting for extreme high-energy-peaked BL Lacs: Rare to find and difficult to classify
[NO] 244/1913 | Refractive indices of Y$_2$SiO$_5$ in the near-infrared
[NO] 245/1913 | Economic complexity at subnational level: A consistency analysis
[NO] 246/1913 | Asymptotic solutions: glancing trajectories, Lagrangian singularities, and Bessel cylinders
[NO] 247/1913 | Toward Agentic SysAdmin: Rethinking System Administration with AI Agents
[NO] 248/1913 | Solving Shifted Systems for Quasiseparable Matrices
[NO] 249/1913 | Non-Uniform and Weighted Crossing Gates in Two-Dimensional Sandpiles
[NO] 250/1913 | Distributed Massive MIMO with 1-Bit Radio-over-Fiber Fronthaul: Uplink Spectral Efficiency and Power Control
[NO] 251/1913 | Jailbreaking for the Average Jane: Choosing Optimal Jailbreaks via Bandit Algorithms for Automatically Enhanced Queries
[NO] 252/1913 | Where Do CoT Training Gains Land in LLM based Agents?
[NO] 253/1913 | Unraveling the mysteries of supernovae with SKA+VLBI
[NO] 254/1913 | Battery thermal-safety reserve erosion by mandatory cabin ventilation in shared-cooling electric vehicles
[NO] 255/1913 | When the Timetable Breaks: Physics-Anchored Scientific Machine Learning for Cold-Wave-Robust Battery-Electric Bus Operations
[NO] 256/1913 | A Givens-exchange ansatz for molecular variational eigensolvers
[NO] 257/1913 | An ultralow-loss integrated photonic platform for discrete-variable quantum information processing
[NO] 258/1913 | Qwen-Image-Agent: Bridging the Context Gap in Real-World Image Generation
[NO] 259/1913 | Collision-resistant multi-channel M-ASPM configurations with shared single detection channel
[NO] 260/1913 | Asymptotically Optimal Learning for Parametric Prophet Inequalities
[NO] 261/1913 | Accelerated sampling using SamAdams variable timesteps and position-adaptive Langevin dynamics
[NO] 262/1913 | On Lefschetz's point-free periodicity
[NO] 263/1913 | Rashba and Electrostatic Control of Charge-Visible Spin Demons in Two-Dimensional d-Wave Altermagnets
[NO] 264/1913 | Quantum Physics-Informed Neural Networks for Solving Integro and Fractional PDEs
[NO] 265/1913 | Curvatures of curves in $\mathbb{R}^{2}$ endowed with a canonical linear connection
[NO] 266/1913 | LCAi: Life Cycle Assessment with big data fusion and retrieval-augmented generation-assisted interpretation
[NO] 267/1913 | Appearance-Preserving Refinement of Generated 3D Assets for Monochromatic Fabrication
[NO] 268/1913 | SpikeTimer: Exploring Active Copyright Protection in Spiking Neural Networks via Temporal Backdoor Regularization
[NO] 269/1913 | Ordinal Neural Collapse as a Representation Prior for Visual Navigation
[NO] 270/1913 | Precision luminosity measurement in proton-proton collisions at a center-of-mass energy of 13 TeV with the CMS detector at the Large Hadron Collider
[NO] 271/1913 | Distance-Ladder Measurements of the Hubble Constant: Recent Progress, Systematics, and Prospects
[NO] 272/1913 | Learning Adversarial Augmentation Policies for Robust Garlic Seedling Detection
[NO] 273/1913 | Emergence of Gamma-Type Upward-Phase Statistics in the Collatz Map: An Effective Poisson Process Mechanism
[NO] 274/1913 | Giant and Broadband Circular Dichroism from Particle-Hole Symmetry Breaking in Weyl Semimetals
[NO] 275/1913 | Homology of configuration spaces in positive characteristic via point-set constructions
[NO] 276/1913 | NaviCache: Test-Time Self-Calibration Caching for Video Generation
[NO] 277/1913 | MIRROR: Novelty-Constrained Memory-Guided MCTS Red-Teaming for Agentic RAG
[NO] 278/1913 | ResilPhase: Plug-and-Play Phase Mapping and Noise-Resilient Macro-Trajectory Extrapolation for Diffusion Acceleration
[NO] 279/1913 | Effective Resistance-Based Graph Sparsification and Community Detection
[NO] 280/1913 | On-Demand Service Zone Design for Energy-Constrained Spatial Queueing Systems
[NO] 281/1913 | Maximum Forest Number of General Bipartite Graphs: Structural and Complexity Results
[NO] 282/1913 | Magnetic moments of decuplet baryons in isospin asymmetric magnetized strange matter
[NO] 283/1913 | Batch-Invariant Spectral Intelligence for Robust and Explainable Insect Authentication
[NO] 284/1913 | ConvMemory v3: A Validity Context Layer for Conversational Memory via Target-Conditioned Relation Verification
[NO] 285/1913 | HyperDFlash: MHC-Aligned Block Speculative Decoding with Gated Residual Reduction
[NO] 286/1913 | Tight Lower Bounds and Optimal Constructions of Locally Repairable Convertible Codes in the Split Regime
[NO] 287/1913 | LiveEdit: Towards Real-Time Diffusion-Based Streaming Video Editing
[NO] 288/1913 | Robust Hedging Valuation Adjustment under Liquidity--Demand Stress
[NO] 289/1913 | CHAMB-GA: A Containerized HPC Scalable Microservice-Based Framework for Genetic Algorithms
[NO] 290/1913 | Organic Semiconductor Alignment via Confinement in Vapor-Guided Droplets
[NO] 291/1913 | The Bogomolov Property through Galois Representations
[NO] 292/1913 | Optimizing Accessibility and Maximum Travel Times in Transit Networks: The Hub Covering Location Problem
[NO] 293/1913 | Towards a Theory of Dobrakov-Sobolev Spaces
[NO] 294/1913 | Stellar black hole binaries from two common envelope evolution phases in triple stellar systems
[NO] 295/1913 | An integrable approach to macroscopic fluctuation theory for the multispecies SSEP
[NO] 296/1913 | Forward-modelling the Tolman and distance-duality tests with IllustrisTNG
[NO] 297/1913 | Learning to Fold: prizewinning solution at LeHome Challenge 2026 (1st place online, 2nd offline)
[NO] 298/1913 | Real Quantum Chemistry With Complex Orbitals
[NO] 299/1913 | Single-Base-Station Indoor Localization via Super-Resolved Relative Power Delay Profiles
[NO] 300/1913 | DMuon: Efficient Distributed Muon Training with Near-Adam Overhead
[NO] 301/1913 | Hard-Region Fermion Self-Energy and Fermion--Photon Vertex in Thermal QED through Two Loops
[NO] 302/1913 | Quantitativity in the Mordell Conjecture
[NO] 303/1913 | Magnetoresistance in chiral systems driven by inter-band spin-orbit coupling
[NO] 304/1913 | The ESO SupJup Survey XI. Atmospheric properties of six isolated M- and L-type dwarfs with CRIRES+
[NO] 305/1913 | Approximating Feynman integrals using complete monotonicity and Stieltjes properties
[NO] 306/1913 | Transformer-Based Classification of Bacterial Raman Spectra with LOOCV
[NO] 307/1913 | TMP: Tree-structured Mixed-policy Pruning for Large-scale Image Generation and Editing
[NO] 308/1913 | GPU-accelerated superiorization on constrained physical problems with SupPy
[NO] 309/1913 | Discrete Space-Time Wave Kernels on Regular Trees
[NO] 310/1913 | ForesightSafety-VLA: A Unified Diagnostic Safety Benchmark for Vision-Language-Action Models
[NO] 311/1913 | Towards Explainable Adjudicative Variance: Quantifying Judicial Discretion via Gated Multi-Task Learning
[NO] 312/1913 | On Jumps, Interactions, and Intersection Types
[NO] 313/1913 | NuclearQAv2: A Structured Benchmark for Evaluating Domain-Science Competence in Large Language Models
[NO] 314/1913 | Low Complexity Kolmogorov-Arnold Network-based DPD for Analog RoF Fronthaul
[NO] 315/1913 | Gamma-ray Bursts and Kilonovae from Gravitational Wave Events
[NO] 316/1913 | Terrestrial Sagnac delay in scalar-tensor-vector-gravity
[NO] 317/1913 | Cusp Excursions, Lattice Points on Manifolds, and the Mizohata-Takeuchi Conjecture
[NO] 318/1913 | Odd transport in a two-temperature Brownian dimer
[NO] 319/1913 | Independence relations in the Solovay model II
[NO] 320/1913 | TriPAH: Imbalance-Aware Tri-Prompt Affinity Hashing for Cross-Modal Medical Retrieval
[NO] 321/1913 | Plancherel Identities for unbounded subsets of $\mathbb R^d$
[NO] 322/1913 | Inverse Design of Compact and Wideband Inverted Doherty Power Amplifiers Using Deep Learning
[NO] 323/1913 | Exploring Tidal Disruption Events with SKA and VLBI: Unveiling the Mystery of Black Hole Feeding and Outflows
[NO] 324/1913 | ReaORE: Reasoning-Guided Progressive Open Relation Extraction Empowered by Large Reasoning Models
[NO] 325/1913 | Auditing Framing-Sensitive Behavioral Instability in Large Language Models for Mental Health Interactions
[YES] 326/1913 | To Run or Not to Run: Analyzing the Cost-Effectiveness of Code Execution in LLM-Based Program Repair
[NO] 327/1913 | Solid-to-solid transition in dense assemblies of elongated cells
[NO] 328/1913 | State-Specific Respiratory Signatures for Affective and Stress Recognition: Interpretable Respiratory Markers, Autocorrelation Lags, and Compact CNN Models
[NO] 329/1913 | A Latent ODE Approach to Spatiotemporal Modeling of Cine Cardiac MRI
[NO] 330/1913 | Dual-Prior Guided Null-Space Learning with Mixture-of-Splines for Arbitrary Medical Slice Super-Resolution
[NO] 331/1913 | Random Walk on Bézier Curves for Global Optimization
[NO] 332/1913 | Perfect Absorption in the Strong Coupling Regime via Degenerate Critical Coupling
[NO] 333/1913 | Modelling convective cell occurrence in proximity to cold fronts using extreme gradient boosting
[NO] 334/1913 | Applicability of kinetic theory in strongly coupled thermal quantum systems
[NO] 335/1913 | TVD and TVB preservation without TVD time discretization for discontinuous Galerkin methods
[NO] 336/1913 | DeCoFlow: Structural Decomposition of Normalizing Flows for Continual Anomaly Detection
[NO] 337/1913 | Parallel Communicating Finite Automata: The Non-Forgetting Model
[NO] 338/1913 | Identification of MHD equilibrium $β$ limits for CFQS plasmas
[NO] 339/1913 | On-farm management strategies for reducing H5N1 transmission in dairy cattle
[YES] 340/1913 | NebulaExp-8B: An Empirical Post-Training Pipeline via Full-Scale Ablation Research
[NO] 341/1913 | Floquet Topological Phases and Anomalous Hall Signatures in Irradiated Two-dimensional $d_{xy}$-Wave Altermagnets
[NO] 342/1913 | Zero-Shot Size Transfer for Neural ODEs on Sparse Random Graphs: Graphon Limits and Adjoint Convergence
[YES] 343/1913 | Autoformalization of Agent Instructions into Policy-as-Code
[NO] 344/1913 | Almost Lipschitz regularity for solutions of elliptic equations with discontinuous coefficients
[NO] 345/1913 | Fast Enumeration of Minimal Removable Sets in Monotone Systems with Application to Core Collapse Analysis
[NO] 346/1913 | Weak-Strong Resurgence Duality
[NO] 347/1913 | Single object observations: Large telescopes vs. multiple small telescopes
[NO] 348/1913 | Closing the Quality Gap in Low-Resource Text-to-Speech: LoRA Fine-Tuning of VoxCPM2 for Khmer and Korean
[NO] 349/1913 | Quantum Mutant Equivalence via Transpilation
[NO] 350/1913 | Efficient Computation for Diagonal of Forest Matrix via Variance-Reduced Forest Sampling
[NO] 351/1913 | Time Structure in Infinite Extensive Games
[NO] 352/1913 | An exploratory behavioral and electroencephalographic study of artificial intelligence-assisted learning modes in high school students
[NO] 353/1913 | Pingquanqi (Equalizer): A Cross-Domain Sociotechnical Framework for Human-Agent Interaction Governance
[NO] 354/1913 | Long-Period Transients as a new frontier in time-domain astronomy
[NO] 355/1913 | Classification of regular Cayley maps of skew-type three on semidihedral groups
[NO] 356/1913 | Sharp Lifespan Estimates and Fujita Phenomena for Fractional Hardy-Hénon Type Parabolic Equations
[NO] 357/1913 | Intrinsic Geometry of Categorified Spectral Objects
[NO] 358/1913 | PMDformer: Patch-Mean Decoupling Information Transformer for Long-term Forecasting
[NO] 359/1913 | Compiler-Driven Approximation Tuning for Hyperdimensional Computing
[NO] 360/1913 | Holographic $s$- and $p$-wave superconductors from the $4D$ regularization of Einstein-Lovelock theory
[NO] 361/1913 | Maximizing Throughput in an M/G/1 Queue with Customer Abandonments
[NO] 362/1913 | Thermal Effects on the Moment of Inertia and Gravitational Redshift of PSR J1012+5307: Implications for Hyperonic Matter under SU(3) and SU(6) Symmetries
[NO] 363/1913 | CascadeFormer: Depth-Tapered Transformers Motivated by Gradient Fan-in Asymmetry
[NO] 364/1913 | Predicted Capabilities of the SPRITE SmallSat for a Low-Redshift Lyman Continuum Emission Survey
[NO] 365/1913 | OSC2Runner: OpenSCENARIO 2.x Compliant High-Fidelity AV Simulation in CARLA
[NO] 366/1913 | The Inattentional Gap: Task-Conditioned Language and Vision Models Omit the Safety-Critical Signals They Can Otherwise Report
[NO] 367/1913 | The Suda-Tanaka-Tokushige conjecture for $\mathbf{p}$-biased intersecting families
[NO] 368/1913 | Homeomorphism of the Revuz correspondence under Dynkin class assumptions
[NO] 369/1913 | Clinical Harness for Governable Medical AI Skill Ecosystems
[NO] 370/1913 | What Survives When You Compress a Recursive Reasoner for the Edge?
[NO] 371/1913 | Utilizing Cognitive Signals Generated during Human Reading to Enhance Keyphrase Extraction from Microblogs
[NO] 372/1913 | Study of Supernova Neutrinos at ESSnuSB
[NO] 373/1913 | UV Star-Formation Rates of the SHIELD Dwarf Galaxies
[NO] 374/1913 | Algebraic structures of the Lindblad equation
[NO] 375/1913 | Measured-Pattern-Aware Pinching-Antenna Systems With Coupling-Efficiency Optimization
[NO] 376/1913 | Vulnerability of Natural Language Classifiers to Evolutionary Generated Adversarial Text
[NO] 377/1913 | Finite temperature precursors of Mottness in the Fermi Hubbard model
[NO] 378/1913 | LISA: Likelihood Score Alignment for Visual-condition Controllable Generation
[NO] 379/1913 | Determining Newforms via various relations among Fourier Coefficients
[NO] 380/1913 | Instability of periodic waves in generalized Korteweg-de Vries-Burgers equation with monostable source
[NO] 381/1913 | Numerical Approximation for Path-Dependent McKean-Vlasov Control with Non-Asymptotic Error Estimates
[NO] 382/1913 | Automating Potential-based Reward Shaping with Vision Language Model Guidance
[NO] 383/1913 | A hybrid IFENN solver for generalizable modeling of phase-field fracture initiation and propagation
[NO] 384/1913 | Deep learning model emulators for marine biogeochemistry forecasting from days to decades
[NO] 385/1913 | Phase-Shifted Planar Hall and Magnetoresistive Responses in Weyl Semimetals
