[2026-04-02 22:32:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-01
正在获取论文...
[arXiv] 2026-04-01 | Grothendieck's Equality vs Voevodsky's Equality
[NO] 231/1897 | The QuadSoft: Design, Construction, and Experimental Validation of a Soft and Actuated Quadrotor
[NO] 232/1897 | ARGS: Auto-Regressive Gaussian Splatting via Parallel Progressive Next-Scale Prediction
[NO] 233/1897 | Magnetoelastic instabilities in kagome antiferromagnet Mn3-xGa
[NO] 234/1897 | Standard Quantum Phase Estimation Detects All Eigenvalues via Randomized Initial States
[NO] 235/1897 | Phase space integrity in neural network models of Hamiltonian dynamics: A Lagrangian descriptor approach
[NO] 236/1897 | Not My Truce: Personality Differences in AI-Mediated Workplace Negotiation
[NO] 237/1897 | Extending Quotients of Knot Groups over Surfaces in $B^4$
[NO] 238/1897 | In-vivo entropy production of A. subaru
[NO] 239/1897 | Morse diagrams, Murasugi sums, and the mapping class group
[NO] 240/1897 | Price of Anarchy of Algorithmic Monoculture
[YES] 241/1897 | Execution-Verified Reinforcement Learning for Optimization Modeling
[NO] 242/1897 | Secretary, Prophet, and Stochastic Probing via Big-Decisions-First
[NO] 243/1897 | Internal State-Based Policy Gradient Methods for Partially Observable Markov Potential Games
[NO] 244/1897 | Certificate-Driven Closed-Loop Multi-Agent Path Finding with Inheritable Factorization
[NO] 245/1897 | Making Array-Based Translation Practical for Modern, High-Performance Buffer Management
[NO] 246/1897 | Set systems containing no singleton intersection and the Delsarte number
[YES] 247/1897 | Decision-Centric Design for LLM Systems
[NO] 248/1897 | Structured detection microscopy
[NO] 249/1897 | Explainable Functional Relation Discovery for Battery State-of-Health Using Kolmogorov-Arnold Network
[NO] 250/1897 | How to Forage for a Mate?
[NO] 251/1897 | GUIDE: Reinforcement Learning for Behavioral Action Support in Type 1 Diabetes
[NO] 252/1897 | Demand response potential evaluation of a zero carbon hydrogen metallurgy system considering shaft furnace's flexibility
[NO] 253/1897 | On a Keller--Segel System with Density-Suppressed Motility, Indirect Signal Production, and External Sources
[NO] 254/1897 | Existence of free boundaries for overdetermined value problems: Sharp conditions, regularity, and physical applications
[YES] 255/1897 | In harmony with gpt-oss
[NO] 256/1897 | Adjacent vertices of small degree in minimal matching covered graphs
[NO] 257/1897 | A large misalignment between continuous jet and discrete ejecta in microquasar GRS 1915+105 during its obscured phase
[NO] 258/1897 | Spatiotemporal Characterization of Overdose Mortality in Georgia, USA Using Spectral and Nonlinear Interaction Analysis, 2003-2021
[NO] 259/1897 | Any six points on the Riemann sphere can be split into three pairs by a triple of disjoint discs
[NO] 260/1897 | Go Big or Go Home: Simulating Mobbing Behavior with Braitenbergian Robots
[NO] 261/1897 | Ultrasonic Brain Computer Interfaces for Enhancing Human-Machine Cognition
[NO] 262/1897 | When Career Data Runs Out: Structured Feature Engineering and Signal Limits for Founder Success Prediction
[NO] 263/1897 | Predicting reaction observables for the two-neutron halo candidates $^{31}$F and $^{39}$Na
[NO] 264/1897 | 20 years of monitoring: PKS 2155-304 and PKS 1510-089 in the eyes of Swift and Fermi. I. The case of PKS 2155-304
[NO] 265/1897 | Conditions for 3-partite and 4-partite genuine entanglement
[NO] 266/1897 | From Pluralistic Ignorance to Common Knowledge with Social Assurance Contracts
[NO] 267/1897 | Optimal Anchor Placement for Wireless Localization in Mixed LOS and NLOS Scenarios
[NO] 268/1897 | Shape Representation using Gaussian Process mixture models
[NO] 269/1897 | A MIDAS-based Data Acquisition System for Gaseous Detectors
[NO] 270/1897 | Disentangling to Re-couple: Resolving the Similarity-Controllability Paradox in Subject-Driven Text-to-Image Generation
[NO] 271/1897 | Quantum Simulation of Cranked Zirconium Isotopes: A Fixed-N Approach with a Structured Number-Conserving Ansatz
[NO] 272/1897 | Proactive Agent Research Environment: Simulating Active Users to Evaluate Proactive Assistants
[NO] 273/1897 | Fokker-Planck Analysis and Invariant Laws for a Continuous-Time Stochastic Model of Adam-Type Dynamics
[NO] 274/1897 | Bridging RL and MPC for mixed-integer optimal control with application to Formula 1 race strategies
[NO] 275/1897 | Fractal hierarchy enables exponential scaling of topological boundary states
[NO] 276/1897 | Unitary Encoding of Thermal States via Thermofield Dynamics on Quantum Computers
[NO] 277/1897 | MIRANDA: MId-feature RANk-adversarial Domain Adaptation toward climate change-robust ecological forecasting with deep learning
[NO] 278/1897 | Multimodal Language Models Cannot Spot Spatial Inconsistencies
[NO] 279/1897 | Emergent Weyl Nodes and Berry Curvature in Bose Polarons via $p$-Wave Feshbach Coupling
[NO] 280/1897 | HICT: High-precision 3D CBCT reconstruction from a single X-ray
[YES] 281/1897 | UK AISI Alignment Evaluation Case-Study
[YES] 282/1897 | The Rise of Language Models in Mining Software Repositories: A Survey
[NO] 283/1897 | Lax convergence theorems and error estimates of a finite element method for the incompressible Euler system
[NO] 284/1897 | First principles study of thermoelectric properties of $\text{Nb}_2\text{Co}_2\text{InSb}$ and $\text{Nb}_2\text{Co}_2\text{GaSb}$ double half-Heuslers
[NO] 285/1897 | Neural Vector Lyapunov-Razumikhin Certificates for Delayed Interconnected Systems
[NO] 286/1897 | Goodstein at the Second Threshold: An Independence Result for $ID_2$
[NO] 287/1897 | Improving YBa$_2$Cu$_3$O$_{7-δ}$ annealing times through a combining-temperatures route
[NO] 288/1897 | Stochastic ordering tools for continuous-time Markov chains and applications to reaction network models
[NO] 289/1897 | Stochastic Attention: Connectome-Inspired Randomized Routing for Expressive Linear-Time Attention
[NO] 290/1897 | Uncertainty-Aware Variational Reward Factorization via Probabilistic Preference Bases for LLM Personalization
[NO] 291/1897 | Multimodal Analysis of State-Funded News Coverage of the Israel-Hamas War on YouTube Shorts
[NO] 292/1897 | Do Phone-Use Agents Respect Your Privacy?
[NO] 293/1897 | VisG AV-HuBERT: Viseme-Guided AV-HuBERT
[NO] 294/1897 | High-Precision Near-Infrared Abundances of Solar Analogs in the YJ Bands
[NO] 295/1897 | How uncertain are model predictions for the muon content of extensive air showers
[NO] 296/1897 | DLWM: Dual Latent World Models enable Holistic Gaussian-centric Pre-training in Autonomous Driving
[NO] 297/1897 | FlexAI: A Multi-modal Solution for Delivering Personalized and Adaptive Fitness Interventions
[NO] 298/1897 | Understanding Transformers and Attention Mechanisms: An Introduction for Applied Mathematicians
[NO] 299/1897 | Bayesian Multi-Group Functional Factor Models with Parameter-Expanded Cumulative Shrinkage Priors
[NO] 300/1897 | Resolving Oblique Star-Disk Collisions in Quasi-Periodic Eruptions: Numerical Requirements and the Importance of Geometry
[NO] 301/1897 | Near-Earth asteroids in Main Belt-crossing orbits
[NO] 302/1897 | Characterization of Safe Stabilization and Control Lyapunov-Barrier Functions via Zubov Equation Formulation
[NO] 303/1897 | Infinite Horizon Optimal Control of Forward-Backward Stochastic Volterra Equations with Delay
[NO] 304/1897 | Absence of $O (2)$ symmetry in the Vicsek model
[NO] 305/1897 | Adaptive Polynomial Filtering for Hermitian Interior Eigenproblems: Convergence Analysis
[NO] 306/1897 | Event Embedding of Protein Networks : Compositional Learning of Biological Function
[NO] 307/1897 | JAMMEval: A Refined Collection of Japanese Benchmarks for Reliable VLM Evaluation
[YES] 308/1897 | Experience as a Compass: Multi-agent RAG with Evolving Orchestration and Agent Prompts
[NO] 309/1897 | A Non-Abelian Route to Z2 Non-Hermitian Skin Effects
[NO] 310/1897 | 20 years of monitoring: PKS 2155-304 and PKS 1510-089 in the eyes of Swift and Fermi. II. PKS 1510-089 and comparison
[NO] 311/1897 | A multiphysics model for triboelectric nanogenerator design with explicit surface roughness representation
[NO] 312/1897 | Stable Determinant Monte Carlo Simulations at Large Inverse Temperature $β$
[NO] 313/1897 | Preference Guided Iterated Pareto Referent Optimisation for Accessible Route Planning
[NO] 314/1897 | Electronic transport in BN-encasulated graphene limited by remote phonon scattering
[NO] 315/1897 | On the average-case complexity landscape for Tensor-Isomorphism-complete problems over finite fields
[NO] 316/1897 | Noise-resilient nanophotonic gyroscope with sub-prad phase resolution
[NO] 317/1897 | SynDe: Syndrome-guided Decoding of Raw Nanopore Reads
[NO] 318/1897 | Two-Qubit Implementation of QAOA for MAX-CUT on an NV-Center Quantum Processor
[NO] 319/1897 | Deformations of mixed associators in module categories
[NO] 320/1897 | Vibrationally Induced Resonances in Lasing
[NO] 321/1897 | MVNN: A Measure-Valued Neural Network for Learning McKean-Vlasov Dynamics from Particle Data
[NO] 322/1897 | Imaging magnetically driven astrospheres: a forward modelling approach
[NO] 323/1897 | Symmetry and rigidity results for Serrin's overdetermined type problems in weighted Riemannian manifolds
[NO] 324/1897 | The Semiclassical Einstein-Klein-Gordon System: Asymptotic Analysis of Minkowski Spacetime
[NO] 325/1897 | Conditional channel entropy sets fundamental limits on thermodynamic quantum information processing
[NO] 326/1897 | One-loop $p$-adic string theory and the Néron local height function
[NO] 327/1897 | Dioperads, Frobenius monoidal functors and duality
[NO] 328/1897 | The motion of tracer particles in turbulent superfluid $^4$He down to the zero-temperature limit
[NO] 329/1897 | Maximum spectral sum of graphs
[NO] 330/1897 | Competition at the front of expanding populations
[NO] 331/1897 | Finding Low Star Discrepancy 3D Kronecker Point Sets Using Algorithm Configuration Techniques
[NO] 332/1897 | Universal features of high-energy scattering of Laguerre-Gaussian states
[NO] 333/1897 | Reliable and Efficient Automated Transition-State Searches with Machine-Learned Interatomic Potentials
[NO] 334/1897 | Maximal compatibility of disklike $G$-transfer systems
[NO] 335/1897 | Solutions of Calabi-Yau Differential Operators as Truncated p-adic Series and Efficient Computation of Zeta Functions
[NO] 336/1897 | Electronic structure and correlation of La$_4$Co$_2$NiO$_8$Cl$_2$: a theoretical proposal for a La$_4$Ni$_3$O$_{10}$-like high-temperature superconductor
[NO] 337/1897 | Multimessenger Constraints on Production Sites of High-Energy Neutrinos from NGC 1068
[NO] 338/1897 | Universal YOCO for Efficient Depth Scaling
[NO] 339/1897 | LAtent Phase Inference from Short time sequences using SHallow REcurrent Decoders (LAPIS-SHRED)
[NO] 340/1897 | Rotationally invariant first passage percolation: Breaking the $n/\log n$ variance barrier
[YES] 341/1897 | CliffSearch: Structured Agentic Co-Evolution over Theory and Code for Scientific Algorithm Discovery
[NO] 342/1897 | TRACE: High-Fidelity 3D Scene Editing via Tangible Reconstruction and Geometry-Aligned Contextual Video Masking
[NO] 343/1897 | Polynomial Constraints for Robustness Analysis of Nonlinear Systems
[YES] 344/1897 | AgentWatcher: A Rule-based Prompt Injection Monitor
[NO] 345/1897 | Learning Neural Network Controllers with Certified Robust Performance via Adversarial Training
[NO] 346/1897 | Infinite Heat Order in 3+1 Dimensions
[NO] 347/1897 | On the error of the Euler scheme for approximation of solutions of nonlinear DDEs under inexact information
[NO] 348/1897 | Open-Set Supervised 3D Anomaly Detection: An Industrial Dataset and a Generalisable Framework for Unknown Defects
[NO] 349/1897 | SMASH: Mastering Scalable Whole-Body Skills for Humanoid Ping-Pong with Egocentric Vision
[NO] 350/1897 | Property-Level Flood Risk Assessment Using AI-Enabled Street-View Lowest Floor Elevation Extraction and ML Imputation Across Texas
[NO] 351/1897 | Inversion monotonicity in subclasses of the 1324-avoiders
[NO] 352/1897 | Deep Reinforcement Learning for Robotic Manipulation under Distribution Shift with Bounded Extremum Seeking
[NO] 353/1897 | Makkai's lost proof of projectivity of N in the free topos
[NO] 354/1897 | Region-Adaptive Generative Compression with Spatially Varying Diffusion Models
[NO] 355/1897 | Maximizing Power Flexibility of Hybrid Energy Systems for Capacity Market
[NO] 356/1897 | Understanding Quantum Theory: An Operational Reconstructive Approach
[NO] 357/1897 | LightGuard: Transparent WiFi Security via Physical-Layer LiFi Key Bootstrapping
[NO] 358/1897 | The multichannel Dyson equation for double ionisation spectroscopies
[NO] 359/1897 | A Hierarchical Importance-Guided Multi-objective Evolutionary Framework for Deep Neural Network Pruning
[NO] 360/1897 | Narrative Fingerprints: Multi-Scale Author Identification via Novelty Curve Dynamics
[NO] 361/1897 | Distance and [Fe/H] of Galactic bulge clusters from member RR Lyrae I-band light curves
[NO] 362/1897 | Augmented Human Capital: A Unified Theory and LLM-Based Measurement Framework for Cognitive Factor Decomposition in AI-Augmented Economies
[NO] 363/1897 | Simultaneous operation of an 18-qubit modular array in germanium
[YES] 364/1897 | VibeGuard: A Security Gate Framework for AI-Generated Code
[NO] 365/1897 | Lower Bounds on Inverse Cellular Automata via Proof Complexity
[NO] 366/1897 | Geometry-induced correlated noise in qLDPC syndrome extraction
[NO] 367/1897 | Foundation Model-guided Iteratively Prompting and Pseudo-Labeling for Partially Labeled Medical Image Segmentation
[NO] 368/1897 | Universal Non-Gaussian Signatures from Transient Instabilities
[NO] 369/1897 | QCD Anderson transition at zero and non-zero external magnetic fields
[NO] 370/1897 | Error bounds for splitting methods in unitary problems
[NO] 371/1897 | Infinite-Horizon Ergodic Control via Kernel Mean Embeddings
[NO] 372/1897 | Forecasting Motion in the Wild
[NO] 373/1897 | PDA: Text-Augmented Defense Framework for Robust Vision-Language Models against Adversarial Image Attacks
[NO] 374/1897 | Compactness of Moduli Spaces of Gradient Flow Lines in the Uniform Topology
[NO] 375/1897 | Precise theoretical prediction on branching fractions and polarizations of $D \to V V$ decays
[NO] 376/1897 | Regularizations of point charges, the Liénard-Wiechert potential, and the electron self-energy
[NO] 377/1897 | EgoSim: Egocentric World Simulator for Embodied Interaction Generation
[YES] 378/1897 | Agent psychometrics: Task-level performance prediction in agentic coding benchmarks
[YES] 379/1897 | Obfuscating Code Vulnerabilities against Static Analysis in JavaScript Code
[NO] 380/1897 | CARE: Privacy-Compliant Agentic Reasoning with Evidence Discordance
[NO] 381/1897 | Chvátal-Gomory Rounding of Eigenvector Inequalities for QCQPs
[NO] 382/1897 | Pricing Lookback Options on a Quantum Computer
[NO] 383/1897 | Robust Multidimensional Chinese Remainder Theorem (MD-CRT) with Non-Diagonal Moduli and Multi-Stage Framework
[NO] 384/1897 | Excitations across the equilibrium and photoinduced `hidden' states of magnetoresistive manganites
[NO] 385/1897 | A Discontinuous Galerkin Scheme for the Cahn-Hilliard Equations with Discrete Maximum Principle for Arbitrary Polynomial Order
[NO] 386/1897 | ACT Now: Preempting LVLM Hallucinations via Adaptive Context Integration
[NO] 387/1897 | Mass relations in heavy hadrons from Jensen-like inequalities
[NO] 388/1897 | Stability analysis and double critical phenomenon in the Einstein-Maxwell-scalar theory
[NO] 389/1897 | Properties of multiqubit variational quantum states representing weighted graphs and their computing with quantum programming
[NO] 390/1897 | Enhancing Gradient Inversion Attacks in Federated Learning via Hierarchical Feature Optimization
[NO] 391/1897 | Physics-informed neural networks for solving two-phase flow problems with moving interfaces
[NO] 392/1897 | Phase transition on a context-sensitive random language model with short range interactions
[NO] 393/1897 | Women's mobility networks enable more efficient travel
[NO] 394/1897 | Cerf Diagrams and Hatcher-Wagoner Invariants for Barbell Maps
[NO] 395/1897 | WARP: Guaranteed Inner-Layer Repair of NLP Transformers
[NO] 396/1897 | Portable and Secure CI/CD for COBOL: Lessons from an Industrial Migration
[NO] 397/1897 | Dispatch-Embedded Long-Term Tail Risk Assessment and Mitigation via CVaR for Renewable Power Systems
[NO] 398/1897 | Multi-Mode Quantum Annealing for Variational Autoencoders with General Boltzmann Priors
[NO] 399/1897 | Generalization Bounds for Spectral GNNs via Fourier Domain Analysis
[NO] 400/1897 | IDDM: Identity-Decoupled Personalized Diffusion Models with a Tunable Privacy-Utility Trade-off
[NO] 401/1897 | Super-Resolving Coarse-Resolution Weather Forecasts With Flow Matching
[NO] 402/1897 | The effect of staggered nonlinearity on the Su-Schrieffer-Heeger model
[NO] 403/1897 | MultiWave: A computational lab for adaptive numerical methods approximating hyperbolic balance laws
[NO] 404/1897 | Scattering at Space-Time Interfaces between Dispersive Media
[NO] 405/1897 | PixelPrune: Pixel-Level Adaptive Visual Token Reduction via Predictive Coding
[YES] 406/1897 | Detecting Call Graph Unsoundness without Ground Truth
[NO] 407/1897 | Charged Black Holes in Bumblebee gravity with Global Monopole: Thermodynamics and Shadow
[NO] 408/1897 | Waiting time distribution of solar flares from a global perspective
[NO] 409/1897 | On the approximation of the between-set correlation matrix by canonical correlation analysis
[NO] 410/1897 | A 4D Representation for Training-Free Agentic Reasoning from Monocular Laparoscopic Video
[NO] 411/1897 | Signatures of Long-Lived Heavy Neutral Leptons from Neutrinophilic Charged Higgs Pair Production at the LHC
[NO] 412/1897 | DOA Estimation for Low-Altitude Networks: HAD Architectures, Methods, and Challenges
[NO] 413/1897 | Debiased Estimators in High-Dimensional Regression: A Review and Replication of Javanmard and Montanari (2014)
[YES] 414/1897 | Yet Even Less Is Even Better For Agentic, Reasoning, and Coding LLMs
[NO] 415/1897 | Role Differentiation in a Coupled Resource Ecology under Multi-Level Selection
[NO] 416/1897 | Approximation Algorithms for Budget Splitting in Multi-Channel Influence Maximization
[NO] 417/1897 | Glassy Arrest Behind the Apparent Second Liquid in Water
[YES] 418/1897 | RefineRL: Advancing Competitive Programming with Self-Refinement Reinforcement Learning
[YES] 419/1897 | Scalable Pretraining of Large Mixture of Experts Language Models on Aurora Super Computer
[NO] 420/1897 | An Approach to Enriching Surgical Video Datasets for Fine-Grained Spatial-Temporal Understanding of Vision-Language Models
[NO] 421/1897 | IWP: Token Pruning as Implicit Weight Pruning in Large Vision Language Models
[NO] 422/1897 | Andreev-enhanced conductance quantization and gate-tunable induced superconducting gap in germanium
[NO] 423/1897 | Phase transition for a black hole with matter fields and the relation with the Lyapunov exponent
[NO] 424/1897 | Is RISC-V Ready for Machine Learning? Portable Gaussian Processes Using Asynchronous Tasks
[NO] 425/1897 | Tunable information insulation induced by constraint mismatch
[NO] 426/1897 | A CEFR-Inspired Classification Framework with Fuzzy C-Means To Automate Assessment of Programming Skills in Scratch
[NO] 427/1897 | Topological magnetotransport in modified-Haldane systems
[YES] 428/1897 | AutoEG: Exploiting Known Third-Party Vulnerabilities in Black-Box Web Applications
[NO] 429/1897 | Unambiguous characterization of in-plane dielectric response in nanoconfined liquids: water as a case study
[NO] 430/1897 | Derivative estimates for SDEs with singular and unbounded coefficients
[NO] 431/1897 | CL-VISTA: Benchmarking Continual Learning in Video Large Language Models
[NO] 432/1897 | Common TF-IDF variants arise as key components in the test statistic of a penalized likelihood-ratio test for word burstiness
[NO] 433/1897 | Explicit MPC for Parameter Dependent Linear Systems
[NO] 434/1897 | Microscopic Theory of Superionic Phase Transitions: Nonadiabatic Dynamics and Many-Body Effects
[NO] 435/1897 | OJALÁ: Optimizing J-PAS Astronomy for Large-scale Analysis. A foundation model for the SED of galaxies, QSOs and stars
[NO] 436/1897 | Streaming Model Cascades for Semantic SQL
[NO] 437/1897 | Battery Electric Truck Infrastructure Co-design via Joint Optimization and Agent-based Simulation
[NO] 438/1897 | LiPS: Lightweight Panoptic Segmentation for Resource-Constrained Robotics
[NO] 439/1897 | A Survey of On-Policy Distillation for Large Language Models
[NO] 440/1897 | Decay of the survival probability of a local excitation in multi-qubit platforms
[NO] 441/1897 | Marchal's family of periodic orbits. I: Stability of inclined co-orbital planetary systems
[NO] 442/1897 | Absorption of 1$P$-wave heavy charmonium $χ_{c1}(1P)$ in nuclei
[NO] 443/1897 | Survival of nonclassical correlations in Lorentz-violating spacetime
[NO] 444/1897 | Two-stage dispersion mechanism of clean spherical bubbles rising in a chain
[NO] 445/1897 | TALENT: Target-aware Efficient Tuning for Referring Image Segmentation
[NO] 446/1897 | Beyond Perturbation Theory: A Resolvent-Based Framework for Strongly Correlated Many-Body Systems
[NO] 447/1897 | Allowing for imprecision in the game-theoretic characterisation of the Poisson process
[NO] 448/1897 | Green Subsidies and Local Transitions: Evidence from Energy Communities
[NO] 449/1897 | Revisiting Marked Galaxy Clustering from a Joint Point Process Perspective
[NO] 450/1897 | Numerical Bow Shock Instabilities in Inert Polyatomic Gases
[NO] 451/1897 | Verifying Well-Posedness of Linear PDEs using Convex Optimization
[NO] 452/1897 | HabitatAgent: An End-to-End Multi-Agent System for Housing Consultation
[NO] 453/1897 | Horizontal-Component Prior-based Framework for Adaptive Shear-wave Leakage Suppression in OBC Data
[NO] 454/1897 | Reliev3R: Relieving Feed-forward Reconstruction from Multi-View Geometric Annotations
[NO] 455/1897 | Does Unification Come at a Cost? Uni-SafeBench: A Safety Benchmark for Unified Multimodal Large Models
[NO] 456/1897 | Estimating causal effects of continuous-time dynamic treatments with unmeasured confounders
[NO] 457/1897 | Sequential Monte Carlo for Network Resilience Assessment and Control
[YES] 458/1897 | Do Agents Repair When Challenged -- or Just Reply? Challenge, Repair, and Public Correction in a Deployed Agent Forum
[NO] 459/1897 | Twists in the flow: revisiting convective mixing in rotating stellar models. I. Effect on the stellar structure
[NO] 460/1897 | RT-GS: Gaussian Splatting with Reflection and Transmittance Primitives
[NO] 461/1897 | RegFormer: Transferable Relational Grounding for Efficient Weakly-Supervised Human-Object Interaction Detection
[NO] 462/1897 | Towards Initialization-dependent and Non-vacuous Generalization Bounds for Overparameterized Shallow Neural Networks
[NO] 463/1897 | Evidence Units: Ontology-Grounded Document Organization for Parser-Independent Retrieval
[NO] 464/1897 | Fundamental solution and diffusion limits for the heat equation in a half-space with a diffusive dynamical boundary condition
[NO] 465/1897 | A Reasoning-Enabled Vision-Language Foundation Model for Chest X-ray Interpretation
[NO] 466/1897 | Braiding and exchange statistics of liquid crystalline Majorana quasiparticles
[NO] 467/1897 | Competition and Cooperation of LLM Agents in Games
[NO] 468/1897 | Logarithmic Scores, Power-Law Discoveries: Disentangling Measurement from Coverage in Agent-Based Evaluation
[NO] 469/1897 | Exact Construction and Uniqueness of the Coupled-Channel Green's Function
[NO] 470/1897 | Stiff-FCS: Single-Cell Stiffness Profiling With Integrated Molecular and Functional Analysis
[NO] 471/1897 | Scalable Coordination with Chance-Constrained Correlated Equilibria via Reduced-Rank Structure
[NO] 472/1897 | Out of Sight, Out of Track: Adversarial Attacks on Propagation-based Multi-Object Trackers via Query State Manipulation
[NO] 473/1897 | Optimization-Based Discovery of A Non-Attracting Flow State in An Oscillating-Cylinder Wake
[NO] 474/1897 | Motivation and design of a yotta-eV $τ^+τ^-$ collider
[YES] 475/1897 | Programming by Chat: A Large-Scale Behavioral Analysis of 11,579 Real-World AI-Assisted IDE Sessions
[NO] 476/1897 | Distributional regression models for meta-analysis
[NO] 477/1897 | Learning Humanoid Navigation from Human Data
[NO] 478/1897 | Dynamic Weight Optimization for Double Linear Policy: A Stochastic Model Predictive Control Approach
[NO] 479/1897 | Robust $d$-wave altermagnetism in $\mathrm{RbCr_2Se_2O}$
[NO] 480/1897 | Efficient DPF-based Error-Detecting Information-Theoretic Private Information Retrieval Over Rings
[NO] 481/1897 | Differentially Private One-Shot Federated Inference for Linear Mixed Models via Lossless Likelihood Reconstruction
[NO] 482/1897 | Fundamental Analysis of Scalable Fluid Antenna Systems: Identifiability Limits, Information Theory, and Joint Processing
[NO] 483/1897 | Loop Space Splittings of Sphere Bundles over Highly Connected Poincaré Complexes
[NO] 484/1897 | COTTA: Context-Aware Transfer Adaptation for Trajectory Prediction in Autonomous Driving
[NO] 485/1897 | A Cross-graph Tuning-free GNN Prompting Framework
[NO] 486/1897 | Improving Generalization of Deep Learning for Brain Metastases Segmentation Across Institutions
[NO] 487/1897 | Minimal total absolute curvature for equiaffine immersions
[NO] 488/1897 | Dilepton Correlations from Heavy Flavor Decays
[YES] 489/1897 | Signals: Trajectory Sampling and Triage for Agentic Interactions
[NO] 490/1897 | Deep Learning-Accelerated Surrogate Optimization for High-Dimensional Well Control in Stress-Sensitive Reservoirs
[NO] 491/1897 | Lieb-Schultz-Mattis Anomalies and Anomaly Matching
[NO] 492/1897 | Is One Token All It Takes? Graph Pooling Tokens for LLM-based GraphQA
[NO] 493/1897 | E-Values, Bayes Risk, Dual Role of Markov's Inequality
[NO] 494/1897 | Planetary Radar at the Arecibo Observatory
[NO] 495/1897 | A Rank-Based Information Fusion Framework for Comparing Clustered Multivariate Socioeconomic Outcomes
[NO] 496/1897 | Phase Relationship between Spinal Motion and Limb Support Determines High-speed Running Performance in a Cheetah Model with Asymmetric Spinal Stiffness
[NO] 497/1897 | Neural Harmonic Textures for High-Quality Primitive Based Neural Reconstruction
[NO] 498/1897 | High genus one part monotone Hurwitz numbers
[NO] 499/1897 | A ROS 2 Wrapper for Florence-2: Multi-Mode Local Vision-Language Inference for Robotic Systems
[NO] 500/1897 | Minimal Length Effects on Keplerian Scattering and Gravitational Lensing
[NO] 501/1897 | High Performance Quantum Emulation for Chemistry Applications with Hyperion
[NO] 502/1897 | NeuroDDAF: Neural Dynamic Diffusion-Advection Fields with Evidential Fusion for Air Quality Forecasting
[NO] 503/1897 | FineLAP: Taming Heterogeneous Supervision for Fine-grained Language-Audio Pretraining
[NO] 504/1897 | Spectral Decomposition of Discrete-Time Controllability Gramian and Its Inverse via System Eigenvalues
[NO] 505/1897 | Principal component analysis of wavefunction snapshots in non-equilibrium dynamics
[NO] 506/1897 | VRUD: A Drone Dataset for Complex Vehicle-VRU Interactions within Mixed Traffic
[NO] 507/1897 | Toward Personalized Darts Training: A Data-Driven Framework Based on Skeleton-Based Biomechanical Analysis and Motion Modeling
[NO] 508/1897 | A comparison of Markov Chain Monte Carlo algorithms for Bayesian inference of constitutive models
[NO] 509/1897 | Lightweight Prompt-Guided CLIP Adaptation for Monocular Depth Estimation
[NO] 510/1897 | Further results on modularity in evolution algebras
[NO] 511/1897 | Discretization-optimized Bayesian model calibration for nonlinear constitutive modeling in heat conduction
[NO] 512/1897 | Approximating Pareto Frontiers in Stochastic Multi-Objective Optimization via Hashing and Randomization
[NO] 513/1897 | Strong coupling constant from 1-loop improved static energy
[NO] 514/1897 | Temporal Dependencies in In-Context Learning: The Role of Induction Heads
[NO] 515/1897 | The radial component of the local Galactic magnetic field in 3D
[NO] 516/1897 | Predictability is dynamically constructed by topological collective modes in deterministic systems
[NO] 517/1897 | POLARIS: PHY-Aware Spectrum Steering for Dynamic Spectrum Sharing
[NO] 518/1897 | ProOOD: Prototype-Guided Out-of-Distribution 3D Occupancy Prediction
[NO] 519/1897 | Edge-Isoperimetric Inequalities in Chamber Graphs of Hyperplane Arrangements
[NO] 520/1897 | A Functional Learning Approach for Team-Optimal Traffic Coordination
[NO] 521/1897 | Integer-State Dynamics of Quantized Spiking Neural Networks for Efficient Hardware Acceleration
[NO] 522/1897 | Stabilizing the Rayleigh--Ritz procedure by randomization
[NO] 523/1897 | Diff3R: Feed-forward 3D Gaussian Splatting with Uncertainty-aware Differentiable Optimization
[YES] 524/1897 | Revision or Re-Solving? Decomposing Second-Pass Gains in Multi-LLM Pipelines
[NO] 525/1897 | Toral Chern-Simons TQFT via Geometric Quantization in Real Polarization
[NO] 526/1897 | Electromagnetic form factors of heavy-light pseduoscalar mesons
[NO] 527/1897 | Hamiltonicity of inhomogeneous random graphs
[NO] 528/1897 | On Normalizers of Parabolic Subgroups of Quaternionic Reflection Groups
[NO] 529/1897 | From discrete to dense: explorations in the moduli space of triangles
[NO] 530/1897 | Representation Selection via Cross-Model Agreement using Canonical Correlation Analysis
[NO] 531/1897 | First Logit Boosting: Visual Grounding Method to Mitigate Object Hallucination in Large Vision-Language Models
[NO] 532/1897 | Making Every Bit Count for $A$-Optimal State Estimation
[NO] 533/1897 | A twisted Fefferman--Stein type inequality and its applications
[NO] 534/1897 | A Categorification of Subword Complexes and Its Hall Algebra
[NO] 535/1897 | Therefore I am. I Think
[NO] 536/1897 | Characterization of non-classical particle propagation using superpositions of position and momentum
[NO] 537/1897 | Integrating out a heavy Higgs singlet: on the edge between SMEFT and HEFT
[NO] 538/1897 | Symmetric hyperbolic Schrödinger equations on tori
[NO] 539/1897 | Bridging Structured Knowledge and Data: A Unified Framework with Finance Applications
[YES] 540/1897 | Investigating Autonomous Agent Contributions in the Wild: Activity Patterns and Code Change over Time
