[2026-03-05 09:30:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[IEEE] 2026-3-4 | Dual Consistency Learning Network for Multimodal Semi-supervised Oriented Ship Detection
[IEEE] 2026-3-4 | Context2Context: A Zero-Shot SAR Image Speckle Filter_supp1-3669951.pdf
[IEEE] 2026-3-4 | Modeling and Mitigation of Thermal Drift in Reflective Fiber-Optic Current Sensors with a Spun Quarter-Wave Plate via Eight-State Square-Wave Modulation
[IEEE] 2026-3-4 | DPIU: Dynamic Pedestrian Intention Understanding Through Cognitive Decision-Making
[IEEE] 2026-3-4 | An Efficient Ternary In-Memory Computing Architecture with Application in Phonocardiogram-Based Driver Stress Detection
[IEEE] 2026-3-4 | Urban Air Quality Prediction with Infinite Width Convolutional Networks
[IEEE] 2026-3-4 | High-Performance and Energy Efficient Computing-In-CAM Design for Binary Neural Network Acceleration
[IEEE] 2026-3-4 | DOA-DOD Estimation for Bistatic MIMO Radar: Entropy-Based Tight Closed-Form Lower Bound
[IEEE] 2026-3-4 | Guaranteed Global Optimal Path Planning Through Convex Segmentation and Homotopy guidance_supp1-3669766.mp4
[IEEE] 2026-3-4 | Adaptive X-Band Permittivity Sensing Using a Waveguide-Integrated 3D-Printed All-Dielectric Slotted 1D Photonic-Crystal Resonator
[IEEE] 2026-3-4 | Radar-Based Hand Gesture Recognition: Leveraging Raw ADC Data through Independent Component Analysis and Spiking Neural Networks
[IEEE] 2026-3-4 | Analysis-Driven Synthesis: Evaluating Transformer and TimeGAN Models for Generating Realistic Energy Time Series Data
[IEEE] 2026-3-4 | Malware Detection System-A Machine Learning approach for Real-Time Threat Analysis and Sandbox Isolation
[IEEE] 2026-3-4 | Coordinated DC-Link and Rotor Control for Power Smoothing with Rotor Stress Analysis in PMSG Wind Turbines
[IEEE] 2026-3-4 | KPPENet: A Lightweight C2f and Self-Attention Based Network for Accurate Tiger Key Point Pose Estimation
[IEEE] 2026-3-4 | Computer Vision Intelligence for Medication Safety: Pill Instance Segmentation in Philippine Healthcare
[IEEE] 2026-3-4 | Enhanced Spectral and Power Efficiency in MIMO f-OFDM Systems Using Hybrid LS-PCHIP Channel Estimation with Jakes Fading Conditions
[IEEE] 2026-3-4 | Virtual Educational Dashboard for Children with ASD and ID
[IEEE] 2026-3-4 | Equation-of-Motion-Based Assessment Method for Device Grid-Forming Capability Under Large Disturbances
[IEEE] 2026-3-4 | A Secure and Intelligent Data Transfer System for Cloud Environments using Hybrid Cryptography and Deep Learning-based Intrusion Detection
[IEEE] 2026-3-4 | Hardware in Loop Validation for Dfig Control Under Normal and Abnormal Grid Conditions
[IEEE] 2026-3-4 | Distributed Synchronous Condenser Excitation Control for Voltage Stability Enhancement in Power Systems with High Renewable Energy Penetration
[IEEE] 2026-3-4 | RPU – A Reasoning Processing Unit
[IEEE] 2026-3-4 | Scaling Graph Neural Network Training via Geometric Optimization
[IEEE] 2026-3-4 | Breaker Failure Backup Protection Scheme for MTDC Network
[IEEE] 2026-3-4 | Secure and Efficient Management of EV Charging in Microgrids Using LSTM Networks
[IEEE] 2026-3-4 | LiLo: Harnessing the on-Chip Accelerators in Intel CPUs for Compressed LLM Inference Acceleration
[IEEE] 2026-3-4 | Optimizing Operational Costs in Resource-Limited Environments via Linear Programming
[IEEE] 2026-3-4 | Enhancing Apple Leaf Disease Classification via VGG-16 with Convolutional Block Attention and Explainable AI
[IEEE] 2026-3-4 | A Review of Physical Contact Methods for IGBT Junction Temperature Sensing
[IEEE] 2026-3-4 | Fuzzy–Decision Tree Model for Online Fraud Detection Using Psycholinguistic and Personality Features
[IEEE] 2026-3-4 | A Multiclass Classification Method for PV Array Fault Diagnosis Robust to Label Error
[IEEE] 2026-3-4 | Design and Implementation of a Totem-Pole Power Factor Corrector with Light Load Efficiency Improvement
[IEEE] 2026-3-4 | Optimizing PV-Based Vehicle-to-Grid Systems with Intelligent Control: A Comparative Study of Neuro-Fuzzy and ANN-Based Approaches
[IEEE] 2026-3-4 | Graphite-Enhanced Accurate Forced-Air Cooling for Magnetic Components
[IEEE] 2026-3-4 | A Comparative Analysis of Data Mining Algorithms in Predicting the Academic Performance of University Students
[IEEE] 2026-3-4 | A Performance Study of the Combined Implications of Synchronous Condensers and Battery Energy Storage Systems Supporting Grid Stability and Blackout Resilience
[IEEE] 2026-3-4 | Anomaly Detection for Secure Power System Digital Twins Updates
[IEEE] 2026-3-4 | Design and Implementation of an Advanced Continuous Monitoring System for Real-Time Performance Analytics
[IEEE] 2026-3-4 | Optimization of Multi-DC Systems Based on Combined Linear Power Flow Analysis
[IEEE] 2026-3-4 | A Scoping Review of the Use of DSL in Software Applications: The Case of Chatbot Development
[IEEE] 2026-3-4 | CrisisGuideGPT: an Agentic-Ai for Crisis Response Planning
[IEEE] 2026-3-4 | An Ensemble Voting Model for Phishing Website Detection Using Machine Learning Algorithms
[IEEE] 2026-3-4 | Pediatric Cancer LLM for Symptoms and Side-Effects Prediction with Explanation
[IEEE] 2026-3-4 | Kidney Stone Identification Using a Two-Stage ResNet and SVM-Based Ultrasound Image Analysis System
[IEEE] 2026-3-4 | Intent-Driven Multi-Agent Coordination for Edge Computing under Resource and Communication Constraints
[IEEE] 2026-3-4 | A Novel Modified Interleaved High-Gain DC–DC Converter Using Asymmetrical Voltage Multiplier and Coupled Inductor With Leakage Energy Recycling
[IEEE] 2026-3-4 | Machine Learning–Driven Assistive Technologies for Enhancing Academic Assessment of Students with Learning Disabilities in Kerala’s Secondary Schools
[IEEE] 2026-3-4 | Empirical Analysis of AI Models in STEM Education Using Machine Learning Techniques and Survey Insights
[IEEE] 2026-3-4 | Semantic-Aware Helpdesk Resolution Using Federated Transformers and Real-Time Vector Matching and LLaMA
[IEEE] 2026-3-4 | Cognitive and Personality Traits in Identifying Learner Profiles for Programming Readiness and Adaptive Instruction
[IEEE] 2026-3-4 | Multimodal Deep Learning Framework for Early Stress and Mental Health Detection in Students Using Facial, Speech, and Behavioral Data
[IEEE] 2026-3-4 | CNN-Based Protection Scheme for Fault Detection and Classification in Low-Voltage PV based DC Microgrids
[IEEE] 2026-3-4 | Design and Implementation of PLC Based Voltage Regulation in DC Generator
[IEEE] 2026-3-4 | An Efficient and Scalable Hardware Architecture for Number Theoretic Transform on FPGA with Design Automation
[IEEE] 2026-3-4 | Data Fusion of Ble and 77 GHz Radar for Forklift-Worker Collision Avoidance
[IEEE] 2026-3-4 | Techno-Economic Assessment and Optimisation of Green Hydrogen and Green Ammonia in the Australian National Energy Market
[IEEE] 2026-3-4 | Electrification Pathways for Indian Road Transport:Trends, Emissions and Technological Challenges
[IEEE] 2026-3-4 | A Hybrid Identity Authentication System Using Deep Learning for Biometric and Facial Recognition
[IEEE] 2026-3-4 | Recommendation System-Based E-Commerce Website Using Machine Learning Algorithms
[IEEE] 2026-3-4 | AIoT for Sentiment-Driven Automation: Leveraging RNNs for Intelligent IoT Device Control
[IEEE] 2026-3-4 | WiSol-Charge: A Smart Solar-Powered Wireless Vehicle Charging Station with Automated Control and IoT Readiness
[IEEE] 2026-3-4 | Smart IoT Emergency Response System with Real-Time Health Monitoring
[IEEE] 2026-3-4 | SpamSentry: Smarter spam Website Detection via PIO Optimization of tree based algorithms and Ant Lion Feature Selection
[IEEE] 2026-3-4 | A Novel Recurrent Equilibrium Network Based Control Method for Vanadium Redox Flow Battery in DC Microgrids
[IEEE] 2026-3-4 | Enhancing Early Diagnosis of Parkinson’s Disease Using a Deep Learning Framework Based on Bidirectional LSTM Neural Architecture
[IEEE] 2026-3-4 | A Comparative Study of Ensemble Models for Smart Grid Security Under Class Imbalance Condition
[IEEE] 2026-3-4 | Site-Specific Load Modeling for Public Car Park EV Charging Infrastructure
[IEEE] 2026-3-4 | Author Index
[IEEE] 2026-3-4 | Understanding Data Influence With Differential Approximation
[IEEE] 2026-3-4 | Metal Oxide Nanowire Synaptic Transistor for Self-Powered Visual Tactile Human&amp;#x2013;Machine Interaction System_supp1-3667497.pdf
[IEEE] 2026-3-4 | Laser-Induced Single-Event Burnout in GaN Devices
[IEEE] 2026-3-4 | Structural Priming with High-Frequency Gradient for Mamba in UAV Object Detection_supp1-3666752.pdf
[IEEE] 2026-3-4 | APCIT 2025 List Reviewer Page
[IEEE] 2026-3-4 | Reachable Set of a Planar Vertical Take-Off and Landing Model With Applications to Quadcopters_supp1-3662611.pdf
[IEEE] 2026-3-4 | Toward Safe and Energy-Efficient 5G NR V2X Communications in Rural Environments
[IEEE] 2026-3-4 | Observer-based Nonlinear Consensus Control of Virtually Coupled Heterogeneous Trains Incorporating Train-following Interactions
[IEEE] 2026-3-4 | <i>FlexiGen</i>
                    : An Automated AI Accelerator Generation Framework With Decoupled-Access-Execute and Dynamic Dataflows
[IEEE] 2026-3-4 | A Unified Framework for Temporal Similarity: Coupling Time-Scale Effects and Composite Temporal Objects in Geoscientific Retrieval
[IEEE] 2026-3-4 | Special Topic on Modeling and Simulation of Emerging Materials, Devices, and Circuits for Energy-Efficient Computing
[IEEE] 2026-3-4 | Mean Square Exponential Stability of Dynamic Memristor Neutral Stochastic Cellular Neural Networks With Time-Varying Delays
[IEEE] 2026-3-4 | A Generic Transient DC Bias Elimination Method for Dual- and Triple-Active Bridge Converters
[IEEE] 2026-3-4 | CUE-YOLO: An Efficient and Robust Detector for Metal Surface Defect Detection with Adaptive Attention and Task Alignment
[IEEE] 2026-3-4 | Decision-Oriented Fixed-Time Control for Multi-USVs in Pursuit–Evasion Game Subject to Exogenous Disturbances
[IEEE] 2026-3-4 | Measurement-Based Large-Scale Indoor Channel Modeling for Hovering UAV-to-Ground Wireless Links
[ACM] 2026-3-4 | MoEPlan: A Lazy Learned Query-Selection Optimizer via Mixture of Optimizer Experts
[IEEE] 2026-3-4 | Development of Novel Flight Modes for Underwater Drones
[IEEE] 2026-3-4 | Benefit Assessment of Virtual Power Plants and Customers Considering Flexibility Sharing under Multi-timescale Demand Response in Sichuan Province of China
[IEEE] 2026-3-4 | Adaptive Power Control of GFM E-STATCOM Based on Negative-Sequence SCR Estimation
[IEEE] 2026-3-4 | Secret Caching Sauce for High-Performance Secure Memory
[IEEE] 2026-3-4 | C³: CXL Coherence Controllers for Heterogeneous Architectures
[IEEE] 2026-3-4 | The Cost of Dynamic Reasoning: Demystifying AI Agents and Test-Time Scaling from an AI Infrastructure Perspective
[IEEE] 2026-3-4 | Long-Term Optimal Scheduling of Cascade Hydropower Stations Based on Twin Delayed Deep Deterministic Policy Gradient
[IEEE] 2026-3-4 | LoCaLUT: Harnessing Capacity–Computation Tradeoffs for LUT-Based Inference in DRAM-PIM
[IEEE] 2026-3-4 | Pulse: Fine-Grained Hierarchical Hashing Index for Disaggregated Memory
[IEEE] 2026-3-4 | Multi-Level Failure Risk Reduction Process of Power System Including Demand Side Management
[IEEE] 2026-3-4 | Data-Driven Distributionally Robust Optimization for Multi-Microgrid Coordination with Hybrid Game
[IEEE] 2026-3-4 | A Smart Helmet Solution for Mining Safety Using IoT and Wearable Sensing Technologies
[IEEE] 2026-3-4 | Cloud-Based AI-Enabled Crop Disease Identification and Advisory System
[IEEE] 2026-3-4 | A Sustainable Model of Security Automation: Approach and Analysis
[IEEE] 2026-3-4 | Multi-Objective Control Design for Grid-Following Converters
[IEEE] 2026-3-4 | Lightweight Blockchain Framework for Secure and Privacy-Preserving IoT Systems
[IEEE] 2026-3-4 | Backstepping-Based Phase-Shift Control for Mitigating Voltage Variation in Dynamic Wireless Charging
[IEEE] 2026-3-4 | SmartPlantID: A Multimodal AI System for Plant Species Identification
[IEEE] 2026-3-4 | IntelliVend Algorithm Based FSM Model for Book Vending Machine
[IEEE] 2026-3-4 | Physics-Informed Neural Power Flow Solver for Three-Phase Unbalanced Distribution Networks
[IEEE] 2026-3-4 | Cross-Lingual Commonsense Reasoning Using XLM-R
[IEEE] 2026-3-4 | Bridging Infrastructure-Less Communications for Public Safety and AI With Distributed Learning
[IEEE] 2026-3-4 | Research on Bi-Level Optimization of Operation of Photovoltaic-Storage-Charging Integrated Power Station Considering Dynamic Electricity Price
[IEEE] 2026-3-4 | Ultrasound Image-Based Liver Disease Detection Using Transfer Learning: A Comparative Analysis of CNN and Their Variants
[IEEE] 2026-3-4 | An Analysis on Distribution of Power in Parallel Inverters, with Mismatched Feeder Impedance in a Micro grid
[IEEE] 2026-3-4 | Real-Time Health Monitoring and Parameter Estimation of PV Systems Using a Data-Driven Digital Twin with DropKAN and MDA-EFO
[IEEE] 2026-3-4 | Empirical Evaluation of Brain Tumor Detection Methodology based on Magnetic Resonance Imaging (MRI) Provision
[IEEE] 2026-3-4 | Classification of Ocular Diseases Using AlexNet &amp; MobileNet
[IEEE] 2026-3-4 | A Framework for Seamless Transition to Post-Quantum Security in SDN
[IEEE] 2026-3-4 | The Sustainable Algorithm Leveraging AI-Driven Data Analytics for Environmental Resilience and Equitable Development
[IEEE] 2026-3-4 | Malaria Detection with Convolutional Neural Networks: An Accurate and Automated Framework
[IEEE] 2026-3-4 | Building a Vietnamese Query Completion System Using Statistical Language Model
[IEEE] 2026-3-4 | Understanding Discrimination in AI Recruitment: A SHAP-Driven CNN Analysis
[IEEE] 2026-3-4 | Few Shot Intrusion Detection Using Siamese Networks for Zero Day Threats
[IEEE] 2026-3-4 | Assessing Power Grid Resilience Under Wind-Flood Multi-Hazard Stressors
[IEEE] 2026-3-4 | Change Detection in Synthetic Aperture Radar Imaging using Siamese Convolutional Neural Network(Siamese CNN)
[IEEE] 2026-3-4 | Flash-Attention Multiscale Stack Residual LSTM Framework for Chronic Obstructive Pulmonary Disease Detection and Classification
[IEEE] 2026-3-4 | An Enhanced Architectural Model for Graph based Multiple Instance Learning for Re-Identification of Histopathology Data
[IEEE] 2026-3-4 | Smart Water Irrigation Using IoT and Artificial Intelligence, and Machine Learning Techniques
[IEEE] 2026-3-4 | Design of an IoT based Integrated Model for Real Time Monitoring, Automation, and Optimization of E-Waste Management Process
[IEEE] 2026-3-4 | An Improved Feedforward-Based DC Link Voltage Control Method for Single Phase PWM Rectifiers
[IEEE] 2026-3-4 | Enhancement of Convolutional Neural Networks for Image Processing: Deep Feature Extraction for Identifying and categorizing Dermatological Lesion
[IEEE] 2026-3-4 | Comparative Evaluation of Machine Learning Models for PolyCystic Ovary Syndrome Prediction Using Phenotypic and Lifestyle Features
[IEEE] 2026-3-4 | Blockchain-Based Tokenization and Management of Land Documents: A Decentralized Approach for Secure Ownership and Transfer
[IEEE] 2026-3-4 | Enhancing Breast Cancer Diagnosis: Explainable, Multi-Modal, and Lightweight Deep Learning Models
[IEEE] 2026-3-4 | Topology-Aware Deep Kernel Learning for Distribution System State Estimation
[IEEE] 2026-3-4 | Enhancing Credit Risk Assessment with Machine Learning Algorithms: A Comparative Study of Label Encoding and One-Hot Encoding Across Multiple Classifiers
[IEEE] 2026-3-4 | CNCL: Optimized Lupus Disease (LD) Detection Principle by using Convolutional Neural Classification Logic
[IEEE] 2026-3-4 | Cost Optimization Analysis of Hybrid Renewable Energy Systems Using Various Techniques
[IEEE] 2026-3-4 | A Robust Physics-Informed Data-Driven Method for Li-Ion Battery Degradation Estimation
[IEEE] 2026-3-4 | An Improved Droop Control Strategy for Coordinated Power Sharing between Synchronous Generators and Grid-Forming Inverters
[IEEE] 2026-3-4 | A System Identification Approach for Developing Dynamic Models of Inverter-Based Motor Loads
[IEEE] 2026-3-4 | Proceedings
[IEEE] 2026-3-4 | Federated Learning with Stage-wise Trajectory Matching for UAV Networks on Non-IID Data
[IEEE] 2026-3-4 | Multi-objective Optimization of Layout and Characteristics of Bidirectional Converter in Metro Traction Substation
[IEEE] 2026-3-4 | Talk with Your Fingers: A Depth-Aware Benchmark for Air-Writing Recognition
[IEEE] 2026-3-4 | Transmission and Stability in a Quasi-Parity-Time-Symmetric WPT System for CC/CV Operation
[IEEE] 2026-3-4 | An FBG-Based Soft Wearable Device for Force Monitoring During Palpation_supp1-3667972.docx
[IEEE] 2026-3-4 | Adaptive Sampling Based Surrogate Modeling Approach for Efficient Antenna Characterization
[IEEE] 2026-3-4 | Multifunctional High-Efficiency Transmissive/Absorptive/Reflective Metamaterial Characterized by Wideband Responses
[IEEE] 2026-3-4 | Sensitive and Reliable Eddy Current Array System for Micro Defects in Turbine Blades
[IEEE] 2026-3-4 | Measurement of Film Thickness and Profile Using Synchronous Phase-Shifting White-Light Spectral Interferometry with Vibration Resistance
[IEEE] 2026-3-4 | Impedance Myography Circle Mapping: A Geometry-Based Multi-Frequency EIM Framework for Quantitative Assessment of Post-Stroke Muscle Impairment_supp1-3669773.pdf
[IEEE] 2026-3-4 | Performance Analysis of a Rare-Earth-Free Axial Flux Permanent Magnet Motor Using a PCB Stator_supp3-3669789.mp4
[IEEE] 2026-3-4 | N-DIPPER: A Distributed Inter-Die Peak Power Management Network for Nand Systems
[IEEE] 2026-3-4 | The Last-Level Branch Predictor Revisited
[IEEE] 2026-3-4 | IOT-Enabled Cloud-Based Smart Door Locking with Unauthorized Intruder Detection and Protection
[IEEE] 2026-3-4 | Critical Evaluation of Blockchain-Based Security Methods in Hybrid Cloud Infrastructure
[IEEE] 2026-3-4 | A Deadlock-Free Bridge Module for Inter-Chiplet Cache-Coherent Communication in an Open Chiplet Ecosystem
[IEEE] 2026-3-4 | Evaluating Logistic Regression, Decision Tree, and Random Forest for Predicting Stroke Risk
[IEEE] 2026-3-4 | Harnessing CNN-LSTM Networks for Non-Invasive Thyroid Dysfunction Detection through Voice Analysis
[IEEE] 2026-3-4 | Unsupervised LSTM-Autoencoder Approach for Early Detection of Sensor Failures in High-Dimensional Monitoring Environments
[IEEE] 2026-3-4 | AI-Driven Anomaly Detection in Petabyte-Scale Data Lakes
[IEEE] 2026-3-4 | A Single-Switch High-Gain Switched-Capacitor Inductor Cell Nonisolated DC-DC Converter
[IEEE] 2026-3-4 | Fuzzy Logic-Controlled Virtual Impedance for Improving LVRT Performance in Grid-Forming Inverters
[IEEE] 2026-3-4 | A Holistic Iterative Optimization Approach for Optimal Renewable Energy Resources-Based DG Placement and Sizing in Distribution Networks
[IEEE] 2026-3-4 | Dynamic Synchrophasor Estimation under Frequency Deviation and Oscillations using Power Spline Adaptive Filter
[ACM] 2026-3-5 | RFAN: Region-aware Facial Attention Network
[ACM] 2026-3-5 | mmHands: Gesture Classification Based on Millimeter-Wave Radar
[IEEE] 2026-3-4 | Cascade Second-Order Terminal Sliding Mode Control Strategy for Grid-Forming Converters
[IEEE] 2026-3-4 | Data-Driven Optimization of Citrus Peel Powder Integration in Edible Coatings for Postharvest Fruit Preservation
[IEEE] 2026-3-4 | Vision Transformer-Based Framework for Enhanced Lung Cancer Detection in CT Images
[IEEE] 2026-3-4 | Intelligent Fault Detection, Classification, and Localization Using Machine Learning Algorithms for Self-Healing in Smart Grid Protection
[IEEE] 2026-3-4 | Clustering Analysis of Financial Literacy Among Students
[IEEE] 2026-3-4 | Intent Detection in Search Queries with SEBERT Embeddings
[IEEE] 2026-3-4 | Expert-Agnostic AI for Intelligent Tutoring Systems: Leveraging Self-Supervised Knowledge Mining
[IEEE] 2026-3-4 | Enhancing Order Fulfillment Efficiency Using Particle Swarm Optimization
[IEEE] 2026-3-4 | A Secure Aadhaar-Integrated Approach to Digital Health Record Management
[IEEE] 2026-3-4 | LMI-Based Delay Margin Design in Deregulated Hybrid Power Systems with Energy Storage Integration
[IEEE] 2026-3-4 | Optimized Random Forest Classifier Using Particle Swarm Optimization for Accurate Fault Detection and Classification in Transmission Systems
[IEEE] 2026-3-4 | Controlled Islanding for Mitigating Cascading Failures in Power Systems
[IEEE] 2026-3-4 | A PSO-Optimized CNN-BiLSTM Model for Enhanced Gesture Classification from Multichannel Surface EMG Signals
[IEEE] 2026-3-4 | Analyzing Smart Cities: Cybersecurity Architecture, Threats, Mitigation, Challenges, and Open Problems
[IEEE] 2026-3-4 | Predictive Analytics for Youth Mental Health Leveraging ML to Identify Early Signs of Depression and Sleep Disorder
[IEEE] 2026-3-4 | Coordinated Control of Grid-Forming and Grid-Following Inverters During Parallel Operation
[IEEE] 2026-3-4 | Switching-Cell Buck-Boost DC-AC Inverter with Shared Ground
[IEEE] 2026-3-4 | Explainable Deep Learning Approach for Early Detection of Colorectal Cancer via Multiclass Histopathology Classification
[IEEE] 2026-3-4 | Grey Wolf Optimization based MPPT of PV System Powered Water Pumping System Driven by SRM under Partial Shading Conditions
[IEEE] 2026-3-4 | Attributes in a Learning Environmental Bases on Games: An Overview
[IEEE] 2026-3-4 | Image-Based Detection of Herpes Zoster Using Deep Learning
[IEEE] 2026-3-4 | Paddy Disease Recognition Using Convolutional Neural Networks
[IEEE] 2026-3-4 | MobileNet Architecture for Deep Learning-Based Automated Detection and Classification of Medullary Sponge Kidney in Computed Tomography Imaging
[IEEE] 2026-3-4 | Cognitive IoT Networks with Bio-Inspired Embedded AI for Predictive Maintenance and Sustainable Energy Optimization
[IEEE] 2026-3-4 | A Comprehensive Study of Lithium-Ion Battery Modeling, Health Estimation Technique
[IEEE] 2026-3-4 | Advancing Dermatological AI: A Unified Deep Learning Pipeline for Skin Lesion Analysis
[IEEE] 2026-3-4 | Enhancing Public Safety in Smart Cities Through LLM-Based Misinformation Detection
[IEEE] 2026-3-4 | Metaweave: Reconfigurable Metasurface Framework for Real-Time Beam Steering in mmWave Wireless Systems
[IEEE] 2026-3-4 | Modeling Hydrogen Electrolysers for Power System Applications
[IEEE] 2026-3-4 | On Integrating an IPMSM with Well's Turbine of an OWC Based Wave Energy Plant
[IEEE] 2026-3-4 | Efficient and Robust Phishing URL Detection based on Lexical Feature Extraction and Ensemble Learning
[IEEE] 2026-3-4 | Streamlined on-Chip Temporal Prefetching
[IEEE] 2026-3-4 | UniFHE: Faster Accelerator for FHE with Diverse Algebraic Structure and Balanced Memory System
[IEEE] 2026-3-4 | An Explainable Multi-Model Framework for Detecting Self-Stimulatory Behaviors in Real-World Autism Videos
[IEEE] 2026-3-4 | AI-Driven Waste Segregation and IoT-Enabled Monitoring: A Smart Dustbin for Urban Waste Management
[IEEE] 2026-3-4 | Enhancing Malware Detection with Malware-BERT: A Hybrid Approach Using Multi-Head Attention
[IEEE] 2026-3-4 | A Novel Improved Adaptive Network-Fuzzy Inference System Approach for Effective Battery Charging Control
[IEEE] 2026-3-4 | Efficient Power Curve Modelling and Generation Forecasting for Wind Power Plant
[IEEE] 2026-3-4 | Predictive scaling using reinforcement learning
[IEEE] 2026-3-4 | Attention-Driven Hybrid U-Net Framework for Explainable Retinal Disease Diagnosis Using OCT Images
[IEEE] 2026-3-4 | A Novel Machine Learning Framework for Diabetes Prediction Using Ensemble Techniques
[IEEE] 2026-3-4 | HHO-Optimized Dual-Band Patch Antenna for 5G Wireless Systems
[IEEE] 2026-3-4 | Message from General Chair
[IEEE] 2026-3-4 | A Novel Fault Monitoring Method for Vertical Roller Mill Bearings Integrating Vibration Transmission Path Analysis and Knowledge Graph
[IEEE] 2026-3-4 | SDR-Based Bidirectional Precise Wireless Channel Sounding for Physical Layer Key Generation
[IEEE] 2026-3-4 | Balance Field Electromagnetic Pipeline Crack Detection Method with Multiple Correlation Demodulation
[IEEE] 2026-3-4 | GSwap: Realistic Head Swapping With Dynamic Neural Gaussian Field
[IEEE] 2026-3-4 | Table of Contents
[IEEE] 2026-3-4 | Iterative Learning Model Predictive Control of Underwater Flexible Structure With Harmonic Actuation by Macrofiber Composites
[IEEE] 2026-3-4 | A Joint Pilot-Data Sparse Vector Transmission Framework for Short-Packet URLLC
[IEEE] 2026-3-4 | Multiagent Multitarget Search with Multi-Head Attention
[IEEE] 2026-3-4 | FLET: Game-Theoretic Free-Riding Mitigation via Test Tasks in Federated Learning_supp1-3668944.pdf
[IEEE] 2026-3-4 | A Dual-Cycle Assimilation Approach for Rapid, High-Resolution Fusion of Model-Simulated and Satellite-Observed Land Surface Temperatures
[IEEE] 2026-3-4 | Improving Atomic Layer Deposition Process of Silicon Oxide (SiO₂) with single and double pulse processes
[IEEE] 2026-3-4 | A Novel Coupling Suppression Method Based on D-CM Path Synergy for Dual-Band Shared-Aperture Base Station Antenna Design
[IEEE] 2026-3-4 | Conformal Metasurface Radomes for Beamshaping
[IEEE] 2026-3-4 | Benefits of a ComSoc Membership
[IEEE] 2026-3-4 | Learning-based Channel Estimation and Beamforming Framework for Battery-Free Backscatter Communications
[IEEE] 2026-3-4 | Guaranteed Global Optimal Path Planning Through Convex Segmentation and Homotopy guidance_supp2-3669766.mp4
[IEEE] 2026-3-4 | An invariance principle-based concentration result for large-scale stochastic pairwise interaction network systems
[IEEE] 2026-3-4 | Predicting Distribution Transformer Vulnerability to Non-Compliance: An Interpretable XGBoost Framework for Power Quality Management with Real-World Metering Data
[IEEE] 2026-3-4 | Automated Code Review and Quality Assurance System Using Static Analysis and Complexity Evaluation in Flask-Based Web Application
[IEEE] 2026-3-4 | SSBleed: Non-Speculative Side-Channel Attacks via Speculative Store Bypass on Armv9 CPUs
[IEEE] 2026-3-4 | DP-HLS: A High-Level Synthesis Framework for Accelerating Dynamic Programming Algorithms in Bioinformatics
[IEEE] 2026-3-4 | GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow
[IEEE] 2026-3-4 | AccelFlow: Orchestrating an On-Package Ensemble of Fine-Grained Accelerators for Microservices
[IEEE] 2026-3-4 | Photovoltaic Based Standalone EV Charging System
[IEEE] 2026-3-4 | Design of a Probabilistic Link Adaptation Model for Fifth Generation Millimeter-Wave Networks Using Adaptive Modulation and Coding and Channel Prediction to Minimize HARQ Retransmissions
[IEEE] 2026-3-4 | Optimization of Energy Storage Systems Congestion Management Using Multi Agent Reinforcement Learning
[IEEE] 2026-3-4 | GenPairX: A Hardware-Algorithm Co-Designed Accelerator for Paired-End Read Mapping
[IEEE] 2026-3-4 | Enhanced Lung Cancer Prediction with a Hyperparameter-Tuned TabNet Model
[IEEE] 2026-3-4 | A GRU-Based Approach for Fault Diagnosis in Shipboard MVDC Microgrids
[IEEE] 2026-3-4 | AI in Public Procurement: Case Study of tender Evaluation AI-assisted tender evaluation framework
[IEEE] 2026-3-4 | Predicting COVID-19 Cases with Dimensionality Reduction and Synthetic Data Generation: A TVAE and Logistic Regression Approach
[IEEE] 2026-3-4 | Multi-Temporal Remote Sensing Analysis for Deforestation Detection Using a Siamese CNN-Transformer Hybrid Network
[IEEE] 2026-3-4 | A Precise Commutation Firing Time Adjustment Method in HVDC Considering Wideband Dynamic Distortions
[IEEE] 2026-3-4 | A Blockchain–IoT–Edge Framework for Real-Time Patient Data Privacy and Management
[IEEE] 2026-3-4 | Selective Auto-Reclosing for Three Terminal Mixed Transmission Lines Based on Line Differential Measurements
[IEEE] 2026-3-4 | Adaptive Propagation Mechanism in Deep Graph Neural Networks for Intelligent Retrieval in E-commerce and News Web Platforms
[IEEE] 2026-3-4 | Exploration of Grid Integrated PV Inverter Using Ant Colony Optimization
[IEEE] 2026-3-4 | Channel Estimation in Cross-Frame OTFS System With Ultra-High Mobility
[ACM] 2026-3-4 | Report on the Second Workshop on Simulations for Information Access (Sim4IA 2025) at SIGIR 2025
[IEEE] 2026-3-4 | Enhancing Consumer Experience and Purchase Decisions through AI-Based Chatbot Systems in eCommerce
[IEEE] 2026-3-4 | PIMphony: Overcoming Bandwidth and Capacity Inefficiency in PIM-Based Long-Context LLM Inference System
[IEEE] 2026-3-4 | Optimal Charging Control for Electric Vehicle Fleet Incorporating Energy Storage System Using Major-Minor Mean Field Game Theory
[IEEE] 2026-3-4 | Multi-Scale Temporal Fusion with Cyclic-Aware Transformer for Electricity Load Forecasting
