[2026-02-21 09:18:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-20
正在获取论文...
[ACM] 2026-2-20 | Wildfire@Home: Personalized Immersive Training for Household Situation Awareness
[IEEE] 2026-2-20 | Approx-Ch: An Approximate Chameleon Clustering for Large-Scale and High-Dimensional Data
[IEEE] 2026-2-20 | Multi-Objective Energy Management Strategy with Trade-Off Analysis for Marine Electric Propulsion Systems
[IEEE] 2026-2-20 | Byzantine Resilient Multi Criteria Leader Election in Quantum Communication Networks Using VIKOR
[IEEE] 2026-2-20 | Feasibility Analyses for Shared Energy Storage Participating in Full Timescales Active Power Regulation of Modern Power Systems
[IEEE] 2026-2-20 | Erratum to “Coding Methods for String Reconstruction From Erroneous Prefix-Suffix Compositions”
[ACM] 2026-2-20 | SPiDR: Microstructure-Assisted Vision for Ubiquitous Tiny Robots
[IEEE] 2026-2-20 | Keynotes
[IEEE] 2026-2-20 | Keynote Speaker
[IEEE] 2026-2-20 | Sponsors
[IEEE] 2026-2-20 | Athermalization design for SOI waveguide Bragg grating photonic blood glucose sensors
[IEEE] 2026-2-20 | State-Space Model-Based Digital Twin With Real-Time Parameter Optimization Using MDA-EFO for Grid-Connected PV Inverter Systems
共写入 1000 条记录，保存到 papers/paper2026-02-20.json。
论文获取成功，文件路径: papers/paper2026-02-20.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Wildfire@Home: Personalized Immersive Training for Household Situation Awareness
[NO] 2/1000 | An examination of basic ICT skills and their workload taught in German administrative degree programs
[NO] 3/1000 | ISRITI 2025 List Reviewer Page
[NO] 4/1000 | IEEE App
[NO] 5/1000 | IEEE Pervasive Computing
[NO] 6/1000 | IEEE Emerging Technologies
[NO] 7/1000 | Analysis of Thermal Disturbance in Vertically Stacked Phase-Change Memory Using Multiphysics Simulation
[NO] 8/1000 | A 12-bit 10GS/s Pre-Sampling Pipelined ADC With Split-Capacitor-Based Parasitic Compensation Technique
[NO] 9/1000 | Distributed Fuzzy Voltage Security Restoration of Multi-Source Heterogeneous Microgrid Clusters With Performance Monitoring and Nodes Isolation
[NO] 10/1000 | Lyapunov-based Nonlinear Model Predictive Control of Input-Delayed Functional Electrical Stimulation: Investigative Simulations and Experiments
[NO] 11/1000 | Non-Intrusive Load Monitoring (NILM): A Systematic Review of Observability Regimes, Methods, and Evaluation Paradigms
[NO] 12/1000 | Harmonic Cancellation in Multi-Electrolyzer P2H Plants Via Phasor-Modulated Production Scheduling
[NO] 13/1000 | GDNConv: A Novel Graph Deformation Network for Robust Representation Learning on Noisy Graph Structures
[NO] 14/1000 | Boundary-Aware Time–Frequency Sparse Coding for Low-Overhead IoT Time Series Analytics
[NO] 15/1000 | Table of Contents
[NO] 16/1000 | Quantum-Powered Plasma Propulsion: A Sustainable Leap for Deep Space Exploration
[NO] 17/1000 | GenSQL: A Generative AI Framework for Natural Language to SQL Conversion
[NO] 18/1000 | Sentiment Analysis of Depok Single Window Application Reviews on Google Play Store Using Deep Learning
[NO] 19/1000 | A Federated Learning-Based EEG Emotion Recognition Method Integrating Dual-View Frequency Domain and Spatiotemporal Features
[NO] 20/1000 | Comparative Study of Sequential Deep Learning Models for Sentiment Analysis of Swiggy and Zomato Reviews
[NO] 21/1000 | Learning to Attack: Objective-Guided FDIA Generation for Smart Grids
[NO] 22/1000 | A Novice Approach for Weather Forecasting by Using Hybrid Predictive Methodologies in ML
[NO] 23/1000 | A Bi-Level Game-Theoretic Optimization Model for Virtual Power Plants with Shared Energy Storage in Multi-Markets
[NO] 24/1000 | Module Voltage Guided Global Maximum Power Point Tracking Algorithm
[NO] 25/1000 | A Stacked Ensemble Model for Multi-Crop Disease Classification Using Hybrid Feature Extraction and Deep Learning Techniques
[NO] 26/1000 | Advancing Communication Flow in Enterprises Through Intelligent AI Applications
[NO] 27/1000 | Maximizing Voltage Support Capability of DFIG-Based WT Considering Rotor-Side Limitations under Asymmetrical Faults
[NO] 28/1000 | Memory Replay and Knowledge Transfer for Fairness in Continual Learning on Imbalanced Data
[NO] 29/1000 | Design of Low-Power XOR Based 16-Bit and 32-Bit CSA Using Reversible Logic
[NO] 30/1000 | Federated Multimodal Deep Learning Framework for Robust and Privacy-Preserving Tuberculosis Detection
[NO] 31/1000 | Wearables, Sensors, and Smart Dispensers: A Multimodal Approach to Improving Hospital Hygiene
[NO] 32/1000 | Securing Encrypted 6G Traffic: An Edge-Optimized AI Framework for Attack Detection
[NO] 33/1000 | Harnessing Solar Energy Via Dye-Sensitized Solar Cell Using Saba Banana (Musa acuminata x balbisiana) Leaf
[NO] 34/1000 | Leaf-Level Yellow Rust Severity Classification in Wheat Using Deep Hybrid Models
[NO] 35/1000 | Comparative Analysis of YOLO Algorithm Performance in Firearm Detection on Static Images
[NO] 36/1000 | AI-Driven Energy Forecasting for Real-Time Renewable Grid Integration
[NO] 37/1000 | Environmental Efficiency Evaluation of the Power System Based on Two-Stage Network DEA Model
[NO] 38/1000 | Optimization Analysis of Frequency Modulation Capability of Temperature Control Load in Time-Delay Environment
[NO] 39/1000 | Noninvasive Hemoglobin Quantification via Neural Network Optimization for Spectral Partialities
[NO] 40/1000 | Embodied Meta-Adaptation Engine for Multimodal Generative AI Dynamic Agents
[NO] 41/1000 | Signal Reconstruction for Wave Excitation Force and Actuator Fault in Wave Energy Converters
[NO] 42/1000 | Real-time Online Deceptive Evidence Detection Based on Deep Reinforcement Learning in Dynamic Environment
[NO] 43/1000 | Performance Evaluation and Decision Framework for Lightweight Cryptography in Resource-Constrained IoT Environments
[NO] 44/1000 | Check-in Sequence Representation Learning for LBSNs with Embedding Spatio-Temporal-Semantic Contexts
[NO] 45/1000 | IoT-Based Real-Time Monitoring System for Temperature-Sensitive Medicines
[NO] 46/1000 | Development of an Endfire Antenna Array Fed by a Rotman Lens for Multibeam Beamforming
[NO] 47/1000 | Flexible Centralized-Decentralized Hybrid Control of Parallel Grid-Connected Converters With Reduced Current Sensors
[NO] 48/1000 | Comparative analysis of active rectifiers for hydrogen electrolyzer applications
[NO] 49/1000 | Adapting Multi-Objective Priorities Over a Fuel Cell Vehicle’s Lifetime Using Model Predictive Control
                    <sup>*</sup>
[NO] 50/1000 | Energy-Efficient Post-CMOS Computing Using Non-CMOS Devices and AI-Driven Optimization Techniques
[NO] 51/1000 | Ku-Band MIMO Array Antenna with Enhanced Mutual Coupling
[NO] 52/1000 | Electrochemical Impedance Spectroscopy based State of Health Estimation for Lithium-ion Batteries Using Convolutional Neural Network
[NO] 53/1000 | Reliable Crowdsourcing Scheme Based on Blockchain
[NO] 54/1000 | VXLAN-Based BGP EVPN Architecture for Dynamic and Flexible Workflow Deployment in Multi-Vendor Supercomputing Environments
[NO] 55/1000 | Deep Learning-Based Classification of Banana Plant Leaf Diseases
[NO] 56/1000 | Interval PCA Limitations in Sensor Fault Detection
[NO] 57/1000 | Enhanced Diabetes Prediction Using Ensemble Learning and SparsePCA Based Feature Reduction
[NO] 58/1000 | Modelling of Interior Permanent Magnet Synchronous Machine using Python Optimized Parameters in ANSYS for EV Applications
[NO] 59/1000 | A Legacy of Community in Conferences
[NO] 60/1000 | Expert System for Computer Damage Diagnosis with Hybrid Natural Language Processing and Knowledge Base
[NO] 61/1000 | Fine-Tuning GPT-4o-Mini to Detect and Extract Teachers’ Opportunity-to-Respond Quotes in Noisy Classroom Transcripts
[NO] 62/1000 | Ensemble Learning for Robust Anomaly Detection in Banking Fraud
[NO] 63/1000 | Hybrid AI-Based Detection of High Impedance Faults Using Time-Frequency Features and Adaptive Thresholding in Distribution Systems
[NO] 64/1000 | Hybrid Quantum-Classical Machine Learning for Software Requirement Risk Classification
[YES] 65/1000 | Multi-Agent Orchestration Protocol for Generative AI Systems
[NO] 66/1000 | α-aggregator SegLoss: A Novel Loss Function for Medical Image Segmentation
[NO] 67/1000 | FedROCK: A Federated Learning Framework with Region-Oriented Cultural Knowledge Distillation for Recommendations
[NO] 68/1000 | AI-Powered Early Diagnosis for Autism Spectrum Disorder and Progress Monitoring
[NO] 69/1000 | Space Data Centers Come of Age
[NO] 70/1000 | Decoupling Control of Multivariable Systems Using Eigenstructure Assignment
[NO] 71/1000 | Corrosion Classification With Synthetic and Real Images: A Comparative Study
[NO] 72/1000 | Benchmarking Few-Shot Learning Techniques for Steel Surface Defect Detection
[NO] 73/1000 | Digital Twin-Enabled Urban Management: Multi-Modal Data Fusion for Real-Time City Simulation and Prediction
[NO] 74/1000 | Hybrid Energy System Based on Five-Level Reduced Switch Multilevel Inverter
[NO] 75/1000 | Distributed Economic Optimization Scheduling Based on Neural Dynamics Optimization
[NO] 76/1000 | Remote Industrial Technician Training Through Real-Time XR Assistance
[NO] 77/1000 | Automatic Generation of Operation Scenarios with Fixed Section Power for Stability Control Strategy Analysis
[NO] 78/1000 | Efficient Deep Learning-Based Multimodal Liver Disease Detection
[NO] 79/1000 | Research on Primary Frequency Regulation Strategy Based on Hybrid Energy Storage Technology
[NO] 80/1000 | Comparative Analysis of the MPPT Techniques for Optimized Power Flow of Fuel Cell Integrated Boost Converter
[NO] 81/1000 | GHOST: Generating Hidden Obfuscated Samples from Benign Traffic to Evade SD-IoT Intrusion Detection Systems
[NO] 82/1000 | Predictive Modeling of Grid Power Loss in EV Charging Systems Using Ensemble and Neural Networks
[NO] 83/1000 | Robust Industrial Localization of Dot-Pattern Data Matrix Codes on Metallic Surfaces
[NO] 84/1000 | A Frequency Regulation Control Strategy for Hybrid MTDC Power System Based on MPC
[NO] 85/1000 | Performance Analysis of Target Motion Analysis System based on IMM with Maneuvering Point Detection
[NO] 86/1000 | Closed-form Analytical Expression for Moment of Inertia of Switched Reluctance Machine Rotors
[NO] 87/1000 | Exploring the Electrical Behavior of AlGaN HEMTs: a Parametric Analysis on the Barrier Layer Composition
[NO] 88/1000 | Quantum-Enhanced Predictive Analytics for Loan Default and Repayment Behavior
[NO] 89/1000 | Shunt Reactor Configuration for 220kV Offshore Wind Farms Based on Power Quality and Overvoltage
[NO] 90/1000 | Adaptive and Secure Three-Level Steganography Scheme with Random Distribution and Parity Coding
[NO] 91/1000 | On-chip Processing Assisted TinyML for Heart Rate Monitoring Using Non-Contact Ballistocardiogram-Based Bed Sensor
[NO] 92/1000 | TerseChain: A Stateless UTXO-Based Blockchain with Sharding Support_supp1-3662399.pdf
[NO] 93/1000 | Navigation Without Localization Using Stable Cycles
[NO] 94/1000 | Multistatic Tracking With the Precision Kalman Filter
[NO] 95/1000 | DRL-Based Wireless-Powered UAVs Trajectories Planning for Fair Communication_supp1-3664292.pdf
[NO] 96/1000 | Federated Learning in the Shuffle Model of Differential Privacy: A Communication-Efficient and Maliciously Secure Realization_supp1-3663543.pdf
[NO] 97/1000 | 2025 IEEE International Conference on Machine Learning and Applied Network Technologies (ICMLANT)
[NO] 98/1000 | 2025 International Conference on Computing and Communications (COMPUTINGCON)
[NO] 99/1000 | Hardware-Aware Neural Architecture Search for Encrypted Traffic Classification on Resource-Constrained Devices
[NO] 100/1000 | HRADP: A Heat-Recirculation-Aware Data Placement Approach for Energy-Efficient Cloud Data Centers
[NO] 101/1000 | Multi-Modal Environment Semantics Information Aided UAV Beam Alignment
[NO] 102/1000 | Temporally-Similar Structure-Aware Spatiotemporal Fusion of Satellite Images
[NO] 103/1000 | ScalCom 2025 Organizing Committee
[NO] 104/1000 | Message from SWC 2025 Steering Chairs
[NO] 105/1000 | A Method for Identifying the Source of Second Traveling Wave Under Breakage Fault in Non-Bounded VSC-HVDC Grid with New Energy Access
[NO] 106/1000 | Research on the Abnormality of Single-Phase Grounding of 66 kV System and the Abnormality of Coupling Voltage of the Same Tower Double-Loop Line
[NO] 107/1000 | Dynamic Music Recommender Based on User Mood and Affect Using Machine Learning
[NO] 108/1000 | Improve Smart Surveillance Systems with Convolutional Neural Networks (CNNs): Integrate Fog Computing and IoT for Real-Time Threat Detection and Response
[NO] 109/1000 | Fast Moving System Warning for Two Wheelers
[NO] 110/1000 | Design of Miniaturized 3.8-GHz Shorted Patch Antenna for Sub-6 GHz 5G Applications
[NO] 111/1000 | Smart Glasses for the Blind: A Real-Time AI-Odriven Wearable System for Autonomous Navigation
[NO] 112/1000 | Design and Simulation of a Basic IoT Network Using MQTT and CoAP Protocols
[NO] 113/1000 | A Gate Signal Feedback Method for Dynamic Delay Estimation and Dead Time Correction in Parallel GaN MOSFETs
[NO] 114/1000 | Effective Security Administration Interface in 6G Using Virtual and Immersive Reality
[NO] 115/1000 | Post Quantum Secure Framework for IoT Based EV Battery Swapping Stations in Sustainable Transport Networks
[NO] 116/1000 | AG-MPBS: a Mobility-Aware Prediction and Behavior-Based Scheduling Framework for Air-Ground Unmanned Systems
[NO] 117/1000 | A DC Bias Suppression Strategy of Three Phase DAB-LLC DC Converter
[NO] 118/1000 | AI-Powered Plant Disease Detection System Using CNN for Precision Agriculture -Geospatial Data
[NO] 119/1000 | Synthesis of Inverse Optimal Regulator for Uncertain Neutral Time-Delay Systems
[NO] 120/1000 | A Method for Medium and Long-term Power Generation Assessment of Offshore Wind Power Based on AE-GRU Considering Volatility and Extreme Weather Effects
[NO] 121/1000 | AI Augmented IoT Framework for Precision Coal Wagon Loading Using STM32 and Cloud Based Weight Control
[NO] 122/1000 | Simulating a ZPD-based Knowledge Tracing Model for Enhanced Adaptive Practicing
[NO] 123/1000 | A Systematic Evaluation of Non-IID Estimation Methods in Federated Learning
[NO] 124/1000 | SolarSalt: Phase-Change Sodium-Based Battery for 24/7 Renewable Energy Storage
[NO] 125/1000 | Analysis of Micro-Sized THz Graphene and Copper Antennas Implemented in 6G and Counterterrorism Armaments
[NO] 126/1000 | Hybrid Algorithm for CFAR Detection in Non-Homogeneous Environments
[NO] 127/1000 | Understanding the Effect of Measurement Noise in Fast Pulse-Based Impedance Spectroscopy
[NO] 128/1000 | Web-Based Flood Management System Enhancing Monitoring and Mitigation
[NO] 129/1000 | Lyapunov-Based Reward Function Design for Reinforcement Learning Control of Grid-Connected Multilevel Inverters: A PUC5 Case Study
[YES] 130/1000 | A Cloud-Based Generative AI Architecture for Integrated Multimodal Content Analysis and Automated Documentation
[NO] 131/1000 | FPGA-Based Real-Time Vehicle Monitoring System Using Licence Plate Detection
[NO] 132/1000 | 2D Vibration-Damped Transfer of a 1DOF Overhead Traveling Crane Under Open-Loop Finite-Time Settling Control Using Half-Odd-Integer Trigonometric Functions with Two-Step Acceleration/Deceleration
[NO] 133/1000 | Soft Computing Solutions for Efficient Fault Detection in Transmission Lines
[NO] 134/1000 | PPG To ECG Conversion Device
[NO] 135/1000 | Comparative Analysis of Optimization Algorithms for Deep Learning-Based Medical Image Classification
[NO] 136/1000 | IoT-Based Emergency Tracking System for Women Safety with Real-Time Location Alerts and Panic Button Activation
[NO] 137/1000 | Fuzzy Logic Controller based Torque Ripple Minimization in Tesla Cybertruck’s PMSM Drive
[NO] 138/1000 | LSTM &amp; Transfer Learning for Stock Market Bitcoin Price Prediction: An AI-Driven Channel Estimation and Prediction
[NO] 139/1000 | A Novel Soft Deep Learning Technique to Enhance Fashion Image Retrieval from Text Query
[NO] 140/1000 | Review of Deep Learning and Explainable AI Approaches for Skin Cancer Detection in Embedded Biomedical Systems
[YES] 141/1000 | Machine Learning in Safety-Critical Applications: Beyond Traditional Worst-Case Design
[NO] 142/1000 | Considering Safety Boundary Mapping and Safety-Economy Optimization of the Electricity-Hydrogen-Ammonia-Methanol Integrated Energy System
[NO] 143/1000 | The Computational Kosmoplex: A Principia for Engineers in the Age of AI
[NO] 144/1000 | Synergistic Automation of Helpdesk Incident Management in Supply Chain Platforms via Contextual Vector Retrieval
[NO] 145/1000 | A Comprehensive Review on Multilevel PFC Rectifier Topologies for EV Applications
[NO] 146/1000 | A Prediction Method for Lithium Battery Charging and Discharging Curves based on the Battery Physical Model
[NO] 147/1000 | Blockchain-Federated Learning Framework for Secure and Privacy-Aware IoT-Enabled Wireless Sensor Networks in Smart Cities
[NO] 148/1000 | A Review and Comparison of Virtual Impedance and Virtual Frame Method in Microgrid Systems
[NO] 149/1000 | The Impact of Influencer Marketing on Brand Authenticity in Digital Campaigns
[NO] 150/1000 | Performance Analysis of Cluster-Based Routing Protocols under Propagation and Mobility Variants in Wireless Sensor Networks
[NO] 151/1000 | Improved Plant Disease Recognition Using MobileNet and Regularization Techniques
[NO] 152/1000 | Robust and Transparent IoT Anomaly Detection via Feature Selection and Explainable Machine Learning
[NO] 153/1000 | An Efficient IoT Security Prediction Framework
[NO] 154/1000 | Dispatch of Electricity-Hydrogen-Ammonia-Methanol Integrated Energy System Based on Constrained Diffusion Actor-Critic with Entropy Regulator
[NO] 155/1000 | E-Democracy or E-Disillusionment? Digital Participation and the Crisis of Trust in the Balkans and Eastern Europe
[NO] 156/1000 | Lost in Translation: How Hungarian Media Framed Netflix's Adolescence and Failed to Promote Awareness on Cyberbullying
[NO] 157/1000 | The Power and Pitfalls of Scarcity Messaging in Online Travel Booking
[NO] 158/1000 | Transfer learning with U-Swin transformer for adaptive ground roll attenuation in seismic records from Sabkha environments
[NO] 159/1000 | Solving Multi-Depots Pickup and Delivery Problem Based on Heterogeneous Collaborative Multi-Attention Mechanism
[NO] 160/1000 | Flying in Clutter on Monocular RGB by Learning in 3D Radiance Fields with Domain Adaptation_supp1-3666383.mp4
[NO] 161/1000 | Non-invasive and ultrasensitive glucose detection via electrolyte-gated IGZO thin-film transistors_supp1-3661008.docx
[NO] 162/1000 | Table of Contents
[NO] 163/1000 | Title Page
[NO] 164/1000 | 2025 IEEE International Microwave and Antenna Symposium (IMAS)
[NO] 165/1000 | Reviewers
[NO] 166/1000 | Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning
[NO] 167/1000 | Dual Representations and $H_{\infty }$-Optimal Control of Partial Differential Equations
[NO] 168/1000 | IEEE Collabratec
[NO] 169/1000 | Radiation Total Dose for PRIMA: Cold Exposure with Alpha Particles
[NO] 170/1000 | Breathing Space: Spatial Mapping of Breath and Cardiac Biofeedback for Affective State Representation and Coherence Training in Viscereality
[NO] 171/1000 | Evolution of the CTMM model in the university context supported by AI_supp1-3666426.pdf
[NO] 172/1000 | Multi-Period Multi-Depot Vehicle Routing Problem for Mobile Center-based Last Mile Delivery
[NO] 173/1000 | In-Orbit Thruster Calibration Methods for Satellite Attitude Determination and Control
[NO] 174/1000 | Dynamic Precision-Tunable Multiplier For Image Processing Applications
[NO] 175/1000 | Innovative Hybrid Deep Learning for Precise Spatiotemporal Analysis of Oral Diseases
[NO] 176/1000 | Impact of Digital Human Resource Management on Organizational Efficiency from AI perspective
[NO] 177/1000 | Privacy-enhanced and Time-efficient Human Activity Recognition using Decentralized Federated Learning
[NO] 178/1000 | Perceiving Generative AI in Teacher Practice: A Design-Based Case Study in a Graduate Course
[NO] 179/1000 | A Review on Disease Prediction in Plants and Fertilizer Recommendation Using CNN &amp; LSTM
[NO] 180/1000 | Multilevel Inverters for Electric Vehicle Applications: Recent Trends and Technological Advancements
[NO] 181/1000 | Wi-Flow: Multimodal Human Action Recognition Based on Dynamic Features in WiFi CSI and Optical Flow
[NO] 182/1000 | Enhanced APT Attack Detection Using Convolutional Neural Networks and Deep Learning Models
[NO] 183/1000 | Edge Computing for Real-Time Process Optimisation in Factories
[NO] 184/1000 | Cardiovascular Disease Prediction Using SHAP-Based Feature Selection and PSO-Optimized XGBoost
[NO] 185/1000 | Comprehensive Review of Reactive Power Challenges in Distribution Systems and Advanced Mitigation Strategies
[NO] 186/1000 | Accessible Communication through Object Detection: A Deep Learning Model for Differently Abled People
[NO] 187/1000 | A Systematic Review of Artificial Intelligence Applications in Alzheimer’s Disease: Advances and Research Gaps in Latin America
[NO] 188/1000 | Compact Three-Stage SIW Bandpass Filter Based on Circular CSRRs for 4.7 GHz Wireless Systems
[NO] 189/1000 | A Power Transformer Condition Assessment Method Based on Multi-Source Information Fusion
[NO] 190/1000 | Edge AI based Real -Time Classification of Underwater Target in Images using YOLO Deep Learning Algorithm
[NO] 191/1000 | The Influence of Space-Time Geometrical Channel Models on Spatial Data Focusing
[NO] 192/1000 | A Novel Distribution System State Estimation Framework for Non-Gaussian Measurement Noise
[NO] 193/1000 | Variable Voltage Strategy for Minimum Current Operation in the Flux Weakeing Region of DI-WRIM Drive
[NO] 194/1000 | Adaptive Edge AI Orchestrator for Real Time Data Analysis and Process Control in Manufacturing Lines
[NO] 195/1000 | Towards Efficient Power Control in Fuel Cell Electric Vehicles with Braking Energy Recovery
[NO] 196/1000 | IoT and AI for Real-Time Monitoring in Substation Automation
[NO] 197/1000 | Twitter Sentiment Mining for Marketing Decision-Making in Blockchain-Based Digital Assets
[NO] 198/1000 | UniRisk-PCa: A Federated Self-Training Multimodal Spatio-Radiomic Network for the Prediction of Prostate Cancer Risk
[NO] 199/1000 | Multiagent Reinforcement Learning for Coordinated Cyber Defense Against Advanced Persistent Threats
[NO] 200/1000 | Analytical Model for the Early Detection of Undersea Seismic Activity – A Tsunami Precursor
[NO] 201/1000 | Machine Learning and Deep Learning Approaches for Stroke Classification Using Multi-Muscle Upper Limb EMG Features Across Functional Reaching Tasks
[NO] 202/1000 | Cyber Risk Prediction and Management Using Random Forest-Based Risk Scoring Models
[NO] 203/1000 | Low-SAR MIMO Antenna with High-Isolation High-Efficiency for Smartphones
[NO] 204/1000 | Robust Normal-Gamma Distribution Based Kalman Filter For MEMS/UWB Indoor Localization in the NLOS Scenario
[NO] 205/1000 | Reconstructing CT Scan Images with SADNN: A Promising Approach for Medical Imaging
[NO] 206/1000 | Hybrid LSTM–Random Forest Model for Forecasting Lettuce Leaf Growth in Hydroponic Systems During the Rainy Season
[NO] 207/1000 | SolarPredict: A Lightweight Machine Learning Model for Hourly Rooftop Solar Energy Forecasting Using Weather and Temporal Features
[YES] 208/1000 | Development of Secure-by-Design RISC-V Architectures with Embedded Hardware Roots-of-Trust for Next-Generation Smart Devices
[NO] 209/1000 | An Interpretable Sparse Fourier-Based Convolutional Neural Network (SpFFT-CNN) for Eccentricity Faults Classification
[NO] 210/1000 | A Delta-Operator-Based Decoupled Periodic Output Feedback Control for Multivariable Systems
[NO] 211/1000 | LanPerAct: A Framework for Language-Driven Perception and Robotic Manipulation
[NO] 212/1000 | Real-Time Micro-Stress Detection for Remote Managers Using AI
[NO] 213/1000 | An Ensemble Stacking Approach for Reliable Type 1 Diabetes Prediction
[NO] 214/1000 | Development of a cost-effective and user-friendly skin potential acquisition module for emotion detection
[NO] 215/1000 | Towards Reliable Microgrids: Investigation and Mitigation of Power Quality Disturbances
[NO] 216/1000 | A Low-Carbon Planning and Configuration Method for Electricity-Hydrogen-Methanol-Ammonia Multi-Energy System Considering Full Life-Cycle Assessment
[NO] 217/1000 | Modulation Doping Techniques for AlGaAs/GaAs HEMTs: a Comparative Analysis
[NO] 218/1000 | Intelligent Diagnosis Method for High-Voltage Transmission Line Short-Circuit Faults Based on Fault Feature Identification and Case-Based Reasoning
[NO] 219/1000 | LLM PhishGuard: A GPT-3.5–Driven Framework with Heuristics, VirusTotal Reputation, and OCR for SME Email Security
[NO] 220/1000 | Enhancing Underwater Sonar Target Recognition using Non-linear Wavelet Transforms
[NO] 221/1000 | Multimodal Deepfake Detection: A Scalable AI Pipeline Combining Audio-Visual Analysis
[NO] 222/1000 | Hybrid Deep Learning Framework for PCOS Detection Using MobileNetV2 and Clinical Features
[NO] 223/1000 | Miniature Flexible Dualband Antenna for 5G NR Applications
[NO] 224/1000 | Direct hybridization of fuel cells with batteries for urban and suburban transport: a small-scale study
[NO] 225/1000 | Financial Performance Evaluation: Comparing Islamic and Conventional Banks Between 2013-2022
[NO] 226/1000 | The End of Pretraining for Large Language Models: The Future of Agentic and AI Reasoning Beyond Peak Data
[NO] 227/1000 | In Memoriam: George E. Smith (1930–2025) [Obituary]
[NO] 228/1000 | SYMPOL 2025 Ad Page
[NO] 229/1000 | Table of Contents
[NO] 230/1000 | On Informative State Vectors for Discrete Dynamic Estimation in Switched Systems Using the Model-Based Minimum Distance Method
[NO] 231/1000 | Tensorial Multi-view Clustering via Alternative Rank Minimization and Inter-view Alignment
[NO] 232/1000 | IEEE Transactions on Computer
[NO] 233/1000 | Performance Degradation and Reliability of 4H-SiC MOSFETs at Extreme Low Temperatures
[NO] 234/1000 | RTCache: An Efficient Remapping Table Cache for NVM Wear-Leveling
[NO] 235/1000 | Error Bounds for Radial Network Topology Learning from Quantized Measurements
[NO] 236/1000 | Toward Realism: Sparse Matrix Statistics in the North American and Synthetic Electric Grid Models
[NO] 237/1000 | Multimode Composite Continuum Robot: Coupled Static Modeling and Verification
[NO] 238/1000 | Synchronous Vibration Suppression for Active Magnetic Bearing Systems With Induced Current and Stiffness Variation
[NO] 239/1000 | Copyright Page
[NO] 240/1000 | A SPICE Simulation Study of Stacked Inverters and Transistors Type D Flip-Flop Designs with 16-nm CMOS Technology
[NO] 241/1000 | Blockchain-Based Self-Sovereign Identity for Digital Security
[NO] 242/1000 | Predictive Modeling of BPSK Bit Recovery Using Machine Learning in Underwater Acoustic Communication
[NO] 243/1000 | Online state of charge estimation of supercapacitor considering uncertain bias compensation
[NO] 244/1000 | Research on Collaborative Scheduling Strategy for Electric Vehicle Charging Stations Based on Spatiotemporal Demand Gradient
[NO] 245/1000 | Feasibility Study of a DC Networking and Transmission Scheme for Large-scale Wind Power Bases
[NO] 246/1000 | Integration of Gaussian Plume Dispersion Modeling and UAV Monitoring for Power Plant Carbon Emission Inversion
[NO] 247/1000 | Life Prediction of Hydrogen Fuel Cells Based on Particle Filter Optimized by Grey Wolf Optimizer
[NO] 248/1000 | A Practical Optimization Framework for Joint Sizing and Speed Planning of Electric Tractors
[NO] 249/1000 | Android Malware Classification based on Image Feature Extraction using CNN and LightGBM
[NO] 250/1000 | Distributed Bias Equalization Double Layer Control Algorithm for Multi Flywheel Energy Storage Matrix After Primary Frequency Modulation
[NO] 251/1000 | Hybrid Energy System Performance Enhancement by Implementing Artificial Bee Colony Optimization
[NO] 252/1000 | AI and Big Data for Optimizing Indonesia’s Oil Trade Balance
[NO] 253/1000 | Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid
[NO] 254/1000 | Microgrid Planning with Enhanced EV Hosting Using Marine Predators Optimization Algorithm
[NO] 255/1000 | Leveraging Deep Learning for High-Accuracy Eye Disease Detection and Severity Classification
[NO] 256/1000 | Stability Evaluation of Offshore Wind Power Transmission Systems Based on the Improved Multi-Infeed Short-Circuit Ratio
[NO] 257/1000 | Double-Integral Sliding-Mode Control for DAB Converters in V2V Energy Sharing
[NO] 258/1000 | Review of Microgrid Optimal Scheduling Research: Models, Methods and Prospects
[NO] 259/1000 | Mid- to Long-Term Probabilistic Photovoltaic Power Forecasting Method for Plateau Regions Based on MTL-CNN-LSTM
[NO] 260/1000 | A Trajectory Planning Model for Autonomous Vehicles: Lane Change Manoeuvres Using Fuzzy Logic
[NO] 261/1000 | AI-Based Traffic Prediction and Network Management: Enhancing Urban Mobility and Congestion Control through Machine Learning and Hybrid Algorithms
[NO] 262/1000 | Automatic Defect Detection of Chain Link Fences Using Artificial Intelligence
[NO] 263/1000 | Multi-varient Feature Extraction and its Late Fusion with VGG-16 based Deep Feature for Oral Cancer Detection via Multiple Classification
[NO] 264/1000 | Design of a Printed Yagi-Uda Antenna for Long-Range Applications in the 902-928 MHz ISM Band
[NO] 265/1000 | Leveraging Data Analytics in NIDHI-TBI for Innovation-Driven Business Incubation
[NO] 266/1000 | Comparative Analysis of Harmonic Injection Based Excitation Topologies in High Power Brushless Wound Field Synchronous Motors for EVs
[NO] 267/1000 | Evaluation of AEAD Cryptographic Algorithms in an MQTT-Based IoT Tracking System
[NO] 268/1000 | Enhancing Noise Immunity in Mixed-Signal Circuits for Biomedical Applications
