[2026-07-11 22:48:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-10
正在获取论文...
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[NO] 38/1000 | Short-Packet Covert Communication in Underlay Cognitive Radio Networks With Multiple Wardens
[NO] 39/1000 | Monitoring of Upper-Limb Functional Movements After Stroke: Optimizing Threshold-Based Detection with Inertial Measurement Units
[NO] 40/1000 | Integrated Sensing and Communication in 6G: A Comprehensive Survey of Use Cases, Enabling Technologies, Standardization Roadmap, and Monetization Frameworks
[NO] 41/1000 | A Comparative Study of Model Selection Criteria for Symbolic Regression
[NO] 42/1000 | Proceedings of the Genetic and Evolutionary Computation Conference
[NO] 43/1000 | Grid-Forming Characterization in DC Microgrids
[NO] 44/1000 | Planning Relay Networks That Avoid Enemy Line-of-Sight and Maximize Angles Between Links and Enemies
[NO] 45/1000 | Detection of Cercospora Leaf Spot in Okra Using Deep Learning
[NO] 46/1000 | ShallowNet: A Lightweight Neural Network Approach for Efficient Flow-Level DDoS Detection
[NO] 47/1000 | Characterisation of Emissions and Impedances up to 150 kHz of Power Electronics-Based DC Loads for Low-Voltage DC Grids
[NO] 48/1000 | Automated Selective Color-wise Colony Counting on Spread Plates using Deep Learning and Human-in-the-loop Integration
[NO] 49/1000 | Noise Source Localization with Sparse Magnitude-Only Magnetic Field Measurements Using KNN Algorithm
[NO] 50/1000 | Influence of Geometric Parameters on MRI Gradient-Field Heating: A Simulation Study on Size and Shape Effects
[NO] 51/1000 | SIVF: GPU-Resident IVF Index for Streaming Vector Analytics
[NO] 52/1000 | POLAR-PIC: A Holistic Framework for Matrixized PIC with Co-Designed Compute, Layout, and Communication
[NO] 53/1000 | Adaptive Strategic Intelligence Enabled by Machine Learning in Dynamic Markets
[NO] 54/1000 | Operator-User Cost Trade-offs in Sweden’s Future EV Charging System
[NO] 55/1000 | Comparative study of quantum-based parallel and coordinated distributed temporal aggregation for capacity expansion planning
[NO] 56/1000 | A Hybrid LSTM-Based Model for Stock Price Prediction Using Sentiment Analysis and Volatility Features
[NO] 57/1000 | Machine Learning Based Integrated Solution for Smart Pepper Farming in Sri Lanka
[NO] 58/1000 | Feature Extraction and Classification Algorithm for Identification of Ball Fault of Bearing in Induction Motor
[NO] 59/1000 | Design of GaN HEMT ANPC Power Module with Low Parasitic Inductances
[NO] 60/1000 | Experimental Measurement of Magnetic Flux Exposure on Dielectric Material Structure
[NO] 61/1000 | Simple Equational Modeling and Swarm Intelligence Based 3D Path Planning Over Large-Scale Complex Mountain Terrain with Irregular Topology
[YES] 62/1000 | Fault Model-Driven Formal Verification of Cryptographic Hardware Against Fault Attacks
[NO] 63/1000 | Investing in Batteries or Choosing Tolling? Storage Strategies for Risk-Aware PPA Portfolios in Renewable Energy Communities
[NO] 64/1000 | Taking flexibility into account when optimally assigning actors to collective self-consumption communities
[NO] 65/1000 | Economic Analysis of Demand Management Strategies Using HOMER Pro® Deferrable Load: Case Study of a Productive Use of Energy Microgrid in Kwale Island Tanzania
[NO] 66/1000 | Optimizing Hydropower Scheduling in Nordic Electricity Markets through Deep Learning
[NO] 67/1000 | A Unified Multimodal Edge AI Smart Assistive Stick for Visually Impaired Users
[NO] 68/1000 | Data-Driven Insights into Sleep Quality and Health Using Bioinformatics
[NO] 69/1000 | Investment strategies for energy infrastructure on the southern Norwegian Continental Shelf
[NO] 70/1000 | Research on Bidirectional Active Balancing System for Large-Capacity Lithium Battery Pack Based on DAB Converter
[NO] 71/1000 | Implementation and Performance Evaluation of a 100 Gbps Network Link on Thailand’s National Research and Education Network
[NO] 72/1000 | Technical Standards for Grid-Forming Control of MVDC Converter Stations in Urban Distribution Networks
[NO] 73/1000 | Optimizing Charging Station Deployment in Croatia to Support EV Growth and EU Regulations
[NO] 74/1000 | A Resonant Mechanism Study for the Impact of Stent Length on MRI RF-Induced Heating
[NO] 75/1000 | Answer Set Programming for Bus Route Finding: A Case Study in Bangkok, Thailand
[NO] 76/1000 | Personalized Nutrition Recommendation Based on Ayurveda Using Semi-Supervised Learning
[NO] 77/1000 | From Flash Density to Field Reliability: A Population-Weighted Distance Effect Model for Lightning-Induced Surge Exposure Characterization
[NO] 78/1000 | Explainable NLP-Based Depression Detection from Social Media Text Using Machine Learning and LIME Interpretability
[NO] 79/1000 | Energy Router for Multi-ASD DC Buses
[NO] 80/1000 | Do EPAD Prices Reflect Zonal Price Spreads? A Panel Mincer–Zarnowitz Analysis of the Nordic Market
[NO] 81/1000 | Strategic BESS Operation under Uncertainty: Balancing Immediate Revenue Capture against Longterm Degradation in the Spanish Market
[NO] 82/1000 | Uncertainty Evaluation of Calibration Factor for Magnetic Field Probe Under Microstrip Line
[YES] 83/1000 | Mission-Aware SBOM Vulnerability Triage with KEV/EPSS and LLM-Based VEX Drafting
[NO] 84/1000 | Integrating Electrified Ports into the Power Grid: The Impact of Grid Tariffs and Flexibility
[YES] 85/1000 | What’s in a Benchmark? The Case of SWE-Bench in Automated Program Repair
[NO] 86/1000 | Proceedings of the 23rd ACM International Conference on Computing Frontiers: Workshops and Special Sessions
[NO] 87/1000 | Bayesian Optimal Stopping with Maximum Value Knowledge
[NO] 88/1000 | <scp>MuseKG:</scp>
                    An Interactive Knowledge Graph Over Museum Collections
[NO] 89/1000 | User Activity Modeling under Inflated Distribution
[NO] 90/1000 | Human Agency and Skill in AI-Supported Work: Countering Cognitive Offloading
[NO] 91/1000 | Bias Beneath the Tone: Empirical Characterisation of Tone Bias in LLM-Driven UX Systems
[NO] 92/1000 | BPMN-T: A Timed–Probabilistic Extension of BPMN with Formal Semantics
[NO] 93/1000 | Structural Bias in Multi-objective Optimization
[NO] 94/1000 | Anytime Analysis on BinVal: Adaptive Parameters Help
[NO] 95/1000 | Dual-Layer Synchronous Ring Cellular UMDA Based On Anisotropic RBF Surrogate for High-Dimensional Evolutionary Optimization in Energy Management
[NO] 96/1000 | FOCUS: Outdoor Transmitter Localization Exploiting the Mobility of a Single Drone
[NO] 97/1000 | Online Generation of Collision-Free Trajectories in Dynamic Environments_supp5-3711837.txt
[NO] 98/1000 | Sharp Decay Rate of Semi-discrete Scheme for 1-D Wave Equation with Boundary Damping*
[NO] 99/1000 | Dielectric properties of polyimide-based composites with boron nitride surface covering under high-energy electron beam radiation_supp1-3711572.docx
[NO] 100/1000 | Enhanced Unified Graph Learning and Weighted Tensor Schatten -Norm Approximation for Multi-View Clustering_supp1-3702584.pdf
[NO] 101/1000 | Haptic Feedback in Virtual Reality: A Systematic Review and Tutorial for Practitioners
[NO] 102/1000 | Facilitating Fuzzing-based Simulation Testing of Autonomous Driving System through Inter-Vehicle Interaction Modeling
[NO] 103/1000 | Maximizing the Secrecy Energy Efficiency of Artificial Noise-Assisted Full-Duplex Cooperative NOMA Network with Non-Colluding Eavesdroppers: A Deep Learning Based Approach
[NO] 104/1000 | UniTransAD: Unified Translation Framework for Anomaly Detection in Brain MRI
[NO] 105/1000 | Human–Robot Interaction Based Finite-Time Coordination Tracking of Networked Robot Manipulators for Industry 5.0
[NO] 106/1000 | JCSSE 2026 Ad Page
[NO] 107/1000 | 2026 22nd International Conference on the European Energy Market (EEM)
[NO] 108/1000 | EEM 2026 Breaker Page
[NO] 109/1000 | ReNeuIR at SIGIR 2026: The Fifth Workshop on Reaching Efficiency in Neural Information Retrieval
[NO] 110/1000 | RecGPT-Mobile: On-Device Large Language Models for User Intent Understanding in Taobao Feed Recommendation
[NO] 111/1000 | MedNQS: Medical State-Aware Dual-Stage Next-Turn Question Suggestion for Online Medical Consultations
[NO] 112/1000 | <scp>SimEval-IR:</scp>
                    A Unified Toolkit and Benchmark Suite for Evaluating User Simulators and Search Sessions
[NO] 113/1000 | Beyond Fluency: Toward Reliable Trajectories in Agentic IR
[NO] 114/1000 | Query Performance Prediction under Corpus Growth in Dense Retrieval
[NO] 115/1000 | Analysis of the Impact of Tournament Size on Coevolutionary Search
[NO] 116/1000 | Dropout-Inspired Strategies For Enhanced Exploration In Evolutionary Algorithms
[NO] 117/1000 | Group versus Individual Review Requests: Tradeoffs in Speed and Quality at Mozilla Firefox
[NO] 118/1000 | A 14dBm 2.4GHz Power Amplifier with Digitally Controlled Tuning in 12nm FinFET CMOS Technology
[NO] 119/1000 | CELSIUS: Contrastive self-supervised learning for improved household load disaggregation and demand-side flexibility modeling
[NO] 120/1000 | Design of a 8-Stage RF Step Attenuator for Variable Gain Amplifiers
[NO] 121/1000 | Techno-Economic Optimal Sizing of Pumped Hydro Storage for Energy Price Arbitrage: Insights from the Italian Market
[NO] 122/1000 | Improved Collateral Management in Long-term Flowbased Allocation of Transmission Rights
[NO] 123/1000 | An Enhanced Conducted EMI Noise Prediction Method for Vienna PFC-LLC Converter
[NO] 124/1000 | LegalVision: A Knowledge-Driven AI Framework for Legal Understanding and Trust Assessment
[NO] 125/1000 | GICC: A High-Performance Runtime for GPU-Initiated Communication and Coordination in Modern HPC Systems
[NO] 126/1000 | Omnia: Efficient RAG Serving through Speculative Scheduling
[NO] 127/1000 | Scalable Quantum Circuit Simulation via Circuit Cutting and FPGA Acceleration
[NO] 128/1000 | CARBS: Compiler Autotuning via Randomized Biased Search
[NO] 129/1000 | Modernizing VPIC-Kokkos I/O: From Legacy Binary Output to Adaptive HDF5 Workflows
[NO] 130/1000 | Bridging the Synchronous Gap: Design and Performance Analysis of the Offline Off-the-Record (O2TR) Protocol
[NO] 131/1000 | DC-Side Grid-Forming-Based Control Coordination in a Hybrid DC/AC Microgrid for AI Data Centers
[NO] 132/1000 | myNRC-OCR: A Hybrid OCR Framework for Handwritten Myanmar NRCs Integrating YOLOv8, Tesseract LSTM, TrOCR, and Post-OCR Correction
[NO] 133/1000 | Multimodal Skin Lesion Classification using CNN and MLP Feature Fusion
[NO] 134/1000 | Competing Flexibility Options and How They Impact Cost Recovery in Electricity Markets
[NO] 135/1000 | Is Hydrogen an Electrically Small Antenna?
[NO] 136/1000 | Beyond Fingerprints: Systematic Design of APUFs for Batch Identification
[NO] 137/1000 | Adaptive Complexity Reduction of Network Constraints for Large-Scale Power System Optimization Models
[NO] 138/1000 | Randomized Optimal Control Problem via Reinforcement Learning Under Knightian Uncertainty: Presenting a Unified Analytical Framework
[NO] 139/1000 | AI-Driven Social Media Marketing Assistant Using Agentic Workflows and Long-Term Memory
[NO] 140/1000 | Microstrip Patch Antennas for Creeping-Wave Excitation
[NO] 141/1000 | Simulation-Based Assessment of Flexibility in Low-Voltage Distribution Networks
[YES] 142/1000 | Hierarchical EMFI Analysis on a RISC-V SoC
[NO] 143/1000 | A 22-kV SiC Super-Cascode Switch With Controlled Turn-Off Voltage Distribution for Active Capacitor Discharge
[YES] 144/1000 | An Empirical Evaluation for Linux Security Tasks via Local LLM
[NO] 145/1000 | Short-Utterance Authentication using Lexical Challenge and Speaker Verification
[NO] 146/1000 | Building up the future hydrogen economy: On the implications of agent failure risks for prices and quantities
[NO] 147/1000 | Investigation on the Susceptibility to RF Interference of LDO Voltage Regulators
[NO] 148/1000 | Predicting the past: Consequence analysis during fire &amp; explosion investigations
[NO] 149/1000 | Thermal Spread Characterization of Seeg Leads During RF Ablation
[NO] 150/1000 | A Wideband All-Metal Evanescent-Mode Filter Featuring Strong Upper-Stopband Rejection
[NO] 151/1000 | Safe Storage at Home: A Co-Simulation Approach for Short Circuit Current Characterisation
[NO] 152/1000 | Influence of Grid Topology on Effectiveness of a Dynamic Grid Scarcity Signal
[NO] 153/1000 | Fine-Grained Zero-Shot Vehicle Make and Model Recognition: A Survey and Future Directions
[NO] 154/1000 | MANJU: A Multi-Agent Framework for Natural Just-in-Time Understanding in Thai
[YES] 155/1000 | Extending Silicon Lifetime: A Review of Design Techniques for Reliable Integrated Circuits
[NO] 156/1000 | Mathematical Modeling and Simulation of Packet Scheduling for High-Speed Networks
[NO] 157/1000 | Boundary-Aware Deep Learning Framework for Breast Cancer Image Segmentation: Enhancing Tumor Delineation Through Biou-Driven Evaluation
[NO] 158/1000 | Prediction of Shielding Effectiveness in Graphene Composites Based on Microstructural Characteristics
[NO] 159/1000 | Data-Driven Jitter Estimation in PLL-to-HBM3E Chip-Level Clock Path
[NO] 160/1000 | Lustre Query: Periodic Offline Metadata Monitoring from MDT Backups
[NO] 161/1000 | ATLAS: Efficient Out-of-Core Inference for Billion-Scale Graph Neural Networks
[NO] 162/1000 | SAGA: State-Aware Graph Analytics for Combinatorial Optimization on Dynamic Graphs
[NO] 163/1000 | DPIO: A Unified I/O Architecture for Heterogeneous CPU and DPU NVMeoF
[NO] 164/1000 | Capacity-affecting Extreme Events in Stochastic Energy System Optimisation
[NO] 165/1000 | IoT-Enabled Smart Blind Stick for Intelligent Navigation Assistance of Visually Impaired Individuals
[NO] 166/1000 | The Impact of Human–AI Interaction on eLearning Quality: The Mediating Role of Cognitive Presence in Higher Education
[NO] 167/1000 | Climate Change and Energy Systems: when do signals emerge from the noise?
[NO] 168/1000 | Interleaved Coupled-Inductor Boost Converter for Regenerative DC Microgrid Loads
[NO] 169/1000 | Labadain Chat: A Conversational Agent for the Tetun Language
[NO] 170/1000 | Purifying Multimodal Retrieval: Fragment-Level Evidence Selection for RAG
[NO] 171/1000 | Temporal Information Retrieval and Extraction: From Foundations to RAG
[NO] 172/1000 | Toward a Telugu Question Answering Dataset for Agricultural IR to Serve Marginal Farmers in Drought-Prone Rayalaseema: A Gap Analysis and Roadmap
[NO] 173/1000 | UX Requirements Engineering for COSE Platforms: A Cultural Perspective
[NO] 174/1000 | Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation
[NO] 175/1000 | Who Is Shopping With You? How Persona Design Shapes Cognitive and Social Engagement in AI Shopping Agents
[NO] 176/1000 | Unsupervised 2D Image-Based 3D Model Retrieval via Decision Boundary Alignment and Graph Semantic Propagation
[NO] 177/1000 | Making Indecent Persuasion Visible: How Evaluation Metrics Shape UX Designers' Ethical Reasoning
[NO] 178/1000 | Towards Modeling IoT Applications: Specification, Animation and Reasoning in Anemone
[NO] 179/1000 | Building a Production Shopping Agent at Scale
[NO] 180/1000 | OxygenREC: An Instruction-Following Generative Framework for E-commerce Recommendation
[NO] 181/1000 | Out-of-Coverage Synchronization Enhancement for Multi-Hop NR V2X: From 3GPP Standard Analysis to Algorithm Design
[NO] 182/1000 | Efficient Minimum -Truss Search: A Decomposition-Based Approach_supp1-3701433.pdf
[NO] 183/1000 | Pretraining in Actor-Critic Reinforcement Learning for Locomotion_supp1-3711838.mp4
[NO] 184/1000 | JCSSE 2026 Committees
[NO] 185/1000 | Benchmarking neural network personalized musculoskeletal hand models against current personalization standards using experimental magnetic resonance imaging and fine-wire electromyography
[NO] 186/1000 | Multi-Modal Trajectory Prediction With Frenet Trajectory Translation
[NO] 187/1000 | Design and Characterization of a Multi-Layer FPC Eddy-Current Sensor for Micrometric Distance Measurement Applications Exploiting a Low-Cost Commercial Converter
[NO] 188/1000 | Aspect Dependency Graph Network: Inferring Latent Sentiment beyond Mention for Aspect-Based Sentiment Analysis
[NO] 189/1000 | Topology-Evolving Neural Network for Digital Predistortion of RF Power Amplifiers
[NO] 190/1000 | Retraction-Free Optimization over the Stiefel Manifold for the LoRA Fine-Tuning_supp1-3711595.pdf
[NO] 191/1000 | Language-4D Cross-Boosting for Generalized Zero-Shot 6DoF Tracking and 3D Reconstruction_supp1-3711593.pdf
[NO] 192/1000 | Benchmarking Evolutionary and Machine Learning Algorithms: The SIREN Challenge of Emergency Medical Services
[NO] 193/1000 | Digital Red Queen: Adversarial Program Evolution in Core War with LLMs
[NO] 194/1000 | Multi-Objective Evolution of Patch Tokens for Tabular Transformers
[NO] 195/1000 | Optimisation-Based Flexibility Management for EV Charging Hubs
[NO] 196/1000 | Enhancement by Forgery Detection of Multi-Party Secret Sharing Scheme Using Encoded Shares
[NO] 197/1000 | Behavioral Modeling of Common-Mode Chokes Based on Auto-Circuit Grey-Wolf Optimization
[NO] 198/1000 | Physics-Informed Neural Networks for High-Accuracy Fault Diagnosis in Energy Router
[NO] 199/1000 | Uncertainty in Broadband Shielding Effectiveness Measurements Using the Coaxial Line Method
[NO] 200/1000 | A Construction of Timed Automata to Model ISO/IEC 29110 Software Implementation (SI) Process
[NO] 201/1000 | Co-Creation and Urban Exploration: A Log-Based Comparison of Two In-the-Wild Deployments
[NO] 202/1000 | Agrivoltaic System Design under Feed-in Premium Considering Self-Consumption by Greenhouses
[NO] 203/1000 | CottonLeafVision: An Explainable and Robust Deep Learning Framework for Cotton Leaf Disease Classification
[NO] 204/1000 | Fairness-Aware Reallocation of Internal Exchanges in Energy Communities
[NO] 205/1000 | An Ultra-fast Hybrid DC Circuit Breaker Based on Natural Commutation of Arc Voltage
[NO] 206/1000 | A Trust-Aware Cloud Security Model Using GenAI and Reinforcement Learning
[NO] 207/1000 | Photovoltaic (PV) Module Product Safety/Certification Qualification: Standards Revision Impact
[NO] 208/1000 | Application and Effect of Reinforcement Learning Algorithms in Automatic Translation Quality Evaluation
[NO] 209/1000 | TDsReCAM: Time-Domain sensing for reliable ReRAM-based Content Addressable Memory
[NO] 210/1000 | Shadowing Effects in Radar Applications and Emc Related Probability Considerations
[NO] 211/1000 | Data-Driven Case-based Grid Segmentation for Local Flexibility Markets
[NO] 212/1000 | Vision Language Model-based Testing of Industrial Autonomous Mobile Robots
[YES] 213/1000 | CASCADE: LLM-powered JavaScript Deobfuscator at Google
[NO] 214/1000 | OpenDerisk: An Industrial Framework for AI-Driven SRE, with Design, Implementation, and Case Studies
[NO] 215/1000 | Why Advanced Encoders Lag on Sparse Retrieval? The Answer and an Approach to Bridging Vocabulary Gaps
[NO] 216/1000 | Beyond Unimodal Perspectives: Generative Retrieval with Multimodal Semantics
[NO] 217/1000 | Universal Item Tokenization for Transferable Generative Recommendation
[NO] 218/1000 | Hierarchical Cluster-based Open-World Graph Active Learning
[NO] 219/1000 | MLLMRec: A Preference Reasoning Paradigm with Graph Refinement for Multimodal Recommendation
[NO] 220/1000 | Simple Lambda Lifting: Formalisation in Lean and a new efficient algorithm
[NO] 221/1000 | Impact of Chatbot Role on Perceived Support in a Collaborative Problem-Solving Task
[NO] 222/1000 | PrivAuto: Practical Insights of On-Device Privacy-Preserving Agentic Systems for Mobile GUI Automation
[NO] 223/1000 | Virtual Avatars for Accessible Consumer Services: A Rapid Review of Design Patterns and Challenges
[NO] 224/1000 | Improving Interpretability of Cognitive Diagnosis Models with LLM-based Semantic Augmentation
[NO] 225/1000 | How Far Are We from Automatically Identifying Violations of the Data Minimization Principle in Privacy Policies?
[NO] 226/1000 | ERASE - A Real-World Aligned Benchmark for Unlearning in Recommender Systems
[NO] 227/1000 | GASP: GPU-Accelerated Shortest Path for Graph Analytics
[NO] 228/1000 | Towards Structurally Robust Cross-Device Federated Recommendation
[NO] 229/1000 | Inkly: A Data-Informed and Context-Aware System for HPC Job Execution
[NO] 230/1000 | GLANCED-IO: Taming I/O Optimization for Deep Learning at Scale
[NO] 231/1000 | An Integrated AI Based Framework for Regulatory Governance and Privacy-Preserving Data Protection in Enterprise Systems
[YES] 232/1000 | Use of GitHub Copilot Agent Mode for Automated Development in R&amp;D Data Engineering
[NO] 233/1000 | Subtracting the Norm: An Orthogonal Projection Framework for Weakly Supervised Video Anomaly Detection
[NO] 234/1000 | Consensus-Based Coordination of Customer Owned Energy Storage Systems for Local Grid Services
[NO] 235/1000 | Image-based and LiDAR BEV-based Representations for Object Detection under Real Adverse Weather Conditions
[NO] 236/1000 | Vision-based Hand Gesture Virtual Keyboard-Mouse framework with Bilingual Next-word prediction
[NO] 237/1000 | Micro-XRF-Based Enamel Mineral Analysis for Early Caries Detection
[YES] 238/1000 | Transistor-Level Morris Sensitivity Analysis for Variation-Aware Delay Optimization in CMOS Full Adder
[NO] 239/1000 | Energy Communities in Portugal: A Multi-Dimensional Assessment
[NO] 240/1000 | Predicting Alternating Conductive-Radiative Bands with a Full-Energy ULPC
[NO] 241/1000 | Design of Broadband Low-RCS Conical Beam Antenna Based on a PB-Phase Coding Metasurface
[NO] 242/1000 | Staged Curriculum Learning for Chromosome Detection in Data-Scarce Regimes: Enhancing Model Performance through Difficulty Scoring
[NO] 243/1000 | Robust Evolutionary Optimization for Demand-Balanced Railway Route Design
[NO] 244/1000 | Landscape-aware Automated Algorithm Design: An Efficient Framework for Real-world Optimization
[NO] 245/1000 | Robust State Estimation for Distribution Systems Based on Reinforcement-Learning-Assisted Memory-Augmented Deep Kalman Filter
[NO] 246/1000 | Additive Manufactured Millimeter-Wave Power Amplifier Package with Embedded Heat Spreader
[NO] 247/1000 | Impact of Dynamic Electricity Pricing on CostOptimal Dimensioning of Building Energy Systems
[NO] 248/1000 | Integrated and Scalable Multimodal Sensing for Exteroception and Proprioception in Soft Robotic Ciliary Arrays_supp1-3711868.mp4
[NO] 249/1000 | AdaGuard: Location-Aware Adaptive Defense against Adversarial Patch Attacks in Vision Transformers_supp1-3710546.pdf
[NO] 250/1000 | Multi-Modal Beamforming with Model Compression and Modality Generation for V2X Networks
[NO] 251/1000 | Enforcing Mixed State-Input Constraints with Multiple Backup Control Barrier Functions: A Projection-based Approach
[NO] 252/1000 | Adaptive Shared Autonomy with Haptic Feedback for Multi-DoF Robot Swarm Control
[NO] 253/1000 | A De-stylized Expanded Domain Sample Generation Network for Hyperspectral Image Cross-Domain Classification
[NO] 254/1000 | Novel Holonomic Driving Wheel Mechanism for Omnidirectional Motion in Two-Wheeled Robots
[NO] 255/1000 | Economic Penalty for Unfulfilled Delivery in the Norwegian mFRR Energy Activation Market
[NO] 256/1000 | Electromagnetic Leakage Characterization of Brushless DC Motor Modules in Unmanned Aerial Vehicles
[NO] 257/1000 | Vision Transformers and Convolutional Neural Networks for Global Context Modeling in Fibrous Root Segmentation
[NO] 258/1000 | Capacity expansion prospects of small modular light water reactors for electricity and district heat production in Europe
[NO] 259/1000 | Introduction to Post Quantum Cryptography for Resource Constrained Systems
[NO] 260/1000 | Label-Flipping Poisoning Attack Against ML-Based NIDS: A Comparative Analysis
[NO] 261/1000 | PhishBlock: Real-Time Phishing Detection Browser Extension with Monitoring System Using Hybrid Datasets Machine Learning Models
[NO] 262/1000 | PIC-Thai: Morphologically-Aware Dynamic Chunking for Semantic Integrity in Thai Retrieval-Augmented Generation
[NO] 263/1000 | Social Acceptance of Vehicle-to-Grid Systems: Evidence From Finland
[NO] 264/1000 | Robust Multi-Market Dispatch for Battery Energy Storage Systems under Uncertainty
[YES] 265/1000 | Path Delay Fault Testable KFDD Circuits with Polynomial Test Pattern Generation
[NO] 266/1000 | V2X in the Nordics: Key values and key value indicators
[NO] 267/1000 | A Robust AI Based Approach for Real Time Financial Fraud Detection and Prevention in Digital Banking
[NO] 268/1000 | Intelligent Screening of Chronic Kidney Disease from Clinical Biomarkers: A Dimensionality-Aware Ensemble Approach
[NO] 269/1000 | A Chest-Mounted Edge AI Assistant for Peripersonal Navigation and Real-Time Caregiver Telemetry
[NO] 270/1000 | A Compact K-Band Reconfigurable Pixel Antenna Enabled by a Voltage-Controlled Graphene Attenuator
[NO] 271/1000 | An Offline NLP-Driven Embedded First-Aid Assistance and Automated Medical Dispensing System
[NO] 272/1000 | Integrating Mobility and Energy Systems: Economic and Environmental Assessment of Vehicle-to-Grid Technologies
[NO] 273/1000 | Impact of Feeding Topology on Modal Purity in a UCA-Based OAM Array
[NO] 274/1000 | The impact of data exchange between energy communities and energy suppliers on imbalance costs
[NO] 275/1000 | Intelligent Multi-Agent Orchestration Framework for Enterprise Financial Systems
[NO] 276/1000 | Adjoint-Based Inverse Design and Experimental Demonstration of Near-Field Focusing Structures for Beam Control Applications
[NO] 277/1000 | A Novel Convolutional Neural Network for Near-Field Spatial Resolution Enhancement
[NO] 278/1000 | Adaptive Network for Emergency Situations
[NO] 279/1000 | Robust Voltage Control in Transmission Grids Considering Intraday Forecast Uncertainties
[NO] 280/1000 | Wideband Impedance Prediction of Single-Layer Common-Mode Chokes Using Resonance-Frequency-Aware Neural Network
[NO] 281/1000 | Techno-Economic Analysis of Factory Energy Management with Market Price Spread between Electricity and Gas under Take-or-Pay Contract
[NO] 282/1000 | Electromagnetic Radiated Power from Wearable Electronics in a Reverberation Chamber
[NO] 283/1000 | Thai-Duplex-Bench: Evaluating Conversational Dynamics and Role Adherence in Thai Full-Duplex Speech Models
[YES] 284/1000 | RovoDev Code Reviewer: A Large-Scale Online Evaluation of LLM-based Code Review Automation at Atlassian
[NO] 285/1000 | Empirical Evaluation of PDF Parsing and Chunking for Financial Question Answering with RAG
[NO] 286/1000 | RILKOSAN: Holistic Resilient Communication System for Industrial Environments
[YES] 287/1000 | From Open Source to Silicon: Reptiles and the Journey with Open Hardware Tape-Outs
[NO] 288/1000 | Towards Human-in-the-loop User Interface Adaptation with Reinforcement Learning
[NO] 289/1000 | Evolving Robust Schedules: Advantages of Genetic Algorithms for FJSSP-W under Uncertainties
[NO] 290/1000 | When Switching Algorithms Helps: A Theoretical Study of Online Algorithm Selection
[NO] 291/1000 | The hop-like problem nature -- unveiling and modelling new features of real-world problems
[NO] 292/1000 | The Precarity of Trust: Understanding Tensions in Information Systems for Humanitarian De-Mining in Rural Colombia
[NO] 293/1000 | CRED: Calibrated Relational Enhanced Distillation for LLM-Based Pointwise Reranking
[NO] 294/1000 | Code-Based English Models Reveal Surprising Performance on Chinese QA Pair Extraction Task
[NO] 295/1000 | NERBench-Chhattisgarh: A Multi-Family NER Dataset for Low-Resource Indic Languages
[NO] 296/1000 | Reinforcing User Interest Evolution in Multi-Scenario Learning for recommender systems
[NO] 297/1000 | Cheaper is Better: A Discount-Aware Network for Conversion Rate Prediction in E-commerce Recommendation System
[NO] 298/1000 | Understanding and Modeling Heterogeneous Search Behavior
[NO] 299/1000 | Extending the Step-by-Step HHL Algorithm Walkthrough: Advanced Concepts for Practical Quantum Computing Applications
[NO] 300/1000 | Online Generation of Collision-Free Trajectories in Dynamic Environments_supp4-3711837.txt
[NO] 301/1000 | CoLA-Flow Policy: Temporally Coherent Imitation Learning Via Continuous Latent Action Flow Matching for Robotic Manipulation_supp1-3710367.mp4
[NO] 302/1000 | Prioritized Motion Control Robust to Actuator Failure for Hovering-Type AUVs using INDI-QP_supp1-3711829.mp4
[NO] 303/1000 | Impedance Matching of Time-Variant Transponders
[NO] 304/1000 | Lyapunov-Guided Learning for AoI Minimization in Wireless-Powered NOMA Sensor Networks_supp1-3709543.pdf
[NO] 305/1000 | An Adaptive Physics-Guided Ensemble Learning Framework for Dynamic Object Detection
[NO] 306/1000 | Enhancing Networking Efficiency via PCIe over Optical Fibre Communications in Optical Data Centers
[NO] 307/1000 | Real-Time Detection and Localization of Inter-Turn Short Circuits in Six-Phase PMSMs with Insulation Aging Analysis
[NO] 308/1000 | PFC-Based Output-Feedback Adaptive Control for Heterogeneous Nonlinear Multi-Agent Systems
[NO] 309/1000 | Mitigating Generator Bias in Low-Participation Model-Heterogeneous Federated Learning
[NO] 310/1000 | Labeled RFS Filters Improvements Using Measurements of Doppler Frequency
[NO] 311/1000 | Understanding Concept Drift with Deprecated Permissions in Android Malware Detection_supp1-3682216.pdf
[NO] 312/1000 | 2026 Asia-Pacific International Symposium and Exhibition on Electromagnetic Compatibility (APEMC)
[NO] 313/1000 | 2026 16th International Conference on Communications (COMM)
[NO] 314/1000 | COMM 2026 List Reviewer Page
[YES] 315/1000 | Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization in Microservices
[YES] 316/1000 | AI Where It Matters: Where, Why, and How Developers Want AI Support in Daily Work
[NO] 317/1000 | Key aspects of end-user engagement for provision of operational flexibility
[NO] 318/1000 | HADES: Height-Aware Automated Delivery and Ejection System for UAV-Deployed Payload and Counter-UAV Support
