[2026-08-13 22:40:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[NO] 247/1805 | Remote Sensing and Machine Learning-Based Analysis of Land Use and Vegetation Change in Dhaka District, Bangladesh
[NO] 248/1805 | AFDM-ISAC With Fractional Delay-Doppler Coupling
[NO] 249/1805 | Latent variable models for simultaneous EOV identification and removal in population-based SHM
[NO] 250/1805 | Perfect State Transfer on Oriented Circulant Graphs: A Complete Classification
[NO] 251/1805 | Variational Principles and Rearrangement Inequalities for asymmetric Operators on Periodic Lattices
[NO] 252/1805 | Modules over the Takiff Block type Lie algebra
[NO] 253/1805 | Universality in the deswelling of tangentially active polymer chains in dilute solutions
[NO] 254/1805 | TESLA: Taylor Expansion of Sinusoidal Learnable Activations
[NO] 255/1805 | Blandford-Znajek Scaling in a Power-Law Rotating Kalb-Ramond Geometry: Magnetic-Flux Systematics and Bayesian Identifiability
[NO] 256/1805 | New constraints on the binary system HD 327083 and its gaseous and dusty environments
[NO] 257/1805 | An improved bond-associated peridynamic model and its adaptive coupling with CCM for fracture analysis
[NO] 258/1805 | Surfsvr: 2D Surface Priors as 3D Geometric Regularizers for Sparse Voxel Reconstruction
[NO] 259/1805 | Twitter and disability activism: leadership and relevant topics in the online conversation
[NO] 260/1805 | LODESTAR: Trustworthy Entropy Is Navigated, Not Merely Measured -- Reinforced Polarizer Keeps a Frozen LLM from Being Confidently Misled by the Wrong Evidence
[NO] 261/1805 | Products of Two Integers Avoiding Perfect Powers
[NO] 262/1805 | HarmoniDPO: Video-guided Audio Generation via Preference-Optimized Diffusion
[NO] 263/1805 | Disentangling the Expressivity of RoPE
[NO] 264/1805 | Do You See What You Draw? A Semantic Closed-Loop Framework for Holistic Evaluation of Unified Multimodal Models
[NO] 265/1805 | End-to-End Modelling of Earthquake-Induced Polarisation Perturbations in Submarine Optical Fibres
[NO] 266/1805 | Do Text-to-Music Models Really Follow Instructions? A Counterfactual Evaluation of Key and Beat Grouping
[NO] 267/1805 | Continuous Linear Surjections from $C_p(X)$ onto Symmetric Sequence Ideals in $c_0$
[NO] 268/1805 | The optimization landscape of peaked-circuit generation
[NO] 269/1805 | Bivariate quaternionic factorizations and surfaces that decompose into two circles
[NO] 270/1805 | D3D-GEN: Robot-Aware Domain-Grounded Interactive 3D World Generation for Social Robotics
[NO] 271/1805 | Self-similar Delone sets and Pisot numbers
[NO] 272/1805 | Two-Stage Deformable-Convolutional Inverse Design of Nanophotonic Absorbers from Optical Spectra
[NO] 273/1805 | Taiji Resolving Power for the Transverse Scalar Mode of Gravitational Waves
[NO] 274/1805 | BoltNet: An Ultra-Lightweight Convolutional Network for On-Device Plant Species Identification
[NO] 275/1805 | Air Quality Station Simulation via LSTM and Attention-Based Modelling
[NO] 276/1805 | TD-VAD: Breaking Visual Dependence in Video Anomaly Detection with Text-Driven Learning
[NO] 277/1805 | Pure-swirl loss of boundedness under $L^1_tL^2_x$ forcing: exact mixed-norm ranges
[NO] 278/1805 | Ward identities: a geometric point of view and applications
[NO] 279/1805 | Poisson Tangent Limits and Critical Policy Switching for Sampled Bellman Operators
[NO] 280/1805 | Towards Scalable Fuzzy PSI via Efficient Fuzzy Matching
[NO] 281/1805 | Contour Hankel dynamics and indicator fields for the Riemann $Ξ$-function
[NO] 282/1805 | Predicting Functions, Not Features: KANs with Function-Space Joint-Embedding Predictive Learning for Medical Image Segmentation
[NO] 283/1805 | Confinement transitions in half-space constrained Riesz gases
[NO] 284/1805 | Average hitting times and recurrence structures II: Cartesian products of powers of cycles and regular graphs
[NO] 285/1805 | DreamFly: Causal Memory and Receding-Horizon Diffusion Planning for Aerial Vision-Language Navigation
[NO] 286/1805 | Structural Silence: When AI Infrastructure Fails Speakers of Underrepresented Languages
[NO] 287/1805 | Variable Exponent Regularity via Muckenhoupt Condition
[NO] 288/1805 | Quasisymmetric universality, quasi-isometric classification and topological rigidity of Kleinian groups
[NO] 289/1805 | LazyTrain: Limited-resource Allocation toward Zero-waste Yield Optimization in Large Language Model Training
[NO] 290/1805 | Emergent scalar field dynamics in a cosmological spacetime from GFT quantum gravity
[NO] 291/1805 | On-Shell Amplitudes and Black-Hole Perturbations: Exact Reissner-Nordström Mixing
[NO] 292/1805 | RoadWeaver: Large-Scale Lane-Level HD Map Generation from Scratch for Autonomous Driving Simulation
[NO] 293/1805 | Interface phases and dynamics in two-dimensional quantum magnets: A "holographic" approach from universality to quantum simulation
[NO] 294/1805 | From Safety Documentation to Safety Knowledge Support: An Evidence-Grounded LLM Framework for Medical Devices
[NO] 295/1805 | The Min-Rains Relative Entropy Is Not Tight for Exact PPT Entanglement Distillation
[NO] 296/1805 | Transferable Above-Ground Biomass (AGB) Estimation Model from Multi-Sensor Data with Sparse Field Calibration
[NO] 297/1805 | Token-Level Credit Assignment Optimization for Generative Document Retrieval
[NO] 298/1805 | Superharmonicity of the fractional ground state
[NO] 299/1805 | Spin nematic liquid crystal and scalar spin chirality in tetragonal lattice YbMnBi$_2$
[NO] 300/1805 | Excited states of $^{148}$Nd studied via the $^{150}$Nd$(p,t){}^{148}$Nd reaction and the observation of possible low-spin two-phonon octupole states at $N=88$
[NO] 301/1805 | Existence and non-existence results for a fractional Lane-Emden equation with nonlocal Neumann conditions
[NO] 302/1805 | LIGO A$^\sharp$: Detector Design and Science Prospects Beyond A+
[NO] 303/1805 | Sparse spanning $k$-strong oriented subdigraphs in split digraphs
[NO] 304/1805 | Kernel Methods for Learning Operators with Multiple Inputs and Outputs
[NO] 305/1805 | Double Yangian and reflection algebras of the Lie superalgebra $\mathfrak{gl}_{M|N}$, II: Quantum currents
[NO] 306/1805 | The $D^Δ$-pair biset category
[NO] 307/1805 | Topology-Preserving Meshing of Implicit Scalar Fields via Monotonicity Constraints
[NO] 308/1805 | Hybrid Gated Attention
[NO] 309/1805 | MiDashengLM-Gen: Unified Audio Scene Generation via LLM-Driven Autoregressive Flow Matching
[YES] 310/1805 | Towards Model-based Run-time Cybersecurity: On Control-Flow Anomaly Detection, Attack Identification, and Hardware Monitoring
[NO] 311/1805 | TradingMoE: Routing the Right Experts in Evolving Markets
[NO] 312/1805 | Antibunching Enhancement via Non-Markovianity in a Hybrid Optical-Microwave Cross-Cavity
[NO] 313/1805 | HyperANFIS: Enhancing Rule Representation and Interpretability in Adaptive Neuro-Fuzzy Systems via Hyperbolic Geometry
[NO] 314/1805 | Automated binary classification of hazelnut X-ray images: A deep-learning benchmark for quality assessment
[NO] 315/1805 | LabelFusion-TS: Fusing Large Language Models, Transformer Encoders, and Financial Time Series for Monetary-Policy Stance Classification
[NO] 316/1805 | MOON: Multi-Objective OrthoNormalized Updates for Multitask Learning
[NO] 317/1805 | Artin algebras of small representation bound
[YES] 318/1805 | Ripple-Pivot Search: Active Parallel Decoding for Diffusion Large Language Models
[NO] 319/1805 | Quantum mixing for eigenfunctions of rational polygons in configuration space
[NO] 320/1805 | Deep-Learning-Accelerated Dopant Selection for High-k HfO2 Dielectrics: A Disorder-Resolved Study of Y, Si and Al
[NO] 321/1805 | Scalar Finite-Proper-Time Field Theory as Spectral Operator Calculus
[NO] 322/1805 | Chain-of-Thought Shows the Path to a Tree: Realizing Branching Complexity
[NO] 323/1805 | When the API Speaks the Wrong Language: Revisiting Post-Training for Multilingual Tool Use
[NO] 324/1805 | Quantum Channel-Induced Geometry of the Uhlmann Phase in Qubit Systems
[NO] 325/1805 | Consolidator: Learning Persistent Routed Memory Across Context Boundaries
[NO] 326/1805 | LEMUR: Latent Entropy-aware Multimodal Unlearning via Visual-anchored Reasoning Redirection
[NO] 327/1805 | Drift and Dependence: Layer-wise Information-Theoretic Bounds for Replay-Based Continual Learning
[NO] 328/1805 | First-principles cumulant approach to the vibronic structure of spin defects
[NO] 329/1805 | A Proof of a Conjecture on Fixed Perimeter Partitions
[NO] 330/1805 | A Solution to the Roommate Problem
[NO] 331/1805 | A statistical theory of graph regularization for RNA velocity near developmental bifurcations
[NO] 332/1805 | Rubric Dropout: A Simple Way to Mitigate Reward Hacking in Rubric-as-Reward RL
[NO] 333/1805 | Twenty-Five Years of Air Quality in Bangladesh: Trends, Seasonality, and Spatial Pollution Regimes
[NO] 334/1805 | A Frequency-Space Terahertz Transceiver Chip for Multi-Agent Communications and Spatial Awareness
[NO] 335/1805 | A Quantum/Classical Example Oracle Separation for Making Things Up
[NO] 336/1805 | The Dirac Information Carrier for Relativistic Quantum Computation
[NO] 337/1805 | Hybrid-LUT: Channel-Aware Hybrid Lookup Table and Filtering for Efficient Image Denoising
[NO] 338/1805 | Energy-Aware Wind-Resilient Routing for Truck-Assisted Multi-UAV Delivery under Wind Uncertainty
[NO] 339/1805 | Reverse Migration of Cloud Applications to On-premises
[NO] 340/1805 | Towards Terabit/$λ$/s Multidimensional Silicon Photonic Engine
[NO] 341/1805 | Construction and Periodicity of Minimal Resolution Graphs of Suspension Singularities
[NO] 342/1805 | Reconstructive AI Spectroscopy of Charged Particle Beams
[NO] 343/1805 | Constraints on ultralight bosons from merging binary and remnant black holes observed during the second and third parts of the fourth LIGO-Virgo-KAGRA observing run
[NO] 344/1805 | Generative Video Compression Based on Hierarchical Referencing
[NO] 345/1805 | Upper bound for the moment of shifted values of cubic $L$-functions over function fields
[NO] 346/1805 | IoT-Enabled Autonomous Maritime Navigation in Smart Ports: A Curriculum-Guided Shared Policy Learning Framework
[NO] 347/1805 | Video2Track: From Real-World Interaction Videos to Steerable Adversarial Closed-Track Testing for Automated Driving Systems
[NO] 348/1805 | CookVoice: Unified Framework for Style Controllable Multi-Modal Human Voice Generation
[NO] 349/1805 | CoAdapt-GUI: Joint Workflow Context and Policy Adaptation for Unseen GUI Applications
[NO] 350/1805 | Scopes equivalence for blocks of Ariki-Koike algebras
[NO] 351/1805 | Sparse and robust geometric twin support vector machine via asymmetric RoBoSS loss function
[NO] 352/1805 | Repurposing RGB-based Foundation Model for Depth Estimation on Thermal Images Using Hierarchical Supervision
[NO] 353/1805 | Enhancing the power of a quantum heat engine via control of the system--reservoir coupling
[NO] 354/1805 | Greedy approaches for Gold Grabbing on subclasses of split graphs
[NO] 355/1805 | Duality formulas for $\widehat{\mathcal{Q}}$-multiple zeta values
[NO] 356/1805 | Search and Rescue on the Plane
[NO] 357/1805 | Clustered Randomized Smoothing for Stochastic Prediction Functions
[NO] 358/1805 | Mechanist: AI as a Scientific Instrument for Discovering the Mechanisms of Intelligence
[NO] 359/1805 | Term structure shapes in the Hull-White model with Svensson-parameterized initial yield curves
[NO] 360/1805 | Asymptotic Risk Calibration for Selective Question Answering
[NO] 361/1805 | Dual-Model Sentiment Analysis of Consumer Reviews in the Retail Coffee Sector Using Machine Learning and Deep Learning Approaches
[NO] 362/1805 | HCGRec: Hint-Conditioned Generative Recommendation with Semantic IDs
[NO] 363/1805 | Deep MUSE observations of SNR 0509-67.5 reveal a double degenerate merger progenitor
[NO] 364/1805 | Standard morphisms and Pythagorean triples
[NO] 365/1805 | Ideal heat engine cycles at maximal efficiency -- the ideal gas and beyond
[NO] 366/1805 | Causal inference for group-contaminated structured outcomes: observable quotients, lossless reduction and exact randomization inference
[NO] 367/1805 | Carrollian Dictionary for Massive Particles at Null Infinity
[NO] 368/1805 | Dual Anchors, Do It Better: Hierarchical Group Merging for Zero-Shot Anomaly Detection
[NO] 369/1805 | Nonlinear parabolic characterizations of stochastic completeness at infinity on weighted graphs
[NO] 370/1805 | Nonisomorphic Graphs Can Share an Arbitrarily Large Fraction of Their Vertex-Deleted Cards
[NO] 371/1805 | Disaster Information Reachability of Medium-Wave AM Broadcasting as a Wide-Area Disaster Information Infrastructure: Lessons from the 2024 Noto Peninsula Earthquake
[NO] 372/1805 | Positive quadrature and mobile sampling of multivariate trigonometric polynomials
[NO] 373/1805 | Comparative Analysis of Low-Rank Adaptation in Large Language Models versus Dense Embedding Regression for Headline Click-Through Rate Prediction
[NO] 374/1805 | Magneto-optical magnetoelectric voltage sensor
[NO] 375/1805 | On-Policy Self-Distillation for Multi-Dialect ASR: Mastering Dialects, Retaining Mandarin
[NO] 376/1805 | First and Comprehensive Study of V0757 Pup : $γ-$Doradus Pulsator in Detached Eclipsing Binary
[NO] 377/1805 | Notes on $K^{\infty}
[NO] 378/1805 | Fast eight-order Pade schemes based on Chebyshev polynomials for direct Zakharov-Shabat problem
[YES] 379/1805 | Testing Deep Learning Library APIs via Cross-Framework Differential Fuzzing
[NO] 380/1805 | Chemical Tracers for 3D Atmospheric Asymmetries on WASP-69 b
[NO] 381/1805 | Power Stability of Finitely Generated Dynamical Frames for Positive Operators
[NO] 382/1805 | DCM Bandits: Multiplayer Information Asymmetric Cascading Bandits for Multiple Clicks
[NO] 383/1805 | Equalities among simplest quartic fields: a complete classification
[NO] 384/1805 | Effect of Weak Non-Conservative Dynamics on Pattern Formation in Scalar Active Matter
[NO] 385/1805 | On Arithmetic Cordial Labeling of Product Graphs
[NO] 386/1805 | Enabling Differentiated QoS Degradation for Replicated Databases under Failures
[YES] 387/1805 | Inferring Empirical Sound Resource Bounds via Symbolic Execution and Linear Programming (Extended Version)
[NO] 388/1805 | Optically Tunable Threshold Switching and Thermally Activated Transport in Planar Ag/MAPbI$_3$ Thin Single-Crystal Devices
[NO] 389/1805 | Vishveshwara's waveform revisited: insights from a Keldysh quasinormal mode expansion
[NO] 390/1805 | Quantum Inequalities from the Second Law
[NO] 391/1805 | How China-Origin Vision-Language Models Move from Refusal to Reframing in State Alignment
[NO] 392/1805 | Continuous-variable state moments from randomized homodyne and heterodyne measurements
[NO] 393/1805 | A Proof of Gluck's Conjecture
[NO] 394/1805 | Keep the Future, Drop the Rollout: RIFT for World Action Models
[NO] 395/1805 | Trapping Sets of Detector Error Models
[NO] 396/1805 | Through Van Gogh's Eyes: Global Style Transfer with Diffusion Mod
[NO] 397/1805 | A solution to Butler's positivity conjecture
[NO] 398/1805 | Player Perceptions of Generative AI in Games: A Steam Review Analysis
[NO] 399/1805 | Temporal Coupled-Mode Theory for Quantum-Confined Stark Tuning of Intersubband-Polaritonic Metasurfaces
[NO] 400/1805 | Testing the EPYC Conjecture on Real Hardware: MoA-Guided Dense Matrix Multiplication on NCSA Delta (AMD EPYC 7763 Milan)
[NO] 401/1805 | Relativistic Dirac-Coulomb-Breit Four-Component Multireference Perturbation Theory within the Small Tensor Product Distributed Active Space Framework
[NO] 402/1805 | Group Alignment-Induced Sycophancy: A Two-Sided Evaluation of Steerable Pluralistic Alignment
[NO] 403/1805 | One Frozen Simulator Is Not Enough: Simulator Collapse in Multi-Agent RL
[NO] 404/1805 | Regime-Gated Residual Mixture-of-Experts for Cross-Sectional Volatility Forecasting
[NO] 405/1805 | Isospectral majorization and isoperimetric inequalities for coherent states on the Bloch sphere
[NO] 406/1805 | A sharp bound on spacetime distance from quantum entanglement
[NO] 407/1805 | Random close packing at extreme size ratios with an Adam-based inflation protocol
[NO] 408/1805 | Apnea Burden-Guided Framework: Enhancing Out-of-Distribution Generalization in PPG-Based Sleep Apnea Characterization
[NO] 409/1805 | Lossy Compression, Realism, and Coordination
[NO] 410/1805 | Electron transport in a 1.6~nm-thick double-gated (100) silicon nanosheet: A theoretical study accounting for phonon confinement and remote-phonon scattering
[NO] 411/1805 | A Sharp Four-Layer Theorem for Integer-Occupied Slices of a Planar Disk-Slab
[NO] 412/1805 | A 2D Hydrothermodynamic Analytical Model for Rapid Tumor Ablation using High-Intensity Focused Ultrasound
[NO] 413/1805 | K3 atoms of the cubic fourfold and the BPS structure of the Painlevé I determinant line
[NO] 414/1805 | Making Collaborative Signals Count: Graph-Aware Large Language Models for Sequential Recommendation
[NO] 415/1805 | The $D^*D^*π$ and $B^*B^*π$ couplings from light-cone sum rules
[NO] 416/1805 | Map-Det3D: Metric Feed-Forward 3D Reconstruction Prior for Multi-view 3D Object Detection from Streaming Inputs
[NO] 417/1805 | TGRHuman: Text-Guided Realistic 3D Human Generation via Diffusion Renderer
[NO] 418/1805 | Context Blindness in DPO: Mitigating Object Hallucination in MLLMs via Context-Calibrated Preference Optimization
[NO] 419/1805 | The Shape of the Vertical Action Distribution Locates the Scatterers that Heat the Galactic Disc
[NO] 420/1805 | Who Thinks Best Depends on How Long You Let Them: Budget-Dependent Rankings in LLM Evaluation
[NO] 421/1805 | Robustness over efficiency in climate coalitions: a bistable model and a map of architectures
[NO] 422/1805 | Why There is No Memory Burden in Holographic Space-time Models of Black Hole Formation and Evaporation
[NO] 423/1805 | Adversarial Resilience of Poisson-Process Submodular Maximization over Matroids: From Robust Offline Optimization to Full-Bandit Learning
[NO] 424/1805 | Sharp instability of planar isotropic--nematic interfaces in the Landau--de Gennes model
[NO] 425/1805 | Do LLMs Take Care of Their Own? Similarity Signals Can Induce Cooperation
[NO] 426/1805 | QV-PIC: Query-Aware Visual Position-Independent Caching for Efficient RAG Serving
[NO] 427/1805 | Quasi-real photons as a probe of exotic nuclei
[NO] 428/1805 | Well-posedness and passivity for a class of bilinear control systems
[NO] 429/1805 | Updates to WFC3/UVIS Encircled Energy Values in Select Filters
[NO] 430/1805 | On the symplectic forms of Groechenig's Higgs moduli over an elliptic curve
[NO] 431/1805 | Word-Length Spectral Triples of $(\mathbb{Z}/2\mathbb{Z})\wr\mathbb{F}_{d}$ Are Not Metric
[NO] 432/1805 | Classification of products of Fano varieties with Picard number one
[NO] 433/1805 | Competitive Analysis of Stock-based Thresholds via Prophet Inequalities in Continuous Time
[NO] 434/1805 | On Hypergraph Representation of Multipartite Quantum Systems
[NO] 435/1805 | Reconfiguring Geovisualization in the Age of Generative AI: Insights from Domain Experts
[NO] 436/1805 | Quantum-limited imaging using diffractive optical neural networks
[NO] 437/1805 | Finite-depth scaling and an exact Bernoulli-leaf identity for the min-plus process on the binary tree
[NO] 438/1805 | Teaching a Large Language Model Tutor to Withhold the Answer: A Supervisor Architecture and an Evidence-Driven Method for Tuning Socratic Behavior
[NO] 439/1805 | Beyond Trial-and-Error: Agentic Optimization for Image-to-Video Adherence
[NO] 440/1805 | Revisiting Safe Temperature for Environmental Accelerated Aging of Additively Manufactured Polymers
[NO] 441/1805 | PatternFormer: Learning Multiple Solution Patterns in Reaction--Diffusion Systems
[NO] 442/1805 | Oil price shocks reveal unequal capacities for mobility adaptation
[YES] 443/1805 | An Extended Tutorial and Vocabulary for Relational Language Design in an Era of AI-Assisted Query Generation
[NO] 444/1805 | A Cascaded Unsupervised-Supervised NLP Pipeline for Detecting Accusatory Language in Public Procurement
[NO] 445/1805 | Completeness properties of the space of quasicontinuous functions
[NO] 446/1805 | Near optimal three-fold additive energy bound for points on convex curves
[NO] 447/1805 | Redistribution-based Cost Inference Improves Sparse Safe Offline RL
[NO] 448/1805 | Process-fracture mapping of a DLP-printed photopolymer using Bayesian active learning and surrogate-based sensitivity analysis
[NO] 449/1805 | RECAST: A Machine-Learning Framework for Correction and Super-Resolution of Coarse-Grid PDE Solvers
[NO] 450/1805 | Non-unitary Haagerup-like TQFTs and RCFTs from generalized S-fold SCFTs
[NO] 451/1805 | UniSwap: Streaming Audio-Visual Identity Swapping for Talking Videos
[NO] 452/1805 | Efficient Quantum Modular Reduction: Crandall reduction and its Fault-tolerant resource analysis
[YES] 453/1805 | SCOPE-Router: Cost-Aware Open-Set VLM Routing for Execution-Oriented Tasks
[NO] 454/1805 | Beam Routing through Excitons in Transition Metal Dichalcogenide Monolayers
[NO] 455/1805 | Robustness of the primordial power spectrum in hybrid loop quantum cosmology to approximations near the bounce
[NO] 456/1805 | Design of monolithic microcavities for enhancing organic quantum emitters
[NO] 457/1805 | Scalable Multi-Agent Maze Traversal with Local Communication
[NO] 458/1805 | Uncertainty-Aware Probabilistic Constrained Clustering from Entangled Pairwise Supervision
[NO] 459/1805 | Scattering Theory For 3D Cubic Damped Magnetic Schrödinger Equation
[NO] 460/1805 | Dion3: Full-Stack Orthogonal Updates
[NO] 461/1805 | No compromise in the liquid drop model
[YES] 462/1805 | Towards Automated Domain Model Extraction from Source Code using Heuristics and Open-Source LLMs
[NO] 463/1805 | PolarSym: Polar Geometry-aware Attention for CAD Floorplan Parsing
[NO] 464/1805 | Beyond Single-Turn Confidence: Trajectory-Adapted Uncertainty Quantification for LLM Agents
[NO] 465/1805 | Analytically Corrected Bayesian Modularization for Local Item Calibration
[NO] 466/1805 | CoQui: A Coordinate-Conditioned Quantum Implicit Generative Adversarial Network for End-to-End Image Generation
[NO] 467/1805 | DLESyM-Ocean: A Deep Learning Probabilistic Global Model for Simulating Present-Day Upper Ocean and Sea Ice
[NO] 468/1805 | AVA-Encoder: Towards Agent-Native Video Representation Learning
[NO] 469/1805 | Measurement of the $\bar ν_μ-$Hydrogen Charged-Current Quasi-Elastic Cross Section using the NOvA Near Detector
[NO] 470/1805 | Discovery of 27 new Rotating Radio Transients by MeerTRAP
[NO] 471/1805 | Whirliness beyond amenability
[NO] 472/1805 | Fine-Tuning Generative Models for Extreme Events via CVaR-Penalized Wasserstein Gradient Flows
[NO] 473/1805 | A note on the real Jacobian conjecture in degree 7
[NO] 474/1805 | Wormhole Geometry from a Magnetic Vortex
[NO] 475/1805 | PACE-SIMS: Checkpoint-Gated Autonomous SIMS Characterization with AI-Agent Quality Control
[NO] 476/1805 | Convergent Detour Hijacking: Task-Preserving Resource Amplification in Skill-Based LLM Agents
[NO] 477/1805 | Logarithmic intermittency of the critical 2D SHF
[NO] 478/1805 | A Unified Quantum Interferometric Framework for Interaction-Free Measurement and Delayed-Choice Experiments
[NO] 479/1805 | Exact solution for stationary states of a closed memristor with mobile charged vacancies
[NO] 480/1805 | Conditional dependence and Scrooge ensembles in shallow random quantum circuits
[YES] 481/1805 | An Agentic Workflow for Legacy HPC Modernization: Converting the Two-Electron-Integral Core of GAMESS
[YES] 482/1805 | VICBench: A Multi-Language Benchmark for Code Vulnerability Detection
[NO] 483/1805 | Goos-Hanchen-Shift Photonic Sensor for Nanometer-Scale Delayering and Tamper Detection in Semiconductor Packages
[NO] 484/1805 | Aspects of Carrollian field theory from holography
[NO] 485/1805 | Limits of Amao multiplicities and Epsilon multiplicity
[NO] 486/1805 | Capability-Adaptive Cryptanalysis with Reduced-Space Quantum Verification
[NO] 487/1805 | Model-independent measurement of the transversity amplitudes of the $B^0\to K^{*0}μ^+μ^-$ decay
[NO] 488/1805 | Generation as Auxiliary Supervision: Enhancing Visual Understanding at Zero Inference Overhead via Decoupled Embedding Prediction
[NO] 489/1805 | Deciding Amalgamation Beyond Arity Two: The Semantic Horn Case
[NO] 490/1805 | GeoFlow: Efficient Driving Video Generation via Geometry-Aligned Priors
[NO] 491/1805 | Impact of perturbative tensor interactions on the spontaneous fission half-lives of superheavy nuclei
[NO] 492/1805 | Machine Learning-Based Cyber Defense for Cloud Infrastructure: An Adaptive Deep Q-Network Architecture for Intelligent Intrusion Detection and Automated Threat Mitigation
[NO] 493/1805 | HSTGFormer: Hyper Spatial-Temporal Graph Transformer for 3D Human Pose Estimation
[NO] 494/1805 | Spectral phase transitions in Gaussian multi-index models
[NO] 495/1805 | Impact of Neutrino Flavour Conversion on the Diffuse Neutrino Background from Neutrino-dominated Accretion Flows
[NO] 496/1805 | Rethinking Agent Security as a Networking Problem
[NO] 497/1805 | Reducing Spectral Oscillations for Robust Reference Frequency-Based Ultrasound Attenuation Estimation in Harmonic Imaging
[NO] 498/1805 | Effects of Tool Wear on the Surface Texture in Turning: A Feature Characterization Approach Based on ISO 21920-2
[NO] 499/1805 | The Optimal Discounting Parameter of the Power Prior under Predictive Log-Loss
[NO] 500/1805 | A corpus-specific clinical RAG system matches or outperforms newer frontier LLMs on HealthBench
[NO] 501/1805 | Voltage-to-temperature calibration of the High Altitude THz Solar telescope acquisition system
[NO] 502/1805 | The effect of galaxy interactions on star formation rates in the COLIBRE simulations
[NO] 503/1805 | Two Relaxations of the Dominating Hadwiger's Conjecture
[NO] 504/1805 | CIBER $\times$ galaxy cross-correlations reveal a bright, low-redshift NIR background
[NO] 505/1805 | Beyond Parameter Space: NTK-Guided Personalized Aggregation for Robust Federated Learning
[NO] 506/1805 | No One to Blame: A Framework of Constitutive AI Unaccountability
[NO] 507/1805 | Photon emission from rotating plasmas: a generalized McLerran-Toimela formula and the onset of superradiance
[NO] 508/1805 | The 196560 auxiliary-function conjecture for the Leech lattice
[NO] 509/1805 | NAE: Normalizing AutoEncoder
[NO] 510/1805 | Dark sector radiation corrections to invisible dark photon production: beyond fixed order
[NO] 511/1805 | A Comparison of Malware Image Transformations Using Grad-CAM and Hybrid Learning Models
[NO] 512/1805 | From Simulation to Real Scans: Anomaly Detection in Maritime Cargo with Muon Scattering Tomography
[NO] 513/1805 | Towards Truly Unsupervised Evaluation of Feature Selection
[NO] 514/1805 | Semantic Error Control Coding with Foundation Models for Future Communications
[NO] 515/1805 | Boundary-Continuous Cross-Camera RGB Mapping via Hue-Split Model Trees
[NO] 516/1805 | A Conceptual Framework for Enhancing Workforce Readiness for Smart Manufacturing in the AI Era
[NO] 517/1805 | Generative Semantic Segmentation via an Observable Semantic-Image Interface and Hierarchical Generator Evidence Alignment
[NO] 518/1805 | On the difference between clique partition and clique covering numbers of graphs
[NO] 519/1805 | Pseudo-differential operator associated with the linear canonical Dunkl transform
[NO] 520/1805 | Hierarchical Federated Transfer Learning in Digital Twin-Based Vehicular Networks
[NO] 521/1805 | A dense-case theorem for Seymour's second neighborhood conjecture
[NO] 522/1805 | Do Not Forget the Obvious - RISC: A Risk-Informed Slice-Coverage Protocol for Safe Autonomous Driving
[NO] 523/1805 | Strain-coupled one-dimensional turbulence for rapid distortion
[NO] 524/1805 | Network Topology Reconfiguration: Optimal Transition Planning
[NO] 525/1805 | MeerKAT Reveals Evidence of a Radio Megahalo at GHz Frequency
[NO] 526/1805 | Automation and Modernisation of Legacy BiSON Solar Observatories with the BiSON:NG Platform
[NO] 527/1805 | Search for a Globular Cluster whose Passage through the Galactic Disk could Trigger the Radcliffe Wave
[NO] 528/1805 | Total curvature and isoperimetric inequalities in pinched Cartan-Hadamard manifolds
[NO] 529/1805 | Constraining the gamma-ray efficiency of LINER outflows with Fermi-LAT and MEGARA
[NO] 530/1805 | Identification of a Large-Scale Diffuse Gamma-Ray Structure in the Southern Galactic Hemisphere
[NO] 531/1805 | A Multi-scale Investigation of Aqueous Foams Stabilised by PNIPAM Microgels
[NO] 532/1805 | Bridging the gap: Using deep learning to reconstruct noise-reduced super-resolved OCT images from gapped spectra
[NO] 533/1805 | Maximally chaotic competition for attention in the cultural domain
[NO] 534/1805 | A $p$-part Birch and Swinnerton-Dyer Formula over Totally Imaginary Quadratic Extension of Totally Real Fields
[NO] 535/1805 | LoongReflect: Boosting Long-Horizon Reflection in Search Agents via Global Perspective Distillation
[NO] 536/1805 | Four-neutron halo model at the unitary limit
[NO] 537/1805 | Calculation of tetraneutron-induced reaction cross sections with optical and Hauser-Feshbach statistical models
[NO] 538/1805 | Synchronized AMG and EMG Dataset of Lower-limb Muscle Activities in Everyday Training
[NO] 539/1805 | Sharp logarithmic corrections for a strong-weak Lotka-Volterra competition system
[NO] 540/1805 | Electronic structure, band offset, and interface electron population of the LaInO$_3$/BaSnO$_3$ system
[NO] 541/1805 | Invariant Functions on $p$-divisible Groups and the $p$-adic Corona Problem II
[NO] 542/1805 | Chemical fingerprints of binary mass transfer in massive stars
[NO] 543/1805 | Coordinated Dynamic Operation of Integrated Electrolyzer-Compressor Systems
[NO] 544/1805 | Seed2GS: Camera-Free, Training-Free Object Extraction from 3D Gaussian Scenes via a Single Reference-View Grounding
[NO] 545/1805 | NITRO: High-Performance 3D NAND Flash-Based In-Storage Computing with Enhanced Activation Dataflow
[NO] 546/1805 | A Factor Graph Approach to Scalable Multi-Output Gaussian Process Regression
