[2026-06-09 23:17:23] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-08
正在获取论文...
[arXiv] 2026-06-08 | ContextShift: A Controlled Benchmark for Context Dependence in Object Detection
[NO] 59/1944 | An Agent-Based Model for Migration Decision-Making Under Higher Frequency of Extreme Climate Events
[NO] 60/1944 | Quantization of measures in Carnot groups
[NO] 61/1944 | Residual Pseudospectra Reveal a Physics-Informed Koopman Backbone for Tropical Pacific Variability and ENSO Prediction
[NO] 62/1944 | Eight-dimensional Manin triples, Yang-Baxter deformations and solutions of Supergravity Equations
[NO] 63/1944 | IB-HFN: Information Bottleneck-Driven SAR-Optical Fusion Network for High-Fidelity Cloud Removal
[NO] 64/1944 | Wearable Single-Lead ECG Detects Fine-Grained Structural Heart Disease Through Echo-Report Supervision
[NO] 65/1944 | A hyperamalgamation property
[NO] 66/1944 | TRL-Bench: Standardizing Cross-Paradigm Representation-Level Evaluation of Tabular Encoders
[NO] 67/1944 | Near Isospectrality and Spectral Rigidity for Compact Locally Symmetric Manifolds
[NO] 68/1944 | Brain-Prompt Injection: A Route-Safety Audit for BCI-LLM Agents
[NO] 69/1944 | Machine-Learning Emulation of Satellite Greenhouse Gas Retrievals: Stability over Time
[NO] 70/1944 | Fluctuations and correlations of conserved charges in the Polyakov chiral SU(3) quark mean field model
[NO] 71/1944 | SG-OPD: Sign-Gated On-Policy Distillation via Sign-Consistency Gating and Phased Teacher Sampling
[NO] 72/1944 | Satellite gravity constraints on inner core viscosity and LLVPs density anomalies
[NO] 73/1944 | NüshuVoice: Reviving the Voice of Endangered Nüshu with Pitch-Aware Text-to-Speech
[NO] 74/1944 | Unconventional incommensurate epitaxy of superconducting FeSe films on SrTiO$_3$
[NO] 75/1944 | Bridging nanoparticle morphology and viscoelastic behavior in epoxy nanocomposites: A coarse-grained simulation-informed constitutive model
[NO] 76/1944 | ERBench: A Benchmark and Testsuite for Equation Discovery Algorithms
[NO] 77/1944 | Reverse Stress Testing for Multivariate Scenarios: A Conditional Framework for Stressed Time Series
[NO] 78/1944 | O'Neil-type inequalities in Morrey spaces on the set T^n
[NO] 79/1944 | VGP-Nav: Metric-Aware Visual Geometric Perception for Robot Navigation
[NO] 80/1944 | Non-Bloch band theory of boundary-controlled magnon edge modes in an antiferromagnetic chain
[NO] 81/1944 | Physics-Guided Sequence-Based Generative Framework for Acoustic Metamaterial Inverse Design
[NO] 82/1944 | Curvature-guided topology and self-assembly in chiral nematics and liquid-crystal colloids
[NO] 83/1944 | A Poisson Kernel for a Non-Symmetric Elliptic Operator in a Bounded Domain
[NO] 84/1944 | SOMA: From Surface Observations to Muscle Anatomy
[NO] 85/1944 | Closing the Indexing-Decoding Gap in Multimodal Generative Retrieval via Prefix Retention Optimization
[NO] 86/1944 | On topological indices of random caterpillar graphs
[NO] 87/1944 | TinyContainer: Container Runtime Middleware Enabling Multi-tenant Microcontrollers with Built-in Security
[NO] 88/1944 | Minimal Solvers for Full-DoF Motion Estimation from Asynchronous Differential SfM
[NO] 89/1944 | MotionWAM: Towards Foundation World Action Models for Real-Time Humanoid Loco-Manipulation
[NO] 90/1944 | Insufficiency of the algebraic Brauer--Manin obstruction for homogeneous spaces
[NO] 91/1944 | Frequent Itemset Mining with Quantum Computing
[NO] 92/1944 | The Injection Paradox: Brand-Level Suppression in Safety-Trained LLM Recommendations via RAG Context Injection
[NO] 93/1944 | Resource-aware Computation-Communication Overlap for multi-GPU ML Workloads
[NO] 94/1944 | Equivariant deformations of isolated singularities and applications
[NO] 95/1944 | Compact Optical-Resolution Photoacoustic Microscopy System with Reflective Objective-Based Transducer Integration
[NO] 96/1944 | CP4D: Compositional Physics-aware 4D Scene Generation
[NO] 97/1944 | Topological complexity for closed 1-forms
[NO] 98/1944 | A Differentiable Simulation of the Eye for Patient-Specific Strabismus Surgery Planning
[NO] 99/1944 | Muon Learns More Robust and Transferable Features than Adam
[NO] 100/1944 | Beyond Accuracy: Community Perspectives on Machine Translation
[NO] 101/1944 | MAVIS: Multi-Agent Video Retrieval via Structured Video Understanding
[NO] 102/1944 | Blowing star formation away in AGN hosts (BAH) -- V: The Feeding-Feedback Cycle in local AGNs as reveled by their stellar populations
[NO] 103/1944 | Entanglement Generation through Coherent and Non-Coherent Control
[NO] 104/1944 | ARTGEL: A temperature-regulated electrophoresis platform for quantitative studies of reversible association in gels
[NO] 105/1944 | Seeing the Hivemind: A Consensus-Aware Interaction Technique for Mitigating AI Homogenization
[NO] 106/1944 | Pressure-robust and quasioptimal Discontinuous Galerkin discretisations of the $p$-Stokes problem
[NO] 107/1944 | A characterization of Projective and Weakly Projective Boolean Algebras
[NO] 108/1944 | TABVERSE: Benchmarking Cross-Format Table Understanding in LLMs and VLMs
[NO] 109/1944 | k-Means Clustering in Fingerprint-Based Configuration Selection for Fitting Interatomic Potentials
[NO] 110/1944 | Search for new physics using single-lepton events with high multiplicities of jets and b jets in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[NO] 111/1944 | Nonlinear oscillations of the amplitude of energetic-particle induced geodesic acoustic modes
[NO] 112/1944 | Integrating gene regulatory priors into Transformer attention with scTransformer for interpretable scRNA-seq analysis
[NO] 113/1944 | Scaling Behaviors of Work Cumulants in Slow Isothermal Processes
[NO] 114/1944 | An Adaptive Coherent Interferometric Oscillator Based on an Optoelectronic Magnonic Parametric Oscillator
[NO] 115/1944 | A VideoMAE-v2 Approach to Zero-Shot Traffic Accident Anticipation
[NO] 116/1944 | A Continuification Approach to CAV Control in Mixed Traffic via Variable Speed Limits
[NO] 117/1944 | Interpretable Crisis Behavior Analysis Using Mobility and Social Media Data
[NO] 118/1944 | Hybrid Metaheuristic Combining the Dragonfly Algorithm and Tabu Search for the Traveling Salesman Problem
[NO] 119/1944 | Relocate and Emulate: Re-Hosting Android's Application Layer
[NO] 120/1944 | Control problem in millimeter-wave adaptive optics
[NO] 121/1944 | Local Search on Vertex Coloring for Bipartite Graphs
[NO] 122/1944 | Guaranteed Fast Implementation of the Split Covariance Intersection Filter: Nested Newton Method Thanks to the Fourth-Order Convexity of w-Optimization
[NO] 123/1944 | Spectral distortion anisotropies from photon to dark photon conversions
[NO] 124/1944 | Scaling laws and local enhancements of buoyancy flux in stratified turbulent flows
[NO] 125/1944 | LangRetrieval: Language-Guided Self-Evolving Satellite-to-Radar Retrieval via CSI-Driven Reward
[NO] 126/1944 | Memory Beyond Recall: A Dual-Process Cognitive Memory System for Self-Evolving LLM Agents
[NO] 127/1944 | Optical Music Recognition for Real-World Manuscripts with Synthetic Data
[NO] 128/1944 | Goal Sets, Not Goal States: Queryable Robot Goals through Goal-Set Hindsight Relabeling
[NO] 129/1944 | Parameter Sensitivity Analysis of Hierarchical Spatial Economy: Trade Strategy around Brexit
[NO] 130/1944 | Hardware-Aware QAOA for Honeypot Traffic Partitioning on 100+ Qubit IBM Quantum Processors
[NO] 131/1944 | Tuning Dispatch Thresholds for Fixed Last-Mile Routes: A Simulation-Based Pareto Analysis of a Production Policy
[NO] 132/1944 | Dense Force Estimation with an Event-based Optical Tactile Sensor
[NO] 133/1944 | The macroscopic Kaehler metric of Geometric Thermodynamics versus the microscopic one on the Event Manifold: Exact Partition Functions on CV manifolds. Extended Souriau temperatures and spontaneous magnetizations
[NO] 134/1944 | Leveraging Optimal Information-Power Flow for Transmission Switching in AC/MTDC Grids
[NO] 135/1944 | MUDIDI: A Two-Stage Framework for Multilingual Dictionary Digitization with Language Models
[NO] 136/1944 | Model of Flavors
[NO] 137/1944 | Sharp Bounds for Guiduli-Type Hereditary Spectral Problems
[NO] 138/1944 | Synthetic but Not Realistic: The Evaluation Challenge in Generative Modelling for Structured Electronic Medical Records
[NO] 139/1944 | FAME: Forecastability-Aware Mixture of Experts for Heterogeneous Time Series Forecasting
[NO] 140/1944 | Optimal Regret Exponents for Bayesian Statistical Decision Problems
[NO] 141/1944 | RSMA Technique for Multi-User Downlink Single-Waveguide Multi-Pinching Antenna Systems
[NO] 142/1944 | Supervised Low-Rank Structure Discovery for Developmental Epigenetic Aging in Ultra-High-Dimensional DNA Methylation Data
[NO] 143/1944 | DynaOD: Dynamic Origin-Destination Flow Generation with Discrete-to-Continuous Temporal Semantic Modeling
[NO] 144/1944 | Teach Multimodal Recommendation Model to See via Personalized Visual Extraction and Adaptive Learning
[NO] 145/1944 | FlashMemory-DeepSeek-V4: Lightning Index Ultra-Long Context via Lookahead Sparse Attention
[NO] 146/1944 | Local centralizer rigidity for twisted Weyl chamber flows
[NO] 147/1944 | A Unifying Lens on Reward Uncertainty in RLHF
[NO] 148/1944 | Fairness-Aware and Latency-Controllable Scheduling for Chunked-Prefill LLM Serving
[NO] 149/1944 | Stage-1 Controls the Entropy Regime, Not the Outcome
[NO] 150/1944 | A Hybrid Generative Reduced-Order Model for the Minimal Flow Unit
[NO] 151/1944 | DynaCF: Mitigating Shortcut Learning in Reward Models via Dynamic Counterfactual Sensitivity
[NO] 152/1944 | CRANE: Knowledge Editing for Reasoning MLLMs
[NO] 153/1944 | Personal Salience: Highlighting Is Social, but Individuality Lives in Selection
[NO] 154/1944 | Sparse Convexification for High-Dimensional Constrained Regression
[NO] 155/1944 | On an $n-$Dimensional Travel Time Tomography Problem
[NO] 156/1944 | TLDR: Compressing Audio Tokens for Efficient Autoregressive Text-to-Speech
[NO] 157/1944 | Beyond Averages: Evaluating LLMs on Human Survey Replication at the Distributional Level
[NO] 158/1944 | JAX-AMG: A GPU-Accelerated Differentiable Sparse Linear Solver Library for JAX
[NO] 159/1944 | Relativistic Effects in Spin Correlations Induced by QED Scattering and Wigner Rotations
[NO] 160/1944 | Language-Aware Token Boosting: LLM Language Confusion Reduction Without Tuning
[NO] 161/1944 | LEAF: A Learning-Enabled ADMM Framework for Accelerated Convex Optimization
[NO] 162/1944 | From Characters to Matrices: An Elementary Construction of Irreducible Representations of Finite Groups
[NO] 163/1944 | Structure-Aware Modeling of Multiple-Choice Questions Improves Automatic Difficulty Estimation
[NO] 164/1944 | Heterophily-Aware Adaptive Knowledge Distillation for Hypergraph Neural Networks
[NO] 165/1944 | Three-dimensional Fundamental Diagrams of Five-neighbor Particle Cellular Automata
[NO] 166/1944 | The complex kinematics of the young stars orbiting the supermassive black hole in the Galactic center can be explained by the presence of an intermediate mass companion of Sgr A$^\star$
[NO] 167/1944 | Hardening Agent Benchmarks with Adversarial Hacker-Fixer Loops
[NO] 168/1944 | From inverse problems to neural operators: prediction, mechanism, and generalization of data-driven models
[NO] 169/1944 | Nuclear matrix element of $2νββ$ decay of $^{76}$Ge: roles of high-lying states and two-body currents
[NO] 170/1944 | Design of a multifunctional Doppler backscattering diagnostic for the Pegasus-III Experiment
[NO] 171/1944 | Multilingual Sentiment Aware Text Summarization A Reinforcement Learning Approach for Consistency Maintenance
[NO] 172/1944 | PACT: Learning Diverse Diagnostic Strategies via Privileged Synthesis and Branch Consensus
[NO] 173/1944 | Uniformly recurrent subalgebras in finite von Neumann algebras
[NO] 174/1944 | Quantifying isochrone-based age uncertainties for rapidly rotating A-type stars
[NO] 175/1944 | Braided cohomology of quasi-triangular bialgebras and braided Morita invariance
[NO] 176/1944 | Decoy-Calibrated Failure Audits for Language Models
[NO] 177/1944 | Complexity-driven transitions in quantum observation
[NO] 178/1944 | A study on the impact of region specific data on the performance of Indic ASR
[NO] 179/1944 | Higher-dimensional operators and Polyakov loop in hot Scalar QED from the heat kernel
[NO] 180/1944 | NNLO QCD predictions for $t\bar t W$ production at hadron colliders
[NO] 181/1944 | Optimising ultra-light dark matter searches with ground-based interferometers
[NO] 182/1944 | The origin of WHAM Point Source~46
[NO] 183/1944 | Clinically Grounded Privacy Evaluation of Medical LMs
[NO] 184/1944 | Online Learning with Recency: Algorithms for Sliding-window Streaming Multi-armed Bandits
[NO] 185/1944 | Justification and structure- and asymptotic-preserving discretizations of a hyperbolized Cahn-Hilliard equation
[NO] 186/1944 | Correlation Is Not Enough: Embedding Human Metadata for Individual Causal Discovery
[NO] 187/1944 | An implicit octree-based adaptive Material Point Method
[NO] 188/1944 | Dynamics in a Low-Rank Separable Field Cellular Automaton
[NO] 189/1944 | Percolation and clustering in ecological communities: A dynamical theory
[NO] 190/1944 | Inflationary interpretation of the gravitational-wave signal in the European Pulsar Timing Array DR2 with constraints
[NO] 191/1944 | Finite Massless Pentaboxes
[NO] 192/1944 | Decoding Pedestrian Crossing Intention from Egocentric Vision via Vision Language Models
[NO] 193/1944 | Bernoulli Filtering for Multi-Sensor Tracking with Thresholded Measurements
[NO] 194/1944 | Volatility Forecasting and Return Prediction under Market Regimes: Evidence from High-Frequency Chinese Equity Data
[NO] 195/1944 | FF-JEPA: Long-Horizon Planning in World Models with Latent Planners
[NO] 196/1944 | Topological Triplons in the Pinwheel Valence Bond Solid on the Kagome Lattice
[NO] 197/1944 | Range-controlled entanglement in Lindbladian skin states of monitored fermions
[NO] 198/1944 | Strict-Priority Packet Delay in Switches with Transmit-Ring Buffering
[NO] 199/1944 | Multi-Armed Bandits with Arriving Arms: Sequential Screening, Dynamic Regret, and Sublinear Guarantees
[NO] 200/1944 | Emergence of Context Characteristics Sensitivity in Large Language Models
[NO] 201/1944 | OpenBibleTTS: Large-Scale Speech Resources and TTS Models for Low-Resource Languages
[NO] 202/1944 | Emergent alignment and the projectability of ethical personas
[NO] 203/1944 | FMplex: Model Virtualization for Serving Extensible Foundation Models
[NO] 204/1944 | A differentiable forward model for weakly perturbed stellar streams: substructure forecasts from density and kinematics spectra
[NO] 205/1944 | Sharp Bounds and Inference in Sample Selection Models with Treatment Endogeneity
[NO] 206/1944 | Almost-perfect packings and Tuza's conjecture in the random geometric graph
[NO] 207/1944 | Leveraging Landau-Zener-Stückelberg interference for accelerating diabatic quantum annealing
[NO] 208/1944 | Learning to Attack and Defend: Adaptive Red Teaming of Language Models via GRPO
[NO] 209/1944 | Rethinking the Divergence Regularization in LLM RL
[NO] 210/1944 | Echo-Memory: A Controlled Study of Memory in Action World Models
[NO] 211/1944 | Bandits for Efficient Experimentation: Adapting to Control Group, Preferences, and Context Drifts
[NO] 212/1944 | SynManDex: Synthesizing Human-like Dexterous Grasps from Synthetic Human Pre-Grasps
[NO] 213/1944 | Actions, semidirect products and crossed semimodules in the category of small categories with a fixed set of objects
[NO] 214/1944 | Neutron stars in Poincaré gauge gravity with quadratic torsion
[NO] 215/1944 | Topological defects and scalar field modes in warped geometries
[NO] 216/1944 | Who Earns the Safety? Intervention-Aware Quantum Predictive Control with Safety Attribution
[NO] 217/1944 | Mapping Interstellar Ice Inventory toward Class 0 Protostars in Star-forming Region Orion A with JWST Data
[NO] 218/1944 | Linear Stability of the Lamb-Chaplygin Dipole
[NO] 219/1944 | All-multiplicity monodromy and KLT relations for AdS string integrals
[NO] 220/1944 | RPA as a Hessian Closure: Effective Functionals and Source-Variable Duality Across DFT, LR-TDDFT, 1RDMFT, and MBPT
[NO] 221/1944 | Preserving Plasticity in Continual Learning via Dynamical Isometry
[NO] 222/1944 | $\mathbb Z$-Ramsey ultrafilters
[NO] 223/1944 | Suppressing the Motion of Rydberg Atoms in Inhomogeneous Electric Fields via Stark Echo
[NO] 224/1944 | Multi-Turn Evaluation of Deep Research Agents Under Process-Level Feedback
[NO] 225/1944 | ProbeAct: Probe-Guided Training-Free Failure Recovery in Vision-Language-Action Models
[NO] 226/1944 | The Neutral Mask: How RLHF Provides Shallow Alignment while Leaving Partisan Structure Intact in a Large Language Model
[NO] 227/1944 | A Scaling Relation of LRDs between Broad H$α$ and Bolometric Luminosities: Enhanced Broad H$α$ Emission Relative to Low-$z$ Type 1 AGN
[NO] 228/1944 | Disentanglement with Holographic Reduced Representations
[NO] 229/1944 | A Bell-State Extension of Loop-Back Quantum Key Distribution
[NO] 230/1944 | PTA-Compatible Domain Walls at LISA and Taiji: Bayesian Reconstruction and Multiband Inference
[NO] 231/1944 | Nearest zero-critical point distances for Gaussian SU(2) polynomials
[NO] 232/1944 | Proxy Reward Internalization and Mechanistic Exploitation: A Learned Precursor to Reward Hacking and Its Generalization
[NO] 233/1944 | BrainSurgery: Reproducible and Reliable Declarative Weight Manipulations for Model Editing and Upcycling
[NO] 234/1944 | Geometric Dissipation Constraints in Stochastic Reaction Dynamics: A Variational Observable for Hidden Kinetic Structure in Energy Landscapes
[YES] 235/1944 | Claude Code-Driving Scenario Mining for the Argoverse 2 Challenge
[NO] 236/1944 | Time-Varying Perturbations of Contractive Systems With an Application to Safe Stabilization
[NO] 237/1944 | Understanding Quantization-Aware Training: Gradients at Quantized Weights Bias to the Low-Loss Basin
[NO] 238/1944 | PROBE-Web: An Interactive System for Probing Evaluation Landscapes of Knowledge Graph Completion Models
[NO] 239/1944 | Generalized Rank-based Evaluation for Knowledge Graph Completion: Perspectives, Framework, and Analyses
[NO] 240/1944 | Chemical tuning of magnetic ordering and cryogenic magnetocaloric response in zircon-type Gd1-xErxVO4
[NO] 241/1944 | Impact of the Unruh effect on the estimation precision of Gaussian channel parameters
[NO] 242/1944 | One-dimensional first return maps for the two-dimensional border-collision normal form with a zero determinant
[NO] 243/1944 | Symmetry Regularization of 1D Generalized Coulomb Problems
[NO] 244/1944 | Mock Catalogs of Strongly Lensed Gravitational Waves via a Halo Model Approach with Space-borne Detectors
[NO] 245/1944 | A multi-agent system for spine MRI report generation from multi-sequence imaging
[NO] 246/1944 | Are Reasoning Vision-Language Models Robust to Semantic Visual Distractions?
[NO] 247/1944 | Polynomial Corners Over finite Fields
[NO] 248/1944 | Silicon Photonics Testing: Design for Testability, Fault Detection, and Manufacturing Variation Analysis in Photonic Integrated Circuits
[NO] 249/1944 | Benchmarking Deep Time Series Models for Equity Portfolios
[NO] 250/1944 | Advanced simulation framework for AC/MTDC power systems
[NO] 251/1944 | SAILS: Surrogate-based Analysis of Interactions via Local Effect Smooths
[NO] 252/1944 | Colocalizing subcategories on differentially graded algebras
[YES] 253/1944 | Empirical Study for Structured Output Control in LLMs for Software Engineering
[NO] 254/1944 | Kling-Gupta linear regression
[NO] 255/1944 | Distilling Safe LLM Systems via Soft Prompts for On Device Settings
[NO] 256/1944 | ReGIL: Retrieval-Guided Imitation Learning from a Single Demonstration
[NO] 257/1944 | Entanglement-assisted continuous-variable concatenated codes for encoding qubits or oscillators
[NO] 258/1944 | Precision Is Not Faithfulness: Coverage-Aware Evaluation of Grounded Generation with a Complete Oracle
[NO] 259/1944 | Algebraic characterizations of paired operators on model spaces
[NO] 260/1944 | Is Text All You Need? Text as a Universal Information Bottleneck for Speech LLMs
[NO] 261/1944 | Revisiting urban heat indices in Switzerland using low-cost measurement networks
[NO] 262/1944 | Second order Taylor-like topological expansion with multiple holes
[YES] 263/1944 | Bespoke-Card: Why Tune When You Can Generate? Synthesizing Workload-Specific Cardinality Estimators
[NO] 264/1944 | Rethinking Depth: A study of the Recursive-Transformer for Speech Recognition
[NO] 265/1944 | Leveraging Structural Constraints for Diffusion-based Neural TSP Solvers
[NO] 266/1944 | Conan-embedding-v3: Fusing Modality-Specific Models for Omni-Modal Embedding
[NO] 267/1944 | Dynamic XR Rendering Offloading Based on Feature-Based Quality Assessment
[NO] 268/1944 | Semi-local transformation for compressible wall turbulence via elliptic equations
[NO] 269/1944 | Proof of Conjecture 19 of Ballantine, Beck, Merca, and Sagan on Elementary Symmetric Partitions
[NO] 270/1944 | Anything2Skill: Compiling External Knowledge into Reusable Skills for Agents
[NO] 271/1944 | High-Efficiency Broadband Mid-Infrared Absorption in Asymmetrically Matched Metallic Meanders: Development of Ti40V60 Alloy based LEKIDs for Mid-Far IR
[NO] 272/1944 | Reason Twice: Segmentation via Candidate Discovery and Comparative Reasoning
[NO] 273/1944 | Are the Parker and Focused Transport Equations Equivalent for Galactic Cosmic Ray Modulation?
[NO] 274/1944 | Virtual-point-based Solutions to Handle Generalized Absolute Pose Problem
[NO] 275/1944 | Dual Quaternion-Based Unscented Kalman Filter with Visual Inertial Odometry for Navigation in GPS-Denied Environments
[NO] 276/1944 | Global Ab initio Neutrino Mass Limits from Neutrinoless Double-Beta Decay
[NO] 277/1944 | Internalizing Geometric Law: Learning from Solver Residuals for Precision-Critical Generation
[NO] 278/1944 | Layer-parity-defined surface polarization in Nb$_3$Cl$_8$ for excitonic modulation at van der Waals interfaces
[NO] 279/1944 | Self-supervised Learning Matters: A Simple Ensemble Solution for Micro-Gesture Recognition
[NO] 280/1944 | Pseudocompact Topological \(MV\)-Algebras
[NO] 281/1944 | BSTabDiff: Block-Subunit Diffusion Priors for High-Dimensional Tabular Data Generation
[NO] 282/1944 | A practical probabilistic framework for deformable image registration uncertainty in radiotherapy dose propagation
[NO] 283/1944 | TruthSplit: Operationalizing Conditional Validity in Arguments Through Multi-Perspective Reasoning
[NO] 284/1944 | Correlation enhanced resistance hysteresis near half filling in MoS2/WSe2 heterobilayer
[NO] 285/1944 | EgoTactile: Learning Grasp Pressure for Everyday Objects from Egocentric Video
[NO] 286/1944 | Orange Lab: Lowering Barriers to Data Mining through Embedded Interactive Workflows
[NO] 287/1944 | Slice-Profile-Enabled Phase Distribution Graphs for MRI Simulation
[NO] 288/1944 | Strain-Induced Tuning of Third-Harmonic Generation in Monolayer Black Phosphorene
[NO] 289/1944 | Satellite-Based Quantum Communication: Performance Evaluation of Discrete-Variable Quantum Key Distribution Protocols
[NO] 290/1944 | An investigation of fast simulation techniques for pion showers using kernel density estimators with the CALICE AHCAL Technological Prototype
[NO] 291/1944 | Evaluation of nonlinear optical coefficients in uniformly aligned dioxane-based ferroelectric nematic liquid crystals using second harmonic generation
[NO] 292/1944 | On the spatial statistics of free-surface turbulence and the complementarity of 'dimples' and 'scars'
[NO] 293/1944 | Deterministic Execution of ROS~2 Applications via Lingua Franca
[NO] 294/1944 | Symbolic and Abstractive Reasoning with Complex Visual Queries
[NO] 295/1944 | Pretrained, Frozen, Still Leaking: Auditing Cross-Encoder Attribute Transfer in EEG Foundation Models
[NO] 296/1944 | Counterfactual Reasoning for Fine-Grained Evidence Disentanglement in VideoQA
[NO] 297/1944 | The dynamic 4.8.8 Floquet code
[NO] 298/1944 | The Challenge of Cell Segmentation in Spatially Resolved Transcriptomics
[NO] 299/1944 | A Meta-Learning Framework for Multitask Reverberation Mapping in Active Galactic Nuclei
[YES] 300/1944 | From 0-to-1 to 1-to-N: Reproducible Engineering Evidence for MetaAI Recursive Self-Design
[NO] 301/1944 | End-to-End Context Compression at Scale
[NO] 302/1944 | The Selfless Dichotomy
[NO] 303/1944 | Throughput Analysis for Near-Field Mobile Communications: Beamfocusing or Caustic Beamforming?
[NO] 304/1944 | Pantheon+ supernovae corrected for progenitor age indicate the universe is decelerating
[NO] 305/1944 | Ab initio parametrization of distributed polarizable force fields
[NO] 306/1944 | Where Does the Answer Come From? Benchmarking View-Level Visual Evidence Identification in Multi-View MLLMs for Autonomous Driving
[NO] 307/1944 | Agentic Persona Generation with Critique-Refinement: An Industrial Evaluation
[NO] 308/1944 | DexPIE: Stable Dexterous Policy Improvement from Real-World Experience
[NO] 309/1944 | Lattice genome: representation and analysis of heterogeneous crystalline microstructures
[NO] 310/1944 | Assessing Sample Quality in Conditional Generation under Compositional Shift
[NO] 311/1944 | Formal Foundations and Proof-Carrying Certificates for q-ary Covering Codes in Lean 4
[NO] 312/1944 | Popcorn: A Configurable Benchmark for Visual Evidence in Multimodal Movie Recommendation
[NO] 313/1944 | Optical Reasoning: Rethinking Images as an Expressive Reasoning Medium Beyond Text
[NO] 314/1944 | Stoichiometric Epitaxial Strontium Titanate Thin Films on Silicon by High-Temperature Sr Segregation
[NO] 315/1944 | Option prices from operational-time reaction-boundary lattices
[NO] 316/1944 | Safe-RULE: Safe Reinforcement UnLEarning
[NO] 317/1944 | Multiple zeta values ending with a fixed string
[NO] 318/1944 | No-Go Theorem for BEC in the Nelson and Pauli--Fierz Models
[NO] 319/1944 | STEPS: Semantic-Contract-Guided Scheduling for LLM-Assisted Natural-Language-Driven Edge AI Services
[NO] 320/1944 | Asymptotics of an Explosive Autoregression under Dependence
[NO] 321/1944 | When Types Intersect and Effects Get Handled
[NO] 322/1944 | Closing the Prior-Posterior Loop: Self-Reflective Molecular Design with Analysis-Driven LLM Iteration
[NO] 323/1944 | Strong counterexamples to a supersaturation question of Ma-Yuan
[NO] 324/1944 | Securing Self-supervised Data Curation for Foundation Models Robustness
[NO] 325/1944 | Prisma-World: Camera-Controllable Multi-Agent Video World Model
[NO] 326/1944 | Deterministic Integrity Gates for LLM-Assisted Clinical Manuscript Preparation: An Auditable Biomedical Informatics Architecture
[NO] 327/1944 | Targeting World Models to Compromise Robot Learning Pipelines
[NO] 328/1944 | Experimental Validation of Skull Acoustic Modelling Strategies for Transcranial Focused Ultrasound Simulation: A Cross-Comparison Study
[NO] 329/1944 | Free fermions in disguise without exponential degeneracies
[NO] 330/1944 | AbstRAG: Learning to Abstract for Retrieval Problems
