[2026-06-03 23:43:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-02
正在获取论文...
[arXiv] 2026-06-02 | Wave-mean decomposition of scale-dependent kinetic energy from surface drifters
[IEEE] 2026-6-2 | Parallel Test Strategy for Chiplet Testing for HPC/AI Devices - Leveraging Smartest 8 Interleaved Testflow Solution
[IEEE] 2026-6-2 | CSTIC 2026 Cover Page
[ACM] 2026-6-3 | Algorithmic Bias and Governance Pathways in Affective Computing for Higher Education: A Fairness-based Study
[ACM] 2026-6-3 | Prompt Engineering as Pedagogical Interface: A Computational Study of Generative AI Systems for Enhancing Creative Thinking in Teacher Education
[ACM] 2026-6-3 | Research on an Early Warning System for Students' Academic Risks Based on Multi-source Time-series Data and LSTM Model
[IEEE] 2026-6-2 | Leveraging Gated Recurrent Units for Real-Time Tracking of Student Engagement in Healthcare LMS using LLM Analytics
[ACM] 2026-6-3 | Innovative Research on the Quality Evaluation System for Industry-Academy Collaboration in Vocational Undergraduate Institutions
[ACM] 2026-6-3 | SATYA: An Automated Framework for Keyboard Navigation and Focus-Indicator Detection for Accessibility Testing Using Computer Vision
[IEEE] 2026-6-2 | Pre-trained Under Noise: A Framework for Robust Bone Fracture Detection in Medical Imaging
[IEEE] 2026-6-2 | Edge–Cloud Predictive Maintenance Models for Industry 4.0
[IEEE] 2026-6-2 | Prediction of Chip Aging-Induced VMIN Shift Based on Spice Simulation
[IEEE] 2026-6-2 | Safeguarding Scientific Algorithms: A Framework for Detecting Algorithmic Plagiarism in Metaheuristic Research
[IEEE] 2026-6-2 | A Lightweight Approach to Spam Link Identification Using Automated Domain Reputation Scoring
[IEEE] 2026-6-2 | System Verification of Compute Express Link over Optics Towards Large Scale Memory Pooling
[IEEE] 2026-6-2 | Governed Agentic Cloud Data Pipelines with MCP Gateways
[IEEE] 2026-6-2 | LAPO: A Load-Aware and Priority-Based Offloading Strategy for Latency-Critical Applications in Vehicular Fog Computing
[IEEE] 2026-6-2 | The Impact of Data Analytics On Decision Making Evidence Based Practices
[IEEE] 2026-6-2 | Holding the Line: A Digital Twin Framework Supporting Policy Design for U.S. Power Grid Resilience
[IEEE] 2026-6-2 | A Vision-Based Deep Learning Framework for Egyptian Sign Language Recognition Using CNN and VGG-16
[IEEE] 2026-6-2 | Reconstruction of Arterial Blood Pressure Waveforms from Photoplethysmogram Using a Modified Transformer-CNN Model
[IEEE] 2026-6-2 | Teryaq: An IoT-Enabled System for the Smart Delivery of Temperature-Sensitive Medications
[IEEE] 2026-6-2 | Uncertainty-Aware Intelligent Workload Scheduling for Cloud-Native Systems Under Bursty Demand
[IEEE] 2026-6-2 | Analysis of the impact of SACQ solder balls and high-reliability solder paste on board-level temperature cycle life
[IEEE] 2026-6-2 | Privacy-Preserving AI using Federated Multimodal Attention Networks for Healthcare and Robotics
[IEEE] 2026-6-2 | Predicting Startup Success: A Machine Learning Framework Integrating Technology, Founder Psychology, Mentorship, and Sustainability
[IEEE] 2026-6-2 | Cross-Scene HSI Classification Combined with Channel-Spatial Attention Fusion Network
[IEEE] 2026-6-2 | A Novel Medical Images Random Cryptosystem
[IEEE] 2026-6-2 | AI-Enabled Remote Proctoring: Architecture and Implementation for Digital Examinations
[IEEE] 2026-6-2 | A Hadoop-Enabled Framework for Detecting Crop Yield Anomalies and Optimizing Irrigation in Smart Agriculture
[IEEE] 2026-6-2 | Exposing the Illusion: A Comprehensive Survey on Deepfake Detection Techniques, Challenges, and Future Horizons
[IEEE] 2026-6-2 | Predictors of Licensure Examination Performance Among BEEd Graduates Toward a Random Forest Predictive Framework
[IEEE] 2026-6-2 | The influence of ISSG hydrogen-to-oxygen ratio on the growth of tunnel oxide for Nor flash memory cycling disturb loss
[IEEE] 2026-6-2 | Enterprise Governance for Generative AI: Prompt Lifecycle and Secure Middleware
[IEEE] 2026-6-2 | Optimizer-Driven Techniques for Retuning Prompts on LLM Backend with Migration across Models for Healthcare and Cyber Security Operations
[IEEE] 2026-6-2 | Language-Driven Portrait Editing and Animation via Diffusion and Motion Control
[IEEE] 2026-6-2 | Agri Hub: The Farmer's Digital Partner (Central platform for all farming needs)
[IEEE] 2026-6-2 | CARRIE UGV: A Human-Centered Terminal UGV for Carry-on Transport and Wayfinding Support
[IEEE] 2026-6-2 | A Deep Learning-Based Surrogate Model for LOCOS Etch Process TCAD Simulation Using a Conditional Variational Autoencoder
[IEEE] 2026-6-2 | Neural Representation Learning for Unsupervised Control-Flow Concept Drift Detection
[IEEE] 2026-6-2 | RAST 4.0: Restorable Arbitrary Style Transfer via Content Leakage Correction
[IEEE] 2026-6-2 | Non-Invasive Driver Activity Recognition using mmWave Radar
[IEEE] 2026-6-2 | Enhanced Parkinson’s Disease Detection using Ensemble Machine Learning and Spiral-Derived Handcrafted Features
[IEEE] 2026-6-2 | A Rigid Harness with Haptic Feedback for Robotic and Traditional Service Dogs
[IEEE] 2026-6-2 | Energy-Efficient Container Orchestration for HPC Workloads using ML in Kubernetes on Cloud Platforms
[IEEE] 2026-6-2 | Evaluating the Englishscore Test as a Digital Alternative for Academic English Assessment in Mongolian Higher Education
[IEEE] 2026-6-2 | Synergistic Fusion of Multimodal Data for Automated and Accurate Diagnosis of Parkinson's Disease
[IEEE] 2026-6-2 | Azure Windows Defender for Enterprise Cybersecurity: Architecture, Automation, and Measured Operational Impact
[IEEE] 2026-6-2 | AI Assisted Toll Revenue Forecasting and Reconciliation using Flower Pollination Optimized Dl Model
[IEEE] 2026-6-2 | A Comparative Analysis of Predictive and DRL-Derived Target-Based Energy Management Smart Charging Scheduling for Small EV Fleets
[IEEE] 2026-6-2 | An Investigation into the Determinants of Aesthetic Prosthesis Development: A Case Study at Citi University
[IEEE] 2026-6-2 | Maximize Equipment Capacity by EI Products and Digital Twins
[IEEE] 2026-6-2 | High-Speed ADC CLK Optimization Using Advantest V93000 Wave Scale Precision Source
[IEEE] 2026-6-2 | A Deep Learning–Enabled Computer Vision System for Real-Time Tomato Spider Mite Detection
共写入 2000 条记录，保存到 papers/paper2026-06-02.json。
论文获取成功，文件路径: papers/paper2026-06-02.json
正在筛选、翻译并发送邮件...
[NO] 1/2000 | Wave-mean decomposition of scale-dependent kinetic energy from surface drifters
[NO] 2/2000 | Conformal Language Modeling via Posterior Sampling
[NO] 3/2000 | Beyond False Stability: High-Noise Drift Gating for Test-Time Adversarial Defenses in Vision-Language Models
[NO] 4/2000 | Constraining Scale-Dependent Growth in $f(R)$ Gravity with Future 21 cm Surveys
[NO] 5/2000 | Nuclear Reaction Data for Fission Products Off Stability
[NO] 6/2000 | Text-to-Image Models Need Less from Text Encoders Than You Think
[NO] 7/2000 | Commutativity via Spectral Equivalences of the Jordan Product in Banach Algebras
[YES] 8/2000 | Code-on-Graph: Iterative Programmatic Reasoning via Large Language Models on Knowledge Graphs
[NO] 9/2000 | Who Is in Mind Matters: Attachment Representations in Early Childhood Synchronize Child-Adult Interacting Brains
[NO] 10/2000 | Don't Forget Your Embeddings: Robust Knowledge Erasure via Precise Editing of Embeddings
[NO] 11/2000 | Face versus Body Tracking for Human-Robot Interaction: An Egocentric Dataset
[NO] 12/2000 | Does Language Shift Break Medical Vision-Language Models? Indonesian Radiology Visual Question Answering Case Study
[NO] 13/2000 | To $1/2$-logconcavity and beyond: Geometric properties of Dirichlet eigenfunctions
[NO] 14/2000 | From Well-Posed Inversion to Learning Design: Physics- Informed Neural Estimation for Autonomic Regulation
[NO] 15/2000 | AUGUSTE: Online-Learning dApp for Predictive URLLC Scheduling
[NO] 16/2000 | Enhanced superconductivity in atomically thin noble metals: From quantum confinement to interface-induced Lifshitz transition
[NO] 17/2000 | Humanoid-GPT: Scaling Data and Structure for Zero-Shot Motion Tracking
[NO] 18/2000 | Some new results on determinants and permanents
[NO] 19/2000 | Quantifying Faithful Confidence Expression in Large Reasoning Models
[NO] 20/2000 | Self-Refining Agentic Reinforcement Learning for Vision-Conditioned UAV Navigation
[NO] 21/2000 | Introduction to stochastic gradient methods
[NO] 22/2000 | Preference-Calibrated Human-in-the-Loop Reinforcement Learning for Robotic Manipulation
[NO] 23/2000 | A Pocket Offline Model for Simultaneous Speech Translation as CUNI Submission to IWSLT 2026
[NO] 24/2000 | Geodesic completeness of singularity free gravity
[NO] 25/2000 | Stability Analysis for Autoregressive Sampling Sets
[NO] 26/2000 | SEAOTTER: Sensor Embedded Autoencoding with One-Time Transcode for Efficient Reconstruction
[NO] 27/2000 | Entropy Is Not Enough: Unlocking Effective Reinforcement Learning for Visual Reasoning via Vision-Anchored Token Selection
[NO] 28/2000 | Correcting Neural Operator Spectral Bias via Diffusion Posterior Sampling with Sparse Observations
[NO] 29/2000 | Physics-Informed Single Atom Matching Pursuit: Guided-Waves Wavenumbers and Propagation Distance Estimation for Damage Localization in Structural Health Monitoring
[NO] 30/2000 | Contrastive Neural Algorithmic Reasoning for Graph Coloring
[NO] 31/2000 | Forecasting Conceptual Diffusion in Science: The Case of Quantum Computing
[NO] 32/2000 | Quantum Erasure Imaging: Complementary Modalities from Delayed-Choice Erasure
[NO] 33/2000 | scTranslation: A Comprehensive Benchmark for Single-Cell Multi-Omics Modality Translation
[NO] 34/2000 | Semantic-weighted ICP for LiDAR Odometry: Class-Aware Residual Reweighting for Robust Scan Registration
[NO] 35/2000 | Principal Components Decomposition of Fraction of Variance Explained in High Dimensional Linear Models with Strong Correlation
[NO] 36/2000 | Beyond Encoder Accumulation: Measuring Encoder Roles in Multi-Encoder VLMs
[NO] 37/2000 | A Training-Free Mixture-of-Agents Framework for Multi-Document Summarization using LLMs and Knowledge Graphs
[NO] 38/2000 | APX-Hardness of Computing Lipschitz Constants for Multi-Parametric Quadratic Programs
[NO] 39/2000 | Subspace-selective unitary manipulation based on the Hilbert-space symmetric structures in the multiple-quantum operator algebra spaces in the quantum-computing speedup theory
[NO] 40/2000 | PyraMathBench: Evaluating and Improving Mathematical Capability in Large Language Models
[NO] 41/2000 | Predicting core-level X-ray photoemission spectra of oxide surfaces from first principles -- a case study for SnO$_2$
[NO] 42/2000 | Where Do We (Not) Need Temporal Context in Low-Resource Video Task Adaptation?
[NO] 43/2000 | BigFinanceBench: A Workflow-Grounded Benchmark for Financial-Research Agents
[NO] 44/2000 | Fracture energy of 6H-SiC at the microscale: effects of testing geometry and notch preparation
[NO] 45/2000 | Leveraging BART to Assess CS1 C++ Programming Assignments using Rubric-based Criteria
[NO] 46/2000 | Consistency Training Can Entrench Misalignment
[NO] 47/2000 | PURGE: Projected Unlearning via Retain-Guided Erasure
[NO] 48/2000 | Cayley graphs of quasirandom groups
[NO] 49/2000 | Optimal Design and Analytical Modeling of a Soft Fin-Ray Effect Gripper Finger Using the Finite Rigid Elements Method
[NO] 50/2000 | Signed Spiking Neuron Enabled by an Orthogonal-Easy-Axis Magnetic Tunnel Junction
[NO] 51/2000 | Revisiting Embodied Chain-of-Thought for Generalizable Robot Manipulation
[NO] 52/2000 | An Integrated Techno-Economic Framework for Optimal Microgrid Design: An Australian Case Study
[NO] 53/2000 | Trading Frictions in Dynamic Cap-and-Trade Markets
[NO] 54/2000 | RamanGPT: Bidirectional Mapping Between Crystal Structures and Raman Spectra with Graph Neural Networks and Generative Transformers
[NO] 55/2000 | LAP: An Agent-to-Instrument Protocol for Autonomous Science
[NO] 56/2000 | A Density-Distance Version of the Carlen--Frank--Lieb Stability Theorem
[NO] 57/2000 | Construction of cyclic codes with large minimum distance from power functions over odd characteristic finite fields
[NO] 58/2000 | Mechanical properties of the nucleon in the chiral confining model. II -- in-medium evolution of the nucleon properties
[NO] 59/2000 | Optimal Finite-Horizon LQR Control for Traffic Flow via Variable Speed Limits
[NO] 60/2000 | TSQAgent: Rating Time Series Data Quality via Dedicated Agentic Reasoning
[NO] 61/2000 | X-ray Fractional Orbital Angular Momentum from Coherent Magnetic Scattering
[NO] 62/2000 | Bridging Auxiliary Constraints to Resolve Instruction Following in Large Reasoning Models
[NO] 63/2000 | SA-DTS: Semantic-Aware Digital Twin Synchronization over 6G Networks
[NO] 64/2000 | Game-Based vs. Simulation-Based Instruction: exploring the sequencing effect on elementary pre-service teachers' understanding of the photoelectric effect
[NO] 65/2000 | On the maximum size of $(a,b)$-town (mod $k$) families
[NO] 66/2000 | An efficient quantum Hadamard product algorithm for functions
[NO] 67/2000 | Beam Intercepting Devices
[NO] 68/2000 | Beyond the Literal: Decomposing Pragmatic Intent in Multimodal Meme Understanding
[NO] 69/2000 | CauTion: Knowing When to Trust LLMs for Ensemble Causal Discovery
[NO] 70/2000 | Enhancing Offshore Wind Simulations: Interpolated Switching via DLL Black-Boxes
[NO] 71/2000 | Fracton Topological Holography
[NO] 72/2000 | An Iwasawa-type asymptotic formula for multiple $\mathbb{Z}_p$-coverings of graphs
[NO] 73/2000 | Diffusing in the Right Space: A Systematic Study of Latent Diffusability
[NO] 74/2000 | AutoTail-BSFGM: Class-Balance-Aware Fine-Tuning for Chinese Scholarly Text Classification
[NO] 75/2000 | GeoVolDiff: Taming 3D Geological Volumes with Latent Diffusion
[NO] 76/2000 | When Attention Collapses: Stage-Aware Visual Token Pruning from Structure to Semantics
[NO] 77/2000 | Learned Non-Maximum Suppression for 3D Object Detection
[NO] 78/2000 | How Many Trees in a Random Forest? A Revisited Approach with Plateau Search and Optuna Integration
[NO] 79/2000 | Eventual regularity and asymptotic behavior of Leray-Hopf weak solutions for the Hall-MHD system
[NO] 80/2000 | Towards Intrusion Detection Systems for RPL-based IoT Networks using Foundation Models
[NO] 81/2000 | Throughput Optimization for Multi-AP IEEE P802.11bq Networks Based on Combinatorial Multi-Armed Bandits
[NO] 82/2000 | SIGMA: A Versatile Streaming Graph Partitioner for Vertex- and Edge-Balanced Distributed GNN Training
[NO] 83/2000 | SPADE: Sketch-guided Path Planning Augmented with Diffusion Experts
[NO] 84/2000 | Secrecy Sum Rate Maximization for OIRS-Aided Visible Light Communications with Confidential Messages
[NO] 85/2000 | BaltiVoice: A Speech Corpus and Fine-tuned Whisper ASR System for the Balti Language
[NO] 86/2000 | Characterizing Detectability in 3DGS Poisoning: A Stage-wise Benchmark
[NO] 87/2000 | Off-Shell Supersymmetry Algebra in the Lorentzian IIB Matrix Model: Algebraic Constraints and a $κ$-Minkowski-Like Sector
[NO] 88/2000 | Low-Frequency Shortcuts in Texture-Driven Visual Learning
[NO] 89/2000 | NeuroArmor: Safe-Variant-Guided Representation Consistency for Selective Re-Anchoring in Jailbreak Defense
[NO] 90/2000 | From 3D Perception to Safety Reasoning: A Graph-Based Framework for Real-Time Underground Mine Monitoring
[NO] 91/2000 | Interpolating non-Hermitian universality classes A and AI$^\dagger$: eigenvalue density and transition regime
[NO] 92/2000 | Stein's method in network analysis
[NO] 93/2000 | The chromatic noncommutative symmetric function of oriented trees
[NO] 94/2000 | Modeling Discrete Data with High-Order Vector Potts Models
[NO] 95/2000 | Complexity, curvature and homological dimension of modules under linkage
[NO] 96/2000 | IDO: Incongruity-aware Distribution Optimization for Multimodal Fake News Detection
[NO] 97/2000 | A unified multi-task framework enables interpretable chest radiograph analysis
[NO] 98/2000 | NVIDIA OmniDreams: Real-Time Generative World Model for Closed-Loop Autonomous Vehicle Simulation
[NO] 99/2000 | First direct measurement of $^{48}$Ca single $β$-decay Q value with the TITAN Penning trap
[NO] 100/2000 | Disentangling Visual and Factual Correctness in LVLMs' Visualization Literacy
[NO] 101/2000 | SEDACS: A Scalable Framework for Complex Chemistry Simulations
[NO] 102/2000 | Turbulence: An Entropic Approach
[NO] 103/2000 | Functoriality of real crossed product K-theory spectral sequences with respect to group homomorphisms
[NO] 104/2000 | Propagation of support for super-Brownian motion with general branching mechanism
[NO] 105/2000 | TiWeaver: Unified Temporal Dynamics Modeling via Contextual Patching
[NO] 106/2000 | AnyAudio-Judge: A Dynamic Rubric-Based Benchmark and Evaluator for Audio Instruction Following
[NO] 107/2000 | FAF-CD: Frequency-Aware Fusion for Change Detection under Imperfect Multimodal Remote Sensing
[NO] 108/2000 | Zero-Shot 3D Question Answering via Hierarchical View-to-Token Transportation
[NO] 109/2000 | The Shadow Price of Reasoning: Economic Perspective on Optimal Budget Allocation for LLMs
[NO] 110/2000 | Constitutional On-Policy Safe Distillation
[NO] 111/2000 | On higher extensions of quiver representations over $\mathbb{F}_1$
[NO] 112/2000 | Multi-component Causal Tracing in Large Language Models
[NO] 113/2000 | Magnetic Symmetries and the Structure of Correlation Functions in Quantum Field Theory
[NO] 114/2000 | Observer-Based Control of Linear Systems with Mismatched Input and Output Delays
[NO] 115/2000 | Regret Pre-training: Bridging Prior and Posterior Views for Enhanced Knowledge Grounding
[NO] 116/2000 | G^2C-MT: Graph-Guided Context Selection for Document-Level Machine Translation
[NO] 117/2000 | TGV-KV: Text-Grounded KV Eviction for Vision-Language Models
[NO] 118/2000 | RMPrior: Bridging Propagation Priors and Diffusion Refinement for Efficient Radio Map Construction
[NO] 119/2000 | Loop Space Splittings for Codimensional Sphere Bundles
[NO] 120/2000 | Comprehensive Analysis of Optical brightness and Color Variability of Blazars in the ZTF Survey DR22
[NO] 121/2000 | ZX-Calculus:Trace-Indexed Dependent Types and Epistemic Semantics
[NO] 122/2000 | Rethinking Molecular Text Representations for LLMs: An Empirical Study
[NO] 123/2000 | The Pion Gravitational Form Factors and the Trace Anomaly in QCD Factorization
[NO] 124/2000 | ZK-Flex: A Flexible and Scalable Framework for Accelerating Zero-Knowledge Proofs
[NO] 125/2000 | The Geometry of LLM-as-Judge: Why Inter-LLM Consensus Is Not Human Alignment
[NO] 126/2000 | Will Accurate Fields Mislead Photonic Design? FromGlobal Accuracy to Port Readout
[NO] 127/2000 | RIFTES: An RTM- and iteration-free temperature-emissivity separation framework for accurate and efficient clear-sky land surface temperature retrieval
[NO] 128/2000 | SkillGuard: A Permission Framework for Agent Skills
[NO] 129/2000 | Fault-Aware Design for Reconfigurable Holographic Surface-Aided ISAC Systems
[NO] 130/2000 | The decay rate of metastable cosmic strings beyond the thin-string approximation
[NO] 131/2000 | Exact equivariance, kept through training, buys zero-shot generalisation across the symmetry group
[NO] 132/2000 | CoughSense: Five-Class Respiratory Disease Classification via Whisper Encoder Fine-Tuning and Dual-Encoder Cross-Attention Fusion with Balanced Contrastive Learning
[NO] 133/2000 | TransportBench: A Comprehensive Benchmark for Non-Equilibrium Flow Transport
[NO] 134/2000 | Machine-Learning Prediction of Quantum Fisher Information from Collective Spin and Spectral Features
[NO] 135/2000 | Dust On, Dust Off: HST Observations of the Newly Dormant Jupiter Co-orbital Comet P/2023 V6 (PANSTARRS)
[NO] 136/2000 | Predicting Inference-Time Scaling Gains from Labeled Validation-Set Output Statistics
[NO] 137/2000 | Towards Compact Autonomous Driving Perception with Balanced Learning and Multi-sensor Fusion
[NO] 138/2000 | A Benchmarking Framework for Multimodal User Interface Toolkits: Comparing Modality Coverage, Developer Workflow, and Experimental Support
[NO] 139/2000 | Diagonal Condition in Multiplication Table of $\displaystyle {\, \mathbb{Z} [i] / (α) }$
[NO] 140/2000 | From Explanation to Diagnosis: Next Generation Interactive Video Coach with Misstep Awareness
[NO] 141/2000 | Hybrid Dynamics Modeling for a Flexible 2-DoF Robotic Arm
[NO] 142/2000 | Models of exponential and power-law acceleration of the Universe in Horndeski theory without ghosts and Laplace instabilities
[NO] 143/2000 | Drag-induced skin effect in a Bose-Fermi mixture
[NO] 144/2000 | Causal Evidence of Stack Representations in Modeling Counter Languages Using Transformers
[YES] 145/2000 | Human-AI Collaboration and the Transformation of Software Engineering Work
[NO] 146/2000 | Spectral duality for some modal and residuated groupoid expansions of De Morgan algebras
[NO] 147/2000 | A Recursive Domain- and Objective-Adaptive Frank-Wolfe Algorithm
[NO] 148/2000 | eMEM: A Hybrid Spatio-Temporal Memory System For Embodied Agents
[NO] 149/2000 | A calculus of types in Isbell nuclei
[NO] 150/2000 | EntSQL: A Benchmark for Grounding Text-to-SQL in Long-Context Enterprise Knowledge
[NO] 151/2000 | Emerging and established topics in drone research: Citation impact and knowledge flows across China, the United States, the EU, Ukraine, and Russia (2020-2025)
[NO] 152/2000 | The Huang--Yang formula for a two-dimensional Fermi gas: upper bound
[NO] 153/2000 | RogueMerge: Robust and Unified Attacks against LLM Model Merging
[NO] 154/2000 | Autonomous Navigation System for Library Service Robot Based on Unitree Go2 Edu
[NO] 155/2000 | A class of half-BPS boundary conditions for $A_{K-1}$ circular quivers
[NO] 156/2000 | IdEst: Assessing Self-Supervised Learning Representations via Intrinsic Dimension
[NO] 157/2000 | A Graph Foundation Model with Spectral Parsing and Prototype-Guided Spatial Propagation
[NO] 158/2000 | Area Theorems and Quasiconformal Extensions of Harmonic Mappings with a Pole
[NO] 159/2000 | The Reliability Gap in Benchmark Auditing: Distribution Shift and Scale as Failure Modes of Contamination Detection
[NO] 160/2000 | SagaQA: A Multi-hop Reasoning Benchmark for Long-form Narrative Understanding in TV Series
[NO] 161/2000 | GROSS: German Rail Open-Source SUMO Scenario
[NO] 162/2000 | Hessian-recovery-based C0 finite element methods for non-divergence form elliptic equations
[NO] 163/2000 | VistaHop: Benchmarking Multi-hop Visual Reasoning for Visual DeepSearch
[NO] 164/2000 | Agentic Relationship Harm: Benchmarking and Gating Relational Manipulation in AI Agents
[NO] 165/2000 | Are Common Substructures Transferable? Riemannian Graph Foundation Model with Neural Vector Bundles
[NO] 166/2000 | Distilling Answer-Set Programming Rules from LLMs for Neurosymbolic Visual Question Answering
[NO] 167/2000 | A nine-member protostellar system forming via filament fragmentation in the high mass protocluster NGC 6334-43
[NO] 168/2000 | Beyond "To whom it may concern": Tailoring Machine Translation to Audience and Intent
[NO] 169/2000 | Linear Stability Analysis of convective flows in Rotating Baroclinic Annulus with Localized Peripheral Heating: A Floquet-BiGlobal Approach
[NO] 170/2000 | PSViT: A Methodology for Structurally Pruning Spiking Vision Transformers
[NO] 171/2000 | Black-Hole Echo Resonance Spectra and Source Dependence in a Controlled Transfer-Function Model
[NO] 172/2000 | MariData: One-Step Unpaired Image Translation for Maritime Environments
[NO] 173/2000 | Lorentz-violating signatures in quasi-periodic oscillations from a magnetised Kalb-Ramond black hole
[NO] 174/2000 | Right Makes Might: Aligning Verified Hidden States Empowers RL Reasoning
[NO] 175/2000 | Perturbative results for fractional quantum mechanics
[NO] 176/2000 | VirtualMLE: A Virtual ML Engineer that Optimizes Sequential Recommenders
[NO] 177/2000 | Highly sensitive detection for infrared photons by non-degenerate two-photon absorption under mid-infrared pumping
[NO] 178/2000 | Geometric Bounds on the Finite-Time Performance of Active Machines
[NO] 179/2000 | MedCUA-Bench: A Screenshot-Only Benchmark for Clinical Computer-Use Agents
[NO] 180/2000 | A convenient model category for bicategories
[NO] 181/2000 | Towards a Hybrid Quantum Enhanced Solution for Densest k-Subgraph Problem
[NO] 182/2000 | Generation and time evolution of anomalous Floquet Majorana flat edge modes in two-dimensional noncolinear magnet-superconductor heterostructures
[NO] 183/2000 | Logarithmic Sobolev inequality and hypercontractivity for the Navier-Stokes Fokker-Planck operator
[NO] 184/2000 | HyperPatch: Sequential Knowledge Editing Under n-ary Structural Drift
[NO] 185/2000 | ConTrack: Constrained Hand Motion Tracking with Adaptive Trade-off Control
[NO] 186/2000 | Ask When It Pays: Cost-Aware Open-Ended Interaction for Instance Goal Navigation
[NO] 187/2000 | Spin-Dependent Electron Transport through Bacterial Cell Surface Multiheme Electron Conduits
[NO] 188/2000 | JAVEDIT: Joint Audio-Visual Instruction-Guided Video Editing with Agentic Data Curation
[NO] 189/2000 | Weighted variational inequalities for the fractional Dunkl heat semigroup
[NO] 190/2000 | Wheel-Mounted/GNSS Fusion with AI-Aided Position Updates
[NO] 191/2000 | Sparse Tree-Based Aggregation for Time Series Regressions
[NO] 192/2000 | Quantum-Classical Equivalence for AND-Functions
[NO] 193/2000 | Bondal's conjecture in dimension five
[NO] 194/2000 | Flowing with Displacements and Tilts: Surface Operators in $O(N)$ Models
[NO] 195/2000 | Black-box, Adaptive, Efficient, Transferable, Harmful, Applicable... Attacks Are All You Need to Break LLMs
[NO] 196/2000 | A Geometric Lens on Physics-Aligned Data Compression
[NO] 197/2000 | Hierarchies of Calibration: Classification meets Regression
[NO] 198/2000 | Predictively-Oriented Kalman Filtering
[NO] 199/2000 | Fast Organic Crystal Structure Prediction with Unit Cell Flow Matching
[NO] 200/2000 | Towards Non-Monotonic Entailment in Propositional Defeasible Standpoint Logic
[NO] 201/2000 | Asymptotics of complex $b$-$6j$ symbols
[NO] 202/2000 | Application of polynomial algebras to non-linear equation solvers
[NO] 203/2000 | A variable-coefficient model for decay of isotropic turbulence capturing effects of finite cascade time and Reynolds number
[NO] 204/2000 | StepFinder: A Temporal Semantic Framework for Failure Attribution in Multi-Agent Systems
[NO] 205/2000 | Informational completeness of qubit measurements and IC preservability of qubit channels: Characterization and Quantification
[NO] 206/2000 | Characterizing quantum channels from local-unitary invariants
[NO] 207/2000 | Quantum Matter Makes Lightcones Quantum
[NO] 208/2000 | Soliton crystal formation in Kerr cavities with an avoided mode crossing: a theoretical study
[NO] 209/2000 | Uncrowding the 5-Vertex Model: RSK and Crystal Structures
[NO] 210/2000 | Ulam stability for classes of nuclear C*-algebras
[NO] 211/2000 | Denoise First, Orthogonalize Later: Understanding Momentum in Muon via Spectral Filtering
[NO] 212/2000 | Topological Weyl Phase of an Ideal Spin-Gapless Semiconductor KCrSe
[NO] 213/2000 | Wasserstein stability and the nonsingular Borel lifting problem
[NO] 214/2000 | Game, Set, Quantum: Parameterized Quantum Circuit for Correlated Equilibrium in Bayesian Games
[NO] 215/2000 | Planes in quadratic 4-space and associated shapes of lattices
[NO] 216/2000 | Libra: Efficient Resource Management for Agentic RL Post-Training
[YES] 217/2000 | The Impact of Configuring Agentic AI Coding Tools on Build-vs-Buy Decisions: A Study Protocol
[NO] 218/2000 | Final-state rescattering mechanism of the $Δ(1232)^{++}$ production in $Λ^+_c \to K^- π^+ p$ decay
[NO] 219/2000 | Structure-Preserving Quantum Method of Lines for Evolutionary PDEs with Mixed Boundary Conditions
[NO] 220/2000 | Towards Characterizing Scientific Image Utility and Upgradability
[NO] 221/2000 | OpenEAI-Platform: An Open-source Embodied Artificial Intelligence Hardware-Software Unified Platform
[YES] 222/2000 | When Model Merging Breaks Routing: Training-Free Calibration for MoE
[NO] 223/2000 | Operationalizing Cyber Attack Prediction: A Gap-Prioritized Framework with Dataset and Model Selection Guidelines
[NO] 224/2000 | Energy-selective quantum search with Ising Hamiltonian phase oracles
[NO] 225/2000 | See, Infer, Intervene: Proactive World Modeling for Goal-Oriented Social Intelligence
[NO] 226/2000 | Automating Information Extraction and Retrieval for Industrial Spare Parts Pooling
[NO] 227/2000 | Everywhere $\mathcal{I}$ sets
[NO] 228/2000 | Speech Emotion Recognition using Attention-based LSTM-Network with Residual Connection
[NO] 229/2000 | APIC: Amortized Physics-Informed Calibration using Neural Processes
[NO] 230/2000 | Reflective Numeration Systems I: a Global Standpoint
[NO] 231/2000 | Navigating the unknown in large-scale operational transformation programs: The "Sirius Days" framework as a 'pilot-organization' for characterizing emerging issues
[NO] 232/2000 | Beyond Semantics: Modeling Factual and Affective Perceptual Experiences from Vision-Language Data
[NO] 233/2000 | Cross-Modality Feature Fusion Based on Structured State Space Duality for Multimodal Image Registration Network
[NO] 234/2000 | Calibration Data Trade-offs Across Capability Dimensions: Why Multi-Source Mixing Matters for High-Sparsity LLM Pruning
[NO] 235/2000 | The Gains, Effective Areas and Equivalent Areas of a Multiport Antenna Array
[NO] 236/2000 | Non-Gaussianity and Strong-Coupling Problem in a Two-Field DHOST Bouncing Model
[NO] 237/2000 | Classification of independent sets in signed Johnson graphs and applications to kissing arrangements
[NO] 238/2000 | SplitAdapter: Load-Aware Humanoid Loco-Manipulation via Factorized Adaptation
