[2026-09-23 00:02:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-22
正在获取论文...
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[IEEE] 2026-9-22 | Diabetes Prediction Model Using Machine Learning Techniques
[IEEE] 2026-9-22 | FairCareer-CHN: A Dataset for Evaluating Bias in LLM-Based Career Recommendation
[IEEE] 2026-9-22 | A Multi-Dimensional Misalignment-Tolerant Electromagnetic Halbach Array Structure for Inductive Power Transfer
[IEEE] 2026-9-22 | Attention-Based Multi-Task Neural Network for Electromechanical Composite Transmission Simulation and Verification
[IEEE] 2026-9-22 | Optimal Tuning of PIDA Controller for SOPTD System
[IEEE] 2026-9-22 | Critical Configuration Testing for Autonomous Driving Systems—Targeting the Achilles’ Heel of Four Open Autopilots
[IEEE] 2026-9-22 | A Distribution Network Black Start Incentive Mechanism Considering External and User Behavior Uncertainties
[IEEE] 2026-9-22 | Interpretable Cyberbullying Identification Using Large Language Models
[IEEE] 2026-9-22 | Fall Detection Using YOLOv8 and MediaPipe: A Software-Based Pose Estimation Framework for Real-Time Elderly Monitoring
[IEEE] 2026-9-22 | Generalizing Gaussian Noise Removal Methods to Realistic Image Denoising
[IEEE] 2026-9-22 | Bohr’s Theorem and the Sparse Array Curse
[IEEE] 2026-9-22 | Optimization Control Strategy for Distribution Networks to Mitigate Transformer Aging Under Bidirectional Power Flow Switching
[IEEE] 2026-9-22 | Federated Edge Learning for Privacy-Preserving Energy Monitoring and Control in Electric Vehicle Networks
[IEEE] 2026-9-22 | Model-Free Adaptive Control of a Three-Leg Interleaved Buck Converter
[IEEE] 2026-9-22 | TransWGAN-EF: Transformer-Enhanced Wasserstein GAN with Ensemble Filtering for Small-Sample Wind Turbine SCADA Fault Diagnosis
[IEEE] 2026-9-22 | TabDDPM-Med: Class-Conditional Diffusion Models for Privacy-Preserving Medical Data Augmentation in Imbalanced Osteoporosis Prediction
[IEEE] 2026-9-22 | Unlocking Actionable Insights Through Data Mining of Restaurant Transactions to Boost Sales and Customer Satisfaction
[IEEE] 2026-9-22 | Bidding Strategy of Energy Storage Power Stations Participating in the Electricity Market Based on Evolutionary Game Theory
[IEEE] 2026-9-22 | Classification of Skin Cancer Image Using Resnet-50 with 3-Fold Cross-Validation Technique
[IEEE] 2026-9-22 | Private Blind Model Averaging – Distributed, Non-interactive, and Convergent
[IEEE] 2026-9-22 | Sensor-Guided Efficient 3D Gaussian Reconstruction via Depth-Enhanced Initialization and Adaptive Early Stopping
[IEEE] 2026-9-22 | A rolling bearing fault diagnosis method based on SVMD-SCSSA-MCKD
[IEEE] 2026-9-22 | Photovoltaic Power Forecasting: A Comprehensive Review of Theoretical Evolution, Model Architectures, and Future Pathways
[IEEE] 2026-9-22 | Temporal Knowledge Graphs for Hierarchical Analysis of Dynamic Social Networks
[IEEE] 2026-9-22 | Author Index
[IEEE] 2026-9-22 | Research on a Dynamic and Precise Carbon Emission Calculation Method for GIS Installation Processes Based on the Internet of Things and the Adaptive Variational Particle Swarm Algorithm
[IEEE] 2026-9-22 | ARAS: Round-Level Availability for Unattended Antarctic LoRa Monitoring
[IEEE] 2026-9-22 | Construction Method for Instruction Tuning Dataset for Domain-specific Entity Extraction Tasks
[IEEE] 2026-9-22 | GLCM-Based Feature Mining for Breast Cancer Classification
[IEEE] 2026-9-22 | Carbon-Aware Offline Reinforcement Learning for Safe and Energy-Efficient HVAC Control Using Conservative Q-Learning
[IEEE] 2026-9-22 | A Methodology for Generating Sonar Data Based on the DDPM
[IEEE] 2026-9-22 | Communication-Cost-Aware Task-to-Core Mapping for 2D Concentrated-Mesh NoC-Based Neural Network Accelerators
[IEEE] 2026-9-22 | Position: Gaussian DP for Reporting Differential Privacy Guarantees in Machine Learning
[IEEE] 2026-9-22 | A Review of Ancillary Service Types and Market Design for Microgrid Integration
[IEEE] 2026-9-22 | Outliers Detection and Exclusion for Orbit Determination using an Interacting Multiple-Model Approach with Variable Structure
[IEEE] 2026-9-22 | An Energy-Focused Order Reduction Envelope Model for Parallel-Parallel Circuits in Inductive Power Transfer
[IEEE] 2026-9-22 | High-Frequency DC–DC Power Converters: A Review of Benefits, Tradeoffs, and Implementation Challenges
[IEEE] 2026-9-22 | 2026 IEEE Wireless Power Technology Conference and Expo (WPTCE)
[IEEE] 2026-9-22 | Mental Health Risk Prediction Among Students Using Cross-Validated Ensemble Learning Techniques
[ACM] 2026-9-22 | Keyless Range–Angle Secure Wireless Links in the Near-Field of an Ultra-Large-Scale RIS
[ACM] 2026-9-22 | Manycore Scalable Logging for Log-Structured Filesystem
[IEEE] 2026-9-22 | Low-Pressure Measurability Boundary and Linear Correction of Closed-Cup Flash Points for Power Oils Using Multi-Level Reference Materials
[IEEE] 2026-9-22 | Data-Driven Green Electricity Traceability and Day-Ahead Energy Storage Optimal Dispatching Method
共写入 1000 条记录，保存到 papers/paper2026-09-22.json。
论文获取成功，文件路径: papers/paper2026-09-22.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[NO] 2/1000 | A Resource-Aware Selectively Agentic Framework for A-Share Trading
[NO] 3/1000 | A False Sense of Privacy: Evaluating Textual Data Sanitization Beyond Surface-level Privacy Leakage
[NO] 4/1000 | Time-Resolved Analysis of the Influence of Sound Design Effects on Behavioral Kinematics in Virtual Reality
[NO] 5/1000 | Active Shielding for Magnetic Field Mitigation in Automotive Wireless Charging Based on Coil Position Estimation
[NO] 6/1000 | MDFPF-Net: Multi-Domain Feature Perceptual Fusion Network for Hyperspectral Unmixing_supp1-3735828.pdf
[NO] 7/1000 | Prediction of Armor-piercing Power of Flat-top Shaped Charge Liner Based on Deep Learning
[NO] 8/1000 | Tunable and Flexible Metamaterial for Enhancing Wireless Power Transfer Efficiency for Implantable Medical Devices
[NO] 9/1000 | HealthFed: A Cluster-Based Multimodal Federated Learning Framework for Heart Disease Prediction
[NO] 10/1000 | How Reliable are Automated Jailbreak Evaluators? A Study of Human-Machine Agreement in Cybersecurity Multi-Turn LLM Attacks
[NO] 11/1000 | Training Set Reconstruction from Differentially Private Forests: How Effective is DP?
[NO] 12/1000 | Related-Party Transaction Fraud Detection with Data-Governance-Enhanced Graph Neural Networks
[NO] 13/1000 | CTAP-Net: A Multi-Head Self-Attention-Based Multi-Task Framework for BLDC Motor Fault Diagnosis and RUL Prediction
[NO] 14/1000 | Post-Quantum Cryptography Algorithms for Cyber Attack Prevention
[NO] 15/1000 | Predictive Scheduling Optimization for Regional Integrated Energy Systems Considering Load Stochasticity
[NO] 16/1000 | Small Signal Stability Analysis of VSC-HVDC Based on Impedance Model
[NO] 17/1000 | Correlation-Based Leakage Screening is Insufficient for IoT/IIoT Intrusion-Detection Benchmarks: Evidence of Redundant Shortcut Encoding in Edge-IIoTset
[NO] 18/1000 | User-Controllable Workload Trace Synthesis Scheme for Power-Computing Simulation of Data Centers
[NO] 19/1000 | Coordinated Optimal Scheduling for Active Distribution Networks and 5G Base Station-Integrated Microgrids: A Distributed Interaction Approach
[NO] 20/1000 | Fetal Health Classification Using SGO-MEFS Based Feature Selection
[NO] 21/1000 | IEEE Industry Applications Society Information
[NO] 22/1000 | MDFPF-Net: Multi-Domain Feature Perceptual Fusion Network for Hyperspectral Unmixing
[NO] 23/1000 | Auditable Inference from Embedded PV Telemetry to Field Energy and Economic Outcomes
[NO] 24/1000 | Machine Learning-Based SNR Estimation for 5G X-Band Links: An Optimized Support Vector Regression Model
[NO] 25/1000 | Continuous-Time Robust Distributed Scheduling of Integrated Energy Systems With Wind Power Uncertainty
[NO] 26/1000 | GeoMF: A Geographic Context-Aware Multimodal Framework for Fine-Grained Ship Classification
[NO] 27/1000 | Interpretable Intelligent Fault Diagnosis for Elevators Based on Wavelet Scattering Transform Convolutional Neural Network
[NO] 28/1000 | Deterministic Supervisory Control Framework for Hybrid-Electric Aircraft Propulsion Systems
[NO] 29/1000 | Stackelberg Game Optimal Scheduling of Integrated Energy System in Market Environment Considering EV Aggregation Participating in Real-Time Electricity Price Mechanism
[NO] 30/1000 | Differentiable Brain Network Feature Selection for Multi-center Schizophrenia Diagnosis
[NO] 31/1000 | ASSS: A Differentiable Adversarial Framework for Task-Aware Data Reduction
[NO] 32/1000 | A Blockchain-Based Identity Management System Resistant to Ransomware
[NO] 33/1000 | Odor Source Localization System Inspired by Odor Information Processing of an Insect_supp3-3735894.mp4
[NO] 34/1000 | Road-Structure-Guided Sampling-Controlled Trajectory Aggregation for Road Extraction from High-Resolution Remote Sensing Imagery
[NO] 35/1000 | A Context-Aware and Adaptive Attention YOLO Model for Surface Crack Detection
[NO] 36/1000 | IEEE Transactions on Sustainable Energy Information for Authors
[NO] 37/1000 | Accuracy–Efficiency Trade-offs in Lightweight Deepfake Detection Models: CNN and Transformer Benchmarks on Raspberry Pi 5
[NO] 38/1000 | A Learning Analytics Infrastructure for Studying Calibrated AI Assistance in Data Science Problem Framing
[NO] 39/1000 | A Feedforward Control Method for Multi-Degree-of-Freedom Turntable Servo System Based on Physics-Guided Temporal Convolutional Network Model
[NO] 40/1000 | Coordinated Control Strategy for Distributed PV Integrated into Continuous Co-Phase Traction Power Supply System
[NO] 41/1000 | Intelligent Spectrum-Energy Co-Optimization in Space-Air-Ground Integrated 6G Networks
[NO] 42/1000 | A Dead-Time Optimization Strategy for Buck-Boost+LLC Integrated Topology
[NO] 43/1000 | Odor Source Localization System Inspired by Odor Information Processing of an Insect_supp1-3735894.pdf
[NO] 44/1000 | Community Detection and Benefit Allocation Method for Integrated Energy Systems Based on Game Theory
[NO] 45/1000 | Research on Negative-Sequence Voltage Suppression in Distribution Networks Based on Magnetically Controlled Switch Stepped Compensation
[NO] 46/1000 | TimeAgent: A Training-Free LLM Agent for Time Series Foundation Models
[NO] 47/1000 | A Multilayer Perceptron-Based Method for Predicting the Maximum Temperature of IGBTs Under Small-Sample Conditions
[NO] 48/1000 | An IIoT-Enabled Multi-Order Graph Hierarchical Local-Global Network for Bearing Remaining Useful Life Prediction
[NO] 49/1000 | Music-induced Emotion Oscillation Modeling
[NO] 50/1000 | Distributed Pseudolinear Information Filtering Approach with Multisource Measurements for Heterogeneous Sensor Networks
[NO] 51/1000 | Price Sensitivity Analysis of Adjustable Resources in Multi-Energy Flexible Systems of Public Buildings
[NO] 52/1000 | Oblivious Exact (Un)Learning of Extremely Randomized Trees
[NO] 53/1000 | Hybrid Random–Directional RIS Phase Profile Design for Multi-Layer TN/NTN Positioning
[NO] 54/1000 | SoK: The Hitchhiker’s Guide to Efficient, End-to-End, and Tight DP Auditing
[NO] 55/1000 | Spaceborne Ultra-High-Resolution Sliding Spotlight SAR Imaging Algorithm Based on United Azimuth Time-Frequency Polynomial Compensation
[NO] 56/1000 | Privacy-Preserving Synthetic Data Generation in Healthcare
[NO] 57/1000 | UrbanRAMF: Confidence-Guided Feature Interaction for Fine-Grained Urban Flow Inference From Incomplete Sensing Data
[NO] 58/1000 | Two-Stage Low-Carbon Optimal Operation for Distribution-Microgrid Systems Considering Flexible Microgrid Grouping
[NO] 59/1000 | Optimal Scheduling of Combined Heat and Power System Considering Renewable Energy Uncertainty: An Improved A3C Algorithm
[NO] 60/1000 | Exploring the Muscle-Tendon Biomechanics and Load Mitigation of a Passive Shoulder Exoskeleton During Overhead Work
[NO] 61/1000 | Distributed Multimodal UAV Sensing and State Prediction in ISAC Networks
[NO] 62/1000 | HiS-CIM: A 72.65-TOPS/W Hetero-CIM-Based LLM Accelerator Exploiting Hierarchical Weight Compression and Multi-Granular Sparsity
[NO] 63/1000 | CryptoFormer: Multi-Currency Traffic Classification Via Two-Stage Transformer Architecture
[NO] 64/1000 | Optimization of Adjustable Resource Scheduling for Flexible Ramping in Power Systems
[NO] 65/1000 | A Dual-Roofline Runtime Model for Capacity Planning in Shared-Backend LLM Multi-Agent Social Simulation: A Case Study of AgentSociety
[NO] 66/1000 | GNSS-based Real-Time Onboard Orbit Determination for Agile Satellites
[NO] 67/1000 | Research on a MOSFET-Based Fully Controlled DC Circuit Breaker and Smooth Commutation Strategy
[NO] 68/1000 | Characterizing, Modeling, and Mitigating Radiation-Induced Noise on Event-Based Vision Sensors for Space Applications
[NO] 69/1000 | An Energy Efficient Unipolar Buck Assisted Linear Amplifier Drive System with Optimized Envelope Generation
[NO] 70/1000 | Ultra-Short-Term Wind Power Prediction Model Based on Heterogeneous Transformer Expert Pool and Grey Relational Embedding
[NO] 71/1000 | A Targeted Correction Method for NWP Irradiance Considering Local Cloud Motion and Meteorological Spatial Correlations
[NO] 72/1000 | Machine Learning for GDP Forecasting: LightGBM and CatBoost Outperform ARIMA Across 20 Economies
[NO] 73/1000 | Multi-Time-Scale Optimal Scheduling of Distributed Photovoltaic-Energy Storage Systems for Coordinated Source-Grid-Load-Storage Interaction
[NO] 74/1000 | Drone-Based Iot and Machine Learning Framework for Real-Time Factory Air Pollution Monitoring and Long-Term Prediction
[NO] 75/1000 | Stock-Out Distortion and Under-Forecasting: An Inventory-Aware Diagnosis of Demand-Signal Bias in Multi-SKU Sales Forecasting
[NO] 76/1000 | Data-Driven Load Profile Inference and Grid Integration Planning for New Users at Electric Heavy-Duty Truck Charging Stations
[NO] 77/1000 | A Hybrid Deep Learning Framework for SoC and SoH Estimation in Lithium-Ion Batteries with Capuchin Optimization Model
[NO] 78/1000 | Efficient Medical Image Analysis in the JPEG-AI Compressed Domain
[NO] 79/1000 | Voltage Margin Calibration for Wind Power Hosting Capacity Risk Boundary Assessment Under Source-Load Coupling
[NO] 80/1000 | Credibility State Estimation Fusion Driven by Deep Learning for Low-Altitude Target Tracking
[NO] 81/1000 | A Credible Schedulable Capacity Assessment Method for Large-Scale 5G Base Stations Based on Dimension-Reduction Virtual Power Plant Framework
[NO] 82/1000 | Attack-defense-inspired Volt/var Control with Line Parameter Noise in Active Distribution Networks
[NO] 83/1000 | Radiation Hardened Latch Designs With FPGA-Based Verifications for Aerospace Applications
[NO] 84/1000 | Balancing Productivity and Flexibility in Lean Manufacturing for Complex Production Systems
[NO] 85/1000 | Congestion-Aware Waste Heat Recovery and Thermal Support Evaluation for Fuel Cell Heavy-Duty Trucks
[NO] 86/1000 | Low-Latency Initial Access Using Hierarchical Beam Sweeping in LEO Satellite Communication Systems
[NO] 87/1000 | Investigation on Flow Characteristics of Oil Injection at End Winding of Hairpin Winding Motors
[NO] 88/1000 | Smart Pharmacy Automated Dispensing System: Engineering Realization and Management Innovation from the Perspective of New Quality Productive Forces
[NO] 89/1000 | Modified Pix2pix for Lung Segmentation in Chest X-Ray Images
[NO] 90/1000 | False Data Injection Attack Oriented Incremental Anomaly Detection from Dual Perspectives
[NO] 91/1000 | Acoustic Binary Image Transmission with Adaptive RLE Compression and Hamming Error Correction: System Design and Performance Analysis
[NO] 92/1000 | CIML 2026 Author Information Page
[NO] 93/1000 | Optimal Capacity Configuration of Off-Grid ALK-PEM Hydrogen Systems Considering Fluctuation Features and Lifespan Degradation
[NO] 94/1000 | PD Pattern Recognition in XLPE High-Voltage Cables Based on PC-DTF and Fanet
[NO] 95/1000 | A Portable LAMP Microdevice for SARS-CoV-2 Detection: Sensitivity, Specificity, and Point-of-Care Applications
[NO] 96/1000 | Smudged Fingerprints: A Systematic Evaluation of the Robustness of AI Image Fingerprints
[NO] 97/1000 | Experimental Evaluation of Geometry and Reciprocity-Based Beamforming with Large Arrays for RF Wireless Power Transfer
[NO] 98/1000 | Context-Aware Unified Transformer for Joint Speech Recognition and Semantic Dialogue Modeling
[NO] 99/1000 | A Secure Sdn-Blockchain Architecture for Controlled Medical Data Access in IoT Networks
[NO] 100/1000 | Fuzzy Logic–Integrated Hybrid Machine Learning Model for Predicting Psychological Consumer Purchase Behavior in E-Commerce
[NO] 101/1000 | Real-time tightly coupled GNSS and IMU integration via Factor Graph Optimization
                    <sup>∗</sup>
[NO] 102/1000 | Edge Perception Interface via Promptable IR– VIS Fusion: Stable Features for Industrial IoT Safety Inspection
[NO] 103/1000 | Bridging the Synthetic-to-Real Gap in Impulsive Sound Detection Using Audio Transfer Learning
[NO] 104/1000 | Adaptive Energy Compensation Control for High-Frequency Oscillation Suppression of Grid-Forming Converter Under Varying Operating Conditions
[NO] 105/1000 | Short-Circuit Current Calculation for Photovoltaic Power Plants Considering the Entire Fault Ride-Through Process
[NO] 106/1000 | A Novel Frequency Regulation Strategy for Aggregated Electric Vehicles Considering AGC Signal Uncertainty
[NO] 107/1000 | Scalable Predictive Analytics for Project Risk Management Using Data-Driven Machine Learning Approach
[NO] 108/1000 | Conducted Emission Behaviour of a High-Power WPT System Fed by Balanced and Unbalanced Modular Converters Under Phase-Shift Modulation
[NO] 109/1000 | Deep Learning-Based Intelligent Recognition Method for Power Grid Station Wiring Diagram via Multi-Module Collaboration
[NO] 110/1000 | Multi-Spatiotemporal Collaborative Control and Hybrid Mechanism-Data Driven State Reconstruction for Active Distribution Networks
[NO] 111/1000 | Robust Computing-Power Coordinated Scheduling for a Multi-Data-Center Aggregator via Hierarchical DRL with State-Adversarial Training
[NO] 112/1000 | Development of a Multi-Sensor Fusion Hardware Platform and Motion Accuracy Verification for Power Inspection Robots
[NO] 113/1000 | Spherical Three-Phase WPT System Using Multi-Coil Transmitter Optimal Control
[NO] 114/1000 | FiLMamba: A FiLM-Conditioned Mamba Architecture with an Energy-Efficient FPGA Accelerator for Generalizable Cuffless Blood Pressure Estimation
[NO] 115/1000 | Parametric Knowledge Cannot Overcome Instance Bias in LLM-Based Automated Algorithm Design
[NO] 116/1000 | A Design of SDR-based QRNG-Radar for Interference-Resilient Sensing Applications
[NO] 117/1000 | Carbon-Accountable Peer-to-Peer Energy Trading for Interconnected Multi-Microgrids Under Incomplete Information and Privacy Constraints
[NO] 118/1000 | Psychometric Validation of LLM-Generated Items: Equivalent Quality to Human-Authored Assessments via IRT and Learning Analytics
[NO] 119/1000 | Decoupling of Communication and Sensing: Blind Parameter Estimation Robust to Array Deformations under IoT ISAC Systems
[NO] 120/1000 | MORAN-Enabled O-RAN Split 7.2 Based 5G Indoor Small Cell Using srsRAN and a Custom RF Front End
[NO] 121/1000 | Quantifying the Secure Regulation Region of a Thermal Power Unit Coupled with Battery and Thermal Energy Storage for Deep Peak Shaving
[NO] 122/1000 | Hybrid GRNN–NLIWPA Approach for Data-Driven Crop Yield Prediction and Decision Ranking
[NO] 123/1000 | BacSense: A Cascaded Hybrid Deep Learning Framework for Waterborne Bacterial Identification
[NO] 124/1000 | Beyond the HBM Wall: Coherent-Memory Oversubscription for AI Workloads on NVIDIA Grace Hopper
[NO] 125/1000 | Adaptive GPU Sharing for Real-time LLM Serving with Best-effort Workloads
[NO] 126/1000 | ZWAN: Leveraging Zone Random Write Area (ZRWA) for Avoiding WAL Tax in LSM-tree
[NO] 127/1000 | GraceSSD: Per-File Reliability Hints for Error-Tolerant Machine Learning Storage
[NO] 128/1000 | Caching with Calibrated Predictions
[NO] 129/1000 | To Migrate or Not to Migrate: KOxI, an Evidence-Gated Pipeline for Rust-for-Linux Storage Drivers
[NO] 130/1000 | Decoupling Physical and Statistical Shifts in Cross-domain Fault Diagnosis using a Wavelet Scale-Equivariant Network with Test-Time Adaptation
[NO] 131/1000 | A Secure and Parallel IoT Automation Architecture for Centralized Control of Multiple Computers
[NO] 132/1000 | CIML 2026 Cover Page
[NO] 133/1000 | Artificial Intelligence-Enabled Feature Recognition and Prediction Model for the Development of Intangible Cultural Heritage Industries
[NO] 134/1000 | Reasoning Introduces New Poisoning Attacks Yet Makes Them More Complicated
[NO] 135/1000 | A 180nm CMOS Rectifier with Adaptive Self- Biasing for High-Efficiency RF Energy Harvesting
[NO] 136/1000 | Ultra-Short-Term Wind Speed Forecasting Integrating Multi-Scale Temporal Modeling and Wake-Effect Physical Constraints
[NO] 137/1000 | ICSSIP 2025 Content Announcement Page
[NO] 138/1000 | Multi-Objective Optimal Dispatch of Microgrids Considering Demand Response: An Economic-Flexibility Tradeoff Approach
[NO] 139/1000 | Algorithms for Space GNSS Guaranteed Positioning: Integrity for the Space Corridor (ISCO) - Experimentation Results
[NO] 140/1000 | Similarity-Aware ML Model Selection for Network-Device Collaboration
[NO] 141/1000 | Multimodal Urban Mobility Recommendation Using Graph-Based Routing and Dynamic Time Filtering
[NO] 142/1000 | Smartphone-Based Road Roughness Index Estimation Using MLP With Hard-Example Mining: A Vehicle-Specific Multi-Platform Study
[NO] 143/1000 | Monostatic Radar Cross Section Study of a Low-Cost Composite Wing for Quasi-Stealth UAV
[NO] 144/1000 | Influence of Processing Defects on Low-Resistance Stress Grading Tape Before and After Epoxy Resin Application
[NO] 145/1000 | Design and Implementation of a Testbed Network for IPswen Development
[NO] 146/1000 | Secure Signal Design for Co-located Legitimate and Eavesdropping Nodes
[NO] 147/1000 | An Object Detection Algorithm for River Pollutants Based on Indigenously Developed AI Modules and Slow-Speed, Miniature Aerial Platforms
[NO] 148/1000 | Equilibrium-Oriented Strategic Bidding for Generation Companies in Coupled Electricity and Carbon Markets
[NO] 149/1000 | A Study of Power Electronic Topologies for High-Power Inductive Power Transfer System with Passive Rectification
[NO] 150/1000 | Random Forest-Based Prediction of Brain Tumor Risk and Treatment Effectiveness
[NO] 151/1000 | Design and Implementation of an Intelligent Compliance Risk Identification System for Emerging Power Industries
[NO] 152/1000 | Multistage Distributed Generation Capacity Planning with an Explicit Reliability Formulation Considering Regional Islanded Restoration
[NO] 153/1000 | Vascular Morphology Motivated Progressive Structure-Enhanced Restoration for Sparse-view 3D-DSA
[NO] 154/1000 | Enhanced Wireless Sensor Network Security Through Machine Learning-Based Data-Driven Intrusion Detection
[NO] 155/1000 | Dynamic-Consistency-Residual-Based Fault Detection Method for DC Ring-Bus Microgrids
[NO] 156/1000 | Detecting Non-Optimal Decisions of Embodied Agents via Diversity-Guided Metamorphic Testing
[NO] 157/1000 | A Compact UWB GaAs Power Amplifier MMIC for V- and W-Band Applications
[NO] 158/1000 | A Spatio-Temporal Contribution Analysis-Based Identification of Key Meteorological Factors in Multi-Variable and Location for PV Power Generation
[NO] 159/1000 | Worst-User End-to-End Delay Minimization for OFDMA-Based Mobile Edge Computing Systems
[NO] 160/1000 | Evaluating and Enhancing Ionospheric Models for LEO-PNT Simulation Applications: Towards a Machine Learning–Enhanced NeQuick2 Framework
[NO] 161/1000 | Analysis of Total Ionizing Dose Effect on a Linear RF Power Amplifier
[NO] 162/1000 | Can Open-Weight LLMs Detect Flawed Exam Questions? A Lecturer-in-the-Loop Benchmark for Technical Higher Education
[NO] 163/1000 | Zombie APIs: Detecting Runtime-Reachable but Deprecated Endpoints
[NO] 164/1000 | A Dataset Preparation and Augmentation Method for Improving Infrared Small-Object Detection Algorithms Based on Neural Networks
[NO] 165/1000 | Capacity Optimization of Shared Energy Storage in Industrial Parks Considering Extreme Weather Conditions: A Bi-Level Approach
[NO] 166/1000 | Lightweight Deep Learning Model Architecture for Affective State Recognition from Wearable Physiological Sensors
[NO] 167/1000 | IEEE Antennas and Wireless Propagation Letters
[NO] 168/1000 | Applicability Analysis of Model Scaling and CBAM for Insulator Detection in Power Inspection Scenarios
[NO] 169/1000 | Preface
[NO] 170/1000 | Photovoltaic Power Forecasting Based on Temporally Improved Deep Embedded Clustering and Dual State Control Soft Mixture of Experts
[NO] 171/1000 | Robust Misalignment Tolerance Assessment of a Regulated EV WPT System Under Voltage and Current Constraints
[NO] 172/1000 | FlexSnow: A flexible snow optics model framework integrating diverse snow microstructures and light-absorbing constituent mixtures in multiple layers
[NO] 173/1000 | Dynamic Flood Limited Water Level Control for Hydropower-New Energy Complementarity
[NO] 174/1000 | An Interactive AI-Copilot Platform for Power System Resilience Enhancement
[NO] 175/1000 | Rectifier model for optimal Matching Network design in Wireless Power Transfer Systems
[NO] 176/1000 | Gaussian Partially Observable Inventory Control
[NO] 177/1000 | Optimization and Analysis of Resource Allocation in Quantum-Centric Supercomputing Environments
[NO] 178/1000 | Token Write Amplification in LLM-Mediated State Stores
[NO] 179/1000 | MQSim 2.0: A Framework for Realistic Studies of AI-Era SSDs and Disaggregated Storage
[NO] 180/1000 | TESSA: An Efficient Streaming Accelerator for Time-Synchronized Event Stereo
[NO] 181/1000 | Study on the Low-Temperature Characteristics of Key Materials for Interturn Insulation of Dry-Type Air-Core Reactors Under Extreme Cold Conditions
[NO] 182/1000 | Transformer Aging-Aware Predictive Coordinated Control for Active Distribution Networks with High Renewable Penetration
[NO] 183/1000 | Fronthaul Resiliency in Latency Constrained C-RAN
[NO] 184/1000 | Multi-Equipment Collaborative Operation and Energy-Saving Control of Air Conditioning Systems in Industrial Plants Under Dynamic Production Loads
[NO] 185/1000 | A Compact Mixed-Integer Linear Programming Formulation for Non-Intrusive Load Monitoring with Startup Linking and Normalized Power Variables
[NO] 186/1000 | A Coordinated Operation Strategy for Wind Power Producer and Demand Response Customer
[NO] 187/1000 | Distance Adaptive Cascaded XGBoost Method for Series Arc Fault Detection in Photovoltaic Systems
[NO] 188/1000 | Modeling Through the Soil Wireless Transfer System with Empirical Validation
[NO] 189/1000 | Development and Field Implementation of Transient Torsional Torque Protection for Turbine Generators
[NO] 190/1000 | WPTCE 2026 Copyright Page
[NO] 191/1000 | A Prediction Model to Forecast Ragi Price in Southern Parts of India Using Time Series and Machine Learning Algorithm
[NO] 192/1000 | Compact Dual-Port Nested Co-Aperture Implantable Antenna for Multi-Band Biomedical IoMT Nodes
[NO] 193/1000 | Characteristics of Single-Shunt Rectifiers Under Negative-Voltage Conditions
[NO] 194/1000 | A Novel Privacy-Preserving Wind Power Forecasting Method Considering Regional Spatio-Temporal Correlations
[NO] 195/1000 | Safe but not Robust: Security Evaluation of VLM by Jailbreaking MSTS
[NO] 196/1000 | Synergizing 5G-uRLLC Connectivity and Low-Loss Magneto-Dielectric Antenna Systems for Resilient Autonomous Vehicles and UAVs
[NO] 197/1000 | Replication of a Three-Phase 200-kW Dynamic Wireless Power Transfer Pilot System for Standards-Oriented Testing
[NO] 198/1000 | Poisoning-Resilient Federated Load Forecasting for Smart Grids
[NO] 199/1000 | MPLNet: Multimorphology Power Line Instance Detection Network
[NO] 200/1000 | Data-Driven Embedded Learning Observer for Model-Free Control of a Multi-Phase Interleaved Step-Down Fuel Cell Converter
[NO] 201/1000 | Real-Time Deepfake Detection on IoT Edge Devices via Lightweight CNN and WebRTC Integration
[NO] 202/1000 | ESC Enables Protection of an Accelerator Superconducting Magnet With $&gt;$5 kA/mm$^{2}$ Copper Current Density
[NO] 203/1000 | Scaling SDN Control Planes with Multi-Agent Reinforcement Learning
[NO] 204/1000 | Constructing a Physics-Driven Dataset for Underwater Acoustic Signal Generation using Diffusion Models
[NO] 205/1000 | A Growth-Prior-Informed Forest Age Estimation Method Using Overlapping ICESat/GLAS and GEDI Footprints with Reduced Dependence on Field Calibration Data_supp1-3735540.docx
[NO] 206/1000 | Bi-Level Low-Carbon Optimal Scheduling for Distribution Networks Integrated with Distributed Generators
[NO] 207/1000 | Cavity-Enhanced Multilevel Nonvolatile Photonic Memory with Phase-change Nanobeam Cavities for In-memory Computing
[NO] 208/1000 | Model Predictive Control-Based Coordinated Control of Circulating Cooling Water Flow and Temperature in a Circulation Station
[NO] 209/1000 | Sideband Reduction in Pulse-Width Time-Modulated Arrays for WPT scenarios
[NO] 210/1000 | Nanocrystalline Core Structure Design for Non-Polarised IPT Pads
[NO] 211/1000 | Mambafolio: a Negative-Result Study of Modular Predict-Then-Optimize Portfolios Under Realistic Frictions
[NO] 212/1000 | Semi-Supervised Fast Food Classification Using Vision Transformers and FixMatch
[NO] 213/1000 | A SHA-256 Driven Tent Map and Dynamic S-Box Based Secure MRI Image Encryption Framework for Healthcare IoT Systems
