[2026-02-18 09:33:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-17
正在获取论文...
[arXiv] 2026-02-17 | A Content-Based Framework for Cybersecurity Refusal Decisions in Large Language Models
[IEEE] 2026-2-17 | Research on Binomial Distribution Experiment Design and Consistency Test Issues
[IEEE] 2026-2-17 | EEG-based Neurofeedback Gaming: A Non-Invasive Approach to Improve Sleep in Insomnia
[IEEE] 2026-2-17 | A Multi-Horizon Machine Learning Model for Sepsis Mortality Prediction in the ICU Based on Early Vital Sign Trends
[IEEE] 2026-2-17 | Frequency-Aware Weather Recognition for Transmission Corridors: Spectral Attention with Lightweight Self-Distillation
[IEEE] 2026-2-17 | Artificial Intelligence for Sustainability: Advancing Environmental, Social, and Economic Goals
[IEEE] 2026-2-17 | Deep learning phase unwrapping method based on convolutional block upsampling network
[IEEE] 2026-2-17 | Multimodal Knowledge Graph Construction and Application in Smart Curriculum
[IEEE] 2026-2-17 | An Improved YOLOv8-Based Method for Citrus Leaf Disease Recognition in Natural Scenes
[IEEE] 2026-2-17 | A Lightweight Hybrid CNN–Transformer Model for Liver Lesion Detection with Cloud-based Deployment
[IEEE] 2026-2-17 | Enhancing Urban Object Re-Identification With Part-Aware Transformers and Semantic-Guided Retrieval
[IEEE] 2026-2-17 | Adaptive control for hybrid stochastic delay systems based on LaSalle’s invariance principle
[IEEE] 2026-2-17 | Custom VLSI Framework for Real-Time Video Background Adaptation
[IEEE] 2026-2-17 | Improving Multiple Intelligence Learning Style Classification in E-Learning Using Feature Selection - Sequential Floating Forward Selection (SFFS) Technique
[IEEE] 2026-2-17 | Design Health Care Monitoring System Using ESP32 Controller Based on Cloud Computing
[IEEE] 2026-2-17 | A Logical Robotic Arm Fabrication to Perform Human Tasks and Monitoring Purposes Using Deep Learning Methodology
[IEEE] 2026-2-17 | Binary Code Featureless Mutation Approach Based on Encryption and Compression Consistency
[IEEE] 2026-2-17 | AI-Powered Simulation for Optimizing Ambulance Dispatch and Emergency Response
[IEEE] 2026-2-17 | Proof of Concept: Low-Cost Pressure Sensors Fabricated with a Modified Microhole Inter-Etch and Sealing (MIS) Process
[IEEE] 2026-2-17 | Visionary Code: An AI-Driven Platform for Blind and Visually Impaired Programmers
[IEEE] 2026-2-17 | Real-Time Stock Trading Simulation using Cloud Computing and Interactive Analytics with AI
[IEEE] 2026-2-17 | Optimal Current Sharing and Voltage Regulation in DC Microgrid Clusters Using a Hybrid ANN–GWO-Based Fixed-Time Consensus Algorithm
[IEEE] 2026-2-17 | Adaptive Optimal Control for DC-Bus Integration with A Single-Phase Microgrid Under Uncertain System Dynamics
[IEEE] 2026-2-17 | AI-driven Dried Coconut Classification Using Computer Vision
[IEEE] 2026-2-17 | Monitoring and Analysis System for the Growth Environment of Radix Codonopsis Pilosulae Based on DeepSeek-V3 and Internet of Things (IoT) Technology
[IEEE] 2026-2-17 | Automated Analysis of Exam Questions Based On Bloom’s Taxonomy
[IEEE] 2026-2-17 | Resident Issue Reporting System with AI-Powered Predictive Analytics and Blockchain Transparency
[IEEE] 2026-2-17 | Leveraging Post-Quantum Cryptography in Digital Signatures for Enhanced Security in Quantum Computing Threat
[IEEE] 2026-2-17 | A Comprehensive Review of Deep Learning and Machine Learning Approaches for Detecting Plant Nutrient Deficiencies and Diseases
[IEEE] 2026-2-17 | Multi Scale Attention Based Hybrid Resnest-Capsnet Deep Learning Model for Diabetics Retinopathy Detection
[IEEE] 2026-2-17 | Exploring the Role of AI in Transforming Programming Education at Universities: Qualitative and Quantitative Insights
[IEEE] 2026-2-17 | Dual-Attention Graph Neural Networks for SpatioTemporal Crime Forecasting and Patrol Optimization
[IEEE] 2026-2-17 | Two-Person Action Surveillance via Multi-Modal Feature Optimization and Markov Model
[IEEE] 2026-2-17 | Unsupervised Video Anomaly Detection Based on Dual-Branch Feature Refinement and Multi-Scale Dilated Dense Integration
[IEEE] 2026-2-17 | Deep Reinforcement Learning-Based Error Correction Method for Secure Data Transmission
[IEEE] 2026-2-17 | Twinshield: A Dual-Phase System for Detecting and Extracting Backdoors in VLMS
[IEEE] 2026-2-17 | Compressing Quantum Circuits via Learning Hermitian Operators
[IEEE] 2026-2-17 | Computer Vision-Driven Crop Disease Identification System for Yield Enhancement
[IEEE] 2026-2-17 | Cryogenic Sensor Performance Testing Methods and Data Analysis
[IEEE] 2026-2-17 | An IoT-Enabled Solar-Powered Multi-Crop Thresher with Real-Time Efficiency Monitoring: Design and Development
[IEEE] 2026-2-17 | Efficient CUDA-Based GNSS Tracking Architecture for High-Rate BeiDou B3I Signals
[IEEE] 2026-2-17 | An Integrated Agentic AI System for Early Nephropathy Risk Prediction and Prescription Safety
[IEEE] 2026-2-17 | PlantHealthNet: An Efficient CNN Model for Disease Diagnosis and Pesticide Recommendation
[IEEE] 2026-2-17 | Underwater Image Enhancement Based on Diffusion Model
[IEEE] 2026-2-17 | Secure Remote Access: A Scalable VPN Framework using Machine Learning-based Intrusion Detection with Random Forest
[IEEE] 2026-2-17 | Adaptive Cognitive Digital Twin Framework for Efficient Smart City Operations
[IEEE] 2026-2-17 | APRIX - Anomaly Powered Retail Index
[IEEE] 2026-2-17 | EvoTexFit: Perceptually Aware and Efficiently Adaptable Framework for Fashion Image Editing
[IEEE] 2026-2-17 | Establishing Ensemble Boosting Algorithm Based Models with SMOTE to Forecast the Initial Vulnerability of Gastric Cancer (GC) with Patient Dataset
[IEEE] 2026-2-17 | Performance Evaluation and Comparative Analysis of Energy-Efficient Clustering of Data Routing Protocols for WSNs
[IEEE] 2026-2-17 | OvaAI: HyperFused Multi-Modal Deep Learning and Graph-Augmented Diagnostics for Early Ovarian Cancer Detection
[IEEE] 2026-2-17 | A Secure Cloud-Based EHR System Integrating Advanced Blockchain Technology with an Attribute-Based Cryptosystem
[IEEE] 2026-2-17 | Architecting Resilient Global Network Infrastructure: Lessons from the Move Off Corp Modernization Program
[IEEE] 2026-2-17 | Control System Performance Evaluation Method Based on Improved Hellinger Distance under Sensor Degradation
[IEEE] 2026-2-17 | A Composite Approach for Gear Angular Displacement Measurement and Degradation Diagnosis Based on TMR Sensors and Eddy Current Effects
[IEEE] 2026-2-17 | Predictive Modeling of Academic Success Based on Real-Time Learning Behaviors in LMS Platforms
[IEEE] 2026-2-17 | Privacy-Preserving Glaucoma Detection Through Blockchain-Enabled Federated Deep Learning
[IEEE] 2026-2-17 | Hybrid Graph-Transformer Framework for Intelligent Pseudocode to Source Code Synthesis
[IEEE] 2026-2-17 | Internet of Things in the Era of Smart Applications: Emerging Trends and Future Challenges
[ACM] 2026-2-17 | Advancing Post-Quantum Cryptography: NIST's Standardization Efforts
[ACM] 2026-2-17 | The Influence of Single Parameter Changes on Subjective Experience and Ordering Performance of Electrotactile Cues
[ACM] 2026-2-17 | KNightCore: An Ultra-Lightweight NTT-Based Polynomial Multiplier for ML-KEM on Resource-Constrained Platforms
[IEEE] 2026-2-17 | ICICCS 2025 TOC
[IEEE] 2026-2-17 | PuneCon 2025 Schedule
[IEEE] 2026-2-17 | Task Offloading and Resource Optimization Based on Dependency-Aware Graph and Collaborative Deep Reinforcement Learning in Mobile Edge Computing
[IEEE] 2026-2-17 | Performance Evaluation and Experimental Validation of a Three-Level Neutral-Point-Clamped Inverter with 240CPWM
[IEEE] 2026-2-17 | Explainable Anomaly Detection in Dynamic Heterogeneous Graphs via Relation Evolution
[IEEE] 2026-2-17 | ICAICE 2025 Author Index
[IEEE] 2026-2-17 | ICAITech 2025 Cover Page
[IEEE] 2026-2-17 | EFEA 2025 Author Index
[IEEE] 2026-2-17 | ICIPW 2025 Author Index
[IEEE] 2026-2-17 | High-Frequency Seismic Data Reconstruction with Physical and Structure-Guided Constraints
[IEEE] 2026-2-17 | Incentive-compatible Flexibility Sharing for Enhancing Controllability and Economic Efficiency of Demand Response
[IEEE] 2026-2-17 | Incoherent Distributed Sources Tracking Algorithm for Massive MIMO Systems
[IEEE] 2026-2-17 | CroBIM-U: Uncertainty-Driven Referring Remote Sensing Image Segmentation
[IEEE] 2026-2-17 | Intelligent Network Intrusion Detection Using ML With Hybrid XGBoost and Anomaly Fusion
[IEEE] 2026-2-17 | Ovarian Cancer Diagnosis: A Data-Driven Machine Learning Approach
[IEEE] 2026-2-17 | Integrated AI Framework for Detection of Green Foliage Diseases and Sustainable Field Management
[IEEE] 2026-2-17 | Smart Diagnosis: Classifying Lung Nodules with Deep Learning
[IEEE] 2026-2-17 | AI-Driven Customer Satisfaction Analysis towards Blue Dart Courier Services
[IEEE] 2026-2-17 | PoachingTracker: Secure Incident Logging and Tracking with Blockchain Technology
[IEEE] 2026-2-17 | Ethical Concerns over AI Learning in Higher Education: A Survey of Curriculum Coverage
[IEEE] 2026-2-17 | A Comprehensive Deep Learning Framework for Enhanced Recognition and Analysis Using Trimmed Gait Energy Images
[IEEE] 2026-2-17 | Comparative Study of Hydrogen-Based and Battery-Based Frequency Support in an HVDC Connected AC System
[IEEE] 2026-2-17 | Regional Crop Yield Forecasting Using a Stacked Hybrid Model with Temporal Spatial Feature Fusion
[IEEE] 2026-2-17 | GUARDIAN AI: Real-Time Threat Detection and Alerting System
[IEEE] 2026-2-17 | A Novel Lightweight MobileGraphNet for Neonatal Hypoxic-Ischemic Encephalopathy Detection using Cranial Ultrasound Images
[IEEE] 2026-2-17 | Joint Optimization of UAV Trajectory and STAR-RIS Beamforming in NOMA Systems
[IEEE] 2026-2-17 | Two Issues in Modelling Fish Migration
[IEEE] 2026-2-17 | Hybrid Deep Learning with Explainable AI for Multimodal Fake News Detection
[IEEE] 2026-2-17 | Multi-AUV Collaborative Roundup Position Allocation Based on Improved Auction-Particle Swarm Optimisation Algorithm
[IEEE] 2026-2-17 | GeoAI-Platform: A Web-Based Microservice Architecture for Democratizing Geospatial Intelligence
[IEEE] 2026-2-17 | Advancements in Deep Learning Techniques for Automatic Text Assessment
[IEEE] 2026-2-17 | Structure-Guided Semantic Attribute Transfer in Diffusion Models
[IEEE] 2026-2-17 | Pharmaceutical Quality Assurance via Transformer-Based Deep Learning Models Forautomated Tablet Defect Detection
[IEEE] 2026-2-17 | High-Fidelity Coffee Plant Detection Using Yolov8 in Precision Agriculture
[IEEE] 2026-2-17 | Study on powder forming characteristics under the condition of forced feeding-pressing synchronization
[IEEE] 2026-2-17 | Three-phase Four-wire Photovoltaic Grid Connected Inverter Based on Repetitive Control
[IEEE] 2026-2-17 | Machine Learning-Powered Fault Detection Method for High-Voltage Transmission Lines
[IEEE] 2026-2-17 | Optimization of Signal Processing - Based Dadda Multiplier for Efficient Multiplication in Digital Signal Processing Applications
[IEEE] 2026-2-17 | BreathX: A Multi-Modal AI Framework for Lung Cancer Detection and Tumor Monitoring
[IEEE] 2026-2-17 | AI-Powered Blockchain-Backed System for Cross-Media Deepfake and Forgery Detection
[IEEE] 2026-2-17 | An IoT-Integrated Image Processing System for Real-Time Skin Tone and Hyperpigmentation Assessment
[IEEE] 2026-2-17 | A Review of Grid-Forming Inverter Validation across Distribution, Transmission, and T–D Integrated Networks
[IEEE] 2026-2-17 | Uncovering Key Cognitive Traits for Placement Success: A Multi-Dimensional Data Mining Approach
[IEEE] 2026-2-17 | Assessing Research Quality in Academic Institutions Using Google Scholar Metrics
[IEEE] 2026-2-17 | Design and Implementation of a Microcontroller Based Real Time Carbon Emission Monitoring System
[IEEE] 2026-2-17 | Deepfake Identification Strategies for Secure Cyberspace Engagement
[IEEE] 2026-2-17 | LightRAG-Enhanced Automated Question Generation System for Multi-Domain Educational Assessments
[IEEE] 2026-2-17 | Intelligent Design and Evaluation of Aesthetic Education Courses Empowered by Digital Technology
[IEEE] 2026-2-17 | Human-Centric AI Emotion Recognition to Enhance Collaboration in Industry 5.0 Smart Factories
[IEEE] 2026-2-17 | Decentralized Voting System Using Blockchain
[IEEE] 2026-2-17 | Enhancing Data Privacy in IoT-Enabled Healthcare Systems through Federated Learning and Secure Data Fusion
[IEEE] 2026-2-17 | Steel Tensile Strength Prediction Using Optimized LightGBM and Bias-Aware Data Preprocessing
[IEEE] 2026-2-17 | Thermal Image Based Breast Cancer Analysis Using Otsu's Thresholding and Deep Transfer Learning
[IEEE] 2026-2-17 | Deep Learning-Based Automated Detection and Classification of Ovarian Cancer from Medical Imaging
[IEEE] 2026-2-17 | Smart IoT-ML Ecosystem for Dynamic Pest Surveillance in Food Storage Environments
[IEEE] 2026-2-17 | Effective Rank-Based Layer-Wise Low-Rank Approximation for LLMs
[IEEE] 2026-2-17 | GPU-Based Large Planning Model for Mega-Constellations
[IEEE] 2026-2-17 | Application of Transmission Line Method in Characterizing the Conductive Materials in Frequency Domain
[IEEE] 2026-2-17 | Blockchain Based Secure Threat Detection Model for Industrial IoT Applications
共写入 1561 条记录，保存到 papers/paper2026-02-17.json。
论文获取成功，文件路径: papers/paper2026-02-17.json
正在筛选、翻译并发送邮件...
[NO] 1/1561 | A Content-Based Framework for Cybersecurity Refusal Decisions in Large Language Models
[NO] 2/1561 | Distinguishing Schwinger effect from Hawking radiation in Reissner-Nordstr{ö}m black holes via entanglement
[NO] 3/1561 | Robot-Assisted Social Dining as a White Glove Service
[NO] 4/1561 | Unforgeable Watermarks for Language Models via Robust Signatures
[NO] 5/1561 | Local Node Differential Privacy
[NO] 6/1561 | Multi-Objective Coverage via Constraint Active Search
[NO] 7/1561 | Optimal detection of planted stars via a random energy model
[NO] 8/1561 | Dust measurements with the Mars Dust Counter on board Nozomi (PLANET-B)
[NO] 9/1561 | Urysohn Width and Surgeries
[NO] 10/1561 | Revealing and Enhancing Core Visual Regions: Harnessing Internal Attention Dynamics for Hallucination Mitigation in LVLMs
[NO] 11/1561 | Tracking Time-Varying Multipath Channels forActive Sonar Applications
[NO] 12/1561 | RUVA: Personalized Transparent On-Device Graph Reasoning
[NO] 13/1561 | A homogeneous view of asymptotic giant branch carbon stars as seen by Gaia
[NO] 14/1561 | CEPAE: Conditional Entropy-Penalized Autoencoders for Time Series Counterfactuals
[NO] 15/1561 | Dynamic Training-Free Fusion of Subject and Style LoRAs
[NO] 16/1561 | Functional Central Limit Theorem for Stochastic Gradient Descent
[NO] 17/1561 | Reactive Coarse Grained Force Field for Metal-Organic Frameworks applied to Modeling ZIF-8 Self-Assembly
[NO] 18/1561 | Observing quantum many-body dynamics in emergent curved spacetime using programmable quantum processors
[NO] 19/1561 | Displacement memory in regular black hole spacetimes
[YES] 20/1561 | ExpertWeaver: Unlocking the Inherent MoE in Dense LLMs with GLU Activation Patterns
[NO] 21/1561 | The space of marked Dyer systems, monotonicity, and continuity of growth rates
[NO] 22/1561 | On the Geometric Coherence of Global Aggregation in Federated GNN
[NO] 23/1561 | LuxMT Technical Report
[NO] 24/1561 | Scaling solutions in three-form cosmology
[NO] 25/1561 | Polynomial-time isomorphism test for $k$-generated extensions of abelian groups
[NO] 26/1561 | Generalized Geometric Brownian motion and the Infinite Ergodicity concept
[NO] 27/1561 | Efficient Approximate Nearest Neighbor Search under Multi-Attribute Range Filter
[NO] 28/1561 | How to Detect Information Voids Using Longitudinal Data from Social Media and Web Searches
[NO] 29/1561 | Coronal Non-Thermal and Doppler Plasma Flows Driven by Photospheric Flux in 28 Active Regions
[NO] 30/1561 | Conformal Metrics on the Disk with Prescribed Negative Gaussian Curvature and Boundary Geodesic Curvature
[NO] 31/1561 | Electric-field-tuned consecutive topological phase transitions between distinct correlated insulators in moire MoTe2/WSe2 heterobilayer
[NO] 32/1561 | Hydrostatic Pressure-enhanced correlated magnetism and Chern insulator in moir'e WSe2
[NO] 33/1561 | Subgroups with all finite lifts isomorphic are conjugate
[NO] 34/1561 | A Universal Neural Receiver that Learns at the Speed of Wireless
[NO] 35/1561 | In Agents We Trust, but Who Do Agents Trust? Latent Source Preferences Steer LLM Generations
[NO] 36/1561 | Perturbative calculations of nucleon-deuteron elastic scattering in chiral effective field theory
[NO] 37/1561 | Molecular Design beyond Training Data with Novel Extended Objective Functionals of Generative AI Models Driven by Quantum Annealing Computer
[NO] 38/1561 | The First Instrumentally Documented Fall of an Iron Meteorite: atmospheric trajectory and ground impact
[NO] 39/1561 | Measuring Social Integration Through Participation: Categorizing Organizations and Leisure Activities in the Displaced Karelians Interview Archive using LLMs
[NO] 40/1561 | Fano varieties with split tangent sheaf
[NO] 41/1561 | Particle production, absorption, scattering, and geodesics in a Schwarzschild--Hernquist black hole
[NO] 42/1561 | A Robust Truncated-Domain Approach for Cone--Jet Simulations in Electrospinning and Electrospraying
[YES] 43/1561 | Social Life of Code: Modeling Evolution through Code Embedding and Opinion Dynamics
[NO] 44/1561 | Residue-Enhanced Pion-Rho Mixing as the Origin of Nonmonotonic Charged Pion Mass in Magnetic Fields
[NO] 45/1561 | Joint Enhancement and Classification using Coupled Diffusion Models of Signals and Logits
[NO] 46/1561 | One Agent to Guide Them All: Empowering MLLMs for Vision-and-Language Navigation via Explicit World Representation
[NO] 47/1561 | Hybrid F' and ROS2 Architecture for Vision-Based Autonomous Flight: Design and Experimental Validation
[NO] 48/1561 | Dual thermodynamic ensembles, relative entropies, and excess free energy
[YES] 49/1561 | Improving LLM Reliability through Hybrid Abstention and Adaptive Detection
[NO] 50/1561 | Bayesian Nonparametrics for Gene-Gene and Gene-Environment Interactions in Case-Control Studies: A Synthesis and Extension
[NO] 51/1561 | Automatic Funny Scene Extraction from Long-form Cinematic Videos
[NO] 52/1561 | Self-dual Stacked Quantum Low-Density Parity-Check Codes
[NO] 53/1561 | From PhysioNet to Foundation Models -- A history and potential futures
[NO] 54/1561 | MarkSweep: A No-box Removal Attack on AI-Generated Image Watermarking via Noise Intensification and Frequency-aware Denoising
[YES] 55/1561 | Automated Multi-Source Debugging and Natural Language Error Explanation for Dashboard Applications
[NO] 56/1561 | CREMD: Crowd-Sourced Emotional Multimodal Dogs Dataset
[NO] 57/1561 | Machine learning electronic structure and atomistic properties from the external potential
[NO] 58/1561 | Prescriptive Scaling Reveals the Evolution of Language Model Capabilities
[NO] 59/1561 | Realizing a Universal Quantum Gate Set via Double-Braiding of SU(2)k Anyon Models
[NO] 60/1561 | Bayesian Inference for Joint Tail Risk in Paired Biomarkers via Archimedean Copulas with Restricted Jeffreys Priors
[NO] 61/1561 | Enhancing Computational Efficiency in NetLogo: Best Practices for Running Large-Scale Agent-Based Models on AWS and Cloud Infrastructures
[NO] 62/1561 | Training-Free Zero-Shot Anomaly Detection in 3D Brain MRI with 2D Foundation Models
[NO] 63/1561 | The general Brannan coefficient conjecture and Watson's lemma
[NO] 64/1561 | Intellicise Wireless Networks Meet Agentic AI: A Security and Privacy Perspective
[NO] 65/1561 | AI Sessions for Network-Exposed AI-as-a-Service
[NO] 66/1561 | Visual Persuasion: What Influences Decisions of Vision-Language Models?
[NO] 67/1561 | Compact Q-balls and Q-shells within a $CP^N$ Skyrme-Faddeev type model
[NO] 68/1561 | When Remembering and Planning are Worth it: Navigating under Change
[NO] 69/1561 | Ensemble-size-dependence of deep-learning post-processing methods that minimize an (un)fair score: motivating examples and a proof-of-concept solution
[NO] 70/1561 | Perceptive Humanoid Parkour: Chaining Dynamic Human Skills via Motion Matching
[NO] 71/1561 | Connection formulas for Askey--Wilson polynomials and related expansions
[NO] 72/1561 | Separable C*-algebras Without the Countable Axiom of Choice
[NO] 73/1561 | Entanglement in the Dicke subspace
[NO] 74/1561 | On Graham's rearrangement conjecture
[NO] 75/1561 | Meteorological data and Sky Images meets Neural Models for Photovoltaic Power Forecasting
[YES] 76/1561 | *-PLUIE: Personalisable metric with Llm Used for Improved Evaluation
[NO] 77/1561 | New Challenges in Plasma Accelerators: Final Focusing for Wakefield Colliders
[NO] 78/1561 | NeRFscopy: Neural Radiance Fields for in-vivo Time-Varying Tissues from Endoscopy
[NO] 79/1561 | ViTaB-A: Evaluating Multimodal Large Language Models on Visual Table Attribution
[NO] 80/1561 | Power monoids and their arithmetic: a survey
[NO] 81/1561 | Hierarchical Decomposition of Separable Workflow-Nets
[NO] 82/1561 | Language and Geometry Grounded Sparse Voxel Representations for Holistic Scene Understanding
[NO] 83/1561 | Generalised Exponential Kernels for Nonparametric Density Estimation
[NO] 84/1561 | Weak mixing for area preserving flows on surfaces
[NO] 85/1561 | On the existence of a morphism between certain Artin-Schreier curves
[NO] 86/1561 | Controlled oscillation modeling using port-Hamiltonian neural networks
[NO] 87/1561 | Analytical Nuclear Gradients of State-Averaged Configuration Interaction Singles Variants: Application to Conical Intersections
[NO] 88/1561 | Upper bounds for logarithmic Gromov-Witten invariants of projective space
[NO] 89/1561 | Relative and lax volutive categories
[NO] 90/1561 | The stability of Yang-Mills connections on $δ$-pinched manifolds
[NO] 91/1561 | Generalized GMP Algebra for Three-Dimensional Quantum Hall Fluids of Extended Objects
[NO] 92/1561 | Entropy production reveals hidden dynamical constraints rather than stochastic disorder
[NO] 93/1561 | Self-phoretic oscillatory motion in a one-dimensional channel
[NO] 94/1561 | Beyond ReLU: Bifurcation, Oversmoothing, and Topological Priors
[NO] 95/1561 | SpecFuse: A Spectral-Temporal Fusion Predictive Control Framework for UAV Landing on Oscillating Marine Platforms
[NO] 96/1561 | Steenrod operations and symplectic arithmetic duality
[NO] 97/1561 | Magnetically assisted spin-resolved electron diffraction: Coherent control of spin population and spatial filtering
[NO] 98/1561 | Fast computation of temperature and polarization coupling matrices
[NO] 99/1561 | Aligned and misaligned metallicity gradients in young stars and star-forming regions in the EAGLE discs
[NO] 100/1561 | Influence of the Inhalation Route on Tracheal Flow Structures in Patient-Specific Airways using 3D PTV
[NO] 101/1561 | Hyperbolicity of Fermat-type curves and their complements
[NO] 102/1561 | Four fermion soft emission in QCD hard scattering
[NO] 103/1561 | Origin of a shallow electron pocket: $β$-band in Co$_{1/3}$TaS$_2$ studied by angle-resolved photoemission spectroscopy
[YES] 104/1561 | Algorithmic differentiation for domain specific languages in C++ with expression templates
[NO] 105/1561 | Charm and strange meson fragmentation functions
[NO] 106/1561 | Binge Watch: Reproducible Multimodal Benchmarks Datasets for Large-Scale Movie Recommendation on MovieLens-10M and 20M
[NO] 107/1561 | A discrete gradient scheme for preserving QSR-dissipativity
[NO] 108/1561 | On the efficiency of pairwise Hamiltonian control to desynchronize the higher-order Kuramoto model
[NO] 109/1561 | A Scalable Curiosity-Driven Game-Theoretic Framework for Long-Tail Multi-Label Learning in Data Mining
[NO] 110/1561 | EventMemAgent: Hierarchical Event-Centric Memory for Online Video Understanding with Adaptive Tool Use
[NO] 111/1561 | SCENE OTA-FD: Self-Centering Noncoherent Estimator for Over-the-Air Federated Distillation
[YES] 112/1561 | AgriWorld:A World Tools Protocol Framework for Verifiable Agricultural Reasoning with Code-Executing LLM Agents
[NO] 113/1561 | Revisiting the Sparse Matrix Compression Problem
[NO] 114/1561 | Near-real-time Solutions for Online String Problems
[NO] 115/1561 | What Do Neurons Listen To? A Neuron-level Dissection of a General-purpose Audio Model
[NO] 116/1561 | Sparse Additive Model Pruning for Order-Based Causal Structure Learning
[NO] 117/1561 | Hybrid Federated and Split Learning for Privacy Preserving Clinical Prediction and Treatment Optimization
[NO] 118/1561 | EAA: Automating materials characterization with vision language model agents
[NO] 119/1561 | A Projection Approach to Nonparametric Significance and Conditional Independence Testing
[NO] 120/1561 | State Feedback Control of State-Delayed LPV Systems using Dynamics IQCs
[NO] 121/1561 | Accelerating Large-Scale Dataset Distillation via Exploration-Exploitation Optimization
[NO] 122/1561 | To boost or not to boost, that's the question
[NO] 123/1561 | Intracoronary Optical Coherence Tomography Image Processing and Vessel Classification Using Machine Learning
[NO] 124/1561 | Accelerated Predictive Coding Networks via Direct Kolen-Pollack Feedback Alignment
[NO] 125/1561 | "What Are You Doing?": Effects of Intermediate Feedback from Agentic LLM In-Car Assistants During Multi-Step Processing
[NO] 126/1561 | Scenario Approach with Post-Design Certification of User-Specified Properties
[NO] 127/1561 | Either a Confidence Interval Covers, or It Doesn't (Or Does It?): A Model-Based View of Ex-Post Coverage Probability
[NO] 128/1561 | Fixed-Horizon Self-Normalized Inference for Adaptive Experiments via Martingale AIPW/DML with Logged Propensities
[NO] 129/1561 | A Counterexample to Matkowski's Conjecture for Quasi Graph-Additive Functions
[NO] 130/1561 | Optimal Classification of Three-Qubit Entanglement with Cascaded Support Vector Machine
[NO] 131/1561 | Homeomorphisms between compact subsets of real numbers
[NO] 132/1561 | Improved regularity for a composite functional equation stemming from the theory of means
[NO] 133/1561 | Advanced Acceptance Score: A Holistic Measure for Biometric Quantification
[YES] 134/1561 | Quantifying construct validity in large language model evaluations
[NO] 135/1561 | Improving MLLMs in Embodied Exploration and Question Answering with Human-Inspired Memory Modeling
[NO] 136/1561 | From Coils to Surface Recession: Fully Coupled Simulation of Ablation in ICP Wind Tunnels
[NO] 137/1561 | The Equalizer: Introducing Shape-Gain Decomposition in Neural Audio Codecs
[NO] 138/1561 | Uniform Narrow Excitonic Spectrum in Large-Area Suspended WSe2 Monolayers
[NO] 139/1561 | Evaluating Federated Learning for Cross-Country Mood Inference from Smartphone Sensing Data
[NO] 140/1561 | The Skeletal Trap: Mapping Spatial Inequality and Ghost Stops in Ankara's Transit Network
[NO] 141/1561 | Students' understanding of the 2D Heat Equation: An APOS approach
[NO] 142/1561 | Static black holes in an external uniform electromagnetic field: Reissner-Nordstrom accelerating in Bertotti-Robinson
[NO] 143/1561 | Benchmarking IoT Time-Series AD with Event-Level Augmentations
[NO] 144/1561 | Relations for partitions with distinct even parts except the largest part which is even
[NO] 145/1561 | Photoionization of temperature-controlled nanoparticles in a beam: Accurate and efficient determination of ionization energies and work functions
[NO] 146/1561 | GaiaFlow: Semantic-Guided Diffusion Tuning for Carbon-Frugal Search
[NO] 147/1561 | Dolbeault-Dirac operators on compact Kähler manifolds in Banach noncommutative geometry
[YES] 148/1561 | Memory Reallocation with Polylogarithmic Overhead
[NO] 149/1561 | Framed null curves and timelike surfaces via Lorentzian harmonic maps into de-Sitter 2-space
[NO] 150/1561 | Singularities on timelike minimal surfaces in Lorentzian Heisenberg group
[NO] 151/1561 | Hennessy-Milner Logic in CSLib, the Lean Computer Science Library
[NO] 152/1561 | Constant curvature rotational nets and periodic Bäcklund transforms
[NO] 153/1561 | Fairness over Equality: Correcting Social Incentives in Asymmetric Sequential Social Dilemmas
[NO] 154/1561 | Development and validation of a sharp interface immersed boundary method for high-speed flows
[NO] 155/1561 | Efficient Generative Modeling beyond Memoryless Diffusion via Adjoint Schrödinger Bridge Matching
[NO] 156/1561 | MEV in Binance Builder
[NO] 157/1561 | Fractional-Order Federated Learning
[NO] 158/1561 | Asymptotic Tightness of the Pigeonhole Bound for Large-Order Davenport-Schinzel Sequences
[NO] 159/1561 | Tailoring multiple scattering acoustic media with perfect transmission for non-Abelian braiding and beyond
[NO] 160/1561 | Semantics-Aware Denoising: A PLM-Guided Sample Reweighting Strategy for Robust Recommendation
[NO] 161/1561 | From Blaschke--Santaló-type inequalities to uniform contractions
[NO] 162/1561 | Hidden Structural Control of Solvent Transport under Soft Jamming
[NO] 163/1561 | On basic $r$-ball polyhedra
[NO] 164/1561 | Effective and Robust Multimodal Medical Image Analysis
[NO] 165/1561 | ER-MIA: Black-Box Adversarial Memory Injection Attacks on Long-Term Memory-Augmented Large Language Models
[NO] 166/1561 | Lifelong Scalable Multi-Agent Realistic Testbed and A Comprehensive Study on Design Choices in Lifelong AGV Fleet Management Systems
[NO] 167/1561 | QwaveMPS: An efficient open-source Python package for simulating non-Markovian waveguide-QED using matrix product states
[YES] 168/1561 | CrispEdit: Low-Curvature Projections for Scalable Non-Destructive LLM Editing
[NO] 169/1561 | Finite Free Information Inequalities
[NO] 170/1561 | Stabilizing Test-Time Adaptation of High-Dimensional Simulation Surrogates via D-Optimal Statistics
[YES] 171/1561 | Developing AI Agents with Simulated Data: Why, what, and how?
[NO] 172/1561 | Avey-B
