[2026-01-16 09:15:31] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-15
正在获取论文...
[arXiv] 2026-01-15 | Are Language Models Models?
[arXiv] 2026-01-15 | Multi-Constrained Evolutionary Molecular Design Framework: An Interpretable Drug Design Method Combining Rule-Based Evolution and Molecular Crossover
[arXiv] 2026-01-15 | Enhancing Visual In-Context Learning by Multi-Faceted Fusion
[arXiv] 2026-01-15 | MATRIX AS PLAN: Structured Logical Reasoning with Feedback-Driven Replanning
[arXiv] 2026-01-15 | Caught in Swallowtails: Discovery of Two Swallowtail Image Formations in MS 0451.6-0305
[arXiv] 2026-01-15 | Mark My Works Autograder for Programming Courses
[arXiv] 2026-01-15 | Diquark mass and quark-diquark potential by lattice QCD using an extended HAL QCD method with a static quark
[arXiv] 2026-01-15 | Bayesian Meta-Analyses Could Be More: A Case Study in Trial of Labor After a Cesarean-section Outcomes and Complications
[arXiv] 2026-01-15 | Starfield: Demand-Aware Satellite Topology Design for Low-Earth Orbit Mega Constellations
[arXiv] 2026-01-15 | Thinking Like Van Gogh: Structure-Aware Style Transfer via Flow-Guided 3D Gaussian Splatting
[arXiv] 2026-01-15 | Simplicial spheres with $g_k=1$
[arXiv] 2026-01-15 | Global convergence of the subgradient method for robust signal recovery
[arXiv] 2026-01-15 | Unlabeled Data Can Provably Enhance In-Context Learning of Transformers
[arXiv] 2026-01-15 | Disentangled Concept Representation for Text-to-image Person Re-identification
[arXiv] 2026-01-15 | Revisiting the nuclear island of negative hexadecapole deformations in A$\approx$180 mass region: focusing on moments of inertia and quadrupole-hexadecapole coupling
[arXiv] 2026-01-15 | A note on exact approximations
[arXiv] 2026-01-15 | Weighted least squares estimation by multivariate-dependent weights for linear regression models
[arXiv] 2026-01-15 | Collective behavior based on agent-environment interactions
[arXiv] 2026-01-15 | Instruction Finetuning LLaMA-3-8B Model Using LoRA for Financial Named Entity Recognition
[arXiv] 2026-01-15 | On the Sasakian Structure of Manifolds with Nonnegative Transverse Bisectional Curvature
[arXiv] 2026-01-15 | Electronic structure theory of H$_{3}$S: Plane-wave-like valence states, density-of-states peak and its guaranteed proximity to the Fermi level
[arXiv] 2026-01-15 | PID-Guided Partial Alignment for Multimodal Decentralized Federated Learning
[arXiv] 2026-01-15 | Reentrant topological phases and entanglement scalings in moiré-modulated extended Su-Schrieffer-Heeger Model
[arXiv] 2026-01-15 | Outrunning Big KATs: Efficient Decision Procedures for Variants of GKAT
[arXiv] 2026-01-15 | Context Volume Drives Performance: Tackling Domain Shift in Extremely Low-Resource Translation via RAG
[arXiv] 2026-01-15 | Federated Unlearning in Edge Networks: A Survey of Fundamentals, Challenges, Practical Applications and Future Directions
[arXiv] 2026-01-15 | Stochastic Calculus as Operator Factorization
[arXiv] 2026-01-15 | Precise Mass Measurement of the $^{149}$La-$^{149}$Ce-$^{149}$Pr isobaric chain
[arXiv] 2026-01-15 | The Galois Structure of the Spaces of polydifferentials on the Drinfeld Curve
[arXiv] 2026-01-15 | Take Out Your Calculators: Estimating the Real Difficulty of Question Items with LLM Student Simulations
[arXiv] 2026-01-15 | Beyond UV: Rest-frame B-band and Apparent Luminosity Functions of z=5-9 Galaxies
[arXiv] 2026-01-15 | Distributed Perceptron under Bounded Staleness, Partial Participation, and Noisy Communication
[arXiv] 2026-01-15 | LIBERTy: A Causal Framework for Benchmarking Concept-Based Explanations of LLMs with Structural Counterfactuals
[arXiv] 2026-01-15 | Quantum geometry of the rotating shallow water model
[arXiv] 2026-01-15 | Data-driven stochastic reduced-order modeling of parametrized dynamical systems
[arXiv] 2026-01-15 | Vertex operator algebra bundles on modular curves and their associated modular forms
[arXiv] 2026-01-15 | Breaking the Storage-Bandwidth Tradeoff in Distributed Storage with Quantum Entanglement
[arXiv] 2026-01-15 | MHD modelling of open flux evolution around solar maximum by coronal model COCONUT
[arXiv] 2026-01-15 | Efficiency, Curvature, and Complexity of Quantum Evolutions for Qubits in Nonstationary Magnetic Fields
[arXiv] 2026-01-15 | Safe Trajectory Gradient Flow Control of a Grid-Interfacing Inverter
[arXiv] 2026-01-15 | The recipe for the degrees of freedom
[arXiv] 2026-01-15 | The inducibility of Turán graphs
[arXiv] 2026-01-15 | In-Context Operator Learning on the Space of Probability Measures
[arXiv] 2026-01-15 | Job Anxiety in Post-Secondary Computer Science Students Caused by Artificial Intelligence
[arXiv] 2026-01-15 | Adversarial Hypothesis Testing for Quantum Channels
[arXiv] 2026-01-15 | Minimally Truncated SU(3) Lattice Gauge Theory and String Tension
[arXiv] 2026-01-15 | Perfect Secret Key Generation for a class of Hypergraphical Sources
[arXiv] 2026-01-15 | Higher order trade-offs in hypergraph community detection
[arXiv] 2026-01-15 | LatentRefusal: Latent-Signal Refusal for Unanswerable Text-to-SQL Queries
[arXiv] 2026-01-15 | Revealing Neutrino Mass Ordering at CEPC and FCC-ee
[arXiv] 2026-01-15 | Exponential improvement in benchmarking multiphoton interference
[arXiv] 2026-01-15 | DInf-Grid: A Neural Differential Equation Solver with Differentiable Feature Grids
[arXiv] 2026-01-15 | Quantum Maxwell Erasure Decoder for qLDPC codes
[arXiv] 2026-01-15 | From One-to-One to Many-to-Many: Dynamic Cross-Layer Injection for Deep Vision-Language Fusion
[arXiv] 2026-01-15 | High-accuracy and dimension-free sampling with diffusions
[arXiv] 2026-01-15 | UFO Trees: Practical and Provably-Efficient Parallel Batch-Dynamic Trees
[arXiv] 2026-01-15 | The Effective Theory of Muon-to-Electron Conversion
[arXiv] 2026-01-15 | Communication-Efficient and Privacy-Adaptable Mechanism -- a Federated Learning Scheme with Convergence Analysis
[arXiv] 2026-01-15 | The Conversational Exam: A Scalable Assessment Design for the AI Era
[arXiv] 2026-01-15 | On the origin of neural scaling laws: from random graphs to natural language
[arXiv] 2026-01-15 | Implementation of Oblivious Transfer over Binary-Input AWGN Channels by Polar Codes
[arXiv] 2026-01-15 | Irregular higher-spin generating equations and chiral perturbation theory
[arXiv] 2026-01-15 | Are Your Reasoning Models Reasoning or Guessing? A Mechanistic Analysis of Hierarchical Reasoning Models
[arXiv] 2026-01-15 | Optimal Proximity Gap for Folded Reed--Solomon Codes via Subspace Designs
[arXiv] 2026-01-15 | Correlated states in charge-transfer heterostructures based on rhombohedral multilayer graphene
[arXiv] 2026-01-15 | GeoSteer: Faithful Chain-of-Thought Steering via Latent Manifold Gradients
[arXiv] 2026-01-15 | Growth and hydrostatic-pressure study of a type-II superconductor Bi$_2$Ta$_3$S$_6$ single crystal
[arXiv] 2026-01-15 | Combinatorial properties of holographic entropy inequalities
[arXiv] 2026-01-15 | Classical simulation of a quantum circuit with noisy magic inputs
[arXiv] 2026-01-15 | Convex combination of first and second eigenvalues of trees
[arXiv] 2026-01-15 | On Existence of Girth-8 QC-LDPC Code with Large Column Weight: Combining Mirror-sequence with Classification Modulo Ten
[arXiv] 2026-01-15 | RAG-3DSG: Enhancing 3D Scene Graphs with Re-Shot Guided Retrieval-Augmented Generation
[arXiv] 2026-01-15 | Advancing Adaptive Multi-Stage Video Anomaly Reasoning: A Benchmark Dataset and Method
[arXiv] 2026-01-15 | Advances on two spectral conjectures regarding booksize of graphs
[arXiv] 2026-01-15 | The BINGO project X. Cosmological parameter constraints from HI Intensity Mapping lognormal simulations
[arXiv] 2026-01-15 | Simple Network Graph Comparative Learning
[arXiv] 2026-01-15 | Warm Hybrid Axion Inflation in $α$-Attractor Models Constrained by ACT and Future Plan experiments
[arXiv] 2026-01-15 | Physics-informed neural networks for angular-momentum conservation in computational relativistic spin hydrodynamics
[arXiv] 2026-01-15 | Function Correcting Codes for Maximally-Unbalanced Boolean Functions
[arXiv] 2026-01-15 | Curvature-driven manifold fitting under unbounded isotropic noise
[arXiv] 2026-01-15 | Is More Context Always Better? Examining LLM Reasoning Capability for Time Interval Prediction
[arXiv] 2026-01-15 | Hubble Tension and Dark Energy in Teleparallel Gauss-Bonnet Gravity: New Constraints from DESI BAO, Pantheon$^+$ and Hubble Data
[arXiv] 2026-01-15 | Role-Playing Agents Driven by Large Language Models: Current Status, Challenges, and Future Trends
[arXiv] 2026-01-15 | Casimir interactions as a probe of broadband optical response
[arXiv] 2026-01-15 | Bayesian Model Selection for Complex Flows of Yield Stress Fluids
[arXiv] 2026-01-15 | Following the Teacher's Footsteps: Scheduled Checkpoint Distillation for Domain-Specific LLMs
[arXiv] 2026-01-15 | SIN-Bench: Tracing Native Evidence Chains in Long-Context Multimodal Scientific Interleaved Literature
[arXiv] 2026-01-15 | When Personas Override Payoffs: Role Identity Bias in Multi-Agent LLM Decision-Making
[arXiv] 2026-01-15 | Admissibility Breakdown in High-Dimensional Sparse Regression with L1 Regularization
[arXiv] 2026-01-15 | LeMoF: Level-guided Multimodal Fusion for Heterogeneous Clinical Data
[arXiv] 2026-01-15 | Adaptive Label Error Detection: A Bayesian Approach to Mislabeled Data Detection
[arXiv] 2026-01-15 | Sharp propagation of chaos in Rényi divergence
[arXiv] 2026-01-15 | Efficient Content-based Recommendation Model Training via Noise-aware Coreset Selection
[arXiv] 2026-01-15 | CoF-T2I: Video Models as Pure Visual Reasoners for Text-to-Image Generation
[arXiv] 2026-01-15 | Kovács' conjecture on characterisation of projective space and hyperquadrics
[arXiv] 2026-01-15 | Recurrence relations for the coefficients of the confluent and Gauss hypergeometric functions in the complex plane
[arXiv] 2026-01-15 | Resistive Memory based Efficient Machine Unlearning and Continual Learning
[arXiv] 2026-01-15 | Contextuality Derived from Minimal Decision Dynamics: Quantum Tug-of-War Decision Making
[arXiv] 2026-01-15 | Stability and instability of small BGK waves
[arXiv] 2026-01-15 | PaperScout: An Autonomous Agent for Academic Paper Search with Process-Aware Sequence-Level Policy Optimization
[arXiv] 2026-01-15 | Fundamental Limits of Coded Polynomial Aggregation
[arXiv] 2026-01-15 | STCRank: Spatio-temporal Collaborative Ranking for Interactive Recommender System at Kuaishou E-shop
[arXiv] 2026-01-15 | A New Overture to Classical Simple Type Theory, Ketonen-type Gentzen and Tableau Systems
[arXiv] 2026-01-15 | An introduction to weightings along submanifolds
[arXiv] 2026-01-15 | Empowering Older Adults in Digital Technology Use with Foundation Models
[arXiv] 2026-01-15 | VERHallu: Evaluating and Mitigating Event Relation Hallucination in Video Large Language Models
[arXiv] 2026-01-15 | The "I" in FAIR: Translating from Interoperability in Principle to Interoperation in Practice
[arXiv] 2026-01-15 | Same Activity, Divergent Impacts: Representing Paths Towards Physics Computational Literacy and Physics Identity with Conjecture Mapping-Based Narrative Analysis
[arXiv] 2026-01-15 | DW-DGAT: Dynamically Weighted Dual Graph Attention Network for Neurodegenerative Disease Diagnosis
[arXiv] 2026-01-15 | Gatekeeping: a Partial History of Cold Fusion
[arXiv] 2026-01-15 | Double Markovity for quantum systems
[arXiv] 2026-01-15 | On directional second-order tangent sets of analytic sets and applications in optimization
[arXiv] 2026-01-15 | FaTRQ: Tiered Residual Quantization for LLM Vector Search in Far-Memory-Aware ANNS Systems
[arXiv] 2026-01-15 | Estimating the effect of lymphovascular invasion on 2-year survival probability under endogeneity: a recursive copula-based approach
[arXiv] 2026-01-15 | DR$^2$Seg: Decomposed Two-Stage Rollouts for Efficient Reasoning Segmentation in Multimodal Large Language Models
[arXiv] 2026-01-15 | Einstein and Yang-Mills implies conformal Yang-Mills
[arXiv] 2026-01-15 | SPRInG: Continual LLM Personalization via Selective Parametric Adaptation and Retrieval-Interpolated Generation
[arXiv] 2026-01-15 | Correspondences in computational and dynamical complexity II: forcing complex reductions
[arXiv] 2026-01-15 | An Exploratory Study to Repurpose LLMs to a Unified Architecture for Time Series Classification
[arXiv] 2026-01-15 | Kinematic Tokenization: Optimization-Based Continuous-Time Tokens for Learnable Decision Policies in Noisy Time Series
[arXiv] 2026-01-15 | Reconstructing Reed-Solomon Codes from Multiple Noisy Channel Outputs
[arXiv] 2026-01-15 | On the reconstruction of kinematic distributions computed with Monte Carlo methods using orthogonal basis functions
[arXiv] 2026-01-15 | On the Canonical Construction of Simple Lie Superalgebras
[arXiv] 2026-01-15 | Optimality in nonlocal time-dependent obstacle problems
[arXiv] 2026-01-15 | Bounding many-body properties under partial information and finite measurement statistics
[arXiv] 2026-01-15 | A Predictive Model for Synergistic Oncolytic Virotherapy: Unveiling the Ping-Pong Mechanism and Optimal Timing of Combined Vesicular Stomatitis and Vaccinia Viruses
[arXiv] 2026-01-15 | A Collection of Pinsker-type Inequalities for Quantum Divergences
[arXiv] 2026-01-15 | Codebook Design for Limited Feedback in Near-Field XL-MIMO Systems
[arXiv] 2026-01-15 | The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models
[arXiv] 2026-01-15 | Experimental Realization of Rabi-Driven Reset for Fast Cooling of a High-Q Cavity
[arXiv] 2026-01-15 | A Hybrid Reliability--Weight Framework for Construction of Polar Codes
[arXiv] 2026-01-15 | Two-Loop DGLAP Splitting Functions from Light Cone Perturbation Theory
[arXiv] 2026-01-15 | The Direct-Product Decomposition Approach for Symmetry Exploitation in Many-Body Methods in Case of Non-Abelian Point Groups
[arXiv] 2026-01-15 | Generalized Weight Structure of Polar Codes: Selected Template Polynomials
[arXiv] 2026-01-15 | EvoMorph: Counterfactual Explanations for Continuous Time-Series Extrinsic Regression Applied to Photoplethysmography
[arXiv] 2026-01-15 | Unlocking Implicit Experience: Synthesizing Tool-Use Trajectories from Text
[arXiv] 2026-01-15 | A New Construction Structure on MISO Coded Caching with Linear Subpacketization: Half-Sum Disjoint Packing
[arXiv] 2026-01-15 | Characteristic free Galois rings and generalized Weyl algebras
[arXiv] 2026-01-15 | Convertible Codes for Data and Device Heterogeneity
[arXiv] 2026-01-15 | Distinguishing Quantum Matter by Gravity with Differential Scattering Cross Section at Tree Level
[arXiv] 2026-01-15 | Polymultiplicative maps associated with the algebra of Iterated Laurent series and the higher-dimensional Contou-Carrere Symbol
[arXiv] 2026-01-15 | Think-Then-Generate: Reasoning-Aware Text-to-Image Diffusion with LLM Encoders
[arXiv] 2026-01-15 | Neural-network-based high-speed and high-definition full-field dynamic optical coherence tomography
[arXiv] 2026-01-15 | Principles of Optics in the Fock Space: Scalable Manipulation of Giant Quantum States
[arXiv] 2026-01-15 | Multimessenger Prospects for Low-Luminosity Gamma-Ray Bursts: Joint Neutrino and X-Ray Observations
[arXiv] 2026-01-15 | We Need a More Robust Classifier: Dual Causal Learning Empowers Domain-Incremental Time Series Classification
[arXiv] 2026-01-15 | Kummer-faithful fields with finitely generated absolute Galois group
[arXiv] 2026-01-15 | SPIKE: Sparse Koopman Regularization for Physics-Informed Neural Networks
[arXiv] 2026-01-15 | Optimal control of a dissipative micromaser quantum battery in the ultrastrong coupling regime
[arXiv] 2026-01-15 | The impact of tactile sensor configurations on grasp learning efficiency -- a comparative evaluation in simulation
[arXiv] 2026-01-15 | Asymptotic Theory of Tail Dependence Measures for Checkerboard Copula and the Validity of Multiplier Bootstrap
[arXiv] 2026-01-15 | Model order reduction of piecewise linear mechanical systems using invariant cones
[arXiv] 2026-01-15 | Nuclear Toeplitz operators between Fock spaces
[arXiv] 2026-01-15 | Beyond Inpainting: Unleash 3D Understanding for Precise Camera-Controlled Video Generation
[arXiv] 2026-01-15 | Coherence Limits in Interference-Based cos(2$\varphi$) Qubits
[arXiv] 2026-01-15 | BeamCKMDiff: Beam-Aware Channel Knowledge Map Construction via Diffusion Transformer
[arXiv] 2026-01-15 | Autonomous Quantum Simulation through Large Language Model Agents
[arXiv] 2026-01-15 | HOMURA: Taming the Sand-Glass for Time-Constrained LLM Translation via Reinforcement Learning
[arXiv] 2026-01-15 | Effect of Number of Bilayers on the Anomalous Hall Effect in [Si/Fe]N Multilayers
[arXiv] 2026-01-15 | Bias in the Shadows: Explore Shortcuts in Encrypted Network Traffic Classification
[arXiv] 2026-01-15 | Distributed Linearly Separable Computation with Arbitrary Heterogeneous Data Assignment
[arXiv] 2026-01-15 | A Low-Complexity Architecture for Multi-access Coded Caching Systems with Arbitrary User-cache Access Topology
[arXiv] 2026-01-15 | ReasAlign: Reasoning Enhanced Safety Alignment against Prompt Injection Attack
[arXiv] 2026-01-15 | PACEvolve: Enabling Long-Horizon Progress-Aware Consistent Evolution
[arXiv] 2026-01-15 | Symmetry-based Perspectives on Hamiltonian Quantum Search Algorithms and Schrodinger's Dynamics between Orthogonal States
[arXiv] 2026-01-15 | A note on strong similarity and the Connes embedding problem
[arXiv] 2026-01-15 | Quantifying the properties of evolutionary quantum states of the XXZ spin model using quantum computing
[arXiv] 2026-01-15 | Medium-Induced Quarkonium Dissociation at Finite Chemical Potential and Weak Magnetic Field
[arXiv] 2026-01-15 | VoiceSculptor: Your Voice, Designed By You
[arXiv] 2026-01-15 | Massless-Massive Amplitude Correspondence II: Constructive Massive Amplitudes in Standard Model
[arXiv] 2026-01-15 | Extrinsic Vector Field Processing
[arXiv] 2026-01-15 | A young progenitor for the most common planetary systems in the Galaxy
[arXiv] 2026-01-15 | Supergravity with Lagrange Multiplier Fields in 2 + 1 Dimensions
[arXiv] 2026-01-15 | Combinatorial Optimization Augmented Machine Learning
[arXiv] 2026-01-15 | Achievable Degrees of Freedom Analysis and Optimization in Massive MIMO via Characteristic Mode Analysis
[arXiv] 2026-01-15 | Long-term Monitoring of Kernel and Hardware Events to Understand Latency Variance
[arXiv] 2026-01-15 | Corrections for systematic errors in slit-profiler transverse phase space measurements
[arXiv] 2026-01-15 | Sparse Signal Recovery from Random Measurements
[arXiv] 2026-01-15 | Inferring signed social networks from contact patterns
[arXiv] 2026-01-15 | Rewriting Systems on Arbitrary Monoids
[arXiv] 2026-01-15 | (a,b)-Fibonacci-Legendre Cordial Graphs and k-Pisano-Legendre Primes
[arXiv] 2026-01-15 | HeartMuLa: A Family of Open Sourced Music Foundation Models
[arXiv] 2026-01-15 | Spatio-spectrally tailored multimode metasurface lasers in the visible range
[arXiv] 2026-01-15 | CoGen: Creation of Reusable UI Components in Figma via Textual Commands
[arXiv] 2026-01-15 | Shock Signatures of the Successive Type-II Solar Radio Bursts at Meter Wavelength
[arXiv] 2026-01-15 | Twisted Cherednik spectrum as a $q,t$-deformation
[arXiv] 2026-01-15 | CROCS: A Two-Stage Clustering Framework for Behaviour-Centric Consumer Segmentation with Smart Meter Data
[arXiv] 2026-01-15 | Plasmon dynamics in graphene
[arXiv] 2026-01-15 | A proof of the soliton resolution conjecture for the Benjamin--Ono equation
[arXiv] 2026-01-15 | Mesh Denoising
[arXiv] 2026-01-15 | A Construction Framework of Coded Caching Scheme for Multi-Access MIMO Systems via Knapsack Problem
[arXiv] 2026-01-15 | Convex Efficient Coding
[arXiv] 2026-01-15 | H-EFT-VA: An Effective-Field-Theory Variational Ansatz with Provable Barren Plateau Avoidance
[arXiv] 2026-01-15 | Urban Socio-Semantic Segmentation with Vision-Language Reasoning
[arXiv] 2026-01-15 | Optimal error estimates for a discontinuous Galerkin method on curved boundaries with polygonal meshes
[arXiv] 2026-01-15 | Symmetric spaces, non-formal star products and Drinfel'd twists
[arXiv] 2026-01-15 | SurgGoal: Rethinking Surgical Planning Evaluation via Goal-Satisfiability
[arXiv] 2026-01-15 | Minimal-Energy Optimal Control of Tunable Two-Qubit Gates in Superconducting Platforms Using Continuous Dynamical Decoupling
[arXiv] 2026-01-15 | Submesoscale and boundary layer turbulence under mesoscale forcing in the upper ocean
[arXiv] 2026-01-15 | AgentGuardian: Learning Access Control Policies to Govern AI Agent Behavior
[arXiv] 2026-01-15 | ASTRA: A Python Package for Cross-Instrument Stellar and Telluric Template Construction
[arXiv] 2026-01-15 | Geometric characterization of frictional impacts by means of breakable kinetic constraints
[arXiv] 2026-01-15 | Untangling Input Language from Reasoning Language: A Diagnostic Framework for Cross-Lingual Moral Alignment in LLMs
共写入 773 条记录，保存到 papers/paper2026-01-15.json。
论文获取成功，文件路径: papers/paper2026-01-15.json
正在筛选、翻译并发送邮件...
[NO] 1/773 | Are Language Models Models?
[NO] 2/773 | Cloud parameter estimation for interacting BEC after time-of-flight
[NO] 3/773 | Basal-plane anisotropy of field-induced multipolar order in tetragonal CeRh$_2$As$_2$
[NO] 4/773 | TF3-RO-50M: Training Compact Romanian Language Models from Scratch on Synthetic Moral Microfiction
[NO] 5/773 | CS-GBA: A Critical Sample-based Gradient-guided Backdoor Attack for Offline Reinforcement Learning
[NO] 6/773 | A comparison of simulation tools for Muon-Induced X-ray Emission (MIXE) in thin films: a study case with lithium batteries
[NO] 7/773 | Wilson-Fisher renormalization of discrete gravity-capillary wave turbulence in viscous fluids
[NO] 8/773 | Long Period Transients (LPTs): a comprehensive review
[NO] 9/773 | INDIC DIALECT: A Multi Task Benchmark to Evaluate and Translate in Indian Language Dialects
[NO] 10/773 | Does Cognitive Load Affect Human Accuracy in Detecting Voice-Based Deepfakes?
[NO] 11/773 | On surgeries from lens space $L(p,1)$ to $L(q,2)$
[NO] 12/773 | Dynamic reinsurance via martingale transport
[NO] 13/773 | A two-step inertial method with a new step-size rule for variational inequalities in hilbert spaces
[NO] 14/773 | Self-supervised restoration of singing voice degraded by pitch shifting using shallow diffusion
[YES] 15/773 | OctoBench: Benchmarking Scaffold-Aware Instruction Following in Repository-Grounded Agentic Coding
[NO] 16/773 | CHORAL: Traversal-Aware Planning for Safe and Efficient Heterogeneous Multi-Robot Routing
[NO] 17/773 | Triggered urn models for frequently asked questions (FAQ)
[NO] 18/773 | Radiation Shielding Performance of Different Concrete Materials: A Systematic Review
[NO] 19/773 | Low-Complexity Blind Estimator of SNR and MSE for mmWave Multi-Antenna Communications
[NO] 20/773 | Addition to the dynamic Stark shift of the coherent population trapping resonance
[NO] 21/773 | Extracting intrinsic alignments in the Dark Energy Survey's year 1 data, using the self-calibration method and LSST-DESC tools
[NO] 22/773 | Hierarchical Refinement of Universal Multimodal Attacks on Vision-Language Models
[NO] 23/773 | Deformations of Chow groups via cyclic homology
[NO] 24/773 | Effects of spontaneous Lorentz Symmetry breaking on Letelier-AdS charged black boles within Kalb-Ramond gravity
[NO] 25/773 | Complex scalar relativistic field as a probability amplitude
[NO] 26/773 | On refinements of two-term Machin-like formulas
[NO] 27/773 | Global minimizers for a two-sided biharmonic Alt-Caffarelli problem
[NO] 28/773 | Two dimensional covering systems and possible prime producing $a^m-b^n$
[NO] 29/773 | Design, Fabrication and Testing of a D-Shaped High Temperature Superconducting Magnet
[NO] 30/773 | Updated electrical design of the Diagnostic Neutral Beam Injector in RFX-mod2
[NO] 31/773 | Atelier à la conférence IHM 2025 : RA Permanente
[NO] 32/773 | High-Contrast Transmission Resonances for the Lamé System
[NO] 33/773 | Cycle dependence of helioseismic oscillations above the acoustic cut-off frequency
[NO] 34/773 | Optimisation of the lowest Robin eigenvalue in exterior domains of the hyperbolic plane
[NO] 35/773 | Selecting and Testing Asset Pricing Models: A Stepwise Approach
[NO] 36/773 | Queueing-Aware Optimization of Reasoning Tokens for Accuracy-Latency Trade-offs in LLM Servers
[NO] 37/773 | Nonadiabatic couplings drive ultrafast, mode-selective intramolecular vibrational energy redistribution in flavins
[NO] 38/773 | Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders
[NO] 39/773 | Transmission Mask Analysis for Range-Doppler Sensing in Half-Duplex ISAC
[YES] 40/773 | Evolving with AI: A Longitudinal Analysis of Developer Logs
[NO] 41/773 | TRIM: Hybrid Inference via Targeted Stepwise Routing in Multi-Step Reasoning Tasks
[NO] 42/773 | Gravitational lensing beyond the eikonal approximation
[NO] 43/773 | Ramsey number of a cycle versus a graph of a given size
[NO] 44/773 | Fundamental Limitations of Favorable Privacy-Utility Guarantees for DP-SGD
[NO] 45/773 | A flower theorem in $\mathbb{C}^n$
[NO] 46/773 | Inconsistency of Reinhardt cardinals with $\mathsf{ZF}$
[NO] 47/773 | Volume penalization method for simulating flows around a rotating solid with multiple reference frame and sliding mesh
[NO] 48/773 | A Unified Dynamical Field Theory of Learning, Inference, and Emergence
[YES] 49/773 | Agentic Pipelines in Embedded Software Engineering: Emerging Practices and Challenges
[NO] 50/773 | Biharmonic and Interpolating Sesqui-Harmonic Vector Fields with Respect to the varphi-Sasakian Metric
[NO] 51/773 | Topo-RAG: Topology-aware retrieval for hybrid text-table documents
[NO] 52/773 | PADER: Paillier-based Secure Decentralized Social Recommendation
[NO] 53/773 | Terrain-Adaptive Mobile 3D Printing with Hierarchical Control
[NO] 54/773 | Outlier eigenvalues and eigenvectors of generalized Wigner matrices with finite-rank perturbations
[NO] 55/773 | ELITE: Efficient Gaussian Head Avatar from a Monocular Video via Learned Initialization and TEst-time Generative Adaptation
[NO] 56/773 | HUMANLLM: Benchmarking and Reinforcing LLM Anthropomorphism via Human Cognitive Patterns
[NO] 57/773 | Physically Unclonable Functions Based on Single-Walled Carbon Nanotubes: A Scalable and Inexpensive Method toward Unique Identifiers
[NO] 58/773 | From Physical Degradation Models to Task-Aware All-in-One Image Restoration
[NO] 59/773 | How does downsampling affect needle electromyography signals? A generalisable workflow for understanding downsampling effects on high-frequency time series
[NO] 60/773 | Service Provisioning and Path Planning with Obstacle Avoidance for Low-Altitude Wireless Networks
[NO] 61/773 | Observation Timelines for the Potential Lunar Impact of Asteroid 2024 YR4
[NO] 62/773 | Optimal universal bounds for waves with varied coherence based on supremum and infimum coherence spectra
[NO] 63/773 | Sporadic Creutzfeldt Jakob disease presenting with cerebral atrophy following traumatic brain injury mimicking hydrocephalus a case report and literature review
[NO] 64/773 | Boundary treatment algorithms for meshfree RANS turbulence modeling
[NO] 65/773 | Uniform stability of the inverse Sturm-Liouville problem on a star-shaped graph
[NO] 66/773 | One-Shot Broadcast Joint Source-Channel Coding with Codebook Diversity
[NO] 67/773 | Michael-Simon inequality for anisotropic energies close to the area via multilinear Kakeya-type bounds
[NO] 68/773 | Emergent electric field induced by dissipative sliding dynamics of domain walls in a Weyl magnet
[NO] 69/773 | Parametric RDT approach to computational gap of symmetric binary perceptron
[NO] 70/773 | Dynamics of Late time cosmology in $f(Q,L_{m})$ Gravity with Constraints from DESI DR2 BAO Data
[NO] 71/773 | Source localisation in simple random walks
[NO] 72/773 | Massless-Massive Amplitude Correspondence I: Helicity-chirality Matching and On-shell Higgsing
[NO] 73/773 | A Bayesian Discrete Framework for Enhancing Decision-Making Processes in Clinical Trial Designs and Evaluations
[NO] 74/773 | The directedness of the Rudin-Keisler order at measurable cardinals
[NO] 75/773 | On the Physical Origins of the Millimeter Fundamental Plane in Active Galactic Nuclei
[NO] 76/773 | Local times and excursions for self-similar Markov trees
[NO] 77/773 | Multi-Objective Pareto-Front Optimization for Efficient Adaptive VVC Streaming
[NO] 78/773 | Schur--Horn type inequalities for hyperbolic polynomials
[NO] 79/773 | Action100M: A Large-scale Video Action Dataset
[YES] 80/773 | Be Your Own Red Teamer: Safety Alignment via Self-Play and Reflective Experience Replay
[NO] 81/773 | Mitigating GIL Bottlenecks in Edge AI Systems
[NO] 82/773 | HST Observations of HD 166620 and Tau Ceti: First UV Spectra of a Magnetic Grand Minimum Star and the Extent of Tau Ceti's Astrosphere
[NO] 83/773 | Jordan-Segmentable Masks: A Topology-Aware definition for characterizing Binary Image Segmentation
[NO] 84/773 | Hydrodynamic Limit with a Weierstrass-type result
[NO] 85/773 | Generative AI collective behavior needs an interactionist paradigm
[NO] 86/773 | Rapid post-merger signal of circularly polarized gravitational wave from magnetic black hole superradiance: novel approach to detect magnetic monopole
[NO] 87/773 | Enhancing the quality of gauge images captured in smoke and haze scenes through deep learning
[NO] 88/773 | SVII-3D: Advancing Roadside Infrastructure Inventory with Decimeter-level 3D Localization and Comprehension from Sparse Street Imagery
[NO] 89/773 | Coarsening Causal DAG Models
[NO] 90/773 | Learning from Brain Topography: A Hierarchical Local-Global Graph-Transformer Network for EEG Emotion Recognition
[NO] 91/773 | BikeActions: An Open Platform and Benchmark for Cyclist-Centric VRU Action Recognition
