[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[NO] 65/1797 | LaT: LLM-as-Trainer for Multi-Task Vehicle Routing Solvers
[NO] 66/1797 | Proceedings 42nd International Conference on Logic Programming
[NO] 67/1797 | Multiple soliton regimes enabled by parametric down-conversion in $χ^{(2)}+χ^{(3)}$ microresonators
[NO] 68/1797 | A Functional Central Limit Theorem for Localized Partial Sums of Non-Stationary Time Series
[NO] 69/1797 | Artificial Intelligence for Understanding and Managing Transportation Behavior in Sustainable Smart Cities
[NO] 70/1797 | Memory-Supported Synergistic Adaptation for Training-Free Test-Time Medical Image Segmentation
[NO] 71/1797 | Equality, Equity, and Causality in Fairness Research: A Commentary on Cheng (2026)
[NO] 72/1797 | Selectivity Matters: Source Node Influence Pruning for Unsupervised Graph Domain Adaptation
[NO] 73/1797 | Early Yield Prediction for Sugar Beet Fields using Satellite Data -- Learnings from Specialized Vision Transformers
[NO] 74/1797 | CW Cas: A solar-type contact binary system with an unseen third companion in a hierarchical quadruple system
[NO] 75/1797 | Probing disk dynamics and dust evolution through shadows in protoplanetary disks: A case study of the HD 142527 disk
[NO] 76/1797 | Optimal mode-sorting coronagraphy: limits of single-moded measurements for the Habitable Worlds Observatory
[NO] 77/1797 | Ghost-wave momentum bandgaps in anisotropic Floquet lattices
[NO] 78/1797 | Higher-Order Hankel Obstructions to Free Infinite Divisibility for Beta Distributions
[YES] 79/1797 | BTOR2-Based C Program Verification via Hardware Model Checking
[NO] 80/1797 | Re-Sonance: A Dysarthric Asynchronous Real-Time Speech Conversion System Based on a Three-Stage Cascaded ASR-LLM-TTS Architecture
[NO] 81/1797 | Nonlinearity-induced chirality in resonant metasurfaces
[NO] 82/1797 | Miles: Metric Learning with Expandable Subspace for Pre-Trained Model-Based Class-Incremental Learning
[NO] 83/1797 | Disorder-induced Dark States Line Shape in Pump-Probe Spectroscopy of Polaritons
[NO] 84/1797 | Pixel-Space Diffusion Transformers
[NO] 85/1797 | $\mathbb{Z}^2$ is flexibly stable in the operator norm
[NO] 86/1797 | Quantum-Resilient Banking Transaction Security using DW-HKEM: A Hybrid RSA/ML-KEM Cryptographic Gateway with Real-Time
[NO] 87/1797 | COLIP-2: Olfaction-Vision-Language Embeddings
[NO] 88/1797 | Volatility-Aware Extreme Event Detection in High-Frequency Financial Markets
[NO] 89/1797 | Human-in-the-Loop User Feedback Affects Perceived Accuracy and Trust, but Task Subjectivity Matters
[NO] 90/1797 | Finite-Time Curvature-Constrained Vector Field for Saturation-Free Motion Planning of Nonholonomic Robots
[YES] 91/1797 | Program Synthesis for Simulation-Based Inference: Joint Model Selection and Parameter Estimation
[NO] 92/1797 | Multireference Density Matrix Embedding for Spin-Phonon Relaxation
[NO] 93/1797 | Oracle Gap and Signal Fidelity: A Fixed-Pool Diagnostic for Test-Time Collaboration
[NO] 94/1797 | Thinking in Video: Can Video Generators Really Reason About the Real World?
[NO] 95/1797 | One-step lowest-variance selection in a Gaussian random-field model motivated by masked diffusion: Total correlation and a square root collision threshold
[NO] 96/1797 | DiFA: Inference-Time Forward-Process Alignment for Diffusion Models
[NO] 97/1797 | MEVION: Low-Cost Open-Source Data Collection System for Powerful and High-Speed Dual-Arm Manipulation
[NO] 98/1797 | A multiplicity theorem for a class of nonlocal elliptic equations involving even nonlinearities
[NO] 99/1797 | Privacy-preserving causal mediation analysis using distributed electronic health record networks
[NO] 100/1797 | Dynamical system for PageRank with a time-dependent memory
[NO] 101/1797 | Coadjoint averaging and cross-scale fluxes in a fast-slow stochastic Euler-Arnold system on $SU(N)$
[NO] 102/1797 | Comparing explicit likelihood and likelihood-free simulation-based inference for weak lensing cosmic shear
[NO] 103/1797 | On the use of equilibrium models to describe dynamic adsorption regimes
[NO] 104/1797 | PRIME: Plasticity Recovery in Multi-Agent Environments for UAV-Assisted Emergency Communication Networks
[NO] 105/1797 | Sensing relativistic quantum fields with minimally perturbing local measurements
[NO] 106/1797 | Femtosecond-to-millisecond holographic imaging of laser ablation dynamics
[NO] 107/1797 | Localized crystallization of Ce:YIG thin films on Si using CO2 laser annealing for integrated nonreciprocal photonic device applications
[NO] 108/1797 | Nonlinear Dynamics of Current-Carrying ELM Filaments: Spiral Vorticity, Rotation, and Velocity Suppression
[NO] 109/1797 | Mixture-of-Experts Serving
[NO] 110/1797 | Entanglement geometry separates circuit cutting, classical hardness, and trainability
[NO] 111/1797 | Spatio-kinematical structure of the Galactic Nuclear Stellar Disk revealed in VLBI astrometry of circumstellar masers
[NO] 112/1797 | Black hole spin-mass correlation and vector resonant relaxation in gaseous star clusters: the origin of GW231123?
[NO] 113/1797 | Integrable Volterra hierarchies over nonabelian algebras
[NO] 114/1797 | Physically Consistent Outflow Boundary Conditions for Global Stability Analysis of Bluff Body Wakes
[NO] 115/1797 | First Observation of an Exotic Reggeon
[NO] 116/1797 | From Blind Search to Memory-Aware Evolution: Efficient DBMS Tuning via Collaborative Diagnosis and Utility-Aware Retrieval
[NO] 117/1797 | When a Name Is Not a Name: A Benchmark Dataset and Distilled Reasoning for Culturally Entangled Bangla Homographs in Low-Resource LLMs
[NO] 118/1797 | Spin relaxation in $X$-wave magnets with $X=p, d, f, g, i$
[NO] 119/1797 | DESTINY: a new binding-energy-resolved astrochemical framework. Self-Consistent Competitiveness using Branched Absorbing Markov Chains
[NO] 120/1797 | Minimizers and Weak Solutions for Singular Born--Infeld Type Functionals
[NO] 121/1797 | ReViV: Reconstructing the Viewer and the View in 4D from Monocular Egocentric Video
[NO] 122/1797 | BrainNext: A General-Purpose Self-Supervised Foundation Model for Brain MRI Analysis
[NO] 123/1797 | Persona-as-Configuration: Generative Stakeholder Reporting for Agricultural Floods
[NO] 124/1797 | Limiting Stationarity of Regularized Gap-Function Reformulations for Bilevel Optimization with Unbounded Multipliers
[NO] 125/1797 | Generalize and Guide: Decomposing Rewards for Few-Shot Inverse Reinforcement Learning
[NO] 126/1797 | Ah-SCDFT:A general approach for superconductivity with an-harmonic corrections
[NO] 127/1797 | Performance Enhancement of Gas Electron Multipliers Using an Optimized Single-Conical Hole Geometry for Different Charged Particles
[NO] 128/1797 | Moment duality and an improved lower bound for Korenblum's constant
[NO] 129/1797 | Semantically Similar, Logically Distinct: Diagnosing the Semantic-Answerability Gap in Table RAG
[NO] 130/1797 | Observable Consequences of Mental Accounting
[NO] 131/1797 | Light-Cone Scaling of In-Circuit Noise in Randomized Measurements
[NO] 132/1797 | On Mixtures of Three Homoscedastic Gaussian Densities: An Unconditional Sharper Bound on the Number of Modes
[NO] 133/1797 | Mean-field equilibrium price formation under single-default risk
[NO] 134/1797 | Unique inversion of smooth nonlinearity in semilinear wave equations on Lorentzian manifolds
[NO] 135/1797 | Simultaneous inference of isotropic and anisotropic polarization rotation angles for next-generation cosmic microwave background experiments
[NO] 136/1797 | Diverge-Merge Formation and MAC Control in Structured Airspace
[NO] 137/1797 | Patch Policy: Efficient Embodied Control via Dense Visual Representations
[NO] 138/1797 | It's Not What You Say, It's How You Say It: Evaluating LLM Responses to Expressions of Belief
[NO] 139/1797 | FM-VLA: Force-based Memory for Vision-Language-Action Models in Contact-Rich Manipulation
[NO] 140/1797 | Breaking the $f_{\text{NL}}$--$b_φ$ degeneracy with the time evolution of tracer number counts
[NO] 141/1797 | Vector Search As Nearest Neighbor Matching: RAG-based Policy Learning in Causal Inference
[NO] 142/1797 | Nonexistence of Simultaneously EF1 and Pareto Optimal Allocations for Submodular Valuations
[NO] 143/1797 | Search for continuous gravitational waves from the pulsar J0435+3233
[NO] 144/1797 | Position-dependent tight-binding model for Li impurities in monolayer and bilayer graphene
[NO] 145/1797 | Contrasting $Γ$- and K-Valley Moiré Physics in Twisted Monolayer/Bilayer WSe$_2$
[NO] 146/1797 | Unveiling Invariant and Transferable Latent Factors Across Heterogeneous Environments via ATLAS
[NO] 147/1797 | Benchmarking wall velocities in cosmological phase transitions: Fluid Ansatz and WallGo
[NO] 148/1797 | Learning Adaptive Safety Margins for Visual Navigation
[NO] 149/1797 | Hardware Robustness of Sample-Based Quantum Diagonalization
[NO] 150/1797 | anyakrakusuma: A Python Library for Entropic Schrödinger Bridges on Idealized Geometries
[NO] 151/1797 | Machine Learning Potential-Driven Molecular Dynamics Simulations of Dehydrogenation in Pristine and Doped MgH$_2$
[NO] 152/1797 | BCover: An Electronic Structure-Based Scoring Suite for Reaction-Aware Covalent Docking
[NO] 153/1797 | An approach to systemic risks of AI through the lens of emergence, collective action problems, and externalities
[YES] 154/1797 | TRIM: Reducing AI-Generated CodeSlop via Agent Trajectory Minimization
[NO] 155/1797 | jina-reranker-v3.5: An Efficient Listwise Reranker with Hybrid Attention and Self-Distillation
[NO] 156/1797 | Plenoptic Condensation: A Novel Approach to Generalized Scene Reconstruction
[NO] 157/1797 | Totally Positive Matrices and the Highest-Order Coefficients of the Characteristic Polynomial
[NO] 158/1797 | LLMs and Agentic AI Systems for Smart Grids: A Tutorial on Architectures and Applications
[NO] 159/1797 | The realization graph of every degree sequence has a Hamilton path
[NO] 160/1797 | An Unsupervised Search for Novel Instrumental Glitches in LIGO O4a: Multi-Scale Sensitization, Empirical Physical Vetoes, and Rate Upper Limits
[NO] 161/1797 | Physics-Guided Spectral Parametric Reduced-Order Modeling for Transient Prediction of Controlled Dynamical Systems
[NO] 162/1797 | Manifold-Constrained Hyper-Connections for Parameter-Efficient Finetuning
[NO] 163/1797 | CutBackdoor: A Circuit Cut Triggered Backdoor Attack on Variational Quantum Algorithms
[NO] 164/1797 | Quantifying the Information Gain from Future High-Precision Radius Measurements for Identifying Twin Neutron Stars
[NO] 165/1797 | Exact generalized Turán number of vertex-disjoint paths of length two
[NO] 166/1797 | Superconductivity in MgHCu3 perovskite revisited
[NO] 167/1797 | Occlusion-Aware Panoptic Segmentation with Joint Position Embedding and Occlusion-Level Attention
[NO] 168/1797 | GARAGE: Characterizing the Automation Boundary in LLM-based Attack Graph Generation
[NO] 169/1797 | FinSAgent: Corpus-Aligned Multi-Agent RAG Framework for Evidence-Grounded SEC Filing Question Answering
[NO] 170/1797 | Can We Break LLMs Out of Self-Loops? Fine-Grained Reasoning Control with Activation Steering
[NO] 171/1797 | DFT+U+V is equivalent to DFT+U with density-dependent hybridized projectors
[NO] 172/1797 | The Brownian loop-catcher
[NO] 173/1797 | Human Grounded Evaluation of Large Language Models for Optical Network Automation
[NO] 174/1797 | Foundry CMOS platform for multimodal quantum materials characterization
[NO] 175/1797 | Co-addition and Subtraction of Undersampled Images
[NO] 176/1797 | New bound on $S_{1}\times S_{2}$-setting Bell locality of a nonseparable Werner state
[NO] 177/1797 | Determinant values on lattices
[NO] 178/1797 | Euler-Poisson equations with velocity-dependent damping
[NO] 179/1797 | Benchmarking NACTI Species Recognition in Long-Tailed Regimes
[NO] 180/1797 | Universal Dynamic Scaling of 2D Quantum Ising Transition on the Fuzzy Sphere
[NO] 181/1797 | Modeling rare-earth and energy materials supply chains under theoretical China-outer-Mongolia political reunification scenarios
[NO] 182/1797 | Uniform-in-time rational approximation of the matrix exponential with real poles
[NO] 183/1797 | MADA-RL: Multi-Agent Debate-Aware Reinforcement Learning for Parameter-Efficient Reasoning in Compact Models
[NO] 184/1797 | Mirror vs. inversion symmetry breaking in mesogenic dimers: NTB vs. NF phase
[NO] 185/1797 | Skew CRT codes and their decoding in poly skew metric
[NO] 186/1797 | KernelDiag: Agent-Based Root Cause Diagnosis for Kernel Crashes
[NO] 187/1797 | PC-Seg: Progressive Cross-View Consistency for 3D OCT Segmentation from Sparse 2D Annotations
[NO] 188/1797 | Emergent odd response in active chiral films
[NO] 189/1797 | Image Classification on IBM Quantum Computers
[NO] 190/1797 | Measuring Computational Thinking Self-Efficacy (CT-SEI): Instrument development and preliminary evaluation
[NO] 191/1797 | Suppression of Non-Hermitian Skin Effect by Pseudomagnetic Field in Honeycomb Lattice
[NO] 192/1797 | Generalized Reynolds Analogy for Compressible Turbulent Boundary Layers: Unified Velocity-Temperature Relations from Mean to Fluctuating Field
[NO] 193/1797 | A Globally Calibrated Bayesian Optimal Phase II Design for Adaptive Enrichment Trials
[NO] 194/1797 | Luminosity-Adaptive Contrast Enhancement Using CLAHE for Retinal Fundus Images with Quantitative Validation and Comparative Analysis
[NO] 195/1797 | d-band filling dictates magnetic stability in Mn- and Co-substituted FeRh alloys
[NO] 196/1797 | Monotonicity and Frank-Wolfe Dynamics in Atomic Splittable Congestion Games
[NO] 197/1797 | Tilted Anisotropic Dirac Fermions in an Exponentially Decaying Magnetic Field
[NO] 198/1797 | Uncovering Latent Reasoning Strategies in Language Models
[NO] 199/1797 | Ambiguity Function Analysis of Pilot-Embedded Random OFDM Signals
[NO] 200/1797 | Harmonic oscillation and orbital morphology for spinning charged quantum corrected black hole
[NO] 201/1797 | OrientSAM: Mitigating Camera-Centric Shortcut in Multimodal Spatial Reasoning via Orientation-Aware Spatial Alignment
[NO] 202/1797 | LFM: Leveraging Foundation Models for Source-Free Universal Domain Adaptation
[NO] 203/1797 | Informal Learning Emerges in Everyday Human-LLM Interaction
[YES] 204/1797 | Verify, Repair, Repeat, or Stop? Robust Stopping for Noisy Verify-Repair Loops in LLM Agents
[NO] 205/1797 | A Digital Twin-Based Method for Evaluating Local Collective Tariffs in Distribution-Level Energy Systems
[NO] 206/1797 | Reviving Ancient Paintings via Poem: A Colorization Framework for Aligning Cultural Semantics
[NO] 207/1797 | MixDiffusion: Mixing Diffusion-based Uni-condition Text-to-Image Generation Models for Multi-condition Image Synthesis
[NO] 208/1797 | TypiCore: A Hybrid Active Query Strategy for Class-Incremental Learning on Time Series
[NO] 209/1797 | Waveform Design for OTFS Assisted Simultaneous Acoustic Information and Power Transfer
[NO] 210/1797 | It Matters How You Say It: Exploring Rhetorical Patterns for AI-Assisted Information Evaluation
[YES] 211/1797 | Insecure Coding Preferences in Long-Term Memory: Security Risks for LLM-based Code Generation
[NO] 212/1797 | Spatial nonlocality imaging via metasurface
[NO] 213/1797 | On the Separation Between the Brightest Cluster Galaxy and the Intracluster Light
[NO] 214/1797 | Two-stage Adaptive Testing of Large-scale Mediation Hypotheses
[NO] 215/1797 | pyHB: an open-source automatic-differentiation-enhanced semi-analytical solver for nonlinear dynamics
[NO] 216/1797 | Cross-Domain Acceleration of Open Modification Search: From Commodity Platforms to Emerging Memory and Storage Devices
[NO] 217/1797 | CoCurve: Cross-Module Co-Pruning Curvature for Training-Free Structured LLM Pruning
[NO] 218/1797 | The Intrinsic Multiphase Gas--Black Hole Connection across Scales in IllustrisTNG
[NO] 219/1797 | ZifaMem: Structured Memory for Persona, Preference, and Emotional Continuity in AI Companions
[NO] 220/1797 | Self-Directed Spectrum Allocation Framework for Integrated TN-NTN 6G Networks
[NO] 221/1797 | Consumption and Investment in Incomplete Markets with Epstein-Zin Preferences in Infinite Horizon
[NO] 222/1797 | First double red giant Algol system with active mass transfer
[NO] 223/1797 | Latin Squares whose transversals intersect in unusual ways
[NO] 224/1797 | Predicting Grasping Compliance in Robotic Hands through Analytical-Model-Informed Neural Networks
[NO] 225/1797 | Salience Induction against Multi-Hop RAG Agents: Threat and Defense
[NO] 226/1797 | Non-equilibrium Effects in Vibrational Modes Pumped by Inelastic Tunneling
[NO] 227/1797 | GeoWorldAD: Geometry World Action Model for Autonomous Driving
[NO] 228/1797 | Generalized BCH Codes and Twisted Goppa Codes Attaining Their Designed Distances
[NO] 229/1797 | Extending Elle for Transaction Workloads with Duplicate Values
[NO] 230/1797 | After the Euclidean Highway: Hyperbolic Expert AI as the Next Innovation
[NO] 231/1797 | ShadowPickle: Evading Machine Learning Model Scanners via Stealthy Pickle Deserialization Attacks
[NO] 232/1797 | Vector mesons leading-twist longitudinal distribution amplitudes and related semi-leptonic decays within QCD sum rules
[NO] 233/1797 | CADMM-Prox: A Bi-level Consensus ADMM for Non-smooth Non-convex Distributed Consensus Optimization
[NO] 234/1797 | Finite Potential Energy for Entire Solutions of the Planar Ginzburg--Landau Equation
[YES] 235/1797 | Chiral Analysis of Smart Contracts: Detecting Vulnerabilities from Relational Inconsistencies Across Business Paths
[NO] 236/1797 | Distilling Global Traversability Priors for Image-based Affordance Prediction in Off-road Environments
[NO] 237/1797 | Information-Based Exploration via Random Features for Reinforcement Learning
[NO] 238/1797 | Counting Lattice Rectangles in $O(n\log n)$ Operations
[NO] 239/1797 | The Art of Not Forgetting
[NO] 240/1797 | The Aura in the Machine: Genealogy and the Status of the Work of Art in the Generative Era
[NO] 241/1797 | DeLIVeR: Decomposed Learning for Information-grounded Veracity Recognition via Reinforced Knowledge Graph Exploration
[NO] 242/1797 | Engineering Social Networks: How Initial Group Assignment Shapes Student Social Interactions
[NO] 243/1797 | Quantum numbers of excited $Ξ_c^\prime$ and $Ω_c$ baryons and the $P$-wave $Σ_c$ spectrum
[NO] 244/1797 | On dimonoids of small order
[NO] 245/1797 | Transition to chaos in two-dimensional Rayleigh-Bénard convection: the role of the magnetic field
[NO] 246/1797 | Packet-Loss Robust 3D Gaussian Compression via Atomic Packaging and GNN-based Error Concealment
[NO] 247/1797 | Reflected Schrodinger Bridge Problem over Sub-Riemannian Manifold
[NO] 248/1797 | Harness TTS: Towards Context-Aware Expressive Speech Synthesis with Harness Layer
[NO] 249/1797 | Beyond Car Sharing: Uncertainty-Aware Pooling of Vehicular Compute at the Network Edge
[NO] 250/1797 | Thermal management optimization of Battery Electric Vehicles via hierarchical NMPC with CMO-trained Neural Models
[NO] 251/1797 | Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworthy Enterprise AI
[NO] 252/1797 | Task-Oriented Precoding for Edge Inference over Large-Scale MIMO Systems
[NO] 253/1797 | Dynamical Timelike Entanglement Entropy in an Evaporating Schwarzschild--AdS Black Hole
[NO] 254/1797 | An Augmented Load-Frequency Control Block Diagram for Power Systems
[NO] 255/1797 | Almost sure spatial decay and almost sure nonlinear smoothing of some stochastic dispersive equations
[NO] 256/1797 | Massive MIMO-OFDM ISAC for Sparse ISAR Imaging: Joint Power and Subcarrier Allocation
[NO] 257/1797 | ConceptTree: Bringing Semantic Transparency to Black-Box Decision Making for Robotic Manipulation
[NO] 258/1797 | CRT*: Conditional Randomization Testing with Heterogeneous External and Unlabeled Data
[NO] 259/1797 | Molecular chirality controls droplet division and helical fiber formation in liquid crystal emulsions
[NO] 260/1797 | High-frequency dual-channel lock-in detection via rapidly oscillating driving
[NO] 261/1797 | Consistent Feature Transport for Image Relighting
[NO] 262/1797 | Multisine electrochemical impedance spectroscopy for Li-ion battery characterisation
[NO] 263/1797 | A Gate-and-Menu Theory of Collective Tourism Brand Value
[NO] 264/1797 | Photonic Memory as a Dynamical Phase for Neuromorphic Computing: A Unified Framework with Experimental Realization
[NO] 265/1797 | Revealing a multi-zone circumnuclear dust response in UGC~11487 through phase-resolved WISE W1--W2 diagnostics
[NO] 266/1797 | A2RL V\textsubscript{max}: The A2RL autonomous racing dataset for long-range, high-speed perception and multi-vehicle interaction
[NO] 267/1797 | Vis2Reg: Visibility-Aware Landmark-Free Geometric 3D--2D Registration for Liver Laparoscopy
[NO] 268/1797 | Graphs with zero as a main eigenvalue of the signless Laplacian
[NO] 269/1797 | Stochastic Pauli-path simulator for large-scale quantum optimization
[NO] 270/1797 | Impurity-induced Inverse Faraday Effect
[NO] 271/1797 | Binary White Dwarfs as Gravitational Wave Sources for LISA
[NO] 272/1797 | Simplicial arrangements with special vertex
[NO] 273/1797 | Feature Attribution-Based Explainability Analysis of Deep Learning Models in Predictive Process Monitoring
[NO] 274/1797 | ETAS: An Effect-Typed Language for Agent Systems
[NO] 275/1797 | Comparing Missing Data Methods for Estimating Average Treatment Effects Under Time-Varying Confounding: A Simulation Study
[NO] 276/1797 | Measuring Monosemanticity in Sparse Autoencoders via Latent Activation Coherence
[NO] 277/1797 | When to Use Extra Context: Evidence-Grounded Terminology Adaptation for Simultaneous Speech Translation
[NO] 278/1797 | Time-Frequency Consistency Learning for Robust Speech Deepfake Detection
[NO] 279/1797 | Seg2Grasp: A Robust Modular Suction Grasping in Bin Picking
[NO] 280/1797 | DA-Fusion: Deformable Attention-Based RGB-D Fusion Transformer for Unseen Object Instance Segmentation
[NO] 281/1797 | Far-Infrared Star Formation Rates of Quasar Host Galaxies from Multiwavelength Spectral Energy Distribution Decomposition
[NO] 282/1797 | WuYu-EnvLE-Bench: A Benchmark for Evaluating Large Language Models in Environmental Law Enforcement
[NO] 283/1797 | Feedback-mediated circulation and persistence of stochastic fluctuations in gene regulatory circuits
[NO] 284/1797 | Generative Transmission: Rethinking Computation, Bandwidth, and Memory in Communication
[NO] 285/1797 | Identification and Inference with Machine-Learned Instruments
[NO] 286/1797 | RAMP: Robust Ad Recommendation Under Limited Personalized-Feature Availability via Masking and Alignment Pathways
[NO] 287/1797 | The deformed Vortex equations and equivariant stability conditions
[NO] 288/1797 | Super-resolution imaging enabled by higher-order Bessel Gaussian beams in nanoscale optical structures
[NO] 289/1797 | Rapidity-even Dipolar Flow in Relativistic Heavy-Ion Collisions
[NO] 290/1797 | Optically Thick Outflow Driven by Supercritical Accretion May Explain Little Red Dots
[NO] 291/1797 | Calibrating Semantic Uncertainty from Observable Language-Model Probabilities
[NO] 292/1797 | Small growth rates of free groups
[NO] 293/1797 | Calibrated Alzheimer's Conversion Risk in Mild Cognitive Impairment: Persistent Homology of Clinical Trajectories with Conformal Guarantees
[NO] 294/1797 | Sharp Asymptotics for Regularized Optimal Transport
[NO] 295/1797 | LLM-as-a-Coach: Experiential Learning for Non-Verifiable Tasks
[NO] 296/1797 | Fine-Detail Monocular Geometry Estimation with Self-Guided Sparse Volumetric Refinement
[NO] 297/1797 | Causal Discovery on Irregular Time Series
[NO] 298/1797 | Online Scheduling with a Stochastic Signal
[NO] 299/1797 | Rigidity for capillary liquid drops of nearly circular section with constant vorticity
[NO] 300/1797 | Non-vanishing uniqueness threshold for hyperbolic Poisson-Voronoi percolation in dimension at least three
[NO] 301/1797 | Hardy spaces of discrete holomorphic functions on the upper half-lattice
[NO] 302/1797 | Integrating High-Level Requirements to Low-Level Tests with Machine-Readable V&V Specifications
[NO] 303/1797 | A Hardware-oriented Approach for Efficient Bayesian Inference Computation and Deployment
[NO] 304/1797 | Depth Determination of Individual Shallow NV-Centers via Spin-Lock NMR
[NO] 305/1797 | Macroscopic Multistability and Bifurcations in Theta-Neuron Networks with Distributed Delays
[NO] 306/1797 | Enhanced Dynamic Beamwidth Selection-based THz MAC Protocol for Wireless Data Center Networks
[NO] 307/1797 | Isolation Failure From Shared Storage: Characterizing and Exploiting Page-Cache SCA Leakage Across Containers and VMs
[NO] 308/1797 | Token-Level Off-Policy Learning for Faithful Generation Under Distribution Shift
[NO] 309/1797 | Long-time behavior and turnpike properties of linear-quadratic graphon mean field control problems
[NO] 310/1797 | Entropy production in Knudsen thermodynamics of compartmented systems
[NO] 311/1797 | Cosmological consequences of a dynamical dark matter in the light of DESI DR2 measurements
[NO] 312/1797 | Correlated comagnetometry for precision measurements
[NO] 313/1797 | HOMIE: Human-object Centric Video Personalization via Multimodal Intelligent Enchancement
[NO] 314/1797 | Sharp Weitzenböck and PIC2 Estimates from Sectional-Scalar Curvature Pinching
[NO] 315/1797 | PPL-Factory: Task-Aware and Budget-Aware Data Selection from Language Modeling to Reasoning
[NO] 316/1797 | Three-Body Scattering for Generative Modeling
[NO] 317/1797 | A Self-Consistent 3D Hydrodynamic Model for Helium Transit Signatures in Evaporating Hot Jupiters
[NO] 318/1797 | Excitonic effects in the photocarriers dynamics of two-dimensional materials
[NO] 319/1797 | Gravitational Vacuum Polarization: Decoupling and the Conformal Anomaly
[NO] 320/1797 | Improved Convergence Rate for Stochastic Multi-Gradient Descent: A Proof Discovered with AI
[NO] 321/1797 | Non-injective field redefinitions and quantum inequivalence in scalar theories
[NO] 322/1797 | Periodic phenomena in stable motivic homotopy theory
[NO] 323/1797 | The Calibration Channel Determines the Bayes-Error Proxy: An Exact Law for Temperature-Induced Distortion
[NO] 324/1797 | Tunable Superconductivity Mediated by Heavy-Electron Plasmons: Band-Structure and Quantum-Geometric Engineering
[NO] 325/1797 | World Translation: Minimizing Sim-to-Real Gap with Backward Dynamics Extraction and Unpaired Domain Translation
[NO] 326/1797 | 1-out-of-5 Maximin-Share Allocations Always Exist for Four Agents
[YES] 327/1797 | SGA: Plug&Play Geometric Verification for Educational Video Synthesis
[NO] 328/1797 | Importance Sampling and PCA for Finding Failures in Commercial Autonomous Vehicles
[NO] 329/1797 | An Implicit Time-Domain Harmonic Balance Method for Radio-Frequency Capacitively Coupled Plasma Simulations
[NO] 330/1797 | Empowering On-Device Model Adaptation with an Edge AI Inference Accelerator
[NO] 331/1797 | SuperPass: Fast-Tracking Blocking Threads to Mitigate Priority Inversion on Mobile Devices
[NO] 332/1797 | Optimal transition states for polaron hopping transport without supercells
[NO] 333/1797 | Symmetry-Based Microscopic Theory of the Unconventional Pairing Mechanism in La$_5$Ni$_3$O$_{11}$
[NO] 334/1797 | Correcting DFT formation energies towards experimental accuracy using foundational MLIPs and latent-feature delta-learning
[NO] 335/1797 | Particle-scale structure of granular suspensions
[NO] 336/1797 | Judge-dependent safety gains and model-specific helpfulness costs of evidence-sufficiency prompting in clinical LLMs
[NO] 337/1797 | A binomial-like probability distribution with heavy tails
[NO] 338/1797 | Enhancing Rubric-based RL via Self-Distillation
[NO] 339/1797 | Hardware Mechanisms to Dynamically Throttle AI Performance
[NO] 340/1797 | Pancasila-Dilemmas: Evaluating Large Language Models on Indonesian Human Value Dilemmas Grounded in Pancasila
[NO] 341/1797 | Adaptive Adversaries: A Multi-Turn, Multi-LLM Benchmark for LLM Agent Security
[NO] 342/1797 | Programmable photonics enabled by ferroionic two-dimensional materials
[NO] 343/1797 | RoboHarness: Memory-Driven Orchestration of Heterogeneous Robot Policies for Long-Horizon Planning
[NO] 344/1797 | On the gradient of the torsion function for elongated cylinders
[NO] 345/1797 | Fiber-Optic Communication and Torsion Sensing via a BB84-Inspired Polarization Scheme
[NO] 346/1797 | Comparing the Near-infrared Spectral Energy Distributions from Different Stellar Population Synthesis Models with SPHEREx Observations
[NO] 347/1797 | Towards a strengthening of the second neighborhood conjecture
[NO] 348/1797 | SEE: Structure-aware Exploring \& Exploiting for Long-horizon GUI Agent Trajectory Synthesis
[NO] 349/1797 | Adaptive Mamba Neural Operators
[NO] 350/1797 | Self-Interference-Aware AS-Assisted Tri-Hybrid Beamforming for Full-Duplex Massive MIMO
[NO] 351/1797 | Natural Language Access to Domain-Specific Metadata: A Reusable Framework for LLM Query Generation
[NO] 352/1797 | L1 Augmented Attention as an Improved Vector Similarity Metric
[NO] 353/1797 | Benchmarking Machine Learning Architectures for ttH Multilepton Signal Sensitivity
[NO] 354/1797 | Optimal Domain-Aware Privacy Mechanisms for Synthetic Data Generation
[NO] 355/1797 | Quantitative Fourier decay for Patterson-Sullivan measures of dimension larger than $1/2$
[NO] 356/1797 | Bayesian Conway-Maxwell-Poisson model with spike-and slab priors for dispersed count data with application to football scores
[NO] 357/1797 | PAMD: Structured Adaptive Distances for Bisimulation Representations in Visual Reinforcement Learning
[NO] 358/1797 | A principled closure framework for higher-order SIS epidemic models on networks
[NO] 359/1797 | AlphaZeroBeta: Deep Reinforcement Learning for Market-Neutral Portfolios
[NO] 360/1797 | A Direct Approach to Hermite Interpolation
[NO] 361/1797 | Frustration induced dimensional reduction and coexistence of long and short-range magnetic order in NdCl$_{3}$
[NO] 362/1797 | Optimal Market Making in Prediction Markets
[NO] 363/1797 | Surrogate models for type II supernovae: Probing low-energy explosions and interaction-free regimes
[NO] 364/1797 | TraversRL: Traversable Pedestrian Pathway Generation With Reinforcement Learning
