[2026-09-18 23:54:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-17
正在获取论文...
[arXiv] 2026-09-17 | Converging Naming Styles, Persistent Network Locality: GitHub in the LLM Era
[NO] 198/2000 | Parametric Neural Quantum States for Nuclear Physics
[NO] 199/2000 | SkipVLA: Skipping VLA Steps with Classical Planning for Fast Robot Manipulation
[NO] 200/2000 | The Hurwitz existence problem in prime degree
[NO] 201/2000 | DirtyMoCap: Robust Motion Capture from Unconstrained Markers
[NO] 202/2000 | Classification of commutation relation for multi-radial SLE
[NO] 203/2000 | Recency Forcing: Bridging the Long-Horizon Gap in Autoregressive Video Generation
[NO] 204/2000 | Environment Alignment and Redundant Record Formation in Imperfect-CNOT Quantum Darwinism
[NO] 205/2000 | Workspace Models: Lightweight Robotic Memory via Saliency-Driven Supervision
[NO] 206/2000 | A 32-day Quasi-periodic Modulation in the Post-peak Light Curve of the Superluminous Supernova SN 2018bsz
[NO] 207/2000 | EliGSiR: Continual RGB-D Mapping with Gaussian Splatting under Bounded Compute
[NO] 208/2000 | Strange Two-Photon Exchange in Time-Like Electromagnetic Form Factors
[NO] 209/2000 | Complexity Of Output Feedback Stabilization
[NO] 210/2000 | Fast FPRAS for the Permanent
[NO] 211/2000 | Design of the IBM Granite 5.0 TurboCTC ASR Model
[NO] 212/2000 | NeuSOGA3D: A Neuro-Symbolic Framework for Explainable 3D Geometric Reconstruction
[NO] 213/2000 | Learning-Based Reconstruction of Optical Properties in Bilayered Media from Single-distance Time-Resolved Reflectance Measurements
[NO] 214/2000 | Procrastinating einselection in non-Markovian quantum dynamics
[NO] 215/2000 | Lyapunov-controlled thermalization: an exact real-time example
[NO] 216/2000 | Distributionally Robust Federated Learning with Multi-Source Data
[NO] 217/2000 | Exponential Smoothing for Time Series of Random Objects
[NO] 218/2000 | Counting Triangles in Graph Streams with Repeatable and Forgettable Edges
[NO] 219/2000 | Form Over Content In Gradient-Based Data Attribution Methods
[NO] 220/2000 | State-Selective Floquet Memory in Degenerate Manifolds
[NO] 221/2000 | Self-Replicating Neural Cellular Automata: Quantifying Emergent Phenotypic and Genotypic Diversity in an OpenEnded Substrate
[NO] 222/2000 | High-frequency Multispeculative Multiply-Accumulation Unit for Fused Posit Arithmetic
[NO] 223/2000 | BA-TRACE: Boundary-Aware Trace Reconstruction for Scenario-Based Evaluation of Mixed AUTOSAR Adaptive and ROS 2 Vehicular Embedded Systems
[NO] 224/2000 | VAST: V2X/Dynamic Map-Aware Autonomous Driving Systems Validation Toolchain
[NO] 225/2000 | Time-Efficient Iterative Learning Planning for Safety-Critical Dynamic Obstacle Avoidance
[NO] 226/2000 | An Explicit Ordinal Bound for System T Dialogue Trees
[NO] 227/2000 | A stable self-shrinking Möbius bundle in $\mathbb R^4$
[NO] 228/2000 | A Unified Evaluation Framework for Trustworthy Large Language Models, Agentic AI, and Multimodal Systems
[NO] 229/2000 | Model-Agnostic and Language-Agnostic Voice Pipeline Improvement for the Agriculture Domain
[NO] 230/2000 | Switching graphs and designs
[NO] 231/2000 | Governance-as-Code: Translating EU AI Act Technical Requirements into Executable Compliance Pipelines for Generative AI Systems
[NO] 232/2000 | Relational Attention for Data-Efficient Language Modeling
[NO] 233/2000 | New Bethe vacua for $\mathcal{N}=2$ elliptic models
[NO] 234/2000 | Mermin-Peres magic rectangles modulo odd primes
[NO] 235/2000 | Daytime seeing variations in Paranal through a SHABAR system. Description of the method and first measurements from the PoET solar telescope
[NO] 236/2000 | A Smaller Transformer in Your Transformer
[NO] 237/2000 | Coherent and ultra-low-power EDSR with a flopping-mode spin qubit in germanium
[NO] 238/2000 | Sensitivity Calculus and its Numerical Implementation for Multi-D Hyperbolic Balance Laws
[NO] 239/2000 | Truncated automatic sparse differentiation for machine learning interatomic potentials
[NO] 240/2000 | Is higher-order physics different?
[NO] 241/2000 | Competing for a Finite Pool of Attention in Social Media? How a New Geopolitical Conflict Reshapes Engagement in Bluesky
[NO] 242/2000 | Topology optimization with buckling constraints: Adaptive eigenvalue aggregation and modality identification
[NO] 243/2000 | Global Minima of the Thomson Problem in a Disk: A Molecular Dynamics Approach with Fixed Border Charges
[NO] 244/2000 | First-principles theory of phonon renormalization from nonlinear electron-phonon interactions
[NO] 245/2000 | Design and characterization of large-size monolithic layers of 3D-segmented plastic scintillator
[NO] 246/2000 | Spatial Aggregation of ROC and Precision-Recall Curves
[NO] 247/2000 | Efficient Non-Uniform Quantum Hermite Transform through Adaptive Sampling
[NO] 248/2000 | Framingtopes
[NO] 249/2000 | Statistical delocalization in the Anyonic Aubry-André model
[NO] 250/2000 | The Last Picard Rank 1 Double-Mirror Calabi-Yau Pair?
[NO] 251/2000 | On the Extended Kerr-Newman-Bertotti-Robinson Spacetime: Two Black Holes and a Naked Singularity in Bertotti-Robinson Universe
[NO] 252/2000 | Space-time fractional stochastic Burgers-type equation
[NO] 253/2000 | FAMOS: Feed-Forward 3D Articulation Modeling from Sparse Observations
[NO] 254/2000 | FT-Weave: Real-Time Compilation Framework for Reconfigurable Fault-Tolerant Quantum Architectures
[NO] 255/2000 | Environmental Effects in Post-Minkowskian Dynamics: Effective Field Theory, Feynman Rules, and Ward Identities for Compact Objects in Relativistic Fluids
[NO] 256/2000 | Screening Out the Needy: The Effects of SNAP Work Requirements
[NO] 257/2000 | Scalable entanglement distribution using encoded hybrid repeater chains
[NO] 258/2000 | Superselection theory for 2D braided quantum spin systems via Connes fusion
[NO] 259/2000 | Cocompactness and Presentability
[NO] 260/2000 | The Three Gates: A Rooted-Operator Approach to Weil Positivity
[NO] 261/2000 | Range-compatible homomorphisms on Hermitian matrices
[NO] 262/2000 | Comparing theoretical descriptions of Drell-Yan angular coefficients
[NO] 263/2000 | Two-sided linear hashing and quadratic density bounds for smooth lattice coverings
[NO] 264/2000 | Unreported large errors from two PAMGuard three-dimensional localizers of whale calls
[NO] 265/2000 | STR-Agent: An LLM-Driven Agent for QoS-Aware Routing in LEO Satellite Networks
[NO] 266/2000 | A Mirror Vanishing Band for Weight Distributions of Binary Linear Codes
[NO] 267/2000 | Unitary Branching for $\mathfrak{sl}(m\vert n), \mathfrak{osp}(m\vert 2n)$ and $F(4)$
[NO] 268/2000 | RoboFind: Multi-Agent Personalized Object Search for People Who Are Blind or Have Low Vision
[NO] 269/2000 | Divergent Solid-state Conversion Pathways in Evaporated All-perovskite Tandem Solar Cells
[NO] 270/2000 | AgriScope: Pixel-Grounded Multimodal Understanding for Agricultural Images
[NO] 271/2000 | Unifying Image Quality Assessment Datasets: MOSAIQ-500K and MOSAIQ-Bench
[NO] 272/2000 | Quantum expanders and dimension-free commutator bounds
[NO] 273/2000 | Thermal Evolution of Lava Planets Across System Ages: Predictions for Hell of a Survey
[NO] 274/2000 | Exceptional points and Jordan-chain signatures in quantum first-passage statistics
[NO] 275/2000 | Designing Against Deskilling: Metacognitive Feedback Reduces Cognitive Offloading to LLM Assistants
[NO] 276/2000 | Reconstruction of Beam Transverse Parameters in the Fermilab Side-Coupled Linac Using a Normalized Coordinate Framework
[NO] 277/2000 | On an inverse boundary problem in elastodynamics
[NO] 278/2000 | Frequency Attraction and Repulsion in Lasers with Complex Mutual Coupling
[NO] 279/2000 | Scalable logical qubits
[NO] 280/2000 | Mitigating Retaliatory Algorithmic Collusion in Repeated Games
[NO] 281/2000 | Language-model groups overstate consensus when replaying human deliberation on a reasoning task
[NO] 282/2000 | An Analysis of Training-Free Self-Reported Confidence in Language Models
[NO] 283/2000 | Refuse, Decompose, Refresh: A Claim-Safe Protocol for Closed-Loop AI Evaluation
[NO] 284/2000 | Formal Fluctuation-Response Relations for Non-Stationary Systems: The Dynamic Conjugate Variable
[NO] 285/2000 | Sharp spectral norm concentration of sparse random tensors
[NO] 286/2000 | Thioacetaldehyde (CH3CHS) on interstellar ices: a key molecule to unravel two chemical dichotomies in the ISM
[NO] 287/2000 | Particle Physics Driven by Quantum Technology - Quantum Simulations and Quantum Sensing
[NO] 288/2000 | Towards AI-enhanced control: a numerical technique for trajectory smoothing of a parallel robot for pancreatic surgery
[NO] 289/2000 | Efficient computation of mixture confidence sequences in generalized linear models
[NO] 290/2000 | Four Special Directions in AG(2,13): The 52-Point Obstruction and the Sharp Minimum
[NO] 291/2000 | Nonexistence of a Leech Tree of Order 18: A Computer-Assisted Proof
[NO] 292/2000 | TeamCAMS: An Open-Source Research Platform for Studying Human Behaviour in Human-AI Teams
[NO] 293/2000 | Resolution limits for process comparison from event data
[NO] 294/2000 | Unified hydrodynamics for density and spin supersolids
[NO] 295/2000 | greCAPTCHA: Assessing Understanding as Evidence of Research Authorship Under Generative AI
[NO] 296/2000 | Visual Sim-to-Real Learning for Robotic Insertion under Geometric Variations: Application to Rebar Installation
[NO] 297/2000 | Radial Symmetry and Strict Radial Decrease for Master Equations with Decreasing Radial Potentials
[NO] 298/2000 | SenseFuse: Label-Free Fusion of Image and Shape Encoders for Open-Vocabulary 3D Instance Segmentation
[NO] 299/2000 | Fingerprinting Multimodal Large Language Models
[NO] 300/2000 | Online Supervised Dimension Reduction with Random Features: Diagnostics and Computational Trade-offs
[NO] 301/2000 | Seismic Site Response Prediction from Sparse Observations Using Finite-Element-Pretrained Latent Dynamics
[NO] 302/2000 | A comprehensive theory framework for perturbative calculations of $δ_C$ in superallowed beta decays
[YES] 303/2000 | Spotlights: Discovering Improvement Opportunities in Software Repositories
[NO] 304/2000 | New upper bounds for the chromatic numbers of Euclidean spaces
[NO] 305/2000 | Non-Thermal Effects in Fermionic Atoms Coupled to Open Cavities
[NO] 306/2000 | Parisi Formula for the ground state energy of quantum p-Spin Hamiltonians
[NO] 307/2000 | The dynamics of early transoceanic voyages: A resource-coupled model of crew health and survival
[YES] 308/2000 | Assessing the Construct Validity of Object-Oriented, Class-Level Code Quality Metrics
[NO] 309/2000 | Maximum Entropy Probability Distributions on Spheres with Fixed Mean Busemann Function and Holomorphic-Information-Geometric Model of Cognition
[NO] 310/2000 | The Bias of Nonlinear Two-Time-scale Stochastic Approximation under Constant Step-Sizes
[NO] 311/2000 | Resilient Motion Planning for Free-Flying Space Robots under Actuator Failures
[NO] 312/2000 | Schema-Anchored Latent Reasoning for Semantic Parsing-Based Knowledge Base Question Answering
[NO] 313/2000 | Imagine-TAMP: Imagination-Guided Task and Motion Planning in Partial Observability
[NO] 314/2000 | Universal 1/f Noise in the Power Spectra of Energy Time-series in Solvated DNA Dynamics
[NO] 315/2000 | Ultralow-Tensile Strain Enables Exciton Funneling and Energy Transfer to Boost MoSe2 Photoluminescence Quantum Yield
[NO] 316/2000 | Small-Angle Differential Cross Sections for Symmetrical Resonant Charge Exchange in Molecular Hydrogen
[YES] 317/2000 | AdaRepair-Mem: Adaptive Experience Orchestration for Repository-Level Program Repair
[NO] 318/2000 | Long-horizon autoformalization of a core theorem underlying MIP* = RE
[NO] 319/2000 | Improving Cross-Lingual Transfer for Sequential Sentence Classification in Research Papers via Structural Similarity
[NO] 320/2000 | Can 4D Foundation Models Remember?
[YES] 321/2000 | An Empirical Study of Harness Design for Coding Agents
[NO] 322/2000 | StageGuard: Learning Stage Transitions for Long-Horizon Robot Tasks via Agentic Distillation
[NO] 323/2000 | Harm Laundering in GPT Models: Evidence That Gender Discrimination Is Transformed Rather Than Reduced Across Safety-Trained Generations
[NO] 324/2000 | Conditional Independence Testing in Time Series
[NO] 325/2000 | Quantum Entropy Contraction and Factorization from Hypercontractivity
[NO] 326/2000 | MILER: Semantic Mid-Level Representation for Sim-to-Real Reinforcement Learning in Unstructured Autonomous Driving
[NO] 327/2000 | Video DeltaNet: A Video-Native Hybrid Attention for Livestream Video Generation
[NO] 328/2000 | Hölder Selections under Stieltjes Clocks: Uniform Disconnectedness and Jump Dominance
[NO] 329/2000 | Topological and spectral rigidity of hypersurface Zoll manifolds
[NO] 330/2000 | Almost-Uniform Bayesian Convergence to the Truth Is Not Characterized by Countable Additivity on Conditional Hitting Times
[NO] 331/2000 | Martingale theory for heat and phase-space contraction in heterogeneous diffusions
[NO] 332/2000 | Integrability of the deformed Toda systems
[NO] 333/2000 | Schrijver-Delsarte rigidity in association schemes and undecidability of quantum graph homomorphism
[NO] 334/2000 | Epidemiological Causal Graph Identification: Challenges, Identifiability and Algorithms
[NO] 335/2000 | Every compact operator is a commutator of compact operators
[NO] 336/2000 | Line shapes of $Ω(2012)$ production in the $Ξ\bar K $ and $Ξπ\bar K$ decay channels
[NO] 337/2000 | PROVIA: Procedure State Tracking for Online Mistake Detection in Egocentric Videos
[NO] 338/2000 | Synthetic Fingerprints for Children Under Four: Generation and Biometric Evaluation
[NO] 339/2000 | Gravity from Invariant Weyl-Integrable space-time (IWIST)
[NO] 340/2000 | A Simplified Model for Linear Mode Coupling in Multimode Fibers with Experimental Assessment
[NO] 341/2000 | Magnon-Phonon Dynamics in Multidimensional Antiferromagnetic Oxides
[NO] 342/2000 | Inference-Engine Fingerprinting Attacks are Practical: Exploring Model-Driven Environmental Discovery, Exploitation, and Escape
[NO] 343/2000 | Coupled Orbital and Interior Evolution of Sub-Neptunes
[NO] 344/2000 | Weather Data Spoofing Attacks on Rain-Adaptive Millimeter-Wave Frequency Selection in V2X Communication Networks
[NO] 345/2000 | Proof of Shor's conjecture on the accessible information of quantum dichotomies
[NO] 346/2000 | WiC is Not WSD: A Study on LLMs and Lexical Ambiguity Resolution
[NO] 347/2000 | On the minimum number of triangles in balanced tripartite graphs with large minimum degree
[NO] 348/2000 | CoRef-GS: Cooperative Referring Gaussian Splatting for Multi-Agent Scene Understanding
[NO] 349/2000 | Conductor-Discriminant Inequality for Tamely Ramified Cyclic Covers II
[NO] 350/2000 | Robust Recovery of Sparse Support in Constrained Group Testing
[NO] 351/2000 | When EOS Tokens Disagree: Understanding Length Inflation in On-Policy Distillation
[NO] 352/2000 | Universal set families for maximization of nonnegative submodular and XOS functions
[NO] 353/2000 | Longest cycles intersect linearly in highly connected graphs
[NO] 354/2000 | Multi-Dimensional Prosody Judgment For Live Streaming Speech Synthesis
[NO] 355/2000 | Coherent antiferromagnetic resonance in MnO driven by impulsive terahertz excitation
[NO] 356/2000 | Perception, Layout, and Validation: Calibrated Confidence for Reliable Straight-Through Processing of Financial Documents
[NO] 357/2000 | AnyViewDex: View-Invariant Dexterous Manipulation from RGB Observations
[NO] 358/2000 | When Is Kramers-Wannier Duality Invertible?
[NO] 359/2000 | Position Paper: Neurotransmitters as a Missing Dimension in Artificial Neural Networks
[NO] 360/2000 | Physical properties of star-forming clumps in nearby galaxies from CLAUDS and HSC-SSP
[NO] 361/2000 | On $\ast$-Reversible and Generalized $\ast$-Reversible Rings
[NO] 362/2000 | Robust Workflow Generation via Adversarial Learning for Audio Deepfake Detection
[NO] 363/2000 | What People Almost Did: Evaluating LLM Social Simulations Beyond Behavioral Fit
[NO] 364/2000 | Accelerating structural optimization via EIFEM: a ROM-based preconditioner
[NO] 365/2000 | Mechanical Precision Weeding with a Quadruped Robot
[NO] 366/2000 | Can Data Attribution Filter Out Subliminal Learning? Not Reliably
[NO] 367/2000 | FedeRICo: Federated Region-Influenced Coupling for Traffic Flow Prediction
[NO] 368/2000 | Stability and Logarithmic Foliations on Complex Projective Spaces
[NO] 369/2000 | Corner entanglement scaling with projected entangled pair states
[NO] 370/2000 | Who Aggregates Information? Screening, Rent, and the Coexistence of CLOB and AMM Prediction Markets
[NO] 371/2000 | Distributed Edge Inference: an Experimental Study on Multiview Detection
[NO] 372/2000 | Evaluating Positive Feedback Adiabatic Logic in 16nm FinFET with a Realistic Power-Clock
[NO] 373/2000 | Gaussian characterization of two-neutron halo nuclei
[NO] 374/2000 | Revisiting the Brunner-Munzel test from the viewpoint of local linear approximation
[NO] 375/2000 | Rectifiability of every finite order for stationary integral varifolds
[NO] 376/2000 | Semi-automated single-mode fiber coupling for AO-fed spectrographs
[NO] 377/2000 | JANUS: Denial-of-Service Attack Against Beam Hopping in LEO Satellite Networks
[NO] 378/2000 | Extending the Love-Q Relation to Rapidly Rotating Neutron Stars for Gravitational-Waveform Modelling
[NO] 379/2000 | DeepSeek-V4.1-Flash: Pushing the Limits of KV Cache Compression
[NO] 380/2000 | Strategic Pricing in Electricity Markets with Pollution Constraints
[NO] 381/2000 | Before the Arrest: Benchmarking LLMs on Criminal Profiling from Incomplete Evidence
[NO] 382/2000 | Enhanced Knowledge Distillation for Detection Transformer via Teacher Prediction Refinement
[NO] 383/2000 | Explicit equational bases for the power semirings of $S_7$
[NO] 384/2000 | LapaTrack-3D: 6 DoF pre-operative shape tracking for laparoscopic surgery
[NO] 385/2000 | Paired charmonium and bottomonium production in rare exclusive decays of Z boson
[NO] 386/2000 | Meerkat measurement of the radio emission from massive stars in the Galactic plane I. Wolf-Rayet stars
[NO] 387/2000 | Dynamics of Stochastic Hamiltonian systems I - Wong-Zakai Variational integrators
[YES] 388/2000 | Not All AI Agents Are Equal: Characterizing Resource and Performance Dynamics
[NO] 389/2000 | Intrinsic Sequence-Likelihood Confidence in Retrieval-Dominated Extractive QA: Two Pre-Specified Negatives, and What They Do and Do Not Attribute
[NO] 390/2000 | The face lattice of any simplicial polytope is Hamiltonian
[NO] 391/2000 | Quantum WalkScore: Benchmarking Quantum Computers on the Graph Nodefinding Problem
[NO] 392/2000 | Validating Hexahedra through their Boundaries
[NO] 393/2000 | The exact region determined by Spearman's rho and Gini's gamma
[NO] 394/2000 | Putting Context into Preference Aggregation
[NO] 395/2000 | Odd/Even or Half ? Entanglement Anomaly in the Bose-Hubbard model
[NO] 396/2000 | Uni-LaDiR: Latent Diffusion Unifies Multimodal Reasoning
[NO] 397/2000 | SlugTrails: An Egocentric Benchmark for Floor Plan Localization in Large Buildings
[NO] 398/2000 | Highly bipolar planetary nebula Hen 2-57 and its possible symbiotic core
[NO] 399/2000 | Measure of the kaon structure: generalized valence quark distribution functions and form factors
[NO] 400/2000 | A Comparison Theorem for Parahoric Character Sheaves
[NO] 401/2000 | PACE: Precise AI Cinematic Expression: A Typed Specification for Script-Grounded Previsualization and Geometric Conformance
[NO] 402/2000 | A Cumulative Framework for Solid Deformation
[NO] 403/2000 | Mo2TiC2Tx MXene Saturable Absorption for Neural Networks on a Chip
[NO] 404/2000 | Safe Exploration of Arbitrary Dynamic Dangerous Networks
[YES] 405/2000 | Trust, but Validate the Instrument: Auditing AI-Generated RTL Verification Plans on Authored Security-Regression Proxies
[NO] 406/2000 | Beyond Flattened Tokens: Structure-Preserving EEG Decoding with Reusable TriDim Blocks
[NO] 407/2000 | Pairwise comparisons meet optimal transport theory
[NO] 408/2000 | MetaRTL: Meta-path Attention Enhanced Relational Table Learning
[NO] 409/2000 | Vehicle Trajectory Prediction via Neural Fusion of Multiple EKF-Based Trajectory Candidates
[NO] 410/2000 | Local unitary equivalence of orthogonal arrays and related linear codes
[NO] 411/2000 | The small Davenport constant of $H_{27}\times C_3^r$
[NO] 412/2000 | Dictionary-Constrained Grapheme-to-Phoneme for Unsegmented Languages from LLM-Annotated Data
[NO] 413/2000 | Affective Shared Autonomy: Temporal Affect Dynamics and Subjective Evaluation in Bimanual Teleoperation Tasks
[NO] 414/2000 | Contagion on the Trading Floor: How Adversarial Signals Spread in Multi-Agent Trading Systems
[NO] 415/2000 | Widespread plasma jets in the Martian magnetosheath revealed by dual-spacecraft observations
[NO] 416/2000 | Mutual Information as a Tool for Optimal Classification: Application to Identifying Rapid-Responding Behaviour
[NO] 417/2000 | A Separation Between Distribution-Free SQ Learning and Dimension Complexity
[NO] 418/2000 | Learn Before You Judge: Progressive Knowledge-to-Decision Alignment for Explainable Hateful Meme Detection
[NO] 419/2000 | TorchCraft: Unified binder design by inverting an all-atom structure predictor
[NO] 420/2000 | The Bernstein-Sato Polynomial of the Hankel Determinant
[NO] 421/2000 | Spreads of degrees in graphs
[NO] 422/2000 | Status and Prospects of the HEP Statistical Inference Ecosystem
[NO] 423/2000 | Constraints on the Pop III Sky Surface Brightness from High-Redshift Caustic Transients in MACS0416
[NO] 424/2000 | Chow Vanishing and Motives of Cluster Varieties
[NO] 425/2000 | The segmentation ceiling: why explicit left-ventricular masks do not improve learned ejection-fraction regression
[NO] 426/2000 | Paths maximize the expected range of graph-indexed random walks
[NO] 427/2000 | Decoupling Physical Speed from Path Parameterization in Singularity-Free Guiding Vector Fields
[NO] 428/2000 | Voltage-Current-Emission Framework of Time-Resolved Electroluminescence
[NO] 429/2000 | Reachability, Not Observation: Containing Systems Whose Wiring Changes
[NO] 430/2000 | SeetaPsych v1.0: An Open-source Computer Vision Toolkit for Behavior-based Psychological Measurement
[NO] 431/2000 | Learn Your Own Thoughts: Abstract Token Curriculum
[NO] 432/2000 | Spacetime Positive Mass Theorem with Boundary for Multiple Time Dimensions
[NO] 433/2000 | Exact Local Optimality Does Not Compose: The Complexity of Chronological Realization
[NO] 434/2000 | Microlocal perverse schobers and Radon transform
[NO] 435/2000 | Early steps in the hierarchical assembly of a Milky Way-mass galaxy 1 Gyr after the Big Bang
[NO] 436/2000 | Almost Optimal FPT Inapproximability for k-SetCover
[NO] 437/2000 | MiX: Micro-Inverted-Scaling for End-to-End Low-Bit Vision-Language Model Acceleration
[NO] 438/2000 | Contact Large Deviations of Stochastic Vector Bundles
[NO] 439/2000 | PrefixBench-H100: Characterizing Prefix Reuse and Time-to-First-Token in H100 LLM Serving
[NO] 440/2000 | Self-Evolving Search Index
[NO] 441/2000 | Simultaneous nonvanishing of quadratic twists via Rankin-Cohen brackets
[NO] 442/2000 | Improving Sample Efficiency in Peptide-HLA Binding Prediction with Hybrid Quantum-Classical Neural Networks
[NO] 443/2000 | Quantum computers will not be that different: A blueprint for quantum computer architecture at scale
[NO] 444/2000 | Ordered matchings versus triangles via pseudorandom triangle-free graphs
[NO] 445/2000 | Collective Symmetry and Criticality from Single-Component Fluctuations
[NO] 446/2000 | Higher twists in QCD
[NO] 447/2000 | The Output-Space Hypothesis: Enumerative Equivalence Checking for Tensor Programs
[NO] 448/2000 | SIMLIFE: Pattern Understanding for Long-Horizon Human-Agent Partnership
[NO] 449/2000 | Target Geometry in Prescribed-Value Schwarz Lemmas for Harmonic Maps
[NO] 450/2000 | Dephasing-Enhanced Response and Phase Transitions in Quantum Boltzmann Samplers
[NO] 451/2000 | Recovering Aggressively Pruned Vision-Language-Action Models with Offline Hidden-State Distillation
[NO] 452/2000 | Tele-Traversability: Rethinking Traversability for Teleoperated Ground Robots in Terrain Navigation
[NO] 453/2000 | Large Language Model Agents for Evidence Based Genetic Disease Severity Classification
[NO] 454/2000 | A new family of maximal curves not covered by the Hermitian curve
[NO] 455/2000 | An integrable $\mathbb{Z}_2^2$-graded extension of Camassa-Holm equation and its bi-Hamiltonian structure
[NO] 456/2000 | Mollified-sharp decomposition: a probabilistic regularization of parametric POD for shock-bearing flows
[YES] 457/2000 | Self Improvement via Fast Tree-search
[NO] 458/2000 | EconSkills: Studying Skill Transfer and Retrieval for Web Agents on Live Economic Data
[NO] 459/2000 | Holomorphic motions, Assouad dimension and quasiconformal mappings
[NO] 460/2000 | Continental-scale probabilistic resistivity imaging of Australia using deep learning: Implications for geology, groundwater, and critical minerals
[NO] 461/2000 | Spectral Gap of Down-Up Walks via Trickle-Down: A Simplified and Sharpened Analysis
[NO] 462/2000 | QVAC Genesis III: A Large-Scale, High-Quality Open Synthetic STEM Corpus for Efficient Language Model Pre-Training
[NO] 463/2000 | ERCPMP-Gx: Endoscopic Image and Video Dataset for Morphological, Histopathological, and Genomic Characterization of Colorectal Polyposis
[NO] 464/2000 | PosteriorBench: From Point Estimates to Posterior Matching in Evaluating Generative Inverse Solvers
[NO] 465/2000 | A physics-informed inverse modeling framework for Moose-Wolf dynamics from limited and noisy data in Isle Royale National Park
[NO] 466/2000 | RetireOPD: Self-Retiring On-Policy Distillation for Agentic Reinforcement Learning
[NO] 467/2000 | The Data Hospital: A Workflow-Based Concept for Explainable Research Data Quality Assistance
[NO] 468/2000 | Asymptotically Good Quantum Locally Testable Codes
[NO] 469/2000 | GeoAAC: Geometry-Based Adaptive Action Chunking from Denoising Trajectories in VLA Policies
[NO] 470/2000 | RAFT: A Stateful Retrieval-Augmented Framework for Troubleshooting Agents
[NO] 471/2000 | Instance-Optimal Adaptive Location Estimation via Multiscale Mid-Summaries
[NO] 472/2000 | Proof of the Pach-Tardos conjecture
[NO] 473/2000 | Don't Mask the Environment: Observation Supervision Changes How Agents Explore Under RL
[NO] 474/2000 | Proof of a positive coherent-error threshold for topological quantum codes
[NO] 475/2000 | Toward a Unique Filter for the Gravitational Path Integral
[NO] 476/2000 | Asymptotics of nonlocal nonlinear Robin energies
[NO] 477/2000 | Custom PX4 firmware for autonomous hybrid aerial-marine missions
[NO] 478/2000 | HerHealthEval: Evaluating Multilingual and Register-Sensitive Understanding of Women's Health Communication
[NO] 479/2000 | Towards Scaling Marine Perception with Synthetic Data
[NO] 480/2000 | Limit theorems for Coulomb gases on a Jordan curve in an external potential
[NO] 481/2000 | Dense orbits for scale-invariant rotationally symmetric solutions of the 2D Euler equations
[NO] 482/2000 | Local constraints on alcohol--thioalcohol analogs in G35.2N
[NO] 483/2000 | Earth Surface Immune System for Rapid Monitoring of Unknown Anomalies
[NO] 484/2000 | The skeleton-blocks decomposition of Bienaymé trees, and applications to their local convergence
[NO] 485/2000 | Toeplitz $C^*$-algebras on radially weighted Fock spaces: commutativity and spectral representation
[NO] 486/2000 | Hardness of Pathfinding in a Welded Tree
[NO] 487/2000 | Multi-center Medical Data Mining with FL-Net - A One-stop Shop for Federated Learning
[NO] 488/2000 | DexTouch-WM: Learning Action-Conditioned Tactile World Models from Human Touch for Dexterous Robot Manipulation
[NO] 489/2000 | Stationary varifolds with singularities II
[NO] 490/2000 | TraceFlow: Guiding Frozen Flow-Matching Robot Policies with Success and Failure Traces
[NO] 491/2000 | Normal-Direction Energy and Fourier Restriction for Convex Planar Curves
[NO] 492/2000 | All-Fiber Broadband Wavelength-Division Multiplexing using Heterogeneous Photonic Lanterns
[NO] 493/2000 | UniPolicy: Unified Objective-Specific Policies for Generative Search Advertising
[NO] 494/2000 | Existence of Weak Solutions and Higher-Order Regularity for a Heat-Wave Fluid-Structure Interaction System on a Periodic Strip
[NO] 495/2000 | Chronicle: Cut-Point Replay for Regression Testing of LLM Agents
[NO] 496/2000 | SmellDiffusion: Diffusion-Based Quadruped Navigation with Olfactory Scene Graphs
[NO] 497/2000 | A Simulation Platform for AUV Fault Recovery: Exploring LLM-Based Diagnostic Strategies
[NO] 498/2000 | Spin-Lattice Dynamics and Interactions in Magnonic Spinels
[NO] 499/2000 | INSPECT: Learning Robot View Selection from Assistant Use
[NO] 500/2000 | Localization properties of a free boundary problem for cell polarization
[NO] 501/2000 | On Simply Connected Domains Supporting an Unbounded Analytic Function with Bounded Derivative
[NO] 502/2000 | A Deep Neural Network for Predicting Continuous Human EEG Across the Auditory Pathway in Response to Sound
[NO] 503/2000 | Large-Time Behavior towards Composite Waves of Degenerate Shock and Rarefaction Wave for Modified KdV-Burgers Equation
[NO] 504/2000 | RawSLAM: Online HDR Gaussian SLAM from Linear Radiance
[NO] 505/2000 | Deformations of harmonic maps with conical singularities
[NO] 506/2000 | Faster Verification of PJR$^+$ via Mincuts
[NO] 507/2000 | Accelerating Visual Policy Learning with Sampling-Based Model Predictive Control
[NO] 508/2000 | Walking on the Slope: Stable Bipedal Gaits with Genetic-Algorithm-Optimized Trajectories
[NO] 509/2000 | The variety generated by all additively idempotent semirings of order four
[NO] 510/2000 | OmniMimic: Dynamics-completed Motion Augmentation for Multi-style Omnidirectional Quadruped Locomotion
[NO] 511/2000 | A Dual-Stream Regulated Reconstruction and Segmentation Network with Hierarchical Artifact-Prior Modeling for Ultra-Low-Field Pediatric Neuroimaging
