[2026-07-24 23:02:43] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[ACM] 2026-7-24 | Regularization-Enhanced Federated Class-Incremental Learning with Generative Replay for Smart Edge
[IEEE] 2026-7-24 | Towards Reasoning-centric Video Object Segmentation via Multi-modal Large Language Models
[IEEE] 2026-7-24 | Control-Aware Handover for Low-Altitude UAV in LEO Satellite-Ground Integrated Wireless Networks
[IEEE] 2026-7-23 | NOMAC-IRSA: A Novel Grant-Free Access Scheme for Distributed Random Access Systems
[IEEE] 2026-7-23 | Single Inductor Pulsating DC/DC Converter With Current Observer Tracking Control for VCSEL Laser Drivers
[IEEE] 2026-7-24 | IEEE Transactions on Industrial Electronics Publication Information
[IEEE] 2026-7-24 | Automated Multiclass IoT Network Traffic Classification Using AutoAI
[IEEE] 2026-7-24 | Prospects and Challenges of E-Government Adoption: A Comprehensive Literature Review
[IEEE] 2026-7-24 | Tunable Optical Diffractive Neural Network for OAM Mode Demultiplexing and Beam Steering
[IEEE] 2026-7-24 | PhyTrace: Tracing Physical Inconsistency in AI-Generated Images via ISP Emulation
[IEEE] 2026-7-23 | Backward-Informed Tightly-Coupled PPP-AR/INS Smoothing for Single-BDS Airborne Positioning and Orientation
[IEEE] 2026-7-24 | Towards Safer Urban Mobility: YOLO-Driven Detection of Road Irregularities for Smart City
[IEEE] 2026-7-24 | An Agentic Multi-Modal Unstructured Data Preprocessing Framework with LLM-Guided Orchestration and Quality-Driven Validation
[IEEE] 2026-7-24 | Real-Time AFDX Network Analysis and Fault Diagnosis in Unity
[IEEE] 2026-7-23 | UV-Based Surface Activation for Morphology-Controlled Die-to-Die Cu/SiO
                    <sub>2</sub>
                    Hybrid Bonding
[IEEE] 2026-7-24 | Robust Multi-Sensor Fault Diagnosis of Induction Motors Using LSTM-Attention Networks
[IEEE] 2026-7-23 | Partial Discharge based on Charge Behavior under Electric-Flow-Thermal Coupling Fields
[IEEE] 2026-7-24 | Benchmarking Deep Neural Network Architectures for Pothole Detection Using Matlab
[IEEE] 2026-7-24 | ITS-Based Reversible Lane Management on a Seasonal Coastal Road Capacity Analysis for DN39 Eforie Nord Romania
[IEEE] 2026-7-24 | Carbon Transparency Blockchain in Renewable-Rich Hydrogen Energy Smart Ecosystems
[IEEE] 2026-7-24 | Title Page iii
[IEEE] 2026-7-24 | Direct Iterative Feedback Tuning of Anti-Windup Fuzzy Control of Small Rescue Mobile Robot
[IEEE] 2026-7-24 | HairMixer: A Hairstyle Recommendation and Simulation System Based on Facial Structure Using Convolutional Neural Networks
[IEEE] 2026-7-24 | Lateral-Vertical Coupled Nonlinear Resonance Behavior in High-Temperature superconducting Pinning Maglev Train with Electromagnetic Compensation Coil
[IEEE] 2026-7-24 | Effects of Operating Temperature on Efficiency in High-Pressure Proton Exchange Membrane (PEM) Water Electrolyzers
[IEEE] 2026-7-23 | Initial Alignment Method for Large Misalignment Angles in SINS/DVL Using Lie Group SE₃(3)
[IEEE] 2026-7-23 | Cross-Layer Scheduling Optimization of 5G-TSN Integrated Networks Based on QoS Mapping and Joint Scheduling
[IEEE] 2026-7-24 | YOLO-Bubble: A Lightweight and High-Precision Instance Segmentation Model for Industrial Bubble Detection with BubConv Enhancement
[IEEE] 2026-7-24 | A Review of Data Preprocessing and Feature Engineering for DGA-Based Power Transformer Fault Diagnosis
[IEEE] 2026-7-23 | A Bioinspired Soft Magneto-Ciliary Tactile Sensor for Direction-Sensitive Interaction Sensing_supp1-3714622.pdf
[IEEE] 2026-7-23 | IEEE Transactions on Transportation Electrification Information for Authors
[IEEE] 2026-7-23 | Table of Contents
[IEEE] 2026-7-23 | Author Index
[IEEE] 2026-7-23 | Copyright Page
[IEEE] 2026-7-23 | Design of Systolic Array Multiplier for Neural Networks
[IEEE] 2026-7-23 | FPGA Implementation of a High-Speed ALU using Booth Multiplier and Kogge-Stone Adder
[IEEE] 2026-7-23 | Machine Learning-Assisted Characterization of Top-Contact Pentacene Thin-Film Transistors
[IEEE] 2026-7-23 | Development of a Streaming Video Transmission System Based on MANET
[IEEE] 2026-7-23 | Efficient Test Pattern Reduction of VLSI Circuits:A Hybrid Approach
[IEEE] 2026-7-23 | End-edge-cloud collaborative architecture for intelligent industrial robots in the Industrial Internet of Things
[IEEE] 2026-7-23 | Value-Added Pathway for Aplication of Data-Driven Method in Engineering Materials
[IEEE] 2026-7-23 | A Safe Reinforcement Learning Algorithm with Adaptive Lagrangian Multipliers
[IEEE] 2026-7-23 | Power Evaluation of Adiabatic Logic in CMOS Circuit at 90 nm Technology
[IEEE] 2026-7-23 | Design and Implementation of a Network of Autonomous LoRa Tags Based on ESP32 and SX1262
[IEEE] 2026-7-23 | Model-Free Adaptive Finite-Time Bipartite Containment Control for Nonlinear MultiAgent Systems
[IEEE] 2026-7-23 | IoT-Based Milk Adulteration Detection System using Random Forest, Support Vector Machine and XGBoost on Raspberry Pi
[IEEE] 2026-7-23 | LTE Traffic Structures and Network Architectur for Multimedia Content Delivery Optimization
[IEEE] 2026-7-23 | Retrieval Augmented Generation Enhanced RLHF Framework for Factuality Verification Improvement
[IEEE] 2026-7-23 | Real-Time AI-Based Polyp Detection and Segmentation in Gastrointestinal Endoscopy Using Deep Learning
[IEEE] 2026-7-23 | Fred, the Friendly Editor
[IEEE] 2026-7-23 | A Cloud Energy Storage Based Energy Management Framework for Energy Internet
[IEEE] 2026-7-23 | Adaptive Epsilon-Controlled MAC Architecture for Energy-Efficient Image Processing
[ACM] 2026-7-23 | Enhancing Trust in Virtual Characters: The Influence of Familiarity and Varied Eye Contact on Trust in Look-Alike Avatars
[ACM] 2026-7-23 | Prediction of Exoskeleton Knee Angle Based on Unilateral Lower Limb Information
[ACM] 2026-7-23 | From Agent Dependency to Financial Autonomy: Smartphone based Inclusive MFS Design for Low-Literate Population
[ACM] 2026-7-23 | Designing Sode: A Culturally Grounded Web Application for Social-Emotional Learning Among Ghanaian Preschoolers
[IEEE] 2026-7-23 | Energy-Efficient Speed Profile Optimization for Maglev Trains Based on Proximal Policy Optimization
[IEEE] 2026-7-23 | Unsupervised Embedding-Based Clustering for Vehicle Detection Refinement in SAR Imagery
[IEEE] 2026-7-23 | Explainable Pan-Cancer Classification and Biomarker Discovery from mRNA Gene Expression
[IEEE] 2026-7-23 | Evaluating Cross-Dataset Robustness of EEG Emotion Recognition Under Wearable Channel Constraints
[IEEE] 2026-7-23 | Ensemble Machine Learning–Driven QSAR Modeling for Skin Irritation Assessment of Hazardous Compounds
[IEEE] 2026-7-23 | A Novel Genetic Algorithm for Low-Complexity PAPR Reduction in OTFS Modulation
[IEEE] 2026-7-23 | Activation-Guided Rule Evolution in Evolving Fuzzy Predictor for Online Modeling of Nonlinear Dynamic Systems
[IEEE] 2026-7-24 | Uncertainty-Aware Dynamic Multi-Prototype Representation for Out-of-Distribution Detection in SAR Imagery
[IEEE] 2026-7-24 | An Edge-of-Things Multisensor System for Real-Time Home Safety Monitoring Using ESP32 and Home Assistant
[IEEE] 2026-7-24 | Calibrated Multi-Sensor Models for Early Defect Forecasting in Extrusion 3D Printing
[IEEE] 2026-7-23 | Green Emergency Communications in RIS- and MA-Assisted Multi-UAV SAGINs: A Partially Observable Reinforcement Learning Approach
[IEEE] 2026-7-24 | Fast Speech Encryption Technique Using Adjacency Matrix, Dynamic DNA Coding, and Quantum Chaos Map
[IEEE] 2026-7-24 | Design and Experimental Validation of an Excavator End-Effector Position Estimation Method Based on an On-Machine Multivariable Motion Sensor
[IEEE] 2026-7-23 | HARNES: Heuristic Algorithm for Routing and Network Efficiency using SDN in Intelligent Transportation Systems
[IEEE] 2026-7-24 | Calculation Method for Equivalent Ejection Mass of Variable Thrust in the Internal Ballistic Equation of Pyrotechnic Folding Rudder
[IEEE] 2026-7-23 | Collision-Free NN Adaptive Hybrid Optimal Formation Control for Vehicle Platoon Systems
[IEEE] 2026-7-24 | Drive-Cycle-Based System-Level Optimization of an IPMSM Traction Motor Considering Vibration-Induced Loss and Fuel Economy
[IEEE] 2026-7-24 | Decentralized Storage System with Enforced User Control over Data
[IEEE] 2026-7-24 | Predictive Resilience in 5G/6G MEC Infrastructures: Adaptive Entropic Control and Digital Twins within a Multi-Agent Cognitive Framework
[IEEE] 2026-7-24 | ARGUS: A Context-Aware Software Architecture for Smart Environments
[IEEE] 2026-7-24 | Ambiguity-Free Direction Finding Based on Time-Modulated Array Using Multiharmonic Amplitudes
[IEEE] 2026-7-24 | Neural PI-Based Direct Power Control for DFIG Wind Energy Conversion Systems
[IEEE] 2026-7-24 | MambaVEC: A Multi-Agent DRL Framework with Mamba for Efficient Long-Term Vehicular Edge Computing Task Offloading
[IEEE] 2026-7-24 | Research and Development of Mobile App for Editing Maps of Intelligent Cleaning Robots
[IEEE] 2026-7-23 | Ge/GeSn Quantum Well MOSFETs for Cryogenic Applications
[IEEE] 2026-7-23 | DeepNP: Deep Learning-Based Noise Prediction for Ultra-Reliable Low-Latency Communications
[IEEE] 2026-7-24 | SKYDET: An End-to-End Multi-Scale Attentive Detection Network from Foundation Models for Small Objects in Remote Sensing Images
[IEEE] 2026-7-24 | Distributed Allocation of Inter-Vehicle Distances in Platoons With Prescribed Length
[IEEE] 2026-7-24 | Wideband Quantum Transduction for Rydberg Atomic Receivers Using Six-Wave Mixing
[IEEE] 2026-7-23 | 1 MeV Proton-Induced Damage in
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Schottky Barrier Diodes under Forward Bias
[IEEE] 2026-7-23 | AI-assisted Full-field Warpage Prediction and Optimization for Advanced Packaging
[IEEE] 2026-7-24 | Remote Sensing for Early Detection of Pine Wilt Disease (From ): A critical review_supp2-3711097.docx
[IEEE] 2026-7-24 | Design of Occupancy-Based Supervisory Model Predictive Control for HVAC Systems in Office Buildings Considering Energy Efficiency and Thermal Comfort
[IEEE] 2026-7-24 | Game Theory Model for Proportionality Assessment in Military Operations
[IEEE] 2026-7-23 | LPABE: Lattice-Based Puncturable Attribute-Based Encryption for Secure Cloud Storage Services
[IEEE] 2026-7-24 | Designing Value-Based Platforms: Architectural Strategies Derived from the Digital Markets Act
[IEEE] 2026-7-24 | Adaptive Shift of Education Teaching in Colleges and Universities based on Generative Artificial Intelligence Scene
[ACM] 2026-7-24 | Diagnostic Report Generation via a ProActive Multimodal Agentic System
[ACM] 2026-7-23 | OVTG: Open-Vocabulary Topological Semantic Graph Construction Method for Unknown Environments
[ACM] 2026-7-23 | Simultaneous Kinematic and Inertial Parameter Identification of a Multi-Sensor Tool for On-Orbit Robotic Servicing
[ACM] 2026-7-23 | Future-Aware Reinforcement Learning for Precision Assembly via LSTM-Based Trajectory Prediction
[IEEE] 2026-7-23 | A Novel Power-Aware Posit-HUB in Digital FIR Filter Architecture
[IEEE] 2026-7-23 | Data-Driven Adaptive Tracking Control for Nonlinear Dual-Active-Bridge Systems
[IEEE] 2026-7-23 | A Two-Stage Remaining Useful Life Prediction Method for Rolling Bearings based on Attention Enhanced Time-Frequency Transformer
[IEEE] 2026-7-23 | Model-free Adaptive Control for an Inverted Pendulum System with Real-time Experiments
[IEEE] 2026-7-23 | A Comparative Evaluation of Object Detection Models for Workstation Recognition in Architectural Floorplans
[IEEE] 2026-7-23 | Joint Modeling of Computing and Radio Resources for Smart Campus Applications in Next-Generation Networks
[IEEE] 2026-7-23 | Neural Network-Based Data-Driven Security Control for UMVs under FDI Attacks with TGAI Operator
[IEEE] 2026-7-23 | mmWave Radar-Driven Non-Contact Health Assessment of Elevator Traction Machines with Physics-Informed Neural Operators
[IEEE] 2026-7-23 | Algebraic Approach to the Synthesis of Fast Algorithms for Signal Decomposition and Reconstruction in the Hartley-Gabor Basis
[IEEE] 2026-7-23 | IEEE Computational Intelligence Society Information
[IEEE] 2026-7-23 | Table of Contents
[IEEE] 2026-7-23 | Sponsors
[IEEE] 2026-7-23 | Distributed Adaptive Gradient Tracking for Stochastic Non-Convex Optimization over Directed Networks_supp1-3711154.pdf
[ACM] 2026-7-23 | Strategic Bidding Incentives in Ethereum Block Building Auctions
[IEEE] 2026-7-23 | Osteoporosis Risk Prediction Method Based on TCN-Transformer
[IEEE] 2026-7-23 | Predictive Failure Detection and Localization System for PCB Assemblies using Multi-Sensor FPGA-Based RTL Pipeline and On-Chip LSTM Inference
[IEEE] 2026-7-23 | Risk-Decision-Based Sliding Mode and Model-Free Hierarchical Control for Combined Aircraft
[IEEE] 2026-7-23 | Memory-Augmented Affine Formation Control for UAV Swarms Using Available Networked Information
[IEEE] 2026-7-23 | Enhancing Low-Rate DDoS Detection via Feature Engineering: Supervised and Unsupervised Learning
[IEEE] 2026-7-23 | Deep Spectrum Sensing Under Realistic RF Conditions: A Cross-Dataset Study
[IEEE] 2026-7-23 | Integrated PM-DPI Framework for Uplink Traffic Forecasting: A Residual Modeling Approach with Cost Optimization
[IEEE] 2026-7-24 | Research on the Application of Virtual Reality Technology in College Chinese Language Teaching
[IEEE] 2026-7-24 | Memory-Augmented Reinforcement Learning for Secondary Control of Microgrids in Cyber Attacks and Nonideal Operating Conditions
[IEEE] 2026-7-24 | Collaborative SDN Controllers for IoT Intrusion Detection Using Federated Learning
[IEEE] 2026-7-24 | A Needle Biopsy-Inspired Method for Rapid Mechanical Characterization of Soft Tissue_supp1-3712236.mp4
[IEEE] 2026-7-24 | Message from Program Chair
[IEEE] 2026-7-24 | Quantum State Secure Transmission and Circuit Simulation in Smart Medical Care
[IEEE] 2026-7-23 | In Orbit Reprogramming for Small Satellites: A Flight Demonstration using a Single Board Computer
[IEEE] 2026-7-23 | Single Heading-Line Magnetic Survey Data–Based Deep Learning Method for 2D Edge Detection with Weak Physical Constraints
[IEEE] 2026-7-24 | GPU-Accelerated Thermally Coupled SPH for Real-Time Boiling Simulation with Controllable Nucleation
[IEEE] 2026-7-24 | Microfabricated Flexible 4×4 Graphene Thermistor Array for Spatial Temperature Mapping
[IEEE] 2026-7-24 | A Drift-Aware Evaluation Framework for Rare-Event Prediction: Comparative Analysis of Gradient Boosting, Temporal Convolutional Networks, and Transformer Models
[IEEE] 2026-7-23 | An Interpretable Surrogate Model-Based Multiobjective Optimization Framework for TWT
[IEEE] 2026-7-24 | Blank Page
[IEEE] 2026-7-24 | Fully Sputtered HfO
                    <sub>y</sub>
                    /HfO
                    <sub>x</sub>
                    RRAM: Improved Synaptic Behavior for Neuromorphic Training Accelerators
[IEEE] 2026-7-23 | A Multi-Valued Trigonometric Chaotic Map with Hardware Implementation
[IEEE] 2026-7-24 | FPGA-Based Implementation of Gigabit Ethernet Communication
[IEEE] 2026-7-24 | Three Level GaN Inverter for a Residential Heat-Pump
[IEEE] 2026-7-24 | Beyond Model Scale Limits: End-Edge-Cloud Federated Learning with Self-Rectified Knowledge Agglomeration
[IEEE] 2026-7-23 | Corrections to ‘‘Optimized Epoch Selection Ensemble: Integrating Custom CNN and Fine-Tuned MobileNetV2 for Malimg Dataset Classification’’
[IEEE] 2026-7-24 | A Geometric Nonlinear Control Approach for Stabilizing Networked Supply Chain Systems Under Stochastic Demand Uncertainty
[IEEE] 2026-7-23 | Feedback-Free Photonic Reservoir Computing via Time-Concatenated Dimensional Expansion and Hybrid Pruning
[IEEE] 2026-7-24 | Optical Fiber Fundamentals for Distributed Sensing: A Review
[IEEE] 2026-7-23 | Graph World Model for Energy-Efficient Hybrid Beamforming in LEO Satellite Networks
[IEEE] 2026-7-24 | Single‑Fiber Counter‑Propagating Optical Tweezers for Trapping High‑Refractive‑Index Microparticles_supp5-3716314.mp4
[IEEE] 2026-7-24 | Cross-domain Fine-Tuned Wav2Vec 2.0 model with Bidirectional GRU for Audio Deepfake Detection
[IEEE] 2026-7-24 | CIAO - Code In Architecture Out - Automated Software Architecture Documentation with Large Language Models
[IEEE] 2026-7-24 | Finite-Time Robust Control for Bowden Cable-Driven Exoskeletons With Time-Varying Cable Configurations
[IEEE] 2026-7-24 | Feature-Based Modelling and Analysis of the Functional Interplay in Groups of Collaborative Systems
[IEEE] 2026-7-24 | Artificial Intelligence-Based Classification of Human Activities from mmWave Radar Point Clouds
[IEEE] 2026-7-23 | Single-Trial Real-Time-Compatible P300 Latency Estimation Using a Deployment-Consistent Deep Learning Regression Framework
[IEEE] 2026-7-24 | Scalable Palmprint Authentication Using Deep Features and One-Class PCA
[IEEE] 2026-7-23 | Exploiting Double-Bounce Paths in Snapshot Radio SLAM: Bounds, Algorithms and Experiments
[IEEE] 2026-7-23 | TLSPGM: A phase-gradient-based approach for efficient 3D repositioning error compensation in D-GBSAR slow deformation monitoring
[IEEE] 2026-7-23 | Efficient Spike-driven Transformer for High-performance Drone-View Geo-Localization
[IEEE] 2026-7-23 | A Unique-Cause-First Masking Extension for Minimal MC/DC Truth-Vector Suite Generation With Real-Code Evaluation
[IEEE] 2026-7-24 | ARGUS: Augmented Reasoning over Multi-Modal Text and Transaction Streams for Robust Black-Litterman Portfolio Optimization
[IEEE] 2026-7-23 | Scheduling Aircraft Cabin Door Assembly Line via Q-Learning Strategy-Assisted Particle Swarm Optimizer_supp1-3716037.pdf
[IEEE] 2026-7-23 | Research on Network Intrusion Detection Enhanced by Multi-Scale Spatiotemporal Residual Networks
[IEEE] 2026-7-23 | TPC Committee Index
[IEEE] 2026-7-23 | Fault-Tolerant Control of Reconfigurable Flight Arrays with Suspended Payloads
[IEEE] 2026-7-23 | HIL-VFD: Learning High-Precision Insertion under Grasp Uncertainty via Vision–Force Imitation Learning with Human-in-the-Loop DAgger
[IEEE] 2026-7-23 | Learning-Enhanced Distributed Self-Triggered Consensus of Heterogeneous Nonlinear Multi-Agent Systems
[IEEE] 2026-7-23 | Area-Power Efficient Hybrid Direct Digital Frequency Synthesizer for Multimedia Systems
[IEEE] 2026-7-23 | A Practical Workflow for Thermal Hotspot Localization in Silicon ICs Using Uncooled LWIR Thermography
[IEEE] 2026-7-23 | Performance optimization of PicoRV32 RISC-V processor using Kogge-Stone adder and Vedic multiplier with formal verification
[IEEE] 2026-7-23 | Optimizing Weight Matrix Estimation via Biased Methods for Data-Driven Modeling
[IEEE] 2026-7-23 | Computer Vision Based Automated Surface Defect Detection
[IEEE] 2026-7-23 | A Multi-Scale Feature-Domain Adversarial Transfer Network for Open-Circuit Fault Diagnosis of Three-Phase Inverters
[IEEE] 2026-7-23 | Environment-Coupled Power Grid Vulnerability Assessment Model for Heatwave Disaster
[IEEE] 2026-7-23 | MIF-PV: A Multi-source Heterogeneous Information Fusion Framework for Robust Short-Term Photovoltaic Power Forecasting
[IEEE] 2026-7-23 | Monitoring and Selecting Grandmasters in PTP v2 Networks Using T4 Timestamp Analysis
[IEEE] 2026-7-23 | SABER: Speaker-Aware Bayesian Emotion Recognition
[IEEE] 2026-7-23 | Transformer-Based Model Predictive Control for Concentrate Fe Grade Tracking in Flotation Processes
[IEEE] 2026-7-23 | Probabilistic Denoising-Enhanced Parameter Estimation for Multi-Target Detection
[IEEE] 2026-7-23 | AI for Science: AI-Aided Optimization and Implementation of Path-finding Algorithm
[IEEE] 2026-7-23 | A Hybrid Genetic-ODE Framework with Multidimensional Constraints for Time Delay Estimation and Alignment in Industrial Dynamical Systems
[IEEE] 2026-7-23 | Fast Adaptive Count Data Regression and Its Application to Defects Prediction in Industrial Process
[IEEE] 2026-7-23 | Event-Triggered Quantized Iterative Learning Control under Finite Quantization Levels
[IEEE] 2026-7-23 | Dynamic Modeling and Control of a Robot Balancing on Slackline
[IEEE] 2026-7-23 | Adaptive Iterative Learning Control for Non-Strictly Repeatable Second-Order Nonlinear Systems Subject to Deception Attacks
[IEEE] 2026-7-23 | Dedicated Astronomical Computation Unit for Luni-Solar Calendrical Systems in 90nm CMOS
[ACM] 2026-7-23 | Research on Time-Optimal Trajectory Planning of Dual-Arm Robots Based on an Improved Dung Beetle Optimization Algorithm
[ACM] 2026-7-23 | A Simple Coverage Path Planning Method Based on Boustrophedon Decomposition for Lawn Mowing Robots
[IEEE] 2026-7-24 | Optimization of Automatic Control for Biological Processes in Wastewater Treatment Plants
[IEEE] 2026-7-24 | A Lightweight Signal-Processing Front-End for Acoustic Forest Fire Detection
[IEEE] 2026-7-23 | Measuring and Understanding Expectation Inconsistency in Java Libraries
[IEEE] 2026-7-24 | NetSentinel: A Mixture-of-Experts IDS for Dynamic Threat Detection in SDN-IoT
[IEEE] 2026-7-23 | TES Proton Irradiation Result Analysis for Future Space Applications
[IEEE] 2026-7-24 | Hierarchical Hypergraph Neural Networks for Multi-Type Drug-Drug Interaction Prediction
[IEEE] 2026-7-24 | AI-based Multi-Stage Pipeline for Early Childhood Personalized Linguistic Assessment
[IEEE] 2026-7-24 | Fault-Tolerant Human Detection using Radar-Camera Fusion
[IEEE] 2026-7-24 | MISA: Mutual Information-driven Separator with Spectral Alignment
[IEEE] 2026-7-24 | Internet of Things Based Low-Concentration Photovoltaic Silicon Solar Cell Protection Using Active Cooling System
[IEEE] 2026-7-24 | The Impact of the Dataset on Fine-Tuning Multilingual BERT for Multiclass Classification Task
[IEEE] 2026-7-24 | Enhancing InSAR Tropospheric Delay Correction by Combining Phase-Elevation Correlation and Common-Scene Stacking: Validation and Application to Southern California
[IEEE] 2026-7-24 | Multiway Autoregressive Network: A Dynamic Graph Representation Framework for Temporal Link Prediction
[IEEE] 2026-7-24 | Automated Traffic Incident Summarization Using LLMs: A Smart City Perspective
[IEEE] 2026-7-24 | AIMind: An AI-Powered Framework for Personalized Mental Health Support
[IEEE] 2026-7-24 | A Lens-to-Lens System for Characterizing Silicon-Integrated Metasurfaces At Terahertz Frequencies
[IEEE] 2026-7-24 | Towards AI-Enabled Engineering of Digital Twins: An Architecture-Centric Approach
[IEEE] 2026-7-24 | LLM-Guided Reinforcement Learning for Service Orchestration Under Demand Shifts
[IEEE] 2026-7-24 | Comparative Evaluation of Continuous-and Finite-Control-Set MPC for a Three-Phase Grid-Connected Voltage-Source Inverter
[IEEE] 2026-7-23 | Transient Modeling of High-Speed Links Based on GAT-DNN-LSTM Hybrid Neural Network
[IEEE] 2026-7-23 | Cross-Domain Authentication Scheme for Internet of Vehicles Based on 5G Blockchain and Threshold Group Signatures
[IEEE] 2026-7-24 | Design and System Level Validation of a Truth Table Synthesized 18 Transistor Full Adder for Binary Accumulation Application
[IEEE] 2026-7-24 | Grid-Connected DC Microgrid using FSM control in MATLAB/Simulink
[IEEE] 2026-7-23 | Sensing-Communication-Computing Integrated Resource Allocation for 3D Observability Enhancement of Distribution Grid
[IEEE] 2026-7-24 | Analysis of defects in photovoltaic panels
[IEEE] 2026-7-23 | Image-Based Visual Servoing Control of Robotic Systems With Enhanced Parameter Convergence: A Composite Learning Approach
[IEEE] 2026-7-24 | Blur-Resistant Hyperspectral Image Super-Resolution via Dual-Degradation Fusion Model
[IEEE] 2026-7-24 | Global Sensitivity Analysis of Seasonally Frozen Soil Radiation Transfer (SFS_DMRT) Model for Monitoring Soil Freeze-Thaw
[IEEE] 2026-7-23 | Investigations on Surge Current Capability and Failure Mechanism of SiC MOSFETs in Third Quadrant
[IEEE] 2026-7-23 | Coordinated Ground Fault Suppression Using Feeder-Side Power Router with Active Voltage Regulation Considering Line Impedance
[IEEE] 2026-7-24 | Fuzzy Logic-Based Direct Torque Control for Induction Motor Drives Using a Three-Level NPC Inverter
[IEEE] 2026-7-24 | A New Era of Analog Predistortion for Millimeter-Wave Backhaul: We Don’t Back Off
[IEEE] 2026-7-24 | Smart Monitoring of an Agricultural Greenhouse: Predictive Analysis for Tomato Cultivation
[IEEE] 2026-7-24 | LITE and PRIME: Robust Streamlined MOT Solutions for Real-Time Systems
[IEEE] 2026-7-24 | Fundamental Limits for Near-Field Sensing — Part II: Wide-Band Systems
[ACM] 2026-7-23 | From Satire to Misinformation: Visual Mimicry and Audience Interpretation of Fake News Photo-Cards in Bangladesh
[ACM] 2026-7-23 | Loving Baby: An AI-Supported Robotic Companion for Primary Education -- Early Evidence on Emotions, Engagement and Well‑Being
[IEEE] 2026-7-23 | Price-Aware Multi-Objective Optimization of Residential Electric Vehicle Charging in Distribution Networks
[IEEE] 2026-7-23 | Disentangled Representation Learning for Membership Inference Defense in Graph Neural Networks
[IEEE] 2026-7-23 | SAR Moving Object Detection Method Based on Improved YOLOv8 in Noisy Environment
[IEEE] 2026-7-23 | Analysis of Training Dataset Generation for Artificial Neural Networks in Acoustic Direction Finding
[IEEE] 2026-7-23 | Accurate Data-Component-Adjustment Anti-Stagnation-based Model-Free Predictive Control on PMSM Drives
[IEEE] 2026-7-23 | Design and Implementation of a Low-Cost IoT-Based Smart Curtain System for Home Automation
[IEEE] 2026-7-23 | Maximum-Likelihood Detection of Correlated Signals with Amplitude and Phase Modulation
[IEEE] 2026-7-23 | An LCL-LCC Trap Filter for a Single-phase Grid-connected Inverter
[IEEE] 2026-7-23 | ViG-Net: View-Invariant Representation Learning for Lightweight Robotic Grasp Detection via Contrastive Auxiliary Supervision
[IEEE] 2026-7-23 | A data-driven model-free adaptive control method under non-periodic DOS attack
[IEEE] 2026-7-23 | Frequency-Time Intramode Dispersion of HF Channels Under Conditions of Multiple Exciding the Coherence Bandwidth
[IEEE] 2026-7-23 | Proactive Detection of Sandbed Formation in Hydrotransport Pipelines via Multi-Depth Sonar Profiling and Bidirectional LSTM
[IEEE] 2026-7-23 | Knowledge-Constrained Multiscale Spatiotemporal Learning for Multivariate Anomaly Detection
[IEEE] 2026-7-23 | Spatial-Repetitive-Learning-Based Disturbance Rejection Model Predictive Control for Rotational Systems
[IEEE] 2026-7-23 | Towards a Secure Federated Learning based Approach for Automatic Atrial Fibrillation Detection using ECG Benchmark Datasets
[IEEE] 2026-7-23 | Deep Learning for Automatic Fetal Head Circumference Measurement: A Comparative Study
[IEEE] 2026-7-23 | Multi-Agent Proximal Policy Optimization based Connected Vehicle Platoon Planning
[IEEE] 2026-7-23 | Iterative Learning Consensus Control for Nonlinear Multi-Agent Systems with Random Initial States
[IEEE] 2026-7-23 | Distributed Reflected Forward-Backward Splitting Method for Generalized Nash Equilibrium Seeking
[IEEE] 2026-7-23 | Breaking the Visual Barrier: Accessible UML Activity Diagrams via Deep Learning
[ACM] 2026-7-23 | APEX: an Adaptive Photonic-Electronic Chiplet Interconnection Architecture for DNN Inference
[ACM] 2026-7-23 | Right for the Wrong Reasons: Diagnosing Causal Pathologies in LLM Reasoning
[IEEE] 2026-7-23 | Resource-Aware Secure Multi-Party Edge Computation Offloading_supp1-3714302.pdf
[IEEE] 2026-7-23 | Copyright Page
[IEEE] 2026-7-23 | DDCLS 2026 Author Index
[IEEE] 2026-7-23 | 2025 International Conference on Intelligent Decision-making and Machine Learning (ICIDML)
[IEEE] 2026-7-23 | Expression of Concern for: Deep Learning Approaches for Continuous Sign Language Recognition: A Comprehensive Review
[IEEE] 2026-7-24 | QoS-Guaranteed Resource Slicing in Wired Networks via ML Metaheuristics
[IEEE] 2026-7-24 | Table of Contents
[IEEE] 2026-7-24 | UAV Extreme Edge Computing for Real Time AI Inference: A Distributed Processing Approach
[IEEE] 2026-7-23 | Subspace Fusion Sensing for Cooperative ISAC
[IEEE] 2026-7-23 | From Legacy to Future 6G Network: Challenges and Mitigation Techniques of Wireless Transceivers Non-Idealities
[IEEE] 2026-7-24 | Energy Management Optimization for a PV–Wind Hybrid System with Continuous Hydrogen Production
[IEEE] 2026-7-24 | A Robust System for Detecting and Recognizing Iraqi License Plates using Deep Learning and OCR Techniques
[IEEE] 2026-7-24 | Cybersecurity Resilience of Healthcare Critical Infrastructure: A Case Study of the Hipocrate/RSC Ransomware Incident (February 2024)
[IEEE] 2026-7-24 | ECAI 2026 Cover Page
