[2026-02-14 09:19:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-13
正在获取论文...
[ACM] 2026-2-13 | Gender Differences in Class Participation in Online versus In-Person Core CS Courses
[IEEE] 2026-2-13 | Optimization and Error-Corrected Quantum Sensing with NV Centers in SiC: An Extension to EPR/ENDOR Characterization
共写入 1000 条记录，保存到 papers/paper2026-02-13.json。
论文获取成功，文件路径: papers/paper2026-02-13.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Gender Differences in Class Participation in Online versus In-Person Core CS Courses
[NO] 2/1000 | A New Course in Computational Music Theory
[NO] 3/1000 | Code, Test, Battle: Gamifying CS2 Through Adversarial Programming Tournaments
[NO] 4/1000 | Student/Faculty Partnerships to Teach Computing Ethics Beyond the Computer Science Classroom
[YES] 5/1000 | A Verification-First, Self-Healing Framework for LLM-Enabled Generation of CS1 Exercises
[NO] 6/1000 | Transform Your Computer Science Course with Specifications Grading
[NO] 7/1000 | Transparent Teaching
[NO] 8/1000 | Process-Oriented Homework with an Instructor-Designed AI-Bot: An Early Experience in a Data Structures and Algorithms Course
[NO] 9/1000 | Integrating AI and Entrepreneurship: Preparing CS Undergraduates for Startups and Innovation
[NO] 10/1000 | HeuristicBuilder: An Interactive Multimodal Approach to Teaching Usability Heuristics
[NO] 11/1000 | Effects of Project Type on CS Capstone Courses
[NO] 12/1000 | Wearable Electrotactile Feedback for Motor Skill Acquisition
[NO] 13/1000 | Teaching Students through Comparing Code in CS1
[NO] 14/1000 | Free Interactive Textbooks for Teaching Parallel and Distributed Computing Across the Computer Science Curriculum
[NO] 15/1000 | Evaluating the Impact of Accessibility Testing Tool Usage Across the Software Development Lifecycle in Student Projects
[NO] 16/1000 | ECO: Energy-Constrained Optimization with Reinforcement Learning for Humanoid Walking
[NO] 17/1000 | Chessboard FPA in 130-nm SiGe BiCMOS for High-Resolution Passive Terahertz Imaging
[NO] 18/1000 | Mitigating Misinformation Spread in Blockchain-Based Online Social Networks_supp1-3598599.pdf
[NO] 19/1000 | IEEE Transactions on Computational Social Systems Information for Authors
[NO] 20/1000 | Vacuum-Packaged 30%-Doped ScAlN Resonators With AlN Absorbers for IR Spectroscopy
[NO] 21/1000 | CorcPUM++: Enabling Row-Access and Column-Access Cooperation for Fair and Efficient Thread-Level Scientific Computing using Resistive Cross-Point Random-Access Memory
[NO] 22/1000 | MPA: Lightweight and Updatable Integrity Auditing for Decentralized Storage using Merkle Trees and Polynomial Commitments
[NO] 23/1000 | A Novel Simultaneous Calibration Method with Radius Constraint for 3D Robot Measurement
[NO] 24/1000 | Proceedings of the conference on Proceedings of the 5th Mile-High Video Conference
[NO] 25/1000 | Implicit Adaptation for Point Cloud Streaming with MoQ
[NO] 26/1000 | The Quest for a Resilient Internet Access in a Constrained Geopolitical Environment
[NO] 27/1000 | Proceedings of the 19th Asian Internet Engineering Conference
[NO] 28/1000 | Quantum Model: Saving and Reloading Variational Quantum Classifiers
[NO] 29/1000 | Monitoring Posture to Reduce Back Pain Issues
[NO] 30/1000 | AI-Driven Sentiment Analysis for Social Media Monitoring
[NO] 31/1000 | Performance Evaluation of Different Multilevel Inverter Topologies in Renewable Energy Applications
[NO] 32/1000 | MedSensePathway: A Hybrid Framework for Real-Time Diagnosis of Malarial Parasites using Medical Imaging
[NO] 33/1000 | Predicting the Progression of Diabetes Mellitus using Deep Neural Networks
[NO] 34/1000 | Deep Learning based Multi-Model Approach for Alzheimer’s Disease Prediction
[NO] 35/1000 | Multi-Agent Systems for Collaborative and Proactive Fraud Prevention in Distributed AI-Driven Financial Platforms
[NO] 36/1000 | Artificial Intelligence in Bone Cancer Detection: A Comprehensive Analysis of Imaging-based Approaches
[NO] 37/1000 | Automated Mental Health Assessment using Machine Learning
[NO] 38/1000 | Flexible Hexagon, an Approach to Utilize Distributed Module Voltages to Reduce Voltage-Time Area Errors of Multilevel Converters
[NO] 39/1000 | LPG Gas Level and Leakage Detection using AI Integration
[NO] 40/1000 | On Solutions to Discrete-Time Inverse Problems Via Sparse Superpositions of Decaying Shifted Heaviside Functions: A Hardy Space Approach
[NO] 41/1000 | LLM-Driven Adversarial Example Synthesis for Emerging Topic Rumor Detection on Social Media_supp1-3650830.pdf
[NO] 42/1000 | OpenCDA-MARL: A Unified Benchmarking Framework for Cooperative Autonomous Intersection Management With Multi-Agent Reinforcement Learning
[NO] 43/1000 | Sensor-Prompt Tuning: Aligning Time Series Foundational Models With Motion Sensors for Few-Shot Activity Recognition
[NO] 44/1000 | Optimal Impulsive Rendezvous Under Target Flyby Constraint Based on Primer Vector Theory
[NO] 45/1000 | MOQ-n-Roll: Live Sports Watch Parties
[NO] 46/1000 | Exploring Differences in Perceived Confidence Between Native and Transfer Computer Science Students
[NO] 47/1000 | Designing AI-Resistant Assignments via Iterative Perturbation to Promote Interactive Learning
[NO] 48/1000 | Exploring Trust in Human-LLM Feedback Systems: Observation of Student Behaviour in Software Engineering Education
[NO] 49/1000 | AI-Augmented Instruction: Real-Time Misconception Detection
[NO] 50/1000 | Using Containers to Prevent Generative AI Use in Lab Exams
[NO] 51/1000 | An Implementation Evaluation of a Program Integrating Computational Thinking into Core High School Curriculum
[NO] 52/1000 | Mapping Required Ethics Education in Computer Science: Insights from 100 U.S. Programs
[NO] 53/1000 | Birds of a Feather Who'd Like to Share Software Together: Teaching Tools that Improve Efficiency and Outcomes
[NO] 54/1000 | A Two-timescale Resource Allocation Method Based on Deep Reinforcement Learning for 6G Networks
[NO] 55/1000 | ICECA 2025 Author Index
[NO] 56/1000 | DyGS-SLAM: Dynamic Object Segmentation and Multi-View Long-Term Gaussian Consistency for High-Fidelity SLAM
[NO] 57/1000 | Digital Predistortion Using Instantaneous Sample-Indexed Multiple Extended Magnitude-Selective Affine Functions for MIMO Transmitters With Crosstalk
[NO] 58/1000 | Performance Evaluation of LEO to HAP Communication under Wobbling, Pointing Error, and Hardware Impairments
[NO] 59/1000 | ASDTracker: Adaptively Sparse Detection with Attention-Guided Refinement for Efficient Multi-Object Tracking
[NO] 60/1000 | Theoretic Analysis on Deterministic Reliability of Finite Blocklength Massive MIMO Transmission
[NO] 61/1000 | Wide-Angle Tunable Metasurface Retroreflector by Loading Cylindrical Luneburg Lens
[NO] 62/1000 | Autoencoder-Based Analog Fountain Codes for Short Packet Communications
[NO] 63/1000 | Multifunctional Vanadium Dioxide–Stabilized Graphene–Graphite Metasurface for Terahertz Waves
[NO] 64/1000 | How Scale Breaks “Normalized Stress” and KL Divergence: Rethinking Quality Metrics_supp1-3657654.pdf
[NO] 65/1000 | Critical Current Measurement over full-width HTS Tapes under Flat-top Pulsed Magnetic Field up to 38.7 T
[NO] 66/1000 | Temperature Control for Cyber-Physical Thermal Systems over Wireless Networks: A Model-Assisted Deep Reinforcement Learning Approach
[NO] 67/1000 | Fine-Grained Model-Level Digital Twin Migration Method for Intelligent Transportation Systems
[NO] 68/1000 | Toward AI Autonomous Navigation for Mechanical Thrombectomy Using Hierarchical Modular Multi-Agent Reinforcement Learning (HM-MARL)
[NO] 69/1000 | Chess-Optimized Fuzzy-2DOF-PID Controller for Load Frequency Stabilization in Interconnected Multi-Area Renewable Grids
[YES] 70/1000 | Can LLMs Be Effective Sensor Processing Copilots?
[NO] 71/1000 | Accelerating Data Chunking in Deduplication Systems using Vector Instructions
[NO] 72/1000 | Leveraging Federated Self-Supervised Approach for Stress Recognition to Mitigate Label Leakage
[NO] 73/1000 | Beyond the Sprint: Teaching Project Management as a Human Skill
[NO] 74/1000 | Scaffolded Projects for the Social Good: Integrating Sustainable Service-Learning in Software Engineering
[NO] 75/1000 | Dataset Challenges and Design Principles for Effective Source Camera Identification in Digital Forensics
[NO] 76/1000 | Text-to-Image Generation using Generative Adversarial Networks: Bridging Language and Vision
[NO] 77/1000 | Introduction to the Special Issue on Artificial Intelligence for Adaptive and Autonomous Cloud/Edge Computing Systems
[NO] 78/1000 | A Comprehensive Review of Fuzzy Expert Systems for Region Specific Crop Recommendation
[NO] 79/1000 | Digital Twin–Enabled Personalized Clinical Trials with Reliable and Explainable Data Pipelines using Organic Synthesis Model
[NO] 80/1000 | Masked Contrastive Pre-Training for Few-Shot Medical Image Classification
[NO] 81/1000 | Classification and Prediction of Property Taxes using Various Machine Learning Models
[NO] 82/1000 | Empowering Agriculture Products with QR Code Verification and Sentiment Analysis
[NO] 83/1000 | Real-Time Decision Optimization in Satellite-Ground Links using Edge Computing and Artificial Intelligence
[NO] 84/1000 | Reactive Power Capability of Grid-Connected High-Power Hydrogen Electrolyzers Fed by Current Source Rectifiers
[NO] 85/1000 | Intelligent Federated Cloud Scheduling with Transfer Learning and Hybrid Reinforcement-Meta-Heuristic Optimization
[NO] 86/1000 | Single-Stage AC/AC Converter for Solid-State Transformer (SST) Based on Modified DAB Topology
[NO] 87/1000 | Security and Protection in Modern Operating Systems: A Comprehensive Review
[NO] 88/1000 | A Comprehensive Study on Olympic Data Analysis for Predicting Performance Trends using Machine Learning Algorithm
[NO] 89/1000 | Electrical and Thermal Characterization of PCB-Embedded 650 V GaN Half-Bridges on AlN Substrates
[NO] 90/1000 | A Review on Load Balancing Framework for Efficient Resource Scheduling in Cloud-based Healthcare Systems
[NO] 91/1000 | Enhanced Current Balancing Between Parallel Si IGBTs and SiC MOSFET by Co-Switching in High-Power Inverters
[NO] 92/1000 | Smart Waste Segregation Bin
[NO] 93/1000 | Multi-Model Framework for Assessing Depression, Anxiety and Sleep Disorders
[NO] 94/1000 | AI and IoT Powered Smart Pillow for Early Detection and Management of Sleep Apnea
[NO] 95/1000 | Prediction of Mammogram Image Performance using ResNet and Random Forest-based Model
[NO] 96/1000 | NLP based Gesture Translation Recognition for Inclusive Communication
[NO] 97/1000 | Enhancing Student Engagement and Learning in Database Programming Through Active Learning Strategies
[NO] 98/1000 | The Cost of Catching Up: Investigating the Impact of Late Enrollment on Student Success in a CS0 Course
[NO] 99/1000 | PlayFutures: Imagining Civic Futures with AI and Puppets
[NO] 100/1000 | Learning as a Reviewer but not a Reviewee: Understanding Students' Perceptions of Peer Code Review
[NO] 101/1000 | What do you Mean by 'Learn how to use AI!?'
[NO] 102/1000 | A Nonlinear MPC Framework for Loco-Manipulation of Quadrupedal Robots With Non-Negligible Manipulator Dynamics_supp1-3664229.mp4
[NO] 103/1000 | Closed-Loop Control of Steerable Balloon Endoscopes for Robot-Assisted Transcatheter Intracardiac Procedures
[NO] 104/1000 | SecureCA: Communication- and Round-Efficient Join and Group-By-Aggregation in Secure Database Services_supp1-3655006.pdf
[NO] 105/1000 | IMPRESS: Incomplete Human Motion Prediction via Motion Recovery and Structural-Semantic Fusion
[NO] 106/1000 | Sparse Antenna Array Synthesis Method for Higher Efficiency and Lower Cost via Adaptive Multipoint Mutation Genetic Algorithm
[NO] 107/1000 | Dual-Sensor-Based Active Protector for Nuclear EMP and Prompt Gamma-Ray Detection
[NO] 108/1000 | Nacelle-Mounted Doppler Lidar for Real-Time Wind Field Measurement and Wake Deficit Optimization in Wind Farms
[NO] 109/1000 | DAHNet: A Decomposition and Aggregation Hybrid Network for Hyperspectral Object Detection
[NO] 110/1000 | ICECA 2025 Cover Page
[NO] 111/1000 | SHAP-LM: Optimized Music Genre Classification via SHAP-Guided Feature Selection and Lightweight Modeling
[NO] 112/1000 | Advanced Assessment of Stroke in Retinal Fundus Imaging with Deep Multi-view Learning
[NO] 113/1000 | CMCRD: Cross-Modal Contrastive Representation Distillation for Emotion Recognition
[NO] 114/1000 | Weighted Sinogram Filtered Back Projection for Focused Beam Based X-ray Luminescence Computed Tomography
[NO] 115/1000 | A Resource Selection Model for Minimization of Disruptions in Public Fog Computing Environments
[NO] 116/1000 | Leveraging a structured concurrency framework to implement MoQ support in a Web Video Player
[NO] 117/1000 | Graph-Based Machine Learning for Predictive Modeling in Complex Network Data
[NO] 118/1000 | A Machine Learning-Enhanced Management Information System for Predictive Human Resource Management
[NO] 119/1000 | A New Continually Growing Recursive Lean Instant Slope Constant Estimator for Online Measurement of Derivative and Actual Value of Oversampled Signals
[NO] 120/1000 | Real-Time Water Leak Detection and Management using AI-based Sensor Data Analysis
[NO] 121/1000 | Optimization of Ripple Carry Adder using Quantum Computing
[NO] 122/1000 | GDSTGCN-TCN and GDSTGCN-LSTM: A Comparative Study of Dynamic Generalized Spatio-Temporal GCNs with Temporal Modules for Urban Traffic Forecasting
[NO] 123/1000 | Intelligent Theft Detection: A Hybrid Deep Learning System for Supermarket Security
[YES] 124/1000 | Intelligent Document Query System using Retrieval-Augmented Generation (RAG)
[NO] 125/1000 | Thermally-Informed Neural Networks for Junction Temperature Estimation in SiC-Based Automotive Three-Phase Inverters
[NO] 126/1000 | Evaluation of Reconstruction Fidelity and Processing Speed in Compression of Prostate Cancer Images using Deep Learning
[NO] 127/1000 | Data-Driven LSTM Framework for Robust SoC Prediction in Battery Applications
[NO] 128/1000 | Advanced AI Models for Renewable Energy Integration in Power Distribution Networks
[NO] 129/1000 | Federated Learning and its Uses in Modern Medical Industry: Concepts and Challenges
[NO] 130/1000 | MAViT: A Hybrid Adversarial Vision Transformer for Secure and Robust Threat Detection in IoT-based Medical Systems
[NO] 131/1000 | Spatio-Graphical Vision Transformer Framework for fMRI-based Autism Spectrum Disorder Diagnosis
[NO] 132/1000 | Speech Enhancement using U-Net-based TF-Locoformer with Multi-Dilated Dense Blocks
[NO] 133/1000 | A Thorough Review of the JScript Technology to Perform Client-side Code Execution Attacks
[NO] 134/1000 | A Comprehensive Review of Bias and Fairness in Artificial Intelligence for Oral Cancer Detection
[NO] 135/1000 | Deep Learning-based Image Analysis in Skin Cancer: A Review of Methods and Trends
[NO] 136/1000 | NearLink Layer 2 Protocol Adaptation Solution for Industrial Wireless Control
[NO] 137/1000 | An image information encryption method for power scenarios based on optical transmission equipment
[NO] 138/1000 | High Performance Multimodal MRI and CT Scan-based Deep Learning Model for Brain Tumor Identification
[NO] 139/1000 | Prescriptive Analytics for Dynamic Pricing and Automated Load Balancing in a Decentralized Smart Grid
[NO] 140/1000 | Automated Multi-Stage Deep Learning Framework for Product Image Enhancement in E-Commerce Applications
[NO] 141/1000 | Revisit Fast Event Matching-Routing for High Volume Subscriptions
[NO] 142/1000 | Edge Server Load Balancing using Steerable Free Space Optics for Partial Mesh Optical Access Networks
[NO] 143/1000 | Distributed Large-Signal Stability Analysis and Stabilization for DC Microgrid Clusters
[NO] 144/1000 | Privacy-Preserving Predefined-Time Secondary Control for Networked Microgrid With CPLs: An Auxiliary Variable Encryption Approach
[NO] 145/1000 | WCNIoT 2025 Content Announcement Page
[NO] 146/1000 | Performance, Evaluation and Optimization of an Open-Source Datalogger for High-Mountain Environmental Monitoring
[NO] 147/1000 | Stabilization of stochastic complex network switched systems under event-triggered switching controls
[NO] 148/1000 | Image-Based Dual Defense Strategy for Adversarially Robust IDS in Smart Agriculture
[NO] 149/1000 | Few-Shot Network Thinning: A Unified Dense Compression Framework for CNNs and ViTs
[NO] 150/1000 | Scaffolding Research and Professional Skills in Graduate Computer Science Education: A Milestone-Based Approach
[NO] 151/1000 | Interactive Tools for Middle School Students AI Literacy
[NO] 152/1000 | Bridging the Experience Gap: An Informed Self-Placement Approach to Introductory Programming
[NO] 153/1000 | Responsible AI Use in Computer Science Education Research
[NO] 154/1000 | Envisioning the Algorithms 'Textbook' of the Future
[NO] 155/1000 | Feedback Engagement and Analysis in Assessments (FEAST) in Computing Education
[NO] 156/1000 | A Handshake, not a Hug: Our Approach to AI in a CS1 Course
[NO] 157/1000 | Culturally Responsive Computer Science and Social Studies Integration in Middle School
[NO] 158/1000 | Knowledge Component-Driven Alignment of CS1 Textbooks and Exercises
[NO] 159/1000 | Rehearsals: Digital Simulations for ACM Code of Ethics Learning in Undergraduate CS Education
[NO] 160/1000 | A Lightweight, Privacy-Preserving Platform for Integrating LLMs in CS Coursework
[NO] 161/1000 | What Skills do Students Need to Use Programming Environments?
[NO] 162/1000 | A Sustainable Service-Learning Outreach Model for Broadening Participation in Computing
[NO] 163/1000 | Learning-Centered Intelligent Tutor for Novice Java Programmers
[NO] 164/1000 | Integrating Real-World Cybersecurity Case Studies into Undergraduate CS Education
[NO] 165/1000 | Late Test Takers Do Worse On Exams
[NO] 166/1000 | Manipulatives and Unplugged Activities for Increasing Engagement in Data Structures Courses
[YES] 167/1000 | CodeFlow: LLM-Generated Flowchart Feedback for Programming Students
[NO] 168/1000 | Evaluating LLaMA LLMs and Prompt Engineering for Educational Applications
[NO] 169/1000 | Performance and Start-Time Trends in Asynchronous Computer-Based Assessments
[NO] 170/1000 | Pedagogical Ethos: How Beliefs and Attitudes Shape Instruction
[YES] 171/1000 | Fine-Tuning Open-Source Models as a Viable Alternative to Proprietary LLMs for Explaining Compiler Messages
[NO] 172/1000 | All Scripture is Useful for Teaching: CS Education through a Christian Worldview
[NO] 173/1000 | SeGDP: Source-free Cross-domain Few-shot Learning via Semantic Guided Diversity Prompting
[NO] 174/1000 | Analysis of Blockchain-Integrated Access Control Models in Distributed Cloud Environments
[NO] 175/1000 | Edge Intelligence for Real-Time Image and Audio Processing in IoT Environments
[NO] 176/1000 | Waveform Design Optimization for Integrated Sensing and Communication in 6G Networks using Modified OFDM
[NO] 177/1000 | Design of a Low-Profile Dual-Band Flexible Omnidirectional Microstrip Antenna with Star-Shaped Slot for WBAN Applications
[NO] 178/1000 | Spatiotemporal Deep Learning for Forecasting Regional Sea-Level Rise using Annual Temperature Trends
[NO] 179/1000 | AI based Intrusion Detection for 5G Networks
[NO] 180/1000 | Enhancing Cybersecurity using Deep Learning for Real-Time Threat Detection and Response
[NO] 181/1000 | Research on the Application of Intelligent Network based Remote Online Monitoring System for New Energy Vehicles
[NO] 182/1000 | Deep Learning for Robust Audio Fingerprinting to Enhance Music Retrieval and Recognition
[NO] 183/1000 | Fruit Detection and Yield Estimation using Path Aggregation Feature Pyramid Network and Deep SORT Algorithm: A Case Study on Orange Fruit
[NO] 184/1000 | Hybrid Power Optimization of Multi-Bit Flip-Flops with Clock Gating and Pulse Width Modulation
[NO] 185/1000 | Enhancing Article Summarization using Abstractive Meta Learning
[NO] 186/1000 | Electricity Generation From Vehicle Engine Heat using Thermoelectric Generators
[NO] 187/1000 | AI-Driven Solutions for Predictive Aircraft Maintenance using Sensor Data
[NO] 188/1000 | AI-Powered Alzheimer’s Classification: A Novel Hybrid Model with Grad-CAM Interpretability
[NO] 189/1000 | Real-Time Multimodal Driver Drowsiness Detection using CNN, ViT, and rPPG
[NO] 190/1000 | Comparative Analysis of Duty Cycle and Dual Phase Shift Control for CC/CV Wireless Charging in EVs Employing an Asymmetric Magnetic Coupler
[NO] 191/1000 | Analysis of the Impact of Supercapacitors in Advanced Electric Vehicles
[NO] 192/1000 | Hybrid Metaheuristic Optimization and Graph-based Task Scheduling for Resource-Efficient Edge Computing
[NO] 193/1000 | Praxis Prep: Supporting Secondary Career &amp; Technical Education Teachers Pursuing CS Licensure
[NO] 194/1000 | Modernizing the Introductory Computing Sequence: Integrating Parallel and Distributed Computing in CS1 and CS2
[NO] 195/1000 | Why Learn This? Visualizing Pathways Between CS Courses and Careers to Engage Students
[NO] 196/1000 | Translating Smart Content for Learning Python through Human-AI Collaboration
[NO] 197/1000 | CS Student Perspectives: A Qualitative Look at Student-Centered Classroom Practices in Small and Large Classrooms
[NO] 198/1000 | Applying Universal Design for Learning to Undergraduate Computer Science Education
[NO] 199/1000 | Evaluating Machine Learning Algorithms for Student Performance Prediction in Real-Time Learning Analytics Dashboards
[NO] 200/1000 | Teaching Students to Navigate Intellectual Property Ethics in AI-Assisted Development
[NO] 201/1000 | Toward Equitable Collaboration in Elementary CS Education: Teacher Perspectives on Programming Models
[NO] 202/1000 | Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.2
[NO] 203/1000 | Edison 3.0: A Multimodal RAG System for Large-Scale Educational Q&amp;A with Human-in-the-Loop Oversight
[NO] 204/1000 | Integrating Computer Science into Classrooms: A Professional Development Initiative for Rural Educators
[NO] 205/1000 | Towards a Computer Science Topics Ontology
[NO] 206/1000 | Impacts of Adding Ethics Modules to Individual Computing Courses
[NO] 207/1000 | Diagnosing Students' Understanding of Objects and Classes in OOP
[NO] 208/1000 | Attention-Based Neural-Augmented Kalman Filter for Legged Robot State Estimation_supp1-3664311.mp4
[NO] 209/1000 | Experimental Demonstration of a DC Excited Coreless Planar PCB Coil Actuator Targeted for Lateral Micro-actuation in MEMS
[NO] 210/1000 | Psychophysically-Guided Training for Fingerprint Presentation Attack Detection
[NO] 211/1000 | Explaining Robust Quantum Metrology by Counting Codewords
[NO] 212/1000 | TrapFlow: Controllable Website Fingerprinting Defense via Dynamic Backdoor Learning_supp1-3663989.pdf
[NO] 213/1000 | Adaptive V-I Fusion SLAM: Multi-Constraint Optimization for Illumination Robust Localization
[NO] 214/1000 | A Scoping Review of Machine Learning Approaches for Predicting Lower Extremity Joint Contact Loads: Current Trends, Common Pitfalls and Future Directions
[NO] 215/1000 | Optimal Client Sampling in Federated Learning with Client-level Heterogeneous Differential Privacy_supp1-3661913.pdf
[NO] 216/1000 | Adaptive Lipschitz Constant Learning for PPG Signal Denoising: A Data-Driven Regularization Approach
[NO] 217/1000 | Practical Methods for Distance-Adaptive Continuous-Variable Quantum Key Distribution
[NO] 218/1000 | Optical Image-Assisted Zero-Shot Learning for Unknown Target Recognition in SAR Images_supp1-3657908.pdf
[NO] 219/1000 | Integral Reinforcement Learning-Based Tracking Control for Nonlinear Markov Jump Systems With Unknown Dynamics
[NO] 220/1000 | Implementing Lower Latency, Fast Startup and Switching for low-latency low-delay (L3D) DASH
[NO] 221/1000 | An Instructor Dashboard to Support Mastery Learning
[NO] 222/1000 | Assessing the Effectiveness of Selective Marketing to Broaden Participation in CS Education
[NO] 223/1000 | MDCDNet: A Frequency-Spatial Dual-Domain Collaborative Image Deraining Network
[NO] 224/1000 | Vertically-Excited High-Order Guided Shear Vertical Surface Acoustic Wave Resonators for 5G and Beyond
[NO] 225/1000 | Manipulating Static Characteristics of Reverse Blocking IGCTs via Local Lifetime Control
[NO] 226/1000 | IV Drip and Flow Level Monitoring System
[NO] 227/1000 | A Thermally Insulating Cryogenic Medium-Frequency Transformer for use in a Cryogenic GaN Dual Active Bridge
[NO] 228/1000 | A Lightweight and Scalable Blockchain Authentication Scheme for IoT Mesh Environments
[NO] 229/1000 | Smart Waste Management: A CNN-based Approach for Automated Plastic and Material Classification
[NO] 230/1000 | Evolutionary Computing-Driven Evapotranspiration Modeling for Precision Irrigation Scheduling
[NO] 231/1000 | ML – Powered Malware Traffic Detector
[NO] 232/1000 | YOLOv5-based Intelligent Traffic Control for Density and Emergencies
[NO] 233/1000 | Sentiment Analysis of IMDB Movie Reviews using LSTM and BERT
[NO] 234/1000 | AI-Powered Real-Time Road Condition Monitoring System and Alert System
[NO] 235/1000 | Artificial Intelligence-Enhanced Adaptive Taylor Series Methods for Robust and Tunable Numerical Integration and Differentiation
[NO] 236/1000 | Time-Responsive Deep Learning for Multimodal Survival Prediction in ATRT
[NO] 237/1000 | Deepfake Detection in the Era of AI: Insights into Detection Performance and Model Interpretability
[NO] 238/1000 | AI Powered Autonomous Network Security
[NO] 239/1000 | Adaptive and Explainable Deep Learning for Automated Retinal Disease Diagnosis Using OCT Images
[NO] 240/1000 | Privacy-Preserving Donor Matching for Bone Marrow Transplant
[NO] 241/1000 | Operational Analysis and Control of a Multi-Port Solid-State Transformer with Integrated Batteries
[NO] 242/1000 | AI-Powered Video Summarizer And Knowledge Assistant
[NO] 243/1000 | Repetition Meets Context: Teaching CS1 Through Two Scientific Domains
[NO] 244/1000 | CS1 Instructor Tools for Actionable and Informed Interventions
[NO] 245/1000 | CNPE: A Framework of
                    <u>C</u>
                    hallenges &amp;
                    <u>N</u>
                    eeds in
                    <u>P</u>
                    roof
                    <u>E</u>
                    ducation
[YES] 246/1000 | Exploring LLMs for Generating Erroneous Examples in CS1
[NO] 247/1000 | Teaching Middle School Learners AI Hallucinations Through Chatbot Design
[NO] 248/1000 | Turning Insight into Action: Evaluating Targeted Interventions for a Software Engineering Course Informed by Student Reflections
[NO] 249/1000 | Navigating Computing Careers: TikTok's Potential Role as an Informal Resource
[NO] 250/1000 | Strategies for Implementing Challenge-Based Learning in Short Courses: Developing Professional Skills Through Challenges
[NO] 251/1000 | Automated Assessment Tools: Feedback to and from Students
[NO] 252/1000 | Modeling Ethical Technology Use with Generative AI
[NO] 253/1000 | Theory Is Cool But So Are Microcontrollers: Computer Science Student Reactions to Arduino TinyML
[NO] 254/1000 | Teacher Capacity as a Catalyst: Examining a Research-Practice Partnership's Impact
[NO] 255/1000 | Efficient Sensor Utilization and Advanced Elastogram Image Generation Methods in Ultrasound Imaging
[NO] 256/1000 | FedHRA: A Joint Optimization Framework for Fast Convergent Decentralized Federated Learning in LEO Satellite Networks
[NO] 257/1000 | Phase Robustness Analysis for Structured Perturbations in MIMO LTI Systems
[NO] 258/1000 | IEEE Microwave and Wireless Technology Letters Information for Authors
[NO] 259/1000 | IEEE Control Systems Society Information
[NO] 260/1000 | Effects of low-intensity transcranial ultrasound stimulation on cortical functional network connections and epileptic seizures in a mouse model of epilepsy
[NO] 261/1000 | Measurement and Analysis of Multistate Ferroelectric Transistors in 28 nm CMOS Process
[NO] 262/1000 | SMA-EL:a Minimal 1-cycle Construction Algorithm with Simplicial Maps Annotation and Edge Loss for Emotional Brain Networks Analysis_supp1-3664093.pdf
[NO] 263/1000 | Stabilizing Multi-Task Latent Spaces: Recursive Refinement with Coordinators in Partially Labeled Learning
[NO] 264/1000 | Discontinuous Space Vector Modulation Strategy for Three-Phase Series-End Winding PMSM
[NO] 265/1000 | Edge Harmony Attention Network for Semi-Supervised Medical Image Segmentation
[NO] 266/1000 | Multimodal Fusion-Based Channel Prediction and Characterization for mmWave UAV A2G Communications
[NO] 267/1000 | Secure Mobile Edge Generation (MEG): Privacy Preservation in the Presence of Eavesdroppers
[NO] 268/1000 | Towards More Adaptive Fusion: Sample- and Region-Aware Dynamic Fusion Network for full-and missing-modalities Land Cover Classification
[NO] 269/1000 | Multi-Class Intracranial Haemorrhage Detection using Attention-Enhanced Deep Learning Models
[NO] 270/1000 | Hybrid Battery Balancing Utilizing Temperature Control for Second Life Batteries
[NO] 271/1000 | Accuracy Analysis of the Fundamental Harmonic Approximation for LLC Resonant Converters
[NO] 272/1000 | Progress Analysis of Yoga Pose Detection using Media Pipe for Old Age People and Gout People
[NO] 273/1000 | SCNN-PKO: A Deep Learning Framework for Accurate Bone Marrow Cancer Detection using Spherical CNNs and Pied Kingfisher Optimization
[NO] 274/1000 | Generative AI for Real-Time Emotion- and Culture-Aware Storytelling
[NO] 275/1000 | A Hybrid Machine Learning Framework for Insider Threat Detection and Response
[NO] 276/1000 | IoT-based Precision Farming with Remote Control Access for Low Scale Farmers
[NO] 277/1000 | Prediction of Diabetes patients using Machine Learning with Data Balancing, K-means Clustering and Genetic Algorithm
[NO] 278/1000 | Advanced Temperature Measurement System using Ultrasonic Time-of-Flight and AI-Driven Prediction with Failsafe Mechanism
[NO] 279/1000 | AI Model for Automated Content Moderation: Integrating Hugging Face Model for Text and Image Processing
[NO] 280/1000 | Auto-Genie: Unified AI for Automotive Cost Intelligence and Decision Support
[NO] 281/1000 | Measurement of Continuous Glucose using Antenna as Sensor in Non Invasive Method
[NO] 282/1000 | Emerging Trends in Object Detection for Autonomous Transportation Systems
[NO] 283/1000 | Graph Neural AI with Temporal Dynamics for Comprehensive Anomaly Detection in Microservices
[NO] 284/1000 | Comparison of Soft Magnetic Core and Ferrite Based Rotary Transformers in EVs
[NO] 285/1000 | Lifetime Assessment of Grid-Connected PV Inverters Considering Electrolytic DC-Link Capacitor Degradation and Climate Conditions
