[2026-08-12 22:40:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-11
正在获取论文...
[arXiv] 2026-08-11 | Stay or Stray - A Dynamical Systems Viewpoint of Popularity Bias
[IEEE] 2026-8-11 | Quantum-Assisted Interpretable Cluster-Boosting Framework for Imbalanced Intrusion Detection
[IEEE] 2026-8-12 | Author Index
[IEEE] 2026-8-12 | REVISION:Reflective Intent Mining and Online Reasoning Auxiliary for E-Commerce Visual Search System Optimization
[IEEE] 2026-8-12 | Dynamics Analysis of a Small Training Ship and Practical Gain Tuning Method for its Autopilot at Sea
[IEEE] 2026-8-12 | Vision-Based Robotic Grinding Path Generation and Verification Using Digital Twin
[IEEE] 2026-8-12 | Low-Complexity Column Overlay: 1-Bit RIS Pre-Coding Beam Scanning Optimization
[IEEE] 2026-8-12 | NephroTwin: A Digital Twin Framework for Proactive and Personalized Management of Chronic Kidney Disease
[IEEE] 2026-8-12 | Beyond Imputation: A Semantic Unification Framework for Data and its Missingness in Multimodal Healthcare Analytics
[IEEE] 2026-8-12 | Anisotropic Terrain-Aware Autonomous Exploration via Image-Domain Perception and Sparse Routing
[IEEE] 2026-8-12 | Flipped Learning in Fashion Design with AI: Evaluating Student Attitudes, Learning Reflections, and AI-Mediated Lecturer Presence
[IEEE] 2026-8-12 | Discovery of Temporal Network Motifs (Extended Abstract)
[IEEE] 2026-8-12 | Force-Sensorless Acceleration-Based Impedance Control for the Inertia Compensation in the Assisted Manipulation of Large Payloads
[IEEE] 2026-8-12 | Predicting e-Commerce for Sustainable Accommodations Behavior Intention Using Machine Learning Approaches: The Case of National Capital Region, Philippines
[IEEE] 2026-8-12 | Hierarchy-Aware Neural Subgraph Matching with Enhanced Similarity Measure (Extended Abstract)
[IEEE] 2026-8-12 | NeuroVoice-Py: Python Toolkit for Speech-Based Biomarkers in Machine Learning Applications
[IEEE] 2026-8-12 | TS3D: A Temporal Multimodal Dataset for Distributed Database System Analysis
[IEEE] 2026-8-12 | Electro-Thermal Effects of Penetration Defects in Copper-Clad Steel Ground Rods
[IEEE] 2026-8-11 | Model Development and Update for the Determination of Moisture Content with Consideration of Cut Tobacco Sample Status Variation
[IEEE] 2026-8-12 | The Role of AI Chatbots in Supporting Mental Health Among Senior High School Students
[IEEE] 2026-8-12 | Advanced Cascaded LPV-PI Observer for Electric Vehicle Power Steering
[IEEE] 2026-8-12 | MOPbot: A Harm-Reduction Chatbot for Opioid Overdose Prevention and Local Resource Navigation
[IEEE] 2026-8-11 | DPDK-Accelerated O-RAN DU with Per-Flow Network Slicing and 3GPP-Compliant Dynamic Bandwidth Guarantee
[IEEE] 2026-8-12 | Sample-Efficient Reinforcement Learning for Continuous Production: A Case Study on High-Modulus Fiber Tape Spreading
[IEEE] 2026-8-12 | Environmental Analysis: Can AI Improve Forecasting in the Business Environment?
[IEEE] 2026-8-12 | Optimization Study of Operational Methods in an Educational System Using Editable Electronic Textbooks
[IEEE] 2026-8-12 | Wanderlust: A Design-Driven Approach to Promoting Local Tourism Through Digital Photobooks
[IEEE] 2026-8-12 | An Efficient Distance Truncation Method for Full-Wave Ship-Sea Composite Scattering Using Local Current Response
[IEEE] 2026-8-12 | Determining the Optimal Degree of Integration and Number of Outputs of an Integrated Circuit in the Structural System of a Logic Element-Integrated Circuit-Printed Circuit Board
[IEEE] 2026-8-12 | Machine Learning Models for Next-Day Forecasting of Global Horizontal Irradiance Using K-Fold &amp; Time-Series Validation Methods
[IEEE] 2026-8-11 | A 0.38-pJ/bit 35-Gb/s/pin Single-Ended Impedance-Matched PAM-4 Transmitter with CML-Assisted N-over-N Driver for Memory Interfaces
[IEEE] 2026-8-12 | Front Cover
[IEEE] 2026-8-12 | Harnessing Frequency-Driven Frame-Importance Cues for Video-Based Visible-Infrared Person Re-identification
[IEEE] 2026-8-12 | UAV-Mounted IRS-Enhanced Secondary Transmission and Primary Covert Communication for Cognitive Radio Networks
[IEEE] 2026-8-12 | Compact Broadband Fiber-optic Vibration Sensor Based on Elastic Mandrel
[IEEE] 2026-8-12 | Cross-Domain Automatic Modulation Classification Guided By Temporal-Spectral Alignment and Similarity Entropy Loss
[IEEE] 2026-8-12 | 28-GHz Low-Power CMOS Down-Conversion Mixer Employing Noise-Cancelled Dual
                    <i>
                      G
                      <sub>m</sub>
                    </i>
                    -boosting Technique
[IEEE] 2026-8-11 | AoI Minimization for Task-Oriented ISCC Networks with NOMA-Assisted Multicast-Unicast Transmissions
[IEEE] 2026-8-12 | Evaluating Large Language Model Representations for Differentiating Parkinson’s Disease Dementia and Dementia with Lewy Bodies from Clinical Notes
[IEEE] 2026-8-12 | Review of Primary Frequency Regulation Through Pitch Angle Adjustment in DFIG-Equipped Wind Turbines
[IEEE] 2026-8-12 | Integrating AI Literacy Into Digital Learning Design in Higher Education: An Applied Case Study Aligned with UNESCO Frameworks
[IEEE] 2026-8-11 | Full-Duplex Fluid-Antennas for Integrated Sensing and Backscatter Communication: A DRL-based Fairness Design
[IEEE] 2026-8-12 | FMFT: A Memory-Augmented Multi-Feature Fusion Transformer enhanced with Retrieval Augmented Graph-based Few-Shot Learning
[IEEE] 2026-8-12 | Developing a Digital Twin for Privacy and Security Training for Healthcare Professionals
[IEEE] 2026-8-12 | QPAD: Quantile-Preserving Approximate Dimension Reduction for Nearest Neighbors Preservation in High-Dimensional Vector Search
[IEEE] 2026-8-11 | A Quaternion Rotation-Enhanced Differential Privacy Framework for Image Privacy Protection
[IEEE] 2026-8-12 | Automated Discovery of Spatio-Temporal Epidemic Patterns via Hybrid Evolutionary-PDE Frameworks
[IEEE] 2026-8-12 | Identification of Problematic Internet Use with Machine Learning
[IEEE] 2026-8-12 | Extended Gate Organic Electrochemical Transistor for Sweat Lactate Detection in Hemorrhagic Shock
[IEEE] 2026-8-12 | SynchroCascadeNet: A Deep Time-Frequency Framework for Chronic Obstructive Pulmonary Disease Staging
[IEEE] 2026-8-12 | RF Oscillator Based on MOS Synthetic Inductance
[IEEE] 2026-8-12 | Modeling and Experimental Validation of Active Disturbance Rejection Control for a Nonlinear Twin Rotor MIMO System
[IEEE] 2026-8-12 | Monostability Phenomenon in Energy Harvesting - a Review
[IEEE] 2026-8-12 | Design and Development of a Variable Step Size InC MPPT Solar-Powered Wireless Charging Station for Drones
[IEEE] 2026-8-12 | Zero-Knowledger: A Decentralized Blockchain Protocol to Certify ESG Impacts of Digital Bonds
[IEEE] 2026-8-12 | Financial Literacy, Digital Financial Inclusion, and Individual Saving for Disaster Preparedness: Evidence From Vietnam After Covid-19
[IEEE] 2026-8-12 | Post-Injury Return-to-Work Outcome in Hospitality Sector: A 13-Week Predictive Study
[IEEE] 2026-8-12 | FedCurrMM: A Federated Map Matching Framework with Curriculum-Aware Client Selection
[IEEE] 2026-8-12 | HyCubE: Efficient Knowledge Hypergraph 3D Circular Convolutional Embedding (Extended Abstract)
[IEEE] 2026-8-12 | Real-Time AI-Based Virtual Interview Panel with Multimodal Feedback and Adaptive Personality Simulation
[IEEE] 2026-8-11 | Collaborative Optimization of Train Speed Profile and Power Unit Activation Strategy for Eco-driving Considering Uncertainties in Train Dynamics
[IEEE] 2026-8-12 | A Quantitative Framework for Monetization in Agent-Mediated E-Commerce
[IEEE] 2026-8-11 | D-Band, High Gain Vivaldi Antenna Fed by CPW-CPS on Thin Quartz Glass for In-Package Integration
[IEEE] 2026-8-12 | Green Algorithms as Digital Managers: Evidence from AI-Based E-Business Platforms
[IEEE] 2026-8-12 | Enhancing Programming Abstraction through a Semiotic-Based Pedagogical Framework in Higher Education
[IEEE] 2026-8-12 | FFLA-Lite: Frequency-Guided Lightweight Aggregation for BANet-2D Stereo Matching
[IEEE] 2026-8-12 | Cybersecurity Awareness and Adoption of Secure E-Learning Systems Among University Educators and Students
[IEEE] 2026-8-12 | An Explainable Attention-Gated Ensemble for Credit Card Fraud Detection with Causal Feature Selection and GAN-Based Data Augmentation
[IEEE] 2026-8-12 | Optimizing EEG Graph Structure for Seizure Detection: An Information Bottleneck and Self-Supervised Learning Approach
[IEEE] 2026-8-12 | Geography-Aware Large Language Models for Next POI Recommendation
[IEEE] 2026-8-12 | Overcoming the Sync-Compute Dilemma in Parallel Graph-Based Vector Retrieval
[IEEE] 2026-8-12 | Subtree Mode and Applications
[IEEE] 2026-8-12 | Design of a Vibrotactile Finger Stimulation Unit Prototype for Tactile Sensitivity Evaluation Using Evoked Potentials Method
[IEEE] 2026-8-12 | Efficient ECC on Constrained WSNs Using Edwards Curves and Recursive Karatsuba-Ofman
[IEEE] 2026-8-12 | A Hybrid Siamese–CNN Framework with Improved Beat Aggregation for ECG Biometric Authentication
[IEEE] 2026-8-11 | Cooperative Satellite Constellation Tracking of Multiple Maneuvering Targets Using Multi-Agent Reinforcement Learning
[IEEE] 2026-8-11 | High-Precision Low-Complexity Method and Architecture for Computing Sigmoid and Tanh Functions
[IEEE] 2026-8-12 | A Low-Thermal-Resistance Packaging Structure for Press-pack IGBTs Based on Flexible Graphene Films and Nanosilver Synergistic Heat Dissipation
[IEEE] 2026-8-11 | A 23–33-GHz Variable-Gain Phase Shifter With X-Type Attenuator Array and Complementary Control Scheme
[IEEE] 2026-8-12 | Robust 3D Mesh Watermarking via Spherical Coordinate Statistical Analysis and Frequency-Domain Quantization Modulation
[IEEE] 2026-8-12 | An End-to-End DC-to-DC Efficiency Optimization and Design Analysis for MIMO Wireless Power Transfer Systems
[IEEE] 2026-8-12 | Dual Fuzzy Modeling for Semi-Supervised Multi-Label Feature Selection
[IEEE] 2026-8-11 | Strategic Game Release Timing in Competitive Markets with Network Effects
[IEEE] 2026-8-11 | End-to-End Human Pose Reconstruction from Wearable Sensors for 6G Extended Reality Systems
[IEEE] 2026-8-12 | PipeCSA: Cross-Standard Adaptation for Sewer Defect Classification via Semantic Alignment and Pseudolabeling_supp1-3714866.pdf
[IEEE] 2026-8-12 | Evaluating Indirect Effects of Lightning on Vehicle Engines via Signal Measurement Loops
[IEEE] 2026-8-12 | Passive Polar Angle Detection Using a Butler Matrix-Based Antenna System at 3.5 GHz
[IEEE] 2026-8-12 | Towards Private Human Sensing: A Privacy-Preserving Framework for Human Pose Reconstruction over OFDM Systems
[IEEE] 2026-8-12 | Agentic AI for Data Quality: Probabilistic Pivot for Data Quality Management
[IEEE] 2026-8-12 | Iit-Tree: an Efficient Index to Support Interval-Based Query on Large Temporal Graphs
[IEEE] 2026-8-12 | Enhanced Adverse-Event Detection and Drug-Event Relation Extraction from Clinical Notes
[IEEE] 2026-8-12 | Transfer Learning for Meta-analysis Under Covariate Shift
[IEEE] 2026-8-12 | Finding the Best Doctors: What Signals Help Patients Identify High-Quality Physicians?
[IEEE] 2026-8-12 | Comparative Performance Evaluation of Bifacial and Monofacial PV Systems in High Irradiance Hot Arid Climate Zone
[IEEE] 2026-8-12 | An Underexplored Frontier: Large Language Models for Rare Disease Patient Education and Communication – A scoping review
[IEEE] 2026-8-12 | Controlled Comparative Evaluation of Encoder–Decoder Architectures for Whole Prostate Gland Segmentation on T2 Weighted MRI
[IEEE] 2026-8-12 | Low-Temperature Ta
                    <sub>2</sub>
                    O
                    <sub>5</sub>
                    ALD on Parylene-C for Flexible and Implantable Electronics
[IEEE] 2026-8-12 | Maximizing Near-Broadside EIRP of Phased Arrays through Controlled Lens Defocusing
[IEEE] 2026-8-12 | Large-Scale Personnel Search and Positioning Based on Phased Array Technology
[IEEE] 2026-8-12 | AnomaSense: Intelligent Anomaly Detection through Sensor Data and ML Comparison
[ACM] 2026-8-12 | Reinforcement Learning for Multimodal Foundation Models: A Survey
[ACM] 2026-8-11 | Replacing NVMe Staging in LLM Inference with a High-Bandwidth CXL Memory Expander with an On-Device DMA Controller
[ACM] 2026-8-11 | Proceedings of the ACM SIGCOMM 2026 Conference
[ACM] 2026-8-11 | Verifying Non-Deterministic Convergence on a Global Production WAN
[ACM] 2026-8-11 | Efficient and Flexible Datapaths for Fine-Grained Rack-Scale Interconnects with Elastic QP
[ACM] 2026-8-11 | Forewarned is Forearmed: A Responsive Congestion Control with Non-intrusive Uplink Dynamics Capture
[ACM] 2026-8-11 | Theseus: Runtime-Adaptive GPU Collective Communication with Hot-Swappable Schedules
[ACM] 2026-8-11 | KVServe: Service-Aware KV Cache Compression for Communication-Efficient Disaggregated LLM Serving
[ACM] 2026-8-11 | Connex: Endpoint Mobility Primitives for Dynamic LLM Serving
[ACM] 2026-8-11 | The More We Measure, The Less We See: On the Replicability and Repeatability of Mobile Starlink Measurements
[IEEE] 2026-8-11 | Retraction Notice: Malware Identification using a set of Transparent Honeypot in Cyberspace
[IEEE] 2026-8-11 | A Dual-Timescale Coordinated Updating Method for Calculating the Dynamic Carbon Emission Factor of Wind Farms over the Full Life Cycle
[IEEE] 2026-8-11 | Time-Sequential Reliability Assessment of Distribution Systems with Multiple Distributed Energy Resources Considering Weather-Driven Time-Varying Failure Rates
[IEEE] 2026-8-11 | Finite-time Saturated Gain Prescribed Performance Control of QUAV
[IEEE] 2026-8-11 | First-Principles-Based Grand Unified Theory (GUT) for Micro-Macro Modal Quantization (MQ)—Part II: Heisenberg–Schrödinger-Dirac Pictures, Act 1
[IEEE] 2026-8-11 | TFT-Flood for Nationwide Flood Prediction in Turkey: A Three-Branch Hybrid Deep Learning Architecture
[IEEE] 2026-8-11 | Assessing Riverbank Land Use for Flood-Adaptive Urban Planning in Central South Vietnam
[IEEE] 2026-8-11 | Adaptive Backstepping Sliding Mode Control With Dual-Channel Slip-Gain Compensation for LawnMowing Robot Trajectory Tracking
[IEEE] 2026-8-11 | Structural Retinal Contour Analysis in Fundus Images for Automated Myopia Detection
[IEEE] 2026-8-11 | Data-Driven Climate Risk Forecasting Using Hybrid Machine Learning Models
[IEEE] 2026-8-11 | Layered Fuzzy Logic System for DUT Performance Evaluation Using ATE in Airborne Surveillance Applications
[IEEE] 2026-8-11 | A Variable-Delay Radix-4 Booth Multiplier for RISC-V Processors via LLM-Assisted RTL Design
[IEEE] 2026-8-11 | Research on Swelling Behavior and Failure Mechanism of Silicon-based Anode Lithium-ion Batteries under High-temperature External Short Circuit
[IEEE] 2026-8-11 | OFDM vs. SC-FDMA for Monostatic THz ISAC Sensing Under Beam Misalignment Fading
[IEEE] 2026-8-11 | Toward Elderly-Care-Oriented Smart Home HAR via Sensor-Aligned Activity Taxonomy
[IEEE] 2026-8-11 | Hierarchical Adaptive Control Architecture-Based Path Tracking Strategy for Autonomous Vehicles with Unknown Dynamic Parameters
[IEEE] 2026-8-11 | Anomaly Assessment of Time Series Data in Real-Time Using Consensus-Based Ensemble Validation
[IEEE] 2026-8-11 | Executable 3D Path Planning with Constrained Lazy Theta Star
[IEEE] 2026-8-11 | PhoBERT: Long-Document Sentiment Analysis in Vietnamese with Sparse Attention
[IEEE] 2026-8-11 | Flood Risk Forecasting Using Interpretable Machine Learning and Sentinel-1 SAR
[IEEE] 2026-8-11 | Smooth Robust Sliding-Mode Control Method for Ultra-Low-Frequency Oscillation Suppression in Hydropower Clusters
[IEEE] 2026-8-11 | Automatic Detection of Progression to Mild Cognitive Impairment Using MRI Data
[IEEE] 2026-8-11 | Analysis and Control of High Voltage in Provincial Power Grids with High Proportion Renewable Energy
[IEEE] 2026-8-11 | TinyStegoNet: Lightweight Deep Learning for Image Steganography on Edge Devices
[IEEE] 2026-8-11 | Bayesian Optimization-Based Adaptive Zero- Sequence Current Protection for Distribution Networks with High Renewable Energy Penetration
[IEEE] 2026-8-11 | Sparse Reconstruction for Radar Based Vital Sign Monitoring Using Orthogonal Matching Pursuit
[IEEE] 2026-8-11 | Air Quality Index and Health Impact Score Prediction for Public Health Monitoring
[IEEE] 2026-8-11 | Improving Audio Anti-Spoofing with FLA and Local-global Feature Fusion
[IEEE] 2026-8-11 | Student Success in the National Assessment System: Evidence from Positive Deviance and Supervised Learning for Achieving SDG 4 in Indonesia
[IEEE] 2026-8-11 | Adaptive IIR Filter Identification Using Artificial Protozoa Optimizer
[IEEE] 2026-8-11 | Yapay Arı Kolonisi Tabanlı Portföy Optimizasyonu ve Derin Pekiştirmeli Öğrenme ile Hibrit Risk Yönetimi
[IEEE] 2026-8-11 | Integrating Generative AI into Narrative-Based Character Education: The AAPA Framework
[IEEE] 2026-8-11 | An Xception-Based Deep Learning Framework for Microscopic Fungi Image Classification
[IEEE] 2026-8-11 | Generative AI-Driven Disaster Management and Alert System Leveraging Multi-Source Data Fusion
[IEEE] 2026-8-11 | A Pipeline for Source-Grounded Learning Object and Item Generation from PDF Materials Using Large Language Models
[IEEE] 2026-8-11 | An Integrated OPA-NFAD Approach for Evaluating Energy Storage Technologies in Renewable Energy Systems
[IEEE] 2026-8-11 | Research on a Precise Landing Algorithm for Delivery Drones Using Multi-Layer Aruco Markers
[IEEE] 2026-8-11 | Detection of Blood Cells in Microscopic Images Using YOLOv5
[IEEE] 2026-8-11 | Radar Intrapulse Modulation Classification via PELT-Based Change Point Detection
[IEEE] 2026-8-11 | A Layered Control Architecture for Cartesian Teleoperation on 6-Axis Velocity-Driven Manipulators
[IEEE] 2026-8-11 | Mask R-CNN-Based Fracture Segmentation on FracAtlas: Effects of Backbone Architecture and Mosaic Augmentation on Cross-Dataset Generalization
[IEEE] 2026-8-11 | Outage Performance of RIS-Assisted LEO Satellite Communication Systems with Alamouti Coding
[IEEE] 2026-8-11 | Hybrid Efficient-KAN: A Multimodal Deep Learning Framework for Choroidal Tumor Classification
[IEEE] 2026-8-11 | Classification of Marine Vessels in the NASTaR Dataset
[IEEE] 2026-8-11 | Autonomous Food Quality Control Using Edge Computing and Centralized Server-Based Vision-Language Models
[IEEE] 2026-8-11 | Self-Supervised SimCLR-Based Solid Waste Classification Using RGB-NIR Images
[IEEE] 2026-8-11 | 2026 7th International Conference on Electrical Technology and Automatic Control (ICETAC)
[IEEE] 2026-8-11 | Vehicle Speed Estimation Using Quantum Variational Regression: A Comparison with Classical ML and Kalman Filters
[IEEE] 2026-8-11 | Enhancing Pavement Distress Classification via Supervised Contrastive Learning
[IEEE] 2026-8-11 | Front Cover Page
[IEEE] 2026-8-11 | Retraction Notice: Quality Enhancement for Uninvited Content of Social Media Using Support Vector Machine and Alexnet
[IEEE] 2026-8-11 | Robust Secure ISAC Beamforming for Integrated HAPS-LEO Maritime Networks_supp1-3716590.pdf
[IEEE] 2026-8-11 | Robust and Real-Time Bangladeshi Currency Recognition: A Dual-Stream MobileNet and EfficientNet Approach
[ACM] 2026-8-12 | NASA-Task Load Index in CHI: A Comprehensive Review and Subscale Meta-Analysis with Implementation Guidelines
[IEEE] 2026-8-11 | A Correction Algorithm for ALB Seabed Point Clouds Incorporating Sea Surface Refraction Correction
[IEEE] 2026-8-12 | DU-DRL Empowered ISAC in UAV-RIS Assisted Hybrid Vehicular Systems
[IEEE] 2026-8-12 | Time-Smoothed Adaptive Diagonal Loading MVDR for VHF Lightning Radiation Source Localization in Low-SNR Conditions
[IEEE] 2026-8-12 | Instruction-Driven Dynamically Reconfigurable Lockstep Architecture for Runtime Reliability
[IEEE] 2026-8-11 | Agentic AI-RAN: Framework, Mechanism, and Applications
[IEEE] 2026-8-11 | Anomaly Detection of Space Targets From Terahertz ISAR Image Sequences With Dual-Branch Network
[IEEE] 2026-8-12 | Performance Evaluation of Parallel Programming Models for K-means Clustering on Parallel Computing Systems
[IEEE] 2026-8-12 | High-Precision Contactless Vital Signs Monitoring via Sub-Bin Range Estimation with FMCW Radar
[IEEE] 2026-8-12 | Artificial Intelligence (AI) and Machine Learning (ML) for Next-Generation Digital Watermarking Systems
[IEEE] 2026-8-12 | Smaller yet Smarter: Edge computing devices meet lightweight artificial intelligence to boost onboard real-time processing for unmanned aerial vehicle multimodal remote sensing
[IEEE] 2026-8-12 | Physics-Informed Neural Networks for Estimating the Cable Dynamics via Cartesian Measurements
共写入 1877 条记录，保存到 papers/paper2026-08-11.json。
论文获取成功，文件路径: papers/paper2026-08-11.json
正在筛选、翻译并发送邮件...
[NO] 1/1877 | Stay or Stray - A Dynamical Systems Viewpoint of Popularity Bias
[NO] 2/1877 | Critic-Free Pretraining for Efficient Online Reinforcement Learning Fine-Tuning
[NO] 3/1877 | Probing scalarized wormholes through quasi-periodic oscillations and spinning particle dynamics
[NO] 4/1877 | Geometry-aware neural causal discovery for large-scale spatiotemporal systems
[NO] 5/1877 | Vacuum polarization in QED with an electromagnetic background from the lattice
[NO] 6/1877 | Exponentially Consistent Low Complexity Tests for Statistical Sequence Matching
[NO] 7/1877 | Multitask Pareto Optimization for Monotone Submodular Problems with Dynamic Constraints
[NO] 8/1877 | Amulet: Frame Extrapolation Through Sparse Layered Scene Representation and Adaptive Shading
[NO] 9/1877 | Squaring the circle: embedding $S^1$ in $\ell_1$
[NO] 10/1877 | A lower bound for stepsize-based acceleration of gradient descent
[NO] 11/1877 | Objective-oriented quantitative investment: A specification-driven framework for automated synthesis of trading strategy pipelines
[NO] 12/1877 | Post-Calibration Reliability Reranking of Relevance Decisions via Label-wise Monotone Projection
[NO] 13/1877 | TideRL: Boosting Agentic RL Goodput with Readiness-Aware Scheduling
[NO] 14/1877 | Efficient Weak-Entropy PINN for Solving Hyperbolic Conservation Laws
[NO] 15/1877 | An Optically Motivated Gamma-ray Study of Fermi-LAT Novae
[NO] 16/1877 | Hip Energized Monopedal Hopping
[NO] 17/1877 | Real-World Cooperative Bimanual Dexterous Grasp of Large Objects from Single-View Observations
[NO] 18/1877 | A Single Atom in Front of a Mirror is a Universal Reservoir Computer
[NO] 19/1877 | A Neural Network Based Teleoperation for Remote Controlled Vehicles
[NO] 20/1877 | Neural implants and human safety: single-fault detection for DC-coupled recording front ends
[NO] 21/1877 | MazzikaAI: A knowledge-based performance-to-prompt compiler for real-time Arabic maqam accompaniment with a streaming text-to-music model
[NO] 22/1877 | Efficient Reinforcement Learning for Long-Horizon Tool-Use Agentic Tasks
[NO] 23/1877 | Quadratic Expansion over Prime Fields via Centered Collisions and Popular-Sum Amplification
[NO] 24/1877 | Accelerated Learning of High Dimensional Functions with a Tensor-Featured Training Network
[NO] 25/1877 | Estimating the local star formation rate density from ASKAP RACS
[NO] 26/1877 | A Multinomial Probit Model for Asymmetric Choice Responses
[NO] 27/1877 | Wave-particle-mixedness redistribution in Schwarzschild spacetime
[NO] 28/1877 | Who Gets Heeded? An Obligation-Level Audit of Responsiveness in EPA Rulemaking
[NO] 29/1877 | Fine-tuning in mixed Dark Matter models with Primordial Black Hole relics
[NO] 30/1877 | Verifying full quantum network nonlocality in arbitrary configurations by nonlinear Bell-like inequalities
[NO] 31/1877 | ReLTEx: Reliable LLM-based Taxonomy Expansion
[NO] 32/1877 | Spin Splitter without Spin-Split Bands: A Reconfigurable Altermagnetic Texture
[NO] 33/1877 | ClusterBench: A Framework for Cluster-Wide Continuous Benchmarking and Regression Testing
[NO] 34/1877 | Couette-Taylor instabilities in the small gap regime: the very counter-rotating case
[NO] 35/1877 | Laser-Diode LiFi With Diffused-Beam Optics: System-Level Modeling and a Cross-Validated ns-3 Simulation Framework
[NO] 36/1877 | Understanding the Architecture of Coding Agents: An Exploratory Study Using a Research Prototype
[NO] 37/1877 | Log Calabi-Yau compactifications of $SL(2,\mathbb{C})$ character varieties
[NO] 38/1877 | Monsters and neutron stars
[NO] 39/1877 | Certify or Refuse: A Cross-Model Map for Selective Risk Control with Coverage Floors under Covariate Shift
[NO] 40/1877 | The Radcliffe Wave is not alone in the Local System
[NO] 41/1877 | Two Moments for Risk-Monotone Additive Statistics
[YES] 42/1877 | From Pattern Detection to Composition Analysis in Quantum Software
[NO] 43/1877 | Reflection Coupling and Quantitative Contraction for Underdamped Langevin Diffusions with Superlinear Forces
[NO] 44/1877 | Robust Safety Filtering for Input-Constrained Underactuated Linear Systems
[NO] 45/1877 | Analytical Theory for Anomalous Diffusion in the Anderson Model with Heavy Tails
[NO] 46/1877 | Noise-Induced Localized Patterns in Excitable Media: Amplitude versus Persistence
[NO] 47/1877 | Anomalous symmetries in Kähler geometry
[NO] 48/1877 | Constraining ModMax Black Holes with EHT and GRAVITY Observations: Optical Signatures and Accretion Disk Properties
[NO] 49/1877 | Auditable AI-Assisted Research Writing: An Engineering Discipline with Pre-Registered Process Observation
[NO] 50/1877 | FiGuRO: Intrinsic Dimension Estimation for Multi-Modal Data
[NO] 51/1877 | Universality and Heterogeneity of Stylized Facts in Cryptocurrency and Equity Markets
[NO] 52/1877 | Spectral Embeddings of Degree-$α$ Laplacians in Random Dot Product Graphs
[NO] 53/1877 | Studying electron beam coherence using plasmon interference
[NO] 54/1877 | Wind-confined jet collimation revealed by the acceleration-phase photosphere of GRB 220426A
[NO] 55/1877 | Monodromy defects in ABJM theory and integrability
[NO] 56/1877 | Whisper-Aware LLM: Self-Supervised Uncertainty Learning for Robust Whispered Speech Recognition
[NO] 57/1877 | UniProbe: A Learnable Token-Level Hallucination Detector for Large VLMs using Multi-Structural Internal Representations
[NO] 58/1877 | ATLAS. III. Dust Around Little Red Dots: Hydrogen Line Ratios beyond Dust-free Non-Case B Models
[NO] 59/1877 | Deep reinforcement learning for separation control in turbulent wind-tunnel flow
[NO] 60/1877 | Cross-modal topology decodes battery faults from sparse voltage snapshots
[NO] 61/1877 | Strong coupling between antiferromagnetic magnons and spoof surface plasmons
[NO] 62/1877 | AECNav: Active Evidence Consolidation for Efficient Zero-Shot Open-Vocabulary Object Navigation
[NO] 63/1877 | Assessing Reliability of BERT-Based Models on Question Answering Tasks
[NO] 64/1877 | Emergence of fractal structures from breather interactions in the $(2+1)$-dimensional Konopelchenko--Dubrovsky equation
[NO] 65/1877 | ChemWorld: Programmable Chemical Worlds for Controlled and Replayable Agent Experimentation
[NO] 66/1877 | Permutation polynomials from the trace functions
[NO] 67/1877 | High-pressure electride superconductor Li5N for multifunctional applications: A theoretical insight into the physical properties
[NO] 68/1877 | FADE: From Passive Verification to Active Discovery in Counterfactual Video Understanding
[NO] 69/1877 | Scalable Size- and Shape-Selective Purification of Colloidal Building Blocks via Excluded Volume Interactions
[NO] 70/1877 | Quantum Mechanism of Piezomagnetism in Higher-Spin Altermagnets
[NO] 71/1877 | Smart Enough to Go Extinct? An Evolutionary Challenge to the Value of General Intelligence and Its Ethical Implications for AGI
[NO] 72/1877 | Survey-robust uncertainty quantification in generalised additive models for location, scale, and shape
[NO] 73/1877 | InterPruner: Interactive Structured Pruning via Taylor-Implicit Criterion and Language-Prior Modulator for Multimodal Object Detection
[NO] 74/1877 | Two-component ultracold Bose gases with spin-orbit coupling
[NO] 75/1877 | Revealing time characteristics of optical excitations in dielectric and plasmonic structures through cathodoluminescence interferometry
[NO] 76/1877 | TCAM for Autonomous Deformable Manipulation: The RMC2 Champion System for WBCD 2026 Track 4
[YES] 77/1877 | LLM Ensemble Fault Classification for Automotive HiL Validation
[NO] 78/1877 | Self-Geometry: GT-Free and Plug-and-Play Test-Time Adaptation for Geometrically Consistent 3D Vision Foundation Models
[NO] 79/1877 | Deciding When to Rely on Visual Information: Gated Multimodal Fusion in Sequential Recommendation
[NO] 80/1877 | Optimize Cheap, Deploy Strong: Cost-Aware Cross-Tier Transfer for Evolutionary Optimization
[NO] 81/1877 | SPIEval: Evaluating Large Language Models as Mobile Assistants over Scattered Personal Information
[NO] 82/1877 | The Signal Rail: A Deterministic Motion Grammar for Communicating Conversational Agent State in Terminal Interfaces
[NO] 83/1877 | Leveraging Human Reading Behavior for Keyphrase Extraction: A Webcam-based Eye-tracking Corpus
[NO] 84/1877 | Embedding Rotation Invariance for Provable Multi-Oriented Scene Text Recognition
[NO] 85/1877 | $\mathrm{Mot}^{\mathrm{loc}}$ is not compactly generated
[NO] 86/1877 | ENTLORE: A Graph-Grounded Benchmark for Latent Organizational Reasoning in Enterprise Question Answering
