[2026-06-16 23:23:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[IEEE] 2026-6-15 | Data-Driven PID Adaptive Control for Robotic Manipulators with Guaranteed Asymptotic Tracking
[IEEE] 2026-6-15 | Prescribed-Time Consensus Control for Nonlinear Second-Order MASs with Quantization and Actuator Attacks
[IEEE] 2026-6-15 | RF/mm-Wave/THz Integrated Circuits [Guest Editorial]
[IEEE] 2026-6-15 | Emission Performance of a ZrO2-Doped Aluminate Dispenser Cathode
[IEEE] 2026-6-15 | Command-Filter-Based Fixed-Time Prescribed Tracking Switching Control for Time Delay Nonlinear Systems With External Disturbances
[IEEE] 2026-6-15 | Attitude-Orbit Coupled Fault-Tolerant Control for Spacecraft Formation Based on Fault Estimation
[IEEE] 2026-6-15 | Artificial Intelligence of Things as a Foundation for Agentic AI Systems: Architectures, Applications, and Challenges
[IEEE] 2026-6-15 | Efficient and Deterministic E2E Transmission for Avionics Networks Based on IEEE 802.1DP
[IEEE] 2026-6-15 | A Simple Ultra-Local Current Error Compensation Control for SPMSM Drives_supp1-3701758.png
[IEEE] 2026-6-15 | Design and Control of Battery-Buffered Charging Infrastructure Utilizing a Modular Simulation Framework
[IEEE] 2026-6-15 | Fokker–Planck Soft Actor–Critic
[IEEE] 2026-6-15 | Bio-Inspired Event-Based Visual Servoing for Ground Robots
[IEEE] 2026-6-15 | Design of a Self-Aligning Knee Exoskeleton for Minimizing Parasitic Forces During Assisted Ambulation_supp3-3693674.mp4
[IEEE] 2026-6-15 | Efficient, Robust, and Anti-Collusion Fingerprinting of Image Diffusion Models
[ACM] 2026-6-16 | Seeing the Unseen: Enhancing Synthetic Video Detector Transferability to New AI Video Generation Models via Virtual Generators
[ACM] 2026-6-16 | Patch-Based Reconstruction and Multimodal Residual Learning for Generalized Deepfake Detection
[ACM] 2026-6-16 | Turning Distillation against Obfuscation: A Recovery Framework for DNN White-Box Watermarks
[ACM] 2026-6-16 | Emission Impossible: Cryptographically Verifiable Carbon Emissions Reporting for Cloud Computing
[ACM] 2026-6-16 | The Role of Forward Trading in Short-term Electricity Markets with Zero-carbon Energy Resources
[IEEE] 2026-6-16 | Classification Method of Dual-Branched Skin Lesions Based on Swin Transformer
[IEEE] 2026-6-16 | Progress and Prospects of Radiation Effects on Space Infrared Detectors for Environmental Remote Sensing
[IEEE] 2026-6-16 | Crypto-RV: High-Efficiency FPGA-Based RISC-V Cryptographic Co-Processor for IoT Security
[IEEE] 2026-6-16 | Digital Watermarking Algorithm Based on Pseudo-Zernike Moments and Multi-Channel Hybrid Embedding
[IEEE] 2026-6-16 | Clustering-Based User Selection in Federated Learning: Metadata Exploitation for 3GPP Networks
[IEEE] 2026-6-16 | Communication-Control Co-Design in Industrial IoT: A Hybrid Soft Actor Dual-Critic Algorithm
[IEEE] 2026-6-16 | Interior Ballistics Characteristics Study and Optimization Design Method of Pyrotechnic Actuator
[IEEE] 2026-6-16 | A Lightweight Adaptive Multi-Scale Human Keypoint Detection Method for Office Visitors
[IEEE] 2026-6-16 | AgentWiFi: An Agentic-AI-Enabled Framework for Wi-Fi Cross Layer Optimization
[IEEE] 2026-6-16 | Design and Validation of Multimodal Intelligent Detection System Based on Deep AI Fusion
[IEEE] 2026-6-16 | Joint Resource Allocation for Multiple Aircomp Systems: A Polynomial-Time Optimal Framework
[IEEE] 2026-6-16 | A Multi-UAV Platform with 5G and NTN Backhaul for PPDR Scenarios
[IEEE] 2026-6-16 | An Enhanced Small Object Detection Algorithm for Complex Road Scenarios from a UAV Perspective
[IEEE] 2026-6-16 | Transmission Line Hazard Assessment Technology Based on Topography and Meteorological Micro-Evolution
[IEEE] 2026-6-15 | Cooperative Multiobjective Optimization of Continuous Crystallization via COBC Under Process Uncertainty: From Startup to Steady-State Operation
[IEEE] 2026-6-15 | IEEE Transactions on Energy Markets, Policy, and Regulation Information for Authors
[IEEE] 2026-6-16 | A Hierarchical Optimization Method for Robust Load Transfer in Distribution Networks Considering Source-Load Uncertainties
[IEEE] 2026-6-16 | A Semi-Supervised Siamese Network with Parameter-Free Attention for Remote Sensing Change Detection
[IEEE] 2026-6-16 | Management of IoT-Driven Digital Transformation: Identifying and Validating Critical Success Factors in Industry 4.0
[IEEE] 2026-6-16 | Maximum Power Point Tracking Evaluation Using Dynamic Resistance Method for Boost Converter under Varied Irradiance Scenarios
[IEEE] 2026-6-16 | Cross-View Attention Fusion for Target Detection in Air-Sea Collaborative Monitoring
[IEEE] 2026-6-16 | Deep Learning Based CNN Model For Privacy Preserving Techniques in Health Care Imaging
[IEEE] 2026-6-16 | Sustaining Healthcare Accreditation: An evidence-based study using Failure Mode and Effects Analysis (FMEA) tool from hospitals of Delhi NCR
[IEEE] 2026-6-16 | Uplink Performance Analysis of CF-mMIMO Networks with Unknown Interference
[IEEE] 2026-6-16 | VSSM-Mamba — A Visual State Space Model for Efficient COVID-19 Chest X-Ray Classification
[IEEE] 2026-6-16 | Deep Learning Model For Classification of AI-Driven Optimization Strategies in Cloud Computing
[IEEE] 2026-6-16 | Integrating AI With Patents, Trademarks, Copyright And Traditional Knowledge: Critical Analysis on IPR
[IEEE] 2026-6-16 | Research on the Scheme to Avoid Water Hammer Damage of Pressurized Water Reactor SG Heat Transfer Tubes
[IEEE] 2026-6-16 | REM-Diff: Conditional Diffusion for UAV-Based Radio Map Construction in Urban Environments
[IEEE] 2026-6-16 | Scan to Plan: Integrating Smart Sensing Technologies into Marketing Strategy Through Semopy-Based Predictive Path Modeling
[IEEE] 2026-6-16 | Symbol-Synchronous Communication for Ultra-Low-Power Multi-Hop Ambient IoT Networks
[IEEE] 2026-6-16 | AI4IM 2026 Author Index
[IEEE] 2026-6-16 | Gamification with AI: A Cost-Effective Approach to Modern Assessments
[IEEE] 2026-6-16 | Chameleon: Adaptive MPQUIC Packet Scheduler in Heterogeneous Wireless Networks via Online Reinforcement Learning
[IEEE] 2026-6-16 | Perceptual-Quality Based AMC for Enhanced mmWave Spectral Efficiency: Concept and Experiment
[IEEE] 2026-6-16 | Improved Data Detection Scheme for Massive MIMO Systems
[IEEE] 2026-6-15 | Advancing the Human–Robot Frontiers Through Global Collaboration: A Recap of IROS 2025 in Hangzhou, China [Conference Highlights]
[IEEE] 2026-6-16 | Time-Frequency Feature-Based MultiSensor Collaborative Topology Inference for Non-Cooperative Environments
[IEEE] 2026-6-16 | Scalable Organic-on-Oxide CMOS Inverters With Solution-Processed OTFTs for Low-Power Large-Area Integrated Circuits
[IEEE] 2026-6-16 | DAM-SC: Text-Driven Semantic Communication for Ultra-Low Bitrate Video Transmission Using Dynamic Attribute Models
[IEEE] 2026-6-16 | Breaker Page
[IEEE] 2026-6-16 | Costs and Incentives for Data Owners to Participate in Federated Learning Seen Through Game Theory
[IEEE] 2026-6-16 | Leveraging Kernel Symmetry for Joint Compression and Error Mitigation in Edge Model Transfer
[IEEE] 2026-6-16 | Numerical Investigation of Molten Pool Deformation in Copper Electrodes Under DC Arc Discharge With a Fully Coupled Model
[IEEE] 2026-6-15 | Efficient &amp; Lightweight Classification of Rotor Bar Faults in Induction Motors by Convolutional and Spiking Neural Networks
[IEEE] 2026-6-16 | Multi-View Causal Feature Selection
[IEEE] 2026-6-16 | Early Fault Warning for Offshore Wind Turbine Gearboxes Using WPT-SR-Transformer and Adaptive Thresholding
[IEEE] 2026-6-16 | An SoS Architecture and Intelligent Distributed Divided Common Eider Isomer Robot for STOVL Air-Sea Hypersonic Fighter Aircraft based on CSC in 5G OGCE
[IEEE] 2026-6-16 | An Integrated Optimal Configuration Method for Mobile and Stationary Energy Storage Considering Multi-District Economic Efficiency and Storage Utilization
[IEEE] 2026-6-16 | Design of an Anti-Interference Multi-Channel Synchronous Processing Hardware Platform for Weak Signals
[IEEE] 2026-6-16 | An FSM-Guided Closed-Loop Visual Perception Scheduling Framework for Resource-Constrained Edge Systems
[IEEE] 2026-6-16 | Channel Estimation for Pinching Antennas Systems using Deep Learning
[IEEE] 2026-6-16 | Price-driven Economical Operation Strategy of New-type Power Loads under Source-load Uncertainty
[IEEE] 2026-6-16 | Research on Modeling of Important Business Resources and Operational Data Reliability and Quality Indicators for Power Communication
[IEEE] 2026-6-16 | HGR-YOLO: A Lightweight, Fusion-Guided Architecture for Real-Time Hand Gesture Recognition
[IEEE] 2026-6-16 | Optimal Configuration Method of Energy Storage under Power Supply of Hydro-photovoltaic Complementary System Considering Water Regulation Constraints
[IEEE] 2026-6-16 | Robust Radio Frequency Fingerprint Extraction and Identification for LoRa Low-Power Devices
[IEEE] 2026-6-16 | Research on Block Recognition and Positioning Method for Robotic Masonry Scenarios
[IEEE] 2026-6-16 | Research on Signal Transmission and Image Processing Based on Infrared Focal Plane Circuit
[IEEE] 2026-6-16 | Analytical Model of the No-Load Airgap Magnetic Field in PMSM With Eccentric Pole Chamfering and Slotting Effects
[IEEE] 2026-6-16 | Logistic Regression Modelling for Predicting Conversion Probabilities in Digital Ads
[IEEE] 2026-6-16 | A Collaborative Guidance Strategy for Battery Swapping Systems Considering Operator Privacy Protection
[IEEE] 2026-6-16 | Catalyst Modelling For Technology Based Social Mobility: Opportunities For Future Development
[IEEE] 2026-6-16 | APFLy: A UAV Trajectory Optimization Algorithm via Artificial Potential Field for IoT Data Collection
[IEEE] 2026-6-16 | Concurrency for Cyber-Resilient Intelligent Electronic Devices by Smart Cyber Switching
[IEEE] 2026-6-16 | A Two-Stage Decentralized Bayesian Approach for Parameter Calibration of Doubly Fed Induction Generator Wind Turbines
[IEEE] 2026-6-15 | $\chi$-Entropy: A Distributional Measure of Multiscale Topological Organization
[IEEE] 2026-6-16 | An intelligent forest smoke detection method based on dual-source feature interaction and adaptive scale fusion
[IEEE] 2026-6-16 | Hybrid Distributed Learning with Knowledge Distillation for Resource-Efficient Intrusion Detection in Distributed Networks
[ACM] 2026-6-15 | Context Relation-Aware and Fine-Grained Token Interaction for Dialogue-Level Aspect-Based Sentiment Quadruple Analysis
[ACM] 2026-6-15 | DeHub: Learning Hub-Resistant Representations for Text-Video Retrieval
[ACM] 2026-6-15 | Art Evening: An Artistic Space for Dialogue and Conviviality
[ACM] 2026-6-15 | Monitoring Irrigated Wheat in Afghanistan: Systematic Literature Review
[ACM] 2026-6-15 | Beyond the Veneer of Competence: How Structured Prompting Fosters Knowledge Transfer in LLM-Augmented Education
[ACM] 2026-6-15 | Visibilize-ing Care Festival
[ACM] 2026-6-15 | The Coexistence Archive: Traces of the Participatory Design Conference
[ACM] 2026-6-15 | Creative Dialogical Spaces for Agonism - Embodied Making and Material Dialogue in Contexts of Conflict and Transformation
[ACM] 2026-6-15 | Feature Selection for HMM Regime Detection: An Empirical Characterisation of Volatility and Trend Features in Equity Markets
[IEEE] 2026-6-15 | Design Methodology of a Novel Slow-Wave Structure for 0.34 THz Traveling-Wave Tube
[IEEE] 2026-6-15 | Fas-Based Composite Fault-Tolerant Control for Robotic Manipulators with a Fifth-Order Disturbance Observer
[IEEE] 2026-6-15 | Prescribed-Time Stabilizing Controller Design for a Class of Uncertain Non-Affine FASs
[ACM] 2026-6-15 | MOSAIV: Multi-Agent LLM Swarms for Automated Multimedia News Verification
[IEEE] 2026-6-15 | LiDAR-Guided Learned Image Compression for Machine Vision_supp1-3703332.pdf
[IEEE] 2026-6-15 | Training-Free PCB Anomaly Detection with Adaptive Difference Guidance in Multimodal LLMs
[IEEE] 2026-6-15 | The Fusion Augmentation Method for Underwater Acoustic Target Recognition
[IEEE] 2026-6-15 | Occlusion and Noise Robust Video Action Recognition Based on Enhanced Spatiotemporal Graph Convolutional Networks
[IEEE] 2026-6-15 | Mixup-Augmented Teacher-Guided Knowledge Distillation for Noise-Robust Keyword Spotting
[IEEE] 2026-6-15 | Single Channel Receiver Architecture for Auto-calibrated Passive Reflectometry Using Wideband Signals
[IEEE] 2026-6-15 | Robust Unknown Input Observer based Estimation and Mitigation against Sensor Spoofing Attacks in Cyber-Physical Microgrids
[IEEE] 2026-6-15 | Co-Optimized Semiverse Solutions for Under-Etched Cavities in Silicon Photonics
[IEEE] 2026-6-15 | Adaptive Dual-Bandwidth Cooperative Control Solution for Optimizing Transient Response of Energy Storage Converters
[IEEE] 2026-6-15 | Table of Contents
[ACM] 2026-6-16 | Watermarking Large Vision-Language Models: The Vision Encoder is all You Need
[ACM] 2026-6-16 | Are Steganalysis Models Suitable for Temporal Image Forensics?
[ACM] 2026-6-15 | Blazer: Encrypted Video Traffic Identification for Mixed Segment Transmission Pattern based on LLM
[ACM] 2026-6-15 | MixCache: Mixture-of-Cache for Video Diffusion Transformer Acceleration
[IEEE] 2026-6-15 | Distributed Load Frequency Control in Multi-Area Power Systems With Q-Learning Enhanced Adaptive Event-Triggered Control
[IEEE] 2026-6-15 | SAGNet: Spherical Anchor-Based Graph Neural Networks for Raw Point Cloud Detection
[IEEE] 2026-6-15 | Discovery of Thermionic Electrons Diffraction in ReB6 Cathodes
[IEEE] 2026-6-15 | Spatiotemporal Control of Electron Emission Using Nanoscale Photoemitters with Integrated Nanophotonics and Plasmonics
[IEEE] 2026-6-15 | Leader-Following Consensus Control for High-Order Fully Actuated Nonlinear Mass Under Communication Link Faults
[ACM] 2026-6-15 | VR360-SSL: Towards Accessible and Clinically-Viable 360° Sound Source Localization in Virtual Reality
[IEEE] 2026-6-16 | Communication Optimization Design and Implementation for Wireless Monitoring Systems in Confined Spaces of Hydropower Stations
[IEEE] 2026-6-16 | System-Level Results of a High Sensitivity Vibrating MEMS Gyroscope Fabricated with The BDRIE-HS* Technology
[IEEE] 2026-6-16 | Cross-Axis Coupling in an Atomic-Beam Interferometric Inertial Sensor
[IEEE] 2026-6-16 | Unified System Frequency Response Model for Renewable-Integrated Power Systems Subject to Multiple Disturbances
[IEEE] 2026-6-16 | RIS-Empowered CV-QKD THz MIMO Communications: SKR Analysis and Optimization
[IEEE] 2026-6-16 | Intelligent Modelling For DNA Analysis in Scientific Investigation And Its Implications in Legal Proceedings
[IEEE] 2026-6-16 | Tdgcn-Based Mobile Multiuser Physical-Layer Authentication for EI-Enabled IIoT
[IEEE] 2026-6-16 | AI Applications in Healthcare Education Security And Smart Cities
[IEEE] 2026-6-16 | An Illumination-Guided Local-Global Feature Enhancement Network for Low-Light Grayscale Image Enhancement
[IEEE] 2026-6-16 | A Hybrid CNN-LSTM Model for Short Term Photovoltaic Power Forecasting with Meteorological Feature Engineering
[IEEE] 2026-6-16 | A Controller Synthesis Framework for Weakly-Hard Control Systems
[IEEE] 2026-6-16 | A POP
                    <sup>⋆</sup>
                    is Born: Formal Predictable Out-of-Order Processor Model
[IEEE] 2026-6-16 | Testbed Evaluation of AI-Based Precoding in Distributed MIMO Systems
[IEEE] 2026-6-16 | Optimizing Lossy Image Compression for Face Recognition within 1024 Bytes
[IEEE] 2026-6-16 | AI-Enabled Strategies For Future-Enterprises: Interfacing Legal Management Practices, And Engineering Systems
[IEEE] 2026-6-16 | VecAlign: Efficient Vector Sequence Alignment for Similarity Search in the Embedding Space
[IEEE] 2026-6-16 | Secure Cell-Free Massive MIMO ISAC Systems: Joint AP Selection and Power Allocation Against Eavesdropping
[IEEE] 2026-6-16 | Biometric Identification with Functional Encryption (Biface)
[IEEE] 2026-6-16 | Wind Farm Anemometer Failure Detection Based on a Probabilistic Denoising Autoencoder
[IEEE] 2026-6-16 | Actuarial Science Driven Personalization: Optimizing Offers Through Compliance
[IEEE] 2026-6-16 | From Policy to Practice in Smart home Sensing: How Cybersecurity Policy and Privacy Concerns Drive IoT Security Behaviour
[IEEE] 2026-6-16 | Accuracy Enhancement of UAV using AI Models in Defense
[IEEE] 2026-6-16 | Challenges And Solutions in Big Data Integration of Heterogeneous Data Source Unification
[IEEE] 2026-6-16 | Attention-Based Representation Learning for Noninvasive Running-In Estimation
[IEEE] 2026-6-16 | Metrological Assessment of Rail Clip Fasteners via Monocular 3D Reconstruction
[IEEE] 2026-6-16 | Energy-Guided Wavelet Activation-Pooling for Intelligent Bearing Fault Diagnosis
[IEEE] 2026-6-16 | Resource-Aware Semantic Communication with Adaptive Vision Transformers for Digital Twins
[IEEE] 2026-6-16 | Wireless Semantic Multicasting: A Framework for Efficient Multi-Modal Multi-Task Communications
[IEEE] 2026-6-16 | Transmission of Binary Sequences Over Gaussian Channels Under Privacy Constraints
[IEEE] 2026-6-16 | LR-XGBoost: A Leaf Refinement Approach for XGBoost in Network Intrusion Detection Systems
[IEEE] 2026-6-16 | Selection Criteria for Analytical Models of Stress Intensity Factor in Central-Cracked Finite-Sized Plate
[IEEE] 2026-6-16 | DSTAR: Diffusion-based Support-aware TARNet with Auxiliary Regression for Individual Treatment Effect Estimation under Weak Covariate Overlap
[IEEE] 2026-6-16 | HYDROSPHERE: Autonomous Grey water Recycling with Energy-Positive Operation
[IEEE] 2026-6-16 | Testbed for Digitally-Assisted RF Self-Interference Cancellation Based on Envelope Detectors
[IEEE] 2026-6-16 | AI intelligence within Teaching: A Multidimensional Evaluation of Large Language Model Education Agents in K-12 Education
[IEEE] 2026-6-16 | Research on Medium-to-Long-Term Electricity Price Forecasting for New Energy Based on Multidimensional Value Decomposition
[IEEE] 2026-6-16 | Research on Optimal Operation Strategies of Wind-Photovoltaic-Storage-Load Virtual Power Plant
[IEEE] 2026-6-16 | Electromagnetic Transient Simulation Algorithm of High Proportion New Energy Based on Pseudo Wiener Process and Adaptive DG-PIM
[IEEE] 2026-6-16 | A Remote Sensing Image Object Detection Method Based on Improved YOLOv11
共写入 1985 条记录，保存到 papers/paper2026-06-15.json。
论文获取成功，文件路径: papers/paper2026-06-15.json
正在筛选、翻译并发送邮件...
[NO] 1/1985 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[NO] 2/1985 | Worst-case depth hierarchy for shallow quantum circuits
[NO] 3/1985 | Single-item lot sizing problem under budgeted lead-time uncertainty
[NO] 4/1985 | A short proof of the modified Kretschmann-Schlingemann-Werner conjecture
[NO] 5/1985 | Joycent: Diffusion-based Accent TTS without Accented Phone Prediction
[NO] 6/1985 | Posterior Twins: Distributional Behavioral Simulation for Enterprise Decisions
[NO] 7/1985 | Instance-Aware Knowledge Distillation for Semi-Supervised Learning of an On-Board Multi-Task Dense Prediction Model for Collision Avoidance System
[NO] 8/1985 | MUNI: Multimodal Unified Latent Diffusion for Coherent Any-to-Any Generation
[NO] 9/1985 | RGFVR: Reference-Guided Face Video Restoration with Flow Matching
[NO] 10/1985 | SP$^3$: Spherical Priors for Plug-and-Play Restoration
[NO] 11/1985 | Scalable Graph State Generation with O(1) Local Feedforward in Quantum Networks
[NO] 12/1985 | Tyler: Typed Latent Reasoning for Language Models -- When to Think, What to Compute, and How Much to Allocate
[NO] 13/1985 | The gas kinematics in 70 μm dark molecular clumps with ammonia
[NO] 14/1985 | GraphBEV++: Multi-Modal Feature Alignment for Autonomous Driving
[NO] 15/1985 | Hit-rate capability of a silicon strip detector module for decay positron detection in the J-PARC muon $g-2$/EDM experiment
[NO] 16/1985 | Optimizing resource bounds in direct fidelity estimation
[NO] 17/1985 | SMEPilot: Characterizing and Optimizing LLM Inference with Scalable Matrix Extensions
[NO] 18/1985 | Integrated tunable mid-infrared electro-optic frequency comb generator based on nonlinear conversion
[NO] 19/1985 | HAFMat: Hybrid Priors Guided Adaptive Fusion for Single-Image Human Material Estimation
[NO] 20/1985 | Implementation of rotational invariance for first-principles phonons and application to low-dimensional materials
[NO] 21/1985 | Architectural Wisdom: A Framework for Governing Optimization in AI Systems
[NO] 22/1985 | RL-Index: Reinforcement Learning for Retrieval Index Reasoning
[NO] 23/1985 | Endoreversible Carnot machines with long-time reversible limit
[NO] 24/1985 | State-Grounded Multi-Agent Synthetic Data Generation for Tool-Augmented LLMs
[NO] 25/1985 | Explainable Flood Segmentation on Sentinel-1 SAR Imagery: A Comparative Study of CNN and Transformer Architectures
[NO] 26/1985 | GraphWorld: Long-Horizon Planning with World Models for End-to-End Autonomous Driving
[NO] 27/1985 | Contrastive Learning for Seismic Horizon Tracking with Domain-Specific Priors
[NO] 28/1985 | Tropical: Enhancing SLO Attainment in Disaggregated LLM Serving via SLO-Aware Multiplexing
[NO] 29/1985 | Variance Reduction for Non-Log-Concave Sampling with Applications to Inverse Problems
[NO] 30/1985 | UniDDT: Unifying Multimodal Understanding and Generation with Decoupled Diffusion Transformer
[NO] 31/1985 | Learned Image Compression for Vision-Language-Action Models
[NO] 32/1985 | Structural Origin of the Hale Bilinear Form: From the Viewpoint of the Green and Lagrange Identities
[NO] 33/1985 | Multiband transport hierarchy and large Nernst effect in EuAuBi: Establishing a Nernst scaling for asymmetric multiband systems
[NO] 34/1985 | Thakur's hypotheses on power sums of $\mathbb{F}_q[t]$
[YES] 35/1985 | From Tokens to Regions: CUDA-Sensitive Instruction Tuning for GPU Kernel Generation
[NO] 36/1985 | Discovery of Unusual Jet Orientation Variations in the Microquasar GRS 1915+105
[NO] 37/1985 | The free energy of the square lattice Ising model with interactions alternating in horizontal and vertical directions
[NO] 38/1985 | A Bayesian hierarchical model for meta-analysis
[NO] 39/1985 | LUCID: Learned Undersampling-Adaptive Consistency-Guided Inference with Deterministic Flow Matching for Sparse-View CT Reconstruction
[NO] 40/1985 | Weaving Multi-Source Evidence for Biomedical Reasoning: The BioMedHop Benchmark and BioWeave Framework
[NO] 41/1985 | Sensor-Conditioned Representation Learning via Scene-Relevant Observation Quotients
[NO] 42/1985 | VENOM: Versatile Embodied Network for Omni-bodied Motion tracking
[NO] 43/1985 | Adaptive inference and function vectors in deep transformers
[NO] 44/1985 | Statistical methods for assessing non-replicable, outlying, and influential studies
[NO] 45/1985 | A Lean-Certified Proof of $K_8(4, 2) = 23$
[NO] 46/1985 | A Minimal Dark $U(1)_D$ Framework for Inverse Seesaw Neutrino Masses and Dark Matter
[NO] 47/1985 | Optimising Temporary Accommodation Placement Across London with AI-Powered SaaS in E-Governance Systems
[NO] 48/1985 | On the chromatic number and equilateral dimension of $\mathbb{R}^n$ with the tropical norm
[NO] 49/1985 | Holographic study of heavy quark potential, free energy, and running coupling in backgrounds with broken translational symmetry
[NO] 50/1985 | The supergravity dual of a finite duality cascade
[NO] 51/1985 | WaveSync: Constrained Wavefront Optimization for Synchronized Co-Speech Gestures in Humanoid Robots
[NO] 52/1985 | ArtNet: A JEPA-Like Articulatory Predictive Framework for Robust Zero-Shot Phoneme Recognition
[NO] 53/1985 | SING: Synthetic Intention Graph for Scalable Active Tool Discovery in LLM Agents
[NO] 54/1985 | Uncertainty Is Not a Safety Net for Clinical VQA, but Can It Anticipate Model Failure?
[NO] 55/1985 | Multi-Modal Spatio-Temporal Graph Neural Network with Mixture of Experts for Soil Organic Carbon Prediction
[NO] 56/1985 | Walking on Heat Stars for Parabolic Heat Equations with Neumann Boundary Conditions
[NO] 57/1985 | Kauffman bracket skein homology from Heegaard splittings
[NO] 58/1985 | TNODEV: Toolbox for Neural ODE Verification
[NO] 59/1985 | Distributionally robust decision-making under ambiguity: case study of water environmental management
[NO] 60/1985 | ROSA-RL: Uncertainty-Aware Roundabout Optimized Speed Advisory with Reinforcement Learning
[NO] 61/1985 | Preparation of Fractional Quantum Hall States on Quantum Computers
[YES] 62/1985 | Can LLM Coding Agents Reason About Time Series?
[NO] 63/1985 | Vortex-core size and quantum geometry in flat-band superconductors
[NO] 64/1985 | Assessing Reliability of Symbol Detection in Concept Bottleneck Models
[NO] 65/1985 | DoubtProbe: Black-Box Jailbreak Defense via Structural Verification and Semantic Auditing
[NO] 66/1985 | SkillWiki: A Living Knowledge Infrastructure for Agent Skills
[NO] 67/1985 | BadWorld: Adversarial Attacks on World Models
[NO] 68/1985 | Beyond Mean Solar Wind Conditions: Turbulence-Aware Forecasting of the AE Index
[NO] 69/1985 | Towards Delta Aware Training: Efficient DNN Weight Storage for Resource-Constrained FPGAs
[NO] 70/1985 | Atom Probe Tomography as an Emerging Tool for Understanding Defect-driven Mechanisms in HfO$_{2}$-based Ferroelectrics
[NO] 71/1985 | Model Graph Inductive Learning for Knowledge Graph Completion
[NO] 72/1985 | Semi-Supervised Speech Confidence Detection using Pseudo-Labelling and Whisper Embeddings
[NO] 73/1985 | APEX: Adaptive Policy Execution for Precise Manipulation
[NO] 74/1985 | Nonexistence for screened Hartree energies
[NO] 75/1985 | Active Reference Acquisition in Few-Shot Font Generation
[YES] 76/1985 | daVinci-kernel: Co-Evolving Skill Selection, Summarization, and Utilization via RL for GPU Kernel Optimization
[NO] 77/1985 | Two $q$-congruences from Jackson's ${}_8φ_7$ summation and Andrews' ${}_4φ_3$ summation
[NO] 78/1985 | Forward Hedging Reshapes Incentive Provision
[NO] 79/1985 | BRICKS-WM: Building Reusability via Interface Composition Kinetics for Structured World Models
[NO] 80/1985 | An Energy-Driven Framework for Privacy-Aware Synthetic Data Generation
[NO] 81/1985 | Measurement Study of Post-Quantum Readiness of Internet: 2026
[NO] 82/1985 | Towards Robust Generative Speech Enhancement Using Vector Quantisation-Based Neural Audio Codec
[NO] 83/1985 | RHO: Your Coding Agent is Secretly a Roboticist
[NO] 84/1985 | Adiabatic realization of anomalous Floquet topological systems
[NO] 85/1985 | A nonparametric two-sample test using a parametric integral probability metric
[NO] 86/1985 | Scalable Circuit Learning for Interpreting Large Language Models
[NO] 87/1985 | Dynamical Steering and Unambiguous Signature of Majorana Corner Modes in Altermagnetic Josephson Junctions
[NO] 88/1985 | Single-Connection Mixed-Criticality Transport with CATS: Bounded Guarantees, Three Structural Limits, and a QUIC Escape
[NO] 89/1985 | Controlled Quantum Metrology with Anisotropic Heisenberg Spin Interactions under Intrinsic Decoherence
[NO] 90/1985 | Greed Is Learned: Visible Incentives as Reward-Hacking Triggers
[NO] 91/1985 | Tangram: Hiding GPU Heterogeneity for Efficient LLM Parallelization
[NO] 92/1985 | Directory-Aware Query and Maintenance in Vector Databases
[NO] 93/1985 | Fantastic Pretraining Optimizers and Where to Find Them II: Hyperball Optimization
[NO] 94/1985 | Neural dynamical systems on ferroelectric compute-in-memory for real-time forecasting
[NO] 95/1985 | A Unified Constant-Time Switch Rule for Constructing Edge-Disjoint Hamiltonian Cycles in Gaussian Networks
[NO] 96/1985 | Beyond Weights and Gradients: A Taxonomy of Federated Learning Messages
[NO] 97/1985 | Compositional Reasoning Depth Predicts Clinical AI Failure: Empirical Evidence Consistent with Transformer Compositionality Limits in Electronic Health Record Question Answering
[NO] 98/1985 | The Winner Takes It All
[NO] 99/1985 | Understanding Scam Trends and Rail Paths from Reddit Self-Disclosure Narratives
[NO] 100/1985 | Quantum uniformity norms are pullbacks of matrix-valued uniformity norms
[NO] 101/1985 | High-entropy Fe$_2$VAl-based thermoelectric modules with improved conversion efficiency
[NO] 102/1985 | Divergence of Light Wave Amplitudes in an Interface Layer at Critical Conditions
[NO] 103/1985 | KKM theorems and discrete geometry beyond matroids
[YES] 104/1985 | CacheWise: Understanding Workloads and Optimizing KVCache Management for Efficiently Serving LLM Coding Agents
[NO] 105/1985 | From the NYU Ultracomputer to Modern Exascale: A Historical and Architectural Survey of In-Network Computing and Scalable Synchronization
[NO] 106/1985 | An Efficient MaxSAT-DDD Approach for Train Rescheduling via Precedence Propagation and Hybrid AMO Encodings
[NO] 107/1985 | Data-Driven Micromechanical Characterization and Mapping of Shale Rocks Using High Speed Nanoindentation
[NO] 108/1985 | Simple derivations and isotropy on Danielewski-type algebras
[NO] 109/1985 | LLM-Based Visual Explanation Evaluation Framework for Assessing the Explainability of Facial Skin Disease Classification Models
[NO] 110/1985 | Decay estimates for beam equations with potentials in dimension two
[NO] 111/1985 | KRONOS II: Solar-like Umbra and Penumbra Properties on the Young Sun V1298~Tau
