[2026-03-04 09:28:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-03
正在获取论文...
[arXiv] 2026-03-03 | Odin: Multi-Signal Graph Intelligence for Autonomous Discovery in Knowledge Graphs
[NO] 284/1807 | Towards Parameter-Free Temporal Difference Learning
[NO] 285/1807 | Wasserstein Proximal Policy Gradient
[NO] 286/1807 | An LLM-Assisted Toolkit for Inspectable Multimodal Emotion Data Annotation
[NO] 287/1807 | Graph Disjointness with Applications to Reversible Markov Chains
[NO] 288/1807 | EdgeFLow: Serverless Federated Learning via Sequential Model Migration in Edge Networks
[NO] 289/1807 | Through the Lens of Contrast: Self-Improving Visual Reasoning in VLMs
[NO] 290/1807 | Semantic Forwarding and Codebook-Enhanced Model Division Multiple Access for Satellite-Terrestrial Networks
[NO] 291/1807 | Bridging Diffusion Guidance and Anderson Acceleration via Hopfield Dynamics
[NO] 292/1807 | Contractor-Expander and Universal Inverse Optimal Positive Nonlinear Control
[NO] 293/1807 | Uncertainty Quantification of Radio Wave Propagation over Irregular Terrains Using Adaptive Polynomial Chaos Expansion
[NO] 294/1807 | Unitary modules over the gap-$p$ Virasoro algebras
[NO] 295/1807 | Observational Properties of Near-Maximally Spinning Supermassive Black Holes
[NO] 296/1807 | Agentic Mixed-Source Multi-Modal Misinformation Detection with Adaptive Test-Time Scaling
[NO] 297/1807 | Joint Estimation of Dynamic O-D Demand and Choice Models for Dynamic Multi-modal Networks: Computational Graph-Based Learning and Hypothesis Tests
[NO] 298/1807 | Instant and Reversible Adhesive-free Bonding Between Silicones and Glossy Papers for Soft Robotics
[NO] 299/1807 | Biomechanically Accurate Gait Analysis: A 3d Human Reconstruction Framework for Markerless Estimation of Gait Parameters
[NO] 300/1807 | Real-Time Generation of Game Video Commentary with Multimodal LLMs: Pause-Aware Decoding Approaches
[NO] 301/1807 | Learning-Augmented Moment Estimation on Time-Decay Models
[NO] 302/1807 | Breaking the Prototype Bias Loop: Confidence-Aware Federated Contrastive Learning for Highly Imbalanced Clients
[NO] 303/1807 | Measurement of a quantum system using spin-mechanical conversion
[NO] 304/1807 | JIMWLK on a quantum computer
[NO] 305/1807 | A Graph-Native Approach to Normalization
[NO] 306/1807 | Ising models on the hydrogen peroxide and other lattices
[NO] 307/1807 | Nodes Are Early, Edges Are Late: Probing Diagram Representations in Large Vision-Language Models
[NO] 308/1807 | LOO-PIT predictive model checking
[NO] 309/1807 | On The Convergence of the Discretized Linear Static State-Based Peridynamic Equations
[NO] 310/1807 | SilentWear: an Ultra-Low Power Wearable System for EMG-based Silent Speech Recognition
[NO] 311/1807 | Grounded String Representations of Series-Parallel Graphs without Transitive Edges
[NO] 312/1807 | Monochromatic sums and quotients in $\mathbb N$
[NO] 313/1807 | Emergent $Λ$CDM cosmology from a fractional extension of Newtonian gravity
[NO] 314/1807 | Joint distribution of leftmost digits in positional notation and Schanuels's conjecture
[NO] 315/1807 | Quantum-Inspired Hamiltonian Feature Extraction for ADMET Prediction: A Simulation Study
[NO] 316/1807 | RAIN: Secure and Robust Aggregation under Shuffle Model of Differential Privacy
[NO] 317/1807 | Tripartite information of two-dimensional free fermions: a sine-kernel spectral constant from Fermi surface geometry
[NO] 318/1807 | Why Adam Can Beat SGD: Second-Moment Normalization Yields Sharper Tails
[NO] 319/1807 | Required-edge Cycle Cover Problem: an ASP-Completeness Framework for Graph Problems and Puzzles
[NO] 320/1807 | Custom Keep-Alive Cache Policies
[NO] 321/1807 | Serverless Abstractions for Short-Running, Lightweight Streams
[NO] 322/1807 | On the Expressive Power of Transformers for Maxout Networks and Continuous Piecewise Linear Functions
[YES] 323/1807 | TinyIceNet: Low-Power SAR Sea Ice Segmentation for On-Board FPGA Inference
[YES] 324/1807 | Design Generative AI for Practitioners: Exploring Interaction Approaches Aligned with Creative Practice
[YES] 325/1807 | TikZilla: Scaling Text-to-TikZ with High-Quality Data and Reinforcement Learning
[NO] 326/1807 | ATLAS100 -- I. A volume-limited sample of supernovae and related transients within 100 Mpc
[NO] 327/1807 | CMoE: Contrastive Mixture of Experts for Motion Control and Terrain Adaptation of Humanoid Robots
[NO] 328/1807 | DLIOS: An LLM-Augmented Real-Time Multi-Modal Interactive Enhancement Overlay System for Douyin Live Streaming
[NO] 329/1807 | An HCI Perspective on Sustainable GenAI Integration in Architectural Design Education
[NO] 330/1807 | A composite electron-lattice order: electronic nematicity of 2DEG and polarization density waves at a near-ferroelectric interface
[NO] 331/1807 | Incremental Graph Construction Enables Robust Spectral Clustering of Texts
[NO] 332/1807 | PrivMedChat: End-to-End Differentially Private RLHF for Medical Dialogue Systems
[NO] 333/1807 | TrustMH-Bench: A Comprehensive Benchmark for Evaluating the Trustworthiness of Large Language Models in Mental Health
[NO] 334/1807 | Exploiting Repetitions and Interference Cancellation for the 6G-V2X Sidelink Autonomous Mode
[NO] 335/1807 | Millisecond-long electron spin lifetime in CsPbI$_3$ perovskite nanocrystals revealed by optically detected magnetic resonance
[NO] 336/1807 | Component masses in stellar and substellar binaries from Gaia astrometry and photometry
[NO] 337/1807 | Carrollian correlators in black hole perturbation theory
[NO] 338/1807 | On signs of coefficients of L-functions
[NO] 339/1807 | A twisted Hecke algebra, then and now, and a Klein bottle of tempered representations
[NO] 340/1807 | A Geometrically Convergent Solution to Spatial Hypercube Queueing Models
[NO] 341/1807 | Torsion-Induced Modification to Friedmann Equations in $AdSL_{4}$ Gauged Gravity
[NO] 342/1807 | DSBA: Dynamic Stealthy Backdoor Attack with Collaborative Optimization in Self-Supervised Learning
[NO] 343/1807 | Thermodynamic and transport properties of high-quality single crystals of the altermagnet CrSb
[NO] 344/1807 | $[k]$-Roman domination on cylindrical grids $C_m \Box P_n$
[NO] 345/1807 | Faster, Cheaper, More Accurate: Specialised Knowledge Tracing Models Outperform LLMs
[NO] 346/1807 | Merged amplitude encoding for Chebyshev quantum Kolmogorov--Arnold networks: trading qubits for circuit executions
[NO] 347/1807 | Gate Stack Engineering for High-Mobility and Low-Noise SiMOS Quantum Devices
[NO] 348/1807 | Overmassive and Undermassive Massive Black Holes: The Role of Environment and Gravitational-Wave Recoils
[YES] 349/1807 | Agentified Assessment of Logical Reasoning Agents
[YES] 350/1807 | Rethinking Code Similarity for Automated Algorithm Design with LLMs
[NO] 351/1807 | Improved Stability-Based Transition Transport Model for Airships Incorporating Wall Heating Effects
[NO] 352/1807 | Model Editing for New Document Integration in Generative Information Retrieval
[NO] 353/1807 | Autocatalytic Cores in Reaction Networks with Explicit Catalysis
[YES] 354/1807 | EvoSkill: Automated Skill Discovery for Multi-Agent Systems
[NO] 355/1807 | Hybrid Machine Learning for Enhanced Prediction of Diffusion Coefficients in Liquids
[NO] 356/1807 | Efficient Self-Evaluation for Diffusion Language Models via Sequence Regeneration
[NO] 357/1807 | Deep learning-guided evolutionary optimization for protein design
[NO] 358/1807 | Large-eddy simulations of a lean hydrogen premixed turbulent jet flame with tabulated chemistry
[NO] 359/1807 | Special Lagrangian smoothings, Calabi ansatz and stability conditions
[NO] 360/1807 | CoShadow: Multi-Object Shadow Generation for Image Compositing via Diffusion Model
[NO] 361/1807 | Robust Tightly-Coupled Filter-Based Monocular Visual-Inertial State Estimation and Graph-Based Evaluation for Autonomous Drone Racing
[NO] 362/1807 | Renormalization group on tensor networks
[NO] 363/1807 | Hardware Implementation of Photonic Spiking Hash Retrieval
[NO] 364/1807 | Sensory-Aware Sequential Recommendation via Review-Distilled Representations
[NO] 365/1807 | Metal-insulator transition and thermal scales in $d$-wave altermagnet
[NO] 366/1807 | Small Bottle, Big Pipe: Quantifying and Addressing the Impact of Data Centers on Public Water Systems
[NO] 367/1807 | ICSE 2023 Sustainability Report
[NO] 368/1807 | FiDeSR: High-Fidelity and Detail-Preserving One-Step Diffusion Super-Resolution
[NO] 369/1807 | HateMirage: An Explainable Multi-Dimensional Dataset for Decoding Faux Hate and Subtle Online Abuse
[NO] 370/1807 | Global Solutions of Coupled Nonlocal Parabolic Systems Arising from Reversible Chemical Reactions
[NO] 371/1807 | From Shallow to Deep: Pinning Semantic Intent via Causal GRPO
[NO] 372/1807 | Exact Functional ANOVA Decomposition for Categorical Inputs Models
[NO] 373/1807 | Behavior-Aware Anthropometric Scene Generation for Human-Usable 3D Layouts
[NO] 374/1807 | Transverse Oscillations and Wave Propagation in the Magnetically Dominated M87 Jet
[NO] 375/1807 | Quantum Algorithms for Approximate Graph Isomorphism Testing
[NO] 376/1807 | Sommerfeld enhancement from unstable final-state particles in dark matter annihilation
[NO] 377/1807 | First-principles insights into the atomic structure of carbon-nitrogen-oxygen complex color centers in silicon
[NO] 378/1807 | Convex and Non-convex Federated Learning with Stale Stochastic Gradients: Diminishing Step Size is All You Need
[NO] 379/1807 | Geometry-Driven Thermodynamics: Shape Effects and Anisotropy in Quantum-Confined Ideal Fermi and Bose Gases
[NO] 380/1807 | Cross-Family Speculative Prefill: Training-Free Long-Context Compression with Small Draft Models
[NO] 381/1807 | Reproducing and Comparing Distillation Techniques for Cross-Encoders
[YES] 382/1807 | OrchMAS: Orchestrated Reasoning with Multi Collaborative Heterogeneous Scientific Expert Structured Agents
[NO] 383/1807 | Evolution and scattering of excited topological defects: Interaction between internal modes
[NO] 384/1807 | An Optimization-Based User Scheduling Framework for Multiuser MIMO Systems
[NO] 385/1807 | Tilted, warped, and eccentric disks
[NO] 386/1807 | Lorentz violating quadratic gravity
[NO] 387/1807 | The weak Banach-Saks property for Hölder spaces
[NO] 388/1807 | On the Topology of Neural Network Superlevel Sets
[NO] 389/1807 | Scalable Mesh Coupling for Atmospheric Wave Simulation
[NO] 390/1807 | Intrinsic Electric Field Driven High Sensitive Photodetection in Alloy TMDC MoSSe
[NO] 391/1807 | Architecting Trust in Artificial Epistemic Agents
[NO] 392/1807 | Layer-wise QUBO-Based Training of CNN Classifiers for Quantum Annealing
[NO] 393/1807 | Leveraging Label Proportion Prior for Class-Imbalanced Semi-Supervised Learning
[NO] 394/1807 | Antimagic labelling of graphs with maximum degree $Δ(G) = n - 4$
[NO] 395/1807 | Changing Pedagogical Paradigms: Integrating Generative AI in Mathematics to Enhance Digital Literacy through 'Mathematical Battles with AI'
[NO] 396/1807 | The Geometry of Learning Under AI Delegation
[NO] 397/1807 | Fast simulation of Volterra processes using random Fourier features with application to the log-stationary fractional Brownian motion
[NO] 398/1807 | ShipTraj-R1: Reinforcing Ship Trajectory Prediction in Large Language Models via Group Relative Policy Optimization
[NO] 399/1807 | Beyond One-Size-Fits-All: Adaptive Subgraph Denoising for Zero-Shot Graph Learning with Large Language Models
[NO] 400/1807 | Bias and Fairness in Self-Supervised Acoustic Representations for Cognitive Impairment Detection
[NO] 401/1807 | From stacking to function: emergent states and quantum devices in 2D superconductor heterostructures
[NO] 402/1807 | GloPath: An Entity-Centric Foundation Model for Glomerular Lesion Assessment and Clinicopathological Insights
[NO] 403/1807 | A note on invariant transversals for normal subgroups
[NO] 404/1807 | Dual-wavelength control of charge accumulation in rubrene microcrystals with anisotropic conductivity
[NO] 405/1807 | Pancharatnam Berry Phase as the Origin of Vector Nature Observed in Hermite Gaussian Superposition States
[NO] 406/1807 | Embedding interpretable $\ell_1$-regression into neural networks for uncovering temporal structure in cell imaging
[NO] 407/1807 | Kraken: Higher-order EM Side-Channel Attacks on DNNs in Near and Far Field
[NO] 408/1807 | SemanticDialect: Semantic-Aware Mixed-Format Quantization for Video Diffusion Transformers
[NO] 409/1807 | Eval4Sim: An Evaluation Framework for Persona Simulation
[NO] 410/1807 | Combinatorial relations among restricted and half Eulerian polynomials of types $A$, $B$, and $D$
[NO] 411/1807 | An Improved Combinatorial Algorithm for Edge-Colored Clustering in Hypergraphs
[NO] 412/1807 | Exponential ergodicity and finite-dimensional approximation for Markovian lifts of stochastic Volterra equations
[NO] 413/1807 | House Price Effects of Commercial Entry: Event Study Evidence from London
[NO] 414/1807 | Unitarity and Unitarization
[NO] 415/1807 | Using Learning Progressions to Guide AI Feedback for Science Learning
[NO] 416/1807 | HoMMI: Learning Whole-Body Mobile Manipulation from Human Demonstrations
[NO] 417/1807 | SynthCharge: An Electric Vehicle Routing Instance Generator with Feasibility Screening to Enable Learning-Based Optimization and Benchmarking
[NO] 418/1807 | The Periastron Passage of T Tauri South B as Viewed by ALMA: Millimeter Flux Variations and Dust Heating Triggered by Orbital Motion
[NO] 419/1807 | No Memorization, No Detection: Output Distribution-Based Contamination Detection in Small Language Models
[NO] 420/1807 | Chain of World: World Model Thinking in Latent Motion
[NO] 421/1807 | Expectation and Acoustic Neural Network Representations Enhance Music Identification from Brain Activity
[NO] 422/1807 | Scalable Uncertainty Quantification for Black-Box Density-Based Clustering
[NO] 423/1807 | Simultaneous anti-bunched and super-bunched photons from a GaAs Quantum dot in a dielectric metasurface
[NO] 424/1807 | Witnesses of non-Gaussian features as lower bounds of stellar rank
[NO] 425/1807 | FEAST: Retrieval-Augmented Multi-Hierarchical Food Classification for the FoodEx2 System
[NO] 426/1807 | Heavy-quark box-loop corrections to $q\bar q \to Zγ$ at two loops in QCD
[NO] 427/1807 | Conditioned Activation Transport for T2I Safety Steering
[NO] 428/1807 | Dynamically Emergent Correlations
[NO] 429/1807 | Stable solutions to reaction-diffusion elliptic problems
[NO] 430/1807 | An Investigation Into Various Approaches For Bengali Long-Form Speech Transcription and Bengali Speaker Diarization
[NO] 431/1807 | Twisted dynamical zeta funcions and the Fried's conjeture
[NO] 432/1807 | Weak-Strong Uniqueness for a Rigid Body Immersed in an Inviscid Compressible Fluid
[NO] 433/1807 | From Language to Action: Can LLM-Based Agents Be Used for Embodied Robot Cognition?
[NO] 434/1807 | Geometry-Guided Reinforcement Learning for Multi-view Consistent 3D Scene Editing
[NO] 435/1807 | UniSkill: A Dataset for Matching University Curricula to Professional Competencies
[NO] 436/1807 | Estimating the dynamical masses of dwarf galaxies in the presence of binary-star contamination
[NO] 437/1807 | Deep Q-Learning-Based Gain Scheduling for Nonlinear Quadcopter Dynamics
[NO] 438/1807 | AWDiff: An a trous wavelet diffusion model for lung ultrasound image synthesis
[NO] 439/1807 | Turbulent Nature of the Quasicontinuous Exhaust Regime for Fusion Plasmas
[NO] 440/1807 | Complicial simple-minded collections
[NO] 441/1807 | Qudit Designs and Where to Find Them
[NO] 442/1807 | Steering paths mid-flight for fault-tolerance in measurement-based holonomic gates
[NO] 443/1807 | VLMFusionOcc3D: VLM Assisted Multi-Modal 3D Semantic Occupancy Prediction
[NO] 444/1807 | Why Atomicity Matters to AI/ML Infrastructure: Snapshots, Firmware Updates, and the Cost of the Forward-In-Time-Only Category Mistake
[NO] 445/1807 | Wukong-Omni: Design, Modeling and Control of a Multi-mode Robot for Air, Land, and Underwater Exploration with All-in-One Propulsion Unit
[NO] 446/1807 | Dynamic Instabilities and Pattern Formation in Chemotactic Active Matter
[NO] 447/1807 | Well-posedness and existence of an invariant measure for the linearly-damped KdV equations driven by a jump noise
[NO] 448/1807 | Track4World: Feedforward World-centric Dense 3D Tracking of All Pixels
[NO] 449/1807 | Higher-order interactions at scientific conferences influence team formation
[NO] 450/1807 | Distribution of square-free palindromes
[NO] 451/1807 | SemGS: Feed-Forward Semantic 3D Gaussian Splatting from Sparse Views for Generalizable Scene Understanding
[YES] 452/1807 | CoDAR: Continuous Diffusion Language Models are More Powerful Than You Think
[NO] 453/1807 | AnchorDrive: LLM Scenario Rollout with Anchor-Guided Diffusion Regeneration for Safety-Critical Scenario Generation
[NO] 454/1807 | Large Language Model-Enhanced Relational Operators: Taxonomy, Benchmark, and Analysis
[NO] 455/1807 | Robust Hybrid Finite-Time Parameter Estimation Without Persistence of Excitation
[NO] 456/1807 | Functional Properties of the Focal-Entropy
[NO] 457/1807 | LLM-MLFFN: Multi-Level Autonomous Driving Behavior Feature Fusion via Large Language Model
[NO] 458/1807 | Thermodynamic Regulation of Finite-Time Gibbs Training in Energy-Based Models: A Restricted Boltzmann Machine Study
[NO] 459/1807 | Exploring stable long-lifetime plasmon excitations in the Lieb lattice
[NO] 460/1807 | NeighborMAE: Exploiting Spatial Dependencies between Neighboring Earth Observation Images in Masked Autoencoders Pretraining
[NO] 461/1807 | Hyperuniformity of Weighted Particle Systems
[YES] 462/1807 | ParEVO: Synthesizing Code for Irregular Data: High-Performance Parallelism through Agentic Evolution
[NO] 463/1807 | Decomposing the Influence of Physical Acoustic Modeling on Neural Personal Sound Zone Rendering: An Ablation Study
[NO] 464/1807 | Room-temperature magnetic p-n junctions for charge-and-spin diodes
[YES] 465/1807 | NeuroProlog: Multi-Task Fine-Tuning for Neurosymbolic Mathematical Reasoning via the Cocktail Effect
[NO] 466/1807 | Revealing Positive and Negative Role Models to Help People Make Good Decisions
[NO] 467/1807 | Effects of Resolution and Local Stability on Galactic Disks: 2. Halo Resolution and Softening on Bar Formation
[NO] 468/1807 | RIS-Enabled Wireless Channel Equalization: Adaptive RIS Equalizer and Deep Reinforcement Learning
[NO] 469/1807 | A Robust Simulation Framework for Verification and Validation of Autonomous Maritime Navigation in Adverse Weather and Constrained Environments
[NO] 470/1807 | COLREGs Compliant Collision Avoidance and Grounding Prevention for Autonomous Marine Navigation
[NO] 471/1807 | Optimizing Orbital Parameters of Satellites for a Global Quantum Network
[NO] 472/1807 | E2E-GNet: An End-to-End Skeleton-based Geometric Deep Neural Network for Human Motion Recognition
[NO] 473/1807 | Policy myopia as a mechanism of gradual disempowerment in Post-AGI governance, Circa 2049
[NO] 474/1807 | The Extended Real Line with Reentry: A Compact Quotient Space Separating US from KC
[NO] 475/1807 | Direct Scattering of the Focusing Nonlinear Schrödinger Equation with Step-like Oscillatory Initial Data
[NO] 476/1807 | Rethinking Time Series Domain Generalization via Structure-Stratified Calibration
[NO] 477/1807 | Manipulating Charge Distribution in Moiré Superlattices by Light
[NO] 478/1807 | On Projective and Flat Persistence Modules
[NO] 479/1807 | Evaluating Cross-Modal Reasoning Ability and Problem Characteristics with Multimodal Item Response Theory
[NO] 480/1807 | Noether-Lefschetz general complete intersection K3 surfaces over the rationals
[NO] 481/1807 | ITLC at SemEval-2026 Task 11: Normalization and Deterministic Parsing for Formal Reasoning in LLMs
[NO] 482/1807 | Post Hoc Extraction of Pareto Fronts for Continuous Control
[NO] 483/1807 | 'Show It, Don't Just Say It': The Complementary Effects of Instruction Multimodality for Software Guidance
[NO] 484/1807 | Multi-Agent Honeypot-Based Request-Response Context Dataset for Improved SQL Injection Detection Performance
[NO] 485/1807 | Scale-invariant Gaussian derivative residual networks
[NO] 486/1807 | A non-autonomous center-stable set theorem for saddle avoidance in optimization
[NO] 487/1807 | Learning Demographic-Conditioned Mobility Trajectories with Aggregate Supervision
[NO] 488/1807 | Generalised All-Optical Cat Correction
[NO] 489/1807 | Recentering with Malliavin derivative
[NO] 490/1807 | Nonclassical Turing instabilities induced by superdiffusive transport in FitzHugh-Nagumo dynamics
[NO] 491/1807 | Search for a narrow resonance with a mass between 10 and 70 GeV decaying to a pair of photons in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[NO] 492/1807 | Fusing Sparse Observations and Dense Simulations for Spatial Extreme Value Analysis: Application to U.S. Coastal Sea Levels
[NO] 493/1807 | UniG2U-Bench: Do Unified Models Advance Multimodal Understanding?
[NO] 494/1807 | Topology of Multi-species Localization
[NO] 495/1807 | Conversational Learning Diagnosis via Reasoning Multi-Turn Interactive Learning
[YES] 496/1807 | AI-for-Science Low-code Platform with Bayesian Adversarial Multi-Agent Framework
[NO] 497/1807 | Coalgebras for categorical deep learning: Representability and universal approximation
[NO] 498/1807 | Adaptive Methods Are Preferable in High Privacy Settings: An SDE Perspective
[NO] 499/1807 | Expanding Universal Machine Learning Interatomic Potentials to 97 Elements Towards Nuclear Applications
[NO] 500/1807 | Shape Derivative-Informed Neural Operators with Application to Risk-Averse Shape Optimization
[NO] 501/1807 | Search for a massless particle beyond the Standard Model in the $Ξ^0\toΛ+ \text{invisible}$ decay
[NO] 502/1807 | ACE-Brain-0: Spatial Intelligence as a Shared Scaffold for Universal Embodiments
[NO] 503/1807 | Continuous-Aperture Array-Based ISAC Over Fading Channels
[NO] 504/1807 | Energy-Optimal Allocation of Storage in Transmission Grid Networks
[NO] 505/1807 | Attainable forms of lower spectra
[NO] 506/1807 | Rigidity of shear flows of the Euler equations in the plane
[NO] 507/1807 | Political Shocks and Price Discovery in Prediction Markets: Evidence from the 2024 U.S. Presidential Election
[NO] 508/1807 | Mean Effects on Critical Well-Posedness for Majda-Biello Systems on the Torus
[NO] 509/1807 | Genus $2$ pencils on surfaces with $p_g=K^2=1$, envelopes, and conics tangent to plane cubic curves
[NO] 510/1807 | AI Space Physics: Constitutive boundary semantics for open AI institutions
[NO] 511/1807 | MUSE: A Run-Centric Platform for Multimodal Unified Safety Evaluation of Large Language Models
[NO] 512/1807 | The stabilizing effect of the microstructure on the 3D magneto-micropolar equations
[NO] 513/1807 | Learning in Markov Decision Processes with Exogenous Dynamics
[NO] 514/1807 | CoFL: Continuous Flow Fields for Language-Conditioned Navigation
[NO] 515/1807 | Two-phase stratified MHD flows in rectangular ducts
[NO] 516/1807 | Anabelian perspectives in Galois-Teichmüller theory
[NO] 517/1807 | Molecular absorption of Cherenkov light at CTAO
[NO] 518/1807 | Exploiting Double-Bounce Paths in Snapshot Radio SLAM: Bounds, Algorithms and Experiments
[NO] 519/1807 | Toward Early Quality Assessment of Text-to-Image Diffusion Models
[NO] 520/1807 | Diffusive dark fluids with Planck-2018 and DESI BAO DR2 Measurements
[NO] 521/1807 | Cohen-Macaulayness of squarefree powers of edge ideals of whisker graphs
[NO] 522/1807 | Optimal Consumption and Portfolio Choice with No-Borrowing Constraint in the Kim-Omberg Model
[NO] 523/1807 | Global convergence of $W^{1,\infty}$-steepest descent for PDE constrained shape optimisation with semilinear elliptic equations in function space
[NO] 524/1807 | Lattice-based Deep Neural Networks: Regularity and Tailored Regularization
[NO] 525/1807 | Fast and memory-efficient classical simulation of quantum machine learning via forward and backward gate fusion
[NO] 526/1807 | VSearcher: Long-Horizon Multimodal Search Agent via Reinforcement Learning
[NO] 527/1807 | An Euler scheme for McKean SDEs with Besov drift: convergence rate and implementation
[NO] 528/1807 | Reeb spaces of smooth functions associated to globally similar graphs of smooth functions
[NO] 529/1807 | Designing UNICORN: a Unified Benchmark for Imaging in Computational Pathology, Radiology, and Natural Language
[NO] 530/1807 | OCR or Not? Rethinking Document Information Extraction in the MLLMs Era with Real-World Large-Scale Datasets
[NO] 531/1807 | Generative adversarial imitation learning for robot swarms: Learning from human demonstrations and trained policies
[NO] 532/1807 | Discovery of energy-dependent phase variations in the polarization angle of Cen X-3
[NO] 533/1807 | Unlocking the Potential of Ni2+ and Ni2+-Cr3+ Synergy for Bifunctional Pressure and Temperature Optical Sensing
[NO] 534/1807 | Next Embedding Prediction Makes World Models Stronger
[NO] 535/1807 | Capacitively Coupled GaAs p-i-n/Substrate Photodetector with Ohmic Contacts on Lightly Doped n-GaAs for Hard X-Ray Imaging
[NO] 536/1807 | Shatter Throughput Ceilings: Leveraging Reflection Surfaces to Enhance Transmissions for Vehicular Fast Data Exchange
[NO] 537/1807 | Algebraic integrable connections with bounded irregularity
[NO] 538/1807 | Enhancing User Throughput in Multi-panel mmWave Radio Access Networks for Beam-based MU-MIMO Using a DRL Method
[NO] 539/1807 | GPR Hierarchical Synergistic Framework for Multi-Access MPQUIC in SAGINs
[NO] 540/1807 | Tensor renormalization group approach to the $O(2)$ models via symmetry-twisted partition functions
[NO] 541/1807 | Simulation and Data Processing of Beamforming Experiments with Four 21CMA Stations
[NO] 542/1807 | Practical FP4 Training for Large-Scale MoE Models on Hopper GPUs
[NO] 543/1807 | The partly parametric and partly nonparametric additive risk model
[NO] 544/1807 | An Empirical Analysis of Calibration and Selective Prediction in Multimodal Clinical Condition Classification
[NO] 545/1807 | Designing XY and Dzyaloshinskii--Moriya couplings in Majorana Cooper pair boxes
[NO] 546/1807 | A Novel One-tap Equalizer for Zero-Padded AFDM System over Doubly Selective Channels
[NO] 547/1807 | FinTexTS: Financial Text-Paired Time-Series Dataset via Semantic-Based and Multi-Level Pairing
[YES] 548/1807 | Graph-GRPO: Stabilizing Multi-Agent Topology Learning via Group Relative Policy Optimization
[NO] 549/1807 | ShareVerse: Multi-Agent Consistent Video Generation for Shared World Modeling
[NO] 550/1807 | Deterministic Edge Coloring with few Colors in CONGEST
[NO] 551/1807 | Optimum Battery Depth of Discharge of Stand-alone Hybrid System Using the MOPSO Method
[NO] 552/1807 | LLMs for High-Frequency Decision-Making: Normalized Action Reward-Guided Consistency Policy Optimization
[NO] 553/1807 | RegTrack: Uncovering Global Disparities in Third-party Advertising and Tracking
[YES] 554/1807 | SorryDB: Can AI Provers Complete Real-World Lean Theorems?
[NO] 555/1807 | DREAM: Where Visual Understanding Meets Text-to-Image Generation
[NO] 556/1807 | AlphaFree: Recommendation Free from Users, IDs, and GNNs
[NO] 557/1807 | Fragmenting Diffusion Pathways Confers Extraordinary Radiation Resistance in Refractory Multicomponent Alloys
[NO] 558/1807 | Improving Diffusion Planners by Self-Supervised Action Gating with Energies
[NO] 559/1807 | HomeAdam: Adam and AdamW Algorithms Sometimes Go Home to Obtain Better Provable Generalization
[NO] 560/1807 | A hierarchy of thermodynamics learning frameworks for inelastic constitutive modeling
[NO] 561/1807 | Credibility Governance: A Social Mechanism for Collective Self-Correction under Weak Truth Signals
[NO] 562/1807 | SaFeR-ToolKit: Structured Reasoning via Virtual Tool Calling for Multimodal Safety
[YES] 563/1807 | MASPOB: Bandit-Based Prompt Optimization for Multi-Agent Systems with Graph Neural Networks
[NO] 564/1807 | See and Remember: A Multimodal Agent for Web Traversal
[NO] 565/1807 | Mind the Way You Select Negative Texts: Pursuing the Distance Consistency in OOD Detection with VLMs
[NO] 566/1807 | Polarity-Resolved Far-Side Magnetograms Based on Helioseismic Measurements
[NO] 567/1807 | Combinatorial Sparse PCA Beyond the Spiked Identity Model
[NO] 568/1807 | Synthetic-Child: An AIGC-Based Synthetic Data Pipeline for Privacy-Preserving Child Posture Estimation
[NO] 569/1807 | Composite Wavelet Matrix-Based Transforms and Applications
[YES] 570/1807 | Extending the Formalism and Theoretical Foundations of Cryptography to AI
[NO] 571/1807 | Dynamics of planetary rings under thermal forces
[NO] 572/1807 | Ultra-low loss piezo-optomechanical low-confinement silicon nitride platform for visible wavelength quantum photonic circuits
[NO] 573/1807 | ATD: Improved Transformer with Adaptive Token Dictionary for Image Restoration
[NO] 574/1807 | SIP classes and four-parameter partition identities
[NO] 575/1807 | AI4CAREER: Responsible AI for STEM Career Development at Scale in K-16 Education
[NO] 576/1807 | FlashEvaluator: Expanding Search Space with Parallel Evaluation
[NO] 577/1807 | A Tale of Two Origins: In-Situ versus Accreted Nitrogen-Rich Field Stars in the MW
[NO] 578/1807 | CAWM-Mamba: A unified model for infrared-visible image fusion and compound adverse weather restoration
[NO] 579/1807 | Integrating Health Sensing into Cellular Networks: Human Sleep Monitoring Using 5G Signals
[NO] 580/1807 | Generalizable Knowledge Distillation from Vision Foundation Models for Semantic Segmentation
[NO] 581/1807 | Fuzzing Microservices in Face of Intrinsic Uncertainties
[NO] 582/1807 | An Adolescent and Near-Resonant Planetary System Near the End of Photoevaporation
[NO] 583/1807 | Mechanism for reduction of the afterpulsing rate of PMTs
[NO] 584/1807 | Orality: A Semantic Canvas for Externalizing and Clarifying Thoughts with Speech
[NO] 585/1807 | Event-Driven Safe and Resilient Control of Automated and Human-Driven Vehicles under EU-FDI Attacks
[NO] 586/1807 | Low-Complexity and Power-Efficient Precoding Codebook Design on Sparse Grassmannian
[YES] 587/1807 | Human-Certified Module Repositories for the AI Age
[NO] 588/1807 | Graphs whose Eulerian trails have unique labels
[NO] 589/1807 | E-variables and tests of randomness for distribution classes
