[2026-02-28 09:14:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[NO] 47/1000 | A Common Source Impedance Compensation Method to Achieve Balanced Dynamic Current Sharing of Paralleled SiC MOSFETs
[NO] 48/1000 | Optimizing Stacking Ensemble Learning to Enhance Meta-Model Performance in Forest Fire Risk Level Detection
[NO] 49/1000 | Dialogue Generation for Robot Family Using ROS and Generative AI: Initial Implementation of Centralized and Distributed Systems
[NO] 50/1000 | ICETISI 2025 List Reviewer Page
[YES] 51/1000 | Natural Language-Driven Automation for Network Device Management with Large Language Models
[NO] 52/1000 | Evaluating the Out-of-Distribution Generalization of Robot Diffusion Policies under the DINOv2 Visual Encoder
[NO] 53/1000 | Single-Machine Equivalent Modelling of Wind Farms Based on Data-Driven Multiplier Parameter Correction
[NO] 54/1000 | Integrating Automatic Force Assistance Configuration with Mixed Reality for Active Exoskeletons
[NO] 55/1000 | Accurate PQ-ωV Admittance Model for Parallel VSC Systems
[NO] 56/1000 | VAE-Based Synthetic EMG Generation with Mix-Consistency Loss for Recognizing Unseen Motion Combinations
[NO] 57/1000 | Analysis and Design of a Novel 13.56 MHz Push-Pull Class E Inverter
[NO] 58/1000 | Title Page
[NO] 59/1000 | HEART: Hybrid Energy-Aware Resilient Trust Evaluation Model for Healthcare-IoT
[NO] 60/1000 | Universal DC-DC Topology Deduction Mechanism Based on Graph-Theoretic Weighting and Four-Dimensional Electrical Characteristics
[NO] 61/1000 | Urban Sound Classification: A Lightweight CNN Approach Based on Mel-Spectrograms
[NO] 62/1000 | The Impact of Temperature Sensors in IoT on Fermentation in Eco-Enzymes
[NO] 63/1000 | Hardware-Decoupled High-Frequency Triple Active Bridge (TAB) Converter
[NO] 64/1000 | Development and Testing of Avalanche Transistors and Sub-nanosecond Pulses
[NO] 65/1000 | An Optimized Switch Fault Diagnosis Strategy for Cascaded H-Bridge Based STATCOM
[NO] 66/1000 | Supporting QoS Guarantee in Heterogeneous Object Storage System: A Spatio-Temporal Graph Data Processing Method
[NO] 67/1000 | Diffusion-based Multi-agent with Reinforcement Learning for Multimodal-based Recommendation
[NO] 68/1000 | Anchor-guided Discrete Multi-view Clustering
[NO] 69/1000 | Sounding Depressed? Personalized Deep Learning Model for Depression Detection from Speech and Text
[NO] 70/1000 | Decouple, Reorganize, and Fuse: A Multimodal Framework for Cancer Survival Prediction
[NO] 71/1000 | SegTrans: Transferable Adversarial Examples for Segmentation Models
[NO] 72/1000 | Compositional Text-to-Image Synthesis with Training-Free Layout-Guided Diffusion
[NO] 73/1000 | Reasoning Techniques Meet GraphRAG: Advancing LLM for Wireless Network Cyber Defense
[NO] 74/1000 | A Wearable Hand Tremor-Suppressing Glove Using PVC Gel-Based Actuators and Force Sensors
[NO] 75/1000 | Hybrid Discretized Luenberger Observer for Sensorless IPMSM Drives Under Low Sampling-to-Fundamental Frequency Ratio
[NO] 76/1000 | Accurate Time-Domain Model for Flying Capacitor Based Three-Level LLC Resonant Converters
[NO] 77/1000 | Wide Range Series Resonant Converter with Double-Mode Operation Control Strategy
[NO] 78/1000 | Estimation of Flux Saturation Model for SynRMs Using Physics-Informed Neural Networks at Standstill
[NO] 79/1000 | Energy Management Optimization for Photovoltaic Hydrogen Production System
[NO] 80/1000 | GS-MATSC: Group Symmetric Multi-Agent Traffic Signal Control with Attention and Mirror Loss
[NO] 81/1000 | A Multi-Layered Security Framework for NIfTI Images Using CNN Feature Extraction, Arnold Scrambling and DWT Watermarking
[NO] 82/1000 | Research on Construction and Dynamic Evolution of Knowledge Graph for University History Archive Resources Based on Multimodal Data
[NO] 83/1000 | Applying Vision-Language Models for Intelligent Multimodal Surveillance and Crime Detection
[NO] 84/1000 | A Localization Strategy for Low-cost UAVs Sewers Inspection
[NO] 85/1000 | An Overall Loss Modeling Considering Current Ripple for Hybrid 3L-ANPC Converters
[NO] 86/1000 | A Disturbance-Triggered Dual-Agent Reinforcement Learning Frequency Compensation Strategy with Lyapunov-Guided Stability for LLC Resonant Converters
[NO] 87/1000 | An Improved Passivity-Based Control Method for Three-Phase ANPC Inverters under Weak Grid
[NO] 88/1000 | Adaptive Communication Protocols for Manager-Worker Small LLM Multi-Agent Systems in Resource-Constrained Environments
[NO] 89/1000 | Improving Robotic Imitation Learning with Predicted Facial Motion Using Transformers
[NO] 90/1000 | Research on Transformer with Variable Magnetizing Inductance Applied to Dual Mode LLC-DAB Converter
[NO] 91/1000 | An ISO/IEC 25010-Based Evaluation Methodology for Designing Digital Mock-Up Toward Nuclear Decommissioning
[NO] 92/1000 | Research on Control and Modulation Strategy for Reusing Module Soft Open Point Topology
[NO] 93/1000 | Spam Email Classification using Bag-of-Words Features and Multilayer Perceptron Neural Networks
[NO] 94/1000 | Capacitor Voltage Reconfiguration and Control Methods of Variable-Level ANPC Inverters
[NO] 95/1000 | Deep Neural Network Watermarking to Detect Backdoor Attacks in Datasets Using Wet Paper Coding
[NO] 96/1000 | Development of a Gel Urethra Model Simulator Using Agarose-PEG and Performance Evaluation of a Soft Growing Actuator for Urinary Catheter Insertion Assistance
[NO] 97/1000 | Sonar Target Localization and Trajectory Based on Neural Network
[NO] 98/1000 | Benefits of Automatic Temperature Controller on Human Body and Maintaining Room Temperature
[NO] 99/1000 | Disturbance Suppression Strategy of Intermediate DC-Bus Voltage for Two-stage Grid-connected Inverter
[NO] 100/1000 | A Novel High Efficiency Step-up DC auto-Transformer for DC Grid
[NO] 101/1000 | Towards Personalized Context-aware Bedside Patient Monitoring
[YES] 102/1000 | Analysis and Design of a Parametric Hybrid Adder with Tunable Accuracy Using Kogge-Stone and Approximate Ripple-Carry Architecture
[NO] 103/1000 | Bio-Inspired Object Reference Recognition in Human-Robot Interaction under Ambiguous Non-Verbal Cues
[NO] 104/1000 | DYOLO: Deformable based YOLOV7 for polyp detection
[NO] 105/1000 | SMART-MI: Scalable Machine Learning Approach for Risk Tracking in Myocardial Infarction Prediction
[NO] 106/1000 | Dual Sequence PSPWM Strategies for 5-level FCML Totem-pole PFC to Suppress Voltage Ringing across Flying Capacitors during Bus Voltage Recovering
[NO] 107/1000 | Text-to-Motion Generation for Diverse Human Body-Motion Simulation
[YES] 108/1000 | High-Level Synthesis of AlexNet CNN based model for Brain Tumor Diagnosis through FPGA Deployment Using Vitis HLS
[NO] 109/1000 | An Artificial Neural Network-based PWM Method for Common Mode Voltage Suppression in Back-to-Back Two-Level Converters
[NO] 110/1000 | Enhancing Vision-Based Tactile Sensing Through a Fingernail-Inspired Structure for Improved Contact and Texture Detection
[NO] 111/1000 | Magnetic Coupler of Wireless Charging System Using Magnetic Core with Plasticity
[NO] 112/1000 | Design of a Tendon-Driven Robotic Hand for High-Force Grasping and Dexterous Manipulation
[NO] 113/1000 | MAEIE 2025 Copyright Page
[NO] 114/1000 | Energy-Efficient Adaptive Beamforming for 5G Massive Mimo Using Deep Reinforcement Learning
[YES] 115/1000 | Performance Comparison of Machine Learning Models in Data-Driven Receiver Circuit Design
[NO] 116/1000 | Leveraging Graph Databases for Real-Time Spam Detection on Social Media
[NO] 117/1000 | YOLO-Based Framework for Efficient Lung Cancer Detection from CT Imaging
[NO] 118/1000 | An Improved Harmonic Detection Method Based on Multi-synchronous Rotating Frame with Mean Filtering
[NO] 119/1000 | QDM-RNN: Acquisition of High-speed and Robust Behavior from Low-speed Demonstrations
[NO] 120/1000 | Scalable Vehicle Toll Model using Second Layer Blockchain
[YES] 121/1000 | Design and Implementation of A DSP-Enhanced RISC-V Pipelined Processor Using Verilog HDL
[NO] 122/1000 | Comparing a Store-less Password Manager with Traditional Password-Only Authentication
[NO] 123/1000 | Analysis of Machine Learning Framework for Burnout Detection Using Social Media Sentiment
[NO] 124/1000 | A Compact and High-Conversion-Gain W-Band Differential Distributed Frequency Doubler With Over-NeutralizingSecond-Harmonic Feedback
[NO] 125/1000 | Motion Simulation of the Human Upper Limb Based on Optimal Control
[NO] 126/1000 | Bibliometric Landscape of Text and Document Classification Research in Natural Language Processing
[NO] 127/1000 | Design and Implementation of a Human Behavior Recognition Information System Based on RFID and AI
[NO] 128/1000 | Deep Learning-Based Meat Freshness Detection with Segmentation and OOD-Aware Classification
[NO] 129/1000 | Harnessing Attention Weight Tables for Computationally Efficient Multiple Object Tracking With Transformers
[NO] 130/1000 | ESG-Net: Event-Aware Semantic Guided Network for Dense Audio-Visual Event Localization
[NO] 131/1000 | Dependence of Mo/Au Transition-Edge Sensor Properties on Normal Resistance and Critical Temperature
[NO] 132/1000 | Automated Detection and Recognition of Engraved Serial Numbers on Metallic Surfaces
[NO] 133/1000 | A Parametric-Adaptive Filter for Improving LiDAR Performance Under Snowfall Conditions
[NO] 134/1000 | Geo-SelfSSC: Integrating Dense Geometric Priors for Enhanced Self-Supervised Semantic Scene Completion
[NO] 135/1000 | A ROS-Based Multi-Modal Architecture for Fall Detection and Response with a Social Robot
[NO] 136/1000 | Marketing Technology and Innovation in Financial Services: A Bibliometric Mapping of Research Trends
[NO] 137/1000 | Research on Harmonic Suppression Strategy of Grid-Forming Impedance-Adapter-Based Droop-Controlled Converters
[NO] 138/1000 | DoC-Informer: Automated Discrimination of Disorders of Consciousness under Adaptive EEG Settings
[NO] 139/1000 | ZVS Three-Phase Interleaved Totem-Pole Bridgeless PFC Converter
[NO] 140/1000 | Securing Biometric Authentication System using Blockchain Technology
[NO] 141/1000 | Configurable Pneumatic Soft Actuators for Multi-Directional Wrist Rehabilitation
[NO] 142/1000 | Advancing Multimodal Sentiment Analysis: Models, Datasets, and Future Directions
[NO] 143/1000 | 3D-Printed Sub-Terahertz High-Scanning-Rate Leaky-Wave Antenna Based on Metallic Spoof Surface Plasmon Polaritons
[NO] 144/1000 | Docking-Based Insights into Phyllanthus Amarus Bioactives as Potential Inhibitors of Human Papillomavirus (HPV) E6 Protein
[NO] 145/1000 | Topological Indices of Melem Chain, Polymethyl Methacrylate Network and SiO
                    <sub>2</sub>
                    Nanostructures
[NO] 146/1000 | A Multi-phase to Multi-phase Direct AC/AC Converter
[NO] 147/1000 | Research on Grid-connected and Off-grid Control Strategy of Bidirectional VSG with Energy Storage Coordination
[NO] 148/1000 | Quantum Annealed Geometric Mean Optimization for Calibrated Optimization of KAN
[NO] 149/1000 | Early Glaucoma Screening Using YOLO and Deep Features from Fundus Images
[NO] 150/1000 | Torsional Vibration Suppression Control Based on Weighted Average Speed Feedback
[NO] 151/1000 | High Efficiency High Power Density SRC-DCX Considering the DC bias of the Resonant Capacitor
[NO] 152/1000 | Digital Alignment of E-Commerce, Marketing Technology, and IT Governance for MSMEs to Achieve Sustainable Development Goal 8
[NO] 153/1000 | Condensation-Concatenation Framework for Dynamic Graph Continual Learning
[NO] 154/1000 | FGC-Comp: Adaptive Neighbor-Grouped Attribute Completion for Graph-based Anomaly Detection
[NO] 155/1000 | SMOTE-Assisted BiLSTM Modeling for Reliable Industrial Fault Classification in Imbalanced Monitoring Data
[NO] 156/1000 | Pose-Invariant Grasping via Equidistant Travel Control of an Underactuated Three-Finger Gripper
[NO] 157/1000 | Data Augmentation for Continual Learning of Fast and Smooth Imitation Motions Using Model Predictive Control
[NO] 158/1000 | ISED 2025 Cover Page
[NO] 159/1000 | Adaptive DC Voltage Control for Receiving End Converter of Phase-Shifted Diode Rectifier Based Distant Offshore Wind Power Transmission System
[NO] 160/1000 | Hourly Load Forecasting of EV Charging Stations Using ARIMA and LSTM Model
[YES] 161/1000 | Localized Large Model Trusted Computing System Based on LAN Computing Resource Pool Construction
[NO] 162/1000 | Multi-Resonant Control with Online Gain Optimization for Enhanced Harmonic Voltage Suppression in Voltage Source Inverters
[NO] 163/1000 | Data-Driven Machine Learning and NSGA-II Based Parameter Prediction and Optimization Method for Wireless Power Transfer Couplers
[NO] 164/1000 | The Influence of Personality Traits, Digital Culture, and Digital Leadership on Digital Transformation in a Security Outsourcing Company
[NO] 165/1000 | The Influence of E-Service Quality on Customer Loyalty and Positive Word of Mouth through Customer Experience and Customer Satisfaction in Banks Classified under Core Capital Group IV
[NO] 166/1000 | Identification of Oils by ARS and ECOC-SVM Classifier Framework
[NO] 167/1000 | An Advanced Power Cycling Test Method for SiC MOSFETs Based on Real-Time Junction Temperature Control
[NO] 168/1000 | Adaptive Iterative Learning-Based Waveform Replication Control
[NO] 169/1000 | A Study of Reinforcement Learning for Indoor Path Planning with Dynamic Obstacles
[NO] 170/1000 | Explainable Deep Learning Framework for Child Autism Detection via EEG and Facial Features with Confidence-Based Decision-Level Fusion
[NO] 171/1000 | IWSA 2025 Committees
[NO] 172/1000 | ISED 2025 Cover Page
[NO] 173/1000 | Towards Synergistic Human-Robot Co-Adaptation via Reciprocal Feedback for Shared Contact Tasks
[NO] 174/1000 | Ultra-Low Cross Polarization Broadband Compact Magneto-Electric Dipole Antenna Array for 5G Applications
[NO] 175/1000 | Real-Time Threat Detection in Networks Using Machine Learning: A Predictive Approach to Cybersecurity
[NO] 176/1000 | A Study on the Impact of HFT (PCB) Winding Structure on Common-Mode EMI in Isolated Half-Bridge DC/DC Converters
[NO] 177/1000 | Optimizing Public Transport Scheduling Through IoT-Enabled Vehicle Demand Prediction with LSTM-MDN
[NO] 178/1000 | Vision Based Traffic Control System for Pedestrian Safety
[NO] 179/1000 | Design of Intelligent Tennis Ball Retrieval Robot System Based on STM32U5 and OpenMV
[NO] 180/1000 | System-Level Simulation of a Fully-Immersed Evaporative Cooling System for High-Speed Permanent Magnet Synchronous Motors Based on a Lumped-Parameter Thermal Model
[NO] 181/1000 | Instability of Rain-induced Attenuation due to Rain Height Variability for Earth-Space Links operating at SHF and EHF in Cape Town, South Africa
[NO] 182/1000 | A Sound-based Vehicle Position Localization Dataset and Combined Filtering Strategy
[NO] 183/1000 | Extracting Linear Features in Archaeological Contexts
[NO] 184/1000 | Automating Infrastructure Surveying: A Framework for Geometric Measurements and Compliance Assessment Using Point Cloud Data_supp1-3667090.mp4
[NO] 185/1000 | Dynamic Facial Motion Analysis Using High-precision Geometry from a High-speed Metric 3D Camera System
[NO] 186/1000 | Digital Twin and Scheduling of Parallel Walking Beam Reheating Furnaces
[NO] 187/1000 | ISAC-Empowered LEO Constellation Networked Sensing: Challenges and Opportunities
[NO] 188/1000 | Image Dehazing Using Patch-wise Nonlinear Brightness Prior
[NO] 189/1000 | Cross-Domain Standardization and Secure Edge Intelligence for Real-Time Digital Twin Deployments in Next-Generation Communication Systems
[NO] 190/1000 | Efficient Dataset Distillation via Generative Pruning
[NO] 191/1000 | Label Correction via Contrastive Embedding for Noisy Multi-label Learning
[NO] 192/1000 | Table of Contents
[NO] 193/1000 | Energy-Aware Task Offloading and Resource Management in Delay-Sensitive Edge-Cloud Computing Environment Optimization
[NO] 194/1000 | A Hybrid Modulation Strategy for Hybrid 4-leg Three-level FC-NPC Inverter to Suppress Common-Mode Voltage
[NO] 195/1000 | Design of a Wireless Power Transfer System Based on Multi-Objective Particle Swarm Optimization
[NO] 196/1000 | Motion Generation for Surgical Robots using Task-Aware Attention based on Deep Predictive Learning *
[NO] 197/1000 | Ldir: Natural Language Instruction Based Database Information Retrieval Using Local Lightweight Large Language Model
[NO] 198/1000 | Research on Sensorless Control Strategy for Permanent Magnet Synchronous Motors Based on ASEKF
[NO] 199/1000 | A Novel PWM Scheme to Suppress the Intra-phase Circulating Current in Two-Parallel Three-Phase Two-Level Converters
[NO] 200/1000 | A Novel Circulating Current Suppression Strategy for Isolated Modular Multilevel DC Transformer Arms
[NO] 201/1000 | Position and Attitude Estimation for Hydraulic Excavator Using External Sensors and Joint Angle Sensors
[NO] 202/1000 | Grid-Tied Solar EV Charging Infrastructure: A Feasibility Study for Urban Deployment in India
[NO] 203/1000 | Predictive Modeling of Viewer Migration: Analyzing the Shift from Theatres to OTT Platforms in Urban India Using Decision Trees
[NO] 204/1000 | Joint Trajectory and Power Optimization in UAV-assisted USVs Communication Network
[NO] 205/1000 | Research on the Prediction Model of Remaining Service Life of Industrial Water Pumps Based on STACM-BiLSTM
[NO] 206/1000 | Infrared Thickness Measurement of SiC/Si Epitaxial Layers with Multibeam Interference Modeling
[NO] 207/1000 | Research on Deep Learning-Based Point Cloud Completion and Recognition Methods for Mechanical Parts
[NO] 208/1000 | Heart Rate Measurement using an Earphone-Type Wearable Device Equipped with Biodegradable Piezoelectric Sensors
[NO] 209/1000 | Hybrid Solar/Diesel Central Heating Experimental Investigation &amp; Control
[NO] 210/1000 | Sensorless Detection of Axial Position in a 3-DOF Suspension System Based on a Super-Twisting Sliding Mode Flux Observer
[NO] 211/1000 | Power Oscillation and Stability Analysis of Parallel VSG Systems with Induction Motor Loads Based on [P Q] - [ω V] Modeling
[NO] 212/1000 | Exploration of Novel Heat Sink and Cooling Technologies for SiC Power Modules
[NO] 213/1000 | Dynamic Resource Management and Routing Algorithm for Low-Earth Orbit Satellite Networks Based on Deep Reinforcement Learning
[NO] 214/1000 | A Novel Precursor for Online Gate Oxide Degradation Monitoring in SiC MOSFETs
[NO] 215/1000 | Active Damping Control for Grid-Connected Inverter with the Magnetic Integrated LCL Filter
[NO] 216/1000 | Multi-Agent Federated Edge Learning for UAV-IDS in Smart City IoT Environment_supp1-3667039.pdf
[NO] 217/1000 | Online Battery Impedance Identification Based on Flying-Capacitor Leg of FC-NPC Inverter
[NO] 218/1000 | Design of a Winograd-Based CNN Accelerator with Reconfigurable Convolution Core for FPGA
[NO] 219/1000 | A 48-V to 12-V/120-A Hybrid Switched-Capacitor Converter with 6200-W/in
                    <sup>3</sup>
                    Power Density
[NO] 220/1000 | Delay Optimization for RIS-Assisted SWIPT-MEC Joint Uplink and Downlink System
[NO] 221/1000 | Application of Dual-Stream Network with Fusion Attention Mechanism in Defense Sliding Step Posture Defect Detection
[NO] 222/1000 | 2026 IEEE/SICE International Symposium on System Integration (SII)
[NO] 223/1000 | Pilot Overhead in Reconfigurable Intelligent Surface-Assisted Wireless Communication Channel Estimation - Art Review
[NO] 224/1000 | Domain Adaptive Network for Fault Diagnosis of Rolling Bearings Under Time-Varying Speed
[NO] 225/1000 | A Novel On-state Voltage Measurement Circuit for High-voltage IGBTs Based on Cascaded SiC JEFTs
[NO] 226/1000 | Hierarchical Planning and Scheduling for Reconfigurable Multi-Robot Disassembly Systems under Structural Constraints
[NO] 227/1000 | Impact Attenuation in Robotic Hammering Tasks
[NO] 228/1000 | Personal Space Toward Human-like and Non-human-like Robots: Effects of Robot Appearance and Likability
[NO] 229/1000 | Design and Analysis of the Joint Module for a Modular Wire-Actuated Robotic Arm
[NO] 230/1000 | 3D Printing Concrete Path Planning System Based on Machine Vision
[NO] 231/1000 | Optimizing Large Language Models for Financial Analytics: A Comprehensive Framework for Domain-Specific Adaptation
[NO] 232/1000 | DA-ERL: Demand-Aware Partitioned Collaborative Inference for On-Device Models
[NO] 233/1000 | LLM-Empowered Agentic AI for QoE-Aware Network Slicing Management in Industrial IoT
[NO] 234/1000 | Robust Tensor Completion via Gradient Tensor Nuclear
                    <i>ℓ</i>
                    <sub>1</sub>
                    -
                    <i>ℓ</i>
                    <sub>2</sub>
                    Norm for Traffic Data Recovery
[NO] 235/1000 | CustomVideo: Customizing Text-to-Video Generation With Multiple Subjects
[NO] 236/1000 | Power Quality Enhancement in Grid connected Renewable Energy Microgrids with Energy Storage: A Comprehensive Review
[YES] 237/1000 | Maintenance Decision Support System for Multiple Units Based on High-Quality Knowledge Graphs
[NO] 238/1000 | Hybrid Metaheuristic Optimization for Real-Time Tuning of Extended PID Controllers for DC–DC Buck Converter
[NO] 239/1000 | Scalable Tactile Coding
[NO] 240/1000 | A Dual-Band Simultaneous RF Energy Harvesting System With Globally Optimized 3-D MPPT and Efficiency Enhancement
[NO] 241/1000 | Digital-Twin-Enabled Outage Detection and Uplink Availability Optimization with UAV Assistance
[NO] 242/1000 | How Ready are Indonesians for Digital Governmentƒ Measuring Citizens' Skills in Majalengka
[NO] 243/1000 | Orthogonal Manipulability Optimization for OMRM With Neural Networks and Nonconvex Constraints
[NO] 244/1000 | Towards Acceptance of Virtual Validation: The Indirect Technology Acceptance Framework
[NO] 245/1000 | A Heuristic Search Path Planning Algorithm for Complex Dynamic Environments
[NO] 246/1000 | Mixed Competitive—Cooperative Pricing for EV Charging Stations: A Multi-Agent Reinforcement Learning Approach with Heterogeneous Hierarchical Attention
[NO] 247/1000 | A Novel Lightweight Hybrid MLP and Quantum Neural Network Model for Bit Error Rate Prediction in NOMA-Enabled Visible Light Communication Systems
[NO] 248/1000 | URL2Path: A Robust Graph Learning Approach for Malicious URL Detection
[NO] 249/1000 | Combating Banana Crop Losses: A CNN-Random Forest Model for Leaf Disease Classification
[NO] 250/1000 | A Game-Theoretic Incentive Mechanism for Blockchain-based Semi-Asynchronous Federated Learning
[NO] 251/1000 | Vision-Guided Flexible Material Sorting and Palletizing System Based on HALCON
[NO] 252/1000 | Combining High Level Scheduling and Low Level Control to Manage Fleets of Mobile Robots
[NO] 253/1000 | Research on Torque-Based Bolt Removal Identification Algorithm
[NO] 254/1000 | Comparative Analysis of the Effect of Merging Layers on Vision Transformers and Convolutional Neural Networks
[NO] 255/1000 | A Predictive Study on Early Alzheimer's Diagnosis Using Statistical Learning Methods
[NO] 256/1000 | Grid Connected PV Energy Stable Control with Distributed Generation and Energy Storage Integration
[NO] 257/1000 | A Review of Data-Driven Frameworks for State of Health (SOH) Estimation and Remaining Useful Life (RUL) Prediction of Supercapacitors
[NO] 258/1000 | High-Precision Trajectory Generation Based on Data-Driven Model Predictive Control With Weight Optimization
[NO] 259/1000 | Explainable AI for Preclinical Risk Detection of Bile Duct Cancer Using Multi-Omics, Microbiome Data and Clinical Biomarkers
[NO] 260/1000 | Substrate-Type High-Temperature and Large-Strain Optical Fiber Sensor
[NO] 261/1000 | Artificial Intelligence Integrated Microsoft Power Apps for Streamlining Small-Scale Businesses
[NO] 262/1000 | Flexible AC-AC Voltage Regulation Strategy for Low-Voltage Distribution Networks with High-Penetration Distributed Scenarios
[NO] 263/1000 | YOLOv8s-AeroLite: A Lightweight and Aerial-Optimized Detector for UAV-Based Object Detection on the VisDrone Dataset
[NO] 264/1000 | Zero-Rendered Lightweight Digital Twin Campus Network Operation and Maintenance System Based on AI Foundation
[NO] 265/1000 | An Analytical Study on the Gender Digital Divide With Reference to Women's Digital Literacy
[NO] 266/1000 | Threshold Strategies in Swarm Robotics: A Game-Theoretic Approach to Equilibrium in Task Allocation
[NO] 267/1000 | Research on a Calibration Method for Optoelectronic Parameters of Medical Electronic Endoscopes
[NO] 268/1000 | Aging Behavior of Transformer Oil: A Comparative Experimental Investigation Between Accelerated and Real-Time Aging
[NO] 269/1000 | Per-Unit Normalized High-Power Three-Level Converter Prototype and Research on Harmonic Optimization Strategies
[NO] 270/1000 | Stability Analysis of A 100% Renewable Energy System with Different Power allocation of Grid-Forming and Grid-Following Inverters
[NO] 271/1000 | Low-latency online estimation of human upper-limb pose and kinematics from a single 360° camera
[NO] 272/1000 | Stable In-hand Manipulation for a Lightweight Four-motor Prosthetic Hand
[NO] 273/1000 | An Active EMI Filter for On-Board Chargers Based on a Three-Winding Common Mode Choke
[NO] 274/1000 | The Analytical Model of Redistribution Layers for Thermal Management in Heterogeneous Multi-chips
[NO] 275/1000 | Trajectory Generation for Tip-Over Prevention and Collision Avoidance of Automatic Excavators
[NO] 276/1000 | Exploratory Factor Analysis of AI Chatbot Use in Supporting University Students’ Academic Mental Health
[NO] 277/1000 | Classroom Teacher Behavior Recognition Algorithm Based on Deep learning
[NO] 278/1000 | Editing 3D Scenes via Text Prompts without Retraining
[NO] 279/1000 | Design and Evaluation of A High Step-Down DC-DC Converter With Current-Doubler Rectifier and Heterogeneous Integrated Transformers
[NO] 280/1000 | A Concise Review of Suicide Surveillance and Prevention Technologies on Bridges
[NO] 281/1000 | Vision-Based Grasp Section Recognition and Pose Estimation for Bent Metal Tubing
[NO] 282/1000 | Modeling and Diagnosis for Steel Surface Defects Based on Feature Selection of Gray Level Distribution
[NO] 283/1000 | DGF-Net: A Dilated Gating Fusion Network for Brain Tumor Segmentation
[NO] 284/1000 | TGSA: An Elite Perturbation Strategy for Balanced Exploration-Exploitation
[NO] 285/1000 | Security-Aware Joint Sensing, Communication, and Computing Optimization in Low Altitude Wireless Networks
[NO] 286/1000 | Efficient Voxel-Based mmWave Radar HAR with Early Temporal Fusion and a Compact 3D–2D Hybrid Network
[NO] 287/1000 | Computational Thinking in Rural Education: Evidence of Gains in Problem-Solving Abilities
[NO] 288/1000 | Surrogate-Assisted Evolutionary Multi-Objective Optimization Grouped by Significant Influence for High-Dimensional Problems
[NO] 289/1000 | IEEE Circuits and Systems Society Information
[NO] 290/1000 | Prototype Perturbation for Relaxing Alignment Constraints in Backward-Compatible Learning
[NO] 291/1000 | Multi-Contrastive and Dynamic Topological Matching Network for Cross-Scene Hyperspectral Image Classification
[NO] 292/1000 | Edge-Aided Radar-Based Exercise Form Classification Using Lightweight Ensemble Learning for Personalized Healthcare
[NO] 293/1000 | Privacy-Preserving Continuous Sign Language Recognition
[NO] 294/1000 | Grounding is All You Need? Dual Temporal Grounding for Video Dialog
[NO] 295/1000 | Quadtree-Based Optimized MLS Protocol with Inactive-User Isolation
[NO] 296/1000 | IEEE Guide for Databases Used in Utility Automation Systems
[NO] 297/1000 | A Survey of Large Language Models for Traffic Forecasting: Methods and Applications
[NO] 298/1000 | Comments on “Optimal dual frames of probabilistic erasures"
[NO] 299/1000 | Identifying Bottlenecks in Student Learning using Eye Tracking Measurements in Lathe Operation Training
                    <sup>*</sup>
[NO] 300/1000 | ANature-InspiredOptimizationFrameworkfor EnhancedIntrusionDetectionUsingMultiple Machine Learning Models
[NO] 301/1000 | Relative Geometrical Constraint on Finger Motion for Dexterous Teleoperation of Multifingered Hand
[NO] 302/1000 | Image Resolution Enhancement Using Time-of-Flight-Based Backscatter Rejection in Compton Camera
[NO] 303/1000 | Voltage Loop Controller Design for Grid-Forming Current Source Inverter Considering Low-Frequency Range Differentiator Characteristics of Control Plant
[NO] 304/1000 | Finite Element Simulation Based Thermal Field Analysis of Power Modules Combine with Heatsink Thermal Network Models
[NO] 305/1000 | Fast and Realistic Automated Scenario Simulations and Reporting for an Autonomous Racing Stack
[NO] 306/1000 | From Feedback to Insights: Analyzing User Reviews of BRPL Power Utility App
[NO] 307/1000 | Multi-Disease Detection Using Deep Learning
[NO] 308/1000 | Effect of Vertical Force Sensation on Fingertips by Grasping a Balloon on Muscle Activity
[NO] 309/1000 | Time-Coding Metasurface for SAR Deceptive Jamming of Three-Dimensional False Targets
[NO] 310/1000 | BERTopic Analysis of Autism-Related Twitter Conversations: Insights into Public Discourse on ASD
[NO] 311/1000 | A Broadband Transparent Circularly Polarized Antenna for GNSS Applications
[NO] 312/1000 | Real-Time Detection of DNS Spoofing Attacks using LSTM-Based Neural Networks
[NO] 313/1000 | Secure and Intelligent Healthcare: Evaluating Blockchain with AI for Chronic Disease Prediction
[NO] 314/1000 | A Systematic Design Methodology of Time-Based Non-Uniform In-Pixel Quantizers for IR Sensors
[NO] 315/1000 | Generative Diffusion Contrastive Network for Multi-View Clustering
[NO] 316/1000 | DHMCNN: Deep Hybrid Morphological CNN with Learnable White Top-Hat Pooling for Infrared UAV Classification
[NO] 317/1000 | Exploring Presence Patterns in an Educational Setting through Electromagnetic Activity
[NO] 318/1000 | SimDEM: Audio-driven Emotional Talking Head Generation with Simplified and Decoupled Expression Modeling
[NO] 319/1000 | Unsupervised Spectral-Geometric Fusion for Single Building Stereo Segmentation for High-Resolution Satellite Images
[NO] 320/1000 | An Iterative Electric-Magnetic-Thermal Bidirectional Coupled Method for Multi-Chip SiC Power Modules Considering Current Sharing
