[2026-02-20 09:29:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-19
正在获取论文...
[arXiv] 2026-02-19 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[IEEE] 2026-2-19 | Fine-Grained Diffractive Slab for Accurate and Low-Complexity On-Chip Photonic Convolution
[IEEE] 2026-2-19 | Automatic Document Classification and Intelligent Archiving System for Academic Administration Based on BERT-TextCNN Fusion Model
[IEEE] 2026-2-19 | Effect of Mesa-Diameter on the 3-dB Bandwidth Enhancement of an InGaAs Photodiode with Inductive Signal Electrode
[IEEE] 2026-2-19 | Hybrid LLM and Sentence Transformer Evaluation for ITS Programming Exercises
[IEEE] 2026-2-19 | Implementation of Wi-Fi NSTR MLO Coexisting with LTE-LAA via ns-3
[IEEE] 2026-2-19 | An Enhanced ASAP7 PDK with Power Via Technology for IR Drop and PPA Evaluation
[IEEE] 2026-2-19 | AI-Driven Misinformation Mitigation: Implementation of RAG System for Hoax Detection and Cybersecurity in Indonesia
[IEEE] 2026-2-19 | Upgrading a Multi-Level Coding Method and Constructing Circular Matrices for Evidence-Based Strategies: A Case of Policy-Oriented Educational Research
[IEEE] 2026-2-19 | Prompt to Path: LLM-Guided Multi-Objective Eco-Routing via Geohash-Compressed Urban Graphs
[IEEE] 2026-2-19 | Quantum-Dot Mobility Prediction Algorithm for Flexible Nanoelectronic Fabrication in Wearable Electronics
[IEEE] 2026-2-19 | Rice Crop Disease Detection Using a Hybrid CNN-ViT Model Enhanced with Explainable AI and Attention-Based Interpretability
[IEEE] 2026-2-19 | How Well Does ChatGPT Understand Drug Mechanisms? A Knowledge + Reasoning Evaluation Dataset
[IEEE] 2026-2-19 | A Digital Twin Simulator for Physics-Inspired AI in 6G Wireless Networks
[IEEE] 2026-2-19 | I Understand Understand You: A Reliable Multi-Agent Facilitator for Reducing Communication Breakdowns
[IEEE] 2026-2-19 | Ensemble Deep Learning Model for Performance Analysis of It Professionals in Adaptive E-Learning Environments
[IEEE] 2026-2-19 | Towards Speed-Agnostic Time-Series Forecasting for Proactive Handover
[IEEE] 2026-2-19 | A 12-μV Offset Low-Input-Bias-Current High-Precision CMOS Operational Amplifier with Automatic Offset Calibration
[ACM] 2026-2-19 | SMILE: Sensor Data-driven Detection and Counterfactual Pattern Analysis for Loneliness in Older Adults
[IEEE] 2026-2-19 | Hybrid Multilingual Sentiment Analysis and Emotional Support System for Arabic and English Texts
[IEEE] 2026-2-19 | QCA Realization of Lightweight ASCON S-Box for Security Critical Applications
[IEEE] 2026-2-19 | Course-Aware Gated Representation and Multi-Task Learning for Urgent Post Identification in MOOC Discussion Forums
[IEEE] 2026-2-19 | Person Re-Identification Across Multi-Camera Systems Using Vision Language Models
[IEEE] 2026-2-19 | Integrated multibeam beamformers at microwave and millimeter wave frequencies
[IEEE] 2026-2-19 | Dynamic Channel Decoupling and Cross-Modal Contrastive Learning for Change Captioning
[IEEE] 2026-2-19 | Trustworthy AI for Resource-Constrained Edge: A Trust Degradation Mode Effect Analysis (TDMEA) Framework
[IEEE] 2026-2-19 | A CMOS Rectifier with 0.9V/1.8V Selectable Bounded Output Voltage for IoT Sensors
[IEEE] 2026-2-19 | Real-Time Intrusion Detection and Tracking for Effective Livestock Virtual Fencing in Agriculture Using YOLOv8 and AI-Controlled Laser Actuation
[IEEE] 2026-2-19 | Legal Assistance in Low-Resource Languages: Evaluating RAG and Fine-Tuned LLMs for Greek e-Governance
[IEEE] 2026-2-19 | RecFlash: Fast Recommendation Inference on NAND Flash-Based In-Storage Computing with Embedding-Optimized Data Mapping
[IEEE] 2026-2-19 | Sparsity-Gated Fp16 Mac Pipeline for Energyefficient Edram-Based Neural Inference
[IEEE] 2026-2-19 | Exploring RAGs Applications in Healthcare
[IEEE] 2026-2-19 | Optimization Strategies and Performance Analysis Using Mobile Applications: Modern Approaches for Enhance User Experience
[IEEE] 2026-2-19 | NGS-based threshold homomorphic encryption scheme without CRS
[IEEE] 2026-2-19 | Nanomechanical Self-Timed Power Management Circuit for Low-Power IoT Devices
[IEEE] 2026-2-19 | Automated Intrusion Type Identification in Networks Using Machine Learning
[IEEE] 2026-2-19 | HCGBot: Hierarchical Semantic Consistency Modeling with Graph Learning for Twitter Bot Detection
[IEEE] 2026-2-19 | A Multi-Wavelength Microwave Photonic Transponder for Future Synthetic Aperture Radar Satellite Formations
[IEEE] 2026-2-19 | Implementation of a Fallen Person Detector
[IEEE] 2026-2-19 | First Responders’ Perceptions of Semantic Information for Situational Awareness in Robot-Assisted Emergency Response
[IEEE] 2026-2-19 | Modeling and Cloud-Based Control of a DSTATCOM-Integrated Micro Grid System
[IEEE] 2026-2-19 | Eco-Adaptive RF Harvesting Algorithm for Energy-Efficient Cognitive Wireless Body Sensor Platforms
[ACM] 2026-2-19 | Application of Star Evaluation Model Based on KNN Algorithm and Positive Star-Chasing Guidance for Teenagers
[ACM] 2026-2-19 | Research on the optimization of the assessment and evaluation index system of “dual-teacher” teachers in vocational colleges from the perspective of big data analysis
[ACM] 2026-2-19 | Computer Vision-Based Dynamic Capture of Intangible Cultural Heritage Crafts in New Media and Research on Digital Inheritance
[ACM] 2026-2-19 | Design and Practice of Digital Transformation for Large-Scale Group Treasury Management Systems Based on Microservice Architecture
[ACM] 2026-2-19 | A People's Livelihood Service Platform System based on Big Data
[ACM] 2026-2-19 | Hypergraph embedding of payment transactions and causal allocation optimization for improving SME ESG performance in green supply chain finance in the Greater Bay Area
[ACM] 2026-2-19 | Research on Intelligent Classification of English Tense Sentences Based on the BERT Model
[IEEE] 2026-2-19 | DUET-Net: A Physics-Aware Deep Learning Framework for Joint Sensing and Communication Channel Estimation in ISAC Systems
[IEEE] 2026-2-19 | Ωkypous: Harnessing Timing Slacks and Coordinated DVFS for Power-Efficient Serverless Workflows
[ACM] 2026-2-19 | Algorithmic Trading Execution Optimization Using A3C-LSTM Reinforcement Learning Framework
[IEEE] 2026-2-19 | 2025 IEEE 2nd International Conference on Cryptography, Informatics, and Cybersecurity
[IEEE] 2026-2-19 | Reduced Leakage and Enhanced Endurance via an ITO Oxygen Reservoir Layer in HZO Ferroelectric Capacitors
[IEEE] 2026-2-19 | Pursuit Strategies for Capture-the-Flag Games With Half-Plane Flag and Return Region
[IEEE] 2026-2-19 | Time-Series-Based Maritime Target Detection at Large Grazing Angles
[IEEE] 2026-2-19 | Two-Degree-of-Freedom Compound Split Transmission Control for a Helicopter Powertrain
[IEEE] 2026-2-19 | Azimuth-Only NED Angle Estimation in Electronic Warfare: Optimization and Deep Segmentation Approaches
[IEEE] 2026-2-19 | Mechanism of Space Charge Packets Transport in LDPE driven by the Temperature Fluctuation under constant DC voltage
[IEEE] 2026-2-19 | TRANQUIL - NLP Vision - Based Emotion Analysis Website for Mental Wellness
[IEEE] 2026-2-19 | A Simple Control Strategy for Achieving Steady-State Current Balance in a Three-Arm Series Capacitor Step-Down DC-DC Converter
[IEEE] 2026-2-19 | Wavelet-Enhanced Blending Ensemble of CNN, LSTM, and GRU for Crude Oil Futures Price Prediction
[IEEE] 2026-2-19 | Optimization of Data Quality for Green Finance Using XGBoost Algorithm: Integration of Financial Market Regulations
[IEEE] 2026-2-19 | Self-Esteem, Burnout, and Emotional Regulation in Engineering Education: A Pilot Study using Digital Self-Report Platforms
[IEEE] 2026-2-19 | MEDIATOR: Enhancing Medical Diagnosis via Gated Distillation and Decoupled Learning
[IEEE] 2026-2-19 | A FPGA based Satellite Onboard High Speed Decoding Architecture for Internet of Vehicle
[IEEE] 2026-2-19 | Critical Sociotechnical Barriers to Cyber Crisis Management in a Critical Information Infrastructure Sector in Indonesia
[IEEE] 2026-2-19 | Finetune-Then-Merge: Democratizing Large Language Model Accessibility Through Efficiency Optimization
[IEEE] 2026-2-19 | Predicting Trust Risks in Al-Generated Educational Feedback: A Technical Framework Using Simulated Threats and System Logs
[IEEE] 2026-2-19 | Revisiting the Unsafe GUTI Reallocation Practices in Commercial 5G Networks
[IEEE] 2026-2-19 | On the Performance of Pilot-Free Semantic Communication over Time-Varying OFDM Channels
[IEEE] 2026-2-19 | Edge-Based Multimodal Crowd Monitoring System for Outdoor Environments
[IEEE] 2026-2-19 | An escape hall to discover High Performance Computing and Quantum Computing
[IEEE] 2026-2-19 | Data Labeling Method Combining Visual and Thermal Images for Effective AI-Based Chemical Recognition
[IEEE] 2026-2-19 | Benchmarking DevSecOps Pipelines: A Performance and Security Analysis of Laravel and CodeIgniter
[IEEE] 2026-2-19 | Toward Energy-Efficient Transformers: Recent Trends in Optimization Techniques
[IEEE] 2026-2-19 | A Convolutional Autoencoder-Based System for Point Cloud Compression
[IEEE] 2026-2-19 | BML-WAF: A Framework Based on Blockchain and Machine Learning for Web Application Firewall Log Integrity and Analysis
共写入 1694 条记录，保存到 papers/paper2026-02-19.json。
论文获取成功，文件路径: papers/paper2026-02-19.json
正在筛选、翻译并发送邮件...
[NO] 1/1694 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[NO] 2/1694 | Non-hyperelliptic modular curves of genus 3
[NO] 3/1694 | Stochastic tensor contraction for quantum chemistry
[NO] 4/1694 | Cryogenic piezoelectric effects in thin film strontium titanate devices
[NO] 5/1694 | Bonsai: A Framework for Convolutional Neural Network Acceleration Using Criterion-Based Pruning
[NO] 6/1694 | HybridPrompt: Bridging Generative Priors and Traditional Codecs for Mobile Streaming
[NO] 7/1694 | Supersymmetric quantum mechanics from wrapped D4-branes
[NO] 8/1694 | Benchmarking the Effects of Object Pose Estimation and Reconstruction on Robotic Grasping Success
[YES] 9/1694 | AgentConductor: Topology Evolution for Multi-Agent Competition-Level Code Generation
[YES] 10/1694 | FLoRG: Federated Fine-tuning with Low-rank Gram Matrices and Procrustes Alignment
[YES] 11/1694 | What to Cut? Predicting Unnecessary Methods in Agentic Code Generation
[NO] 12/1694 | MeGU: Machine-Guided Unlearning with Target Feature Disentanglement
[NO] 13/1694 | Fluid viscoelasticity controls acoustic streaming via shear waves
[NO] 14/1694 | Safe Continuous-time Multi-Agent Reinforcement Learning via Epigraph Form
[NO] 15/1694 | Predictive Batch Scheduling: Accelerating Language Model Training Through Loss-Aware Sample Prioritization
[NO] 16/1694 | Sign Lock-In: Randomly Initialized Weight Signs Persist and Bottleneck Sub-Bit Model Compression
[NO] 17/1694 | IntentCUA: Learning Intent-level Representations for Skill Abstraction and Multi-Agent Planning in Computer-Use Agents
[NO] 18/1694 | Amber-Image: Efficient Compression of Large-Scale Diffusion Transformers
[NO] 19/1694 | Quantum cascade laser roadmap
[NO] 20/1694 | Reframing Population-Adjusted Indirect Comparisons as a Transportability Problem: An Estimand-Based Perspective and Implications for Health Technology Assessment
[NO] 21/1694 | Phase-Aware Mixture of Experts for Agentic Reinforcement Learning
[NO] 22/1694 | LiveGraph: Active-Structure Neural Re-ranking for Exercise Recommendation
[NO] 23/1694 | Transforming Behavioral Neuroscience Discovery with In-Context Learning and AI-Enhanced Tensor Methods
[NO] 24/1694 | Environment-Aware Network-Level Design of Generalized Pinching-Antenna Systems--Part I: Traffic-Aware Case
[YES] 25/1694 | ReIn: Conversational Error Recovery with Reasoning Inception
[NO] 26/1694 | Beyond Average-Channel-Based Rate Approximations: UAV Trajectory and Scheduling Optimization With Expected Rate Consideration
[NO] 27/1694 | Retrieving the Baby: Reichenbach's Principle, Bell Locality, and Selection Bias
[YES] 28/1694 | Mason: Type- and Name-Guided Program Synthesis
[NO] 29/1694 | Discovering Universal Activation Directions for PII Leakage in Language Models
[NO] 30/1694 | Characterizing the Predictive Impact of Modalities with Supervised Latent-Variable Modeling
[NO] 31/1694 | Ground effect on Undulation and pumping near surfaces
[NO] 32/1694 | Signum-Gordon spectral mass from nonlinear Fourier mode mixing
[NO] 33/1694 | Temperature and Respiratory Emergency Department Visits: A Mediation Analysis with Ambient Ozone Exposure
[YES] 34/1694 | DAVE: A Policy-Enforcing LLM Spokesperson for Secure Multi-Document Data Sharing
[NO] 35/1694 | Bluetooth Phased-array Aided Inertial Navigation Using Factor Graphs: Experimental Verification
[NO] 36/1694 | Possible existence of super Chandrasekhar mass limit in the matter-curvature coupled gravity
[NO] 37/1694 | Geometric and topological constraints on oral seal formation during infant breastfeeding
[YES] 38/1694 | Visual Model Checking: Graph-Based Inference of Visual Routines for Image Retrieval
[NO] 39/1694 | Robust Model Predictive Control for Linear Systems with Interval Matrix Model Uncertainty
[NO] 40/1694 | Anisotropic Maximal $L^p$-regularity Estimates for a Hypoelliptic Operator
[NO] 41/1694 | MDP Planning as Policy Inference
[NO] 42/1694 | Asymptotic analysis for heterogeneous elastic energies with material voids
[NO] 43/1694 | Tree crop mapping of South America reveals links to deforestation and conservation
[NO] 44/1694 | Fukaya categories of orbifold surfaces in representation theory
[NO] 45/1694 | 2Mamba2Furious: Linear in Complexity, Competitive in Accuracy
[NO] 46/1694 | Herd Behavior in Decentralized Balancing Models: A Case Study in Belgium
[NO] 47/1694 | Shortcut learning in geometric knot classification
[NO] 48/1694 | Emergence of a symmetry-broken Chern insulator near a moiré Kondo breakdown
[NO] 49/1694 | Stochastic homogenization of diffusions in turbulence driven by non-local symmetric Lévy operators
[NO] 50/1694 | Towards a theory of symmetric extensions
[NO] 51/1694 | Near-perfect quantum teleportation between continuous and discrete encodings
[NO] 52/1694 | Limiting Behavior of Degree-Degree Metrics under Local Convergence in Probability
[NO] 53/1694 | Representation Collapse in Machine Translation Through the Lens of Angular Dispersion
[NO] 54/1694 | Derivation of variational membrane models in the context of anisotropic nonlocal hyperelasticity
[NO] 55/1694 | WFST Supernovae in the First Year: III. Systematical Study of the Photometric Behavior of Early-phase Core-collapse Supernovae
[NO] 56/1694 | Federated Latent Space Alignment for Multi-user Semantic Communications
[NO] 57/1694 | WFST Supernovae in the First Year: I. Statistical Study of 16 Early-phase Type Ia Supernovae from the Pilot Survey
[NO] 58/1694 | On the Reliability of User-Centric Evaluation of Conversational Recommender Systems
[NO] 59/1694 | Quantifying and Mitigating Socially Desirable Responding in LLMs: A Desirability-Matched Graded Forced-Choice Psychometric Study
[NO] 60/1694 | EA-Swin: An Embedding-Agnostic Swin Transformer for AI-Generated Video Detection
[NO] 61/1694 | Failure Detection for Pinching-Antenna Systems
[NO] 62/1694 | Characterization of tangent quasicircles and quasiannuli
[NO] 63/1694 | Spectrum, Tjurina spectrum, and Hertling conjecture for singularities of modality $\leq 3$
[NO] 64/1694 | Decoding the Human Factor: High Fidelity Behavioral Prediction for Strategic Foresight
[NO] 65/1694 | Continual learning and refinement of causal models through dynamic predicate invention
[NO] 66/1694 | Three-body study of the $T_{cc}(3875)^+$ from lattice QCD
[NO] 67/1694 | The Case for HTML First Web Development
[NO] 68/1694 | Strangeness is the key: from $\bar{K}N$ to $\bar{D}_s D K$
[NO] 69/1694 | Smoothing on $L^1$ for ground state transformed semigroups in non-local settings
[NO] 70/1694 | Anisotropic marginal Fermi liquid for Coulomb interacting generalized Weyl fermions
[NO] 71/1694 | OpenEarthAgent: A Unified Framework for Tool-Augmented Geospatial Agents
[NO] 72/1694 | A Study of Entanglement and Ansatz Expressivity for the Transverse-Field Ising Model using Variational Quantum Eigensolver
[NO] 73/1694 | When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs
[NO] 74/1694 | What Language is This? Ask Your Tokenizer
[NO] 75/1694 | Mine and Refine: Optimizing Graded Relevance in E-commerce Search Retrieval
[NO] 76/1694 | The Effectiveness of a Virtual Reality-Based Training Program for Improving Body Awareness in Children with Attention Deficit and Hyperactivity Disorder
[NO] 77/1694 | Revisiting the Higgs-mass calculation in the scale-invariant THDM
[NO] 78/1694 | A.R.I.S.: Automated Recycling Identification System for E-Waste Classification Using Deep Learning
[NO] 79/1694 | On Sets of Monochromatic Objects in Bicolored Point Sets
[NO] 80/1694 | First-principles Newns-Anderson Hamiltonian Construction for Chemisorbed Hydrogen at Metal Surfaces
[NO] 81/1694 | Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting
[NO] 82/1694 | The eigenvalues of i.i.d. matrices are hyperuniform
[NO] 83/1694 | Towards direct $L^2$-bounds for maximal partial sums of Walsh--Fourier series: The case of dyadic partial sums
[NO] 84/1694 | Global Self-Attention with Exact Fourier Propagation for Phase-Only Far-Field Holography
[NO] 85/1694 | Unmasking the Factual-Conceptual Gap in Persian Language Models
[NO] 86/1694 | EDRP: Enhanced Dynamic Relay Point Protocol for Data Dissemination in Multi-hop Wireless IoT Networks
[NO] 87/1694 | A Shadow Enhanced Greedy Quantum Eigensolver
[NO] 88/1694 | Exploring Novel Data Storage Approaches for Large-Scale Numerical Weather Prediction
[NO] 89/1694 | Adapting Actively on the Fly: Relevance-Guided Online Meta-Learning with Latent Concepts for Geospatial Discovery
[NO] 90/1694 | MolHIT: Advancing Molecular-Graph Generation with Hierarchical Discrete Diffusion Models
[NO] 91/1694 | Graph Neural Model Predictive Control for High-Dimensional Systems
[NO] 92/1694 | Asymptotic Smoothing of the Lipschitz Loss Landscape in Overparameterized One-Hidden-Layer ReLU Networks
[NO] 93/1694 | States that grow linearly in time, exceptional points, and zero norm states in the simple harmonic oscillator
[NO] 94/1694 | Renormalization Group and String Loops
[NO] 95/1694 | Non-BPS Monopoles and Dyons via Resurgent Transseries
[NO] 96/1694 | Momentum Measurement of Charged Particles in FASER's Emulsion Detector at the LHC
[NO] 97/1694 | Lecture Notes: Probing ultralight axion-like particles with quantum technology
[NO] 98/1694 | Compact Representation of Particle-Collision Events for Physics-Informed Machine Learning
[NO] 99/1694 | On the Linearization of Flat Multi-Input Systems via Prolongations
[NO] 100/1694 | ODESteer: A Unified ODE-Based Steering Framework for LLM Alignment
[NO] 101/1694 | Enhanced distribution of molecules in the brain due to oscillations of the interstitial flow
[NO] 102/1694 | MASPO: Unifying Gradient Utilization, Probability Mass, and Signal Reliability for Robust and Sample-Efficient LLM Reasoning
[NO] 103/1694 | Light-Activated Self-thermophoretic Janus Nanopropellers
[NO] 104/1694 | Learning to Stay Safe: Adaptive Regularization Against Safety Degradation during Fine-Tuning
[NO] 105/1694 | genriesz: A Python Package for Automatic Debiased Machine Learning with Generalized Riesz Regression
[NO] 106/1694 | Parity-Doublet Coherence Times in Optically Trapped Polyatomic Molecules
[NO] 107/1694 | Provably Explaining Neural Additive Models
[NO] 108/1694 | RA-Nav: A Risk-Aware Navigation System Based on Semantic Segmentation for Aerial Robots in Unpredictable Environments
[NO] 109/1694 | A Kinetic Route to Helicity-Constrained Decay
[NO] 110/1694 | Bridging the Domain Divide: Supervised vs. Zero-Shot Clinical Section Segmentation from MIMIC-III to Obstetrics
[NO] 111/1694 | High Order semi-implicit Rosenbrock type and Multistep methods for evolutionary partial differential equations with higher order derivatives
[NO] 112/1694 | Robust Adaptive Sliding-Mode Control for Damaged Fixed-Wing UAVs
[NO] 113/1694 | An extension to reversible jump Markov chain Monte Carlo for change point problems with heterogeneous temporal dynamics
[NO] 114/1694 | Proximal powered knee placement: a case study
[NO] 115/1694 | Phase transitions in quasi-Hermitian quantum models at exceptional points of order four
[NO] 116/1694 | Prediction of room-temperature two-dimensional $π$-electron half-metallic ferrimagnets
[NO] 117/1694 | Linear Convergence in Games with Delayed Feedback via Extra Prediction
[NO] 118/1694 | On the three space property for $C(K)$-spaces
[NO] 119/1694 | QuPAINT: Physics-Aware Instruction Tuning Approach to Quantum Material Discovery
[NO] 120/1694 | A Cost-Effective and Climate-Resilient Air Pressure System for Rain Effect Reduction on Automated Vehicle Cameras
[NO] 121/1694 | Support Recovery and $\ell_2$-Error Bound for Sparse Regression with Quadratic Measurements via Weakly-Convex-Concave Regularization
[NO] 122/1694 | Neutral Scalar Signatures at a Muon Collider in the $Z_3$ symmetric Three Higgs Doublet Model
[NO] 123/1694 | Design of low-energy transfers in cislunar space using sequences of lobe dynamics
[NO] 124/1694 | A Programmable Linear Optical Quantum Reservoir with Measurement Feedback for Time Series Analysis
[NO] 125/1694 | Global bifurcations and basin geometry of the nonlinear non-Hermitian skin effect
[NO] 126/1694 | Fault-tolerant preparation of arbitrary logical states in the cat code
[NO] 127/1694 | Organic molecules as single-photon sources
[NO] 128/1694 | Renormalization group flow of $O(N)^3$-invariant general sextic tensor model
[NO] 129/1694 | Uniform Set Systems with Uniform Witnesses
[NO] 130/1694 | Stockmayer Fluid with a Shifted Dipole: Bulk Behavior
[NO] 131/1694 | Boosting the Performance of a Lipkin-Meshkov-Glick Quantum Battery via Symmetry-Breaking Quenches and Bosonic Baths
[NO] 132/1694 | Asymptotically Optimal Sequential Testing with Markovian Data
[NO] 133/1694 | Chiral phonons in sixfold chiral CrSi$_2$: Raman spectroscopy and first-principles calculations
[NO] 134/1694 | RFEval: Benchmarking Reasoning Faithfulness under Counterfactual Reasoning Intervention in Large Reasoning Models
[NO] 135/1694 | Chiral symmetry restoration effects onto the meson spectrum from a Dyson-Schwinger/Bethe-Salpeter approach
[NO] 136/1694 | Beyond the Wisdom of the Crowd: How Network Topology Distorts Collective Perception
[NO] 137/1694 | Pauli Correlation Encoding for Budget-Contraint Optimization
[NO] 138/1694 | SpectralGCD: Spectral Concept Selection and Cross-modal Representation Learning for Generalized Category Discovery
[NO] 139/1694 | Non-Trivial Zero-Knowledge Implies One-Way Functions
[NO] 140/1694 | Pushing the Frontier of Black-Box LVLM Attacks via Fine-Grained Detail Targeting
[NO] 141/1694 | FAMOSE: A ReAct Approach to Automated Feature Discovery
[NO] 142/1694 | huff: A Python package for Market Area Analysis
[YES] 143/1694 | What Makes a Good LLM Agent for Real-world Penetration Testing?
[NO] 144/1694 | Guarding the Middle: Protecting Intermediate Representations in Federated Split Learning
[NO] 145/1694 | Power weight inequalities for spherical maximal functions
[NO] 146/1694 | Device-Centric ISAC for Exposure Control via Opportunistic Virtual Aperture Sensing
[NO] 147/1694 | Towards Anytime-Valid Statistical Watermarking
[NO] 148/1694 | The Cascade Equivalence Hypothesis: When Do Speech LLMs Behave Like ASR$\rightarrow$LLM Pipelines?
[NO] 149/1694 | Conditional Flow Matching for Continuous Anomaly Detection in Autonomous Driving on a Manifold-Aware Spectral Space
[NO] 150/1694 | Canonicalizing Multimodal Contrastive Representation Learning
[NO] 151/1694 | Simultaneous Blackwell Approachability and Applications to Multiclass Omniprediction
[NO] 152/1694 | Subluminal and superluminal velocities of free-space photons
[NO] 153/1694 | FR-GESTURE: An RGBD Dataset For Gesture-based Human-Robot Interaction In First Responder Operations
[NO] 154/1694 | Efficiency of classical simulations of a noisy Grover algorithm
[NO] 155/1694 | Interstellar Formation of Thioethanal (CH$_{3}$CHS). Gas-Phase and Ice-Surface Mechanisms involving Secondary Sulfur Products
[NO] 156/1694 | Evaluating Chain-of-Thought Reasoning through Reusability and Verifiability
[NO] 157/1694 | Densely-packed particle raft at vertically vibrated air-water interface
[NO] 158/1694 | HAP Networks for the Future: Applications in Sensing, Computing, and Communication
[YES] 159/1694 | Enhancing Large Language Models (LLMs) for Telecom using Dynamic Knowledge Graphs and Explainable Retrieval-Augmented Generation
[NO] 160/1694 | Interpretable Machine Learning of Nanoparticle Stability through Topological Layer Embeddings
[NO] 161/1694 | The Anxiety of Influence: Bloom Filters in Transformer Attention Heads
[YES] 162/1694 | When Models Ignore Definitions: Measuring Semantic Override Hallucinations in LLM Reasoning
[NO] 163/1694 | A Phase Description of Mutually Coupled Chaotic Oscillators
[NO] 164/1694 | Dodging the Moose: Experimental Insights in Real-Life Automated Collision Avoidance
[NO] 165/1694 | LORA-CRAFT: Cross-layer Rank Adaptation via Frozen Tucker Decomposition of Pre-trained Attention Weights
[NO] 166/1694 | Measurement of event shape variables using charged particles inside jets in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[NO] 167/1694 | Proton transfer and hydronium formation in ionized water
[NO] 168/1694 | A Lower Bound for the First Non-zero Basic Eigenvalue on a Singular Riemannian Foliation
[NO] 169/1694 | Towards a Software Reference Architecture for Natural Language Processing Tools in Requirements Engineering
[NO] 170/1694 | Learning with Boolean threshold functions
[NO] 171/1694 | A variational multi-phase model for elastoplastic materials with microstructure evolution
[NO] 172/1694 | Tracing Copied Pixels and Regularizing Patch Affinity in Copy Detection
[YES] 173/1694 | ShadAR: LLM-driven shader generation to transform visual perception in Augmented Reality
[NO] 174/1694 | Small LLMs for Medical NLP: a Systematic Analysis of Few-Shot, Constraint Decoding, Fine-Tuning and Continual Pre-Training in Italian
[NO] 175/1694 | Auditing Reciprocal Sentiment Alignment: Inversion Risk, Dialect Representation and Intent Misalignment in Transformers
[NO] 176/1694 | Single-Photon Motion in a Two-Dimensional Plane: Confinement and Boundary Escape
[YES] 177/1694 | Privacy in Theory, Bugs in Practice: Grey-Box Auditing of Differential Privacy Libraries
[NO] 178/1694 | Jolt Atlas: Verifiable Inference via Lookup Arguments in Zero Knowledge
[NO] 179/1694 | AIDG: Evaluating Asymmetry Between Information Extraction and Containment in Multi-Turn Dialogue
[NO] 180/1694 | Fine-Grained Uncertainty Quantification for Long-Form Language Model Outputs: A Comparative Study
[NO] 181/1694 | Evaluating Extremely Low-Resource Machine Translation: A Comparative Study of ChrF++ and BLEU Metrics
[NO] 182/1694 | 3D-printed Soft Optical sensor with a Lens (SOLen) for light guidance in mechanosensing
[NO] 183/1694 | Hartree shift and pairing gap in ultracold Fermi gases in the framework of low-momentum interactions
[NO] 184/1694 | How Molecular Motors' Interaction Shapes Flagellar Beat and Its Fluctuations
[NO] 185/1694 | CC-G2PnP: Streaming Grapheme-to-Phoneme and prosody with Conformer-CTC for unsegmented languages
[NO] 186/1694 | ARCANE: Scalable high-degree cubature formulae for simulating SDEs without Monte Carlo error
[NO] 187/1694 | Anderson localization for 1-d quasi-periodic Schrödinger operators with degenerate weights
[NO] 188/1694 | The realization problem of essential surfaces in knot exteriors
[NO] 189/1694 | Adjoint-based gradient methods for inverse design in a multiple fragmentation model
[NO] 190/1694 | The Emergence of Lab-Driven Alignment Signatures: A Psychometric Framework for Auditing Latent Bias and Compounding Risk in Generative AI
[NO] 191/1694 | Decoding the near-threshold $X_{0,\,1}(4140)$ and $X_{1}(4685)$ states via OZI-suppressed coupled-channel scattering
[NO] 192/1694 | i-PhysGaussian: Implicit Physical Simulation for 3D Gaussian Splatting
[NO] 193/1694 | Instructor-Aligned Knowledge Graphs for Personalized Learning
[NO] 194/1694 | Projective Psychological Assessment of Large Multimodal Models Using Thematic Apperception Tests
[NO] 195/1694 | Elucidating Na$_2$KSb band structure: near-band-gap photoemission spectroscopy and DFT calculations
[NO] 196/1694 | Multiple Index Merge for Approximate Nearest Neighbor Search
[NO] 197/1694 | Deep Reinforcement Learning for Optimal Portfolio Allocation: A Comparative Study with Mean-Variance Optimization
[NO] 198/1694 | AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing
[NO] 199/1694 | Data-driven sequential analysis of tipping in high-dimensional complex systems
[NO] 200/1694 | A Locality Radius Framework for Understanding Relational Inductive Bias in Database Learning
[NO] 201/1694 | Dynamic Decision-Making under Model Misspecification: A Stochastic Stability Approach
[NO] 202/1694 | Environmental policy in the context of complex systems: Statistical optimization and sensitivity analysis for ABMs
[NO] 203/1694 | Graph distance and effective resistance of the four-dimensional random walk trace
[NO] 204/1694 | StoryLensEdu: Personalized Learning Report Generation through Narrative-Driven Multi-Agent Systems
[NO] 205/1694 | Retaining Suboptimal Actions to Follow Shifting Optima in Multi-Agent Reinforcement Learning
[NO] 206/1694 | Full-Field Metasurface Characterization with Polarization Sensitive Coherent Modulation Imaging
[NO] 207/1694 | A Long-term Value Prediction Framework In Video Ranking
[NO] 208/1694 | Role of atomic vacancies and second-neighbor antiferromagnetic-exchange coupling in a ferromagnetic nanoparticle
[NO] 209/1694 | Decoupled Internal Energy Regulation and Inertial Response Provision for Grid-Forming Multilevel-Converter-Based E-STATCOMs
