[2025-12-17 09:16:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-16
正在获取论文...
[arXiv] 2025-12-16 | Broadening View Synthesis of Dynamic Scenes from Constrained Monocular Videos
[ACM] 2025-12-16 | Analysis and Visualization of User Behavior of Short Video Platform Games
[ACM] 2025-12-16 | Application of IoT and Big Data in Coastal Ecosystem Governance: Evidence from Hainan MPAs
[IEEE] 2025-12-16 | A Miniaturized Ultrawideband Electric Probe with High Resolution
[IEEE] 2025-12-16 | Numerical Analysis of GAN HEMT Irradiation Effects Based on Physics-Based Compact Model
[IEEE] 2025-12-16 | Compact Filtering Power Divider with Independently Controllable Cutoff Frequencies
[IEEE] 2025-12-16 | Binocular Visual Depth Estimation Algorithm Based on SGBM-YOLO
[IEEE] 2025-12-16 | Switchable Passband Active Frequency Selective Surface
[IEEE] 2025-12-16 | Interpretable Reduced-Dimensional Neural Space Mapping for Microwave Filter Inverse Modeling
[IEEE] 2025-12-16 | On-Chip Bandpass Filter Based on Spoof Surface Plasmon Polaritons with GaAs Substrate for Millimeter-Wave Applications
[IEEE] 2025-12-16 | Linearity Optimization of Pin Diode-Based Radio Frequency Switch Topology
[IEEE] 2025-12-16 | The Hidden Dangers of “Objective” Technologies: An Analysis Through Time
[IEEE] 2025-12-16 | Melody and Motion: Integrating Guitar Gestures with Musical Patterns for Extended Control in Live Performance and Metaverse Applications
[IEEE] 2025-12-16 | Performance Analysis of Terahertz Multi-Sheet Beam Folded Waveguide TWTs Under Nonuniform Conditions
[IEEE] 2025-12-16 | Optimising Embedded Neural Network Inference in Smart Traps for Fruit Pest Detection via Quantization-Aware Training and FPGA Acceleration
[IEEE] 2025-12-16 | 2025 4th International Conference on Artificial Intelligence and Computer Information Technology (AICIT)
[IEEE] 2025-12-16 | Discrete Adapted Artificial Protozoa Optimizer for Path Planning
[IEEE] 2025-12-16 | Sentiment Analysis on Customer's Interest in Social Commerce Using Support Vector Machine (SVM)
[IEEE] 2025-12-16 | POSTER: IRISX: A Dynamic Trade-off System for Performance Portability on Multi-Accelerator Platforms
[IEEE] 2025-12-16 | IC2IE 2025 Cover Page
[IEEE] 2025-12-16 | A high-precision measurement method for large space workpieces
[IEEE] 2025-12-16 | An Adaptive ADMM Method for Distributed DC Optimal Power Flow
[IEEE] 2025-12-16 | ScaleMoE: A Fast and Scalable Distributed Training Framework for Large-Scale Mixture-of-Experts Models
[IEEE] 2025-12-16 | Slow Wave Half-Mode Substrate Integrated Transmission Line Based on Microstrip Polyline Double-Layer Patterning
[IEEE] 2025-12-16 | A Miniaturized Stacked Patch Antenna Design Based on LTCC Technology
[IEEE] 2025-12-16 | Development of an Automated Essay Scoring (AES) System for Writing Detection and Evaluation using Natural Language Processing (NLP)
[IEEE] 2025-12-16 | Keynotes
[IEEE] 2025-12-16 | Research on Target Recognition and Localization Technology for Unmanned Autonomous Flying Boom Aerial Refueling
[ACM] 2025-12-16 | Algorithm xxx: EDOLAB, a Platform for Research and Education in Evolutionary Dynamic Optimization
[IEEE] 2025-12-16 | Streamlined Circuit Design: Cost–Effective Solutions Using Nuvoton Microcontrollers
[IEEE] 2025-12-16 | Malware in Motion: Taxonomy and Trends in Network Traffic Analysis
[IEEE] 2025-12-16 | Multimetric Evaluation of LLMs on Major Indian Language Translation Tasks
[IEEE] 2025-12-16 | Application of MQTT Protocol to Visualize the Behavior of Autonomous Vehicle in a Virtual Environment
[IEEE] 2025-12-16 | Machine Learning Applications for Classification and Detection of Cybercrime: Performance Analysis of Three Models
[IEEE] 2025-12-16 | Inertia Estimation for Power System Based on Feature Identification and Model Tuning
[IEEE] 2025-12-16 | AI-Powered Offline Voice Assistant for Rural Communities
[IEEE] 2025-12-16 | AI-Driven Real-Time Wind Speed Prediction using LSTM Optimized with Chaos Game Optimization
[IEEE] 2025-12-16 | Corn Leaf Disease Detection using VGG-16
[IEEE] 2025-12-16 | Research on Low-Speed Operation Strategy for Permanent Magnet Synchronous Motors Using an Active Flux Observer with a LADRC Speed Loop
[IEEE] 2025-12-16 | Big Data Learning for Forecasting and Reducing Energy Consumption in Mobile Communication Systems
[IEEE] 2025-12-16 | Quantitative Effect of Sawing-Line Width on QFN Thermal Deformation
[IEEE] 2025-12-16 | CNN-CNN Methodology for Fault Assessment and Categorization in an Active Distribution System Integrated with Distributed Generations
[IEEE] 2025-12-16 | Bratayuda: A Multisensor Smart Bra for Breast Cancer Detection and Monitoring using Biometric Variation Analysis and Hybrid CNN-GRU
[IEEE] 2025-12-16 | RI2C 2025 Commentary
[IEEE] 2025-12-16 | WELCOME MESSAGE
[IEEE] 2025-12-16 | Low-Loss Reconfigurable Intelligent Surface Design Based on the Grey Wolf Optimizer
[IEEE] 2025-12-16 | Enhanced Facial Palsy Detection Through Deep Convolutional Neural Networks
[IEEE] 2025-12-16 | Hydraulic Pressure Control of Master Cylinder in Fully Decoupled Electro-Hydraulic Braking System
[IEEE] 2025-12-16 | Environment-Coupled Power Grid Vulnerability Assessment Model for Earthquakes and Storms
[IEEE] 2025-12-16 | Enhancing Banking Security Using Blockchain with Random Forest and Autoencoder Networks
[IEEE] 2025-12-16 | Counterfactual Explanations for Enhanced Interpretability in Cross-Site Scripting (XSS) Detection
[IEEE] 2025-12-16 | Ghost-YOLOv5 Enhanced Visual SLAM for Dynamic AR Environments
[IEEE] 2025-12-16 | AlphaNAS: Efficient Architecture Search for Large Language Models
[IEEE] 2025-12-16 | Deep Learning-based Visual Recognition for Real-Time Webcam Applications
[IEEE] 2025-12-16 | Automated Skin Cancer Detection and Risk Prediction using ResNet50
[IEEE] 2025-12-16 | Precision Farming Redefined: IoT-Enabled Soil Monitoring and Machine Learning Approaches for Crop Recommendations
[IEEE] 2025-12-16 | Automatic Microsleep Detection System Based on Eye Aspect Ratio Images
[IEEE] 2025-12-16 | BERT-based Transfer Learning for Two-Class Sentiment Detection in Indonesian X apps Comments
[IEEE] 2025-12-16 | Anomaly Detection in Network Traffic
[IEEE] 2025-12-16 | Optimized Energy-Efficient IoT Healthcare Systems Using Hierarchical Deep Reinforcement Learning
[IEEE] 2025-12-16 | Mdff-Net: A Multi-Domain Feature-Fusion Network for Robust Deepfake Video Detection
[IEEE] 2025-12-16 | A Federated Learning Framework for Privacy-Preserving Heart Stroke Prediction in Distributed Healthcare Systems
[IEEE] 2025-12-16 | Comprehensive Models and Techniques for Processing Image, Text, Time Series, and Graph Data
[IEEE] 2025-12-16 | Data-Driven Prediction of Football Player Positions Using Gradient Boosting Ensemble Models
[IEEE] 2025-12-16 | Safety and Security Management System Utilizing Facial Recognition, Deep Convolutional Neural Network (DCNN)
[IEEE] 2025-12-16 | Hybrid Deep Learning Framework for Accurate Skin Cancer Classification Using VGG-19 and Inception-Based Feature
[IEEE] 2025-12-16 | Cloud-Based Business Intelligence with AutoML for Financial Risk Management, Budget Optimization, and Accounting Simulations Using Cloudsim
[IEEE] 2025-12-16 | DEMOcon 2025 Cover Page
[IEEE] 2025-12-16 | The Reduction of Energy Consumption in EVs by Using Sliding Mode Control of PMSM coupled with Planetary Gear in Transmission System
[IEEE] 2025-12-16 | Crowding Mechanism-Based GA-PTS Technique for PAPR Suppression in OFDM Systems
[IEEE] 2025-12-16 | PELC: Power-Efficient and Low-Cost IoT-Based Real Time Operating System Enabled Solution For Biodiversity Application
[IEEE] 2025-12-16 | Polyglot Persistence in Microservices: Managing Data Diversity in Distributed Systems
[IEEE] 2025-12-16 | EffiSwin - Cross-Attention Based EfficientNet-Swin Transformer for Fine-Grained Food Classification
[IEEE] 2025-12-16 | Correlation-Driven Smart Monitoring for Legacy Filling Machines
[IEEE] 2025-12-16 | A CLAHE-MIRNet-YOLOv5 Pipeline for Vehicle Detection in Night Vision Surveillance
[IEEE] 2025-12-16 | Cloud-Edge Collaborative Learning: Real-Time IoT Data Processing with GoLang Microservices for Agriculture
[IEEE] 2025-12-16 | UAV Based Real-time Accident Detection using Machine Learning and Edge AI Devices
[IEEE] 2025-12-16 | Program Committee
[IEEE] 2025-12-16 | Cancer Detection Using MobileNet and CNN Models for Identification of Skin Diseases Using Deep Learning Technology
[IEEE] 2025-12-16 | RI2C 2025 Committees
[IEEE] 2025-12-16 | International Advisory Board
[ACM] 2025-12-17 | Artificial Intelligence Application, Technological Innovation, and Digital Service Trade Network
[ACM] 2025-12-17 | Bibliometric Analysis of Research Trends and Knowledge Structure of Machine Learning Applications in Drought Prediction
[ACM] 2025-12-16 | Guardians of the Agents
[ACM] 2025-12-17 | Study on Key Factors Affecting the Impact of Online Gaming Experience on Occupational Recovery Experience: Insights from Moderating Analysis and Machine Learning
[ACM] 2025-12-16 | Research on Plant Recognition and Classification of Mangrove Wetland in Haikou City Based on Convolutional Neural Network
[ACM] 2025-12-17 | Flight delay prediction model with soft decision tree based on Multi-View clustering
[ACM] 2025-12-17 | Research on Patent Navigation in the Special Equipment Field Based on LLM Tools
[IEEE] 2025-12-16 | Nearfield Phase-Free Retrieval Based on Source Reconstruction with Grey Wolf Optimizer-Adaptive Differential Evolution Algorithm
[IEEE] 2025-12-16 | The Role of Technology Museums in Preserving and Exhibiting Objects of Technological History and their impact on Society
[IEEE] 2025-12-16 | Attention-Augmented BiLSTM with Ensemble Learning for Fault Diagnosis in Industrial Processes
[IEEE] 2025-12-16 | Hera: A Heterogeneity-Aware Multi-Tenant Inference Server for Personalized Recommendations
[IEEE] 2025-12-16 | Robust Data-Driven QFT Synthesis in the Presence of High Uncertainty
[IEEE] 2025-12-16 | CPC: Coordinated Page Cache for Serverless Computing
[IEEE] 2025-12-16 | Investigation on AI-Powered Digital Health in Parkinson's Disease Diagnosis
[IEEE] 2025-12-16 | Mountain Antennas - Climax and Farewell of Commercial VLF Technology
[IEEE] 2025-12-16 | A Decoupled VR and Real-time Audio System for Distributed Musical Collaboration
[IEEE] 2025-12-16 | Comparing Singing Lessons in Mixed Reality, Video, and In-Person
[IEEE] 2025-12-16 | Effect of Dataset Quantity and Feature Variability on Machine Learning Performance for ECG-Based Diabetes Prediction
[IEEE] 2025-12-16 | Multi-level Architecture for IoT-based Android Ransomware Detection and Family Attribution
[IEEE] 2025-12-16 | Influence of Moisture Content on the Complex Refractive Index of Ceramics
[IEEE] 2025-12-16 | A Circularly Polarized Coplanar Antenna Using Spoof Surface Plasmons
[IEEE] 2025-12-16 | Harmonic Control Class Based on 0.25-μm GaAs pHEMT Process Wideband High Efficiency Power Amplifier Design
[IEEE] 2025-12-16 | High Power Continuous Wave Measurement Based on a Four-Way Power Divider
[IEEE] 2025-12-16 | A 160GHz wideband LNA with Dual-Peak-Gmax Cores in 40nm CMOS for 6G Applications
[IEEE] 2025-12-16 | Preliminary Studies on Radially Resonant Bent Sensing Textile Circular Sector Microstrip Patch Antenna
[IEEE] 2025-12-16 | Uav Air-Ground Terahertz Channel Characterization in Urban Environments
[IEEE] 2025-12-16 | Connecting MIDI Interfaces to the Musical Metaverse
[IEEE] 2025-12-16 | ConsistencyDrive: Efficient End-to-End Autonomous Driving with Consistency Models
[IEEE] 2025-12-16 | Design of All Dielectric Metasurface Absorber Based on High Permittivity Ceramics
[IEEE] 2025-12-16 | Deep Learning Assisted Inverse Design of Parameters for Liquid Crystal Reconfigurable Coded Metasurface Units
[IEEE] 2025-12-16 | SBESC 2025 Organizing Committees
[IEEE] 2025-12-16 | Flexible Wrapper for Ensemble Machine Learning Trees Targeting High-Performance HBM-FPGAs
[IEEE] 2025-12-16 | MuMeNet: A Network Simulator for Musical Metaverse Communications
[IEEE] 2025-12-16 | Multimodal Input Fusion Network for Pediatric CT Denoising: Cross-Attention Between CT and Iodine Maps
[IEEE] 2025-12-16 | The Flexible Antenna with Reconfigurability Characteristics for Military Applications
[IEEE] 2025-12-16 | Robust State-of-Health Estimation in Second-Life Li-Ion Batteries Using Ensemble Learning and Noise-Injected Training
[IEEE] 2025-12-16 | Front Cover
[IEEE] 2025-12-16 | Copyright Page
[IEEE] 2025-12-16 | A Novel Residual Self-Attention Deep Architecture for Mpox Classification Using Dermoscopic Images
[IEEE] 2025-12-16 | Warpage Resistance of Glass Substrate Containing Through-Glass-Vias: A Numerical Analysis
[IEEE] 2025-12-16 | A Gesture Recognition Method of Surface Electromyography Signal Based on Dual-View Fusion Network
[IEEE] 2025-12-16 | Overview of mmWave Radar and Antenna Advances in Contactless Vital Signs Monitoring
[IEEE] 2025-12-16 | ANG: Accelerating NFA processing on GPUs via Exploring Multi-Level Fine-Grained Parallelism
[IEEE] 2025-12-16 | A Y-Band Ultra-Wideband Branch Waveguide Coupler Design Based on Rectangular Waveguides
[IEEE] 2025-12-16 | Reviewers
[ACM] 2025-12-17 | Dynamic Evolution Analysis of Rural Clusters by Fusing Multi-modal Data and Knowledge Graphs
共写入 1736 条记录，保存到 papers/paper2025-12-16.json。
论文获取成功，文件路径: papers/paper2025-12-16.json
正在筛选、翻译并发送邮件...
[NO] 1/1736 | Broadening View Synthesis of Dynamic Scenes from Constrained Monocular Videos
[NO] 2/1736 | From Atomic Defects to Integrated Photonics: A Perspective on Solid-State Quantum Light Sources
[NO] 3/1736 | Exceptional Excitons
[NO] 4/1736 | Geometric quantum thermodynamics: A fibre bundle approach
[NO] 5/1736 | Design and Evaluation of a PMT High-Voltage system for Deepsea Neutrino Telescope
[YES] 6/1736 | Lost in the Pages: WebAssembly Code Recovery through SEV-SNP's Exposed Address Space
[NO] 7/1736 | Hydrodynamic liquid crystal models for lipid bilayers
[NO] 8/1736 | Measurements of the branching fractions of $χ_{cJ}\to φφη, φφη^{\prime}$ and $φK^+K^-η$
[NO] 9/1736 | Unified Semantic Transformer for 3D Scene Understanding
[NO] 10/1736 | User Localization and Channel Estimation for Pinching-Antenna Systems (PASS)
[NO] 11/1736 | Dimension theory of inhomogeneous Diophantine approximation with matrix sequences
[NO] 12/1736 | Field evaluation and optimization of a lightweight lidar-based UAV navigation system for dense boreal forest environments
[NO] 13/1736 | Implicit Bias and Invariance: How Hopfield Networks Efficiently Learn Graph Orbits
[NO] 14/1736 | Dual Attention Guided Defense Against Malicious Edits
[NO] 15/1736 | PADE: A Predictor-Free Sparse Attention Accelerator via Unified Execution and Stage Fusion
[NO] 16/1736 | Multi-Agent Medical Decision Consensus Matrix System: An Intelligent Collaborative Framework for Oncology MDT Consultations
[NO] 17/1736 | Another 100 Years of Quantum Interpretation?
[NO] 18/1736 | Pressure-induced hole delocalization in the strongly correlated quasicubic charge-transfer perovskite $LaBa_2Fe_3O_{8+δ}$d
[NO] 19/1736 | Comparative study between low and high energy SOHO/ERNE protons in solar cycle 23
[NO] 20/1736 | The Role of Employment Flexibility in Enhancing the Competitiveness of Temporary Staffing Service Providers in Poland
[NO] 21/1736 | Worldwide Scientific Landscape on Fires in Photovoltaic
[NO] 22/1736 | Edge-coloring 4- and 5-regular projective planar graphs with no Petersen-minor
[NO] 23/1736 | Isotropic Dirac fermion and anomalous oscillator strength of zeroth Landau level transition
[NO] 24/1736 | Five lectures on regularity structures and SPDEs
[NO] 25/1736 | On the Renormalization Group in EFTs: On-Shell Bases, Ambiguities, and Divergences
[YES] 26/1736 | TEMP: A Memory Efficient Physical-aware Tensor Partition-Mapping Framework on Wafer-scale Chips
[NO] 27/1736 | Hyperdefinability of the Lie model for approximate subgroups
[NO] 28/1736 | Complete Wetting and Drying at Sinusoidal Walls
[NO] 29/1736 | A note on spherical algebras
[YES] 30/1736 | Estimating problem difficulty without ground truth using Large Language Model comparisons
[NO] 31/1736 | Analysis of a finite element method for second order uniformly elliptic PDEs in non-divergence form
[NO] 32/1736 | DRAW2ACT: Turning Depth-Encoded Trajectories into Robotic Demonstration Videos
[NO] 33/1736 | Acoustic phonon softening and lattice instability driven by on-site $f$-$d$ hybridization in CeCoSi
[NO] 34/1736 | Exploring Cosmic Dawn with PANORAMIC II: Cosmic Variance and Galaxy Clustering at $z\sim10$
[NO] 35/1736 | Cosmic Lockdown: When Decoherence Saves the Universe from Tunneling
[NO] 36/1736 | Fermi-LAT detections of novae V1723 Sco and V6598 Sgr
[NO] 37/1736 | Polygon Containment and Translational Min-Hausdorff-Distance between Segment Sets are 3SUM-Hard
[NO] 38/1736 | Notions of simple type for Bauer--Furuta invariants
[NO] 39/1736 | Spherical Voronoi: Directional Appearance as a Differentiable Partition of the Sphere
[NO] 40/1736 | Kernel Sheaf on Integral Nodal Curves
[NO] 41/1736 | FastDDHPose: Towards Unified, Efficient, and Disentangled 3D Human Pose Estimation
[NO] 42/1736 | Complex Langevin simulations with a kernel
[NO] 43/1736 | On finite local approximations of isometric actions of residually finite groups
[NO] 44/1736 | Astraea: A State-Aware Scheduling Engine for LLM-Powered Agents
[NO] 45/1736 | Antenna Coding Optimization Based on Pixel Antennas for MIMO Wireless Power Transfer with DC Combining
[NO] 46/1736 | Sources and Nonlinearity of High Volume Return Premium: An Empirical Study on the Differential Effects of Investor Identity versus Trading Intensity (2020-2024)
[NO] 47/1736 | AnimaMimic: Imitating 3D Animation from Video Priors
[NO] 48/1736 | MFE-GAN: Efficient GAN-based Framework for Document Image Enhancement and Binarization with Multi-scale Feature Extraction
[NO] 49/1736 | Interactive Motion Planning for Human-Robot Collaboration Based on Human-Centric Configuration Space Ergonomic Field
[NO] 50/1736 | Any Light Particle Searches with ALPS II: first science results
[NO] 51/1736 | Muon Knight shift as a precise probe of the superconducting symmetry of Sr$_2$RuO$_4$
[NO] 52/1736 | The Impact Market to Save Conference Peer Review: Decoupling Dissemination and Credentialing
[NO] 53/1736 | ViewMask-1-to-3: Multi-View Consistent Image Generation via Multimodal Diffusion Models
[NO] 54/1736 | The Nucleon Axial Form Factor from Elementary Target Data
[NO] 55/1736 | ProtoFlow: Interpretable and Robust Surgical Workflow Modeling with Learned Dynamic Scene Graph Prototypes
[YES] 56/1736 | Improved diffusive approximation of Markov jump processes close to equilibrium
[NO] 57/1736 | On twisting functions in twisted cartesian products and twisted tensor products
[NO] 58/1736 | Scalable Frameworks for Real-World Audio-Visual Speech Recognition
[NO] 59/1736 | Explicit Rephasing to PDG Standard Form and Origin of CP-Violating Phases
[NO] 60/1736 | Complete weight enumerators and weight hierarchies for linear codes from quadratic forms
[NO] 61/1736 | Efficient-DLM: From Autoregressive to Diffusion Language Models, and Beyond in Speed
[NO] 62/1736 | Chiral gravitational waves from domain walls in Nieh-Yan gravity
[NO] 63/1736 | Context Representation via Action-Free Transformer encoder-decoder for Meta Reinforcement Learning
[NO] 64/1736 | FacEDiT: Unified Talking Face Editing and Generation via Facial Motion Infilling
[NO] 65/1736 | Cooperative Rotatable IRSs for Wireless Communications: Joint Beamforming and Orientation Optimization
[NO] 66/1736 | Liquid Handling of the JUNO Experiment
[NO] 67/1736 | A Formal Analogue of Euler's Formula for Infinite Planar Regular Graphs
[NO] 68/1736 | Multivariate Time Series Forecasting with Hybrid Euclidean-SPD Manifold Graph Neural Networks
[NO] 69/1736 | Concentration of the truncated variation of fractional Brownian motions of any Hurst index, their $1/H$-variations and local times
[NO] 70/1736 | Hierarchical Deep Reinforcement Learning for Robust Access in Cognitive IoT Networks under Smart Jamming Attacks
[NO] 71/1736 | Physics-Informed Machine Learning for Two-Phase Moving-Interface and Stefan Problems
[NO] 72/1736 | Scaling solutions for gauge invariant flow equations in dilaton quantum gravity
[NO] 73/1736 | Sparse-LaViDa: Sparse Multimodal Discrete Diffusion Language Models
[NO] 74/1736 | Perplex Analysis and Geometry of Singularities
[NO] 75/1736 | Memo2496: Expert-Annotated Dataset and Dual-View Adaptive Framework for Music Emotion Recognition
[NO] 76/1736 | Volume Formulae for the Convex Hull of the Graph of a Trilinear Monomial: A Complete Characterization for General Box Domains
[NO] 77/1736 | WaveSim: A Wavelet-based Multi-scale Similarity Metric for Weather and Climate Fields
[NO] 78/1736 | Robust Training of Singing Voice Synthesis Using Prior and Posterior Uncertainty
[NO] 79/1736 | Radio emission in star-forming galaxies: connection to restarted or relic AGN activity
[NO] 80/1736 | A Multicenter Benchmark of Multiple Instance Learning Models for Lymphoma Subtyping from HE-stained Whole Slide Images
[NO] 81/1736 | Beyond Text-to-SQL: Autonomous Research-Driven Database Exploration with DAR
[NO] 82/1736 | ParaFormer: A Generalized PageRank Graph Transformer for Graph Representation Learning
[NO] 83/1736 | Estimating Program Participation with Partial Validation
[NO] 84/1736 | Self-adaptive physics-informed neural network for forward and inverse problems in heterogeneous porous flow
[NO] 85/1736 | LLmFPCA-detect: LLM-powered Multivariate Functional PCA for Anomaly Detection in Sparse Longitudinal Texts
[NO] 86/1736 | Detection of Image Potential States above the vacuum level in GeTe
[NO] 87/1736 | Probing hadronic interactions at the 100 TeV scale with the Pierre Auger Observatory
[NO] 88/1736 | Inverse obstacle scattering regularized by the tangent-point energy
[NO] 89/1736 | S-Duality and Categorical Gauge Theory
[NO] 90/1736 | Computation and analysis of global solution curves for super-critical equations
[NO] 91/1736 | Cluster expansion of the log-likelihood ratio: Optimal detection of planted matchings
[NO] 92/1736 | Counterfactual Explanations for Time Series Should be Human-Centered and Temporally Coherent in Interventions
[NO] 93/1736 | PrivATE: Differentially Private Average Treatment Effect Estimation for Observational Data
[NO] 94/1736 | Fair sampling of ground-state configurations using hybrid quantum-classical MCMC algorithms
[NO] 95/1736 | Matching between Collinear Twist-3 and TMD Fragmentation Function Contributions to Polarized Hyperon Production in SIDIS
[NO] 96/1736 | Compact High-Efficiency All-Polarization Rectenna for Wireless Power Transmission
[NO] 97/1736 | Finite-Time Protocols Stabilize Charging in Noisy Ising Quantum Batteries
[NO] 98/1736 | The Innovation Null Space of the Kalman Predictor: A Stochastic Perspective for DeePC
[NO] 99/1736 | The stellar activity-rotation-age relationship under the lens of asteroseismology
[YES] 100/1736 | Relevant HAL Interface Requirements for Embedded Systems
[NO] 101/1736 | Two Bayesian Approaches to Dynamic Gaussian Bayesian Networks with Intra- and Inter-Slice Edges
[NO] 102/1736 | Pfaffian Systems, Cartan Connections, and the Null Surface Formulation of General Relativity
[YES] 103/1736 | C-ing Clearly: Enhanced Binary Code Explanations using C code
[NO] 104/1736 | SignIT: A Comprehensive Dataset and Multimodal Analysis for Italian Sign Language Recognition
[NO] 105/1736 | Hybrid Cognitive IoT with Cooperative Caching and SWIPT-EH: A Hierarchical Reinforcement Learning Framework
[NO] 106/1736 | A Compact Incubation Platform for Long-Term Cultivation of Biological Samples for Nitrogen-Vacancy Center Widefield Microscopy
[NO] 107/1736 | SASQ: Static Activation Scaling for Quantization-Aware Training in Large Language Models
[NO] 108/1736 | Influence of ion motion in a resonantly driven wakefield accelerator
[NO] 109/1736 | Sharp convergence rates for Spectral methods via the feature space decomposition method
[NO] 110/1736 | CTransformer: Deep-transformer-based 3D cell membrane tracking with subcellular-resolved molecular quantification
[NO] 111/1736 | Kinetic-Mamba: Mamba-Assisted Predictions of Stiff Chemical Kinetics
[NO] 112/1736 | A preconditioned second-order convex splitting algorithm with extrapolation
[NO] 113/1736 | The quest for Magrathea planets. II. Orbital stability of exoplanets formed around double white dwarfs
[NO] 114/1736 | Equivariant Observer for Bearing Estimation with Linear and Angular Velocity Inputs
[NO] 115/1736 | Adiabatic-Inspired Hybrid Quantum-Classical Methods for Molecular Ground State Preparation
[NO] 116/1736 | A sub-ppm upper limit on the cosmological variations of the fine structure constant alpha
[NO] 117/1736 | VICTOR: Dataset Copyright Auditing in Video Recognition Systems
[NO] 118/1736 | Parabolic free boundary phase transition and mean curvature flow
[NO] 119/1736 | Relaying Signal When Monitoring Traffic: Double Use of Aerial Vehicles Towards Intelligent Low-Altitude Networking
[NO] 120/1736 | Odyssey: An Automotive Lidar-Inertial Odometry Dataset for GNSS-denied situations
[NO] 121/1736 | DISCODE: Distribution-Aware Score Decoder for Robust Automatic Evaluation of Image Captioning
[NO] 122/1736 | A single-layer framework of variational tensor network states
[NO] 123/1736 | Pattern Recognition of Aluminium Arbitrage in Global Trade Data
[NO] 124/1736 | MMGR: Multi-Modal Generative Reasoning
[NO] 125/1736 | CHIP: Adaptive Compliance for Humanoid Control through Hindsight Perturbation
[NO] 126/1736 | Torsional Carroll Gravity
[NO] 127/1736 | Spoken DialogSum: An Emotion-Rich Conversational Dataset for Spoken Dialogue Summarization
[NO] 128/1736 | Cosmic Strings Gravitational Wave Probe of Leptogenesis: Thermal, Non-thermal, Near-resonant and Flavourful
[NO] 129/1736 | Early Warning Index for Patient Deteriorations in Hospitals
[NO] 130/1736 | VASA-3D: Lifelike Audio-Driven Gaussian Head Avatars from a Single Image
[NO] 131/1736 | Beyond Lipschitz Continuity and Monotonicity: Fractal and Chaotic Activation Functions in Echo State Networks
[NO] 132/1736 | Quasitopological gravity and double-copy formalism
[NO] 133/1736 | Clustering with Light (but Massive) Relics
[NO] 134/1736 | Configurable γ Photon Spectrometer to Enable Precision Radioguided Tumor Resection
[NO] 135/1736 | EVOLVE-VLA: Test-Time Training from Environment Feedback for Vision-Language-Action Models
[NO] 136/1736 | Enhancing Visual Sentiment Analysis via Semiotic Isotopy-Guided Dataset Construction
[NO] 137/1736 | Multiple Scale Methods For Optimization Of Discretized Continuous Functions
[NO] 138/1736 | ART: Articulated Reconstruction Transformer
[NO] 139/1736 | Stability conditions on products of curves and Hilbert schemes of surfaces
[NO] 140/1736 | Asymptotic Inference for Rank Correlations
[NO] 141/1736 | Signatures of local acceleration of quark-gluon plasma in the dilepton production
[NO] 142/1736 | Persistence probabilities of MA(1) sequences with Laplace innovations and $q$-deformed zigzag numbers
[NO] 143/1736 | Understanding and Improving Hyperbolic Deep Reinforcement Learning
[NO] 144/1736 | Generative Monte Carlo Sampling for Constant-Cost Particle Transport
[NO] 145/1736 | CIS-BA: Continuous Interaction Space Based Backdoor Attack for Object Detection in the Real-World
[NO] 146/1736 | Adaptive Cache Pollution Control for Large Language Model Inference Workloads Using Temporal CNN-Based Prediction and Priority-Aware Replacement
[NO] 147/1736 | Erasing CLIP Memories: Non-Destructive, Data-Free Zero-Shot class Unlearning in CLIP Models
[NO] 148/1736 | Fully Compensated Ferrimagnetic Properties of (Cr,Fe)S Compound with a Pyrrhotite-type Structure
[NO] 149/1736 | A new idea for relating the asymmetric dark matter mass scale to the proton mass
[NO] 150/1736 | Joint Multimodal Contrastive Learning for Robust Spoken Term Detection and Keyword Spotting
[NO] 151/1736 | Efficient Time-Resolved Pressure Estimation by Sparse Sensor Optimization and Non-Time-Resolved PIV
[NO] 152/1736 | A First-Order Logic-Based Alternative to Reward Models in RLHF
[NO] 153/1736 | Cornserve: Efficiently Serving Any-to-Any Multimodal Models
[NO] 154/1736 | Arithmetic-Intensity-Aware Quantization
[NO] 155/1736 | Multilingual and Continuous Backchannel Prediction: A Cross-lingual Study
[NO] 156/1736 | SonicMoE: Accelerating MoE with IO and Tile-aware Optimizations
[NO] 157/1736 | Seesaw of Saltwater and Inundation Drives Methane Emissions in Coastal Tidal Wetlands
[YES] 158/1736 | From Obfuscated to Obvious: A Comprehensive JavaScript Deobfuscation Tool for Security Analysis
[NO] 159/1736 | Real-time prediction of workplane illuminance distribution for daylight-linked controls using non-intrusive multimodal deep learning
[NO] 160/1736 | Substructure grooming of inclusive and photon-tagged jets in heavy-ion collisions
[NO] 161/1736 | SELECT: Detecting Label Errors in Real-world Scene Text Data
[NO] 162/1736 | DTRec: Learning Dynamic Reasoning Trajectories for Sequential Recommendation
[NO] 163/1736 | Confinement-Induced Nonlocality and Optical Nonlinearity of Transdimensional Titanium Nitride in the Epsilon-Near-Zero Region
[NO] 164/1736 | Unleashing the Power of Image-Tabular Self-Supervised Learning via Breaking Cross-Tabular Barriers
[NO] 165/1736 | Fast Test Inversion for Resampling Methods
[NO] 166/1736 | Self-sustained microcomb lasing in an integrated hybrid oscillator
[NO] 167/1736 | Real-Time Service Subscription and Adaptive Offloading Control in Vehicular Edge Computing
