[2026-03-10 09:31:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-09
正在获取论文...
[arXiv] 2026-03-09 | GOMA: Geometrically Optimal Mapping via Analytical Modeling for Spatial Accelerators
[ACM] 2026-3-9 | Qux360: A Validation Framework for Improving Reliability and Transparency of AI-Supported Qualitative Analysis
[ACM] 2026-3-9 | DEMO: Enhancing Museum Accessibility through an Integrated Conversational AI Agent
[ACM] 2026-3-9 | Evaluating Semantic and Perceptual Alignment in Multilingual Story Visualization
[ACM] 2026-3-9 | SFP-TFF: A Spatial-Frequency-Phase Tensor Fusion Framework for Semi-Supervised Medical Image Segmentation
[ACM] 2026-3-9 | AgentCraft: Workshop on Developing Trustworthy Agentic AI Systems
[ACM] 2026-3-9 | P2P: From Prompt to Prototype - Functional UI Design with LLMs and MCP
[ACM] 2026-3-9 | Session Summary Podcast: Session 14: Novel Interaction (AR/VR, Embodied)
[ACM] 2026-3-9 | Explainable AI for Dementia Detection Using EEG Microstates
[ACM] 2026-3-9 | fCrit: Towards an AI-Enabled Reflection-In-Action Interface for Furniture Design
[ACM] 2026-3-9 | Session Summary Podcast: Session 5: Workshop
[ACM] 2026-3-9 | XAI Effect on Laypeople VS Experts Perceptions of AI Outcomes - Preliminary Work
[ACM] 2026-3-9 | Multi-Agent Framework for Adaptive Social-Emotional Learning in Children's Digital Communication
[ACM] 2026-3-9 | Session Summary Podcast: Session 9: Intelligent Visualization &amp; Data Storytelling
[ACM] 2026-3-9 | AI CHAOS! 1st Workshop on the Challenges for Human Oversight of AI Systems
[ACM] 2026-3-9 | What You Need is What You Get: Identifying Psychological Needs with SDT-Aware Neural Models
[ACM] 2026-3-9 | Demonstrating PersonaMail: Learning and Adapting Personal Communication Preferences for Context-Aware Email Writing
[ACM] 2026-3-9 | Modelling Prompting Behaviours in LLM-Mediated Task Solving
[ACM] 2026-3-9 | Towards Adaptive Mixed-Initiative Media Recommender Systems with LLMs
[ACM] 2026-3-9 | Speech-Driven Immersive Analytics: GenAI-grounded Sensemaking Perspective
[ACM] 2026-3-9 | Session Summary Podcast: Session 1: AI-Augmented Work: Research and Education
[ACM] 2026-3-9 | From Pattern Libraries to Practice: Context-Aware Selection of AI Interface Patterns
[ACM] 2026-3-9 | Beyond data-centric explanations for mental healthcare professionals
[ACM] 2026-3-9 | Understanding and Designing AI Systems that Reshape Social Dynamics in Group Decision-Making
[ACM] 2026-3-9 | Matryoshka Representation Learning for Recommendation with Layer- and Hardness-Adaptive Negative Sampling
[ACM] 2026-3-9 | Sonic Personas and Semantic Hacking: How Novices Align Generative Audio Through Metaphor and Meta-Prompting
[ACM] 2026-3-9 | Making AI Risk Decisions Visible: Evaluating LLM Reasoning in Insurance Risk Classification
[ACM] 2026-3-9 | Session Summary Podcast: Session 7: Human-in-(and on)-the-Loop: Control, Oversight, and Iterative Learning
[ACM] 2026-3-9 | Session Summary Podcast: Session 8: Intelligent Interfaces for Health &amp; Wellbeing
[ACM] 2026-3-9 | SHAPEXR 2026: Workshop on Shaping Human-AI-Powered Experiences in XR
[ACM] 2026-3-9 | Session Summary Podcast: Session 3: Affective &amp; Emotion-aware Interfaces
[ACM] 2026-3-9 | Waste Warrior: Architecture and Design of a Gamified Mobile App for Healthcare
[ACM] 2026-3-9 | Hitchhiker's Guide to Temporal Analysis: Modeling, Causality, and Visualization for User Interaction Data
[ACM] 2026-3-9 | NLDATA: Supporting Human-Centric Data Exploration Through Semantics and Natural Language Interaction (Tutorial)
[ACM] 2026-3-9 | Every Maintenance Has Its Exemplar: The Future of Software Maintenance through Migration
[ACM] 2026-3-9 | VERDICT: Visualized Evaluation and Reasoning with Dynamic IRAC-based Computational Thinking on Graph Structures
[ACM] 2026-3-9 | WASDHead: Low-Context-Switch Cursor Control with Head Mouse and Keyboard
[ACM] 2026-3-9 | Exploring the Entertainment Potential of Personalised LLM-Based Serious Games with Humanoid Robots
共写入 961 条记录，保存到 papers/paper2026-03-09.json。
论文获取成功，文件路径: papers/paper2026-03-09.json
正在筛选、翻译并发送邮件...
[NO] 1/961 | GOMA: Geometrically Optimal Mapping via Analytical Modeling for Spatial Accelerators
[NO] 2/961 | SGG-R$^{\rm 3}$: From Next-Token Prediction to End-to-End Unbiased Scene Graph Generation
[NO] 3/961 | Threshold Temperature for Neutron-Star Emergence in a Gravitational Thermodynamic Framework
[NO] 4/961 | ELLMob: Event-Driven Human Mobility Generation with Self-Aligned LLM Framework
[NO] 5/961 | Contravariantly infinite resolving subcategories
[NO] 6/961 | Visualization of Multi-Qubit Pure States with Separation of Local and Nonlocal Degrees of Freedom
[NO] 7/961 | Probing Lorentz symmetry violation via the Casimir effect in rectangular cavities
[NO] 8/961 | Text to Automata Diagrams: Comparing TikZ Code Generation with Direct Image Synthesis
[NO] 9/961 | Band modulations and topological transitions in a one-dimensional periodic bead-on-string chain
[NO] 10/961 | Robust Transfer Learning with Side Information
[NO] 11/961 | Long-Short Term Agents for Pure-Vision Bronchoscopy Robotic Autonomy
[NO] 12/961 | Exploring the spin dependence on mass inclination and distance for the newly discovered black hole X-ray binary Swift J151857.0-572147
[NO] 13/961 | Structure and Progress Aware Diffusion for Medical Image Segmentation
[NO] 14/961 | VLM-SubtleBench: How Far Are VLMs from Human-Level Subtle Comparative Reasoning?
[NO] 15/961 | On a Problem Posed by Brezis and Mironescu
[NO] 16/961 | Slumbering to Precision: Enhancing Artificial Neural Network Calibration Through Sleep-like Processes
[NO] 17/961 | Viewpoint-Agnostic Grasp Pipeline using VLM and Partial Observations
[NO] 18/961 | An Interpretable Generative Framework for Anomaly Detection in High-Dimensional Financial Time Series
[NO] 19/961 | An asymptotic model of Poisson--Nernst--Planck--Stokes systems in narrow channels
[NO] 20/961 | Re-evaluating Position and Velocity Decoding for Hand Pose Estimation with Surface Electromyography
[NO] 21/961 | Video2LoRA: Unified Semantic-Controlled Video Generation via Per-Reference-Video LoRA
[NO] 22/961 | Alignment-Aware and Reliability-Gated Multimodal Fusion for Unmanned Aerial Vehicle Detection Across Heterogeneous Thermal-Visual Sensors
[NO] 23/961 | A Bipartite Quantum Key Distribution Protocol Based on Indefinite Causal Order
[NO] 24/961 | Strain-driven magnetic anisotropy and spin reorientation in epitaxial Co V 2 O 4 spinel oxide thin films
[NO] 25/961 | Is continuous CoT better suited for multi-lingual reasoning?
[NO] 26/961 | C$^2$FG: Control Classifier-Free Guidance via Score Discrepancy Analysis
[NO] 27/961 | MV-Fashion: Towards Enabling Virtual Try-On and Size Estimation with Multi-View Paired Data
[NO] 28/961 | DARC: Disagreement-Aware Alignment via Risk-Constrained Decoding
[NO] 29/961 | Probing the CP Property of ALP-photon Interactions at Future Lepton Colliders
[NO] 30/961 | Eigenvalue accumulation for operator convolutions on locally compact groups
[NO] 31/961 | Formalizing the stability of the two Higgs doublet model potential into Lean: identifying an error in the literature
[NO] 32/961 | Toward Governing Perception in Safety-Critical Mediated Reality on the Move
[NO] 33/961 | VesselFusion: Diffusion Models for Vessel Centerline Extraction from 3D CT Images
[NO] 34/961 | UniGround: Universal 3D Visual Grounding via Training-Free Scene Parsing
[NO] 35/961 | Proportion of chiral maps with automorphism group $\mathcal{S}_n$ and $\mathcal{A}_n$
[NO] 36/961 | Semiclassical description of Interatomic Coulombic Electron Capture in solutions
[NO] 37/961 | DeReCo: Decoupling Representation and Coordination Learning for Object-Adaptive Decentralized Multi-Robot Cooperative Transport
[NO] 38/961 | Tau-BNO: Brain Neural Operator for Tau Transport Model
[NO] 39/961 | Error-correcting codes over the Mordell-Weil groups of extremal rational elliptic surfaces and the $E_8$ lattice
[NO] 40/961 | Adaptive MLP Pruning for Large Vision Transformers
[NO] 41/961 | Why Large Language Models can Secretly Outperform Embedding Similarity in Information Retrieval
[NO] 42/961 | The Interior of the Scalar Hairy Black Hole with Inverted Higgs Potential
[NO] 43/961 | ImageEdit-R1: Boosting Multi-Agent Image Editing via Reinforcement Learning
[NO] 44/961 | Stabilized Fine-Tuning with LoRA in Federated Learning: Mitigating the Side Effect of Client Size and Rank via the Scaling Factor
[NO] 45/961 | WhispEar: A Bi-directional Framework for Scaling Whispered Speech Conversion via Pseudo-Parallel Whisper Generation
[NO] 46/961 | Asymptotic Analysis of Discrete-Time Hawkes Process
[NO] 47/961 | Interlayer Error Calibration for Stacked Intelligent Metasurfaces:Modeling, Algorithms, and Future Perspectives
[NO] 48/961 | The Unit Gap: How Sharing Works in Boolean Circuits
[NO] 49/961 | GCGNet: Graph-Consistent Generative Network for Time Series Forecasting with Exogenous Variables
[NO] 50/961 | QualiTeacher: Quality-Conditioned Pseudo-Labeling for Real-World Image Restoration
[NO] 51/961 | Loss-Optimized Reconfigurable Nonlocal Metasurface-aided Cavity Antenna
[NO] 52/961 | Controllable Complex Human Motion Video Generation via Text-to-Skeleton Cascades
[NO] 53/961 | VSDiffusion: Taming Ill-Posed Shadow Generation via Visibility-Constrained Diffusion
[NO] 54/961 | PIRA-Bench: A Transition from Reactive GUI Agents to GUI-based Proactive Intent Recommendation Agents
[NO] 55/961 | Amortizing Maximum Inner Product Search with Learned Support Functions
[NO] 56/961 | CMMR-VLN: Vision-and-Language Navigation via Continual Multimodal Memory Retrieval
[NO] 57/961 | Parameter Estimation for Complex α-Fractional Brownian Bridge
[NO] 58/961 | On the Feasibility and Opportunity of Autoregressive 3D Object Detection
[NO] 59/961 | ACE-GF-based Attestation Relay for PQC - Lightweight Mempool Propagation Without On-Path Proofs
[NO] 60/961 | Interleaved diffractive networks for information transfer through random diffusers
[NO] 61/961 | FVG-PT: Adaptive Foreground View-Guided Prompt Tuning for Vision-Language Models
[NO] 62/961 | Impermanent: A Live Benchmark for Temporal Generalization in Time Series Forecasting
[NO] 63/961 | The quantum square-well fluid: a thermodynamic geometric view
[NO] 64/961 | Discovery of intertwined pair density and charge density wave orders in UTe2
[NO] 65/961 | A New Lower Bound for the Random Offerer Mechanism in Bilateral Trade using AI-Guided Evolutionary Search
[NO] 66/961 | The Lovász conjecture holds for moderately dense Cayley graphs
[NO] 67/961 | Talking Together: Synthesizing Co-Located 3D Conversations from Audio
[NO] 68/961 | Experimental investigation of Lévy flights for step-length distributions with a length-dependent local power exponent
[YES] 69/961 | Cybersecurity AI: Hacking Consumer Robots in the AI Era
[NO] 70/961 | Context-free Self-Conditioned GAN for Trajectory Forecasting
[NO] 71/961 | Group Entropies and Mirror Duality: A Class of Flexible Mirror Descent Updates for Machine Learning
[NO] 72/961 | Divide and Predict: An Architecture for Input Space Partitioning and Enhanced Accuracy
[NO] 73/961 | Grow, Don't Overwrite: Fine-tuning Without Forgetting
[NO] 74/961 | Retrieval-Augmented Gaussian Avatars: Improving Expression Generalization
[NO] 75/961 | Effect of gravitational lensing around black hole in dark matter halo in the presence of plasma
[YES] 76/961 | PostTrainBench: Can LLM Agents Automate LLM Post-Training?
[NO] 77/961 | UNBOX: Unveiling Black-box visual models with Natural-language
[NO] 78/961 | Secondary gravitational waves against a strong gravitational wave in the Bianchi VI universe
[NO] 79/961 | Congruences between Klingen-Eisenstein series and cusp forms on $\mathrm{U}_{n,n}$
[NO] 80/961 | StreamReady: Learning What to Answer and When in Long Streaming Videos
[NO] 81/961 | Distributed Algorithms for Euclidean Clustering
[NO] 82/961 | Communication-constrained nonlocal correlations
[NO] 83/961 | CARE-Edit: Condition-Aware Routing of Experts for Contextual Image Editing
[NO] 84/961 | Glassy phase transition in immiscible steady-state two-phase flow in porous media
[NO] 85/961 | DiverXplorer: Stock Image Exploration via Diversity Adjustment for Graphic Design
[NO] 86/961 | DualFlexKAN: Dual-stage Kolmogorov-Arnold Networks with Independent Function Control
[NO] 87/961 | The Grasshopper Problem on the Sphere
[NO] 88/961 | Drift-to-Action Controllers: Budgeted Interventions with Online Risk Certificates
[NO] 89/961 | On the excision of Brownian bridge paths
[NO] 90/961 | A dynamical approach to General Relativity based on proper time
[YES] 91/961 | OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security
[NO] 92/961 | Galaw at Gunita: Extended Reality Murals for Experiencing Filipino Art
[NO] 93/961 | Au and Ag nanoparticles produced by ion implantation in single-crystalline $β$-Ga$_2$O$_3$
[NO] 94/961 | PCFEx: Point Cloud Feature Extraction for Graph Neural Networks
[NO] 95/961 | SecAgent: Efficient Mobile GUI Agent with Semantic Context
[NO] 96/961 | Gas chemistry in the dust depleted inner regions of protoplanetary disks. I. Near-IR spectra and overtones
[YES] 97/961 | TUMSphere: Turning a University Curriculum into Playable VR Challenges
[NO] 98/961 | Collinear spin density wave state in distorted square-lattice GdNiSn$_4$
[NO] 99/961 | BuildMamba: A Visual State-Space Based Model for Multi-Task Building Segmentation and Height Estimation from Satellite Images
[NO] 100/961 | AtomVLA: Scalable Post-Training for Robotic Manipulation via Predictive Latent World Models
[NO] 101/961 | All Vehicles Can Lie: Efficient Adversarial Defense in Fully Untrusted-Vehicle Collaborative Perception via Pseudo-Random Bayesian Inference
[NO] 102/961 | Global Cross-Modal Geo-Localization: A Million-Scale Dataset and a Physical Consistency Learning Framework
[NO] 103/961 | Visual Self-Fulfilling Alignment: Shaping Safety-Oriented Personas via Threat-Related Images
[NO] 104/961 | Towards Modeling Cybersecurity Behavior of Humans in Organizations
[NO] 105/961 | Asymmetric uniqueness sets in $\ell^q$
[NO] 106/961 | Behavioral Generative Agents for Power Dispatch and Auction
[NO] 107/961 | R2F: Repurposing Ray Frontiers for LLM-free Object Navigation
[NO] 108/961 | Modeling the Slow Arrhenius Process (SAP) in Polymers
[NO] 109/961 | Amplitude Analysis of Singly Cabibbo-Suppressed Decay $Λ^{+}_{c}\to p K^{+} K^{-}$
[NO] 110/961 | Cubic maps from the group of order $3$
[NO] 111/961 | Distributions of left prime truncations
[NO] 112/961 | OFDM Waveform Optimization for Bistatic Integrated Sensing and Communications
[NO] 113/961 | FoMo: A Multi-Season Dataset for Robot Navigation in Forêt Montmorency
[NO] 114/961 | The Dark Photon: a 2026 Perspective
[YES] 115/961 | One Model Is Enough: Native Retrieval Embeddings from LLM Agent Hidden States
[YES] 116/961 | IronEngine: Towards General AI Assistant
[NO] 117/961 | Subspace Fusion Sensing for Cooperative ISAC
[NO] 118/961 | Geometrically Constrained Outlier Synthesis
[NO] 119/961 | Instanton construction of the mapping cone Thom-Smale complex
[NO] 120/961 | SPIRAL: A Closed-Loop Framework for Self-Improving Action World Models via Reflective Planning Agents
[NO] 121/961 | NLE: Non-autoregressive LLM-based ASR by Transcript Editing
[NO] 122/961 | Bound states in a semi-infinite square potential well
[NO] 123/961 | Adaptive Loops and Memory in Transformers: Think Harder or Know More?
[NO] 124/961 | Mitigating Mixed-field Interference in Near-field and Far-field Communications: An Antenna Selection Approach
[YES] 125/961 | A Hierarchical Error-Corrective Graph Framework for Autonomous Agents with LLM-Based Action Generation
[NO] 126/961 | AULLM++: Structural Reasoning with Large Language Models for Micro-Expression Recognition
[NO] 127/961 | Real-Time Drone Detection in Event Cameras via Per-Pixel Frequency Analysis
[NO] 128/961 | Flexibility of Codimension One $C^{1,θ}$ Isometric Immersions
[NO] 129/961 | The triplication method for constructing strong starters
[NO] 130/961 | On the minimum of $σ$-Brjuno functions
[NO] 131/961 | This Looks Distinctly Like That: Grounding Interpretable Recognition in Stiefel Geometry against Neural Collapse
[NO] 132/961 | Diffusion-Based Data Augmentation for Image Recognition: A Systematic Analysis and Evaluation
[NO] 133/961 | Unveiling the Thermal and Aqueous Stability of 1D Lepidocrocite Titania
[NO] 134/961 | Limiting Spectral Distribution of moderately large Kendall's correlation matrix and its application
[NO] 135/961 | Local-Global Prompt Learning via Sparse Optimal Transport
[NO] 136/961 | PhaForce: Phase-Scheduled Visual-Force Policy Learning with Slow Planning and Fast Correction for Contact-Rich Manipulation
[NO] 137/961 | Search for long-lived charginos and $τ$-sleptons using final states with a disappearing track in $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector
[NO] 138/961 | A reaction-diffusion model for describing the ring/gap structure in disks surrounding individual young stars
[NO] 139/961 | Learning Multiple Utterance-Level Attribute Representations with a Unified Speech Encoder
[NO] 140/961 | Sign Identifiability of Causal Effects in Stationary Stochastic Dynamical Systems
[NO] 141/961 | Weighted Chernoff information and optimal loss exponent in context-sensitive hypothesis testing
[NO] 142/961 | A Realistic Framework for Quantum Sensing under Finite Resources
[NO] 143/961 | Graph-Instructed Neural Networks for parametric problems with varying boundary conditions
[NO] 144/961 | Do Models See in Line with Human Vision? Probing the Correspondence Between LVLM Representations and EEG Signals
[NO] 145/961 | Atomic-resolution imaging of gold species at organic liquid-solid interfaces
[NO] 146/961 | Disc accretion onto a binary black hole in a hierarchical triple system as an origin of the most luminous hyper-soft sources
[NO] 147/961 | Minor First, Major Last: A Depth-Induced Implicit Bias of Sharpness-Aware Minimization
[NO] 148/961 | Posterior Sampling Reinforcement Learning with Gaussian Processes for Continuous Control: Sublinear Regret Bounds for Unbounded State Spaces
[NO] 149/961 | Gordan-Rankin-Cohen operators on the spaces of weighted densities in superdimension $1\vert 1$
[NO] 150/961 | The Role of Dynamic Stall in Aerofoil Shape Optimisation for Curvilinear Blade Kinematics
[NO] 151/961 | Population Density Estimators for Right-Censored Distance Sampling
[NO] 152/961 | Scaling law from orbital angular momentum conservation in harmonic and high-order harmonic generation driven by spatiotemporal light fields
[NO] 153/961 | FinToolBench: Evaluating LLM Agents for Real-World Financial Tool Use
[NO] 154/961 | Beyond ReinMax: Low-Variance Gradient Estimators for Discrete Latent Variables
[NO] 155/961 | Coupling Europe's Capacity Markets
[NO] 156/961 | From Design to Validation: Preparing a LEO-Capable UE for End-to-End System Evaluation
[NO] 157/961 | SRNeRV: A Scale-wise Recursive Framework for Neural Video Representation
[NO] 158/961 | Sampling Colorings with Fixed Color Class Sizes
[NO] 159/961 | Non-Normal Route to Chaos
[NO] 160/961 | Discovery of a 36-minute long-period transient ASKAP J142431.2-612611
[NO] 161/961 | Gravitational formulation of stress-tensor deformed field theories
[NO] 162/961 | Scaling Machine Learning Interatomic Potentials with Mixtures of Experts
[NO] 163/961 | Grow, Assess, Compress: Adaptive Backbone Scaling for Memory-Efficient Class Incremental Learning
[NO] 164/961 | Bilevel Planning with Learned Symbolic Abstractions from Interaction Data
[NO] 165/961 | The Transfer Tensor Method: an Analytical Study Case
[YES] 166/961 | Trust Nothing: RTOS Security without Run-Time Software TCB (Extended Version)
[YES] 167/961 | Experience on Automatically Converting a C++ Monolith to Java EE
[NO] 168/961 | A proof of conservation laws in gravitational scattering: tails and breaking of peeling
[NO] 169/961 | A note on large-scale quantum chemistry on quantum computers: the case of a molecule with half-Möbius topology
[NO] 170/961 | Integral Formulas for Vector Spherical Tensor Products
[NO] 171/961 | Discontinuous Galerkin approximation of a nonlinear multiphysics problem arising in ultrasound-enhanced drug delivery
[NO] 172/961 | WeldAR: Augmenting Live Hands-On Training with In-Situ Guidance for Novice Learners
[NO] 173/961 | PSTNet: Physically-Structured Turbulence Network
[NO] 174/961 | RAPID: Redundancy-Aware and Compatibility-Optimal Edge-Cloud Partitioned Inference for Diverse VLA models
[NO] 175/961 | Lattice: A Post-Quantum Settlement Layer
[NO] 176/961 | Fine Structure and Formation Mechanism of a Sunspot Bipolar Light Bridge in NOAA AR 13663
[NO] 177/961 | Unsupervised Domain Adaptation for Audio Deepfake Detection with Modular Statistical Transformations
[NO] 178/961 | BRIDGE: Benchmark for multi-hop Reasoning In long multimodal Documents with Grounded Evidence
[NO] 179/961 | IMSE: Intrinsic Mixture of Spectral Experts Fine-tuning for Test-Time Adaptation
[NO] 180/961 | First-principles identification of optically efficient erbium centers in GaAs
[NO] 181/961 | RLPR: Radar-to-LiDAR Place Recognition via Two-Stage Asymmetric Cross-Modal Alignment for Autonomous Driving
[NO] 182/961 | Rel-MOSS: Towards Imbalanced Relational Deep Learning on Relational Databases
[NO] 183/961 | Geometric Transformation-Embedded Mamba for Learned Video Compression
[NO] 184/961 | DyQ-VLA: Temporal-Dynamic-Aware Quantization for Embodied Vision-Language-Action Models
[NO] 185/961 | Symmetric Trotterization in digital quantum simulation of quantum spin dynamics
[NO] 186/961 | NaviDriveVLM: Decoupling High-Level Reasoning and Motion Planning for Autonomous Driving
[NO] 187/961 | Revisiting Unknowns: Towards Effective and Efficient Open-Set Active Learning
[NO] 188/961 | SMGI: A Structural Theory of General Artificial Intelligence
[NO] 189/961 | Closed Reeb orbits on contact type hypersurfaces in $T^*S^n$
[NO] 190/961 | A Lightweight Traffic Map for Efficient Anytime LaCAM*
[NO] 191/961 | Visualizing Coalition Formation: From Hedonic Games to Image Segmentation
[NO] 192/961 | Reject, Resample, Repeat: Understanding Parallel Reasoning in Language Model Inference
[YES] 193/961 | CCR-Bench: A Comprehensive Benchmark for Evaluating LLMs on Complex Constraints, Control Flows, and Real-World Cases
[NO] 194/961 | Identifying Influential Actions in Human-Robot Interactions
[NO] 195/961 | A Generalization of Pretzel Links via Spatial Graphs
[NO] 196/961 | The Dirac sea of phase: Unifying phase paradoxes and Talbot revivals in multimode waveguides
[NO] 197/961 | Keller-Segel-Navier-Stokes systems involving general sensitivities with Signal-Dependent Power-Law Decay
[NO] 198/961 | Hospitality-VQA: Decision-Oriented Informativeness Evaluation for Vision-Language Models
[NO] 199/961 | SoundWeaver: Semantic Warm-Starting for Text-to-Audio Diffusion Serving
[NO] 200/961 | Choice of Collateral Currency in Differential Swaps
[NO] 201/961 | Threshold Dynamics of Voter Radicalization on the Probability Simplex
[NO] 202/961 | The UK Cyber Security and Resilience Bill: A Practitioner's Guide to Legislative Reform, Compliance, and Organisational Readiness
[NO] 203/961 | Guess & Guide: Gradient-Free Zero-Shot Diffusion Guidance
[NO] 204/961 | Variational Inference for Variable Selection in Scalar-on-Function Regression
[NO] 205/961 | Explicit Construction of Floquet-Bloch States from Arbitrary Solution Bases of the Hill Equation
[NO] 206/961 | Conceptual Design of a Transverse Deflecting Structure for Longitudinal Diagnostics at DALI
[NO] 207/961 | Instantaneous Frequency Estimation in Noisy Multicomponent Signals with Interfering Modes Based on Prony Method and Spline Approximation
[NO] 208/961 | Nanosecond wavefront shaping to focus through agitated turbid media
[NO] 209/961 | Modeling the Senegalese artisanal fisheries migrations
[NO] 210/961 | Pointwise estimates for rough operators in a metric measure framework under some Ahlfors regularity conditions
[NO] 211/961 | Convexity of Berezin Range and Berezin Radius Inequalities via a class of Seminorm
[NO] 212/961 | Soft Fault Estimation and Localisation in Y-Shaped Networks using OFDM-Based Signals
[NO] 213/961 | Evidence-Driven Reasoning for Industrial Maintenance Using Heterogeneous Data
[NO] 214/961 | Enhancement of metallicity by Na doping in La$_3$Ni$_2$O$_{7+δ}$
[NO] 215/961 | RexDrug: Reliable Multi-Drug Combination Extraction through Reasoning-Enhanced LLMs
[NO] 216/961 | Unexpected Planar Dislocation Boundary Formation in FCC Metals Captured by Dark-Field X-ray Microscopy and Continuum Dislocation Dynamics
[NO] 217/961 | Triplet-Pair Character of the $2^1A_g$ Dark State of Polyenes
[NO] 218/961 | Learning Hierarchical Knowledge in Text-Rich Networks with Taxonomy-Informed Representation Learning
[NO] 219/961 | Forgetting Event Order in Higher-Dimensional Automata
[NO] 220/961 | Fast Low-light Enhancement and Deblurring for 3D Dark Scenes
[YES] 221/961 | EvoScientist: Towards Multi-Agent Evolving AI Scientists for End-to-End Scientific Discovery
[NO] 222/961 | Foley-Flow: Coordinated Video-to-Audio Generation with Masked Audio-Visual Alignment and Dynamic Conditional Flows
[NO] 223/961 | Ramsa: A Large Sociolinguistically Rich Emirati Arabic Speech Corpus for ASR and TTS
[NO] 224/961 | SaiVLA-0: Cerebrum--Pons--Cerebellum Tripartite Architecture for Compute-Aware Vision-Language-Action
[NO] 225/961 | Impact of Resonant Compton Scattering on Magnetar X-Ray Polarization with QED Vacuum Resonance
[NO] 226/961 | Model-based Offline RL via Robust Value-Aware Model Learning with Implicitly Differentiable Adaptive Weighting
[NO] 227/961 | UIS-Digger: Towards Comprehensive Research Agent Systems for Real-world Unindexed Information Seeking
[NO] 228/961 | Whataboutism
[NO] 229/961 | PathBench: Speech Intelligibility Benchmark for Automatic Pathological Speech Assessment
[NO] 230/961 | DSH-Bench: A Difficulty- and Scenario-Aware Benchmark with Hierarchical Subject Taxonomy for Subject-Driven Text-to-Image Generation
[NO] 231/961 | Stability of Two-Stage Stochastic Programs Under Problem-Dependent Costs
[NO] 232/961 | On embeddings of homogeneous quandles
[NO] 233/961 | High-Fidelity Pruning for Large Language Models
[NO] 234/961 | Simulating non-Markovian open quantum dynamics by exploiting physics-informed neural network
[NO] 235/961 | Geometric Give and Take
[NO] 236/961 | Hybrid Quantum Neural Network for Multivariate Clinical Time Series Forecasting
[NO] 237/961 | Rephasing invariant structure of Dirac CP phase and basis independent reduction of unitarity constraints for mixing matrices
[NO] 238/961 | Chemotaxis with tomography
[NO] 239/961 | Deterministic Differentiable Structured Pruning for Large Language Models
[NO] 240/961 | Adversarial Domain Adaptation Enables Knowledge Transfer Across Heterogeneous RNA-Seq Datasets
[NO] 241/961 | See and Switch: Vision-Based Branching for Interactive Robot-Skill Programming
[NO] 242/961 | Examining the Role of YouTube Production and Consumption Dynamics on the Formation of Extreme Ideologies
[NO] 243/961 | S2S-FDD: Bridging Industrial Time Series and Natural Language for Explainable Zero-shot Fault Diagnosis
[NO] 244/961 | Identifying Red Supergiants in the Local Group Using JWST Photometry. I. NGC 6822, Sextans A, NGC 300, WLM, and IC 1613
[YES] 245/961 | DyLLM: Efficient Diffusion LLM Inference via Saliency-based Token Selection and Partial Attention
[NO] 246/961 | Not Like Transformers: Drop the Beat Representation for Dance Generation with Mamba-Based Diffusion Model
[NO] 247/961 | ViSA-Enhanced Aerial VLN: A Visual-Spatial Reasoning Enhanced Framework for Aerial Vision-Language Navigation
[NO] 248/961 | Primitive recursive categoricity spectra
[NO] 249/961 | SafarDB: FPGA-Accelerated Distributed Transactions via Replicated Data Types
[NO] 250/961 | Aero-Promptness: Drag-Aware Aerodynamic Manipulability for Propeller-driven Vehicles
[NO] 251/961 | MJ1: Multimodal Judgment via Grounded Verification
[NO] 252/961 | \$OneMillion-Bench: How Far are Language Agents from Human Experts?
[NO] 253/961 | Emergence is Overrated: AGI as an Archipelago of Experts
[NO] 254/961 | Bayesian neural network with autoencoder for model-based description of $α$-particle preformation factor
[NO] 255/961 | Estimation of differential entropy for normal populations under prior information
[NO] 256/961 | Listening with the Eyes: Benchmarking Egocentric Co-Speech Grounding across Space and Time
[NO] 257/961 | Understanding thermal and quantum fluctuations in extended Kitaev-Yao-Lee spin-orbital model
[YES] 258/961 | Agentic Critical Training
[NO] 259/961 | HiAR: Efficient Autoregressive Long Video Generation via Hierarchical Denoising
[NO] 260/961 | A Multi-Objective Optimization Approach for Sustainable AI-Driven Entrepreneurship in Resilient Economies
[NO] 261/961 | A Curious Characterisation of Dedekind Domains
[NO] 262/961 | Characterization and upgrade of a quantum graph neural network for charged particle tracking
[NO] 263/961 | How Far Can Unsupervised RLVR Scale LLM Training?
[NO] 264/961 | Fluid-Solid Pattern Formation and Strain Localisation via Shear Banding Instability in Model Biological Tissues
[NO] 265/961 | Low order maximally single-trace graphs as the first counterexamples to large N factorization in random tensors
[NO] 266/961 | Tractable Identification of Strategic Network Formation Models with Unobserved Heterogeneity
[NO] 267/961 | Symmetry-based perturbation theory for electronic structure calculations
[NO] 268/961 | Context-Free Trees
[NO] 269/961 | Improved SABRE hyperpolarisation using pulse sequences to reduce effective coupling
[NO] 270/961 | Embedding Classical Balance Control Principles in Reinforcement Learning for Humanoid Recovery
[NO] 271/961 | Heterogeneously Integrated Diamond-on-Lithium Niobate Quantum Photonic Platform
[NO] 272/961 | On the concatenability of solutions of partial differential equations
