[2026-06-01 23:27:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-31
正在获取论文...
[ACM] 2026-6-1 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[IEEE] 2026-6-1 | Learnable Frequency Domain Phase Residual and Graph-Contrastive Dynamic Convolution Network for Hyperspectral Anomaly Detection
[IEEE] 2026-6-1 | PushCVAE: Generative Autonomous Nonprehensile Surgical Retraction from Monocular Endoscopic Images
[IEEE] 2026-6-1 | Deep Neural Networks for Predictive Maintenance of Wind Turbine System
[IEEE] 2026-6-1 | Hippocampal Time-Flow Modeling: A Neural ODE Framework for Alzheimer’s Forecasting
[IEEE] 2026-6-1 | BhashaBridge: An Emotion-Aware Real-Time Indian Sign Language Translator with Offline Doctor Mode Using MediaPipe and LSTM
[IEEE] 2026-6-1 | Regulator-friendly Traceable Anonymous Credentials with Secure Outsourceable Record Retrieval
[IEEE] 2026-6-1 | Telecommunication Network Availability After Hydroelectric Power Plant Reservoir Dam Incident
[IEEE] 2026-6-1 | A comparative study of power system losses minimization for complex systems
[IEEE] 2026-6-1 | Handheld Endoscopic Robot with Integrated Camera Cleaning for Skull Base Neurosurgery
[IEEE] 2026-6-1 | A Computer-Aided Skin Cancer Detection System Using Fine-Tuned Deep Learning Models
[IEEE] 2026-6-1 | Design and Modeling of a Polymer-Based Hydraulic Continuum Robot for Minimally Invasive Surgery
[IEEE] 2026-6-1 | Collaborative Multiagent Computation Offloading in Digital Twin-Driven IoV Networks
[IEEE] 2026-6-1 | Wind Power Interval Prediction Based on Multidecomposition and Kernel Density Pinball
[IEEE] 2026-6-1 | Integrated RGB–D Perception for Clamp-Type Autonomous Forklifts: Patch-Median Depth Sampling, AND-Gate Grouping, and PTZ-Based Semantic Verification
[ACM] 2026-6-1 | SafeTrans: LLM-assisted Transpilation from C to Rust
[ACM] 2026-6-1 | When Preference Is Not Enough
[ACM] 2026-6-1 | A Zero-Force Optical Sensor Interface and Fitting Protocol for Customized Assistive Technology Control
[ACM] 2026-6-1 | Demo: Compiling Adaptive VR Simulations from Conceptual Content in Real Time
[ACM] 2026-6-1 | Poster: TwinFocus: Autofocus for Handheld mmWave SAR Imaging via Physical and Digital Twin References
[IEEE] 2026-6-1 | Power Quality in Smart Grids: Key Regulatory Considerations
[IEEE] 2026-6-1 | Directional Path Loss Prediction Based on Omnidirectional Model for Multipath Environment
共写入 1000 条记录，保存到 papers/paper2026-05-31.json。
论文获取成功，文件路径: papers/paper2026-05-31.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[NO] 2/1000 | Evaluating the Role of Context Representations in the Behavioral Fidelity of LLM-based Personas for Food Preferences
[NO] 3/1000 | Personalizing Font Size Normalization: Linguistic Background Shapes Which Font Attributes Matter
[NO] 4/1000 | Reproducibility of LLM-based Recommender Systems Research: Worrying Observations from an Initial Analysis
[NO] 5/1000 | Leveraging Artist Catalogs for Cold-Start Music Recommendation
[NO] 6/1000 | GMAP 2026: 5th Workshop on Group Modeling, Adaptation and Personalization
[YES] 7/1000 | Toward Intelligent Wearables: Sensing, Interaction, and LLM EDA Automation
[NO] 8/1000 | Towards Trustworthy AIoT Systems: An Interaction-Centric Perspective
[NO] 9/1000 | Toward Practical Integrated Sensing and Communication upon Commodity Wi-Fi
[NO] 10/1000 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[NO] 11/1000 | Split Learning-Enabled Framework for Secure and Lightweight Internet of Medical Things Systems
[NO] 12/1000 | On-Orbit SWIR Imagery MTF Compensation for the Geology-1 Satellite Using Cross-Spectral Structural Priors
[NO] 13/1000 | Semantic Noise Decomposition and Saliency-Weighted Mutual Information in Task-Oriented Communication
[NO] 14/1000 | Periodically Poled Piezoelectric Lithium Niobate Resonator for Piezoelectric Power Conversion
[NO] 15/1000 | Author Index
[NO] 16/1000 | A Holistic Remote Fork Strategy Toward Fast Function Scaling in Serverless Edge Computing
[NO] 17/1000 | Coupled Phase-Shift STAR-RIS Enabled Integrated Over-the-Air Computation and Communications
[NO] 18/1000 | Machine Learning Pipelines for Image-based Classification of Rice Grain Varieties: A Systematic Literature Review
[NO] 19/1000 | TransFM: Visible-to-Infrared Image Translation via Flow Matching
[NO] 20/1000 | An Agentic System for Schema Aware NL2SQL Generation
[NO] 21/1000 | Comprehensive Multi-View Clustering via Low-Dimensional Subspace Representation
[NO] 22/1000 | TCSC: Time-Consistent Synchronization and Completion for Bridging the Temporal Sim-to-Real Gap in Embodied Intelligence
[NO] 23/1000 | Decentralized Resilient Synchronization for Cyber-Physical Microgrids with FDI Attacks and Uncertainties
[NO] 24/1000 | Testing Method for Language Model Evaluation: A Case Study on a Localized Question Bank
[NO] 25/1000 | High-fidelity 3D reconstruction for planetary exploration
[NO] 26/1000 | The Potential of Thermal Sand Based Storage for Renewables in Saudi Arabia
[NO] 27/1000 | Blockchain and Ai for Smart Cities Energy Systems
[NO] 28/1000 | Graph Neural Networks for Class Imbalance Learning and Detecting Fraud Transactions
[NO] 29/1000 | Profitability and Cost-Effectiveness Analysis of Wireless and Conductive Charging Infrastructure for Autonomous Fleets: Insights From Real-World Data
[NO] 30/1000 | Emergency Dispatch Strategy for Electric Vehicles Based on Spatio-Temporal Distribution Characteristics and User Response Willingness
[NO] 31/1000 | Structure-Aware Matrix Pencil for Estimating the Number of Damped Complex Exponentials_supp1-3698108.pdf
[NO] 32/1000 | Transferability Reinforcement of Adversarial Attacks for Remote Sensing Image Classification via Hierarchical Transformation Composition
[NO] 33/1000 | Leveraging Cross-Modal Information to Reduce Gender Bias in Facial Analysis Systems
[NO] 34/1000 | Study of Factors Influencing the Energy Characteristics of Electromechanical Systems
[NO] 35/1000 | Oscillation-Based Locomotion of a Spherical Robot Driven by Flywheels With Low Control Torque*
[NO] 36/1000 | ORION: Option-Regularized Deep Reinforcement Learning for Cooperative Multi-Agent Online Navigation
[NO] 37/1000 | An Overwriting Vulnerability in IoT Authentication Protocols: Attacks and Countermeasures
[YES] 38/1000 | MigMate: A VS Code Extension for LLM-based Library Migration of Python Projects
[NO] 39/1000 | Design of Quarter Mode SIW Self Diplexing Slotted Antenna
[NO] 40/1000 | Energy-Efficient Federated Learning for Space Observation via Neuromorphic Computing: a Use Case
[NO] 41/1000 | Deepfake Detection in Solar Panel Imagery Using Hybrid Vision Transformer Architecture
[NO] 42/1000 | Design of a Cable-Driven, Self-Aligning Knee Exoskeleton to Eliminate Joints' Misalignment Across Users With Varying Leg Dimensions
[NO] 43/1000 | Unlocking High-Frequency Temporal Visual Cues for Personality Traits Recognition
[NO] 44/1000 | From Co-Pilots to Co-Workers: A Formal Typology of Human–Agent Collaboration in Organizations
[NO] 45/1000 | A Minimal Brain–Computer Interface for Efficient Mission-Level Control in Industrial Human–Robot Interaction
[NO] 46/1000 | Adaptive Knowledge Retrieval in Multimodal GraphRAG via Cross-Modal Relationship Learning
[NO] 47/1000 | Target Tracking in Cell-Free Multi-Static ISAC Systems with Network-Assisted Full-Duplex
[NO] 48/1000 | Photonics Breakthroughs 2025: Three-Dimensional Holographic Incoherent Imaging Through Scattering Media
[NO] 49/1000 | VBT-MPC: Vision-Based Tactile MPC for Contour Following_supp1-3698362.mp4
[NO] 50/1000 | Self-supervised Representation Learning for Dynamic Functional Connectivity with Subject-wise and Temporal Contrasts_supp1-3698236.pdf
[NO] 51/1000 | Access Point Deployment for Robust Line-of-Sight Coverage Under Stochastic Obstacles
[NO] 52/1000 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp4-3697140.mp4
[NO] 53/1000 | Co-seismic ionospheric disturbances detection with multi-GNSS Case study: Turkey double earthquakes on February 6, 2023
[NO] 54/1000 | A GAN-Based Method for Mountain Shadow Restoration in Optical Remote Sensing Image
[NO] 55/1000 | Suite of Ingestible Devices Opens Window to the Gut Nervous System, Microbiome
[NO] 56/1000 | A Tiny Neuromorphic Processor Enabling On-Chip Spike-Based Learning for Edge Intelligent System
[NO] 57/1000 | Convivial Robotics and Silicopathy: Toward a Cross-Cultural Ethics of Human-Robot Coexistence
[NO] 58/1000 | Impact of Renewable Integration on Day-Ahead and Real-Time Market Prices under One- and Two-Price Imbalance Settlements
[NO] 59/1000 | Perception and Acceptance of Quadruped Robots Based on Indirect Exposure
[NO] 60/1000 | Privacy-Preserving and Coercion-Resistant E-Voting via Unlinkable Biometric Credentials on a Hybrid Permissioned Blockchain
[NO] 61/1000 | Lightweight LLM Adaptation for Intrusion Detection via Token-Efficient Flow Representation
[NO] 62/1000 | Interpretable Topic Modeling with Online Dirichlet Compound Negative Multinomial Mixture Model and Feature Saliency
[YES] 63/1000 | AI-based Tools Test Cases Generation and Software Correctness: A Critical Review
[NO] 64/1000 | HeuRiskUNet: UAV Navigation in Risk Maps through Improved Path Planning Heuristics
[NO] 65/1000 | Relay Protection Functioning Under Integration of Distributed Generation: Challenges for Ukraine
[NO] 66/1000 | Energy Efficient Control of Electric Heaters in Biogas Reactors
[NO] 67/1000 | From Episodic Screening to Continuous Insight: AI Architectures for Colorectal Care
[NO] 68/1000 | Intelligent Safe Optimal Control Towards Koopman Operator-Driven Nonlinear Systems with Asymmetric State and Input Constraints
[NO] 69/1000 | Modern Trends in the Use of Hydrogen as a Motor Fuel: Analysis, Recent Advancementsand Prospects
[NO] 70/1000 | HMSA-Net: Hierarchical Modality-Speaker Adaptive Network for Audio-Visual Speaker Diarization
[NO] 71/1000 | Numerical Modeling of Tidal Current Patterns for Anchorage Channel Planning at Amborawang Laut Port
[NO] 72/1000 | Towards Automated Discovery of Asymmetric Mempool DoS in Blockchains
[NO] 73/1000 | Improving the cyber security of IEC 61850 based transmission line protection (128)
[NO] 74/1000 | Disaster Response Gross Motor, Fine Motor and Tactile Workload Prediction Using Multi-layer Perceptrons
[NO] 75/1000 | Intelligent Spectrum Sensing and Access Using Deep Learning for Cognitive Communication Systems
[NO] 76/1000 | Fuzzy Logic Optimization of Electrode Geometry in a Microfluidic Device for Malaria Cell Separation
[NO] 77/1000 | Automated Detection of Hip Replacements and Fiducial Markers in Pelvic CT Scans: A Comparative Study of Rule-Based vs Deep Learning Approaches
[NO] 78/1000 | Mathematical Modeling of Negative Environmental Consequences Due to Thermal Radiation
[NO] 79/1000 | Design and Simulation of a Battery Electric Vehicle Model for Underground Mining Applications with Synthetic Data Generation for Machine Learning Model
[NO] 80/1000 | LLM-Augmented Feature Engineering for Machine Learning Pipelines
[NO] 81/1000 | The Impact of Quality Control, Curated Gene Sets, and Statistical Frameworks on Alzheimer’s Disease Gene Expression Analysis in Single-Cell Data
[NO] 82/1000 | Dynamic Event-Triggered MPC for Nonlinear Systems: Application to Vehicle Active Suspensions
                    <sup>*</sup>
[NO] 83/1000 | Resilient Distributed Optimal Power Flow Algorithm Against False Data Injection Attacks
[NO] 84/1000 | Landfill Site Allocation Multi-Objective Optimization with NSGA-II: A Case Study on Fogo Island, Cape Verde
[NO] 85/1000 | Synthesize, Adapt, Steal: A Few-Shot Domain Adaptive Model Stealing Attack for Tabular Data
[NO] 86/1000 | SAFE-GUARD: Audio Emotion Recognition System for Real-Time Public Place Abuse Detection
[NO] 87/1000 | Ensemble learning methods as a tool for more robust prediction of mobile payment usage
[NO] 88/1000 | Generative AI-driven Group Emotion Recognition: A Comparative Analysis of Holistic and Compositional Strategies
[NO] 89/1000 | A Containerized Multimodal Architecture for On-Device Driver-State Feedback with ROS 2 and Edge AI Services
[NO] 90/1000 | SKYWALKER: Dual-Agent Reinforcement Learning for Autonomous Crawling in a Planar Microgravity Analog : Sim-to-Real Evaluation at ESA’s Orbital Robotics Lab
[NO] 91/1000 | Bounds on Maximum Hermitian Hull Dimension of MDS Codes and MDS Codes with Explicit Hermitian Hulls
[NO] 92/1000 | Consistency-based Semi-supervised Evidential Active Learning Framework for Robust Classification of Radiology Images_supp1-3696868.pdf
[NO] 93/1000 | Efficient Disruption of Criminal Networks through Multi-Objective Genetic Algorithms
[NO] 94/1000 | Generalized Bayesian Linearized AVO Inversion using Box–Cox Transform
[NO] 95/1000 | Using Anti-Personas to Model Children: How to Represent User-System Mismatches
[NO] 96/1000 | Productively Wrong: How Auditing Open Profiles Enhances Interest Awareness and Reflection in Movie Recommenders
[NO] 97/1000 | How Humans and LLMs Differ in Processing Uncertainty in Polarized Discourse
[NO] 98/1000 | User-Conditioned Personalized Side-Information in Sequential Recommendation
[NO] 99/1000 | Trustworthy and Adaptive LLMs for Mental and Physical Wellbeing in Recommendations
[NO] 100/1000 | Student Web Search Behaviour: A Comparative Study of AI-Assisted and Traditional Search Styles and Performance
[YES] 101/1000 | Beyond Accuracy: Characterizing Code Comprehension Capabilities in (Large) Language Models
[YES] 102/1000 | CNnotator: LLM-Guided Memory Safety Annotation Synthesis
[NO] 103/1000 | Poster: Toward robust, fast, scalable autonomous plastics sorting
[NO] 104/1000 | The 14th International Workshop on News Recommendation and Analytics (INRA 2026)
[NO] 105/1000 | DestiRec: User Interaction with a Travel Destination Recommender System
[NO] 106/1000 | On the Role of Dwell Time for Implicitly Profiling Museum Visitors
[NO] 107/1000 | Evaluating Persona Consistency and Emotion Understanding in Small Language Models
[NO] 108/1000 | Optimal Techno-Economic Energy Storage System Sizing for Islanded Microgrids
[NO] 109/1000 | The analysis of customized tokenizer for the development of isiNdebele language model
[NO] 110/1000 | Evaluating Histogram Matching for Robust Deep Learning–Based Grapevine Disease Detection
[NO] 111/1000 | Comprehensive comparison of acceleration voltage of selected dielectric liquids as a critical non-standard parameter describing dielectric properties of insulating liquids
[NO] 112/1000 | Effective-rotor model in frequency-domain stray losses estimation of the stator end-zone in a 240 MW turbogenerator
[NO] 113/1000 | Analysis of Routing Problems in Payment Channels and Optimization of the Payment System in Trading Platforms of Microgrid Networks
[NO] 114/1000 | Intermittent Event-Triggered Fixed-Time Containment Control for Disturbed Second-Order Multi-Agent Systems Under DoS Attacks
[NO] 115/1000 | Mechanistic Insights into Voltage Maintaining Performance of Dielectric Films: Material Dependence and Field Effects_supp1-3698069.docx
[NO] 116/1000 | Parallel Secure Pattern Matching with Differential Privacy and Consistency Checking
[NO] 117/1000 | Essential Proteins Prediction Using Features Synergy Model and GO Pure Centrality
[NO] 118/1000 | Probabilistic Causal Modelling of Factors Contributing to Stress, Anxiety, and Depression for Nurses and Social Workers
[NO] 119/1000 | Model Predictive Control for Constrained Linear Positive Systems on Graphs
[NO] 120/1000 | Reconstruction of Graph Signals on Complex Manifolds with Kernel Methods
[NO] 121/1000 | LEABS : A Latency- and Resource-Aware Bi-Directional Service Scheduling Framework for Relay Chains in the Internet of Vehicles
[NO] 122/1000 | AdRo-FL: Secure and Informed Client Selection for Federated Learning under Adversarial Aggregator_supp1-3696080.pdf
[NO] 123/1000 | Perception of Gendered Voice and Expressed Apology in Warehouse Robots
[NO] 124/1000 | Granular Convolutional Neural Networks: Interpretable Classification with Uncertainty Quantification
[NO] 125/1000 | The Equivalent Parameters of Losses in Inactive Parts of Transformers Under Nonsinusoidal Loads
[NO] 126/1000 | A Low Noise Amplifier Design with High Image Rejection and Selectivity Using Integrated BPF
[NO] 127/1000 | An Agentic Framework for Efficient and Scalable Web Content Classification
[NO] 128/1000 | Design, Modeling, and Validation of a 6-DoF Wearable Puncture Robot
[NO] 129/1000 | Bridging the Infrastructure Gap: An AI-Driven Framework for Automated Grant Matching in Environmentally Threatened Rural Communities
[NO] 130/1000 | DSFF: Dynamic–Static Feature Fusion Framework for Robust Cross-Dataset Deepfake Detection
[NO] 131/1000 | PCR-GP: Prior-Coupled Residual Gaussian Processes for Few-Shot Lipid Nanoparticle Formulation
[YES] 132/1000 | LLM-Seeded Genetic Improvement: Hierarchical AST Evolution with Multi-Level Donor-Code Transplants
[NO] 133/1000 | Prompt-Oriented Documentation: A Definition and Framework for Interactive User Manual and Developer Guides
[NO] 134/1000 | A New Quantum Efficient Fault Tolerant Parity Preserving Clifford + T ALU
[NO] 135/1000 | Online Weighted Majority Rule with Provably Optimal Weights for Multi-Agent Robotics
[NO] 136/1000 | Cyberlogic: A Foundational Framework for Cross-Space Logic in the Cyber-Physical-Social-Thinking Hyperspace
[NO] 137/1000 | Peak Factor Method for Predicting Maximum Response and Control Force in Across-Wind Direction for Active Base-Isolation
[NO] 138/1000 | Convergence of Large Language Models, Internet of Things, and Process Mining: A Systematic Literature Review_supp2-3696767.xlsx
[NO] 139/1000 | Force-Level Fusion of a Diffusion Transformer Model with a Learnable Social Force Model based Elastic Strip for Safe Trajectory Prediction
[NO] 140/1000 | Comparative Performance of Modern ML Architectures for Operational Seismic Forecasting
[NO] 141/1000 | Discrete quantum-classical walks for link prediction
[NO] 142/1000 | Federated Recommendations with Built-in Privacy and Explainability: A Conceptual Model
[NO] 143/1000 | Sustainability-Aware Multi-Agent Reinforcement Learning for UAV Response and Monitoring with Joint Communication and Sensing
[NO] 144/1000 | Comparative Analysis of Autonomous Robotic and Manual Techniques for Ultrasonic Sacral Osteotomy: A Preliminary Study
[NO] 145/1000 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp1-3697140.pdf
[NO] 146/1000 | DQ-VeDT: A Decentralized Quorum-based Authentication for Quantum-Safe Vehicular Digital Twins
[NO] 147/1000 | Semantic-Aware Multipath TCP: Enhancing Industrial IoT Flexible Manufacturing Networks With GAN-Based Packet Recovery
[NO] 148/1000 | Diffusion Bridge-Based Gradual Domain Adaptation for Fault Diagnosis: Concept, Algorithms and Applications
[NO] 149/1000 | Transformer-Based Anomaly Behavior Analysis for CPS in Water Infrastructure
[NO] 150/1000 | An End-to-End GPS-Based Traffic Speed Prediction Framework Without Explicit Map-Matching
[NO] 151/1000 | Partial Audio Deepfake Detection: Are We Really Detecting Synthetic Media or Just Dataset Content Biases?
[NO] 152/1000 | A Framework Enabling Object-based Queries Within Images on Digital Documents
[NO] 153/1000 | Robust Transmission Design for Secure RSMA-Aided ISAC Systems with Uncertain and Unknown Malicious Target Location
[NO] 154/1000 | Promoting Generalization for Exact Combinatorial Solvers via Adversarial Instance Augmentation
[NO] 155/1000 | AL-KalmanNet: Neural Network-Aided Kalman Filtering Based on Active Learning_supp1-3698385.pdf
[NO] 156/1000 | Radar Mounting Angle Estimation in Operational Driving Conditions
[NO] 157/1000 | Delopment of Method for Assessment of Power Supply Efficiency of Shop Electricity Network
[NO] 158/1000 | Automated detection of Enterobius vermicularis eggs in microscopic images using YOLOv8
[NO] 159/1000 | SynCAFG-Net: Synergistic Cross-Attention Feature Generation for High-Accuracy Lightweight Image Classification
[NO] 160/1000 | Cross-Modal Proxy Prompt Alignment for Fine-Grained Image Classification
[NO] 161/1000 | Themis: An explainable AI-enabled framework for Reinforcement Learning with Human Feedback
[NO] 162/1000 | Jamming a Smart Multiuser MISO System: A Shared Equilibrium to Three Jamming Transmit Beamforming Games
[NO] 163/1000 | Exploring Deep Learning and Ultra-Widefield Imaging for Diabetic Retinopathy and Macular Edema
[NO] 164/1000 | 2024 Saudi Arabia Smart Grid (SASG)
[NO] 165/1000 | Multifrequency Hysteresis Compensation and Fuzzy-Adaptive Fast Terminal Sliding Mode for Piezoelectric Nanorobots_supp1-3692843.docx
[NO] 166/1000 | IEEE Signal Processing Society Publication Information
[NO] 167/1000 | A GA-Optimised Wavelet-Based Ensemble Learning Model for Stock Index Trend Prediction
[NO] 168/1000 | Multi-Agent Reinforcement Learning for Time-Critical UAV Medical Supply Delivery with Dynamic Task Allocation
[NO] 169/1000 | Face Density as a Proxy for Data Complexity: Quantifying the Hardness of Instance Count
[NO] 170/1000 | Decentralization of Management in Ukrainian Power System: Understanding and Challenges
[NO] 171/1000 | Optimization of the Daily Load Schedule of the Microgrid According to the Criterion of the Electricity Purchase Cost
[NO] 172/1000 | Cryogenic Forming/Breakdown of HfO
                    <sub>x</sub>
                    for Reduced C2C Variability in Filamentary RRAM
[NO] 173/1000 | Longitudinal Digital Phenotyping for Early Cognitive-Motor Screening
[NO] 174/1000 | The NOAA-21 CrIS Sensor: A NOAA Operational Asset Providing Continuity for Weather Forecast and Environmental Monitoring
[NO] 175/1000 | Attention-Based Geo–Textual Fusion Network for Disaster Risk Prediction
[NO] 176/1000 | Stacked Intelligent Metasurface Assisted Multiuser Systems With Transceiver Hardware Impairments
[NO] 177/1000 | Bridging Cross-View Domain Gaps in Semantic Segmentation With Language-Guided Representations
[NO] 178/1000 | Quantum Kernels for SVM Entanglement Detection
[NO] 179/1000 | Multimodal Fusion for Time Series Forecasting: Learning from Temporal and Visual Data
[NO] 180/1000 | Evaluation of a Transfer-Learning Strategy for a Prototype Wearable sEMG Armband Trained for Upper Limb Grasp Classification
[NO] 181/1000 | Poisoning Object Detection Models for Surface Defect Inspection in Steel Manufacturing
[NO] 182/1000 | Combating Disinformation: A Deep Learning Approach for Supply Chain Resilience
[NO] 183/1000 | Robust Continuous Hand Gesture Spotting: An Empirical Study with Deep Sequential Encoding and Probabilistic Time-Series Modeling
[NO] 184/1000 | Simulated-Annealing-Assisted Artificial Hummingbird Algorithm for Efficient Parcel Delivery in Smart City_supp1-3659807.pdf
[NO] 185/1000 | Towards An Agentic Conversational Approach to Group Recommender Systems
[NO] 186/1000 | Cross-Domain Cold-Start Personalization via LLM-Synthesized Structured User Profiles
[NO] 187/1000 | Which Individual Differences Predict Success at an LLM-integrated Search Task?*
[NO] 188/1000 | Sustained Impact of Agentic Personalisation in Marketing
[NO] 189/1000 | WikiCoach: Scaffolding Learning for Novices in Online Apprenticeship Communities
[NO] 190/1000 | Democratizing Physical-AI Interfaces for Scalable Human-Centered Sensing
[NO] 191/1000 | Poster: Robust Multimodal Perception for Autonomous Mowers under Sensor Degradation
[NO] 192/1000 | Poster: An Offline-First Modular mHealth Platform for Rural Youth Mental Wellness
[NO] 193/1000 | Toward Practical Voice Privacy Protection in Physical and Digital Communication
[YES] 194/1000 | When Many-Shot Prompting Fails: An Empirical Study of LLM Code Translation
[NO] 195/1000 | Exploring the Latitude of Acceptance over Several Recommendation Turns in a Game Setting
[NO] 196/1000 | Trust as a Situated User State in Social LLM-Based Chatbots
[NO] 197/1000 | Studying Longitudinal Effects of Recommender Systems: A Multi-Method Approach
[NO] 198/1000 | Instructor-Centered Per-Question Adaptation for Short Answer Grading Using LLM Scores and Informative Sampling
[NO] 199/1000 | Participatory Elicitation of User Model Dimensions for Active Ageing: The EMERGE Methodology
[NO] 200/1000 | Using AI as a Chef: Users Overlook Nutritional Flaws in LLM-Generated Recipes
[NO] 201/1000 | Efficient On-Device Intelligence: From Continual Adaptation to Generative AI on Edge Devices
[NO] 202/1000 | High-Performance Networked Systems: A Tale of Connectivity at Scale
[NO] 203/1000 | Toward Physics-Grounded Environmental Intelligence through Wireless Sensing
[NO] 204/1000 | Poster: Tight-Coupled TDoA and IMU Fusion for Mobile Robot Localization
[NO] 205/1000 | Poster: Radar-based Semi-Autonomous Micro-Mobility Vehicle
[NO] 206/1000 | Demo: Lightweight See-Through V2X Makes Blind Spots Visible
[NO] 207/1000 | Poster: Physics Based Digital Twin Framework for an Autonomous Underwater Vehicle
[NO] 208/1000 | Poster: Towards multi-objective model partitioning for efficient Edge AI
[NO] 209/1000 | Poster: EVERESTS: A Mobile-First, AI-Driven Cyber-Safety Companion for Older Adults
[NO] 210/1000 | Breaker Page
[NO] 211/1000 | Ultra-Underactuated Coupled-Two-Wheeled Robot for Agile Omnidirectional Mobility
[NO] 212/1000 | Edge-Aware RIS-Assisted Dynamic Channel Allocation with Lightweight LLM Decision Agent for Interference Mitigation in Low-Altitude Remote Sensing Networks
[NO] 213/1000 | Physics-Guided Adaptive Fusion for Daylight-Effective Photovoltaic Power Forecasting under Meteorological Mismatch
[NO] 214/1000 | Thermal Stress and Mechanical Integrity Assessment of 110/15 kV Power Transformers Under Stochastic Power Flow Conditions
[YES] 215/1000 | Prompt Optimization through Reinforcement Learning for Generative Language Model Code Synthesis in Multi-Robot Systems
[NO] 216/1000 | BCAF: Bimodal connection attention fusion for robust emotion recognition from speech and text
[NO] 217/1000 | SF6 free solution for High-Voltage Switchgear Installed Base
[NO] 218/1000 | AI Driven Multi-Stage Modeling and Simulation Framework for Optimizing Healthcare Supply Chains
[NO] 219/1000 | Real-Time YOLOv8 Framework for Elderly Safety through Fall and Weapon Detection
[NO] 220/1000 | 2026 IEEE Conference on Artificial Intelligence (CAI)
[NO] 221/1000 | Loss Analysis of a Hybrid Active Neutral Point Clamped Active Power Filter Using SiC MOSFETs and Si IGBTs
[NO] 222/1000 | Federated TabTransformer: Self-Attention Based Privacy-Preserving Anomaly Detection for Heterogeneous IoT Telemetry
[NO] 223/1000 | Evaluating different alternatives for few-shot style-consistent character generation
[YES] 224/1000 | Asm2Src-LLMEval: A GenAI Pipeline for Multi-Metric Assessment of LLMs in Program Translation and Analysis
[NO] 225/1000 | Reliability-Oriented Remote Sensing Image Captioning via Confounding-Aware Feature Debiasing and Retrieval-Enhanced Conditioning
[NO] 226/1000 | Apparent Inductance-Based Fault Location in Active Distribution Networks: Impact of Distributed Energy Resources
[NO] 227/1000 | RL-FM: Reinforcement Learning-Driven Flow Matching for Multimodal Remote Sensing Image Classification
[NO] 228/1000 | Flat Inflatable Hydraulic Artificial Muscle (fiHAM) Actuator Based Wearable Robot for Exoskeleton
[NO] 229/1000 | 2026 IEEE 4th International Conference on Device Intelligence, Computing and Communication Technologies (DICCT)
[NO] 230/1000 | Jockey Motion Capture Device for Hippo therapy: Design, Development, and Preliminary Evaluation
[NO] 231/1000 | Generating Domain Models for Automated Planning from Natural Language Descriptions
[NO] 232/1000 | HySMOTE: A Hybrid Approach for Handling Class Imbalances
                    <sup>*</sup>
[NO] 233/1000 | A Causal Information-Flow Framework for Unbiased Learning-to-Rank
[NO] 234/1000 | Towards Calibration Enhanced Network by Inverse Adversarial Attack
[NO] 235/1000 | ATLAS: An Annotation Tool for Long-horizon Robotic Action Segmentation
[NO] 236/1000 | Smoothed Nonparametric Hierarchical Topic Modeling with Global Topic-Word Distributions via the Nested Dirichlet Distribution
[NO] 237/1000 | RPCANet$^{++}$: Deep Interpretable Robust PCA for Sparse Object Segmentation
[NO] 238/1000 | Underwater robot localization by measuring the Angle-Of-Arrival of one or more underwater signal transmitters
[NO] 239/1000 | Uncertainty-Aware LLM-Guided Policy Shaping for Sparse-Reward Reinforcement Learning
[NO] 240/1000 | Dynamic Agentic AI Expert Profiler System Architecture for Multidomain Intelligence Modeling
[NO] 241/1000 | CWFU: Cross-domain Wavelet Frequency Upsampling for Pan-Sharpening
[NO] 242/1000 | A System-Level Taxonomy of Failure Modes in Large Language Model Applications
[NO] 243/1000 | DS-LABRNav: Land-Air Bimodal Robot Navigation With Traversable Obstacles Base on Vision-Language Model_supp1-3698272.mp4
[NO] 244/1000 | AR-COMPASS: A Framework for Tacit Knowledge Capturing in Industrial Maintenance
[NO] 245/1000 | A High-Frequency and High-Voltage Power Supply Based on Pulse Transformer for Driving Glow Discharge Plasma
[NO] 246/1000 | AutoPath: Learning Transferable Goal-Conditioned Stochastic Path Prior for Safe Navigation Without Human Demonstrations
[NO] 247/1000 | Chemiluminescence Portable Device Integrated with Microfluidic Chip for Free Chlorine Detection in Tap Water
[NO] 248/1000 | Fine-Grained Text and Spectral Attribute Supervised Semantic Network for Hyperspectral Image Zero-Shot Domain Generalization
[NO] 249/1000 | ROMA: Enhancing Container OOM Resilience via Reinforced Isolation and Adaptive Shared Resource Reclamation
[NO] 250/1000 | Joint Resource Allocation and Trajectory Design for UAV-assisted Communication in Mountainous Terrain
[NO] 251/1000 | Do Language Models Help or Harm? The Role of LLM-Generated Explanations in Human-AI Image Classification Tasks
