[2026-07-18 22:50:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[IEEE] 2026-7-17 | Explainable Patient Health Risk Prediction Using Random Forest and Feature Importance Analysis
[IEEE] 2026-7-17 | Comparative Evaluation of Different YOLO Architectures for Drone Detection
[IEEE] 2026-7-17 | Predicting from Nilometer Data in Ancient Egypt: A Source of Interest for Statistical Learning in Sustainability Governance
[IEEE] 2026-7-17 | Fully Automated and EM-Circuit-Co-Simulated Inverse Design of Wideband Harmonic-Engineered Power Amplifier
[IEEE] 2026-7-17 | On-demand Volumetric Content for Teaching
[IEEE] 2026-7-17 | Utilizing AI-Powered Channel Coding Techniques to Enhance the Delivery of Lingnan Cultural Content in Communication System
[IEEE] 2026-7-17 | An Explainable Machine Learning Framework for Filipino Linguistic Proficiency Assessment Using Lexical, Syntactic, and Semantic Features Among Filipino GenZ Students
[IEEE] 2026-7-17 | 5G-Enabled V2V Communication for Real-Time ADAS with High-Precision UWB-GPS Localization
[IEEE] 2026-7-17 | Complexity-Aware Adaptive Bitrate Streaming for Improved Video Quality
[IEEE] 2026-7-17 | Interference Mitigation in Offshore USV Networks: A Hybrid Spread Spectrum and Adaptive Beamforming Approach
[IEEE] 2026-7-17 | Simulation of High Field Electron Transport in Bulk Gallium Antimonide
[IEEE] 2026-7-17 | Cyclic Fatigue Testing as a Reliability Assessment Method for HDI Circuit Boards
[IEEE] 2026-7-17 | Federated Learning for Cross-Institution Fraud Detection in Cloud
[IEEE] 2026-7-17 | Automated Nanofiltration–Electrodialysis Reversal (NF–EDR) Brine Concentration System for Salt Production in the Philippines
[IEEE] 2026-7-17 | Wearable and multimodal systems for early warning and tracking of epileptic seizures, a systematic review
[IEEE] 2026-7-17 | End-to-End Molecular Crystal Structure Prediction via Physics-Constrained Retrieval-Augmented GNN-VAE
[IEEE] 2026-7-17 | Behavioral Segmentation of Older Adult Mobility in Metropolitan Areas Based on a High-Resolution GPS Data: A Case Study of Île-De-France
[IEEE] 2026-7-17 | U-Net Based Liver Segmentation and CNN Classification for Early Disease Detection
[IEEE] 2026-7-17 | Spectral Monitoring of Dynamic IoT Communication Graphs
[IEEE] 2026-7-17 | Wireless Communications Feasibility for Automated Vehicle Marshalling Systems
[IEEE] 2026-7-17 | Artificial Intelligence as a Catalyst for Sustainable Development in Libya: An Integrated Analysis of Pathways, Challenges, and Strategic Frameworks
[IEEE] 2026-7-17 | From GLAM to Labs: Ethical–Technological Reconfigurations in Korea–Africa Cultural Cooperation
[IEEE] 2026-7-17 | Wi-Fi-Enabled CSI Sensing for Fine-Grained Filipino Sign Language Recognition
[IEEE] 2026-7-17 | eBPF Anomaly Detection Baselines: Evaluating Syscall and Network Instrumentation Layers
[IEEE] 2026-7-17 | FPGA Implementation of Clock Synchronization between Satellites and Earth Stations Under Doppler Effect
[IEEE] 2026-7-17 | QoS-Aware Load Balancing Scheme for Integrated Terrestrial–Non-Terrestrial Networks
[IEEE] 2026-7-17 | Modelling Eye Mechanics Using Eye-tracking Glasses and Deep Learning
[IEEE] 2026-7-17 | Automated Pavement Distresses Detection Using Image Processing and Deep Learning
[IEEE] 2026-7-17 | Integrative Radio-Genomics for Cancer Stage Prediction
[IEEE] 2026-7-17 | Deep Learning-Aided OFDM Doppler Estimation with Low Latency for Future 6G-ISAC Systems
[IEEE] 2026-7-17 | Low-Latency Relay Selection in NR-V2X Vehicular Communications via Graph Isomorphism Networks with Edge Features
[IEEE] 2026-7-17 | Real-Time Obstacle Avoidance and Optimal Trajectory Planning Based on Combined Adaptive Particle Swarm and Artificial Potential Field Theory
[IEEE] 2026-7-17 | Automated Blood Cell Segmentation and Counting using Multi-Class U-Net with Semantic Segmentation on the BCCD Dataset
[IEEE] 2026-7-17 | Statistical Analysis of Process Parameters for Laser Micro Machining in Inconel 718: A Pilot Study for Laser-Hybrid Micro Machining
[IEEE] 2026-7-17 | E-Scooter–Mounted mmWave FMCW Radar for Urban Terrain Characterization and Collision Avoidance
[IEEE] 2026-7-17 | Gamma2Patterns: Deep Cognitive Attention Region Identification and Gamma-Alpha Pattern Analysis
[IEEE] 2026-7-17 | Data-Driven Analysis of Heat Treatment Effects on Microstructural Homogenization and Mechanical Anisotropy in WAAM ER70S-6 Steel: Toward AI-Enhanced Additive Manufacturing
[ACM] 2026-7-18 | Study on Temporal-Spatial Water Quality Variation Characteristics During Flood Season and Effect of Water Quality Improvement Projects in Jinyin Lake Based on Spatiotemporal Data Analysis and Nonlinear Fitting
[ACM] 2026-7-18 | Triplanar Mapping Based on Local Coordinate Systems: A UV-Free Seamless Texturing Method for 3D Models
[ACM] 2026-7-18 | Research on Evaluation Method of Navigate on Autopilot for Urban Application Scenarios
[ACM] 2026-7-18 | Research on Propagation Characteristics of 2.4GHz / 5GHz Radio Signal in Typical Terrain
[ACM] 2026-7-17 | VirtualHAB: A Simulated openHAB Digital Model for Rules Testing
[ACM] 2026-7-17 | Projectional Decoding: Towards Semantic-Aware LLM Generation
[ACM] 2026-7-17 | YASA: Scalable Multi-Language Taint Analysis on the Unified AST at Ant Group
[ACM] 2026-7-17 | An Empirical Analysis of Rust Integration in Android Open Source Project
[ACM] 2026-7-17 | Greetings from the New Editors-in-Chief
[IEEE] 2026-7-17 | WiSER-X: Wireless Signal-Based Decentralized Multi-Robot Exploration Without Explicit Information Exchange_supp3-3711857.mp4
[IEEE] 2026-7-17 | Agentified 6G Edge Intelligence: Exploring Embodied AI in Open RAN and Future Research Directions
共写入 1000 条记录，保存到 papers/paper2026-07-17.json。
论文获取成功，文件路径: papers/paper2026-07-17.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[YES] 2/1000 | Kea2: Practical Property-based Testing for Mobile Apps
[YES] 3/1000 | DependaFix: A GitHub App for Fixing Breaking Dependency Updates in CI Build for Java Projects
[NO] 4/1000 | Team Diversity Promotes Software Fairness: An Experiment on Fairness-Aware Requirements Prioritization
[NO] 5/1000 | LLM Agents for AIOps in Kubernetes: An Industrial Experience Report with Red Hat OpenShift
[YES] 6/1000 | When Testing Meets Refactoring
[NO] 7/1000 | Towards Trustworthy AI-Enabled Systems: From Model-Level Reliability to Systemic Assurance
[YES] 8/1000 | Scaling Code Assistants Without Retraining with Model Merging: Capability Fusion &amp; Sustainable Adaptation
[NO] 9/1000 | Observability and Runtime Governance for Agentic AI Systems
[NO] 10/1000 | MS-GCFANet: A Multi-scale Gramian and Cross-phase Feature Attention Network for PMSM Current Sensor Fault Diagnosis
[NO] 11/1000 | LUD-YOLO: An Efficient and Balanced Object Detection Model for Unmanned Aerial Vehicles
[NO] 12/1000 | Front-Stage Efficiency Regulation Strategy of Wireless Power Transfer System With Adaptive Resolution On-Off Keying Modulation
[NO] 13/1000 | Multimodal Sentinel-1/2 Data Fusion with a Dual-Path ViT-Kolmogorov-Arnold Network Pipeline for AI-driven Flood Event Classification
[NO] 14/1000 | GeM-VO: Deep Stereo Odometry with Geometry Masks in Dynamic Environments
[NO] 15/1000 | An Improved Jiles&amp;#x2013;Atherton Hysteresis Model for Giant Magnetostrictive Materials with Parameter Identification based on Improved Arctic Puffin Optimization_supp1-3711190.doc
[NO] 16/1000 | Sponsors Page
[NO] 17/1000 | NeuroLearn: A Wearable EEG-Based System for Affective-Cognitive Monitoring and GenAI-Assisted Adaptive Learning
[NO] 18/1000 | Fabrication Experience and Requirement Comparison of 316L(N)-IG Forging for ITER In-Vessel Components
[NO] 19/1000 | Bowden-Bead-Cable Transmission System: A Space-Variable Flexible Meshing Transmission for Exoskeletons_supp1-3707540.mp4
[NO] 20/1000 | A Three-Factor Model of Engagement and Persistence From Difficulty-Adjusted Practice Decisions in Online Mathematics Learning
[NO] 21/1000 | H
                    <sup>3</sup>
                    Former: Hypergraph-based Semantic-Aware Aggregation via Hyperbolic Hierarchical Contrastive Loss for Fine-Grained Visual Classification
[NO] 22/1000 | Back Cover
[NO] 23/1000 | High Performance 84-Pulse Driver for Speed Control of Permanent Magnet Synchronous Motors
[NO] 24/1000 | Cascade Pixel Transformer with Distance-Driven Spatial Fusion for Hyperspectral Image Classification Using Limited Training Samples
[NO] 25/1000 | Current Density Modelling of Electromigration Test Vehicles (0402 and 0201) Based on Realistic Solder Joint Geometries
[NO] 26/1000 | Switching-Mode Power Supply Circuit for Telecommunications Applications
[NO] 27/1000 | Study of Structure and Microwave Properties of Magnesium Titanate Ceramic Samples Synthesized by the Pechini Method
[NO] 28/1000 | Ethical-Aware Narrative Agents for Responsible Brand Communication: A Framework and Empirical Validation
[NO] 29/1000 | Multi-Modal Artificial Intelligence for Green Supply Chain Management in Energy Industry
[NO] 30/1000 | Establishing a Trustworthy Discovery Workflow for High-Entropy BNT Ceramics via SHAP-Interpretable Machine Learning
[NO] 31/1000 | UAV-Assisted Multi-Victim Localization for V2X-Enabled Disaster Response via Information-Guided Sampling
[NO] 32/1000 | Spatiotemporal Characterization of Campus Wi-Fi Activity during the Iberian Peninsula Blackout
[NO] 33/1000 | Scalable Lineage Classification and Out-of-Distribution Detection for Long-Read Viral Genomes: The BioHyena-Sentinel Framework
[NO] 34/1000 | Design of an AI-Powered Adaptive Learning System for Education in the Metaverse Classroom
[NO] 35/1000 | Benchmarking Data Heterogeneity Challenges in Federated Learning for Distributed Renewable Energy Forecasting: A Systematic Gap Analysis
[NO] 36/1000 | Financial Fraud Detection: A Data Science and Machine Learning Comparative Study on Synthetic Transactions
[NO] 37/1000 | Performance based assessment and life cost analysis for urban pavement maintenance decision-making
[NO] 38/1000 | Robust Dispatch Order Reception in Shared Autonomous Electric Vehicle Fleets Using IRS-Assisted V2X Communications
[NO] 39/1000 | A GaN MMIC Power Amplifier Model Derived from Active Load-Pull Measurements
[NO] 40/1000 | Comparative Analysis of Particle Swarm Optimization and Random Forest for DC Motor Parameter Identification
[NO] 41/1000 | Comparative Uncertainty Modeling for Rooftop PV Forecasting: Deterministic, Stochastic, and ML Integration
[NO] 42/1000 | Artificial Intelligence Solution for Flotation Froth Load Prediction
[NO] 43/1000 | Surface Triangulation as a Method for Adaptive Linearization of Electronic Three-Terminal Component Mathematical Models
[NO] 44/1000 | Characterizing Buffer Overflow Constraints in UAV Data Collection with Energy-Harvesting Sensors
[NO] 45/1000 | EcoVision: A DL-Based Structure for Real-Time Plastic Waste Recognition, Classification, and Localization
[NO] 46/1000 | Stateful LLM Agents for Autonomous Capture-the-Flag Solving
[NO] 47/1000 | Edge-Deployable Drone Detection: A Systematic Benchmark of Modern YOLO Variants
[NO] 48/1000 | Stress Ageing Effects on SiC MOSFET Threshold Voltages
[NO] 49/1000 | A Lightweight Hybrid Neural Network for Multimodal Human Activity Recognition
[NO] 50/1000 | Assessing Pedestrian Space Performance in TOD-Based University Towns for Sustainable Development
[NO] 51/1000 | Contrastive Learning with Hash Coding for Cross-Modal Retrieval Algorithm Optimization of Mosuo Costume Symbols
[NO] 52/1000 | Research on Train Timetable Optimization for Urban Rail Transit under Passenger Flow Conditions
[NO] 53/1000 | Application of Urban Transportation Systems and Parking Demand Analysis Driven by Data
[NO] 54/1000 | How Financial and Privacy Risks Shape Behavioral Intention: The Mediating Role of Risk Perception and the Moderating Role of Trust
[NO] 55/1000 | Wind Power Forecasting Model Based on Quantum Particle Swarm Optimization and Long Short-Term Memory Network
[NO] 56/1000 | A Selective Multi-View Representation Augmentation Framework for Crystal Property Prediction
[NO] 57/1000 | Personalized Data-Free Knowledge Distillation for Federated Learning under Heterogeneous Models and Data
[NO] 58/1000 | Leave, Mute, or Retaliate? How Young Adults Handle Toxicity in Multiplayer Online Games
[NO] 59/1000 | Mode-Wise Kernel Density Estimation and Gaussian Mixture Copula for Multimodal Uncertainty Modeling in Probabilistic Power Flow
[NO] 60/1000 | On the Reliability of GaN Schottky Diodes Under Parasitic Current Injection
[NO] 61/1000 | Compact Four-Port Ka-Band MIMO Antenna for Enhanced Gain and Broadband Operation Using a Unified Ground Structure
[NO] 62/1000 | Voltage-Based Faulty Section Identification in Rural Networks: Addressing IBR Integration and SWER Circuit Challenges
[NO] 63/1000 | Image-Centric Deep Learning Ensemble Approach for Automated Wax Moth Infestation Detection in Honey Bee Apiaries
[NO] 64/1000 | Towards Better Robustness: Pose-Free 3D Gaussian Splatting for Long and Unconstrained Video Sequences_supp1-3713242.pdf
[NO] 65/1000 | A Spectrogram-Based Approach for Tire Type Classification Using Pass-By Noise
[NO] 66/1000 | Impact Evaluation of Opening Pattern and Spacing on Wireless Power Transfer in Metal-Body Mobile Devices
[NO] 67/1000 | YODA: Yet Another One-step Diffusion-based Video Compressor
[NO] 68/1000 | Fast AI Model Partition for Split Learning over Edge Networks_supp1-3709072.pdf
[NO] 69/1000 | A Survey on Adversarial Deep Learning in Computer Vision
[NO] 70/1000 | Table of Contents September 2026
[NO] 71/1000 | On the Gaussian-Quadratic Rate-Distortion Function for Vector Sources with Individual Distortion Constraints
[NO] 72/1000 | Ultra-High-Speed Evacuated Tube Wireless Channel Modeling and Capacity Evaluation
[NO] 73/1000 | Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation_supp1-3711762.pdf
[NO] 74/1000 | Induction Logging Through Casing by Detecting Lateral Waves: Reduced Scale Experiments
[NO] 75/1000 | Proceedings
[NO] 76/1000 | ELNANO 2026 Cover Page
[NO] 77/1000 | ELNANO 2026 Breaker Page
[NO] 78/1000 | Game-Ready Hair in Minutes! Hair Mesh Modeling with Physics
[YES] 79/1000 | HalluJudge: A Reference-Free Hallucination Detection for Context Misalignment in Code Review Automation
[YES] 80/1000 | SCAR: Mining and Structuring Smart Contract Security Audit Reports
[NO] 81/1000 | Adopting Concepts for Sustainable Improvement of the Developer Experience within a Medium-sized Corporation
[NO] 82/1000 | Mapping GitHub Sponsorships: A Longitudinal Observatory for Open-Source Sustainability
[YES] 83/1000 | From Syntactic to Semantic Spectra for Fault Localization
[YES] 84/1000 | RepoFuse: A Dual-Context Approach to Repository-Level Code Completion at Industrial Scale
[NO] 85/1000 | VoiceGuard: Adversarial Social Engineering Training Using Large Language Models
[NO] 86/1000 | Edge Intelligence Using Physics-Based ML Models with LLM Reasoning for Spectrum Sensing
[NO] 87/1000 | Scaling Multi-Robot Search and Rescue: A Comparative Study of Metaheuristic Exploration Methods
[NO] 88/1000 | Machine Learning-Based Evaluation of Password Security and User Awareness for Cyber Risk Prevention
[NO] 89/1000 | Machine Vision-Based Image Recognition: A Curated Image Dataset
[NO] 90/1000 | 7-8.4 GHz PA with Reconfigurable Output Matching Network for PAE Recovery
[NO] 91/1000 | Gaussian Regression Process Modeling of Bioconvective Nanofluid Flow in a Magnetically Driven Square Cavity
[NO] 92/1000 | Process Development for Maskless UV Lithographic Patterning of Polymeric Single-Mode Waveguides
[NO] 93/1000 | OAT-UNet: An Orthogonal Anisotropic Topology Network for Robust Pavement Crack Detection in Complex Backgrounds
[NO] 94/1000 | Analysis of Noise Components in High-Precision Temperature Sensors
[NO] 95/1000 | Optimal Noise Filtering in Magnetic Resonance Images via Compression Using Versatile Video Coding
[NO] 96/1000 | Assessing the Effects of Post-Quantum Cryptography on Edge Intelligence of TinyML-Based IoMT Healthcare Systems
[NO] 97/1000 | Context-Aware Intrusion Detection for Smart Homes Under Alert-Budgeted Risk Prioritisation
[NO] 98/1000 | Extending PayJoin to Lightning Channel Funding: A Practical Method for Obfuscating Channel Opens on the Bitcoin Blockchain
[NO] 99/1000 | Electrical Properties Extended Analysis of Alkaline Primary Electrochemical Cells and Commercial Aspects on the CE Market
[NO] 100/1000 | AI Secured Simulation of Wireline Blueprints
[NO] 101/1000 | Cross-coupled Colpitts Voltage-controlled Oscillator with Tail Orthogonal Transformers
[NO] 102/1000 | Efficient Transformer Architecture Outperforms Foundation Models for Satellite-based Flood Detection
[NO] 103/1000 | AI-Based Fault Diagnosis of Gear Systems Using FFT Features and Classification Models
[NO] 104/1000 | Federated Hybrid DL for Privacy-Preserving Emission Prediction in Heavy-Duty Vehicles
[NO] 105/1000 | SOX2OT as a Novel Prognostic Biomarker and Therapeutic Target in Colorectal Cancer
[NO] 106/1000 | Welding Speed Effects on Thermal Behaviour and Penetration in Laser Welding of SS316 Using FEA
[NO] 107/1000 | AI-Driven Test Case Generation Using Retrieval-Augmented Enterprise Knowledge
[NO] 108/1000 | Safe-by-Design Governance for LLM-Assisted Emergency Call Triage: Auditability, Human Oversight, and Degraded-Mode Resilience
[NO] 109/1000 | Adaptive Neural Guardrails for Large Language Models - A Comprehensive Framework for Prompt Safety and Security
[NO] 110/1000 | Generative AI Agents in Personalized Learning and Assessment: A Systematic Bibliometric Review
[NO] 111/1000 | High-Resolution Numerical Simulation and Evaluation of Near-Surface Air Temperature in the Source Region of the Yangtze River and the Yellow River based on WRF
[NO] 112/1000 | A Cognitive Load Theory-Based Study on the Impact Mechanisms of Generative AI Application Patterns on Learning Engagement: Metacognitive Regulation and Disciplinary Differences from a Science and Engineering Perspective
[NO] 113/1000 | Research on the AIGC translation path of Tujia stilted houses driven by cultural genes
[NO] 114/1000 | A Study on the Optimization of Lane Allocation at Highway Toll Stations Based on Queuing Theory
[NO] 115/1000 | Proactive Commuter Car-Pooling Matching Service for Private Cars Using Deep Reinforcement Learning
[NO] 116/1000 | Assessing Urban Land Use Efficiency and Its Driving Mechanisms: Combining SBM-GRA Modeling and Land Use Dynamics in Lanzhou's Main Urban Area
[NO] 117/1000 | Research on Load Forecasting Method for Building HVAC  Systems Integrating Transformer and Physical Constraints
[NO] 118/1000 | Research on the Measurement Method of Rural Production-Living Spatial Integration Degree Based on GIS and Shannon Entropy Model: A Case Study of Shilonggou, Wen County, Gansu Province
[NO] 119/1000 | An Interleaved LC Resonant Three-Level Boost Converter for a Wide Range of Input Voltage
[NO] 120/1000 | An Integrated Image Matching and Block Adjustment Method for Regional-Scale Spaceborne SAR Image Mapping
[NO] 121/1000 | Sapphire Photonic Crystal Fiber Sensor
[NO] 122/1000 | SLA Compliance in TOSCA-based Multi-access Edge Computing Deployments
[NO] 123/1000 | Bigger Is Not Always Better: Controlled Evaluation of Embedding Compression for Cybersecurity Question Answering
[NO] 124/1000 | High-Efficiency Co-Designed Lumped-Distributed RF Filters
[NO] 125/1000 | BiasAgent: Exploiting Agent Bias for Preference Manipulation Attacks on Model Context Protocol
[NO] 126/1000 | Self-Organizing Headway Control for Drag-Efficient Heavy-Duty Vehicle Platooning
[NO] 127/1000 | PANDA: Diffusion-Guided Purification and Adaptation for Robust Point Cloud Classification against Adversarial Attack
[NO] 128/1000 | On Success and Simplicity: A Second Look at Transferable Vision-Language Attack Pipeline
[NO] 129/1000 | Heavy Ion Induced Single Event Effects in 6.5 kV and 10 kV SiC Power MOSFETs and Correlation to the SELC and SEB Depletion Capacitance Energy Models
[NO] 130/1000 | FedSADP-IDS: Self-Adaptive Differential Privacy Federated Intrusion Detection with Risk-Sensitive Gradient Selection for Internet of Vehicles
[NO] 131/1000 | A Clustered Random Sampling Consensus-Based Robust Calibration Method for Triaxial Magnetometer
[NO] 132/1000 | Electromagnetic Parameter Extraction Algorithm Based on Modified Harris Hawks Optimization–Differential Evolution
[NO] 133/1000 | Generalizable Physics-Informed BLER Digital Twinning Under Incomplete Data_supp1-3709171.pdf
[NO] 134/1000 | Transmitting Circular-Polarized Phased Array with Self-Packaged, Direct Integrated Active Elements
[NO] 135/1000 | AirMask: Enabling Air-to-Air Masking of Wireless Traffic Fingerprints in WiFi-based IoT Environments
[NO] 136/1000 | PAGER: Physics-Aware Gabor Energy-Gated Network for SAR Image Registration
[NO] 137/1000 | Lazy-DaSH: A Lazy Approach for Hypergraph-Based Multi-Robot Task and Motion Planning
[NO] 138/1000 | ExposNet: A Deep Learning Framework for EMF Exposure Prediction in Complex Urban Environments
[NO] 139/1000 | AIMS: A Content-Aware Resource Management Approach for AI Assistant Systems
[YES] 140/1000 | TokenScope: Token-Level Explainability and Interpretability for Code-Oriented Tasks in Large Language Models
[YES] 141/1000 | DePro: Understanding the Role of LLMs in Debugging Competitive Programming Code
[NO] 142/1000 | An Overview of Sharding Technology in Blockchain
[YES] 143/1000 | VerilogASTBench: Benchmark Construction of Verilog AST Dataset with Dual-Stage AST Semantic Enhancement Framework
[NO] 144/1000 | Reflex: Event-Driven Automated Fault Localization for Large-Scale LLM Training
[NO] 145/1000 | Fairness in Multi-Agent Systems for Software Engineering: An SDLC-Oriented Rapid Review
[NO] 146/1000 | A Flexible FPGA-based Butterfly Engine for Accelerating Signal Processing and Machine Learning
[NO] 147/1000 | Enhancing Change-Centric Building Damage Assessment Using Class-Aware Augmentation and Lightweight MobileNet Classification
[NO] 148/1000 | IoT-Driven Optimization for Sustainable Urban Waste Collection
[NO] 149/1000 | Contactless Human–Robot Interaction for Adaptive Intelligent Control
[NO] 150/1000 | Neural Network–Based Solution of the Inverse Radar Cross Section Problem
[NO] 151/1000 | Refractive Index Control in Alq
                    <sub>3</sub>
                    /DCM-based Thin Films
[NO] 152/1000 | QB-HHO: Enhancing Data Integrity and Secure Communication in Distributed Clouds
[NO] 153/1000 | Bridging Digital Divide for Videoconferencing Participants with Unequal Mobile Connectivity: A Simulcast-MEC Approach
[NO] 154/1000 | Predicting Early Sales of PC Games using Steam Wishlists and User Ratings
[NO] 155/1000 | RL-Tutor: Combining Reinforcement Learning and Explainability for Adaptive Feedback Timing in Collaborative Learning
[NO] 156/1000 | A Review of Multimodal Emotion Recognition: Deep Learning-Based Methods and Applications
[NO] 157/1000 | An Explainable and Uncertainty-Aware Machine Learning Framework for Reliable Dermatological Disease Diagnosis
[NO] 158/1000 | Particle Swarm Optimization-Based MPPT tracking with Voltage-Oriented Control for Grid-Connected PV Systems under Partial Shading Conditions
[NO] 159/1000 | Trustworthy Natural-Language Analytics Over Private Smart Home IoT Data via Time-Aware RAG
[NO] 160/1000 | An Improved Recursive Least Square Algorithm for Online Parameter Identification of 2-RC Equivalent Circuit Model
[NO] 161/1000 | Architecture-Aware Threat Modeling and Deployment-Time Attack Surface Analysis for LLM-Integrated Applications
[NO] 162/1000 | Influence of Evaporation Duct on SHF Maritime Propagation: A Comparative Analysis Utilizing an Extended Two-Ray Ground Reflection Model
[NO] 163/1000 | Thick Film Thermistors for Measuring Air and Ground Temperature Profiles
[YES] 164/1000 | Diversity-Stacked Ensemble (DSE): A Heterogeneous Meta-Ensemble Framework for Imbalanced Software Defect Prediction
[NO] 165/1000 | The Role of Explainable Artificial Intelligence (XAI) in Software Engineering: A Systematic Review
[NO] 166/1000 | A Compact Hexagonal Patch Antenna with Slot-Based Controlled Frequency Tuning
[NO] 167/1000 | Bibliometric Analysis of Optimization Techniques in Predictive Modeling
[NO] 168/1000 | Soldering of Vertically Stacked PCBs with Different Selective Surface Finish in Vapour Phase Reflow
[NO] 169/1000 | Prediction of Feelings in Individuals with Eating Disorders Using Physiological Signals
[NO] 170/1000 | Attention-Driven Efficient Net for Brain Tumor Classification
[NO] 171/1000 | Two Concepts of 3D-Printed Mechanically Tunable Phase Shifters Based on Rectangular Waveguides
[NO] 172/1000 | Mining Periodic Closed High-Utility Sequential Patterns
[NO] 173/1000 | Size-Aware Learning and Contrast Enhancement for Multiple Sclerosis Lesion Segmentation in Brain MRI
[NO] 174/1000 | WGAN Manifold Purification and Robust Distillation for Secure 6G MIMO-OFDM Channel Estimation
[NO] 175/1000 | An Impedance-Boosted Ka-Band Colpitts VCO with a PN
                    <sub>1MHz</sub>
                    of −107 dBc/Hz in 90 nm SiGe BiCMOS Technology
[NO] 176/1000 | IEEE Guide for Designing and Developing Graphical User Interfaces for Monitoring and Control of Nuclear Power Generating Stations and Other Nuclear Facilities
[NO] 177/1000 | Strategic Leadership for Human-Centric AI Adoption in Automotive Manufacturing Organisations
[NO] 178/1000 | A Comprehensive Survey on Vision Transformers, Few-Shot Learning, and Lightweight Clinical Deployment in Next-Generation Artificial Intelligence
[NO] 179/1000 | An Integrated Hybrid Intelligence Approach to Enhance Generalization and Accuracy in Breast Cancer Diagnosis from Diverse Clinical Data
[NO] 180/1000 | Enhancing Remote Patient Care Through an Integrated Multi-Sensor Wearable Health System for Neurological and Cardiac Disorders
[NO] 181/1000 | Landscape Gene Atlas Construction for Traditional Villages along the Ancient Shu Road: A case study of Qinglinkou Village, Sichuan, China
[NO] 182/1000 | Spatial Analysis and Ensemble Simulation of Supply-Demand Coordination for Urban Green Space Leisure Services: A Case Study of Guangzhou
[NO] 183/1000 | TRACE: Topology-aware Reconstruction of Accidents in CARLA for AV Evaluation
[NO] 184/1000 | Towards Predicting Multi-Vulnerability Attack Chains in Software Supply Chains from Software Bill of Materials Graphs
[YES] 185/1000 | TwinMem-Agent: Episodic and Semantic Memory for Repository-Level Program Repair
[YES] 186/1000 | TestAgent: A Multi-Agent LLM Framework for Repository-Level Unit Test Generation
[YES] 187/1000 | From Helpful to Trustworthy: LLM Agents for Pair Programming
[NO] 188/1000 | An Empirical Study of Public Generative Art Repositories
[YES] 189/1000 | The Fast and Spurious: Developer Productivity with GenAI
[NO] 190/1000 | The Parameter Window Linear Canonical Transform: Properties and Energy Optimization
[YES] 191/1000 | Optimization of Power/Ground Microvia Placement in Multiple Power Domain 3D-IC Package Substrates using Deep Reinforcement Learning
[NO] 192/1000 | Effect on the driving range of an electric vehicle when photovoltaic systems are integrated into its bodywork
[NO] 193/1000 | A Decentralized Learning Architecture for Medical Prescription Anomaly Detection via Hybrid Federated-Swarm Learning
[NO] 194/1000 | ICCSPA 2026 TOC
[NO] 195/1000 | Domain-adaptive Class Prototype Learning for Domain Generalization
[NO] 196/1000 | Mitigating Knowledge Decay in Engineering Calculus Through Spaced Repetition and Active Learning
[NO] 197/1000 | Context-Aware Evaluation of Signal Timing Interventions on Red-Light Running Using High-Resolution Traffic Controller Data
[YES] 198/1000 | An Efficient SPICE Framework for Simulation of BTI Effects at the Circuit Level
[NO] 199/1000 | A Fully-symmetric Compact Atomic Gradiometer and its CMRR Calibration in the Earth’s Field Environment
[NO] 200/1000 | A Novel Quasi-Repetitive Sliding Mode Control Strategy for Three-Phase Four-Leg Three-Level Inverters
[NO] 201/1000 | Reconfigurable quantum key distribution
[NO] 202/1000 | Front Matter
[NO] 203/1000 | 2026 IEEE 43rd International Conference on Electronics and Nanotechnology (ELNANO)
[NO] 204/1000 | Synthesis of Ag-doped ZnO nanocrystals by electrolytic method and their characterization
[NO] 205/1000 | Acoustic Feature-Based Laryngeal Voice Disorder Classification Using Machine Learning and Statistical Comparison
[NO] 206/1000 | Comparative Study of Powder MOF-303 and In-Situ Coated MOF-303 on Stainless Steel Mesh for Lithium Adsorption from Aqueous Solutions
[NO] 207/1000 | Porous Silicon Buffer Layer for β-SiC/Si Heterostructures for High-Performance Supercapacitors
[NO] 208/1000 | Sustainable Edge AI for IoT-Based Disaster Detection: Energy–Accuracy Trade-offs in YOLOv8 on Apple Silicon
[NO] 209/1000 | State of the Art of the Implementation of Artificial Intelligence in Manufacturing Sector
[NO] 210/1000 | Integration of Software Defined Networking and Machine Learning Techniques in Detection and Mitigation of DDoS Attacks
[NO] 211/1000 | Improving Recommendation Serendipity by Chain-of-Thought Prompting in Large Language Models
[YES] 212/1000 | Veritas: Dynamic Evaluation Framework for Rag Systems' Defense Against Prompt Injection Attacks
[NO] 213/1000 | ClearWay AI: A Non-Blocking Multi-Threaded Architecture for Real-Time Assistive Navigation via Edge-Optimised Object Detection and OCR
[NO] 214/1000 | Cloud-Enabled Data-Driven Performance and Digital Transformation Strategies for Sustainable Business and Workforce Management
[NO] 215/1000 | Nonlinear Frequency Tunability of Antiferromagnetic Spin Hall Oscillators
