[2026-08-27 02:58:05] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-26
正在获取论文...
[arXiv] 2026-08-26 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[NO] 158/1865 | Torsion balances as operational probes of semiclassical gravity: Matched-filter bounds, torque-diffusion constraints, and quantum-noise benchmarks
[NO] 159/1865 | PlanSightRAG: A Visual-First Multimodal RAG for Automating Question Answering and Compliance Checking for Civil Standard Plans
[NO] 160/1865 | Fast Generative Grasping via Lie Group-Constrained MeanFlow
[NO] 161/1865 | Incommensurate spin fluctuations in one-dimensional Kondo metal CeCo2Ga8
[NO] 162/1865 | Lab earthquakes confirm the theory of frictional slip pulses
[NO] 163/1865 | Fine-Tuning Whisper for Automatic Speech Recognition in Baniwa: A Preliminary Study
[NO] 164/1865 | Giving Mechanical Engineers Intelligent Tools: A Project-Based AI Education Curriculum in Thermal Engineering
[NO] 165/1865 | $R^3$: Training Robots to Reason in Natural Language via Reinforcement Learning
[NO] 166/1865 | Electrical manipulation of oxygen stoichiometry in multiterminal YBa$_2$Cu$_3$O$_{7-δ}$ junctions
[NO] 167/1865 | Polynomial extensions do not preserve the strong finite type property
[NO] 168/1865 | Robust CurveMoE: Multi-Norm Adversarial Defense for Mixture-of-Experts Models via Mode Connectivity
[NO] 169/1865 | Trace Integrity for LLM Data Agents: A Vision for Auditable Structured Reasoning in Real-World Systems
[NO] 170/1865 | Dual modes in Kerr spacetimes and the Whiting transform: Mode stability revisited
[YES] 171/1865 | Vulnerable Code Search: Transferable Attack for Code Language Models
[NO] 172/1865 | A heterogeneously integrated coupled-cavity frequency beam splitter
[NO] 173/1865 | Electron spin resonance driven photogalvanic effect in graphene-based structures
[NO] 174/1865 | Bayesian Optimization for Self-Driving Materials Laboratories: From Algorithms to Physics-Informed Workflows
[NO] 175/1865 | Exact Common Information and Exact Channel Synthesis for Correlated Gaussian Sources
[NO] 176/1865 | Imitation Learning for Connection-Tableau Construction
[NO] 177/1865 | A Self-Evolving Multi-Agent Framework Defense against LLM Jailbreak Attacks
[NO] 178/1865 | Visualizing Wireless Propagation and Polarization in Augmented Reality with ESPARGOS
[NO] 179/1865 | Spectral Allocation: Why Muon Outperforms Adam, and How to Improve Muon
[NO] 180/1865 | Sharp Concave-Function Transfer for Lee-Type Schatten Norm Inequalities
[NO] 181/1865 | Jet Quenching Meets Gluon Saturation
[NO] 182/1865 | Nonconcentric Multi-shell Nanowires: Geometry-Induced Plasmon Hybridization and Near-Field Localization
[NO] 183/1865 | SciMIF: Understanding Multimodal Instruction Following in Scientific Domains
[NO] 184/1865 | Positive $τ$-bi-Ricci curvature and Mean curvature flow with surgery in hyperbolic space
[NO] 185/1865 | An Approximately 70-Year Core-Related Modulation of Earth Rotation and Its Implications for the Leap Second
[NO] 186/1865 | Superadditivity of classical communication over quantum channels via random and deterministic permutations
[NO] 187/1865 | LivingRAG: Augmenting Graph RAG with Experience
[NO] 188/1865 | Position- and Momentum-Space Quantum Information Measures of the Double-Morse Oscillator
[NO] 189/1865 | Entirely nonlocal quantum magic without entanglement
[NO] 190/1865 | The properties of the first continuous gravitational waves: Optimizing pulsar timing observations for supermassive black hole binary detection
[NO] 191/1865 | Calabi type Kahler surfaces
[NO] 192/1865 | Auditable CT Phenotyping Through Report-derived Radiological Observations
[NO] 193/1865 | Machine learning methods for modelling local, linear gyrokinetic simulations of MAST-U pedestal turbulence
[NO] 194/1865 | Unveiling Spectral Mechanisms in Training-Free LLM Text Detection
[NO] 195/1865 | Continually learning neural-operator surrogate for three-dimensional airborne electromagnetic Bayesian inversion
[NO] 196/1865 | AI Agentic Selective Laser Sintering Process Optimization
[NO] 197/1865 | Formal, Executable and Explainable Runtime Monitoring of Spoken Air Traffic Control Operational Procedures
[NO] 198/1865 | Repair or Resample? Rethinking Failure Debugging in LLM Multi-Agent Systems
[NO] 199/1865 | Switchable heavy-hole/light-hole spin qubit
[NO] 200/1865 | The neighbourhood convexity
[NO] 201/1865 | Structured Non-Locality and Emergent Locality in Cavity-QED Many-Body Dynamics
[NO] 202/1865 | Examples beyond Bounded Mean Motion for Quantitative Rigidity on the Two-Torus
[NO] 203/1865 | One Form to Transfer Them All: Pretraining Multilingual Language Models Beyond Native Orthography
[NO] 204/1865 | Weighted Estimation by Discrete-time Sparse Domination on Martingale Spaces
[NO] 205/1865 | Multi-graded generic initial ideals, regularity, and the optimal colorful fractional Helly theorem for $d$-Leray complexes
[NO] 206/1865 | Embedding NDRE Trajectories into Contrastive Learning for Label-Free, Physiology-Aware Crop-Stress Staging and DSS Outputs
[NO] 207/1865 | Bilinear Bochner--Riesz Means on the Complex Sphere
[NO] 208/1865 | A Compensated Koopman Neural Operator with Selective State-Space Dynamics for Unsteady Flows
[NO] 209/1865 | Surpassing Gaussian optimality in multiparameter estimation with indefinite causal order
[NO] 210/1865 | Anchoring Bias in LLM-as-a-Judge Systems: Prior Scores Compromise Evaluation Independence
[NO] 211/1865 | Learning Late, Guiding Early: Timestep-Decoupled Semantic Guidance for Fair Face Generation
[NO] 212/1865 | Unlocking Multimodal Protein Language Models at Inference Time
[NO] 213/1865 | SlimTCP: It's fast, but not because it's slim
[NO] 214/1865 | Unfolding Scientific Papers into Multi-Turn Generation Trajectories for Continued Pre-Training
[NO] 215/1865 | Open-Source 5G RAN Platforms: A Dual Perspective on Performance and Capabilities
[NO] 216/1865 | GenAIT: Development and Validation of an Objective Generative AI Literacy Test for High School Students
[NO] 217/1865 | The second moment of twisted modular $L$-functions and Dirichlet $L$-functions at the central point
[NO] 218/1865 | Label-Free Foundational Model Selection for Medical Image Classification under Distribution Shift via Pseudo Label Discrepancy
[NO] 219/1865 | Simultaneous Digital Communication and Deformation Sensing over a Single Stretchable Interconnect
[NO] 220/1865 | AGRO-Nav: Autonomous Graph-based Orchard Navigation
[NO] 221/1865 | A Boolean polynomial operator for the Collatz $3n+1$ problem
[NO] 222/1865 | Deeply Inelastic Scattering Revisited
[NO] 223/1865 | Proper Actions on Homogeneous Spaces of the Upper Triangular Matrix Group via Coarse Geometry
[NO] 224/1865 | The emergence and evolution of a referential code in populations of bee-like agents
[NO] 225/1865 | Quasi two dimensional magnetic structure of the triclinic double perovskite Ca$_2$CuWO$_6$
[YES] 226/1865 | EVOMAL: Self-Poisoning in Self-Evolving Coding Agents
[NO] 227/1865 | EXAONE Tabular 1.0 : Technical Report
[NO] 228/1865 | Drift-Aware Multimodal User Representation Learning via Multi-Scale Temporal Modeling and Sparse Mixture-of-Experts
[NO] 229/1865 | Predicting Struggling Students in CS1 Programming Using Keystroke-Level Editing Features
[YES] 230/1865 | TailSFT: Filtered Fine-Tuning Improves Post-Training Performance
[NO] 231/1865 | Hamiltonian Spectral-Temporal Dissipative Dynamics for Sequential Recommendation
[NO] 232/1865 | Model predictive traction control system based on the Koopman operator
[NO] 233/1865 | REE-TM: Reliable and Energy-Efficient Traffic Management Model for Diverse Cloud Workloads
[NO] 234/1865 | A Constitutive Markov Physics-Informed Neural Operator (MPNO) for Autoregressive Stability in Transient Dynamics
[NO] 235/1865 | Why Does Graph Learning Fail to Fully Benefit from a Text Teacher?
[NO] 236/1865 | D3ER: Supporting Multi-Modal Recommendation via Disentangle and Distillation-based Dynamic Ensemble
[NO] 237/1865 | DCEO: Direct Causal Effect Optimization for Long-Term User Value Modeling in E-commerce Search
[NO] 238/1865 | Propensity Straight-Through Gradients for Discrete Stochastic Systems
[NO] 239/1865 | Directional correlations in nuclear charge-radius model residuals enable extrapolation with calibrated uncertainties
[NO] 240/1865 | Using profiles of cognitive capability to assess AI suitability for workplace tasks
[NO] 241/1865 | Substitution effects in RuO$_2$ single crystals
[NO] 242/1865 | Word length, Morse theory, and Vietoris-Rips complexes
[NO] 243/1865 | A Subcarrier-Aware Approach for Robust Respiratory Monitoring with Commodity Wi-Fi
[NO] 244/1865 | Characterizing Full Nonequilibrium Dynamics of Simple Exclusion Processes
[NO] 245/1865 | A Categorical Framework for the Direct Integration of Banach Spaces
[NO] 246/1865 | Optical and magneto-optical interactions in Co-doped CeO$_2$ thin films prepared by pulsed laser deposition
[NO] 247/1865 | JIT-Agent: Scaling Harness Intelligence via Just-in-Time Harness Evolution
[NO] 248/1865 | Power from Space: Coordinated Satellite Charging for Off-Grid Wireless Systems
[NO] 249/1865 | Individual Fairness in Hierarchical Clustering
[NO] 250/1865 | Exchange splitting as a descriptor for giant anomalous Hall and Nernst effects in ferromagnets
[NO] 251/1865 | V-Rubrics: Visual Faithfulness via Rubric-Based Reinforcement Learning
[NO] 252/1865 | Energetics of AGN Feedback
[NO] 253/1865 | Controllable Affective Generation via Latent Vector Steering
[NO] 254/1865 | CrossMambaTuning: Synergistic Spatial and Cross-Layer Adaptation for Machine Vision Compression
[NO] 255/1865 | Maru: Information Architecture as a Shared Language for Generating Aligned and Persistent User Interfaces
[NO] 256/1865 | GNSS-free quantum gravity-aided navigation and fine-scale marine surveying with a strapdown quantum gravimeter
[NO] 257/1865 | On the Dimension of the Best-Worst Choice Polytope
[NO] 258/1865 | A Decomposed Bilevel Search for Variable-Metric Proximal Gradient Methods
[NO] 259/1865 | Throughput Maximization for MapReduce-Based Collaborative Computing over Energy-Harvesting Wireless Devices
[NO] 260/1865 | Interpreting Protein Language Model Embeddings via Orthogonal Projection for Protein Fitness Prediction
[NO] 261/1865 | Not All Degree Constraints Are Created Equal when Computing Spanning Trees
[NO] 262/1865 | TransRetrieval: Scaling Up Transformer-Based Retrieval for Industrial Recommendation
[NO] 263/1865 | Ion-acoustic eigenmodes in a helical magnetic mirror
[NO] 264/1865 | Adaptive Hybrid Subspace Levenberg Marquardt Algorithm with Adequacy Monitor for Large Scale Least Squares Problems
[NO] 265/1865 | A Programming Paradigm for Spatiotemporal Composability
[NO] 266/1865 | Dynamic Modeling of a Welding Torch Umbilical and Its Impact on Robot Dynamics
[NO] 267/1865 | Free-Energy Asymptotics of the Two-Dimensional Quantum Heisenberg Ferromagnet
[NO] 268/1865 | Low-leakage superconducting-qubit measurement with sub-100-ns total duration
[NO] 269/1865 | Separating Disclosure from Authorization: Field-Tier Minimization for Agent Action Mediation
[NO] 270/1865 | PAGS: Autofocusing Photoacoustic Tomography via Speed-of-Sound-Adaptive Gaussian Splatting
[NO] 271/1865 | Functional linear regression from sparse to dense designs: a pooling-ridge method and minimax optimality
[NO] 272/1865 | Homo-RAG: Homology-Guided Retrieval-Augmented Generation for Cross-Species Gene Function Prediction
[NO] 273/1865 | Automatic weld seam segmentation for industrial quality control: a comparison of RGB and polarimetric imaging with CNN and transformer architectures
[NO] 274/1865 | Towards safe and optimal flight: Viability Kernel MPC for Fully Actuated Multirotor
[NO] 275/1865 | Physics-Guided Generative Surrogates for Parametric Rarefied Flows with Neural-Field Auto-Decoders: A Pipeline-Level Study of Flow Matching and Diffusion
[NO] 276/1865 | E2-Conditioned Finite-Horizon Effective Capacity for Public-Safety MCX over Shared O-RAN
[NO] 277/1865 | Stationary Dirac condensates around Kerr black holes
[NO] 278/1865 | A Rotational Perturbative Correction to Democratic Neutrino Mixing and JUNO Compatibility
[NO] 279/1865 | BVR Sim: An Open and High-Throughput Environment for Heterogeneous Air-Combat Reinforcement Learning
[NO] 280/1865 | Cop numbers for subclasses of partial cubes
[NO] 281/1865 | Affine-Profile Stabilizer Thresholds for Magic in Codeword-Stabilized Quantum Codes
[NO] 282/1865 | An elliptic K3 surface X/Q(t) with Mordell-Weil rank 17, I: Formulas for X and base changes of rank 18 and 19
[NO] 283/1865 | LAC: Linear and Angular Compliance for Humanoid Whole-body Control
[NO] 284/1865 | Lightweight AI for UAV-Mounted RIS: An Overview
[NO] 285/1865 | Expanding solutions to the compressible Navier-Stokes equations with degenerate viscosities in spherical symmetry: global existence and inviscid limit
[NO] 286/1865 | Mandarin Humorous Homophone Recognition and Disambiguation in Automatic Speech Recognition
[NO] 287/1865 | Analog Time-Frequency Analysis and Frequency Measurement of Ultra-Wideband Microwave Signals via Dual-Comb Channelization
[NO] 288/1865 | GPU-Accelerated Quantum Annealing-Inspired UAV Path Planning for Smart Agriculture
[NO] 289/1865 | Capacity Overflow: A Blind Spot for Backdoor Attacks in Vision MoE
[NO] 290/1865 | A Generalized Class of Taub-NUT-Scalar Metrics
[NO] 291/1865 | RSFusionDet: Underwater RGB-Sonar Multimodal Object Detection
[NO] 292/1865 | PaSta: Noisy Node Classification with Partial Label Learning
[NO] 293/1865 | The image of the constant sheaf under the geometric Langlands equivalence
[NO] 294/1865 | Exact SAT and Constraint Programming for Job Shop Scheduling with Time-Varying Peak Power Constraints
[NO] 295/1865 | Realization of Air-Stable Two-Dimensional Superconductor Nb2Pd3Te5 With Quasi-One-Dimensional Pair Density Modulation
[NO] 296/1865 | Neither Precision Nor Architecture Alone: Controlled Tests of Failure Remedies for Physics-Informed Neural Networks
[NO] 297/1865 | LLMscope: Extracting LLM Assets from Edge AI Chips via Optical Probing
[NO] 298/1865 | Rank-Deviation Quality: A Distance-Aware Metric for Multi-Answer Retrieval and Ranking Evaluation
[NO] 299/1865 | Metrically bounded Volterra-type operators on area Nevanlinna spaces
[NO] 300/1865 | MulVec: Fine-Grained Role-Aware Matching for Training-Free Zero-Shot Composed Image Retrieval
[NO] 301/1865 | Splay-induced charging of ferroelectric droplets in highly non-uniform electric fields
[NO] 302/1865 | Provable Non-Acceleration of Standard Strang Splittings of Kinetic Langevin Dynamics
[NO] 303/1865 | PhaseShift: Topology-Aware Data Harmonization and Model Consolidation Across Signalized Intersections
[NO] 304/1865 | OpenCVL: An Open, Diverse, and Large-Scale Dataset for Fine-Grained Cross-View Localization
[NO] 305/1865 | Optimal Control in Hilbert Complex Spaces with Finite Element Exterior Calculus
[NO] 306/1865 | The sharp discrete Hardy inequality on $\Z^3$
[NO] 307/1865 | Neural-Bayesian Structure Learning for Discrete Choice Modeling
[NO] 308/1865 | What is the reason for the lack of cool evolved stars near the center of the Galaxy?
[NO] 309/1865 | ShuttleArena: Interpretable Self-Play in Physics-Based Badminton
[NO] 310/1865 | Odderon in the diffractive dip region
[NO] 311/1865 | Multi-output Gaussian process prediction of physical fields under linear equality constraints
[NO] 312/1865 | Modeling spatio-temporal locality in multi-step forecasting of geo-referenced time series
[NO] 313/1865 | The Moduli Space of Determinantal Representations of Cubic Surfaces and Invariant Theory of Root Systems
[NO] 314/1865 | Semi-Blind Channel Estimation for Dynamic NTN Systems via Spiked Random Matrix Theory
[NO] 315/1865 | Dynamic Polyhedral Logic
[NO] 316/1865 | Deep Learning Segmentation of Diffusion-Weighted MRI Acute Ischaemic Stroke: A Pragmatic Evaluation Across Three Datasets
[NO] 317/1865 | Opportunities of Self Supervised Learning for GNSS: Evaluation of a Deep Learning-Enhanced PVT Algorithm
[NO] 318/1865 | Evidence for the transformation from lenticular to spiral galaxies
[NO] 319/1865 | Data Citation for Large Language Models: A Challenge
[NO] 320/1865 | Think-Probe-Respond: Improving Large Language Models as Judges of Research Idea Novelty
[NO] 321/1865 | GaussianDream++: Efficient 3D Gaussian World Modeling for Robotic Manipulation
[NO] 322/1865 | A unified gas-kinetic wave-particle method for multiscale gas-mixture flow with an elementary chemical reaction
[NO] 323/1865 | MAMA-FLUX.2: Image-to-Image Synthesis of Post-Contrast Breast DCE-MRI for the MAMA-SYNTH Challenge
[NO] 324/1865 | Exact chemo--thermal Metropolis Brownian engine: chemical leverage, temperature-neutral stall, power optimization, and multicyclic dissipation
[NO] 325/1865 | A Comprehensive Analysis of the R2HDM Vacuum Evolution and the Induced GW and Collider Phenomenology
[NO] 326/1865 | VBVR-Pro: A Scalable and Verifiable Suite for Native Visual Reasoning
[NO] 327/1865 | Zero-WAM: In-Context World-Action Modeling from Human Videos for Open-Ended Task Generalization
[NO] 328/1865 | Exact analytical spectrum, eigenstates, and quantum geometry of the quarter-flux Harper-Hofstadter model
[NO] 329/1865 | Optimal differentiability of isotropic positive definite functions on even-dimensional spheres
[NO] 330/1865 | Yang-Lee Criticality as a Dissipative Dynamical Phase Transition: Quantum Simulation of non-Hermitian Physics without Post-selection
[NO] 331/1865 | Epistemic Networks, Collective Misperception, and the Manipulation of Social Knowledge
[NO] 332/1865 | VirTooS: A ROS 2 - Unity Virtualization Toolkit for Fleet Management of Autonomous Mobile Robots
[NO] 333/1865 | Linear isoperimetric filling inequalities in Hadamard spaces at and above the asymptotic rank
[NO] 334/1865 | Depth Control of Room-Temperature Quantum Emitters in Gallium Nitride
[NO] 335/1865 | Numerical Direct Scattering Transform for Dark Solitons
[NO] 336/1865 | Critical Norm Profiles for Finite-Prime Composition Operators on the Hardy Space of Dirichlet Series
[NO] 337/1865 | Accretion Disk Sizes and Temperature Profiles in Lensed Quasars: NIR Microlensing Challenges Thin Disk Theory
[NO] 338/1865 | Beyond Local Surprise: Grounded Dialogue as Selective Belief Revision under Referential Uncertainty
[NO] 339/1865 | Atmospheric Newtonian noise in torsion-balance measurements of the gravitational constant $G$
[NO] 340/1865 | VISA: Agentic Self-Evolving Data Synthesis for Multimodal Instruction Following
[NO] 341/1865 | Phantom Navigator: Stealthy and Precise Unmanned Aerial Vehicle Redirection with Real-Time Tracking and GPS Spoofing
[NO] 342/1865 | CardioFusion-AI: Robust ECG--PPG Fusion for Multimodal Physiological Monitoring Under Signal Degradation
[NO] 343/1865 | Distinct dynamics of conceptual and referential disruptions in human reading and large language model processing
[NO] 344/1865 | What sets the critical genome length for sympatric speciation? A closed form and asymptotic theory
[NO] 345/1865 | Plasticity as Directional Stationarity: Yielding, Flow, and Hardening from One Functional
[NO] 346/1865 | A note on normal generation and the first $\ell^2$-betti number
[NO] 347/1865 | When are tropical multidegrees positive?
[NO] 348/1865 | Introduction to the Birch and Swinnerton-Dyer Conjecture
[NO] 349/1865 | A High Performance Partial Wave Analysis Framework for Hadron Spectroscopy
[NO] 350/1865 | Simulating an imaging atmospheric radio telescope to observe cosmic gamma rays and cosmic neutrinos
[NO] 351/1865 | Optimized Multilevel Sampling Methods under Resource Constraints
[NO] 352/1865 | 4DGS-WAM: Bridging Past and Future with an Object-Centric World Action Model based on 4D Gaussian Splatting
[NO] 353/1865 | Exact-Support Counterexamples to Euclidean-to-Spherical Transfer of Positive Definiteness in Even Dimensions
[NO] 354/1865 | Rigidity of compact four-dimensional weakly Einstein Ricci Solitons
[NO] 355/1865 | The Impact of PV Generation Forecast and Multi-Objective Control Policy on Optimal Operation of Grid Connected PV-BESS Microgrid
[NO] 356/1865 | Muonium dynamics as a probe for depth-resolved properties of 4H-SiC
[NO] 357/1865 | Skeleton-based Zero-Shot Spatio-Temporal Action Localization via Weakly-Supervised Pretraining
[NO] 358/1865 | Tropospheric temperature and humidity profile retrieval from Meteosat Flexible Combined Imager based on deep learning
[NO] 359/1865 | LMSM: LLM Security Framework Inspired by Linux Security Modules
[NO] 360/1865 | CloSeR: Unified Relational Distillation from Closed-Set Teachers for Category Discovery
[NO] 361/1865 | psRL: Efficient Training for Agentic AI via Training-Time Prefix Sharing
[NO] 362/1865 | Adversarial Training of Linear Models under Stealthy Attacks
[NO] 363/1865 | Normative boundaries of AI in scientific work: Evidence from PhD researchers
[NO] 364/1865 | Stellar mass growth in COSMOS-Web: a mass-complete main sequence to z ~ 8 and its consistency with GSMF evolution
[NO] 365/1865 | AI Slop and Hallucinations in Vulnerability Assessment: A Survey on Reasoning Failures and Trustworthy Mitigation
[NO] 366/1865 | Global Curvature Estimates for $σ_k$ Curvature Equations with $k\geq n/2$
[NO] 367/1865 | AffectSim: A Controllable Interactive 3D Simulation Benchmark for Embodied Affective Perception
[NO] 368/1865 | Reconstructing the Right Episode: Evaluating Interleaved Conversational Memory Beyond Long Context
[NO] 369/1865 | Quantum motility-induced phase separation
[NO] 370/1865 | A Token-Level Analysis of Sampled-Token Reverse-KL On-Policy Distillation
[NO] 371/1865 | Leveraging Inter-object Affordances for Efficient Planning in Contact-rich Tasks
[NO] 372/1865 | Nuclearity of Copper Clusters on hBN/SiC Heterostructure Modulates Molecular Adsorption
[NO] 373/1865 | Magnetic-configuration design for reliable Heisenberg exchange parameters
[NO] 374/1865 | Burning Steiner triple systems
[NO] 375/1865 | RetrievalRouter: Joint Modality and Architecture Selection for Document Retrieval
[NO] 376/1865 | Homogeneous Generalized Ricci flows II
[NO] 377/1865 | Characters of Quantum Symmetric Pairs
[NO] 378/1865 | On the Separation of Human and AI-Generated Images in CLIP Embedding Space
[NO] 379/1865 | The Reverse Big Push: Generative AI and Self-Fulfilling Automation
[NO] 380/1865 | On monodromy of monodromy surfaces
[NO] 381/1865 | A Short Proof of a Conjecture Regarding Quadratic Representations of Practical Numbers
[NO] 382/1865 | Learning Volatility Dependence Networks in UK Equity Markets using Penalised Spatiotemporal ARCH Models
[NO] 383/1865 | Global Quasi-strong Solutions to the Voigt Regularization of a Diffuse Interface Model for Incompressible Two-phase Flows with Bulk-surface Interaction
[NO] 384/1865 | MLLMCLIP: Feature-Level Distillation of MLLM for Robust Vision-Language Representations
[NO] 385/1865 | ConfAL-WM: Confidence-Guided Active Learning for Action-Conditioned World Models
[NO] 386/1865 | Two-branch detector response for Dirac infall into a Schwarzschild--MOG black hole
[NO] 387/1865 | Giant strongly biconnected components of directed networks: a generating function approach
[NO] 388/1865 | AdaVDR: Adaptive Tool Use and Reflection for Video Deep Research
[NO] 389/1865 | Virgil: Navigating Explainability for Transformer-based Language Models
[NO] 390/1865 | Multiplicity-One Cox Rings of Toric Point Blow-Ups
[NO] 391/1865 | Beyond Optimal Rates in Stochastic Optimization: Trajectory-Adaptive Stopping Rules
[NO] 392/1865 | A Tendon-Driven Five-Fingered Hand with Distributed Tactile Perception for Dexterous Manipulation
[NO] 393/1865 | Certified decoding of quantum LDPC codes
[NO] 394/1865 | Triple-induced mergers of black hole binaries: A comprehensive look at the role of stellar evolution, dynamical stability, and spin evolution
[YES] 395/1865 | Syn2Logic: End-to-End Neuromorphic Design Automation
[NO] 396/1865 | A universal loss-limited optimum for fixed multi-pass quantum sensing per absorbed photon
[NO] 397/1865 | A sharpened Carlson's integral inequality
[NO] 398/1865 | Direct current thermo-mechanical testing: Principles, uncertainty hierarchy, and its role in advanced materials characterisation
[NO] 399/1865 | An SPH--mesh Coupling for Vesicle Dynamics in Shear Flow
[NO] 400/1865 | Inertial Primal-Dual Dynamics Methods Featuring Implicit Hessian-Driven Damping for Convex Optimization Problems in Continuous and Discrete Time
[NO] 401/1865 | Agentic Game Development as a Verifiable Trajectory Data Engine for Scaling World Models
[NO] 402/1865 | Commutators of a class of $Ψ$-bounded oscillation operators on abstract weighted Orlicz-Morrey spaces endowed with ball-basis and applications
[NO] 403/1865 | Joint Beamforming Design and Port Selection in Fluid Antenna-Assisted Multi-Cell Networks: A Personalized Federated Learning Approach
[NO] 404/1865 | A Population Study for Searching Supermassive Binary Black Holes in Active Galactic Nuclei: Continuum Spectral Features and Periodic Variabilities
[NO] 405/1865 | Particle production in $p$-O collisions at LHC energy
[NO] 406/1865 | Generalizing Thermal Transport in High-Contrast Metamaterials through Interfacial Fresnel Reflection
[NO] 407/1865 | FedQoS: Federated QoS-Risk Learning for Heterogeneous Indoor-Outdoor Access Selection
[NO] 408/1865 | Battery Recycling: Mechanistic Modelling of LiCoO$_2$ Leaching with Coupled Diffusion-Reaction Kinetics and Film Passivation
[NO] 409/1865 | A Storage-Retrieval Gap in Parametric Knowledge Graph Memory
[NO] 410/1865 | ReliableRAG: Combating Misinformation in Retrieval-Augmented Generation via Reliability-Guided Reasoning Chains
[NO] 411/1865 | Measurement of $tZq$ inclusive and differential cross-sections in $pp$ collisions at $\sqrt{s} = 13~\text{TeV}$ with the ATLAS detector
[NO] 412/1865 | When Pruning Meets Interpretability: Preserving Sparse Autoencoder Robustness in LLMs
[NO] 413/1865 | A Statistical Audit of Physical AI Benchmark Redundancy
[YES] 414/1865 | XREPOTEST: Benchmarking Multilingual Repository-Level Unit Test Generation for Large Language Models
[NO] 415/1865 | TAU-Agent: An Agentic Retrieval-Augmented Framework for Traffic Anomaly Understanding
[NO] 416/1865 | Visual General Intelligence: A White Paper
[NO] 417/1865 | Uniform non-homogeneous bundles on quadrics
[NO] 418/1865 | Random Invariance Testing on Quadratic Form Statistics with Application to Autocorrelation
[NO] 419/1865 | Choose Your Game Wisely: Measuring Game-Theoretic Structures in Real-World Vehicle Interactions
[NO] 420/1865 | Sharp extremal asymptotics for Cusick's sum-of-digits bias at fixed Hamming weight
[NO] 421/1865 | Distributed Trotterization with optimal time-scaling entanglement cost
[NO] 422/1865 | Scalable Multi-GPU Simulation of 3D Multicellular Growth with RNN-Based Workload Balancing
[NO] 423/1865 | Slope Inequalities for the Geography Problem of Spin Symplectic 4-Manifolds
[NO] 424/1865 | Evidence for Quartet Binding of Valence Neutrons in $^8$He
[NO] 425/1865 | Residual semi-crystalline particles released during enzymatic degradation of plastics
[NO] 426/1865 | Loss-Based Active Learning for Neural Abstractive Summarization
[NO] 427/1865 | VISTA: Visually Inferred Spatial ConTact Attention for Contact-Rich Manipulation
[NO] 428/1865 | MA-VLA: Multi-Arm Vision-Language-Action Model for Collaboration and Compositional Generalization
[NO] 429/1865 | Robust Finite-Momentum Instabilities in Dense Matter
[NO] 430/1865 | Key Point Analysis Needs Structure Recovery: Task Definition, Dataset Diagnosis, and a Structure-Aware Benchmark
[NO] 431/1865 | DEFUSE: Generalizable Backdoor Defense for Self-Supervised Encoders with Generative Priors
[NO] 432/1865 | Efficient DCT-Based Estimation and Compensation of Nonlinear Channels for OFDM Systems
[NO] 433/1865 | Anytime Global Tensor Motion Planning
[NO] 434/1865 | Topology of low-dimensional generalized Ricci solitons and string backgrounds
[NO] 435/1865 | FlowMoDL: Model-Based Deep Learning with Conjugate-Gradient Data Consistency for Highly Accelerated 4D Flow MRI Reconstruction
[NO] 436/1865 | WaveOp-LiteFM: Lightweight Neural-Operator Flow Matching for Satellite-to-Radar Precipitation Retrieval
[NO] 437/1865 | Fate of the non-Abelian Moore-Read manifold under the non-Hermitian skin effect
[NO] 438/1865 | TDFNet: Tri-projection Deformable Fusion Network for Panoramic Salient Object Detection
[NO] 439/1865 | Geometry-Constrained Kolmogorov-Arnold Networks: Learning Edge Geometry via Banach Duality
[NO] 440/1865 | How elastic unitarity governs resonance peaks and residue phases
[NO] 441/1865 | Fault-tolerant $|\sqrt{ \mathrm{T} }\rangle$ state preparation and injection for more efficient fine-grained quantum circuit synthesis
[NO] 442/1865 | Zeta renormalization and pressure at infinity for an infinitely cusped tree lattice
[NO] 443/1865 | HypoForge: A Self-Improving Multi-Agent Framework for Automated Hypothesis Generation and Testing via Scientific Skill Learning
[NO] 444/1865 | Study of Resistive Switching Dynamics and Memory States Equilibria in Analog Filamentary Conductive-Metal-Oxide/HfOx ReRAM via Compact Modeling
[NO] 445/1865 | Frequency Domain Bootstrap for Functional Time Series
[NO] 446/1865 | Updating and Downdating the Recurrences of Discrete Multiple Orthogonal Polynomials on the Real Line
[NO] 447/1865 | LM-X: Explainable Action Modeling with Progress, Event, and Uncertainty Prediction for Generalist Robot Manipulation
[NO] 448/1865 | Empirical Relationship for Geomagnetically Induced Currents (GIC) and Solar Wind Conditions
[NO] 449/1865 | Pointing the Way, Hiding the Destination: Practical Private Dense Retrieval at Scale
[NO] 450/1865 | LongVU-TTT: Causal Test-Time Training for Visual Resampling in Long Video Understanding
[NO] 451/1865 | A Spatially-Aware Publish-Subscribe Middleware for IoT Applications
[NO] 452/1865 | Are LLM-Enhanced GNNs Privacy-Safe?
[NO] 453/1865 | Gröbner Bases for Alexander Fitting Ideals of Links
[NO] 454/1865 | Low-$x$ parton densities accounting for absorptive effects and exclusive $J/ψ$ and $Υ$ data from the LHC
