[2026-07-10 22:59:05] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Infinitely many sign-changing solutions for critical Hamiltonian systems with linear perturbation
[NO] 141/1777 | Conversational Retrieval and On-the-Fly Knowledge Modeling of Historical Penitentiary Repression Records
[NO] 142/1777 | Electron-Ion Collision Environment: Distribution of Quark Spin and Orbital Angular Momentum
[NO] 143/1777 | Harness VLA: Steering Frozen VLAs into Reliable Manipulation Primitives via Memory-Guided Agents
[NO] 144/1777 | Simulation of exchange coupling effects in double quantum dot FinFET-like structures
[NO] 145/1777 | Extreme points, positive Grothendieck constants and tensor product norms
[NO] 146/1777 | Construction and upper bound on the minimum genus of an embedded surface with Anosov geodesic flow
[NO] 147/1777 | Quantum weight and low-loss EELS signatures of Wannier quantum geometry in black phosphorus
[NO] 148/1777 | Predicting Male Fertility Using Machine Learning: A Semen Parameters Based Analysis with the VISEM Dataset
[NO] 149/1777 | OmniFood-Bench: Evaluating VLMs for Nutrient Reasoning and Personalized Health Advice
[NO] 150/1777 | Effects of low resolution on the column density PDF of molecular clouds
[YES] 151/1777 | Detecting Ladder Logic Bombs in IEC 61131-3 PLC Programs using ESBMC-PLC+: A Formal Verification Approach with Trigger Synthesis
[NO] 152/1777 | Hankel's principle as an anti-Kantian program
[NO] 153/1777 | A capacitary approach to Lyapunov-type inequalities for elliptic problems on weighted graphs
[NO] 154/1777 | DrugGen 2: A disease-aware language model for enhancing drug discovery
[NO] 155/1777 | Game Theory Driven Multi-Agent Framework Mitigates Language Model Hallucination
[NO] 156/1777 | Attribute Retrieving for Open-Vocabulary Endoscopic Compositional Referring Segmentation
[NO] 157/1777 | On the rectification of oscillatory flows by flexible leaflets in a confined geometry
[NO] 158/1777 | Towards Mechanistically Understanding Why Memorized Knowledge Fails to Generalize in Large Language Model Finetuning
[NO] 159/1777 | On $q$-pre-Lie algebras
[NO] 160/1777 | Secure QR Codes: Authenticity Verification via EdDSA Signatures and CBOR Certificates
[NO] 161/1777 | On absolute strong exposure for Lipschitz maps
[NO] 162/1777 | Echoes Across Vietnam's Highlands, Delta, and Coast: A Multilingual Corpus for Cham, Khmer, and Tay-Nung
[NO] 163/1777 | FSD-VLN: Fast-Slow Dual-System Modeling for Aerial Long-Horizon Vision-Language Navigation
[NO] 164/1777 | Computing in Anonymous Dynamic Networks with One-Bit Communications
[NO] 165/1777 | Signature in sound-mode of the exciton bilayer two-dimensional superfluid transition
[NO] 166/1777 | Rotation Sensing via Josephson-frequency Splitting in a Toroidal Superfluid
[NO] 167/1777 | Milky Way Near Twins (MWNeTs). I. A Hierarchical Framework for Identifying the Evolutionary Counterparts of the Milky Way
[NO] 168/1777 | Interplay between Electronic Structure, Chemical Bonding, and Lattice Symmetry in Bismuth Vanadate
[NO] 169/1777 | Geometric smoothing by the Kähler-Ricci Flow
[NO] 170/1777 | A reverse Riesz estimate combined with a spectral gap implies a Poincaré inequality
[NO] 171/1777 | GitLake: Git-for-data for the agentic lakehouse
[NO] 172/1777 | Write-Protected Discrete Bottlenecks for Language-Grounded World Models: A Structural Limitation and Sufficient Fix
[NO] 173/1777 | Precision three-Dimensional Atmospheric Neutrino Flux Calculation Based on Honda Flux Model
[NO] 174/1777 | Design, Modeling, and Validation of Curvature-Based Shape-Aware Flexible Phased Arrays
[NO] 175/1777 | Projected incrementally scattering passive systems on closed convex sets
[NO] 176/1777 | On a parametric congruence concerning generalized central trinomial coefficients
[NO] 177/1777 | Classifier Chain-based Pathological Test Recommendation
[NO] 178/1777 | Braiding structures on categorical multi-Interval Jones-Wassermann subfactor
[NO] 179/1777 | Reverse Engineering Compliance: A Dual-Graph Verification Framework for Auditing Legacy IT Security Concepts
[NO] 180/1777 | Sensitivity of a low-shear heliotron configuration to localised ferrite perturbations
[NO] 181/1777 | From Legacy Documentation to OSCAL: An MCP-Based Agent Pipeline for Threat-Informed Continuous Compliance in Critical Infrastructure
[NO] 182/1777 | Do Indian Drivers Conform to Newells Car Following Model?
[NO] 183/1777 | How Analysts Use AI in High-Stakes Crime Linkage: An Industrial Study
[NO] 184/1777 | Different Teachers, Different Capabilities: Sub-1B On-Device Distillation for Structured Text Enrichment
[NO] 185/1777 | Ion-Implanted Silicon Nanoregions Enable Ultra-Low-Loss Trimming of Cladded Photonic Integrated Circuits
[NO] 186/1777 | A search for circumstellar gas in pre-main-sequence debris discs using absorption spectroscopy
[NO] 187/1777 | Quasi-bound states and late-time evolution of a massive fermion around a Reissner-Nordström black hole
[NO] 188/1777 | Nonlocal Electrostatic Origin of Schottky-Barrier Variability in 2D Contacts
[NO] 189/1777 | An interpretable Good--Turing restart criterion for k-means++
[NO] 190/1777 | Convergence of random sums in non-commutative probability
[NO] 191/1777 | 3D Virtual Element Method for Advection-Diffusion-Reaction Problems with Variable Coefficients on Locally Quasi-Uniform Polytopes
[NO] 192/1777 | Simulating the Resident: Generating Executable Smart Home Schedules via LLM Personas
[NO] 193/1777 | Multimodal 3D LUT Generation via StatLUT with Statistical Features for Photorealistic Style Transfer
[NO] 194/1777 | Threshold Authorization Without Threshold Signatures: Signature-Agnostic MPC Custody
[NO] 195/1777 | Phase stability and ionic transport in post-spinel CaV$_2$O$_4$ cathode
[NO] 196/1777 | Viscoelasticity Enhances Contactless Adhesion of Soft Substrates
[NO] 197/1777 | On the stability of proximal operators in Wasserstein spaces under different notions of convexity
[NO] 198/1777 | Learned Committors as Reaction Coordinates for Nucleation Rates
[NO] 199/1777 | Data-Driven Critic-Free Policy Iteration for Continuous-Time Linear Quadratic Regulation
[NO] 200/1777 | Volatility in Prediction Markets: A Structural Approach
[NO] 201/1777 | MLQENABLER: Enabling Secure Machine Learning Queries over Encrypted Database in Cloud Computing
[NO] 202/1777 | Dive Into the Implicit Biases of Low-rank Vision-language Alignment
[NO] 203/1777 | Hidden Decoding at Scale: Latent Computation Scaling for Large Language Models
[NO] 204/1777 | Leveraging Color Naming for Image Enhancement
[NO] 205/1777 | An advanced undergraduate derivation of acceleration thermality
[NO] 206/1777 | LEEVLA: Seeing What Matters in Latent Environment Evolution for Vision-Language-Action
[NO] 207/1777 | Accelerated Golden Ratio Primal--Dual Algorithm for Structured Convex Optimisation without Linesearch
[NO] 208/1777 | Continual Test-Time Adaptation in Computer Vision: Methods, Benchmarks, and Future Directions
[NO] 209/1777 | ProsMAE: Multi-Source MAE Pretraining for ISUP Grade Classification
[NO] 210/1777 | Group reduction, formulas solutions and asymptotic behavior of a class of fourth order difference equations
[NO] 211/1777 | Approximation Algorithms for Matroidal Prerequisite Systems
[NO] 212/1777 | Generalization Theory for Through-the-Wall Radar Human Activity Recognition
[NO] 213/1777 | GenAI-Enhanced Digital Twins for Predictive Interference Management in Ultra-Dense Networks
[NO] 214/1777 | Early Career Issues in Particle Physics
[NO] 215/1777 | Joint estimation of high-dimensional spiked covariance matrices via a partially shared subspace
[NO] 216/1777 | $L^{\infty}$-norm bounds for Siegel--Jacobi cusp forms
[NO] 217/1777 | MORES: Mobile Reasoning-as-a-Service via Distributed LLM Inference-Time Scaling
[NO] 218/1777 | PS4: Proxy-Supervised Joint Training for Real Target Speaker Extraction
[NO] 219/1777 | Minimum Edge-Outerplanar Embeddings are Polynomial-Time Computable
[NO] 220/1777 | Dual Lattice Functions of Polytopes
[NO] 221/1777 | Model-Based Detection of Anomalous Events in Submarine Cables Using Distributed Deformation Sensing and Kalman Filtering
[NO] 222/1777 | CausalDS: Benchmarking Causal Reasoning in Data-Science Agents
[NO] 223/1777 | Mixture of Enhanced-View Experts for Multi-Query Vehicle ReID and A Large-Scale Benchmark
[NO] 224/1777 | ConRad: Efficient Conformal Prediction for Radiomics
[NO] 225/1777 | Beyond Single-Band: Analysis and Resource Allocation for Multi-band ISAC Systems
[NO] 226/1777 | Persuasion Attacks Can Decrease Effectiveness of CoT Monitoring
[NO] 227/1777 | When LLMs Agree, Are They Right? Auditing Self-Consistency and Cross-Model Agreement as Confidence Signals
[NO] 228/1777 | Reinforcing the Generation Order of Multimodal Masked Diffusion Models
[NO] 229/1777 | Who Analyses the Analyser? Self-Validating LLM Hazard Analysis with Constitutional Meta-STPA
[NO] 230/1777 | RadioDiff-v2: Generative Angular Radio Maps for Multi-Beam Selection and Localization
[NO] 231/1777 | Aleena: Alignment Agent for Research Software Engineering Collaborations
[NO] 232/1777 | A safety-oriented hypothetico-deductive framework for AI-assisted differential diagnosis
[NO] 233/1777 | SCI-Mamba: Unsupervised Learning based Low-Light Image Enhancement for Non-Cooperative Spacecraft
[NO] 234/1777 | A Retrieval Framework for Observationally Constraining the Parameters of Circumplanetary Disks
[NO] 235/1777 | Interfacial chirality-induced magnetic-field-free switching with high energy efficiency in all-vdW heterostructures
[NO] 236/1777 | Geometry and Gradient-based Partitioning for Panoramic Outdoor Reconstruction
[NO] 237/1777 | UniClawBench: A Universal Benchmark for Proactive Agents on Real-World Tasks
[NO] 238/1777 | Typicality of Steering for Two-qubit States
[NO] 239/1777 | Measuring Consumption with Credit Card Data: Benchmarking and Beyond
[NO] 240/1777 | MulTTiPop: A Multitrack Transcription Dataset for Pop Music
[NO] 241/1777 | DegenDetector: Symbolic Recovery of Parameter Degeneracies in Bayesian Posteriors
[NO] 242/1777 | SLORR: Simple and Efficient In-Training Low-Rank Regularization
[NO] 243/1777 | AUTOPILOT VQA: Benchmarking Vision-Language Models for Incident-Centric Dashcam Understanding
[NO] 244/1777 | Algorithmic Expert Aggregation
[NO] 245/1777 | ContactMimic: Humanoid Object Interaction via Contact Control
[NO] 246/1777 | Internal pseudospin, lepton-number superselection, and neutrino--antineutrino coherence in massive neutral-fermion one-particle states
[NO] 247/1777 | Learning Adaptive Solvers for Distributed Factor Graph Optimization on Matrix Lie Groups
[NO] 248/1777 | A Matrix Analogue of Rational Number Systems
[NO] 249/1777 | Validity of LLMs as data annotators: AMALIA on authority
[NO] 250/1777 | WaspMOT: A Benchmark for Long-Term Multi-Object Tracking of Trichogramma Wasps
[NO] 251/1777 | Thermal Sunyaev-Zel'dovich Measurements of Locally Bright Galaxies with ACT DR6: Radio Source Contamination and Excess Compton-y Signal
[NO] 252/1777 | Remember When It Matters: Proactive Memory Agent for Long-Horizon Agents
[NO] 253/1777 | Absence of quantum advantage for approximate spin glass optimization
[NO] 254/1777 | Quantum-Geometric Design of Lattice Generalized Landau Levels
[NO] 255/1777 | How YouTube Frames ChatGPT Use in Education: An Epistemic Network Analysis with Supporting Multimodal Metadata
[NO] 256/1777 | From Rules to Nash Equilibria: A Lean 4 Case Study in Game-Theoretic Analysis of a Competitive Trading Card Game
[NO] 257/1777 | A Practical Investigation of Training-free Relaxed Speculative Decoding
[NO] 258/1777 | Do Transformations Reveal the Truth? Generative Residual Learning for Generalized AI-Generated Image Detection
[NO] 259/1777 | Low-Rank Matrix Recovery via Heavy-Tailed Quadratic Sampling
[NO] 260/1777 | Two-block cycles and chromatic number of Hamiltonian digraphs
[NO] 261/1777 | Leptogenesis and Low Reheating Temperatures
[NO] 262/1777 | BiSCo-LLM: Lookup-Free Binary Spherical Coding for Extreme Low-Bit Large Language Model Compression
[NO] 263/1777 | Steering Neural Network Training through Interpretable Constraints Based on Partial Dependence
[NO] 264/1777 | The Rosenberg $ \mathbb{S}^{1} $-Stability Conjecture for $ χ(X) = 0 $
[NO] 265/1777 | The Parameterised Complexity of Temporal Motif Counting, and a Lovász-Style Isomorphism Theorem
[NO] 266/1777 | Sharing economy in the era of full automation: Evidence from autonomous vehicle on-demand mobility services
[NO] 267/1777 | Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets
[NO] 268/1777 | Sandpile groups of random bipartite graphs and families of distributions with the same moments
[NO] 269/1777 | Near-perihelion activity and composition of 3I/ATLAS from JUICE/MAJIS observations
[NO] 270/1777 | Towards Precision Therapy in Hepatocellular Carcinoma: A Clinical-Reasoning LLM for Risk Stratification and Treatment Guidance
[NO] 271/1777 | FAST Discovery of $μ$Jy Radio Pulsations from PSR J2238+5903, Providing a DM Distance Anchor for the Candidate TeV Halo 1LHAASO J2238+5900
[NO] 272/1777 | Distributed Monogamy of Entanglement limits Quantum Channel Simulation
[NO] 273/1777 | Mittag-Leffler-Type Forecast-Error Growth as a Diagnostic Indicator of Fractional Dynamics
[NO] 274/1777 | On Constructing Most General Solutions for Parametric Constraints (Extended Preprint)
[NO] 275/1777 | Intracellular luminescence thermometry: A story of disagreement, trust, and hope
[NO] 276/1777 | Horizon-redshift transfer in black-hole direct-wave damping
[NO] 277/1777 | How to measure tidal dissipation in long resonant chains
[NO] 278/1777 | A circumbinary approach to the study of spin-orbit resonances around irregular shaped bodies. Application to the Quaoar system
[NO] 279/1777 | Modeling Stakeholders and Lifecycle Requirements of Marine Hydrokinetic Energy Systems
[NO] 280/1777 | SAGA: Stable Acceleration Guidance for Autoregressive Video Generation
[NO] 281/1777 | On-Orbit Calibration of Danuri/PolCam. II. Radiometric Calibration
[NO] 282/1777 | Unit-Independent Low-Rate Wrist GSR Processing for Stress Detection Using Phasic nSCR Features
[NO] 283/1777 | Optimizing LZSM protocol for high-fidelity gates in open-system fluxonium
[NO] 284/1777 | Nonlinear stability of periodic waves in the Korteweg-de Vries equation under localized perturbations
[NO] 285/1777 | Efficiently simulable quantum circuits with large entanglement, magic, and non-Gaussianity via code-compiled tensor networks
[NO] 286/1777 | TypeProbe: Recovering Type Representations from Hidden States of Pre-trained Code Models
[NO] 287/1777 | Asymptotic behaviours of critical branching random walk in $\mathbb{R}^d$
[NO] 288/1777 | Transformer-based machine learning using low-level calorimeter signals for collimated photon identification at collider experiments
[NO] 289/1777 | Existence of two embedded minimal spheres in $S^3$ with an arbitrary metric
[NO] 290/1777 | Explicit upper and lower bounds on certain functions related to $ζ(s)$ for $s>1$
[NO] 291/1777 | Finite-time breakdown of the Euler-alignment system for supercritical initial data
[NO] 292/1777 | ImputeViz: A Visual Analytics Dashboard for Diagnosing Missing Data and Comparing Imputation Methods
[NO] 293/1777 | Parallel QEC Decoding Applied to Distributed Quantum Computing
[NO] 294/1777 | APIVOT: Adaptive Planning with Interleaved Vision-Language Thoughts
[NO] 295/1777 | glmSTARMA -- An R-Package for fitting autoregressive spatio-temporal models following generalized linear models
[NO] 296/1777 | Algorithm XXXX: Computation of finite element degree-of-freedom transformation matrices
[NO] 297/1777 | Beyond ΛCDM with the SKA Observatory -- II: Unveiling the Secrets of the Early Universe
[NO] 298/1777 | UniRef-UAV: A Multimodal Benchmark for Universal Referring in UAV Imagery
[NO] 299/1777 | MentalHospital: A Virtual Environment for Evaluating Psychiatric Clinical Encounters
[NO] 300/1777 | Best-of-$N$ TTS Evaluation is Confounded by ASR Family Alignment
[YES] 301/1777 | Compete Then Collaborate: Frontier AI Teachers Build a Verifiable Curriculum to Improve a Coding Student Beyond Imitation
[NO] 302/1777 | On the Design of Mixture-of-Experts for Dynamic Gaussian Splatting
[NO] 303/1777 | HSA: Hierarchical Slot Attention for Multi-granularity Scene-Decomposition
[NO] 304/1777 | Probing Quadratically Coupled Ultralight Dark Matter with the Laser Interferometer Space Antenna
[NO] 305/1777 | Multiuser Zak-OTFS on the Uplink with Superimposed Spread-Pilots
[YES] 306/1777 | Mini-Programs, Mega-Problems: Unveiling OAuth-based Authentication Misuses in Mini-Programs via Dynamic Analysis
[NO] 307/1777 | Sub-Infinite Horizon Stochastic Linear-Quadratic Optimal Control Problems and Delayed Backward Riccati Equations
[NO] 308/1777 | From Thesis to Transition: An INSIGHT-Inspired Approach to Co-Designing Industry 5.0 Competency Pathways for Early-Stage Researchers
[NO] 309/1777 | Quantum linear solvers for quantum chemistry: prospects of exponential quantum advantage
[NO] 310/1777 | Extracting inter-nuclear distances in the oxygen molecule interacting with an XFEL-pulse: a fundamental system for understanding Coulomb explosion imaging
[NO] 311/1777 | A Constructive Field of Infinitesimals: Chunk and Permeate Approach
[NO] 312/1777 | Efficient High-Dimensional Quantum Circuit Synthesis: From Multi-Controlled Gates to Isometries and Quantum Channels
[NO] 313/1777 | Parallel simulation of rarefied gas flows on unstructured meshes using the DIG-augmented DSMC method
[NO] 314/1777 | Open-ended Multi-agent Autocurricula via Visual Inspection of Policies with Multi-modal LLMs
[NO] 315/1777 | Dual-Correlation Hypergraph Network for Unaligned RGBT Video Object Detection and A Large-scale Benchmark
[NO] 316/1777 | Probabilistic pseudo knot theory
[NO] 317/1777 | Covering Points with Rectangular Boundaries
[NO] 318/1777 | Finite Convergence of the Modal Mu-Calculus on Almost-Periodic Words
[NO] 319/1777 | Overthinking: Amplifying Reasoning Weights to Extract Learned Secrets
[NO] 320/1777 | Attention-Based Segmentation of WMHs and Differentiation of Vascular vs. Demyelinating Lesions
[NO] 321/1777 | Charge-partition pathways in strong-field photoionization of carbonyl sulfide monomers and dimers
[NO] 322/1777 | Supersoluble groups and the probability of generating a supersoluble subgroup
[NO] 323/1777 | SQuaD-SQL: Efficient Text-to-SQL with Small Language Models via LLM-Guided Knowledge Distillation
[NO] 324/1777 | Generation and Characterization of Surface-Attached Ultrathin Liquid Sheets for Grazing-Incidence X-ray Scattering
[NO] 325/1777 | On-sky dark hole diggin' with implicit Electric Field Conjugation on MagAO-X
[NO] 326/1777 | Physics-informed neural networks for shock capturing in inviscid flows around an airfoil
[NO] 327/1777 | RadLoc: Radar-based 3-DoF Global Localization via Fast, Robust, and Lightweight Spatial Descriptor Across Diverse Environmental Scenarios
[NO] 328/1777 | Sharp Spectral Bounds for Symmetric Positive Definite Tensors via Multiple Algebraic Invariants
[NO] 329/1777 | Contrastive Order Learning: A General Framework for Ordinal Regression
[NO] 330/1777 | The Periodic Table and the Group SO(4,4): II. Double SO(4,2)-tower
[NO] 331/1777 | EVIS: A Physics-Grounded Event Camera Plugin for NVIDIA Isaac Sim
[NO] 332/1777 | Equivariant Quantum Clustering with Differential Privacy: Parameter-Efficient Privacy-Preserving Analysis Across Heterogeneous Sensitive Datasets
[NO] 333/1777 | An analytic model for a total process of gravitational collapse: From star to Schwarzschild black hole
[NO] 334/1777 | HeadRoom: Lightweight, Edge-deployable Pipeline for Adaptive Notification Routing
[NO] 335/1777 | Robust Heteroskedastic Matrix Factorization: A Generalization of PCA that Flags Outliers and Handles Missing Data
[NO] 336/1777 | MASTE: A Multi-Agent Pipeline for Zero-Shot Aspect Sentiment Triplet Extraction
[NO] 337/1777 | PARA-PV: Physics-Aware Retrieval-Augmented PV Prediction Based on Frozen Foundation Model and Distribution Shift Correction
[NO] 338/1777 | Experimental demonstration of entanglement sudden death induced by natural dissipation
[NO] 339/1777 | Modular Pretraining Enables Access Control
[NO] 340/1777 | A Non-Decoupled Time-Domain Direct Sampling Method for Inverse Elastic Medium Scattering
[NO] 341/1777 | Polish spaces of separable Banach lattices
[NO] 342/1777 | Extremal problems on disjoint path covers of graphs
[NO] 343/1777 | When Thinking Hurts: Epistemic Signals in the Reasoning Chains of Visual Language Models
[NO] 344/1777 | Catching Disguised Transients with ASTRANet: Anomaly-Aware Spectroscopic Classification and Conformal Calibration
[NO] 345/1777 | A Transport Theory of Turbulent Coronal Heating in General Geometry
[NO] 346/1777 | PLURAL: A Global Dataset for Value Alignment
[NO] 347/1777 | What to Keep, What to Forget: A Rate--Distortion View of Memory Compaction in LLMs and Agents
[NO] 348/1777 | Acceleration in 3D Einstein-Gauss-Bonnet Gravity
[NO] 349/1777 | From Prompts to Contracts: Harness Engineering for Auditable Enterprise LLM Agents
[NO] 350/1777 | LightCrafter: PBR-Conditioned Video Diffusion Refinement for Controllable and Consistent Relighting
[NO] 351/1777 | LOGOS: Language-guided Oriented Object Detection in Aerial Scenes
[NO] 352/1777 | ZipDepth: Bringing Lightweight Zero-Shot Monocular Depth Anywhere, on Any Device
[NO] 353/1777 | Enhancing In-context Panoramic Generation via Geometric-aware Pretraining
[NO] 354/1777 | One-cusped Dehn fillings of the sisters of the Whitehead and $6^2_2$ link complements
[NO] 355/1777 | Score Accuracy Along the Forward Diffusion Does Not Certify Numerical Stability in Diffusion Sampling
[NO] 356/1777 | Finding Simple Proofs for First-Order Optimization
[NO] 357/1777 | Phase-dependent kink collisions and dual critical-velocity branches in the complex sine-Gordon model
[NO] 358/1777 | DexVerse: A Modular Benchmark for Multi-Task, Multi-Embodiment Dexterous Manipulation
[NO] 359/1777 | Deep Spectroscopic Follow-Up of Maisie's Galaxy -- A Typical Galaxy in the Early Universe
[NO] 360/1777 | Using AI-based Learning Assistants in Higher Education: A Large-Scale Descriptive Analysis
[NO] 361/1777 | SACRA-K: A Performance-Portable Numerical Relativity Code with Kokkos
[NO] 362/1777 | ARDY: Autoregressive Diffusion with Hybrid Representation for Interactive Human Motion Generation
[NO] 363/1777 | Workflow as Knowledge: Semantic Persistence for LLM-Mediated Workflows
[NO] 364/1777 | Sculptable Mesh Structures for Room-Scale Form-Finding
[NO] 365/1777 | Severity estimation in dependent collective risk models
[NO] 366/1777 | Multimodal Digital Biomarker for Asthma: Complementary Roles of Vocal, Clinical and Demographic Factors
[NO] 367/1777 | LTM: Large-scale Terrain Model for Wildfire-prone Landscapes
[NO] 368/1777 | Heavy quark coalescence probability in the presence of a potential
[NO] 369/1777 | The Impact of Planetary Phase Functions on Exo-Earth Detectability with EXOSIMS
[NO] 370/1777 | Do You Need a Frontier Model as a Citation Verifier? Benchmarking Rubric LLMs for Deep-Research Source Attribution
[NO] 371/1777 | Detection of the Polycyclic Aromatic Hydrocarbon Phenalene (C$_{13}$H$_{10}$) in the Very Low Luminosity Object (VeLLO) MC27/L1521F
[NO] 372/1777 | Artificial Persons
[NO] 373/1777 | Magnetophonon Resistance Oscillations in Structures with a GaAs Quantum Well and Barriers of AlAs/GaAs$\langleδ$-Si$\rangle$ Superlattices
[NO] 374/1777 | Chaos in the Order of Finite Bernoulli Convolutions
[NO] 375/1777 | Inverse Transfer and Coherence in Rotating Stratified Flow with Clouds and Phase Transitions
[NO] 376/1777 | Reduction modulo p of crystalline Galois representations via μ_p-equivariance
[NO] 377/1777 | Secondary Hadron--Nucleus Collisions of Short-Lived Hadrons in Ultra-Relativistic Fixed-Target Heavy-Ion Interactions
[NO] 378/1777 | VAPOLA -- A multi-year, multi-band polarization survey of AGN and Sgr A* at mm wavelengths with ALMA I. Survey Overview and Science-Ready Archival Products
[NO] 379/1777 | Secure Decentralized Federated Learning via Gossip and Virtual Voting
[NO] 380/1777 | Native Video-Action Pretraining for Generalizable Robot Control
[NO] 381/1777 | Symmetry as a route to generalized bosonic Kitaev chains
[NO] 382/1777 | Uncountably many extremal Series--Sinai states for the Ising model on Lobachevsky lattices
[NO] 383/1777 | The complexities of patient-centred conversational artificial intelligence
[NO] 384/1777 | Parasitic MIMO Beamforming for Multi-Active Multi-Parasitic Antenna Arrays with Binary Control
[NO] 385/1777 | Short Peptide Tails Modulate DNA Association and Condensation by PAMAM Dendrimers
[NO] 386/1777 | Harnessing orbital Hall effect for energy-efficient magnetization switching in room-temperature van der Waals ferromagnet Fe3GaTe2
[NO] 387/1777 | Large-scale first-principle simulations of amorphous indium oxide
[NO] 388/1777 | Accurate Self-Attention Wavefunctions at Large Scale
[NO] 389/1777 | Modular Nahm Sums for the Inverse Cartan Matrix of Type $D_r$
[NO] 390/1777 | When Structured Sparse Autoencoders Learn Consistent Concepts Across Modalities
[NO] 391/1777 | It Takes a MAESTRO To Prune Bad Experts
[NO] 392/1777 | High-degree cohomology of congruence subgroups of $\text{SL}_n(\mathcal{O})$ via cohomology of $S$-arithmetic groups
[NO] 393/1777 | Barnett effect generated by a rotating electric field in a ferromagnetic film
[NO] 394/1777 | Robust Bayesian Decision Making under Adversarial Uncertainty
[NO] 395/1777 | A Novel Hadronic Calorimeter With A Direct Neutron Readout
[NO] 396/1777 | Vortex Dynamics in Magic-Angle Twisted Graphene
[NO] 397/1777 | FabriVLA: A Lightweight Vision-Language-Action Model for Precise Multi-Task Manipulation
[NO] 398/1777 | SHAP-Weighted Cross-Modal Expert Fusion for Emotion and Sentiment Recognition: Evidence and Limits
[NO] 399/1777 | Algorithms and Indexing Lower Bounds for Variable String Matching
[NO] 400/1777 | Partial-Reference IQA Based on Hermite-Gauss Structural Prediction and Texture Deviation
[NO] 401/1777 | A note on the shortest law for the symmetric group
[NO] 402/1777 | Locally Approximating the Top Eigenvector of Bounded Entry Matrices
[NO] 403/1777 | The 20 GeV Galactic Halo Excess: Pixel-Level Confirmation and Consistency with Sub-TeV WIMP Annihilation
[NO] 404/1777 | Constraints on the properties of warm ionized gas from low-frequency hydrogen radio recombination lines
[NO] 405/1777 | DocMaster: A Hierarchical Structure-Aware System for Document Analysis
[NO] 406/1777 | High-Dimensional Procrustes Matching via Tree Counts
[NO] 407/1777 | Decoupled Online Feedforward Generation of Optimal References for Saturated Synchronous Machine Drives
[NO] 408/1777 | The Radial Distribution Functions of Nanofluids: Molecular Dynamics Simulations
[NO] 409/1777 | Causal Effects of Protocol-Fee Changes on Liquidity Provision in Automated Market Makers
[NO] 410/1777 | Equigeodesic vectors for homogeneous Riemannian submersions
[NO] 411/1777 | Locality of Curve-Decoding and Improved Proximity Gaps
[NO] 412/1777 | Do Egocentric Video-Language Models Capture Both Hand- and Object-Centric Cues?
[NO] 413/1777 | The geopolitics of knowledge: tipping points, national fingerprints, and the unequal globalization of science
[NO] 414/1777 | Hele-Shaw Flow With Pressure and Shear Rate Dependent Viscosity
[NO] 415/1777 | Stability of Equilibria in a Biofilm Reactor Model with Wall Attachment and Thermodynamic Growth Inhibition
[NO] 416/1777 | The Context Access Divide: Interaction-Level Architecture as a Complementary Dimension of Agentic Inequality
[NO] 417/1777 | Orlik--Solomon sheaf homology of geometric lattices
[NO] 418/1777 | Multi-Path Quasi-Periodic Fast-mode Propagating Magnetoacoustic Waves to Diagnose Coronal Magnetic Field and Flaring Core
[NO] 419/1777 | Homology of the Lie Algebra of Locally Generated Derivations of a Discrete and Proper Metric Space
[NO] 420/1777 | Two Conjectures on Extensions of Brouwer's Laplacian Conjecture
[NO] 421/1777 | Influence of electronic correlations on disorder-induced loop currents in high-Tc superconductors
[NO] 422/1777 | Exactly solved Schrödinger equations with time-dependent Hamiltonians
[NO] 423/1777 | Predicting Viticulture Potential through an Ensemble of U-Net and a Geospatial Foundation Model
[NO] 424/1777 | Signal-to-Noise Ratio Contours for LISA
[NO] 425/1777 | Statistical Efficiency and Inference of Quantile Distributional Reinforcement Learning
[NO] 426/1777 | ADORN: Adaptive Drift handling for Open RAN using Reinforcement Learning
[NO] 427/1777 | DeltaV: Thinking with Visual State Updates in Unified Large Multimodal Models
[NO] 428/1777 | Global Precision Limits in Critical Quantum Metrology: From Cramér-Rao to Ziv-Zakai
[NO] 429/1777 | Doubly resonant enhancement of second-harmonic generation with in-plane phase matching in plasmonic metasurfaces on an AlInP slab waveguide
[NO] 430/1777 | Bayesian DAG Structure Learning with Simultaneous Shrinkage Covariance Estimation under Scale-Mixture Error Distributions in the Proportional High-Dimensional Regime
[NO] 431/1777 | Gauge-Invariant Off-Shell Mass
[NO] 432/1777 | High-order complete flux schemes for convection-diffusion equations on arbitrary subdivisions
[NO] 433/1777 | Swapping Faces, Saving Features: A Dual-Purpose Pipeline for Pedestrian Privacy in ITS
[NO] 434/1777 | TRACE: A Two-Channel Robust Attribution Watermark via Complementary Embeddings for LLM-Agent Trajectories
[NO] 435/1777 | HoloTetSphere: Unified TetSphere Mesh Reconstruction for Physical Simulations
[NO] 436/1777 | Token-Flow Firewall: Semantic Runtime Auditing for Persistent AI Agents
[NO] 437/1777 | Nonlinear PDEs with modulated dispersion III: multiplicative noises
[NO] 438/1777 | Self-Adaptive Anomaly Detection with Reinforcement Learning and Human Feedback in Connected Vehicles
[NO] 439/1777 | Tubular Neighbourhoods of Pfaffian Sets and Applications to Neural Networks
