[2026-06-06 23:04:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[IEEE] 2026-6-5 | PQ-MQTT: A Hybrid Post-Quantum Secure Communication Protocol for MQTT-Based IoT Networks
[IEEE] 2026-6-5 | EdgeStress: Real-Time Stress Detection Using IoT and Machine Learning
[IEEE] 2026-6-5 | Zero Trust IoT Security Platform
[IEEE] 2026-6-5 | BEST: Blockchain And AI-Enabled EHR System For Ambulatory Care
[IEEE] 2026-6-5 | Machine Learning for Usable Security: A Survey of User-Centered Approaches
[IEEE] 2026-6-5 | Human-Centered AI in Banking: Designing Adaptive Systems for Secure and Personalized Financial Engagements
[IEEE] 2026-6-5 | AI-Augmented Debugging: Using LLMs and Execution Traces to Explain and Fix Software Failures
[IEEE] 2026-6-5 | Performance Evaluation of Machine Learning Models for Real-Time Anomaly Detection in MQTT-Based IoT Networks
[IEEE] 2026-6-5 | Automated Oral Technical Evaluation Using Speech Recognition and Semantic Scoring
[ACM] 2026-6-6 | Multi-Relation Temporal Graph Neural Networks for EquityVolatility Forecasting
[IEEE] 2026-6-5 | Sensorless Control of PMSMs at Ultralow Speed: An Adaptive Position Estimation Strategy Based on Reconstructed Flux Linkage
[IEEE] 2026-6-5 | The Routledge Handbook of the Translation Industry: Callum Walker and Joseph Lambert, Eds.: [Book Review]
[IEEE] 2026-6-5 | Masthead
[IEEE] 2026-6-5 | Deposition of Titanium Nitride on Inner Surface of Grade B API 5L Steel Pipes by Cathodic Cage Plasma Nitriding Technique
[IEEE] 2026-6-5 | Egress Accommodation for Factory-Assembled Structures: CODE REQUIREMENTS AND STRATEGIES TO MEET THEM
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Spatiotemporal Modulation-Based Nonreciprocal Filter for Full-Duplex Wireless Systems with UAV Communication Applications
[IEEE] 2026-6-5 | Copyright Page
[IEEE] 2026-6-5 | Robust Single-Packet Physical Layer Authentication for UAVs: A Spatial Challenge-Response Approach
[IEEE] 2026-6-5 | Your Virtual Twin Could One Day Save Your Life: Replicas of the Human Heart and Other Organs are Enabling Virtual Surgery and Clinical Trials
[IEEE] 2026-6-5 | 5 Questions: Leontien Talboom: What it Takes to Preserve Floppy Disk Data
[IEEE] 2026-6-5 | Dual Prompt Learning for Unsupervised Degradation-Resistant Image Fusion
[IEEE] 2026-6-5 | Prediction-Assisted Multi-UAV Online Service Migration and Trajectory Control for MEC-Empowered Vehicular Networks
[IEEE] 2026-6-5 | IEEE Foundation
[IEEE] 2026-6-5 | Composite Error Learning Estimator for Wiener–Hammerstein Systems With Time-Delay Under Binary-Valued Measurements
[ACM] 2026-6-6 | FedMBRL: Federated Memory Bank Reinforcement Learning for Multi-Agent Edge Caching in Industrial IoT
[IEEE] 2026-6-5 | Securing IoT Devices in the Quantum Era: AI-Based Detection with Hybrid Post-Quantum Encryption
[IEEE] 2026-6-5 | Theoretical Analysis of Fidelity and Interpretability Trade-Offs in Explainable Artificial Intelligence
[IEEE] 2026-6-5 | BEHANA : Enhancing Women’s Safety through AI-Powered Solutions
[IEEE] 2026-6-5 | EdgeBlockAI - An Offline, AI-Assisted Blockchain Framework for Supply Chain Anomaly Detection
[IEEE] 2026-6-5 | Prediction of Cancer Drug Response Based on Hypergraph Convolutional Network and Contrastive Learning
[ACM] 2026-6-6 | Interpretable Multispectral Deep Learning for Non-Destructive Fruit Quality Monitoring in Agriculture 5.0
共写入 928 条记录，保存到 papers/paper2026-06-05.json。
论文获取成功，文件路径: papers/paper2026-06-05.json
正在筛选、翻译并发送邮件...
[NO] 1/928 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[NO] 2/928 | Seeing in the Dark with Ambient Guidance
[NO] 3/928 | Learning External Point-Set Context for Point Cloud Segmentation
[NO] 4/928 | Towards Immersive Volumetric Space: Capture, Reconstruction, and Application
[NO] 5/928 | An Electromechanical Coupling Model and Analysis for In-wheel Motor Considering Transient Multi-dimension Eccentricity
[NO] 6/928 | Physics-constrained Real-time Hand Grasping in VR/AR via Force Closure Stability Judgment
[NO] 7/928 | IEEE Access
[NO] 8/928 | Table of Contents
[NO] 9/928 | Table of Contents
[NO] 10/928 | Improving the Performance of Next-Generation Vehicular Safety Messages Communication With Relay-Assisted Protocol
[NO] 11/928 | Indoor 5.8 GHz dc-dc Wireless Power Transfer at a Distance Capable of Attitude and Range Optimization
[NO] 12/928 | Front Cover
[NO] 13/928 | Using a Scale Testbed: Controller Design and Evaluation [25 Years Ago]
[NO] 14/928 | A DRL-based Energy-Efficient and Mobility-aware SFC Embedding Strategy in 6G SAGINs
[NO] 15/928 | Arc Behavior and Surface Evolution Under Targeted Current Conditioning
[NO] 16/928 | A Hybrid Stylometric and Transformer-Based Framework for Detecting AI-Generated Text
[NO] 17/928 | Integrating Machine Learning and Deep Learning for Robust and Privacy-Preserving Intrusion Detection: A Unified Framework and Experimental Study
[NO] 18/928 | Intelligent Crop Protection: AI Powered Detection and Diagnosis of Plant Diseases
[NO] 19/928 | Building a Multilingual, Voice-First Banking Assistant: Architecture and Implementation for the Mifos Ecosystem
[NO] 20/928 | Education Committee News: IEEE MTT-S Webinars [Education News]
[NO] 21/928 | Stateless Per-Packet IoT Authentication Framework Using Machine Learning
[NO] 22/928 | Financial IoT Smishing Detection: Challenges, Gaps, and Research Roadmap
[NO] 23/928 | Startup Success Predictor: A Machine Learning-Based Forecasting Framework for Early-Stage Venture Assessment
[YES] 24/928 | Proactive Approaches to Vulnerability Assessment and Mitigation
[NO] 25/928 | A Trojan Attack on TDMA Synchronization in Energy-Harvesting Wireless Networks
[NO] 26/928 | Credit Score Simulator and Coaching Module for Intelligent Credit
[NO] 27/928 | A Multimodal Retrieval-Augmented Generation System for Intelligent Document Processing and Study Assistance
[NO] 28/928 | IoT and Machine Learning-Based Road Condition Monitoring and Pothole Detection System
[NO] 29/928 | A Two-Stage Multi-modal Fusion Framework for Robust Key-point Detection of Wisdom Teeth with Panoramic Radiographs
[NO] 30/928 | Smart Hydroponic Control Framework Based on Generative AI and Machine Learning for pH and Nutrient Optimization
[NO] 31/928 | Research on Mammographic Mass Classification Based on Improved Stacking Algorithm
[NO] 32/928 | Practice and Development of Large Language Model in Command and Control
[NO] 33/928 | Neural Representation Learning and Privacy-preserving Cloud-Edge Collaboration for Next-Generation Financial Wealth Management Platforms
[NO] 34/928 | K-Means Based Tinyml Anomaly Detection and Distributed Model Reuse via the Distributed Internet of Learning (DIoL)
[NO] 35/928 | Traffic Routing &amp; Prediction Using Optimized ACO-PSO
[NO] 36/928 | Context-Aware Semantic Classification of Digital News Headlines Using Transformer-Based Models
[NO] 37/928 | An Improved SMS Security Technique to Avoid Plaintext and Dictionary Attacks
[NO] 38/928 | Secure and Privacy-Preserving Frameworks for IoMT: A Survey of Cryptographic and Blockchain-Enabled Approaches
[NO] 39/928 | A Jitter-Driven Hardware Hybrid Random Number Generator (HHRNG) Using Nonlinear Feedback and Feedforward Processing
[NO] 40/928 | Sea-Trial Characterization of the Spatial Self-Interference in In-Band Full-Duplex Underwater Acoustic Systems: A Validated Finite-Element Model and Receive-Array Design
[NO] 41/928 | Two-Stage Delay-Doppler Aided 6D Beamspace Tensor Channel Estimation for High-Mobility mmWave MIMO-OFDM
[NO] 42/928 | IEEE Transactions on Electron Devices Information for Authors
[NO] 43/928 | IEEE CSS Technical Committee on Discrete Event Systems [Technical Activities]
[NO] 44/928 | Robot of the Month: Flapper Nimble+
[NO] 45/928 | MMIFN: A Multi-Modal Interactive Fusion Network for Omnidirectional Image Quality Assessment
[NO] 46/928 | Edge-Wise Lie-Group Masking for Secure and Opaque Consensus
[NO] 47/928 | Multi-Scale Residual Shrinkage Network with Adaptive Thresholding for Noise-Robust EEG Sleep Staging
[NO] 48/928 | 3D Reflectarray Antenna Design for Ku Application using 3D Printer Technology
[NO] 49/928 | RWW 2027 Call for Papers PAWR
[NO] 50/928 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp3-3683248.mp4
[NO] 51/928 | Cooperative Grasping and Collision Avoidance Planning for Mobile Manipulators in Dynamic Environments
[NO] 52/928 | AaSHM: Unsupervised Bearing Fault Detection Using an Anomaly-Aware Spatiotemporal Hypergraph
[NO] 53/928 | IEEE Antennas and Propagation Society—Advancing Forward! [President’s Message]
[NO] 54/928 | Cross-Scenario Deraining Adaptation with Unpaired Data: Superpixel Structural Priors and Multi-Stage Pseudo-Rain Synthesize
[NO] 55/928 | Toward Schema-Based BI for Cleanroom Experimental Metadata: Organization, Visualization, and a Beta-Stage Case Study
[NO] 56/928 | 3D Localization of In-Service Deep-Buried PE Pipelines via ELF Magnetic Matching: System Design and Field Validation
[NO] 57/928 | Towards Smart Manufacturing: AI-Driven Prediction and Analysis of Surface Roughness in Machined Components
[NO] 58/928 | Evaluating Fog Simulators for Real-Time IoT Deployment: Towards Smart Parking System
[NO] 59/928 | Mental Health Prediction System Using Artificial Intelligence
[NO] 60/928 | Architectural Patterns and Security: Cloud Based IoT in Smart City Operations
[NO] 61/928 | Adaptive Quality of Experience Optimization in Wireless Multimedia Sensor Networks: A Cross-Layer Analytical Approach
[NO] 62/928 | IoT-Enabled Omnidirectional Surveillance Robot with Cloud-Based Face Recognition
[NO] 63/928 | IoT-Vision System for Human Identification and Presence Counting Using Deep Learning
[YES] 64/928 | F-800: Agentic Fuzzing Termination via Function Clustering: Toward Smarter Early Stopping
[NO] 65/928 | Real-Time Radar Hand Motion Recognition Using a Hybrid CNN–SVM Framework With FPGA Acceleration
[NO] 66/928 | Decentralized and Lightweight Server-Aided Revocable Attribute-Based Encryption for Mobile Cloud Computing_supp1-3696736.pdf
[NO] 67/928 | Adaptive Sensor Fault-Tolerant Tracking Control for State-Constrained Uncertain Nonlinear Systems
[NO] 68/928 | RWW 2027 Call for Papers WISnet
[NO] 69/928 | 2026 EuMW Registration Announcement
[NO] 70/928 | A Deep Neural Network-Based Adaptive Gamification Approach for Virtual Learning_supp1-3700399.docx
[NO] 71/928 | Real-time Measurement of Transition Resistance and Full-time Fault Feeder Selection for Random Arc Fault in Active Distribution Networks
[NO] 72/928 | Learning Optimal Crew Dispatch for Grid Restoration Following an Earthquake
[NO] 73/928 | Multi-View Depth Estimation With Uncertainty Constraints for Virtual-Real Occlusion
[NO] 74/928 | High-Order CBF-Compatible Semantics and Hierarchical Synthesis for Bounded-Time STL
[NO] 75/928 | Physics-Informed Learning for Multiplayer Differential Games
[NO] 76/928 | BhashaBluff: A Dataset and Benchmark for Detecting Bilingual, Noisy, Compressed Deepfakes and Synthetic Audio
[NO] 77/928 | Energy-Saving Control of DC Motor Speed via Adaptive Fixed-Time Sliding Mode
[NO] 78/928 | Can Vibration Patterns Identify Users? Authentication for Smartphone-Watch Collaboration
[NO] 79/928 | MS-SwinNet: Early Fusion of RGB and Multispectral Imagery for Post-Earthquake Building Damage Segmentation
[NO] 80/928 | Enhancing Path Following of Underactuated Water-Cleaning ASVs Using Adaptive MPC: Real-Time Parameter Estimation and Sensitivity Analysis in Dynamic Marine Environments
[NO] 81/928 | Artificial Intelligence and Microwave Engineering: From Tools to Transformation [President’s Column]
[NO] 82/928 | BrachyUtils: A High-throughput and Modular Brachytherapy Treatment Planning System Built for Python Scripting
[NO] 83/928 | IEEE Connects
[NO] 84/928 | Dielectric Characterization of Hard Dental Tissues at Microwave Frequencies: Experimental Validation of First-Order Debye Behavior
[NO] 85/928 | MSCAC-TCAM: An Interpretable Fault Diagnosis Method for Rolling Bearings Based on Multisensor Data Fusion
[NO] 86/928 | Pinching-Antenna System Design under Random LoS and NLoS Channels
[NO] 87/928 | Society Officers &amp; Administrative Committee
[NO] 88/928 | An IRS Assisted Flexible Space Shift Keying Scheme with Pattern Modulation
[NO] 89/928 | Accurate and Robust: Dynamic Image Refinement for Remote Sensing Visual Grounding
[NO] 90/928 | “The Last Human Will See What We Saw”: The Test of the World's First Atomic Bomb Left its Observers Stupefied
[NO] 91/928 | Theoretical Model for the Rate-Constrained Multichannel Wiener Filter in Binaural Hearing Aid Applications
[NO] 92/928 | Beyond One-Layer Decision: Hierarchical Multi-view Clustering with Progressive Cross-Layer Fusion
[NO] 93/928 | An Overview of Microwave Two-Port Measurement Methods for Absorber Materials
[NO] 94/928 | Diverse-Input Yield Prediction (DIYP) Model Applied Across Different Years with Variable Input Days
[YES] 95/928 | A Comparative Study of Attention-Based Transformer and Deep CNN Architectures for Lithography Hotspot Detection in Advanced Process Nodes
[NO] 96/928 | Idle Nodes Detection and Reactivation Aware-Buffer Management in Delay Tolerant Network Using Iemata and Spko
[NO] 97/928 | PROMEOS: Protein-protein interaction prediction using a Mixture of Experts and multimodal learning by integrating Ontology and Sequences
[NO] 98/928 | EEG-Based ADHD Classification Using Machine Learning and Boosting Algorithms
[NO] 99/928 | Applications and Limitations of Large Language Models in Digital Forensics: A Survey
[NO] 100/928 | Chennamane: The Historiography, Gameplay, and Cultural Revival of an Obscure Folk Game from Southern India
[NO] 101/928 | Hair Baldness Progression Prediction Using XGBoost: Risk Forecasting Model
[NO] 102/928 | Trojan Attribution via Code Stylometry: Writing Behaviors and Coding Habits in Obfuscated Binaries
[NO] 103/928 | Compact Vision Transformers for BFMRX Bone-Fracture Detection
[NO] 104/928 | An AI-Powered Solution for Sustainable Resource Management
[NO] 105/928 | Spatio-Visual Helmet Violation Analytics Using YOLOv8
[NO] 106/928 | The Final Exam? [Microwave Surfing]
[NO] 107/928 | A Comparative Framework for Automatic Image Annotation Using CNN Architectures and CLIP-ViT
[NO] 108/928 | ESP32-Based Wi-Fi Signal Mapping and Machine Learning–Driven Access Point Optimization
[YES] 109/928 | SecureHLSMem: Synthesizable Memory Safety for High-Level Synthesis of Accelerators
[NO] 110/928 | CROSS-Sched: A Crossover-Aware ML Scheduler and its Benchmarking on Heterogeneous Systems
[NO] 111/928 | Voice- and Text-Based Tasking for Swarm Robotics: A Leader-Centric Coordination Framework
[NO] 112/928 | Counterfeit RF Fingerprint Detection Using an Autoencoder-Based Approach
[NO] 113/928 | Disaster Connect: A Unified Platform for Disaster Response and Relief using MobileNetV2 and BERT
[NO] 114/928 | Survey on Machine Learning and Deep Learning Techniques for Stutter Detection
[NO] 115/928 | Advanced Smart Accident Detection System with IoT and AI Integration
[NO] 116/928 | A Global Perspective on Intellectual and Developmental Disabilities: Insights and Future Directions
[NO] 117/928 | Federated Learning for Human Activity Recognition on Resource-Constrained Sensors
[NO] 118/928 | Robust Stability for a Class of Complex Balanced Chemical Reaction Networks with Time Delays and Time Varying Perturbations
[NO] 119/928 | OCDS: Consortium Blockchain-Empowered Oblivious and Consistent Data Asset Sharing for Internet of Vehicles
[NO] 120/928 | DynaTrack: Dynamic Memory-Enhanced Transformer with Deformable Attention for Robust Single Object Tracking
[NO] 121/928 | Fragmented Graph Pattern Matching on Large Graphs
[NO] 122/928 | Expertise and Information Seeking in the Age of Generative AI: New Procedures, New Problematics
[NO] 123/928 | Night-to-Day Translation via Illumination Degradation Disentanglement
[NO] 124/928 | IEEE Industrial Electronics Society Information
[NO] 125/928 | Cover 2
[NO] 126/928 | FedLIC: Personalized Federated Learning with Layer-Wise Importance-Aware Encryption and Compression
[NO] 127/928 | Abnormal Behavior Recognition of Dairy Cows via DeepLabCut-Based Limb Decomposition
[NO] 128/928 | AIDE 2026 Cover Page
[NO] 129/928 | Direct Lightning Overvoltage and Flashover Risk in Complex Distribution Line Network Considering Electromagnetic Coupling From Lightning Channel
[NO] 130/928 | Mutual Information of Dynamic Metasurface Antenna-Enabled MIMO With Finite-Alphabet Inputs
[NO] 131/928 | Generative AI-enabled Cooperative Jamming for Secure Semantic Communication
[NO] 132/928 | Coordinated Control Strategy for Unbalanced Power and Bipolar Voltage in Electrolytic Capacitorless Vienna Rectifier
[NO] 133/928 | A Real-time FBG-DCMs-based Large-Scale Chromatic Dispersion Emulator
[NO] 134/928 | Lost in Automatic Translation: Navigating Life in English in the Age of Language Technologies: [Book Review]
[NO] 135/928 | Design and Trajectory Planning of the Manipulator for Pipeline Inspection Robots
[YES] 136/928 | LLM-Assisted Knowledge Graph Construction and Dual-Layer Reasoning for Defect Repair Planning: A Neo4j-Based Demo
[NO] 137/928 | Hybrid Temporal Modeling for Class Imbalance-Aware Human Activity Forecasting
[NO] 138/928 | Device-Independent Low-Light Image Enhancement via Learnable Von Kries Chromatic Adaptation Transform
[NO] 139/928 | LAKAS-N: Quantum Attack-Resistant Lattice-Based Authentication and Key Agreement using NIZK for Single and Cross-Domain VANETs_supp1-3696185.pdf
[NO] 140/928 | A Comparative Spectrum Selection Study of Hyperspectral and Narrowband Ultra Hyperspectral Sounder for Stratospheric Temperature Remote Sensing Applications
[NO] 141/928 | Long-Aperture ISAR Imaging of Complex Motion Ships via a Joint Adjacent-Order Coefficient Distribution
[NO] 142/928 | A Phase-Dependent Data-Driven Hybrid Hysteresis Model for Torque Compensation in Nonlinear Compliant Actuators
[NO] 143/928 | IEEE Member Discounts
[NO] 144/928 | GS-PCC: A Unified Geometry-Attribute Compression Framework for Point Cloud via Gaussian Splatting
[NO] 145/928 | A Hybrid Reinforcement Learning–Blockchain Architecture for Sequential Decentralised Coordination of Heterogeneous Robots: Proof-of-Concept Validation and Latency Characterisation
[NO] 146/928 | AIDE 2026 Cover Page
[NO] 147/928 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp6-3683248.mp4
[NO] 148/928 | NCorr-FP: A Neighbourhood-based Correlation-preserving Fingerprinting Scheme for Intellectual Property Protection of Structured Data
[NO] 149/928 | IEEE Transactions on Industrial Informatics Information for Authors
[NO] 150/928 | Early Paddy Disease Detection &amp; Sustainable Farming for South Indian Farmers
[NO] 151/928 | Development of IoT Platform for Smart Kitchen Management
[NO] 152/928 | An Empirical Evaluation of Synchronous vs Asynchronous Microservice Architectures for Enterprise Messaging Platforms
[NO] 153/928 | WatermarkGAN: A Comprehensive Framework for Text-based Image Synthesis, Quality Analysis and Watermark Embedding
[NO] 154/928 | Graph-Based Credit Risk Modeling in P2P Lending Using Gower-Derived Centrality Features
[NO] 155/928 | Gradio-Enabled Dual-Model Waste Classifier: From Scratch CNN vs MobileNetV2 for Smart Segregation
[NO] 156/928 | Transforming Medical Devices Through Software Innovation
[NO] 157/928 | Advancing Sentiment Analysis with BERT: A Comparative Evaluation Against Machine Learning and Deep Learning Techniques
[NO] 158/928 | Corrections to “Enhancing Measurement Accuracy: The Impact of Missing Data on Parameter Estimation in Mass–Spring–Damper Systems”
[NO] 159/928 | Polishing slurry chemical formulation design driven by large language models
[NO] 160/928 | Enhancing People Localisation in Drone Imagery for Better Crowd Management by Utilising Every Pixel in High-Resolution Images
[NO] 161/928 | FORESIGHT: Frequency and Order-aware REpresentation with Spectral-domain and Inter-channel Global Horizon Transformer
[NO] 162/928 | A Novel Wireless Laser Coupling System Based on Hierarchical Circled Photodiodes
[NO] 163/928 | Multi-Level Cache Architectures for FPGA Accelerators: A Comparative Study of Graph Processing and CNN Inference Optimization
[NO] 164/928 | Mental Health State Classification Model A Hybrid Approach Using VADER, BERT, BiLSTM, and CRF
[YES] 165/928 | An Automated and Scalable CNN-Based Framework for APB Error Diagnosis in SoC Designs
[NO] 166/928 | A Global Fixed Time Measurement Control Strategy for Multi-Motor System with Lumped Disturbance
[NO] 167/928 | Energy-Harvesting Asymmetry in Semitransparent Polymer Solar-Cells Based on a Laminated Transparent Electrode
[NO] 168/928 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp9-3683248.txt
[NO] 169/928 | Energy Efficiency Optimization for MC-DSSS Satellite-Terrestrial Integrated Network_supp1-3700458.pdf
[NO] 170/928 | Dynamic Gaussian-Based Digital Twin Reconstruction of Articulated Multi-Joint Objects
[NO] 171/928 | Remembering Mauro Mongiardo [In Memoriam]
[NO] 172/928 | IEEE Dataport
[NO] 173/928 | Modeling Pyramidal Neurons Using Bidomain BEM and Hierarchical Matrix Approximation
[NO] 174/928 | MED-XEL: Explainable AI on Ensemble Methods for Early Neurological Risk Forecasting
[NO] 175/928 | ConfidenceVoice: AI-Driven Real-Time Public Speaking Coaching for Enhanced Communication
[NO] 176/928 | A Comprehensive Survey On Continuous AI-Based Attendance Monitoring Systems
[NO] 177/928 | AlertCrowd: Web-Based Framework for Video Crowd Alerting Using Enhanced CSRNet
[NO] 178/928 | Machine Translation from Tulu to English using Transformer Architecture
[NO] 179/928 | Guideline-grounded Retrieval-augmented Generation for Ophthalmic Clinical Decision Support
[NO] 180/928 | A Robotics-Enhanced Digital Twin Framework for Automated and Resilient Cross-Border E-Commerce Logistics
[NO] 181/928 | AMONet: Alternating Modality Optimization Network for Multimodal Rumor Detection
[NO] 182/928 | IEEE Circuits and Systems Society Information
[NO] 183/928 | Looking for Fun in Antennas and Propagation [Editor’s Comments]
[NO] 184/928 | Dual-Path Consistency Learning via Hierarchical Neighborhood Perturbation for Scribble-Supervised Semantic Segmentation
[NO] 185/928 | One-Identity-One-Key: Region-aware Watermark for Proactive Deepfake Detection and Robust Source Tracing
[NO] 186/928 | The Roots of Renewables Resistance: To See why Sardinians Reject Renewables, You Need to Understand 2,700 Years of Invasion and Exploitation
[NO] 187/928 | Low-cost Embedded Breathing Rate Determination Using 802.15.4z IR-UWB Hardware for Remote Healthcare
[NO] 188/928 | Magnetic-Transmitter to Electric-Receiver System for Underground-to-Aboveground Communication Exploiting Induction Field and Radiation Field
[NO] 189/928 | Attack-Resilient Distributed Fusion with the TPHD Filter
[NO] 190/928 | Enhancing HfO
                    <sub>2</sub>
                    -Based Si Channel FeFET Retention by Tunneling Barrier Engineering: Inserting Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Layers to Increase Tunneling Barrier
[NO] 191/928 | A Stable Vehicle Platooning Scheme Based on Multi-Armed Bandits
[NO] 192/928 | A Unified Framework for Pseudo-Supervised Clustering via Weighted Sample Aggregation
[NO] 193/928 | Celestial Navigation using Low Earth Orbit Satellites without Prior Ephemeris Information
[NO] 194/928 | A Time–Frequency Cooperative Control for Current Harmonic Reduction in Capacitor-Less PMSM Drives
[NO] 195/928 | IEEE Transactions on Professional Communication Information for Authors
[NO] 196/928 | Anticipatory Utility Operations with Long-Duration Hydrogen Storage and Carbon Market Synergies
[NO] 197/928 | Asynchronous Concurrent Wireless Power Transfer in Sustainable 6G Networks: A Systematic Analysis
[NO] 198/928 | 2025 International Conference on Unmanned Aircraft Systems [Conference Reports]
[NO] 199/928 | A Confidence Fusion Driven Framework for Per-Beat ECG Waveform Delineation
[NO] 200/928 | RWW 2027 Call for Papers SHaRC
[NO] 201/928 | Distributed maximum correntropy unscented Kalman filtering with linear encoding-decoding mechanism for sensor networks under non-Gaussian noise
[NO] 202/928 | A Context-Adaptive Computational Framework for Shadow Artifact Remediation in Diverse Imagery
[NO] 203/928 | AI-Enabled Thermal Security System for Weapon Identification in Adverse Visibility
[NO] 204/928 | Enhancing Cloud Data Center Security: A Fog-Based and SDN-Controlled Solution for Detecting and Mitigating DDoS Attacks
[NO] 205/928 | Exploring Automated Conversion of 2D Blueprints to 3D Models for Civil Applications using Deep Learning Approaches
[NO] 206/928 | Advanced Machine Learning Approaches in Human-Machine Interaction for Rehabilitation Exoskeleton
[NO] 207/928 | An Efficient Machine Learning Pipeline for Diabetes Readmission Prediction Using Multi-Phase Feature Optimization
[NO] 208/928 | Trusted Ran-Edge Digital Twin Framework for Next-Generation IoT Security
[NO] 209/928 | Electric Vehicle Growth Analysis and Forecasting Using Hybrid Machine Learning and Time-Series Models
[NO] 210/928 | AI-Powered Multi-Class Adverse Drug Reaction Prediction from Real-World Clinical Data
[NO] 211/928 | Hybrid Deep Learning and Fuzzy Logic Model for Predicting Concrete Compressive Strength with Genetic Algorithm Optimization
[NO] 212/928 | Hybrid Harris Hawks-Grey Wolf Optimizer in Ad Hoc Networks: An in-Depth Analysis of Structure, Performance and Limitations
[NO] 213/928 | Hybrid Deep Learning for Authenticating Video Integrity Using CNN–LSTM Architecture
[NO] 214/928 | Debate to Extract: Enhancing Event Relation Extraction through Collaborative Debate and Agent Optimization
[NO] 215/928 | Centroid-Proximal K-Means: An Interpretable Framework for Urban Air Quality Clustering Using Multi-Pollutant and Meteorological Indicators
[NO] 216/928 | Identification of Hate Speech in Kannada Through the Use of Deep Learning Technique
[NO] 217/928 | Bird Species Classification Using Convolutional Neural Network
[NO] 218/928 | A Region-Aware Application for Measuring the Carbon Footprint of Large Language Models
[NO] 219/928 | Process Sequence Augmentation Based on User Event Logs by Integrating Transformer and LSTM
[NO] 220/928 | AR-Based Virtual Interior Design Using 3D Modeling
[NO] 221/928 | AI-Driven Sign Language Translation: Bridging Communication Gaps through Deep Learning and Computer Vision
[NO] 222/928 | A Review on AI-Powered Speech Translation Systems with Emphasis on Tulu-to-English Translation
[NO] 223/928 | A History Editorial [Historically Speaking]
[NO] 224/928 | A Framework for Efficient Individual-Level Longitudinal Outcomes Estimation for Agent-Based Simulations
[NO] 225/928 | Toward Robust Unsupervised Multi-Class Chest X-Ray Clustering: Comparing Reconstruction-Driven and Self-Supervised Representation Learning
[NO] 226/928 | An Efficient Mobility-Aware Knowledge Sharing Framework for Next-Generation Internet of Vehicles
[NO] 227/928 | HealthEngine: An Integrated Healthcare Analytics Model Using Multimodal Transformer, Deep Multitask Neural Networks, and SHAP
[NO] 228/928 | Coordinated Beamforming for Networked Integrated Communication and Multi-TMT Localization
[NO] 229/928 | How Far Are We from Generating Missing Modalities with Foundation Models?_supp1-3696678.pdf
[NO] 230/928 | AIDE 2026 TOC
[NO] 231/928 | A Passive Underwater Acoustic Target Recognition Method Using DiMobNet and ROI
[NO] 232/928 | Table of Contents
[NO] 233/928 | Optimizing Humanitarian Aid Distribution Under Checkpoint Congestion: A Strategic Safety Stock Placement Model
[NO] 234/928 | Composite Proxy-based Hierarchical Contrastive Hashing for Cross-modal Retrieval
[NO] 235/928 | A Compact Dual-Band Implantable Antenna for Subcutaneous Temperature Monitoring in Bovine Udder Tissue
[NO] 236/928 | Multi-Step Discrete-Time Physics-Informed Neural Networks for Fast Sample-Based Model Predictive Control
[NO] 237/928 | Multi-dimensional Resource-based Hybrid QoS Massive Grant-Free Random Access
[NO] 238/928 | End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF
[NO] 239/928 | Structured Tokenization of BERT for Tabular Classification
[NO] 240/928 | Conference Calendar
[NO] 241/928 | IEEE Tech RXIV
[NO] 242/928 | Boosting Spatially Resolved Transcriptomics Data Clustering via Multi-view Information Rebalance Learning
[NO] 243/928 | CMGA: Cross-Modal Graph Alignment for Unlocking LLM Reasoning in Multivariate Time-Series Forecasting
[NO] 244/928 | Rate-Compatible Protograph low-density parity-check Codes with Transfer Learning-Based Decoding for Spin-Transfer Torque Magnetic Random Access Memory
[NO] 245/928 | Robust Fake News Detection using Large Language Models under Adversarial Sentiment Attacks
[YES] 246/928 | Unsupervised Module Boundary Identification in FPGA Netlists Using Structural Graph Hashing
[NO] 247/928 | Automobile Industry Growth Prediction Using Machine Learning
[NO] 248/928 | A Data Fusion–Driven Framework for Predicting Insurance Risk Using Explainable Ensemble and Deep Learning Approaches
[NO] 249/928 | Virtual Chemistry Lab: Exploring Chemical Reactions through Immersive VR Technology
[NO] 250/928 | Cybersecurity in Healthcare: Safeguarding Patient Data and Systems
[NO] 251/928 | Care Over Time: The Long-Term Potential of Socially Interactive Agents for Improving Mental Health and Well-being
[NO] 252/928 | Real-Time Healthcare Data Ingestion and Processing: A Multi-Agent Architecture for ML-Driven Patient Outcome Prediction
[NO] 253/928 | Generative Disentanglement for Robust Estimation of Time-Dependent Treatment Effects
