[2026-07-28 22:58:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-27
正在获取论文...
[arXiv] 2026-07-27 | Spectral aspects of random heavy-tailed tensors
[IEEE] 2026-7-28 | Anomaly Detection in Large-Scale Distributed Systems Using Graph-Based Deep Learning
[IEEE] 2026-7-28 | Coordinating Specialized AI Agents for Compliance-Preserving Migration of Monolithic Java Systems to Cloud-Native Architectures
[IEEE] 2026-7-28 | Hybrid Fuzzy-Q Learning Approach for Load Balancing in IoT Networks
[IEEE] 2026-7-28 | A Policy-Aware Edge LLM-RAG Framework for Internet of Battlefield Things Mission Orchestration
[IEEE] 2026-7-28 | A Lightweight Fire Smoke Detection Algorithm Integrating Progressive Downsampling and an Efficient Neck Network
[IEEE] 2026-7-28 | Intelligent Control of Power Robot Pose and 3D Reconstruction Method of Images
[IEEE] 2026-7-28 | A Robust Adaptive ESKF for MEMS Attitude Estimation
[IEEE] 2026-7-28 | Evaluating the Effect of Artefact Representation on LLM-Based RESTful API Code Generation
[IEEE] 2026-7-28 | Enhancing Intrusion Detection Systems (IDS) Performance That Uses Feature Selection and Hybrid Classification
[IEEE] 2026-7-28 | Plasma-Nanosecond Pulsed Electric Field Synergy Enhances Multiscale Reactive-Species Transport in Glioma Models
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | An Investigation of Fault Signatures in Online Condition Monitoring Methods for Shaft Misalignment and Mass Unbalance Fault Diagnosis of PMSM Driven Systems
[IEEE] 2026-7-28 | Real-Time Pavement Defect Detection via Gated Multi-Scale Feature Fusion and Dynamic Activation
[IEEE] 2026-7-28 | Grid Current Distortion Suppression of Single-Stage Dual-PV-Port DAB Microinverters via Synergetic Closed-Loop Control
[IEEE] 2026-7-28 | QSMnet-INR: Single-Orientation Quantitative Susceptibility Mapping via Implicit Neural Representation in k-Space
[IEEE] 2026-7-28 | SynCal-Mix: Anchor-Calibrated Synthetic Rare-Event Support for Federated IoT Sensing
[IEEE] 2026-7-28 | TinyAtt-YOLO: A Window-Hierarchical Collaborative Attention Framework for PCB Tiny Defect Detection
[IEEE] 2026-7-28 | Decision letter for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[ACM] 2026-7-27 | Intelligent Wheelchair LAN Communication Architecture Based on Multi-UnitCollaboration: Protocol Optimization and Outdoor Interference ResistanceVerification
[IEEE] 2026-7-27 | Performance Analysis of DevOps Processes in Modern Cloud Platforms
[IEEE] 2026-7-27 | Impact of Blockchain Technology and Digital Finance Platforms on Sustainable Performance
[IEEE] 2026-7-27 | MViT-StrokeGAN: Enhanced CycleGAN with Stroke Module for Unpaired Artistic Style Transfer
[IEEE] 2026-7-27 | Design and Implementation of an AIGC-based Cybersecurity Education Animation Generation and Recommendation System
[IEEE] 2026-7-27 | Generative Multi-Agent Cooperative Optimization and Adaptive Scheduling Algorithms under Multidimensional QoS Constraints for Digital Campuses
[IEEE] 2026-7-27 | AI-Driven ROVs for Automated Coral Restoration and Marine Ecosystem Monitoring in the UAE: A Sustainable Approach to Marine Conservation
[IEEE] 2026-7-27 | AI-Driven Zero Trust and PAM Architectures for Accessible, Inclusive, and Equitable Cybersecurity in Global Enterprise Environments
[IEEE] 2026-7-27 | A Comparative Analysis of Fake News Detection on the LIAR Dataset
[IEEE] 2026-7-27 | Design and Implementation of a Space-Based Calibration Simulation System Based on Cesium
[IEEE] 2026-7-27 | AI Driven RSA based Adaptive MFA Model for Detection in online Banking Systems
[IEEE] 2026-7-27 | Low-Light Video Frame Enhancement with High-Frequency Reflectance Boosting and Adaptive Illumination Adjustment
[IEEE] 2026-7-27 | Secure and Efficient Data-Sharing Using Trust-Based Consensus Blockchain and Federated Computing in D2D Communication
[IEEE] 2026-7-27 | Light-weight AI Enhanced Adaptive Sensor Fusion for Robot based 3D Mapping Applications
[IEEE] 2026-7-27 | Fast Multi-Key Fully Homomorphic Encryption for Privacy-Preserving Intelligent Predictions
[IEEE] 2026-7-27 | Finite-Time Robust Control for Bowden Cable-Driven Exoskeletons With Time-Varying Cable Configurations_supp1-3713361.pdf
[IEEE] 2026-7-27 | Haptic Interfaces for Accessible Audio Mixing_supp1-3716643.mp4
[IEEE] 2026-7-27 | Fine-Grained Power Allocation for Power-Tiered Pricing Based Wireless Charging Services
[IEEE] 2026-7-27 | Beyond Net Present Value: A Practical Framework for De-Risking Strategic Technology Investments_supp1-3716711.docx
[IEEE] 2026-7-27 | RRNS Arith Lib – Open-Source Redundant Residue Number System Arithmetics for Reliable Circuits
[IEEE] 2026-7-27 | CICSE 2026 Copyright Page
[IEEE] 2026-7-27 | ST-PINet: Spatiotemporal Physics-Informed Network for Moving Infrared Small Target Detection via Endogenous Decoupling
[IEEE] 2026-7-27 | On-Chip Self-Injection-Locked Gain-Switched Combs for Flexible RF Signal Generation Via Photon–Photon Resonance
[ACM] 2026-7-28 | <scp>ExplorIt</scp>
                    : Simulation-based Fuzzing for Autonomous Driving Systems via Multi-Agent Interaction Modeling
[ACM] 2026-7-28 | Intelligent Prompt Construction for Large Language Models in Knowledge-based Visual Question Answering
[ACM] 2026-7-28 | Privacy-Utility Trade-off in Data Publication: A Bilevel Optimization Framework with Curvature-Guided Perturbation
[IEEE] 2026-7-28 | Space-Time Deep Joint Source-Channel Coding for Wireless Image Transmission with Imperfect CSI
[IEEE] 2026-7-28 | Physics-Regularized Learning for Robust Sim-to-Real Tactile Friction Estimation_supp1-3717192.mp4
[IEEE] 2026-7-28 | Host-Driven Flowlet Balancing with Segment Routing Over IPv6
[IEEE] 2026-7-28 | IEEE Electron Device Letters Publication Information
[IEEE] 2026-7-28 | Communication-Efficient Federated Learning for Binary Neural Networks Via HMM
[IEEE] 2026-7-28 | GEMR: Integrating GEMM Recognition and Library Replacement into the GCC Optimization Pipeline
[IEEE] 2026-7-28 | Dependency-Aware Parallel Function Calling for Large Language Models
[IEEE] 2026-7-28 | Taming Generation Quality and Latency for Text-to-Image Serving at the Edge
[IEEE] 2026-7-28 | Common-Transmitter Multipath-Aware TDoA Localization for Acoustic Backscatter-Enabled IoUT Networks
[IEEE] 2026-7-28 | MathTEC: A Multi-Agent Framework for Mathematical Text Error Correction
[IEEE] 2026-7-27 | Global Daily XCO
                    <sub>2</sub>
                    Reconstruction at 0.05° Resolution for 2021–2024 Using Satellite and Reanalysis Data
[ACM] 2026-7-28 | Sustainable Smart Farm Networks: A Decision Theory-Guided Deep Reinforcement Learning Approach
[IEEE] 2026-7-28 | A Multimodal Serious Games Tool for Executive Function Screening in Primary School Children
[IEEE] 2026-7-28 | CT-3DUNet-GAN: A Spatiotemporal-Integrated 3D U-Net with Adversarial Learning for Infrared Cloud Image Prediction
[IEEE] 2026-7-28 | Mitigating Delay Impact of Bursty Cross Traffic in Combined Input and Output Queued Switches Using Virtual Input Queuing
[IEEE] 2026-7-28 | A Predictive Closed-Loop Resource Allocation Framework for OFDM-ISAC
[IEEE] 2026-7-28 | A Scalable FPGA Architecture for Massively Parallel Timing Recovery via State-Space Loop Modeling and Parameter Design
[IEEE] 2026-7-28 | Ultra-wideband Reconfigurable Reflectarray Antenna Using 1-Bit Polarization Converter Based on Liquid Metal
[IEEE] 2026-7-28 | Channel Estimation Performance Analysis of Dual-Polarized Cell-Free Massive MIMO Systems with Ricean Fading
[IEEE] 2026-7-28 | A Switchable-Carrier Waveform for Integrated Sensing and Communications
[IEEE] 2026-7-28 | Routing-Aware In Situ Diagnosis of PDN- and Configuration-Induced Delay Signatures in SRAM-Based FPGAs
[IEEE] 2026-7-28 | Area of Responsibility Partitioning and Multi-Objective Task Allocation for Heterogeneous Reconnaissance UAV Swarms
[IEEE] 2026-7-28 | A Continuous Charging Scheduling Method for Electric Vehicles Considering User Behavior Constraints
[IEEE] 2026-7-28 | DP-FedDLnet: Enhanced Privacy Data Protection for Federated Learning
[IEEE] 2026-7-28 | A Framework for Accountable Collateralization in DeFi: Enabling Reliable and Auditable Use of Tokenized Gold and Bonds
[IEEE] 2026-7-28 | Learning Complex Humanoid Skills from Unstructured Motion Streams
[IEEE] 2026-7-28 | Single-Sensor Pipeline Leak Localization Method Based on Modal Acoustic Emission and ICEEMDAN-HT
[IEEE] 2026-7-28 | ARES-SQL: Augmented Reinforcement Enhanced Semantic SQL for Small Language Models
[IEEE] 2026-7-28 | A Hybrid TCAD–Verilog-A Methodology for High-Accuracy FinFET Based CMOS Inverter Design
[IEEE] 2026-7-28 | Framework-Adaptive Agentic Pipelines for API Knowledge Extraction and Test Generation
[IEEE] 2026-7-28 | Optimizing Prompt/Contextual Engineering Facilitation of Internal Computation Strategies for Enhanced AI Data Center Resiliency
[IEEE] 2026-7-28 | TAP-FL: Trust-Aware and Privacy-Preserving Federated Learning under Adversarial and Heterogeneous Settings
[IEEE] 2026-7-28 | A Graph-Based Identification Framework for Cross-Scale Coordination of Multi-Node Battery Energy Storage Systems
[IEEE] 2026-7-28 | Cor-TMBL: A Multimodal Sentiment Analysis Model Integrating Correlation Contrastive Learning and Modality Binding Strategies
[IEEE] 2026-7-28 | Explainable and Fair XGBoost Framework for Early ICU Mortality Prediction Using EHR Data
[IEEE] 2026-7-28 | The Utilization of ChatGPT as a Component of a Digital Learning System and Its Impact on Students’ Learning Motivation
[IEEE] 2026-7-28 | Applying Grover’s Algorithm to Synergy: Quantum Resource Estimates
[IEEE] 2026-7-28 | Machine Learning Prediction of Light Intensity and Aeration Treatment for Microalgae-Based POME Remediation with Edge Inference Evaluation
[IEEE] 2026-7-28 | Multi Agent Collaborative Reasoning and Role Division Optimization for Emotion Recognition under Complex Context Understanding
[IEEE] 2026-7-28 | Energy-Efficient Multi-Satellite Cooperative Computation Offloading for Satellite Edge Computing
[IEEE] 2026-7-28 | Optimizing Multicast for Mixture of Experts (MoE) Architectures
[IEEE] 2026-7-28 | Benchmarking Ptp on Commodity Nics for Industrial Edge Ai Networks
[IEEE] 2026-7-28 | Simultaneous Sub-Pixel Retrieval of Lake Ice and Snow from MODIS: Resolving Spectral Ambiguity via a Physics-Informed Framework_supp1-3717447.docx
[IEEE] 2026-7-28 | MDH-YOLO: A Hypergraph-Enhanced Vision Framework for Robust Weed Detection in Complex Agricultural Scenarios
[IEEE] 2026-7-28 | Market Equilibrium Effects of Storage Staircase Bidding: More Than Revenue at Stake
[IEEE] 2026-7-28 | LLM-Driven Data Observability for Intelligent Anomaly Detection in Cloud Data Engineering Systems
[IEEE] 2026-7-28 | Global-Local Collaborative Diffusion Network for High-Fidelity Text Image Inpainting
[IEEE] 2026-7-28 | Visual SLAM Algorithm Based on an Improved Object Detection Network in Dynamic Scenes
[IEEE] 2026-7-28 | Frequency-Aware Transformer Fusion for Multispectral Pedestrian Detection
[IEEE] 2026-7-28 | An AI Based Real Time Automatic Coffee Berry Classification
[IEEE] 2026-7-28 | FALCON-C: Flow-Based Analysis and Labeling for Connected Vehicular Network Cybersecurity
[IEEE] 2026-7-28 | Multi-UAV Cooperative Flight Navigation Based on Deep Reinforcement Learning
[IEEE] 2026-7-28 | Causal-Guided Transformer Diffusion for Multivariate Time-Series Imputation
[IEEE] 2026-7-28 | SDR-Based Wireless Health Monitoring with Emergency Data Prioritization
[IEEE] 2026-7-28 | Attention-Driven Deep Generative Modeling of Temporal Networks
[IEEE] 2026-7-28 | Time-Reversal Cognitive Medical Imaging Framework for Disease Origin Localization and Evolution Modeling Using Self-Adaptive Perception Mechanisms
[IEEE] 2026-7-28 | Sentiment Classification of Social Media Hashtags Related to Global Conflicts Using Machine Learning
[IEEE] 2026-7-28 | CLIP-Joint-Detect: End-to-End Joint Training of Object Detectors with Contrastive Vision-Language Supervision
[IEEE] 2026-7-28 | Membership Inference in LLMs: A Survey
[IEEE] 2026-7-28 | Deep Learning Based Multi-Object Detection for Smart Surveillance Applications
[IEEE] 2026-7-27 | Optimization-Driven Hierarchical Coordination for Sustainable Megaconstellation Operations
[IEEE] 2026-7-27 | Sensing and Characterization of Complex Dielectric Dispersion of Liquids in a Capillary Tube in the X-Band
[IEEE] 2026-7-27 | Evolutionary AP Switch ON/OFF Techniques for Energy-efficient Cell-free Massive MIMO Networks
[IEEE] 2026-7-27 | Influence of Synaptic Characteristics on Operating Regions of Charge-Trapping Thin-Film Transistors_supp1-3714371.pdf
[IEEE] 2026-7-27 | High-Performance 3D Trench Hf
                    <sub>0.4</sub>
                    Zr
                    <sub>0.6</sub>
                    O
                    <sub>2</sub>
                    -Based Ferroelectric Capacitors with Ultra-Low Coercive Field (0.69 MV/cm) via Phase Boundary Engineering
[ACM] 2026-7-27 | SilentDNS: Acoustic Side-Channel-Assisted Inference for Device Fingerprinting and State Detection under Encrypted Network Traffic
[ACM] 2026-7-28 | FOCAL: Focused Object-Centric Attention for Lifelog Retrieval
[IEEE] 2026-7-27 | DenseNet and ConvNeXt for Effective Early Wildfire Detection: A Comparative Approach of Dense and Modern CNN
[IEEE] 2026-7-27 | Evaluating Open-Text 3D Segmentation From 3D Reconstructed Point Clouds
[IEEE] 2026-7-27 | Secure and Transparent Cloud Data Sharing using Blockchain and Smart Contract Technology
[IEEE] 2026-7-27 | Energy-Efficient Smart Lighting Systems for Residential Environments: A Review
[IEEE] 2026-7-27 | Development of Functionally Graded Carbon Fabric-Reinforced Epoxy Composites Incorporating Hybrid Magnetic–Conductive Fillers for X-band EMI Shielding
[IEEE] 2026-7-27 | A Comprehensive Analysis of AI-based Acoustic Voice Biomarkers for Non-Invasive Detection of Diabetes and Multimorbidity
[IEEE] 2026-7-27 | Research of AL-YOLOv8 for Chip Surface Defect Detection
[IEEE] 2026-7-27 | Joint-level Occlusion-Aware Text Prompts for Robust Monocular Hand Mesh Reconstruction
[IEEE] 2026-7-27 | Explicit Progressive Optimization for Video frame Interpolation with Optical Flow Guidance
[IEEE] 2026-7-27 | Enhancing Diabetic Retinopathy Detection through Optic Disc-Aware Deep Learning on Retinal Fundus Images
[IEEE] 2026-7-27 | DiffRes-HDR: Physics-Guided Residual Diffusion for HDR Exposure Interpolation
[IEEE] 2026-7-27 | Deep Learning-based Few Shot Reverberation Estimation Algorithm and Hardware Co-optimization Framework for Real-time Live Music Signal Acquisition
[IEEE] 2026-7-27 | Performance-Bound Orchestration of AI-Enhanced Retail Microservices on Cloud
[ACM] 2026-7-27 | HealthServe: A Public Health-Aware Inference Framework
[IEEE] 2026-7-28 | Study on Tunnel Deformation Prediction and Identification of Key Hazard-Inducing Factors by Integrating Explainable Machine Learning
[IEEE] 2026-7-28 | Augmented Dung Beetle Optimizer-Based SVM Against Byzantine Attack for Cooperative Spectrum Sensing in Cognitive Wireless Sensor Networks
[IEEE] 2026-7-28 | A Fairness-Aware Query-Adaptive Differential Privacy Mechanism for Collusion-Resistant Flexibility Data Sharing in IoT-Enabled Virtual Power Plants
[IEEE] 2026-7-28 | Fine-Grained Insider Threat Detection Based on BDI and Scenario-Aware DBLOF
[IEEE] 2026-7-27 | Unraveling Affective States From the Auriculomotor System
[IEEE] 2026-7-28 | Causal Reasoning for Elderly Daily Intent Recognition in AIoT Environments
[IEEE] 2026-7-28 | Defense Against Retrieval Injection Attacks in MCP-based LLM Agents
[IEEE] 2026-7-28 | EMD-Net: An Efficient Multi-Scale Feature Fusion Lightweight Detection Network and its Application
[IEEE] 2026-7-28 | Energy-Efficient and Secure Communications for UAV-RIS-Assisted Multi-User Multi-Eavesdropper Networks via Joint UAV Deployment, RIS Partitioning, Beamforming, and Phase Shift Design
[IEEE] 2026-7-28 | Multi-Scale Spatiotemporal Graph State Coevolution for Traffic Flow Forecasting
[IEEE] 2026-7-28 | SCURNet: Sub-band Collaborative Unfolding with Range-Nullspace Decomposition for Sparse-View CT Reconstruction
[IEEE] 2026-7-27 | Exploiting Label-Aware Channel Scoring for Adaptive Channel Pruning in Split Learning
[IEEE] 2026-7-28 | Impact of Walking Speed on Gait Biomechanics: Kinetics and Muscle Activation Analysis
[IEEE] 2026-7-27 | A Task-Label-Free Domain-Incremental Learning Framework for DDoS Detection in the Internet of Things
[IEEE] 2026-7-28 | Enhanced Artificial Intelligence (AI)-Based Risk Prediction Framework for Cardiovascular Health Monitoring
[IEEE] 2026-7-28 | Wireless Wanderlust: The 2025 D2I Challenge on Channel Charting and Grant-free Random Access
[IEEE] 2026-7-28 | Power Spectral Density of Sentinel-1 Interferometric Phase Reveals Kolmogorov Turbulence Regimes
[IEEE] 2026-7-27 | ME-MoD: Algorithm-Hardware-Dataflow Co-Design for Memory Efficient Mixture-of-Depth-Based Vision Transformer Accelerator
[IEEE] 2026-7-28 | A High-Efficiency DMA Architecture for Fine-Grained Data Transfers
[IEEE] 2026-7-28 | CFO-AV: Cross-Modal Adaptive Conflict-Aware Framework for Audio-Visual Deepfake Detection
[IEEE] 2026-7-28 | A Millimeter Wave CP Filtering Magnetoelectric Dipole Antenna With SIGW Technology
[IEEE] 2026-7-28 | Deep Knowledge Extraction for Complex Geosemantics: A Multi-Grained Framework for Nested and Discontinuous Entities
[IEEE] 2026-7-28 | A Semantic-Aware Multimodal Data Warehouse for Crowdsourcing and Contextualizing AI-Generated Educational Content in Fragile Contexts
[IEEE] 2026-7-28 | KF-LSTM-Enhanced Time-Frequency Channel Estimation for OTFS Low-Earth-Orbit Satellite Communication Systems
[IEEE] 2026-7-28 | Reconfigurable multi-order differential operator in the terahertz regime based on VO
                    <sub>2</sub>
                    metasurface
[IEEE] 2026-7-28 | A Single-Stage Wireless Power Transmitter With Boosted and Regulated AC Output Voltage for D2D Wireless Fast Charging
[IEEE] 2026-7-28 | Efficient Global Trajectory Planning for AGVs Based on Convex-Concave-Decomposition
[IEEE] 2026-7-28 | Dual Architecture Fusion Vehicle Lidar 3D Target Detection
[IEEE] 2026-7-28 | A Decoding Scheme for SBMA System Based on DNN Decoder
[IEEE] 2026-7-28 | BoostFormer-based Dual-view Awareness Feature Fusion Classification for Hyperspectral Images
[IEEE] 2026-7-27 | Vertically excited first-order antisymmetric mode plate wave resonator using X-113°Y LiNbO
                    <sub>3</sub>
[IEEE] 2026-7-28 | Fast Acquisition Technique for BOC Signals Based on a Software-Defined Radio Platform
[IEEE] 2026-7-28 | Air-Monitor: Zero-shot Visual Planning for Air-to-Ground Surveillance based on Multimodal LLMs
[IEEE] 2026-7-28 | Carpe Diem: Critical Learning Period-Aware Contract-Based Incentives for Federated Learning
[IEEE] 2026-7-27 | TR-RNP: An Adaptive Transmission-Reliable Relay Node Placement Strategy in Internet of Underwater Things
[IEEE] 2026-7-28 | Editorial—July 2026
[IEEE] 2026-7-28 | Physics-Informed Tensor Velocity Reconstruction from 2D Velocity Estimates using Row-Column Probes_supp1-3717096.pdf
[IEEE] 2026-7-28 | The Role of AI Applications in Human Resource Practices Within the Metaverse
[IEEE] 2026-7-28 | Executable Natural-Language Task Planning for UGV Patrol via Retrieval-Augmented Constraint-Guided Refinement
[IEEE] 2026-7-28 | Optimizing Annotation Budgets in Transformer-Based Sentiment Analysis via Explanation-Guided Instance Selection
[IEEE] 2026-7-28 | Evaluation of TCP Congestion Control for Public High-Performance Wide-Area Networks
[IEEE] 2026-7-28 | Edge-Assisted Federated Ensemble Learning with Adaptive Sample Reweighting for Robust Intrusion Detection in IoT-Enabled Smart Networks
[IEEE] 2026-7-28 | MRAI 2026 Author Information Page
[IEEE] 2026-7-28 | Is There Evidence of Gender Bias in Iris Presentation Attack Detection Approaches?_supp1-3715085.pdf
[IEEE] 2026-7-28 | Distributed Reinforcement Learning for Formation Task Planning in Communication-Constrained Environments
[IEEE] 2026-7-28 | Adaptive Variable Universe Fuzzy PI Control for Synchronous Reluctance Motor Drives
[IEEE] 2026-7-28 | DD-TPR: Differential Delay-Aware Two-Phase Routing Model
[IEEE] 2026-7-27 | Hybrid Framework for Synthetic Transportation Network Generation: Combining Constraint-First Topology with Learned Geometry
[IEEE] 2026-7-28 | A Lightweight Ledger-Based Validation Framework for Mitigating Version Number Attacks in RPL-Based IoT Networks
[IEEE] 2026-7-28 | A Cross-Lingual Representation Learning Alignment Algorithm Based on Wasserstein Distance
[IEEE] 2026-7-28 | Mission-Critical Slice Resilience Under Massive IoT Overload: Priority-Only vs AppID Isolation with Tail-KPI and Attach Evidence
[IEEE] 2026-7-28 | Optimal Observation Window Length for Early-Stage Lithium-Ion Battery Cycle Life Prediction
[IEEE] 2026-7-28 | Noise-tolerant Zhang Neural Networks Handling Time-varying Nonlinear Complementarity Problems
[IEEE] 2026-7-28 | Research on Small Molecule Quantum Chemical Simulation Based on Quantum Computing Cloud Platform
[IEEE] 2026-7-28 | An Ingressive Gripper for Robotic Palm Harvesting
[IEEE] 2026-7-28 | Simulation-Driven Autonomous Driving Using Hybrid LSTM Learning and Finite State Machine Control
[IEEE] 2026-7-28 | IoT-Enabled Hybrid K-Means and Rule-Based Machine Learning Framework for Smart City E-Waste Sorting
[IEEE] 2026-7-28 | Predictive Model Development for Multi-Class Heart Disease Using Ensemble Stacking of XGBoost, LightGBM and CatBoost
[IEEE] 2026-7-28 | Mathematics Teachers’ Stances on AI Integration in Their Classroom
[IEEE] 2026-7-28 | Machine Learning Based Client-Side Detection Framework for Rogue Access Point and Evil Twin Attacks in Public Wi-Fi Networks
[IEEE] 2026-7-28 | Multi-AGV Path Planning and Conflict Resolution Strategy Based on Deep Reinforcement Learning
[IEEE] 2026-7-28 | The Role of Artificial Intelligence Applications in the Mediating Role Of Data-Driven Decision Making
[IEEE] 2026-7-28 | Pathology Knowledge-Refined Multiple Instance Learning for Few-Shot WSI Classification
[ACM] 2026-7-27 | RELL-STC: An Efficient SpMM Extension of Sparse Tensor Core with Re-structured ELLPACK and Gustavson Dataflow
[ACM] 2026-7-27 | cuPTW: Leveraging Idle Compute Units for Massively Parallel GPU Page Table Walks
[IEEE] 2026-7-27 | A Multi-Domain Noise-Aware 2.5D UNet++ Framework With FiLM Conditioning and Spectral Gating for MRI Denoising
[IEEE] 2026-7-27 | FedAggVerify: Publicly Verifiable and Privacy-Preserving Aggregation With Ownership Protection for Federated Learning
[IEEE] 2026-7-27 | Effects of Charge Generation Layer Parameters on Luminance Balance Between Bottom and Top Emitting Units in Top Emitting Tandem Organic Light Emitting Diodes
[IEEE] 2026-7-27 | A 112GS/s 7b 64× Time-interleaved Hybrid ADC Achieving 43.1dB SFDR at 44.1GHz Input in 28nm CMOS
[IEEE] 2026-7-27 | Energy Saving in Cell-Free Massive MIMO ISAC for Ultra-Reliable Target-Aware Actuation
[IEEE] 2026-7-27 | Neural Operator-enabled Topology-informed Evolutionary Strategy for PDE-Constrained Optimization_supp1-3708401.pdf
[IEEE] 2026-7-27 | Congestion-aware Channel Selection for ETSI ITS-G5
[IEEE] 2026-7-27 | Edge-Responsive Local-Repair Particle Swarm Optimisation for Dynamic Spatiotemporal Task Allocation of IoT-Connected UAV Swarms
[IEEE] 2026-7-27 | DSCAN: Structural Clustering on Directed Graphs
[IEEE] 2026-7-27 | Auditing the Reliability of Automated Risk Evaluators in Agentic Tutoring Systems under Pedagogical Style Variations_supp1-3716609.pdf
共写入 1848 条记录，保存到 papers/paper2026-07-27.json。
论文获取成功，文件路径: papers/paper2026-07-27.json
正在筛选、翻译并发送邮件...
[NO] 1/1848 | Spectral aspects of random heavy-tailed tensors
[NO] 2/1848 | The Degree of Strategy-Proofness for Risk-Averse Committee Selection
[NO] 3/1848 | BettiSplit: Topology-Guided Privacy-Aware Split Learning Against Feature Inversion and Gradient Leakage
[NO] 4/1848 | Robust Interpretation of Historical Documents in Knowledge Graphs Through Query Inference and Execution
[NO] 5/1848 | Cosmic ray heating of cold streams: Implications for the gas supply and growth of massive galaxies
[NO] 6/1848 | On the Recognition of Outerplanar Graphs with Queue Number 1
[YES] 7/1848 | Generative Artificial Intelligence (GenAI) to convert images of queuing networks into verifiable simulation models: an open-weight LLM workflow approach
[NO] 8/1848 | Universal Statistics of Energy and Information Flow in Random Electromagnetic Fields
[NO] 9/1848 | Accuracy potential of visual localization exploiting high-end street-level imagery
[NO] 10/1848 | Classical simulation and model concentration in passive linear optics
[NO] 11/1848 | Effects of temperature-dependent optical properties on the determination of interstellar dust masses
[NO] 12/1848 | Dynamic hysteresis in an autocatalytic reaction network
[NO] 13/1848 | Long-time Stability and Convergence of Particle Swarm Optimization
[NO] 14/1848 | Maximum independent queen set on polyominoes is NP-complete
[NO] 15/1848 | Colored Markov-Modulated Brownian Motion for Preemptive Workload Stacks
[NO] 16/1848 | The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing
[NO] 17/1848 | Subreflexive Logic: Completeness without Identity
[NO] 18/1848 | Modeling Local Exploit Hazard - A Bayesian Framework for Quantifying Exploit Risk and Operational Efficiency
[NO] 19/1848 | Implementation and verification of the avalanche source in a 3D full-f particle-in-cell model of relativistic electrons for studies of tokamak disruptions
[NO] 20/1848 | ML-based Predictive Models for Power Consumption in Virtualised O-RANs
[NO] 21/1848 | Stacking the Deck: Tunable Trainability in Stacked LCUs
[NO] 22/1848 | Sparse Autoencoders Encode Both Concepts and Functions: The Downstream Geometry of Feature Effects
[NO] 23/1848 | Simple modules for affine nilCoxeter algebras
[NO] 24/1848 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[NO] 25/1848 | ERUnderstand: Evaluating Vision-Language Models on Structured ER Diagrams
[NO] 26/1848 | SADe: Sparse-Atom Support Decontamination for Few-Shot Segmentation with Weak Support Annotations
[NO] 27/1848 | Derangetropy Operators
[NO] 28/1848 | Diagonal dimension and intermediate sub-C*-algebras
[NO] 29/1848 | A computer-assisted proof of Kuperberg's six-cylinder conjecture
[NO] 30/1848 | Fluctuation theorems for autonomous work in the quantum regime
[NO] 31/1848 | Two-neutrino double-weak decays of $^{126}$Xe and $^{134}$Xe from different many-body methods
[NO] 32/1848 | Electromagnetic structure of charged and neutral strange vector mesons
[NO] 33/1848 | On the problem of large gcd for disjoint residue classes
[NO] 34/1848 | Majority Dynamics on Assortative Sparse Stochastic Block Models
[NO] 35/1848 | Reason-Mediated Behavioral Models for Auditing LLM Social Simulators
[NO] 36/1848 | Current References for Minimum Copper Loss and Torque Ripple in the Full Torque-Speed Range for Symmetrical Six-Phase PMSMs With Nonsinusoidal Back-EMF Under an Open-Phase Fault
[NO] 37/1848 | Development of a Handheld Actuation Mechanism for a Tendon-driven Robotically Steered Guidewire
[NO] 38/1848 | Polynomial-time $(k+ε)$-approximation for $k$-coloured Non-crossing Euclidean TSP
[NO] 39/1848 | Enclosing a Compact Set in an O-minimal Expansion of $(\mathbb{R},+,\cdot,0,1 <)$
[NO] 40/1848 | Extreme outbreaks in non-Markovian epidemics on complex networks
[NO] 41/1848 | Fixed-time stabilization of systems with nilpotent matrices in the presence of large unknown delays
[NO] 42/1848 | D-Score: A Spectral Hidden-State Signal for Hallucination Detection in Large Language Models
[NO] 43/1848 | From Data to Device: ELMOD An Efficient German-First 2.7B Language Model for Mobile Inference
[NO] 44/1848 | CADER: Confidence-Aware Dynamic Evidence Reasoning for Long-Video Understanding
[NO] 45/1848 | Tikhonov-Regularized Physics-Informed Neural Networks for Terminal-State Distributed Optimal Control of Parabolic Partial Differential Equations
[NO] 46/1848 | The Wide-field Spectroscopic Telescope (WST): design trade-offs for the low-resolution multi-object spectrograph instrument
[NO] 47/1848 | The K-SCAN Clustering Algorithm
[NO] 48/1848 | Using Subproblem Objective Gaps in Inexact Augmented Lagrangian and ADMM Algorithms, with Applications to Stochastic Mixed Integer Programming
[NO] 49/1848 | From Machine Learning to Large-Scale EO Products: Best Practices for Making Maps
[NO] 50/1848 | R-process nucleosynthesis from magnetar giant flares in neutron star--white dwarf mergers: A unified picture for peculiar long gamma-ray bursts
[NO] 51/1848 | A turning point principle for liquid Lane-Emden stars
[NO] 52/1848 | On Feige's conjecture
