[2025-12-16 09:15:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-15
正在获取论文...
[arXiv] 2025-12-15 | Intrinsic Geometry of Operational Contexts: A Riemannian-Style Framework for Quantum Channels
[NO] 29/1806 | Replacement and Reputation
[NO] 30/1806 | On the complex interplay of temperature, phase change and natural convection in self-pressurization-an investigation using segregated modeling
[NO] 31/1806 | Influence of Radiation and AC Coupling on Time Performance of Analog Pixels Test Structures in 65 nm CMOS technology
[NO] 32/1806 | An introduction to the Global Glimm Problem
[NO] 33/1806 | Quantum Disruption: An SOK of How Post-Quantum Attackers Reshape Blockchain Security and Performance
[NO] 34/1806 | A Multi-Worker Assembly Line Rebalancing with Spatial and Ergonomic Considerations
[NO] 35/1806 | ALIGN-FL: Architecture-independent Learning through Invariant Generative component sharing in Federated Learning
[NO] 36/1806 | Open Homomorphisms between $m$-step Solvable Galois Groups Compatible with the Cyclotomic Characters
[NO] 37/1806 | Convergence of covariance and spectral density estimates for high-dimensional functional time series
[NO] 38/1806 | Birkhoff Spectra of symbolic almost one-to-one extensions
[NO] 39/1806 | Intrinsic-Motivation Multi-Robot Social Formation Navigation with Coordinated Exploration
[NO] 40/1806 | Maximum of the characteristic polynomial of random Jacobi matrices
[NO] 41/1806 | Coherent feedback-enhanced asymmetry of thermal process in open quantum systems: Cavity optomechanics
[NO] 42/1806 | Tidally Perturbed, Rotating Stellar Systems: Asynchronous Equilibria
[NO] 43/1806 | Integrating Causal Reasoning into Automated Fact-Checking
[YES] 44/1806 | AutoTool: Dynamic Tool Selection and Integration for Agentic Reasoning
[NO] 45/1806 | Challenging historical novae: AT Cnc (1645), Te-11 (483), and M22 (BC 48) revisited
[NO] 46/1806 | Stability and Regularization of Quasi-Variational Inequalities under Monotone Operator Perturbations
[NO] 47/1806 | SPARS: A Reinforcement Learning-Enabled Simulator for Power Management in HPC Job Scheduling
[NO] 48/1806 | Lagrangian Heterogeneous Multiscale Method (LHMM) for Simulating Polymer Solutions/Melts Behavior under Complex Flows using DPD-SPH
[NO] 49/1806 | From Educational Analytics to AI Governance: Transferable Lessons from Complex Systems Interventions
[NO] 50/1806 | Thermodynamic geometry of charged AdS black holes with a string cloud in Lorentz-violating Einstein-Kalb-Ramond gravity
[NO] 51/1806 | Fostering human learning is crucial for boosting human-AI synergy
[NO] 52/1806 | DisCo-Speech: Controllable Zero-Shot Speech Generation with A Disentangled Speech Codec
[NO] 53/1806 | ModSSC: A Modular Framework for Semi-Supervised Classification on Heterogeneous Data
[NO] 54/1806 | Integrating ethical, societal and environmental issues into algorithm design courses
[NO] 55/1806 | Differentiable Material Point Method for the Control of Deformable Objects
[NO] 56/1806 | Kernelization dichotomies for hitting minors under structural parameterizations
[NO] 57/1806 | A tropical version of Martens' theorem for metric graphs
[NO] 58/1806 | Through the Singularity
[NO] 59/1806 | Computational tuning of the elastic properties of low- and high-entropy ultra-high temperature ceramics
[NO] 60/1806 | On infinitesimal deformations of singular varieties I
[NO] 61/1806 | MicroPhaseNO: Adapting an Earthquake-Trained Phase Neural Operator for Microseismic Phase Picking
[NO] 62/1806 | DiffusionBrowser: Interactive Diffusion Previews via Multi-Branch Decoders
[NO] 63/1806 | LitePT: Lighter Yet Stronger Point Transformer
[NO] 64/1806 | Towards Scalable Pre-training of Visual Tokenizers for Generation
[NO] 65/1806 | LASER: Layer-wise Scale Alignment for Training-Free Streaming 4D Reconstruction
[YES] 66/1806 | Towards Effective Model Editing for LLM Personalization
[NO] 67/1806 | Towards Interactive Intelligence for Digital Humans
[NO] 68/1806 | Poisson--Dirichlet approximation for counting integers with divisors in an interval
[NO] 69/1806 | Matrix Product State Simulation of Reacting Shear Flows
[NO] 70/1806 | When is a cut and project set substitutional?
[NO] 71/1806 | Towards Quantum Advantage in Chemistry
[NO] 72/1806 | REVERB-FL: Server-Side Adversarial and Reserve-Enhanced Federated Learning for Robust Audio Classification
[NO] 73/1806 | From Code to Field: Evaluating the Robustness of Convolutional Neural Networks for Disease Diagnosis in Mango Leaves
[NO] 74/1806 | Characterization of products of projective spaces via nef complexity
[NO] 75/1806 | SCR2-ST: Combine Single Cell with Spatial Transcriptomics for Efficient Active Sampling via Reinforcement Learning
[NO] 76/1806 | Certified-Everlasting Quantum NIZK Proofs
[NO] 77/1806 | Job insecurity, equilibrium determinacy and E-stability in a New Keynesian model with asymmetric information. Theory and simulation analysis
[NO] 78/1806 | Resonances in the early Universe
[NO] 79/1806 | Preconditioning Techniques for Hybridizable Discontinuous Galerkin Discretizations on GPU Architectures
[NO] 80/1806 | LightTopoGAT: Enhancing Graph Attention Networks with Topological Features for Efficient Graph Classification
[NO] 81/1806 | Transition from Population to Coherence-dominated Non-diffusive Thermal Transport
[NO] 82/1806 | Neutrino texture-zeros after JUNO's first results: Implications for long baseline neutrino experiments
[NO] 83/1806 | Leptonic and Hadronic Models of High-energy Nebula Around V4641 Sgr
[NO] 84/1806 | Unveiling the X-ray Secrets of Fermi-detected Narrow-Line Seyfert 1 Galaxies with XMM-Newton Observations
[NO] 85/1806 | Memory in the Age of AI Agents
[NO] 86/1806 | Exploring the freeze-in mechanism for scotogenic singlet dark matter
[NO] 87/1806 | Near-Field Perception for Safety Enhancement of Autonomous Mobile Robots in Manufacturing Environments
[NO] 88/1806 | Extensions of the Busemann-Petty Problem for Arbitrary Measures
[NO] 89/1806 | Flow topology classification of limit cycles
[NO] 90/1806 | Pontryagin Maximum Principle for Rydberg-blockaded state-to-state transfers: A semi-analytic approach
[NO] 91/1806 | Tensor Network Formulation of Dequantized Algorithms for Ground State Energy Estimation
[NO] 92/1806 | Magnetic order and novel quantum criticality in the strongly interacting quasicrystals
[NO] 93/1806 | Competent Discrete Time Modeling For analogue controlled PWM Converter Considering State-Feedback
[NO] 94/1806 | Laser-Induced Deposition of Single-Walled Carbon Nanotubes in Suspended Core Optical Fibers
[NO] 95/1806 | Quantum Correlations and Gravity: From the Emergence of a Cosmological Constant to the Gravitation of Particles in Superposition
[NO] 96/1806 | Enhancing lithological interpretation from petrophysical well log of IODP expedition 390/393 using machine learning
[NO] 97/1806 | Janus: Disaggregating Attention and Experts for Scalable MoE Inference
[NO] 98/1806 | Optically trapped Feshbach molecules of fermionic $^{161}$Dy and $^{40}$K: Role of light-induced and collisional losses
[NO] 99/1806 | Kovacs-like memory effect in strain stiffening collagen networks
[NO] 100/1806 | Entropy dissipation inequality for general binary collision models
[NO] 101/1806 | TARA: Simple and Efficient Time Aware Retrieval Adaptation of MLLMs for Video Understanding
[NO] 102/1806 | Learning under Distributional Drift: Reproducibility as an Intrinsic Statistical Resource
[NO] 103/1806 | Platforms as Crime Scene, Judge, and Jury: How Victim-Survivors of Non-Consensual Intimate Imagery Report Abuse Online
[NO] 104/1806 | Deployable Prototype Testing and Control Allocation of the CABLESSail Concept for Solar Sail Shape Control and Momentum Management
[YES] 105/1806 | SIGMA: An AI-Empowered Training Stack on Early-Life Hardware
[NO] 106/1806 | Advancing Bangla Machine Translation Through Informal Datasets
[NO] 107/1806 | Resolving Galaxy Nuclei and Compact Stellar Systems as Engines of Galaxy Evolution
[NO] 108/1806 | Reproducibility and Standardization in gem5 Resources v25.0
[NO] 109/1806 | Non-Resolution Reasoning: A Framework for Preserving Semantic Ambiguity in Language Models
[NO] 110/1806 | Evaluating the Navigation Capabilities of a Modified COAST Guidewire Robot in an Anatomical Phantom Model
[NO] 111/1806 | High Resolution Overtone Spectroscopy of HNC$^+$ and HCN$^+$
[NO] 112/1806 | The stellar to sub-stellar masses transition in 47 Tuc
[NO] 113/1806 | Optimal strategies for the growth of dual-seeded lattice structures
[NO] 114/1806 | PoseAnything: Universal Pose-guided Video Generation with Part-aware Temporal Coherence
[NO] 115/1806 | Wigner function negativity in a classical model of quantum light
[NO] 116/1806 | Displaying prescribed sets of ends by linked tree-decompositions
[NO] 117/1806 | Growth estimates for axisymmetric Euler equations without swirl
[NO] 118/1806 | Tropical Invariants for Permutation Group Actions
[NO] 119/1806 | POLAR: A Portrait OLAT Dataset and Generative Framework for Illumination-Aware Face Modeling
[NO] 120/1806 | Charged particle energization by low-amplitude electrostatic waves at cyclotron harmonics
[NO] 121/1806 | Efficient Generation of Smooth Paths with Curvature Guarantees by Mollification
[NO] 122/1806 | A nanopore-gated sub-attoliter silicon nanocavity for single-molecule trapping and analysis
[NO] 123/1806 | Integrated Semantic and Temporal Alignment for Interactive Video Retrieval
[NO] 124/1806 | SACn: Soft Actor-Critic with n-step Returns
[NO] 125/1806 | The maximum number of nonzero weights of linear rank-metric codes
[NO] 126/1806 | A homological approach to (Grothendieck's) completeness problem for regular LB-spaces
[NO] 127/1806 | START: Traversing Sparse Footholds with Terrain Reconstruction
[NO] 128/1806 | Performance of USTC first batch resistive AC-LGAD sensor
[NO] 129/1806 | Apollonian random manifolds and their bass notes
[NO] 130/1806 | Vertex Model Mechanics Explain the Emergence of Centroidal Voronoi Tiling in Epithelia
[NO] 131/1806 | Diffusion-Based Restoration for Multi-Modal 3D Object Detection in Adverse Weather
[NO] 132/1806 | FID-Net: A Feature-Enhanced Deep Learning Network for Forest Infestation Detection
[NO] 133/1806 | Sequence of Expert: Boosting Imitation Planners for Autonomous Driving through Temporal Alternation
[NO] 134/1806 | The structure of $k$-potents and mixed Jordan-power preservers on matrix algebras
[NO] 135/1806 | Unraveling real-time chemical shifts in the ultrafast regime
[NO] 136/1806 | A Simple and Effective Framework for Symmetric Consistent Indexing in Large-Scale Dense Retrieval
[NO] 137/1806 | Sharp convergence bounds for sums of POD and SPOD weights
[NO] 138/1806 | The EEPAS Model Revisited: Statistical Formalism and a High-Performance, Reproducible Open-Source Framework
[NO] 139/1806 | Towards Test-time Efficient Visual Place Recognition via Asymmetric Query Processing
[NO] 140/1806 | Unidirectional gliding of a cycloidal spin structure by an AC magnetic field
[NO] 141/1806 | A New Catalog of Head Tail Radio Galaxies from the VLA FIRST Survey
[NO] 142/1806 | Frequency Scaling Laws for Flat Plate Wing Active Separation Control
[NO] 143/1806 | Bi-Erasing: A Bidirectional Framework for Concept Removal in Diffusion Models
[NO] 144/1806 | Physicality oracle for SU(3) Loop-String-Hadron dynamics: a digital quantum circuit
[NO] 145/1806 | Theory of Remaining Exceptional Points from Nongeneric Splitting in Non-Hermitian Systems
[NO] 146/1806 | ESG Integration into Corporate Strategy Value Realization
[NO] 147/1806 | Safe Control of Multi-Agent Systems with Minimal Communication
[NO] 148/1806 | Hinge-Proximal Stochastic Gradient Methods for Convex Optimization with Functional Constraints
[NO] 149/1806 | Direct Measurement of Inertial Impact and Propulsive Force in a Eukaryotic Swimmer
[NO] 150/1806 | HQ-MPSD: A Multilingual Artifact-Controlled Benchmark for Partial Deepfake Speech Detection
[NO] 151/1806 | Deep Learning-Driven Inversion Framework for Shear Modulus Estimation in Magnetic Resonance Elastography (DIME)
[NO] 152/1806 | General OOD Detection via Model-aware and Subspace-aware Variable Priority
[NO] 153/1806 | Higher differentiation via higher formal groupoids
[NO] 154/1806 | VLCache: Computing 2% Vision Tokens and Reusing 98% for Vision-Language Inference
[NO] 155/1806 | Cycles Communities from the Perspective of Dendrograms and Gradient Sampling
[YES] 156/1806 | Database Research needs an Abstract Relational Query Language
[NO] 157/1806 | FlashFuser: Expanding the Scale of Kernel Fusion for Compute-Intensive Operators via Inter-Core Connection
[NO] 158/1806 | Tales of stellar and binary co-evolution, told by stellar oscillations -- Binary demographics and their impact on stellar mass, orbits, and age estimates in main-sequence and red-giant stars
[NO] 159/1806 | Automatic Quality Control for Agricultural Field Trials -- Detection of Nonstationarity in Grid-indexed Data
[NO] 160/1806 | OXE-AugE: A Large-Scale Robot Augmentation of OXE for Scaling Cross-Embodiment Policy Learning
[NO] 161/1806 | Building from Scratch: A Multi-Agent Framework with Human-in-the-Loop for Multilingual Legal Terminology Mapping
[NO] 162/1806 | JoVA: Unified Multimodal Learning for Joint Video-Audio Generation
[NO] 163/1806 | Directional Textual Inversion for Personalized Text-to-Image Generation
[NO] 164/1806 | Towards measuring astrophysical third order correlation functions with the H.E.S.S. optical intensity interferometer
[NO] 165/1806 | Machine learning discovers new champion codes
[NO] 166/1806 | Link-Aware Energy-Frugal Continual Learning for Fault Detection in IoT Networks
[NO] 167/1806 | CausalCLIP: Causally-Informed Feature Disentanglement and Filtering for Generalizable Detection of Generated Images
[NO] 168/1806 | Self-assembled filament layers in drying sessile droplets: from morphology to electrical conductivity
[NO] 169/1806 | Numeration systems without a dominant root and regularity
[NO] 170/1806 | From Diffraction to Refraction: a coherence-based conceptual framework
[NO] 171/1806 | Tales of Hoffman: from a distance
[NO] 172/1806 | Seeing the Whole Picture: Distribution-Guided Data-Free Distillation for Semantic Segmentation
[NO] 173/1806 | Iterative Tuning of Nonlinear Model Predictive Control for Robotic Manufacturing Tasks
[NO] 174/1806 | Inhomogeneous Sobolev and Besov Spaces: Embeddings and prevalent smoothness
[NO] 175/1806 | Intrinsic Image Fusion for Multi-View 3D Material Reconstruction
[NO] 176/1806 | Enhancing Node-Level Graph Domain Adaptation by Alleviating Local Dependency
[NO] 177/1806 | Practical Homodyne Shadow Estimation
[NO] 178/1806 | Weight Space Correlation Analysis: Quantifying Feature Utilization in Deep Learning Models
[NO] 179/1806 | Can AI Understand What We Cannot Say? Measuring Multilevel Alignment Through Abortion Stigma Across Cognitive, Interpersonal, and Structural Levels
[NO] 180/1806 | Intense-Laser Nondipole-Induced Symmetry Breaking in Solids
[NO] 181/1806 | A Joint Quantum Computing, Neural Network and Embedding Theory Approach for the Derivation of the Universal Functional
[NO] 182/1806 | A classification of semi-equivelar gems on the double torus
[NO] 183/1806 | Towards Practical Large-scale Dynamical Heterogeneous Graph Embedding: Cold-start Resilient Recommendation
[NO] 184/1806 | Quantum-inspired Chemical Rule for Discovering Topological Materials
[NO] 185/1806 | Quasi invariant Gaussian measures for the nonlinear Schrödinger equation on $\mathbb T^2$
[NO] 186/1806 | TraPO: A Semi-Supervised Reinforcement Learning Framework for Boosting LLM Reasoning
[NO] 187/1806 | On the Complementarity of Shared Electric Mobility and Renewable Energy Communities
[NO] 188/1806 | Stability analysis for a plate-membrane system without geometric condition
[NO] 189/1806 | The nonleptonic decays of double-charmed baryon $Ω_{cc}^{+}$ within the nonrelativistic quark model
[NO] 190/1806 | FlowClass.jl: Classifying Dynamical Systems by Structural Properties in Julia
[NO] 191/1806 | Multi-fidelity aerodynamic data fusion by autoencoder transfer learning
[NO] 192/1806 | Conservation laws of nonlinear PDEs arising in elasticity and acoustics in Cartesian, cylindrical, and spherical geometries
[YES] 193/1806 | Modeling Collaborative Problem Solving Dynamics from Group Discourse: A Text-Mining Approach with Synergy Degree Model
[NO] 194/1806 | Deep Q-Learning-Based Intelligent Scheduling for ETL Optimization in Heterogeneous Data Environments
[NO] 195/1806 | Homomorphism Indistinguishability, Multiplicity Automata Equivalence, and Polynomial Identity Testing
[NO] 196/1806 | Citation importance-aware document representation learning for large-scale science mapping
[NO] 197/1806 | Understanding Structured Financial Data with LLMs: A Case Study on Fraud Detection
[NO] 198/1806 | Alada: Alternating Adaptation of Momentum Method for Memory-Efficient Matrix Optimization
[NO] 199/1806 | A Comprehensive Survey of Channel Estimation Techniques for OTFS in 6G and Beyond Wireless Networks
[NO] 200/1806 | Comprehensive Evaluation of Rule-Based, Machine Learning, and Deep Learning in Human Estimation Using Radio Wave Sensing: Accuracy, Spatial Generalization, and Output Granularity Trade-offs
[NO] 201/1806 | Extracting the expression for the field equations of a diffeomorphism invariant theory of gravity from surface term
[NO] 202/1806 | JoDiffusion: Jointly Diffusing Image with Pixel-Level Annotations for Semantic Segmentation Promotion
[NO] 203/1806 | Light Field Based 6DoF Tracking of Previously Unobserved Objects
[NO] 204/1806 | Singular structures and geometric holonomy in the zero divisor set of the sedenions
[NO] 205/1806 | Calibrating Uncertainty for Zero-Shot Adversarial CLIP
[NO] 206/1806 | From CKLS Process to CIR-type and OU-type Processes: Using a Twice-differentiable Mapping and Generalized Girsanov's Theorem
[NO] 207/1806 | Heat kernel estimates for Markov processes in bounded sets with jump kernels decaying at the boundary
[NO] 208/1806 | Quantigence: A Multi-Agent AI Framework for Quantum Security Research
[NO] 209/1806 | DREAMS.II. Galaxy Demographics from Direct Te-Based Metallicities at z~2-10: Tracing the Evolution of the Mass-Metallicity and Fundamental Relations
[NO] 210/1806 | CoDeQ: End-to-End Joint Model Compression with Dead-Zone Quantizer for High-Sparsity and Low-Precision Networks
[NO] 211/1806 | Do Reviews Matter for Recommendations in the Era of Large Language Models?
[NO] 212/1806 | Application of Deep Learning in Biological Data Compression
[NO] 213/1806 | Deformations of crossed homomorphisms on Lie groups
[NO] 214/1806 | Headroom as A Grid Service in Software-Defined Power Grids: A Peak-to-Peak Control Design Approach
[NO] 215/1806 | Towards Open Standards for Systemic Complexity in Digital Forensics
[NO] 216/1806 | Electric fields induced spin and/or valley polarization in Weiss oscillations of monolayer 1{\it T}$^{\prime}$-$\mathrm{MoS}_{2}$
[NO] 217/1806 | Kinematics of H I and O VI Absorbers: Insights into the Turbulence Driver of the Multiphase Circumgalactic Medium
[NO] 218/1806 | Non-linear transport in field-induced insulating states of graphite
[NO] 219/1806 | Leveraging Compression to Construct Transferable Bitrate Ladders
[NO] 220/1806 | Actual and weak actual values in Bohmian mechanics
[NO] 221/1806 | Understanding When Graph Convolutional Networks Help: A Diagnostic Study on Label Scarcity and Structural Properties
[NO] 222/1806 | Feedforward 3D Editing via Text-Steerable Image-to-3D
[NO] 223/1806 | AgentIAD: Tool-Augmented Single-Agent for Industrial Anomaly Detection
[NO] 224/1806 | NL2SpaTiaL: Generating Geometric Spatio-Temporal Logic Specifications from Natural Language for Manipulation Tasks
[NO] 225/1806 | A stylometric analysis of speaker attribution from speech transcripts
[NO] 226/1806 | Grab-3D: Detecting AI-Generated Videos from 3D Geometric Temporal Consistency
[NO] 227/1806 | Exponential Absolute Minimizing extension and biased infinity Laplacian
[NO] 228/1806 | Embedding-Based Rankings of Educational Resources based on Learning Outcome Alignment: Benchmarking, Expert Validation, and Learner Performance
[NO] 229/1806 | Advancing Machine Learning Optimization of Chiral Photonic Metasurface: Comparative Study of Neural Network and Genetic Algorithm Approaches
[NO] 230/1806 | The spectrum of axions in a scaling string network
[NO] 231/1806 | Quadratic and cubic scrambling in the estimation of two successive phase-shifts
[NO] 232/1806 | Charge: A Comprehensive Novel View Synthesis Benchmark and Dataset to Bind Them All
[YES] 233/1806 | Design in Tiles: Automating GEMM Deployment on Tile-Based Many-PE Accelerators
[NO] 234/1806 | MindDrive: A Vision-Language-Action Model for Autonomous Driving via Online Reinforcement Learning
[NO] 235/1806 | StutterFuse: Mitigating Modality Collapse in Stuttering Detection with Jaccard-Weighted Metric Learning and Gated Fusion
[NO] 236/1806 | One-flavon flavor: A single hierarchical parameter $B$ organizes quarks and leptons at $M_Z$
[NO] 237/1806 | Quantum Integrability of Hamiltonians with Time-Dependent Interaction Strengths and the Renormalization Group Flow
[NO] 238/1806 | Temporal Tokenization Strategies for Event Sequence Modeling with Large Language Models
[NO] 239/1806 | Hyper-Minrank: A Unified Hypergraph Characterization of Multi-Sender Index Coding
[NO] 240/1806 | CrFe2Ge2: Investigation of novel ferromagnetic material of Fe13Ge8-type crystal
[YES] 241/1806 | Nemotron-Cascade: Scaling Cascaded Reinforcement Learning for General-Purpose Reasoning Models
[NO] 242/1806 | A new data weighted averaging algorithm to reduce tones in the signal band
[NO] 243/1806 | Evolution of solar and stellar coronal abundances due to magnetic activity
[NO] 244/1806 | Nonreciprocal Transport in chiral Mo3Al2C Near the Superconducting to Normal Transition
[NO] 245/1806 | Low-Power Solar Sail Control using In-Plane Forces from Tunable Buckling of Kirigami Films
[NO] 246/1806 | Reciprocal relationship between detectability and observability in a non-uniform setting
[YES] 247/1806 | ReFusion: A Diffusion Large Language Model with Parallel Autoregressive Decoding
[NO] 248/1806 | On the transmission irregular trees with the maximum Wiener index
[NO] 249/1806 | Could a thin-shell configuration lie hidden within the Universe?
[NO] 250/1806 | A Nonparametric Statistics Approach to Feature Selection in Deep Neural Networks with Theoretical Guarantees
[NO] 251/1806 | On the Ability of Deep Learning to Detect Signals with Unknown Parameters
[NO] 252/1806 | Altered oscillatory brain networks during emotional face processing in ADHD: an eLORETA and functional ICA study
[NO] 253/1806 | A Generalized Energy-Based Adaptive Gradient Method for Optimization
[NO] 254/1806 | Recurrence to rare events for all points in countable Markov shifts
[NO] 255/1806 | Well-posedness of multidimensional nonlocal conservation laws with nonlinear mobility and bounded force
[NO] 256/1806 | Interference Mitigation Recommender System using U-Net Autoencoders
[NO] 257/1806 | DarkSPARC: Dark-Blood Spectral Self-Calibrated Reconstruction of 3D Left Atrial LGE MRI for Post-Ablation Scar Imaging
[YES] 258/1806 | Async Control: Stress-testing Asynchronous Control Measures for LLM Agents
[NO] 259/1806 | How Low Can You Go? The Data-Light SE Challenge
[NO] 260/1806 | Multi-Photon Lasing Phenomena in Quantum Dot-Cavity QED
[NO] 261/1806 | Reinforcement Learning based 6-DoF Maneuvers for Microgravity Intravehicular Docking: A Simulation Study with Int-Ball2 in ISS-JEM
[NO] 262/1806 | Harmonic Analysis on Directed Networks: A Biorthogonal Laplacian Framework for Non-Normal Graphs
[NO] 263/1806 | Seedance 1.5 pro: A Native Audio-Visual Joint Generation Foundation Model
[NO] 264/1806 | Impact analysis of hidden faults in nonlinear control systems using output-to-output gain
[NO] 265/1806 | Mapping of the system of software-related emissions and shared responsibilities
[NO] 266/1806 | Homological stability for automorphisms of symmetric bilinear forms
[NO] 267/1806 | Einstein Was Not a Flat Physicalist: Principle Theories, Constructive Theories, and the Direction of Constraint
[NO] 268/1806 | A few observations around Gaussian domination and continuous symmetry breaking for spin O(N) model
[NO] 269/1806 | Balancing Timeliness and Privacy in Discrete-Time Updating Systems
[NO] 270/1806 | Computational discovery of ferromagnetic AT6X6 kagome compounds
[NO] 271/1806 | Weak Enforcement and Low Compliance in PCI~DSS: A Comparative Security Study
[NO] 272/1806 | Magnetic field generation in mergers of massive main sequence stars
[NO] 273/1806 | RecTok: Reconstruction Distillation along Rectified Flow
[NO] 274/1806 | Estimating parameters of the diffusion model via asymptotic expansions
[NO] 275/1806 | USTM: Unified Spatial and Temporal Modeling for Continuous Sign Language Recognition
[NO] 276/1806 | Gate-Tunable Giant Negative Magnetoresistance in Tellurene Driven by Quantum Geometry
[NO] 277/1806 | Multiclass Graph-Based Large Margin Classifiers: Unified Approach for Support Vectors and Neural Networks
[NO] 278/1806 | Riemannian gradient descent-based quantum algorithms for ground state preparation with guarantees
[NO] 279/1806 | Silicon photonic paper-clip spiral delay lines with ultra-low delay loss of 0.5 dB/ns
[NO] 280/1806 | Dual-Phase Federated Deep Unlearning via Weight-Aware Rollback and Reconstruction
[NO] 281/1806 | Epimorphism classes and relatively maximal metrics in large-scale geometry
[NO] 282/1806 | BlossomRec: Block-level Fused Sparse Attention Mechanism for Sequential Recommendations
[NO] 283/1806 | Developing a valence force field model for wurtzite semiconductors by exploiting similarities with [111]-oriented zinc blende systems: The case of wurtzite boron nitride, III-N materials and (B,In,Ga)N alloys
[NO] 284/1806 | Transport of Dirac magnons driven by gauge fields
[NO] 285/1806 | Automated User Identification from Facial Thermograms with Siamese Networks
[YES] 286/1806 | UCRBench: Benchmarking LLMs on Use Case Recovery
[NO] 287/1806 | Fast Policy Learning for 6-DOF Position Control of Underwater Vehicles
[NO] 288/1806 | Standardizing reverberation-mapped H$β$ active galactic nuclei using time-averaged radius$-$luminosity relations with 5100\,Å\,, broad H$β$, and narrow \OIII\ luminosities
[NO] 289/1806 | Idempotents in the Ellis semigroup of Floyd-Auslander systems
[NO] 290/1806 | Fault-tolerant multi-qubit gates in Parity Codes
[NO] 291/1806 | The free $F$-restriction semigroups
[NO] 292/1806 | Shadows of rotating traversable wormholes surrounded by plasma
[YES] 293/1806 | Error-Driven Prompt Optimization for Arithmetic Reasoning
[NO] 294/1806 | Chirality Imprinting and Spin-texture Tunability in Conformally Coated 3D Magnetic Nanostructured Metamaterials
[NO] 295/1806 | KlingAvatar 2.0 Technical Report
[NO] 296/1806 | Abelianization of the $\operatorname{SL}_2$ Hitchin connection at level four
[NO] 297/1806 | ShowTable: Unlocking Creative Table Visualization with Collaborative Reflection and Refinement
[NO] 298/1806 | DarkSHINE: Search for Light Dark Matter at the SHINE Facility in Shanghai
[NO] 299/1806 | MedInsightBench: Evaluating Medical Analytics Agents Through Multi-Step Insight Discovery in Multimodal Medical Data
[NO] 300/1806 | Determining social mechanisms for sequential decision-making in a virtual pedestrian route choice experiment
[NO] 301/1806 | Lightweight Dynamic Modeling of Cable-Driven Continuum Robots Based on Actuation-Space Energy Formulation
[NO] 302/1806 | Low-Complexity Monitoring and Compensation of Transceiver IQ Imbalance by Multi-dimensional Architecture for Dual-Polarization 16 Quadrature Amplitude Modulation
[NO] 303/1806 | Distillation of continuous variable qudits from single photon sources: A cascaded approach
[NO] 304/1806 | APOGEE physical properties of globular cluster tidal tails
[NO] 305/1806 | Chiral-helical junctions in screened graphene
[NO] 306/1806 | Non-detection of J1407b in ALMA Band 7 Observations
[NO] 307/1806 | Toward Ambulatory Vision: Learning Visually-Grounded Active View Selection
[NO] 308/1806 | Fair Coordination in Strategic Scheduling
[NO] 309/1806 | Interference-Free RIS-Aided Cell-Free Massive MIMO with Physical Layer Security
[NO] 310/1806 | A Decision Support Framework for Blockchain Pattern Selection Based on Soft Goals
[NO] 311/1806 | CORE: Contrastive Masked Feature Reconstruction on Graphs
[NO] 312/1806 | Beyond general relativity: probing gravity with gravitational redshifts
[NO] 313/1806 | A Unified Framework for Automated Assembly Sequence and Production Line Planning using Graph-based Optimization
[NO] 314/1806 | Rethinking Physics-Informed Regression Beyond Training Loops and Bespoke Architectures
[NO] 315/1806 | Multi-directional Safe Rectangle Corridor-Based MPC for Nonholonomic Robots Navigation in Cluttered Environment
[NO] 316/1806 | Towards Secure Decentralized Applications and Consensus Protocols in Blockchains (on Selfish Mining, Undercutting Attacks, DAG-Based Blockchains, E-Voting, Cryptocurrency Wallets, Secure-Logging, and CBDC)
[NO] 317/1806 | On infinitesimal deformations of singular varieties II
[NO] 318/1806 | Martingales On A Euclidean Manifold With A Boundary And Reflected BSDES In Non-Convex Domains
[NO] 319/1806 | Empirical Bayes learning from selectively reported confidence intervals
[NO] 320/1806 | Decomposition theorems for unmatchable pairs in groups and field extensions
[NO] 321/1806 | Asymptotic Normality of Subgraph Counts in Sparse Inhomogeneous Random Graphs
[NO] 322/1806 | Sharpness-aware Dynamic Anchor Selection for Generalized Category Discovery
[NO] 323/1806 | Open Source Software and Data for Human Service Development: A Case Study on Predicting Housing Instability
[NO] 324/1806 | Lie Superalgebras and Generalized Kazhdan-Lusztig Polynomials
[NO] 325/1806 | Observation of a Stripe/nematic Phase of Composite Fermions
[NO] 326/1806 | The spectral radius of $1$-planar graphs without complete subgraphs
[NO] 327/1806 | Predictive Sample Assignment for Semantically Coherent Out-of-Distribution Detection
[NO] 328/1806 | Non-equilibrium fluctuations for the stirring process with births and deaths
[NO] 329/1806 | Predicted-occupancy grids for vehicle safety applications based on autoencoders and the Random Forest algorithm
[NO] 330/1806 | Ergodic Average Dominance for Unimodular Amenable Groups
[NO] 331/1806 | Non-Compact Proofs
[NO] 332/1806 | Meta-GPT: Decoding the Metasurface Genome with Generative Artificial Intelligence
[NO] 333/1806 | Tracing the Early Milky Way with Globular Clusters: The Diagnostic Power of Neutron-Capture Elements
[NO] 334/1806 | Probing Pair Density Waves with Twisted Josephson Junctions
[YES] 335/1806 | Sharpen the Spec, Cut the Code: A Case for Generative File System with SYSSPEC
[NO] 336/1806 | On the magnetic 2+1- D space-time and its non-relativistic counterpart
