[2026-02-12 09:35:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-11
正在获取论文...
[arXiv] 2026-02-11 | Initial Guesses for Multicomponent Mean-Field Methods: Assessment and New Developments
[IEEE] 2026-2-11 | Gate Drive Circuit for Non-Insulating Gate GaN-Transistors Enabling Fast Switching and High-Frequency Operation
[IEEE] 2026-2-11 | IEEE Geoscience and Remote Sensing Letters publication information
[IEEE] 2026-2-11 | Bipartite Matching is in Catalytic Logspace
[IEEE] 2026-2-11 | 2025 IEEE International Conference on Vehicular Electronics and Safety (ICVES)
[IEEE] 2026-2-11 | Impact of Generative AI in Finance
[IEEE] 2026-2-11 | Bridging Emoji Gaps: LLMs for Cross-Generational Online Communication between Parents and Children
[IEEE] 2026-2-11 | Exploring the Impact of Project Management Practices on the Adoption of Advanced Agricultural Technologies for Sustainable Growth in the UK
[IEEE] 2026-2-11 | Digital Disruption at the Edge: A Review of Barriers to Drone Technology in Last-Mile Delivery
[IEEE] 2026-2-11 | Analysis of Buck-Type Single-Phase Active Power Factor Corrector
[IEEE] 2026-2-11 | Integrating LLM-based AI Agents into Technology Roadmapping: Design Considerations and Opportunities
[IEEE] 2026-2-11 | LLM-Based Analysis of the AI Incident Database: Insights for AI Governance
[IEEE] 2026-2-11 | FrugalSOT - Frugal Search Over the Models
[IEEE] 2026-2-11 | Guest of Honor
[IEEE] 2026-2-11 | “Palmprint”: A Review of Deep Learning Approaches for Dermatoglyphics and Cognitive Personality Insights
[IEEE] 2026-2-11 | Behavioral Analysis on Social Media for Depression Prediction Using Transformer-Driven Framework and Deep Learning Models
[IEEE] 2026-2-11 | Automated Fish Disease Classification Using DenseNet121: A Deep Learning Approach for Aquaculture Management
[IEEE] 2026-2-11 | Optical Lens Inventory Optimization Model
[IEEE] 2026-2-11 | Venom Alert: Innovation in Venom Detection Using Image Processing and AI
[IEEE] 2026-2-11 | Optimized Control and Modeling for Large-Scale Aggregated Air-Conditioning VPP under Uncertainty
[ACM] 2026-2-11 | (Un)fair devices: Moving beyond AI accuracy in personal sensing
[IEEE] 2026-2-11 | Table of Contents
[IEEE] 2026-2-11 | GlocalDualNet: Disentangling Scale and Representation for Few-Shot Remote Sensing Segmentation
[IEEE] 2026-2-11 | Minimum-Time Torque Control of IPMSM Drives via Flux Trajectory Optimization Under Hexagonal Voltage Constraints
[IEEE] 2026-2-11 | Semantic Communication-Enhanced U-Shaped Split Federated Learning with Adaptive Compression for Vehicular Networks
[IEEE] 2026-2-11 | Near-Optimal Distributed Control of Automated Manufacturing Systems With Assembly Operations Using Petri Nets
[IEEE] 2026-2-11 | Learning-based probabilistic subarray switching for robust low-cost interferometric imaging
[IEEE] 2026-2-11 | A Robust and High-accuracy Circular Object Reconstruction Method based on Multi-camera
[IEEE] 2026-2-11 | Seeing the Threat: How Drivers React to Motorcycles in African City Traffic
[IEEE] 2026-2-11 | New Energy Vehicle Penetration Rate for Tunnels Based on ETC images and YOLOv8s
[IEEE] 2026-2-11 | YOLOv8-GDC: A Lightweight Attention-based Detector for Small Object Detection in UAV-based Emergency Rescue
[IEEE] 2026-2-11 | Characterization of PID Control Based Pneumatic Brake by Wire
[IEEE] 2026-2-11 | TUMTraf CrossVision: A Multi-View Multi-Modal Vision Dataset for Arterial Intersection Traffic Surveillance
[IEEE] 2026-2-11 | Motion State Estimation based on Ultra-Short Baseline Positioning System of AUV docking
[ACM] 2026-2-11 | Adults’ Robot Literacy—Results from a Finnish Survey
[IEEE] 2026-2-11 | Copyright Page
[IEEE] 2026-2-11 | SACRED EYE: Secure Communication and Decentralized Monitoring for Swarm UAV Mission Completion
[IEEE] 2026-2-11 | Adversarially Evasive Hardware Trojans through Approximate Designs
[IEEE] 2026-2-11 | Asymptotically Optimal Inapproximability of Ek-SAT Reconfiguration
[IEEE] 2026-2-11 | The Application of Neural Networks and Artificial Intelligence in Dental Plaque Detection: A Review of Current Findings
[IEEE] 2026-2-11 | Retraction Notice: Private Document Vault with Server-Side Encryption in Cloud AWS S3 Bucket
[IEEE] 2026-2-11 | Temperature-Driven Pre-Avalanche Dark Current Mechanisms in MWIR HgCdTe Photodiodes via Electrothermal Mapping and Optimization Strategies
[IEEE] 2026-2-11 | Recasting Oceanic Eddy Trajectory as a Markov Decision Process
[IEEE] 2026-2-11 | Continual Adversarial Example Detection via Incremental Attack Configuration within a Knowledge Distillation Framework
[IEEE] 2026-2-11 | Dynamic Systems for Total Least Squares of Time-Dependent Tensor Multilinear Equations
[IEEE] 2026-2-11 | Parallel (1+ε)-Approximate Multi-Commodity Min-Cost Flow in Almost Optimal Depth and Work
[IEEE] 2026-2-11 | Edge-weighted Matching in the Dark
[IEEE] 2026-2-11 | IEEE Transactions on Cognitive and Developmental Systems Publication Information
[IEEE] 2026-2-11 | Table of Contents
[IEEE] 2026-2-11 | DuDi: Dual-scope Discrepancy-aware Attributed Network Anomaly Detection
[IEEE] 2026-2-11 | Region-Aware and Temporally Consistent Human-Object Contact Detection in Video
[IEEE] 2026-2-11 | Quantum Communication for Semantic Communication Based Image Transmission
[IEEE] 2026-2-11 | Artificial Intelligence for Home-Based Wound Monitoring in India: A Scoping Review
[IEEE] 2026-2-11 | MindPop: An AI-Driven Gamified Learning Platform for Children with ADHD
[IEEE] 2026-2-11 | Proposing the Traffic Information Technology (TIT) standard for traffic generator project
[IEEE] 2026-2-11 | BinBot: Revolutionizing Waste Management with Robotic Automation
[IEEE] 2026-2-11 | A Unified Hardware Accelerator for Paillier and ElGamal with Masking and Improved Randomized Montgomery Ladder
[IEEE] 2026-2-11 | Multiclue Sliding Window Attention for Camouflaged Object Detection
[IEEE] 2026-2-11 | ECG-AuxNet: A Dual-Branch Spatial-Temporal Feature Fusion Framework with Auxiliary Learning for Enhanced Cardiac Disease Diagnosis
[IEEE] 2026-2-11 | Autoencoder-Aided Bi-Level Evolutionary Algorithm to Solve Energy-Minimized Task Scheduling Problems of Cloud Computing
[IEEE] 2026-2-11 | State Estimation in Parallel-Connected Battery Packs with Contact Resistances in the Presence of Non-Gaussian Noise
[IEEE] 2026-2-11 | Momentum augmented Spacecraft attitude control with Coupled dynamics of multi-module composite space structures
[IEEE] 2026-2-11 | High Gain Capability DC-DC Converter Based on Coupled Inductor and Voltage Multiplier Network for DC Microgrid Applications
[IEEE] 2026-2-11 | Adaptive Fuzzy Range Prediction for Electric Vehicles under Dynamic Driving Conditions
[IEEE] 2026-2-11 | Retraction Notice: Blockchain Over Transaction System
[IEEE] 2026-2-11 | Retraction Notice: Classification of Nevus and Melanoma in Computerized Images using Machine Learning
[ACM] 2026-2-11 | Exploring Cache Policies on FPGA-Accelerated Simulations: Tradeoffs Between Usability and Simulation Speed
[ACM] 2026-2-11 | Control-flow Aware MLIR Tracing
[IEEE] 2026-2-11 | On optimal distinguishers for Planted Clique
[IEEE] 2026-2-11 | Near-Optimal Fault-Tolerant Strong Connectivity Preservers
[IEEE] 2026-2-11 | Intelligent Traffic Surveillance: A Vision-Based System for Detecting Traffic Rule Violations
[IEEE] 2026-2-11 | Using Reverse Electrodialysis to Produce Hydrogen
[IEEE] 2026-2-11 | Development of a Calibration Method for Underwater Video Cameras Using a Multi-Link Manipulator
[IEEE] 2026-2-11 | Voltage Stability in Smart Grids Operation: Case of US – Canada Grid Interconnection Energy Management System
[IEEE] 2026-2-11 | DPAD: Research of Observable System and Algorithm for Intelligent Anomaly Detection in Distributed Photovoltaic System
[IEEE] 2026-2-11 | A Comparative Analysis of Task Allocation Strategies for Resource-Constrained Multi-Agent Drone Swarms in Wildfire Response
[IEEE] 2026-2-11 | AI-Based Assistance Systems in Smart Distribution Grids: Developing a Workforce Management System
[IEEE] 2026-2-11 | Stress Concentration Evaluation of On-Load Tap Changer Operating Mechanism Based on Finite Element Analysis
[IEEE] 2026-2-11 | A Scalable Federated XGBoost Framework for Urban Air Quality Forecasting: A Case Study in Tehran
[IEEE] 2026-2-11 | A High-Efficiency Three-Port High-Gain DC–DC Boost Converter for Renewable Energy Systems
[IEEE] 2026-2-11 | Soft Normalized Advantage Functions for Reinforcement Learning in Optimal Control Problems
[IEEE] 2026-2-11 | Reinforcement Learning Inspired Genetic Algorithm for Solving Global Optimisation Problems
[IEEE] 2026-2-11 | Suitable Interval Detection in UK-DALE Dataset for NILM Model Training
[IEEE] 2026-2-11 | Robust Task-Space Bilateral Teleoperation of Soft Robots
[IEEE] 2026-2-11 | Framework for Effective Vehicle-to-Grid Integration for Sri Lankan Power Grid
[IEEE] 2026-2-11 | Blockchain-Assisted Energy Trading Framework for Vehicle-to-Grid Integration
[IEEE] 2026-2-11 | Contact-Based Perching Control Strategy for Quadrotors to Enhance Endurance in Power Grid Inspection
[IEEE] 2026-2-11 | Multi-Actuated Control of Car-Semitrailer Systems via Nonlinear MPC
[IEEE] 2026-2-11 | Overcoming Autonomy Limitations: A Robust Teleoperation Solution for Intelligent Vehicles
[IEEE] 2026-2-11 | SafeCrossLight: Pedestrian-Aware Traffic Light Control using Deep Reinforcement Learning
[IEEE] 2026-2-11 | Enhancing Passenger Comfort via Real-Time Motion Sickness Mitigation in a Vehicle Simulator
[IEEE] 2026-2-11 | Joint Spatial-Channel Attention Refinement in Lightweight Networks for Real-Time Robust Feature Matching
[IEEE] 2026-2-11 | Formation Fault-Tolerant Control for Multi-UGVs Based on Velocity-Adaptive Potential Field
[IEEE] 2026-2-11 | Real-Time Performance Analysis of V2V and V2I-2V Architectures for Smart Communities
[IEEE] 2026-2-11 | Machine Learning-Based Vehicle Dynamics Estimation from Wheel Rim Strain Sensors
[IEEE] 2026-2-11 | Stability-Aware and Computationally Efficient Energy Management in Microgrids Using Fuzzy Supervision
[IEEE] 2026-2-11 | Convergence analysis of Federated Learning in a Stochastic Approximation Setting
[IEEE] 2026-2-11 | Accurate is Not Necessarily the Best: Edge-Assisted Bitrate Re-adaptation for Video Streaming
[IEEE] 2026-2-11 | Set-Membership Estimation Based Distributed Cooperative Localization of Multiple UAVs
[IEEE] 2026-2-11 | Headsail: One-Year Tape-Out of a 25-mm
                    <sup>2</sup>
                    Linux-Capable RISC-V MPSoC
[IEEE] 2026-2-11 | Learning Generative Factors via Causal Representation Learning: A Score-based Perspective
[IEEE] 2026-2-11 | Hybrid Granularity Distribution Estimation for Few-Shot Learning: Statistics Transfer from Categories and Instances
[IEEE] 2026-2-11 | Efficient Multiscale Computation of Radar Cross Section for Large-Scale Chaff Clouds
[IEEE] 2026-2-11 | Differential Braking-Assisted Emergency Steering Function for Semi-trailer Trucks
[IEEE] 2026-2-11 | Maximum Mixture Correntropy Criterion-based Square-root Cubature Kalman Filter for High-accuracy Vehicle Sideslip Angle Estimation under Non-Gaussian Abnormal Noise
[IEEE] 2026-2-11 | Fields of Action of a Digital Engineering Transformation Framework
[IEEE] 2026-2-11 | Data-Driven Weighting for Coastal Vulnerability Assessment in Small Island Developing States
[IEEE] 2026-2-11 | Copyright Page
[IEEE] 2026-2-11 | GraphRAG Data Analysis Model for Personalized Data for Individuals and Institutions
[IEEE] 2026-2-11 | Blockchain and AI Integration for Transparent ESG (Environmental, Social, Governance) Reporting in Corporate Finance
[IEEE] 2026-2-11 | An Empirical Study on Heart and Liver Disease Prediction Using Supervised Learning Algorithms
[IEEE] 2026-2-11 | BadHMP: Backdoor Attack Against Human Motion Prediction
[IEEE] 2026-2-11 | “CardioTrackGuard”: A Review on Machine Learning-Based Smart Wearable System for Cardiac Arrest Monitoring
[IEEE] 2026-2-11 | Smart Water Quality Index Monitoring System
[IEEE] 2026-2-11 | Skin Cancer Classification using Advanced Deep Learning Techniques
[IEEE] 2026-2-11 | HiFormer: Hierarchical Transformer with Box-packed Positional Encoding for 3D Part Assembly_supp1-3662816.pdf
[IEEE] 2026-2-11 | Multiactuator Operation Pattern Switching-Based Faulty Performance Self-Healing Control
[IEEE] 2026-2-11 | Hierarchically Optimized Forest Coverage Modeling with Multi-Source Remote Sensing Data for High-Precision Understory Terrain Mapping
[IEEE] 2026-2-11 | ADVersa: Abductive Driving Accident Video Understanding
[IEEE] 2026-2-11 | Guest Editorial: Neuromorphic Computing Technologies for Consumer Electronics
[IEEE] 2026-2-11 | Spring Operating Mechanism Condition Monitoring Based on MEMS Pressure Sensors
[IEEE] 2026-2-11 | Asymptotic Tracking Control With Prescribed-Time Prescribed Performance for Uncertain Nonlinear Systems: A Fully Actuated System Approach
[IEEE] 2026-2-11 | Learning Optimal Spectral Clustering for Functional Brain Network Generation and Classification
[IEEE] 2026-2-11 | Hierarchical Motion Planning for MASSs: A COLREGs-Compliant Framework Integrating Offline Trajectory Optimization and Real-Time Coupled Course-Speed Decision-Making_supp6-3662992.mp4
[IEEE] 2026-2-11 | Hierarchical Motion Planning for MASSs: A COLREGs-Compliant Framework Integrating Offline Trajectory Optimization and Real-Time Coupled Course-Speed Decision-Making_supp1-3662992.mp4
[IEEE] 2026-2-11 | 2025 Index IEEE Photonics Technology Letters
[IEEE] 2026-2-11 | Optimal 4-Approximation for the Correlated Pandora’s Problem
[IEEE] 2026-2-11 | Table of Contents
[IEEE] 2026-2-11 | An Improved Seagull Optimization Algorithm for the Hybrid Disassembly Line Balancing Problem with Worker Workload Consideration
[IEEE] 2026-2-11 | An AI-Driven Integrated Framework for EV Charging: Demand Forecasting, Load Balancing, SoC Estimation, and Cybersecurity
[IEEE] 2026-2-11 | ICC 2025 Commentary
[IEEE] 2026-2-11 | Effect of Skin Surface Temperature on Tonic Vibration Reflex and Kinesthetic Illusion of Upper-Limb Muscles to Control Robotic Rehabilitation Systems*
[IEEE] 2026-2-11 | Fractional Order Control Design for Bus Voltage Control of a Microgrid Feeding CPLs
[IEEE] 2026-2-11 | Context-Aware Forecasting for Sustainable Energy Planning: A Machine Learning Framework for Emerging Economies
[IEEE] 2026-2-11 | Edge Computing and Deep Learning for Real-Time Anomaly Detection in Optical Systems
[IEEE] 2026-2-11 | Simulation on Motion of Metal Particles of Transition Contacts of High-Voltage On-Load Tap-Changer
[IEEE] 2026-2-11 | AI-Driven Personalization as a Disruptive Strategy for the Creation of New Business Models
[IEEE] 2026-2-11 | SGC 2025 Blank Page
[IEEE] 2026-2-11 | Retraction Notice: Image Segmentation K-Means Clustering Algorithm for Fruit Disease Detection Image Processing
[IEEE] 2026-2-11 | Retraction Notice: Energy Efficient Data Gathering Scheme in Underwater Sensor Networks
[IEEE] 2026-2-11 | Artificial Intelligence in Healthcare: Trends, Research Fronts, and Future Directions
[IEEE] 2026-2-11 | Collision Avoidance Control for Autonomous Heavy Haul Trains
[IEEE] 2026-2-11 | Microstructural Failure Analysis of Closing Resistor Valve Plates Under Impact Current
[IEEE] 2026-2-11 | Improved 2-Approximate Shortest Paths for close vertex pairs
[IEEE] 2026-2-11 | Optimal Smoothed Analysis of the Simplex Method
[IEEE] 2026-2-11 | Gödel in Cryptography: Effectively Zero-Knowledge Proofs for NP with No Interaction, No Setup, and Perfect Soundness
[ACM] 2026-2-11 | CART: Combined AUTOSAR AP and ROS 2 Tracing Framework
[IEEE] 2026-2-11 | Path Tracking Control of Heavy Truck Under Adaptive Memory Event Triggered Mechanism
[IEEE] 2026-2-11 | Parameter-Free Backscatter Removal And Smooth Histogram For Underwater Image Restoration
[IEEE] 2026-2-11 | A Low- Consumption Security Authentication Protocol for UAVs based on Embedded Message Authentication Code
[IEEE] 2026-2-11 | Bearing Fault Diagnosis with Data-Driven Gaussian T1 Fuzzy Rules on CNN Embedding Space
[IEEE] 2026-2-11 | Evaluating Alcohol-Induced Impairment: A Comprehensive Study on Objective Tests and Subjective Self-Perception
[IEEE] 2026-2-11 | Long-Term Effects of Stepwise Feedback and Advice on Driver Readiness on Urban Roads
[IEEE] 2026-2-11 | An APF-based Path Planning Method of Dual Space Manipulators for On-orbit Assembly Tasks
[IEEE] 2026-2-11 | Resilience-Oriented Planning of Active Distribution Networks via A Bilevel System of Systems Approach
[IEEE] 2026-2-11 | On-the-Fly Characterization of Magnetic Core Permeability and Loss for Miniaturized SMPS
[IEEE] 2026-2-11 | Retraction Notice: Early Stage Lung Cancer Prediction Using Various Machine Learning Techniques
[IEEE] 2026-2-11 | Retraction Notice: Investigating the breast cancer tissue utilizing semi-supervised learning and similarity measure
[IEEE] 2026-2-11 | Dynamic Pricing Mechanisms for Grid-Connected EV in Local Energy Communities
[IEEE] 2026-2-11 | A Scalable Method for H
                    <sub>∞</sub>
                    -Controller Gain Synthesis
[IEEE] 2026-2-11 | Signal Flowgraph Model of a DAB Converter with Phase-Shift Modulation as an Interlinking Converter of Two DC MGs
[IEEE] 2026-2-11 | Advanced AI-Aided Modeling and Planning of Rooftop Wind Energy Generation Systems in Urban Environment
[IEEE] 2026-2-11 | A Decomposed RLGC Model for Fast Skew Evaluation of Fiber Weave Effect
[ACM] 2026-2-11 | A Prototyping Framework for P4-Programmable Traffic Managers
[IEEE] 2026-2-11 | Detection and Classification of Mental Stress for Prognosis of Anxiety Levels
[IEEE] 2026-2-11 | Combating Preventable Blindness in India: Using Rapid Assessment Techniques for Targeted Interventions and Holistic Prevention Strategies
[IEEE] 2026-2-11 | Dynamic Dyck and Tree Edit Distance: Decompositions and Reductions to String Edit Distance*
共写入 1776 条记录，保存到 papers/paper2026-02-11.json。
论文获取成功，文件路径: papers/paper2026-02-11.json
正在筛选、翻译并发送邮件...
[NO] 1/1776 | Initial Guesses for Multicomponent Mean-Field Methods: Assessment and New Developments
[NO] 2/1776 | ROCKET: Rapid Optimization via Calibration-guided Knapsack Enhanced Truncation for Efficient Model Compression
[NO] 3/1776 | Enhancing Predictability of Multi-Tenant DNN Inference for Autonomous Vehicles' Perception
[NO] 4/1776 | Eliminating Delocalization Error through Localized Orbital Scaling Correction with Orbital Relaxation from Linear Response
[YES] 5/1776 | Fine-Tuning GPT-5 for GPU Kernel Generation
[NO] 6/1776 | Beyond $Λ$CDM: fundamental constants as cosmological observables
[NO] 7/1776 | DFIC: Towards a balanced facial image dataset for automatic ICAO compliance verification
[NO] 8/1776 | RiemannGL: Riemannian Geometry Changes Graph Deep Learning
[NO] 9/1776 | X-ray stellar feedback in low-metallicity starbursts: Insights from the template starburst galaxy ESO 338-IG04 and its halo
[NO] 10/1776 | VFGS-Net: Frequency-Guided State-Space Learning for Topology-Preserving Retinal Vessel Segmentation
[NO] 11/1776 | Can LLMs Cook Jamaican Couscous? A Study of Cultural Novelty in Recipe Generation
[NO] 12/1776 | Lie Group Variational Integrator for the Geometrically Exact Rod with Circular Cross-Section Incorporating Cross-Sectional Deformation
[NO] 13/1776 | Fluid-Antenna-Enabled Integrated Bistatic Sensing and Backscatter Communication Systems
[NO] 14/1776 | Fluctuation-Response Design Rules for Nonequilibrium Flows
[YES] 15/1776 | Search or Accelerate: Confidence-Switched Position Beam Search for Diffusion Language Models
[NO] 16/1776 | Developing Neural Network-Based Gaze Control Systems for Social Robots
[NO] 17/1776 | Towards Learning a Generalizable 3D Scene Representation from 2D Observations
[NO] 18/1776 | Design, Development, and Use of Maya Robot as an Assistant for the Therapy/Education of Children with Cancer: a Pilot Study
[NO] 19/1776 | Scalable Solar-Blind Imaging Enabled by Single-Crystalline Beta-Ga2O3 Membranes on Silicon Backplanes
[NO] 20/1776 | FastUSP: A Multi-Level Collaborative Acceleration Framework for Distributed Diffusion Model Inference
[NO] 21/1776 | Non-centred Bayesian inference for discrete-valued state-transition models: the Rippler algorithm
[NO] 22/1776 | HD 164604 c: a second giant planet on a 15-yr orbit and the constraint of the planet-planet mutual inclination
[NO] 23/1776 | Discrete Quantitative Isocapacitary Inequality: Fluctuation Estimates
[NO] 24/1776 | Near-Constant Strong Violation and Last-Iterate Convergence for Online CMDPs via Decaying Safety Margins
[NO] 25/1776 | Massive stars as gravitationally lensed transients -- Insights on the high-mass initial mass function
[NO] 26/1776 | Natural Hypergradient Descent: Algorithm Design, Convergence Analysis, and Parallel Implementation
[NO] 27/1776 | Phonon gap analysis for equilibria of perturbed almost-periodic Frenkel-Kontorova models
[NO] 28/1776 | Multi-Modal Track Reconstruction using Graph Neural Networks at Belle II
[NO] 29/1776 | Wave Propagation and Effective Refraction in Lorentz-Violating Wormhole Geometries
[NO] 30/1776 | The CLEF-2026 FinMMEval Lab: Multilingual and Multimodal Evaluation of Financial AI Systems
[NO] 31/1776 | Backstepping Control of PDEs on Domains with Graph-Monotone Boundaries
[NO] 32/1776 | On generating Special Quasirandom Structures: Optimization for the DFT computational efficiency
[NO] 33/1776 | Viewpoint Recommendation for Point Cloud Labeling through Interaction Cost Modeling
[NO] 34/1776 | ICA: Information-Aware Credit Assignment for Visually Grounded Long-Horizon Information-Seeking Agents
[NO] 35/1776 | Singular Port-Hamiltonian Systems Beyond Passivity
[NO] 36/1776 | Enhanced effective masses, spin-orbit polarization, and dispersion relations in 2D hole gases under strongly asymmetric confinement
[NO] 37/1776 | Chemistry in the High expansion-velocity C-rich evolved star AFGL2233. Isotopic ratios, peculiarities and evolutionary status
[NO] 38/1776 | Personalized PageRank Estimation in Undirected Graphs
[NO] 39/1776 | Mirror descent actor-critic methods for entropy regularised MDPs in general spaces: stability and convergence
[NO] 40/1776 | FPGA Implementation of Sketched LiDAR for a 192 x 128 SPAD Image Sensor
[NO] 41/1776 | Reference Output Tracking in Boolean Control Networks
[NO] 42/1776 | The formation of inhomogeneities in gravitational string like mode
[NO] 43/1776 | The Effect of Design Thinking on Creative & Innovation Processes: An Empirical Study Across Different Design Experience Levels
[NO] 44/1776 | The metric geometry of paper surfaces under geometric constraints
[NO] 45/1776 | Resource-Efficient RGB-Only Action Recognition for Edge Deployment
[NO] 46/1776 | Beyond Confidence: The Rhythms of Reasoning in Generative Models
[NO] 47/1776 | DMP-3DAD: Cross-Category 3D Anomaly Detection via Realistic Depth Map Projection with Few Normal Samples
[NO] 48/1776 | RSHallu: Dual-Mode Hallucination Evaluation for Remote-Sensing Multimodal Large Language Models with Domain-Tailored Mitigation
[NO] 49/1776 | The $σ_-$ Cohomology Analysis for Coxeter HS $B_2$ model
[YES] 50/1776 | VulReaD: Knowledge-Graph-guided Software Vulnerability Reasoning and Detection
[NO] 51/1776 | Data Reductions for the Strong Maximum Independent Set Problem in Hypergraphs
[NO] 52/1776 | Co-jump: Cooperative Jumping with Quadrupedal Robots via Multi-Agent Reinforcement Learning
[NO] 53/1776 | Privacy-Utility Tradeoffs in Quantum Information Processing
[NO] 54/1776 | Prolongations of $(3, 6)$-distributions by singular curves
[NO] 55/1776 | Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning
[NO] 56/1776 | The Garbage Dataset (GD): A Multi-Class Image Benchmark for Automated Waste Segregation
[YES] 57/1776 | When Skills Lie: Hidden-Comment Injection in LLM Agents
[NO] 58/1776 | Low-Dimensional Execution Manifolds in Transformer Learning Dynamics: Evidence from Modular Arithmetic Tasks
[YES] 59/1776 | Canvas-of-Thought: Grounding Reasoning via Mutable Structured States
[NO] 60/1776 | Eisenstein-prime Obstruction Sieve for Monogenicity
[YES] 61/1776 | Protecting Context and Prompts: Deterministic Security for Non-Deterministic AI
[NO] 62/1776 | Neuro-Symbolic Synergy for Interactive World Modeling
[YES] 63/1776 | GPU-Fuzz: Finding Memory Errors in Deep Learning Frameworks
[NO] 64/1776 | Accurate simulation of pulled and pushed fronts in the nonautonomous Fisher-KPP equation
[NO] 65/1776 | Dispersive detection of a charge qubit with a broadband high-impedance quantum-Hall plasmon resonator
[NO] 66/1776 | MERIT Feedback Elicits Better Bargaining in LLM Negotiators
[NO] 67/1776 | Informal and Privatized Transit: Incentives, Efficiency and Coordination
[NO] 68/1776 | Compute Only Once: UG-Separation for Efficient Large Recommendation Models
[NO] 69/1776 | Moire driven edge reconstruction in Fractional quantum anomalous Hall states
[NO] 70/1776 | QTALE: Quantization-Robust Token-Adaptive Layer Execution for LLMs
[NO] 71/1776 | Breaking the Curse of Repulsion: Optimistic Distributionally Robust Policy Optimization for Off-Policy Generative Recommendation
[NO] 72/1776 | Spatially-Periodic Cluster Pattern of Coupled Forced Oscillators
[NO] 73/1776 | Navigating heterogeneous protein landscapes through geometry-aware smoothing
[YES] 74/1776 | SecCodePRM: A Process Reward Model for Code Security
[NO] 75/1776 | Inference for High-Dimensional Local Projection
[NO] 76/1776 | Geometric spaceability in sequence classes and operator ideals
[NO] 77/1776 | GeoGR: A Generative Retrieval Framework for Spatio-Temporal Aware POI Recommendation
[NO] 78/1776 | Experimental Demonstration of Online Learning-Based Concept Drift Adaptation for Failure Detection in Optical Networks
[NO] 79/1776 | Symmetry Results for Cyclotomic Multiple Hurwitz Zeta Values via Contour Integrals
[NO] 80/1776 | Manipulating Bell nonlocality and entanglement in polarized electron-positron annihilation
[NO] 81/1776 | Collison of Orbits on an Elliptic Surface
[NO] 82/1776 | Triggers Hijack Language Circuits: A Mechanistic Analysis of Backdoor Behaviors in Large Language Models
[NO] 83/1776 | Effect of Reynolds number on triboelectric particle charging in turbulent channel flow
[NO] 84/1776 | Better Diameter Bounds for Efficient Shortcuts and a Structural Criterion for Constructiveness
[NO] 85/1776 | Spectral-Spatial Contrastive Learning Framework for Regression on Hyperspectral Data
[NO] 86/1776 | Self-Supervised Image Super-Resolution Quality Assessment based on Content-Free Multi-Model Oriented Representation Learning
[NO] 87/1776 | Kalman Linear Attention: Parallel Bayesian Filtering For Efficient Language Modelling and State Tracking
[NO] 88/1776 | Stochastic Design of Active RIS-Assisted Satellite Downlinks under Interference, Folded Noise, and EIRP Constraints
[NO] 89/1776 | Wave front set of solutions to Schrödinger equations with time-dependent magnetic fields
[NO] 90/1776 | Between equilibrium and fluctuation: Einstein's heuristic argument and Boltzmann's principle
[NO] 91/1776 | Transfer to Sky: Unveil Low-Altitude Route-Level Radio Maps via Ground Crowdsourced Data
[NO] 92/1776 | Error-Tolerant Quantum State Discrimination: Optimization and Quantum Circuit Synthesis
[NO] 93/1776 | BOute: Cost-Efficient LLM Serving with Heterogeneous LLMs and GPUs via Multi-Objective Bayesian Optimization
[NO] 94/1776 | A Diffusion-Based Generative Prior Approach to Sparse-view Computed Tomography
[NO] 95/1776 | Global strong solutions with large initial data for the Cauchy problem of the multi-dimensional compressible Navier-Stokes-Korteweg system
[NO] 96/1776 | AugVLA-3D: Depth-Driven Feature Augmentation for Vision-Language-Action Models
[NO] 97/1776 | Noncommutative $L_p$-differentiability and trace formulae
[NO] 98/1776 | VESPO: Variational Sequence-Level Soft Policy Optimization for Stable Off-Policy LLM Training
[NO] 99/1776 | An Efficient Energy Stable Structure Preserving Method for The Landau-Lifshitz Equation
[NO] 100/1776 | 3D-Printed Anisotropic Soft Magnetic Coating for Directional Rolling of a Magnetically Actuated Capsule Robot
[NO] 101/1776 | Averaging pre-Lie bialgebras
[NO] 102/1776 | Inclusive and multiplicity-dependent pseudorapidity densities of charged particles in pp collisions at $\mathbf{\sqrt{s} = 13.6}$ TeV
[NO] 103/1776 | Assessing Vision-Language Models for Perception in Autonomous Underwater Robotic Software
[NO] 104/1776 | Beyond Kemeny Medians: Consensus Ranking Distributions Definition, Properties and Statistical Learning
[NO] 105/1776 | Invisible Trails? An Identity Alignment Scheme based on Online Tracking
[NO] 106/1776 | Practical quantum tokens: challenges and perspectives
[NO] 107/1776 | Online Causal Kalman Filtering for Stable and Effective Policy Optimization
[NO] 108/1776 | Interplay of ion availability and mobility in the loss of cation selectivity for CaCl\textsubscript{2} in negatively charged nanopores: molecular dynamics using scaled-charge models
[NO] 109/1776 | A Kantorovich version of Bernstein-type logarithmic operators
[NO] 110/1776 | Flow-Enabled Generalization to Human Demonstrations in Few-Shot Imitation Learning
[NO] 111/1776 | Enhancing YOLOv11n for Reliable Child Detection in Noisy Surveillance Footage
[NO] 112/1776 | General Theory of Stable Microwave-Optical Quantum Resources in Hybrid-System Dynamics
