[2026-08-21 03:05:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-20
正在获取论文...
[arXiv] 2026-08-20 | A Fully Automated, Deployment-Aware Testing Pipeline for IoT-Based Automotive Applications
[NO] 283/1829 | A knowledge-guided agentic framework for mitigating patient-context ambiguity in health queries
[NO] 284/1829 | Instability diagram of the massive gauge quantum fields around the nonlinear massive classical wave solution
[NO] 285/1829 | SAPO: Single-Rollout Autoregressive Policy Optimization for Agentic Reinforcement Learning
[NO] 286/1829 | Applying the Spectral Method for Modeling Linear Filters: Bessel, Papoulis, and Legendre Filters
[NO] 287/1829 | Do Sequential Recommendation Benchmarks Really Require Higher-Order Sequence Modelling?
[NO] 288/1829 | A Note on Topological Hochschild Homology Relative to $\Sphere_{W(k)}[x_0,x_1,\ldots,x_n]$
[NO] 289/1829 | Pod-Deployability in Kubernetes with Inter-Pod Affinity Constraints is PSPACE-Complete
[NO] 290/1829 | Core-KAN: Continuous Vision Kernels with Kolmogorov-Arnold Networks
[NO] 291/1829 | From Latent Influence to Language: Diffusion-Oriented Content Generation via Audience-Susceptible Features
[NO] 292/1829 | FAR-DPO: Feasibility-Aware and Robust Direct Preference Optimization for Cyclic Peptide Design
[NO] 293/1829 | LoRA-GA$^2$: Low Rank Adaptation with Multi-step Gradient Adaptive Alignment
[NO] 294/1829 | The subregular and submaximal $p$-cells
[NO] 295/1829 | Quasi-periodic Eruptions from Recurrent Satellite Black Hole Transits through Magnetized Galactic Nucleus Accretion Disks
[NO] 296/1829 | Size and Distance Scales in the Nucleon and in Dense Baryonic Matter
[NO] 297/1829 | LLMs as Acquisition Policies for Finite-Pool Materials Optimization: A Controlled Study
[NO] 298/1829 | The irrationality measure of arctan1/2 is at most 8.585166
[NO] 299/1829 | A simulation based dataset of faults and events for machine learning in power systems
[NO] 300/1829 | Kerr Quasinormal Modes without Variable Separation: A Two-Dimensional Hyperboloidal Teukolsky Solver with Physics-Informed Neural Networks
[NO] 301/1829 | Testing the Validity of Instrumental Variable Sets in Causal Additive Models with Non-Constant Effects
[NO] 302/1829 | Far from the Crowd: Scalable Self-Supervised Learning via Geographic Isolation
[NO] 303/1829 | Information on trajectories: martingales and random times
[NO] 304/1829 | A Protocol for Shielding-Enhanced Loading of Single Polar Molecules into Optical Tweezers
[NO] 305/1829 | Explainable Transformer Models for Clinical Prediction Tasks on Structured Electronic Health Records
[NO] 306/1829 | The Additive Arithmetic of Linear Orders
[NO] 307/1829 | A two-point phase recovering with spherical wave reference
[NO] 308/1829 | Physical-Support Confidence Sets for Highly Coherent Dictionaries
[NO] 309/1829 | A new lower bound for the growth rate of Av(1324)
[NO] 310/1829 | Phantom Gains: Auditing Self-Improvement Against a Measured Null
[NO] 311/1829 | Fast high-dimensional mean testing via logistic regression
[NO] 312/1829 | Dynamic Structural Causal Modeling for Sleep
[NO] 313/1829 | Which Eviction Policy Should an LLM Cache Use? A Systematic Study Across Workloads, Capacities, and Encoders
[NO] 314/1829 | Hybrid Qubit-Rotor Quantum Systems: Clifford Structure, Universal Control, and Applications
[NO] 315/1829 | EnvHarness: Awakening Static Worlds for Agent Learning
[NO] 316/1829 | When Saying No Makes Better Videos: Designing Dual Gatekeeping for Pedagogically Grounded AI Content Creation
[NO] 317/1829 | Acoustic Resonance Distribution for Core-Shell Scatterers
[NO] 318/1829 | Growth phases of an active tissue: determinate, indeterminate, and proportionate
[NO] 319/1829 | Weak arcs and applications to the DNA-based storage access problem
[NO] 320/1829 | Transfer Learning in Nonparametric Regression with Deep ReLU Networks
[NO] 321/1829 | GENIE: Generative Neural Inference for Epidemics
[NO] 322/1829 | What Makes a Good Fiqh Retriever? Answer Retrieval for Arabic Islamic Jurisprudence
[NO] 323/1829 | Quantitative bounds for regular $3$-wise intersecting families
[NO] 324/1829 | The SPT-3G+ receiver design
[NO] 325/1829 | Gravitational-wave parameter estimation with machine-learning generated surrogate waveforms
[NO] 326/1829 | Universal meson spectra near $(1+1)$-dimensional Ising criticality
[NO] 327/1829 | Inflation on the lattice: scalar Gauss-Bonnet single field inflation
[NO] 328/1829 | Schäffer's matrix inequality: the exact asymptotic constant
[NO] 329/1829 | Wideband MIMO Beampattern Synthesis using Adaptive Frequency Modulated Waveforms
[NO] 330/1829 | Unwarping the Lens: A Physics-Grounded Approach to Video Glasses Removal
[NO] 331/1829 | Inductive Process Discovery from Partially Ordered Event Data
[NO] 332/1829 | Rigorous existence and location of quantum phase transitions in lattice Hamiltonian systems
[NO] 333/1829 | Three-dimensional imaging of oxygen dopant distribution in Sr$_2$CuO$_{3+δ}$ by electron ptychography
[NO] 334/1829 | Negative diffusion in the Functional Renormalization Group flow for the Quark-Diquark Model
[NO] 335/1829 | Observables and Anti-Hermitian Generators in Time-Dependent Unitary Coupled Cluster Theory
[NO] 336/1829 | The 2PN Point-Mass N-Body Equations of Motion in Harmonic Gauge: A Computable Formulation
[NO] 337/1829 | Spectrum of the refined Diophantine exponent
[NO] 338/1829 | Multi-Method Causal Evidence Synthesis: Ranking Candidate Drivers by Convergent Cross-Method Evidence from Observational Data
[NO] 339/1829 | Anyon condensates of dipoles in triangular ladders
[NO] 340/1829 | Quantum Dissipative Paraelectricity
[NO] 341/1829 | Architecture and Compilation Co-Design for High-Rate Quantum Product Codes on Neutral Atom Arrays
[NO] 342/1829 | DARS: Dual-Level Credit Assignment RL with Structured Reasoning for Instruction-Based Image Editing
[NO] 343/1829 | On Cap-Decorated Floer Persistence modules
[NO] 344/1829 | The Generalized Random Access Problem for Linear Codes
[NO] 345/1829 | Using Zone-Disjoint Multi-Path Routing Algorithm for Video Transmission over Ah-Hoc Networks
[NO] 346/1829 | Trustworthy mobile edge caching: a blockchain approach to mitigate malicious nodes and incentivize cache sharing
[NO] 347/1829 | Reinforcement LearningtoHarness Approximation Errors for Long-Time QuantumSimulation
[NO] 348/1829 | Minkowski's Geometric Explanation of Lorentz Contraction
[NO] 349/1829 | Preparation of Large Fock States in Resonators with High Probability
[NO] 350/1829 | SAKE: Spectral Autodiff Kernel Expansion for Geometric Liouvillian Transport. A Differential-Geometric Framework for Response Transport in Quantum Dynamical Systems
[NO] 351/1829 | Multi-Agent Orchestration with the Common-Sense Reasoning Capabilities of LLMs for Autonomous Driving
[NO] 352/1829 | ID-VTG: Image-Disambiguated Video Temporal Grounding
[NO] 353/1829 | Modularity theorems for Eisenstein congruences in prime-power level
[NO] 354/1829 | Geometric Control of Cat States in High Harmonic Generation
[NO] 355/1829 | Effects of the surface on double surface Fermi arcs in a realistic tight-binding model of Na$_3$Bi (100)
[NO] 356/1829 | OenoBench: A Wine-Domain Benchmark for Knowledge-Grounded Evaluation of Large Language Models
[NO] 357/1829 | Structured Affinity for Unsupervised Visual Class-Incremental Memory in Deep Artificial Immune Networks
[NO] 358/1829 | Rewriting Ontology-Mediated Property Graph Queries into GQL
[NO] 359/1829 | Causal inference via propensity scores for case-control studies
[NO] 360/1829 | Shadow models of a quantum model for cloud cover and the influence of finite sampling noise
[NO] 361/1829 | Nonzero-temperature vibronic spectra of polyatomic molecules from a zero-temperature classical trajectory
[NO] 362/1829 | Kibble--Zurek Scaling in the Dicke Model at Mesoscopic Scales
[NO] 363/1829 | Resolution of Singularities in Positive Characteristic: Frobenius-Hasse Towers and Exceptional-History Descent
[NO] 364/1829 | Nearly tight framelet systems from nested Marcinkiewicz--Zygmund measures on compact Riemannian manifolds
[NO] 365/1829 | On the Applicability of Safety Nets: A Safety-By-Design Solution for Certifying Neural Networks
[NO] 366/1829 | Effect of molecular constraints on vibrational and quasilocalized excitations in glasses
[NO] 367/1829 | Integrating Temporal Disaggregation and Distributed Lag Nonlinear Models for Bayesian Spatio-Temporal Disease Mapping with High-Resolution Environmental Exposures
[NO] 368/1829 | End-to-end Early Classification of Time Series in Non-Stationary Environments
[NO] 369/1829 | Lattice-data-driven specific heat and isentropic bulk modulus of SU(3) gluon matter at finite temperature
[NO] 370/1829 | CLaST: Context-aware Contrastive VAE for Probabilistic Time Series Forecasting
[NO] 371/1829 | Contrastive Mixed Prompt Learning for Incomplete Multimodal Sentiment Analysis with Unseen Modality Combination
[NO] 372/1829 | The Greedy Superstring Algorithm Achieves Ratio 2 for Strings of Length 6 Already
[NO] 373/1829 | Wide-field mid- to long-wave infrared imaging with undetected photons
[NO] 374/1829 | Proof of Lichiardopol's conjecture on disjoint directed cycles of distinct lengths
[NO] 375/1829 | Graphs with connectivity $3/4 - \varepsilon$ are globally synchronizing
[NO] 376/1829 | Asymmetric Aerosol Distribution on the Terminators of the Warm Saturn WASP-69 b Revealed by JWST NIRISS/SOSS
[NO] 377/1829 | Uniform large deviation principles for the stochastic heat equation over unbounded sets of initial data
[NO] 378/1829 | One Success Isn't Reliability: Thinkingbox, a Sandbox and Benchmark for Agents in Stateful Business Workflows
[NO] 379/1829 | Learning to Beat: Phenotype-Guided Latent Flow with Regional Motion Priors for Biventricular Motion Synthesis
[NO] 380/1829 | TempJail: Temporal Jailbreak Attack against Large Vision-Language Models via Subtitle Scheduling
[NO] 381/1829 | RecPFN: Prior-Fitted Networks for In-Context-Based Recommendations
[NO] 382/1829 | Proper Sea Surface Roughness Enhances the Performance of Near-Shore Maritime Networks
[NO] 383/1829 | A Locally Tokenized Generative Model for Robust Time-Series Watermarking
[NO] 384/1829 | Cooperative effects of membrane confinement and gelation on PEG crystallization pathway
[NO] 385/1829 | StreamSoccer: Event-Driven Memory for Streaming Soccer Commentary
[NO] 386/1829 | A Comparative Study of Coherent and Action-Detected 2D Electronic Spectroscopies of a Multichromophore Photosynthetic System
[NO] 387/1829 | Information-Computation Inversion in Pseudo-Marginal MCMC
[NO] 388/1829 | Internal cyclotron probe of the vertical polarizability of a surface-state electron on helium
[NO] 389/1829 | Forced Shadows of an Obstructed Hyperbolic Kac-Moody Denominator
[YES] 390/1829 | Automated Estimation of MBIST Area and Test Time in Heterogeneous Memory IPs via Stacked Ensemble Framework
[NO] 391/1829 | Liouville theorem for a class of p-Laplace type equations on manifolds
[NO] 392/1829 | Exact hierarchical algorithms for accelerating particle--mesh coupling in sparse-grid particle-in-cell methods
[NO] 393/1829 | Beyond Memory Majority: Latent-Source Reasoning for Multi-Agent Memory Arbitration
[NO] 394/1829 | An Evidence-Grounded Multi-Agent System for High-Level Bio-Robot Design
[NO] 395/1829 | Dissipation-tunable extended and localized steady states in a non-disordered lattice
[NO] 396/1829 | RIPE++: Reinforced Keypoint Learning from Positive Pairs Only
[NO] 397/1829 | Nonexistence of Frame Measures for Separated Uniform Consecutive-Digit Bernoulli Convolutions
[NO] 398/1829 | Grounding Mindfulness in Embodied Tangibles: A Scoping Review & Theoretical Framework for HCI Design
[NO] 399/1829 | Multivariate Spatio-Temporal Regression with Penalized Model Selection and an Empirical Application
[NO] 400/1829 | Co-seismic surface fault displacement captured in videos: image tracking across three earthquakes
[NO] 401/1829 | Diffractive-Sail Single-Impulse Reachable Set for Interplanetary Transfer Design
[NO] 402/1829 | Electroweak Baryogenesis in Top-Philic Type-III Two-Higgs-Doublet Model motivated by the $t\bar{t}$ Excess at the LHC
[NO] 403/1829 | Revisiting the Growth Rate of the Relativistic Tearing Instability: The Role of the Non-ideal MHD Structure
[NO] 404/1829 | A sharp eigenvalue theorem for mixed elliptic problems under mixed boundary conditions
[NO] 405/1829 | Uniformly Rotating Vortex Patches with Arbitrarily Many Genuine Holes
[NO] 406/1829 | Collisionless Resonances Set the Size of a Weyl Exceptional Ring
[NO] 407/1829 | Modeling AI Overreliance as a Complex Adaptive System
[NO] 408/1829 | Evo-GTransNet for Parabolic PDEs: A Fixed-Feature Galerkin Method of Lines with Quadrature-Mass Orthonormalization
[NO] 409/1829 | First Observational Evidence for QPO-like Coevolution between Characteristic Damping Timescales and X-ray Time Lags among AGNs
[NO] 410/1829 | Exact partition function of arithmetic Ising model
[NO] 411/1829 | Efficient Poisson Subsampling for the Partially Linear Additive Cox Model
[NO] 412/1829 | Unregularized Convergence of Single-Loop, Entropy-Regularized Natural Actor-Critic
[NO] 413/1829 | VGI-BENCH: Probing Visual Intelligence in Video Generation Models
[NO] 414/1829 | Quadratic generation of ideals defining nonsigular toric 3-folds
[YES] 415/1829 | Program Analysis for Adaptive Data Analysis
[NO] 416/1829 | Disuccessors, Gröbner-Shirshov bases and free L-dendriform algebras
[NO] 417/1829 | Block3D: Efficient Text-to-3D Generation via Block-Wise Diffusion
[NO] 418/1829 | Remember, Verify, or Ask? Cross-Family Evaluation of Memory Commitment in LLM Agents
[NO] 419/1829 | An exact structural identity and its normal form consequences in a modified Leslie--Gower model
[NO] 420/1829 | Cosmic Evolution of the Standard Model Flavor Charges
[NO] 421/1829 | Discovery of Three Glitches in the previously quiet pulsar PSR J1637$-$4642
[NO] 422/1829 | Where Grounding Accuracy Lives on the IoU Curve: Label-Free Inference-Time Boundary Refinement
[NO] 423/1829 | Two-sided receptivity to conversational AI agents in online dating: Bilingual survey data from Fledge.Love
[NO] 424/1829 | A simple and practical $o(\sqrt{n})$-time algorithm for shortest paths in power law graphs
[NO] 425/1829 | From Retrieved Context to Runtime Control: Adaptive Compression for Edge-based RAG
[NO] 426/1829 | Sharp Bilinear Decoupling under Shell-Type Restrictions and Applications
[NO] 427/1829 | Does Listening Matter? Backchanneling and Nodding in AI Clone
[NO] 428/1829 | Attaining Fundamental Limits of Multiparameter Incoherent Optical Imaging Using Joint-Detection Quantum Measurements
[NO] 429/1829 | DAVSS: Distilled Audio-Visual State Space Models
[NO] 430/1829 | Time Series Forecasting based on Solana Digital Asset Dataset
[NO] 431/1829 | In Two Minds about Lifelong Learning: Exploring Hemispheric Redundancy and Specialisation in Neural Models
[NO] 432/1829 | Scale-Aware Pretraining of Time Series Foundation Models via Multi-Patch Token Alignment and Hybrid Masking
[NO] 433/1829 | Role of topology in scaling laws for studying mechanics in open-porous solids: Moving beyond classical Gibson-Ashby scaling
[NO] 434/1829 | Bayesian inference and retrodiction for faithful states on von Neumann algebras
[NO] 435/1829 | On a visco-elastic Mullins-Sekerka System
[NO] 436/1829 | Dynamical one-from-many quantum metrology: Sum rule and matrix-free precision bound
[NO] 437/1829 | STEP: Score-Based Temporal Energy for Human Pose Video Anomaly Detection
[NO] 438/1829 | Chromospheric heating and magnetic topology above the shared penumbra of a delta-spot: Multi-line inversions and multi-height magnetic-field extrapolations
[NO] 439/1829 | Fractional revival on oriented Cayley and semi-Cayley graphs over abelian groups
[NO] 440/1829 | The Symmetry and Linear Stability of Convex 1+5 Coorbital Central Configurations with Homogeneous Potential
[NO] 441/1829 | Learning Early-to-Final Solution Consistency for MILP Acceleration
[NO] 442/1829 | Hilbert space relation from dS to AdS through Reflection Positivity
[NO] 443/1829 | Entangling two qudits of arbitrary dimension through light-atomic Faraday interaction
[NO] 444/1829 | From Noise to Signal: Improving Security Log Anomaly Detection Using LLMs with Endpoint-Specific Logs
[NO] 445/1829 | J0011+3443: a GPS compact symmetric object, gravitational lens, or dual AGN?
[NO] 446/1829 | Some Practical Issues of the Tracking Process in GNSS Receivers
[NO] 447/1829 | Dissipative eigenvalue problems for a singular quantum Dirac system
[NO] 448/1829 | Recollements of derived categories from $n$-term big tilting complexes
[NO] 449/1829 | Learning how to Forget: Fine-tuning for Long-Context Sparse Attention
[NO] 450/1829 | Distilling Normalizing Flows for Real-Time Anomaly Detection at the LHC
[NO] 451/1829 | Search for Majorana Bound States in Short Chains of Proxmitised Quantum Dots
[NO] 452/1829 | Spike-based Belief Propagation in Nonlinear Dynamical Systems
[NO] 453/1829 | Where Does the Union Bound Go? Best-Arm Identification and Strong FWER Control
[NO] 454/1829 | EXIMO: VLM Guided Exploration of VLA Policies
[NO] 455/1829 | A Non-Hermitian Biorthogonal Encoding Paradigm for Physical-Layer Secure Computational Imaging
[NO] 456/1829 | Developing a Compact SWIR Imaging Spectrometer for CO2 and CH4 Retrieval Using Photonic Crystal Filters
[NO] 457/1829 | Partizan Serial Nim
[NO] 458/1829 | Weighted Perimeters and pth Moments of Inertia of Convex Curves and Surfaces
[NO] 459/1829 | Distributional Extrapolation for Interactions
[NO] 460/1829 | A Fixed-Penalty Linearized Augmented Lagrangian Method with Classical Multiplier Updates
[NO] 461/1829 | Adaptive Probabilistic Shielding by Learning MDPs for Safe Reinforcement Learning
[NO] 462/1829 | Sharp Convex Concentration for Symmetric Random Tensors with Subgaussian Coordinates
[NO] 463/1829 | Dancing Through Soundscapes: Designing a Low-Cost, Sound-Based Device for Sensing and Interpreting Movement and Dance
[NO] 464/1829 | Band-Selective Microwave Cavity Optimization Using Differentiable FDTD: Gradient-Guided Search Versus Structured Random Search
[NO] 465/1829 | Large reasoning models for abnormal situation management in safety-critical industrial processes
[NO] 466/1829 | MOSAIC: Modality-agnostic Spectral Alignment for Federated Image-level Weakly Supervised Tumor Segmentation under Client-specific Missing Modalities
[NO] 467/1829 | Origin of nucleosynthetic isotope variability in the NC reservoir: Evidence from Ti, Cr, and Mo isotopes
[NO] 468/1829 | Quintessential α-attractors, updated
[NO] 469/1829 | An Irreducible Quantum Advantage in Aligning World Models with Reality
[NO] 470/1829 | Distilling Aggregate Mobility Statistics into a Language Model Policy for Post-Event Crowd Simulation
[NO] 471/1829 | Supergroup Gauged Linear Sigma Models and their Physical Mathematics
[NO] 472/1829 | The Search Budget of the BSM Resonance Program
[NO] 473/1829 | Modular fabrication and design of thick rigid-foldable origami metamaterials
[NO] 474/1829 | Torus Berry Data Determine All-Genus Abelian Topological Orders
[NO] 475/1829 | The Memory Hidden in Response Fluctuations: Trajectory-Level Fluctuation-Response Theory and Inequalities for Non-Markovian Jump Dynamics
[NO] 476/1829 | Competing triangular and stripe supersolid orders in a dipolar quantum gas
[NO] 477/1829 | Spin-torque microwave detectors of positive rectangular pulse signals
[NO] 478/1829 | Pandora's AI Model Routing Box: Efficient Allocation with Costly Value Estimation
[NO] 479/1829 | MidTool: Mid-training Data Synthesis for Agentic Tool Use
[NO] 480/1829 | Inter-X++: A Comprehensive Benchmark for Multimodal Human-Human Interaction Analysis
[NO] 481/1829 | Computational Methods of Wave Propagation for Semiclassical Models of High Harmonic Generation in Bulk Solids
[NO] 482/1829 | CalcSeg: Confidence-aware 3D Latent Context Curriculum Learning For Myocardial Scar Segmentation From Single-Stack LGE-CMRs
[NO] 483/1829 | Kahn--Lovász-type inequalities for graph factors
[NO] 484/1829 | Taming the Tilt: A Unified Pilot Control Concept for Transformational eVTOL Aircraft
[NO] 485/1829 | A blind spot in transverse BAO calibration
[NO] 486/1829 | Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning
[NO] 487/1829 | Design and Empirical Evaluation of a Network-Centric, On-Premises Architecture for Earth Observation Data Access
[NO] 488/1829 | Flip rate prediction in the double pendulum
[NO] 489/1829 | Nonlinear Drude weight of the one-dimensional Hubbard model
[NO] 490/1829 | Uniform weak type $(1,1)$ bounds for Riesz transforms on stratified Lie groups
[NO] 491/1829 | Necessary conditions for deterministic and stochastic maximal regularity
[NO] 492/1829 | Vibrational Activation Triggers Ultrafast Excited State Intramolecular Proton Transfer in Single-Benzene Fluorophores
[NO] 493/1829 | Let's Scale Step by Step: Compute-Efficient Hyperparameter Transfer for Large-Scale Mixture-of-Experts
[NO] 494/1829 | QED radiative effects in semi-inclusive deep-inelastic scattering: traditional and factorized approaches
[NO] 495/1829 | FlashPrefill V2: Block-Sparse Prefill Attention for Long-Context LLM Serving
[NO] 496/1829 | Galactic microlensing by Lobo-Parsaei-Riazi phantom wormhole: Paczyński light curves and probabilistic features
[NO] 497/1829 | A Controllability Gramain Shaping with LMI Constraints under Bures--Wasserstein Distance
[NO] 498/1829 | Dangling points in area-minimizing Meissner polyhedra
[NO] 499/1829 | PersonalBench: Measuring the Authorship Gap in LLM Personalization
[NO] 500/1829 | Conditioned Brownian motion and local equivalence of path ensembles
[NO] 501/1829 | Keeping the Franka Emika Panda alive: a ROS 2 stack with a reliable position interface
[NO] 502/1829 | Real polynomials with given multiplicities of real roots: Complete conjectural description of homology
[NO] 503/1829 | Nonlinear tunnel oscillations of light in spherical Bragg resonators
[NO] 504/1829 | SafeBranch: Branch-Pair Safety Alignment for Embodied Agents
[NO] 505/1829 | Copula-Based Reconstruction and Clustering of Coccidioides Minimum Inhibitory Concentration Profiles
[NO] 506/1829 | Tropical and Stringy Integrals for In-In Correlators
[NO] 507/1829 | Tracing Vacuum Hadronization with Conserved Currents
[NO] 508/1829 | Interplay of exchange and spin-conserving scattering processes in a ferromagnetic two-sublattice system
[NO] 509/1829 | Coherence protection of a silicon hole spin qubit with phase-modulated microwave driving
[NO] 510/1829 | Lexicographic Combination of Reduction Pairs (Extended Version)
[NO] 511/1829 | Towards independent event horizon imaging of the supermassive black holes in M87 and the Milky Way
[NO] 512/1829 | SAGE: Ergodic Control for Autonomous and Adaptive Inspection of Subsea Infrastructure
[NO] 513/1829 | Scaffolding Minds: Optimizing Latent Visual Target Representations for Multimodal Reasoning
[NO] 514/1829 | A charge selection rule fixes what a squeezed-light reservoir computer can compute and afford
[NO] 515/1829 | Topological degree and existence of nontrivial normalized solutions for mass-critical Gross-Pitaevskii systems
[NO] 516/1829 | Variational Quantum Linear Solver via Block Encoding for the Poisson Equation
[YES] 517/1829 | DeltaML-Bench: Evaluating Machine Learning Agents on Real-World Research Repositories
[NO] 518/1829 | Enhancing Privacy in Federated Learning via Dual Obfuscation of Gradients and Training Images
[NO] 519/1829 | The Calibration Illusion in Traffic Microsimulation
[NO] 520/1829 | TextRefine: Improving Textual Fidelity, Spatial Placement, and Glyph Rendering for Text Editing in Product Posters
[NO] 521/1829 | The comets discovered from New Zealand, and the astronomers who found them
[NO] 522/1829 | Complementary, Not Cumulative: Interaction Effects in Physics-Informed Neural Networks for Navier-Stokes Vortex Shedding
[NO] 523/1829 | A Thread-Register Decoupled GPU Execution Model for Efficient Tensor Computation
[NO] 524/1829 | A New Method for Quasinormal Modes From Bound States and Homotopy deformations
[NO] 525/1829 | Mesoscopic Rectangular Spikes under Subspace Local Laws: Outlier Values and Singular Subspaces
[NO] 526/1829 | Estimating Negative Income Distributions via Data Fusion with Vine Copula-based Imputation
[NO] 527/1829 | HiTac-WAM: A Hierarchical Tactile World Action Model for Contact-Rich Robot Manipulation
[NO] 528/1829 | Non-equivalence of pro-$p$-Iwahori invariants
[NO] 529/1829 | A gap theorem for metric solitons and its applications
[NO] 530/1829 | When Do LLM Agents Help? Deadline-Aware Mixed-Criticality Task Scheduling at the Autonomous-Vehicle Edge
[NO] 531/1829 | Empirical Evaluation of Cross-Carrier MCPTT & OTT MCX Interoperability in High-Density Environments
[NO] 532/1829 | Delegating or Doing? Understanding User Behavior in Hybrid Human-Agent Interfaces
[NO] 533/1829 | Search for top quark flavor-changing neutral currents in multilepton final states using an effective field theory approach in proton--proton collisions at $\sqrt{s}$ = 13 TeV
[NO] 534/1829 | Observation of an excess at the top quark pair production threshold in the single-lepton channel
[NO] 535/1829 | Composition-Driven Phase Evolution in Sm-Doped BiFeO3 via Latent-Field Reconstruction of Atomically Resolved STEM Data
[NO] 536/1829 | Spheroid rolling up on diverging inclines
[NO] 537/1829 | Higher Chern--Simons Theory in $2n+2$ Dimensions for Balanced 2-term $L_\infty$-Algebras
[NO] 538/1829 | Automated Summarization of Financial News Using Large Language Models and Retrieval-Augmented Generation: An Early Empirical Study (Fall 2023)
[NO] 539/1829 | Garbage Collection and Energy Consumption in Java: A Controlled Study Across Workloads and JDKs
[NO] 540/1829 | Non-ideal MHD and protostellar feedback effects on disc formation and evolution in numerical simulations of star cluster formation
[NO] 541/1829 | Height and distance-squared functions on implicit plane curves
[NO] 542/1829 | Higher order logarithms of Bessel operators and an extension problem
[NO] 543/1829 | Outflows in steep density gradients: diversity of behavior and implications for tidal disruption events and luminous fast blue optical transients
[NO] 544/1829 | An arithmetic approach to parabolic multiplicity in complex dynamics
[NO] 545/1829 | Real Interference Alignment for Active IRS-Aided Systems: A Rate-Profile Learning-Based Approach
[NO] 546/1829 | Forgotten characters
[NO] 547/1829 | 3-D numerical modelling of the feedback between deformation and thermal structure during subduction initiation for the French Lesser Antilles
[NO] 548/1829 | Weakly stable solutions of Serrin's problem
[NO] 549/1829 | Learning Highly Dynamic Skills Transition for Quadruped Jumping Through Constrained Space
[NO] 550/1829 | Random valuations
[NO] 551/1829 | Harmonic Stability of Power Systems: A Control-Theoretic Definition and Assessment Criteria
[NO] 552/1829 | ReguSim: Evaluating LLM Agent Rule Grounding in Financial Compliance
[NO] 553/1829 | Exceptional sets for compositions involving Euler's function,the divisor-sum function and Dedekind's function
[NO] 554/1829 | Robust Incomplete Multimodal Sentiment Analysis via Iterative Proxy Correction
[NO] 555/1829 | A Note on a High-Energy Limit of Gravitational Perturbation Theory
[NO] 556/1829 | Universal Relations for Neutron Stars from Asymptotic Analysis
[NO] 557/1829 | Full frame denoising for pyramid wavefront sensors
[NO] 558/1829 | Energy rigidity and weak-strong uniqueness for the 2D anisotropic Navier-Stokes equations
[NO] 559/1829 | Securing Filesystems for Confidential Computing
[NO] 560/1829 | Auditing Recorded Predictive Lead Service-Line Classifications Against Physical Verification: A Statewide Study of New York
[NO] 561/1829 | Disassembling qLDPC codes for depth-optimal parity-check circuits
[NO] 562/1829 | Polyomino Nets Covering Three Different Boxes of Area 106 and Related Results
[NO] 563/1829 | A Layered Simplex Architecture for Large Alphabets
[NO] 564/1829 | PETA:Parameter-Efficient Test-Time Adaptation for Virtual Screening
[NO] 565/1829 | Fixed-structure Gaussian Mixture Filtering with Robust Measurement Updates under Outliers
[NO] 566/1829 | Separating Covariate Shift from Mechanism Change with Two Discriminators: CJSD, a Conditional Discrepancy with an Exact Covariate-Concept Decomposition
[NO] 567/1829 | Evaluating Smart Home Device User Responses to their (Un)Confirmed Privacy Expectations
[NO] 568/1829 | New upper bounds on covering codes K_q(n,R) for alphabets of size six and seven
[NO] 569/1829 | DIFFCZSL: Compositional Zero-Shot Learning Regularized by Diffusion Representations
[NO] 570/1829 | Hammock localization via Segal animae
[NO] 571/1829 | A 39pJ/b 7.3Gbps 1.3mm$^2$ Multi-Subcarrier Massive MU-MIMO-OFDM Detector Exploiting Beamspace Sparsity and Frequency-Domain Correlation in 22FDX
[NO] 572/1829 | Volatile resistive-switched state in a bulk organic conductor with a sharp metal-insulator transition
[NO] 573/1829 | To Control or not to Control
[NO] 574/1829 | PolicyGuide: From Guarding One Action to Guiding the Whole Workflow for Policy-Compliant LLM Agents
[NO] 575/1829 | Online Test-Time Adaptation for Generalizable Dynamic Graph Anomaly Detection
[NO] 576/1829 | Tilted $p$-wave magnet candidate CeNiAsO
[NO] 577/1829 | Partial Identification Learning with Categorical Treatments for Individualized Treatment Rules
[NO] 578/1829 | Resilience in Trustworthy Wireless Systems
[NO] 579/1829 | Random Cap: Optimal Informationally Robust Delegation
[NO] 580/1829 | Circles determined by planar point sets
[NO] 581/1829 | Fourier is Frontier: Frequency-Aware Autoencoding for High-Fidelity Music Reconstruction
[NO] 582/1829 | Simulation of trapped non-neutral plasma dynamics with rotating wall compression
[NO] 583/1829 | Nuclear-Electronic Orbital Subsystem Density Functional Theory
[NO] 584/1829 | Causal Reasoning with Bipartite Graphical Causal Models
[NO] 585/1829 | Calming Robot Pitches? Exploring the Influence of Robot Voice Pitch on Children's Stress Levels
[NO] 586/1829 | Towards Clinically Faithful Medical Image Captioning via Enhanced Vision-Language Alignment
[NO] 587/1829 | Simultaneous 3D co-registered perfusion and oxygenation with ULM, photoacoustic imaging, and a planar matrix array
[NO] 588/1829 | Eigensolvers for polynomial roots and tensor decomposition
[NO] 589/1829 | Unsupervised Anomaly Detection Using Flow Matching on Tabular Data
[NO] 590/1829 | Optimal Sobolev Approximation by Deterministic and Random Shallow Sigmoidal Networks
