[2026-06-11 23:22:08] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-10
正在获取论文...
[arXiv] 2026-06-10 | Adaptive, efficient, and scalable water wave modeling with dispersive hyperbolic systems
[NO] 166/1890 | Magnitude-Based Features for Multispecies Spatial Data
[NO] 167/1890 | Ideal structure of $\ell^p$ uniform Roe algebras
[NO] 168/1890 | Ambient Diffusion Policy: Imitation Learning from Suboptimal Data in Robotics
[NO] 169/1890 | XPR: An Extensible Cross-Platform Point-Based Differentiable Renderer
[NO] 170/1890 | Markov property and path regularity for the solutions to SPDEs driven by cylindrical-martingale valued measures
[NO] 171/1890 | Snapping Matters: Context-Aware Onset Refinement for Automatic Music Transcription
[NO] 172/1890 | GraspLLM: Towards Zero-Shot Generalization on Text-Attributed Graphs with LLMs
[NO] 173/1890 | PAPEL: A Collaborative System for Parental Guidance during Preschool Play-Based English Learning
[NO] 174/1890 | Image Quality Assessment of Identity Cards Using Measures from Open Face Image Quality
[NO] 175/1890 | Conformal Bayes under Label Shift: Post-Hoc Calibration vs. In-Training Adaptation
[NO] 176/1890 | StatefulDiscovery: Evidence-Calibrated Claim Formation in Open-Ended Scientific Discovery
[NO] 177/1890 | Breakdown of the classical rupture theory and earthquake propagation in the "forbidden" super-Rayleigh range
[NO] 178/1890 | Stochastic epidemic model with varying infectivity and waning immunity: the law of large numbers with unbounded infectivity
[NO] 179/1890 | Sparsity-Driven Source Localization in Tomographic Sensing Applications
[NO] 180/1890 | On the flash temperature in accelerated sliding contacts
[NO] 181/1890 | Modular Anthropomorphic Hand Design via Multi-Parameter Finger Benchmarking and Selection
[NO] 182/1890 | Nonlinear Mechanics and Predictable Bifurcation of Multi-Cell Kresling Origami Chains
[NO] 183/1890 | VEQ: a fast parametric Grad--Shafranov solver for fixed-boundary tokamak equilibria with flexible source profiles
[NO] 184/1890 | Local and global strong solutions to a reduced model for inviscid micropolar fluids
[NO] 185/1890 | External Experience Serving in Production LLM Systems: A Deployment-Oriented Study of Quality-Cost Trade-offs
[NO] 186/1890 | TextHOI-3D: Text-to-3D Hand-Object Interaction via Discrete Multi-View Generation and Joint Mesh Optimization
[NO] 187/1890 | SwarmSense-DNN: A Trustworthy and Decentralized Neural Framework for Proactive Anomaly Defense in Consumer IoT
[NO] 188/1890 | Kohn-Sham models for encapsulated two-dimensional materials
[NO] 189/1890 | Self-Excited Dynamo Driven by Non-Rotating Laminar Thermal Convection in a Regular Tetrahedron
[NO] 190/1890 | Battery detection of XRay images using transfer learning
[NO] 191/1890 | Consensus Time in 3-Majority and 2-Choices Is Determined by the Maximum Initial Opinion Density
[NO] 192/1890 | Segment-Wise Soft Robotics Inspired Flexible Antenna Arrays: Design and Optimization
[NO] 193/1890 | Hierarchical excitatory processes for modelling event-time data in the presence of exogenous stimuli
[NO] 194/1890 | Automated Creativity Evaluation of Language Models Across Open-Ended Tasks
[NO] 195/1890 | Vertex-critical co-gem-free graphs
[NO] 196/1890 | Machine Learning for Event Reconstruction in Imaging Atmospheric Cherenkov Telescopes
[NO] 197/1890 | Notes on the Theory of Statistical Symbol Recognition
[NO] 198/1890 | ERN-Net : Evolving Reason Node-Net for Document Binarization
[NO] 199/1890 | Explore From Sketch: Accelerating UAV Exploration in Large-scale Environments with Prior Maps
[NO] 200/1890 | The p-adic Cauchy Theorem and Overconvergent Period Sheaves
[NO] 201/1890 | Multivariate Period Rings
[NO] 202/1890 | Integrated magnonic neural circuits based on nonlinear wave neurons
[NO] 203/1890 | Beyond Frequency Marching: Orbit Recovery in Dihedral and Projected Multireference Alignment
[NO] 204/1890 | CompRank: Efficient LLM Reranking via Token-Level Compression and Decoding-Free Scoring
[NO] 205/1890 | Observation of coherently modulated phonon band and lifetime in superlattice
[NO] 206/1890 | The stability of Margulis space-times with parabolic holonomy elements
[NO] 207/1890 | Evaluation of Alternative-Based Information Systems for Deliberative Polling using an Agentic Simulator
[NO] 208/1890 | Layer-Isolated Evaluation: Gating the Deterministic Scaffold of a Production LLM Agent with a No-LLM, Regression-Locked Test Harness
[NO] 209/1890 | $τ$-tilting modules, depth and delooping level
[NO] 210/1890 | Organize then Retrieve: Hierarchical Memory Navigation for Efficient Agents
[NO] 211/1890 | Feynman--Kac formula for the heat equation with a one-center point interaction in $d=3$
[NO] 212/1890 | Neural-Parameterized Cellular Automata for Wildfire Spread
[NO] 213/1890 | Higher-Order Token Interactions via Quantum Attention
[YES] 214/1890 | Runtime Skill Audit: Targeted Runtime Probing for Agent Skill Security
[NO] 215/1890 | Probabilistic Salary Prediction with Graph Attention Networks and a Mixture Density Network
[NO] 216/1890 | TreeSeeker: Tree-Structured Trial, Error, and Return in Deep Search
[YES] 217/1890 | Undefined Behavior in C and C++: An Experiment With Desktop Use Cases
[NO] 218/1890 | When and how particles are removed by drops
[NO] 219/1890 | MFEN:Multi-Frequency Expert Network for Visible-Infrared Person Re-ID
[NO] 220/1890 | Relations in the 24-th homotopy groups of spheres
[NO] 221/1890 | Schedules and Prioritization: A Behavioral Foundation for Multi-Armed Bandits and Stopping Problems
[NO] 222/1890 | Pearl supratransmission in a boundary-driven two-dimensional nonlinear Schrödinger equation with a hole
[NO] 223/1890 | Proofs of two $q$-congruence conjectures of Guo
[NO] 224/1890 | ViT-FREE: Efficient Face Recognition via Early Exiting and Synthetic Adaptation
[NO] 225/1890 | Generalization Hacking: Models Can Game Reinforcement Learning by Preventing Behavioral Generalization
[NO] 226/1890 | Vaught's Conjecture for Unions of Products of Rooted Trees
[NO] 227/1890 | Emergent dilemma and periodic oscillation in the nonlinear interplay between epidemic and behavior
[NO] 228/1890 | Automated Responsive Thematic Mapping with Layout Guides
[NO] 229/1890 | Tabular Foundation Models for Clinical Survival Analysis via Survival-Aware Adaptation
[NO] 230/1890 | A Rank-Preserving Gaifman Normal Form
[NO] 231/1890 | Estimation of conserved charges for a one dimensional system with inhomogeneous hopping
[NO] 232/1890 | Channels and Substrates: Distributed Cognition as an Interaction Model for Ubiquitous Analytics
[NO] 233/1890 | SpecLoR: Spectral Lookahead Rectification for Motion-Coherent Text-to-Video Generation
[NO] 234/1890 | Quadratic APN Functions in Dimension 8 via Gröbner Basis Search in a Self-Equivalence Subspace
[NO] 235/1890 | Identifiability of $g$ mode Resonances in Eccentric Binary Neutron Stars with Multidetector Observations
[NO] 236/1890 | Scalar curvature, sharp bottom spectrum and geometric rigidity
[NO] 237/1890 | Neuro-Relational Programs: Unifying Queries and Neural Computation over Structured Data
[NO] 238/1890 | Detection of a parsec-scale, compact, and fading ejecta from an accreting massive black hole
[NO] 239/1890 | Characterizing Software Aging in GPU-Based LLM Serving Systems
[NO] 240/1890 | From Content to Knowledge: Lightning Fast Long-Video Understanding with Neural Knowledge Representations
[NO] 241/1890 | Tail-Aware Adaptive-k: Query-Adaptive Context Selection for Retrieval-Augmented Generation
[NO] 242/1890 | When Does Language Matter? Multilingual Instructions Reveal Step-wise Language Sensitivity in Vision-Language-Action Models
[NO] 243/1890 | Towards Responsibly Non-Compliant Machines
[NO] 244/1890 | AerialClaw: An Open-Source Framework for LLM-Driven Autonomous Aerial Agents
[NO] 245/1890 | A non-locally trivial $\mathrm{W}^*$-bundle with fixed factorial fibres
[NO] 246/1890 | From Agent Identity to Agent Economy: Measuring the Operational Readiness of ERC-8004 AI Agents
[NO] 247/1890 | Ionization-Induced Electrostatic Hose Instability in Electron-Beam-Sustained Plasmas
[NO] 248/1890 | All-electric picosecond field-free spin-orbit torque switching in magnetic trilayers
[NO] 249/1890 | Pure Point Spectrum is Generic
[NO] 250/1890 | Atmospheric Dynamics of Asymmetrically Magnetized Hot Jupiter
[NO] 251/1890 | Soft-Prompt Tuning for Fair and Efficient LLM Benchmark Evaluation
[NO] 252/1890 | Extremal number of edges in graphs without homeomorphically irreducible spanning trees
[NO] 253/1890 | World Model Self-Distillation: Training World Models to Solve General Tasks
[NO] 254/1890 | Tac-DINO: Learning Vision-Tactile Features with Patch Alignment
[NO] 255/1890 | Automating Geometry-Intensive Compliance Checking in BIM: Graph-Based Semantic Reasoning Framework
[NO] 256/1890 | Intrinsic Nonreciprocity in Electron-Phonon Interaction Driven Thermoelectric Diodes
[NO] 257/1890 | Emergent mirror symmetry in the optimization of the central-spin quantum battery
[NO] 258/1890 | Violation-Informed Spatio-Temporal Adaptive Targeting Framework for EV-Driven Distribution System Expansion Planning
[NO] 259/1890 | Benchmarking Neural Speech Compression from a Rate-Distortion Perspective
[NO] 260/1890 | Conditional Model-Adequacy Tests for Spectral Uncertainty Claims in Lattice QCD
[NO] 261/1890 | From Rings to Top-Hat beams
[NO] 262/1890 | A Two-Sided Sketching Algorithm for Low-rank Tensor Train Approximation
[NO] 263/1890 | A High-Precision Clock Synchronization System for the CEPC Accelerator
[NO] 264/1890 | Beyond the Golden Teacher: Enhancing Graph Learning through LLM-GNN Co-teaching
[NO] 265/1890 | Sensitivity Analysis of Generative Spatial Audio Metrics: A Study on Responsiveness, Smoothness, and Symmetry
[NO] 266/1890 | Distortion-Resilient Robotic Imitation Learning for Autonomous Cable Routing
[NO] 267/1890 | Understanding Cross-Sensor Feature Variations for Generalizable 3D Perception
[NO] 268/1890 | Relative biexactness and mixing in von Neumann algebras
[NO] 269/1890 | Nonlinearity Reversal in Epsilon-Near-Zero Indium Tin Oxide Driven by Few-Cycle Light Pulse
[NO] 270/1890 | APEX: A Network-Native Time-Series Foundation Model for Forecasting and Anomaly Detection for Wireless Edge Operations
[NO] 271/1890 | Superspace coinvariants and inverse systems for $GL_n(\mathbb{F}_q)$
[NO] 272/1890 | VL-DINO: Leveraging CLIP Vision-Language Knowledge for Open-Vocabulary Object Detectio
[YES] 273/1890 | SkillJuror: Measuring How Agent Skill Organization Changes Runtime Behavior
[YES] 274/1890 | MoCA-Agent: A Market-of-Claims Code Agent for Financial and Numerical Reasoning
[NO] 275/1890 | Adversarial Attacks on Learned Policies for Surgical Robotic Tasks
[NO] 276/1890 | Locally Acting Grover Mixers for Constraint-Preserving QAOA
[NO] 277/1890 | A dynamical proof of non-arithmeticity of Jordan spectra
[NO] 278/1890 | Maximizing Connectivity of Uplink RIS-Assisted UAV Networks
[NO] 279/1890 | Symmetric structure-preserving discretization of N-phase incompressible fluid mixtures with arbitrary density ratios
[NO] 280/1890 | Saturation of Nuclear Binding from Lattice Hamiltonians
[NO] 281/1890 | DSpinGNN: A Physics-Informed Equivariant Graph Neural Network for Dynamic Magnetic Exchange Prediction in Strain-Deformed Monolayer CrI$_3$
[NO] 282/1890 | Adjoint Method versus Physics-Informed Neural Networks in PDE-Constrained Inverse Problems
[NO] 283/1890 | How Seemingly Inconsequential Design Choices Dictate Performance of LLMs in Pathology
[NO] 284/1890 | World Pilot: Steering Vision-Language-Action Models with World-Action Priors
[NO] 285/1890 | A coupled finite element formulation for chemo-mechano-thermodynamical contact and its application to bonding and debonding
[NO] 286/1890 | Nonadditivity in Quantum Field Theory: Replica Energies, Scaling Filters, and the Renormalization Group
[NO] 287/1890 | Capparelli's partition theorem as part of an infinite hierarchy: Combinatorial and Weighted Words extensions of recent work
[NO] 288/1890 | Echoes of the Prior: A Computational Phenomenology of Forgetting
[NO] 289/1890 | Analysis of a Distributed Optimization-Based Control Architecture for Inverter-Interfaced Virtual Power Plants
[NO] 290/1890 | Fourier Features Let Agents Learn High Precision Policies with Imitation Learning
[NO] 291/1890 | Resolving the Schwartz Quadratic Meander Number Conjecture
[NO] 292/1890 | A note on geometric colorings of the Moser lattice
[NO] 293/1890 | Mixed Hermite-Legendre spectral method for kinetic plasma simulations
[NO] 294/1890 | Poisson three-folds constructed from co-Higgs bundles on Hopf surfaces
[NO] 295/1890 | UGV-Conditioned Multi-UAV Informative Planning on a Shared Exposure Belief
[NO] 296/1890 | From 2D Grids to 1D Tokens: Reforming Shared Representations for Multimodal Image Fusion
[NO] 297/1890 | Bayesian Triangulation Splines: Spatial Adaptation on Irregular Domains
[NO] 298/1890 | Findings of the MAGMaR 2026 Shared Task
[NO] 299/1890 | Bridging the Modality Gap in Forensic Image Retrieval
[NO] 300/1890 | Finding Multiple Interpretations in Datasets
[NO] 301/1890 | Beyond Fully Random Masking: Attention-Guided Denoising and Optimization for Diffusion Language Models
[NO] 302/1890 | Average degrees of edge-$Δ$-critical multigraphs
[NO] 303/1890 | Mass generation at a fixed point: A Functional Renormalization Group Study of the tricritical O($N$) model in $d=3$ and $N=\infty$
[NO] 304/1890 | The Impossibility of Eliciting Latent Knowledge
[NO] 305/1890 | Averaging of Random Vibrations in Mechanical Systems in the Sense of Ito, Stratonovich, and Sussmann
[NO] 306/1890 | Deep Learning Calibration of the Quasar X-ray/UV Luminosity Relation for Cosmological Applications
[NO] 307/1890 | VOID: Defeating Unauthorized Mimicry in Latent Diffusion Models
[NO] 308/1890 | Rbreak: An R Package for Estimating Structural Breaks under Linear Restrictions with Application to Linear Model Tree
[NO] 309/1890 | Investigating the young stellar populations and hierarchies in nearby galaxies with the UVIT. II. Presenting the properties of ~25,000 UV-detected star-forming clumps
[NO] 310/1890 | VIA-SD: Verification via Intra-Model Routing for Speculative Decoding
[NO] 311/1890 | Superconductivity in the pressure-amorphized topological insulator CrP$_4$
[NO] 312/1890 | Stacking switching between correlation-protected radial Rashba field and persistent spin textures in graphene encapsulated by 1T-TaS$_2$ monolayers
[NO] 313/1890 | Characterization of Speech Imagery in Scalp EEG and Comparison with Motor Imagery
[NO] 314/1890 | Structural responses incipient to pressure-driven antiferromagnetic quantum critical point of van der Waals heavy-fermion metal CeSiI
[NO] 315/1890 | Modular variants of p-adic fundamental sequence
[NO] 316/1890 | Quantum Occam Learning: Sample-Supported Expressibility for Circuit-Based Quantum Learning
[NO] 317/1890 | Weakly interacting Bose gases in the canonical ensemble
[NO] 318/1890 | Adaptive Multi-Resolution Procedural Knowledge Compression for Large Language Models
[NO] 319/1890 | Implicit Neural Representations of Individual Behavior
[NO] 320/1890 | Which Speech Representation Better Matches Text-Native Reasoning? A Study of Speech-Text Alignment on Frame Rate and Representation
[NO] 321/1890 | Schubert Calculus and uniform property $Γ$
[NO] 322/1890 | Matrix Discrepancy for Representations of Finite Groups
[NO] 323/1890 | Nearly Instance Optimal Sparse Matrix Approximation from Matrix-Vector Products
[NO] 324/1890 | A Stochastic Framework for the Spherical Jeans Equation Motivated by Scalar-Tensor Gravity
[NO] 325/1890 | OpenMedReason: Scientific Reasoning Supervision for Medical Vision-Language Models
[NO] 326/1890 | Forbidden Intersection Theorems for Matrix Spaces
[NO] 327/1890 | Partitioned Iterative Quantum Scheduling of Satellites for Urgent Disaster Response: Case study of Wildfire
[NO] 328/1890 | Time-Series Foundation Model Embeddings for Remaining Useful Life Estimation
[NO] 329/1890 | Gamma-Ray Constraints on Heavy Axion-Like-Particle Decays from Fermi-LAT and H.E.S.S. Blazar Spectra
[NO] 330/1890 | Fermions are fundamentally more nonlocal than Bosons
[NO] 331/1890 | Effect of polar distortions on the anomalous Hall conductivity of altermagnetic $α$-MnTe
[NO] 332/1890 | $^{13}$CO and potential variability in $β$ Pictoris b with GRAVITY+
[NO] 333/1890 | From Fork-Join to Asynchronous Tasks: Parallelizing Tiled Cholesky Decomposition with OpenMP and HPX
[NO] 334/1890 | Strong and variable stratospheric CO emission from lava-planet 55 Cnc e observed with NIRCam/JWST
[NO] 335/1890 | The relaxation complexity of the standard simplex is logarithmic
[NO] 336/1890 | On Finite and Infinite Decompositions of Zero Mean Curvature Graphs
[NO] 337/1890 | Cohomology of CR structures on compact Lie groups
[NO] 338/1890 | On Subquadratic Architectures: From Applications to Principles
[NO] 339/1890 | Stellar mass loading drives dissipation and reacceleration in AGN jets: Explaining VLBI-Gaia offsets and constraining jet power
[NO] 340/1890 | Privacy-Preserving Federated Autoencoder for ECG Anomaly Detection on Edge Devices
[NO] 341/1890 | An Efficient Method for the Optimal Control of Microgrids Under Uncertainties using Local Reduction
[NO] 342/1890 | Quantization Limitations of Leakage Suppression in Self-Calibrating Monostatic Integrated Sensing and Communication MIMO Systems
[NO] 343/1890 | Self-Pulsing Microring Resonator Networks for Bandwidth-Efficient Event Detection in an Optical Fiber Sensor
[NO] 344/1890 | A Generalized Framework for $L^r$ Convex Integration and its Application to Geophysical Models
[NO] 345/1890 | Graphical Analysis of Lifted Product Code Constructions
[NO] 346/1890 | uva-irlab-conv at SemEval-2026 Task 8: Multi-Turn RAG with Learned Sparse Retrieval and Listwise Reranking
[NO] 347/1890 | Quantum repeater segment with free-space coupled co-trapped ions using telecom photon interference
[NO] 348/1890 | Substrate insulated Josephson junctions for superconducting quantum circuits
[NO] 349/1890 | DIRECT: When and Where Should You Allocate Test-Time Compute in Embodied Planners?
[NO] 350/1890 | Strong First-Order Electroweak Phase Transition and Gravitational Waves in a $\mathbb{Z}_4$ Fermion-Scalar Dark Matter Model
[NO] 351/1890 | Recovering the initial condition and physical coefficients in a nonlinear PDE model of cell invasion
[NO] 352/1890 | A Controlled Study of Decoding-Time Truthfulness Methods on Instruction-Tuned LLMs
[NO] 353/1890 | VLGA: Vision-Language-Geometry-Action Models for Autonomous Driving
[NO] 354/1890 | Secondary drift-driven instabilities in the presence of a parallel-propagating electromagnetic ion cyclotron wave and cold multi-component ions
[NO] 355/1890 | Time-dependent cosmic-ray escape from wind bubbles: hard spectra formation
[NO] 356/1890 | KiDS-Legacy: Joint analysis of second- and third-order cosmic shear
[YES] 357/1890 | Breaking Entropy Bounds: Accelerating RL Training via MTP with Rejection Sampling
[NO] 358/1890 | APT: Action Expert Pretraining Improves Instruction Generalization of Vision-Language-Action Policies
[NO] 359/1890 | Lattice chiral non-Abelian gauge symmetry via bosonization
[NO] 360/1890 | A higher-order Eckmann-Hilton argument
[NO] 361/1890 | Moduli of Supersingular Abelian Varieties in Dimensions $g\leq 5$
[NO] 362/1890 | Traceable Virtual Sea Trials in the Marine Robotics Unity Simulator for Manoeuvring Assessment of Unmanned Surface Vehicles
[NO] 363/1890 | MATLAB-Based Layerwise Self-Adaptive Physics-Informed Neural Network in Applications to Multidimensional Coupled Burgers' Equations with High Reynolds Numbers
[NO] 364/1890 | Atlas H&E-TME: Scalable AI-Based Tissue Profiling at Expert Pathologist-Level Accuracy
[YES] 365/1890 | Claw-SWE-Bench: A Benchmark for Evaluating OpenClaw-style Agent Harnesses on Coding Tasks
[NO] 366/1890 | ALIGNBEAM : Inference-Time Alignment Transfer via Cross-Vocabulary Logit Mixing
[NO] 367/1890 | OCELOT: Inference-Leakage Budgets for Privacy-Preserving LLM Agents
[NO] 368/1890 | On a conjecture of Las Vergnas
[YES] 369/1890 | PROJECTMEM: A Local-First, Event-Sourced Memory and Judgment Layer for AI Coding Agents
[NO] 370/1890 | HALO: Half-Frame-Rate Adaptive Learnable Operator for Lightweight STFT-Based Speech Enhancement
[NO] 371/1890 | From the Linear Quadratic Regulator (LQR) to the (Deterministic) Kalman Filter in Two Easy Steps
[NO] 372/1890 | Bending the Rules of Propagation: Caustic Beamforming for Next-Generation Wireless Systems
[NO] 373/1890 | Harness In-Context Operator Learning with Chain of Operators
[NO] 374/1890 | ShrinkageTrees: An R Package for Bayesian Tree Ensembles for Survival Analysis and Causal Inference
[NO] 375/1890 | Near Field Multi-Band Localization: CRB, Efficient Estimator, and Threshold SNR
[NO] 376/1890 | Super-Link Fragility in Asymmetric W-Class States under Quantum Noise
[NO] 377/1890 | LLM-Based Digital Twin Intelligence for Application-Aware Network Selection in 6G Heterogeneous Wireless Networks
[NO] 378/1890 | Canonical Bernstein-Zelevinsky Filtration and Casselman's Comparison Conjecture
[NO] 379/1890 | SpikeDecoder: Realizing the GPT Architecture with Spiking Neural Networks
[NO] 380/1890 | CCKS: Consensus-based Communication and Knowledge Sharing
[NO] 381/1890 | Approximate additivity in the solvent-mediated potential of mean force for ultrasoft particle systems
[NO] 382/1890 | Schur Visibility and Anti-Phantom Reduction in One-Component Navier-Stokes Degeneration
[NO] 383/1890 | Damage-TriageFormer: A Foundation-Model Framework for Typology-Based Building Damage Assessment from Mono-Temporal Imagery
[NO] 384/1890 | Beyond Third-Person Audits: Situated Interaction Auditing for User-Centered LLM Bias Research
[NO] 385/1890 | Shaping the horizontal branch: The role of envelope mass in the evolution of stripped core-helium-burning stars
[NO] 386/1890 | Multi-Rate Mixture of Experts for Accelerating Liquid Neural Network Training
[NO] 387/1890 | BenDi: An Energy-Efficient Quasi-Stochastic Systolic Architecture for Edge Bioelectronics
[NO] 388/1890 | On-chip measurement of the modal Stokes-Gell-Mann parameters for partially coherent three-mode light
[NO] 389/1890 | An Electric Potential-Augmented Benchmark Dataset for Physics-Guided Image Reconstruction of Electrical Capacitance Tomography
[NO] 390/1890 | Enhanced localization length in a disordered one-dimensional band via cavity coupling to delocalized states
[NO] 391/1890 | Adapting Prithvi-EO for Fallow Detection for Food-Water Nexus: ViT-Adapter Necks and Parameter-Efficient Backbone tuning of Geospatial Foundation Model
[NO] 392/1890 | Materealistic? How European energy system models exceed raw material reserves
[NO] 393/1890 | The Hausdorff dimension of the set where the Minkowski question mark function has infinite derivative
[NO] 394/1890 | InternVideo3: Agentify Foundation Models with Multimodal Contextual Reasoning
[NO] 395/1890 | On a continuity method for Dirichlet problem of Hessian equations
[NO] 396/1890 | DynaTok: Token-Based 4D Reconstruction from Partial Point Clouds
[NO] 397/1890 | Shared Infrastructure Investment and Pricing: Stackelberg Equilibria in Risk-Aware Take-or-Pay Contracts
[NO] 398/1890 | Kernel-based identification of nonlinear port-Hamiltonian systems
[NO] 399/1890 | Modeling of Dark Count Probability in Perimeter-Gated SPADs
[NO] 400/1890 | Above-bulk DC Kerr electro-optics at the water/ITO interface, resolved with the Pockels effect
[NO] 401/1890 | Kinetic kagome magnetism: from self-trapping RVB polarons to semiclassical correlations
[NO] 402/1890 | Stable homology of complex braid groups
[NO] 403/1890 | On the Dynamics and State Dependent Multiple Equilibria of a Post-Buckled Ultra-Flexible Inverted Pendulum on a Rotating Hub
[NO] 404/1890 | Time-Conditioned and Multi-Time Survival Prediction from 2D PET/CT Projections in Lung Cancer
[NO] 405/1890 | SpAArSIST: Sparsified AASIST for Efficient and Reliable Anti-Spoofing
[NO] 406/1890 | The Hidden Cost of Pairwise Verification in Synthetic Speech Source Tracing
[NO] 407/1890 | Horizon absorption in eccentric precessing binary black hole inspirals and its importance for gravitational wave data analysis
[NO] 408/1890 | FACTR 2: Learning External Force Sensing for Commodity Robot Arms Improves Policy Learning
[NO] 409/1890 | Jaguar: Fast Private CNN Inference with Power-of-Two Homomorphic Arithmetic
[NO] 410/1890 | Sample Path Properties of the Fractional Wiener--Weierstrass Bridge II
[NO] 411/1890 | On the Modelling of the Hydrodynamic Drag of Mangroves
[NO] 412/1890 | IAPO: Input Attribution-Aware Policy Optimization for Tool Use in Small Multimodal Agents
[NO] 413/1890 | Tree-Structured Orthonormal Decomposition of the Aitchison Simplex
[NO] 414/1890 | Raw-Curve Quantum Fingerprints: A Mahalanobis Authentication Framework with Drift Early Warning and Adversarial Detection
[NO] 415/1890 | 3-Key-Input: Exploring the Theoretical Minimum Keys for Text Entry
[NO] 416/1890 | Upper bounds of the second largest eigenvalue of graphs
[NO] 417/1890 | Impact of mode completeness on the accuracy of the coupling theory of quasinormal modes: a strict numerical demonstration
[NO] 418/1890 | Precision-Aware Illumination-Disentangled Vision Transformer for Spacecraft 6D Pose Estimation
[NO] 419/1890 | DeMix: Debugging Training Data with Mixed Data Error Types by Investigating Influence Vectors
[NO] 420/1890 | Mach's principle in atomic transitions
[NO] 421/1890 | On Aligning Hierarchical Standardized Embedding for Audio-visual Generalized Zero-shot Learning
[NO] 422/1890 | When is Your LLM Steerable?
[NO] 423/1890 | Large language models selectively converge with human-shared neural semantic representations
[NO] 424/1890 | Updated measurement of the branching fraction of $D_s^+ \to τ^+ ν_τ$
[NO] 425/1890 | Unveiling Orbital-mediated Ultrafast Demagnetization in Rare Earth-Transition-Metal Ferrimagnets
[NO] 426/1890 | Kuramoto Attention: Synchronizing Self-Attention on the Torus
[NO] 427/1890 | FreqKD: Frequency-Decoupled Cross-Modal Knowledge Distillation for Infrared Object Detection
[NO] 428/1890 | HERO: Hindsight-Enhanced Reflection from Environment Observations for Agentic Self-Distillation
[NO] 429/1890 | Gelfand--Kirillov dimensions of highest weight modules for basic classical Lie superalgebras
[NO] 430/1890 | Polarization-Resolved Photon Statistics of Cavity Quantum Materials
[NO] 431/1890 | Learning Object Manipulation from Scratch via Contrastive Interaction
[NO] 432/1890 | Delta-Epsilon-Common Knowledge and Quantitative Agreement Theorems
[NO] 433/1890 | Relative dendroidal Rezk nerve and applications
[NO] 434/1890 | Efficiency Meets Reliability: Enhanced Generalized Interleaved Transform for Random Multiplexing
[NO] 435/1890 | CBF-based Driving Assistance for Traffic Flow Stabilization
[NO] 436/1890 | SG2Loc: Sequential Visual Localization on 3D Scene Graphs
[NO] 437/1890 | Sonochemically Boosted Hydrogen Evolution Activity of Janus TMD Monolayers
[NO] 438/1890 | MemNovo: Look Back at the Spectrum for Balanced De Novo Peptide Sequencing from Mass Spectrometry
[YES] 439/1890 | CORE-Bench: A Comprehensive Benchmark for Code Retrieval in the Era of Agentic Coding
[YES] 440/1890 | Enhancing LLM-Based Code Translation with Verified Multi-Semantic Representations
[NO] 441/1890 | Scenario Generation for Time Series and Curves: A Comparison of Nonparametric and Semiparametric Bootstrap
[NO] 442/1890 | Distributionally Robust Reinsurance under Robust Optimized Certainty Equivalent Risk Measure
[NO] 443/1890 | Task-Aware Structured Memory for Dynamic Multi-modal In-Context Learning
[NO] 444/1890 | Scene-Adaptive Nonlinear Tone Curves for Pseudo Ground-Truth Generation in Low-Light 3D Gaussian Splatting
[NO] 445/1890 | LASA: A Weak Supervision Method for Open-Vocabulary Scene Sketch Semantic Segmentation
[NO] 446/1890 | From Uniform to Learned Graph Priors: Diffusion for Structure Discovery
[NO] 447/1890 | A singularity theorem in terms of asymptotic expansion
[NO] 448/1890 | Human-Guided Co-Manipulation of Carbon Fiber Plies
[NO] 449/1890 | Sparsified Kolmogorov-Arnold Networks for Interpretable Quantum State Tomography
[NO] 450/1890 | Sub-Riemannian Selberg Trace Formulae for Compact Quotients of SL(2,R) and Determinants of Sub-Laplacians
[NO] 451/1890 | Shape-space dynamics and geometric pattern formation in nonreciprocal slender bodies
[NO] 452/1890 | Two-dimensional beam compression for sub-femtosecond electron beam generation
[NO] 453/1890 | Deterministic Policy Gradient for Learning Equilibrium in Time-Inconsistent Control Problems
[NO] 454/1890 | What Limits Does Quantization Place on Dense Top-$k$ Retrieval? A Theoretical Study
[NO] 455/1890 | Fast Speech Foundation Model Distillation Using Interleaved Stacking
[NO] 456/1890 | Enumerating inherited conics in André planes of odd order
[NO] 457/1890 | A Fast Gaussian Mechanism under Continual Observation, with Applications
[NO] 458/1890 | Ambiguity-Free Inertial Measurement with Multi-Wavelength Atom Interferometry
[NO] 459/1890 | TacCoRL: Integrating Tactile Feedback into VLA via Simulation
[NO] 460/1890 | Multi-View In-Cabin Monitoring System for Public Transport Vehicles
[NO] 461/1890 | Normalisation for Positive Free Logics without and with Definite Descriptions
[NO] 462/1890 | High-order multi-structures-preserving exponential integrators for the derivative nonlinear Schrödinger equation
[NO] 463/1890 | Comisso-Asenjo Mechanism in Rotating $\mathcal{N}=2,U(1)^2$ Gauged Supergravity Black Holes: Extended Comparison With Kerr Black Hole
[NO] 464/1890 | Mind the Perspective: Let's Reason Recursively for Theory of Mind
[NO] 465/1890 | Ambient and Pressure Dependent Superconductivity with Hydrogen Storage Potential in Quaternary Hydride LiMgZr2H12: A Comprehensive First-principles Insights
[NO] 466/1890 | Strict 2.5D Shadows for One-Component Navier-Stokes Regularity
[NO] 467/1890 | Ouroboros-Spatial: Closing the Data-Model Loop for Spatial Reasoning
