[2026-09-11 23:53:58] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-10
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609100000+TO+202609102359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[IEEE] 2026-9-10 | A Fast Computation Method for SBR Electromagnetic Scattering Based on MPI Parallel Track
[IEEE] 2026-9-10 | Latent Diffusion Models for Probabilistic Permittivity Inversion and Structural Segmentation of Ground Penetrating Radar Images
[IEEE] 2026-9-10 | Contrastive Learning for Aspect Representation Towards Explainable Recommendation
[IEEE] 2026-9-10 | Intelligent Recognition of Rotary Mechanical Water Meter Readings by Fusing Multi-Object Spatial Topology and Color Semantics
[IEEE] 2026-9-10 | Design of a Transmission Phase Control Metasurface for Achieving Antenna Beam Control
[IEEE] 2026-9-10 | Addressing Multi-Agent Interoperability: An Approach for Distributed Multi-Language Encoded Intelligent Agents
[IEEE] 2026-9-10 | Roblox-Based Game learning for Thai Poetry Learning: Development and Effectiveness Evaluation for Grade 4 Students
[IEEE] 2026-9-10 | Artificial Intelligence-Driven Digital Twin Metaverse Architecture for Enhancing Smart Worker Competency in Work-Integrated Learning
[IEEE] 2026-9-10 | 3D-Printed Terahertz Wideband Horn Antenna Arrays with a Single-Layer Feed Network
[IEEE] 2026-9-10 | An Area-Efficient 28-GHz LNA Using Triple-Coupled Transformer Achieving 2.97-dB Noise Figure
[IEEE] 2026-9-10 | RF Large-signal Demonstration of InAlN-Based Coupled-Channel HEMTs with Novel Ohmic Process
[IEEE] 2026-9-10 | Wide-Stopband Bandpass Filter Based on Spoof Surface Plasmon Polaritons and Short-Circuited Stubs
[IEEE] 2026-9-10 | A Hybrid TCN–Transformer Model for ECG Time Series Forecasting
[IEEE] 2026-9-10 | A Flexible Dual-Band Metasurface Absorber Based on Ring–Cross Resonators
共写入 1000 条记录，保存到 papers/paper2026-09-10.json。
论文获取成功，文件路径: papers/paper2026-09-10.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[NO] 2/1000 | Differentiated Prototype Guided Weakly Supervised Semantic Segmentation
[NO] 3/1000 | DRCMDA: A Dual-View Drug Repositioning Framework with Cluster-Aware Structured Masked Reconstruction and Diffusion-Based Metapath-Graph Augmentation
[NO] 4/1000 | A Systematic Review of Non-Invasive Methods for Utility-Side Harmonic Impedance Determination
[NO] 5/1000 | Achieving a 155× Speedup in a LiDAR Data Processing Pipeline
[NO] 6/1000 | Continual Deterministic Learning and Control of Unknown Nonlinear Systems With Knowledge Reuse
[NO] 7/1000 | SP-VoxelDet: Channel-Efficient Fully Sparse 3D Object Detection Via Partial Convolution
[NO] 8/1000 | Joint Hierarchical Image Encryption and Compression Based on Diffusion Models
[NO] 9/1000 | A Power-Decoupled Three-Phase Current Source Inverter for Low-Voltage-Ride-Through of Wind Power Generators
[NO] 10/1000 | Joint Trajectory and Fluid Antenna Design for Secure UAV-Enabled ISAC
[NO] 11/1000 | Non-Stationary THz Channel Characterization for S2A Communications: A Trajectory-Aware Doppler Analysis
[NO] 12/1000 | Ultra-Wideband 2-Bit Reconfigurable Phased Array Antenna with Improved Side Lobe Level
[NO] 13/1000 | Adaptive Genetic Optimization of Sparse Arrays for Millimetre-Wave MIMO Radar
[NO] 14/1000 | A Small-Sample Learning Method for Risk Management Evaluation of Power Grid Engineering Investment Execution
[NO] 15/1000 | Millimeter-Wave Wideband Large-Spacing Wide-Angle Scanning Magnetoelectric Dipole Phased Array Antenna
[NO] 16/1000 | Arabic Text Detection and Classification in News Video Based on Vision Transformer
[NO] 17/1000 | Research on Staged Single-Image Deraining Algorithm
[NO] 18/1000 | Design of a Ka-band Three-Way Power Combining Structure in Rectangular Waveguide
[NO] 19/1000 | Experimental Study on Electromagnetic Susceptibility of ZigBee-Based Cabin Internet of Things Systems under Radiated Interference
[NO] 20/1000 | Integrating Active Problem-Based Learning through Generative AI to Enhance Students’ Understanding of AI Ethics
[NO] 21/1000 | Design of High-Efficiency and Boardband Concurrent Dual-Band Power Amplifier
[NO] 22/1000 | The Study of Learning Outcomes using the Role-Play Method of Human Augmentation Simulation Learning System to Enhance Digital Content Creator
[NO] 23/1000 | FDFD Solution for the Crosstalk of Multi-Conductor Transmission Lines
[NO] 24/1000 | Parametric Optimization Design of Microwave Sensor Based on Interdigitated Spoof Plasmons
[NO] 25/1000 | A Comparative Study of AI Models for EEG-Based Cognitive Confusion Detection
[NO] 26/1000 | Machine Learning for Inflation Forecasting: Can High-Dimensional Macro Indicators Beat the Phillips Curve?
[NO] 27/1000 | A Method for Design of Heterogeneous Arrays With Broadband Circular Polarization
[NO] 28/1000 | A Five-Beam Fresnel Lens Antenna with High Gain for mmWave Wind Profile Radar
[NO] 29/1000 | Social CRM for Stakeholder Engagement and Social Innovation in the Circular Economy
[NO] 30/1000 | A Fast Update Method for Calibration Data of Phased Array Antennas
[NO] 31/1000 | Design of C-band High-Efficiency Relativistic Klystron Oscillator with a Low-magnetic Field
[NO] 32/1000 | MGF-PEFT: Multi-Granularity Feature Fusion for Efficient Large Language Model Tuning
[NO] 33/1000 | Optically Transparent Millimeter-Wave Wideband Reflective Metasurface Antenna
[NO] 34/1000 | A YOLO11 Object Detection Algorithm Based on ResNet18 Backbone Optimization for UAV Small Targets
[NO] 35/1000 | High-Efficiency Bilateral Cosecant-Squared Beamforming Antenna Based on Substrate Integrated Coaxial Line
[NO] 36/1000 | Bi-Level Routing and Sparse Spatial Attention based Multi-View BEV 3D Object Detection for Autonomous Driving
[NO] 37/1000 | Multi-Scale Time-Frequency Collaborative Attention Network for Speech Emotion Recognition
[NO] 38/1000 | Conformal Tapered Periodic Sheet for Edge Scattering Suppression
[NO] 39/1000 | Two-Stage Delay-Doppler Estimation for OTFS Systems via Off-Grid Sparse Bayesian Learning
[NO] 40/1000 | H-GRPO: An Asymmetric Hierarchical Group Relative Policy Optimization Framework for Constrained Multi-Objective Control
[NO] 41/1000 | Cognitive Offloading in the Age of AI: Investigating the Influence of AI Dependence on Students' Critical Thinking Skills
[NO] 42/1000 | A Simplified Design Method for 27-30 GHz GaN MMIC Load-Modulated Balanced Amplifier
[NO] 43/1000 | An Improved Schiffman Phase Shifter Based on an L-Shaped Network
[NO] 44/1000 | Delay-Consistent Cross-Traffic Generation for Extending Network Digital Twins to Unidentified Networks
[NO] 45/1000 | The Future of Integrated Bidirectional Energy and Transport Systems [From the Editor]
[NO] 46/1000 | 2026 7th International Conference on Big Data Analytics and Practices (IBDAP)
[YES] 47/1000 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[NO] 48/1000 | SustainDiffusion: Optimising the Social and Environmental Sustainability of Stable Diffusion Models
[NO] 49/1000 | Energy-Efficient Software Development: A Multi-dimensional Empirical Analysis of Stack Overflow
[NO] 50/1000 | Demystifying the CVE Ecosystem: Community-Perceived Impacts and Problems
[NO] 51/1000 | RealityCraft: Automated Synthesis of Extended Reality Device Interaction Scripts from Natural Language Instructions
[YES] 52/1000 | From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging
[NO] 53/1000 | Remediating Superfluous Re-Rendering in React Applications
[NO] 54/1000 | An 80-Year Trajectory of Stuart A. Long - His Mentors, Colleagues, Students, Friends, and Family
[NO] 55/1000 | Introduction to the Special Issue on “Blockchain Research and Applications for Innovative Networks and Services (BRAINS 2024)”
[NO] 56/1000 | HATFI-Net: A Hybrid Attention Time-Frequency Interpolation Network for Channel Estimation
[NO] 57/1000 | Performance Comparison of Planar, Cylindrical, and Spherical Fabry-PéRot Cavity Antennas for mmWave Applications
[NO] 58/1000 | ADC-Free Compute-in-Memory for Error-Resilient and Energy-Efficient AI Accelerators
[NO] 59/1000 | Distributed Safety-Aware Motion Planning for Dual-Arm Systems Via Gaussian Belief Propagation With Application to Catenary Dropper Assembly_supp1-3732969.mp4
[NO] 60/1000 | Additively Manufactured Multilayer Fan-Out Interposer
[NO] 61/1000 | An Improved YOLOv8 Object Detection Method With Dual Attention and Adaptive Weighting
[NO] 62/1000 | Surface Integral Equation Simulation of Acoustic Metasurfaces with Willis Impedance Boundary Conditions
[NO] 63/1000 | Orbital-Aware S-Band Payload-Data Downlink and Antenna Integration Assessment for USMSpace-1
[NO] 64/1000 | Spatial-Only Representations for Multi-Channel Speaker Diarization
[NO] 65/1000 | Localization of Distributed Phased Array Antennas in Partially Connected Networks Using Matrix Completion
[NO] 66/1000 | Physics-Anchored Unsupervised Domain Adaptation for Radio Environment Mapping in Indoor Industrial Environments
[NO] 67/1000 | Intrinsic Cylindrical Lensing: Turning Curvature Into Gain in Flexible Antipodal Vivaldi Antennas
[NO] 68/1000 | Efficient Wideband Beamforming for Full-Duplex Fixed-Subarray Massive MIMO Systems
[NO] 69/1000 | Deep Learning Surrogate Modeling of Body-Area Networks via Equivalent Electromagnetic Sources
[NO] 70/1000 | A GNSS Record-and-Replay Channel Emulator Using an AMD $4 \times 2$ RFSoC
[NO] 71/1000 | Spatiotemporal Prediction of Strong Earthquake Risk in the Sichuan-Yunnan Region Using a GAN-RNN Fusion Model
[NO] 72/1000 | ISSET 2026 TOC
[NO] 73/1000 | Table of Contents
[NO] 74/1000 | HVDC-Enabled Smart Grid Architecture for Long-Distance Renewable Power Transfer and Wide-Area Grid Interconnection
[NO] 75/1000 | Integrating Live Sensor Data and Machine Learning in Digital Twin Simulations
[NO] 76/1000 | A 500-MHz BW Beamforming Chiplet Pair with Analog Approximate-DFT and Dual 10-Gb/s Links
[NO] 77/1000 | A Study on the Prediction of Deformation in Steep Slopes Using an ARIMA-LSTM Hybrid Model with Residual Correction
[NO] 78/1000 | Source-Free Few-Shot Soil Recognition via Vision-Language Token Recalibration
[NO] 79/1000 | Compensation of Platform Magnetic Interference via Coil-Calibrated Physical Model and Attention Network
[NO] 80/1000 | Multi-Bit Based RCS Reduction for Circularly Polarized Phased Array
[NO] 81/1000 | Motion-Aware Kalman Filtering Based Adaptive Beam Tracking for Mmwave Communications in High-Speed Moving Scenarios
[NO] 82/1000 | Design of a Circularly Polarized Crossed-Dipole Antenna with Polarization Agility
[NO] 83/1000 | A Compact SDR Approach for RF Near-Field Wearable Vital Sign Sensing in Non-Contact Healthcare Applications
[NO] 84/1000 | Experimental Verification of an X-band Data Downlink Phased Array Antenna Using Infrared Thermography
[NO] 85/1000 | Transient Modeling of Electromagnetic Interactions with Homogeneous Penetrable Bodies of Revolution Based on Temporal-Domain Electric Field Integral Equations
[NO] 86/1000 | Chirp Signal Controlled Reconfigurable Leaky Wave Antennas Array by Adding Varactors
[NO] 87/1000 | The Effect of Oxygen Exchange Layer on the Switching Properties of Tantalum Oxide RRAMs for In-Memory Computing
[NO] 88/1000 | Genetic Algorithm-Based Optimization of Sparse Phased Array Antennas for Direct-To-Vehicle Satellite Communication
[NO] 89/1000 | Efficient Reconstruction of Homogeneous Penetrable Objects Based on Augmented Surface Integral Equations
[NO] 90/1000 | Before the First Token: Characterizing Affective Modality Conflict through Pre-generation State Patterns
[NO] 91/1000 | Impact of Feed Location on Reflector Integrated Wideband Metasurface Antenna
[NO] 92/1000 | High-Gain Beamforming-Capable Bi-Directional D-Band Transmitarray for FMCW Radar via Integrated Packaging-Aware Multi-Channel AoP
[NO] 93/1000 | A Time-domain Computing-in-memory with twin Bit-cell Array for Efficient Multi-bit Analog MAC Operation
[NO] 94/1000 | Recent AI-Driven Design Advancements in EM Components and Systems of Smart EM Environments
[NO] 95/1000 | Simple Frequency- and Pattern-Reconfigurable Liquid-Metal Antenna with Zero Static Power
[NO] 96/1000 | 2026 International Conference on Unmanned System and Intelligent Technology (USIT)
[NO] 97/1000 | Investigation of the Effects of Photovoltaic Panel Cooling Using Hydroelectric Power Plant Discharge Water on Energy Production and System Efficiency
[NO] 98/1000 | Improved Active Power Tracking Scheme of Hybrid-Synchronization-Controlled Energy Storage Converters
[NO] 99/1000 | Multi-Source Feature Integration for Short-Term Load Forecasting in Off-Grid Residential Microgrids Using Stacked LSTM Networks
[NO] 100/1000 | Resilient Dynamic Event-Triggered Containment Control for Second-Order Nonlinear Multi-Agent Systems Under Hybrid Cyber-Attacks
[NO] 101/1000 | Sstdr-Based Microwave Imaging for Inflammatory Veterinary Disease Detection: a Staged Path Toward Breast Cancer Screening
[NO] 102/1000 | Deep Tactile Learning for Tumor Detection and Depth Classification in Robot-Assisted Surgery
[NO] 103/1000 | A Synchronized Phase-Shifted Time-Multiplexed Uplink Wireless Power and Data Transfer System for Implantable Voltammetry
[NO] 104/1000 | Terramechanics-Aware Adaptive Quadrupedal Locomotion Via Foot-Terrain Interaction Model_supp1-3732903.mp4
[NO] 105/1000 | Compact Dual-Port Self-Duplexing Antenna for Head-Implantable Wireless Medical Devices
[NO] 106/1000 | A Low-Complexity Joint Fractional Delay and Doppler Frequency Estimator for AFDM-Enabled Vehicular LEO-ICAN Systems
[NO] 107/1000 | Gradient-Based PSLL Minimization for Uniformly Excited Sparse Linear Arrays
[NO] 108/1000 | A Hardware-Efficient TinyML-Based Fault Detection Framework for Reliable AI Accelerators
[NO] 109/1000 | Computing Without Learning: An Information-Theoretically Secure Multiparty Evaluation of Deterministic Pushdown Automata
[NO] 110/1000 | Scaling LLMs Via Collaboration: Efficient LLM Inference Across Resource-Constrained Devices
[NO] 111/1000 | Investigating OAM Scattered Fields Using a Scaled Terahertz Time-Domain Spectroscopy Radar System
[NO] 112/1000 | A Practical ULF/VLF Transmitter Based on Earth's Magnetic Field Modulation
[NO] 113/1000 | Json-SysML: A Bidirectional JSON-Based Representation for SysML Models Enabling LLM-Augmented Model-Based Systems Engineering
[NO] 114/1000 | Not All Differences Matter: Variability Exploration of Domain Models via Agentic AI
[NO] 115/1000 | A Language Model-Based Method for Malicious Threat Analysis in Industrial Control Networks
[NO] 116/1000 | CMT-Net: Cross-Modal Multi-Task Learning for Automated Inspection of Integrated Circuits in Printed Circuit Boards
[NO] 117/1000 | Physical Reservoir Computing with Electric Double Layer Transistors for Anomaly Detection using Power Analysis
[NO] 118/1000 | Experimental Evaluation of Polarization-Graded AlGaN/GaN HEMTs With Electric Field Management and Improved Breakdown Performance
[NO] 119/1000 | Characterization of Beam-Squint and Beam-Split Effects in RIS-assisted Multi-Frequency Networks
[NO] 120/1000 | Adaptive Radar for Uncooperative Spectrum Sharing: GLRT Asymptotic Performance
[NO] 121/1000 | Prescribed-Time Tracking Control of Linear Motors with Guaranteed Performance under Uncertainties
[NO] 122/1000 | A Physics-Guided Message Passing Neural Network for Mesh Smoothing in Moving Conductor Eddy Current Simulations
[NO] 123/1000 | Phase-Shifted DR Based HVDC Link Dedicated to Filter-Free Distant Offshore Wind Farms
[NO] 124/1000 | AutoNet: A Two-Stage Router Configuration Recommendation Framework Integrating Structured Semantic Modeling and Constraint Solving
[NO] 125/1000 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[NO] 126/1000 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[NO] 127/1000 | Deep Learning-Based Fault Detection for Chiplet Interconnect Signals
[NO] 128/1000 | Air-gap Field Modulation-Based EMN Model Applied for LNG Pump Cryogenic PMSM
[NO] 129/1000 | TEXMET: A Deep Learning Benchmark for Archaeological Textile Reconstruction
[NO] 130/1000 | The Promise and Pitfalls of GenAI-Powered Mobile Apps: Perspectives from User Reviews
[NO] 131/1000 | Bandwidth Enhancement of Connected Array Antennas Using Controlled Reflection
[NO] 132/1000 | Experimental Validation of FR2 RIS-Assisted Dual-Stream Multi-User OFDMA Communication Testbed
[NO] 133/1000 | Real-Time Network IDS for SOHO Using Hybrid Edge Machine Learning Techniques
[NO] 134/1000 | Unified Small-Signal Modeling and Stability Analysis of a Current-Mode Controlled Three-Level Bidirectional Flying Capacitor Converter
[NO] 135/1000 | A Novel Compact Spherical Phased Array with Omnidirectional Radiation and Beam Scanning for 5G Micro Base Stations
[NO] 136/1000 | A High-Throughput and Low-Overhead FPGA Design and Implementation of a Quasi-Cyclic LT Concatenated Decoder
[NO] 137/1000 | Research on Low Probability of Intercept Technology for Netted LPI Radar System Based on Deep Learning
[NO] 138/1000 | Co-identification of Vibration, Structural Looseness, and Surface Damage in Industrial Equipment Operation Videos
[NO] 139/1000 | Quantifying Trapped-Charge Evolution in High-Temperature β-Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    MOSFETs Using the Charge-Neutrality Point
[NO] 140/1000 | CITPT: A Concurrency-Induced Throughput Phase Transition in Blocking Client–Server Architectures under Extreme Concurrency: An A-MAPSS Based Experimental Study
[NO] 141/1000 | Tree-Based Ensemble Forecasting of PV Generation, Load Demand, and Battery SOC in Tropical Island Microgrids: A Multi-Horizon Cross-Season Evaluation
[NO] 142/1000 | Joint Prediction of SOC and Traction Load for Hybrid Locomotives Based on Multi-task BiLSTM-Attention
[NO] 143/1000 | Smart Integration of Electric Vehicle Charging Infrastructure within Hybrid Renewable Microgrids
[NO] 144/1000 | Small Object Detection Using Improved YOLOv11n
[NO] 145/1000 | Integrated Machine Learning–Based SOC Prediction, Regenerative Energy Optimization, and Battery Health Assessment for Urban Logistics Electric Vehicles
[NO] 146/1000 | Reducing RF Front-End Capacitance Effects on Antenna-Integrated SAR Proximity Sensing
[NO] 147/1000 | Ultrawideband Electromagnetic Interference Shielding Using a Frequency Selective Surface
[NO] 148/1000 | A Cross-Domain Survey of Medical and Remote Sensing Image Registration Methods_supp1-3732595.pdf
[NO] 149/1000 | Beyond UHF RFID: Broadband Characterization of Passive RFID ICs for Application in Reconfigurable Electromagnetic Systems
[NO] 150/1000 | FlowVLA: Visual Chain of Thought-Based Motion Reasoning for Vision-Language-Action Models
[NO] 151/1000 | Women in Antennas and Propagation: A European Perspective
[NO] 152/1000 | A Technology Difference Identification Method Based on BERTopic and Cosine Similarity
[NO] 153/1000 | Design and Analysis of an Ultrawideband Probe-Fed Conformal Array Antenna for High-Power RF Applications
[NO] 154/1000 | A Novel Dual-Polarization, Ultra-Thin, Air-Gap-Free Energy-Selective Surface
[NO] 155/1000 | Optimized Ensemble Deep Learning for User Load Forecasting and Residual-Based Anomaly Detection
[NO] 156/1000 | Early sound-based meal onset detection using Hidden Markov Models (HMMs)
[NO] 157/1000 | Computationally-Tractable Synthesis of an MXene Metamaterial Absorber with a 3D-Printable Spatially Variable Substrate by a Local Approach
[NO] 158/1000 | Personalized Blood Pressure Estimation with a Topological Prior Vector from Minimal Per-Subject Data
[NO] 159/1000 | On the Performance Advantages of Magneto-Dielectric Absorbers
[NO] 160/1000 | Variable-structure Soft Actuator for Multi-mode Grasping
[NO] 161/1000 | Title Page
[NO] 162/1000 | Per-Simon Kildal: Scientific Vision, Innovation, and Lasting Impact in Antenna Engineering
[NO] 163/1000 | Flexible Performance Function Based Time-Varying Formation Control for Second-Order Systems under Safety Constraints
[NO] 164/1000 | A Formal Approach to LLM Hallucination Detection and Mitigation
[NO] 165/1000 | Analytical Model for Electromagnetic-Vibration Prediction in Inverter-Fed Synchronous Reluctance Motor
[NO] 166/1000 | A Compact Dual-Polarized Aperture-in-Aperture Antenna for Concurrent GPS L1 and Ka-Band UAV Application
[NO] 167/1000 | A Noise-Free Method for Generating Speech Adversarial Examples Against ASR Systems
[NO] 168/1000 | FluidTac: A Vision-Based Arrayed Artificial Lateral Line Sensor for Underwater Ego-Motion Estimation
[NO] 169/1000 | AI as an Insider Threat: A Vision of the Future and Conceptual Risk Assessment Model
[NO] 170/1000 | An Adaptive Dispatching Method for Call-Handling Intelligent Agents Based on Multidimensional Features
[NO] 171/1000 | Evaluating Decision Tree Regression and Light-GBM Models for Short-Term Solar Irradiance Forecasting
[NO] 172/1000 | Programmable Notch Synthesis in Multichannel Non-Uniform DT FIR Receivers Using Harmonic Transfer Function Diversity
[NO] 173/1000 | End-to-End GNSS Interference Classification Using CNNs with Neural Engine Acceleration
[NO] 174/1000 | Comparative Study on PSO and Improved Cuckoo-Incremental Conductance for Multi-Peak PV MPPT
[NO] 175/1000 | A PAPR Reduction Method for OFDM Systems Based on CNN and Enhanced Residual Connections
[NO] 176/1000 | MOSAIC-1M: A Large-Scale Multi-Modal Dataset with Automated Semantic Annotations for Visual Content Understanding
[NO] 177/1000 | An ultra-wideband tightly coupled phased array antenna with low-profile and wide-angle scanning
[NO] 178/1000 | A Miniaturized Atomic Clock with Low-Power Mode and Adjustable-Precision 1PPS Synchronization
[NO] 179/1000 | An Ultra-Wideband LDMOS Power Amplifier Based on Filter Network Synthesis Technology
[NO] 180/1000 | A Voltage-Mode Schmitt Trigger Based on A Single VCII and Its Application to A Square/Triangular Wave Generator
[NO] 181/1000 | A 2D Inverse Scattering Method for Metallic Targets Based on the Finite-Difference Frequency-Domain
[NO] 182/1000 | Design of Ku-band Microwave Driver Amplifier for Microwave Photonic Radar Imaging
[NO] 183/1000 | LFFN: A Locality-Aware Feed-Forward Network for Efficient Transformer Architectures
[NO] 184/1000 | GS-YOLO: Lightweight Weed Detection via a Shared Convolutional Detection Head
[NO] 185/1000 | Compact Broadband 2×2 MIMO Array Based on Multi-Mode Resonance for Wireless Communication Systems
[NO] 186/1000 | A Resistorless Electronically Tunable Grounded Inductance Simulator Using Voltage Conveyor Transconductance Amplifiers
[NO] 187/1000 | Texture Attribute-Based Classification of GPR Data Recorded Along Railway Tracks
[NO] 188/1000 | Agentic AI and LLMs for Dynamic Content Generation: an Architectural and Communication Framework for Carbon Footprint Management
[NO] 189/1000 | A Wide Dynamic Range Efficiency-Enhanced Class-D Power Amplifier Using Hybrid Power Control Techniques for LPWAN Applications
[NO] 190/1000 | Physics-Informed Generative Beamforming for Terahertz Holographic Metasurface Antennas
[NO] 191/1000 | WVES: A Weighted Ensemble Framework for Student Mental Health Assessment
[NO] 192/1000 | Design of Ultrawideband Dual-Polarized Base Station Antenna for 2/3/4/5G
[NO] 193/1000 | A Highly Integrated Quantum Wide- field Microscope Based on NV Centers
[NO] 194/1000 | An Accelerated MUSIC Algorithm for GTD Scattering Center Parameter Estimation
[NO] 195/1000 | Long-Horizon Load Stability Testing and Degradation Forecasting for High-Concurrency Cloud Storage
[NO] 196/1000 | Optimizing Loop Inductance via Strategic Decap Placement and Fast Assessment
[NO] 197/1000 | Efficient Electro-Thermal Co-Analysis of GaN HEMTs Based on Neural Network
[NO] 198/1000 | Design and Implementation of System-Independent Data Encryption Software: Case Study of Exploration and Development Data Lake
[NO] 199/1000 | VeriRAG-Agent: A Retrieval-Augmented Agent Framework with Dynamic Tool Calling for Smart Contract Auditing
[NO] 200/1000 | A High Frequency-Selectivity Polarization Converter for X-Band Applications
[NO] 201/1000 | GPR Missing Data Reconstruction via Curvelet-Domain Optimization
[NO] 202/1000 | Multi-Objective Optimization Using LSTM and Genetic Algorithm with Multi-Agent Simulation: Application to Glacier Conservation Planning
[NO] 203/1000 | A Simplified Multi-Port Calibration Method Based on 2-N Switch Matrix De-embedding Using a Single Thru Standard
[NO] 204/1000 | Design of an STM32-Based Smoke Monitoring System Using Dual-Threshold Hysteresis Control
[NO] 205/1000 | A Decoupling Structure Based on Reconfigurable Elements for Wideband Patch Antennas
[NO] 206/1000 | Design of 3-Bit Reconfigurable Intelligent Surface with Wide-Angle Continuous Steering Beams
[NO] 207/1000 | Compact Dual-Band Bandpass Filter With Adjustable Frequency Ratio Using Novel Folded Substrate-Integrated Waveguide Cavities
[NO] 208/1000 | Single-Layer SIW Cavity-Backed Slot Antenna Array Using High-Order Mode
[NO] 209/1000 | Human Respiration Sensing Using 24 GHz Coupled-Resonator Frequency-Scanning Antenna
[NO] 210/1000 | A Low-Profile Shared-Aperture Antenna for High-Performance Base Station Applications
[NO] 211/1000 | Optimizing Structural MRI for Alzheimer's Diagnosis: A Preprocessing Approach Using FSL
[NO] 212/1000 | Factors Influencing the Success of Instructional Management in the Metaverse: A Structural Equation Modeling Approach
[NO] 213/1000 | Design of a Dual-Band Bandpass Filter Based on Spoof Surface Plasmon Polaritons
[NO] 214/1000 | Tighter Security Proof for IBE from MP-LWE Assumption in the Random Oracle Model
[NO] 215/1000 | ConfuGuard: Using Metadata to Detect Active and Stealthy Package Confusion Attacks Accurately and at Scale
[YES] 216/1000 | Write Your Own Code Checker: An Automated Test-Driven Checker Development Approach with LLMs
[NO] 217/1000 | Six Million (Suspected) Fake Stars on GitHub: A Growing Spiral of Popularity Contests, Spams, and Malware
[NO] 218/1000 | FM4MC: Improving Feature Models for Microservice Chains—Towards More Efficient Configuration and Validation
[YES] 219/1000 | SymRadar: PoC-Centered Bounded Verification for Vulnerability Repair
[NO] 220/1000 | FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking
[YES] 221/1000 | TypeCare: Boosting Python Type Inference Models via Context-Aware Re-Ranking and Augmentation
[NO] 222/1000 | Argus: A Multi-agent Sensitive Information Leakage Detection Framework Based on Hierarchical Reference Relationships
[NO] 223/1000 | Towards Understanding and Characterizing Vulnerabilities in Intelligent Connected Vehicles through Real-World Exploits
[NO] 224/1000 | Model Migration by Example (MbEx): Understanding Model Co-Evolution from User Adaptations
[NO] 225/1000 | Sequential Pattern Mining of Fire Incident Escalation and High-Damage Precursors in Central Luzon: a Provincial and Municipal Scale Analysis
[NO] 226/1000 | Disentanglement Multi-Task Learning Based on Hyperbolic Space for Multimodal Sentiment Analysis
[NO] 227/1000 | Uniform Field Coil Design in a Magnetically Shielded Cylinder With Ferromagnetic Coupling Suppression and Coil Constant Constraints
[NO] 228/1000 | Fundamental Limits, Radiation Resistance, and Throughput in Electrically Small Antennas
[NO] 229/1000 | Input-Data Information Preservation and Protocol-Specific Error Mitigation in Noisy Fixed-Parameter Quantum Front Ends: A Reproducible Simulation Study
[NO] 230/1000 | NLOS-Aided Joint OTA Synchronization and Off-Grid Imaging for Distributed MIMO Systems
[NO] 231/1000 | A Physics-Grounded Hybrid Framework for Statistical Prediction of Cavity Scattering Under Interior Uncertainty
[NO] 232/1000 | Design of a Fact-Verification System for Music Theory Question Answering Based on Large Language Models
[NO] 233/1000 | Weighted Readiness Evaluation Algorithm and Modular AI System Design for Cross-Border Foreign Trade SMEs
[NO] 234/1000 | A Survey of Relation Extraction: From Deep Learning to Large Language Models
[NO] 235/1000 | AIHT-MPI: Accelerated Iterative Hard Thresholding via Moore-Penrose Pseudo-Inverse with Conjugate Gradient Refinement for Sparse Signal Recovery
[NO] 236/1000 | Spherical Fuzzy Set Adaptive Decoupling Network: Principled Multi-Task Optimization for Robust Low-Light Image Enhancement
[NO] 237/1000 | Manifold-based Robust Beamforming Design for RIS-Assisted LEO Satellite in SAGIN-ISAC Systems
[NO] 238/1000 | Turbulence-Resilient Multicasting of OAM Beams Using a Hybrid Optical-Electronic Neural Network
[NO] 239/1000 | A New Academic–Industry Partnership Grant and the Last IERA Award [Industry Activities]
[NO] 240/1000 | Table of Contents
[NO] 241/1000 | Enhanced Double-PWM Control of TAB Converters for Full-Range ZVS and Reduced Conduction Loss
[NO] 242/1000 | Connectivity-Aware UAV Path Planning with Continuous Action Modeling in Variable Altitude Urban Scenarios
[NO] 243/1000 | Introduction to the Special Issue on Game Advertising
[NO] 244/1000 | CISAT 2026 Author Information Page
[NO] 245/1000 | Table of Contents
[NO] 246/1000 | On the Generalization of Deepfake Detection under Limited Supervision
[NO] 247/1000 | DeFT: Maintaining Determinism and Extracting Unit Tests for Autonomous Driving Planning
