[2026-08-17 22:23:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-16
正在获取论文...
[ACM] 2026-8-17 | Introduction to the Special Section on USENIX FAST 2025
[IEEE] 2026-8-17 | Cross-View Token-Enhanced Neural Radiance Fields for Sparse-View Novel View Synthesis
[IEEE] 2026-8-17 | An Elastic Memory Path Guidance-based Navigation System for Vascular Interventional Robots
[IEEE] 2026-8-17 | Experimental Identification of Motor Parameters for Energy-Efficient Kite Traction Systems
[IEEE] 2026-8-17 | Cognitive State Recognition Model and Adaptive Control Mechanism of Elderly-Friendly Immersive Interactive System
[IEEE] 2026-8-17 | Mitigating Load Intermittency for BESS Integration: A Novel Hybrid Harmony Search-Fuzzy Forecasting Approach in a Jakarta Commercial Office Building
[IEEE] 2026-8-17 | AIGC Style Transfer and High-Fidelity Image Generation Method for Zhuang Brocade Patterns Based on Controlnet and Style-Decoupled Loss Function
[IEEE] 2026-8-17 | Role-Based Agentic AI for Intent-Driven Network and Service Orchestration
[IEEE] 2026-8-17 | Stability-Constrained Machine Learning for Decision Making Under Limited Data
[IEEE] 2026-8-17 | Cascaded MPC with Kinematic-Dynamic Dual-ESO for Trajectory Tracking of Tracked Vehicles
[IEEE] 2026-8-17 | Impact Assessment Model for Neuro-Symbolic AI Security Attacks
[IEEE] 2026-8-17 | Disease-Aware Image Captioning for Mango Leaf Disease Identification Using a Hybrid EfficientNet-LSTM Framework
[IEEE] 2026-8-17 | Development of a Web-Based Digital Twin Module for Smart Manufacturing and Logistics
[IEEE] 2026-8-17 | Hybrid Jaya-Differential Evolution Algorithms for Engineering Design Optimization Problems
[IEEE] 2026-8-17 | MindEcho: A Psychological Stress Perception and Early Warning System for College Students Based on Multi-Source Text Mining
[IEEE] 2026-8-17 | Physics-Informed Neural Networks Integrating Learnable Scaling Factors with Hard Constraints and its Application in Nuclear Reactor Criticality Calculations
[IEEE] 2026-8-17 | Dynamics of Soil Fertility and Intelligent Irrigation Control in a Portable IoT-Based Smart Farming System
[IEEE] 2026-8-17 | Time Series Data Preprocessing and Comparative Machine Learning Study for Temperature Prediction Using Meteorological Data
[IEEE] 2026-8-17 | Low-Light Image Decoupling Feedback Enhancement Network Based on Channel-Independent Windmill Convolution
[IEEE] 2026-8-17 | Deep Multi-Modal Learning for Automated Categorization and Evidence Triaging in Large-Scale Drone Forensic Archives
[IEEE] 2026-8-17 | Detecting AI-Generated Phishing Campaigns Using Linguistic Forensics and Machine Learning
[IEEE] 2026-8-17 | EmotioNetASD: Smart Emotion Check for Children with ASD Using Attention Based Deep Learning
[IEEE] 2026-8-17 | Personal Voice Training System for Chorus with Audio and Visual Information
[IEEE] 2026-8-17 | Hybrid Data-Driven and Knowledge-Informed Multisensor Fusion for Failure Mode Forecasting in Power Plant Heat Exchanger
[IEEE] 2026-8-17 | SELayerV2: Grouped Multi-Branch Channel Attention for Fine-Grained Fire Detection
[IEEE] 2026-8-17 | Performance and Reliability Evaluation of Radiation hardened NanoSheet FET
[IEEE] 2026-8-17 | Comprehensive Performance Evaluation of Marine Organism Object Detection Models Based on Combined Subjective-Objective Weighting
[IEEE] 2026-8-17 | Decoupling Clutter Suppression and Target Localization: A Two-Stage Framework for Robust Radar Detection
[IEEE] 2026-8-17 | Accelerating SAM2 with Efficient Memory Attention Module via Spatiotemporal Token Pruning_supp1-3723878.pdf
[IEEE] 2026-8-17 | SRasP: Self-Reorientation Adversarial Style Perturbation for Cross-Domain Few-Shot Learning
[IEEE] 2026-8-17 | Deep Reinforcement Learning for Aviation Assembly via Multi-criteria Optimization
[IEEE] 2026-8-17 | Vulnerability-Seeded Code Synthesis for Benchmarking Static Analysis Security Tools
[IEEE] 2026-8-17 | Segmentation of Oral and Skin Cancer Tissues using a Lightweight Agentic Iterative Refinement Network (AIRNet)
[IEEE] 2026-8-17 | Copyright Page
[IEEE] 2026-8-17 | Anomaly Based Zero-Day Attack Detection in IoT Systems with Honeypot Based Data
[IEEE] 2026-8-17 | Zero-Shot Prompt Injection Detection via N-gram Pooling of Token-Level Hidden States
[IEEE] 2026-8-17 | NET-Tracker: A Service Oriented IP State Traceback for Inter Autonomous Systems
[IEEE] 2026-8-17 | Complexity vs. Robustness: A Rigorous Benchmarking of Deep Learning Architectures for Cross-Domain Urban PM2.5 Forecasting
[IEEE] 2026-8-17 | WaveMan: mmWave-Based Room-Scale Human Interaction Perception for Humanoid Robots_supp1-3715746.pdf
[IEEE] 2026-8-17 | An IoT-Based Real-Time Monitoring System for Municipal Solid Waste Mini-Incinerators
[IEEE] 2026-8-17 | RobotMover: Learning to Move Large Objects from Human Demonstrations_supp1-3723958.mp4
[IEEE] 2026-8-17 | Design and Implementation of an IOT-Based Smart Electrical Monitoring and Control System Using the SDLC Approach
[IEEE] 2026-8-17 | An Interleaving Concept for Resolution Enhancement of Multi-Hit Time-to-Digital Converters for Time-of-Flight Sensor Applications
[IEEE] 2026-8-17 | An Improved Method for Target Detection in Coal Mine Drilling Sites Under Complex Environments
[IEEE] 2026-8-17 | Descriptor Observer for Conformable Fractional Lorenz Synchronization with Algebraic Signal Recovery
[IEEE] 2026-8-17 | Biomechanical Sensitivity Evaluation of Dynamic Suspension Systems Under Stochastic Road Profiles Using ISO 8608 and ISO 2631 Frameworks
[IEEE] 2026-8-17 | Adaptive Sliding Mode Control with Barrier Function for Sensorless IVC IM Drive of Multi-Source Hybrid Electric Vehicles
[IEEE] 2026-8-17 | Signal Detection under Composite Hypotheses with Identical Distributions for Signals and for Noises
[ACM] 2026-8-17 | On Recursion in Graded Modal Type Theory
[IEEE] 2026-8-17 | Biomechatronics Approach in User Experience: A Pilot Study Using Eye-Tracker on a Single-Participant Multi-Task E-Commerce Interaction
共写入 1000 条记录，保存到 papers/paper2026-08-16.json。
论文获取成功，文件路径: papers/paper2026-08-16.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Introduction to the Special Section on USENIX FAST 2025
[NO] 2/1000 | TerraGrow: a Stochastic Farming Simulation for Sustainable Agricultural Education
[NO] 3/1000 | Zero Trust Architecture
[NO] 4/1000 | Uncertainty-Aware Feature Selection for Vehicle-to-Grid Forecasting: Set-Membership Falsification Area as a Selection Criterion
[NO] 5/1000 | Enhancing YOLOv11 for Over-Dimension Truck Detection Using Complementary Attention Mechanisms
[NO] 6/1000 | DC Analysis of Al
                    <sub>x</sub>
                    In
                    <sub>y</sub>
                    Ga
                    <sub>1−x−y</sub>
                    N based DDR IMPATT diode for THz Applications
[NO] 7/1000 | A Comparative Experimental Study of Traditional, Semantic, and Deep Learning-Based Image Retrieval Techniques
[NO] 8/1000 | LAAS-UAV: A Lightweight Authentication and Authorization Scheme for UAV-Assisted IoT Framework
[NO] 9/1000 | Advanced Deep Learning Methods for Cardiovascular Disease Prediction Using Wearable Data: A Multi-Modal Fusion Approach
[NO] 10/1000 | Analysis of Vibrational Characteristics During Contact with Surfaces of Different Geometries Using Sensor-Embedded Dummy Finger
[NO] 11/1000 | Development of Intelligent Methods to Enhance VPN Security: Literature review
[NO] 12/1000 | Empowering Healthcare with LaBSE and GPT-4: A New Era in Medical Question Answering
[NO] 13/1000 | A Multimodal Emotion Recognition from EEG and EOG using ERP and Spectral Features
[NO] 14/1000 | Robust Actuator LOE Fault Estimation for Quadrotor UAVs Using SVSF and Adaptive Fault Update Law
[NO] 15/1000 | On-Chip Stacked Transformer in a Low-Noise Amplifier for Cryogenic Environments
[NO] 16/1000 | Data-Driven Behavioral Modeling of Mutual and Self-Inductance in Wireless Power Transfer Coils
[NO] 17/1000 | Real-Time EEG-Based Brain-IoT Interface Using Multi-Channel Motor Cortex Analysis and Ensemble SVM Classification
[NO] 18/1000 | XGBoost-Based Context-Aware Waiting Time Prediction from Incomplete Lifecycle Logs
[NO] 19/1000 | A Holonic Multi-Agent Approach for Thermal Comfort and Energy Efficiency in Smart Buildings
[YES] 20/1000 | AI-Powered Anomaly Detection in Public Procurement Using NLP and Structural Analysis of Kazakh Government Contracts
[NO] 21/1000 | Handwritten Answer Evaluation Using Optical Character Recognition and Deep Semantic Text Analysis
[YES] 22/1000 | PRED: Probabilistic Routing Expert Diffusion for High-Level Design of Sigma-Delta Modulators
[NO] 23/1000 | Private Browsing Under the Microscope: Residual Artifacts in Firefox
[NO] 24/1000 | Optimization of Marine Propellers Efficiency Using Metaheuristics: A Comparative Study
[NO] 25/1000 | Reinforcement Learning-Enhanced Sliding Mode Control for Robust SCARA Robot Trajectory Tracking
[NO] 26/1000 | Machine-Learning-Aided Screening of Heat-Network Renewal Pressure in Kazakhstan's CHP-Linked Power System during the Green-Economy Transition
[NO] 27/1000 | Stepwise Final-Approach Control for Electromagnetically Constrained Underwater Docking
[NO] 28/1000 | Dual-Beam Dual-Circularly Polarized Leaky Elliptical Waveguide Antenna With 2×2 MIMO Capability
[NO] 29/1000 | Deep Learning for Stroke Mortality Prediction in eICU: A Dual-Tower Transformer Framework
[NO] 30/1000 | Road Type Prediction System Using Machine Learning Method Based on Voltage and Current Data of Steering DC Motor
[YES] 31/1000 | Workload-Aware Early-Stage Power Delivery Network Optimization via Architectural Power Traces
[NO] 32/1000 | Developing a Framework for Analysis of WPA3 and Router Attacks
[NO] 33/1000 | Hybrid STSMC Observer and AI-Based Anomaly Detection in Smart Grids with EV Integration
[NO] 34/1000 | Bamboo Slips Scribe Verification Based on Multi-Scale Dynamic Routing and Dual-Sparse Channel Attention
[NO] 35/1000 | LLM-Driven Resource Optimization for Multi-Cell Secure ISAC Systems
[NO] 36/1000 | A Comparative Study of Bayesian Contextual Bandits for Real-Time Warehouse Sorter Optimization
[NO] 37/1000 | Electro-Optic Modulator Control of Multi-Mode Photonic Processing Units for Optical Quantum Computing
[NO] 38/1000 | GCON 2026 Breaker Page
[NO] 39/1000 | A Novel Electromagnetic Flexible Clamping Mechanism for Vascular Interventional Surgery Robot
[NO] 40/1000 | Task-Oriented Multi-Objective Optimization of a Redundant Manipulator for TBM Cutter Replacement
[NO] 41/1000 | Ship Collision Avoidance Behavior Extraction Based on AIS Data and Attention Mechanism
[NO] 42/1000 | A Credibility-Aware Multi-Source Decision-Level Fusion Framework for Performance Evaluation of Submersible Pumps
[NO] 43/1000 | A Novel 1650Nm Tunable DFB Laser Featuring a Dual-electrode Structure
[NO] 44/1000 | Design and Evaluation of A Hybrid-Actuated Floating-Based Upper-Limb Rehabilitation Robot
[NO] 45/1000 | Improvement in Cutting Performance and Surface Quality of TC18 Titanium Alloy via Ultrasonic-Assisted Vibration Peripheral Milling under Dry Cutting Conditions
[NO] 46/1000 | Novel Unipolar Stacked FET (USFET) Architecture Enabled by Tri-Layer Dummy Gate, Quasi-GAA SD Process, and Interconnect Innovations
[NO] 47/1000 | Causally Explainable and Responsible AI: Safety-Critical Intelligent Transportation Systems
[NO] 48/1000 | Dynamic Path Planning Based on Direction-Aware Time-Varying Risk Field for Mobile Robots
[NO] 49/1000 | Modeling and Side-Channel Attack Resistant VGSOT-MTJ PUF Using ML and DL Analysis
[YES] 50/1000 | Research on a Rule-Driven Diagnosis and Automatic Refactoring Framework for IEC 61131-3 XML Control Programs
[NO] 51/1000 | Investigation of Deep Learning Image Processing Algorithms for Real-Time Video Analytics
[NO] 52/1000 | Digitally Integrated Modular DWS-WEDM Compound Wire-Cutting System with Active Tension Control
[NO] 53/1000 | Gesture Recognition Using Tapered Double C-Shaped Polymer Optical Fiber for Multi-Scenario Human-Computer Interaction_supp1-3724049.mp4
[NO] 54/1000 | An IoT-Enabled Smart MPPT-Controlled Photovoltaic-Solid Polymer Electrolyte System for Real-Time Optimized Hydrogen Production
[NO] 55/1000 | Comments by the Editors
[NO] 56/1000 | Decentralized Edge Learning Under Weak Smoothness: A Normalized Random Walk Gradient Approach
[NO] 57/1000 | light-YOLOv26: A Lightweight Object Detector with Enhanced Feature Aggregation for Breast Lesions
[NO] 58/1000 | LLM-GRU-GAN: a Multi-Modal Adversarial Framework for Transactional Fraud Detection
[YES] 59/1000 | GenAI for Reproducibility: Auto-Benchmarking Legacy (Hardware) Research – A Perspective
[YES] 60/1000 | Exact Fringe Capacitance Modeling via Schwarz–Christoffel Mapping: A Kirchhoff Benchmark for Parallel Plates
[NO] 61/1000 | Mobile Agent approach to search for distributed information using fuzzy logic set
[NO] 62/1000 | The Joys, Challenges, and Value of Academic Collaboration: Experiences and insights from a personal journey. [Young Professionals]
[NO] 63/1000 | EchoST-SSL: Self-Supervised Spatiotemporal Representation Learning for Label-Efficient Processing of Echosounder Data_supp1-3720358.pdf
[NO] 64/1000 | Fault Detectability for Learning-Augmented LPV Systems
[NO] 65/1000 | A Study on Laser SLAM Technology and Interactive Guided Vehicle Systems in Complex Campus Environments
[NO] 66/1000 | Neighborhood difference-based passive localization with automatic annotation in visible light sensing
[NO] 67/1000 | GR-Net: Robust Gravitation &amp; Repulsion Fusion Network for End-to-End Audio-Visual Speech Recognition
[NO] 68/1000 | An Ultra-Wideband Quad-Mode-Composite Complementary Source Antenna Array for B5G/6G Millimeter-Wave Applications
[YES] 69/1000 | Assertions for Free: Transferring Invariants from Algorithm to Implementation Proofs (Functional Pearl)
[YES] 70/1000 | Set-Theoretic Types for Erlang in Practice (Experience Report)
[NO] 71/1000 | Spatio-Temporal Tube Self-Attention Mechanism for Quality Assessment of Skiing Actions
[NO] 72/1000 | A Hybrid DenseNet–Vision Transformer Framework for Diabetic Retinopathy Classification
[NO] 73/1000 | Open-Source Intrusion Detection and Prevention System for Small Home and Office Networks Using Suricata and OpenCanary on Raspberry Pi
[NO] 74/1000 | Ergonomics-Oriented Optimization of Master Console Layout and Manipulator Configuration for Minimally Invasive Surgical Robots
[NO] 75/1000 | Development and Evaluation of a Posture Monitoring and Feedback System for Improving Posture Awareness and Reducing Sedentary Behavior
[NO] 76/1000 | Implementation of Ant Colony Optimization for UAV Waypoint Ordering Optimization with CoppeliaSim Simulation Validation
[NO] 77/1000 | Structural Adaptation Risk in AI-Enabled Security Systems: Framework for Architecture-Centric Control
[NO] 78/1000 | Hyperparameter Impact Evaluation on LSTM Forecasting Model for Apparent Power Consumption Monitoring in Injection Molding
[NO] 79/1000 | Towards Augmented Security Operations Centers: A Cognitive State-Aware Approach for Proactive Analyst Fatigue Monitoring
[NO] 80/1000 | An Energy-efficient TSO dual-V
                    <sub>dd</sub>
                    22 nm 8T MSD XOR Gate for Gray-to-Binary Encoder Design
[NO] 81/1000 | A Group Denoising Capsule Network for Mechanical Fault Diagnosis
[NO] 82/1000 | UAV-Driven Infrastructural Crack Detection on Concrete Surfaces and Severity Classification
[NO] 83/1000 | Vision-Based Predictive Control for Dual-Arm Nonprehensile Transportation
[NO] 84/1000 | Local Stiffness Modeling Method for Thin-Walled Blades Based on Abaqus Secondary Development
[NO] 85/1000 | A Multimodal Model for Classifying Thyroid Nodules by Integrating Ultrasound Images and Clinical Data
[NO] 86/1000 | Evaluating AI Implementation in Government Agencies: A Project Management Approach
[NO] 87/1000 | Hydrodynamic Study of a Coaxial Propulsion System with a Cycloidal-Helical Twin-Screw Configuration
[NO] 88/1000 | Efficient Discovery of Motif Transition Process for Large-Scale Temporal Graphs
[NO] 89/1000 | Incremental Learning Method for Intelligent Identification of Asphalt Pavement Distress Based on YOLOv11
[NO] 90/1000 | Scalable Quantum-Classical DFT Embedding for NISQ Molecular Simulation
[NO] 91/1000 | Phys-LPS: A Physics-Aware TinyML Framework for Latency-Resilient Threat Detection in Smart Grids
[NO] 92/1000 | Fixed-Time Synchronization of Networked Neutral-Type Filippov Systems With Application to RLC Transmission Line Models
[NO] 93/1000 | Fast Multilevel Domain-Decomposition Scheme in Frequency-Domain TLM Method
[NO] 94/1000 | First EurAAP Small Antenna Super-Gain Challenge
[NO] 95/1000 | ROPSCON: Linear BFT From Schnorr Threshold Signatures
[NO] 96/1000 | A Probabilistic Framework for Early-Stage Scalability Analysis in the Software Development Life Cycle
[NO] 97/1000 | HARMONY: Hybrid Aggregation and Reputation Mechanism for Cooperative Federated Survival Analysis
[NO] 98/1000 | Adaptive Variational Mode Decomposition Algorithm Based on PDE Enhancement and its Application
[NO] 99/1000 | Repurposing the
                    <i>Escherichia coli</i>
                    HU as a Universal dsDNA Amplicon Detection Tool
[NO] 100/1000 | Title: Cybersecurity Resilience in SmartCities: A Critical Analysis of IoT Protocols
[NO] 101/1000 | A Three-Objective Optimization for Fuel Cell-Metal Hydride System Cold Start Using MOPSO Algorithm
[NO] 102/1000 | Data-Driven Digital Twin Framework for Predictive Monitoring of Industrial Systems
[NO] 103/1000 | Anomaly Detection in Engineering Systems Using Unsupervised Machine Learning Approaches: A Systematic Comparative Study
[NO] 104/1000 | Real-Time lidar-IMU Odometry for Wheeled Robots via 3D-to-2D Feature Projection
[NO] 105/1000 | Integrated Multi-Layer Cyber-Physical Defense for Resource-Constrained Quadruped Robots
[NO] 106/1000 | Comparative Reliability of Chip-Off and Logical Methods in SSD Forensic Analysis
[NO] 107/1000 | Self-Triggered Model Predictive Control for a 6-DOF Robotic Manipulator: Niryo NED-2
[NO] 108/1000 | Enhancing Encrypted IoT Traffic Classification with Directional-Context and Masked Autoencoder
[NO] 109/1000 | SPLNet: Self-Distilled Progressive Learning Network for Deformable Medical Image Registration
[NO] 110/1000 | Joint Position, Rotation, and Beamforming Optimization for 6DMA Base Stations Assisted by RIS
[NO] 111/1000 | Blind Deconvolution via Game-Theoretic Framework: Adaptive TV-NL and Fractional-Order Derivatives
[NO] 112/1000 | YOLO-EA: A Railway Clearance Foreign Object Intrusion Detection Method Based on YOLO11n
[NO] 113/1000 | Weak Dielectrophoretic Force Measurement Using DEP-Driven Drift of a Confined Micro-Air Bubble in a Liquid-Filled Hollow-Core Fiber
[NO] 114/1000 | Step Wear Analysis Based on Improved Computer Vision and Mathematical Modeling for Infrastructure Condition Assessment
[NO] 115/1000 | Robust Sensorless Diagnosis of Induction-Generator Wind Energy Systems Using Online Stator-Resistance Estimation
[NO] 116/1000 | Robust Object Detection via GAN-Based Data Augmentation
[NO] 117/1000 | LSCD-LQE-YOLO: Channel-Attended Features and Quality-Weighted Localization for Fine-Grained Oriented Aircraft Detection in Optical Remote Sensing Imagery
[NO] 118/1000 | Path Planning for Mobile Robots Based on the Integration of Improved A* and DWA
[NO] 119/1000 | Detection and Mitigation of Data Poisoning in Financial LLMs Using a Hybrid Static-Dynamic Framework
[NO] 120/1000 | An Early Warning System for Systemic Cyber Risk in Banking Sectors Using Machine Learning and Network Analytics
[NO] 121/1000 | Energy-Efficient Autonomous Robot Navigation Using a BWO-Optimized Energy A-Star and Fuzzy-PID Control
[NO] 122/1000 | Comparative Analysis of CNN-TDNN and CNN-LSTM Architectures for Voice Activity Detection under Low Signal-to-Noise Ratio Conditions
[NO] 123/1000 | Design and Real-Time Implementation of an Autonomous Indoor Navigation System for Service Robots
[NO] 124/1000 | Shannon Entropy Based DDoS Attack Detection Using Adaptive Threshold
[NO] 125/1000 | Adapting Monocular 3D Object Detectors to Fisheye Images
[NO] 126/1000 | Anomaly Detection Based on Deep Learning in Sales Gas Compressor Sensor Reading Systems for Predictive Maintenance
[NO] 127/1000 | CoPL: Counterfactual Offline Policy Learning via Large Language Models
[NO] 128/1000 | Trusted Collaborative Method for Multi-Agent Semantic Strategy Based on Reversible Data Hiding
[NO] 129/1000 | A Review of Data-Driven Co-Speech Gesture Generation: Methods, Datasets, and Challenges
[NO] 130/1000 | Model-Based Fault-Tolerant Control for Automotive Traction Motors
[NO] 131/1000 | FAST-TCN: A Frequency-Aware Spatio-Temporal Network for sEMG-Based Continuous Motion Prediction in Upper Limb Rehabilitation Robotics
[NO] 132/1000 | A Frequency-Guided Edge-Texture Dual-Assisted Camouflaged Object Detection Method
[NO] 133/1000 | Hyperspectral Anomaly Detection: A Benchmark
[NO] 134/1000 | Artificial Intelligence Integration as a Catalyst for SMEs Transformation: Determinants and Performance Impact
[NO] 135/1000 | Package Managers à la Carte: A Formal Model of Dependency Resolution
[YES] 136/1000 | Demand-on-Demand Control-Flow Analysis
[YES] 137/1000 | Automation Design flow of Analog Circuits
[NO] 138/1000 | FJID: Fast Joint Intra-Channel and Inter-Channel Variation Demosaicing for Bayer Pattern
[NO] 139/1000 | Design of a Conveyor-Based Material Handling System for Extruder-to-Molding Transfer in Roof Tile Manufacturing
[NO] 140/1000 | Conditioned Hybrid-Action Reinforcement Learning for Joint Task Offloading and Resource Allocation in MEC
[NO] 141/1000 | An Optimized DenseNet-121 Framework for Highly Sensitive and Interpretable Pneumonia Detection from Chest X-Rays
[NO] 142/1000 | Obstacle Modeling and State Estimation for Mobile Robots Toward Real-World Deployment of Non-Reciprocal ORCA
[YES] 143/1000 | Pre-Silicon Side-Channel Leakage Detection and Localization in ECC-Based ECDH Hardware
[NO] 144/1000 | 3D Radio Environment Map Reconstruction Under Sparse Sampling Scenario via Bayesian Neural Fields
[NO] 145/1000 | DRISHTIKON-P: A Multilingual Dataset for Evaluating Semantic Consistency in Indic Vision Language Models
[NO] 146/1000 | Predicting Particulate Matter 2.5 Concentration in Beijing Using Weather and Pollution Indicators With Machine Learning
[NO] 147/1000 | Air-to-Ground Channel Measurement and Analysis in Low-Rise Building Obstructed Scenarios
[NO] 148/1000 | Author Index
[NO] 149/1000 | A Comparative Preliminary Study of HGS, PSO and GWO for ECG Feature Selection in Arrhythmia Classification
[NO] 150/1000 | Motor Imagery Eeg Classification Based on Sub- Band Common Spatio-Spectral Patterns and Adaptive Feature Ranking
[NO] 151/1000 | Early Forest Fire and Smoke Detection: Comparative Study of YOLO Framework
[NO] 152/1000 | Cross-Modal Feature Enhancement Based DIBR 3D Image Watermarking
[NO] 153/1000 | Preserving Forensic Indicators in Mobile Text Preprocessing: An Android 15 Case Study
[NO] 154/1000 | Stress Identification from Facial Thermal Images using FTS-Net
[NO] 155/1000 | Wavelength-Invariant E-band Nanolasers Enabled by Area-Compensated Quasi-Bound States in the Continuum Metasurfaces
[NO] 156/1000 | Spatiotemporal Characteristics of Compound Hot-Dry Events and Lagged Impacts on Vegetation Productivity in Central Asia
[NO] 157/1000 | Short-term electric load forecasting based on improved black-winged kite algorithm
[NO] 158/1000 | Human–Machine Interface Design for Smart Modular Fitness Systems: A User-Centered Approach Integrating Usability, Interaction, and Adoption
[NO] 159/1000 | A Novel Approach Based on Transformer Autoencoder for Multivariate SCADA Sensor Reconstruction in Wind Turbines
[YES] 160/1000 | 2026 22nd International Conference on Synthesis, Modeling, Analysis and Simulation Methods, and Applications to Circuits Design (SMACD)
[NO] 161/1000 | Design of Fractional-Order Sliding Mode Control Optimized by Genetic Algorithms for Tracking Error Minimization
[NO] 162/1000 | Design and Evaluation of an AI-Based Journaling and Emotional Support Prototype
[NO] 163/1000 | UAV-Enabled Covert ISAC with Hardware Impairments and Imperfect CSI
[NO] 164/1000 | Research on Health Assessment of Nuclear Power RCV Pumps Based on Physics-Informed NTKAN
[NO] 165/1000 | Modeling of the Longitudinal Dynamic Braking System for a High-Speed Train
[NO] 166/1000 | Development of ML model for triboelectric nanogenerator based sign language detection system
[NO] 167/1000 | A Low-Cost Open-Source Private 5G Lab Testbed Design
[NO] 168/1000 | Towards Predictive Maintenance 5.0: Life Cycle Sustainability Assessment of Enabling Technologies
[NO] 169/1000 | Stanza-Level Sentiment Analysis with Poem-Level Aggregation for Menglongshi
[NO] 170/1000 | Bring Your Own Encryption (BYOE) in Government and Enterprise Systems: Architecture, Benefits, and Challenges
[NO] 171/1000 | A Hybrid Graph Reinforcement Learning Approach for Resilience Planning Under Dynamic Uncertainty in Import Fertilizer Supply Chains
[NO] 172/1000 | RailSC-YOLO: Lightweight Surface Defect Detection for Railway Metal Components
[NO] 173/1000 | A Frequency-Aware Multi-Stream CNN Approach for Diabetic Foot Ulcer Detection
[NO] 174/1000 | The Impact of Agent-Inspired Rule Layers on ML Intrusion Detection
[NO] 175/1000 | Tiny Impurity Detection in Baijiu Bottles using YOLOv8s-P2 and Dark-Field Imaging
[NO] 176/1000 | A Deterministic PDE Backstepping Observer for Visual Delay Compensation in Optoelectronic Tracking
[NO] 177/1000 | Self-Supervised Deep Learning for Early Detection of Voice Pathologies
[NO] 178/1000 | Radio Map Construction Using Graph Neural Network with Adaptive Sampling
[NO] 179/1000 | A Study of API Security Attacks, Vulnerabilities, and Mitigation Techniques
[NO] 180/1000 | Trie Based Spell-Checker for English, Hindi, Bengali and Manipuri
[NO] 181/1000 | KAN-FND: Global-Local Attention for Interpretable Multi-Domain Fake News Detection
[NO] 182/1000 | Loss Reduction and Excitation Optimization of High-Power Wound Rotor Synchronous Machine with Profiled Magnetic Slot Wedges
[NO] 183/1000 | Dissipative Feedback and Hybrid Lyapunov-Reinforcement Learning Control for NV-Center Quantum Sensing
[NO] 184/1000 | Object-Consistent Distillation for Text-to-3D Generation
[NO] 185/1000 | Deep Learning for Mobility Management in Next-Generation Wireless Networks: Models, Applications, and Challenges
[NO] 186/1000 | Elastic Constrained Decision Transformer for Energy-Efficient UAV-Assisted Communications
[NO] 187/1000 | Energy-Aware Control Optimization Strategies for Multimodal Collaborative Robotic Platforms
[NO] 188/1000 | Pavement Marking Damage Assessment Method Based on Oriented Object Detection
[NO] 189/1000 | Fast Design of Fuel-optimal Maneuver Trajectories for Satellite Constellations via a Hybrid Binary Classification and Physics-regularized Neural Network
[NO] 190/1000 | Direction-Constrained Control for Efficient Physical Human–Robot Interaction Under Hierarchical Tasks
[NO] 191/1000 | The Digital Twin as a Mechanism for Continuous Cybersecurity Policy Verification: A Functional Analysis of the Policy-to-Practice Translation
[NO] 192/1000 | Road Defect Detection with Transformer Using Contrastive Learning and Adaptive Computing
[NO] 193/1000 | Author Index
[NO] 194/1000 | Real-time Dense 3D Reconstruction of Non-rigid Objects for Robotic Manipulation: A Mask-constrained Two-stage Fast Upsampling Framework from a Single RGB-D Stream
[NO] 195/1000 | Filter Bank Multicarrier System Analysis in the Presence of IQ Mismatch
[NO] 196/1000 | Efficient Autonomous Target Search for AUV in Unknown Environments Based on a Hierarchical Planning Architecture
[NO] 197/1000 | Deepfakes and identity theft in the age of AI
[NO] 198/1000 | A Spatial-Frequency Enhanced U-Net With Residual Gated Fusion for Hyperspectral Image Denoising
[NO] 199/1000 | Spatially Adaptive Expert Routing and Multi-Scale Semantic Alignment for Cross-View Geo-Localization
[NO] 200/1000 | A Context-Based Keyframe Extraction Method for Action Videos
[NO] 201/1000 | Real-Time Yoga Pose Detection and Correction Using Deep Learning and Machine Learning
[NO] 202/1000 | R-T-OLSR: A Hybrid Routing Protocol for UAV Emergency Networks with Routing Repair Mechanism
[NO] 203/1000 | The Design of Internet of Things Control Box for Smart Greenhouses in Cold Regions
[NO] 204/1000 | A Reinforcement Learning Framework for Shear Wave Velocity Map Reconstruction in Ultrasound Elastography
[NO] 205/1000 | Multimodal Analysis of Voice, Gait and Handwriting Signals for Parkinson Disease Detection
[NO] 206/1000 | Design and Implementation of a PID-Based Automated Fan–Mist Control System for Thermal Comfort in Open-Space Restaurants
[NO] 207/1000 | Keynote Speaker
[NO] 208/1000 | A Semantic-Consistent Privacy Middleware for MCP-Driven Penetration Testing
[NO] 209/1000 | Toward a Digital Twin Framework for Environmental Surveillance
[NO] 210/1000 | Failure Mechanism Analysis of Key Rotor Components in High-Speed Permanent Magnet Generators
[NO] 211/1000 | Reliability Aware Gaussian Splatting for Dynamic Sensor Platform SLAM
[NO] 212/1000 | An Explainable Multi-Modal AI Framework for Automated Crime Scene Analysis and Forensic Reporting
[NO] 213/1000 | SKC2PSA-SimLite: A Lightweight Tail Semantic Enhancement for YOLOv11n in Shore-Based Water-Surface Floating Object Detection
[NO] 214/1000 | Path Planning and Control Strategy of Offshore Photovoltaic Cleaning Robot
[NO] 215/1000 | Improving Next-Best View Discrete Network with Continuous Coverage Gains for Object Reconstruction
