[2026-02-10 09:46:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-09
正在获取论文...
[arXiv] 2026-02-09 | GaussianCaR: Gaussian Splatting for Efficient Camera-Radar Fusion
[arXiv] 2026-02-09 | A Methodology for Effective Surrogate Learning in Complex Optimization
[arXiv] 2026-02-09 | Omni-Video 2: Scaling MLLM-Conditioned Diffusion for Unified Video Generation and Editing
[arXiv] 2026-02-09 | Bayesian Preference Learning for Test-Time Steerable Reward Models
[arXiv] 2026-02-09 | Permissive-Washing in the Open AI Supply Chain: A Large-Scale Audit of License Integrity
[arXiv] 2026-02-09 | Benchmarking the Born-Oppenheimer approximation with the Gaussian expansion method for doubly heavy hadrons
[arXiv] 2026-02-09 | How2Everything: Mining the Web for How-To Procedures to Evaluate and Improve LLMs
[arXiv] 2026-02-09 | CI-groups for ternary structures
[arXiv] 2026-02-09 | A Generic Service-Oriented Function Offloading Framework for Connected Automated Vehicles
[arXiv] 2026-02-09 | Addressing data annotation scarcity in Brain Tumor Segmentation on 3D MRI scan Using a Semi-Supervised Teacher-Student Framework
[arXiv] 2026-02-09 | A Multi-objective Evolutionary Algorithm Based on Bi-population with Uniform Sampling for Neural Architecture Search
[arXiv] 2026-02-09 | Clique-Based Deletion-Correcting Codes via Penalty-Guided Clique Search
[arXiv] 2026-02-09 | Distortion of Metric Voting with Bounded Randomness
[arXiv] 2026-02-09 | Fundamental Limits of Community Detection in Contextual Multi-Layer Stochastic Block Models
[arXiv] 2026-02-09 | $d$-Wave Surface Altermagnetism in Centrosymmetric Collinear Antiferromagnets
[arXiv] 2026-02-09 | Dynamics Within Latent Chain-of-Thought: An Empirical Study of Causal Structure
[arXiv] 2026-02-09 | Primordial features as probes of baryogenesis from supersymmetric flat directions
[arXiv] 2026-02-09 | The equivalence of quantum deletion and insertion errors on permutation-invariant codes
[arXiv] 2026-02-09 | Partition theorems for Ketonen-Solovay largeness
[arXiv] 2026-02-09 | Passivity-exploiting stabilization of semilinear single-track vehicle models with distributed tire friction dynamics
[arXiv] 2026-02-09 | Josephson diode and spin-valve effects on the surface of altermagnet CrSb
[arXiv] 2026-02-09 | Redundancy-Free View Alignment for Multimodal Human Activity Recognition with Arbitrarily Missing Views
[arXiv] 2026-02-09 | Large Language Lobotomy: Jailbreaking Mixture-of-Experts via Expert Silencing
[arXiv] 2026-02-09 | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models
[arXiv] 2026-02-09 | Algorithmic Governance in the United States: A Multi-Level Case Analysis of AI Deployment Across Federal, State, and Municipal Authorities
[arXiv] 2026-02-09 | Rotated Lights for Consistent and Efficient 2D Gaussians Inverse Rendering
[arXiv] 2026-02-09 | Data Reconstruction: Identifiability and Optimization with Sample Splitting
[arXiv] 2026-02-09 | PERSPECTRA: A Scalable and Configurable Pluralist Benchmark of Perspectives from Arguments
[arXiv] 2026-02-09 | Weighted Hardy-Sobolev type inequalities with boundary terms
[arXiv] 2026-02-09 | LLM-Enhanced Wearables for Comprehensible Health Guidance in LMICs
[arXiv] 2026-02-09 | Improving Reliability of Hybrid Bit-Semantic Communications for Cellular Networks
[arXiv] 2026-02-09 | Prototype-Based Disentanglement for Controllable Dysarthric Speech Synthesis
[arXiv] 2026-02-09 | Trapped by simplicity: When Transformers fail to learn from noisy features
[arXiv] 2026-02-09 | PBLean: Pseudo-Boolean Proof Certificates for Lean 4
[arXiv] 2026-02-09 | Learning To Sample From Diffusion Models Via Inverse Reinforcement Learning
[arXiv] 2026-02-09 | Old wine in old glasses: Comparing computational and qualitative methods in identifying incivility on Persian Twitter during the #MahsaAmini movement
[arXiv] 2026-02-09 | CompilerKV: Risk-Adaptive KV Compression via Offline Experience Compilation
[arXiv] 2026-02-09 | SA-CAISR: Stage-Adaptive and Conflict-Aware Incremental Sequential Recommendation
[arXiv] 2026-02-09 | LLaDA2.1: Speeding Up Text Diffusion via Token Editing
[arXiv] 2026-02-09 | 6G-Bench: An Open Benchmark for Semantic Communication and Network-Level Reasoning with Foundation Models in AI-Native 6G Networks
[arXiv] 2026-02-09 | Structural studies on $A_2$ReCl$_6$ ($A$=K, Rb, Cs): absence of Jahn-Teller distortion
[arXiv] 2026-02-09 | Equalized Generative Treatment: Matching f-divergences for Fairness in Generative Models
[arXiv] 2026-02-09 | From Robotics to Sepsis Treatment: Offline RL via Geometric Pessimism
[arXiv] 2026-02-09 | Deep Learning-Based Fixation Type Prediction for Quality Assurance in Digital Pathology
[arXiv] 2026-02-09 | Forget Superresolution, Sample Adaptively (when Path Tracing)
[arXiv] 2026-02-09 | A Primal-Dual-Based Active Fault-Tolerant Control Scheme for Cyber-Physical Systems: Application to DC Microgrids
[arXiv] 2026-02-09 | Debate is efficient with your time
[arXiv] 2026-02-09 | Revisiting [CLS] and Patch Token Interaction in Vision Transformers
[arXiv] 2026-02-09 | On soft contributions to the $B^-\to γ^*$ form factors
[arXiv] 2026-02-09 | Sparse Models, Sparse Safety: Unsafe Routes in Mixture-of-Experts LLMs
[arXiv] 2026-02-09 | ERIS: Enhancing Privacy and Communication Efficiency in Serverless Federated Learning
[arXiv] 2026-02-09 | Ziv-Zakai Bound for Near-Field Localization and Sensing
[arXiv] 2026-02-09 | OSCAR: Optimization-Steered Agentic Planning for Composed Image Retrieval
[arXiv] 2026-02-09 | Towards Reliable Social A/B Testing: Spillover-Contained Clustering with Robust Post-Experiment Analysis
[arXiv] 2026-02-09 | Dynamical System Analysis of FLRW Model in f(R,L,T) Theory
[arXiv] 2026-02-09 | Constrained Sampling to Guide Universal Manipulation RL
[arXiv] 2026-02-09 | Hidden in-plane long-range order in an amorphized crystal
[arXiv] 2026-02-09 | An Automata-Based Approach to Games with $ω$-Automatic Preferences
[arXiv] 2026-02-09 | DA-RAG: Dynamic Attributed Community Search for Retrieval-Augmented Generation
[arXiv] 2026-02-09 | Dialogue Model Optimization via Agent Game and Adaptive Tree-based GRPO
[arXiv] 2026-02-09 | Intelligent Control of Collisional Architectures for Deterministic Multipartite State Engineering
[arXiv] 2026-02-09 | GeoFocus: Blending Efficient Global-to-Local Perception for Multimodal Geometry Problem-Solving
[arXiv] 2026-02-09 | Polytopes and $C^0$-Riemannian metrics with positive $h_{\rm top}$
[arXiv] 2026-02-09 | TreeTensor: Boost AI System on Nested Data with Constrained Tree-Like Tensor
[arXiv] 2026-02-09 | A note on cocycles in $\mathbb{T}\times SO(3)$
[arXiv] 2026-02-09 | Estimation of Fish Catch Using Sentinel-2, 3 and XGBoost-Kernel-Based Kernel Ridge Regression
[arXiv] 2026-02-09 | The M-Tensor Format: Optimality in High Dimensional Regression for Nonlinear Models with Scarce Data
[arXiv] 2026-02-09 | Are Vision Foundation Models Foundational for Electron Microscopy Image Segmentation?
[arXiv] 2026-02-09 | Multipoint Code-Weight Sphere Decoding: Parallel Near-ML Decoding for Short-Blocklength Codes
[arXiv] 2026-02-09 | Is Meta-Path Attention an Explanation? Evidence of Alignment and Decoupling in Heterogeneous GNNs
[arXiv] 2026-02-09 | Contextual Rollout Bandits for Reinforcement Learning with Verifiable Rewards
[arXiv] 2026-02-09 | Radar Operating Metrics and Network Throughput for Integrated Sensing and Communications in Millimeter-wave Urban Environments
[arXiv] 2026-02-09 | Time-Delayed Transformers for Data-Driven Modeling of Low-Dimensional Dynamics
[arXiv] 2026-02-09 | Renormalization destroys a finite time bifurcation in the $Φ^4_2$ equation
[arXiv] 2026-02-09 | Identifying Host Galaxies of Binary Black Hole Mergers with Next-Generation Gravitational Wave Detector Networks
[arXiv] 2026-02-09 | Charge asymmetry in $e^{+}e^{-}\to B^{(*)}\bar{B}^{(*)}$ processes in the vicinity of $Υ(4S)$
[arXiv] 2026-02-09 | First Extraction of the Matter Radius of $^{132}$Sn via Proton Elastic Scattering at 200 MeV/Nucleon
[arXiv] 2026-02-09 | UAV-Supported Maritime Search System: Experience from Valun Bay Field Trials
[arXiv] 2026-02-09 | RIFLE: Robust Distillation-based FL for Deep Model Deployment on Resource-Constrained IoT Networks
[arXiv] 2026-02-09 | Plethysm is in #BQP
[arXiv] 2026-02-09 | Demo-ICL: In-Context Learning for Procedural Video Knowledge Acquisition
[arXiv] 2026-02-09 | The Connection between Kriging and Large Neural Networks
[arXiv] 2026-02-09 | LLMs + Security = Trouble
[arXiv] 2026-02-09 | Graph-Loc: Robust Graph-Based LiDAR Pose Tracking with Compact Structural Map Priors under Low Observability and Occlusion
[arXiv] 2026-02-09 | Drop the mask! GAMM-A Taxonomy for Graph Attributes Missing Mechanisms
[arXiv] 2026-02-09 | Geometry-driven impact of photosensor placement on S2-based XY reconstruction in a dual-phase argon TPC
[arXiv] 2026-02-09 | Multipoint Padé Approximation of the Hurwitz Zeta Function and a Riemann-Hilbert Steepest Descent Analysis
[arXiv] 2026-02-09 | Quantum Detection of Sequency-Band Structure
[arXiv] 2026-02-09 | Geometric Image Editing via Effects-Sensitive In-Context Inpainting with Diffusion Transformers
[arXiv] 2026-02-09 | 2D ferroelectric narrow-bandgap semiconductor Wurtzite' type alpha-In2Se3 and its silicon-compatible growth
[arXiv] 2026-02-09 | CFHT MegaCam Two Deep Fields Imaging Survey (2DFIS) II: Decoding the Lensing Profile of a "Rotating" Cluster with Deep CFHT Imaging
[arXiv] 2026-02-09 | Uniform spectral gaps for random hyperbolic surfaces with not many cusps
[arXiv] 2026-02-09 | UrbanGraphEmbeddings: Learning and Evaluating Spatially Grounded Multimodal Embeddings for Urban Science
[arXiv] 2026-02-09 | Combinatorial Spacetime from Loop Quantum Gravity
[arXiv] 2026-02-09 | Dark Matter from Eternity
[arXiv] 2026-02-09 | Near-Oracle KV Selection via Pre-hoc Sparsity for Long-Context Inference
[arXiv] 2026-02-09 | Making Databases Searchable with Deep Context
[arXiv] 2026-02-09 | A criterion for a Hurewicz cofibration to be a Quillen cofibration
[arXiv] 2026-02-09 | SWE Context Bench: A Benchmark for Context Learning in Coding
[arXiv] 2026-02-09 | CFHT MegaCam Two Deep Fields Imaging Survey (2DFIS) I: Overview
[arXiv] 2026-02-09 | Moral Sycophancy in Vision Language Models
[arXiv] 2026-02-09 | Variational Method for Interacting Surfaces with Higher-Form Global Symmetries
[arXiv] 2026-02-09 | TextResNet: Decoupling and Routing Optimization Signals in Compound AI Systems via Deep Residual Tuning
[arXiv] 2026-02-09 | Room Temperature Collective Blinking and Photon Bunching from CsPbBr3 Quantum Dot Superlattice
[arXiv] 2026-02-09 | Benchmarking Autonomous Vehicles: A Driver Foundation Model Framework
[arXiv] 2026-02-09 | The Vibe-Automation of Automation: A Proactive Education Framework for Computer Science in the Age of Generative AI
[arXiv] 2026-02-09 | Almost-primes in Sun's $x^2+ny^2$ conjecture
[arXiv] 2026-02-09 | ClusterChirp: A GPU-accelerated Web Server for Natural Language-Guided Interactive Visualization and Analysis of Large Omics Data
[arXiv] 2026-02-09 | Toward Formalizing LLM-Based Agent Designs through Structural Context Modeling and Semantic Dynamics Analysis
[arXiv] 2026-02-09 | Puda: Private User Dataset Agent for User-Sovereign and Privacy-Preserving Personalized AI
[arXiv] 2026-02-09 | HEAL: Online Incremental Recovery for Leaderless Distributed Systems Across Persistency Models
[arXiv] 2026-02-09 | Do MLLMs Really See It: Reinforcing Visual Attention in Multimodal LLMs
[arXiv] 2026-02-09 | Document Reconstruction Unlocks Scalable Long-Context RLVR
[arXiv] 2026-02-09 | A Minimal Interpretation of the Galactic Cosmic-Ray Spectrum from GeV to PeV Energies
[arXiv] 2026-02-09 | Pretraining with Token-Level Adaptive Latent Chain-of-Thought
[arXiv] 2026-02-09 | HOICraft: In-Situ VLM-based Authoring Tool for Part-Level Hand-Object Interaction Design in VR
[arXiv] 2026-02-09 | Sparsity-Aware Evolution for Model Merging
[arXiv] 2026-02-09 | Chain-of-Caption: Training-free improvement of multimodal large language model on referring expression comprehension
[arXiv] 2026-02-09 | CADO: From Imitation to Cost Minimization for Heatmap-based Solvers in Combinatorial Optimization
[arXiv] 2026-02-09 | Does fermionic entanglement always outperform bosonic entanglement in dilaton black hole?
[arXiv] 2026-02-09 | Amplified up-conversion of electromagnetic waves using time-varying metasurfaces
[arXiv] 2026-02-09 | Large Language Models in Peer-Run Community Behavioral Health Services: Understanding Peer Specialists and Service Users' Perspectives on Opportunities, Risks, and Mitigation Strategies
[arXiv] 2026-02-09 | Information Geometry of Absorbing Markov-Chain and Discriminative Random Walks
[arXiv] 2026-02-09 | Boosting high-current alkaline water electrolysis and carbon dioxide reduction with novel CuNiFe-based anodes
[arXiv] 2026-02-09 | Large deviations for some unbounded observables in dynamical systems
[arXiv] 2026-02-09 | Asymptotically Minimax Robust Likelihood Ratio Test
[arXiv] 2026-02-09 | Learning from Literature: Integrating LLMs and Bayesian Hierarchical Modeling for Oncology Trial Design
[arXiv] 2026-02-09 | Spherical Steering: Geometry-Aware Activation Rotation for Language Models
[arXiv] 2026-02-09 | Hints of sign-changing scalar field energy density and a transient acceleration phase at $z\sim 2$ from model-agnostic reconstructions
[arXiv] 2026-02-09 | Informative Object-centric Next Best View for Object-aware 3D Gaussian Splatting in Cluttered Scenes
[arXiv] 2026-02-09 | Emergent altermagnetism at surfaces of antiferromagnets: full symmetry classification and material identification
[arXiv] 2026-02-09 | Modeling Protein Evolution via Generative Inference From Monte Carlo Chains to Population Genetics
[arXiv] 2026-02-09 | Phase behavior and electrical transport in DBTTF-HATCN donor-acceptor mixtures
[arXiv] 2026-02-09 | An Approach for the Qualitative Graphical Representation of the Describing Function in Nonlinear Systems Stability Analysis
[arXiv] 2026-02-09 | Derivation and analysis of a Stokes-transport system in evolving vessels modeling thermoregulation in human skin
[arXiv] 2026-02-09 | A Graphop Analysis of Graph Neural Networks on Sparse Graphs: Generalization and Universal Approximation
[arXiv] 2026-02-09 | Topological properties of spin block magnetic ladders in proximity of a superconductor: application to BaFe$_{2}$S$_{3}$
[arXiv] 2026-02-09 | FreqLens: Interpretable Frequency Attribution for Time Series Forecasting
[arXiv] 2026-02-09 | HoGS: Homophily-Oriented Graph Synthesis for Local Differentially Private GNN Training
[arXiv] 2026-02-09 | Homomorphism counting for immersion-closed classes is not isomorphism
[arXiv] 2026-02-09 | Foundation Inference Models for Ordinary Differential Equations
[arXiv] 2026-02-09 | Synchrotron Self-Compton Process for Constraining sub-GeV Dark Matter in Omega Centauri via SKA
[arXiv] 2026-02-09 | Closing the Confusion Loop: CLIP-Guided Alignment for Source-Free Domain Adaptation
[arXiv] 2026-02-09 | Trellis codes with a good distance profile constructed from expander graphs
[arXiv] 2026-02-09 | Zero-shot System for Automatic Body Region Detection for Volumetric CT and MR Images
[arXiv] 2026-02-09 | Exploring SAIG Methods for an Objective Evaluation of XAI
[arXiv] 2026-02-09 | Is plasmoid-mediated reconnection really important in accretion flows to drive flares in AGNs?
[arXiv] 2026-02-09 | Do Images Clarify? A Study on the Effect of Images on Clarifying Questions in Conversational Search
[arXiv] 2026-02-09 | Challenges in Translating Technical Lectures: Insights from the NPTEL
[arXiv] 2026-02-09 | On the vortex transport and blade interactions in a reversible pump-turbine
[arXiv] 2026-02-09 | Chiral phase memory of twisted light through multiple scattering
[arXiv] 2026-02-09 | Frustrated spin models on two- and three-dimensional decorated lattices with high residual entropy
[arXiv] 2026-02-09 | A Machine Learning accelerated geophysical fluid solver
[arXiv] 2026-02-09 | Retrieval Pivot Attacks in Hybrid RAG: Measuring and Mitigating Amplified Leakage from Vector Seeds to Graph Expansion
[arXiv] 2026-02-09 | Fundamental Reasoning Paradigms Induce Out-of-Domain Generalization in Language Models
[arXiv] 2026-02-09 | High-Speed Vision-Based Flight in Clutter with Safety-Shielded Reinforcement Learning
[arXiv] 2026-02-09 | Four-dimensional pp-wave Lie groups and harmonic curvature
[arXiv] 2026-02-09 | Comparison of Structure Preserving Schemes for the Cahn-Hilliard-Navier-Stokes Equations with Degenerate Mobility and Adaptive Mesh Refinement
[arXiv] 2026-02-09 | Spaltenstein Varieties Associated with Pseudo-Polarizations
[arXiv] 2026-02-09 | Algebraic degree of Cayley colour graphs
[arXiv] 2026-02-09 | Effectiveness of Rent Controls: Evidence from Spain
[arXiv] 2026-02-09 | CauScale: Neural Causal Discovery at Scale
[arXiv] 2026-02-09 | Nesterov's accelerated gradient for unbounded convex functions finds the minimum-norm point in the dual space
[arXiv] 2026-02-09 | Constructive conditional normalizing flows
[arXiv] 2026-02-09 | Elastic field causing noncommutativity
[arXiv] 2026-02-09 | A Precise Real-Time Force-Aware Grasping System for Robust Aerial Manipulation
[arXiv] 2026-02-09 | MMTS-BENCH: A Comprehensive Benchmark for Time Series Understanding and Reasoning
[arXiv] 2026-02-09 | Predicting Future Utility: Global Combinatorial Optimization for Task-Agnostic KV Cache Eviction
[arXiv] 2026-02-09 | SemiNFT: Learning to Transfer Presets from Imitation to Appreciation via Hybrid-Sample Reinforcement Learning
[arXiv] 2026-02-09 | Percolation and Threshold-like Behavior in Multiple Sclerosis Progression
[arXiv] 2026-02-09 | FLAG-4D: Flow-Guided Local-Global Dual-Deformation Model for 4D Reconstruction
[arXiv] 2026-02-09 | The Impact of Turbulence on Hydroacoustic Waves
[arXiv] 2026-02-09 | Rho-Perfect: Correlation Ceiling For Subjective Evaluation Datasets
[arXiv] 2026-02-09 | Thegra: Graph-based SLAM for Thermal Imagery
[arXiv] 2026-02-09 | Automatic regularization parameter choice for tomography using a double model approach
[arXiv] 2026-02-09 | Inverse orbital Hall effect induced terahertz emission enabled by a ferromagnet with quenched orbital moment in Fe/Pt/W trilayers
[arXiv] 2026-02-09 | Constraints on Higgs Light Yukawa Couplings with the CMS Detector
[arXiv] 2026-02-09 | Covariant eigenmode overlap formalism for gravitational wave signals in electromagnetic cavities
[arXiv] 2026-02-09 | A General Theory of Proportionality with Additive Utilities
[arXiv] 2026-02-09 | Learning Self-Correction in Vision-Language Models via Rollout Augmentation
[arXiv] 2026-02-09 | A Comparative Analysis of the CERN ATLAS ITk MOPS Readout: A Feasibility Study on Production and Development Setups
[arXiv] 2026-02-09 | Can UV meet IR in the Swiss cheese?
[arXiv] 2026-02-09 | Physics-Guided Variational Model for Unsupervised Sound Source Tracking
[arXiv] 2026-02-09 | Symbol Rate Maximization in Rolling-Shutter OCC: Design and Implementation Considerations
[arXiv] 2026-02-09 | Submodular Maximization over a Matroid $k$-Intersection: Multiplicative Improvement over Greedy
[arXiv] 2026-02-09 | Classifying the simplest Bell inequalities beyond qubits and their applications towards self-testing
[arXiv] 2026-02-09 | Observation of e/4 charge at $ν=1/2$ in GaAs
[arXiv] 2026-02-09 | Decentralized Spatial Reuse Optimization in Wi-Fi: An Internal Regret Minimization Approach
[arXiv] 2026-02-09 | When Evaluation Becomes a Side Channel: Regime Leakage and Structural Mitigations for Alignment Assessment
[arXiv] 2026-02-09 | Shear-Induced Collective Shape Oscillations in Dense Soft Suspensions
[arXiv] 2026-02-09 | Post-Collision Trajectory Restoration for a Single-track Ackermann Vehicle using Heuristic Steering and Tractive Force Functions
[arXiv] 2026-02-09 | Large Language Models and Impossible Language Acquisition: "False Promise" or an Overturn of our Current Perspective towards AI
[arXiv] 2026-02-09 | Dynamics of Y Dwarf Atmospheres
[arXiv] 2026-02-09 | Kosmulator: A Python framework for cosmological inference with MCMC
[arXiv] 2026-02-09 | Johann Heinrich Lambert's memoir "Theorie der Parallellinien": A review with commentary
[arXiv] 2026-02-09 | A Sketch+Text Composed Image Retrieval Dataset for Thangka
[arXiv] 2026-02-09 | IEEE 802.11ad-Aided 5-D Sensing with a UAV Swarm in Urban Environment
[arXiv] 2026-02-09 | BiManiBench: A Hierarchical Benchmark for Evaluating Bimanual Coordination of Multimodal Large Language Models
[arXiv] 2026-02-09 | Hierarchical Subcode Ensemble Decoding of Polar Codes
[arXiv] 2026-02-09 | Dynamic Long Context Reasoning over Compressed Memory via End-to-End Reinforcement Learning
[arXiv] 2026-02-09 | Reinforcement Learning with Backtracking Feedback
[arXiv] 2026-02-09 | OJBKQ: Objective-Joint Babai-Klein Quantization
[arXiv] 2026-02-09 | Learning Human-Like Badminton Skills for Humanoid Robots
[arXiv] 2026-02-09 | MemAdapter: Fast Alignment across Agent Memory Paradigms via Generative Subgraph Retrieval
[arXiv] 2026-02-09 | T2VTree: User-Centered Visual Analytics for Agent-Assisted Thought-to-Video Authoring
[arXiv] 2026-02-09 | WorldTravel: A Realistic Multimodal Travel-Planning Benchmark with Tightly Coupled Constraints
[arXiv] 2026-02-09 | Direct Evidence of a Near-Ideal Jeff = 1/2 Ground State in Triangular-Lattice Na2BaCo(PO4)2
[arXiv] 2026-02-09 | FIMPs in a two-component dark matter model with $Z_2 \times Z_4$ symmetry
[arXiv] 2026-02-09 | Towards Better Evolution Modeling for Temporal Knowledge Graphs
[arXiv] 2026-02-09 | The Chicken and Egg Dilemma: Co-optimizing Data and Model Configurations for LLMs
[arXiv] 2026-02-09 | All ERMs Can Fail in Stochastic Convex Optimization Lower Bounds in Linear Dimension
[arXiv] 2026-02-09 | The braided Doplicher-Roberts program and the Finkelberg-Kazhdan-Lusztig equivalence: A historical perspective, recent progress, and future directions
[arXiv] 2026-02-09 | ManifoldKV: Training-Free KV Cache Compression via Euclidean Outlier Detection
[arXiv] 2026-02-09 | Regime Change Hypothesis: Foundations for Decoupled Dynamics in Neural Network Training
[arXiv] 2026-02-09 | Latent Reasoning with Supervised Thinking States
[arXiv] 2026-02-09 | Forced oscillation of a damped BBM equation posed on whole line in low regularity spaces
[arXiv] 2026-02-09 | Towards Efficient Large Language Reasoning Models via Extreme-Ratio Chain-of-Thought Compression
[arXiv] 2026-02-09 | Neutrino Emission from Gamma-ray Burst Jet Propagating inside the Cavity within Active Galactic Nucleus Accretion Disks
[arXiv] 2026-02-09 | Interaction-Grounded Learning for Contextual Markov Decision Processes with Personalized Feedback
[arXiv] 2026-02-09 | Cyclic Adaptive Private Synthesis for Sharing Real-World Data in Education
[arXiv] 2026-02-09 | Trust-Based Incentive Mechanisms in Semi-Decentralized Federated Learning Systems
[arXiv] 2026-02-09 | Knowledge Augmented Entity and Relation Extraction for Legal Documents with Hypergraph Neural Network
[arXiv] 2026-02-09 | Noise Stability of Transformer Models
[arXiv] 2026-02-09 | New Skills or Sharper Primitives? A Probabilistic Perspective on the Emergence of Reasoning in RLVR
[arXiv] 2026-02-09 | PISCO: Precise Video Instance Insertion with Sparse Control
[arXiv] 2026-02-09 | Irreducible objects in the Gaiotto category at roots of unity
[arXiv] 2026-02-09 | Specification Vibing for Automated Program Repair
[arXiv] 2026-02-09 | Moving Beyond Functional Connectivity: Time-Series Modeling for fMRI-Based Brain Disorder Classification
[arXiv] 2026-02-09 | Language Predicts Identity Fusion Across Cultures and Reveals Divergent Pathways to Violence
[arXiv] 2026-02-09 | Aerial Manipulation with Contact-Aware Onboard Perception and Hybrid Control
[arXiv] 2026-02-09 | Infrared photonics for healthcare: A roadmap for proactive and predictive health management
[arXiv] 2026-02-09 | Learning in Context, Guided by Choice: A Reward-Free Paradigm for Reinforcement Learning with Transformers
[arXiv] 2026-02-09 | PTS-SNN: A Prompt-Tuned Temporal Shift Spiking Neural Networks for Efficient Speech Emotion Recognition
[arXiv] 2026-02-09 | InfiCoEvalChain: A Blockchain-Based Decentralized Framework for Collaborative LLM Evaluation
[arXiv] 2026-02-09 | Riemannian Manifold Optimization for Advanced Wireless Communications: Fundamentals and Applications
[arXiv] 2026-02-09 | Efficient-SAM2: Accelerating SAM2 with Object-Aware Visual Encoding and Memory Retrieval
[arXiv] 2026-02-09 | Weak-Driven Learning: How Weak Agents make Strong Agents Stronger
[arXiv] 2026-02-09 | Preparing squeezed, cat and GKP states with parity measurements
[arXiv] 2026-02-09 | LocDreamer: World Model-Based Learning for Joint Indoor Tracking and Anchor Scheduling
[arXiv] 2026-02-09 | Finger Tendon Vibration: Finger Movement Illusions for Immersive Virtual Object Interaction
[arXiv] 2026-02-09 | Chamelion: Reliable Change Detection for Long-Term LiDAR Mapping in Transient Environments
[arXiv] 2026-02-09 | The Great Filter hypothesis -- a new Great Filter?
[arXiv] 2026-02-09 | Detecting multilevel entanglement from light-based entanglement witnesses
[arXiv] 2026-02-09 | Stability phenomena for Kac-Moody groups
[arXiv] 2026-02-09 | Evasion of IoT Malware Detection via Dummy Code Injection
[arXiv] 2026-02-09 | DAS-SK: An Adaptive Model Integrating Dual Atrous Separable and Selective Kernel CNN for Agriculture Semantic Segmentation
[arXiv] 2026-02-09 | WorldCompass: Reinforcement Learning for Long-Horizon World Models
[arXiv] 2026-02-09 | The seismic diversity of four successive solar cycle minima as observed by the Birmingham Solar-Oscillations Network (BiSON)
[arXiv] 2026-02-09 | Robustness Is a Function, Not a Number: A Factorized Comprehensive Study of OOD Robustness in Vision-Based Driving
[arXiv] 2026-02-09 | DirMoE: Dirichlet-routed Mixture of Experts
[arXiv] 2026-02-09 | Paradox of De-identification: A Critique of HIPAA Safe Harbour in the Age of LLMs
[arXiv] 2026-02-09 | InternAgent-1.5: A Unified Agentic Framework for Long-Horizon Autonomous Scientific Discovery
[arXiv] 2026-02-09 | StretchTime: Adaptive Time Series Forecasting via Symplectic Attention
[arXiv] 2026-02-09 | When do neural ordinary differential equations generalize on complex networks?
[arXiv] 2026-02-09 | Cyclic universe from uniform rate inflation on the brane with a timelike extra dimension
[arXiv] 2026-02-09 | PPG as a Bridge: Cross-Device Authentication for Smart Wearables with Photoplethysmography
[arXiv] 2026-02-09 | Maximin Shares with Lower Quotas
[arXiv] 2026-02-09 | MotionCrafter: Dense Geometry and Motion Reconstruction with a 4D VAE
[arXiv] 2026-02-09 | Robust Sequential Learning in Random Order Networks
[arXiv] 2026-02-09 | Tailoring Ultrathin Magnetic Multilayers at Terraced Topologically Insulating Interfaces for Perpendicularly Magnetized Domains
[arXiv] 2026-02-09 | GitSearch: Enhancing Community Notes Generation with Gap-Informed Targeted Search
[arXiv] 2026-02-09 | CausalT5K: Diagnosing and Informing Refusal for Trustworthy Causal Reasoning of Skepticism, Sycophancy, Detection-Correction, and Rung Collapse
[arXiv] 2026-02-09 | The role of absorption in three-dimensional electron diffraction dynamical structure refinement
[arXiv] 2026-02-09 | StealthRL: Reinforcement Learning Paraphrase Attacks for Multi-Detector Evasion of AI-Text Detectors
[arXiv] 2026-02-09 | DynamiQ: Accelerating Gradient Synchronization using Compressed Multi-hop All-reduce
[arXiv] 2026-02-09 | Automatic In-Domain Exemplar Construction and LLM-Based Refinement of Multi-LLM Expansions for Query Expansion
[arXiv] 2026-02-09 | Dynamics, Ringdown, and Accretion-Driven Multiple Quasi-Periodic Oscillations of Kerr-Bertotti-Robinson Black Holes
[arXiv] 2026-02-09 | Efficient and Stable Reinforcement Learning for Diffusion Language Models
[arXiv] 2026-02-09 | OmniReview: A Large-scale Benchmark and LLM-enhanced Framework for Realistic Reviewer Recommendation
[arXiv] 2026-02-09 | Designing Multi-Robot Ground Video Sensemaking with Public Safety Professionals
[arXiv] 2026-02-09 | Conservative binary dynamics to third post-Minkowskian order beyond General Relativity
[arXiv] 2026-02-09 | Whose Name Comes Up? Benchmarking and Intervention-Based Auditing of LLM-Based Scholar Recommendation
[arXiv] 2026-02-09 | Gelfand-Kirillov bound for $p$-adic Banach representations with infinitesimal character for $\text{GL}_2$ and quaternion units
[arXiv] 2026-02-09 | Koszul duality for algebras over infinity-operads
[arXiv] 2026-02-09 | Dr. MAS: Stable Reinforcement Learning for Multi-Agent LLM Systems
[arXiv] 2026-02-09 | CHIMPS2: The physical properties and star formation efficiency of molecular gas in the Central Molecular Zone
[arXiv] 2026-02-09 | Impredicativity in Linear Dependent Type Theory
[arXiv] 2026-02-09 | Finite-State Controllers for (Hidden-Model) POMDPs using Deep Reinforcement Learning
[arXiv] 2026-02-09 | Learning to Judge: LLMs Designing and Applying Evaluation Rubrics
