[2026-09-25 00:18:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-24
正在获取论文...
[IEEE] 2026-9-24 | Spatio-Temporal Deep Learning for Three-Dimensional Underwater Acoustic Transmission Loss Modeling
[NO] 54/1000 | Lightweight Cloud-Assisted Secure Two-Party Computation With Dual Execution in Mobile Cloud Computing
[NO] 55/1000 | Safe Power Is a Safety Mechanism: Why Power Supply Design Determines Functional Safety Compliance
[NO] 56/1000 | Transfer Learning-Enabled Real-Time Resilience Assessment for Power Systems
[NO] 57/1000 | Microgrid Clusters Control with Unknown Network and Load Parameters
[NO] 58/1000 | Intelligent Operation and Coordinated Control of Networked Microgrid Systems
[NO] 59/1000 | Integrating Low-loss High-permittivity Ceramic Helmet with RF Head Array Coil to Largely Enhance Coil Sensitivity and SNR for Human Brain MRI at 7T
[NO] 60/1000 | Domain-Adaptive Pretraining and a Leakage-Corrected Evaluation Protocol for Respiratory Sound Classification
[NO] 61/1000 | Quantifying Inertia Needs for Future Electric Grids with High Penetration of Inverter-Based Resources
[NO] 62/1000 | Hierarchical Fuzzy Feature Clustering With Iterative Ensemble Learning for Student Performance Prediction
[NO] 63/1000 | AI-Enabled Beam Hopping for Next-Generation Satellite Communications: A Survey of Methodologies, Recent Advances, and Open Challenges
[NO] 64/1000 | A Compact Wideband Co-polarized IBFD Antenna with Combined Decoupling Resonator and Distributed Feeding Network
[NO] 65/1000 | An interaction-aware framework for ICESat-2 elevation control point extraction using photon-level distribution metrics and joint threshold optimization
[NO] 66/1000 | Inversion of lunar thermal infrared emissivity using deep learning: comparison with the Hapke model_supp1-3730963.xlsx
[NO] 67/1000 | Source-Validated Personalized Fusion for Calibration-Efficient Static Wrist sEMG Gesture Recognition
[NO] 68/1000 | Explainable AI and TinyML for Trustworthy and Efficient IoT: A Survey
[NO] 69/1000 | Enhancement of High-Temperature Dielectric and Energy Storage Properties in Styrene–Acrylonitrile–Maleic Based Organic Films via a Crosslinked Structure
[NO] 70/1000 | WamBANet: A Wavelet-Guided State Space Modeling and Semantic Regularization for Weakly Supervised Salient Object Detection in Optical Remote Sensing Images
[NO] 71/1000 | A review of distributed and quasi-distributed optical fiber radiation dosimetry: state of the art, challenges, and future directions
[NO] 72/1000 | Shadow-Aware Inverse Rendering in Gaussian Splatting
[NO] 73/1000 | A Multi-Layer Deep Graph Attention Model for Decoding lncRNA-miRNA-mRNA Communication Networks_supp1-3720579.pdf
[NO] 74/1000 | SAMReg: SAM-enabled Image Registration with ROI-based Correspondence
[NO] 75/1000 | IEEE Sensors Council
[NO] 76/1000 | Adaptive Partial Gravity Compensation for Upper-Limb Exoskeletons: Effects on Muscle Activation and Perceived Effort
[NO] 77/1000 | SynTrust-FL: Forensic-Aware Robust Federated Learning for Edge-Intelligent IoT
[NO] 78/1000 | Cutsize Minimization for Green Communications: Novel k-Balanced Netlist Partitioning Framework with Role-Based Mean Field Q-learning
[NO] 79/1000 | Composite Information Element-Based Self-Triggered Control for Distributed UAV Systems with Asymmetric Time-Varying Communication Delays
[NO] 80/1000 | Improving Cross-City $NO_{2}$ Prediction via Transfer Learning: Integrating Satellite Data and SHAP Interpretability
[NO] 81/1000 | Lightweight PUF and Hash Token Based Mutual Authentication and Key Management Scheme for IoT-Enabled Smart Grids
[NO] 82/1000 | Robust Variational Bayesian Filtering for Markov Jump Systems via Natural Gradient Optimization
[NO] 83/1000 | It Works, But Why? A Case Study of Artifact Consumption in Machine Learning Systems
[NO] 84/1000 | A 65-nm Cryo-CMOS-Based 4–7-GHz Wideband Noise-Canceling Receiver for Superconducting Multi-Qubits Readout
[NO] 85/1000 | Fast Frequency-Sweep Finite-Element Analysis of Magnetic Components With Multiple Resonances Using Bayesian Proper Orthogonal Decomposition
[NO] 86/1000 | Distributed Deep Reinforcement Learning-Based Satellite Handover Management in Satellite-Terrestrial Integrated Networks
[NO] 87/1000 | Multi-Task Learning With Physics-Informed Neural Network for Bending Eavesdropping Detection and Localization
[YES] 88/1000 | A Unified Framework for Code Vulnerability Detection via Adaptive Pooling and Symbolic Relational Graph Representation
[NO] 89/1000 | IEEE Open Journal Of Systems Engineering Information for Authors
[NO] 90/1000 | A ResNet–GAN–Transformer Hybrid Framework for Multi-Source Data–Driven Fractional Vegetation Cover Downscaling in Alpine Grasslands
[NO] 91/1000 | Bit-Rate Allocation for Quantized Kalman Filtering via Rate-Distortion Theory
[NO] 92/1000 | Scalable Adaptive Fuzzy Voltage Control for DC Microgrids With Plug-and-Play Operations and Constant Power Loads
[NO] 93/1000 | Colony: Robust Personalized ML with Contribution-Driven Connectivity and Resource Allocation in P2P Networks
[NO] 94/1000 | Rapid Prediabetes Screening With a VOC Nanosensor: A Novel Saturation-Onset Prediction Driven Classifier
[NO] 95/1000 | LoRA-RC: Reservoir Computing with Low-Rank Adaptation
[NO] 96/1000 | Experimental Investigation of an Improved G-Band Metasurface Slow Wave Structure With Novel Couplers
[NO] 97/1000 | Symmetry-Restoring First-Order Jet Calibration for Blind Joint Offset, Gain and Timing Mismatch Correction in TI-ADCs
[NO] 98/1000 | Table of Contents
[NO] 99/1000 | High-Performance GPU Implementation of Filtered Back Projection for Hemispherical Array Photoacoustic Tomography
[NO] 100/1000 | Advanced Cross-attack Backdoor Detector Based on Disturbance Immunity Learned from Classic Backdoor Attacks
[NO] 101/1000 | AstraFL: Decentralized Federated Learning for Space AI With Energy-Efficient Block Minifloat Computing
[NO] 102/1000 | FAME: Mask-Guided Multimodal Fashion Attribute Editing
[NO] 103/1000 | Intelligent Spectrum Sharing Allocation and Decision-Making Based on Deep Learning in HSR NOMA-T2X Networks
[NO] 104/1000 | A 1 GHz High CMRR On-Chip Rogowski Coil Current Sensor Integrated with a 650 V GaN HEMT
[NO] 105/1000 | Dual-Dynamic In-Context Learning for Medical Image Segmentation
[NO] 106/1000 | Impact of Interface and Dielectric Defects on HKMG MOSFETs Down to Cryogenic Temperatures
[NO] 107/1000 | Front Cover
[NO] 108/1000 | Power Factor Correction of Linear Loads Under Unbalanced Voltage Conditions
[NO] 109/1000 | Minimum Resonant Network Loss Optimization for LCC-S Compensated Single-Stage AC-DC WPT Systems with Wide ZVS Range
[NO] 110/1000 | Transmission Mechanism and Performance Analyses for Multi-beam Opportunistic Interference Alignment in Multi-cell Networks
[NO] 111/1000 | Adversarial Robustness of Deep Learning-Based Intrusion Detection Systems: A Systematic Literature Review of Attacks, Defenses, Datasets, and Open Challenges
[NO] 112/1000 | Dual-Channel Complex-Vector Resolver System for Wide-Speed Operation
[NO] 113/1000 | Sensing-assisted Secure Communication via Reconfigurable Intelligent Surface
[NO] 114/1000 | Physics-Informed Adaptive Gaussian Process Regression Meta-Model for Rapid Characterization of Permanent Magnet Synchronous Machines
[NO] 115/1000 | Horizon-Aware Conformal Calibration of SOC Reserve Demand for Rolling Battery Scheduling
[NO] 116/1000 | A Novel U-shaped Riemannian Manifold Learning Neural Network for Motor Imagery EEG Decoding
[NO] 117/1000 | Location-Guided Dual-Scale Spatiotemporal Inference and Role-Enhanced QMIX for Closed-Loop Multi-Task Sparse Crowdsensing
[NO] 118/1000 | Regime-Aware Hybrid BLE Fingerprinting for Mobile Robot Localization
[NO] 119/1000 | When does data-driven strategic decision-making enable firms to overcome the “filtering effect” for exploration?_supp1-3733155.docx
[NO] 120/1000 | IEEE Member Discounts
[NO] 121/1000 | Robust Eavesdropping in the Presence of Adversarial Communications for RF Fingerprinting
[NO] 122/1000 | DAS: Deployable Dynamic Adaptation System for Pest Detection via Edge-Cloud Collaboration
[NO] 123/1000 | Front Cover
[NO] 124/1000 | Personalized Location-Based Query Processing Unleashed: Privacy, Verifiability, and Efficiency
[NO] 125/1000 | IEEE Systems, Man, and Cybernetics Society Information
[NO] 126/1000 | xDevSM: An Open-Source Framework for Portable, AI-Ready xApps Across Heterogeneous O-RAN Deployments
[NO] 127/1000 | An Econometric Approach for Impact of Uncertainties in TCO of Transmission Lines
[NO] 128/1000 | Scalable Incremental Online Weighted Fuzzy Clustering Algorithms for Big Data
[NO] 129/1000 | Energy Management for Airport Thermo-Electrical Microgrids: A Physics-Based RL Approach
[NO] 130/1000 | UFO
                    <sub>s</sub>
                    : An Ultra-Fast Toolkit for Multiparty Computation on Small Elements
[YES] 131/1000 | What Makes Effective Knowledge Distillation for Large Language Models in Code Generation?
[NO] 132/1000 | Spatio-Temporal Modeling of Urban Electric Vehicle Charging Demand Incorporating Real-World Traffic Dynamics
[NO] 133/1000 | Learning-Based Stealthy Load Redistribution Attacks for Market Price Manipulation in Smart Grids
[NO] 134/1000 | Energy-Like Stability of Interconnected Grid-Forming Inverters with Potential-Sensitive Virtual Inertia
[NO] 135/1000 | Context-Aware Evasion of PMU-Based Intrusion Detection Systems in Wide-Area Control
[NO] 136/1000 | Voltage-Induced Frequency Disturbance Analysis Considering Fault Type and Network Location
[NO] 137/1000 | A Diffusion Prior-based Framework for Imperceptible and Flexible Unrestricted Adversarial Attacks
[NO] 138/1000 | Physics-informed Neural Network for Transformer Thermal Modelling
[NO] 139/1000 | Ill-Conditioned Power Flow Analysis Using a Quantized State-Based Approach
[NO] 140/1000 | Strategic Data Center Load Shifting: Implications for Market Efficiency and Transmission Value
[NO] 141/1000 | A Multi-State Adaptive Virtual Impedance Controller for Fault-Responsive Heterogeneous Parallel GFMs
[NO] 142/1000 | Real-time Implementation of a Delay Compensation Block in the Power Plant Controller of a Renewable Energy Complex using MLPNN
[NO] 143/1000 | A Single-Unit 2-bit Wideband Reflection-Type Phase Shifter With 90° Phase Steps Using Impedance-Based Phase Slope Tuning Technique
[NO] 144/1000 | Personalized Home Energy Management Using Non-Intrusive Load Monitoring and Human-in-the-Loop Reinforcement Learning
[NO] 145/1000 | Meta-Learning-based Power System Security Assessment under Topology Changes
[NO] 146/1000 | Causal Feature Selection for Weather-Driven Residential Load Forecasting
[NO] 147/1000 | Disaggregating Distributed PV Power from Aggregate Measurements in Transmission Systems
[NO] 148/1000 | Evaluating the Suitability of a Grid Topology Discovery Algorithm for Utility Deployment
[NO] 149/1000 | Interface Congestion Management in Load Pockets Using Dynamic Nodal Reserve Modeling
[NO] 150/1000 | Digest of Literature on Dielectrics Volume 28 1964
[NO] 151/1000 | Fidelity-Aware Dynamic Network Reduction of Distribution Grids with Heterogeneous IBRs
[NO] 152/1000 | Distributed Strategy Design for Aggregative Games With Coupled Constraints in Open Multi-Agent Systems
[NO] 153/1000 | Wavelet Coherence-Based Ambient Masking for Noise Removal in Functional Near-Infrared Spectroscopy Measurements
[NO] 154/1000 | A Passive Front-End Receiver for RF Reflectometry Readout in Spin Qubits
[NO] 155/1000 | Temperature-Dependent Enhanced Gyrator-Capacitor SPICE Model for Ferrite-Core Inductors with High Permeability
[NO] 156/1000 | Learning-Based Nonlinear State Estimation With Unknown System Dynamics
[NO] 157/1000 | A Fast Presynchronization Strategy for Grid-Forming Converters
[NO] 158/1000 | Residual-Corrected Physics-Based Modelling for SF
                    <sub>&gt;6</sub>
                    Density Prediction and Anomaly Detection
[NO] 159/1000 | A hybrid-actuation compliant gripper with vibrational adaptive alignment for micro-parts assembly
[NO] 160/1000 | Joint Secure Primary and Secondary Transmission Enhancement via Active STAR-RIS in Spectrum Sharing Cognitive Radio Networks
[NO] 161/1000 | Triangulating Learning Styles: Cross-Framework Behavioral Modeling of FSLSM and VRK Using Hybrid Machine Learning
[NO] 162/1000 | Spectral Unmixing-Guided Prompt Network for Cross-Domain Hyperspectral Image Classification
[NO] 163/1000 | Monolithic Passive Dual-Resonator Smart Washer Fabricated by Multi-Material Jetting for Near-Field Monitoring
[NO] 164/1000 | TFCDiff: Robust ECG Denoising via Time-Frequency Complementary Diffusion_supp1-3732677.mp4
[NO] 165/1000 | Efficient Modeling and Experimental Verification of Path Loss for Reconfigurable Intelligent Surface Based on Field-Aggregation Pooling
[NO] 166/1000 | Price-Simulation Oriented Forecasting of Individual Bidding Behaviors in Electricity Markets
[NO] 167/1000 | Effective Fuzzing-based Prototype Pollution Detection via Forced Execution and Template Synthesis
[NO] 168/1000 | Palm and Coir Fiber Composite Mat for Wide-Linear-Range Flexible Piezoresistive Pressure Sensing_supp1-3730810.docx
[NO] 169/1000 | Physics-inspired Single Image Detail Enhancement Based on Kirchhoff's Current Law
[NO] 170/1000 | What Do LLM Judges Evaluate in Recommendation Assessment? Disentangling Relevance, Local Diversity, and System-Level Diversity
[NO] 171/1000 | P CDM: Directional Charger Deployment Mechanism Design based on Budget-feasible Auction with Personalized Privacy Preserving_supp1-3730811.pdf
[NO] 172/1000 | Cost-Effective Single-Bit Hardware Acquisition System for Full Matrix Capture and Lightweight Ultrasonic Images
[NO] 173/1000 | Upcoming 2026 Aerospace &amp; Electronic Systems Society Meetings and Conferences
[NO] 174/1000 | Causal Emergence Guided Point Cloud Compression: Effective Information Regularizer for Rate-Distortion Optimization
[NO] 175/1000 | Explicit-Implicit Collaborative Attention Guided Weakly Supervised Object Detection in Remote Sensing Images
[NO] 176/1000 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[NO] 177/1000 | HomeGuardian: Detecting Behavioral Anomalies Through Implicit Profiling in Smart Home Systems_supp1-3730188.pdf
[NO] 178/1000 | Map Construction with Multi-Observation on Geographic Perspective
[NO] 179/1000 | Aircraft Classification Using Convolutional Neural Networks on RCS Data and ISAR Images
[NO] 180/1000 | Spectro-Temporal Indicators of Leakage Current for Pre-Flashover Regime Assessment in Polluted High-Voltage Insulators
[NO] 181/1000 | Joint Near-Field Channel Estimation and Activity Detection for mMTC with Distributed Arrays
[NO] 182/1000 | Last-Swap-Kernel Polar Codes: A Structure to Improve Polarization under Finite-State Modulation
[NO] 183/1000 | Table of Contents
[NO] 184/1000 | IEEE Women in Engineering
[NO] 185/1000 | From Material Models and Soap Films to Stereoscopy: On Computer-generated Visualizations of Minimal Surfaces
[NO] 186/1000 | Design of anAbsorption-Scattering Integrated Metagrating for Dual-Frequency Operation
[NO] 187/1000 | Ergodic Trajectory Planning With Dynamic Sensor Footprints_supp1-3731532.mp4
[NO] 188/1000 | Generalizing on Diverse Shifts: A Unified Topology-Aware Reweighting Algorithm for Graphs
[NO] 189/1000 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[NO] 190/1000 | Fuzzy Mathematics in Archaeology: Foundations, Methods and Applications
[NO] 191/1000 | Transient Synchronization Stability Analysis and Control of GFLC and GFMC Hybrid Systems under Current Limiting Constraints
[NO] 192/1000 | Hierarchical Optimization for Multi-RSU ISAC Beamforming in V2X: A CRLB-Minimized Solution
[NO] 193/1000 | IEEE Transactions on Biomedical Engineering Handling Editors Information
[NO] 194/1000 | Joint and Streamwise Distributed MIMO Satellite Communications with Multi-Antenna Ground Users
[NO] 195/1000 | Dual-Granularity Consistency Optimization Framework for Unsupervised Aerial Cross-Modality Person Re-Identification
[NO] 196/1000 | ParSL Accelerated Parallel Grid Plane Fitting for Near Real-Time LiDAR Road Segmentation of Arctic Roads
[NO] 197/1000 | OmniPlanner: Universal Exploration and Inspection Path Planning Across Robot Morphologies_supp2-3733788.mp4
[NO] 198/1000 | Thermo-Mechanical Failure Mode of Wafer-Level IGCTs under Severe Surge Conditions
[NO] 199/1000 | QoS-CORE: QoS-Aware Joint Communication and Computing Resource Orchestration in Software-Defined Open RAN
[NO] 200/1000 | RWPNet: A Receptance Weighted Key Value Based Deep Fusion Network for Pansharpening
[NO] 201/1000 | IEEE Engineering in Medicine and Biology Society Publication Information
[NO] 202/1000 | Managing Appropriability in Open Innovation
[NO] 203/1000 | IEEE Women in Engineering
[NO] 204/1000 | A Fast 3-D Near-Field Imaging Method Using MMW MIMO Antenna Array System
[NO] 205/1000 | Event-Triggered Probability-Guaranteed State Estimation for Uncertain Complex Networks: A Compression–Decompression Framework
[NO] 206/1000 | IEEE Transactions on Games Publication Information
[NO] 207/1000 | TinyMyo: a Tiny Foundation Model for Flexible EMG Signal Processing at the Edge
[NO] 208/1000 | A Lightweight Rainfall Underwater Noise Perception Model for Environment-aware Underwater Acoustic Communication Scenarios
[NO] 209/1000 | WORKLOADAWARE: A Resource Allocation and Consolidation Technique for Heterogeneous Clouds
[NO] 210/1000 | ZeroDiff++: Generative Test-Time Adaptation for Zero-shot Learning_supp1-3728839.pdf
[NO] 211/1000 | Minimizing voltage deviations by using optimal Volt/VAr curves dynamic control in smart inverters for photovoltaic installations
[NO] 212/1000 | Forecasting Fused Magnesia Furnace Demand with Fuzzy Stochastic Configuration Networks and System Identification Techniques
[NO] 213/1000 | Decision letter for "Spaceborne Passive Microwave Signatures of Volcanic Eruptions: Hunga, Fukutoku-Oko-no-Ba, and Raikoke"
[NO] 214/1000 | Data Agents: Agentic Data Systems
[NO] 215/1000 | Precision Tracking Control for Fast Steering Mirror in Wide-range Aerial Scanning Imaging System
[NO] 216/1000 | Volumetric Plane-Based Gaussian Selection for Internal View Synthesis with 3D Gaussian Splatting
[NO] 217/1000 | EFE-TSC: Efficient Fuel-Economic Traffic Signal Control via Hotspot-Aware Multi-Objective Learning
[NO] 218/1000 | Effects of PMU Bias Errors In System Inertia Estimation
[NO] 219/1000 | A Predict-then-Schedule framework for Power Distribution Networks with AI Data Centers
[NO] 220/1000 | False Data Injection Attack Detection for DC Microgrids Using Partial Load Measurements
[NO] 221/1000 | Mode-Aware Short-Horizon Forecasting for Residential Heat Pump Water Heaters under Realistic Draws
[NO] 222/1000 | Evaluation of full impact of Carrington – equivalent GMD Event on Power Transformers on New Zealand’s Transmission Network
[NO] 223/1000 | Hierarchical Bayesian Tree-Weighted Light Gradient Boosting for Probabilistic Long-Term Conventional Load Forecasting
[NO] 224/1000 | Spatiotemporal Energy Optimization for Electrified Railways Based on a Mobile Energy Storage System
[NO] 225/1000 | Electricity Flexibility Evaluation of Hydrogen-Based Steelmaking with Solar PV Electrolysis
[NO] 226/1000 | Rethinking Research in Computer Science: Beyond Metrics, Toward Scientific Evolution
[NO] 227/1000 | Interactive Personalized Clustering: Navigating beyond Rigid Criteria and Sample Ambiguity
[NO] 228/1000 | A Fast and Soft Startup Strategy for Single-Stage Interleaved Totem-Pole DAB AC–DC Converter
[NO] 229/1000 | Data-Driven Graph Learning for Transmission Network Partitioning under N-1 Contingencies
[NO] 230/1000 | GLM-Net: A Mamba-Based Building Extraction Network with Global-Local Feature Collaboration for Remote Sensing Imagery
[NO] 231/1000 | Miniaturized Traveling-Wave Directional Filter Using Source–Load Coupling for LO Extraction and Signal Routing in Wireless Receivers
[NO] 232/1000 | Trusted Human Authority in Agentic Artificial Intelligence Systems: Rethinking Identity Assurance for Machine-Scale Operations
[NO] 233/1000 | Test Time Training for AC Power Flow Surrogates via Physics and Operational Constraint Refinement
[NO] 234/1000 | RFS Filtering for a Known Number of Targets
[NO] 235/1000 | Uncertainty Quantification and Measurement Error Correlation in Linear State Estimation
[NO] 236/1000 | Computationally Efficient Induction Machine Model Incorporating Magnetic Saturation and Air-Gap Flux Harmonics for Offline and Real-Time Analysis
[NO] 237/1000 | Time-Variant Problem of Distribution System Security Region: Phenomena, Reason and Solution
[NO] 238/1000 | A Probabilistic Load Margin Assessment Method for Active Distribution Networks
[NO] 239/1000 | A High Velocity Single-Crystal Silicon Edge-Anchored Micromachined Disk Resonator
[NO] 240/1000 | Efficient Solution for System Frequency Security-Constrained Optimization via Combined Smooth Approximation and Trajectory Sensitivity
[NO] 241/1000 | Harmonic Distortion Effects on Low-Voltage Distribution Transformers under Rising EV and Nonlinear Load Penetration
[NO] 242/1000 | A Physics-informed Convex Data Driven Model for Grid-interactive Reverse Osmosis Desalination Plant
[NO] 243/1000 | Technical Perspectives on Fault Current Injection Requirements in IEEE Std 2800-2022: Clarifications and Recommendations for Improvement
[NO] 244/1000 | Beyond Energy Functions and Numerical Integration: A New Methodology to Determine Transient Stability at the Initial State
[NO] 245/1000 | Authenticity Verification of Optical Satellite Imagery via Multi-color Space Evidential Fusion
[NO] 246/1000 | Voting-Based Hybrid Framework for Robust Anomaly Detection in Smart Grid Communication Networks
[NO] 247/1000 | Modified Synchronization Sliding Mode Control of a 6-DOF Closed-Kinematic Chain Mechanism Robot Manipulator
[NO] 248/1000 | DCE-Net: A Decoupled Cross-Modal Enhancement Network with Salient Difference Selection and Controlled Detail Compensation for Pansharpening
[NO] 249/1000 | Multimodal User Authentication via Keystroke-Triggered Fusion of Finger Pressure and Hand Kinematics
[NO] 250/1000 | A Threshold-Voltage Self-Compensated Dual-Gate IGZO TFT Cell for Robust In-Sensor Computing
[NO] 251/1000 | Efficient Hybrid Transformer-CNN Network for Real-World Image Denoising
[NO] 252/1000 | Provable Guarantees for Over-the-Air Federated Learning with Polynomial Neural Networks
[NO] 253/1000 | An All-Digital Algorithmic Flow for Correcting Receiver Impairments in Balanced N-Path Mixer-First Frequency-Division Duplex Transceivers
[NO] 254/1000 | An Adaptive Frequency-Down-Shifting Method for Synchrophasor Measurement in P-Class PMUs Based on the Time-Varying Amplitude-Frequency Model
[NO] 255/1000 | A Neural Generative Model for Simultaneously Global Registration and Fusion of Near-plane Featureless Machined Metal Surface
[NO] 256/1000 | PASTE: Physics-Aware Scattering Topology Embedding Framework for SAR Object Detection
[NO] 257/1000 | Stability Analysis of Grid-Following and Grid-Forming Converters Connected to Generators
[NO] 258/1000 | OALS: An Open source AI-Datacenter Load Simulator for Grid Impact Analysis
[NO] 259/1000 | Self-Verifying Anomaly Detection using Explainable AI for Cybersecurity of DER Networks
[NO] 260/1000 | Mutating the "Immutable": A Large-Scale Study of Git Tag Alterations
[NO] 261/1000 | Application Virtualization on macOS: Evaluating System Call Interception Approaches
[NO] 262/1000 | An External Knowledge-Guided Generative Model for Few-Shot Aspect Category Sentiment Analysis
[NO] 263/1000 | MIMO-Aware Patching Transformer with Spatial-Spectral Encoding for Hybrid-Field Channel Estimation in XL-MIMO Systems
[NO] 264/1000 | MGR-Road: Resolving Semantic-Geometric Conflict in One-Shot Vectorized Road Extraction
[NO] 265/1000 | Deep-UV Imaging Based on Ultrashallow Junction Silicon Photodiode Arrays
[NO] 266/1000 | Monolithic 3-D Integration of Memristive Bayesian Neural Network With Intrinsic Stochastic Gaussian Weight Generation
[NO] 267/1000 | IEEE App
[NO] 268/1000 | IEEE Systems, Man, and Cybernetics Society Information
[NO] 269/1000 | MSCSA-SAFL: A Self-Supervised Semi-Asynchronous Federated Framework for Zero-Day Intrusion Detection in Distributed IoT
[NO] 270/1000 | IEEE Access
[NO] 271/1000 | Exploring the Use and Evaluation of Glyphs in Visual Analytics Applications
[NO] 272/1000 | Policy Learning from Few Expert Videos via Long-Short Term Optimal Transport Reward Coordination_supp1-3728652.pdf
[NO] 273/1000 | The CMOS Active Pixel Image Sensor: A Revolution in Digital Imaging
[NO] 274/1000 | Adaptive-V Lyapunov Control for RIS-Assisted Wireless Offloading With Secure Verification Queues
[NO] 275/1000 | Design Optimization and Air-gap Harmonic Analysis of a Novel 15-phase Redundant Flux-Switching Permanent Magnet Machine for Wind Power Generation
[NO] 276/1000 | 2026 Aerospace &amp; Electronic Systems Society: Organization and Representatives
[NO] 277/1000 | Secure Beamforming Design Against Sensing Eavesdroppers in Integrated Sensing and Communication Systems
[NO] 278/1000 | CLMER: A Framework for Contrastive Learning-Based Multimodal Emotion Recognition
[NO] 279/1000 | Mobile Machine Learning Predictions of Bilateral Ground Reaction Forces during Variable Speed Walking and Prosthesis Use
[NO] 280/1000 | MLO-UORA and Traffic-to-Link Joint Optimization for IEEE 802.11bn Networks
[NO] 281/1000 | IEEE Open Journal of Systems Engineering Society Information
[NO] 282/1000 | Experimentation of 5G NR-NTN Waveform in Ku-Band on a Transparent LEO Satellite Constellation
[NO] 283/1000 | Efficient Repair of (
                    <i>k</i>
                    +2,
                    <i>k</i>
                    ) Degraded Read Friendly MDS Array Codes With Sub-packetization 2
[NO] 284/1000 | Share Your Preprint Research with the World!
[NO] 285/1000 | A Graph Attention-Enhanced Deep Reinforcement Learning Framework for Dynamic Service Function Chains Orchestration
[NO] 286/1000 | Front Cover
[NO] 287/1000 | IoT-MARS: IoT-Empowered Multi-Agent Routing for Survival Stratification in Multimodal ccRCC
[NO] 288/1000 | Deep Learning-Enabled Multi-Tag Detection in Ambient Backscatter Communications
[NO] 289/1000 | Hybrid Time-Shifted Feature Augmentation for Compact Photonic Time-Delay Reservoir Computing
[NO] 290/1000 | Wideband Space-Time Beamforming Weight Generator Based on Graph Neural Network
[NO] 291/1000 | IEEE MTT-S Student Fellowship and Scholarship Deadlines
[NO] 292/1000 | Physics-Aware Guided Deep Unfolding Framework for OTFS Channel Estimation Under Fractional Doppler Effects
[NO] 293/1000 | Image Demoiréing with Image Classification Priors
[NO] 294/1000 | Understanding Multimodal Learning From Modality Fusion and Alignment Perspectives_supp1-3729627.pdf
[NO] 295/1000 | Spatial-Sequence Joint Modeling for Accelerated Multi-Model Diffusion MRI Microstructure Estimation_supp1-3733593.pdf
[NO] 296/1000 | EEE Transactions on Computer-Aided Design of Integrated Circuits and Systems Publication Information
[NO] 297/1000 | Front Cover
[YES] 298/1000 | How Developers Respond to Insecure AI Code Suggestions under Poisoning Attacks: An Empirical Study of Interface-Level Countermeasures_supp1-3731966.pdf
[NO] 299/1000 | Cognitive Anti-Jamming for UAV Communications: A Spectrum State Abstraction Empowered Online Learning Approach
[NO] 300/1000 | Comparative Analysis of Muscle Fascia Tracking Algorithms for Real-Time Muscle Monitoring using Wearable Ultrasound_supp1-3734932.pdf
[NO] 301/1000 | Intelligent Restoration of Power Distribution Networks: a Framework Combining Temporal Graph Learning and Reinforcement-Enhanced Multi-Objective Evolution
[NO] 302/1000 | Multirate Cascaded Discrete-Time Sliding Mode Control with Dual-Loop Disturbance Estimation for Energy Storage Interfaces in DC Microgrids
[NO] 303/1000 | Cross-Modal Comprehensive Multi-Level Granularity Alignment for Vision-Language Pre-Training
[NO] 304/1000 | Constraints on the Perfect Phylogeny Mixture Model and Their Effect on Reducing Degeneracy_supp1-3726506.pdf
[NO] 305/1000 | A Parameterization Framework for Image-Based Resolution Modeling of Spatially-Variant PSF Deformation in Dedicated Breast PET
[NO] 306/1000 | Tail Delay Bound Analysis and Performance Optimization for Hierarchical SPMA via Stochastic Network Calculus
[NO] 307/1000 | Recovery of Brominated Plastics from Waste Electric and Electronic Equipment Using Tribo-electrostatic Separation
[NO] 308/1000 | Trainable OAMP With Hetero-Scaling for Finite-Dimensional Signal Estimation Under Prior Heterogeneity
[NO] 309/1000 | Review for "A Semi-Analytic Monte Carlo Simulation Framework for Modeling Scattering Effects in Underwater Light-Sheet Scheimpflug LiDAR"
[NO] 310/1000 | SIEFormer: Spectral-Interpretable and -Enhanced Transformer for Generalized Category Discovery
[NO] 311/1000 | Development and Characterization of a 2D, 700–2600 MHz Receiver Array, for the Estimation of Direction of Arrival (DoA) in the Frequency Domain
[NO] 312/1000 | Table of Contents
[NO] 313/1000 | Motif-GMN: Motif-Based Signed Graph Matching Network
[NO] 314/1000 | Decoding Expert Behavior in Markov Jump Singularly Perturbed Systems via Privacy-Preserving Inverse Reinforcement Learning
[NO] 315/1000 | Energy Management of Multi-Energy Communities: A Hierarchical MIQP-Constrained Deep Reinforcement Learning Approach
[NO] 316/1000 | Passive Mixer With Wideband Impedance-Transforming Wang Baluns for High-Linearity 7–31-GHz Operation
[NO] 317/1000 | Power System Feature-Based Event Classification by Means of Multiple PMU Data
[NO] 318/1000 | Quantum-Computing-Inspired Probabilistic Power Flow Calculation in Renewable-Rich Systems
[NO] 319/1000 | Impacts of Risk Metrics for Wildfire-Driven Public Safety Power Shutoffs
[NO] 320/1000 | 50 &amp; 25 Years Ago
[NO] 321/1000 | Wireless Battery-Free RF Electronic Skin for Robotic Grasping: From Proximity Sensing to Tactile Feedback_supp5-3731258.mp4
