[2026-09-09 23:51:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-08
正在获取论文...
[arXiv] 2026-09-08 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[IEEE] 2026-9-8 | Autonomous Aerial Interception in Cluttered Environments: An Integrated Perception-Guidance Framework With Adaptive State Estimation
[IEEE] 2026-9-9 | 
[ACM] 2026-9-9 | Uncertainty Interaction in Software-Intensive Systems: A Community Roadmap
[IEEE] 2026-9-8 | Decentralized Algorithm for Multi-Agent Linear Stochastic Bandit Using Gossip Communication
[IEEE] 2026-9-9 | Did:Crdt: Coordination-Free Decentralised Identifiers VIA Signed Crdts
[IEEE] 2026-9-9 | FC-Siamese-xView2: Fully Convolutional Siamese Networks for Pixel-Level Building Change Detection in Earthquake Damage Assessment
[IEEE] 2026-9-9 | Explainable AI Question-Answering Framework: Integrating RAG with Knowledge Graph Reasoning
[IEEE] 2026-9-8 | ER-AMRF: Essential RDHSI-based Anonymous Multiparty Review Framework
[IEEE] 2026-9-9 | Personalized Federated Learning with Mixture of Experts for EEG-Based Seizure Prediction
[IEEE] 2026-9-8 | Scaled Block Vecchia Approximation for High-Dimensional Gaussian Process Emulation on GPUs
[IEEE] 2026-9-8 | Integrated Multi-Pattern Building Risk Assessment Based on MT-InSAR Measurements
[IEEE] 2026-9-9 | Grid‑Forming‑Capable Coordination of SST‑Interconnected Microgrids
[IEEE] 2026-9-9 | An Efficient Transferable Local Explainer for Enhanced Explainability of Tabular Healthcare Data
[IEEE] 2026-9-9 | Low-Temperature Power-Efficient Design of an 8-Bit ALU for Quantum-Inspired Computational Architectures
[IEEE] 2026-9-9 | How Reliable Are Geospatial Foundation Model Embeddings for Cross-City Urban Mapping?
[IEEE] 2026-9-9 | RT-DPU: Scheduling Real-time Tasks with Heterogeneous Multi-DPU Engines
[IEEE] 2026-9-8 | Conference Support and Sponsors
[IEEE] 2026-9-8 | Unique Decoding of Extended Subcodes of GRS Codes Using Error-Correcting Pairs
[IEEE] 2026-9-8 | Detecting LLM Fact-conflicting Hallucinations Enhanced by Temporal-logic-based Reasoning_supp1-3731191.pdf
[IEEE] 2026-9-8 | FedMCP: Privacy-Preserving Federated Tool Indexing for Cross-Organizational MCP Deployments
[IEEE] 2026-9-8 | A Matrix-Inversion-Free Discrete Zeroing Neural Network for Time-Dependent Linear Equations
[IEEE] 2026-9-8 | Scheduling for Green Computility via LLM-Guided Deep Reinforcement Learning
[IEEE] 2026-9-8 | A Unified Stencil-Selection Framework for Perturbation-Resilient Discrete Zeroing Dynamics in Time-Varying Quadratic Programming
[IEEE] 2026-9-8 | Intention-Mediated Asymmetric Teleoperation Control for Multi-Robot Formations via Anisotropic Flow Fields
[IEEE] 2026-9-8 | An FPGA-Based Real-Time Edge Vision Node for Industrial IoT
[IEEE] 2026-9-8 | A High-Resolution 125-kHz BW Continuous-Time Sigma-Delta Modulator
[IEEE] 2026-9-8 | A fully differential, reference-free, and scalable mechanical stress sensor in CMOS technology
[IEEE] 2026-9-8 | An Adaptive Routing Network Based on Multimodal Fusion for Timestamp-Supervised Temporal Action Segmentation
[IEEE] 2026-9-9 | Study of memristor-based adders and subtractors and comparative analysis with CMOS realization
[IEEE] 2026-9-9 | Design Automation of 2-stage Op-Amp using ABC Algorithm
[IEEE] 2026-9-9 | Anti-Delay Distributed Control Strategy for Quad-Rotor Cluster
[IEEE] 2026-9-9 | MNC 2026 Copyright Page
[IEEE] 2026-9-8 | Dynamic Self-Attention Guidance for Layout-Consistent and Diverse Remote Sensing Image Generation
[IEEE] 2026-9-8 | GenMSLnet: Generative Modality-Specific Learning Enhanced Collaborative Fusion Network for Hyperspectral and SAR Joint Classification
[IEEE] 2026-9-9 | A Lightweight Causal Evidence Pipeline for Root-Cause Localization in Cloud-Native Systems
[IEEE] 2026-9-9 | From Uniform to Calibration: Priority-Conditioned Differential Privacy for Federated Vehicular Edge Client Selection
[IEEE] 2026-9-8 | Benchmarking Prompt Engineering Against Fine-Tuning for Multi-Label Vulnerability Detection in Solidity Smart Contracts: An Empirical Study
[IEEE] 2026-9-9 | End-To-End Digital Twin System for Cardiac Arrest Risk Detection: Design, Implementation, and Feasibility Evaluation
[IEEE] 2026-9-9 | HyGra: Accelerating Network-State Simulation for LLM Training in DCNs via Adaptive Packet-Flow Granularity
[IEEE] 2026-9-8 | Component-Based Reliability Assessment and Fault Diagnosis of Data Center Networks
[IEEE] 2026-9-9 | Beyond Reproducibility: Token Probabilities Expose Large Language Model Nondeterminism
[IEEE] 2026-9-8 | Dynamic-Aware Neural Implicit SLAM for Robust Pose Estimation and Mapping in Challenging Environments
[IEEE] 2026-9-8 | Model-Driven Deep Adaptive Parametric Imaging for Bistatic SAR under Motion Errors
[IEEE] 2026-9-9 | Resource-Efficient Pruning for Transformer via Low-Rank Importance Estimation
[IEEE] 2026-9-9 | Proceedings
[IEEE] 2026-9-8 | Artificial Intelligence for Perception Using 4D Radar
[IEEE] 2026-9-8 | Active and Structural Mass and Cost Comparison of 20 MW Direct-Drive Generators for Horizontal-Axis Offshore Wind Turbines
[IEEE] 2026-9-9 | ForEx: A Formal Verification Framework for Explainable Reasoning in Logical Fallacy Detection and Annotation
[IEEE] 2026-9-9 | Program Committee: Industrial Innovation Track
[IEEE] 2026-9-9 | 5G-PassiveMPE: a Cost-Effective Extrapolation Procedure for 5G Signals Using Zero-Span Measurements
[IEEE] 2026-9-9 | Learning Enzyme Optimal pH Ranges from Multimodal Molecular Representations_supp1-3729250.pdf
[ACM] 2026-9-9 | An Incident Management Approach Based on Site Reliability Engineering Practices to Support Governance in Proprietary Software Ecosystems
[ACM] 2026-9-9 | The Dynamics of Knowledge Concentration in Long-lived Collaborative Software Codebases
[ACM] 2026-9-9 | Proceedings of the 2026 IEEE/ACM 48th International Conference on Software Engineering
[ACM] 2026-9-9 | Trustworthiness of Continuous Integration Practices
[ACM] 2026-9-9 | Vibe Engineering
[ACM] 2026-9-9 | Towards a Software Supply Chain Security Barometer: A Model to Assess and Guide Community Efforts
[ACM] 2026-9-9 | torte: Reproducible Feature-Model Experiments à la Carte
[ACM] 2026-9-9 | Performance Improvement of Automated Test Input Data Generation by Using Value Concretization
[ACM] 2026-9-9 | Polaris: MIR-Level Obfuscation in LLVM for Efficient and Robust Decompiler Resistance
[IEEE] 2026-9-9 | On Converting Natural Language Requirements into Semi-Formal Templates Using LLMs
[IEEE] 2026-9-9 | Zero-Phase-Shift-Point Triggered Optoelectronic Oscillator for Position- and Width-Controllable Microwave Pulse Generation
[IEEE] 2026-9-9 | Simultaneously Encoding Pose and Stiffness on Riemannian Manifolds for Robot Learning From Demonstrations
[IEEE] 2026-9-9 | Toward Stakeholder-Driven Explainability for Ethically Constrained Physical-AI Decisions
[IEEE] 2026-9-8 | ShufflePaste: Four-Way Structural Disturbance Learning With Swin Transformer for Industrial Anomaly Detection
[IEEE] 2026-9-9 | CCEM-Net: Conflict-Aware Cross Evidential Modulation for Hyperspectral Change Detection
[IEEE] 2026-9-8 | Movable Antenna–Enabled UAV-ISAC: Joint Antenna Positioning, Beamforming, and Trajectory Optimization
[IEEE] 2026-9-9 | AI Transparency: Governance Compliance or Stakeholder Requirements?
[IEEE] 2026-9-8 | FlakyAssessor: Static Assessment of Patch Correctness for Flaky Tests
[IEEE] 2026-9-9 | Spared Motor Neurons Enable Control of a Robotic Sixth Finger for Functional Grasping in Tetraplegia_supp1-3732031.mp4
[IEEE] 2026-9-9 | Memory-Enhanced Dynamic Event-Triggered Sliding Mode Control for Semi-Markov Jump Singularly Perturbed Systems
[IEEE] 2026-9-8 | 2026 IEEE International Symposium on Intelligent Transportation and Smart City (ITASC)
[ACM] 2026-9-9 | DA2Mel: A Dual-Dynamic Adaptive Network for EEG-to-Mel Spectrogram Reconstruction
[IEEE] 2026-9-8 | Review for "Diffusion-Inspired Multi-Source Meta-Learning for Cross-Domain HSI Classification"
[IEEE] 2026-9-8 | A Smart IoT/CPS-Based Autonomous Inspection and Visual Warning System for Building Fire Safety Hazards
[IEEE] 2026-9-8 | Region Transfer-Driven Robust Multiobjective Operational Optimization for Sintering
[IEEE] 2026-9-8 | Hybrid Regularization of Diffusion Process for Salient Object Detection
[IEEE] 2026-9-8 | Process and layout-aware reliability analysis of FeMFET crossbar linearity
[IEEE] 2026-9-8 | Autonomous Vehicle Trajectory Tracking in the Presence of Malicious Packet Drops
[IEEE] 2026-9-8 | Triboelectric-RF Hybrid Energy Harvesters: Lateral-Sliding and Contact-Separation Modes
[IEEE] 2026-9-8 | From Bee to Basilisk: Cross-Domain Transfer of Learned Satellite Scheduling Policies via Orbital Mapping Functions
[IEEE] 2026-9-8 | A Modified Dual-Inductor Hybrid Dickson DC-DC Converter for High-Efficiency Data Center Power Delivery
[IEEE] 2026-9-9 | Stakeholder-Adaptive Safety Report Generation Using RAG and GSN
[IEEE] 2026-9-9 | Minerva: GPU-Accelerated HPC Infrastructure for Biomedical AI and Scientific Computing
[IEEE] 2026-9-9 | Wavelet-Guided Dynamic Transformer for High-Fidelity Super-Resolution in Terahertz Imaging Systems
[IEEE] 2026-9-8 | Low-Light Image Enhancement via Adaptive Self-Reinforced Retinex Projection Model
[IEEE] 2026-9-8 | Mapping Anatomical Safe Zones for Anterior Distal Humerus Fixation: A Principal Component Analysis and Cubic Spline Modeling Study
[IEEE] 2026-9-9 | Yaoling: A Domain-Adapted Large Language Model for Rail Transit via Continual Pre-Training and Fine-Tuning
[IEEE] 2026-9-9 | An 8K-Spin Ising Machine IC With Reconfigurable Many-Body Spin Interactions and 1-D Multi-Chip Scalability
[IEEE] 2026-9-8 | Recovering 40V EDPMOS Regulation Margin via Implant-Shadowing Mitigation in Output Voltage Regulation Circuit for Accessory-Interface and Load-Switch Applications
[IEEE] 2026-9-9 | Wide-Range and Fine-Gauge OFDR-based Strain Sensor via Extended Spectral Images Matching
[IEEE] 2026-9-9 | Message From General Chairs of CISOSE 2026
[IEEE] 2026-9-8 | A Text-Based Refactoring Dataset for Multi-Type Prediction Using Code Snippets and Software Metrics
[IEEE] 2026-9-8 | Preliminary design of the PF coil system for the EU-DEMO LAR baseline
[IEEE] 2026-9-8 | Enhanced Orthogonal AMP for Sparse Superposition Coded Systems With Clipping and Quantization
[IEEE] 2026-9-9 | “Why Can't I Just Use a Username?” Understanding Why Users Struggle with Decentralized Messaging Applications
[IEEE] 2026-9-9 | Distributed Multi-UAV Communication Coverage in Smart Cities: A Dynamic Spatiotemporal Graph Network Method with Maximum-Entropy-Driven Reinforcement Learning Strategy
[IEEE] 2026-9-8 | A Wireless Mains-Voltage-Level DC Motor Fed by Low-Voltage DC Source
[IEEE] 2026-9-8 | Distributed User Scheduling in Multi-Cell MIMO O-RAN With QoS Constraints
[IEEE] 2026-9-9 | An IoT-Driven Smart Farming System with Deep Learning Based Crop Health Monitoring and Precision Agriculture Analytics
[IEEE] 2026-9-9 | Keynotes
[IEEE] 2026-9-9 | Affordable Edge RGB+IR Fusion for Kitchen Safety Monitoring in Permanent Supportive Housing
[IEEE] 2026-9-9 | Securing IEEE 1451 via RISC-V TIMs Using Authenticated Encryption with Associated Data
[IEEE] 2026-9-8 | FlexTSF: A Flexible Forecasting Model for Time Series With Variable Regularities
[IEEE] 2026-9-8 | An Intelligent CEKNN-Based Multi-Sensor Fusion and GUI Monitoring Framework for Compound Fault Diagnosis of Wind Turbine Gearboxes
[IEEE] 2026-9-8 | CA-DSUNet: A Novel Physics-Prior-Guided Dual-Stream Deep Coupling Network for Flood Inundated Area Forecasting in Emergent Support
[IEEE] 2026-9-9 | IoT-Based Hybrid MPPT Solar Charge Controller with Dynamic Buck-Boost Switching for All-Weather Battery Charging
[IEEE] 2026-9-8 | Covert Air-Ground Federated Learning with Pruning: Enabling by STAR-RIS
[IEEE] 2026-9-8 | Monte Carlo Maximum Likelihood Reconstruction for Digital Holography with Speckle
[IEEE] 2026-9-9 | Contract-Theoretic Computing-Power Trading via Diffusion Policies with GAN Critics in Mobile Edge Environments
[IEEE] 2026-9-9 | Author response for "cGAN based data augmentation in latent space for seismology"
[ACM] 2026-9-9 | Exploring Prompts as Mixed Requirements and Solutions Artifacts
[ACM] 2026-9-9 | GDSynth: A Graph Database Testing Framework via Effective Graph Synthesis
[ACM] 2026-9-9 | LVing: A Vulnerability Detection and Visualization Platform for Rust
[IEEE] 2026-9-8 | Language-Driven Object-Oriented Two-Stage Method for Scene Graph Anticipation_supp1-3731115.pdf
[ACM] 2026-9-8 | A Study on the Impact of Six-Meridian Differentiation Based on Thematic Models on the Treatment of Diseases in Traditional Chinese Medicine
[IEEE] 2026-9-8 | Artifact-Robust SpO2 Estimation from Multi-Wavelength Vertebral PPG: in vivo Evaluation in a Porcine Model
[IEEE] 2026-9-8 | Comparing cognitive vulnerabilities of human pen-testers to an LLM
[IEEE] 2026-9-8 | A Novel Grey Multi-Scale Relational Analysis Model and Its Applications
[IEEE] 2026-9-8 | A 1.2 Gb/s NRZ Driver for Micro-Twisted Pair Cables Used in Imaging Catheters
[IEEE] 2026-9-8 | Automated Validation of Alternative Evacuation Routes: A Case Study for Citywide Evacuation in Kagoshima City
[IEEE] 2026-9-8 | DSDFNet: Dual-Stream Dense-Feedback Network for RGB-T Semantic Segmentation
[ACM] 2026-9-9 | Technical and Emotional Dynamics in Programming Languages Development
[ACM] 2026-9-9 | Exemplar: Computing Educators Oral History Project
[IEEE] 2026-9-9 | SLA-Aware Incident Detection and Alert Routing via MCP in Distributed Systems
[IEEE] 2026-9-9 | Design of a Lightweight Ring Oscillator-Based True Random Number Generator Using Digital Clock Manager for Cryptographic Applications
[IEEE] 2026-9-9 | RBHFL: A Robust Blockchain-Secured Hierarchical Federated Learning Framework for Edge Computing
[IEEE] 2026-9-8 | Polarization-Diversified Quad-Port Wearable Real-Time Simultaneous Transmit-Receive SWIPT Relay Antenna
[IEEE] 2026-9-8 | Sum-Rate Maximization for Movable-Antenna Array Enhanced Downlink NOMA Systems
[IEEE] 2026-9-9 | Two-Dimensional Taxonomy for -Ary Knowledge Representation Learning Methods_supp1-3731554.pdf
[IEEE] 2026-9-9 | Open-Set Recognition of Radar Jamming Patterns via Multimodal Signal Features: Representation, Modeling, and Practice
[IEEE] 2026-9-9 | Instrument Design and Pre-Launch Calibration of the High Accuracy On-board Calibrator (HAOC) on FengYun-3G
[IEEE] 2026-9-9 | Generative Federated Learning-Driven Privacy-Preserving Collaborative Optimization for Multimicrogrid Systems
[IEEE] 2026-9-9 | Beamforming for Full-Duplex Cell-Free ISAC: A Hybrid Projection-Riemannian Approach
[IEEE] 2026-9-9 | Design and Implementation of a High-Gain, Low- Noise Wideband Gilbert Cell Mixer in 65nm CMOS for Navigation Recievers
[IEEE] 2026-9-9 | Cross-Cutting Security Analysis of LLM-Generated Code via Metamorphic Testing and Association Rule Mining
[IEEE] 2026-9-8 | GPC-CF: A Graph Convolutional Pre-Trained Contrastive Cross-Fusion Framework for Multimodal Brain Representation Learning
[IEEE] 2026-9-9 | Learning-Based Robust Transient Stability Control for Networked Electrified Heavy-Duty Trucks Under Coupled CAN and Actuator Delays
[IEEE] 2026-9-9 | CRAYON: Supporting the Elicitation of Pluralistic Normative Requirements for Autonomous Systems
[IEEE] 2026-9-9 | Design and Performance Evaluation of Low-Error Approximate Adder Architectures for Energy-Efficient FPGA-Based Computing
[IEEE] 2026-9-9 | CMOS Inverter Standard Cell Library – Design and Characterization Using SKY130 PDK
[IEEE] 2026-9-9 | Learning-Based Denial-of-Key-Generation (DoKG) Attack Against Quantum Key Distribution
[IEEE] 2026-9-8 | LLM-Based Multimodal Reasoning Framework for UAV Low-Altitude Environmental Remote Sensing
[IEEE] 2026-9-8 | Reflectance Correction and Retrieval of Cloud Optical Thickness and Effective Radius using GF-5(02) POSP Observations
[IEEE] 2026-9-9 | Conference Forward: IRI 2026
[IEEE] 2026-9-8 | Stackelberg Game–Assisted MATD3 for User Association and Resource Allocation in SAGIN Slicing
[IEEE] 2026-9-9 | Heterogeneous Trend Fuzzy Information Granule-Based FCM-Transformer for Long-Term Forecasting_supp1-3732171.pdf
[IEEE] 2026-9-9 | LLMApp: Unleashing the Power of Large Language Model for Mobile App Usage Prediction
[IEEE] 2026-9-9 | A Stator Dual Permanent Magnet Pole-Changing Motor with Flux-Enhancing and Weakening Effect
[IEEE] 2026-9-9 | “Is This for Us?” Automating Tender Fit Assessment as a Pre-Contract Requirements Engineering Activity
[IEEE] 2026-9-9 | IEEE 1451.0 and 1451.1.6-based Smart Transducer Digital Twin Testbed for IoT Real-Time Monitoring and Control of Smart Homes
[IEEE] 2026-9-9 | Energy-Efficient 4-Bit Frequency Dividers for IoT Edge Nodes at 18nm FinFET Technology
[IEEE] 2026-9-9 | Refining Atmospheric Delay for Oblique Spaceborne LiDAR: A 3D Ray-Tracing Perspective on Horizontal Inhomogeneity
[ACM] 2026-9-9 | Teaching Emotional Awareness in Software Engineering: Evidence from a Professional Training Program
[ACM] 2026-9-9 | Intelligent Approach for Fostering Research Collaborations between Academia and Industry
[ACM] 2026-9-9 | Studying and Automating Issue Resolution for Software Quality
[IEEE] 2026-9-9 | When Developers Build Security Tools for Themselves: Requirement Misalignment in Automation Ecosystems
[IEEE] 2026-9-9 | Sensorimotor Proto-Objects: Bootstrapping Perception from Compensable Actions_supp1-3731855.pdf
[IEEE] 2026-9-8 | Sequential-Decoupled Predictive Anomaly Detection on Unlabeled Data via Duet-Flow Transformer and Manifold-Anchored Contrastive Inferencer
[IEEE] 2026-9-9 | RESO-Net: A Reusable Event-Driven AI Framework for Intelligent Network Slice Orchestration in Cloud-Native Telecom Systems
[IEEE] 2026-9-8 | Towards Robust CAPTCHA Design: A Multi-Agent Curriculum Learning Approach with Calibration and Fairness Analysis
[IEEE] 2026-9-9 | Carbon-Aware Requirements Engineering for AI Systems: A Vision for Sustainability-Driven Trade-Off Decisions
[IEEE] 2026-9-8 | Review for "Diffusion-Inspired Multi-Source Meta-Learning for Cross-Domain HSI Classification"
[IEEE] 2026-9-8 | Finding Firmware Vulnerabilities for Tightly Coupled Microcontrollers Using LLMs
共写入 2000 条记录，保存到 papers/paper2026-09-08.json。
论文获取成功，文件路径: papers/paper2026-09-08.json
正在筛选、翻译并发送邮件...
[NO] 1/2000 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[NO] 2/2000 | Sharp Bohr and Bohr-Rogosinski inequalities involving area measure for close-to-convex harmonic mappings
[NO] 3/2000 | Multimode squeezed light generation and characterization
[NO] 4/2000 | Radial velocity follow-up of \textit{Gaia} astrometric substellar companions: six confirmed brown dwarfs and 13 impostor binaries
[NO] 5/2000 | The Unreliable Progress Bar: Can LLM Agents Reliably Report Task Progress Throughout Execution?
[NO] 6/2000 | Magnetic phases of Kondo lattice materials Ce$_5$RhGe$_2$ and Ce$_5$IrGe$_2$
[NO] 7/2000 | Erased Postulates, Identity Types and Quotients
[NO] 8/2000 | PLC-Bin2Src: Retrieving Corresponding Structured Text Source Files for PLC Binaries
[NO] 9/2000 | Certified Topological Interaction in Neural Representations: Class Disentanglement Is Mostly Pairwise
[NO] 10/2000 | Classification of Legendrian doubles and suspensions
[NO] 11/2000 | A geometric Jacquet--Langlands correspondence for Shimura varieties
[NO] 12/2000 | Schwinger boson perturbation theory for spin-$S$ Kitaev-Heisenberg magnets: phase diagram and dynamical response near Kitaev spin liquids
[NO] 13/2000 | Symmetric power L-functions of a weighted hyper-Kloosterman family
[NO] 14/2000 | A vanishing criterion for Lie elements in a free Novikov algebra
[NO] 15/2000 | Physical Law Ecology: mapping multi-mechanism ecologies as the zeroth step of data-driven scientific discovery
[NO] 16/2000 | Layer Selection in VLMs for Zero-Shot OOD Detection via Multi-Resolution Entropy Estimation
[NO] 17/2000 | Continuity for random walks in hyperbolic percolation: drift, entropy, and dimension
[NO] 18/2000 | Harmonics of femtosecond and continuous-wave radiation for precision spectroscopy: generation efficiency and spectral line shape
[NO] 19/2000 | Breathers in solitonic room-temperature superlattice-induced superfluorescence in quasi-2D perovskites
[NO] 20/2000 | TASG-Explore: Traversability-Aware Sector-Guided Exploration for Ground Robot on Uneven Terrain
[NO] 21/2000 | Temporal State Transport in Video Generation: Diagnosing and Correcting Spectral Imbalance
[NO] 22/2000 | AURORA: Active Uncertainty-Driven Re-Orientation for In-Hand Reconstruction
[NO] 23/2000 | News from NA61/SHINE
[NO] 24/2000 | A Foundation Model for Large-Scale Wireless Network Planning , Operation and Optimization
[NO] 25/2000 | An Evidence Model for Agentic Processes: Evidence Claims, Trust Assumptions, and Policy Assessment
[NO] 26/2000 | Cahn-Hilliard phase-field modeling of tumor growth via locally adaptive isogeometric analysis with THB-splines
[NO] 27/2000 | Second-order regularity for weighted widely degenerate problems with explicit $u$-dependence
[NO] 28/2000 | Nonperturbative functional renormalization group for Higgs-singlet models with physics-informed neural networks
[NO] 29/2000 | Selective boundary condition reduction via learned error gating
[NO] 30/2000 | The Forgotten History of Wave Function Variance Optimization and its Relevance for Neural-Network VMC
[NO] 31/2000 | SequenceO1: End-to-End Ultra-Long (100K) Sequence Modeling in Recommendation with Low-Rank Caching
[NO] 32/2000 | AI-Native Orchestration in the 6G Continuum: Evolving Operator Platforms with Agentic AI
[NO] 33/2000 | Bayesian Group Testing Regression with a Shape-Free Dilution Curve
[NO] 34/2000 | EvolveScaler: Synthesizing Information-Evolution Contexts via Executable State Machines and Natural-Language Rendering
[NO] 35/2000 | Second derivatives of $p$-adic $L$-functions and the Shafarevich--Tate group of rank-two CM elliptic curves
[NO] 36/2000 | Fiber-based electro-optic dual-comb light source for fast linear and nonlinear spectroscopy
[NO] 37/2000 | Efficient quantum state preparation on Quantinuum hardware
[NO] 38/2000 | Policy Gains or Household Need? The Allocation Logic of China's Dibao Program
[NO] 39/2000 | Coverage Path Planning for Redundant Manipulators using Generalized Spanning Trees
[NO] 40/2000 | Localized Visual Feature Aggregation via Focus Pooling for Visuomotor Policies
[NO] 41/2000 | Performance of the subcarrier-wave quantum key distribution in the presence of spontaneous Raman scattering noise generated by classical DWDM channels
[NO] 42/2000 | Towards Embodied Air-Ground Cooperative Object Search: Benchmark, Dataset and Agentic Method
[NO] 43/2000 | Light cone distributions of $P$-wave quarkonia
[NO] 44/2000 | BRAHMS: A cross-platform graphical toolkit for (3+1)D simulation of three-wave mixing in $χ^{(2)}$ nonlinear media, with GPU and CPU backends
[NO] 45/2000 | How to Make the Gradient Mapping Small for Constrained Stochastic Min-Max Problems and Beyond
[YES] 46/2000 | Authority Is Not a String: A Capability-Scoped Harness for Prompt-Injection-Resistant Coding Agents
[NO] 47/2000 | ReMoMask-2: Latent Retrieval-Augmented Masked Motion Generation
[NO] 48/2000 | SentryLine: Evidence-Grounded Question Answering over Evolving Documents in Oncology Care
[NO] 49/2000 | A hypercontractive proof of the sharp bound for cancellative pairs
[NO] 50/2000 | Quantitative Parisi formulas and fluctuations in the Sherrington-Kirkpatrick model
[NO] 51/2000 | The Trudinger inequality is true for $M^{1,s}$ spaces
[NO] 52/2000 | Curriculum Learning as Transport: Understanding Curricula with Wasserstein Geodesics
[NO] 53/2000 | The Surprising Effectiveness of Approximate Value Iteration in Self-Play
[NO] 54/2000 | ToolLoop: Closed-Loop Tool-Use Data Synthesis via Decomposed Generation and Dynamic Self-Feedback
[NO] 55/2000 | A Distributed Consensus Particle Filter for Target Tracking using Autonomous Surface Vessels
[NO] 56/2000 | On the complement of a union of cosets
[NO] 57/2000 | Sharp Fractional Riesz Estimates on the Hypercube
[NO] 58/2000 | Wolf-Rayet stars and black holes: mass distributions and evolutionary connection
[NO] 59/2000 | Some weighted modular inequalities in variable Lebesgue spaces
[NO] 60/2000 | Task-driven Processing with Coarse-to-Fine Glimpse-based Active Perception
[NO] 61/2000 | Fish navigate a hydrodynamic maze via yaw-mediated lateral migration
[NO] 62/2000 | Combined JWST and HST Deep Imaging to Characterize the Smallest Known Trans-Neptunian Objects
[NO] 63/2000 | 5d SCFT fixtures
[NO] 64/2000 | Evaluation of Contextual Understanding in Large Language Models
[NO] 65/2000 | Endpoint and Vanishing-Density Asymptotics for Hardy--Szegő Zero Counts
[NO] 66/2000 | A Sublinear Approximation Algorithm for Minimum Dilation Trees in the Plane
[NO] 67/2000 | Triaxiality of the Milky Way dark matter halo and the microlensing optical depth towards the Large Magellanic Cloud
[NO] 68/2000 | Omni Interaction Agent Technical Report
[NO] 69/2000 | On the Two-Weight Problem for One-Sided Maximal Operators in Higher Dimensions
[NO] 70/2000 | Limit Sets and Global Bifurcation Structure in Planar Control Models with Large Hysteresis
[NO] 71/2000 | A growth gap for anisotropic minimal graphs
[NO] 72/2000 | On $p$-Spread Measures
[NO] 73/2000 | The Delta of a Variance Swap
[NO] 74/2000 | Quantum spacetime and gravity from the IKKT matrix model: an invitation
[NO] 75/2000 | Prior-free relative 6D pose estimation of multiple object instances
[NO] 76/2000 | FINALLY: A Dataset Recommender System for Recommender-Systems Research
[NO] 77/2000 | A virtual reality extension for the Geant4 toolkit
[NO] 78/2000 | CoSA: Correlation-Guided Change A ttention with Learnable Residual Gating for Remote Sensing Change Detection
[NO] 79/2000 | Zirconium Carbide as a High-Temperature Benchmark for the Beyond Quasi-Harmonic Method
[NO] 80/2000 | To Stop or Not to Stop: Exploring the Intention-Behavior Gaps in Smartphone Usage
[NO] 81/2000 | The BatchNorm Illusion: Diagnosing Normalization Artifacts in Machine Unlearning Evaluation
[NO] 82/2000 | On the Stability of the Independence Number in Random Distance Graphs
[NO] 83/2000 | On Weighted Mathai-Haubold Entropy Measures
[NO] 84/2000 | Phase transition for strongly correlated percolation models on supercritical Bernoulli clusters
[NO] 85/2000 | The Double-Edged Sword of Short-Selling Bans
[NO] 86/2000 | High-Order Discontinuous Cut Finite Element Methods for Scalar Hyperbolic Conservation Laws
[NO] 87/2000 | Controlling Hydrogen Isotope Retention at Helium Cavities through Radiation-Induced Segregation in Fusion Steels
[NO] 88/2000 | Covariant Phase Space and Carroll-Weyl $χ$ Symmetry of Carroll Non-BPS D$_p$-branes
[YES] 89/2000 | Towards Standardized Evaluation of GPU Memory Safety with GMSBench
[NO] 90/2000 | REDSI: Addressing the Reproducibility and Evaluation Consistency of Differentiable Search Indexing for Document Retrieval
[NO] 91/2000 | DSE-VTG: Dual-Side Enhancement for Training-Free Video Temporal Grounding
[NO] 92/2000 | On 2D Scattering for a Critical Nonlinear Schrödinger Flow
[NO] 93/2000 | Leveraging Visual and Geometric Priors for Metric-scale and Complete Vehicle Gaussian Reconstruction from Limited Views
[NO] 94/2000 | Orbital choice in constructing model Hamiltonians
[NO] 95/2000 | Asynchronous Model Predictive Control Under Model Mismatch: Stability and Performance Guarantees
[NO] 96/2000 | Hyperfine-driven polarization effects in elastic muon scattering by atomic nuclei
[NO] 97/2000 | From Local Context to Climate Science: Low-Cost Experimentation in the Initial Training of Physics Teachers
[NO] 98/2000 | Approval-Based Multiwinner Voting with Candidate Qualities
[NO] 99/2000 | Low-Temperature Large Deviations for the Two-Dimensional Wick-Ordered Cubic Wave Equation
[NO] 100/2000 | Neutral scalar particle in a charged wormhole background
[NO] 101/2000 | When does nonreciprocity matter? Scale-dependence and nonequilibrium signatures
[NO] 102/2000 | Beyond Gait: Person Identification from Millimeter-Wave Point Clouds Across Activities of Daily Living
[NO] 103/2000 | Critical structures of inner functions II
[NO] 104/2000 | Eliciting Weak-to-Strong Generalization with On-Policy Reverse Distillation
[NO] 105/2000 | Non-destructive 3D doping imaging of silicon sensors
[NO] 106/2000 | Theory updates for parton distributions in Hessian formalism
[NO] 107/2000 | Kairos: A Dataset for Fine-Grained Video-Language Modeling over Space, Time, and Dynamics
[NO] 108/2000 | Optimal input design via Frank-Wolfe
[NO] 109/2000 | Decorated electronic kagome lattice in twisted bilayer germanene
