[2026-05-06 22:53:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-05
正在获取论文...
[arXiv] 2026-05-05 | LIPPEN: A Lightweight In-Place Pointer Encryption Architecture for Pointer Integrity
[NO] 9/1811 | Bundles of Probability Schemes
[NO] 10/1811 | Quasimonophobic graphs and degree spectral sequences in discrete cubical homology
[NO] 11/1811 | Properties and implications of the four-loop non-singlet splitting functions in QCD
[NO] 12/1811 | Classical correlation functions at strong coupling from hexagonalization
[NO] 13/1811 | Raising the Ceiling: Better Empirical Fixation Densities for Saliency Benchmarking
[NO] 14/1811 | Deco: Extending Personal Physical Objects into Pervasive AI Companion through a Dual-Embodiment Framework
[NO] 15/1811 | DMGD: Train-Free Dataset Distillation with Semantic-Distribution Matching in Diffusion Models
[NO] 16/1811 | Bodyless Presence: Reconsidering the Minimal Self in Immersive Video
[YES] 17/1811 | Correct Is Not Enough: Training Reasoning Planners with Executor-Grounded Rewards
[NO] 18/1811 | Aspect-Aware Content-Based Recommendations for Mathematical Research Papers
[NO] 19/1811 | A Deeper Dive into the Irreversibility of PolyProtect: Making Protected Face Templates Harder to Invert
[NO] 20/1811 | Complex Equation Learner: Rational Symbolic Regression with Gradient Descent in Complex Domain
[NO] 21/1811 | Reply to Comment on "Controlling the Dynamical Evolution of Quantum Coherence and Quantum Correlations in $e^{+}e^{-} \to Λ\barΛ$ Processes at BESIII"
[NO] 22/1811 | Data-driven Initial Gap Identification of Piecewise-linear Systems using Sparse Regression and Universal Approximation Theorem
[NO] 23/1811 | Epsilon multiplicity, multiplicity=volume formula and analytic spread of family of ideals
[NO] 24/1811 | ConRAD: Conformal Risk-Aware Neural Databases
[NO] 25/1811 | Graph Convolutional Support Vector Regression for Robust Spatiotemporal Forecasting of Urban Air Pollution
[NO] 26/1811 | Honest Reporting in Scored Oversight: True-KL0 Property via the Prekopa Principle
[NO] 27/1811 | Training-Free Probabilistic Time-Series Forecasting with Conformal Seasonal Pools
[NO] 28/1811 | Empirical Bernstein Confidence Intervals for Kernel Smoothers: A Safe and Sharp Way to Exhaust Assumed Smoothness
[NO] 29/1811 | Attosecond-Stable Two-Dimensional Spectroscopy by a Sagnac-Based Modulating System and a sub-4-fs Continuum Source
[NO] 30/1811 | First-Order Transitions in Weak Ising Spin-Orbit-Coupled Superconductors
[NO] 31/1811 | Thermal activation rate of dilute axion stars close to the maximum mass
[NO] 32/1811 | Nora: Normalized Orthogonal Row Alignment for Scalable Matrix Optimizer
[NO] 33/1811 | The high K anomaly in ScAlN explained
[NO] 34/1811 | Effect of Adding Wave Diffractors Within Reverberation Chambers on the Frequency Spacing of Adjacent Resonant Modes
[NO] 35/1811 | A density-matrix derivation of the Hartree--Fock equations in a nonorthogonal atomic-orbital basis
[NO] 36/1811 | Before Forgetting, Learn to Remember: Revisiting Foundational Learning Failures in LVLM Unlearning Benchmarks
[NO] 37/1811 | Dark Matter Production from Bubble Collisions during a First-Order Phase Transition at the End of Inflation
[NO] 38/1811 | Improved estimation of positive powers of scale parameters of exponential distributions under a prior information
[NO] 39/1811 | Internet of Things Security: A Survey on Common Attacks
[NO] 40/1811 | Assessing the role of ITER ECE oblique view in resolving non-thermal emissions
[NO] 41/1811 | Ensemble Engineering to Overcome Destructive Cancellation in Quantum Measurements
[NO] 42/1811 | SAM-NER: Semantic Archetype Mediation for Zero-Shot Named Entity Recognition
[NO] 43/1811 | Doubly Robust Instrumented Difference-in-Differences
[NO] 44/1811 | Error Analysis of Time-Dependent Test Functions in the Semi-Lagrangian Discontinuous Finite Element Scheme Based on the Characteristic Galerkin Method
[NO] 45/1811 | Local estimation of transition rates of jump processes through discretization
[NO] 46/1811 | On Regular Quantum Commutative Algebras
[NO] 47/1811 | Real Image Denoising with Knowledge Distillation for High-Performance Mobile NPUs
[NO] 48/1811 | MEMTIER: Tiered Memory Architecture and Retrieval Bottleneck Analysis for Long-Running Autonomous AI Agents
[NO] 49/1811 | Beyond lead halide perovskites: visible light photovoltaics with phase engineered bismuth-based oxide double-perovskites, Bi2MCrO6 (M = Fe, Mn)
[YES] 50/1811 | Geographic Variation in Stack Overflow Code Quality: Evidence from a Cross-Regional Study of Coding Practices
[NO] 51/1811 | Stage Light is Sequence$^2$: Multi-Light Control via Imitation Learning
[YES] 52/1811 | Backtrackable Inprocessing
[NO] 53/1811 | The Detector Teaches Itself: Lightweight Self-Supervised Adaptation for Open-Vocabulary Object Detection
[NO] 54/1811 | Jiao: Bridging Isolation and Customization in Mixed Criticality Robotics
[NO] 55/1811 | Diffusion Masked Pretraining for Dynamic Point Cloud
[NO] 56/1811 | Self-Improvement for Fast, High-Quality Plan Generation
[NO] 57/1811 | A Few-Step Generative Model on Cumulative Flow Maps
[NO] 58/1811 | Exact and Approximate Algorithms for Polytree Learning
[NO] 59/1811 | BIT.UA-AAUBS at ArchEHR-QA 2026: Evaluating Open-Source and Proprietary LLMs via Prompting in Low-Resource QA
[NO] 60/1811 | Reducing Postselection Overhead in Magic-State Cultivation by In-Patch Multiplexing
[NO] 61/1811 | Set-like operations on propositional logic programs
[NO] 62/1811 | On the Algebraic Origin of Four-Dimensional Space-time in the IIB Matrix Model: Dimensional Selection via Rigid Supersymmetry
[NO] 63/1811 | The Distribution Of Subtrees In Dense Graphs And The Roots Of The Subtree Polynomial
[NO] 64/1811 | ZK-Value: A Practical Zero-Knowledge System for Verifiable Data Valuation
[NO] 65/1811 | Non-Markovian Electroweak Baryogenesis: Memory Effects on CP-Violating Transport and Gravitational Waves
[NO] 66/1811 | Optical Variability Structure Function of Low-Luminosity AGN using ATLAS Lightcurves
[NO] 67/1811 | Experimental demonstration of a coherent detector blinding attack on a real CV-QKD system
[NO] 68/1811 | Optimal Navigation in Stochastic and Disordered Gridworlds
[NO] 69/1811 | HeadQ: Model-Visible Distortion and Score-Space Correction for KV-Cache Quantization
[NO] 70/1811 | Local interaction of two systems with saddle-node bifurcations: mutualistic and mixed cases
[NO] 71/1811 | Optimal Union Probability Interval Is NP-Hard
[NO] 72/1811 | On the shape of the positivity region for a free boundary problem describing cell polarization
[NO] 73/1811 | DALPHIN: Benchmarking Digital Pathology AI Copilots Against Pathologists on an Open Multicentric Dataset
[NO] 74/1811 | Searching For Fast Radio Transients And Radio Pulsars Using SPOTLIGHT
[NO] 75/1811 | Kolmogorov-Smirnov distance and discrepancies versus Wasserstein distances
[NO] 76/1811 | Parametrizing Convex Sets Using Sublinear Neural Networks
[NO] 77/1811 | Scale-Dependent Input Representation and Confidence Estimation for LLMs in Materials Property Prediction
[NO] 78/1811 | Growth rates of indecomposable summands in tensor powers of representations of quivers
[NO] 79/1811 | Self-Interaction Bounds on Ultralight Dark Matter Couplings to Matter
[NO] 80/1811 | Large Language Models are Universal Reasoners for Visual Generation
[NO] 81/1811 | Localic Relations with Open Cones
[NO] 82/1811 | OpenSeeker-v2: Pushing the Limits of Search Agents with Informative and High-Difficulty Trajectories
[YES] 83/1811 | Probabilistic-bit Guided CDCL for SAT Solving using Ising Consensus Assumptions
[NO] 84/1811 | Conditional Diffusion Sampling
[NO] 85/1811 | SymptomAI: Towards a Conversational AI Agent for Everyday Symptom Assessment
[NO] 86/1811 | PySME v1.0: improved modelling of stellar spectra for survey-scale applications
[NO] 87/1811 | Domain-Adaptive Dense Retrieval for Brazilian Legal Search
[NO] 88/1811 | Structural Limits of OHLCV-Based Intraday Signals in MNQ Futures: A Systematic Falsification Study
[NO] 89/1811 | Physics-Grounded Multi-Agent Architecture for Traceable, Risk-Aware Human-AI Decision Support in Manufacturing
[NO] 90/1811 | EQUITRIAGE: A Fairness Audit of Gender Bias in LLM-Based Emergency Department Triage
[NO] 91/1811 | Joint Design of Piggyback and Conjugate Transformation Functions for Repair Bandwidth Reduction in Piggybacking Codes
[NO] 92/1811 | Classification of irreducible Harish-Chandra modules over extended Divergence-zero Lie algebras
[NO] 93/1811 | Flow Sampling: Learning to Sample from Unnormalized Densities via Denoising Conditional Processes
[NO] 94/1811 | An $\widetilde{O} (n^{3/7})$ Round Parallel Algorithm for Matroid Bases
[NO] 95/1811 | Quantum metrology of mixed states via purification
[NO] 96/1811 | Inverse-designed release-free optomechanical crystal with high photon-phonon coupling
[NO] 97/1811 | Near-Field Beam Focusing Characterization for 2D Waveguide-Fed Metasurface Antennas
[NO] 98/1811 | Sequential vs. Simultaneous Entanglement Swapping under Optimal Link-Layer Control
[NO] 99/1811 | Fast, accurate, high-resolution simulation of large-scale Fermi-Hubbard models on a digital quantum processor
[NO] 100/1811 | Ringdown Analysis of GW250114 with Orthonormal Modes
[NO] 101/1811 | A connection between minimal nilpotent orbits of types A and D via Hamiltonian reduction
[NO] 102/1811 | Graph Reconstruction from Differentially Private GNN Explanations
[NO] 103/1811 | Harnessing DEN models for quantum computing tasks on neutral atom QPUs
[NO] 104/1811 | Nonuniform superconducting states from Majorana flat bands
[NO] 105/1811 | Resonances as signatures of scalar clouds in eccentric extreme-mass-ratio inspirals
[NO] 106/1811 | Variational Joint Magnetometry and Gradiometry on Dipolar Spin Chains
[NO] 107/1811 | WorldJen: An End-to-End Multi-Dimensional Benchmark for Generative Video Models
[NO] 108/1811 | Quantum Resource Estimation for Minimising Energy Grid Losses
[NO] 109/1811 | Asymptotic properties of random monomial ideals
[NO] 110/1811 | A duality for definable subcategories and its application to torsion classes
[NO] 111/1811 | VL-SAM-v3: Memory-Guided Visual Priors for Open-World Object Detection
[NO] 112/1811 | High-Redshift Gravitational Lens Discoveries in JWST NIRCam Using AnomalyMatch
[NO] 113/1811 | Exposing LLM Safety Gaps Through Mathematical Encoding:New Attacks and Systematic Analysis
[NO] 114/1811 | Demonstration of a compact optical resonator-based displacement sensing technique with sub-femtometer precision
[NO] 115/1811 | DD-pair production in the parton Reggeization approach taking into account single and double parton scattering scenarios
[NO] 116/1811 | DynaTab: Dynamic Feature Ordering as Neural Rewiring for High-Dimensional Tabular Data
[NO] 117/1811 | Replacing Parameters with Preferences: Federated Alignment of Heterogeneous Vision-Language Models
[NO] 118/1811 | Behaviour of Certain Crystalline Representations modulo $2$
[NO] 119/1811 | Adaptive Dual-Path Framework for Covert Semantic Communication
[NO] 120/1811 | Identification of Clock Ensemble Noise Parameters Using Differential Measurement Analysis
[NO] 121/1811 | Flow instability in Stokes layer of Carreau fluids
[NO] 122/1811 | Critical study of A. Eswari and S. Sarvana kumar, "Chronoamperometric response of electrochemical reaction diffusion system: a new theoretical and numerical investigation for EC2 scheme", in J. Iran. Chem. Soc. 21(8), (2024), 2183-2199
[NO] 123/1811 | DACP: A Scientific Data Access and Collaboration Protocol
[NO] 124/1811 | Sparkling bubbles in chiral active fluids
[NO] 125/1811 | Adaptive Estimation and Optimal Control in Offline Contextual MDPs without Stationarity
[YES] 126/1811 | Two Calls, Two Moments, and the Vote-Accuracy Curve of Repeated LLM Inference
[NO] 127/1811 | Learning Dynamics of Zeroth-Order Optimization: A Kernel Perspective
[NO] 128/1811 | SoDa2: Single-Stage Open-Set Domain Adaptation via Decoupled Alignment for Cross-Scene Hyperspectral Image Classification
[NO] 129/1811 | Scalar bosonic oscillator fields in LV-wormholes
[NO] 130/1811 | Optimal error bounds on the exponential wave integrator for nonlinear Schrödinger equations with highly singular potential
[NO] 131/1811 | VLMaxxing through FrameMogging Training-Free Anti-Recomputation for Video Vision-Language Models
[NO] 132/1811 | The depth function of powers of cover ideals of path graphs
[NO] 133/1811 | Inclusive breakup of three-body projectiles: A unified four-body framework for pair-detected and single-particle observables
[NO] 134/1811 | Automated Large-scale CVRP Solver Design via LLM-assisted Flexible MCTS
[NO] 135/1811 | Superposition of quasi coherent Bohm Madelung waves
[NO] 136/1811 | Explosion versus decay for boundary derivatives of $p$-harmonic functions as $p$ tends to 1: nonlocality
[NO] 137/1811 | Does $ψ(4660)$ exist?
[NO] 138/1811 | Forward--Backward Green Cosine Geometry for Directed Community Detection and Overlap Expansion
[NO] 139/1811 | Quantitative cavity-enhanced photothermal dynamics in TMDC-integrated ultrahigh-Q microcavities
[NO] 140/1811 | TACO: Trajectory Aligning Cross-view Optimisation
[YES] 141/1811 | When to Think, When to Speak: Learning Disclosure Policies for LLM Reasoning
[NO] 142/1811 | LLM-XTM: Enhancing Cross-Lingual Topic Models with Large Language Models
[NO] 143/1811 | Neural Control: Adjoint Learning Through Equilibrium Constraints
[NO] 144/1811 | Characterizing Finite Groups via Subgroup Perfect Codes
[NO] 145/1811 | The consecutive lifting-projection flow as an approximation of Boltzmann and Landau flow
[NO] 146/1811 | Ultrafast acoustic modulation of second-harmonic generation in monolayer transition metal dichalcogenides
[NO] 147/1811 | Partial Effective Information Decomposition for Synergistic Causality
[NO] 148/1811 | Intrinsic effective sample size for manifold-valued Markov chain Monte Carlo via kernel discrepancy
[NO] 149/1811 | MultiLRSGA: A method for multi-player differentiable games
[YES] 150/1811 | The Right Answer, the Wrong Direction: Why Transformers Fail at Counting and How to Fix It
[NO] 151/1811 | Revisiting the Stress Field Inside an Elastic Sphere Subjected to a Concentrated Load
[NO] 152/1811 | Modular flow of Celestial Conformal Field Theory
[YES] 153/1811 | Exploring Sustainability in Scientific Software through Code Quality & Test Coverage Metrics
[NO] 154/1811 | On Model-Based Clustering With Entropic Optimal Transport
[NO] 155/1811 | Squid-inspired soft superpropulsion
[NO] 156/1811 | A Closed-Form Adaptive-Landmark Kernel for Certified Point-Cloud and Graph Classification
[NO] 157/1811 | What is a resonance? And why does it matter?
[NO] 158/1811 | A Berry-Esseen Bound for Quantum Lattice Systems
[NO] 159/1811 | Design and Analysis of Quantum Dual-Containing CSS LDPC Codes based on Quasi-Dyadic Matrices
[NO] 160/1811 | Transformers with Selective Access to Early Representations
[NO] 161/1811 | Novel Realizations of Warp Drive Spacetimes as Solutions of General Relativity
[NO] 162/1811 | Reservoir property image slices from the Groningen gas field for image translation and segmentation
[NO] 163/1811 | Extended-variable relaxations for the constrained generalized maximum-entropy sampling problem
[YES] 164/1811 | Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software
[YES] 165/1811 | MOSAIC-Bench: Measuring Compositional Vulnerability Induction in Coding Agents
[NO] 166/1811 | Magnetic geodesics, Hodge Laplacian eigenvalues, and isoperimetric inequalities
[NO] 167/1811 | Towards Open World Sound Event Detection
[NO] 168/1811 | Magic-Informed Quantum Architecture Search
[NO] 169/1811 | Optimal Posterior Sampling for Policy Identification in Tabular Markov Decision Processes
[NO] 170/1811 | A frictional control mechanism of circumpolar transport in barotropic reentrant channel models
[NO] 171/1811 | Task-Aware Scanning Parameter Configuration for Robotic Inspection Using Vision Language Embeddings and Hyperdimensional Computing
[NO] 172/1811 | Searching for long-lived particles with the ILD experiment
[YES] 173/1811 | Contextual Multi-Objective Optimization: Rethinking Objectives in Frontier AI Systems
[NO] 174/1811 | The Keplerian disk, envelope, and streamers surrounding an early O-type protostar in the Sagittarius C cloud of the Central Molecular Zone
[NO] 175/1811 | Multipole Functions for Image Analysis II: Equal Area Weighting and Application to Supernova Remnant Images
[NO] 176/1811 | Phase-Corrected Near-Field Microwave Imaging via Inverse Source Reconstruction with Modulated Signals
[NO] 177/1811 | Spatiotemporal Convolutions on EEG signal -- A Representation Learning Perspective on Efficient and Explainable EEG Classification with Convolutional Neural Nets
[NO] 178/1811 | Surviving the Edge: Federated Learning under Networking and Resource Constraints
[NO] 179/1811 | On Adaptivity in Zeroth-Order Optimization
[NO] 180/1811 | A Foundation for the Core Mathematician
[NO] 181/1811 | Holomorphically parallelizable solvmanifolds with special metrics and their deformations
[NO] 182/1811 | Parameter-Efficient Multi-View Proficiency Estimation: From Discriminative Classification to Generative Feedback
[NO] 183/1811 | Mechanical Conscience: A Mathematical Framework for Dependability of Machine Intelligenc
[NO] 184/1811 | SOAR: Real-Time Joint Optimization of Order Allocation and Robot Scheduling in Robotic Mobile Fulfillment Systems
[YES] 185/1811 | TRACE: A Metrologically-Grounded Engineering Framework for Trustworthy Agentic AI Systems in Operationally Critical Domains
[NO] 186/1811 | A Domain Incremental Continual Learning Benchmark for ICU Time Series Model Transportability
[YES] 187/1811 | KVerus: Scalable and Resilient Formal Verification Proof Generation for Rust Code
[NO] 188/1811 | IRIS NUV diagnostics for Ellerman bombs: spectral properties, thermodynamics, and formation height
[NO] 189/1811 | A Directivity-Dependent Rician K-Factor Model for Indoor Industrial Channels
[YES] 190/1811 | Agentic-imodels: Evolving agentic interpretability tools via autoresearch
[NO] 191/1811 | ScrapMem: A Bio-inspired Framework for On-device Personalized Agent Memory via Optical Forgetting
[NO] 192/1811 | Towards accurate extreme event likelihoods from diffusion model climate emulators
[NO] 193/1811 | Sparse Rank Regression for Restricted-Access Economic Data
[NO] 194/1811 | Central series of cocommutative Hopf braces
[NO] 195/1811 | A note on cycles in cyclically $4$-edge-connected cubic planar graphs
[NO] 196/1811 | ReLeaf: Benchmarking Leaf Segmentation across Domains and Species
[NO] 197/1811 | VERSUS: An excursion-set-inspired void-finder for the Stage-IV era
[NO] 198/1811 | Gossamer Superconductivity in Moiré WSe$_2$ Bilayer
[NO] 199/1811 | Benchmarking Parameter-Efficient Fine-Tuning of Large Language Models for Low-Resource Tajik Text Generation with the Tajik Web Corpus
[NO] 200/1811 | Defect-Engineered Beryllium Dinitride (BeN2) Monolayer with Light-Metal Decoration for Reversible High-Capacity Hydrogen Storage
[NO] 201/1811 | On existence of local and global strong solutions for the stochastic tamed Navier-Stokes equations on $\mathbb{R}^3$
[NO] 202/1811 | A Correction Method for Crack Area Overestimation in Phase-Field Fracture
[NO] 203/1811 | Linear and Non-Linear Rheology of Single and Double Cross-Linked Biopolymer Networks under Viscous Shear Flow
[NO] 204/1811 | Detecting Stealth Sycophancy in Mental-Health Dialogue with Dynamic Emotional Signature Graphs
[YES] 205/1811 | FINER-SQL: Boosting Small Language Models for Text-to-SQL
[NO] 206/1811 | Cubic edge dispersion in a semi-Dirac Chern insulator
[NO] 207/1811 | Analysis and Design of Double-Transmitting Coil Systems based on Parity-Time Symmetry
[NO] 208/1811 | A Comparison of Traditional Machine Learning Algorithms and LSTM-Based Deep Learning Models for Email Sentiment Analysis
[NO] 209/1811 | Promoting Fair Online Resource Allocation with Indivisible Units
[NO] 210/1811 | Quantum Hierarchical Reinforcement Learning via Variational Quantum Circuits
[NO] 211/1811 | FIBER: A Differentially Private Optimizer with Filter-Aware Innovation Bias Correction
[NO] 212/1811 | Deepfake Audio Detection Using Self-supervised Fusion Representations
[NO] 213/1811 | A Proximal Augmented Lagrangian Method Based on Quadratic Approximations for Weakly Convex Optimization
[NO] 214/1811 | Geometry over Density: Few-Shot Cross-Domain OOD Detection
[YES] 215/1811 | Robust Agent Compensation (RAC): Teaching AI Agents to Compensate
[NO] 216/1811 | Reflections on future problems in cluster science
[NO] 217/1811 | PODiff: Latent Diffusion in Proper Orthogonal Decomposition Space for Scientific Super-Resolution
[YES] 218/1811 | Design and Implementation of BNN-Based Object Detection on FPGA
[NO] 219/1811 | Monogenity of pure quintic fields: the power of sieving
[YES] 220/1811 | DECKER: Domain-invariant Embedding for Cross-Keyboard Extraction and Recognition
[NO] 221/1811 | Population-Aware Imitation Learning in Mean-field Games with Common Noise
[NO] 222/1811 | Finite Knot Theory via Ropelength-Filtered Reidemeister Graphs
[NO] 223/1811 | Toward Structural Multimodal Representations: Specialization, Selection, and Sparsification via Mixture-of-Experts
[NO] 224/1811 | Finite-frequency fluctuation-response bounds for open quantum systems
[NO] 225/1811 | Centralizing Task-based Approach to Quantum Network Control
[NO] 226/1811 | WGAN based Inverse Design of Active Dual Band FSS with Switchable Transmission
[NO] 227/1811 | COCONUT: Toward practical time-evolving Sun-to-Earth magnetohydrodynamic modeling
[NO] 228/1811 | A Search for High Frequency Oscillations in TESS Cycle 7
[NO] 229/1811 | Single-Step Six-Dimensional Movable Antenna Reconfiguration for High-Mobility IoV: Modeling, Analysis, and Optimization
[NO] 230/1811 | A joint longitudinal-survival framework for dynamic treatment regimen evaluation in sequential multiple assignment randomized trials
[NO] 231/1811 | AHPA: Adaptive Hierarchical Prior Alignment for Diffusion Transformers
[NO] 232/1811 | MemFlow: Intent-Driven Memory Orchestration for Small Language Model Agents
[NO] 233/1811 | Stable Multimodal Graph Unlearning via Feature-Dimension Aware Quantile Selection
[NO] 234/1811 | SHIELD: A Diverse Clinical Note Dataset and Distilled Small Language Models for Enterprise-Scale De-identification
[NO] 235/1811 | Smoothed estimation of Wasserstein barycenters
[NO] 236/1811 | Cheap Expertise: Mapping and Challenging Industry Perspectives in the Expert Data Gig Economy
[NO] 237/1811 | Imbalanced Classification under Capacity Constraints
[NO] 238/1811 | VEBench:Benchmarking Large Multimodal Models for Real-World Video Editing
[NO] 239/1811 | Beyond Similarity Search: A Unified Data Layer for Production RAG Systems
[NO] 240/1811 | RLDX-1 Technical Report
[NO] 241/1811 | Operationalizing Software Engineering Theories for Practical Validation
[NO] 242/1811 | Mirror Quantum Tomography Finds Unexpected Polarization Phenomena in Z Boson Production in pp Collisions at the LHC
[NO] 243/1811 | Ortho-Hydra: Orthogonalized Experts for DiT LoRA
[NO] 244/1811 | Spectral correspondence for cyclic Higgs bundles
[NO] 245/1811 | OptiLookUp: An Optical ROM-Based Loop up Table Engine for Photonic Accelerators
[NO] 246/1811 | The First Look of Gaia: Daily data quality and instrument health assessment with automated early warnings
[NO] 247/1811 | Rose-SQL: Role-State Evolution Guided Structured Reasoning for Multi-Turn Text-to-SQL
[NO] 248/1811 | Modular functors and CFT correlators via double categories
[NO] 249/1811 | SprayCheck: Finding Gray Failures in Adaptive Routing Networks
[NO] 250/1811 | Statistical Inference via T-Posterior Randomised Estimators
[NO] 251/1811 | Deterministic positioning of circular Bragg gratings using atomic force lithography for high-performance quantum dot light sources
[YES] 252/1811 | ELAS: Efficient Pre-Training of Low-Rank Large Language Models via 2:4 Activation Sparsity
[NO] 253/1811 | Sensorless State Estimation and Control for Agile Cable-Suspended Payload Transport by Quadrotors
[NO] 254/1811 | Feasibility-aware Hybrid Control for Motion Planning under Signal Temporal Logics
[NO] 255/1811 | Lectures on Condensed Mathematics
[NO] 256/1811 | Cross-Slice Co-Location Risk-Aware SFC Provisioning in Multi-Slice LEO Satellite Networks
[NO] 257/1811 | Lectures on Analytic Geometry
[NO] 258/1811 | Virasoro flow, monodromy, and indecomposable structures in critical AdS$_3$ topologically massive gravity
[NO] 259/1811 | On the partition function of a class of Mallows model
[NO] 260/1811 | Turbophoresis of inertial particles in inhomogeneous turbulence produced by oscillating grids
[NO] 261/1811 | A Note on the Laplacian Eigenvectors of Threshold Graphs
[NO] 262/1811 | Characteristic-free approaches around Yu's construction
[NO] 263/1811 | Information Plane Analysis of Binary Neural Networks
[NO] 264/1811 | Robust chemotaxis beyond sensing limits: signal, noise, and strategy
[NO] 265/1811 | Primordial high energy neutrinos
[NO] 266/1811 | Leveraging Code Automorphisms for Improved Syndrome-Based Neural Decoding
[YES] 267/1811 | The Infinite Mutation Engine? Measuring Polymorphism in LLM-Generated Offensive Code
[NO] 268/1811 | Pressure-equilibrium-preserving and fully conservative discretization of compressible flow equations for real and thermally perfect gases
[NO] 269/1811 | Cusped singularities organize mixed-mode oscillations in mutually inhibitory slow-fast systems
[NO] 270/1811 | Dante: An Open Source Model Pre-Training and Fine-Tuning Tool for the Dafne Federated Framework for Medical Image Segmentation
[NO] 271/1811 | Poisson Empirical Bayes via Gamma-Smoothed Nonparametric Maximum Likelihood
[NO] 272/1811 | Pressure induced Electronic and Structural Transition in Ba$_2$NiTeO$_6$
[NO] 273/1811 | Flow Matching on Symmetric Spaces
[NO] 274/1811 | Role of $a_0(1710)$ in the $J/ψ\toρ^+ρ^-ω$ and $J/ψ\toγρ^0ω$ reactions
[NO] 275/1811 | Stochastic Schrödinger Diffusion Models for Pure-State Ensemble Generation
[NO] 276/1811 | Resource Allocation and AoI-Aware Detection for ISAC with Stacked Intelligent Metasurfaces
[NO] 277/1811 | Pseudovorticity of 2+1D optical solitons
[NO] 278/1811 | Hyper-Minimization for Deterministic Register Automata
[NO] 279/1811 | Understanding Self-Supervised Learning via Latent Distribution Matching
[NO] 280/1811 | Rational Communication Shapes Morphological Composition
[NO] 281/1811 | Interface pinch-off in the presence of a soluble surfactant
[NO] 282/1811 | Interpreting Galaxy Physical Properties Using Stellar Population Synthesis
[NO] 283/1811 | Bandits attack function optimization
[NO] 284/1811 | Adaptive graph-based algorithms for conditional anomaly detection and semi-supervised learning
[NO] 285/1811 | Real-Time Evaluation of Autonomous Systems under Adversarial Attacks
[NO] 286/1811 | Orientation-Aware Unsupervised Domain Adaptation for Brain Tumor Classification Across Multi-Modal MRI
[NO] 287/1811 | Weighted algebraic topology, II (Relative metrics)
[NO] 288/1811 | First-principles prediction of chiral-phonon-induced orbital accumulation
[NO] 289/1811 | Quantitative Convergence of Proximal Splitting Iterations in Uniformly Convex Metric Spaces
[NO] 290/1811 | MEMSAD: Gradient-Coupled Anomaly Detection for Memory Poisoning in Retrieval-Augmented Agents
[NO] 291/1811 | Steer Like the LLM: Activation Steering that Mimics Prompting
[NO] 292/1811 | Say the Mission, Execute the Swarm: Agent-Enhanced LLM Reasoning in the Web-of-Drones
[NO] 293/1811 | Tree-independence number of $P_5$-free graphs with no large bicliques
[NO] 294/1811 | Time-dependent variational Monte Carlo without bias
[NO] 295/1811 | Low Rank Tensor Completion via Adaptive ADMM
[NO] 296/1811 | Table-Based Encodings for Conway's Doomsday Algorithm: Vectorized Doomsdays and Doomyears
[NO] 297/1811 | Kazhdan-Lusztig polynomials of Dowling geometries
[NO] 298/1811 | Globally adaptive and locally regular point discretization of curved surfaces
[NO] 299/1811 | A Multi-parameter Fuzzy Set Framework for Classifying Red, Blue, and Green Valley Galaxies
[NO] 300/1811 | Numerical evidence of a critical point in the (2+1)D SO(5) nonlinear sigma model with Wess-Zumino-Witten term
[NO] 301/1811 | Space-Time Tradeoffs of Pauli-Based Computation in Distributed qLDPC Architectures
[NO] 302/1811 | Quantum Multi-Level Estimation of Functionals of Discrete Distributions
[NO] 303/1811 | A Topological Rainbow Ramsey Theorem
[NO] 304/1811 | Potential Hessian Ascent III: Sampling the Sherrington--Kirkpatrick Model at Beta < 1/2
[NO] 305/1811 | Adhesion-controlled sliding and the Stribeck curve in hydrophobic soft contacts
[NO] 306/1811 | Uncertainty Quantification in Forecast Comparisons
[NO] 307/1811 | Meta-Analysis of High-Dimensional Surrogate Markers
[NO] 308/1811 | Neural optimization for quantum architectures: graph embedding problems with Distance Encoder Networks
[NO] 309/1811 | Dimer models on astroidal zig-zag graphs
[NO] 310/1811 | Exact and Evolutionary Algorithms for Sequential Multi-Objective Transmission Topology Planning
[NO] 311/1811 | Audio-Visual Intelligence in Large Foundation Models
[NO] 312/1811 | Model order reduction for parametrized variational inequalities: application to crowd motion
[NO] 313/1811 | Holographic Derivation of BPZ-Type Null State Equations in Higher Dimensional CFTs
[NO] 314/1811 | Covariant Spinor Formalism for Multipole Expanded Form Factor
[NO] 315/1811 | Can Transformers predict system collapse in dynamical systems?
[NO] 316/1811 | Coloring graphs with independence number two and no odd clique immersions
[NO] 317/1811 | Precomputed Lens Transport Maps
[NO] 318/1811 | Entangling gates for the SU(N) anyons
[NO] 319/1811 | Real and Complex Singlet-Scalar Benchmarks with a Vector-Like Down Quark for $B\to X_sγ$ and $B_s-\bar B_s$ Mixing
[NO] 320/1811 | Aerosol memory in stratocumulus clouds leads to noise-induced patterns and non-ergodic sampling
[YES] 321/1811 | Mitigating False Positives in Static Memory Safety Analysis of Rust Programs via Reinforcement Learning
[NO] 322/1811 | RD-ViT: Recurrent-Depth Vision Transformer for Semantic Segmentation with Reduced Data Dependence Extending the Recurrent-Depth Transformer Architecture to Dense Prediction
