[2026-09-15 23:59:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-14
正在获取论文...
[arXiv] 2026-09-14 | On the number of solutions to $S$-unit equations
[ACM] 2026-9-15 | Design and Implementation of a Resume-Job Matching and Career Planning System for Intelligent Job-Seeking Scenarios
[ACM] 2026-9-15 | Design of Adaptive Basketball Training Games Based on Reinforcement Learning and Analysis of Learning Outcomes
[ACM] 2026-9-15 | Research on the Paradigm Shift and Practice Types of Future Learning Centers in Higher Education Empowered by Artificial Intelligence
[ACM] 2026-9-15 | Bridging Culture and Technology: An Empirical Study of Educational Innovation in the Chinese Filipino Communities
[ACM] 2026-9-15 | Computational Fluid Dynamics (CFD)-Based Analysis of Flow Field and Temperature Field for Air-Cooled Heat Dissipation of Electric Vehicle Power Battery
[ACM] 2026-9-15 | Design Research on Anomaly Data Mining Methods for Power Financial Information Based on Association Rule Algorithms and Distributed Computing
[ACM] 2026-9-15 | Research on the Accurate Prediction Method of Power Grid Infrastructure Investment Based on Multi-model Fusion
[ACM] 2026-9-15 | A Multi-Factor Machine Learning Framework for Cross-Sectional Stock Return Prediction
[ACM] 2026-9-15 | A Data-Mining Method for Teaching-Process Monitoring and Teaching-Effect Prediction
[ACM] 2026-9-15 | Deep-based Stock Prediction using Atkinson–Shiffrin memory model
[ACM] 2026-9-15 | Psychological Distance of Administrative Boundaries: Spatial Stickiness and Cross-border Mobility Patterns of Tourism Sentiment in the Pearl River Delta
[ACM] 2026-9-15 | Artificial Intelligence-Driven Industrial Transformation: A Technological Framework Integrating Computer Vision, Predictive Analytics, and Multi-Agent Systems
[ACM] 2026-9-15 | Industrial Economic Trend Forecasting Based on Multi-Source Data Fusion and Temporal Attention Networks
[ACM] 2026-9-15 | A Comprehensive Tax Calculation System for Part-time Trainers in the Education and Training Industry: A Digital Economy Solution
[ACM] 2026-9-15 | Research on Capital Allocation Optimization Methods for Foreign Banks Based on Multi-Source Financial Data Fusion and Deep Reinforcement Learning
[ACM] 2026-9-15 | Data Elements Allocation and Corporate Green Innovation: Causal Inference Based on the Staggered DID Model
[ACM] 2026-9-15 | Research on Tripartite Evolution Game of Carbon Emission Reduction Considering Public Low Carbon Preference
[ACM] 2026-9-15 | Application of Large Language Model Fine-Tuning in Financial News Sentiment Recognition
[ACM] 2026-9-15 | Investigating Language Creativity in EFL Writing Across Genres: A Qualitative and NLP-Assisted Analysis
[ACM] 2026-9-14 | The Kernel's Write: Application Read-Only Memory
[ACM] 2026-9-14 | Speeding up FaaS Warm Starts with Memory Restoration Templates
[ACM] 2026-9-15 | A PCA-ANN-Based Scheme for Predicting Indoor PM2.5 Concentrations
[ACM] 2026-9-15 | Value Validation of Carbon Reduction and Contract Coordination Based on Game Model
[ACM] 2026-9-15 | Random Forest-Based Evaluation of AIGC-Assisted Renovation Schemes for Traditional Guanzhong Residential Courtyards
[ACM] 2026-9-15 | Annual Mean Snow Cover Variations and Associated Environmental Factors over the Pamir Plateau
[IEEE] 2026-9-14 | A General Nonlinear Observer Design for Inertial Navigation Systems with Almost Global Stability Guarantees
[ACM] 2026-9-15 | Intelligent evaluation system for the effectiveness of ideological and political education considering multimodal data fusion
[ACM] 2026-9-15 | Research on a Dynamic Value Monitoring and Intelligent Decision-Making System for State-Owned Capital Operation Platforms
[ACM] 2026-9-15 | Internal and External Driving Mechanisms of Sustainable Urban Public Utility Development and Policy Coupling Effects Based on CatBoost
[ACM] 2026-9-15 | Application of Large Language Models in the Study of Marxist Theory of the State and the Modernization of State Governance
[ACM] 2026-9-15 | Data Factor Utilization and Growth Resilience in Manufacturing Firms
[IEEE] 2026-9-14 | Enhancing Sustainability of Interlocking Concrete Mixes Using Cork and Polystyrene as Fine Aggregate Replacements
[IEEE] 2026-9-14 | Markerless Postural Sway Analysis for Mobile Posturography Using Deep Learning-Based Human Pose Estimation
[ACM] 2026-9-15 | A Real-time AI Detection System for the Impact of Attention Mechanism-Driven Social Comparison Psychology on Online Investment Behavior
[IEEE] 2026-9-14 | A Comparative Study of MILP and MCTS-Based Scheduling for Multi-Batch Processes
[IEEE] 2026-9-14 | Computationally Efficient and Robust Vehicle State and Road Friction Estimation under Sensor Faults Using a Two-Stage UKF*
[IEEE] 2026-9-14 | An Integrated Framework for Forecast-Driven Priority-Aware Energy Allocation in Microgrids
[IEEE] 2026-9-14 | Real-Time Motion Planning and Replanning in Free-Space Corridors for Autonomous Valet Parking with Hardware-in-the-Loop Testing
[IEEE] 2026-9-14 | Model Predictive Line of Sight Control of An Inland Vessel
[IEEE] 2026-9-14 | Reinforcement Learning-Based Heat-Aware Passive Cell Balancing for Automotive Battery Packs
[ACM] 2026-9-15 | Research on a Deep Reinforcement Learning-Based Multi-Strategy Dynamic Selection Trading Framework
[IEEE] 2026-9-14 | Characteristic Analysis of AC Series Arc Faults Under Different Load Conditions
[ACM] 2026-9-15 | Optimizing Multi‑Agent Collaborative Architectures with OpenClaw: A Gateway‑Driven Approach for Practical Training Environments
[IEEE] 2026-9-14 | Smart Water and Fertilizer Control System for Greenhouse Tomatoes
[ACM] 2026-9-15 | Research on Pro-Environmental Behavior of Tourists at Chinese Tourist Attractions Leveraging Random Forest and Association Rule Mining
[IEEE] 2026-9-15 | Modeling and Optimization of Energy Efficiency in Large-Scale LoRa Networks with Coding Rate Awareness
[IEEE] 2026-9-15 | Robust Position Control Strategy Based on ADRC for SRM-Based EMA System
[IEEE] 2026-9-15 | Attention-Based 3D U-Net for PET Image Denoising with Realistic Noise Modeling and ROI-Guided Evaluation
[IEEE] 2026-9-15 | Comparative Evaluation of Advanced Deep Learning Approaches for Melanoma Detection in Dermoscopic Images Toward Supporting Clinical Diagnosis
[IEEE] 2026-9-15 | Image Depth Estimation via Sparse Focal Stacks for Beyond-Focus Regions
[IEEE] 2026-9-15 | Explainable AI-Based Predictive Maintenance Framework for CNC Spindle Fault Diagnosis Using Hybrid Deep Learning Models
[IEEE] 2026-9-15 | Yamnet-Whisper Fusion Framework for Battlefield Acoustic Classification and Speech Intelligence Generation
[IEEE] 2026-9-15 | Wavelet Transform–CNN Hybrid Model for Power Quality Disturbance Detection and Classification
[IEEE] 2026-9-15 | Machine Failure Prediction for Predictive Maintenance Using Support Vector Machine and Isolation Forest
[IEEE] 2026-9-15 | HSwin-OTD: A Hierarchical Swin Transformer Model for Explainable Multi-Class Intraocular Tumor Classification
[IEEE] 2026-9-14 | RS2R: From Coupling-Aware Grasp Synthesis to Robust Sim2Real Transfer for Underactuated Dexterous Hands
[IEEE] 2026-9-15 | A Neuromorphic Robot as a Digital Twin for Rodent Spatial Representation in Dynamic Environment Navigation
[IEEE] 2026-9-15 | An Efficient FPGA-Based Architecture for Real-Time ECG Signal Acquisition and FIR Filtering
[IEEE] 2026-9-15 | Online Fraud Transaction Detection Using Machine Learning
[IEEE] 2026-9-15 | MSRA-CNN: Multi-Scale Residual Attention Network for Automated Cardiac Arrhythmia Detection from 12-Lead ECG
[IEEE] 2026-9-15 | Focus Where It Counts: A Salience-Driven Vision-Language Model for Low Vision Assistance
[IEEE] 2026-9-15 | Performance Analysis of Various Predictive Models and Huffman Encoding Techniques for Lossless ECG Compression
[IEEE] 2026-9-15 | Low-Latency Urban Flood Forecasting and Early Warning System Based on Edge-Cloud Collaborative AI Architecture
[ACM] 2026-9-14 | Analysis of shared memory between CPUs and GPUs
[ACM] 2026-9-15 | LightKD: A Lightweight Intrusion Detection Method for IoT via Knowledge Distillation and Structured Pruning with Dynamic Quantization
[ACM] 2026-9-15 | A Multimodal Data Fusion and Attention Mechanism Based Model for Learning State Recognition in Secondary School Students
[ACM] 2026-9-15 | Marine Engine Maintenance Assistance System Based on Multi-Stage Optimized RAG
[ACM] 2026-9-15 | Research on Smart Student Affairs Platform in Vocational Colleges via LoRA Fine-Tuning and Knowledge Base Augmentation: Architecture, Implementation, and Evaluation
[ACM] 2026-9-15 | Predicting Courier Order Acceptance in Instant Delivery Through Gradient Boosting with Business-Guided Feature Engineering
[ACM] 2026-9-15 | Adaptive Priority Offloading with DAG for Dependent Industrial Tasks
[ACM] 2026-9-15 | Physics-Guided Intelligent Fitting for IoT-Enabled Mechanical Vibration Monitoring: A Data-Driven Risk Assessment Approach
[ACM] 2026-9-14 | Moral Framing of Military Artificial Intelligence: The Role of Trust and Attitudes in Defensive and Offensive Use
[ACM] 2026-9-15 | Research on question answering reasoning method of knowledge graph based on large language model and thinking chain
[ACM] 2026-9-15 | Research on Catering Behavior in Corporate Carbon Disclosure Based on NLP and TF-IDF
[ACM] 2026-9-15 | Unsupervised Discovery of Latent Chemical Diversity in Tea using Fourier-Transform Infrared Spectroscopy and Kolmogorov-Arnold Network Autoencoding
[ACM] 2026-9-15 | Computational Analysis of Narrative Design and Comment-Space Interaction in Mainstream Media Short-Video News: A Single-Case Study of People's Daily Online on Douyin
[ACM] 2026-9-15 | MIDRANetSplicer: A Splice Site Identification Model Based on a Multi-Input Residual Attention Network
[ACM] 2026-9-15 | A Benchmark Study of YOLOv8n for Wall Surface Crack Detection
[ACM] 2026-9-15 | SyMProD-IF: Anomaly-Guided Probabilistic Oversampling for Credit Score Modeling
[IEEE] 2026-9-15 | Enhancing Lung Cancer Accuracy Using a Hybrid EfficientNet-ViT Architecture with WGAN-GP
[IEEE] 2026-9-15 | RecPoint: Zero-Shot Text-to-3D Point Cloud Generation Via Structure-Aware Local Semantic Rectification
[IEEE] 2026-9-15 | Personalized Explainable Stress Prediction Using Intra - Subject HRV Baseline Deviation
[IEEE] 2026-9-15 | Adaptive Tube-MPC for Safe Intravascular Navigation of Magnetic Microrobots Under Pulsatile Disturbances_supp1-3727527.mp4
[IEEE] 2026-9-15 | Optimizing Cyber Threat Detection Using AI-Based Pattern Recognition Techniques
[IEEE] 2026-9-15 | TrustVault: Secure Multi-Hospital Organ Transplant Data Protection with Real-Time Threat Detection
[IEEE] 2026-9-15 | A Big Data Driven Quantum Energy Transformer Network for Renewable Energy Management in Smart Grids
[IEEE] 2026-9-15 | Real-Time User and Entity Behavior Analytics (UEBA) for Insider Threat Detection
[IEEE] 2026-9-15 | Adaptive Federated Deep Learning for Privacy-Preserving Anomaly Detection in IoT Big Data Streams
[IEEE] 2026-9-15 | Optical-Fiber-Based Integrated Sensing and Communication Using Distributed Acoustic Sensing_supp1-3733320.mp4
[IEEE] 2026-9-15 | An Efficient Task Offloading in Fog Computing Using Hybrid RL
[IEEE] 2026-9-15 | Chat-Fusion: An efficient batch inference system for cloud LLMs serving
[IEEE] 2026-9-15 | UltraGNN: A Sparse-Operator-Aware Framework for Accelerating Graph Neural Networks on Tensor Cores
[IEEE] 2026-9-15 | A Time-Multiplexed MCTF Architecture for Hardware Video Encoders in Cost-Sensitive Consumer Electronics
[IEEE] 2026-9-15 | A Packaged Si
                    <sub>3</sub>
                    N
                    <sub>4</sub>
                    TriPleX Neuromorphic Photonic Integrated Circuit for 2D Optical Convolution
[IEEE] 2026-9-15 | Symphony: A Sharded Blockchain for Efficient Smart Contract Execution
[IEEE] 2026-9-15 | Embedded Design and Optimization of Finite-Array Absorbers for Laptop EMI Mitigation and Throughput Improvement
[IEEE] 2026-9-15 | HAMSAR: A Hierarchical Adaptive Multi-UAV Framework for Radiation Source Search in Unknown Environments with Multi-hop Communication and Auction-based Task Allocation
[IEEE] 2026-9-15 | Multi-Disease Classification in Retinal Oct Using Deep Transfer Learning: A Comparative Study
[IEEE] 2026-9-15 | Predictive Simulation Framework Based Muscle Effort Replication During Walking on Different Terrains with Ankle Exoskeleton
[IEEE] 2026-9-15 | Phase Coding Design for Programmable Metasurface-Based 2D DOA Estimation via Cramér–Rao Bound Minimization
[IEEE] 2026-9-15 | Beyond Detection: An AI-Driven Email Phishing Response System
[IEEE] 2026-9-15 | Federated Data Residency Enforcement in Hybrid OpenShift
[ACM] 2026-9-15 | <scp>VulWeaver</scp>
                    : Weaving Broken Semantics for Grounded Vulnerability Detection
[ACM] 2026-9-15 | A Study on Online Public Opinion Risk Perception and Response in Vocational Education Based on Ordered Logistic Regression
[ACM] 2026-9-15 | Design and Performance Optimization of Machine-Learning-Based Data Classification Models
[ACM] 2026-9-15 | Research on the Pedagogical Application of Generative Artificial Intelligence in Big Data Knowledge Graph Construction
[ACM] 2026-9-15 | Federated Learning-Based Trajectory Optimization for UAV Swarms with Wind Impact Analysis
[ACM] 2026-9-15 | Dynamic Crowd Counting Monitoring System for Smart Classrooms Based on YOLOv8s and ByteTrack Multi-Object Tracking
[ACM] 2026-9-15 | A Transferable Modeling Approach for Building Energy‑Saving Control Strategies under a No‑Code Architecture
[ACM] 2026-9-15 | An Existence Result for a Fractional p&amp;q-Laplacian System with Sandwich-type and Hardy-Sobolev Exponents
[ACM] 2026-9-15 | Dynamic Risk Detection and Collaborative Governance for Cruise Ship Safety in Bridge Area Waters
[ACM] 2026-9-15 | A Dynamic Dual-Layer Decision Framework for Optimizing Competitive and Financial Performance in Professional Sports Teams
[IEEE] 2026-9-14 | Smart Wearable Platform for Elderly, Disabled, and Pediatric
[IEEE] 2026-9-14 | Smart HealthGuard: A Secure Real-Time Healthcare IoT Monitoring Platform
[IEEE] 2026-9-14 | Workforce Capacity Optimization for Priority-Based Preventive and Corrective Facility Maintenance Under Stochastic Demand
[ACM] 2026-9-15 | Fintech and Green Productivity Evidence from a Random Forest Analysis of Green Innovation and Executives Environmental Awareness
[IEEE] 2026-9-14 | AI-Driven IoT Framework for Sustainable Smart Cities
[IEEE] 2026-9-14 | Cow Age Prediction Using Dentition Analysis - A Comprehensive Survey
[IEEE] 2026-9-14 | Analysis and Visualization of Seismic Waves for Earthquake Prediction Using Deep Learning
[IEEE] 2026-9-14 | Red–Blue Team Simulations as Structured Threat Prioritization Evaluation Mechanisms for SMEs
[IEEE] 2026-9-14 | Gas-Solid Two-Phase Flow Characteristics and Sand-Blocking Mechanism of Desert Photovoltaic Arrays
[IEEE] 2026-9-14 | A Large-Scale Practical Power Grid Transient Stability Margin Assessment Method Based on MI-SSA Feature Selection and Two-Stage Transformer Model
[IEEE] 2026-9-14 | Analysis of General Layout Design for Large-Scale Photovoltaic Projects in the Middle East
[IEEE] 2026-9-14 | Optimal Operation Strategy of Multi-IEP Game Considering Energy Sharing and Contribution-Based Benefits
共写入 2000 条记录，保存到 papers/paper2026-09-14.json。
论文获取成功，文件路径: papers/paper2026-09-14.json
正在筛选、翻译并发送邮件...
[NO] 1/2000 | On the number of solutions to $S$-unit equations
[NO] 2/2000 | Asymptotic Behavior of Least Energy Solutions to the Lane--Emden Problem on Metric Graphs
[NO] 3/2000 | The Router Within: Eliciting Native Skill Routing from a Frozen LLM
[NO] 4/2000 | Hardware-aware quantum attention for fast radio burst identification
[NO] 5/2000 | Majority dynamics on sparse random graphs
[NO] 6/2000 | Shannon Entropy as an Order Parameter for the Two-Dimensional Confined Coulomb Systems: Exact Balance Law, Topological Charge Sum Rule, and Boundary Saturation
[NO] 7/2000 | Acoustic Image Source Interpolation with Optimal Transport Barycenter
[NO] 8/2000 | Improved Bounds for the Bilu--Linial Conjecture via Spectral Recovery from Mixed Determinantal Polynomials
[NO] 9/2000 | Multi-View Molecular Representation Learning with Hierarchical Graphs and Contextualized Fingerprints
[NO] 10/2000 | Open-channel radiation zeros and nonlinear damping of a critical-bubble internal mode
[NO] 11/2000 | Conway Symbols of Frieze Patterns of Dynkin Types
[NO] 12/2000 | Convergence for Small-Order Derivatives of Random Polynomials with Independent Roots
[NO] 13/2000 | The CAST-framework: Measure and model social media use as a multi-level phenomenon through real-world applications
[NO] 14/2000 | MessyMem: Learning-from-Doing Memory for Mobile Manipulation
[NO] 15/2000 | Pulla: A Parsons Problem Tool for Fine-Grained Behavioral Tracing and Instructor-Facing Problem-Solving Analysis
[YES] 16/2000 | Vulnerability Localization Benchmark: Measuring Agentic Security Analysis at Repository Scale
[NO] 17/2000 | An Adaptive Linesearch-free Method for Monotone Variational Inequalities under Local Lipschitz Continuity
[NO] 18/2000 | Achieving perfect completeness for one- and two-message quantum proof systems
[NO] 19/2000 | Multiflagellarity facilitates bacterial upstream motility
[NO] 20/2000 | Additive quasi-isometries and cacti
[NO] 21/2000 | Scalar-mean rigidity theorem and Llarull's theorem for nonspin manifolds
[NO] 22/2000 | Relative Entropy Decay via BKM coercivity for Quantum Markov Semigroups
[NO] 23/2000 | Modulated structures in discrete approximations to a three-dimensional cholesteric model on a recursive lattice
[NO] 24/2000 | Cnuas: A Software-Defined AI/HPC Rack-scale Emulation Platform and Hyperscale Data Center Facility Twin
[NO] 25/2000 | Anatomical Grounding and Leakage-Aware Multimodal Contrastive Learning for Alzheimer's Disease Classification from Structural MRI
[NO] 26/2000 | Privacy-enhanced federated learning via asynchronous aggregation and local differential perturbation
[NO] 27/2000 | Learning Multimodal One-step Flow Policy via Value-weighted Optimal Transport
[NO] 28/2000 | High-Temperature Hydrogen Sensors Based on Gallium Oxide Heterojunction Diodes
[NO] 29/2000 | Finite Dependence and Invariance Hierarchies for Finitely Supported Structures
[NO] 30/2000 | Rubin Observatory Reveals a Dust-Shrouded Halo Globular Cluster in Ophiuchus
[NO] 31/2000 | CoFi-CLM: A Coarse-to-Fine Channel Language Model for Finite-Bit CSI Feedback
[NO] 32/2000 | A universality result for the critical 2d stochastic heat flow
[NO] 33/2000 | Sharp gradient bounds for uniformly elliptic PDE, eigenvalue asymptotics, and the Landis conjecture
[NO] 34/2000 | Hidden Magnetic Complexity Within a Simple van der Waals Ferromagnet Ce$_2$Te$_5$
[NO] 35/2000 | The Robust Ten Martini Problem
[NO] 36/2000 | When Is a Relevance Threshold Statistically Resolvable? Minimax Limits for Effect Classification
[NO] 37/2000 | Shannon Integrals and Applications to Reimann-Hilbert Problems
[NO] 38/2000 | The Economics of Recursive Self-Improvement
[NO] 39/2000 | Gaussian Comparison Theorems for High-Dimensional Posterior Inference
[NO] 40/2000 | On the intrinsic hydrostatic energy structure of the barotropic compressible primitive equations
[NO] 41/2000 | Microstructure-Resolved Impedance Modeling of Solid-State Batteries
[NO] 42/2000 | MoveBench: A Benchmark for Global-Scale Wildlife Movement Forecasting
[NO] 43/2000 | EvoOntology: A Self-Evolving Ontology Layer for Data Agents
[NO] 44/2000 | Proximity-induced charge density waves in a moiré heterobilayer
[NO] 45/2000 | Ab Initio Emergence and Collapse of Nuclear Collectivity near N = Z = 40
[NO] 46/2000 | The Strong Naor--Schechtman Convolution Inequality on the Product of Cyclic Groups
[NO] 47/2000 | Deep Koopman Sensing
[NO] 48/2000 | OASIS: Online Adaptive Video Compression via Closed-loop Feedback Control
[NO] 49/2000 | Using the Circumgalactic Medium of Dwarf Galaxies as a Calorimetric Dark Matter Detector
[NO] 50/2000 | A Modular, Topology-Aware Software Stack for Entanglement-Based Distributed Quantum Computing
[NO] 51/2000 | On the Malliavin calculus on product spaces and an infinite de Jong theorem
[NO] 52/2000 | Iron Nuclei with Energy of 10^19 eV in Extragalactic Cosmic Rays Near Earth
[NO] 53/2000 | The Case Against Hall-Petch Hardening in High Entropy Carbide Ceramics
[NO] 54/2000 | Beyond Accuracy: Robustness, Cost, and Governance Trade-offs for Vision-Language Models in Templated Document Extraction
[NO] 55/2000 | The variety generated by all semirings of order three is nonfinitely based
[NO] 56/2000 | OpenQARP: a modular framework for quantum application research
[NO] 57/2000 | Complete Suffix Prediction for Recommendation via Latent Retrieval over Process Graphs
[NO] 58/2000 | EEG-Xplain: Decoding Neural Black-Boxes of EEG Foundation Models
[NO] 59/2000 | Projection-Free Multi-level Algorithms for Stochastic Constrained Compositional Optimization
[NO] 60/2000 | Certificate Complexity of Elementary Symmetric Boolean Functions of Arbitrary Degree
[NO] 61/2000 | OpenEnded: An Open-Response Speech Corpus for Speaking Proficiency Assessment with Human Annotations and ALM Supervision
[NO] 62/2000 | Hyperon polarization in deep inelastic scattering
[NO] 63/2000 | Multivariate stability of powered triangular recurrences and parametrised Eulerian polynomials
[NO] 64/2000 | Independent Sets and Balanced Cycle-Linkings in 2-Connected Graphs
[NO] 65/2000 | Trillion-Parameter MoE in a Box: Decoupling Memory Provisioning with High-Bandwidth Flash
[NO] 66/2000 | ModaLens: Measuring Image Sensitivity in Report-Conditioned Medical VLMs
[NO] 67/2000 | Percolation threshold in cluster-assembled nanogranular palladium films and related strategies for hydrogen detection
[NO] 68/2000 | DeepSeek-V4-Flash on AMD gfx90a: Correctness Recovery and Inference Performance Engineering
[NO] 69/2000 | Diversified and Perceptible Counterfactual Examples Leveraging Expert Knowledge
[NO] 70/2000 | Global Sobolev convergence of Howard iteration for parabolic Bellman equations with controlled diffusion
[NO] 71/2000 | Effect of inelastic scalar dark matter in hidden $U(1)$ scenario after the LZ nuclear recoil
[NO] 72/2000 | On questions posed by Gundersen and Yang concerning a certain binomial differential equation
[NO] 73/2000 | Classical Solutions for a Finite-Horizon Exit-Time Problem with Degenerate Diffusion Control
[NO] 74/2000 | What a gated sensing pipeline never looks at: bandwidth reduction and the misses behind it
[NO] 75/2000 | Towards the new NNPDF4.1 global analysis
[NO] 76/2000 | Leveraging hologenomic data for phenotypic prediction: potential and pitfalls
[NO] 77/2000 | PIVOT: Physics-Grounded Verification for AI-Generated Audio-Video Detection
[NO] 78/2000 | Don't Count the Edits, Judge by the Outcome Alone: Reward-Based Evaluation for Grammatical Error Correction
[NO] 79/2000 | Increase of the electromechanical coupling of piezoelectric vibration harvesters through lateral bars
[NO] 80/2000 | A sharp bound for sampling widths in the uniform norm: kernel $D$-optimal designs and oversampling
[NO] 81/2000 | Synthesizing State-of-the-Art Structure Predictions from Soup of Co-folding Models
[NO] 82/2000 | Gate-tunable magnetic damping in van der Waals Heterostructures
[NO] 83/2000 | Sliding contact fraction in gravity-driven dense cohesionless granular flows
[NO] 84/2000 | A mathematical modelling of rheumatoid arthritis
[NO] 85/2000 | The Misery of Mechanistic Interpretability: A Formal Perspective
[NO] 86/2000 | Beyond Noise: Understanding and Overcoming Temperature Effects in Analog DNN Inference
[NO] 87/2000 | Infinite families of 3-designs from linear and nonlinear codes
[NO] 88/2000 | Automating Attack Graph Construction for Agentic Pentesting. Towards Neuro-Symbolic Vulnerability Hunting
[NO] 89/2000 | End-to-End Verifiable and Robust Federated Learning
[NO] 90/2000 | Existence of least-area discs
[NO] 91/2000 | Same path, different: a mechanistic comparison of looped and stacked transformer encoders on 12-lead ECG
[NO] 92/2000 | The Troy Moment of AI: Why SomeWill Cheat and SomeWill Follow?
[NO] 93/2000 | Detecting transiting exoplanets in simulated PLATO data: A comparison of light curve filter and transit search algorithms
[NO] 94/2000 | Optimal Sensitivity of the general Wheatstone Bridge
[NO] 95/2000 | efficient matrix-free gauss-newton traveltime tomography on full-metric deformed grids
[NO] 96/2000 | Discrete Antenna Positioning and Beamforming Design for RIS-Assisted MA Secure ISAC Systems
[NO] 97/2000 | CAL-MOS: Bridging Layers with Adapters for Robust MOS Prediction Across Speech Foundation Models
[NO] 98/2000 | Cloud Workflow Scheduling Based on Graph Attention-Driven Hierarchical Reinforcement Learning
[NO] 99/2000 | Short-term forecasting of wildfire spread: A network epidemiology approach
[NO] 100/2000 | Credible Bounds for Causal Quantities with Continuous Outcomes
[NO] 101/2000 | The Heavy Chain PDE: Rapid Stabilization by Backstepping
[NO] 102/2000 | The Dynamic Organization of Sustained Human-AI Cognition: From Construct-Level Change to Relational Structure
[NO] 103/2000 | Two-term dilogarithms, mixed-base Nahm sums, and Fricke symmetry
[NO] 104/2000 | Entanglement free Metrology Exploiting Multimode Hong Ou Mandel Sensor Advantage
[NO] 105/2000 | Torsion, Betti rank, and small points in semiabelian schemes
[NO] 106/2000 | Riemann-Roch Polynomials, MBM Classes and Poor IHS Manifolds
[YES] 107/2000 | Externalizing Requirement-to-Repair Artifacts as Observable Traces for LLM-Based Program Repair
[NO] 108/2000 | Sensemaking as Artifact: Accumulated Influence in AI-Mediated Information Environments
[NO] 109/2000 | Polynomial Growth of Complex Polynomial Hardy--Littlewood Constants
[NO] 110/2000 | HydroMap: Probabilistic Water Surface Elevation Mapping for Semantic Scene Representation in Inland Waterways
[NO] 111/2000 | Tracing Stellar Populations through the Mg-Al Anti-Correlation in Gaia-ESO Globular Clusters
[NO] 112/2000 | First Impressions: How Placement Shapes the Influence of AI Summaries
[NO] 113/2000 | A proof of Sylvester's conjecture
[NO] 114/2000 | An explicit solution of the five-expert prediction PDE and the exact optimality set of COMB
[NO] 115/2000 | Chronos: Efficient Bolt-on Branching Across Data Stores for Stateful Agentic Applications
[NO] 116/2000 | PeerPen: AI-Assisted Writing for Online Mental Health Peer Support
[NO] 117/2000 | SeqMaestro: From nucleotide sequences to biological hypotheses through interpretable machine learning
[NO] 118/2000 | Toward Sustainable AI Deployment: A Carbon-Aware Decision Framework for Enterprise Supply Chain Systems
[NO] 119/2000 | Fast Stencil Computations on a Single Arbitrarily Moving Interval
[NO] 120/2000 | MedVA: An End-to-End Neuro-Symbolic Agentic System for Medical Volume Visualization
[NO] 121/2000 | A Strongly Subquadratic $(3+\varepsilon)$-Approximation for Weighted Edit Distance over Arbitrary Metrics
[NO] 122/2000 | Field-Level Baryon Acoustic Oscillation Reconstruction of the DESI DR1 Luminous Red Galaxies with Linear Field Transformer (LiFT)
[NO] 123/2000 | Gate Design and Stage-Dependent Incentives in Retail Proprietary-Trading Evaluations: Why Passing Is Not Standalone Evidence of Skill, and Why the Product Fails to Pay Under Measured Trading Constraints
[YES] 124/2000 | ModularRSI: Modular and Generalizable Recursive Harness Self-Improvement
[NO] 125/2000 | CWM: Controllable White-Box Meta-Prompting for Adaptive Retrieval-Augmented Generation and Reasoning Ability
[NO] 126/2000 | Long-to-Short Video Evidence Reasoning for Grounded Question Answering
[NO] 127/2000 | Augmenting Large Audio-Language Models with Frame-Level Grounding for Fine-Grained Temporal Perception
[NO] 128/2000 | Results on young stellar clusters with the WEAVE LIFU
[NO] 129/2000 | Riemann Map Operator for Solar Front Diagnostics
[NO] 130/2000 | TEAR: Table Extraction with Attribute Recommendation from Texts via Large Language Models
[NO] 131/2000 | Subwavelength exceptional points in dispersive resonator arrays
[NO] 132/2000 | What Limits Us? Analyzing Self-Reported Limitations in NLP Research
[NO] 133/2000 | Cross-Lingual F5-TTS 2: A Simplified Framework for Language-Agnostic Voice Cloning
[NO] 134/2000 | Rethinking Correctness for Uncertainty Estimation in Clinical Prediction with Vision-Language Models
[NO] 135/2000 | Temporal Self-Distillation: Faster Inference in Discrete Diffusion Language Models
[NO] 136/2000 | On the Uniqueness of a Nonlinear Discrete Calderón Problem
[NO] 137/2000 | Nearly Minimax-Optimal Regret for Linear Contextual Bandits with Arbitrary Adaptive Action Sets
[NO] 138/2000 | CITECHOICE: A Causal Audit of How Document Presentation Redistributes Citation Credit in Agentic Search
[NO] 139/2000 | LieSpline-DP: Lie-Group B-Spline Diffusion Policy for Smooth Robot Manipulation
[NO] 140/2000 | T-LoopFormer: Token-Level Elastic-Depth Looped Transformers for Latent Reasoning With Dynamic Routing
[NO] 141/2000 | Evaluating Predicted Densities, Hamiltonians, and Density Matrices as Periodic SCF Initializers
[NO] 142/2000 | A train--prune--readout--rewrite workflow for interpretable quantum learning
[NO] 143/2000 | Heavy-quark expansion at leading power for local QCD operators in gradient flow
[NO] 144/2000 | Demonstrate of High-Performance Top-Gate ALD Crystalline In2O3 Transistor Enabled by Lattice-Matched HfO2 and In2O3 Heterostructure
[NO] 145/2000 | DNF-SR: Dual-Input and Negative-Aware Feature Fine-Tuning for Real-World Image Super-Resolution
[NO] 146/2000 | Did LZ see modified gravity?
[NO] 147/2000 | Enhanced Spin-Orbit Interaction of Light through Complex Fresnel Reflection
[NO] 148/2000 | New runner removal theorems for the cyclotomic Hecke algebras of type $G(r,1,n)$
[NO] 149/2000 | Integer Maximization over $\ell_p$ Balls: Hardness and Exact Algorithms
