[2026-04-24 22:39:26] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-23
正在获取论文...
[arXiv] 2026-04-23 | pygridsynth: A fast numerical tool for ancilla-free Clifford+T synthesis
[NO] 213/1766 | Magnetic-flux tunable electronic transport through domain walls in a three-dimensional second-order topological insulator
[NO] 214/1766 | Superconductivity induced by altermagnetic spin fluctuations in high-pressure MnB$_4$
[NO] 215/1766 | Quantum plasmonics with N emitters: bright hybrid continuum selection
[NO] 216/1766 | Dean-Kawasaki fluctuating hydrodynamics for backscattering hard rods
[NO] 217/1766 | Informed Asymmetric Dirichlet Priors for Multivariate Bernoulli Mixture Models
[NO] 218/1766 | Unified Hydrodynamic Analogue of Aharonov-Bohm and Lense-Thirring Effects
[NO] 219/1766 | A Characterization of Integral Input-to-state Stability for Hybrid Systems with Memory
[NO] 220/1766 | UKP_Psycontrol at SemEval-2026 Task 2: Modeling Valence and Arousal Dynamics from Text
[NO] 221/1766 | Pairing mechanism and superconductivity in 1313 phase La$_3$Ni$_2$O$_7$
[NO] 222/1766 | Architectures for Robust Self-Organizing Energy Systems under Information and Control Constraints
[NO] 223/1766 | Job Skill Extraction via LLM-Centric Multi-Module Framework
[NO] 224/1766 | DiffNR: Diffusion-Enhanced Neural Representation Optimization for Sparse-View 3D Tomographic Reconstruction
[NO] 225/1766 | Satisfying Rationality Postulates of Structured Argumentation Through Deductive Support -- Technical Report
[NO] 226/1766 | How to quantify long-time rotational motion in molecular systems
[NO] 227/1766 | Analyzing directional errors in spatial orientation using nonparametric circular regression with mixed covariates
[NO] 228/1766 | MISTY: High-Throughput Motion Planning via Mixer-based Single-step Drifting
[NO] 229/1766 | Frozen LLMs as Map-Aware Spatio-Temporal Reasoners for Vehicle Trajectory Prediction
[NO] 230/1766 | Spectral radius and edge-disjoint spanning trees of $(k+1)$-edge-connected graphs
[NO] 231/1766 | Cross-Domain Data Selection and Augmentation for Automatic Compliance Detection
[NO] 232/1766 | Gaussian pulse scattering by a chiral spherical shell
[NO] 233/1766 | Conditional anomaly detection with soft harmonic functions
[NO] 234/1766 | One's loss is (not) another's gain: Isotropic re-emission destabilizes mass transfer from radiative donor stars
[NO] 235/1766 | Instance-level Visual Active Tracking with Occlusion-Aware Planning
[NO] 236/1766 | AI-Gram: When Visual Agents Interact in a Social Network
[NO] 237/1766 | Reconfigurable ultrafast perovskite polariton logic gates via nonlinear dynamics
[NO] 238/1766 | Investigation of White-light Emission in Compact Flares
[NO] 239/1766 | A Green-Integral-Constrained Neural Solver with Stochastic Physics-Informed Regularization
[NO] 240/1766 | Full-Duplex Interaction in Spoken Dialogue Systems: A Comprehensive Study from the ICASSP 2026 HumDial Challenge
[NO] 241/1766 | A Task Decomposition and Planning Framework for Efficient LLM Inference in AI-Enabled WiFi-Offload Networks
[NO] 242/1766 | Existence and uniqueness for singular stochastic differential equations with piecewise well-behaved coefficients
[NO] 243/1766 | Filter Design for Estimating the Stellar Metallicity of Metal-poor Stars from Gaia XP Spectra
[NO] 244/1766 | Estimation of Unknown Parameters in Presence of Perturbations and Noises with Application to GPEBO Design
[NO] 245/1766 | Taylor-SWFT: fast discrete Statistical Wave Field Theory using Taylor expansion for late reverberation Work under review
[NO] 246/1766 | A Replicable Robotics Awareness Method Using LLM-Enabled Robotics Interaction: Evidence from a Corporate Challenge
[NO] 247/1766 | MKJ at SemEval-2026 Task 9: A Comparative Study of Generalist, Specialist, and Ensemble Strategies for Multilingual Polarization
[NO] 248/1766 | A Markovian Traffic Equilibrium Model for Ride-Hailing
[NO] 249/1766 | Decoupled Travel Planning with Behavior Forest
[NO] 250/1766 | CARE: Counselor-Aligned Response Engine for Online Mental-Health Support
[NO] 251/1766 | Vertical Shuttling Protocols for Trapped Ions in Multi-Rail, Multi-Zone Surface Ion Trap Architectures
[NO] 252/1766 | $A^p_α$ classes in the Dirichlet range: inner-outer factorization, Carleson measures and weak products
[NO] 253/1766 | The First Challenge on Remote Sensing Infrared Image Super-Resolution at NTIRE 2026: Benchmark Results and Method Overview
[NO] 254/1766 | an interpretable vision transformer framework for automated brain tumor classification
[NO] 255/1766 | CI-Work: Benchmarking Contextual Integrity in Enterprise LLM Agents
[NO] 256/1766 | WPGRec: Wavelet Packet Guided Graph Enhanced Sequential Recommendation
[NO] 257/1766 | Scalable Sensor Scheduling for Continuous-Discrete Kalman Filtering via Information-Form Surrogate Dynamics
[NO] 258/1766 | Explainable Disentangled Representation Learning for Generalizable Authorship Attribution in the Era of Generative AI
[NO] 259/1766 | On the blowup rate of vorticity for the Euler equations in a bounded domain
[NO] 260/1766 | Higher odd-order nonlinear Hall effect in magnetic topological insulator Mn(Bi1-xSbx)2Te4
[NO] 261/1766 | GraphLeap: Decoupling Graph Construction and Convolution for Vision GNN Acceleration on FPGA
[NO] 262/1766 | Electrically switchable vacancy state revealed by in-operando positron experiments
[YES] 263/1766 | Hidden Dependencies and Component Variants in SBOM-Based Software Composition Analysis
[NO] 264/1766 | Do LLM Decoders Listen Fairly? Benchmarking How Language Model Priors Shape Bias in Speech Recognition
[NO] 265/1766 | CLT-Optimal Parameter Error Bounds for Linear System Identification
[NO] 266/1766 | Coherence toroidal vortices and statistic-veiled correlation topologies
[NO] 267/1766 | Calibeating Prediction-Powered Inference
[NO] 268/1766 | Observation of a new excited charm-strange meson $D_{s1}(2933)^+$ in $B^0\to D^+ D^- K^+ π^-$ decays
[NO] 269/1766 | How it cools? Studying the heat flow out of a semi-infinite slab in welding: An analytical approach
[NO] 270/1766 | An Efficient Wireless iBCI Headstage with Adaptive ADC Sample Rate
[NO] 271/1766 | On the role of inertia and self-sustaining mechanism in two-dimensional elasto-inertial turbulence
[NO] 272/1766 | ReCAPA: Hierarchical Predictive Correction to Mitigate Cascading Failures
[NO] 273/1766 | Smoothness of Inertial Manifold for the Burgers Equation
[NO] 274/1766 | The Feedback Hamiltonian is the Score Function: A Diffusion-Model Framework for Quantum Trajectory Reversal
[NO] 275/1766 | Monitoring photon entanglement in coupled cavities
[NO] 276/1766 | Refining Covariance Matrix Estimation in Stochastic Gradient Descent Through Bias Reduction
[NO] 277/1766 | WildSplatter: Feed-forward 3D Gaussian Splatting with Appearance Control from Unconstrained Images
[NO] 278/1766 | Graph Neural Network-Informed Predictive Flows for Faster Ford-Fulkerson and PAC-Learnability
[NO] 279/1766 | Explicit positronium source modeling for Geant4 PET pipelines: controlled 2-gamma and 3-gamma generation and validation
[NO] 280/1766 | Advanced manifold-metric pairs
[NO] 281/1766 | Position Paper: Denial-of-Service Against Multi-Round Transaction Simulation
[NO] 282/1766 | Temporal Taskification in Streaming Continual Learning: A Source of Evaluation Instability
[NO] 283/1766 | From Tokens to Concepts: Leveraging SAE for SPLADE
[NO] 284/1766 | A non-existence result for vertex-girth-regular graphs
[NO] 285/1766 | Fairness under uncertainty in sequential decisions
[NO] 286/1766 | Ohmic and viscous damping of inner core translational oscillations
[NO] 287/1766 | Pulse Shaping for Superconducting Qubits
[NO] 288/1766 | A nonconforming method for a generalized Darcy-Forchheimer model
[NO] 289/1766 | Optimizing High-Throughput Distributed Data Pipelines for Reproducible Deep Learning at Scale
[NO] 290/1766 | Characterizing Streaming Decidability of CSPs via Non-Redundancy
[NO] 291/1766 | Geometry, Not Calorimetry, Drives the Radio/Infrared/Gamma-Ray Correlation
[NO] 292/1766 | Embedded special Legendrian surfaces in $\mathbb S^5$
[NO] 293/1766 | Evaluation of Automatic Speech Recognition Using Generative Large Language Models
[NO] 294/1766 | Context Unrolling in Omni Models
[NO] 295/1766 | A structure-preserving semi-implicit finite volume scheme on vertex-staggered unstructured meshes
[NO] 296/1766 | Low-Rank Adaptation Redux for Large Models
[NO] 297/1766 | UniGenDet: A Unified Generative-Discriminative Framework for Co-Evolutionary Image Generation and Generated Image Detection
[NO] 298/1766 | $3d_{z^2}$ orbital delocalization and magnetic collapse in superconducting (La,Pr)$_3$Ni$_2$O$_{7-δ}$ films
[NO] 299/1766 | Task-Driven Co-Design of Heterogeneous Multi-Robot Systems
[NO] 300/1766 | EVENT5Ws: A Large Dataset for Open-Domain Event Extraction from Documents
[NO] 301/1766 | TingIS: Real-time Risk Event Discovery from Noisy Customer Incidents at Enterprise Scale
[NO] 302/1766 | Geometric Decoupling and the Color--Speed Mechanism in Multispeed Stochastic Klein--Gordon Systems
[NO] 303/1766 | High-performance cellular automaton decoders for quantum repetition and toric code
[NO] 304/1766 | Bismuth Films on EuO(111) as a Platform for Proximity-Induced Topological States
[NO] 305/1766 | Meshless $h$-adaptive Solution for non-Newtonian Natural Convection in a Differentially Heated Cavity
[NO] 306/1766 | Counting sunflowers with restricted matching number
[NO] 307/1766 | OptiMat Alloys: A FAIR End-to-End Agent with Living Database for Computational Multi-Principal Alloy Exploration
[NO] 308/1766 | Does PCA Work for Rough Functional Data?
[NO] 309/1766 | Participation and Representation in Local Government Speech
[NO] 310/1766 | Trust but Verify: Introducing DAVinCI -- A Framework for Dual Attribution and Verification in Claim Inference for Language Models
[NO] 311/1766 | Quantum-information diagnostics of cosmological perturbations with nontrivial sound speed in inflation
[NO] 312/1766 | DC Cryogenic Modeling of Open-Source SkyWater 130 nm MOSFETs at 77 K Using BSIM4
[YES] 313/1766 | Tool Attention Is All You Need: Dynamic Tool Gating and Lazy Schema Loading for Eliminating the MCP/Tools Tax in Scalable Agentic Workflows
[NO] 314/1766 | Structure-preserving approximation for non-isothermal phase-field models in melt flow
[NO] 315/1766 | Nickel intercalation in epitaxial graphene on SiC(0001): a novel platform for engineering two-dimensional heterostructures
[NO] 316/1766 | Towards Universal Tabular Embeddings: A Benchmark Across Data Tasks
[NO] 317/1766 | Task-specific Subnetwork Discovery in Reinforcement Learning for Autonomous Underwater Navigation
[NO] 318/1766 | The Representation Type of the Descent Algebras
[NO] 319/1766 | Modeling High Entropy Alloys' Mechanical Property through Natural Language-Derived Descriptors
[NO] 320/1766 | TEMA: Anchor the Image, Follow the Text for Multi-Modification Composed Image Retrieval
[NO] 321/1766 | An effective variant of the Hartigan $k$-means algorithm
[NO] 322/1766 | Rigorous Security Proofs for Practical Quantum Key Distribution
[NO] 323/1766 | From Codebooks to VLMs: Evaluating Automated Visual Discourse Analysis for Climate Change on Social Media
[NO] 324/1766 | SemEval-2026 Task 4: Narrative Story Similarity and Narrative Representation Learning
[NO] 325/1766 | Amorphous Nanoconfinement Enables Self-sustaining Sabatier Reaction at Ambient Conditions
[NO] 326/1766 | Magnetar Engines in Broad-lined Type Ic Supernovae and a Unified Picture for Magnetar-powered Stripped-envelope Supernovae
[YES] 327/1766 | Less Is More: Measuring How LLM Involvement affects Chatbot Accuracy in Static Analysis
[NO] 328/1766 | A Case Study in Recovery of Drones using Discrete-Event Systems
[NO] 329/1766 | Massive star formation at the Galactic crossroads: Insights from G358.69+0.03 in the Galactic center
[NO] 330/1766 | Real-Space Imaging of Guided Exciton Polaritons in Free-standing Monolayer WSe2
[NO] 331/1766 | Entanglement of two optical emitters mediated by a terahertz channel
[NO] 332/1766 | A superconvergent hybridizable discontinuous Galerkin method for the convective Cahn--Hilliard equation
[YES] 333/1766 | From If-Statements to ML Pipelines: Revisiting Bias in Code-Generation
[NO] 334/1766 | Testing Spontaneous Collapse Models with Coulomb Mediated Squeezing
[NO] 335/1766 | Bipartite entanglement under frequency comb pumping in parametric Josephson circuits
[NO] 336/1766 | Hierarchical Joint Source-Channel Coding with Constrained Information Leakage
[NO] 337/1766 | Impact of Primordial Black Hole population on 21 cm observables at high redshift
[NO] 338/1766 | Constraining dark matter self-interaction from kinetic heating in neutron stars
[NO] 339/1766 | Dilated CNNs for Periodic Signal Processing: A Low-Complexity Approach
[NO] 340/1766 | An Old, Low-mass, Metal-poor Hypervelocity Star Candidate Consistent with a Galactic Center Origin
[NO] 341/1766 | Large-Scale Data Parallelization of Product Quantization and Inverted Indexing Using Dask
[NO] 342/1766 | DCMorph: Face Morphing via Dual-Stream Cross-Attention Diffusion
[NO] 343/1766 | On the Challenges of Holistic Intrusion Detection in ICS
[NO] 344/1766 | Chaotic dynamics of charged particles near weakly magnetized black holes in Einstein-ModMax Theory
[NO] 345/1766 | VLTI-GRAVITY measurements of cool evolved stars: II. Pulsation properties and mass-loss process of the Mira star R Car and the red supergiant VX Sgr
[NO] 346/1766 | Causal Discovery in Multivariate Extremes via Tail Asymmetry
[NO] 347/1766 | Convergence Rate Analysis of SOAP with Arbitrary Orthogonal Projection Matrices
[NO] 348/1766 | Radiation properties of a regular black hole embedded in a Dehnen-type dark matter halo with a thin accretion disk
[NO] 349/1766 | Using ASP(Q) to Handle Inconsistent Prioritized Data
[NO] 350/1766 | Verifying Machine Learning Interpretability Requirements through Provenance
[NO] 351/1766 | Extremal 1-planar graphs without k-cliques
[NO] 352/1766 | DualSplat: Robust 3D Gaussian Splatting via Pseudo-Mask Bootstrapping from Reconstruction Failures
[NO] 353/1766 | Combinatorial aspects of the non-symmetric strong spectral property for graphs
[NO] 354/1766 | Boxing inequalities for relative fractional perimeter and fractional Poincaré-type inequalities on John domains with the BBM factor
[NO] 355/1766 | On The Ellipticity Of Generalised Monge-Ampère Equations on Vector Bundles
[NO] 356/1766 | Betting on Bets: Anytime-Valid Tests for Stochastic Dominance
[NO] 357/1766 | Accelerating scaling solutions from dark matter particle creation
[NO] 358/1766 | Addressing Image Authenticity When Cameras Use Generative AI
[NO] 359/1766 | Scalable Multimodal Beam Alignment in V2X: An Anti-Imbalance Graph Learning Approach
[NO] 360/1766 | Entropic regularization of Monge's problem
[NO] 361/1766 | Tight constructions for reconfigurations of independent transversals
[NO] 362/1766 | Generalized stochastic spin-wave theory for open quantum spin systems
[NO] 363/1766 | Finding Meaning in Embeddings: Concept Separation Curves
[NO] 364/1766 | Component-Based Out-of-Distribution Detection
[NO] 365/1766 | Chiral spin-textures in van der Waals heterostructures
[NO] 366/1766 | Attention-based multiple instance learning for predominant growth pattern prediction in lung adenocarcinoma wsi using foundation models
[NO] 367/1766 | Quadrupolar bremsstrahlung waveform at the third-and-a-half post-Newtonian accuracy
[NO] 368/1766 | Cosmological discrete self-similarity in primordial black hole formation
[NO] 369/1766 | VFM$^{4}$SDG: Unveiling the Power of VFMs for Single-Domain Generalized Object Detection
[NO] 370/1766 | Controlled Manipulation of Intermediate State in a Type-I Superconductor
[NO] 371/1766 | Signatures of Very Massive Stars in the Epoch of Reionization
[NO] 372/1766 | Impact of the Infrared Cutoff on Structure Formation in Tsallis Holographic Dark Energy
[NO] 373/1766 | Risk-Aware and Stable Edge Server Selection Under Network Latency SLOs
[NO] 374/1766 | Rethinking Cross-Domain Evaluation for Face Forgery Detection with Semantic Fine-grained Alignment and Mixture-of-Experts
[YES] 375/1766 | MCP Pitfall Lab: Exposing Developer Pitfalls in MCP Tool Server Security under Multi-Vector Attacks
[NO] 376/1766 | LightStim: A Framework for QEC Protocol Evaluation and Prototyping with Automated DEM Construction
[NO] 377/1766 | Dynamical Priors as a Training Objective in Reinforcement Learning
[NO] 378/1766 | Dynamical Regimes of Two Qubits Coupled through a Transmission Line
[NO] 379/1766 | Context-Aware Displacement Estimation from Mobile Phone Data: A Methodological Framework
[NO] 380/1766 | Tempered Sequential Monte Carlo for Trajectory and Policy Optimization with Differentiable Dynamics
[NO] 381/1766 | The Privacy Guardian Agent: Towards Trustworthy AI Privacy Agents
[YES] 382/1766 | Reasoning Primitives in Hybrid and Non-Hybrid LLMs
[NO] 383/1766 | Decomposing Fractional Quantum Hall Wave Functions via Operator Contraction Multiplication
[NO] 384/1766 | A single algorithm for both restless and rested rotting bandits
[NO] 385/1766 | Hill's level surfaces in the circular restricted three-body problem solved
[NO] 386/1766 | FairQE: Multi-Agent Framework for Mitigating Gender Bias in Translation Quality Estimation
[YES] 387/1766 | A pragmatic classification of AI incident trajectories
[NO] 388/1766 | Encrypted Visual Feedback Control Using RLWE-Based Cryptosystem
[NO] 389/1766 | Even More Guarantees for Variational Inference in the Presence of Symmetries
[NO] 390/1766 | Neurodiversity and Technostress: Towards a Multimodal Research Design for Evaluating Subjective, Physiological, and Behavioral Responses
[NO] 391/1766 | GEWUM: General Exploration Workflow for the Utopia of Materials: A Unified Platform for Automated Structure Generation, Selection, and Validation
[NO] 392/1766 | You Only Gaussian Once: Controllable 3D Gaussian Splatting for Ultra-Densely Sampled Scenes
[NO] 393/1766 | Provably Secure Steganography Based on List Decoding
[NO] 394/1766 | From Noise to Intent: Anchoring Generative VLA Policies with Residual Bridges
[NO] 395/1766 | Conjecture and Inquiry: Quantifying Software Performance Requirements via Interactive Retrieval-Augmented Preference Elicitation
[NO] 396/1766 | Bayesian Inference of Dense-Matter Equations of State from Small-Radius Compact Stars with Twin-Star Scenarios
[NO] 397/1766 | Revisiting the luminescence properties of Pr3+: YAG within the framework of an extended approach of Judd-Ofelt theory
[NO] 398/1766 | Time, Causality, and Observability Failures in Distributed AI Inference Systems
[NO] 399/1766 | Prototype-Based Test-Time Adaptation of Vision-Language Models
[NO] 400/1766 | Evaluating AI Meeting Summaries with a Reusable Cross-Domain Pipeline
[NO] 401/1766 | Fractals of Simple Random Walks in Two Dimensions: A Monte Carlo Study
[NO] 402/1766 | ProDock: From multi-target consensus docking into database-backed storage
[NO] 403/1766 | Quantum Mixing for Schrödinger eigenfunctions in Benjamini-Schramm limit
[NO] 404/1766 | The Sample Complexity of Multicalibration
[NO] 405/1766 | Grounding Video Reasoning in Physical Signals
[NO] 406/1766 | Piercing all maximum cliques in hypergraphs
[NO] 407/1766 | Gradual Voluntary Participation: A Framework for Participatory AI Governance in Journalism
[NO] 408/1766 | FAccT-Checked: A Narrative Review of Authority Reconfigurations and Retention in AI-Mediated Journalism
[NO] 409/1766 | Bounding the density of spherical polygon packings
[NO] 410/1766 | "If We Had the Information That We Need to Interpret the World Around Us, We Wouldn't Be Disabled:" Barriers and Opportunities in Information Work among Blind and Sighted Colleagues
[NO] 411/1766 | PREVENT-JACK: Context Steering for Swarms of Long Heavy Articulated Vehicles
[NO] 412/1766 | Ideological Bias in LLMs' Economic Causal Reasoning
[NO] 413/1766 | Turbulent infall onto class 0 disks as cause of CAI brief condensation episode in the solar system
[NO] 414/1766 | On a Boundary-Initial Value Problem for Fractional Differential Equation with Sequential Caputo derivatives
[NO] 415/1766 | LLM-Steered Power Allocation for Parallel QPSK-AWGN Channels
[YES] 416/1766 | TopoStyle: Supporting Iterative Design with Generative AI for 2.5D Topology Optimization
[NO] 417/1766 | Liquid argon purification and purity monitoring: apparatus and first results
[NO] 418/1766 | Large values in time series and additive combinatorics
[NO] 419/1766 | LatRef-Diff: Latent and Reference-Guided Diffusion for Facial Attribute Editing and Style Manipulation
[NO] 420/1766 | Can MLLMs "Read" What is Missing?
[NO] 421/1766 | Structured Quantum State Reconstruction via Physically Motivated Operator Selection
[NO] 422/1766 | Listen and Chant Before You Read: The Ladder of Beauty in LM Pre-Training
[NO] 423/1766 | Enhancing Online Recruitment with Category-Aware MoE and LLM-based Data Augmentation
[NO] 424/1766 | Frequency Security Assessment in Power Systems With High Penetration of Renewables Considering Spatio-Temporal Frequency Distribution
[NO] 425/1766 | ECCFROG522PP: An Enhanced 522 bit Weierstrass Elliptic Curve
[NO] 426/1766 | CAP: Controllable Alignment Prompting for Unlearning in LLMs
[NO] 427/1766 | Reasoning About Traversability: Language-Guided Off-Road 3D Trajectory Planning
[NO] 428/1766 | Ultra-low-noise supercontinuum in normal-dispersion ZBLAN fibres pumped at 1.85 $μ$m
[NO] 429/1766 | SparKV: Overhead-Aware KV Cache Loading for Efficient On-Device LLM Inference
[NO] 430/1766 | UAU-Net: Uncertainty-aware Representation Learning and Evidential Classification for Facial Action Unit Detection
[NO] 431/1766 | A transfer-learning-enhanced POD-FNN surrogate for rapid signal prediction and inverse fitting in thermoreflectance with patterned transducers
[YES] 432/1766 | SQLyzr: A Comprehensive Benchmark and Evaluation Platform for Text-to-SQL
[NO] 433/1766 | ARFBench: Benchmarking Time Series Question Answering Ability for Software Incident Response
[NO] 434/1766 | SpatiO: Adaptive Test-Time Orchestration of Vision-Language Agents for Spatial Reasoning
[NO] 435/1766 | Uncertainty-Aware Spatiotemporal Super-Resolution Data Assimilation with Diffusion Models
[NO] 436/1766 | Percolation Critical Probability of Aperiodic Smith Hat tile(1, $\sqrt3$)
[NO] 437/1766 | Quantitative stochastic homogenization for long-range random walks with critical jump index
[NO] 438/1766 | Reinforcing 3D Understanding in Point-VLMs via Geometric Reward Credit Assignment
[NO] 439/1766 | Seeing Fast and Slow: Learning the Flow of Time in Videos
[NO] 440/1766 | Subsystem-Resolved Spectral Theory for Quantum Many-Body Hamiltonians
[NO] 441/1766 | Fine-Tuning Regimes Define Distinct Continual Learning Problems
[NO] 442/1766 | Hodge theory for combinatorial projective bundles
[NO] 443/1766 | When Prompts Override Vision: Prompt-Induced Hallucinations in LVLMs
[YES] 444/1766 | From Research Question to Scientific Workflow: Leveraging Agentic AI for Science Automation
[NO] 445/1766 | Nemobot Games: Crafting Strategic AI Gaming Agents for Interactive Learning with Large Language Models
[NO] 446/1766 | The impact of hydrogen atom tunneling on aromatic chemistry in TMC-1
[NO] 447/1766 | Guaranteed inf-sup bounds and existence verification for semilinear elliptic problems via nonconforming finite elements
[NO] 448/1766 | The Dyson Minds 2025 Workshop: SETI around Black Holes
[NO] 449/1766 | Quark and gluon production in the presence of the time-varying chiral magnetic current
[NO] 450/1766 | Locating acts of mechanistic reasoning in student team conversations with mechanistic machine learning
[NO] 451/1766 | Extending Hamiltonian-Adaptive Resolution Simulation to Interfaces: An Updated LAMMPS Implementation and Application to Porous Solids
[NO] 452/1766 | Odd Physics Off the Diagonal: Constraining CP-violating SMEFT with Quantum Tomography
[NO] 453/1766 | Generative artificial intelligence reduces social welfare through model collapse
[NO] 454/1766 | Toward Inferring the Surface Fluxes of Biosignature Gases on Rocky Exoplanets from Telescope Spectra
[NO] 455/1766 | Cross-Modal Phantom: Coordinated Camera-LiDAR Spoofing Against Multi-Sensor Fusion in Autonomous Vehicles
[NO] 456/1766 | Orthosymplectic quantum groups revisited
[NO] 457/1766 | Bridging the Training-Deployment Gap: Gated Encoding and Multi-Scale Refinement for Efficient Quantization-Aware Image Enhancement
[NO] 458/1766 | The Recurrent Transformer: Greater Effective Depth and Efficient Decoding
[NO] 459/1766 | Separable Expert Architecture: Toward Privacy-Preserving LLM Personalization via Composable Adapters and Deletable User Proxies
[NO] 460/1766 | Finding Pareto frontier for one-sided matching
[NO] 461/1766 | Analytical and Machine Learning Methods for Model Discernment at CE$ν$NS Experiments
[NO] 462/1766 | Robustness Analysis of POMDP Policies to Observation Perturbations
[NO] 463/1766 | Birth, Death, and Replication at Surfaces: Universal Laws of Autocatalytic Dynamics
[NO] 464/1766 | Pricing and Hedging Financial Derivatives in Merger\&Acquisition Deals with Price Impact
[NO] 465/1766 | Deep kernel video approximation for unsupervised action segmentation
[NO] 466/1766 | A Bayesian Reasoning Framework for Robotic Systems in Autonomous Casualty Triage
[NO] 467/1766 | Dynamical mean-field theory for dense spin systems at finite temperature
[NO] 468/1766 | XRISM High-Resolution X-ray Spectroscopy of Cygnus X-1 -- Orbital and Short-Term Variability of Iron Absorption
[NO] 469/1766 | Engaged AI Governance: Addressing the Last Mile Challenge Through Internal Expert Collaboration
[NO] 470/1766 | Yang-Baxter Integrability and Exceptional-Point Structure in Pseudo-Hermitian Quantum Impurity Systems
[NO] 471/1766 | Hawking radiation from black holes in 2+1 dimensions
[NO] 472/1766 | Using Assembly Language for Creating Games
[NO] 473/1766 | Kernelization Bounds for Constrained Coloring
[NO] 474/1766 | Adaptation and Development of Super Schemes for Unconstrained Optimization Problems
[NO] 475/1766 | Symplectic symmetry of quadratic-band-touching Hamiltonians in two dimensions
[NO] 476/1766 | Systematizing Blockchain Research Themes and Design Patterns: Insights from the University Blockchain Research Initiative (UBRI)
[NO] 477/1766 | SPURS: Bursty Star Formation in an Extremely Luminous Weak Emission Line Galaxy at $z=9.3$
[NO] 478/1766 | Precision measurement of positron decay modes of Xe-125 in the LUX-ZEPLIN experiment
[NO] 479/1766 | Data-Driven Thermal and Mechanical Modeling of Defective Covalent Organic Frameworks
[NO] 480/1766 | HyperCEUNet: Parameter-Aware Hypernetwork-Driven UNet for Channel Estimation
[NO] 481/1766 | The similarity of irreducible operators in factors
[NO] 482/1766 | Novelty-Based Generation of Continuous Landscapes with Diverse Local Optima Networks
[NO] 483/1766 | X-Shooting ULLYSES: Massive stars at low metallicity XV. On the metallicity dependence of B-supergiant mass-loss rates
[NO] 484/1766 | Continuum granular flow model with restitution-derived viscoelastic damping
[NO] 485/1766 | Enabling Biomolecular Simulations with Neural Network Potentials in GROMACS
[NO] 486/1766 | A Stackelberg Model for Hybridization in Cryptography
[NO] 487/1766 | Decoupled DiLoCo for Resilient Distributed Pre-training
[NO] 488/1766 | The virial expansion of the Hydrogen equation of state in comparison to PIMC simulations: the quasiparticle concept, IPD, and ionization degree
[NO] 489/1766 | Pre-process for segmentation task with nonlinear diffusion filters
[NO] 490/1766 | CSC: Turning the Adversary's Poison against Itself
[NO] 491/1766 | Supermassive Black Hole Winds in X-rays: SUBWAYS IV. Tracing Radio Emission and Unveiling the Role of Winds
[NO] 492/1766 | Analytic Inverse Design of Temporal Metamaterials via Space-Time Duality
[NO] 493/1766 | Nonsmooth Nonconvex-Concave Minimax Optimization: Convergence Criteria and Algorithms
[NO] 494/1766 | Channel-Free Human Activity Recognition via Inductive-Bias-Aware Fusion Design for Heterogeneous IoT Sensor Environments
[NO] 495/1766 | Ribbon graphs and meromorphic functions
[NO] 496/1766 | SparseGF: A Height-Aware Sparse Segmentation Framework with Context Compression for Robust Ground Filtering Across Urban to Natural Scenes
[NO] 497/1766 | Learn Weightlessness: Imitate Non-Self-Stabilizing Motions on Humanoid Robot
[NO] 498/1766 | Latent Denoising Improves Visual Alignment in Large Multimodal Models
[NO] 499/1766 | Scalable surface ion trap design for magnetic quantum sensing and gradiometry
[NO] 500/1766 | Spherical Cap $L_2$ Discrepancy -- Blessing of Dimensionality and a Balanced Large-Cap Variant
[NO] 501/1766 | Three-dimensional time-periodic problem on the Boltzmann equation with external force
[NO] 502/1766 | Teacher-Guided Routing for Sparse Vision Mixture-of-Experts
[NO] 503/1766 | MiMIC: Mitigating Visual Modality Collapse in Universal Multimodal Retrieval While Avoiding Semantic Misalignment
[NO] 504/1766 | Gravitational Collapse of a Chiellini Integrable Scalar Field
[NO] 505/1766 | FryNet: Dual-Stream Adversarial Fusion for Non-Destructive Frying Oil Oxidation Assessment
[NO] 506/1766 | When Bigger Isn't Better: A Comprehensive Fairness Evaluation of Political Bias in Multi-News Summarisation
[NO] 507/1766 | Exploring the Role of Synthetic Data Augmentation in Controllable Human-Centric Video Generation
[NO] 508/1766 | AttDiff-GAN: A Hybrid Diffusion-GAN Framework for Facial Attribute Editing
[NO] 509/1766 | Third Quantization for Order Parameter (I): BCS-BEC crossover with macroscopically coherent state
[NO] 510/1766 | Room-temperature third-order nonlinear anomalous Hall effect in ferromagnetic metal Fe3GaTe2
[YES] 511/1766 | Strategic Heterogeneous Multi-Agent Architecture for Cost-Effective Code Vulnerability Detection
[NO] 512/1766 | Random Access Codes: Explicit Constructions, Optimality, and Classical-Quantum Gaps
[NO] 513/1766 | Downlink Channel Matrix Estimation from PMI-Only Feedback in FDD Systems: Maximum Likelihood and Sharp Excess Risk Bound
[NO] 514/1766 | A Convexified Eulerian Framework for Scalable Coordination of Massive DER Populations
[NO] 515/1766 | Planning Beyond Text: Graph-based Reasoning for Complex Narrative Generation
[NO] 516/1766 | Real link Floer homology
[NO] 517/1766 | Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness
[NO] 518/1766 | Time-optimal Qubit Reset via Environmental Spectral Structure
