[2026-09-10 23:45:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[IEEE] 2026-9-10 | SwiftKV: A Co-Designed Edge-Oriented Attention Algorithm and Multihead Accelerator for Fast, Efficient LLM Decoding
[IEEE] 2026-9-10 | A Semantics-Driven Approach for Safe and Reliable Obstacle Avoidance of UAVs
[IEEE] 2026-9-10 | Semantics-Aware Scheduling for Low-Latency LLM Serving in Heterogeneous Computing Networks
[IEEE] 2026-9-10 | Design and implementation of planar unequal three-way power divider
[IEEE] 2026-9-10 | TILE-TEC 2026 Cover Page
[IEEE] 2026-9-10 | Reverse Attention for Degradation-Aware Detection under Motion Blur in Industrial QR Code Inspection
[IEEE] 2026-9-10 | Real-Time Monitoring of Microwave Ablation Based on Artificial Neural Network and Ultrathin Flexible Temperature Sensors
[IEEE] 2026-9-10 | Design of Low-Profile 2-D 4×4 Butler Matrix with Filtering Response
[IEEE] 2026-9-10 | Topological Edge State Enabled Dual-Band Microwave Circulator using Photonic Crystals
[IEEE] 2026-9-10 | A Wi-Fi Fingerprint Building-Floor Classification Method Based on an AP Co-occurrence SGAT
[IEEE] 2026-9-10 | Time-Frequency Dual-Path Denoising of Mud Continuous Wave Signals Based on Transformer
[IEEE] 2026-9-10 | Metallographic Grain Boundary Segmentation and Classification Based on SE Attention and Gradient Accumulation
[IEEE] 2026-9-10 | TraceBudget: Cost-Aware Multimodal Incident Diagnosis with Adaptive Multi-Source Observability Retrieval
[IEEE] 2026-9-10 | Optimal LQI-Based Control of a Rotary Series Elastic Actuator for Improved Tracking Performance
[IEEE] 2026-9-10 | HMDM: A Hierarchical Multi-scale Density Peaks Clustering with Manifold Adaptation
[IEEE] 2026-9-10 | Frequency-guided Diffusion Model and Adaptive Weighting Loss for Medical Image Translation
[IEEE] 2026-9-10 | DAG-net: A Dynamic Adaptive UAV Cross-View Geo-Localization network with Sample-Specific Token Optimization
[IEEE] 2026-9-10 | TILE-TEC 2026 Cover Page
[IEEE] 2026-9-10 | Research on Modulation Recognition Method for Communication Signals Based on Variational Quantum Circuits
[IEEE] 2026-9-10 | A Low Sidelobe Level Transmitarray Antenna with High Aperture Efficiency
[IEEE] 2026-9-10 | Design of Wideband Digital Coding Phase Controlled Stochastic Radiation Liquid Crystal Antenna
[IEEE] 2026-9-10 | An Integrated RF Architecture-Based Transmitter Node for Distributed Radar Systems
[IEEE] 2026-9-10 | Phaseless Planar Near-Field Antenna Measurement via HSO-Initialized Regularized Reweighted Amplitude Flow
[IEEE] 2026-9-10 | A Ka-Band Dual-Polarized Antenna in Glass Package fed by SICL
[IEEE] 2026-9-10 | A Broadband Millimeter-Wave Antenna Based on Switching Reference Ground
[IEEE] 2026-9-10 | A Compact and Dual-band Harmonic Tag Based on Schottky Diode
[IEEE] 2026-9-10 | A Low-Profile 1-bit Transmission Metasurface for Wide-Angle Beam Scanning
[IEEE] 2026-9-10 | Adaptive Federated Learning with Edge–Cloud Co-Optimization for Latency-Sensitive Applications
[IEEE] 2026-9-10 | A Dual-Branch Domain Adaptive Ensemble Framework for Robust Cross-Center Alzheimer’s Disease Diagnosis
[IEEE] 2026-9-10 | 2026 International Conference on Microwave and Millimeter Wave Technology (ICMMT)
[IEEE] 2026-9-10 | Design of a Dense Beam Array for Rydberg-Atom-Based Microwave Electrometry
[IEEE] 2026-9-10 | Dual-Branch Synergistic Learning Network for Optical and SAR Image Registration
[IEEE] 2026-9-10 | Aircraft Skin Defect Detection Based on Dual-Domain Wavelet Feature Enhancement
[IEEE] 2026-9-10 | A High-Power Asymmetric SPDT T/R Switch in 0.18-um CMOS SOI for 5G-Advanced Applications
[IEEE] 2026-9-10 | A Broadband High-Efficiency Luneburg Lens Based on Metallic Metamaterials
[IEEE] 2026-9-10 | Design of Wideband 3D Frequency-Selective Surface Based on Equivalent Circuit Model and CNN Deep Learning
[IEEE] 2026-9-10 | Design of an Ultra-Wideband Reconfigurable Reflectarray Based on Antenna Scattering Mechanisms
[IEEE] 2026-9-10 | Research on Trajectory Tracking of Sawyer Robots Based on Adaptive Fuzzy Sliding Mode Control
[IEEE] 2026-9-10 | Development of a High-Frequency Asymptotic Solver Based on the SBR Method
[IEEE] 2026-9-10 | Design of 4 × 4 Filtering Butler Matrix Based on Substrate Integrated Waveguide
[IEEE] 2026-9-10 | Hybrid TCN-BiGRU Based Dynamic Pattern Recognition for Rolling Bearing Fault Classification
[IEEE] 2026-9-10 | Design of Varactor-Tuned Polarization Reconfigurable Beam Steering Reflectarray Antenna for High-Power Applications
[IEEE] 2026-9-10 | A Broadband and Low-Profile Transmitarray Metasurface for Vortex Wave Generation
[IEEE] 2026-9-10 | Design and Evaluation of a Reconfigurable Convolutional Neural Network Accelerator for Embedded Multi-Task Recognition
[IEEE] 2026-9-9 | An IMU-based automatic measurement system for detecting postural changes during sedentary work activities
[IEEE] 2026-9-9 | Design and Verification of Hybrid BIST Architecture for DRAM and SRAM Based PiM Systems
[IEEE] 2026-9-9 | A Simulation-Based Approach for CMOS-Integrated ReRAM Memory Architecture with Peripheral Circuit Design
[IEEE] 2026-9-9 | Graph Generation Through Self-alignment in Transformer-based Discrete Diffusion Model
[IEEE] 2026-9-9 | Mutual Support of Temporal and Spatial RF-EMF Measurements in the EMF RATEL System
[IEEE] 2026-9-10 | Preface
[IEEE] 2026-9-10 | An Equivalent Permittivity Model for Contactless Full 3D GPR Imaging
[IEEE] 2026-9-10 | Design of 5.2-8.1 GHz Three-Stacked Power Amplifier Using Deep Generative Network and MOEA/D in 55 nm CMOS Technology
[IEEE] 2026-9-10 | SparKLoc: Sparse Key-Gaussian Matching for 3D Gaussian-Based Visual Localization
[IEEE] 2026-9-10 | Eddy Current Mitigation and Efficiency Enhancement in Undersea WPT System via Three-Phase Cross-Coupled Topology and Multidimensional Control
[IEEE] 2026-9-10 | A Highly Integrated mmWave Dual-Polarized Phased-Array Transceiver for IBFD: Constraint Modeling and Implementation
[IEEE] 2026-9-10 | Capacity of the treelike sign perceptrons neural networks with one hidden layer – RDT based upper bounds
[IEEE] 2026-9-10 | High PSRR LDO with CM-FFRC over Wideband Frequencies
[IEEE] 2026-9-10 | Design of a Fully Metallic Miniaturized Vivaldi Antenna
[IEEE] 2026-9-9 | A State-Dependent Vector Autoregressive Model for Online Forecasting of Time Series on Graphs
[IEEE] 2026-9-10 | A Weight-Inherited Degradation-Stage-Aware Neural Architecture Search Method with Stage-Specific Compact Subnets for Bearing RUL Prediction
[IEEE] 2026-9-10 | A Comparative Study of Tree-Based for Predicting Mental Health Risk
[IEEE] 2026-9-10 | TILE-TEC 2026 Copyright Page
[IEEE] 2026-9-10 | A Metasurface Antenna for Electromagnetic Shielding Against Horizontally Polarized High-Power Microwave
[IEEE] 2026-9-10 | Fly Compound Eye-Inspired Target Tracking for Remote Sensing Images
[IEEE] 2026-9-10 | A High-Efficiency Ka-Band MMIC Power Amplifier with Harmonic Suppression Output Matching Network
[IEEE] 2026-9-10 | Tracking Community Evolution: A Six-Dimensional SIPVCM Framework for Hybrid Academic Networks
[IEEE] 2026-9-10 | Multifunctional Electrically Small Huygens Antennas for Wireless Power Transfer-Enabled IoT Ecosystems
[IEEE] 2026-9-10 | A Convex Conformal Reflectarray Antenna With Dual Circularly Polarized Beams
[IEEE] 2026-9-10 | Granular Ball-Guided Negative Sample Selection for Graph Contrastive Learning
[IEEE] 2026-9-10 | Terahertz Bandstop Filter Based on Image-Guided Dielectric Waveguide
[ACM] 2026-9-9 | Catching License Changes Before They Cost: Leveraging LLMs to Analyze License Evolution in Open Source Software
[ACM] 2026-9-9 | BugHunter: An Automated Tool for Bug-Aware GUI Testing via Retrieval Augmentation
[ACM] 2026-9-9 | Tailoring Software Engineering Generative AI Agents to Company Standards and Developers’ Preferences
[ACM] 2026-9-9 | Too Hot To Handle: The Effects of Temperature on AI-Generated Code Used to Cheat in Programming Assignments
[ACM] 2026-9-9 | Toward Self-Adaptive and Decentralized Intelligent Software Systems: A Federated Learning Perspective
[IEEE] 2026-9-9 | Multi-rank Scaled Subgradient Descent for Robust Tensor Sensing_supp1-3731909.pdf
[IEEE] 2026-9-9 | ICVCS 2026 Author Index
[ACM] 2026-9-9 | Opening Remarks
[IEEE] 2026-9-9 | Fast Fourier Azimuthal Spectral Assembly for Invariant-Imbedding T-matrix Simulations of Inhomogeneous Atmospheric Particles
[IEEE] 2026-9-9 | RAPID-Hydrology: Pre-training Hydro-Meteorological Representations with Diffusion for Enhanced Causal Prediction
[IEEE] 2026-9-9 | Low-PAPR Precoding Designs for Multi-User MIMO-OFDM Integrated Sensing and Communication Systems
[IEEE] 2026-9-9 | Flexible AI-Reduced-Order Digital Twin Modeling for Industrial Furnace Combustion Fields
[ACM] 2026-9-10 | LLM Use for Mental Health: Crowdsourcing Users' Sentiment-based Perspectives and Values from Social Discussions
[IEEE] 2026-9-9 | Which Genes Leak? Feature-Level Privacy Auditing for Synthetic Single-Cell RNA-Seq Data
[IEEE] 2026-9-9 | TRACE: Transformer for Regularized and Accurate Cortical ECoG Motor Decoding
[IEEE] 2026-9-9 | Superconducting detectors enhancement of quantum communication: practical cases
[IEEE] 2026-9-9 | Real-World Deployment and Energy Consumption of Federated Learning in V2N Scenarios
[IEEE] 2026-9-9 | A Data-Driven Optimization Framework for Profitable E-Waste Refurbishment in U.S. Recycling Systems
[IEEE] 2026-9-9 | Automated Alignment Between Elicitation Interviews and Requirements
[IEEE] 2026-9-10 | Development of an IoT-Based Practical Training Kit Using Arduino Uno R4 WiFi to Enhance Microcontroller and IoT Practical Skills for Higher Vocational Certificate Students
[IEEE] 2026-9-10 | Addressing the Critical Evaluation Paradox: Analog Scaffolding and Professional Role-Playing to Mitigate Algorithmic Shortcutting in Engineering Data Science
[IEEE] 2026-9-10 | From Zero-Touch to Practice-Ready Graduates: Using MSEL-Based Tabletop Exercises as a Situated Learning Tool in SOC Education
[IEEE] 2026-9-10 | A Novel Momentum-Optimized BP Neural Network Algorithm for Substation Settlement Deformation Prediction
[IEEE] 2026-9-10 | New Configuration of VCII-based Voltage Amplifiers with Infinite Input-impedance Availability
[IEEE] 2026-9-10 | Verifying Rumors via Stance-Aware Structural Modeling
[IEEE] 2026-9-10 | A Single-layer Active Frequency Selective Surface With Out-of-band Polarization Conversion
[IEEE] 2026-9-10 | Salt Exposure Risks in PV and Floating PV: Bibliometric Analysis and Technical Review
[IEEE] 2026-9-10 | SMTD: Structure-Aware Main-Tail Decoder for Critical-Corridor Resource Allocation
[IEEE] 2026-9-10 | Pattern Reconfigurable Antenna Based on Equivalent Two-Element Array with RF-MEMS Phase Control
[IEEE] 2026-9-10 | A Polarization-Reconfigurable Circularly Polarized End-Fire Traveling-Wave Antenna
[IEEE] 2026-9-10 | Design of a 1-to-4 power divider with phase shift based on liquid crystal
[IEEE] 2026-9-10 | Distilling for Robustness: Mitigating Semantic Noise in Provenance Graphs for Efficient APT Detection
[IEEE] 2026-9-10 | An Ultra-wideband MIMO Antenna for 5G Metal-frame Smartphone
[IEEE] 2026-9-10 | A Dual-Polarized Reflectarray With Gain Filtering and Out-of-Band RCS Reduction Based on BLRFC Scheme
[IEEE] 2026-9-10 | Respiration-Aware Beam Scanning for Millimeter-Wave Human Respiration Monitoring
[IEEE] 2026-9-10 | A Broadband Low-loss Micro-coaxial Coupler
[IEEE] 2026-9-10 | Heatsink Integrated Antenna with Miniaturized Radiator for Wide Beam Performance
[IEEE] 2026-9-10 | A Physics-Guided 3D UAV Trajectory Reconstruction from Micro-Doppler Signatures
[IEEE] 2026-9-10 | 5G-based Coal Mine Broadcasting Communication System
[IEEE] 2026-9-10 | A Retrieval-Augmented Generation Framework for Question Answering over Product Manuals
[IEEE] 2026-9-10 | Epsilon-Near-Zero Substrate Integrated Waveguide Antenna
[IEEE] 2026-9-10 | Design of a Millimeter-Wave Switch Using GaAs Process
[IEEE] 2026-9-10 | Diagnostic Trouble Box (DTB) Integrated Learning Media for Automotive Electrical Systems: Enhancing Diagnostic and Critical Thinking Competence
[IEEE] 2026-9-10 | author-index
[IEEE] 2026-9-10 | Multi-Representation Fusion for Elderly Posture Recognition based on mmWave Radar
[IEEE] 2026-9-10 | A Novel Vehicle Detection Method in Sandstorm Weather Based on Zero-Shot Enhancement and Appearance-Motion Consistency Model
[IEEE] 2026-9-10 | Suppressing Poole–Frenkel Instability in NbO
                    <sub>x</sub>
                    Memristors Through an Ultrathin SiO
                    <sub>x</sub>
                    Tunneling Layer
[IEEE] 2026-9-10 | LNP: Liquid Network Policy for Humanoid Whole-Body Motion Tracking
[IEEE] 2026-9-10 | Secure Zero-Touch Edge Cloud Framework for 6G Enabled e-Health Systems: A Reference Architecture for Injury Tracking in Sports Education
[IEEE] 2026-9-10 | 3-D-Printed Air Microstrip Double Bridge Interconnects for Sub-THz Applications
[IEEE] 2026-9-10 | Multi-Frequency and Polarisation Data Fusion with Hybrid DWT-PCA
[IEEE] 2026-9-10 | GNN-Enhanced Routing in SD-WAN over Realistic Space–Ground Networks with Constellation Dynamics and Weather-Driven Link Variability
[IEEE] 2026-9-10 | Improving Readiness of Communities for Evacuations With Electric Vehicles: Key Challenges
[IEEE] 2026-9-9 | Design and Performance Analysis of a High-Axial-Mode-Purity Magnetoelectric Antenna
[IEEE] 2026-9-10 | DCVC-MV: Deep Contextual Multiview Video Compression with Efficient Inter-View Prediction
[IEEE] 2026-9-10 | Neuralized Multi-Wavelet Decomposition for Time Series Classification and Forecasting
[IEEE] 2026-9-10 | Malicious Repository Detection Using Transformer-Based Models: A Metadata-Driven Approach
[IEEE] 2026-9-10 | Topology-Generalizable Reinforcement Learning for Adaptive Routing in IoUT Networks
[IEEE] 2026-9-10 | Correlation-Separated Copula Modeling of Regional Renewable Generation for Accurate Prediction of Inter-Regional Transmission Line Flows
[IEEE] 2026-9-10 | Modeling and Force Tracking Control for Single Tendon-Sheath Actuation Mechanism for Exoskeleton Applications
[IEEE] 2026-9-10 | Proceedings
[IEEE] 2026-9-10 | A Meandered H-Slot Ultra-Compact Circularly Polarized Implantable Antenna With 3D Head Model Validation for Wireless DBS Systems
[IEEE] 2026-9-10 | Leveraging Large Language Models and Knowledge Graphs for Disease Theory Exploration and Causal Analysis
[IEEE] 2026-9-10 | Self-Learning in the Control of Automatic Landing and Fixed-Point Hovering for a 6-DoF Vertical Takeoff and Landing UAV
[IEEE] 2026-9-10 | Interpolation-Based Data Augmentation for Automatic Persuasive System
[IEEE] 2026-9-10 | Liquid Metal-Loaded Wideband High-Gain Radiation Pattern-Reconfigurable Fabry–Perot Antenna
[IEEE] 2026-9-10 | Dates Ahead
[IEEE] 2026-9-10 | Leveraging Argumentation Schemes in Justification Generation for Automated Fact-Checking
[IEEE] 2026-9-10 | Improving the Reliability of LLM Evaluation Metrics via Human-in-the-Loop Validation
[IEEE] 2026-9-10 | Design of Broadband High-Efficiency Power Amplifier with Deep Integration of Step Matching and Filtering Functions
[IEEE] 2026-9-9 | IGNN-Solver: A Graph Neural Solver for Implicit Graph Neural Networks_supp1-3729092.pdf
[IEEE] 2026-9-9 | A Hybrid Model-Assisted Approach for Path Loss Prediction in Suburban Scenarios
[IEEE] 2026-9-9 | DHCC: An Interpretable Framework for Microseismic Analysis via Differentiable Hierarchical Consensus Clustering
[IEEE] 2026-9-9 | MNC 2026 Front Matter
[IEEE] 2026-9-9 | Adaptive Unmanned Surface Vehicle Control Under Perturbations With a Tunable Settling Time
[IEEE] 2026-9-9 | PA-Aware Partially-Connected Hybrid Beamforming Design for Wideband Integrated Sensing and Communication
[IEEE] 2026-9-9 | Assessing Cyber Risks in Hydropower Systems Through HAZOP and Bow-Tie Analysis
[IEEE] 2026-9-9 | Adaptive Refinement Magnetic Network for an External Rotor Hub-Motor Based on Magnetic Field Feedback Control
[IEEE] 2026-9-9 | Priority-Based Data Preservation in Challenging Environments: A Maximum Weighted Flow Approach
[IEEE] 2026-9-9 | 2026 IEEE International Symposium on Measurement in Networking and Communications (MNC)
[IEEE] 2026-9-9 | IEEE Connects You to a Universe of Information!
[IEEE] 2026-9-9 | Stability Analysis of Linear Systems With Delays via Negative- and Positive-Definiteness Lemmas and Application to LFC in Power Systems
[ACM] 2026-9-9 | SoS Governance in Smart Cities: A Tertiary Review Highlighting Research Gaps in the Global South
[ACM] 2026-9-9 | Exploring the Information Disorientation Problem in Automated Program Repair under Relaxed Localization
[ACM] 2026-9-9 | TenderChat with Dynamic RAG: A Prompt-Adaptive RAG Framework for Australian Government Tender Analysis
[ACM] 2026-9-9 | Applying Neuroinclusive Agile Practices in Software Engineering Team-Based Learning
[ACM] 2026-9-9 | Unsupervised Approaches to Futile Cycle Detection in AI Agents
[ACM] 2026-9-9 | Proofs of Concept as First-Class Architectural Decision Instruments
[ACM] 2026-9-9 | Modular Workshop Architecture for Teaching Machine Learning in Autonomous Driving by Non-Experts
[ACM] 2026-9-9 | FastMCC: Multiple-hypotheses Code Completion with Natural Language Phrases as Alternative Suggestions
[ACM] 2026-9-9 | What Do We Really Need? Identifying Minimal Sufficient Temporal Properties via Refinement
[IEEE] 2026-9-9 | A Low-Complexity Joint TX/RX IQ Imbalance Calibration Method Using Circularity Statistics
[IEEE] 2026-9-9 | Intelligent Energy Management Using Digital Twin–Driven Smart Metering in Industry 5.0
[IEEE] 2026-9-9 | Comparing Clinical and Machine Learning Approaches for Cardiac Mortality Risk Prediction
[IEEE] 2026-9-9 | Semi-Automated, Open-Sourced Utility Network Reconstruction Using LiDAR and OpenStreetMaps
[IEEE] 2026-9-9 | Flow Dynamics and Probe Positioning Effects in Microfluidic Optical Fiber Meta-Tip Biosensors
共写入 1997 条记录，保存到 papers/paper2026-09-09.json。
论文获取成功，文件路径: papers/paper2026-09-09.json
正在筛选、翻译并发送邮件...
[NO] 1/1997 | Stencil Computation at the Intersection of AI and HPC
[NO] 2/1997 | AVSRBench: A Multi-Condition AVSR Benchmark
[NO] 3/1997 | A Novel Scheme for Inter-Satellite Integrated Laser Ranging and Communication in Space-Based GW Detection
[NO] 4/1997 | Surrogate-accelerated parameterisation of physics-based Li-ion battery models
[NO] 5/1997 | On the syntomic regulator of the Hesse cubic curves and $p$-adic hypergeometric functions
[NO] 6/1997 | Learning to Adapt and Calibrate: Score Distribution Alignment for Few-Shot Uncertainty Prediction in Medical VLMs
[NO] 7/1997 | Positivity and Asymptotics for Chenevier's Orthogonal Polynomials
[NO] 8/1997 | Sharp local estimates for smooth numbers
[NO] 9/1997 | Geometry Without Coordinates: LiDAR Diffusion as a 3D Feature Bridge
[NO] 10/1997 | Kaniadakis Holographic Dark Energy with Particle Horizon as IR Cutoff
[NO] 11/1997 | Alexandrov-Type Rigidity for Minimal Capillary Hypersurfaces on Rotational Supports
[NO] 12/1997 | TRACE: Training Reasoning Agents for Causal Exploration with Synthesized Rewards
[NO] 13/1997 | An $O(1/T^3)$ algorithm for minimizing convex quadratic functions over the $L_1$ ball
[NO] 14/1997 | Constrained Optimization of Higher-Order Cluster-Expansion Hamiltonians for Alloys Using Simulated Bifurcation
[NO] 15/1997 | Deformable Object Manipulation under Partial Observability via Real-Time Full-Shape Estimation
[NO] 16/1997 | SynThermFace: Amplifying Limited Paired Data for Visible-Thermal Face Recognition via Synthetic Data Generation
[NO] 17/1997 | GANDR: Claim Auditing for Verifiable Legal Answer Generation
[NO] 18/1997 | Isotropic Embedding Perturbations for Robust Vision Language Encoders
[NO] 19/1997 | From stardust to interstellar grain growth in the first galaxies: a cosmological transition in dust evolution near z ~ 8.9
[NO] 20/1997 | Learning Terrain-Adaptive Humanoid Locomotion on Granular Terrain
[NO] 21/1997 | Associating binary black holes with galactic centres using lensed gravitational waves
[NO] 22/1997 | Jack Content Operators and the Deformed ${\mathcal W}_{1+\infty}$ Algebra
[NO] 23/1997 | Singular Forces on the Whole Space: Sobolev Density Thresholds and Energy Approximation
[NO] 24/1997 | An approximate counterexample to the Barker--Larman problem in dimension $4$
[NO] 25/1997 | Meme Coin Factories: Uncovering Large-Scale Manipulations on pump.fun
[NO] 26/1997 | FolDeX: A Physical-World Benchmark for Long-Horizon Robotic Manipulation of Deformable Objects
[NO] 27/1997 | Spatial sparse sampling-based iterative optimization framework for GNSS Direct Position Estimation
[NO] 28/1997 | LiteRAG: Cost-Efficient Graph-Based Retrieval-Augmented Generation
[NO] 29/1997 | On the Tightness of Standard Relaxations for Mixed-Integer Bilevel Linear Programs
[NO] 30/1997 | Mitigating Degradation Attacks in Cooperative Autonomous Driving via Intention Sharing: A Vehicle-in-the-Loop Study
[NO] 31/1997 | UOT-Gap: A Variational Principle for the Modality Gap in Vision-Language Models via Unbalanced Optimal Transport
[NO] 32/1997 | Convergence Rate toward Rarefaction Wave under Periodic Perturbation for Generalized Korteweg-de Vries-Burgers equation
[NO] 33/1997 | MHD Modelling of magnetic reconnection heating and jets in the solar corona
[NO] 34/1997 | Moderate Deviations for Nonlinear Hawkes Processes
[NO] 35/1997 | Are You Learning Biological Signal or Shortcuts? Auditing and Mitigating Bias in Protein-Protein Interaction Datasets
[NO] 36/1997 | pyeCE: A Python Implementation of the Embedded Cluster Expansion
[NO] 37/1997 | Fast, Accurate, and Scalable Fermionic Neural Networks via Translation Equivariance
[NO] 38/1997 | From Laboratory Aging Studies to Field Predictions: Quantifying Uncertainty in Battery Storage Lifetime Predictions
[NO] 39/1997 | Hopf decomposition of the actions of subgroups of the mapping class group
[NO] 40/1997 | Embedding Model-form Uncertainty in Probabilistic Calibration of Digital Twins for Bridges
[NO] 41/1997 | Multi-Robot Scanner for Automated Full-Body Dermoscopic Imaging
[NO] 42/1997 | Untangling EIT Waves: What a Measured Speed Actually Traces
[NO] 43/1997 | Boundary-Level-Constrained Refinement for Suppressing Trimming-Induced High-Frequency Outliers in Explicit Isogeometric Analysis
[NO] 44/1997 | The internal kinematics and chemistry of 20 Milky Way strings
[NO] 45/1997 | Observational constraints on a damped harmonic oscillator model of dark energy
[NO] 46/1997 | Assembling Two Parts in One Hand
[NO] 47/1997 | Context operations to architecture modelling output from large language models and evaluation criteria for their use in systems engineering design
[NO] 48/1997 | Controlled harmonic map heat flow and blow-up from the disk to the sphere
[NO] 49/1997 | Hadronic origin of gamma rays and neutrinos from blazars: Multi-messenger implications and observational constraints
[NO] 50/1997 | SAGE: Semantic-Aware Geographic Error Recovery for AI Data Movement
[NO] 51/1997 | Renewal process's guide to fractional Navier-Stokes equations
[NO] 52/1997 | Pullbacks of Groupoid $C^*$-Algebras over Disjoint Invariant Sets
[NO] 53/1997 | Marker-free eye-gaze estimation using a single image and depth from defocus
[NO] 54/1997 | The Car Resequencing Problem with Makespan Minimization
[NO] 55/1997 | Ulrich bundles on intersections of two quadrics
[NO] 56/1997 | Teacher Geometry Shapes Learnability in Teacher-Student Networks
[NO] 57/1997 | Inclusive productions of $J/ψ+η_c$ in $e^{+}e^{-}$ annihilation at Belle
[NO] 58/1997 | Signal Correlation, IC, and PnL Dependence
[NO] 59/1997 | Distillation of Synthetic Data for Time Series Foundation Models
[NO] 60/1997 | Characterizing Multi-Cell Pinching-Antenna Transmission: Revealing the Other Side of the Coin
[NO] 61/1997 | The validity of the Stokes-Einstein relation in ionic liquids
[NO] 62/1997 | Geometric organization of olfactory descriptor data in the Poincaré disk
[NO] 63/1997 | Learning with Synthetic Data via SGD in High-Dimensional Linear Regression
[NO] 64/1997 | Positional task conditioning for scalable defect detection across product families in large product catalogs
[YES] 65/1997 | The Vibe Shift in Software Engineering: Evaluating AI-Led Conversational Programming for Performance, Cognition, and Responsible Adoption
[NO] 66/1997 | Differential Stochastic Simulated Annealing Processor for Fully Connected 2048-Spin Optimization
[NO] 67/1997 | High-probability guarantees for linear accessibility in feature superposition
[NO] 68/1997 | Arbitrary Cipher Attacks Against Large Language Models Do Not Require Fine-Tuning
[NO] 69/1997 | An Efficient and Effective Agentic Group Shilling Attack on Recommender Systems
[NO] 70/1997 | Development of Ultrafast and Radiation-Hard GAGG for the Next-Generation of High-Energy Physics Calorimeters
[NO] 71/1997 | Storage-Scalable Progressive Semantic Communication via Knowledge-Base Reuse
[NO] 72/1997 | Derived equivalences between diagram categories of finite posets
[NO] 73/1997 | Enabling New Discoveries with Machine Learning
[NO] 74/1997 | Infinite ergodic theory and functional statistics of non-confined Feller process
[NO] 75/1997 | Joint nonlinearity in a stiffened aluminium wingbox panel and what it requires of a reduced basis
[NO] 76/1997 | Stochastic Lanczos Quadrature for Computational Uncertainty in Linear Algebra
[NO] 77/1997 | Probing the Electromagnetic Structure of Heavy-Light Hybrid Mesons with Vector and Axial-Vector Quantum Numbers
[NO] 78/1997 | Stability of Edelstein Hidden-Variable Fractal Interpolation Functions
[NO] 79/1997 | Execution-Time Opacity Logic: A Logic for Ensuring ET-Opacity in Timed Systems
[NO] 80/1997 | Aubin--Lions Compactness for Stieltjes--Bochner Evolution Graphs
[NO] 81/1997 | Reference-Based Bias Detection in LLMs via Relative Representations of Hidden States
[NO] 82/1997 | Accelerating A*-Based Algorithms for Decoding Quantum Low-Density Parity-Check Codes
[NO] 83/1997 | Grounding Generated Video Plans in Simulation Towards Versatile Dexterous Controllers
[NO] 84/1997 | Quantum computational resources and validation protocols for a three-mode non-Gaussian trilinear Hamiltonian
[NO] 85/1997 | Evidence of a Low-Energy Cutoff in the Injected Spectrum of a Pulsar Wind Nebula
[NO] 86/1997 | Parametric bootstrap simultaneous confidence interval based on doubly type-II censoring
[NO] 87/1997 | RoboDrop: Curating VLA Post-Training Data via Local Gradient Compatibility
[NO] 88/1997 | An Explainable Machine Learning Framework for Predicting Blood-Brain Barrier Permeability Using Molecular Descriptors
[NO] 89/1997 | What Makes Adversarial Examples Transfer Across Deepfake Detectors?
[NO] 90/1997 | Convergence of a single-ensemble multilevel scheme for McKean-Vlasov SDEs
[NO] 91/1997 | Coded Clifford Measurements for Multiqubit Magic-State Cultivation
[NO] 92/1997 | Efficient protocol for the Markovian Mpemba effect in $N$-level systems
[NO] 93/1997 | A Sharp Barrier for Consistent Submodular Maximization: Any Improvement over $2-\sqrt{2}$ Entails Exponential Queries or Linear Recourse
[NO] 94/1997 | VLX-VR: An Agentic-Aware Video Reasoning Model
[NO] 95/1997 | Optimal Value Inference for Reinforcement Learning
[NO] 96/1997 | Deep Neural Networks for Learning Intent from sEMG Signals to Support Hardware Devices for Post-Stroke Neurorehabilitation
[NO] 97/1997 | Over-Tightening-Aware Pseudo-Labeling for Tight-Boundary Speaker Diarization
[NO] 98/1997 | CrossLink: Breaking Location Privacy by Linking Device Identifiers Across Protocols
[NO] 99/1997 | Vague2Detect: Handling Ambiguous Prompts in Knowledge-Based Open-World Detection
[NO] 100/1997 | Boundary control for optimal mixing by two-dimensional second-grade fluids
[NO] 101/1997 | Quantum MDS codes from complements of unions of finite-field subsets
[NO] 102/1997 | Configurational-space separation and structure selection in three hard squares
[NO] 103/1997 | Long-slit spectroscopy of the bipolar planetary nebula ESO\,428$-$05
[NO] 104/1997 | The Global Asymptotic Stability Problem for Linear MPC Is Undecidable
[NO] 105/1997 | Prospects of electromagnetic follow-up of neutron star-black hole mergers in the LIGO-India era
[NO] 106/1997 | Dimensional Control of Excitonic Interactions in Exfoliated 2D Molecular Crystals
[NO] 107/1997 | High-charge, highly polarized positron beams generated from a laser-driven nanowire-array target
[NO] 108/1997 | Beyond Conventional Federated Learning via High-Order Regularization
[NO] 109/1997 | SphereVAE: Hyperspherical Latent Autoencoders for Robust Autoregressive Speech Representation Modeling
[NO] 110/1997 | Strangers to Themselves: What Language Models Say About Themselves Is Generic
[NO] 111/1997 | StreetDiff: Multi-view Street Scenes Generation via Cross-view Consistent Multi-view Stable Diffusion with Structure Prompts
