[2026-06-27 23:02:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[IEEE] 2026-6-26 | The Role of FinTech in Promoting Sustainable Finance Practices in Emerging Markets: Evidence from Jordan
[IEEE] 2026-6-26 | The Impact of Artificial Intelligence on Supply Chain Sustainability: The Role of Predictive Analytics as a Mediator in Enhancing Environmental Performance
[IEEE] 2026-6-26 | Digital Management’s Role in Strengthening Organisational Cybersecurity: A Conceptual Framework for an Effective Cyber Threat Management System
[IEEE] 2026-6-26 | Design and Implementation of a Modular Robotic Platform for Adaptive Learning and Research Applications
[IEEE] 2026-6-26 | A Simulation-Based AI Mentor Agent Framework for Bridging the Digital Literacy Divide
[ACM] 2026-6-27 | Using Distinct LLMs to Generate an Initial Software Functional Requirements List in Multiple Interactions
[ACM] 2026-6-27 | NoCWalk: In-Network Page Walks for Efficient Pointer-Chasing Workloads on Multicores
[ACM] 2026-6-27 | PrudentCaster: A Tunable Broadcast Gossip Framework for Mobile Edge Synchronization
共写入 845 条记录，保存到 papers/paper2026-06-26.json。
论文获取成功，文件路径: papers/paper2026-06-26.json
正在筛选、翻译并发送邮件...
[YES] 1/845 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[NO] 2/845 | Cross-platform GPU Implementation of OpenFOAM Using Only ISO C++ standard parallelism.
[NO] 3/845 | Inducing Neutral Affective States in HCI Experiment Participants
[NO] 4/845 | Real-Time Cognitive Control Architecture for Predictive Web Performance Governance in LargeScale Distributed Cloud Systems
[NO] 5/845 | Digital Twin Model of Smart Transportation and Maritime Systems for Resource Efficiency and Operational Optimization
[NO] 6/845 | Integrating AI-Powered Communication Strategies for Sustainable Leadership and Innovation Development
[NO] 7/845 | Explainable Denoising Networks: Interpretable Noise Reduction in Digital Images via Pixel-Level
[NO] 8/845 | Thermodynamic Model to Evaluate the Efficiency and Economic Benefit of a Two Spool Engine: Integration of AI and Smart Data for Sustainable Engineering Systems and Comparison to GE CF34
[NO] 9/845 | CHIEF Optimizes System Diagnosis and Predicts Network Health through AI Analytics
[NO] 10/845 | IEEE Reliability Magazine Publication Information
[NO] 11/845 | AI-Based Optimization of Energy Conversion and Resource Utilization in Smart Industrial and Maritime Systems Using Data-Driven Approaches
[NO] 12/845 | Consumer Choice of AI Assisted Traceable Sustainable Food Products in the Vietnamese Market: The Roles of Data Transparency and Information Trust
[NO] 13/845 | Phase transitions and magnetocaloric effect study on
                    <i>
                      Co
                      <sub>2</sub>
                      NiGa
                    </i>
                    glass-coated Heusler microwire
[NO] 14/845 | LHGLink: LLM—Enhanced Heterogeneous Graph Learning for Issue–Issue Link Prediction
[NO] 15/845 | Generalizable Deep Learning for Aerosol and Cloud Segmentation in Ground-Based and Spaceborne Lidar Observations
[NO] 16/845 | Hybrid Biometric System Using Eyewitness Testimonies and Face Profile Images
[NO] 17/845 | Low-Sidelobe Fixed-Frequency Leaky-Wave Antenna Using Amplitude-Phase Control and Decoupling Structure
[NO] 18/845 | EDRCT: An Enhanced Dual-Response Collision Tree Anti-collision Protocol for High-Density Mobile RFID Tags Identification_supp1-3705422.pdf
[NO] 19/845 | Mitigation of Dopant Deactivation in Heavily Phosphorus-doped Silicon via Nitrogen Co-implantation
[NO] 20/845 | Carbon Electrodes Coupled with Paper-Based Microfluidics for Simultaneous Electrochemical Detection of Cadmium and Lead
[NO] 21/845 | Multi-Tiered Microbenchmark Regression Detection in a Production Database CI Pipeline
[NO] 22/845 | The Memory Scaling of Reverse-Mode Differentiation in Particle Accelerator Simulations with Space Charge
[NO] 23/845 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp1-3704971.pdf
[NO] 24/845 | Energy Efficiency and Spectral Efficiency Tradeoff in RIS-Aided Cell-Free Massive MIMO Network
[NO] 25/845 | SoDa
                    <sup>2</sup>
                    : Single-Stage Open-Set Domain Adaptation via Decoupled Alignment for Cross-Scene Hyperspectral Image Classification
[NO] 26/845 | Extended Multi-Branch Basis Functions for the Method of Moments Analysis of Nonconformal Problems
[NO] 27/845 | Data-driven and Learning-based Control of Autonomous Systems
[NO] 28/845 | Unimodular Waveform Design for Blanket Jamming Suppression via Manifold Optimization
[NO] 29/845 | A Software Component for Real-Time Automotive Communications Over Ethernet 10BASE-T1S
[NO] 30/845 | Thermal Performance Analysis of Retrofilled Power Transformers
[NO] 31/845 | Trend-Constrained Physics-Guided Neural Network With Prior-Embedded Slow Feature Analysis for Latent-Variable-Driven Industrial Soft Sensing
[NO] 32/845 | Improved IGBT Aging Diagnosis for Three-Phase Inverters via Phase-Angle Feature Redesign and Kernel SHAP Analysis
[NO] 33/845 | Active Power Backflow Suppression Strategy for Hybrid Cascaded H-Bridge PV Grid-Connected Inverters under Inter-Phase Short-Circuit Faults
[NO] 34/845 | Resource Efficient Edge Wake-Up: A Blind Vibration Metric for Battery Powered Industrial IoT
[NO] 35/845 | Improved EAC Method for Transient Synchronization Stability Analysis of Grid-following VSC systems
[NO] 36/845 | Low-Energy Battery State Estimation for EVs Using Hybrid SNN-LSTM for Heterogeneous System-on-Chip Architectures
[NO] 37/845 | IEEE Robotics and Automation Society Publication Information
[NO] 38/845 | Crop row segmentation using deep learning for autonomous agricultural robots in precision farming
[NO] 39/845 | The Impact of AI DNA Marketing on Corporate Efficiency
[NO] 40/845 | FinTech Adoption in the Digital Age: A Holistic Framework Addressing Trust, Culture, and Technological Factors
[NO] 41/845 | EEG-Based Mental Arithmetic Classification for Cognitive Workload Estimation
[NO] 42/845 | Thermodynamical Valorisation of Palm Oil Biomass: A Review of Pyrolysis, Gasification, and Biochar Production Pathways
[NO] 43/845 | Data Protection Vulnerabilities Assessment for Cross-Organizational Consistency Checking in TEE
[NO] 44/845 | Advancing DEVS Model Definition via Conceptual Modeling
[NO] 45/845 | A Persona-Augmented Multi-Agent System for Varied Narrative Generation
[NO] 46/845 | D3OF: DRL-Driven Dual-Layer Dynamic Obfuscation Framework for FPGAs
[NO] 47/845 | How Much Energy Is Wasted in LLM operations? Evidence from Kernel-Level DVFS
[NO] 48/845 | A Portable GPU Kernel Performance Modeling Method Based on LLVM IR Dynamic Feature Prediction
[NO] 49/845 | Proceedings of the 1st International Workshop on Dark Software Engineering
[NO] 50/845 | SGAP: A Scatter-Gather Processing-in-Memory Architecture with Fixed-Point Reconfiguration for Energy-Efficient DNNs
[NO] 51/845 | Optimal Joint Energy and Flexibility Market Clearing Considering Uncertain Renewable Resources Using Information Gap Decision Theory
[NO] 52/845 | Incorporating Realistic Margin Constraints: A Data-Driven Deep Reinforcement Learning Framework for Advanced Portfolio Management
[NO] 53/845 | CENav: Complexity-Aware Adaptive Navigation for Quadrotors in Cluttered Environments_supp1-3707349.mp4
[NO] 54/845 | Design and Implementation of a Novel Olfactory-Enhanced Cardiac Sensing System for Psychological Stress Assessment
[NO] 55/845 | A High-efficiency 500-kW Active-neutral-point-clamped Three-level $LLC$ Converter Based on Loss Reconfiguration Strategy and Nonlinear Loss Effect
[NO] 56/845 | Scalable Agentic Reasoning for Designing Biologics Targeting Intrinsically Disordered Proteins
[NO] 57/845 | QG-STR: Training-Time Optimized Question-Guided Scene Text Recognition via Visual Question Answering
[NO] 58/845 | Threads or Vectors? Evaluating SPMD and Vector Accelerators for Resource Constrained RISC-V Architectures
[NO] 59/845 | The Role of Artificial Intelligence in Financial Technology
[NO] 60/845 | Convergence and Visual Interpretation Analysis of ViT and CNN on High Similarity and Imbalance Buddhist Heritage Sites Dataset
[NO] 61/845 | Student Startup Success Prediction Using Support Vector Machines and Neural Networks
[NO] 62/845 | The Role of Generative Artificial Intelligence in Increasing the Productivity of Audit Firms
[NO] 63/845 | Ethical Oversight and Governance in AI-Driven Digital Auditing: Toward Sustainable Innovation
[NO] 64/845 | Engineering Cross-Compatible Personalization for Interactive AI-Driven Services
[NO] 65/845 | A Digital Twin of the Air: Singapore’s Hybrid AI Wind Map and the Politics of Urban Space
[NO] 66/845 | A Multimodal Self-Supervised Learning Framework for Scene Understanding in Autonomous Driving Systems
[NO] 67/845 | Privacy-preserving distributed learning: Techniques, applications, and future challenges
[NO] 68/845 | TED: Towards Explainable and Holistically Aligned Empathetic Dialogue Generation_supp1-3707410.pdf
[NO] 69/845 | Fleet-Size Scaling of AUVs: Revisiting the Range Equation
[NO] 70/845 | SA-MPC: Situational Awareness-Driven Model Predictive Control via Vision-SBES Fusion for Robust Underwater Obstacle Avoidance
[NO] 71/845 | A Geometric Control Framework for Three-Phase Inverters in Grid-tied Systems
[NO] 72/845 | A Bilevel Consensus Model Based on Network Game for Maximizing Satisfaction and Minimizing Cost
[NO] 73/845 | Toward LLM Democratization: When LLM Meets P2P Network
[NO] 74/845 | ReaDy-Go: Real-to-Sim Dynamic 3D Gaussian Splatting Simulation for Environment-Specific Visual Navigation with Moving Obstacles_supp1-3707355.mp4
[NO] 75/845 | Autonomous Artificial Egg for Natural Incubation Mimicry and Monitoring in_supp3-3704053.mp4
[NO] 76/845 | Two-Scale Controllability of a Parameterised BSP Dungeon Generator for Player Flow Optimisation_supp1-3702534.pdf
[NO] 77/845 | Whispering Secrets in a Crowd: Leveraging Non-Covert Users for Covert Communications
[NO] 78/845 | Patrones Oscuros: a Browser Extension for detecting Dark Patterns in Spanish
[NO] 79/845 | The Influence of Perceived Health Benefits, Tourism Transportation, Mental Health, and Motivation on the Development of Wellness Tourism
[NO] 80/845 | The Effect of Financing on Small and Medium Enterprises Performance: A Case Study in Jordanian Banks
[NO] 81/845 | The Role of Digital Transformation in Improving Organizational Performance: The Mediating Role of Knowledge Generation
[NO] 82/845 | GIS Based Optimization of Municipal Solid Waste Collection under Capacity Constraints Using AI in Amman Jordan
[NO] 83/845 | How Artificial Intelligence Strengthens Brand Loyalty: The Mediating Role of Mental Image
[NO] 84/845 | Automated Oral Cancer Image Classification Using MobileNetV2 for Histopathological Analysis
[NO] 85/845 | Artificial Intelligence for Tire Tread Inspection in Smart Manufacturing: A Literature Review
[NO] 86/845 | Intelligent Sensor Data Processing Methods for Real-Time Control of Mechatronic Manufacturing Systems
[NO] 87/845 | Reinforcement learning-based optimization of fertigation scheduling in smart greenhouses for tomato cultivation
[NO] 88/845 | Data-Driven Fault Diagnosis Algorithms for Intelligent Monitoring of Industrial Rotating Machinery
[NO] 89/845 | Predictive Maintenance in Healthcare IoT Infrastructure a Systematic Review
[NO] 90/845 | A Gray Literature Study on Fairness Requirements in AI-enabled Software Engineering
[NO] 91/845 | A Language-driven Approach for Generating Simulation Scenarios of Self-Adaptive Systems in Minecraft
[NO] 92/845 | RaDIA: Visual Analytics for Systematic Sample Association in Nuclear Weapon Test Verification Workflows
[NO] 93/845 | Serverless Computing for Life-Critical Science: Design Patterns and Co-Design Insights from a Real-Time Earthquake Loss Alert System
[NO] 94/845 | Front Cover
[NO] 95/845 | Towards a High-Throughput Automated Materials Experimentation Platform: Hybrid-Automata-Inspired Modeling and Equipment Configuration Optimization_supp2-3702087.pdf
[NO] 96/845 | Guest Editorial: Energy Transition Analysis and Technologies with Hydrogen Solutions and Accessories
[NO] 97/845 | High Impedance Fault Mathematical Models: A Review
[NO] 98/845 | Iterative Diffusion-Refined Neural Attenuation Fields for Multi-Source Stationary CT Reconstruction: NAF Meets Diffusion Model
[NO] 99/845 | MixVIO: Selective Visual-Inertial Odometry Via Phase-Aware Attention and Hybrid Kernel Modeling_supp1-3707325.mp4
[NO] 100/845 | Quantifying the dynamics that link leg tendon vibration to induced periodic postural oscillations in young subjects Differential effects of light touch on the induced sway_supp1-3707473.pdf
[NO] 101/845 | Contrastive Learning for Φ-OTDR Vibration Signal Recognition Based on a Joint Optimization Framework
[NO] 102/845 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp3-3701298.mp4
[NO] 103/845 | SSA-CNN-LSTM Based Methods for Evaporation Duct Height Forecasting from Multi-Frequency Reception Signals
[NO] 104/845 | FlIP: Flow-Based Instruction Processing for Out-of-Order Scheduling in GPGPUs
[NO] 105/845 | A Bilingual Multimodal System for Intelligent Recipe Recommendation
[NO] 106/845 | Synthesis and Multi-Technique Characterization of an MnFe
                    <sub>2</sub>
                    O
                    <sub>4</sub>
                    -Loaded Nano-Kaolin Composite
[NO] 107/845 | Artificial Intelligence in Medical Science as a Therapeutic Factor: A Theoretical and Methodological Analysis
[NO] 108/845 | Self-Supervised Learning for Fault Detection in Industrial Sensor Networks
[NO] 109/845 | Effect of Augmented Reality Experiences on Fashion E-purchase Intention of Gen Z in Mekong Delta, Vietnam
[NO] 110/845 | A Robust and Fast InSAR Phase Denoising Algorithm Based on Coarse-to-Fine Adaptive Residual Iteration
[NO] 111/845 | Investigation of Inverter Transformer Thermal Modelling Under Supra-Harmonics and Wind Dynamics
[NO] 112/845 | A Secure DID/VC Access Control Framework for Named Data Networking
[NO] 113/845 | µPoly Tutorial: Using the First Microgesture Toolkit
[NO] 114/845 | Adaptive Constructive Fuzzy System With Spectral-Bounded Regularization and Dual Rule Selection_supp1-3707159.pdf
[NO] 115/845 | A High-Fidelity All-Atom Model for HVDC Oil-Paper Insulation Based on Material Characterization and Experimental Validation
[NO] 116/845 | 35% Specific Contact Resistivity Reduction in Titanium-Based Ohmic Contact with Ultrathin Low-Oxide-Formation-Enthalpy Yttrium Interlayer
[NO] 117/845 | Frequency Meets Intent: Enhancing Sequential Recommendation With Spectral Contrastive Learning
[NO] 118/845 | Learning Category-level Last-meter Navigation from RGB Demonstrations of a Single-instance_supp1-3707352.mp4
[NO] 119/845 | Total Alpha Jensen-Bregman Divergence-Based MIG Detectors in Nonhomogeneous Clutter
[NO] 120/845 | Generalized Non-Intrusive Multiport Impedance Measurement Method for EMI Filter Insertion Loss Evaluation
[NO] 121/845 | Model Predictive Control for Fast Frequency Control in Hybrid Renewable Plants: Increasing Robustness through Enhanced Model Observability
[NO] 122/845 | Numerically Studying the Continuous Reflections in Graded-indexed Waveguide Layer on GaN-based Fabry-Perot Laser Diodes
[NO] 123/845 | Bidirectional Thrust Fault-Tolerant Quadcopter Against Rotor Failure_supp1-3701805.mp4
[NO] 124/845 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp3-3705701.mp4
[NO] 125/845 | Porting the code_saturne CFD Solver to GPU: Methodology, Feedback, and Insights
[NO] 126/845 | Interpretable WBC Analysis through Pathologist-Aligned Reasoning
[NO] 127/845 | Artificial Intelligence and FinTech for Sustainable Financial Systems: A Systematic Review
[NO] 128/845 | EEG Emotion Detection via Dynamic Coherence Connectivity and Temporal Deep Learning
[NO] 129/845 | The impact of Artificial General Intelligence on ESG Performance: Through smart taxes and smart customs
[NO] 130/845 | SUSTAIN: A Comprehensive Methodology for Integrating Sustainability Principles in Software Architecture
[NO] 131/845 | A Survey on Machine Learning-Based IoT Classification and Fingerprinting
[NO] 132/845 | Big Data Analysis as a Mediator in The Impact of Supply Chain Agility on Sustainable Performance
[NO] 133/845 | Intelligent Vision-Based Quality Control Algorithms for Automated Mechanical Component Inspection
[NO] 134/845 | Interpretable Attention Integration in EfficientNetV2 S: A Robust 2.5D Framework for Multiclass Lung CT Nodule Classification
[NO] 135/845 | Prediction and Optimization of Mutual Coupling in Closely Spaced MIMO Arrays Using Deep Neural Networks
[NO] 136/845 | Synergizing HR Analytics and Employer Branding: A Conceptual AI Framework for Sustainable Engineering Competitiveness
[NO] 137/845 | Implications of Supporting Compressed Instructions in Area-Optimized Bit-Serial RISC-V Cores
[YES] 138/845 | Row-wise Inter-Phase Pipelining for Hardware-Efficient GCN Acceleration
[NO] 139/845 | Robust Quantum Communication for Space Systems Through an Heterogeneous RISC-V based FPGA/SoC Platform
[NO] 140/845 | A QSP Matrix Multiplication Method for Phase Factor Recovery
[NO] 141/845 | Digital Innovation and Credit Risk Evolution in Banking System: A Systematic Review and Conceptual Framing
[NO] 142/845 | Moderating Role of the Value Chain Model Between the Relationship of Digital Logistics Industry and Production Analysis
[NO] 143/845 | The Graphene Opportunity for AI Chips, GPUs, and Data Centers: Limitations and Challenges
[NO] 144/845 | Predict, Explain, and Act: An End-to-End Explainable AI System for Profit-Driven Customer Retention
[NO] 145/845 | Zero-Noise Quantum Reinforcement Learning: Error-Resilient Learning Architectures for Scalable Quantum Control Systems
[NO] 146/845 | The Impact of Smart Systems in Supply Chains on Resource Sustainability: The Role of Smart Systems in Waste Reduction as a Mediator
[NO] 147/845 | Edge AI for Real-Time Fault Detection in Industrial Electric Motors Using Vibration Sensor Data
[NO] 148/845 | The Risk and Reward of Cross-Engine Query Partitioning: A Case for Partition-Aware Benchmarking
[NO] 149/845 | Distortion Control in Self-Interference Cancellation Systems: Residual Signal Analysis and Loop Parameter Optimization
[NO] 150/845 | Spatial Dependence of Amplitude-to-Phase Modulation Conversion in Silicon p-i-n Photodiodes
[NO] 151/845 | Multi-Perception Crowd: Learning to combine entity and implicit perception for diverse crowd simulation
[NO] 152/845 | Influence of Concave Damage and Compensation Structures in Ring-Core Photonic Crystal Fiber on Orbital Angular Momentum Mode Transmission
[NO] 153/845 | Modulation Switching Strategy for Collaborative Current Measurement Errors Calibration in Distributed Quad-Motor Drives
[NO] 154/845 | The Dark Art of Dopamine Engineering
[NO] 155/845 | Information Transfer on the Wrist: Vibrotactile Signal Characteristics from Single to Multiple Tactors
[NO] 156/845 | Contiguous Storage of Grid Data for Heterogeneous Parallelism
[NO] 157/845 | The Influence of Environmental Odors on Student Programmers During Code Comprehension and Code Writing
[NO] 158/845 | GAN-Based PAN-to-RGB Image Translation for True-Color 3D Texture Generation Using GaoFen-7 Stereo Imagery
[NO] 159/845 | Distributed Acoustic Sensing for Underground Power Distribution Assets: An Evidence-Tiered Review of Deployment-Conditioned Observability and Warning Reliability
[NO] 160/845 | Lane-Changing Maneuver Prediction With Urban Arterial Traffic Data From Drones
[NO] 161/845 | IEEE Internet of Things Journal Society Information
[NO] 162/845 | A Portable Smartphone-Based Fluorescence Detection System for Rapid DNA Semi-Quantification and Water Quality Screening_supp1-3705487.docx
[NO] 163/845 | A Resilient AoI-Aware Optimization Framework for Intelligent Transportation Systems Using Deep Reinforcement Learning
[NO] 164/845 | Adaptive Affinity Memorization with Layer Mutation for Multimodal Deepfake Continual Detection
[NO] 165/845 | Assessing the Adoption of Email Security Measures After Google’s New Sender Guidelines
[NO] 166/845 | Unified Practical Finite-Time and Prescribed Performance Attitude Control for Hypersonic Flight Vehicles
[NO] 167/845 | Jamming Detection at the Application Layer Using Deep Learning: A Transfer Learning Approach
[NO] 168/845 | Resource-aware switching design with self-triggered sampling: a candidate-based switching framework
[NO] 169/845 | Towards Generating Unlearnable Examples for Open-Set Face Recognition
[NO] 170/845 | IEEE Internet of Things Journal Information for Authors
[NO] 171/845 | Blockchain-Enabled Dynamic Spectrum Trading for Next-Generation Wireless Networks
[NO] 172/845 | Neural Spatiotemporal Interpolation for Gap Filling of GNSS-R Soil Moisture Data
[NO] 173/845 | Double-Sided Funnel-Shaped Through Silicon Via Interposer by Wet-Etching Method for Superconducting Quantum Application
[NO] 174/845 | Development of Feature Tokenizer Deep Learning Model for Fault Diagnosis in Marine Propulsion System
[NO] 175/845 | A recursive deformable Mamba pyramid network with multi-objective constraints and spatial-aware attention enhancement for unimodal and multimodal brain image registration.
[NO] 176/845 | Solver-Integrated Lossy and Lossless Compression for Scalable Flow Simulations
[NO] 177/845 | AI-Based Food Waste Reduction and Smart Menu Prediction System
[NO] 178/845 | Entropic Control in Latent Spaces: Autonomous Racing in the DonkeyCar MiniMonaco Environment using Soft Actor-Critic
[NO] 179/845 | Enhancing Bone Marrow Cell Classification: A Hybrid AI Framework with Hyperparameter Optimization
[NO] 180/845 | Machine Learning-Based Detection of Students’ Mental Stress: An In-Depth Analytical Study
[NO] 181/845 | FinTech Innovations and Their Impact on Sustainable Investment Strategies in Jordan
[NO] 182/845 | Artificial Intelligence as a New Factor of Production: Interrelationships with Traditional Factors and Qualitative Differences
[NO] 183/845 | The Effect of Digital Transformation on Business Sustainability: The Moderating Role of Digital Corporate Governance
[NO] 184/845 | Edge AI Autoencoder Architecture for Real-Time Ground Fault Detection in Industrial Power Systems
[NO] 185/845 | <scp>Dyn</scp>
                    NPC: Finding More Violations Induced by ADS in Simulation Testing via Dynamic NPC Behavior Generation
[NO] 186/845 | IsabeLLM: Automated Theorem Proving Applied to Formally Verifying Consensus
[NO] 187/845 | POSTER: Measuring What Matters: Advancing Green Computing Through the Green Work Efficiency (GWE) Metric
[NO] 188/845 | Network Folding for Resource-Efficient Implementation of Stream-Dataflow Deep Neural Network Inference on FPGAs
[NO] 189/845 | Designing and Engineering Gesture User Interfaces
[NO] 190/845 | Designing beyond human perspectives: Applying BACT framework into practice
[NO] 191/845 | Non-Euclidean Portals in VR: A Demo of Seamless Room-Scale Navigation Beyond Physical Boundaries
[NO] 192/845 | Continuous Resilience Testing of a Distributed Database in Long-Running Clusters
[NO] 193/845 | Scriptless Atomic Swap with Batch Processing
[NO] 194/845 | 16-nm FinFET FIT Measurements Using a 30 MeV Quasi-Monoenergetic Neutron Source and a Spallation Neutron Source
[NO] 195/845 | Accepted Papers - ICISCT 2026
[NO] 196/845 | TACE-Net: Two-Stage Asymmetric Conditional Enhancement for Weak-Source Recovery in Co-Channel FM
[NO] 197/845 | BC-TRUST: Blockchain-Assisted Trust Assessment via Auditable End-to-End Latency Evidence in SIoT
[NO] 198/845 | Enhancing Performance Constraints of Nonlinear Networked Systems Under Intermittent Communications and DoS Attacks
[NO] 199/845 | Uncertainty Aware Semi-Supervised Learning for Robust INS/GNSS Integrated Navigation on Edge Platforms_supp1-3705670.pdf
[NO] 200/845 | Improvement of Spatial Robustness in UWB Fall Detection Via Temporal Differencing
[NO] 201/845 | EleTac: Elephant Trunk Tip-Inspired Soft Gripper with Vision-Based Tactile Sensing and Proprioception
[NO] 202/845 | Feasibility-Guided Beamforming for Cell-Free ISAC: A Graph Neural Deep-Unrolling Approach
[NO] 203/845 | IEEE Internet of Things Journal Publication Information
[NO] 204/845 | Matched Direction Detection in Unknown Gaussian Thermal Noise
[NO] 205/845 | Design-Oriented Digital Twin Framework for Optimal VSC Setpoint Synthesis in Hybrid AC/DC CIGRE Low-Voltage Networks
[NO] 206/845 | Physics-Aware Modal Intensity Modeling for Dynamically Stable Ocean Front Prediction
[NO] 207/845 | Multi-Institution Fraud Detection in Cloud Using Federated Learning and Secure Aggregation
[NO] 208/845 | Multimodal AI model for wheat yield prediction using NDVI satellite data, weather time series, and soil parameters
[NO] 209/845 | Automatic Classification of Banglish and English Text Using TF-IDF and Machine Learning Models
[NO] 210/845 | Towards Sustainable Agriculture: Machine Learning-Based Apple Leaf Disease Detection Using Image Processing Techniques
[NO] 211/845 | An Experimental Study on Machine Learning Techniques to Predict Alzheimer Disease
[NO] 212/845 | Real-World Traceability Patterns for Generative AI Systems: With Insights from the Safa Dataset
[NO] 213/845 | The Impact of Green Human Resource Management Practices on Sustainability Performance: A Conceptual Study
[NO] 214/845 | Deep Learning-Based Scene Segmentation for Autonomous Navigation in Maritime and Urban Transport Systems
[NO] 215/845 | Soil moisture prediction using LSTM for precision irrigation with IoT in semi-arid agricultural regions
[NO] 216/845 | Trust and Transparency in Artificial Intelligence Chatbots in E-Commerce
[NO] 217/845 | Digital Twin Model of a Smart Irrigation System for Water-Efficient Crop Production
[NO] 218/845 | PharmaForge: A 3D Simulation Game for Learning Drug Compounding
[NO] 219/845 | Delay Conditioned Generative Modelling of Resistive Drift in Memristors
[NO] 220/845 | HookSteg: A Truly Lossless Steganography Based on Process Hooking for Lossy Network Channels
[NO] 221/845 | An Active Cooling Method for Fast Actuation of a Millimeter-Scale Shape Memory Alloy-Based Bending Joint_supp2-3694411.pdf
[NO] 222/845 | Edge-assisted Digital Twin-integrated Architecture for Crop Recommendation in Smart Agriculture
[NO] 223/845 | 4D Reconstruction of Fetal Left Ventricle from Echocardiography via 2.5D Radial Segmentation and Graph-Fourier Reconstruction
[NO] 224/845 | Constraint Control strategy of Radial Active Magnetic Bearings for Maglev Flywheel Rotors: Modelling, Experiment and Prototype
[NO] 225/845 | A Novel Lightweight Distributional Knowledge Harmonization Framework for Acoustic Emission-Based Marine Pipeline Leak Pattern Recognition
[NO] 226/845 | Correlation study on the initiation characteristics of epoxy resin degradation under multi-harmonic composite voltages in relation to space charge distribution
[NO] 227/845 | Buck–Boost ZVqZCS Control for DAB Converters in 7.2 kw GaN-based OBC Applications
[NO] 228/845 | A Comparative Study of BIND, CoreDNS, and Technitium performance with respect to DoT and DoH Protocols
[NO] 229/845 | Cross-Slice Transformer with Adaptive Slice Fusion for Lymph Node Segmentation in CT Imaging
[NO] 230/845 | Impact of Temperature on Amplifier Circuits in 4H-SiC CMOS Technology
[NO] 231/845 | Memristive Coupled Dual Rulkov Neuron Model with Multi-type Hyperchaotic Firings and Application to Image Encryption for IoMT
[NO] 232/845 | LightMica: Towards Lightweight Mica Sheet Defect Detector via Discriminative Representation Distillation
[NO] 233/845 | Towards a Semantic and Goal-Oriented O-RAN Architecture: The 6G-GOALS Approach
[NO] 234/845 | Trajectory Planning and User Grouping for NOMA-Assisted UAV Data Collection
[NO] 235/845 | On Algebraic Approaches for DNA Code Design with Multiple Constraints
[NO] 236/845 | Improving Color Image Steganalysis with Dual Contrastive Learning_supp1-3707497.pdf
[NO] 237/845 | Evaluation of Numerical Solution Methods for Equivalent Circuit Battery Models
[NO] 238/845 | A Vision-Based Approach for Automated Cattle Tag Reading and Region Detection in Northern Thailand Using YOLO and PaddleOCR
[NO] 239/845 | Cross-Layer AI Optimization of Signaling and Media Planes in Cloud-Based Contact Center Architectures
[NO] 240/845 | Usage of QR Code Payment in Jordan
[NO] 241/845 | Explainable machine learning for identifying key environmental factors causing crop stress in precision agriculture
[NO] 242/845 | Integration of HR Analytics and Digital Marketing: Artificial Intelligence in Corporate Reputation Management
[NO] 243/845 | Machine Learning for Behavioral Segmentation in E-Commerce: An Adaptive Fuzzy Approach
[NO] 244/845 | Hybrid Vision Transformer and Convolutional Neural Network Architectures for Enhanced Multi-Class Classification in Gastrointestinal Endoscopy
[NO] 245/845 | Sociotechnical Aspects Of Artificial Intelligence Implementation In The Agro-Industrial Complex: Ethical Frameworks For Ensuring Environmental Safety And Bioeconomic Efficiency
[NO] 246/845 | Leakage-Safe Early Skill Mastery Prediction from Multi-Submission Programming Logs
[NO] 247/845 | Prediction of methane emissions in precision livestock farming using machine learning based on environmental sensor data
[NO] 248/845 | Assessing the Impact of AI-Enabled IoT Technologies on Energy Management in Smart Buildings in Jordan
[NO] 249/845 | Accuracy-Performance-Resources Trade-Offs in RISC-V Microarchitectures for Genetic Programming
[NO] 250/845 | POSTER: Toward Energy-Efficient Approximate Computing for Mixture-of-Experts Based CNN Inference
[NO] 251/845 | M3SA: Exploring Datacenter Performance and Climate-Impact with Multi- and Meta-Model Simulation and Analysis
[NO] 252/845 | Efficient and Accurate Graph Classification with Hyperdimensional Computing on FPGA
[NO] 253/845 | Simulating MPI Collectives on Tofino Smart Switches in SimGrid
[NO] 254/845 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp4-3705701.mp4
[NO] 255/845 | Capacities of quantum Markovian noise for large times
[NO] 256/845 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp4-3704971.mp4
