[2026-08-11 22:41:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-10
正在获取论文...
[arXiv] 2026-08-10 | Carnot: Interpretable, Interactive, and Optimized Execution of Deep Research Queries
[NO] 31/1968 | Universal or Language-Family-Specific Script Unification for Cross-Lingual Transfer? A Case Study on Turkic Languages
[NO] 32/1968 | The Sharp Upper Bounds for the Median Eigenvalues of Graphs
[NO] 33/1968 | Binary code rate bounds via classical--quantum channels
[NO] 34/1968 | A high-performance quantum pulse gate in thin-film lithium niobate
[NO] 35/1968 | Beyond Global Editing: Per-Instance Disentangled Subspaces for Training-Free Hallucination Mitigation in LVLMs
[NO] 36/1968 | DH-VLM: Dual-Horizon Cooperative Latent Reasoning for Autonomous Driving
[NO] 37/1968 | MaxModShift: Model Privacy via Designed Shifts
[NO] 38/1968 | CoRE: Consensus Rewards via Equilibrium for Test-Time Reinforcement Learning
[NO] 39/1968 | Degraded Infrared Small Object Detection via Degradation-Adapted Physics-Guided Restoration
[NO] 40/1968 | Correlated parity violation in gravity and electromagnetism from five-dimensional spacetime
[NO] 41/1968 | CADEngBench: It Looks Like CAD, but Does It Work? Evaluating Parametric Design, Assembly Reasoning, and Physics Simulation
[NO] 42/1968 | Detector Dependence of Inspiral Christodoulou Gravitational Wave Memory in Binary Black Hole Systems
[NO] 43/1968 | Graphing the Everyday: A Neurosymbolic Approach to Eliciting Routines for Just-In-Time Adaptive Interventions
[NO] 44/1968 | Is the ACL Responsible NLP Checklist a Box-Ticking Exercise? A Large-Scale Analysis of EMNLP 2025
[NO] 45/1968 | SoftmaxGRPO: Learning to Reason using Softmax Advantage Group Estimation
[NO] 46/1968 | Distributed Team Orchestration via Supervisor Networks: Convergence, Optimality, and Resilience
[NO] 47/1968 | Annihilator Digraphs and Extended Zero-Divisor Digraphs of Semigroups and Rings
[NO] 48/1968 | On Energy Laws and Stability of First-Subdiagonal Pade Approximants for Linear Seminegative Problems
[NO] 49/1968 | Stroboscopic Raman Spectroscopy of Atom Optics in Quasi-Bragg Regime
[NO] 50/1968 | Omni2LoRA: Coherence-Preserving Parametric Memory for Efficient Omni Language Models
[NO] 51/1968 | PatchHead: Learning Spatial Patch Evidence for Generalizable AI-Generated Image Detection
[NO] 52/1968 | Reading Cognition as Decisions Unfold in Words: A Factorized Inverse Decision Model
[NO] 53/1968 | A New Lower Bound for Online Vertex Cover under Vertex Arrivals
[NO] 54/1968 | Exchange-induced suppression of superconductivity in a nano-skyrmion lattice - superconductor hybrid
[NO] 55/1968 | Signature-Guided Capacity Occupancy for Dense Expert Merging
[YES] 56/1968 | SiriusDeliver: Automating Data Warehouse Delivery at Tencent
[YES] 57/1968 | Memoir: Learning, Verifying, and Evolving False-Positive Memories for Static Application Security Testing Tools
[NO] 58/1968 | A Comparison of some Weighted Numerical Radii of Hilbert Space Operators
[NO] 59/1968 | Not All Visual Tokens Are Equally Safe to Remove:Consequence-Sensitive Visual Token Compression
[NO] 60/1968 | GPU-Accelerated Conic Quadratic Programming with Local Linear Convergence under Strict Complementarity
[NO] 61/1968 | Theoretical analysis of the maximum range of a projectile released from a pendulum
[NO] 62/1968 | LightAIR: Lightweight Action Inversion and Riemannian Rectification for Text-based Person Anomaly Search
[NO] 63/1968 | OGG-FR: Orthogonal Gradient Gaming and Frequency Rectification for Unmanned Aerial Vehicle Infrared Image Super-Resolution
[NO] 64/1968 | SpeedTuning: Speeding Up Policy Execution with Lightweight Reinforcement Learning
[NO] 65/1968 | Bright-Channel Retinex Enhancement with a Conditional Overdispered-Noise Analysis
[NO] 66/1968 | Limiting eigen-structure of spiked sample covariance matrices under missing observations
[NO] 67/1968 | Quantum Hashing Circuit Optimization for Arbitrary Qubit Connectivity Graphs Based on 1-Covering Path
[NO] 68/1968 | When Latents Forget Pixels: Restoring Fidelity in Diffusion Transformer Super-Resolution
[NO] 69/1968 | When the Berezin transform fails to detect compactness: Toeplitz operators with $L^1$ symbols on weighted Bergman spaces
[NO] 70/1968 | MARA: Flow-Matching-Guided Multi-Agent Resource Allocation for Computational Resource Efficient Learning
[NO] 71/1968 | Critical $p$-Laplace equations with monotone coefficients: Liouville classification and a Schoen-type Harnack inequality
[NO] 72/1968 | Longest convex chains with i.i.d. points
[NO] 73/1968 | Exact Periodicity, Surjectivity, and a Haar Limit Law for a Restarting Josephus Process
[NO] 74/1968 | A Multi-Scale Temporal Framework with Dynamic Fusion for EEG-Based Emotion Recognition
[NO] 75/1968 | Joint Lyapunov Certificates for K-Agent Generative AI Governance: Stochastic Stability, Emergent Ensemble Risk, and Zero-Knowledge Governance Attestation
[NO] 76/1968 | An extension theory and semidirect sums for nearrings
[NO] 77/1968 | Knot your average qutrit: Measurement-induced entanglement splitting and the cabling dictionary for GHZ and W States
[NO] 78/1968 | Two-Step MV-DeepONet: Probabilistic Operator Learning for Uncertainty Propagation Driven by Random Input Fields
[YES] 79/1968 | Pseudo2CodeQA: A Benchmark for LLM-Based Structured Algorithmic Reasoning in Code Generation
[NO] 80/1968 | Rickard's question on standard derived equivalences
[NO] 81/1968 | Don't Scroll Back: Missing-Evidence Memory for Streaming Dialogue Summarization
[NO] 82/1968 | Anharmonic dephasing in the electron-phonon interaction
[NO] 83/1968 | Optimal Stability Bounds, Minimizers, and Critical Points for a Critical Nonlocal Sobolev Inequality on the Heisenberg Group
[NO] 84/1968 | Provable Parameter-Free Fixed-Point Algorithms with Linear Convergence Rates
[NO] 85/1968 | How People Evaluate AI-, Expert-, and Peer-Style Financial Advice
[NO] 86/1968 | Locating the missing baryons in the warm-hot intergalactic medium with fast radio bursts and the Sunyaev-Zel'dovich effect
[NO] 87/1968 | Relating the Exterior Algebra of the Conormal Module to the Tor Algebra
[NO] 88/1968 | Wafer-scale monolithic integration of Ce:YIG films and magneto-optical isolators on silicon
[NO] 89/1968 | AI-Guided Learning: Research on Knowledge and Skill Acquisition Support Methods Using Deep Learning Audio-Video Processing Techniques
[NO] 90/1968 | How Far Do Foundation Models Transfer to Infant Signals? A Cross-Dataset Transfer Audit with a Unified Need Ontology
[NO] 91/1968 | An Active Matter Pathway for Non-Equilibrium Liquid-Liquid Extractions
[NO] 92/1968 | Detecting Clear Contact Lenses for Iris Recognition: A Two-Stage Mask-Guided Attention Approach
[NO] 93/1968 | Manton's Exotic Vortex Equation
[NO] 94/1968 | Depletant-DNA Induces Chirality in the Condensed Domains of Lyotropic Liquid Crystals
[NO] 95/1968 | Automated generation of experimentally validated digital twins for desiccant-based low-dew-point air-conditioning systems from declarative topology specifications
[NO] 96/1968 | Best-of-Both-Worlds Fairness and Pareto Optimality
[NO] 97/1968 | CoRe-UIE: Rethinking Coexisting and Region-wise Degradation for Underwater Image Enhancement
[NO] 98/1968 | FlowGRN: Scalable and Dropout-Robust Gene Regulatory Network Inference via Flow Matching-Based Trajectory Reconstruction (Technical Report)
[NO] 99/1968 | Capacitary estimates for solutions to nonlocal Dirichlet problems
[NO] 100/1968 | Quantum sensing composite excitations in an anisotropic ferromagnet via a qubit
[NO] 101/1968 | One Model to Magnify Them All: Efficient Scale-Invariant Histopathology via Conditional Normalization and Continuous Magnification Training
[NO] 102/1968 | Decompositions of Griess algebras beyond the OZ-setting
[NO] 103/1968 | AGN activity in nearby disk galaxies: the roles of bar strength and spiral-arm morphology
[NO] 104/1968 | Search-Based Generation of Undetected Quantum Circuit Mutants
[NO] 105/1968 | Hadron-quark phase transitions along proto-neutron-star evolution
[NO] 106/1968 | Measuring the Tokenization Premium: A Cost Audit for Underserved Language Communities
[NO] 107/1968 | Stealing Reasoning Traces from Proprietary LLM APIs
[NO] 108/1968 | Theoretical Analysis of Thermodynamic Matrix Inversion: First-order Equivalence to Preconditioned Gradient Descent and Implications for Analog Computing
[NO] 109/1968 | The Tilting Mode: A New Degree of Freedom for Magneto-Mechanical Resonator Sensors
[NO] 110/1968 | Real-Time Nonlinear MPC via Sequential Quadratic Programming with Structure-Exploiting ADMM and Interior-Point Methods for Underactuated Double-Pendulum Swing-Up
[NO] 111/1968 | Tensor network methods for non-perturbative dynamics of open quantum systems
[NO] 112/1968 | Security of quantum key distribution with passive basis choice and detection-efficiency mismatch for a realistic satellite setup
[NO] 113/1968 | Evidence for Counterfactual Violation of Local Conservation Laws in Quantum Events
[NO] 114/1968 | Rooted Gibbs-DLR Measures in Planar Directed Polymers
[NO] 115/1968 | Classification of anomalous actions of finite groups with the Rokhlin property
[NO] 116/1968 | XFeat Revisited: Reproducibility and Evaluation of a Lightweight Image Matcher
[NO] 117/1968 | When Spectroscopies Speak the Same Language: Unifying Rheology, Electrochemical Impedance, and Dielectrics
[NO] 118/1968 | Flow-based conditional cardiac anatomy generation for virtual cohorts
[NO] 119/1968 | Openable Force-Balanced Halbach Magnets: From Fibonacci Sphere Simulations to Icosahedral Realizations
[NO] 120/1968 | Perception Before Supervision: Self-Contained Visual Distillation from Counterfactual Blind Spots
[NO] 121/1968 | Wavenumber-Domain Virtual Arrays for Holographic Near-Field Localization
[NO] 122/1968 | Substrate-dependent thermally driven morphological evolution of Pt$_{0.9}$Ni$_{0.1}$ thin films on sapphire and langasite
[NO] 123/1968 | On the $β=2$ Partition function for Dirichlet $L$-functions in the $q$-aspect
[NO] 124/1968 | Fairness in Link Prediction Beyond Demographic Parity: A Reproducibility Study
[NO] 125/1968 | The Fate of Large Scale White Noise in Second-Order Cosmological Perturbation Theory
[NO] 126/1968 | Safe Start: Configuring Optimization Algorithms for Decision-Making under Extreme Risks
[NO] 127/1968 | Vehicle Platooning
[NO] 128/1968 | Agentic Auto-Research is Fuzz Testing
[NO] 129/1968 | The Galactic Neutrino Sky: Predictions from Gamma-ray Source Populations
[NO] 130/1968 | Real-Time Climate Risk Assessment for Supply Chain Resilience: A Data-Driven Nowcasting Framework for Colombian Agriculture
[NO] 131/1968 | Inevitable shock formation for 3-D compressible Euler flows
[NO] 132/1968 | Mismatch Matters: On-Policy Distillation Beyond Token Agreement
[NO] 133/1968 | RA-FinBERT: Rule-aware LoRA adaptation for low-resource financial sentiment classification
[NO] 134/1968 | An upper bound for the purity of absolutely positive partial transpose states
[NO] 135/1968 | Blocking codimension-one simplices on the moment curve
[NO] 136/1968 | Convergence of Galerkin approximations based on asymmetrically-weighted Hermite functions for the Vlasov-Poisson system
[NO] 137/1968 | Distill Skills into Weights, Not Prompts: Abstract Skills as Privileged Signals for On-Policy Self-Distillation
[NO] 138/1968 | Longitudinal Bayesian networks for assessing team performance in the National Basketball Association
[NO] 139/1968 | Hierarchical Fast--Slow ReAct Agent for Zero-Shot Object-Goal Navigation
[NO] 140/1968 | From Barren Plateaus to SPSA Optimization in Variational Quantum Eigensolvers
[NO] 141/1968 | Autonomous Lindblad Realizability of Nonunitary Linear Dynamics with a Carleman Lattice Boltzmann Application
[YES] 142/1968 | Parameter Exploration for RLVR via Variational Learning
[NO] 143/1968 | Closed-form thermal threshold functions for the proper-time renormalisation group
[NO] 144/1968 | CARD: Controlled Agentic Reddit Discussions for Credit Card Simulation
[NO] 145/1968 | On B-Colorings in Planar Graphs
[NO] 146/1968 | Degeneracy: From Graphs to Matroids
[NO] 147/1968 | verdi: retrieval is not transfer for continual world model optimization
[NO] 148/1968 | A Highly Accurate Fast Decoding Framework for QLDPC codes Accelerated by Noise Perturbation and Ensemble Decoding
[NO] 149/1968 | TCS-BENCH: Benchmarking State-of-the-Art Generative AI Theoretical Computer Science Research Ability
[NO] 150/1968 | ITO: Real-time Browser Tab Orchestration Through Intent Detection
[NO] 151/1968 | A pre-triangulated category which is not triangulated
[NO] 152/1968 | AirFlow: Context Preserving and Multi-Rate State Modeling for Air Quality Forecasting
[NO] 153/1968 | C$^2$A: Coupling Spatial Evidence with Clinical Priors via Co-occurrence Aware Class Attention for Multi-Label Chest X-Ray Classification
[NO] 154/1968 | PragMatch: Separating Pragmatic Incongruity from Cross-Modal Mismatch in Large Vision-Language Models
[NO] 155/1968 | Cultivar: A Contrastive and Locale-Oriented Translation Benchmark for Investigating Contamination and Localisation Robustness
[NO] 156/1968 | Efficient Real-World Online Reinforcement Learning for Robot Manipulation via Centralized Training and Critic Decomposition
[NO] 157/1968 | A proof of a conjecture on permutation polynomials
[NO] 158/1968 | Decoding Transient X-ray Absorption Spectra of Acetylacetone With Multireference Algebraic Diagrammatic Construction Theory
[NO] 159/1968 | Bayesian Node Edge Modeling of Road Crashes in Central Bogotá
[NO] 160/1968 | Censored Heteroscedastic Extremes
[YES] 161/1968 | ColluSkill: Adversarial Cross-Skill Composition for Evading Agent Skill Scanners
[NO] 162/1968 | TAMS: Task-Aware Multi-View Adaptive Streaming for Wireless Telerobotic Manipulation
[NO] 163/1968 | Prescribed-order subdigraphs with large minimum out-degree
[NO] 164/1968 | Tor and Ext vanishing results for commutative Artinian rings
[NO] 165/1968 | Full-Key Recovery and Forgery from One MQOM v2.1 Signature
[NO] 166/1968 | TOI-7475 spectroscopic follow up - detection of a massive hot Jupiter on an eccentric orbit
[NO] 167/1968 | Microscopic QED origin of spin entanglement
[NO] 168/1968 | Elementary first integrals of integral differential systems
[NO] 169/1968 | Improved Acceptance Criteria for Speculative Successive Cancellation Decoding of Polar Codes
[NO] 170/1968 | Predictive safety filter enhanced curriculum learning control for efficient vehicle dynamics controller
[NO] 171/1968 | QSVM-RQNN: Low-Qubit Recurrent Quantum Similarity Learning for Condition Monitoring and Fault Classification
[NO] 172/1968 | Listwise Cross-Encoder Fine-Tuning vs. Agentic Instruction Tuning for LLM Rerankers: A Systematic Study in Medical Procedure Reranking
[NO] 173/1968 | A Preliminary Study on Simultaneous Coscheduling for Discrete GPU vs. Fused GPU
[NO] 174/1968 | Preserved metallicity and tunable magnetism in Zr-based Janus MXenes
[NO] 175/1968 | A spin-bond theory unifying non-relativistic spin splitting and emergent spin-orbit textures
[YES] 176/1968 | Activation Probes Surface Code-Security Signals that the Model's Output Misses
[NO] 177/1968 | A fully integrated dispersion-managed femtosecond mode-locked laser
[NO] 178/1968 | Satellite Trajectory Optimization via Proximal Policy Optimization for Space Debris Avoidance
[NO] 179/1968 | A Design Space Study of Density Matrix Parameterizations for Diffusion-Based Quantum State Tomography
[NO] 180/1968 | Measuring the Wrong Thing: Internal Harmfulness Scores Anti-Rank Successful Jailbreaks
[NO] 181/1968 | A Semantic Communication Approach to Fiducial Marker Processing in 5G-Enabled Edge SLAM
[NO] 182/1968 | Structure-Enhanced Features and Quality-Aware Dynamic Anchor Scoring for Robust Lane Detection
[NO] 183/1968 | Nonperturbative Stabilization of D-Instantons in the Bosonic IIB Matrix Model
[NO] 184/1968 | Illusion or Integrity? Geometrical Consistency Metric for AIGC Video Quality Evaluation
[NO] 185/1968 | MADBench: A Benchmark for Modality-Aware Audio Deepfake Detection
[NO] 186/1968 | MDB-Link: Hierarchical Schema Linking for Multi-Database Text-to-SQL
[NO] 187/1968 | Anomaly detection in European cryptocurrency exchange-traded products
[NO] 188/1968 | MSP-Net: Manifold-Guided Spectral Prompt Network for Hyperspectral Object Tracking
[YES] 189/1968 | VideoVIBE: A Video-Grounded Diagnostic Benchmark for One-Shot Interactive Website Generation
[NO] 190/1968 | SonicWeave: Chunk-Routed Mixture-of-Experts for Unified Audio Scene Generation
[NO] 191/1968 | Eigenvalue asymptotics for the one-particle density matrix and one-particle kinetic energy density operator
[NO] 192/1968 | From Semantic Grounding to Decision Optimization: A Unified Framework for Long-Horizon UAV Vision-Language Navigation
[NO] 193/1968 | Row-Boosted Ensemble Belief Propagation for Short LDPC Codes
[NO] 194/1968 | AudioMap: Cloze-and-Choice Reinforcement Learning for Time-Aware Dense Audio Captioning
[NO] 195/1968 | Training-Free Universal Approximation by Prompting Random Transformers
[NO] 196/1968 | Spherical n-lunes: billiards and eigenvalues
[NO] 197/1968 | Transverse Instability and Bifurcation Analysis of the line soliton for the NLS equation on a Fractured Strip
[NO] 198/1968 | ELBench: A Multi-Dimensional Benchmark for Education-Facing Large Language Models
[NO] 199/1968 | Optimization studies of silicon remoTES cryogenic calorimeters
[NO] 200/1968 | Dual-Adversarial Safety Alignment: Cultivating Intrinsic Threat Comprehension in LRMs
[NO] 201/1968 | Pinching and Tensorial Rigidity for Ergodicity of Frame Flows
[NO] 202/1968 | An open-source, scalable workflow for organizing echosounder data for machine learning applications
[NO] 203/1968 | Eigenforms and special holonomy
[NO] 204/1968 | Magic State Distillation via Codes over Binary Extension Fields
[NO] 205/1968 | Realization Variance of Gravitational Wave Background Anisotropies from Shot Noise for Pulsar Timing Arrays
[NO] 206/1968 | Full-Wave Harmonic Balance Framework for Dispersive Time-Varying Photonic Structures
[NO] 207/1968 | Superlinear Lower Bounds for Monochromatic Path Partitions
[NO] 208/1968 | Competitive mediator games and urban CAV routing markets
[NO] 209/1968 | Anomalous temperature dependence of polaron mobility in a nonlinear double-well potential: unbiased X-propagator approach
[NO] 210/1968 | Financial Numerical Prediction and Allocation as Token Generation
[NO] 211/1968 | Maximizing the algebraic connectivity of graphs of given order and size: a proof of a conjecture of Kolokolnikov
[NO] 212/1968 | Comprehending Python Repetition Structures: An Eye-Tracking Study with Novice Developers
[NO] 213/1968 | Sharp spectral constants for scaled $q$-numerical ranges
[NO] 214/1968 | The Earth Moves, But So Does the Bias: Systematic Upward Bias of the Wasserstein (Earth Mover's) Distance and Permutation-Based Null Calibration
[NO] 215/1968 | Entanglement-Free Trajectory Planning for Tethered Mobile Robots with a Slack Tether
[NO] 216/1968 | On the Renormalization in Conformal Quantum Gravity
[NO] 217/1968 | Grothendieck weights and K-theoretic positivity for matroids
[NO] 218/1968 | From Diagnosis to Correction: Benchmarking and Improving Real-World Table Parsing
[NO] 219/1968 | Bijectivity analysis of rational T-spline surfaces via Bernstein representations
[NO] 220/1968 | Alpha Particle Induced Collision Cascade Fusion
[NO] 221/1968 | Macaron-V1: Towards Open Continual Learning with Self-Improvement and Mixture-of-LoRA
[NO] 222/1968 | WRAP: Wasserstein-Robust Adaptive Plug-in for Robot Localization
[YES] 223/1968 | SpecPath: Testing Coding Agents Across Contract-Equivalent Specification Histories
[NO] 224/1968 | Predictive Simulation of Interphases on Li Metal Surface
[NO] 225/1968 | Balancing fractional Brownian motion
[NO] 226/1968 | Superconductivity, pseudogap and marginal Fermi liquid in a relative-momentum-local theory
[YES] 227/1968 | Abstract Compilation as Abstraction of Operator Semantics, applied to Cost Analysis
[NO] 228/1968 | Two-sided estimates of Lyapunov exponents for Milstein schemes of non-autonomous stochastic differential equations
[NO] 229/1968 | Formation of trapped surfaces for the spherically symmetric Einstein-Yang-Mills system with non-trivial incoming data
[NO] 230/1968 | Rethinking Factor Sharing in Federated LoRA: A Rank-Aware Adaptive Approach
[YES] 231/1968 | Security Tests as Executable Specifications for LLM Code Generation: Benefits, Trade-offs, and Coverage Limits
[NO] 232/1968 | Heegaard Floer knot trace invariants, exotic 4-manifolds, and symplectic obstructions
[NO] 233/1968 | Aicir: A Full-Stack Quantum Circuit Simulator with AscendNPU Support
[NO] 234/1968 | Comparing Tobit and Two-Part Hurdle Models for Semi-Continuous Longitudinal Data with an Application to Clonal Hematopoiesis
[NO] 235/1968 | Exact Exponential-Moment Thresholds for Nonlinear Mean-Reverting Diffusions
[NO] 236/1968 | Not R Kurvature: Beating Large-Scale White Noise
[NO] 237/1968 | The rank of the $5\times 5$ permanent tensor is sixteen
[NO] 238/1968 | Matryoshka Language Model Suites
[NO] 239/1968 | Cross-frequency SGWB anisotropy from compact topology: CMB B-mode covariance as a transfer probe
[NO] 240/1968 | Spread of Entanglement in Generalized Kicked Ising Chain
[NO] 241/1968 | Collective-dissipation-induced dark and metastable-like states for enhanced quantum battery performance
[NO] 242/1968 | Evaluating Generative Time-Series Models on Data with Point Masses
[NO] 243/1968 | Recurrent Neural Networks Beyond Time: Learning from Multiple Ordered Projections
[NO] 244/1968 | FedOrbit: Adaptive Personalized Federated Learning for Non-IID LEO Satellite Constellations
[NO] 245/1968 | Klingenberg's theorem on Anosov geodesic flows
[NO] 246/1968 | Open Evaluation Agent: Efficient and Promptable Evaluation of Visual Generative Models
[NO] 247/1968 | Recoiling Black Holes I. Burst of Observables
[NO] 248/1968 | Hallucination-Free GUI Grounding via Regression-Free Layout-Aware Matching
[NO] 249/1968 | Exact boundary controllability of a singular/degenerate wave equation via singular Sturm-Liouville theory
[NO] 250/1968 | Reconstruction of ASO-S/HXI Solar Flare Hard X-ray Source Images with Physics-Constrained Deep Networks
[NO] 251/1968 | A remark on Weyl-type bounds for Steklov eigenvalues
[NO] 252/1968 | A Spatial Fay-Herriot Model when the Auxiliary Variables are based on Non-traditional Data
[NO] 253/1968 | Diffusion Maps Kernel Ridge Regression
[NO] 254/1968 | Symmetry Breaking by Interfacial Dead Layers: Observation of Forbidden Self-Induced Spin-Orbit Torque in Symmetric Ferromagnets
[NO] 255/1968 | Memory-Generated Transport Geometry: Curvature, Holonomy, and Irreversibility
[NO] 256/1968 | Choquet-type extension theory of set-pair functions, and applications to graph limits, hypergraphs, Riemannian manifolds and metric measure spaces
[NO] 257/1968 | TSPORec: Token Selection via Preference Optimization for LLM-Based Sequential Recommendation
[NO] 258/1968 | A block preconditioner with two parameters for double saddle point systems in liquid crystal director modeling
[NO] 259/1968 | From Sweep to Seam: Interleaved Cross-Block Post-Training Quantization
[NO] 260/1968 | FactorDrive: Adaptive Multi-Step Reasoning Driven by Planning-Critical Factors for End-to-End Autonomous Driving
[NO] 261/1968 | Ubiquitous Interstellar Neutral Helium Detected with JWST
[NO] 262/1968 | Exact solution for the motion of a rigid particle with $\boldsymbol{S_4}$ and $\boldsymbol{C_{2v}}$ symmetry settling under gravity in a viscous fluid
[NO] 263/1968 | CoRCi: Cross-Reconstruction of Coherent Interests Modeling in Cross-Domain Sequential Recommendation
[NO] 264/1968 | You Only Flow Once: Calibrated and Real-Time Radar Pose Estimation with Multi-Hypothesis Normalizing Flows
[YES] 265/1968 | Quantum Uncomputation of Clean and Dirty Ancilla Qubits
[NO] 266/1968 | Linear Convergence of a Frank-Wolfe-type Method over the Spectrahedron without Strict Complementarity
[YES] 267/1968 | From Runnable to Verifiable: An Independent Reproducibility Study of LLM/Agent-Driven Vulnerability Validation Artifacts
[NO] 268/1968 | SECS: A Soft Ensemble-Combining Stage for Low-Latency Decoding
[NO] 269/1968 | Pragmatic Attack Surface: Vulnerabilities of Implicit Context in Large Language Models
[NO] 270/1968 | PressureMesh: 3D Human Mesh Estimation from Multi-Device Pressure Images
[NO] 271/1968 | Resonant photoionization dynamics during optical trapping of lithium atoms
[NO] 272/1968 | Ultrametric Violation Distance: Polynomial Kernel and FPT Algorithm
[NO] 273/1968 | Separating Abelian and Homomorphic Entropy Cones
[NO] 274/1968 | From algebraic orthogonality to RAAG embedding obstructions in hierarchically hyperbolic groups
[NO] 275/1968 | Conditional Regime Analog Forecasting with Trajectories: A Nonparametric Framework for Multivariate Probabilistic
[YES] 276/1968 | The Unseen Delta: Characterizing the Compiler Optimization Landscape via Top-Down Differential Analysis
[NO] 277/1968 | Robotic Fabric Alignment System for Sewing Using Global Local Weighted ICP
[NO] 278/1968 | A refinement of the Q-Polynomial for twisted knots
[NO] 279/1968 | Renormalising Generative Models for Active Inference: Foundations, Derivations, and Verification
[NO] 280/1968 | 200 mm Wafer-Scale Monolithic 3D Integration of Atomic Layer-Deposited Oxide Semiconductors
[NO] 281/1968 | A Superposition-Based Framework for Rapid Estimation of Arbitrary Antenna-Array Patterns
[NO] 282/1968 | CSI Reconstruction in Fluid Antenna Systems Without Spatial Covariance Priors
[NO] 283/1968 | ANTMAN: An Efficient and Interpretable RTL-Level Run-Time Detection Framework for Stealthy Branch Predictor Attacks on BOOM
[NO] 284/1968 | Global boundedness and stabilization for a three-component reaction-diffusion model with dual-dependent motility
[NO] 285/1968 | A Sharper Explicit Result for the Sum of Two Almost Primes
[NO] 286/1968 | Beyond Uniform Restoration: Empowering All-in-One Restoration with Pixel-Level Multimodal Guidance
[NO] 287/1968 | Femtosecond Engineering of PolyMethylPentene(PMP) Nonlinearity via NA, Spin/orbital angular momentum (OAM), and In-Situ SC Diagnostics
[NO] 288/1968 | A non-Markovian approach to spin-phonon coherence and the breakdown of the Markovian approximation
[NO] 289/1968 | Learning to Modulate, Not to Cycle: Soft Actor---Critic Recovers Inverter-Style Heat-Pump Control
[NO] 290/1968 | A Content-Aware Pure Permutation with Intrinsic Avalanche Effect: Breaking the Diffusion-Permutation Dichotomy
[NO] 291/1968 | Dynamic Clustering for Cross-Segment Permutation Alignment in Long Speech Separation
[NO] 292/1968 | DiffSafeMerge: Mitigating Backdoor Inheritance in Diffusion Model Merging
[NO] 293/1968 | Listen, See and Track: Spatio-Temporal Audio-Visual Sound Event Reasoning for Omni-Modal Language Models
[NO] 294/1968 | Nonadiabatic Forward-Flux Sampling of Rare Molecular Gas-Phase Ammonia Photodissociation
[NO] 295/1968 | Intent Speaks Louder: Controllable User Simulation Beyond Response Imitation
[NO] 296/1968 | A Partial Lyman Limit Absorber in the Halo of a Galaxy Pair: A Possible Signature of Gas Inflow
[NO] 297/1968 | A Mechanistic Diagnostic of Rank Collapse in Post-Norm Decoder Transformers
[NO] 298/1968 | Noisy Braiding of Majorana Modes: A Comparison of Nanowire Trijunction and Quantum-Dot-Assisted Architectures
[NO] 299/1968 | Information for nothing and authority for free
[NO] 300/1968 | Movable Antenna Enhanced Wireless Sensing via Steering Vector Correlation and CRB Optimization
[NO] 301/1968 | CircuitReason-1k: Benchmarking Long-Horizon Visual-to-Symbolic Reasoning inElectrical Circuits
[NO] 302/1968 | A proof of Ross's conjecture for two-site moving-target search
[NO] 303/1968 | Identifying the large-scale synoptic drivers contributing to the Kerala floods using multivariate feature-based analysis
[NO] 304/1968 | A new example of crystalline-type measure with unit masses and an application to tiling of the real line by translates of a function
[NO] 305/1968 | A Machine Learning Based Search for Lunar Anomalies
[NO] 306/1968 | In-Context Density Estimation for Tabular Data
[NO] 307/1968 | One-Time Training for All Grains: Open-Set Grain Recognition and Quantitative Analysis
[YES] 308/1968 | LLM-Guided Heuristic Design from Simulation Traces: A Case Study in Dynamic Production and AGV Scheduling
[NO] 309/1968 | Control-Oriented Scenario Tree Construction through Reinforcement Learning
[NO] 310/1968 | Estimating the Average Treatment Effect under Limited Overlap via Polynomial Approximation and Extrapolation
[NO] 311/1968 | Geodesic structure, eikonal quasinormal modes and thermodynamic properties of a Schwarzschild-de Sitter-like black hole with global monopole in Bumblebee gravity
[NO] 312/1968 | GeoPhysAdapter: Scale-Matched Geophysical Adaptation for Cross-Domain Landslide Mapping with Vision Foundation Models
[NO] 313/1968 | Diffusion Image Editing via Asynchronous Token Decoding
[NO] 314/1968 | MemeMind: Reference-Guided Trace Construction for Offline Context Optimization
[NO] 315/1968 | Targeted Label-Flipping and Oversampling Attacks on Federated Conditional GANs
[NO] 316/1968 | Automated Synthesis of Deterministic Cross-Domain Interfaces
[NO] 317/1968 | Holographic multipartite entanglement dynamics in AdS$_3$-Vaidya
[NO] 318/1968 | Polarization engineered all 2D Graphene/Ferroelectric hybrid for persistence-free photoresponse
[YES] 319/1968 | OpenCodeReview: Determinism over Non-Determinism for Cost-Effective Agent-Based Code Review
[NO] 320/1968 | DAVE: A Decoupled Audio-Visual Enhancement Framework for Real-World Speech Separation
[NO] 321/1968 | UniDFKD: A Unified Semantic Prior Framework for Architecture-Agnostic Data-Free Knowledge Distillation
[NO] 322/1968 | Speaker Role and Language Diarization for Analyzing Multilingual Interviews for Language Proficiency of Older Adults
[NO] 323/1968 | Closing the loop in learning with missing data
[NO] 324/1968 | AI-AI co-creation outperforms human pairs in creative tasks
[NO] 325/1968 | Radial-type error bounds for semidefinite feasibility problems without strict feasibility: qualitative estimates and asymptotic tightness
[NO] 326/1968 | Quark spin-orbit correlations in spin-1 targets
