[2026-04-06 22:37:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-05
正在获取论文...
[ACM] 2026-4-6 | Learner-Customized Algorithm Visualization Using Generative AI
[NO] 47/1000 | Wireless Sensing with Movable Intelligent Surface
[NO] 48/1000 | Cross-Corpus Speech Emotion Recognition Based on Dynamically Filtering Multi-Stage Diffusion Model
[NO] 49/1000 | GNSS Multi-Frequency Joint Code Tracking Loop With Dynamic Inter-Frequency Bias Estimation and Compensation
[NO] 50/1000 | In-situ temperature-compensated puncture force sensing for brain stereotactic puncture needle using fiber Bragg grating
[NO] 51/1000 | Ultra-Wideband Angularly Stable Reflective Frequency Selective Surface for Millimeter-Wave Applications
[NO] 52/1000 | Offloading Post-Quantum Cryptography to Data Processing Units: A Performance Analysis of HQC Key Encapsulation
[NO] 53/1000 | Compound Neural Network based Nonsingular Fixed-Time SMC for Multi-Unit Distributed Permanent Magnet Arc Motor Servo Systems
[NO] 54/1000 | Stator Current Control Strategy of High-Speed Maglev Train to Simultaneously Suppress Aperiodic and Periodic Disturbances
[NO] 55/1000 | A Coordinated Control Strategy with a Variable Intermediate Bus Voltage for Efficiency Optimization in Two-Stage Buck-DAB Converters
[NO] 56/1000 | Joint Optimization of Gateway Placement, Resource Configuration, and Uplink Scheduling for LoRaWAN Bridge Health Monitoring
[NO] 57/1000 | The Shape of Emotion in Speech: A Topological Data Analysis of Speech Emotion Recognition
[NO] 58/1000 | Privacy Preserved and Explainable Deep Medical Image Analysis: A Survey
[NO] 59/1000 | LifelongPR: Lifelong Point Cloud Place Recognition Based on Sample Replay and Prompt Learning
[NO] 60/1000 | PDP-PINN: A Fourier-Augmented Physics-Informed Neural Network for Pressure Drop Prediction in CO
                    <sub>2</sub>
                    -Injected Porous Media
[NO] 61/1000 | Proceedings of the 2026 10th International Conference on Artificial Intelligence, Automation and Control Technologies
[NO] 62/1000 | MultiSenseVR: An open multimodal dataset for human pose estimation and perception in interactive VR
[NO] 63/1000 | MARs: Multi-Scale Convolution-Attention residual Fusion for Video Summarization
[NO] 64/1000 | More Pixels, Less Bandwidth: A Live Demo of VSR-Bench over WebRTC
[NO] 65/1000 | Clinician Data Needs for Uncontrolled Comorbidities of Metabolic Syndrome: Insights on Assumption Testing
[NO] 66/1000 | Remote Particle Trajectory Tracking using Event-Based Vision Streams
[NO] 67/1000 | Camera-Ready? Exploring Transport-Layer Performance Limits with GigE Vision
[NO] 68/1000 | CADENCE: A Multi-Agent CDN Steering and Experimentation Platform for Dash.js
[NO] 69/1000 | Retraction Notice: News Recommendation Systems
[NO] 70/1000 | Retraction Notice: Hash Tag-Based Sentiment Analysis Using A Deep Learning Approach
[NO] 71/1000 | A Logistic Regression Pipeline for Chiang Mai Air Quality Risk using Scaling, SMOTE, and Splines
[NO] 72/1000 | Effective English Communication for Food and Beverage Staff to Achieve Guest Satisfaction
[NO] 73/1000 | Enhancing Research Administration Services in Universities: Research Grant Disbursement Online Tracking System
[NO] 74/1000 | Ethical AIGC Pipelines for Film and Animation Production
[NO] 75/1000 | Evolutionary Algorithm for Determining the Data Transmission Route Between Sensor Nodes
[NO] 76/1000 | The Improved Models for Calculation of Human Body SAR in the Case of Sitting Position
[NO] 77/1000 | Retraction Notice: A collaborative filtering proposal in view of client conduct and client profile on online interpersonal organization
[NO] 78/1000 | Cebuano Speech Tutor Using Hybrid TDNN-HMM Phoneme and Prosodic Feature Recognition
[NO] 79/1000 | Blind Radio Map Construction via Topology Guided Manifold Learning_supp1-3680610.pdf
[NO] 80/1000 | Photonic Structuration of the Airy-Bessel Beam for High-Performance Fiber-Optic Refractive Index Sensing
[YES] 81/1000 | Lightweight Edge Intelligence: Adapting 1.5B LLM via LoRA for Log Analysis in Campus Networks
[NO] 82/1000 | Compact Silicon-Photonics Waveguide- Confined Receiving and Transmitting Antenna with Signal Remodulation for Indoor Optical Wireless Communication
[NO] 83/1000 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective_supp1-3677806.pdf
[NO] 84/1000 | Joint Optimization in Pinching-Antenna-Assisted NOMA-MEC Systems via DRL
[NO] 85/1000 | Design of a Low-Profile Wideband Horizontally Polarized Omnidirectional-like Loop Antenna with Characteristic Mode Analysis
[NO] 86/1000 | A DQN-Guided Genetic Algorithm With Local Intensification for Agile Earth Observation Satellite Scheduling
[NO] 87/1000 | Front Cover
[NO] 88/1000 | CVLS-ST: A Cross-View Long-Short Framework for Traffic Risk Prediction in Intelligent Urban Transportation Systems
[NO] 89/1000 | iSeg: An Iterative Refinement-based Framework for Training-free Segmentation
[YES] 90/1000 | MaliVD: Source Code Vulnerability Localization
                    <i>via</i>
                    Attention-Based Multi-Modal Learning
[NO] 91/1000 | Retraction Notice: IoT System Accomplishment using BlockChain in Validating and Data Security with Cloud
[NO] 92/1000 | Retraction Notice: An IoT-Cloud Based Health Monitoring Wearable Device For Covid Patients
[NO] 93/1000 | NILO: Nested Iterative Optimization for Video Bitrate Ladder Construction
[NO] 94/1000 | A
                    <scp>tom</scp>
                    : Efficient On-Device Video-Language Pipelines Through Modular Reuse
[NO] 95/1000 | Retraction Notice: Spatio Temporal Feature-based Weapon and Violence Detection from Video Surveillance using Deep Learning
[NO] 96/1000 | Retraction Notice: An IoT Based Electromyography Signal Transmission from sEMG Electrodes to Client's Server with ICT Infrastructure
[NO] 97/1000 | Hybrid Anomaly-Based Intrusion Detection System for SDN-Enabled IoT Networks
[NO] 98/1000 | Enhancement of User Query Processing in Distributed Databases
[NO] 99/1000 | A Canvas Framework for Participatory Design of Cultural Products Using Generative AI
[NO] 100/1000 | Method of Preventing Human Operator Errors Using Technology for Identifying Possible Problem Situations during Operation of ERP Systems
[NO] 101/1000 | Retraction Notice: Nature Inspired Meta-heuristic Optimization Algorithms Capitalized
[NO] 102/1000 | Retraction Notice: To Discovery The Cloud Services Authentication An Expert Based System Using Multi-Factor Authentication
[NO] 103/1000 | Retraction Notice: An Efficient Approach for Secured Data Aggregation Against Security Attacks in WSN
[NO] 104/1000 | Retraction Notice: MAGRISYS: A SMART AND UBIQUITOUS CONTROLLED – ENVIRONMENT AGRICULTURE SYSTEM
[NO] 105/1000 | Retraction Notice: Monitoring System In Industry Using IoT
[NO] 106/1000 | Reviewer List
[NO] 107/1000 | Wearable Antenna Design for Medical WBAN Applications Supporting Next-Generation Wireless Systems (5G/6G)
[NO] 108/1000 | Retraction Notice: Smart Access Control System For Covid Safety Smart Access Control System during Covid
[NO] 109/1000 | Joint Degradation-Aware Arbitrary-Scale Super-Resolution for Variable-Rate Extreme Image Compression
[NO] 110/1000 | IPM-Net: An Interpretable Partial-level Matching Network for Few-shot Fine-grained Classification in Optical Remote Sensing Images
[NO] 111/1000 | Embedded Vibration Monitoring and Robust Closed-Loop Current Demodulation Using an Eight-State Square-Wave Scheme in Spun QWP-Based Reflective FOCS
[NO] 112/1000 | DPMVectorNet: End-to-End Ship Detection, Heading, and Velocity Estimation via Dual-Point Motion Vectors in Satellite Imagery
[NO] 113/1000 | FedSecureFormer: A Fast, Federated and Secure Transformer Framework for Lightweight Intrusion Detection in Connected and Autonomous Vehicles
[NO] 114/1000 | High Input Impedance Chopper-stabilized Analog Front-end Based on Variable-capacitor Calibration for Bio-consumer Electronics
[NO] 115/1000 | Zero-Shot Low-Light Enhancement via Coupled Retinex-Scattering Frequency Flows
[NO] 116/1000 | GOF-Based DMI Integrated Solution to Seamless Navigation for Autonomous Vehicles During GNSS Outages
[NO] 117/1000 | AdaSch: Load-Adaptive Scheduling for Accelerating Real-Time Edge Video Analysis With Diverse Inference Modes
[NO] 118/1000 | Validation of a High-Sensitivity Identification Algorithm for Cerebral Hemorrhage Cases Using Machine Learning Models in MID-NET
                    <sup>®</sup>
[NO] 119/1000 | Design of a Physics-Informed Neural Network for PCF-Based Multi-Analyte Biosensors
[NO] 120/1000 | Reduced On-Resistance and Jitter of GaAs PCSS with Low Optical Energy in Quasi-Linear Mode
[YES] 121/1000 | CarbonWise CX: An Agentic AI Framework for Carbon-Aware Customer Support Analytics Using RAG and LLM-Based Code Generation
[NO] 122/1000 | Recent Advancements in Course Recommendation Systems in the Era of Large Language Models (2022–2025)
[NO] 123/1000 | <i>FlockCounter:</i>
                    Automated Counting for Large-Scale Bird Flocks
[NO] 124/1000 | Dual-Attention Weighting for Multi-Agent Collaborative Perception
[NO] 125/1000 | Evolutionary Stackelberg Routing for Social Cost Reduction in Traffic Networks
[NO] 126/1000 | EAP-LSTM: A Bi-LSTM-based Deep Learning Framework for Quantitatively Predicting Enhancer Activity in Drosophila and Human Cell Lines_supp1-3620986.pdf
[NO] 127/1000 | IEEE Computational Intelligence Society
[NO] 128/1000 | AquaFed: Ascending Quantized Federated Learning on Heterogeneous Devices
[NO] 129/1000 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[NO] 130/1000 | Cross-Locomotion Task Generalization in sEMG-Based Gait Phase Prediction Using Artificial Neural Networks
[NO] 131/1000 | Reconstruct Then Match: An End-to-End Generative Match Framework for Efficient Semantic Relation Understanding
[NO] 132/1000 | Study on MPC Control Strategy of Autonomous Driving Semi-trailer Truck Fleet
[NO] 133/1000 | Unified Compression of Point Cloud Geometry and Attributes through Variable-Rate Conditioning
[NO] 134/1000 | Passing on Passwords
[NO] 135/1000 | Development of a Smart Warehouse Logistics Virtual Reality (VR) Simulator for Experiential Learning in Logistics Education
[NO] 136/1000 | SqueezeNet-Based Extraction of Compact Feature Vectors from Inspection Video Streams
[NO] 137/1000 | RectLU: A Novel Activation Function Based on a Rectangle
[NO] 138/1000 | Unraveling the Degradation Mechanisms of AlGaN-Based UVC-LEDs: A Comprehensive Analysis
[NO] 139/1000 | 2026 IEEE 18th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)
[NO] 140/1000 | Phased UAV Swarm Mission Reliability Assessment Considering Cascading Failures
[NO] 141/1000 | Retraction Notice: An Effective and Efficient Heart Disease Prediction Model Using Distributed High Performance Light GBM
[NO] 142/1000 | Retraction Notice: Enhanced DDOS Attack Detection Algorithm to Increase Network Lifetime in Cloud Environment
[NO] 143/1000 | Recall-First Temporal Routing for Low-Base-Rate IDS: Debuggable Unified Preprocessing and Low-Base FPR Evaluation Protocol
[NO] 144/1000 | Port-Hamiltonian Modeling and Control Design for Single-Phase Pwm Rectifiers
[NO] 145/1000 | Assessing Image Similarity with Color Histograms to Reveal Security-Related Distortions
[NO] 146/1000 | Mapping Digital Public Opinion on Prabowo Subianto's Un Speech: a Computational Analysis of Sentiment and Political Discourse
[NO] 147/1000 | Enhancing Security of QUIC Protocol and IoT
[NO] 148/1000 | The Ga-Scso Algorithm Approach for Breast Cancer Classification
[NO] 149/1000 | Retraction Notice: Artifact Removal using Elliptic Filter and Classification using 1D-CNN for EEG signals
[NO] 150/1000 | Adaptable Variational Information Bottleneck for Task-Oriented Edge Inference
[NO] 151/1000 | A Survey on Interaction-Aware Decision-Making for Autonomous Driving: Challenges, Solutions, and Perspectives
[NO] 152/1000 | Deploying Large AI Models on Resource-Limited Devices With Split Federated Learning
[NO] 153/1000 | High-Sensitivity Dual-CSRR-Loaded SIW Sensor for Solid and Liquid Material Characterization at X-Band
[NO] 154/1000 | Modeling of Coupled Input-Force-Displacement Hysteresis in Pneumatic Artificial Muscles
[NO] 155/1000 | Design and Experiments of Magnetic-Driven Drug Delivery Capsule Robot based on Magnetic Spring Mechanism
[NO] 156/1000 | A Lightweight RAW Video Denoiser with Coarse Alignment and Imbalanced Noise Pre-training
[NO] 157/1000 | Endogenous Interface Pricing for Consistent Transmission–Distribution Co-Optimization with Discrete Distribution Controls
[NO] 158/1000 | GHz Rate, Watt-Level Femtosecond All-Fiber MOPA System based on Optoacoustically Mode-locked Soliton Fiber Laser with Apodization Filtering
[NO] 159/1000 | High-temperature performance of all-diamond solar-blind UV photodetector with BDD electrodes
[NO] 160/1000 | Fine Imaging Method of THz-ViSAR on Sub-aperture Range Migration Algorithm and Distinctive-point Map Drift Algorithm
[NO] 161/1000 | Retraction Notice: Enhancing Deaf Driver Safety: An IOT-Based Vehicle Sensing System
[NO] 162/1000 | Explainable Multi-Stage Self-Supervised Learning Framework for Intelligent Fault Diagnosis
[NO] 163/1000 | VSR-Bench: An Open-Source Platform for Browser-Native Real-Time VSR Evaluation in WebRTC
[NO] 164/1000 | Doppler-Domain Warping and Resampling for Semi-Static Human Occupancy Detection Using Low-Resolution SIMO FMCW Radar
[NO] 165/1000 | Surveillance Data Processing in a Multi-Radar Localization System
[NO] 166/1000 | Exploring Tourist Behavior and Usability Improvement for Smart Tourism in Secondary Cities: A Case Study of Lamphun Province
[NO] 167/1000 | Enhancing Recruitment Efficiency through a Performance-Driven AI Agent Workflow for Automated Resume Screening
[NO] 168/1000 | Retraction Notice: Sensors Systems for Traffic Congestion Reduction Methodologies
[NO] 169/1000 | Retraction Notice: Solar Powered Automatic Irrigation Monitoring System
[NO] 170/1000 | Retraction Notice: An Effecient Model for Plant Disease Identification
[NO] 171/1000 | Towards Robot Skill Learning and Adaptation with Gaussian Processes
[NO] 172/1000 | Collaborative SOH Estimation for Lithium-ion Batteries by Integrating both Charging and Discharging Profiles
[NO] 173/1000 | Slice-and-Align for Clothes-Irrelevant Features: A Clothes-Changing Person Re-Identification Approach Without Additional Input
[NO] 174/1000 | Honest Teacher Knowledge Distillation: A Framework for Uncertainty-Aware Model Compression Using Gaussian Processes
[NO] 175/1000 | A Robust Model Predictive Current Control Using Cascaded Structure of Noise-Resilient Augmented Observer with Adaptive Data-Driven Iterative Harmonic Identification for PMSM Drives
[NO] 176/1000 | Misconception-Aware Prompting Can Generate Authentic Analytical Multiple-Choice Questions
[NO] 177/1000 | A two-stage method for aircraft engine fault detection based on change point
[NO] 178/1000 | Fault Analysis and Pilot Protection Scheme for Various Single-Phase Line Breaks in Resonant Grounding Systems
[NO] 179/1000 | Balancing Accuracy-Latency Tradeoff in Hybrid Approximate-Delayed Computing Systems
[NO] 180/1000 | Two Phase Multi-Task Learning for Cybersickness Prediction and Adaptive Reduction
[NO] 181/1000 | Sensitivity at the Edges of the Finger Enables Mixed Reality Force Feedback
[NO] 182/1000 | Monitoring the Long-term VIIRS Calibration Performance at the NIR and SWIR Bands for Ocean Color Remote Sensing
[NO] 183/1000 | Hardware implementation of configurable chromatic dispersion model for real-time optical fiber communication simulation systems
[NO] 184/1000 | Ultra-High Sensitivity Fiber Optic Microphone Based on Geometry-Induced Mechanical Compliance
[NO] 185/1000 | Sliding Finite Window Codes: Near-Optimality and Q-Learning for Zero-Delay Coding
[NO] 186/1000 | Table of Contents
[NO] 187/1000 | Retraction Notice: Automatic Detecftion of White Blood Cancer From Blood Cells Using Novel Machine Lerning Techniques
[NO] 188/1000 | Patient-Specific In-vivo Dynamic Motion of Ascending Thoracic Aortic Aneurysms from Cine CTA
[NO] 189/1000 | Regulatory Contextual Integrity: Adaptively Regulating Privacy as Contextual Integrity
[NO] 190/1000 | Unsupervised False-Alarm-Controllable Change Detection in Heterogeneous Remote Sensing Images Based on Copula Theory
[NO] 191/1000 | Call for Special Issues/Sections
[NO] 192/1000 | Automated Human Activity Recognition Using Multiple Contactless Ultra-Wideband Radar Signals and Time–Frequency Representations
[NO] 193/1000 | QIMarker: Can Watermark Embedding Improve Image Quality?
[NO] 194/1000 | Drift-Resilient Hybrid Feature Learning Framework for Accurate Mixed Industrial Gas Classification Using Chemical Sensor Arrays
[NO] 195/1000 | Quizzing: Exploring the comprehensive benefits of quizzing in college classrooms
[NO] 196/1000 | Interactive Force-Impedance Control
[NO] 197/1000 | An Open-Source, Reproducible Tensegrity Robot that can Navigate Among Obstacles
[NO] 198/1000 | Model-predictive Vibration Reduction of a Suspended Cable-Driven Parallel Robot
[NO] 199/1000 | A Kind of Flexible Forceps With High Clamping Force and Large Opening Angle for Endoscopic Surgery
[NO] 200/1000 | A Pneumatically Actuated Robotic Assistant for MRI-Guided Stereotactic Neurosurgery
[NO] 201/1000 | A promising movement-based prosthesis control tested on valid and arm-amputated participants using first-person teleoperation of humanoid robot Reachy
[NO] 202/1000 | Two-axis transparent force plate for droplet collision measurement using high speed line-scan camera and sampling moiré method
[NO] 203/1000 | A Generic Construction of
                    <i>q</i>
                    -ary Near-MDS Codes Supporting 2-Designs with Lengths Beyond
                    <i>q</i>
                    + 1
[NO] 204/1000 | Physics-Guided Multistage Segmentation for Structural Characterization of TRISO Fuel Particles in X-ray CT Imaging
[NO] 205/1000 | Descriptor: Solar and Kinetic Energy Harvesting Dataset for Human Activity Recognition (SKEH-HAR)
[NO] 206/1000 | Signal Processing Techniques for Enhanced Performance of FMCW Radar Altimeter
[NO] 207/1000 | Retraction Notice: Lifetime Enhancement Using Sleep Switch Over In Wireless Sensor Networks
[NO] 208/1000 | Tag-Along Virtual Windows Increase Perceived Resistance and Task Load in Augmented Reality
[NO] 209/1000 | Use Case Matters: Comparing the User Experience and Task Performance across Tasks for Embodied Interaction in VR_supp1-3680577.pdf
[NO] 210/1000 | Selection of Suitable Battery Technologies for Electric Vehicles Using Entropy Weight and EDAS Methods
[NO] 211/1000 | Using ADDIE Model to Develop Digital Educational Game for Teaching Permutation Concept
[NO] 212/1000 | Retraction Notice: Energy Optimized Node Level Trust Based Data Transaction in Wireless Sensor Network
[NO] 213/1000 | Retraction Notice: Implementation of Image Enhancement and Image Segmentation In Disease Diagnosis (Lung Cancer)
[NO] 214/1000 | X-PDResNet: An Explainable Residual Neural Network for Discrimination of Partial Discharge Defects in High Voltage Apparatus
[NO] 215/1000 | Reading Between the Signals: A Comprehensive Tutorial on Harnessing Physical Side-Channels for Anomaly Detection
[NO] 216/1000 | Quality of Service Enhancement and Security Assurance in Internet of Things Networks: A Survey and Integrated Blockchain Sidechain Architecture
[NO] 217/1000 | DS²AF: An Iterative Detection to Spectral Similarity-Guided Augmentation Framework for Few-Shot Hyperspectral Image Classification
[NO] 218/1000 | Geographic and Statistical Analysis of EESS-Passive Satellite Overpasses for Spectrum Coexistence
[NO] 219/1000 | IEEE Transactions on Neural Networks and Learning Systems Information for Authors
[NO] 220/1000 | Graph-Based Representation Learning with Beta Uncertainty for Enhanced Multimodal Emotion Recognition_supp1-3678321.pdf
[NO] 221/1000 | Evolutionary Hyper-Transformation for Multi-AAV Path Planning to Visit Moving Targets_supp1-3678144.pdf
[NO] 222/1000 | Feature Optimization Approach Arcface-Based Surveillance Face Recognition
[NO] 223/1000 | Applying the ADDIE Model to Develop a Phygital Pretend Play Learning Kit for Enhancing Wellbeing in Early Childhood Education Through Playful Learning
[NO] 224/1000 | Application of Convolutional Neural Networks for Enhancing Gemstone Classification Performance
[NO] 225/1000 | Classifying Burmese (Myanmar) Medical Reviews Using Synthetic Data Approach
[NO] 226/1000 | TCSET 2026 Cover Page
[NO] 227/1000 | Reliability in Industry-Academia Assessment: A Framework for Validating Competencies in IT Education
[NO] 228/1000 | Fidelity as Forgetting: Rethinking Reconstruction in Neural Volumetric Media
[YES] 229/1000 | Automated UAV Controller Synthesis via LLM-Generated Control Logic and Particle Swarm Optimization
[NO] 230/1000 | Cap4Bridge: Caption-Guided Cross-Modal Contextualization with Stochastic Augmentation for Text-Video Retrieval
[NO] 231/1000 | Long-Tailed Skeleton-Based Action Recognition via Realistic Mixing and Class-Aware Sampling
[NO] 232/1000 | IEEE Industrial Electronics Society Publication Information
[NO] 233/1000 | S$^{3}$aDPWo: Spatial-, Semantic-, and Shape-Aware Diffusion Policy Towards Autonomous Wound Repair
[NO] 234/1000 | Marking Underwater Infrastructure: A Crab-Like Robot for Traversing Pipes
[NO] 235/1000 | Flapping Hydrofoil Propulsion for Unmanned Surface Vehicles: Design and Experimental Evaluation
[NO] 236/1000 | IDC-Integrated SRR-based Printed Differential Microwave Sensor on Biodegradable Substrate for High Sensitivity Material Sensing
[NO] 237/1000 | Successful Diversity Is Not What You Think: How to Build a Great Start-Up Team
[NO] 238/1000 | A Review of Neural Networks in Precipitation Prediction
[NO] 239/1000 | Synthetic AI-Based Ultrasound Images of Breast Cancer on Small Datasets
[NO] 240/1000 | A Pilot Study on the Feasibility and Preliminary Efficacy of a Virtual Reality System for Stress Reduction
[NO] 241/1000 | To be Healed or Hacked? - User-Centered Ethical Design for Embodied AI in Mental Health Care_supp1-3680608.mp4
[NO] 242/1000 | Retraction Notice: Automatic Breast Tumor Cancer Diagnosis Based on a Hybrid Densenet
[NO] 243/1000 | Title Page
[NO] 244/1000 | Retraction Notice: Comprehensive solution of Scheduling and Balancing Load in Cloud - A Review
[NO] 245/1000 | Retraction Notice: Prediction of Juvenile Delinquencies in Correlation with Education
[NO] 246/1000 | Hybrid Dynamic-Statistical Algorithm for Optimizing CMOS-Type System Configuration
[NO] 247/1000 | Neural Network Image Quality Enhancement Using Multiscaling, Attention, and Residuals
[NO] 248/1000 | IEEE Standard for Wearable, Cuffless Blood Pressure Measuring Devices
[NO] 249/1000 | Retraction Notice: Vegetable Disease Detection Using K-Means Clustering And Svm
[NO] 250/1000 | Retraction Notice: IOT Based Health Tracking Shoe For Elderly People Using Gait Monitoring System
[NO] 251/1000 | CDSSL: A Self-Supervised Learning Framework for Cross-Domain Remote Sensing Image Segmentation
[NO] 252/1000 | A PPO-GAN-Enabled Moving Target Defense for Cyber-Resilient and Cost-Aware Power System Scheduling
[NO] 253/1000 | A Swin Transformer-Based Hybrid U-Shape Network for Nonlinear Hyperspectral Unmixing
[NO] 254/1000 | CubeGS: Cube-wise Motion Residual Prediction for Gaussian Splatting Streaming
[NO] 255/1000 | YaBRI: A Browser-Based REPL Architecture for Extensible, Event-Driven, and Data-Aware Software Integration
[NO] 256/1000 | ARB
                    <scp>ot</scp>
                    : A High-Fidelity Robotic Manipulator Teleoperation Framework for Human-Centered Augmented Reality Evaluation
[NO] 257/1000 | SportSBD: Shot Boundary Detection in Sports Footage
[NO] 258/1000 | Delivering Layered Object-Based Media using WebAssembly with Selective Cloud Rendering
[NO] 259/1000 | Comparative Anylysis of Radiation Characteristics of a Single Impedance Body
[NO] 260/1000 | Decentralization Model for the Replica State Discovery Protocol
[NO] 261/1000 | Comparative Evaluation of Data Augmentation Strategies for Brain Tumor Segmentation on Small MRI Datasets
[NO] 262/1000 | Retraction Notice: WSN in Defence Field: A Security Overview
[NO] 263/1000 | Effective Scriptwriting Principles for Public Presentation During the Covid-19 Pandemic
[NO] 264/1000 | Retraction Notice: A Novel Design of Autonomous Cars using IoT and Visual Features
[NO] 265/1000 | Retraction Notice: A Trend Analysis of Diffusion Energy Effective Clustering Techniques in Wireless Sensor Networks
[NO] 266/1000 | Retraction Notice: Recent Study on Image Denoising using Deep CNN Techniques
[NO] 267/1000 | Point Cloud Video Modeling With Progressive Prior Knowledge Guidance and Adaptive Neighboring Aggregation
[NO] 268/1000 | An improved driving power supply method for a portable electromagnetic impact source with a short acceleration distance
[NO] 269/1000 | Invisible Bullet-Magnetism Aim Assistance in VR Dart Throwing: Effects on User Experience and Performance_supp1-3680707.mp4
[NO] 270/1000 | PP-wave reflection coefficient approximation for seismic amplitude inversion in biaxial stress-induced anisotropic media considering microcrack closure
[NO] 271/1000 | Theoretical and Empirical Study of Spatial Power Focusing Effect for Sparse Arrays At Terahertz Band
[NO] 272/1000 | Descriptor: The WiFi-Based Human Activity Recognition Under Everyday Life Changes Dataset (WiFi-Wild)
[NO] 273/1000 | Spatiotemporal Dynamics of Night-time Light in Sudan during the Ongoing Conflict
[NO] 274/1000 | On the Effect of Domain-Adversarial Supervision Placement for Cross-Sensor 6D Pose Estimation
[NO] 275/1000 | Resilient networked control systems subject to cyber threats: a data encryption and cloud computing based model predictive control approach
[NO] 276/1000 | Micromobility Vehicle Classification for Smart City Infrastructure Using Magnetic Field Sensor Array
[NO] 277/1000 | Respiration Rate Estimation Using ECG and PPG Data: Open Source Implementations Focused on Wearables
[NO] 278/1000 | Advertising &amp; Sales
[NO] 279/1000 | Sonar Mapping and Obstacle Avoidance for Autonomous Underwater Vehicles in Unknown Marine Environments
[NO] 280/1000 | Integrating Digital Twin and Swarm-Based UAV Systems for Autonomous Wildfire Prevention and Detection
[NO] 281/1000 | Phase-Only Synthesis for Reconfigurable Arrays With Antenna Selection and DRR Constraints
[NO] 282/1000 | Fabrication and Test of a Curved-Canted-Cosine-Theta Magnet Used for a Laser-driven Proton Accelerator System
[NO] 283/1000 | Automatic OCT scanning of moving soft tissue using continuum endoscopic robots
[NO] 284/1000 | Physics-Informed Reinforcement Learning for Utility-Aware Pilot Selection in LEO Channel Estimation
[NO] 285/1000 | History of Wireless Education in the Last Century and the Role of the University of Calcutta [Historically Speaking]
[NO] 286/1000 | Improving Local Feature Matching by Entropy-inspired Scale Adaptability and Flow-endowed Local Consistency
[NO] 287/1000 | Decentralized Model Predictive Control for Platooning: Enhancing Human–Driver Collaboration
[NO] 288/1000 | FuzzyCam: A Class Activation Image Generation Method Based on Fuzzy Impulse Detection
[NO] 289/1000 | LMG: Efficient Streaming of Layered Mesh-Gaussian 3D Scenes
[NO] 290/1000 | A Pose-only Geometric Constraint for Multi-Camera Pose Adjustment
[NO] 291/1000 | Asymptotic Analysis of Max-Min SINR in Downlink MISO System with Multi-Weighted Power Constraints
[NO] 292/1000 | OFERA: Blendshape-driven 3D Gaussian Control for Occluded Facial Expression to Realistic Avatars in VR
[NO] 293/1000 | Interaction Under Whole-Body User Rotations in VR Space
[NO] 294/1000 | A Mixed-Methods Comparative Study of Remote and Traditional SDR Laboratories Via Bloom's Taxonomy, Surveys, and Focus Group
[NO] 295/1000 | Gradient Embedding and Modal Complementarity Networks for Audio-Video Depression Level Prediction
[NO] 296/1000 | All-Optical Microwave Frequency Division by Harmonic Frequency Locking
[NO] 297/1000 | NTL Detection: Multi-Modal Architecture for Smart Meter Fraud Detection in a Realistic Deployment
[NO] 298/1000 | Explainable One-Class Machine Learning for Anomaly Detection in Hydro-Ecological Monitoring
[NO] 299/1000 | Enhancing Chinese Listening Proficiency Through an Interactive Learning Approach with Edpuzzle
[NO] 300/1000 | Retraction Notice: Artificial Intelligence based Anxiety Detection in Patients
[NO] 301/1000 | Design and Implementation of a Hybrid-Powered Automatic Agricultural Produce Oven System
[NO] 302/1000 | Air Quality Forecasting Using a Long Short-Term Memory Neural Network
[NO] 303/1000 | The Principle of Matching Patch Elements in Broadband Antenna Array
[NO] 304/1000 | A Knowledge-Driven Framework for Cross-Border-Logistics Innovation: A Case Study from Southeast Asia
[NO] 305/1000 | Adaptive Reinforcement Learning–Based Test Selection for Improving Web Application Testing Accuracy
[NO] 306/1000 | Advancing Afghanistan Mineral Stone Classification Using Hybrid CNNs with Attention and Texture Learning
[NO] 307/1000 | Deep Learning towards Intrusion Detection in IoT
[NO] 308/1000 | Retraction Notice: Prediction of Air Pollution by using Machine Learning Algorithm
[NO] 309/1000 | Deep Learning-based Segmentation for Assessment of Kidney Tumour Ablation Therapy in CT Images
[NO] 310/1000 | Joint Optimization of Computation Offloading and Resource Allocation in Heterogeneous UAV-Assisted Edge Computing: A Game-Theoretical Approach_supp1-3680337.pdf
[NO] 311/1000 | The future of electric mobility between technology, business acceptance and policy making: lessons learned from the INCIT-EV project
[NO] 312/1000 | ADODN: A Dropout-Based Occlusion-Aware Deep Network for Facial Landmark Detection
[NO] 313/1000 | UAV-Assisted Shadow Removal Framework for Accurate Pavement Crack Segmentation under Complex Illumination Conditions
[NO] 314/1000 | Generation Expansion Planning Framework Integrating Battery Energy Storage Systems into the Screening Curve Method
[NO] 315/1000 | A Hybrid Blockchain Approach to Secure and Transparent Casino Betting and Payouts
[NO] 316/1000 | Multi-Modal 3D Semantic Segmentation with Capsule-Weighted Knowledge Distillation
[NO] 317/1000 | Retraction Notice: Road Sign Recognition System for Autonomous Vehicle using Raspberry Pi
