[2026-07-29 22:59:31] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[IEEE] 2026-7-28 | Explainable YOLOv11 for PCOS Detection from Ultrasound Images Using Grad-CAM
[IEEE] 2026-7-28 | Cooperative Navigation Filtering Algorithm For Heterogeneous UAV Formation Based on Improved Maximum Correntropy
[IEEE] 2026-7-28 | Intelligent Fault Diagnosis and Fault-Tolerant Control of Robotic Manipulators Based on Deep Neural Networks
[IEEE] 2026-7-28 | VQA-Critic: A Two-Stage Error Identification and Correction Framework for TextVQA
[IEEE] 2026-7-28 | A Retrieval-Augmented Generation Based Intelligent Human Resource System
[IEEE] 2026-7-28 | Adaptive Deep Learning Framework with Uncertainty-Aware Drift Detection, and Adversarial Robustness for Anomaly Classification in Power Systems State Estimation
[IEEE] 2026-7-28 | ChatGPT 4 and personality prediction
[IEEE] 2026-7-28 | Low-Cost Ultrasonic Railway Track Monitoring Using Compressive Sensing Techniques
[IEEE] 2026-7-28 | Real-Time Multi-objective Optimization of Nanosheet GAAFETs Using ANN and NSGA-III
[IEEE] 2026-7-28 | Synthetic Data Pipelines for Privacy-Compliant ML Bootstrapping in Multi-Cloud Data Engineering Systems
[IEEE] 2026-7-28 | A Fast SAR Back-Projection Algorithm Based on Dual-Stream Buffering and 2D Range Interpolation in GPU
[IEEE] 2026-7-28 | Deep Reinforcement Learning for Intelligent IoT Resource Management
[IEEE] 2026-7-28 | Evaluating Arabic Linguistic Authenticity in Multilingual LLMs: A Translationese-Specific Methodological Framework
[IEEE] 2026-7-28 | Knowledge-Guided and Inspection-Data-Compensated Rapid Scene Reconstruction for Multi-Robot Maintenance of Overhead Contact Systems
[IEEE] 2026-7-28 | Cross-Dataset Semantic Discovery for Network Intrusion Detection Systems
[IEEE] 2026-7-28 | Reinforcement Learning-based Genetic Algorithm for Multi-Objective Hybrid Flow Shop Scheduling under Time-of-Use Energy Tariffs
[IEEE] 2026-7-28 | Real-Time Forex Trading Platform with Moving Average Strategies and Automated Hedging
[IEEE] 2026-7-28 | Towards Dynamic Context Modeling for Safety-Critical V2V Communication: A Conceptual Framework
[IEEE] 2026-7-28 | An Asymmetric Observation Encoding Method for Unmanned Swarm Confrontation
[IEEE] 2026-7-28 | PhishRL: An End-to-End Reinforcement Learning Pipeline for Automated Email Threat Triage
[IEEE] 2026-7-28 | Comparative Study of AI Models for Natural Language to SQL Query Generation
[IEEE] 2026-7-28 | Author response for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[IEEE] 2026-7-28 | Decision letter for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | Nonextraction in Action
[IEEE] 2026-7-28 | Table of Contents
[ACM] 2026-7-28 | A Multi-Modal Approach for Hydrogen Leakage Monitoring based on Thermal Vision
[ACM] 2026-7-28 | <scp>JSTestCraft</scp>
                    : Addressing Context Deficits in JavaScript Unit Test Generation via Agentic Multi-Level Contextual Analysis
[IEEE] 2026-7-29 | Physics-Informed Neural Network Modeling of Complex Vehicle Collision Dynamics in Precision Immobilization Technique Maneuvers
[IEEE] 2026-7-28 | Local Frame-Enhanced Deep Reinforcement Learning for Multiagent Pursuit-Evasion Game
[IEEE] 2026-7-29 | Probability-Maximized Spiral Scanning for Fast Acquisition in Beaconless Optical Communications
[IEEE] 2026-7-29 | Subject-Invariant Multimodal Affective Representation Learning Via Masked Cross-Modal Alignment
[IEEE] 2026-7-28 | CDAP-SAT: A 28-nm Scalable Clause-Driven Ising Annealing Processor for Boolean Satisfiability Problems
[IEEE] 2026-7-28 | Multidimensional Influences on College Students' Computational Thinking: An Empirical Study in Visual Programming Environments
[IEEE] 2026-7-28 | FedAvgIm: Federated Learning for Multi-Site Impedance Identification of Inverter-Based Resources
[IEEE] 2026-7-29 | Meta-Semantic Induction for Generalized Cross-Modal Hashing
[IEEE] 2026-7-29 | SIVR-VIF: System-Level Source-End Inertial Measurement Unit and Visual Reconstruction for Visual–Inertial Fusion
[IEEE] 2026-7-28 | Changes to the Editorial Board
[IEEE] 2026-7-28 | Two-Stage Beamforming Method Based on Equivalent Subarray Architecture
[IEEE] 2026-7-29 | Artifact Appendix for Loglearners: Identifying Compromised AI Functions in Serverless Systems
[IEEE] 2026-7-29 | Comparing Model Compression Techniques for MCU-Based Federated TinyML
[IEEE] 2026-7-29 | FLICS 2026 Committees
[IEEE] 2026-7-29 | 5G NetOptima: AI-Driven Real-Time Latency and Bandwidth Optimization for Intelligent Resource Allocation in Next-Generation Networks
[IEEE] 2026-7-29 | Pulse-Doppler Self-Injection-Locked (PDSIL) Radar for Noncontact Vital Sign Monitoring
[IEEE] 2026-7-29 | A Dynamic and Scalable Encryption Framework with Similarity Awareness for Cloud Data Storage
[IEEE] 2026-7-29 | Steering Resilient Control Of Autonomous Distributed-driven Electric Vehicles Based On Sensor Measurement Output Reconstruction Under Cyber Attacks
[IEEE] 2026-7-28 | Nonrational Game-Theoretic Opinion Dynamics for Privacy-Preserving Distributed Consensus in Multiagent Systems
[IEEE] 2026-7-29 | Spectrum-Occupancy Guided Edge-Enhanced Node2Vec for Spectrum Recommendation in Satellite-Terrestrial Networks
[IEEE] 2026-7-29 | Optimization of Visible Light Communication Light Source Layout Based on Improved LILO Algorithm
[IEEE] 2026-7-29 | IMS RFSA 2026 Abstract Page
[IEEE] 2026-7-29 | Privacy Preserving Federated Learning for Decentralized Edge Intelligence in Self-Healing Autonomous Network Architectures
[IEEE] 2026-7-29 | AI-enabled Inverse Design of Harmonic Terminated mmWave PAs and Frequency Doublers
[IEEE] 2026-7-29 | Bee-Inspired Topology Control for Secure and Energy-Aware Communication in Mobile Ad Hoc Networks
[IEEE] 2026-7-29 | Quantum-Inspired Ensemble Learning for Robust Healthcare Risk Prediction
[IEEE] 2026-7-28 | Shift-invariant spaces, bandlimited spaces and reproducing kernel spaces with shift-invariant kernels on undirected finite graphs
[IEEE] 2026-7-29 | Distortion Perception Enhanced Image Quality Assessment for Color Block Artifacts and Color Saturation Distortions
[IEEE] 2026-7-29 | Dual-Branch Gated Fusion with Weighted Cross-Entropy for Robust Environmental Sound Classification
[IEEE] 2026-7-29 | A Stepwise Fusion Network for Semi-supervised Remote Sensing Change Detection
[IEEE] 2026-7-29 | Real-Time Integrate Navigation for UAVs Based on Sequential Filter and Acceleration Rotation
[IEEE] 2026-7-29 | A VR-AI Integrated Teaching System for Ideological and Political Education: Requirement Analysis, Architecture Design, and Application Validation
[IEEE] 2026-7-29 | Classification Study of Aviation Engine Accident Narrative Texts Based on Deep Learning
[IEEE] 2026-7-29 | On-Orbit Demonstration of a Deployable Ka-Band 16-Element Active Phased-Array Transmitter
[IEEE] 2026-7-29 | Leak-Free Machine Learning for Hardware Trojan Detection at RTL
[IEEE] 2026-7-29 | Transmission Line Anti-External Damage Detection for Ultra-Low Power MCUs Based on TinyML
[IEEE] 2026-7-29 | Integrating “Where” and “How” for Expertise-Aware 8K Video Quality Prediction
[IEEE] 2026-7-29 | NL-CPS: Reinforcement Learning-Based Kubernetes Control Plane Placement in Multi-Region Clusters
[IEEE] 2026-7-29 | A Retrieval and Fine-tuning based Approach for Information Extraction in Large Language Models
[IEEE] 2026-7-29 | Semantic-Guided Mamba with Multi-Scale Attention Decoupling for Image Segmentation
[IEEE] 2026-7-29 | On the Design of Decision Tree Visiting Kernels at the Edge
[IEEE] 2026-7-29 | Mitigating One-to-N Backdoor Attacks in Federated Learning
[IEEE] 2026-7-29 | Attention-based Transformer–LSTM Architecture for Precision SOC and Battery Temperature Forecasting in Electric Vehicle Batteries
[IEEE] 2026-7-29 | Reliability and Collapse of Neural Mutual-Information Estimators for Eavesdropper-Leakage Assessment in Wireless Physical-Layer Security
[ACM] 2026-7-29 | egg: Fast and Extensible Equality Saturation
[ACM] 2026-7-29 | BASIS: An LLM-Empowered Benchmark and Agent System for Inferring Synthetic Lethality
[ACM] 2026-7-29 | Adversarially Robust Federated Learning for IoMT-based Physiological Condition Monitoring: A Benchmark Dataset and ML-Aided Aggregation Framework
[ACM] 2026-7-29 | Exploring the Evolutionary Landscape of AI-Generated Viral Sequences: a Case Study on HIV-1
[ACM] 2026-7-29 | Depth-Gated Cross-Omics Graph Fusion for Cancer Subtype Classification
[ACM] 2026-7-29 | Dynamic Information Sub-Selection for Adaptive Decision Support
[ACM] 2026-7-29 | Slide-Omics: An Interpretable Bi-Directional Attention Framework for Integrating Multi-Omics and Pathology in Cancer Survival Analysis
[ACM] 2026-7-29 | Graph Signal Processing as an Experimental Approach to Radiomics Analysis
[ACM] 2026-7-29 | An Active Learning Framework for Data-Efficient, Human-in-the-Loop Enzyme Function Prediction
[ACM] 2026-7-28 | Run-time Quantitative Operational Monitoring for BDI Agents
[IEEE] 2026-7-28 | An Adaptive Multi-Scale Manifold Embedding Preprocessing Framework for High-Dimensional Data Visualization_supp1-3704960.pdf
[IEEE] 2026-7-28 | Front Cover
[IEEE] 2026-7-28 | CAIBDA 2026 Cover Page
[IEEE] 2026-7-28 | Preface
[IEEE] 2026-7-28 | AI-Augmented Security Analytics for Real-Time Threat Identification
[IEEE] 2026-7-28 | Comparison Study of One-Stage and Two-Stage Instance Segmentation Methods in Different Application Scenarios
[IEEE] 2026-7-28 | A Generative AI Framework for Explainable Data Ops: Human-Readable Narratives for Automated Pipeline Decision Systems
[IEEE] 2026-7-28 | Res-SE-ViT: Focal Loss-Optimized Hybrid Deep Network of Skin Lesion Analysis
[IEEE] 2026-7-28 | A Fault-Tolerant AI-Enabled Four-Stage Framework for Undergraduate Research Involvement
[IEEE] 2026-7-28 | Evolutionary Optimization of Negative Selection in Reduced Embedding Spaces for Fake News Detection
[IEEE] 2026-7-28 | Llama Model Security: From OWASP Top 10 Benchmarking to Encoding-Based Attacks
[IEEE] 2026-7-28 | Digital Algorithms and Culture Industry in the Digital Age
[IEEE] 2026-7-28 | Study on Substation Siting Optimization Model for 220 kV and 110 kV Based on Intelligent Algorithms
[IEEE] 2026-7-28 | Verifiable DSSE with Forward Privacy Over Attribute-Based Cloud Computing System
[IEEE] 2026-7-28 | Enhancing Credit Card Fraud Detection Using Large Language Models with Transactional Context Understanding
[IEEE] 2026-7-28 | Lamb wave-based TRHL-RAPID imaging algorithms for internal damage in steel plate structures
[IEEE] 2026-7-28 | Research on AI perception of oil pollution state and life warning technology of hydraulic system
[IEEE] 2026-7-28 | Toward Intent-Driven IoT Orchestration for Autonomous Smart Service Management
[IEEE] 2026-7-28 | Optimizing Implantable Class-E Amplifiers Through Hybrid Bio-Inspired Algorithms
[IEEE] 2026-7-28 | A Leader-Follower Consensus-Bundle-Based Task Allocation Algorithm for Heterogeneous AUV Swarms in MCM Missions
[IEEE] 2026-7-28 | PE-iForest: A Perturbation-based Framework for Explainable Anomaly Detection
[IEEE] 2026-7-28 | Investigating Teachers' Attitudes Toward Using Artificial Intelligence Applications to Support Differentiated Instruction
[IEEE] 2026-7-28 | Cross-Domain Prediction of Ultimate Strength in Corroded Reinforced Concrete Columns Using Domain Adaptation Techniques
[IEEE] 2026-7-28 | Mechatronic Design of a Six-Wheeled Independent-Drive Traction Robot for Pipeline Internal Inspection
[IEEE] 2026-7-28 | AQPSO-DL-BiLSTM-Based Online Perception of Injection Characteristics for Common-Rail System
[IEEE] 2026-7-28 | NeuroPC-KGNN: A Causality-Driven Graph Neural Network Framework for Early Diagnosis of Parkinson’s Disease
[IEEE] 2026-7-28 | A Lightweight Attention-Driven Multi-Scale Feature Fusion Network for Ship Detection in UAV Aerial Imagery
[IEEE] 2026-7-28 | Enhancing Exudate Segmentation in Fundus Images using CLAHE and ResNet U-Net Architecture
[IEEE] 2026-7-28 | Fair Interaction via Application-Level Group Awareness in Routing
[IEEE] 2026-7-28 | Federated Deep Learning for Real-Time IoT Anomaly Detection
[IEEE] 2026-7-28 | Guaranteed Break Detection in Distributed Settlement Networks: Parametrization-Free Algorithmic Reconciliation via Rateless Coding Theory
[IEEE] 2026-7-28 | Energy-Elastic Proximal Policy Optimization for Autonomous Soft Tissue Cutting in Robotic Surgery
[IEEE] 2026-7-28 | Information Processing and Intelligent Decision-Making Method for UAV-UGV Cooperative Navigation in Complex Search-and-Rescue Scenarios
[IEEE] 2026-7-28 | Single-cell RNA-seq Analysis of Human Liver Aging
[IEEE] 2026-7-28 | A Foundation Model-Assisted Observability Framework for Multimodal Anomaly Detection
[IEEE] 2026-7-28 | A Reversible Filter Group Based on CFA Images and Its Error Correction
[IEEE] 2026-7-28 | Task Offloading for Multi-Unmanned Aerial Vehicle Edge Computing Based on Gated Recurrent Unit and Multi-Agent Deep Deterministic Policy Gradient
[IEEE] 2026-7-28 | Semantic-Guided Mamba-UNet Diffusion for Low-Light Image Enhancement
[IEEE] 2026-7-28 | Hierarchical Spatiotemporal Feature Fusion for Robust Anomaly Detection in Distributed Acoustic Sensing with a VMD-WPD Heterogeneous Stacking Ensemble
[IEEE] 2026-7-28 | Robust MIMO-OFDM Channel Estimation Under Interference via Score-Based Variational Inference
[IEEE] 2026-7-28 | CrimeWatch: An Automated Surveillance System for Weapon and Violence Detection Using YOLO and CNN-LSTM
[IEEE] 2026-7-28 | RGB-D Based Blueberry 3D Pose Estimation via Instance Segmentation and Structural Keypoint Constraints
[IEEE] 2026-7-29 | Span-Based Gazetteer Integration for Robust Named Entity Recognition in Code-Mixed Text
[IEEE] 2026-7-29 | An Attention-Enhanced CNN–Transformer Model for Brain Tumor Identification from MRI Scan
[IEEE] 2026-7-29 | Comparative Analysis of Iptables and Nftables using Rule-based Firewall Configuration
[IEEE] 2026-7-29 | DQ-MCTR: Data Quality-Aware Multimodal Click-Through Rate Prediction for Online Advertising
[IEEE] 2026-7-29 | IEEE PES Senior Members announcement
[IEEE] 2026-7-29 | A Predictive Internet of Things (IoT)- Driven Intravenous (IV) Therapy Safety System for Cancer Patients using Gradient Boosting and Isolation Forest
[IEEE] 2026-7-29 | Hierarchical Two-Stage Deep Learning Framework for Phase-Aware Fall Detection Using Wearable Sensors
[IEEE] 2026-7-29 | Ptery-MSGNet: A Lightweight Dual-Branch Network with Multi-Scale Fusion for Pterygium Classification
[IEEE] 2026-7-29 | FPGA Acceleration and Over-the-Air Validation of IEEE 802.11ad Based Integrated Sensing and Communication using RFSoC and Millimeter Wave Front-Ends
[IEEE] 2026-7-29 | Detecting XSS attacks via semantic reconstruction and adversarial enhancement
[IEEE] 2026-7-28 | Bidirectional Hybrid-type Dual-Mode Isolated Resonant DC-DC Converter for Wide Voltage Range Application
[IEEE] 2026-7-29 | Enabling Broadbeam Performance in Planar Backscatter Tags: A Semi-Passive Metalens-Enhanced mmID for Ambient IoT Environments
[IEEE] 2026-7-29 | Hybrid Machine Learning and Multimodal Fusion Techniques for Obstructive Sleep Apnea: A Systematic Review
[IEEE] 2026-7-29 | A Multimodal Benchmark for Open-Pit Mine Remote Sensing Change Detection with Vision-Language Guidance
[IEEE] 2026-7-29 | Front Cover
[IEEE] 2026-7-29 | Artificial Intelligence-Driven Management of Sustainable Energy Resources: Visibility, Operation, and Control
[IEEE] 2026-7-29 | A Two-Stage Predictive Framework for Olympic Sport Inclusion: Integrating Hard Threshold Screening with PCA-SVM Classification
[IEEE] 2026-7-29 | High Accuracy Intelligent Sag Detection and Alert System for Overhead Power Lines with IoT Support
[IEEE] 2026-7-28 | Sparse Threats, Focused Defense: Criticality-Aware Robust Reinforcement Learning for Safe Autonomous Driving
[IEEE] 2026-7-29 | Unified Metadata Architecture and Workflow Automation for SEM Imaging in Support of FAIR and Open Science
[IEEE] 2026-7-29 | Urban Tourism Customized Bus Station Planning and Real-Time Demand Dispatch Optimization Based on K-means
[IEEE] 2026-7-29 | Intelligent Leaf Disease Classification using Deep Convolutional Neural Networks for Sustainable Agriculture
[IEEE] 2026-7-29 | Development of a 230-micron array of Dual-Polarization Kinetic Inductance Detectors
[IEEE] 2026-7-28 | Semantics in Actuation Systems: From Age of Actuation to Age of Actuated Information
[IEEE] 2026-7-29 | An IoT-based Predictive Maintenance and Safety Monitoring System for LPG Usage
[IEEE] 2026-7-29 | Adaptive Modulation of Hybrid Resonant–PWM DC–DC Converters using Deep Reinforcement Learning for Full-Range Soft-Switching
[IEEE] 2026-7-29 | Hybrid Key Orchestration of PQC and QKD for Adaptive Quantum-Safe Networks
[IEEE] 2026-7-29 | Sustainable AI: A Necessity for Industry [In My View]
[IEEE] 2026-7-29 | Playstyle-Based NBA Injury Prediction Using Machine Learning and Statistical Analysis
[IEEE] 2026-7-29 | Energy-Aware Self-Evolving Edge AI for Sustainable Cybersecurity in Ultra-Dense Smart City IoT Networks
[IEEE] 2026-7-29 | A Low-Power and Self-Interference-Tolerant Receiver for Shared-Aperture In-Band Full-Duplex Arrays
[IEEE] 2026-7-29 | Grid Forming Solar PV System with Battery Energy Storage for Voltage Stability Enhancement in Renewable-Integrated Power Networks
[IEEE] 2026-7-29 | Adaptive Latent Embedding for Secure User-Centric Networking using Glow-based Normalizing Flows
[IEEE] 2026-7-29 | Visionary Harvest: Integrating Custom Blur Layers into VGG19 for Obscured Edible Classification
[IEEE] 2026-7-29 | Blockchain-Integrated Secure File Encryption with AI-Driven Anomaly Detection
[IEEE] 2026-7-29 | A Study on Eye Movement Characteristics and Learning Effects of Vocabulary Memorization Apps from the Perspective of Cognitive Load
[IEEE] 2026-7-29 | Translational Motion Compensation and Micro-Doppler Feature Extraction for Multi-target Narrowband Radar Signal Separation
[IEEE] 2026-7-29 | Text-Guided Image Clustering With Unsupervised Dual-Level Knowledge Distillation
[IEEE] 2026-7-29 | TableMind: Redefining Table Reasoning With Semantics and Flexibility
[IEEE] 2026-7-28 | Encrypted Yet Compromised: A Covert Channel in Homomorphic Encryption-based Federated Learning
[IEEE] 2026-7-29 | Discovering Work Specialization through Process Mining
[IEEE] 2026-7-28 | JPEG Compression Simulation Invertible Neural Network for Robust Image Steganography
[IEEE] 2026-7-28 | An Efficient Feature Selection Method Using the Granular-Ball Divergence-Based Fuzzy Rough Hypergraph
[IEEE] 2026-7-29 | IEEE Circuits and Systems Society Information
[IEEE] 2026-7-29 | QBERT-LSTM: Quantum Intelligence Based Mental Health Sentiment Analysis Using Web Scraping
[IEEE] 2026-7-29 | Broadband Low-Profile Ku-Band Transmissive Metasurface for OAM Beam Generation in LEO Satellite Communication Terminals
[IEEE] 2026-7-28 | Adaptive Robotic Source Seeking in Vortical Indoor Environments with Sparse Structural Guidance_supp1-3717087.mp4
[IEEE] 2026-7-28 | Reinforcement Learning-Enhanced Model-Free Adaptive Predictive Control With Residual-Neural Compensation for Heavy-Duty Gas Turbine Generation Systems
[IEEE] 2026-7-29 | Reliable Tiny Airborne Object Detection via Prior-Guided Motion-Structure Verification
[IEEE] 2026-7-29 | Inverse Design of Multilayered Manufacturable Pixelated Diplexers Through Optimized Geometrical Configuration and Meshing Strategy in MoM
[IEEE] 2026-7-28 | Numerical Computation of Unshielded Multiwires In-Cell Parameters for Coupling Between FDTD and MTL Methods Using Multipolar Expansions_supp1-3713195.csv
[ACM] 2026-7-29 | Multi-Objective Evolutionary Optimization for the Discovery of Structurally Diverse and Active Compounds
[ACM] 2026-7-29 | MetabOmics: Metabolism-Oriented Omics Data Integration
[ACM] 2026-7-29 | Designing Ethical AI Grief Support: A Value Sensitive Design Framework for Chronic Illness Care
[ACM] 2026-7-29 | An SGX-Based Donation System Built on Hyperledger Fabric with Authentication, Privacy-Preserving, and Auditability
[ACM] 2026-7-29 | Evaluating Front-end Web Energy Consumption: Quantifying the Role of Caching, Cookies, Scrolling Behavior, and Data Volume
[ACM] 2026-7-28 | EVBench: A Comprehensive Benchmark of Video Generative Models for E-commerce Scenarios
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | Masthead
[IEEE] 2026-7-28 | Decision letter for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[IEEE] 2026-7-28 | A Multi-Source Temporal Graph Object Detection Network for Rare-Event Blockchain Anomaly Localization
[IEEE] 2026-7-28 | Evaluating the Effect of Artefact Representation on LLM-Based RESTful API Code Generation
[IEEE] 2026-7-28 | Intelligent Control of Power Robot Pose and 3D Reconstruction Method of Images
[IEEE] 2026-7-28 | A Lightweight Fire Smoke Detection Algorithm Integrating Progressive Downsampling and an Efficient Neck Network
[IEEE] 2026-7-28 | Real-Time Pavement Defect Detection via Gated Multi-Scale Feature Fusion and Dynamic Activation
[IEEE] 2026-7-28 | A Robust Adaptive ESKF for MEMS Attitude Estimation
[IEEE] 2026-7-28 | Functional Verification of a 10G Ethernet MAC Using a UVM-Based VIP with Error Injection and Coverage Analysis
[IEEE] 2026-7-28 | TinyAtt-YOLO: A Window-Hierarchical Collaborative Attention Framework for PCB Tiny Defect Detection
[IEEE] 2026-7-28 | Multimodal Large Model-Driven Collaborative Optimization Method for Automotive R&amp;D and Manufacturing
[IEEE] 2026-7-28 | Class-Guided Hierarchical Decoupling Sparse Autoencoders for Interpretable Fine-Grained CT Diagnosis
[IEEE] 2026-7-28 | Scalable Data Mining Algorithms for Large-Scale Data Repositories
[IEEE] 2026-7-28 | SLA-Oriented Performance Evaluation of Harmonic Data Governance Systems in 10 kV Distribution Transformer Areas under Edge Constraints
[IEEE] 2026-7-28 | Enhancing Intrusion Detection Systems (IDS) Performance That Uses Feature Selection and Hybrid Classification
[IEEE] 2026-7-28 | Hybrid Fuzzy-Q Learning Approach for Load Balancing in IoT Networks
[IEEE] 2026-7-28 | A Unified DevOps Framework for Multi-Cloud Orchestration: Automating Cross-Platform Deployments Across Azure, Salesforce, and MuleSoft
[IEEE] 2026-7-28 | Anomaly Detection in Large-Scale Distributed Systems Using Graph-Based Deep Learning
[IEEE] 2026-7-28 | ARISE: Agentic Rubric-Guided Iterative Survey Engine for Automated Scholarly Paper Generation
[IEEE] 2026-7-28 | A Case Study in Responsible AI-Assisted Video Solutions: Multi-Metric Behavioral Insights in a Public Market Setting
[IEEE] 2026-7-28 | Improving Financial Cybersecurity Through Fraud Transaction with Deep Learning-Based Advanced Models
[IEEE] 2026-7-28 | Cross-Modal Prediction from EEG to fNIRS with EEMD+HRF+PatchTST
[IEEE] 2026-7-28 | Public Voices on Skincare: Sentiment Classification of Skintific Moisturizer Using Female Daily Scraped Reviews
[IEEE] 2026-7-28 | Fault Diagnosis Method of Motor Bearing Based on Particle Swarm Algorithm Optimized Multi-Scale One-Dimensional Convolutional Neural Network
[IEEE] 2026-7-28 | Coordinating Specialized AI Agents for Compliance-Preserving Migration of Monolithic Java Systems to Cloud-Native Architectures
[IEEE] 2026-7-28 | A Policy-Aware Edge LLM-RAG Framework for Internet of Battlefield Things Mission Orchestration
[IEEE] 2026-7-28 | Hybrid GAN-FNN Framework for Battery Capacity Prediction under Sparse Data
[IEEE] 2026-7-28 | A One-Step Q-Learning Intrusion Detection Method Based on Gated Feature Attention and Category-Aware Replay
[ACM] 2026-7-29 | MLIR Dialects for DAE-based Modeling Languages
[IEEE] 2026-7-28 | QSen-FMoE: A Federated Mixture-of-Experts Framework for Quantum-Driven Next-Generation Wearable Sensing in Body Area Networks
[ACM] 2026-7-29 | Design of a Radar-Based System for Contactless OSAS Monitoring
[ACM] 2026-7-29 | UNIStainNet: Foundation-Model-Guided Virtual Staining of H&amp;E to IHC
[ACM] 2026-7-29 | Learning and Neutralizing Structured Stochasticity in DNA Synthesis for Deterministic Entropy Conditioning
[ACM] 2026-7-29 | HarmoMed: An Agentic Framework for Auditable Multimodal Biomedical Data Harmonization
[ACM] 2026-7-29 | A Code Ranking Framework with Human-Inspired Agent-Based Tests Generation
[ACM] 2026-7-29 | Inference of Disease-Associated Pathway Interaction Networks using Graph Neural Networks
[IEEE] 2026-7-29 | Research on a Graph Neural Network and Transformer Fusion Model for Network Intrusion Detection
[IEEE] 2026-7-29 | A Technical Taxonomy and Evidence-Based Framework for Assessing Clinical Large Language Model Systems
[IEEE] 2026-7-29 | HeatPre: Efficient Diffusion-Inspired Precipitation Nowcasting for Edge Weather Intelligence
[IEEE] 2026-7-29 | A Scalable and Secure Explainable Federated Learning Model for Cardiac IoMT Systems in Fog-Edge Computing
[IEEE] 2026-7-29 | ID-HRAG: Identity Aware Hierarchical Retrieval for Multi-Identity Interaction
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | AI-Driven Federated Learning Optimization for Privacy-Preserving Big Data Environments
[IEEE] 2026-7-29 | A Subjective Evaluation of an Interactive Multisensory Virtual Reality Exhibit
[IEEE] 2026-7-29 | Adaptive Evolutionary Clustering for Federated Learning under Nonstationary Client Distributions
[IEEE] 2026-7-29 | Hybrid ML and DL Approach for Plant Leaf Disease Detection
[IEEE] 2026-7-29 | Black-Box Domain Adaptation for Cloud Vision-Language Model by Exploring Optimization Directions
[IEEE] 2026-7-29 | ERCS-Informed LoRa Signal Modeling for Robust Corner-Aware Human Direction Detection
[IEEE] 2026-7-29 | Reinforcement Learning and Reference Vector-Driven Expensive Multi-objective Optimization_supp1-3716135.pdf
[IEEE] 2026-7-28 | SPG-OD: Spectral-Prior Guided Object Detection for Hyperspectral Remote Sensing Images
[IEEE] 2026-7-28 | Grid Current Distortion Suppression of Single-Stage Dual-PV-Port DAB Microinverters via Synergetic Closed-Loop Control
[IEEE] 2026-7-29 | Robust Takagi-Sugeno Fuzzy Constant Voltage Control for Reduced-Order Inductive Power Transfer Systems
[IEEE] 2026-7-29 | Development of a Microcontroller based Solar Photo Voltaic Powered Electric Fencing System
[IEEE] 2026-7-29 | A New Image Encryption using Tile Structured Scrambling and XOR Diffusion
[IEEE] 2026-7-29 | A Streamlit-Driven Multimodal Diagnostic Framework Integrating Deep Feature Fusion, Explainable AI, and Adaptive Decision Intelligence
[IEEE] 2026-7-29 | FLICS 2026 Copyright
[IEEE] 2026-7-29 | Secure Industrial Emission Monitoring using IoT and JWT-based Authentication
[IEEE] 2026-7-29 | Analysing Infant Physiological Responses to Live Musical Performance Using Wearable Sensors
[IEEE] 2026-7-28 | An Investigation of Fault Signatures in Online Condition Monitoring Methods for Shaft Misalignment and Mass Unbalance Fault Diagnosis of PMSM Driven Systems
[IEEE] 2026-7-29 | Performance Analysis of Priority-Aware DRL-based Call Admission Control for 5G Network
[IEEE] 2026-7-29 | Local-Support Guided Latent Generation for Reliable Minority-Class Augmentation in Network Intrusion Detection
[IEEE] 2026-7-29 | Cost-Aware Temporal Deep Learning for Remaining Useful Life Risk Classification in Heavy-Duty Vehicles
[IEEE] 2026-7-29 | Data-based characterization method for model-unknown saturated systems under data-driven event-triggered control
[IEEE] 2026-7-28 | Plasma-Nanosecond Pulsed Electric Field Synergy Enhances Multiscale Reactive-Species Transport in Glioma Models
[IEEE] 2026-7-29 | A Novel Pressure Sensor for High-Energy Arc Discharge in Power Transformers: Achieving Balanced Wide Range and High Sensitivity
[IEEE] 2026-7-29 | On-manifold Unit Quaternion Trajectory Representation via Chebyshev Polynomials and Its Application to Attitude Estimation
[IEEE] 2026-7-29 | An Adaptive Risk Defense Framework for Power Grids Under IoT-Originated Cyber-Physical Attacks
[IEEE] 2026-7-29 | Generating LiDAR-Quality Point Clouds from Cascaded mmWave Radar via Fast Diffusion Models
[IEEE] 2026-7-29 | Adaptive Voltage Model for Microwave Energy Harvest
[IEEE] 2026-7-28 | SynCal-Mix: Anchor-Calibrated Synthetic Rare-Event Support for Federated IoT Sensing
[IEEE] 2026-7-29 | Symmetric Authentication Method Based on High-Rate Quantum Technologies
[IEEE] 2026-7-29 | Multimodal 3D Scene Semantic Compression and Generative Reconstruction Framework for Low-Bandwidth Environments
